"MENU_LEFT_MOUSE": "Left Mouse"
"HASH_299A8B6B": "BORDERLESS"
"HASH_58A675AB": "GOG MATCHMAKING"
"HASH_6A37FFEB": "Matchmaking was unable to find any connectable games."
"COMMUNITY_CREATE_LINK_TEXT": "Here you can create a new THQ ID or link your Steam Account to an existing one."
"CBA_GAC_PAUSE_MENU": "   PAUSE"
"CBA_VDC_HELI_TURN_RIGHT": "   TURN RIGHT"
"CBA_VDC_PLANE_FIRE_SECONDARY": "   FIRE WEAPON 2"
"PLT_TRILINEAR": "TRILINEAR"
"PC_LOAD_CHAR": "LOAD DEFAULT"
"PC_SM_NORMAL": "NORMAL"
"PC_DOF_DIST_HINT": "THE DEPTH OF FIELD DISTANCE"
"PCACTION_PAUSE": "PAUSE MENU"
"TUT_AIRPLANE_CONTROL_ALT_PC": "{PLANE_ACCELERATE_IMG} ACCELERATE \n{PLANE_BRAKE_REVERSE_IMG} BRAKE + REVERSE \n{PLANE_ROLL_TURN_SELECT_IMG}+{PLANE_LEFT_RIGHT_IMG} SHARP TURN"
"SAVE_CLIP": "Save Cinematic Clip"
"CBA_VDC_HELI_FIRE_PRIMARY": "   FIRE WEAPON"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG2": "   ROLL LEFT"
"PC_VOICE": "VOICE"
"PC_SHOW_KEYS_HINT": "SHOW EDITING SHORTCUT KEYS"
"CAA_PLANE_PITCH_UP_DOWN_POS": "   FLY DOWN"
"PC_SOUNDFX_HINT": "TURN ON/OFF ALL SOUND FX"
"PC_SM_VERY_FAST": "VERY FAST"
"PC_EDIT_EXPLANATION": "You are about to edit the camera of a non-active camera zone. The current camera position will overwrite the previous position."
"DPAD_UP_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-u][/format]"
"PCACTION_LOOK_RIGHT": "LOOK RIGHT"
"TUT_NP_TANK_CONTROLS_PC": "{TANK_FORW_BACK_IMG} / {TANK_LEFT_RIGHT_IMG} MOVE \nMOVE MOUSE TO AIM \n{TANK_FIRE_SECONDARY_IMG} FIRE MAIN WEAPON \n{TANK_FIRE_PRIMARY_IMG} FIRE SECONDARY WEAPON"
"CBA_OFC_ZOOM_IN": "   SCOPE ZOOM IN"
"MULTI_LOST_CONNECTION": "Connection to Steam lost.\nReturning to main menu."
"PC_TOD_MORNING": "MORNING"
"PC_GS_BACKGROUND": "BACKGROUND"
"SAVING_CONTENT_BODY": "Please do not turn off the game."
"CBA_GAC_WEAPON_SELECT_6": "   WEAPON SLOT 6"
"CBA_VDC_ACCELERATE": "   ACCELERATE"
"CBA_VDC_PLANE_TURN_RIGHT2": "   YAW RIGHT"
"PLT_ANISOTROPIC_EIGHT": "ANISOTROPIC 8X"
"MENU_CUSTOM": "CUSTOM"
"PLT_MENU_DISPLAY_4": "QUATERNARY"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "There is not enough free space on your hard drive to complete the Save Process."
"PC_MOVEMENT_SENSITIVITY_HINT": "THE CAMERA MOVEMENT SENSITIVITY"
"PC_CONFIRM_EXIT": "CONFIRM EXIT"
"PCACTION_WEAPON_8": "WEAPON 8"
"PCACTION_CROUCH": "CROUCH"
"MENU_MOUSE_BUTTON_3": "Mouse 3"
"MENU_CATEGORY_HELI": "HELICOPTER"
"PLT_QUIT_GAME": "QUIT TO DESKTOP "
"MAINMENU_SYSLINK": "LAN GAME"
"PC_HIDE_HUD": "HIDE HUD"
"PRESS_ANY_KEY_CAPTION": "PRESS NEW KEY"
"HASH_B1E823F1": "CTRL"
"CBA_VDC_OFFHAND_GRENADE": "   THROW GRENADE"
"PC_CA_EDIT_EXPORT": "LOAD AND EDIT"
"PCACTION_CONSUME_LEFT": "CONSUME AT LEFT"
"PCACTION_WEAPON_2": "WEAPON 2"
"HASH_F44E5932": "%ls has invited you to play. \nWould you like to join?"
"PC_RECORD_MODE_ENABLE_WARNING": "VIDEO RECORD MODE MAY CAUSE PERFORMANCE SLOWDOWN. DUE TO LEGAL REASONS MUSIC AND RADIO WILL ALSO BE DISABLED. CONTINUE?"
"PLT_MENU_AMBIENT_OCCLUSION": "    AMBIENT OCCLUSION"
"PC_CREATE_CHAR": "CREATE/IMPORT"
"PC_W_OVERCAST": "OVERCAST"
"PC_AV_EXIT_HINT": "CLOSE THE ENVIRONMENT DIALOG"
"PC_EXIT_HINT": "EXIT THE CLIP EDITOR"
"PC_DELETE_CZ": "DELETE"
"PCACTION_REVERSE": "BREAK/REVERSE"
"CBA_OFC_MELEE_NUT_SHOT": "   MELEE ATTACK"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG": "   TURN LEFT"
"PLT_MENU_ANTI_ALIASING_TOOLTIP": "SMOOTH THE ROUGH EDGES"
"PLT_MENU_MINIMAP_VIEW_TOOLTIP": "HOW THE MINIMAP ROTATES IN RELATION TO PLAYER DIRECTION"
"PC_HANDYCAM": "HANDYCAM"
"PC_POSITION_CAMERA": "POSITION CAMERA"
"PC_RECORD_MODE_CANCEL_ENCODE": "ARE YOU SURE YOU WANT TO CANCEL VIDEO SAVE?  VIDEO WILL BE LOST."
"TUT_HELICOPTER_ENTRY_PC": "{HELI_UP_IMG} INCREASE ELEVATION\n{HELI_DOWN_IMG} DECREASE ELEVATION\n{HELI_DRIVE_TURN_SELECT_IMG}+{HELI_LEFT_RIGHT_IMG} QUICK TURNING"
"MENU_RIGHT_MOUSE": "Right Mouse"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_NEG": "   MOVE BACKWARD"
"MENU_ON": "ON"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "Searching for LAN games..."
"PC_SM_VERY_SLOW": "VERY SLOW"
"PC_CAMERA_DONE_HINT": "CLOSE THE DIALOG"
"PC_GREEN_SCREEN": "GREEN SCREEN"
"DPAD_LEFT_TXT": "THE A BUTTON"
"DPAD_RIGHT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-r][/format]"
"PC_RECORD_MODE_PATH": "\\Documents\\My Games\\Saints Row The Third\\Videos\\"
"MENU_OPTIONS_GAMEPLAY_DIFFICULTY_TIP": "SET GAME DIFFICULTY"
"MULTI_MATCHMAKING": "STEAM MATCHMAKING"
"CBA_VDC_BIKE_LEAN_FWD": "   BIKE LEAN FORWARD"
"PLT_MENU_POST_PROCESSING_DETAIL_TOOLTIP": "HDR, MOTION BLUR, AND DEPTH OF FIELD"
"MENU_HIGH": "HIGH"
"PC_MOVEMENT_SENSITIVITY": "MOVEMENT SENS."
"PC_CM_FOLLOW_LOOK": "FOLLOW LOOK"
"BTN_B_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-b][/format]"
"MENU_MOUSE_WHEEL_UP": "Wheel Up"
"MENU_MOUSE_CONTROLS_HORIZ_SENS": "HORIZONTAL SENSITIVITY"
"CBA_GAC_WEAPON_SELECT_2": "   WEAPON SLOT 2"
"CAA_DRIVE_STEER_POS": "   STEER RIGHT"
"PC_CA_DELETE": "DELETE"
"PC_SOUNDFX": "SOUND FX"
"PAUSE_MENU_PLAYBACK_MODE": "EDIT CINEMA CLIP"
"HUD_DROP_ITEM_MESSAGE": "DROP %ls"
"ANALOG_LS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"PCACTION_STRAFE_LEFT": "STRAFE LEFT"
"MENU_OPTIONS_GAMEPLAY_AIRPLANE_TIP": "NORMAL: EASY TO PICK UP AND PLAY; ADVANCED: FLIGHT SIM"
"CBA_GAC_MACHINIMA_QUICKSAVE": "   SAVE VIDEO"
"CBA_GAC_WEAPON_SWITCH_CW": "   NEXT WEAPON"
"CAA_WALK_FORWARD_BACKWARD_POS": "   MOVE FORWARD"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_POS": "   MOVE FORWARD"
"MAINMENU_SYSLINK_TITLE": "LAN"
"PC_ADVANCED_MODE": "ADVANCED MODE"
"PC_SHOW_HUD_HINT": "TOGGLE INTERFACE TRANSPARENCY"
"PC_CONFIRM_EXPORT": "CONFIRM EXPORT"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "PICK UP %ls"
"BTN_BACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-menu][/format]"
"DPAD_LR_TXT": "THE D-PAD LEFT & RIGHT"
"MENU_SECONDARY_ASSIGNMENT": "ALTERNATE BUTTON ASSIGNMENT"
"PLT_MENU_LIGHTING_DETAIL": "    LIGHTING DETAIL"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "The Save Process has failed because the default\nStorage Device is no longer available."
"PC_GS_PEOPLE_HINT": "TOGGLE NON-PLAYER HUMANS RENDERING"
"PC_DOF_HINT": "DEPTH OF FIELD TYPE - AFFECTS DISTANCE AND FOCAL RANGE"
"PC_AUDIO_TOGGLES": "AUDIO"
"HUD_PICKUP_UNNAMED_OBJECT": "PICK UP"
"PCACTION_LOOK_LEFT": "LOOK LEFT"
"PC_RECORD_MODE_ERROR_NO_ENABLED": "ENABLE RECORD MODE IN THE PAUSE MENU TO SAVE VIDEO."
"CBA_GAC_WEAPON_SELECT_7": "   WEAPON SLOT 7"
"CBA_VDC_HELI_TURN_LEFT": "   TURN LEFT"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_POS": "   MOVE FORWARD"
"PC_OUTPUT_ONLY_HINT": "HIDE THE TIMELINE AND OTHER INFO DURING EXPORT"
"HUD_CRUISE_CONTROL_NO_BUTTON": "CRUISE CONTROL"
"CBA_GAC_WEAPON_SWITCH_CCW": "   PREV WEAPON"
"CBA_OFC_SPRINT_TOGGLE": "   SPRINT (TOGGLE)"
"CAA_WALK_FORWARD_BACKWARD_NEG": "   MOVE BACKWARD"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_NEG": "   MOVE BACKWARD"
"PLT_MENU_TEXTURE_FILTER_MODE_TOOLTIP": "HIGHER IS BETTER, BUT SLOWER"
"MENU_LOW": "LOW"
"PLT_MENU_SETUP_MIC": "SET UP MICROPHONE"
"MENU_OPTIONS_CLIP_SELECT": "CINEMA CLIPS"
"PC_SM_SLOW": "SLOW"
"CBA_GAC_ACTION": "   ACTION"
"CAA_DRIVE_STEER_NEG": "   STEER LEFT"
"CBA_VDC_TANK_FIRE_PRIMARY": "   FIRE WEAPON"
"PLT_MENU_RESOLUTIONS_TOOLTIP": "SELECT YOUR DESIRED RESOLUTION"
"PC_WATERMARK_HINT": "EXPORT WITH A SAINTS ROW: THE THIRD LOGO IN THE CORNER"
"PC_GS_PLAYER_HINT": "TOGGLE THE PLAYER RENDERING"
"PC_SELECT_TARGET": "SELECT TARGET"
"DPAD_TXT": "THE D-PAD"
"DPAD_DOWN_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-d][/format]"
"MENU_MOUSE_CONTROLS_SENSITIVITY": "SENSITIVITY"
"CBA_VDC_PLANE_FIRE_PRIMARY": "   FIRE WEAPON"
"PC_GS_VEHICLES": "VEHICLES"
"PC_EXPORT_HINT": "EXPORT THE CLIP TO VIDEO"
"PCACTION_GRAB_HUMAN": "GRAB HUMAN"
"HASH_24103FFD": "You must be signed in to Epic Account to access this feature."
"PC_RECORD_MODE_TEXT": "Enable Record Mode to save your last moments of gameplay straight to video. Press  ([format][color:#9400C5]{0}[/format]) to export.\n\nVideos are saved to:"
"MOUSE_TITLE": "CONTROLS"
"CBA_VDC_HORN": "   HORN"
"PLT_MENU_BRIGHTNESS_TOOLTIP": "OPEN SCREEN BRIGHTNESS MENU"
"PLT_MENU_DISPLAY_MODE_TOOLTIP": "FULLSCREEN, WINDOWED OR BORDERLESS"
"PLT_MENU_TEXTURE_FILTER_MODE": "    FILTER MODE"
"MAINMENU_MACHINIMA_MODE": "EDIT CINEMA CLIPS"
"PC_COPY_CURRENT_HINT": "CREATE A NEW CAMERA ZONE BASED ON THE CURRENT ZONE"
"COOP_REMOTE_CHEAT_STARTING": "Your co-op partner is using cheats. Any new save games created will have cheats enabled.\nAutosaving has been disabled and you will not be able to earn any more achievements."
"MENU_MOUSE_CONTROLS_INVERT_X": "INVERT HORIZONTAL AXIS"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS": "   TURN RIGHT"
"MENU_ULTRA": "ULTRA"
"PCACTION_WEAPON_7": "WEAPON 7"
"HASH_B617EDBF": "MATCHMAKING"
"TUT_STREAKING_PC": "{TAUNT_TWO_IMG} twice to start Streaking. \nWhile not wearing any clothes the Streaking diversion is available. "
"CBA_GAC_GRENADE_SELECT_3": "   GRENADE SLOT 3"
"CBA_GAC_CELL_OPEN": "   CELL PHONE"
"CBA_VDC_VTOL_TRANSITION": "   SWITCH VTOL MODE"
"PLT_MENU_VSYNC_CUTSCENE_TOOLTIP": "VERTICAL SYNC DURING CUTSCENES"
"PC_LOAD_CHAR_HINT": "LOAD THE DEFAULT CHARACTER MODEL"
"PC_GS_VEHICLES_HINT": "TOGGLE VEHICLE RENDERING"
"PC_PROPS": "PROPERTIES"
"PC_CAM_TILT_HINT": "THE CAMERA TILT"
"BTN_RTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"BTN_X_TXT": "THE A BUTTON"
