"M16_OBJ_KILL_TANKS": "搜寻并摧毁敌方[format][color:kill]坦克[/format]"
"MM_Z_05_obj_meet_zimos": "前往[format][color:location]齐莫斯的据点[/format]"
"M17_OBJ_BOARD_SHIP": "降落在[format][color:location]温泉关号[/format]"
"M16_TXT_ADV_SC_09_CH2": "摸摸独角兽"
"MISSION_NAME_MM_Z_05": "醉生梦死"
"SH04_MSG_GRAB": "审问[format][color:use]经理[/format]"
"M23_OBJ_PLANT_BOMB": "安放[format][color:use]炸弹[/format]"
"M16_TXT_ADV_SC_12_CH1": "再玩一次"
"M10_OBJ_ESCAPE_TO_SAINTS_HQ": "逃往[format][color:location]圣徒总部[/format]"
"m09_failure_zimos_died": "齐莫斯死了！"
"M13_OBJ_THROW_JOSH": "把[format][color:use]乔什[/format]交给[format][color:purple]肖恩蒂[/format] 或 [format][color:blue]赛勒斯[/format]"
"M07_ACTION_UNTIE_KINZIE": "解开金吉"
"MM03_OBJ_COMPLETE_PHOTO_OP": "完成[format][color:location]拍照点[/format]"
"SH03_OBJ_GO_DOWNSTAIRS": "前往[format][color:location]楼下[/format]"
"m15_failure_truck_deckers_hq": "赛博帮抢走了超级计算机！"
"MSN_PRE_CALL_OBJ_MMZ01": "前往[format][color:location]齐莫斯的据点[/format]"
"MSN_PRE_CALL_OBJ_M23": "前往[format][color:location]断木棍酒吧[/format]"
"m22_failure_shaundi_died": "肖恩蒂死了！\n 用手榴弹把琪亚和肖恩蒂分开，再轰掉琪亚。"
"M14_OBJ_GO_TO_TOWER": "前往[format][color:location]广播塔[/format]"
"MISSION_COOP_START_MSG": "开始合作任务？"
"m20_failure_premature_hijackulation": "你跳得太早了！"
"M20_OBJ_CRASH_THE_BOAT": "撞毁[format][color:kill]船只[/format]"
"M17_OBJ_DESTROY_REACTOR": "摧毁[format][color:kill]控制台[/format]"
"M16_TXT_ADV_SC_08_CH1": "重新开始"
"MISSION_COOP_REPLAY_PROMPT": "重玩"
"MISSION_NAME_M10": "帮派火并"
"MM03_OBJ_CLEAR_NOTORIETY": "[format][color:location]躲藏[/format]以降低恶名"
"M16_TXT_ADV_SC_04_CH1": "继续前行"
"M22_OBJ_KILL_KIA": "击杀[format][color:kill]琪亚[/format]"
"M22_OBJ_HELP_ANGEL": "帮助[format][color:defend]安吉尔[/format]"
"M16_TXT_ADV_SC_10": "这看起来像一头独角兽。\n\n你想做什么？\n\n"
"M16_OBJ_KILL_MATT": "摧毁[format][color:kill]马特·米勒的化身[/format]"
"MISSION_NAME_MM_A_04": "直面恐惧"
"MM03_OBJ_GOTO_COLLECTIBLE": "找到[format][color:location]充气娃娃[/format]"
"sh01_failure_abandon_pierce": "皮尔斯被抛弃了！\n圣徒必须团结一致！"

"m12_failure_suko_died": "薇奥拉阵亡！"
"M08_OBJ_GO_UP_TO_BAR": "上到[format][color:location]酒吧[/format] "
"M06_FAILURE_ABANDON_HOMIE": "兄弟被抛下了！\n圣徒可不能各自单飞！"
"M04_OBJ_FIND_MECHANIC": "开车去[format][color:location]修车师傅[/format]那里"
"m07_failure_angel_died": "安吉尔阵亡！"
"MM_K_02_obj_goto_kinzie": "前往[format][color:location]金吉的藏身处[/format]"
"M09_OBJ_FIND_THE_GIRLS": "找到[format][color:use]女孩箱[/format]"
"M17_OBJ_JAILBREAK": "救出你的[format][color:use]朋友[/format]"
"M11_OBJ_DESTROY_STAG": "引起[format][color:kill]STAG[/format]的注意"
"M11_OBJ_DISTRACT_STAG": "找到一处[format][color:location]STAG 基地[/format]"
"M08_OBJ_SURVIVE_ASSAULT": "[format][color:defend]挺过[/format]第一波攻势"
"M07_OBJ_FIND_KINZIE": "找到[format][color:location]金吉[/format]"
"SH02_OBJ_SECURITY": "解除安保系统"
"M16_TXT_ADV_SC_03": "你从壁架上取下火把，推开了门。眼前是一条幽暗的走廊，一路延伸向墨黑、阴森、深不见底的黑暗。你走了仿佛一个世纪那么久，这才发觉火把快要烧完了。\n\n你要怎么做？\n\n"
"SH03_DIRECTIVE_ONE": "已入侵[format][color:location]上行链路[/format]"
"m17_failure_shaundi_died": "肖恩蒂阵亡！"
"M16_TXT_ADV_SC_00_CH2": "拿起火把"
"M16_OBJ_GOTO_ANTI_VIRUS": "前往[format][color:location]反病毒区[/format]"
"M13_OBJ_DEFEND_THE_SOUTH": "守住[format][color:defend]南侧[/format]"
"M08_OBJ_FIND_SNIPER_RIFLE": "拿到[format][color:use]狙击枪[/format]"
"M02_OBJ_OPEN_DOORS": "打开[format][color:location]货舱门[/format]"
"M22_OBJ_CLEAR_ARMORY": "肃清[format][color:kill]军械库[/format]"
"M08_OBJ_DESTROY_VEHICLES": "摧毁[format][color:kill]直升机[/format]"
"M03_OBJ_GO_TO_WEAPON_STORE": "前往[format][color:location]队友火力[/format]"
"M16_TXT_ADV_SC_06": "你继续往前走，向迪亚兹的31位神明祈祷火把千万别熄。幸好，它真没熄。前方黑暗渐渐让位于光亮，一抹暗淡的靛蓝光辉照亮了走廊深处。你听见一块巨石在岩壁上摩擦的声响。\n\n你要怎么做？\n\n"
"M04_OBJ_GET_CAR": "上一辆[format][color:use]车[/format]"
"STRONGHOLD_HUD_TITLE": "根据地"
"m20_failure_no_tanks_to_you": "STAG 坦克全被摧毁！"
"M13_OBJ_HELP_VIOLA": "救援[format][color:defend]薇奥拉[/format]"
"M16_TXT_ADV_SC_08": "你感觉到一股邪到极致的气息正沿走廊逼近。你还在等，一块松动的石板就从天花板掉了下来。\n\n它砸在你头上，摔断了你的脖子。\n\n你死了。\n\n感谢游玩《龙与泪：螺旋黑暗三部曲》第一部\n\n"
"M15_OBJ_DISABLE_THE_TRUCK": "打坏卡车[format][color:kill]车轮[/format]"
"m13_failure_oleg_died": "奥列格阵亡！"
"M08_OBJ_GET_TO_ROOF": "上到[format][color:location]屋顶[/format]"
"M22_OI_KILLBANE_BODY_TEXT": "杀死杀霸，但肖恩蒂会死"
"M14_LABEL_PLANTING_TRANSMITTER": "正在安放发射器"
"M02_OBJ_CATCH_SHAUNDI": "接住[format][color:location]肖恩蒂[/format]"
"M22_OBJ_PROCEED_UP_STATUE": "沿[format][color:location]雕像[/format]向上攀爬"
"MSN_PROTO_SELECT_SATCHEL_DESC": "原型遥控炸弹，带有特殊纳米黏性涂层，能牢牢黏附在接触到的任何表面上。"
"MM03_OBJ_KILL_FP": "铲除[format][color:kill]帮派行动点[/format]"
"M22_UNTIE": "松绑"
"M16_TXT_ADV_SC_00_CH3": "钻过洞口"
"M14_ACTION_TRANSMITTER": "安放发射器"
"M13_OBJ_ESCAPE": "从顶层公寓[format][color:location]跳下[/format]"
"M07_OBJ_GO_TO_CLUB": "前往[format][color:location]私享俱乐部[/format]"
"M15_OBJ_GET_TO_THE_GARAGE": "前往[format][color:location]车库[/format]"
"m09_failure_girls_heli": "女孩们的直升机被摧毁了！\n快干掉晨星帮，别让他们干掉你！"
"m06_failure_shaundi_died": "肖恩蒂阵亡！"
"M06_OBJ_TO_OLEG": "上[format][color:location]楼[/format]"
"m02_failure_shaundi_died": "肖恩蒂被杀了"
"M15_OBJ_GO_TO_PR_CENTER": "前往[format][color:location]STAG 公关中心[/format]"
"M12_OBJ_GET_TO_THE_ELEVATORS": "前往[format][color:location]电梯[/format]"
"M07_OBJ_PROTECT_ANGEL": "保护[format][color:defend]安吉尔[/format]"
"M01_RIDE_VAULT": "活下来"
"M06_Y_FOR_DESTROY_BUILDING": "摧毁大楼"
"M03_OBJ_CUTSCENE_FOUND_WEAPONS_CACHE": "[format][color:location]过场动画：发现武器库[/format]"
"M15_OBJ_GET_IN_THE_TANK": "夺取[format][color:use]坦克[/format]"
"M01_GO_TO_VAULT": "前往[format][color:location]金库[/format]"
"METAGAME_OTHER": "其他"
"M08_OBJ_GET_TO_BASEMENT": "前往[format][color:location]维修间[/format]"
"M02_OBJ_KILL_PURSUERS": "消灭[format][color:kill]追兵[/format]"
"MSN_PLAYER_ESCAPED": "你们中有一人活着逃了出来！"
"M15_OBJ_CATCH_THE_TRUCK": "追上[format][color:location]卡车[/format]"
"m14_failure_killbane_escaped": "时间到！杀霸跑了！"
"M05_OBJ_GRENADES": "拿起[format][color:use]手雷[/format]"
"M04_OBJ_RETURN_HOME": "回到[format][color:location]安全屋[/format]"
"M16_TXT_ADV_SC_10_CH1": "抚摸独角兽"
"M12_OBJ_ESCAPE_THE_STAG_BUILDING": "[format][color:location]逃出[/format]STAG 大楼"
"M11_OBJ_HELP_OLEG": "救援[format][color:defend]奥列格[/format]"
"M13_OBJ_COVER_PIERCE": "为[format][color:defend]皮尔斯[/format]提供掩护火力"
"M11_OBJ_KILL_AIR_BASE": "摧毁[format][color:kill]监视飞机[/format]"
"M07_OBJ_GO_TO_ZIMOS": "找到[format][color:location]齐莫斯[/format]"
"METAGAME_HEADSHOT_KILL": "爆头击杀"
"M18_HELP_GET_CLOSER_TO_DOOR": "[format][color:use]音爆[/format]在这个距离似乎毫无效果。试着靠近那扇[format][color:location]门[/format]"
"M16_TXT_ADV_SC_09": "你朝着那片靛蓝光辉走去，走廊尽头豁然开朗，出现一座更大的洞窟，光源也真相大白……整间石室被一片巨大的发光湖泊照得通亮。一头独角兽正在湖边饮水。\n\n你要怎么做？\n\n"
"M06_Y_FOR_ELEVATOR": "呼叫电梯"
"M10_OBJ_KILL_STAG_VTOL": "摧毁[format][color:kill]VTOL[/format]"
"MSN_MORN_START": "开始晨星帮任务"
"M12_OBJ_GRAB_JOSH_BIRK": "抓走[format][color:use]乔什·伯克[/format]"
"M07_OBJ_REACH_BARGE": "前往[format][color:location]驳船[/format]"
"MSN_PROTO_SELECT_OPTION_1": "选择第一种原型装备"
"M09_OBJ_KILL_ATTACKERS": "消灭[format][color:kill]袭击者[/format]"
"m07_failure_zimos_died": "齐莫斯阵亡！"
"M12_OBJ_FIND_JOSH_BIRK": "找到[format][color:teal]乔什·伯克[/format]"
"m10_failure_viola_dismissed": "薇奥拉被抛弃了！\n圣徒可不能各自单飞！"
"M06_OBJ_SET_BOMB": "启动[format][color:use]炸弹[/format]"
"M13_OBJ_CLEAR_THE_FLOOR": "消灭观景台上的[format][color:kill]STAG[/format]"
"M13_OBJ_DETONATE_CAR_BOMBS": "射击[format][color:kill]汽车炸弹[/format]"
"M09_OBJ_GET_INTO_TRUCK": "钻进[format][color:use]卡车[/format]"
"M21_OBJ_KILL_LUCHADORES": "消灭[format][color:kill]摔跤手帮[/format]"
"M16_TXT_ADV_SC_10_CH2": "宰了独角兽"
"M09_OPEN_CONTAINER": "打开集装箱"
"M08_OBJ_STAIRS_TO_BASEMENT": "找到通往维修间的[format][color:location]楼梯[/format]"
"MSN_PROTO_SELECT_OPTION_2": "选择第二种原型装备"
"m10_failure_oleg_died": "奥列格阵亡！"
"M06_OBJ_FIND_BALL": "利用[format][color:use]配重块[/format]"
"M05_OBJ_INTERROGATE": "抓住[format][color:use]副官[/format]"
"M05_OBJ_LET_IN_SAINTS": "放[format][color:use]圣徒[/format]进来"
"M03_OBJ_DESTROY_TANKS": "摧毁[format][color:kill]坦克[/format]"
"m06_failure_destroy_bomb": "炸弹爆了！"
"m03_failure_pierce_destroyed": "皮尔斯的直升机被摧毁！"
"M03_OBJ_USE_SATELLITE_WEAPON": "使用[format][color:use]死神无人机[/format]"
"M03_OBJ_GO_TO_WAREHOUSE": "前往[format][color:location]仓库[/format]"
"METAGAME_MISSION_OBJECTIVE": "任务目标"
"METAGAME_PLAYER_DEATH": "死亡"
"M16_TXT_ADV_SC_06_CH2": "拔剑"
"METAGAME_GANG_LIEUTENANT": "帮派副官"
"M16_TXT_ADV_SC_11_CH1": "重新开始"
"m15_failure_pierce_dismissed": "皮尔斯被抛弃了！\n圣徒可不能各自单飞！"
"M07_OBJ_FIND_ANGEL": "找到[format][color:location]安吉尔[/format]"
"M05_MSG_TAUNT": "挑衅[format][color:location]守卫[/format]。"
"m14_failure_jane_died": "简死了！\n 别杀简，她能帮你找到杀霸。"
"m07_failure_oleg_died": "奥列格阵亡！"
"M05_OBJ_PARACHUTE": "空降[format][color:location]顶层公寓[/format]"
"M17_12_HOURS_LATER": "12 小时后"
"M20_OBJ_GO_TO_AIRPORT": "赶到[format][color:location]机场[/format]"
"m19_failure_suko_died": "薇奥拉阵亡！"
"m12_failure_cover_blown": "假扮红衣主教的身份暴露了！\n 别干任何引人注意的事。"
"M09_OBJ_KILL_GUARDS": "杀掉[format][color:kill]守卫[/format]"
"M16_TXT_ADV_SC_07_CH1": "继续前进"
"m12_failure_josh_abandoned": "乔什被抛弃了！\n圣徒可不能各自单飞！"
"M04_OBJ_KILL_BRUTE": "杀掉[format][color:kill]巨兽[/format]"
"MSN_MAP_MESSAGE": "随时按下 START，即可在地图上找到{MAP_IMG_UNKNOWN_ACT}活动。"
"M18_OBJ_DESTROY_COCKPIT": "用音爆摧毁[format][color:kill]舱门[/format]"
"M06_OBJ_PHILLIPE": "跟上[format][color:location]奥列格[/format]"
"SR3_MISSION_DEBUG_OBJECTIVE": "[format][color:red]未本地化：[color:teal]%s [color:red](!!!)[/format]"
"M06_OBJ_TO_FACTORY": "前往[format][color:location]工厂[/format]"
"M05_OBJ_BARRIER": "摧毁[format][color:kill]屏障[/format]"
"M16_TXT_ADV_SC_05": "你开始不顾一切地往主厅跑，脚下却被一块松动的石板绊了一下。\n\n你摔倒了，摔断了脖子。\n\n你死了。\n\n感谢游玩《龙与泪：螺旋黑暗三部曲》第一部\n\n"
"M07_OBJ_FIND_OWNER": "找到[format][color:location]老板[/format]"
"M02_FAILURE_PLAYER_EJECTED": "你从飞机上摔了出去，死掉了！"
"m24_failure_killed_in_blast": "你被炸死了！"
"M16_TXT_ADV_SC_06_CH3": "施放法术"
"M13_OBJ_DEFEND_THE_NORTH": "守住[format][color:defend]北侧[/format]"
"M09_OBJ_DEFEND_HELI": "保护[format][color:defend]直升机[/format]"
"MSN_PROTO_SELECT_OPTION_3": "确认原型装备"
"M16_TXT_ADV_SC_00_CH4": "打个盹"
"m15_failure_truck_destroyed": "超级计算机被摧毁了！ \n用机枪{TANK_FIRE_PRIMARY_IMG}安全地打爆它的轮胎。"
"SH03_PROTECT_KINZIE": "保护[format][color:defend]金吉[/format] "
"M20_OBJ_ALIGN_HELI": "悬停在[format][color:location]车辆[/format]附近"
"M06_OBJ_RIDE_BALL": "消灭[format][color:kill]目标[/format]"
"M04_OBJ_KILL_GOONS": "消灭[format][color:kill]晨星帮[/format]"
"M08_OBJ_ENTER_CHOPPER": "登上[format][color:use]直升机[/format]"
"M07_OBJ_GRAB_OWNER": "审问[format][color:use]老板[/format]"
"STRONGHOLD_START_MESSAGE_STAG": "开始 STAG 根据地"
"M20_OBJ_GET_UP_TO_SPEED": "把[format][color:kill]车[/format]开到全速"
"M10_OBJ_CALL_ELEVATOR": "试着呼叫[format][color:use]电梯[/format]"
"M05_Jump": "跳"
"M02_OBJ_KILL_GUARDS": "杀掉[format][color:kill]守卫[/format]"
"M16_TXT_ADV_SC_01_CH2": "拿起火把"
"m15_failure_truck_crushed": "超级计算机被摧毁了！ \n用机枪{TANK_FIRE_PRIMARY_IMG}安全地打爆它的轮胎。"
"m11_fail_stag": "你没能留住 STAG 的注意力。"
"m04_failure_pierce_died": "皮尔斯阵亡！"
"m01_failure_josh_died": "乔什死了！"
"M17_OBJ_FIND_BRIG": "找到[format][color:location]禁闭室[/format]"
"M14_OBJ_PLANT_TRANSMITTER": "安放[format][color:use]发射器[/format]"
"M11_OBJ_KILL_ROADBLOCK": "清除[format][color:kill]路障[/format]"
"m04_failure_car_destroyed": "车被摧毁了！"
"M14_LABEL_ACQUIRING_TARGET": "正在锁定目标"
"M13_OBJ_TAKE_OUT_THE_SNIPERS": "干掉[format][color:kill]狙击手[/format]"
"MSN_FAIL": "警察把你们打得屁滚尿流！"
"m14_failure_heli_abandoned": "你抛弃了直升机！"
"METAGAME_SUCCESS_WIN": "你的得分超过了搭档，赢得了 $%.0f！"
"M08_OBJ_REVIVE_PIERCE": "救活[format][color:revive]皮尔斯[/format]"
"m01_failure_gat_died": "盖特阵亡！"
"M01_SET_EXPLOSIVES": "去安放[format][color:use]炸药[/format]"
"M01_TITLE": "银行劫案"
"M16_TXT_ADV_SC_00_CH1": "打开门"
"M13_OBJ_TAKE_OUT_THE_VTOLS": "摧毁[format][color:kill]VTOL[/format]"
"M14_OBJ_GO_TO_HELI": "前往[format][color:location]直升机[/format]"
"m10_failure_oleg_dismissed": "奥列格被抛弃了！\n圣徒可不能各自单飞！"
"m09_failure_zimos_abandoned": "齐莫斯被抛弃了！\n圣徒可不能各自单飞！"
"m08_failure_zimos_died": "齐莫斯阵亡！"
"STRONGHOLD_START_MESSAGE_MORN": "开始晨星帮根据地"
"MSN_ACTIVITES_RESPECT_REPEAT_GERMAN": "活动{MAP_IMG_UNKNOWN_ACT}能赚取声望。查看地图确认活动位置。"
"M14_OBJ_TARGET_VAN": "瞄准[format][color:use]广播车[/format]"
"M10_OBJ_SURVIVE": "活下来"
"M06_Y_FOR_NO_BOMB": "拆除炸弹"
"METAGAME_QUICK_KILL": "快速击杀"
"M17_BRIG_DOORS": "启动安保门"
"M16_TXT_ADV_SC_03_CH3": "跑回去拿另一支火把"
"m13_failure_saints_hq_abandoned": "圣徒总部被弃守了！"
"M03_OBJ_PROTECT_THE_STASH": "保护[format][color:defend]直升机[/format]"
"MSN_LUCH_START": "开始摔跤手帮任务"
"M08_OBJ_TAKE_COVER_BEHIND_BAR": "躲到[format][color:location]吧台[/format]后面 "
"M04_OBJ_FIND_CLOTHES": "前往[format][color:location]圣徒星球[/format]"
"M03_OBJ_PROTECT_THE_BOMB": "保护[format][color:defend]炸弹[/format]"
"m20_failure_vehicle_exit": "乘客逃跑了！"
"M13_OBJ_GOTO_PENTHOUSE": "前往[format][color:location]顶层公寓[/format]"
"M20_OBJ_RC_A_BOAT": "遥控一艘[format][color:use]船[/format]"
"M06_Y_FOR_BOMB": "启动炸弹"
"SH02_OBJ_GET_VEHICLE": "钻进[format][color:use]载具[/format]"
"m14_failure_shaundi_died": "肖恩蒂阵亡！"
"M13_PROMPT_THROW_JOSH_TO_CYRUS": "把乔什交给赛勒斯"
"m07_failure_club_owner_died": "俱乐部经理死了！\n 审问完之前别让他死了。"
"M03_FAILURE_ABANDON_HOMIE": "肖恩蒂被抛弃了！\n圣徒可不能各自单飞！"
"M03_OBJ_ACCESS_MAP_USE_MSG": "打开手机地图"
"SH03_HACKING_TIME": "入侵中"
"M11_OBJ_GO_STAG_BASE": "赶到[format][color:location]STAG 基地[/format]"
"M05_OBJ_KILL_LIEUTENANT": "干掉[format][color:kill]副官[/format]"
"M01_Y_FOR_EXPLOSIVES": "安放炸药"
"M09_OBJ_TO_BROTHEL": "开车去[format][color:location]晨星帮销金窝[/format]"
"M08_OBJ_GO_TO_ROOF": "乘[format][color:use]电梯[/format]上到屋顶"
"m06_failure_pierce_died": "皮尔斯阵亡！"
"MSN_PROTO_SELECT_BIKE_DESC": "原型单人攻击/运输载具，采用了与 VTOL 相同的悬浮与变形技术。"
"M12_OBJ_ENTER_THE_PR_CENTER": "进入[format][color:location]公关中心[/format]"
"SH03_TURN_OFF_FINAL": "关闭最后一台[format][color:use]路由器[/format]"
"M16_TXT_ADV_SC_09_CH1": "看看那头独角兽"
"M16_CHOOSE_COMPANY_A": "武器制造商"
"m05_fail_left": "你离开了派对！"
"m03_failure_shaundi_killed": "肖恩蒂阵亡！"
"M06_OBJ_KILL_BRUTE": "杀死[format][color:kill]巨兽[/format]"
"M05_OBJ_CLEAR_AREA": "肃清[format][color:kill]晨星帮[/format]"
"METAGAME_NUTSHOT_KILL": "蛋击"
"m22_failure_statue_blown_up": "雕像被摧毁了！\n 用音爆对付炸弹时小心点，别让它们碰到任何东西。"
"m03_failure_bomb_destroyed": "炸弹被摧毁了！"
"MISSION_COMPLETE": "任务完成！"
"M05_OBJ_BASEMENT": "找到[format][color:location]储物室[/format]"
"M01_SIGN_AUTOGRAPH": "签名留念"
"MISSION_HUD_TITLE": "任务"
"M22_OBJ_STOP_KILLBANE": "拦下[format][color:kill]杀霸的飞机[/format]"
"M11_OBJ_HELP_CONVOY": "协助[format][color:location]车队[/format]"
"m09_failure_ship_abandoned": "任务已放弃！"
"M09_OBJ_SOUTH_PLATFORM": "赶到[format][color:location]南侧平台[/format]"
"m07_failure_shaundi_died": "肖恩蒂阵亡！"
"M03_OBJ_GO_TO_ARMORY": "前往[format][color:location]守军军械库[/format]"
"m01_failure_shaundi_died": "肖恩蒂阵亡！"
"sh04_failure_left_casino": "你还没干完活就离开了游乐场！"
"M17_OBJ_HIJACK_VTOL": "夺取一架[format][color:use]VTOL[/format]"
"M21_OBJ_ENTER_THE_RING": "走进[format][color:location]擂台[/format]"
"M20_PEDS": "行人"
"M17_TIMER_ESCAPE": "逃跑"
"m07_failure_pierce_died": "皮尔斯阵亡！"
"M01_KILL_LOBBY_GUARDS": "杀掉[format][color:kill]守卫[/format]"
"M16_TXT_ADV_SC_03_CH2": "搜寻暗门"
"M08_OBJ_PROTECT_PIERCE": "保护[format][color:defend]皮尔斯[/format]"
"m12_failure_josh_died": "乔什死了！"
"STRONGHOLD_START_MESSAGE_LUCH": "开始摔跤手帮根据地"
"m03_failure_heli_destroyed": "直升机被摧毁了！"
"M02_OBJ_SHOOT_PLANE": "打碎[format][color:kill]挡风玻璃[/format]"
"M03_OBJ_EXIT_STORE": "离开商店"
"MSN_DECK_START": "开始赛博帮任务"
"M05_OBJ_TAUNT": "挑衅[format][color:location]守卫[/format]"
"M03_OBJ_ACCESS_MAP": "打开[format][color:location]手机地图[/format]"
"m14_failure_shaundi_abandoned": "肖恩蒂被抛弃了！\n圣徒可不能各自单飞！"
"m11_fail_oleg": "奥列格阵亡！"
"m05_fail_chase": "副官逃掉了！\n压低身形，别跟丢他。"
"M08_USE_TRIGGER_RESTORE_POWER": "恢复电力"
"M08_OBJ_STAIRS_TO_ROOF": "找到通往屋顶的[format][color:location]楼梯[/format]"
"METAGAME_SUCCESS_LOSE": "你的搭档得分超过了你。"
"METAGAME_EXPLOSION_KILL": "爆炸击杀"
"M03_OBJ_GO_TO_CHOPPER": "登上[format][color:location]皮尔斯的直升机[/format]"
"M01_SURVIVE": "守住[format][color:defend]自己[/format]"
"M16_TXT_ADV_SC_09_CH3": "杀了那头独角兽"
"M07_ACTION_INTERROGATE": "审问"
"m05_fail_time": "时间到！\n赶快抓住副官，逼问出停止炸弹的密码。"
"M05_OBJ_GET_TO_HELI": "登上[format][color:use]直升机[/format]"
"MISSION_NAME_MM_Z_04": "勾勒一幅画卷"
"M05_OBJ_WAIT_FOR_SAINTS": "守住[format][color:defend]电梯[/format]"
"M03_OBJ_STEAL_A_CAR": "偷一辆[format][color:use]车[/format]"
"METAGAME_GANG_VEHICLE": "帮派载具"
"M18_OBJ_BAIL_FROM_TANK": "跳出[format][color:use]坦克[/format]"
"M09_OBJ_PUT_GIRLS_IN_CRATE": "把女孩们带往[format][color:location]集装箱[/format]"
"M08_ACTION_USE_ELEVATOR": "使用电梯"
"M07_OBJ_KILL_LUCHADORES": "消灭[format][color:kill]摔跤手帮[/format]"
"M03_OBJ_ELIMINATE_REINFORCEMENTS": "消灭[format][color:kill]增援[/format]"
"M07_OBJ_KILL_MORNINGSTAR": "消灭[format][color:kill]晨星帮[/format]"
"M03_OBJ_DESTROY_TARGETS": "摧毁[format][color:kill]目标[/format]"
"M05_FAIL_LT_DIED": "副官死了！"
"M03_OBJ_FIND_WEAPONS_CACHE": "找到[format][color:location]武器库[/format]"
"M21_USE_TEXT_GO_RING_SIDE": "前往擂台边"
"M13_OBJ_DESTROY_STAG_BANNER": "烧掉[format][color:kill]STAG 旗帜[/format]"
"m04_failure_abandon_pierce": "皮尔斯被抛弃了！\n圣徒可不能各自单飞！"
"M16_OBJ_CHOOSE_A_COMPANY": "选择[format][color:use]公司[/format]"
"M10_OBJ_KILL_STAG_SNIPERS": "消灭[format][color:kill]STAG 狙击手[/format]"
"MISSION_CHECKPOINT": "检查点！"
"M09_OBJ_CHOICE": "开车去[format][color:location]销金窝[/format]，或去[format][color:saints]圣徒总部[/format]"
"M03_OBJ_PURCHASE_AN_UPGRADE": "购买[format][color:use]武器升级[/format]"
"M02_OBJ_FIND_PARACHUTE": "找一顶[format][color:location]降落伞[/format]"
"M01_GO_UPSTAIRS": "上[format][color:location]楼[/format]"
"METAGAME_GANG_BOSS": "帮派老大"
"M09_OBJ_NORTH_PLATFORM": "赶到[format][color:location]北侧平台[/format]"
"METAGAME_SUCCESS_TIE": "你和搭档打成了平手。"
"METAGAME_GANG_MEMBER": "帮派成员"
"M17_OBJ_FIND_HELI": "找一架[format][color:location]VTOL[/format]"
"M07_OBJ_UNTIE_KINZIE": "给[format][color:use]金吉[/format]松绑"
"M12_USE_LOAD_JOSH": "把乔什放进车里"
"m10_failure_viola_died": "薇奥拉阵亡！"
"M09_OBJ_GO_TO_SHIP": "赶到[format][color:location]货船[/format]"
"M16_OBJ_GOTO_FIREWALL": "赶到[format][color:location]防火墙[/format]"
"M09_OBJ_WAIT_FOR_CHOPPER": "等待直升机"
"M06_OBJ_DECIDE": "[format][color:use]拆除炸弹[/format]或[format][color:kill]摧毁大楼[/format]"
"M11_OBJ_GO_OLEG": "赶到[format][color:location]奥列格[/format]身边"
"M07_FAILURE_PATRONS_DIED": "别杀客人，用 {ACTION_IMG} 审问他们"
"M11_OBJ_GO_AIR_BASE": "拦截[format][color:location]监视飞机[/format]"
"M05_OBJ_FIND_LIEUTENANT": "找到[format][color:location]副官[/format]"
"M04_OBJ_USE_MECHANIC": "使用[format][color:use]修车行[/format]"
"MSN_STAG_START": "开始 STAG 任务"
"M22_OBJ_GOTO_STATUE": "赶到[format][color:location]雕像[/format]前"
"m06_failure_oleg_died": "奥列格阵亡！"
"M06_OBJ_DOCK_THUGS": "消灭[format][color:kill]码头守卫[/format]"
"M04_OBJ_BUY_CLOTHES": "购买[format][color:use]服装[/format]"
"M12_OBJ_ENTER_THE_ELEVATOR": "走进[format][color:location]电梯[/format]"
"M10_OBJ_ESCAPE_STAG": "[format][color:location]逃出[/format]STAG 的伏击"
"MSN_ACTIVITES_RESPECT_REPEAT": "活动{MAP_IMG_UNKNOWN_ACT}能赚取声望。查看地图确认活动位置。"
"M12_OBJ_GO_TO_RECEPTION_DESK": "前往[format][color:location]前台[/format]"
"M08_OBJ_GO_TO_CHOPPER": "拿[format][color:use]防空武器[/format]"
"M18_OBJ_HIJACK_TANK": "夺下[format][color:location]坦克[/format]"
"METAGAME_REVIVE_HOMIE": "救起兄弟"
"M03_OBJ_KILL_GUARDS": "消灭[format][color:kill]守卫[/format]"
"M16_CHOOSE_COMPANY_B": "汽车经销商"
"M14_OBJ_GO_TO_INTERVIEW": "前往[format][color:location]采访现场[/format]"
"M09_OBJ_GET_TO_THE_CHOPPER": "跳上[format][color:location]直升机[/format]"
"M20_OBJ_CRASH_BEACH_PARTY": "闯进[format][color:location]海滩派对[/format]"
"M12_OBJ_ESCAPE_TO_THE_SAINTS_HQ": "逃回[format][color:location]圣徒总部[/format]"
"M12_OBJ_GO_TO_THE_PR_CENTER": "前往[format][color:location]公关中心[/format]"
"M05_OBJ_CHASE_HELI": "跟上[format][color:location]副官[/format]"
"MSN_RESPECT_HELP_REPEAT": "游玩拐人救美等活动{MAP_IMG_UNKNOWN_ACT}即可赚取声望。  "
"METAGAME_MELEE_KILL": "近战击杀"
"M13_OBJ_GOTO_SHAUNDI": "赶到[format][color:location]肖恩蒂[/format]身边"
"m08_failure_pierce_died": "皮尔斯阵亡！"
"M05_ELEVATOR": "呼叫电梯"
"M02_OBJ_ESCAPE": "带着[format][color:defend]肖恩蒂[/format]逃跑"
