"CUST_ITEM_CF_HAIR_MED": "露肩"
"CUST_COLOR_CLOTHING_VIOLET_8": "紫罗兰 8"
"HAIR_COLOR_BLEACHED_MATTE": "哑光漂金"
"LOGO_FRECKLE_2": "雀斑女孩 2"
"CUST_VARIANT_TIGER": "虎"
"VEHICLE_COLOR_CRYSTAL_DECANTER_WHITE": "水晶醒酒器白"
"CUST_ITEM_FEMALE_LP_EARRINGS_3": "鲨咬耳环"
"RIM_193": "AF1 单体 110"
"CUST_ITEM_CF_NLMD_UBDY_F_PISTOL": "突突射击 T 恤"
"CUST_TATTOO_ENTIRE_CHEST": "整片胸膛"
"VEHICLE_COLOR_BLUE_LIGHT_TINT": "淡蓝染"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS_TIE": "塞衣，系扣，高腰裤，无背带，领带"
"CUST_ITEM_IMPRESSIONS_FEMALE_R": "印象·女 R"
"RIM_178": " SD EDV2"
"CUST_ITEM_CM_HEAD_M_ANTENNA": "天线"
"CUST_ITEM_CF_LLK_UBDY_F_LATEXJACKET": "超紧身夹克"
"FEMALE_BODYBUILDER": "女·健美"
"CUST_VARIANT_GLITTERY": "闪粉"
"LOGO_STILWATER_CYCLE": "斯蒂尔沃特车行"
"FACTORY_STANDARD_HOOD_W__INTAKE": "原厂标准引擎盖（含进气，不应使用）"
"LOGO_VOLITION_4": "Volition 4"
"CUST_VARIANT_MED_DOTS": "中圆点"
"SLOT_DECAL_3": "贴花 3"
"CUST_VARIANT_ARMS": "双臂"
"CUST_CAT_HAIR_COLOR_SECONDARY": "头部头发次色"
"CUST_COLOR_CLOTHING_BLUES_3": "蓝色 3"
"CUST_COLOR_CLOTHING_RED-ORANGE_5": "红橙 5"
"HAIR_COLOR_RED_MATTE": "亮红哑光"
"BRIGHT_ORANGE": "亮橙"
"CUST_ITEM_CM_NLMB_LBDY_M_SHORTS": "兄弟短裤"
"LOGO_HEADSTONE": "墓碑"
"CUST_COLOR_GRAY_2": "灰色 2"
"CUST_VARIANT_DULL": "暗淡"
"SLOT_RIMS_FRONT": "前轮辋"
"SLOT_TAILLIGHTS": "尾灯"
"SLOT_REAR_BUMPER": "后保险杠"
"LOGO_VEGAS": "维加斯"
"CUST_COLOR_CLOTHING_GREENS_2": "绿色 2"
"CUST_COMP_FACE_SCAR_6": "小伤疤 2"
"COMPONENT_HIGH_PROFILE": "高轮廓"
"LOGO_UNIVERSITY_5": "斯蒂尔沃特大学 5"
"CUST_WEAR_DEFAULT": "默认"
"CUST_COLOR_CLOTHING_BLUE-GREEN_5": "蓝绿 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_3": "投掷更远。"
"CUST_GANG_COP": "警察"
"CUST_ITEM_CF_PSG_EYES_F_GFXSUNGLASSES": "黑粉屏蔽镜"
"CUST_TATTOO_RIGHT_FOREARM": "右前臂"
"RIM_SET_019": "轮辋套组 19"
"COLOR_SLOT_RIMS": "轮辋"
"CUST_VARIANT_STRIPE_1": "单条纹"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2D": "都市狩猎高领衫"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_2": "增加弹药容量。 "
"LOGO_EZZZY": "EZZZY 105"
"CUST_COLOR_CLOTHING_RED_8": "红色 8"
"COLOR_SLOT_DRAPES": "垂帘"
"CUST_ITEM_FEMALE_LL_BRA_4": "硬妹"
"CUST_COLOR_CLOTHING_YELLOWS_3": "黄色 3"
"CUST_TATTOO_RUPPARM_3": "埃及女神"
"COLOR_SLOT_PAINT_1_AND_RIMS": "喷漆 1 与轮辋"
"CUST_VARIANT_STONEWASH_JEANS": "石洗"
"CUST_GANG_MASCOT": "吉祥物"
"CUST_ITEM_CM_DLC_SUIT_M_KNIGHT": "骑士铠甲"
"CUST_ITEM_CM_IMPN_UBDY_M_TIE": "现代男式礼服衬衫"
"LOGO_XXXY": "XX/XY"
"CUST_VARIANT_STAR": "星"
"CUST_TATTOO_LFORARM_3": "甩肉"
"HAIR_COLOR_LIGHT_BROWN": "浅棕"
"COMPONENT_PAINT_2": "喷漆 2"
"CUST_ITEM_CM_NECK_LL_STUDCHOKER": "老大项圈"
"CUST_ITEM_CM_DLC_FOOT_M_GPBOOTS": "欢乐时光靴！"
"CUST_ITEM_CM_IMPO_FOOT_M_MOCCASINS": "老汉软鞋"
"CUST_COMP_MUSTACHE_21": "颏须"
"VEHICLE_COLOR_COFFEE_CREAMER_TAN": "咖啡奶精棕"
"VEHICLE_PAINT_IRIDESCENT_PAINT": "虹彩漆"
"SLOT_MECHANICAL_COLOR": "机械色"
"CUST_COMP_EYES_WHITE": "白色"
"CUST_VARIANT_LIGHT_PLATINUM": "浅铂"
"CUST_GANG_MORNING_STAR": "晨星"
"CUST_WEAR_RIGHT_ROLLED_HIGH": "右卷，高腰"
"CUST_TATTOO_RARM_1": "街头圣徒"
"RIM_155": "LX-14"
"DIRT": "泥土"
"CUST_WEAR_RIGHT_ROLLED_UP": "右卷上"
"LOGO_BALANCE_2": "平衡 2"
"CUST_VARIANT_TIE": "带领带"
"CUST_WEAR_FORWARD_RIGHT": "前右"
"CUST_ITEM_CM_IMPN_UBDY_M_CJSWEATER": "现代夹克配毛衣"
"SLOT_REINFORCED_FRAME": "强化车架"
"CUST_COLOR_RED_4": "红色 4"
"LOGO_NUMBER12": "12 号"
"CUST_VARIANT_2_SIDED_FADE": "双面渐变"
"RIM_SET_011": "轮辋套组 11"
"CUST_VARIANT_SHINY": "亮面"
"CUST_WEAR_UNTUCKED_BUTTONED_TIE": "不塞衣，系扣，领带"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_6": "蓝紫 6"
"SLOT_WINDOW_COVERS": "车窗罩"
"SLOT_HOOD_ORNAMENT": "引擎盖装饰"
"BRIGHT_INDIGO": "亮靛"
"CUST_TATTOO_STOMACH_4": "独角兽之梦"
"CUST_COMP_MUSTACHE_2": "夸张胡"
"RIM_201": "RBP 左轮 三件式"
"LOGO_SKULL_1": "骷髅"
"LOGO_RAYS_1": "光线 1"
"CUST_VARIANT_TIE_DYE_2": "扎染 2"
"CUST_ITEM_LARGE_ROUND_GLASSES": "虫眼"
"CUST_TATTOO_LEFT_FOREARM": "左前臂"
"CUST_ITEM_CM_LPE_HAT_M_MHELMET": "帝国头盔"
"CUST_COLOR_CLOTHING_RED-ORANGE_9": "红橙 9"
"CUST_COMP_FACE_BLOODY_LIP": "爱痕"
"CUST_TATTOO_RARM_5": "美丽使者"
"RIM_151": "CVX-55"
"COMPONENT_ADD_HYDRAULICS": "液压系统"
"CUST_VARIANT_SHORTSHORTS": "超短裤"
"CUST_ITEM_CM_JOY_UBDY_TATTOO": "摇杆成瘾者·火辣圣徒"
"VEHICLE_COLOR_TEAL_LIGHT_TINT": "淡青染"
"RIM_SET_015": "轮辋套组 15"
"VEHICLE_PAINT_INTERRIORS": "内饰"
"CUST_COLOR_CLOTHING_BLUE-GREEN_9": "蓝绿 9"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_3": "引爆你正在操控的载具。"
"CUST_COMP_FACE_GILLS": "鳃"
"CUST_COMP_MUSTACHE_6": "铅笔藏须"
"CUST_VARIANT_SILVER": "银"
"CUST_ITEM_CM_IMPO_UBDY_M_JCSHIRTWTIE": "邻居夹克与马甲"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_2": "蓝紫 2"
"CUST_COMP_FACE_DIMPLE": "酒窝"
"CUST_VARIANT_STRIPE": "条纹"
"CUST_VARIANT_FLAT_TOP_DESIGN_B": "平顶设计 B"
"CUST_WEAR_NORMAL_LOW": "普通，低腰"
"CUST_COLOR_CLOTHING_VIOLET_4": "紫罗兰 4"
"HAIR_COLOR_REDHEAD_MATTE": "哑光红发"
"CUST_VARIANT_NO_STRIPES": "素面"
"CUST_COLOR_CLOTHING_YELLOWS_7": "黄色 7"
"CUST_TATTOO_RUPPARM_7": "融入血脉"
"CUST_COMP_FACE_BLOODY_NOSE": "破鼻"
"CUST_TATTOO_LFORARM_7": "召之即来"
"COLOR_SLOT_TRIM_4": "饰条 4"
"CUST_ITEM_CF_DLC_WP_OUTFIT": "战士公主"
"CUST_VARIANT_SPORT_SHORTS_2": "样式 1"
"CUST_ITEM_CF_PSD_LBDY_F_GFXSWEATPANTS": "慵懒日七分裤"
"CUST_COMP_MUSTACHE_25": "火星人"
"SLOT_BODY_KIT": "车身套件"
"CUST_VARIANT_PIMPCOAT_HEARTS": "心形"
"VEHICLE_COLOR_RED_LIGHT_TINT": "淡红染"
"CUST_VARIANT_SANDALS_03": "普通"
"CUST_ITEM_CM_IMPL_EYES_M_DSSUNGLS": "T台飞行墨镜"
"COMPONENT_OPTION_1": "选项 1"
"SLOT_INTERIOR_COLOR": "内饰色"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_3": "携带更多导弹。"
"CUST_TATTOO_LOWBACK_5": "我们信仰寒钢"
"CUST_ITEM_CM_LPE_UBDY_M_MUBODYSUIT": "未来战士护甲"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_4": "携带更多炸药。"
"CUST_TATTOO_NECK_1": "航海星"
"CUST_COMP_BODY_MASK_1": "无"
"LOGO_MUSEUM_ERO_1": "埃罗墨诺斯博物馆 1"
"CUST_VARIANT_BIKER_NODECAL": "无贴花"
"CUST_VARIANT_PLAIN_NO_TIE": "素面"
"CUST_WEAR_SUSPENDERS": "背带"
"CUST_COMP_EYE_MAKEUP_15": "尼罗河女王"
"CUST_COLOR_BLEACHED_BLONDE": "漂金"
"CUST_VARIANT_17_DEFAULT": "样式 2"
"CUST_ITEM_CM_MOCAP_SUIT_M_MOCAP": "动作捕捉装"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_9": "黄绿 9"
"CUST_TATTOO_RHAND_1": "四骷髅"
"CUST_COMP_FACE_MAKEUP_1": "全遮掩"
"VEHICLE_COLOR_GOLD": "金"
"CUST_VARIANT_JERSEY_2": "样式 2"
"CUST_TATTOO_FACE_6": "蝴蝶"
"SLOT_RIM_COLOR": "轮辋色"
"DARK_PINK": "深粉"
"LOGO_BROTHERHOOD_1": "兄弟会 1"
"CUST_COLOR_CLOTHING_BROWNS_1": "棕色 1"
"CUST_COMP_MUSTACHE_16": "总裁胡"
"COMPONENT_DECAL_3": "贴花 3"
"CUST_VARIANT_LEOPARD_1": "豹纹 1"
"LOGO_STALLA_1": "马厩风味"
"CUST_ITEM_CF_RING_F_GOTHSET": "暗影之戒"
"CUST_ITEM_CF_RING_F_SMHEART": "小心形套装"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_2": "提升射速与伤害。红点瞄具提高精瞄精度。"
"CUST_TATTOO_LUPPARM_8": "闪亮至上"
"VEHICLE_COLOR_SEAFOAM_TEAL": "海泡青"
"CUST_COMP_CHEEK_MAKEUP_6": "绝妙之夜"
"CUST_TATTOO_LCALF_2": "冷拳"
"CUST_VARIANT_POLKA_DOTS": "波点"
"CUST_VARIANT_MED_TRI_COLOR": "中三色"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_C": "钢埠女英雄"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_4": "爆炸子弹震慑敌人。"
"CUST_COMP_EYE_MAKEUP_2": "左眼罩"
"RIM_189": "C-X 503"
"LOGO_SKEETERS_6": "斯基特斯 6"
"SLOT_RIGHT_SIDE": "右侧"
"SLOT_TAILS": "尾翼"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_NO_SUSPENDERS": "塞衣，系扣，超高腰裤，无背带"
"CUST_WEAR_TUCKED_BUTTONED": "塞衣，系扣"
"CUST_TATTOO_RFORARM_8": "武装且危险"
"CUST_TATTOO_UPPBACK_7": "登场群像"
"CUST_COMP_FACE_MOLE_9": "痣 9"
"LOCALIZE_NONE": "无"
"RALLY_2": "拉力 2"
"SLOT_ROOF_LIGHTS": "车顶灯"
"DARK_ORANGE": "深橙"
"COLOR_SLOT_PAINT_1_AND_PAINT_3": "喷漆 1 与喷漆 3"
"CUST_VARIANT_PLATINUM": "铂金"
"CUST_SKIN_OILED_2": "油亮亚裔 1"
"RIM_SPORTS": "运动"
"CUST_ITEM_CF_NLMD_FOOT_F_CANVASSHOES": "摇滚帆布鞋"
"CUST_TATTOO_LCALF_6": "部落客"
"VEHICLE_COLOR_INSANE_RED": "狂红"
"CUST_ITEM_FEMALE_NLM_EARRINGS_4": "嗜血耳环"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_G": "火辣女牛仔"
"CUST_ITEM_CM_LPE_LBDY_M_MPANTS": "营级长裤"
"CUST_COLOR_CLOTHING_GREYS_4": "灰色 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_3": "投掷更远。"
"CUST_GANG_NINJA": "忍者"
"CUST_COMP_CHEEK_MAKEUP_2": "超模"
"COMPONENT_ADD_REINFORCED_BUMPER": "强化保险杠"
"CUST_ITEM_FEMALE_NLM_OUTFIT_D": "独立少年"
"CUST_ITEM_CF_LPG_LBDY_F_SHORTSCHAPS": "火辣女牛仔"
"CUST_COMP_EYE_MAKEUP_6": "顶部微妆"
"LOGO_NUMBER4": "4 号"
"CUST_VARIANT_SPORT_SHOE": "运动鞋"
"CUST_ITEM_FEMALE_LL_UNDWEAR_5": "示爱丁字裤"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_3": "提升射速。加长枪管有助于抵消增大的后坐力。"
"CUST_TATTOO_UPPBACK_3": "太空匪徒"
"CUST_TATTOO_LOWBACK_1": "缅怀逝者"
"CUST_COLOR_FLESH_1": "肉色 1"
"RIM_SET_007": "轮辋套组 7"
"VEHICLE_PAINT_MILITARY": "军规漆"
"COMPONENT_OPTION_5": "选项 5"
"LOGO_DOGFIGHT": "斗犬！"
"CUST_COMP_EYE_MAKEUP_11": "深色眼线"
"CUST_VARIANT_SKIRTC": "样式 1"
"CUST_VARIANT_TRICOLOR": "三色"
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_3": "锁定更快，携弹更多。"
"CUST_TATTOO_NECK_5": "泰迪熊"
"CUST_WEAR_LOW_BOTH_ROLLED": "双卷，低腰"
"CUST_ITEM_IMPRESSIONS_FEMALE_N": "摩德风格"
"CUST_COMP_FACE_MAKEUP_5": "难眠"
"CUST_VARIANT_PIMPCOAT_LEOPARD2": "豹纹 2"
"CUST_ITEM_CM_NECK_LL_HEART": "承诺项链"
"CUST_ITEM_CM_HAIR_COMBOVER": "光头僧"
"CUST_TATTOO_RHAND_5": "爱情机器"
"LOGO_SHARKS_TEXT_2": "鲨鱼文字 2"
"CUST_VARIANT_FISHNET_1": "渔网 1"
"CUST_ITEM_CM_NECK_FLEURDELIS": "圣徒花链"
"CUST_ITEM_CM_CNC_HAT_M_CAP": "Crooks & Castles 棒球帽"
"CUST_COLOR_CLOTHING_VIOLET-RED_4": "紫红 4"
"CUST_COLOR_CLOTHING_BROWNS_5": "棕色 5"
"Component_Paint": "全喷漆"
"COMPONENT_DECAL_7": "贴花 7"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_8": "黄橙 8"
"CUST_TATTOO_FACE_2": "当圣徒落泪"
"CUST_VARIANT_BABYT": "童装 T"
"CUST_ITEM_CM_POLICESUIT": "警署制服"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_2": "增大弹匣容量。增设第二根枪管以造成更高伤害。"
"COMPONENT_OPTION_10": "选项 10"
"CUST_VARIANT_MATERIAL_4": "材质 #4"
"CUST_VARIANT_BIKER_1": "摩托党 1"
"COMPONENT_LOW_PROFILE": "低轮廓"
"LOGO_MIX": "混音 107.77"
"CUST_VARIANT_2_COLOR": "双色"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_3": "消音器提升伤害并降低后坐力。"
"CUST_TATTOO_RCALF_1": "抛锚沉底"
"CUST_TATTOO_LARM_6": "困于蛛网"
"CUST_TATTOO_LUPPARM_4": "弄蛇人"
"VEHICLE_PAINT_PRECIOUS_METAL": "贵金属"
"HAIR_COLOR_BRUNETTE_MATTE": "哑光深棕"
"LOGO_420": "103.6 四二零"
"CUST_VARIANT_MATERIAL__17": "材质 #17"
"CUST_ITEM_CM_HAIR_RECEDINGPEAK": "羽饰帽"
"VEHICLE_COLOR_KABUKI_RED": "歌舞伎红"
"CUST_ITEM_CM_IMPM_LBDY_M_SHORTS": "卡巴纳短裤"
"CUST_TATTOO_RFORARM_4": "冷酷到底"
"CUST_COMP_FACE_MOLE_5": "痣 5"
"COLOR_SLOT_PAINT_AND_TRIM": "喷漆与饰条"
"RIM_DEEP_DISH": "深盘"
"SLOT_HUBCAPS_REAR": "后轮毂盖"
"SLOT_WINDOW_TINT": "车窗染色"
"BRIGHT_BLUE": "亮蓝"
"VEHICLE_COLOR_CHROME": "镀铬"
"RIM_185": "V-F 604"
"SLOT_WEAPON_2": "武器 2"
"CUST_COLOR_CLOTHING_ORANGE_7": "橙色 7"
"CUST_WPN_UPGRADE_DESC_GRENADE_MOLOTOV_4": "提升伤害。"
"CUST_COMP_EYE_MAKEUP_19": "明眸"
"PLAYER_MORPH_BODY_MUSCLE_TEXT": "肌肉量"
"PLAYER_MORPH_LUMINOSITY_TEXT": "亮度"
"LOGO_STEER": "天界助手"
"CUST_VARIANT_SMOKED": "染色面罩"
"CUST_ITEM_CF_NLMB_RWRST_F_WRISTBAND": "无政府手环"
"COLOR_SLOT_MECHANICAL": "机械"
"COMPONENT_DECAL_10": "贴花 10"
"CUST_VARIANT_THICKSTRIPES": "粗条纹"
"CUST_VARIANT_ZEBRA": "斑马"
"CUST_ITEM_CM_IMPB_UBDY_M_JTURTLENECK": "巴黎晚宴"
"CUST_WEAR_NORMAL_EXTRA_HIGH_SUSPENDERS": "普通，超高，背带"
"CUST_ITEM_CF_PSB_LBDY_F_SHORTSHORTS": "火辣短裤"
"CUST_TATTOO_LHAND_2": "活着或……"
"CUST_VARIANT_PATTERN_2_DECALS": "样式 2 带贴花"
"CUST_VARIANT_DEFAULT": "默认"
"PLAYER_CREATION_MENU_1": "预设"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_5": "黄绿 5"
"CUST_TATTOO_CHEST_6": "张嘴"
"VEHICLE_PAINT_GANG_SAINTS": "圣徒"
"DARK_RED": "深红"
"CUST_GANG_STRIPPER": "艳舞女郎"
"VEHICLE_PAINT_METAL": "金属"
"LOGO_WONDERMART_1": "沃德玛特 1"
"CUST_WEAR_TUCKED_HIGH_PANT_NO_SUSPENDERS": "塞衣，高腰裤"
"CUST_COLOR_CLOTHING_ORANGE_3": "橙色 3"
"SLOT_RIMS": "轮辋"
"CUST_COMP_MALE_EYEBROWS_4": "连眉"
"VEHICLE_PAINT_OPAQUE_PAINT": "不透明漆"
"COMPONENT_OPTION_9": "选项 9"
"CUST_VARIANT_BIG_DIAMONDS": "大钻石"
"CUST_ITEM_MALE_PLANETSAINTS_BRIEFS_1": "圣徒平角裤"
"VEHICLE_PAINT_TRICKED_METALLIC": "炫彩金属"
"COLOR_SLOT_INTERIOR_AND_SOFTTOP": "内饰与软顶"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_4": "黄橙 4"
"CUST_TATTOO_LHAND_6": "心碎"
"CUST_COLOR_INDIGO_2": "靛蓝 2"
"CUST_COLOR_PURPLE_3": "紫色 3"
"CUST_VARIANT_MATERIAL__16__14_DEFAULT": "材质 #16（14 默认）"
"CUST_WEAR_CLOSED": "闭合"
"CUST_COLOR_CLOTHING_VIOLET-RED_8": "紫红 8"
"CUST_COLOR_CLOTHING_BROWNS_9": "棕色 9"
"PAINT_1": "喷漆 1"
"MALE_SLENDER": "男·纤瘦"
"CUST_VARIANT_DRAGON_BOWTIE": "龙"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_1": "黄绿 1"
"CUST_TATTOO_CHEST_2": "幸运龙"
"COLOR_SLOT_GRILL": "金牙"
"CUST_VARIANT_NEW_EYES": "新眼"
"CUST_COMP_FACE_BANDAGE_1": "鼻绷带"
"CUST_COMP_FACE_MAKEUP_9": "右黑眼"
"VEHICLE_COLOR_ALUMINUM": "铝"
"VEHICLE_PAINT_TIRE_TREAD": "轮胎花纹"
"CUST_COLOR_CLOTHING_GREYS_8": "灰色 8"
"DARK_INDIGO": "深靛"
"CUST_VARIANT_POCKET": "口袋"
"CUST_ITEM_CF_LPC_MASK_F_FEMHEROMASK": "超级女英雄面具"
"VEHICLE_COLOR_ACTIVE_RED": "活力红"
"CUST_VARIANT_SHOE": "帆布"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_UNZIPPED": "左卷，右开拉，高腰"
"VEHICLE_COLOR_FRESH_PLUM_PURPLE": "鲜梅紫"
"VEHICLE_COLOR_PURPLE_DARK_TINT": "深紫染"
"Gray": "灰色"
"CUST_VARIANT_DIAMONDS": "小钻石"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_3": "提升伤害。"
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_2": "增大爆发弹量。"
"CUST_TATTOO_RCALF_5": "背负的十字"
"CUST_TATTOO_LARM_2": "死亡使者"
"CUST_WPN_UPGRADE_DESC_SMG_STORM_4": "穿甲弹造成更高伤害并可穿透护甲。"
"CUST_COMP_FACE_MOLE_1": "痣 1"
"VEHICLE_COLOR_DUST_RED": "尘红"
"VEHICLE_COLOR_MINT_CHAR_GREEN": "薄荷炭绿"
"CUST_WEAR_NORMAL_EXTRA_HIGH": "普通，超高"
"VEHICLE_PAINT_GANG_BROTHERHOOD": "兄弟会"
"SLOT_HOOD": "引擎盖"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_3": "提升射速与弹匣容量。 "
"RIM_181": "SD WGM TY"
"LOGO_NUMBER8": "8 号"
"LOGO_GHOST_1": "幽灵 1"
"VEHICLE_COLOR_SATIN_BRIGHT_WHITE": "缎面亮白"
"CUST_COLOR_CLOTHING_VIOLET_7": "紫罗兰 7"
"CUST_WEAR_TATTOO_BAND_B": "环纹 2"
"CUST_WEAR_RIGHT_ROLLED_LOW": "右卷，低腰"
"CUST_COLOR_CLOTHING_YELLOWS_4": "黄色 4"
"CUST_TATTOO_RUPPARM_4": "8 位盖特"
"Brunette": "深棕发"
"LOGO_HORSE": "马"
"LOGO_SAW": "链锯"
"CUST_VARIANT_FLAT_TOP_DESIGN_A": "平顶设计 A"
"CUST_VARIANT_GANG_CAMO": "帮派迷彩"
"CUST_ITEM_CM_NLMA_LBDY_M_SPPANTS": "蒸汽朋克斗士"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_2": "增大弹匣容量。  "
"CUST_COMP_MUSTACHE_26": "西班牙胡"
"CUST_ITEM_FEMALE_PS_UNDWEAR_2": "绯闻圣徒丁字裤"
"CUST_ITEM_CM_LLK_LBDY_M_BOXERS": "刚睡醒"
"CUST_TATTOO_LFORARM_4": "藏械"
"COLOR_SLOT_SOFTTOP": "软顶"
"SLOT_LIGHTS": "车灯"
"CUST_VARIANT_TRI_COLOR": "三色"
"BRIGHT_PURPLE": "亮紫"
"LOGO_8BALL": "8 号球"
"CUST_TATTOO_RARM_6": "困于蛛网"
"RIM_152": "光明会"
"CUST_ITEM_CM_NLMA_FOOT_M_SPBOOTS": "蒸汽朋克靴"
"Paint": "喷漆"
"LOGO_GIRL_1": "女孩 1"
"CUST_VARIANT_10_DEFAULT": "变体 10"
"CUST_VARIANT_TIE_DYE_1": "扎染 1"
"CUST_VARIANT_CMCOA_MSUNSHINE01": "普通"
"CUST_SKIN_CAUCASIAN_01": "白人 1"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_2": "影响范围更大。"
"CUST_TATTOO_STOMACH_3": "自然之筏"
"CUST_COMP_MUSTACHE_5": "牙刷须"
"VEHICLE_COLOR_TINT_20": "染色 20%%"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_1": "蓝紫 1"
"CUST_GANG_ZOMBIE": "丧尸"
"VEHICLE_COLOR_AMERICANA_RED": "美式红"
"RIM_SET_016": "轮辋套组 16"
"CUST_COMP_FACE_BLOODY_FACE": "鼻青脸肿"
"LOGO": "徽标"
"CUST_COLOR_RED_3": "红色 3"
"CUST_ITEM_CF_IMPO_NECK_F_NECKLACE": "都市狩猎项链"
"CUST_TATTOO_RARM_2": "死亡使者"
"VEHICLE_PAINT_EXOTIC": "异域"
"RIM_156": "LX-19"
"SLOT_DECAL_8": "贴花 8"
"SLOT_MISCELLANEOUS": "其他"
"CUST_VARIANT_FADE": "褪色"
"CUST_ITEM_CM_IMPB_UBDY_M_LOWSHIRT": "合身羊绒 V 领"
"CUST_COLOR_CLOTHING_BLUES_8": "蓝色 8"
"SLOT_DOORS": "车门"
"LOGO_BALANCE_1": "平衡 1"
"SLOT_TORQUE": "扭矩"
"LOGO_SCORPION": "蝎子"
"CUST_VARIANT_THICK_STRIPES": "粗条纹"
"CUST_VARIANT_PLAID_BIG": "格纹 2"
"BRIGHT_BLUE-GREEN": "亮蓝绿"
"CUST_VARIANT_LETTERMANSTYLE": "样式 1"
"CUST_VARIANT_CMUNS_UTSHIRT04_U": "样式 2"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_5": "蓝紫 5"
"SLOT_CHASSIS": "底盘"
"CUST_VARIANT_MATERIAL__1": "材质 #1"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_UNZIPPED": "右开拉，低腰"
"CUST_ITEM_IMPRESSIONS_MALE_E": "狩猎导游"
"CUST_ITEM_CM_IMPB_UBDY_M_DRSSHIRTTIE": "整洁一身"
"CUST_COLOR_CLOTHING_GREENS_9": "绿色 9"
"CUST_TATTOO_STOMACH_7": "死神王牌"
"CUST_COMP_MUSTACHE_1": "V 形须"
"RIM_202": "RBP R96 定制紫"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_4": "操控军用载具。"
"VEHICLE_PAINT_PEARLESCENT_PAINT": "珠光漆"
"HAIR_COLOR_BLONDE_MATTE": "哑光金发"
"CUST_COLOR_ROSE_3": "玫瑰 3"
"LOGO_NUMBER11": "11 号"
"CUST_COMP_EYES_PALE_BLUE": "淡蓝"
"RIM_SET_012": "轮辋套组 12"
"CUST_VARIANT_STOCKINGS_1": "纯色"
"SLOT_FUZZY_DICE": "毛绒骰子"
"CUST_WEAR_BOTH_ROLLED_LOW": "双卷，低腰"
"CUST_ITEM_CF_IMPR_LBDY_F_PANTS": "山丘长裤"
"CUST_COLOR_CLOTHING_VIOLET_3": "紫罗兰 3"
"CUST_ITEM_CM_DLC_HAND_M_GPGLOVES": "杀戮时光手套"
"CUST_CAT_UPPER_BODY": "上身"
"CUST_BRO_COMPLIMENT_B": "兄弟会赞词 2"
"VEHICLE_COLOR_SLOW_BURN_RED": "慢燃红"
"CUST_VARIANT_PEACE": "和平"
"CUST_ITEM_CF_RING_F_SHARKTOOTH": "鲨咬戒指"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR2": "束身装"
"CUST_ITEM_CF_IMPO_FOOT_M_PLTFRMS": "都市狩猎厚底鞋"
"CUST_ITEM_CF_NLMH_FOOT_F_SHAGBOOTSM": "派对长毛靴"
"CUST_ITEM_CF_PSB_HAT_F_BASTILLECAP": "诗人帽"
"CUST_COMP_MUSTACHE_22": "下巴条须"
"VEHICLE_COLOR_RUST_BROWN": "锈棕"
"SLOT_REAR_MODS": "后段改装"
"CUST_COLOR_TEAL_1": "青 1"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_2": "增加弹药容量。榴弹会粘附在击中目标上。"
"CUST_GANG_GIMP": "怪装客"
"CUST_ITEM_CM_DLC_HAT_M_KNIGHT": "骑士头盔"
"COLOR_SLOT_TRIM_3": "饰条 3"
"LOGO_FLOWERS": "花"
