"HITMAN_TARGET_33_SHORT_DESC": "黑帮头目头目不愿向圣徒低头"
"DIVERSION_CHALLENGES_BAILOUT_DISTANCE_D": "没有什么比惨烈车祸更能拉高《警况》收视。扭曲的钢板与横飞的残肢在各市场都反响不错，所以……你懂该干嘛，嗯？"
"CHOPSHOP_SHORT_1_3": "急！迪特尔要保住现状！"
"HITMAN_TARGET_43_SHORT_DESC": "兄弟！爆了这个菜鸟！"
"DIVERSION_CHALLENGES_GANG_OPS_DESTROYED": "帮派行动摧毁数"
"DIVERSION_CHALLENGES_STORES_HELD_UP": "打劫商店数"
"DIVERSION_CHALLENGES_BIG_AIR_HEIGHT": "大腾空高度"
"DIVERSION_CHALLENGES_LUCHADORE_NOTORIETY": "高恶名：摔跤手帮"
"CHOPSHOP_LONG_1_6": "那么大，那么猛，还防弹。可对迪特尔最有吸引力的，是泰坦常被塞满现金袋。去三秒压制附近找几辆，无非是去收游乐场的钱。"
"HITMAN_TARGET_22_DESCRIPTION": "这事儿关乎私仇。迈克是个消防员，当初在斯蒂尔沃特想烧了我的扑克窝点。如今他躲债躲到了钢埠。去[format][color:em]罗森橡树区[/format]，在通讯录里[format][color:em]拨通 911 紧急呼叫[/format]，他和新同事就会露面。"
"HITMAN_LOC_H3_3": "埃斯皮纳"
"HITMAN_TARGET_H3_3": "安德烈"
"HITMAN_REWARD": "奖励 $%d 与 %d 声望"
"TUT_COLLECTION_COLLECTIBLE": "收集品散落于钢埠各处。全部找齐吧！"
"HITMAN_TARGET_14_DESCRIPTION": "迪利人是老实，却是个铁腕。圣徒不过在公众场合嘲讽几下，他就抓人。咱们有权当混蛋，不是吗？在[format][color:em]桥港区[/format]闹一闹……[format][color:em]挑衅几个人[/format]，他就会来。"
"DIVERSION_CHALLENGES_GANG_TAUNTS_D": "当圣徒不只是枪、衣服或钱：更是那股派头。咱给钢埠亮亮这范儿？"
"HITMAN_TARGET_53_SHORT_DESC": "处决傲慢的门面"
"DIVERSION_CHALLENGES_GIVE_COMPLIMENTS": "送出赞誉"
"DIVERSION_WHORING_PROGRESS": "快感"
"DIVERSION_TWO_WHEEL_TITLE": "双轮"
"DIVERSION_SURVIVAL_FIRST_LOC_ARRIVED": "在摄像师拍到好镜头前撑住"
"DIVERSION_STREAKING_SHOCKS_HUD_MESSAGE": "剩余惊吓"
"HITMAN_TARGET_23_DESCRIPTION": "我代表钢埠职业常客关切会。我们对阿尔蒙佐在该认输时没认输很不满。让他来个永久跳水。[format][color:em]在格罗夫区骚扰他的摔跤手兄弟[/format]，把他引出来。"
"DIVERSION_CHALLENGES_PARACHUTE_LANDINGS_D": "这注码你准会一口答应，双关不是盖的。你觉着能在跳伞时稳稳落地 15 次吗？我给你 3 赔 1 的赔率……"
"STAGE_TAKEOVER_SUBTITLE_COLLECTED": "接管协助"
"CHOPSHOP_LONG_1_5": "我非得要个胡桃木仪表台配加热踏板不可。除了正义号，别的都不行。去亨利米尔斯钢铁厂区找一辆。"
"HITMAN_LOC_7_3": "亨利米尔斯钢铁厂区"
"HITMAN_TARGET_1_3": "阿格尼丝"
"DIVERSION_CHALLENGES_DESTROY_MORNINGSTAR_VEHICLES": "摧毁晨星帮载具"
"MONEY_PALLET_COLLECTED": "现金托盘"
"DIVERSION_CHALLENGES_NEAR_MISSES_GROUND": "擦身而过"
"HITMAN_TARGET_31_DESCRIPTION": "看来卡马诺广场[format][color:em]「皮革与蕾丝」的老板托尼[/format]，把客服理解成揍任何惹事的人。去那儿让他明白顾客永远是对的，哪怕顾客想要他死。[format][color:em]去那儿点几件衣服[/format]，他自会走到收银台。"
"DIVERSION_COOP_SUCCESS_HOST_WIN": "你赢了 $%.0f！按 {PICKUP_RELOAD_IMG} 再玩一轮，或按 {ACTION_IMG} 退出。"
"DIVERSION_COOP_CAT_AND_MOUSE_TITLE": "猫鼠游戏"
"Hitman_Targets": "目标"
"HITMAN_RIVAL_HITMAN_SPAWNED": "一名对家杀手已出动，抢在他之前干掉目标！"
"LOCALIZE_FRANCHISE": "加盟店"
"DIVERSION_SURVIVAL_TIME_TAG": "时间"
"DIVERSION_CHALLENGES_FALL_NO_PARACHUTE": "无伞坠落存活距离"
"DIVERSION_CHALLENGES_STAG_COMMANDO_KILLS_D": "我说过，STAG 的装备与训练不可小觑。干掉几个突击兵，能挫挫他们的战术锐气。"
"DIVERSION_DRIVEBY_DIVERSION_RATING_LEVEL_2_STRING": "冷血"
"CHOP_SHOP_RESPECT": "声望"
"HITMAN_TARGET_6_3": "奥利弗"
"DIVERSION_COMBAT_TRICKS_STAG_VEHICLE_KILL": "STAG 载具"
"DIVERSION_CHALLENGES_MILES_DRIVEN": "行驶距离"
"DIVERSION_CHALLENGES_CHALLENGE_COMPLETED": "挑战完成！"
"DIVERSION_CHALLENGES_CARS_JACKED": "劫车数"
"DIVERSION_COOP_GSI_OTHER_ALT_SCORE": "另一名玩家的得分："
"DIVERSION_THEFT_SAFE_OPEN": "打开保险箱"
"DIVERSION_STREAKING_LEVEL_COMPLETE_RESPECT": "天体关卡 %d 完成！获得 %d 声望。"
"DIVERSION_CHALLENGES_DESTROY_LUCHADORE_VEHICLES": "摧毁摔跤手帮载具"
"DIVERSION_VEHICLE_SURFING_STYLE_TWO_BALANCE_MESSAGE_TEXT": "{ANALOG_LS_IMG} 在载具上保持平衡"
"DIVERSION_SURVIVAL_CAMERAMAN_NOT_FOLLOWER_TEXT": "你的摄像师恼了，决定自个儿走人。"
"HITMAN_TARGET_43_DESCRIPTION": "圣徒簿的安保得加强。总之，我有活儿给你。Pr0Tip 在 PvP 里把我虐了太多次。去真把他虐一顿。他会在[format][color:em]赛博帮总部[/format]附近吹牛。"
"DIVERSION_CHALLENGES_HOS_SNATCHED": "拐走的女孩数"
"DIVERSION_CHALLENGES_KILL_STAG": "击杀 STAG"
"DIVERSION_CHALLENGES_KILL MORNINGSTAR": "击杀晨星帮"
"HITMAN_TARGET_22_SHORT_DESC": "给他们点颜色"
"HITMAN_TARGET_H12_SHORT_DESC": "低调与否随意"
"DIVERSION_CHALLENGES_MORNINGSTAR_SPECIALISTS": "击杀晨星帮专家"
"HITMAN_LOC_H2_3": "伯恩斯山"
"HITMAN_TARGET_42_DESCRIPTION": "有个叫布莱兹的准超级英雄，专以暴打罪犯（包括咱们）为乐。兄弟们看他横行很不爽。去[format][color:em]卡弗岛——也就是西南区——任何一家商店抢劫[/format]惹毛他，然后撂倒他。"
"HITMAN_TARGET_H2_3": "卢卡斯"
"DIVERSION_CHALLENGES_SURVIVAL_COMPLETED_D": "嘿，我知道你挺过不少烂摊子，但这能向仍存疑的混蛋证明一切。"
"DIVERSION_CHALLENGES_EXPLORE_HOODS_D": "毫无疑问，与辛迪加的这场冲突就是战争。摸清你的战场方为明智。"
"CHOPSHOP_SHORT_1_5": "迪特尔要正义号！"
"DIVERSION_STREAKING_TITLE": "天体"
"DIVERSION_LOW_FLYING_LONGEST_DISTANCE": "纪录：近撞距离"
"DIVERSION_CHALLENGES_KILL_MASCOTS": "击杀吉祥物"
"DIVERSION_CHALLENGES_DESTROY_HELICOPTERS_D": "管它怎么掉下来的……我出高价收。"
"DIVERSION_CHALLENGES_DO_HEADSHOTS_D": "强尼向来欣赏一记好爆头。替他争光，看看你能刷几个。"
"STAGE_TAKEOVER_TITLE_COLLECTED": "S.T.A.G."
"HITMAN_TARGET_H31_DESCRIPTION": "斯穆夫是个不讲道义的老千，懂？如今他投了辛迪加。[format][color:em]抓他一个女孩[/format]，地点在[format][color:em]亨利米尔斯钢铁厂区[/format]。他的女孩都偏胖偏丑……不是你常见那扭来扭去紧身舞娘。总之他一露面，就冻了这猫。  "
"HITMAN_TARGET_32_SHORT_DESC": "我在找一位专业人士"
"DIVERSION_CHALLENGES_VEHICLE_SURFING_D": "信我，老大，载具冲浪爽爆了！试试看嘛？你准上瘾！"
"DIVERSION_COOP_HOST_PLAY_AGAIN": "{MENU_SELECT_IMG} 再赛一场"
"DIVERSION_CAT_AND_MOUSE_MIN_SPEED_WARNING": "加速才能活命！"
"HITMAN_CALL_DISPLAY_7B": "STAG 行动中心"
"HITMAN_LOC_1_4": "桥港区"
"HITMAN_TARGET_34_DESCRIPTION": "救命！我家哈里要自杀，那我就拿不到保险金了！你得在他死前杀了他！他打算从[format][color:em]格罗夫区通往洛伦广场的那座桥上跳下去[/format]。快！"
"HITMAN_TARGET_6_2": "格里戈尔"
"DIVERSION_ONCOMING_TITLE": "逆向车道"
"DIVERSION_FLASHING_FAILED_DUE_TO_WATER_TEXT": "支线已取消。远离水域"
"CHOPSHOP_SHORT_1_1": "回复：迪斯奥特豪斯需要君临"
"HITMAN_LOC_6_4": "厄尔伍德"
"DIVERSION_HOSTAGES_RETURN_THEM": "把人质带往交接点"
"PAUSE_ACT_HITMAN_VIEW": "查看地点"
"HITMAN_TARGET_KILL_FAILED": "目标在你动手前就死了！"
"DIVERSION_SURVIVAL_CLEAR_OUT_ENEMY": "清掉剩余敌人！"
"CHOPSHOP_LONG_1_4": "惹麻烦的人会穿上水泥鞋。迪特尔的客户麻烦不少。迪特尔需要大量水泥。去厄尔伍德找一辆长途霸主“搅拌大师”。"
"HITMAN_LOC_7_2": "废弃纪念碑"
"HITMAN_TARGET_1_2": "DJ 伊尼格玛斯"
"HITMAN_LOC_H3_1": "亨利米尔斯钢铁厂区"
"HITMAN_TARGET_H3_1": "斯穆夫"
"DIVERSION_SURVIVAL_FIRST_LOCATION_TAG": "前往第一个地点"
"DIVERSION_HOSTAGE_SPEED_EXPLAIN": "别减速，否则人质会逃脱"
"CHOPSHOP_LONG_1_1": "你想在这座城留下印象。迪特尔听说了。想被上流社会记住？替迪特尔找一辆君临。「真男人」开它，聪明人偷它。市中心一带就有。"
"HITMAN_TARGET_71_DESCRIPTION": "听说你一直在替拉斯普京（本名巴里，顺便一提）干脏活，而他竟想除掉你。这我可不认同。如今他在逃。他正[format][color:em]在市中心楼顶[/format]等他的直升机。最好由你来「接」他……"
"HITMAN_TARGET_72_SHORT_DESC": "STAG 中士向你下战书"
"DIVERSION_CHALLENGES_DESTROY_POLICE_VEHICLES": "摧毁警用载具"
"DIVERSION_WINDSHIELD_CANNON_TITLE": "挡风玻璃炮"
"HITMAN_LOC_H2_2": "萨兰德"
"HITMAN_TARGET_H2_2": "克尔斯滕"
"DIVERSION_DRIVEBY_DIVERSION_RATING_LEVEL_3_STRING": "一个暴徒"
"CHOPSHOP_SHORT_1_4": "搅拌大师方案"
"HITMAN_LOC_6_1": "亨利米尔斯钢铁厂区"
"HITMAN_TARGET_62_SHORT_DESC": "对你所作所为的奖赏"
"DIVERSION_CHALLENGES_PLANET_SAINTS": "圣徒星球消费"
"HITMAN_CALL_TEXT_7B": "单挑这个斯坦纳角色是个挑战。打电话约他，准备开打。"
"DIVERSION_WHORING_TIME_HUD_TAG": "时间"
"HITMAN_LOC_1_1": "新科尔文"
"HITMAN_TARGET_7_1": "巴里"
"DIVERSION_BURNOUT": "烧胎"

"DIVERSION_VEHICLE_SURFING_BEST_TIME": "车顶冲浪纪录"
"HITMAN_TARGET_12_DESCRIPTION": "我再也受不了了！伊尼格玛斯放的那堆迷幻狗屁音乐，完全搅乱了我的节奏！去[format][color:em]萨兰德[/format]，[format][color:em]用车载收音机放几首 K12 的曲子[/format]，准能把她引出来。然后干掉她！"
"DIVERSION_CHOP_SHOP_WANTED": "这家[format][color:teal]拆车坊[/format]正在求购这辆车"
"DIVERSION_CHALLENGES_EXPLORE_HOODS": "已探索街区"
"DIVERSION_COMBAT_TRICKS_BRUTE_BEAT_KILL": "壮汉殴打"
"DIVERSION_SURVIVAL_GOAL_NAME_SILVER": "白银"
"DIVERSION_HIJACKING": "杜克兄弟！"
"DIVERSION_CHALLENGES_DESTROY_CARS": "已摧毁车辆"
"TUT_DIVERSION_MUGGING": "{SHOULDER_CAMERA_IMG} 抢劫\n让武器持续对准目标，逼他们交出身上的现金。"
"DIVERSION_CHALLENGES_KILL_POLICE": "击杀警察"
"DIVERSION_HOSTAGE_SPEED_WARN": "加快速度，别让人质逃走"
"DIVERSION_DRIVEBY_DIVERSION_RATING_LEVEL_1_STRING": "职业杀手"
"DIVERSION_BEST_TWO_WHEELS": "双轮纪录"
"ACT_HITMAN_LIST": "清除名单上的人"
"DIVERSION_SAFECRACKING_SAFE_OPEN": "开始撬保险箱。"
"DIVERSION_CHALLENGES_VEHICLE_SURFING": "车顶冲浪时间"
"LOCALIZE_HITMAN_DISPLAY_NAME": "HITMAN_DISPLAY_NAME"
"DIVERSION_TWO_WHEEL": "双轮"
"DIVERSION_HOSTAGE_TITLE": "人质"
"DIVERSION_WHEELIE_STOPPIE_TITLE": "翘头/翘尾"
"DIVERSION_CHALLENGES_BARNSTORMING_LOCATIONS": "低空穿越地点"
"PAUSE_ACT_HITMAN_EMPTY": "没有暗杀目标"
"DIVERSION_SURVIVAL_GOAL_NAME_GOLD": "黄金"
"HITMAN_TARGET_61_SHORT_DESC": "连任竞选"
"HITMAN_TARGET_3_3": "卡尔"
"DIVERSION_COMBAT_TRICKS_GANG_KILL": "帮派击杀"
"ACT_HITMAN_START CAR_MSG": "客户要求你以肇事逃逸的方式完成暗杀"
"DIVERSION_CHALLENGES_VEHICLES_FLIPPED": "已翻转车辆"
"DIVERSION_LOW_FLYING": "贴地险飞"
"DIVERSION_COOP_SURVIVAL_START_MESSAGE": "在合作生存中按住 {ATTACK_SECONDARY_IMG}+{ATTACK_PRIMARY_IMG} 救人"
"DIVERSION_THEFT_LOCKOUT": "锁定！还剩 %d 秒"
"DIVERSION_STUNT_JUMPING_NORMAL_STATS": "距离 %.0f 米，高度 %.0f 米"
"ACT_HOLDUP_START_MSG_1": "你开始了抢劫"
"DIVERSION_CHALLENGES_BAILOUT_DISTANCE": "人肉鱼雷总伤害"
"DIVERSION_EXPLORATION_HOOD": "已探索 %ls"
"DIVERSION_DRIVEBY_START_MESSAGE": "开始飞车射击即时挑战"
"DIVERSION_BACK_SEAT_DRIVER": "碾杀"
"ACT_HITMAN_START GUN_MSG": "客户要求你用提供的 %s 完成暗杀"
"DIVERSION_COMBAT_TRICKS_MOTORCYCLE_SWORD_KILL": "切片斩"
"DIVERSION_BEST_JUMP_FALL": "高空坠落纪录"
"DIVERSION_BASE_JUMPING_TARGET_MESSAGE": "降落在目标区域中心以获得奖励"
"DIVERSION_CHALLENGES_MORNINGSTAR_SPECIALISTS_D": "我寻思着，你要是砍掉晨星帮的头，那些小鸡……就会回窝睡觉？唉，去他的烂比喻……把这帮混蛋全干掉就完事了！"
"DIVERSION_CHALLENGES_FIND_SHORTCUTS": "发现的捷径"
"DIVERSION_CHALLENGES_DESTROY_BOATS": "已摧毁船只"
"DIVERSION_BEST_STOPPIE": "翘尾纪录"
"DIVERSION_CHOP_COLLECTION_TITLE": "%ls：%ls"
"DIVERSION_WHEELS_TITLE": "车轮"
"DIVERSION_EXPLORATION_SECRET_SUBTITLE": "发现的地点"
"DIVERSION_BEST_JUMP_SPIN": "高空旋转纪录"
"DIVERSION_CHALLENGES_DO_HEADSHOTS": "爆头"
"DIVERSION_SURVIVAL_OUT_OF_HOOD_TEXT": "你有 %d 秒时间赶回街区"
"DIVERSION_DRIVER_BAILOUT_MAX_DISTANCE_FEET": "纪录！距离：%.1f 英尺"
"TUT_TITLE_BARNSTORMING": "低空穿越"
"DIVERSION_CHALLENGES_WHEELIE_DISTANCE": "翘头距离"
"DIVERSION_CHALLENGES_STUNT_JUMP_DISTANCE_D": "知道我爱看啥不，哥们？快车加大腾空。所以你到底要不要去玩几个跳跃特技？"
"DIVERSION_CHALLENGES_STREAKING_TIME_D": "圣徒得在钢埠跑几笔买卖，需要点……非暴力的掩护。我可没说你非做不可，但这说不定挺好玩。"
"DIVERSION_BARNSTORMING_KNIFE_EDGE": "侧飞"
"DIVERSION_CHALLENGES_STOPPIE_DISTANCE": "翘尾距离"
"DIVERSION_SURVIVAL_TITLE": "生存"
"DIVERSION_COMBAT_TRICKS_PLAYER_KILL": "合作击杀"
"DIVERSION_BEST_TWO_WHEELS_FEET": "双轮纪录：%.0f 英尺"
"DIVERSION_BEST_STOPPIE_FEET": "翘尾纪录：%.0f 英尺"
"DIVERSION_WHORING_SUCCESS": "干得漂亮，辣妹！"
"DIVERSION_SURVIVAL_GOAL_TAG": "目标"
"DIVERSION_CHALLENGES_RUN_OVER_CIVILIANS_D": "说到钝器创伤分析，样本量永远不嫌大。至少我是这么认为的。"
"DIVERSION_LOW_FLYING_TITLE": "贴地险飞"
"DIVERSION_CHALLENGES_STAG_CARJACKS": "劫持的 STAG 载具"
"DRUG_PACKAGE_COLLECTED": "违禁包裹"
"DIVERSION_COMBAT_TRICKS_MP_PLAYER_KILL": "玩家击杀"
"ACT_HITMAN_COMPLETE BONUS_MSG": "干得漂亮。回来领取你的奖金。"
"DIVERSION_BASE_JUMPING_TITLE": "低空跳伞"
"HITMAN_TARGET_31_SHORT_DESC": "回复：钢埠关切者"
"HITMAN_TARGET_5_4": "吉姆"
"DIVERSION_SURVIVAL_ACTIVATE_MESSAGE": "活下来！"
"HITMAN_TARGET_H32_SHORT_DESC": "动我的女孩，你就得完蛋"
"DIVERSION_COOP_SUCCESS_CLIENT_WIN": "你赢了 $%.0f！按 {PICKUP_RELOAD_IMG} 继续。"
"DIV_STREAKING_COMPLETE": "天体即时挑战全部关卡完成！"
"HITMAN_TARGET_3_1": "托尼"
"DIVERSION_CHALLENGES_NO_WEAPON_KILLS_D": "在擂台上，你靠不了枪，也靠不了刀。见鬼，你连搭档都靠不了。所以你得学会只相信你唯一的朋友：你的拳头。"
"DIVERSION_CHALLENGES_DESTROY_TANKS_D": "我按吨收购废钢，所以道理很简单：最重的钢家伙卖得最贵。别浪费时间了！"
"DIVERSION_SURVIVAL_START_MESSAGE": "开始生存即时挑战"
"DIVERSION_STUNT_JUMPING_TITLE": "特技跳跃 "
"DIV_COMBAT_TRICKS_DISPLAY_NAME": "战斗技巧"
"PAUSE_ACT_HITMAN_TITLE": "职业杀手"
"DIVERSION_EXPLORATION_LOCATION": "已发现 %ls"
"DIVERSION_CHALLENGES_HOSTAGES_TAKEN_D": "威尔梅克实验室研制了一种叫「卡塔通宁」的减压药。销量下滑了。钢埠市民太安逸了。自然而然，我们来找你帮忙。"
"DIVERSION_THEFT_UNLOCK_DOOR": "开锁"
"DIVERSION_SURVIVAL_KILLS_TAG": "击杀："
"DIVERSION_STUNTJUMP_SUBTITLTE": "特技跳跃"
"DIVERSION_CHALLENGES_NEAR_MISSES_AIR": "空中险过"
"DIVERSION_CHALLENGES_DESTROY_TANKS": "已摧毁坦克"
"DIVERSION_CHALLENGES_DESTROY_HELICOPTERS": "已摧毁直升机"
"DIVERSION_CHALLENGES_TAKE_DAMAGE": "受到的伤害"
"DIVERSION_HOSTAGE_ESCAPED": "人质逃脱"
"DIVERSION_COMBAT_TRICKS_HUMAN_SHIELD_KILL": "人盾击杀"
"ACT_HITMAN_WARN NOTORIETY_MSG": "先甩掉警察！"
"DIVERSION_EXPLORATION_FOUND": "已发现"
"DIVERSION_DRIVEBY_DIVERSION_ILLEGAL_KILL_STRING": "[format][color:red]帮派成员[/format]必须用飞车射击击杀才算数！"
"DIVERSION_CHALLENGES_FREEFALL": "自由落体"
"DIVERSION_CHALLENGES_KILL DECKERS": "击杀赛博帮"
"ACT_HOLDUP_START_MSG_2": "让准星保持对准店主"
"DIVERSION_DRIVER_BAILOUT": "人肉鱼雷"
"DIVERSION_DRIVEBY_GANG_MEMBERS_FLEE": "你把他们吓跑了，前往下一个地点！"
"ACT_HITMAN_FAIL_MSG": "你时间用完了。"
"DIVERSION_BEST_JUMP_HEIGHT_FEET": "高度纪录：%.0f 英尺"
"HITMAN_TARGET_3_4": "哈里"
"DIVERSION_WINDSHIELD_CANNON": "挡风玻璃炮弹"
"DIVERSION_HYDRAULICS_STYLE_1": "液压悬挂"
"ACT_HITMAN_KILL_MSG": "[format][color:red]目标[/format]已成功清除"
"DIVERSION_CHALLENGES_DECKER_SPECIALISTS_D": "有几个赛博帮成员必须被解决，因为他们马上就要破解乌洛波洛斯协议了。你……真的不会想知道那意味着什么。"
"DIVERSION_FLASHING_TITLE": "露械"
"DIVERSION_HITMAN_SEARCH": "按照联络人的指示引出目标"
"DIVERSION_CHOP_SHOP_TITLE": "拆车坊"
"DIVERSION_CHALLENGES_MULTI_KILLS": "多重击杀"
"DIVERSION_COOP_DEATH_TAG_TITLE": "死亡标签"
"DIVERSION_DRIVEBY_DIVERSION_GOLD_LEVEL_REWARD_NAME": "[format][color:gold]黄金[/format]"
"HITMAN_TARGET_52_SHORT_DESC": "影响生意"
"DIVERSION_HOSTAGES_RETURNED": "已收取人质赎金"
"DIVERSION_HOSTAGE_RETURN_HIM": "把人质带到交付地点"
"DIVERSION_DRIVEBY_DIVERSION_BODY_COUNT_STRING": "击杀数："
"DIVERSION_WINDSHIELD_CANNON_MAX_DISTANCE_FEET": "个人最佳！距离：%.1f 英尺"
"DIVERSION_NEAR_MISS": "险过"
"DIVERSION_HOSTAGE_KIDNAPPED": "你绑架了一名人质"
"DIVERSION_EXPLORATION_TITLE": "探索"
"DIVERSION_BEST_JUMP_DISTANCE_FEET": "距离纪录：%.0f 英尺"
"DIVERSION_STUNT_JUMPING_STATS_FLIP": "翻转 %.0f{temp_degrees}"
"DIVERSION_HOSTAGES_SPEED_EXPLAIN": "别减速，否则人质会逃跑"
"DIVERSION_HOSTAGE_NAME": "人质"
"DIVERSION_WHEELIE": "翘头"
"DIVERSION_COMBAT_TRICKS_MP_NOTORIETY_KILL": "恶名 %d 击杀"
"DIVERSION_CHOP_SHOP_RETURN": "把车送回拆车坊。"
"DIVERSION_DRIVEBY_DIVERSION_DRIVE_BY_GANG_MEMBERS_STRING": "击杀敌对[format][color:teal]帮派成员[/format]"
"DIVERSION_WHORING_TITLE": "拉客"
"DIVERSION_FLASHING_LEVEL_COMPLETE_MESSAGE": "露械第 %d 关完成！获得 %d 点声望。"
"HITMAN_TARGET_2_3": "阿尔蒙佐"
"DIVERSION_STREAKING_START_HELP_MESSAGE": "再次按下 %ls 开始天体"
"ACT_HITMAN_START CAR AND GUN_MSG": "客户要求你用提供的 %s 以飞车射击的方式完成暗杀"
"DIVERSION_COMBAT_TRICKS_ONE_HIT_KILL": "一击必杀"
"HITMAN_TARGET_KILLED_BY_RIVAL": "目标被另一名杀手抢先干掉了！"
"DIVERSION_WINDSHIELD_CANNON_MAX_DISTANCE": "挡风玻璃炮弹纪录"
"DIVERSION_DRIFTING": "动力漂移"
"DIVERSION_CHALLENGES_LUCHADORE_SPECIALISTS_D": "摔跤手帮的头目打起来是真脏，所以咱们更得把他们赶出街头。"
"DIVERSION_CHALLENGES_WINDSHIELD_CANNON_D": "我要为一场会议写篇论文，题目是《人体弹道学中的撕裂伤特征》，但我需要更多数据！愿意来当志愿者吗？"
"DIVERSION_SURVIVAL_COMPLETE_TEXT": "生存即时挑战完成"
"ACT_HOLDUP_START_MSG_3": "跟着店主去保险箱"
"DIVERSION_DRIVEBY_DIVERSION_FAILED_TO_KILL_STRING": "你没有杀死[format][color:red]帮派成员[/format]"
"DIVERSION_SURVIVAL_CAMERAMAN_OUT_OF_RANGE_TEXT": "靠近摄像师，让他拍到你"
"TUT_DIV_INTRO_BARNSTORMING": "驾驶你的飞机穿过有趣/有挑战性的地点来赚取声望。倒飞或侧飞穿过还能获得额外奖励。"
"ACT_HITMAN_COMP NOTORIETY_MSG": "领取报酬前先甩掉警察  "
"DIVERSION_MUGGING_TITLE": "抢劫"
"DIVERSION_WHORING_LEVEL": "关卡"
"DIVERSION_DRIVEBY_TITLE": "飞车射击"
"DIVERSION_COMBAT_TRICKS_HEAD_SHOT_KILL": "爆头"
"DIVERSION_BARNSTORMING_DONT_CRASH": "你发现了一个空中特技点！不坠机地飞过去即可获得声望"
"DIVERSION_COMBAT_TRICKS_TANK_KILL": "坦克击杀"
"DIVERSION_STORE_HOLDUP_COMPLETE_TEXT": "已完成"
"DIVERSION_COOP_HOST_QUIT": "{MENU_ABORT_IMG} 退出合作即时挑战"
"DIVERSION_COMBAT_TRICKS_GANG_VEHICLE_KILL": "帮派载具"
"HITMAN_SUCCESS": "%ls 已被清除"
"DIVERSION_DRIVEBY_VEHICLE_HEALTH_WARNING": "你的车快不行了，去换一辆"
"DIVERSION_CHOP_SHOP_NAME_2": "戴伊拆车坊"
"HITMAN_TARGET_7_2": "斯坦纳中士"
"DIVERSION_CHALLENGES_KILL_BRUTES": "击杀壮汉"
"DIVERSION_STUNT_JUMPING": "大腾空"
"HITMAN_SUCCESS_SUBTITLE": "目标已清除"
"DIVERSION_STREAKING_LEVEL_COMPLETE_CASH": "天体第 %d 关完成！赚得 $%.0f"
"DIVERSION_DRIVER_BAILOUT_MAX_DAMAGE_DONE": "人肉鱼雷伤害纪录"
"DIVERSION_DRIVEBY_DIVERSION_COMPLETE_MESSAGE_PARAMETERIZED": "已击杀 %i/%i 名帮派成员，共获得 [format][color:green]$%i[/format]。你是个%s"
"DIVERSION_DRIVEBY_DIVERSION_BRONZE_LEVEL_REWARD_NAME": "[format][color:bronze]青铜[/format]"
"DIVERSION_COMBAT_TRICKS_THROWING_BEST": "最远投掷"
"PHOTO_OP_COLLECTED": "拍照点"
"DIVERSION_COOP_CAT_AND_MOUSE_START_MESSAGE": "在猫鼠游戏中按住 {ATTACK_PRIMARY_IMG} 救人"
"DIVERSION_CHOP_RETURNED_CAR": "%ls 清单已交付 %d/%d 辆车"
"DIVERSION_ONCOMING_BEST": "逆行纪录"
"DIVERSION_CHOP_SHOP_PARTNER_TOOK_CONTRACT": "你的搭档接下了这个拆车坊目标的合同！"
"DIVERSION_BURNOUT_RECORD_TIME": "烧胎时长纪录"
"ACT_HITMAN_START BONUS_MSG": "若按要求完成暗杀，你将获得现金奖金。"
"DIVERSION_NEAR_MISS_BEST": "连续险过纪录"
"DIVERSION_HOSTAGES_SPEED_WARN": "加快速度，别让人质逃走"
"DIVERSION_SURVIVAL_DEATH_TEXT": "你死了"
"DIVERSION_FLASHING_START_HELP_TEXT": "再次按下 %ls 开始露械"
"DIVERSION_CHALLENGES_STORES_HELD_UP_D": "回归基础总是没错的，知道吧？抢上几家商店能让你保持手熟，还能赚点零花钱。"
"HITMAN_VIEW_LIST": "查看暗杀目标名单"
"DIVERSION_HOSTAGE_RETURNED": "人质任务完成"
"DIVERSION_DRIVER_BAILOUT_MAX_DISTANCE": "人肉鱼雷距离纪录"
"DIVERSION_BEST_JUMP_FALL_FEET": "坠落纪录：%.0f 英尺"
"DIVERSION_COMBAT_TRICKS_THROWN_KILL_FORMAT": "投掷距离：%.1f 米"
"DIVERSION_BEST_JUMP_FLIP": "高空空翻纪录"
"DIVERSION_DRIVEBY_DIVERSION_GET_TO_VEHICLE_MESSAGE": "你有 %d 秒时间回到任意一辆车上"
"DIVERSION_CHOP_COLLECTION_SUBTITLE": "已收集 %ls！"
"DIVERSION_CHOP_SHOP_FAILED": "目标车辆被摧毁了！"
"DIVERSION_BARNSTORMING_INVERTED": "倒飞"
"DIVERSION_CHALLENGES_KILL_LUCHADORES": "击杀摔跤手帮"
"TUT_DIV_INTRO_COOP_DEATH_TAG": "两人进场，一人胜出。\n在你搭档干掉你之前先干掉他。每轮武器都会更换，所以每种都试试吧。"
"DIVERSION_EXPLORATION_EXPLORED": "已探索"
"DIVERSION_CHALLENGES_STAG_COMMANDO_KILLS": "击杀 STAG 突击队员"
"DIVERSION_CHALLENGES_DESTROY_CARS_D": "斯隆废车场会为报废的钢铁出高价。我是说撞烂的车。给我弄点废铁来，怎么样？"
"ACT_HITMAN_FIRST KILL BONUS_MSG": "干得漂亮"
