"DROP_SPHERE": "给予能量球"
"BE_ALL_YOU_WANT_TO_BE": "切换角色模型"
"MUSIC_FUNK": "放克"
"CUST_ICON_TATTOO_LEGS": "腿部纹身"
"MUSIC_REGGAE": "雷鬼"
"TAXI_LEAVE_FULL": "你确定要离开的士吗？"
"CONTROL_CHANGE_MODE": "切换模式"
"CONTROL_VIEW_GAMER_CARD": "查看玩家名片"
"CONTROL_BACK": "返回"
"CELL_POLICE": "警察"
"GIVE_SONIC": "召唤音爆"
"SUPER_SAINTS_DESC": "圣徒们可是狠角色。"
"CONTROL_CHANGE_VIEWED_PLAYER": "切换查看的玩家"
"MUSIC_HIPHOP": "嘻哈"
"VCUST_HUBCAPS_TITLE": "轮毂盖"
"PURCHASEABLE_PROPERTEY_STEEL": "老钢铁厂"
"TAT_REG_FRONT": "正面"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "嘲讽平民总数"
"CONTROL_BEGIN_GAME": "开始游戏"
"ADD_COP_NOTORIETY_DESC": "每次使用为警方声望增加一星。"
"PLAYER_CREATION_QUIT_TO_MAIN_MENU_FULL": "你确定要返回\n主菜单吗？"
"OUTFIT_NAME_ENTRY_DIALOG": "为你的套装输入名称"
"WPN_CACHE_EXIT_PROMPT": "退出武器库\n\n确定吗？"
"STORE_FREE": "免费"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_AMMO": "你要拿走“%s”的弹药吗？"
"CONTROL_EXIT_PURCHASE_TATTOOS": "退出购买纹身"
"MAP_ICON_PIMPING": "抢人"
"MAP_ICON_ESCORT": "护送"
"RESTORE_WEATHER": "天气恢复正常"
"GANG_CUST_GANG_SIGN_TITLE": "帮派手势"
"IMPRESSIONS_NAME": "印象刺青"
"STORE_INVENTORY_EMPTY_TITLE": "库存为空"
"GARAGE_DELETE_CONFIRM": "你要放弃这辆载具吗？"
"CONTROL_CHANGE_LB_FILTER": "切换筛选"
"CONTROL_QUITGAME": "退出"
"TIME_SET_NOON_DESC": "将当前时间设为正午。"
"DROP_CAR_DESC": "把这辆载具送进你的车库。"
"DROP_BOOTLEGGER": "召唤私酒贩"
"DROP_TITAN": "召唤泰坦"
"SUPER_EXPLOSIONS_DESC": "爆炸威力提升至 4 倍。"
"BE_ALL_YOU_WANT_TO_BE_DESC": "从列表中选择角色的外观。"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK_FOR_CASH_BLANK": "你愿意花 %s 把“%s”换成“%s”吗？"
"SWITCH_TO_WARDROBE": "切换到衣橱"
"GARAGE_REPAIR_VEHICLE": "修复需 ${0}"
"VCUST_RIM_NUMBER": "轮毂 #{0}"
"GOTH_NAME": "没人爱我"
"PURCHASEABLE_PROPERTEY_BODEGA": "扒手当铺"
"STAT_PISTOL_HIT_PCT": "手枪命中率"
"STAT_SNATCH_HOS_CLAIMED": "快抢：抢到的女孩数"
"INFINITE_SPRINT": "无限冲刺"
"NO_COP_NOTORIETY": "无警方声望"
"STORE_EXIT_WARNING_HEADER": "警告"
"CRIB_SAINTSHQ": "圣徒藏身处"
"DROP_NFORCER": "召唤 N 力士"
"DROP_CONDOR": "召唤秃鹫号"
"GIVE_DRONE": "召唤死神无人机"
"PURCHASEABLE_PROPERTEY_BROTHEL": "哈拉诺联谊馆"
"PURCHASE_TATTOOS_NAME": "购买纹身"
"VEHICLE_COLOR_BASIC": "进阶"
"HEAVY_RAIN": "大雨"
"EVIL_CARS": "邪恶之车"
"STORE_RESPECT": "声望 +{0}"
"STORE_SELECT_BUILD": "选择建筑"
"RUSTY_NEEDLE_NAME": "锈针纹身店"
"CONTROL_SCROLL_LIST": "滚动列表"
"Gang_Saints": "第3街圣徒"
"DROP_ANCHOR": "召唤巨锚"
"TIME_SET_MIDNIGHT_DESC": "将当前时间设为午夜。"
"GIVE_WEAPON_DESC": "将该武器加入你的背包。"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_FULL": "你要把“%s”从据点拿走吗？"
"TATTOO_INSUFFICIENT_FULL": "你的钱不够，无法在 %s 上纹“%s”。"
"DROP_VULTURE": "召唤秃鹫"
"STORE_SKINNY": "消瘦 {0}%%%%"
"GARAGE_RETRIEVE_VEHICLE": "取回"
"COMPLETION_EXIT_STRONGHOLD_CONFIRMATION": "你确定要退出据点吗？"
"GANG_CUST_GANG_SIGN_OPT": "手势"
"CUST_GANG_NAME_NINJA": "忍者"
"GIVE_KOBRA": "召唤 KA-1 眼镜蛇"
"DROP_PHOENIX": "召唤凤凰"
"EVIL_CARS_2": "邪恶之车 2"
"COSTUME_NAME": "角色扮演"
"PLAYER_CREATION_NEW_PRESET_FULL": "选择新预设会改变你已做的其他改动！"
"HUD_SHOP_NO_WEAPONS": "你没有任何武器。"
"VCUST_TIRES_TITLE": "轮胎"
"PURCHASEABLE_PROPERTEY_CHOP": "达维拉车行"
"STAT_VEHICLE_WATERCRAFT": "船只"
"MAP_ICON_STAIRS": "楼梯"
"GIVE_ALL_WEAPONS": "武器"
"MENU_OPTION_CANCEL": "取消"
"POC2_UPGRADE_CAR": "改装载具"
"GIVE_ELECTRIC": "召唤电击手雷"
"GIVE_CYBERSMG": "召唤赛博冲击枪"
"CLEAR_SKIES": "晴空"
"VARIANT_ALREADY_OWNED": "你已拥有该物品的此样式。"
"CRIB_HUD_HANGAR_NAME": "机场机库"

"STAT_DRIVING_TWOWHEELS": "双轮行驶"
"STAT_MAX_STUNT_JUMP_HEIGHT": "最大特技跳跃高度"
"ESCORT_NAME_24B": "小绵羊"
"STORE_INVENTORY_EMPTY": "已经没有东西可买了！"
"STAT_RUNNING_MAN_LEVELS_COMPLETED": "元气博士：已完成"
"STAT_TANK_MAYHEM_LEVELS_COMPLETED": "坦克大破坏：已完成"
"STAT_SECRET_AREAS_FOUND": "秘密区域发现数"
"TAT_REG_R_LEG": "右腿"
"HORDE_MODE_TITLE_COMPLETE": "第 {0} 波完成"
"ESCORT_NAME_26B": "圣詹姆斯"
"WPN_STORE_THROWN_TITLE": "投掷武器"
"STAT_MONEY_PALLETS_FOUND": "现金托盘发现数"
"STAT_UNIQUE_VEHICLES_DRIVEN": "驾驶车辆种类数"
"STAT_SPECIAL_HIT_PCT": "特殊武器命中率"
"STAT_DRIVING_BACKSEAT_RESPECT": "碾杀获得声望"
"STAT_DRIVING_STOPPIE_RESPECT": "翘尾获得声望"
"STAT_MOST_HATED_GANG": "最遭恨的帮派"
"ESCORT_NAME_20B": "泥石流"
"GARAGE_CAT_3": "性能"
"STAT_DRIVING_BIGAIR_HEIGHT": "最大腾空高度"
"UNLOCKABLE_TITLE_CAPS": "已解锁"
"GARAGE_CUST_NAME": "边缘工坊"
"STAT_COMBAT_THROWN_RESPECT": "投掷击杀获得声望"
"ESCORT_NAME_22B": "洞穴探险家"
"GARAGE_RETRIEVE_TEXT": "确定要取回这辆车吗？"
"STAT_CAT_MOUSE_LONGEST_KILL_STREAK": "猫捉老鼠：最长连杀"
"STAT_HELI_ASSAULT_LEVELS_COMPLETED": "武直突击已完成"
"STAT_DIVERSION_RESPECT_EARNED": "即时挑战获得声望"
"STAT_ENEMY_GANG_KILLED": "帮派击杀数"
"PCS_RETURN_MAIN": "返回主菜单"
"STAT_HUMAN_SHIELD_KILLS": "人盾击杀数"
"ESCORT_NAME_30A": "烈焰"
"RADIO_STATION_GENX": "GENERATION X"
"STORE_GARAGE_MSG": "进入你的车库"
"STAT_GRENADE_KILLS": "手雷击杀数"
"STAT_MAX_HUMAN_THROWN_DIST": "最远扔人距离"
"STAT_COOP_TANDEM_DIVERSIONS_COMPLETED": "双人合作：同步即时挑战完成数"
"STAT_DRIVING_WINDSHIELD_DISTANCE": "挡风玻璃炮弹最远距离"
"STAT_DRIVING_WINDSHIELD": "挡风玻璃炮弹"
"ESCORT_NAME_32A": "猩红"
"STORE_TEXT_DISCARD": "要把这件物品从衣柜中丢弃吗？"
"HORDE_MODE_TITLE_FINAL_FAIL": "最终波失败"
"STAT_SEX_DOLLS_FOUND": "充气娃娃发现数"
"STAT_RIFLE_HIT_PCT": "步枪命中率"
"STAT_DRIVING_WRONGWAY": "逆行车道"
"ESCORT_NAME_28B": "双倍夹心"
"HORDE_MODE_INVULNERABILITY": "无敌！"
"ESCORT_NAME_34A": "希腊佬"
"VCUST_GARAGE_EXIT_PROMPT": "确定要离开车库吗？"
"STAT_DRIVING_NEARMISS_RESPECT": "惊险擦身获得声望"
"STAT_FAVORITE_WEAPON": "最爱武器"
"CUSTOM_CONFIRM_OUTFIT_CREATION": "确定要创建这套装扮吗？"
"STAT_COOP_ACTIVITIES_COMPLETED": "双人合作：活动完成数"
"STAT_MILES_BY_CAR": "驾车行驶里程（英里）"
"STAT_FRAUD_DIVES_TAKEN": "碰瓷索赔：扑街次数"
"STAT_BARN_FOUND": "低空穿越点发现数"
"ESCORT_NAME_36A": "火辣"
"STAT_TOTAL_CASH_EARNED": "累计赚取现金"
"STAT_DRIVING_BIGAIR_DISTANCE": "最远腾空距离"
"STAT_SHOTS_FIRED": "射击次数"
"STAT_POLICE_NOTORIETY_TIME": "最高警方恶名持续时长"
"ACT_HITMAN_LEAVE_FULL": "真的要退出职业杀手吗？"
"PURCHASEABLE_PROPERTEY_CHOP_SHOP": "卷毛的剁车铺"
"STAT_HELI_ASSAULT_TARGETS_DESTROYED": "武直突击：摧毁目标数"
"STAT_THROWN_HIT_PCT": "投掷武器命中率"
"STAT_GUARDIAN_ANGEL_LEVELS_COMPLETED": "天使护卫已完成"
"STAT_COMBAT_CAR": "帮派载具击杀数"
"GARAGE_CAT_2": "颜色"
"STAT_SNIPER_SHOTS_FIRED": "狙击枪射击次数"
"STAT_MISSIONS_COMPLETED": "任务完成数"
"WPN_STORE_RIFLE_TITLE": "步枪"
"STORE_ITEM_STYLE_AWARD": "+ {0} 风格值"
"IMAGE_DESIGNED_NAME": "天生设计"
"GARAGE_RETRIEVE": "取回"
"STAT_TEAM_MORNINGSTAR": "晨星帮"
"ESCORT_NAME_19B": "吉米"
"STORE_EXIT_WARNING_BODY": "退出商店\n\n确定吗？"
"PLAYER_CREATION_SAVE_CHANGES": "要保存所做的修改吗？"
"STAT_WHEELIE_LONGEST_DISTANCE": "最长翘头行驶距离"
"STAT_CIVILIANS_KILLED": "平民击杀数"
"STAT_DISTANCE_BY_VEHICLE": "载具行驶里程"
"STAT_CASH_EARNED_PER_DAY": "每小时收入"
"STAT_FRAUD_BEST_DIVE": "碰瓷索赔：最佳扑街"
"STAT_ACTIVITY_RESPECT_EARNED": "活动获得声望"
"STAT_HOSPITAL_BILLS": "医院账单"
"ESCORT_NAME_8B": "开瓶器"
"STAT_DRUG_TRAFFICKING_LEVELS_COMPLETED": "黑货押运已完成"
"STAT_COMBAT_ENEMY": "帮派击杀数"
"STAT_HOLDUP_CASH": "持械打劫赚取现金"
"STAT_BASE_JUMP": "高楼跳伞"
"RADIO_STATION_THE_MIX": "THE MIX"
"STORE_TATTOO_PARLOR_MSG": "去纹身"
"STAT_MAX_POLICE_NOTORIETY_STREAK": "最高警方恶名最长连续时长"
"ESCORT_NAME_15B": "棒棒糖"
"ESCORT_NAME_6B": "纹身"
"STAT_TOTAL_DISTANCE_TRAVELLED": "总行驶里程"
"STAT_DIVERSIONS_COMPLETED": "即时挑战完成数"
"STAT_TOTAL_DAMAGE_TAKEN": "累计承受伤害"
"STAT_MILES_BY_AIRCRAFT": "飞行里程（英里）"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "自定义物品消费"
"STAT_MAX_STUNT_JUMP_SPIN": "最大特技跳跃旋转"
"HORDE_MODE_TITLE_KILLS": "击杀"
"HORDE_MODE_WAVE_TAG": "波次"
"STAT_RUNNING_MAN_CASH_EARNED": "元气博士：赚取现金"
"STAT_PISTOL_SHOTS_FIRED": "手枪射击次数"
"STAT_ACTIVITIES_COMPLETED": "活动完成数"
"ESCORT_NAME_17B": "大力钳"
"ESCORT_NAME_4B": "龙"
"CUST_DIALOG_DISROBE_BODY": "这会脱掉你身上的所有衣物。\n光溜溜才能天体。\n确定吗？"
"WPNSTOR_TEXT_MAX_AMMO_CRIB": "以下物品的弹药已从据点拿满：“%s。”"
"STAT_STAG_COMMANDOS_KILLED": "STAG 突击队击杀数"
"STAT_FBI_KILLED": "FBI 击杀数"
"STORE_TITLE_INSUFFICIENT_FUNDS": "现金不足"
"STAT_NEIGHBORHOODS_CONTROLLED": "控制地盘数"
"ESCORT_NAME_11B": "电击手"
"ESCORT_NAME_2B": "小号"
"STAT_COOP_KILLS": "双人合作：击杀玩家数"
"STAT_MAYHEM_BEST_ROUND": "大破坏：最佳单轮"
"STAT_GUARDIAN_ANGEL_CELEBS_PROTECTED": "天使护卫：保护名人数"
"STAT_COMBAT_MOTORCYCLE": "飞车挥刀击杀数"
"STAT_MILES_BY_VEHICLE": "载具行驶里程（英里）"
"VCUST_EXIT_PROMPT": "确定要退出载具改装吗？"
"VCUST_EXTRA_HIGH_PROFILE": "超高轮廓"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "猫捉老鼠：最高得分"
"STAT_SHOTGUN_HIT_PCT": "霰弹枪命中率"
"STAT_GUARDIAN_ANGEL_ATTACKERS_KILLED": "天使护卫：击杀袭击者数"
"STAT_MUGGINGS_COMPLETED": "打劫路人完成数"
"ESCORT_NAME_13B": "龙卷风"
"CUST_ITEM_VIEW_OUTFITS": "查看装扮"
"STAT_COMBAT_MELEE": "徒手击杀数"
"STAT_MUGGINGS_CASH": "打劫路人赚取现金"
"STAT_MILES_ON_FOOT": "步行里程（英里）"
"NO_OUTFITS_DISPLAY_NAME": "暂无装扮"
"VEHICLE_COLOR_ADVANCED": "基础"
"STORE_CRIB_CLOTHING_MSG": "使用你的衣柜"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "多重击杀总数"
"STAT_FLASHPOINTS_COMPLETED": "帮派行动完成数"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "嘲讽总数"
"ESCORT_NAME_17A": "毛茸茸"
"ESCORT_NAME_4A": "愤怒"
"PLANET_SAINTS_NAME": "圣徒星球"
"GARAGE_REPAIR_COST": "要支付 %s 吗？"
"STAT_HOLDUPS_STORES_ROBBED": "打劫商店数"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "车辆改装消费"
"STAT_CAT_MOUSE_LOSSES": "猫捉老鼠：失败数"
"STAT_DRIVING_BURNOUT_TIME": "最长烧胎时长"
"ESCORT_NAME_15A": "棕色"
"ESCORT_NAME_6A": "蘑菇"
"STAT_TAUNT": "嘲讽"
"STAT_WATERCRAFT_DESTROYED": "摧毁船只数"
"STAT_CARS_UNLOCKED": "解锁车辆数"
"STAT_COMBAT_HEADSHOT": "爆头数"
"VCUST_HUBCAP_NUMBER": "轮毂盖 #{0}"
"STAT_MILES_BY_WATERCRAFT": "驾船行驶里程（英里）"
"STATS_NO": "序号"
"STAT_SHOT_HIT_PERCENTAGE": "射击命中率"
"ESCORT_NAME_13A": "后门"
"STAT_DRIVING_WHEELIE": "翘头"
"STAT_UNIQUE_VEHICLES_OWNED": "拥有车辆种类数"
"STATS_BLANK_OF_BLANK": "%d/%d"
"GARAGE_CAT_4": "车轮"
"STAT_THROWN_WEAPON_USES": "投掷武器使用数"
"ESCORT_NAME_11A": "湿漉漉"
"ESCORT_NAME_2A": "生锈"
"HORDE_MODE_ALL_ENEMIES_KILLED": "敌人全灭！"
"STAT_WEAPON_RIFLE": "步枪"
"STAT_COOP_STRONGHOLDS_COMPLETED": "双人合作：根据地完成数"
"GENERAL_YOU": "你"
"STAT_CAT_MOUSE_KILLS": "猫捉老鼠：击杀数"
"STAT_RIFLE_SHOTS_FIRED": "步枪射击次数"
"GARAGE_CAT_1": "车身改装"
"STORE_CLOTHING_STORE_MSG": "购买服装"
"MENU_SWAP_WEAPONS_CACHE": "武器库"
"STORE_TITLE_PURCHASING": "正在购买"
"STAT_VEHICLES_HIJACKED": "劫持载具数"
"STAT_HOSTAGE_CASH": "绑架赚取现金"
"TIME_SET_MIDNIGHT": "时间设为午夜"
"STORE_CHOOSE_A_CATEGORY": "选择类别"
"STORE_ZOOM_ROTATE": "缩放 / 旋转"
"STAT_DRUG_PACKAGES_FOUND": "违禁包裹发现数"
"STORE_EXIT_CLIPBOARD": "退出选购清单？"
"STAT_HITMAN_TARGETS_ELIMINATED": "职业杀手目标消灭数"
"STAT_BIKES_DESTROYED": "摧毁摩托车数"
"STAT_MELEE_KILLS": "痛殴击杀数"
"STATS_YES": "是"
"ESCORT_NAME_8A": "金色"
"CUSTOMIZE_ITEM_SAVE_CHANGES_EXIT_FULL": "要保存所做的修改\n再退出吗？"
"STAT_SMG_SHOTS_FIRED": "冲锋枪射击次数"
"STAT_SWAT_KILLED": "SWAT 击杀数"
"COMPLETION_STYLE_BONUS": "风格值加成"
"PURCHASEABLE_PROPERTEY_THUNDER": "雷霆加油站"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "坦克大破坏：造成伤害"
"STAT_TIME_AT_MAX_POLICE_NOTORIETY": "最高警方恶名持续时长"
"STAT_LONGEST_POWERSLIDE_TIME": "最长漂移时长"
"STAT_TOTAL_MONEY": "累计赚取现金"
"ESCORT_NAME_19A": "吐口水"
"SAVELOAD_CONTINUE_NO_FILES_FOUND": "未找到之前的存档文件。\n要开始新游戏吗？"
"STORE_UNDERWEAR_WARNING": "警告"
"WPNSTOR_TITLE_FRIENDLY_FIRE": "队友火力"
"HORDE_MODE_WEAPON_UPGRADE_TITLE": "主武器已升级！"
"GARAGE_CAT_5": "细节"
"STAT_CAT_MOUSE_TIME": "猫捉老鼠：用时"
"STAT_FRAUD_CASH_CLAIMED": "碰瓷索赔：获赔金额"
"STAT_DIVERSION_CASH_EARNED": "即时挑战赚取现金"
"STAT_BASE_OWNED": "已拥有降落伞"
"STORE_CAR_MECHANIC_MSG": "去修车"
"STAT_NEIGHBORHOODS_EXPLORED": "探索街区数"
"ESCORT_NAME_32B": "女族长"
"STAT_MISSIONS_FAILED": "任务失败数"
"STAT_CAT_MOUSE_DEATHS": "猫捉老鼠：死亡数"
"STAT_COOP_TIME_PLAYED": "双人合作：游戏时长"
"STAT_COMBAT_MOTORCYCLE_RESPECT": "飞车挥刀获得声望"
"STAT_MAX_STUNT_JUMP_DISTANCE": "最大特技跳跃距离"
"ESCORT_NAME_30B": "诺里斯"
"CUST_TITLE_OUTFIT_CREATION": "创建确认"
"GARAGE_REPAIR_MUST": "车辆必须完全修复才能改装"
"STAT_TIME_AT_MAX_DECKER_NOTORIETY": "最高赛博帮恶名持续时长"
"STAT_SURFING_RESPECT": "载具冲浪获得声望"
"STAT_COMBAT_NUTSHOT": "蛋击数"
"HORDE_MODE_NEW_TEXT": "确定要重新开始狂潮模式吗？"
"STAT_SNATCH_LEVELS_COMPLETED": "拐人救美已完成"
"ESCORT_NAME_36B": "毕晓普"
"HORDE_MODE_TITLE_FINAL_COMPLETE": "最终波完成"
"STAT_BRUTES_KILLED": "巨兽击杀数"
"ESCORT_NAME_28A": "淘气"
"STAT_STRONGHOLDS_COMPLETED": "根据地完成数"
"STAT_DRIVING_DRIFTING_DISTANCE": "最长漂移距离"
"STAT_DRIVING_BIGAIR": "大腾空次数"
"STAT_CUSTOM_ITEMS_OWNED": "自定义物品拥有数"
"STAT_CHOPSHOP_COMPLETED": "拆车坊完成数"
"ESCORT_NAME_34B": "螳螂"
"HORDE_MODE_NEW_WAVE_MESSAGE": "第 %i 波"
"STAT_BEST_WEAPON": "最佳武器"
"STAT_HOSTAGES_EXTORTED": "勒索人质数"
"ESCORT_NAME_26A": "顺从"
"PURCHASEABLE_PROPERTEY_COUNTERFITING": "假钞作坊"
"HORDE_MODE_REMAINING_ENEMIES_TAG": "剩余敌人"
"STAT_LAW_ENFORCEMENT_KILLED": "执法者击杀总数"
"MENU_SWAP_WEAPONS_STORE": "武器商店"
"STAT_WEAPON_PISTOL": "手枪"
"STAT_COOP_TANDEM_DIVERSION_RECORDS": "双人合作：同步即时挑战纪录"
"STAT_TIME_PLAYED": "总游戏时长"
"ESCORT_NAME_24A": "起立"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "碰瓷索赔：累计扑街距离"
"STAT_HIGHEST_RANK_ACHIEVED": "达到的最高等级"
"STAT_CAT_MOUSE_CASH_EARNED": "猫捉老鼠：赚取现金"
"STAT_COMBAT_MULTI": "多重击杀数"
"STAT_TOTAL_CASH_SPENT": "累计消费金额"
"STAT_MAX_DRIVER_BAILOUT_DAMAGE_DONE": "跳车造成的最大伤害"
"ESCORT_NAME_22A": "喷射"
"WARDROBE_REMOVE_CLOTHING": "要脱掉身上的其他衣物吗？"
"GANG_CUST_GANG_SIGN_POSE": "移动"
"STAT_COMBAT_ENEMY_RESPECT": "击杀敌对帮派获得声望"
"STAT_MAX_WHEELIE_DISTANCE": "最长翘头距离"
"STAT_PARACHUTE_DISTANCE_TRAVELLED": "降落伞滑翔距离"
"STAT_DRIVING_WINDSHILED_RESPECT": "挡风玻璃炮获得声望"
"STAT_MAX_STOPPIE_DISTANCE": "最长翘尾距离"
"ESCORT_NAME_20A": "王者"
"WPNSTOR_TEXT_MAX_WEAPONS_CRIB": "以下物品已无法再从据点拿取：“%s。”"
"STAT_TIME_AT_MAX_MORNINGSTAR_NOTORIETY": "最高晨星帮恶名持续时长"
"STAT_DRIVING_DRIFTING": "漂移"
"WARDROBE_REMOVE_CLOTHING_TITLE": "脱掉其他衣物"
"VCUST_SPINNER_NUMBER": "旋转轮毂 #{0}"
"PURCHASEABLE_PROPERTEY_CONDOS": "高层公寓"
"CUST_ITEM_REMOVE_CLOTHING": "脱掉当前所有衣物"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "摔跤手帮专家击杀数"
"STAT_MISSIONS_ATTEMPTED": "任务尝试数"
"STAT_SNIPER_HIT_PCT": "狙击枪命中率"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "碰瓷索赔：最长扑街距离"
"STAT_SURFING": "载具冲浪"
"ESCORT_NAME_25B": "凤凰"
"STORE_TITLE_DISCARD": "丢弃物品"
"HORDE_MODE_RETRY_TEXT": "确定要重试狂潮模式的这一波吗？"
"HORDE_MODE_UNLIMITED_AMMO": "无限弹药！"
"STAT_TAUNT_GANG": "嘲讽的帮派成员数"
"STAT_SPECIAL_AMMO_USED": "特殊武器射击次数"
"ESCORT_NAME_39_A": "双拳"
"HORDE_MODE_TITLE_ZOMBIE_WAVE": "僵尸波"
"STAT_RPG_HIT_PCT": "RPG 命中率"
"STAT_MAX_STUNT_JUMP_FLIP": "最大特技跳跃空翻"
"ESCORT_NAME_27B": "奶昔"
"NO_ITEMS_DISPLAY_NAME": "无物品"
"HORDE_MODE_TITLE_PLAYER_SCORES": "玩家得分"
"STAT_DRIVING_BAILOUT_DISTANCE": "最长跳车距离"
"STAT_SHOTGUN_SHOTS_FIRED": "霰弹枪射击次数"
"STAT_MAYHEM_LEVELS_COMPLETED": "大破坏：已完成"
"STAT_DRIVING_DRIFTING_RESPECT": "漂移获得声望"
"STAT_MANUALLY_AWARDED": "-"
"STAT_VEHICLES_DESTROYED": "摧毁载具数"
"ESCORT_NAME_21B": "玉米洞"
"CONFIRM_DELETE_OUTFIT": "你确定要删除这套装扮吗？\n你的衣物仍会保留在衣橱中。"
"STORE_AMBULANCE_MSG": "请求治疗"
"STAT_CAT_MOUSE_LONGEST_DEATH_STREAK": "猫捉老鼠：最长连续死亡"
"STAT_GANG_NOTORIETY_TIME": "最高帮派恶名持续时长"
"WARDROBE_REMOVE_OUTFIT": "要把这套装扮从衣橱中移除吗？"
"DEALER_NO_PALETTE": "没有可选涂装。"
"STAT_MORNINGSTAR_SPECIALISTS_KILLED": "击杀晨星帮专家"
"ESCORT_NAME_23B": "迪洛"
"CONTROL_QUIT_WITHOUT_SAVING": "不保存退出"
"GARAGE_NONE": "车库中没有车辆。"
"HORDE_MODE_GAMEPLAY_TITLE": "狂潮模式"
"STAT_CARS_DESTROYED": "摧毁汽车数"
"STAT_CHOPSHOP_CASH": "拆车坊赚取现金"
"STAT_TOTAL_RESPECT": "累计获得声望"
"STAT_BEAT_COPS_KILLED": "巡警击杀数"
"ESCORT_NAME_31A": "爬行"
"HORDE_MODE_NEW_WAVE_MESSAGE_TITLE": "新一波！"
"STAT_MASCOTS_KILLED": "吉祥物击杀数"
"STAT_DRIVING_STOPPIE_TIME": "最长翘尾时长"
"STAT_LONGEST_VEHICLE_SURF_HANDSTAND_TIME": "载具冲浪倒立最长时间"
"STAT_LONGEST_VEHICLE_SURFING_TIME": "载具冲浪最长时间"
"STAT_BAIL_MONEY": "缴纳保释金"
"VCUST_WHEEL_WIDTH_OPTION": "轮胎宽度"
"TAT_REG_BACK": "背部"
"STAT_WEAPON_SNIPER": "狙击枪"
"STAT_COMBAT_MELEE_RESPECT": "徒手击杀获得声望"
"STAT_MAX_TWO_WHEELS_DISTANCE": "双轮行驶最远距离"
"ESCORT_NAME_33A": "罗曼"
"HORDE_MODE_TEAM_SCORE": "队伍得分"
"STAT_VEHICLE_BIKE": "摩托车"
"STATS_DISTANCE_FEET": "%0.2fft"
"STAT_DRIVING_BIGAIR_RESPECT": "大腾空获得声望"
"STAT_HOMIES_RECRUITED": "招募兄弟数"
"VEHICLE_TYPE_TITLE": "载具类型"
"STAT_CAT_MOUSE_MOST_ROUND_DEATHS": "猫捉老鼠：单轮最多死亡数"
"STAT_CAT_MOUSE_WINS": "猫捉老鼠：获胜次数"
"ESCORT_NAME_35A": "坐姿"
"STAT_DRIVING_BURNOUT_RESPECT": "烧胎获得声望"
"ESCORT_NAME_29B": "公主"
"CUST_ITEM_DELETE_OUTFIT": "删除装扮"
"HORDE_MODE_MENU_NEW_GAME": "新游戏"
"STAT_DRIVING_STOPPIE": "翘尾"
"ESCORT_NAME_37A": "倒转"
"DUMMY_CHARACTERS_RUSSIAN": "AB"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "嘲讽警察总数"
"STAT_ESCORT_CLIENTS_SERVICED": "护送：服务客户数"
"STAT_SURFING_TIME": "载具冲浪最长时间"
"STAT_HITMAN_TARGETS": "消灭目标数"
"ESCORT_NAME_38_B": "猴子扳手"
"HORDE_MODE_NEW_CHALLENGE_WAVE_TITLE": "挑战波！"
"STAT_MISSION_STRONGHOLD_CASH_EARNED": "任务/根据地赚取现金"
"STAT_HOSTAGES_TAKEN": "劫持人质数"
"STAT_COOP_MAX_POLICE_NOTORIETY_STREAK": "双人合作：最高警方恶名最长连续时长"
"RADIO_STATION_K12": "K12"
"STAT_COMBAT_THROWN": "投掷"
"PURCHASEABLE_PROPERTEY_FLATS": "帕克维尤公寓"
"GARAGE_CANNOT_REPAIR": "载具没有完全修复，无法改装\n你的钱不够修复这辆载具。"
"STAT_BASE_HIGH": "最高跳跃"
"BODY_TITLE": "身体"
"CONTROL_CANCEL": "取消"
"ESCORT_NAME_18B": "桑切斯"
"DEMO_EXIT": "退出演示"
"STORE_PLANET_SAINTS_MSG": "!!购买物品"
"HORDE_MODE_MENU_EXIT": "返回主菜单"
"STAT_HUMAN_TORCH_LEVELS_COMPLETED": "烈火流星已完成"
"STAT_HUMAN_TORCH_OBJECTS_TORCHED": "烈火流星：烧毁物体数"
"STAT_LEVELS_COMPLETED": "关卡完成数"
"STORE_NO_ITEMS_IN_CATEGORY": "该类别下没有可用物品。"
"UNLOCKABLE_TITLE_TEXT": "已解锁"
"STAT_HITMAN_COMPLETED": "暗杀完成数"
"ESCORT_NAME_9B": "龙"
"GARAGE_HANGAR": "机库"
"STAT_STORES_OWNED": "拥有商店数"
"STAT_MAX_STUNT_JUMP_ROLL": "最大特技跳跃翻滚"
"SURGEON_INSUFFICIENT_FUNDS": "你的钱不够去看整形医生。"
