// extra_dumps: menu - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"INFO_UNLOCKABLES_STRONGHOLDS": "STRONGHOLDS"
"PLAYLIST_HEADER_PLAYLIST": "PLAYLIST"
"MENU_OPTIONS_NONE": "NO OPTIONS AVAILABLE"
"CONTROL_DESC_PAUSE_MAP": "CELL PHONE"
"HASH_7B16A56A": "HDR STYLE"
"MENU_MISSIONS": "MISSIONS"
"COOP_REVIVAL_PENDING": "YOU HAVE %d SECONDS TO BE REVIVED"
"SAVELOAD_SAVE_WARNING": "The flashing HDD access light indicates that your system is saving.\nPlease do not turn off your system during this time.\n"
"RADIO_STATION_GENRE_ADULT_SWIM": "ADULT SWIM AND CARTOON NETWORK"
"INFO_UNLOCKABLES_VEHICLES": "VEHICLES"
"CONTROL_DESC_VEH_LOOK_BACK": "LOOK BEHIND"
"SB_TITLE": "SAINTSBOOK"
"CONTROL_DESC_FOOT_HUMANSHIELD_KILL": "KILL SHIELD"
"BUILDING_PURCHASE_BUILDING": "Do you wish to purchase {0:text_tag_crc} for ${1}?"
"PAUSE_MENU_ACCEPT": "ACCEPT"
"Control_Scheme": "SCHEME"
"COMPLETION_NEIGHBORHOOD_GAINED": "NEIGHBORHOOD GAINED"
"COMPLETION_EXIT_MISSION": "EXIT MISSION"
"MENU_OPTIONS_AUDIO": "AUDIO"
"CELL_VEHICLE_DIALOG_REPAIRS_HEADER": "Repair and Retrieve Vehicle?"
"HASH_7BD026EE": "COLOR VIBRANCE"
"SAVELOAD_SAVING_MESSAGE_TITLE": "SAVING"
"OPT_CONTROL_DISABLED": "DISABLED"
"INFO_UNLOCKABLES_MISSIONS": "MISSIONS"
"INFO_DIVERSIONS_JOBS": "JOBS"
"CONTROL_DESC_FOOT_HUMANSHIELD": "HOLD HUMAN SHIELD"
"MISSION_RESTART_PROMPT": "Would you like to replay this mission?"
"MENU_OPTIONS_SELECT_STORAGE": "SELECT STORAGE DEVICE"
"COMPLETION_ACTIVITY_LEVEL_FAILED": "LEVEL {0} FAILED"
"INFO_UNLOCKABLES_HOMIES": "GANG ABILITIES"
"CONTROL_DESC_VEH_TOGGLE_CAM": "TOGGLE CAMERA"
"COMPLETION_CONTROL": "{0}\\NDISTRICT CONTROL"
"CELL_OPTION_CALL": "CALL"
"MSN_NO_RESPECT_TITLE": "NO RESPECT!"
"CONTROLS_SETUP_DRIVING": "DRIVING CONTROLS"
"COMPLETION_RETRY_ACTIVITY": "RETRY ACTIVITY"
"COMPLETION_ACTIVITY_LEVEL_COMPLETE": "LEVEL {0} COMPLETE"
"CELL_OPTION_CLR": "CLR"
"CELL_PHONEBOOK_NONE": "NO ENTRIES"
"SAVELOAD_HDR_STATUS": "{0} COMPLETED           {1}"
"INFO_DIVERSIONS_FRENZY": "SPECIAL"
"CONTROL_DESC_VEH_BRAKE_REV": "BRAKE/REVERSE"
"INFO_DIVERSIONS": "DIVERSIONS"
"SAVELOAD_SAVE_GAME_TOO_MANY_EXPOSITION": "There are no more saved game slots available on this storage device."
"PAUSE_MAP_FILTER_ACTIVITIES": "ACTIVITIES"
"MENU_AUDIO_MICAUDIO": "AUDIO MIC"
"INVALID_SAVE_MSG": "The Saved Game that you have attempted to load\nis either corrupt or not supported by this title."
"GAME_LOADING": "LOADING"
"CONTROL_DESC_FOOT_RECRUIT": "RECRUIT FOLLOWERS"
"COMPLETION_ENOUGH_RESPECT": "YOU HAVE ENOUGH RESPECT TO PLAY MORE MISSIONS"
"MENU_CONTROLS_INVERT_Y": "INVERT CAMERA Y AXIS"
"MENU_AUDIO_HEADSET": "HEADSET"
"MAINMENU_EXTRAS": "EXTRAS"
"INFO_DIVERSIONS_STUNTS": "STUNTS"
"CELL_CALL_CALLING": "CALLING"
"STATS_STATS_NONE": "NO STATISTICS"
"MAP_BLANK_DISTRICT": "%ls DISTRICT"
"COMPLETION_MISSION_NUMBER": "MISSION {0}"
"REMOVE_BOOKMARK": "REMOVE BOOKMARK"
"PAUSE_MAP_FILTER_NONE": "NONE"
"MAP_D_PERCENT_CONTROL": "%d%%%% CONTROL"
"PAUSE_MAP_FILTER_FLASHPOINTS": "GANG OPERATIONS"
"CONTROLS_SIXAXIS_BRAKE": "SIXAXIS ACCEL/BRAKE"
"CONTROL_DESC_FOOT_RADIAL": "INVENTORY"
"MENU_STYLE_DIALOG_BODY": "[format][color:yellow]Style level {0}[/format] granted. You now earn [format][color:yellow]{1} percent more respect[/format] during activites and diversions."
"INFO_COLLECTION": "COLLECTION"
"CONTROLS_SENSE_V": "VERTICAL SENSITIVITY"
"COMPLETION_BONUS": "{0}%%% BONUS"
"HASH_AB781E7A": "HDR"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_OPEN_DEVICE_SELECTOR": "SELECT ANOTHER DEVICE"
"SAVELOAD_MUST_SIGN_IN": "You must sign in to use save/load."
"CONTROLS_SETUP_VCAM_DIST": "VEHICLE CAMERA DISTANCE"
"CONTROL_DESC_VEH_HELI_SECONDARY_FIRE": "(HELICOPTER) ALT ATTACK"
"RADIO_STATION_GENRE_KABRON": "URBAN LATIN AND RAEGGAETON"
"INFO_MESSAGES_TITLE": "MESSAGE LOG"
"HASH_B4D3C27C": "SHARPENING"
"HASH_E64E117C": "Game has not finished installing. Please try again later."
"PAUSE_MAP_FILTER_ALL": "ALL"
"NO_MISSIONS_COMPLETED": "NO MISSIONS COMPLETED"
"INFO_UNLOCKABLES_ACTIVITIES": "ACTIVITIES"
"MAINMENU_CREDITS": "CREDITS"
"HELP_TEXT_SKYDIVE_FLIP": "PRESS {JUMP_CLIMB_IMG} TO FLIP OVER"
"CONTROLS_DESC_BLOCK": "BLOCK"
"HASH_276536FE": "    DEPTH OF FIELD"
"PAUSE_MAP_FILTER_CRIBS": "CRIBS"
"INFO_UNLOCKABLES_HEALTH": "HEALTH"
"INFO_MESSAGES": "MESSAGE LOG"
"CONTROLS_SETUP_FOOT_SCHEMES": "ON FOOT CONTROL SCHEMES"
"CONTROL_DESC_FOOT_SEL_WPN": "SELECT WEAPON"
"CELL_HEADER_ACTIVATED": "ACTIVATED"
"HASH_7B795C7F": "INCREASED REFLECTION QUALITY WITH DYNAMIC OBJECTS"
"MENU_DISPLAY_SUBTITLES": "SUBTITLES"
"MAINMENU_DOWNLOADS": "DOWNLOADABLE CONTENT"
"INFO_DIVERSIONS_TITLE": "DIVERSIONS"
"CONTROL_DESC_FOOT_PICKUP": "(HOLD) PICKUP WEAPON/OBJECT"
"CELL_VEHICLE_DIALOG_REPAIRS_BODY": "Would you like repair and retreive your vehicle for ${0}?"
