// extra_dumps ref: menu - JP/CZ reference for keys in extra_menu_us.txt
"INFO_UNLOCKABLES_STRONGHOLDS": "JP: アジト || CZ: PEVNOSTI"
"MAP_PLAYER_INCOME": "JP: 毎時収入 || CZ: HODINOVÝ PŘÍJEM"
"MAINMENU_QUIT_DEMO": "JP: デモの終了 || CZ: UKONČIT DEMO"
"HASH_A4A446C2": "JP: フィルム粒子 || CZ: ZRNITOST"
"RADIO_STATION_GENRE_MIX": "JP: 80・90年代ポップ／ロック || CZ: POP A ROCK 80. a 90. LET"
"PHONE_OPTION_CHEATS": "JP: チート || CZ: CHEATY"
"MSGLOG_TITLE_TUT": "JP: チュートリアル || CZ: VÝUKA"
"MAP_SALE_CASH_OFF": "JP: セール%dドル割引 || CZ: VÝPRODEJ - $%d SLEVA"
"INFO_ACHIEVE": "JP: 実績 || CZ: VÝSLEDKY"
"HELP_TEXT_MELEE_BLOCK": "JP: {ATTACK_SECONDARY_IMG}：敵の攻撃をブロック || CZ: STISKEM {ATTACK_SECONDARY_IMG} ZABLOKUJEŠ NEPŘÁTELSKÝ ÚTOK"
"CONTROL_DESC_VEH_HYDRAULICS": "JP: クラクション／ハイドロ || CZ: KLAKSON/HYDRAULIKA"
"HASH_5A242A44": "JP: HDRを有効化して、コントラスト比と色の精度を上げます || CZ: ZAPNUTÍM HDR DOSÁHNETE VYŠŠÍHO KONTRASTNÍHO POMĚRU A PŘESNOSTI BAREV"
"HASH_331ED6C4": "JP: ゲーム中のフィルム粒子 || CZ: ZRNITOST BĚHEM HRY"
"SAVELOAD_SAVEFILE_CORRUPT_EXPOSITION": "JP: このセーブデータは破損しているため使用できません || CZ: Tato uložená hra je poškozena a pravděpodobně už ji nebude možné použít."
"SAVELOAD_DEVICE_UNAVAILABLE_OPEN_DEVICE_SELECTOR": "JP: 別のデータ保存機器を選択する || CZ: VYBRAT JINÉ ZAŘÍZENÍ"
"MAINMENU_LOAD": "JP: ロードゲーム || CZ: NAČÍST HRU"
"CONTROLS_CONFIRM2": "JP: よろしいですか？ || CZ: Víš to jistě?"
"CONTROL_DESC_FOOT_MV_CAM": "JP: カメラ || CZ: ROZHLÍŽENÍ"
"RADIO_STATION_GENRE_EZZZY": "JP: イージーリスニング || CZ: SNADNÉ POSLOUCHÁNÍ"
"MAINMENU_DOWNLOADABLE_CONTENT_REMOVED_EXPOSITION": "JP: ダウンロード コンテンツが保存されている\nデータ保存機器が取り除かれたため\nメイン メニューに戻りました || CZ: Vracíš se do hlavní nabídky, neboť \núložné zařízení, na kterém se nachází\nstažitelný obsah, bylo odstraněno."
"CANCEL_JOIN_IN_PROGRESS": "JP: 途中参加のキャンセル || CZ: ZRUŠIT PŘIPOJOVÁNÍ"
"MAP_ICON_COLLECTIBLE_MONEY": "JP: キャッシュの山 || CZ: BALÍČEK PENĚZ"
"CONTROL_DESC_PAUSE_MP": "JP: オプション || CZ: NASTAVENÍ"
"CANCEL_LOAD_SAVEGAME": "JP: セーブデータのロードをキャンセル || CZ: ZRUŠIT NAČÍTÁNÍ ULOŽENÉ HRY"
"RANDOM_WARNING_BODY": "JP: ランダムを選ぶと変更した内容の一部もしくはすべてが変更されます。\n元に戻すことはできません。\n\n続行しますか？ || CZ: Náhodným vygenerováním se upraví nebo zruší všechny provedené změny.\nTuto akci nelze vzít zpět.\n\nOpravdu chceš pokračovat?"
"SAVELOAD_IMPORT_FAILED": "JP: インポートが失敗しました || CZ: IMPORTOVÁNÍ SE NEPODAŘILO"
"MENU_XBOX_LIVE_OFFLINE": "JP: オフラインで参加 || CZ: OFFLINE"
"DIRTY_DISK_TEXT": "JP: ディスクからファイルを読み込めません || CZ: NELZE NAČÍST SOUBOR Z DISKU."
"CONTROLS_SETUP_FOOT": "JP: 徒歩操作 || CZ: PĚŠÍ OVLÁDÁNÍ"
"HASH_BA599A49": "JP: ゲーム中の被写界深度です || CZ: HLOUBKA OSTROSTI PŘI HRANÍ"
"MECHANIC_UNAVAILABLE": "JP: 悪評度がついている間は整備工場を使えない || CZ: NELZE POUŽÍT, POKUD TĚ HLEDAJÍ"
"MAP_STORE_CLOSED": "JP: 閉店 || CZ: ZAVŘENO"
"DLT_NORMAL": "JP: NORMAL || CZ: NORMÁLNÍ"
"DEVICE_FULL_OR_REMOVED_TEXT": "JP: ご指定のゲーマー プロフィールが保存されているデータ保存機器は取り外されたか空き容量が不足しています || CZ: Úložné zařízení spojené s tímto profilem hráče bylo odpojeno, nebo je plné."
"OPTIONS_TITLE": "JP: オプション || CZ: NASTAVENÍ"
"OPT_PAUSE_AUDIO_W_GAME": "JP: ゲームと同時にプレイリストもポーズする || CZ: SE HROU POZASTAVOVAT I HUDEBNÍ PŘEHRÁVAČ"
"MENU_GAME_PAUSED": "JP: ポーズ中 || CZ: HRA POZASTAVENA"
"HASH_A995724B": "JP: UI/動画の明るさ || CZ: JAS ROZHRANÍ/OBRAZU"
"HASH_48877ECB": "JP: 画面の明るさのピーク || CZ: NEJVYŠŠÍ JAS OBRAZOVKY"
"HASH_85D59E4B": "JP: ゲームのインストールが終わっていません || CZ: INSTALACE HRY NEBYLA DOKONČENA"
"CHEAT_NOT_FOUND": "JP: チートが見つかりません || CZ: CHEAT NENALEZEN"
"MAP_COLLECTIBLE": "JP: コレクション || CZ: SBĚRATELSKÝ PŘEDMĚT"
"SAVELOAD_LOAD_GAME_NO_CLIENT": "JP: ミッション、アクティビティ、拠点制圧のプレイ中、もしくは協力プレイゲームのホストではない場合はゲームをロードできません || CZ: Nemůžeš načítat hru, pokud nejsi hostitelem kooperativní hry nebo nehraješ-li misi, pevnost nebo aktivitu."
"REPLAY_LEVEL_SKIP": "JP: ステージをスキップする || CZ: PŘESKOČIT ÚROVEŇ"
"DLT_SAINTS": "JP: SAINTS ROWをよこせ || CZ: CHCI SAINTS ROW"
"MENU_AUDIO_OVERALL": "JP: 総音量 || CZ: CELKOVÁ HLASITOST"
"INFO_COLLECTIONS_BARNSTORMING": "JP: アクロバット飛行 || CZ: POLITICKÁ KAMPAŇ"
"CONTROLS_CROUCH_TOGGLE": "JP: しゃがみ状態固定 || CZ: PŘEPÍNÁNÍ PŘIKRČENÍ"
"COMPLETION_CONTINUE": "JP: 続行 || CZ: POKRAČOVAT"
"SAVELOAD_AUTOSAVE_DEVICE_FULL": "JP: 現在のデータ保存機器に空き容量が足りません。オートセーブを実行するには別のデータ保存機器を選択する必要があります。\n別のデータ保存機器を選択しますか？ || CZ: Na současném zařízení není dostatek volného místa. Jestli chceš hru automaticky ukládat, musíš zvolit nějaké zařízení.\nChceš jej vybrat nyní?"
"RADIO_STATION_GENRE_KLASSIC": "JP: クラシック || CZ: KLASICKÁ HUDBA"
"CONTROL_DESC_NOT_USED": "JP: 未使用 || CZ: NEPOUŽITO"
"INFO_COLLECTIONS_HITMAN": "JP: ヒットマン || CZ: NÁJEMNÝ VRAH"
"CONTROL_DESC_VEH_CLICK_HORN": "JP: クラクション || CZ: KLAKSON"
"SAVE_BEFORE_JOINING_TITLE": "JP: 新しいゲームに参加 || CZ: PŘIPOJENÍ K NOVÉ HŘE"
"MENU_OPTIONS_GAMEPLAY": "JP: ゲームプレイ || CZ: HRA"
"INFO_UNLOCKABLES_PLAYER_ABILITIES": "JP: スキル || CZ: SCHOPNOSTI"
"CELL_OPTION_CHEATS": "JP: チート || CZ: CHEATY"
"SAVELOAD_SIGN_IN": "JP: サインイン || CZ: PŘIHLÁSIT SE"
"SAVELOAD_SAVE_GAME_TOO_MANY_ABORT": "JP: セーブせずに続行 || CZ: OBNOVIT BEZ UKLÁDÁNÍ"
"MENU_DISPLAY_BRIGHTNESS": "JP: 明るさ || CZ: JAS"
"MAP_ADD_BOOKMARK": "JP: ブックマーク追加 || CZ: PŘIDAT ZÁLOŽKU"
"COMPLETION_RESTART_CHECKPOINT": "JP: チェックポイントからやり直す || CZ: HRÁT ZNOVU OD POSLEDNÍHO KONTROLNÍHO BODU"
"PAUSE_MAP_FILTERS": "JP: フィルターを変更する || CZ: ZMĚNIT FILTRY"
"PAUSE_ACT_CHOP_SWITCH_SELECT": "JP: アクティビティを変更する／店を選ぶ || CZ: PŘEPNOUT AKTIVITU / VYBRAT OBCHOD"
"PLAYLIST_MOVE_TRACK": "JP: 移動 || CZ: PŘESUNOUT"
"CONTROL_DESC_FOOT_TAUNT": "JP: 挑発 || CZ: URÁŽKA"
"PLAYLIST_REMOVE_TRACK": "JP: 消去 || CZ: SMAZAT"
"CONTROLS_MINIMAP_VIEW": "JP: ミニマップ表示 || CZ: POHLED NA MINIMAPĚ"
"COMPLETION_RESTART_BEGINNING": "JP: ミッションの開始地点からやり直す || CZ: SPUSTIT MISI OD ZAČÁTKU"
"GAMER_PROFILE_REINSERT_EXIT": "JP: 終了してメインメニューに戻る || CZ: NÁVRAT DO HLAVNÍ NABÍDKY"
"CONTROL_DESC_VEH_RADIO_PREV": "JP: 前のラジオ局 || CZ: PŘEDCHOZÍ STANICE"
"CONTROL_DESC_MP_HEAL": "JP: 治癒 || CZ: LÉČENÍ"
"CONTROL_CHANGE_OPTION": "JP: オプション変更 || CZ: ZMĚNIT NASTAVENÍ"
"COMPLETION_MISSION_FAILED": "JP: {0}失敗 || CZ: {0} NEÚSPĚCH"
"COMPLETION_CONTINUE_ACTIVITY": "JP: アクティビティを続行 || CZ: POKRAČOVAT V AKCI"
"MENU_QUICKMATCH_OVERSIZED": "JP: 特大を含む || CZ: VČETNĚ NADMĚRNÝCH"
"HELP_TEXT_CHARGED_MELEE_ATTACK": "JP: {ATTACK_PRIMARY_IMG}長押し：強力な格闘攻撃 || CZ: POKUD CHVÍLI PODRŽÍŠ {ATTACK_PRIMARY_IMG}, PROVEDEŠ SILNĚJŠÍ ÚTOK ZBLÍZKA"
"CONTROL_DESC_GRENADE": "JP: 手榴弾 || CZ: GRANÁT"
"CONTROL_DESC_JUMP": "JP: ジャンプ || CZ: SKOK"
"MENU_BACK": "JP: 戻る || CZ: ZPĚT"
"MAP_ICON_COLLECTIBLE_PHOTO_OP": "JP: シャッターチャンス || CZ: FOTOGRAFOVÁNÍ"
"MAINMENU_QUIT_DEMO_CONFIRM_TEXT": "JP: セインツロウを終了しますか？ || CZ: Opravdu chceš ukončit Saints Row?"
"CONTROL_SETUP_CHANGE_SCHEME": "JP: タイプ変更 || CZ: ZMĚNA SCHÉMATU"
"CONTROL_DESC_VEH_STEER": "JP: ハンドル操作 || CZ: ŘÍZENÍ"
"CONTROL_DESC_FOOT_RELOAD": "JP: リロード || CZ: NABÍT"
"COMMUNITY_ERROR_OTHER": "JP: コミュニティ機能にエラーが発生しています。\n後ほど改めてお試しください || CZ: V komunitních funkcích se vyskytla chyba. Zkus to prosím později."
"CRIB_CASH_PLAYER_CASH": "JP: キャッシュ || CZ: HOTOVOST"
"PAUSE_MAP_FILTER_STORES": "JP: 店舗 || CZ: OBCHODY"
"MAINMENU_WIRELESS": "JP: ワイヤレス || CZ: BEZDRÁTOVÉ ZAŘÍZENÍ"
"JOIN_IN_PROGRESS": "JP: 途中参加 || CZ: PROBÍHÁ PŘIPOJOVÁNÍ"
"INFO_HELP_TITLE": "JP: ヘルプ || CZ: NÁPOVĚDA"
"CONTROL_DESC_MP_TAUNT_1": "JP: 挑発 || CZ: URÁŽKA"
"HASH_9CB6005A": "JP: FXAA || CZ: FXAA"
"RANDOM_WARNING_HEADING": "JP: 警告 || CZ: UPOZORNĚNÍ"
"SAVELOAD_MUST_SELECT_DEVICE": "JP: データ保存機器を選択してください || CZ: Ukládání a načítání lze použít, pouze pokud vybereš úložné zařízení."
"SAVELOAD_HDR_DIFFICULTY": "JP: 難易度：{0} || CZ: OBTÍZNOST: {0}"
"CONTROL_DESC_PAUSE": "JP: ポーズ || CZ: PAUZA"
"CELL_OPTION_OK": "JP: OK || CZ: OK"
"HASH_407EA65B": "JP: 明るさの出力をディスプレイの性能に合わせるため、形がかろうじて見えるように明るさを調節してください。 || CZ: Upravte nastavení tak, aby pruhy byly sotva viditelné a jas odpovídal parametrům obrazovky."
"PLAYLIST_HEADER_TRACKS": "JP: トラック || CZ: STOPY"
"MENU_DISPLAY_TITLE": "JP: 映像 || CZ: ZOBRAZENÍ"
"MAP_ICON_TRAILBLAZING": "JP: ファイアレース || CZ: ŽIVÁ POCHODEŇ"
"DLT_CASUAL": "JP: EASY || CZ: NÍZKÁ"
"CONTROLS_INVERT_Y": "JP: 視点上下反転 || CZ: INVERTOVAT OSU Y U KAMERY"
"CELL_OPTION_HOMIES": "JP: 仲間 || CZ: PŘÁTELÉ"
"HASH_F5B78E5C": "JP:     モーションブラー || CZ:     POHYBOVÁ NEOSTROST"
"COOP_CLIENT_GANG_CUST_TRIGGER": "JP: クライアントはホストのギャングをカスタマイズできません || CZ: KLIENTI NEMOHOU UPRAVOVAT GANG NA SERVERU."
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_LINE1": "JP: 現在までのデータのセーブに失敗しました：既定の || CZ: PROCES UKLÁDÁNÍ SE NEZDAŘIL, NEBOŤ PŮVODNÍ"
"PLAYLIST_NO_STATION_ITEMS": "JP: 選局リストに曲がありません || CZ: ŽÁDNÉ SKLADBY V SEZNAMU"
"MENU_VSYNC_CUTSCENE_TEXT": "JP: 垂直同期（カットシーン） || CZ: V-SYNC (FILMEČKY)"
"MAP_ICON_COLLECTIBLE_DRUG": "JP: サプリパッケージ || CZ: BALÍČEK S DROGAMI"
"CONTROL_DESC_FOOT_DISMISS": "JP: 仲間と別れる || CZ: (PŘIDRŽET) ODVOLAT PARŤÁKY"
"INFO_ACHIEVE_TITLE": "JP: 実績 || CZ: VÝSLEDKY"
"CONTROL_DESC_VEH_NOS": "JP: ニトロ || CZ: NITRO"
"NO_NETWORK_CONNECTION": "JP: この機能にアクセスするにはネットワーク接続が必要です || CZ: Tato funkce vyžaduje připojení k síti."
"SAVELOAD_CHEATS_ENABLED": "JP: チートが有効になっています。\n本当にセーブしますか？ || CZ: Cheaty jsou zapnuty.\nOpravdu chceš uložit hru se zapnutými cheaty?"
"PAUSE_MENU_DRIVEUP_HOMIE": "JP: 保管車両の配達 || CZ: DORUČENÍ USKLADNĚNÉHO VOZU"
"HASH_B08AF75F": "JP:     ボリューメトリックフォグ || CZ:     VOLUMETRICKÁ MLHA"
"COOP_DISCONNECT": "JP: {MAP_MENU_IMG}で切断してください || CZ: Pomocí {MAP_MENU_CLOSE_IMG} se můžeš odpojit."
"MAP_ICON_COLLECTIBLE_SEX_DOLL": "JP: エクササイズドール || CZ: NAFUKOVACÍ PANNA"
"COMPLETION_CASH_PER_DAY": "JP: 収入／時間 || CZ: HODINOVÝ PŘÍJEM"
"HASH_89D87AE0": "JP: ゲームのインストールが終わっていません || CZ: INSTALACE HRY NEBYLA DOKONČENA"
"MENU_MAP": "JP: マップ || CZ: MAPA"
"SAVELOAD_SAVE_ABORT": "JP: セーブせずに続行 || CZ: OBNOVIT BEZ UKLÁDÁNÍ"
"PAUSE_MESSAGES_NONE": "JP: メッセージなし || CZ: ŽÁDNÉ ZPRÁVY"
"PAUSE_INFO_UNKNOWN_HOOD": "JP: 未知の縄張り || CZ: NEZNÁMÝ GANGSTER"
"CONTROL_SETUP_RETURN": "JP: 操作設定に戻る || CZ: NÁVRAT NA OVLÁDÁNÍ"
"MENU_AUDIO_VOICE": "JP: 音声 || CZ: DIALOGY"
"MAP_ICON_RUNNING_MAN": "JP: ゲンキ博士 || CZ: PROF. GENKI"
"CUTSCENE_TITLE_DEFAULT": "JP: カットシーン再生 || CZ: PŘEHRÁT FILMOVOU SCÉNU"
"CONTROL_CHEAT_YES": "JP: チートを有効にする || CZ: AKTIVOVAT CHEAT"
"HASH_ED68EA62": "JP: ゲーム中のモーションブラーです || CZ: POHYBOVÁ NEOSTROST PŘI HRANÍ"
"PAUSE_ACT_CHOPSHOP_EMPTY": "JP: ヤミ改造工場の車両なし || CZ: ŽÁDNÉ KRADENÉ VOZY"
"MENU_XBOX_LIVE_TITLE": "JP: Xbox Live || CZ: Xbox Live"
"INFO_STORY_TITLE": "JP: ストーリー || CZ: PŘÍBĚH"
"CONTROLS_SETUP_TITLE": "JP: コントローラーの設定 || CZ: NASTAVENÍ OVLÁDÁNÍ"
"CONTROL_DESC_PRIM_ATTACK": "JP: メイン攻撃 || CZ: HLAVNÍ ÚTOK"
"CONTROL_DESC_MP_TAUNT_2": "JP: 挑発 || CZ: URÁŽKA"
"CELL_CHEAT_ACTIVATE_INSTRUCTIONS": "JP: 携帯電話からチートを入力して有効にできる || CZ: Dostupné cheaty najdeš v mobilu pod volbou 'cheaty'."
"HASH_7AD27A64": "JP: モーションブラー || CZ: POHYBOVÁ NEOSTROST"
"SAVE_BEFORE_JOINING_BODY": "JP: 新しいゲームに参加する場合、まず現在のゲームから退出します。退出する前にセーブしますか？ || CZ: Připojením k nové hře zcela odejdeš z té stávající. Chceš svou pozici napřed uložit?"
"MENU_TITLE_WARNING": "JP: 警告 || CZ: POZOR"
"MENU_OPTIONS_DISPLAY": "JP: 映像 || CZ: ZOBRAZENÍ"
"MENU_AUDIO_SFX": "JP: 効果音 || CZ: EFEKTY"
"MAINMENU_CONTINUE": "JP: コンティニュー || CZ: POKRAČOVAT"
"CONTROL_DESC_VEH_VTOL_TRANSFORM": "JP: (VTOL) モード変更 || CZ: (STÍHAČKA) PŘEPNUTÍ LETOVÉHO MODELU"
"COMMUNITY_EMAIL_FIELD": "JP: Eメールアドレス || CZ: E-MAILOVÁ ADRESA"
"MENU_EXTRAS": "JP: エクストラ || CZ: BONUSY"
"HUMAN_TEAM_PLAYERS": "JP: セインツ || CZ: SVATÍ"
"PAUSE_MENU_CONTROL_CLICK": "JP: （押す） || CZ: (STISKNOUT)"
"COMPLETION_CONTROL_PER_DAY": "JP: 1時間{0}ドル || CZ: {0} DOLARŮ ZA HODINU"
"HASH_57487C66": ""
"SAVELOAD_SAVE_GAME_DEVICE_FULL_TITLE": "JP: データ保存機器に空き容量がありません || CZ: ZAŘÍZENÍ JE PLNÉ"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_LINE2": "JP: データ保存機器が利用できなくなりました || CZ: úložné zařízení již není k dispozici."
"PAUSE_MAP_FILTER_SAVE": "JP: セーブポイント || CZ: UKLÁDACÍ BODY"
"MENU_TITLE_CONFIRM": "JP: 決定 || CZ: POTVRDIT"
"INFO_UNLOCKABLES_SPECIALS": "JP: スペシャル || CZ: SPECIALITY"
"PAUSE_MENU_QUIT_TITLE": "JP: ゲームの終了 || CZ: UKONČIT HRU?"
"DOWNLOADABLE_REMOVED_EXPOSITION": "JP: ダウンロード コンテンツが保存されている\nデータ保存機器が取り外されました || CZ: Bylo odstraněno úložné zařízení,\nkteré obsahuje stažitelný obsah."
"CONTROLS_SETUP_VCAM_FAR": "JP: 遠景 || CZ: DALEKO"
"COMPLETION_EXIT_ACTIVITY": "JP: アクティビティを終了 || CZ: UKONČIT AKTIVITU"
"PAUSE_MENU_SECONDS": "JP: {0}秒 || CZ: {0} SEKUND"
"PAUSE_MAP_FILTER_COLLECTIBLES": "JP: コレクション || CZ: SBĚRATELSKÉ PŘEDMĚTY"
"PAUSE_ACHIEVES_TITLE": "JP: 実績 || CZ: VÝSLEDKY"
"MM_LOAD_LOADING": "JP: ロードしています || CZ: NAČÍTÁNÍ"
"MAP_REMOVE_BOOKMARK": "JP: ブックマーク削除 || CZ: ODSTRANIT ZÁLOŽKU"
"CONTROL_DESC_VEH_CLICK_HYDRAULICS": "JP: ニトロ／ハイドロ || CZ: NITRO/HYDRAULIKA"
"PAUSE_MENU_STATION_SELECTION": "JP: 選局 || CZ: VÝBĚR STANICE"
"PLAYLIST_HEADER_PLAYLIST": "JP: プレイリスト || CZ: SEZNAM"
"MENU_OPTIONS_NONE": "JP: オプションなし || CZ: ŽÁDNÉ MOŽNOSTI NEJSOU K DISPOZICI"
"CONTROL_DESC_PAUSE_MAP": "JP: 携帯電話 || CZ: TELEFON"
"HASH_7B16A56A": "JP: HDRスタイル || CZ: STYL HDR"
"MENU_MISSIONS": "JP: ミッション || CZ: MISE"
"COOP_REVIVAL_PENDING": "JP: あと%d秒間は蘇生可能 || CZ: MÁŠ %d S NA OŽIVENÍ"
"SAVELOAD_SAVE_WARNING": "JP: セーブ中はHDDアクセスランプが点滅しますので\nその間は本体の電源を切らないでください\n || CZ: Blikající světlo na pevném disku signalizuje, že na něj systém právě zapisuje.\nV takovémto případě prosím nevypínej systém.\n"
"RADIO_STATION_GENRE_ADULT_SWIM": "JP: アダルトスイムとカートゥーン ネットワーク || CZ: ADULT SWIM A CARTOON NETWORK"
"INFO_UNLOCKABLES_VEHICLES": "JP: 車両 || CZ: VOZY"
"CONTROL_DESC_VEH_LOOK_BACK": "JP: 後ろを見る || CZ: POHLED DOZADU"
"SB_TITLE": "JP: セインツブック || CZ: ZÁPISNÍK SVATÝCH"
"CONTROL_DESC_FOOT_HUMANSHIELD_KILL": "JP: ヒューマンシールドを始末する || CZ: ZABÍT LIDSKÝ ŠTÍT"
"BUILDING_PURCHASE_BUILDING": "JP: {0:text_tag_crc}\nを{1}ドルで購入しますか？ || CZ: Chceš koupit {0:text_tag_crc} za {1} dolarů?"
"PAUSE_MENU_ACCEPT": "JP: 決定 || CZ: POTVRDIT"
"Control_Scheme": "JP: タイプ || CZ: SCHÉMA"
"COMPLETION_NEIGHBORHOOD_GAINED": "JP: 獲得した縄張り || CZ: OBLAST ZÍSKÁNA"
"COMPLETION_EXIT_MISSION": "JP: ミッションを終了 || CZ: UKONČIT MISI"
"MENU_OPTIONS_AUDIO": "JP: オーディオ || CZ: ZVUK"
"CELL_VEHICLE_DIALOG_REPAIRS_HEADER": "JP: 車両を修理して回収しますか？ || CZ: Opravit a získat vůz?"
"HASH_7BD026EE": "JP: 彩度 || CZ: ŽIVOST BAREV"
"SAVELOAD_SAVING_MESSAGE_TITLE": "JP: セーブ中... || CZ: UKLÁDÁNÍ"
"OPT_CONTROL_DISABLED": "JP: 無効 || CZ: VYPNUTO"
"INFO_UNLOCKABLES_MISSIONS": "JP: ミッション || CZ: MISE"
"INFO_DIVERSIONS_JOBS": "JP: 職業 || CZ: PRÁCE"
"CONTROL_DESC_FOOT_HUMANSHIELD": "JP: ヒューマンシールドをする || CZ: CHYTIT LIDSKÝ ŠTÍT"
"MISSION_RESTART_PROMPT": "JP: このミッションをもう一度プレイしますか？ || CZ: Chceš si tuto misi zopakovat?"
"MENU_OPTIONS_SELECT_STORAGE": "JP: データ保存機器の選択 || CZ: VYBER ÚLOŽNÉ ZAŘÍZENÍ"
"COMPLETION_ACTIVITY_LEVEL_FAILED": "JP: レベル{0}失敗 || CZ: ÚROVEŇ {0} NEDOKONČENA"
"INFO_UNLOCKABLES_HOMIES": "JP: ギャングアビリティー || CZ: SCHOPNOSTI GANGU"
"CONTROL_DESC_VEH_TOGGLE_CAM": "JP: カメラの切り替え || CZ: ZAPNOUT KAMERU"
"COMPLETION_CONTROL": "JP: {0}\\N地区コントロール || CZ: {0}\nNADVLÁDA VE ČTVRTI"
"CELL_OPTION_CALL": "JP: CALL || CZ: VOLAT"
"MSN_NO_RESPECT_TITLE": "JP: リスペクトが足りない！ || CZ: NEDOSTATEK RESPEKTU!"
"CONTROLS_SETUP_DRIVING": "JP: 運転操作 || CZ: OVLÁDÁNÍ VOZIDEL"
"COMPLETION_RETRY_ACTIVITY": "JP: アクティビティをやり直す || CZ: ZOPAKOVAT AKTIVITU"
"COMPLETION_ACTIVITY_LEVEL_COMPLETE": "JP: レベル{0}クリア || CZ: ÚROVEŇ {0} DOKONČENA"
"CELL_OPTION_CLR": "JP: CLEAR || CZ: VYMAZAT"
"CELL_PHONEBOOK_NONE": "JP: エントリーが\nありません || CZ: ŽÁDNÉ ZÁZNAMY"
"SAVELOAD_HDR_STATUS": "JP: {0}クリア          {1} || CZ: {0} DOKONCENO           {1}"
"INFO_DIVERSIONS_FRENZY": "JP: スペシャル || CZ: ZVLÁŠTNÍ"
"CONTROL_DESC_VEH_BRAKE_REV": "JP: ブレーキ／バック || CZ: BRZDA/ZPÁTEČKA"
"INFO_DIVERSIONS": "JP: デバージョン || CZ: BOKOVKY"
"SAVELOAD_SAVE_GAME_TOO_MANY_EXPOSITION": "JP: データ保存機器に空きスロットがありません || CZ: Na tomto úložném zařízení už nejsou k dispozici žádné další pozice pro ukládání."
"PAUSE_MAP_FILTER_ACTIVITIES": "JP: アクティビティ || CZ: AKTIVITY"
"MENU_AUDIO_MICAUDIO": "JP: オーディオマイク || CZ: MIKROFON"
"INVALID_SAVE_MSG": "JP: ロードしようとしたデータは\n破損しているか、本タイトルに対応していません || CZ: Uložená pozice, kterou se pokoušíš načíst, je\nbuď poškozená, nebo ji tento titul nepodporuje."
"GAME_LOADING": "JP: ロードしています || CZ: NAČÍTÁNÍ"
"CONTROL_DESC_FOOT_RECRUIT": "JP: 仲間を入れる || CZ: SVOLAT PARŤÁKY"
"COMPLETION_ENOUGH_RESPECT": "JP: 新たなミッションがプレイ可能になった || CZ: MÁŠ DOSTATEK RESPEKTU PRO HRANÍ DALŠÍCH MISÍ."
"MENU_CONTROLS_INVERT_Y": "JP: 視点上下反転 || CZ: INVERTOVAT OSU Y U KAMERY"
"MENU_AUDIO_HEADSET": "JP: ヘッド セット || CZ: SLUCHÁTKA"
"MAINMENU_EXTRAS": "JP: エクストラ || CZ: BONUSY"
"INFO_DIVERSIONS_STUNTS": "JP: スタント || CZ: KASKADÉRSKÉ KOUSKY"
"CELL_CALL_CALLING": "JP: 呼出中 || CZ: VOLÁNÍ"
"STATS_STATS_NONE": "JP: プレイデータなし || CZ: ŽÁDNÉ STATISTIKY"
"MAP_BLANK_DISTRICT": "JP: %ls地区 || CZ: %ls - ČTVRŤ"
"COMPLETION_MISSION_NUMBER": "JP: ミッション{0} || CZ: MISE {0}"
"REMOVE_BOOKMARK": "JP: ブックマーク削除 || CZ: ODSTRANIT ZÁLOŽKU"
"PAUSE_MAP_FILTER_NONE": "JP: なし || CZ: NIC"
"MAP_D_PERCENT_CONTROL": "JP: %d%%%%占拠 || CZ: %d %%%% NADVLÁDY"
"PAUSE_MAP_FILTER_FLASHPOINTS": "JP: 抗争スポット || CZ: OPERACE GANGU"
"CONTROLS_SIXAXIS_BRAKE": "JP: SIXAXISアクセル／ブレーキ || CZ: ŠESTIOSÉ PLYN/BRZDA"
"CONTROL_DESC_FOOT_RADIAL": "JP: インベントリ || CZ: INVENTÁŘ"
"MENU_STYLE_DIALOG_BODY": "JP: [format][color:yellow]スタイル レベル{0}[/format]を到達。アクティビティやデバージョン中に獲得するリスペクトに[format][color:yellow]{1}パーセント[/format]のボーナスがつく || CZ: [format][color:yellow]Úroveň stylu {0}[/format] získána. Nyní budeš během misí i bokovek získávat o [format][color:yellow]{1} procent více respektu[/format]."
"INFO_COLLECTION": "JP: コレクション || CZ: SBÍRKA"
"CONTROLS_SENSE_V": "JP: 視点の縦方向感度 || CZ: VERTIKÁLNÍ CITLIVOST"
"COMPLETION_BONUS": "JP: {0}%%%ボーナス || CZ: {0}%%% BONUS"
"HASH_AB781E7A": "JP: HDR || CZ: HDR"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_OPEN_DEVICE_SELECTOR": "JP: 別のデータ保存機器を選択する || CZ: VYBRAT JINÉ ZAŘÍZENÍ"
"SAVELOAD_MUST_SIGN_IN": "JP: セーブ／ロードを行うにはサインインしてください || CZ: Chceš-li ukládat a načítat, musíš se nejprve přihlásit."
"CONTROLS_SETUP_VCAM_DIST": "JP: 車両での視点 || CZ: VZDÁLENOST KAMERY VOZU"
"CONTROL_DESC_VEH_HELI_SECONDARY_FIRE": "JP: （ヘリ）サブ武器 || CZ: (VRTULNÍK) ALT. ÚTOK"
