// extra_dumps ref: static - JP/CZ reference for keys in extra_static_us.txt
"STAT_DRIVING_TWOWHEELS": "JP: 片輪走行 || CZ: JÍZDA PO DVOU KOLECH"
"STAT_BEST_WEAPON": "JP: 最も得意な武器 || CZ: NEJOBLÍBENĚJŠÍ ZBRAŇ"
"STAT_HOSTAGES_EXTORTED": "JP: 金をまき上げた人質 || CZ: OKRADENÍ RUKOJMÍ"
"ESCORT_NAME_26A": "JP: サブミッシブ || CZ: SUBMISIVNÍ"
"PURCHASEABLE_PROPERTEY_COUNTERFITING": "JP: COUNTERFITING || CZ: PADĚLÁNÍ"
"HORDE_MODE_REMAINING_ENEMIES_TAG": "JP: 残りの敵 || CZ: ZBÝVAJÍCÍ NEPŘÁTELÉ"
"STAT_LAW_ENFORCEMENT_KILLED": "JP: 倒した警備隊 || CZ: ZABITÍ OCHRÁNCŮ ZÁKONA CELKEM"
"MENU_SWAP_WEAPONS_STORE": "JP: 武器ショップ || CZ: OBCHOD SE ZBRANĚMI"
"STAT_WEAPON_PISTOL": "JP: ピストル || CZ: PISTOLE"
"STAT_COOP_TANDEM_DIVERSION_RECORDS": "JP: 協力プレイ：連携デバージョン記録 || CZ: KOOPERATIVNÍ REŽIM: REKORDY TANDEMOVÝCH HER"
"STAT_TIME_PLAYED": "JP: 総プレイ時間 || CZ: CELKOVÁ DOBA HRANÍ"
"ESCORT_NAME_24A": "JP: ライジング || CZ: STOUPAJÍCÍ"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "JP: 保険金詐欺：ダイブ距離合計 || CZ: POJISTNÝ PODVOD: CELKOVÁ DÉLKA SKOKŮ"
"STAT_HIGHEST_RANK_ACHIEVED": "JP: 最高ランク達成 || CZ: NEJVYŠŠÍ DOSAŽENÁ ÚROVEŇ"
"STAT_CAT_MOUSE_CASH_EARNED": "JP: キャット&マウス：稼いだ金額 || CZ: NA KOČKU A NA MYŠ: VYDĚLANÉ PENÍZE"
"STAT_COMBAT_MULTI": "JP: マルチキル || CZ: HROMADNÁ ZABITÍ"
"STAT_TOTAL_CASH_SPENT": "JP: 使用金額総額 || CZ: CELKOVÉ VÝDAJE"
"STAT_MAX_DRIVER_BAILOUT_DAMAGE_DONE": "JP: ドライバー脱出最高ダメージ || CZ: MAXIMÁLNÍ POŠKOZENÍ KATAPULTU"
"ESCORT_NAME_22A": "JP: シューティング || CZ: STŘÍLEJÍCÍ"
"WARDROBE_REMOVE_CLOTHING": "JP: 他の衣服を脱ぎますか？ || CZ: Chceš odstranit ostatní oblečení?"
"GANG_CUST_GANG_SIGN_POSE": "JP: 移動 || CZ: POHYB"
"STAT_COMBAT_ENEMY_RESPECT": "JP: 敵ギャングを始末して獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA ZABÍJENÍ NEPŘÁTELSKÝCH GANGSTERŮ"
"STAT_MAX_WHEELIE_DISTANCE": "JP: ウィリー最長距離 || CZ: MAXIMÁLNÍ VZDÁLENOST JÍZDY PO ZADNÍM KOLE"
"STAT_PARACHUTE_DISTANCE_TRAVELLED": "JP: パラシュートでの移動距離 || CZ: VZDÁLENOST PŘEKONANÁ PADÁKEM"
"STAT_DRIVING_WINDSHILED_RESPECT": "JP: フロントガラス砲で獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA AUTODĚLA"
"STAT_MAX_STOPPIE_DISTANCE": "JP: ストッピー最長距離 || CZ: MAXIMÁLNÍ VZDÁLENOST JÍZDY PO PŘEDNÍM KOLE"
"ESCORT_NAME_20A": "JP: キングス || CZ: VLÁDNOUCÍ"
"WPNSTOR_TEXT_MAX_WEAPONS_CRIB": "JP: 次のアイテムはこれ以上アジトから持ち出せません：「%s」 || CZ: Zbraň \"%s\" si už ze skříně nemůžeš vzít."
"STAT_TIME_AT_MAX_MORNINGSTAR_NOTORIETY": "JP: 最大モーニングスター悪評度（時間） || CZ: DOBA PŘI MAXIMÁLNÍ POZORNOSTI MORNINGSTARŮ"
"STAT_DRIVING_DRIFTING": "JP: ドリフト || CZ: JÍZDA SMYKEM"
"WARDROBE_REMOVE_CLOTHING_TITLE": "JP: 他の衣服を脱ぐ || CZ: ODSTRANIT OSTATNÍ OBLEČENÍ"
"VCUST_SPINNER_NUMBER": "JP: スピナー{0} || CZ: MATICE #{0}"
"PURCHASEABLE_PROPERTEY_CONDOS": "JP: HIGH RISE CONDOS || CZ: BYTY HIGH RISE"
"CUST_ITEM_REMOVE_CLOTHING": "JP: 現在の衣服をすべて脱ぐ || CZ: SVLÉKNOUT VŠECHNO OBLEČENÍ"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "JP: 倒したルチャドールスペシャリスト || CZ: ZABITÍ SPECIALISTÉ LUCHADORŮ"
"STAT_MISSIONS_ATTEMPTED": "JP: 開始したミッション || CZ: VŠECHNY MISE"
"STAT_SNIPER_HIT_PCT": "JP: スナイパーライフル命中率 || CZ: PROCENTO ZÁSAHŮ S ODSTŘELOVACÍ PUŠKOU"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "JP: 保険金詐欺：最長ダイブ距離 || CZ: POJISTNÝ PODVOD: NEJDELŠÍ SKOK"
"STAT_SURFING": "JP: カーサーフィン || CZ: SURFOVÁNÍ"
"ESCORT_NAME_25B": "JP: フェニックス || CZ: FÉNIX"
"STORE_TITLE_DISCARD": "JP: 削除 || CZ: ODSTRANIT PŘEDMĚT"
"HORDE_MODE_RETRY_TEXT": "JP: このウェーブをやり直しますか？ || CZ: Opravdu chceš zopakovat tuto vlnu?"
"HORDE_MODE_UNLIMITED_AMMO": "JP: エンドレス弾薬！ || CZ: Nekonečný zásobník!"
"STAT_TAUNT_GANG": "JP: 挑発したギャングメンバー || CZ: ZESMĚŠNĚNÍ ČLENOVÉ GANGU"
"STAT_SPECIAL_AMMO_USED": "JP: 特殊武器発砲回数 || CZ: VYPÁLENÉ RÁNY ZE SPECIÁLNÍCH ZBRANÍ"
"ESCORT_NAME_39_A": "JP: ダブル・フィステッド || CZ: DVOJPĚSTNÍ"
"HORDE_MODE_TITLE_ZOMBIE_WAVE": "JP: ゾンビウェーブ || CZ: VLNA ZOMBIÍ"
"STAT_RPG_HIT_PCT": "JP: ロケットランチャー命中率 || CZ: PROCENTO ZÁSAHŮ S RPG"
"STAT_MAX_STUNT_JUMP_FLIP": "JP: ジャンプ最高フリップ || CZ: MAXIMÁLNÍ PŘEMET"
"ESCORT_NAME_27B": "JP: ミルクシェイク || CZ: MLÉČNÝ SHAKE"
"NO_ITEMS_DISPLAY_NAME": "JP: なし || CZ: ŽÁDNÉ PŘEDMĚTY"
"HORDE_MODE_TITLE_PLAYER_SCORES": "JP: プレイヤーの得点 || CZ: HRÁČOVO SKÓRE"
"STAT_DRIVING_BAILOUT_DISTANCE": "JP: 最長脱出 || CZ: NEJDELŠÍ KATAPULT"
"STAT_SHOTGUN_SHOTS_FIRED": "JP: ショットガン発砲回数 || CZ: VYPÁLENÉ RÁNY Z BROKOVNICE"
"STAT_MAYHEM_LEVELS_COMPLETED": "JP: クリアしたメイヘム || CZ: DOKONČENÉ MISE VANDALSTVÍ"
"STAT_DRIVING_DRIFTING_RESPECT": "JP: ドリフトで獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA JÍDU SMYKEM"
"STAT_MANUALLY_AWARDED": ""
"STAT_VEHICLES_DESTROYED": "JP: 破壊車両 || CZ: ZNIČENÁ VOZIDLA"
"ESCORT_NAME_21B": "JP: コーンホール || CZ: ŘITNÍ OTVOR"
"CONFIRM_DELETE_OUTFIT": "JP: この衣服セットを消去しますか？\n衣服はクローゼットに残ります || CZ: Opravdu chceš smazat tento komplet?\nJednotlivé šaty ti zůstanou v šatníku."
"STORE_AMBULANCE_MSG": "JP: 体力を回復 || CZ: POŽÁDAT O OŠETŘENÍ"
"STAT_CAT_MOUSE_LONGEST_DEATH_STREAK": "JP: キャット&マウス：最高連続デス数 || CZ: NA KOČKU A NA MYŠ: NEJDELŠÍ SÉRIE ÚMRTÍ"
"STAT_GANG_NOTORIETY_TIME": "JP: ギャング悪評度MAX || CZ: CELKOVÝ ČAS POZORNOSTI GANGŮ"
"WARDROBE_REMOVE_OUTFIT": "JP: この衣服セットをクローゼットから削除しますか？ || CZ: Chceš tento komplet odstranit ze šatníku?"
"DEALER_NO_PALETTE": "JP: 選択可能なパレットがありません || CZ: Žádné barvy nejsou k dispozici."
"STAT_MORNINGSTAR_SPECIALISTS_KILLED": "JP: 倒したモーニングスタースペシャリスト || CZ: ZABITÍ SPECIALISTÉ MORNINGSTARŮ"
"ESCORT_NAME_23B": "JP: ディロー || CZ: DILLOW"
"CONTROL_QUIT_WITHOUT_SAVING": "JP: セーブしないで終了 || CZ: UKONČIT BEZ ULOŽENÍ"
"GARAGE_NONE": "JP: 乗り物はありません || CZ: GARÁŽ JE PRÁZDNÁ"
"HORDE_MODE_GAMEPLAY_TITLE": "JP: 千人切りモード || CZ: KURVÍ REŽIM"
"STAT_CARS_DESTROYED": "JP: 破壊した車 || CZ: ZNIČENÁ AUTA"
"STAT_CHOPSHOP_CASH": "JP: ヤミ改造工場で稼いだ金額 || CZ: PENÍZE ZÍSKANÉ Z AUTODÍLNY"
"STAT_TOTAL_RESPECT": "JP: 獲得リスペクト総計 || CZ: ZÍSKANÝ RESPEKT"
"STAT_BEAT_COPS_KILLED": "JP: 倒した警官 || CZ: ZABITÍ POLICISTÉ"
"ESCORT_NAME_31A": "JP: クリーピング || CZ: PLAZÍCÍ"
"HORDE_MODE_NEW_WAVE_MESSAGE_TITLE": "JP: 次のウェーブが来た！ || CZ: Nová vlna!"
"STAT_MASCOTS_KILLED": "JP: 倒したマスコット || CZ: ZABITÍ MASKOTI"
"STAT_DRIVING_STOPPIE_TIME": "JP: 最長ストッピー || CZ: NEJDELŠÍ JÍZDA PO PŘEDNÍM KOLE"
"STAT_LONGEST_VEHICLE_SURF_HANDSTAND_TIME": "JP: 連続最長カーサーフィン逆立ち || CZ: NEJDELŠÍ STOJKA PŘI SURFOVÁNÍ"
"STAT_LONGEST_VEHICLE_SURFING_TIME": "JP: カーサーフィンの最長時間 || CZ: NEJDELŠÍ SURFOVÁNÍ"
"STAT_BAIL_MONEY": "JP: 保釈金 || CZ: PENÍZE UTRACENÉ ZA KAUCI"
"VCUST_WHEEL_WIDTH_OPTION": "JP: ホイールの幅 || CZ: ŠÍŘKA KOLA"
"TAT_REG_BACK": "JP: 背中 || CZ: ZÁDA"
"STAT_WEAPON_SNIPER": "JP: スナイパー || CZ: ODSTŘELOVAČ"
"STAT_COMBAT_MELEE_RESPECT": "JP: 格闘キルで獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA ZABITÍ ZBLÍZKA"
"STAT_MAX_TWO_WHEELS_DISTANCE": "JP: 片輪走行の最長距離 || CZ: NEJDELŠÍ JÍZDA PO DVOU KOLECH"
"ESCORT_NAME_33A": "JP: ロマン || CZ: STŘEDNÍ"
"HORDE_MODE_TEAM_SCORE": "JP: 得点 || CZ: SKÓRE"
"STAT_VEHICLE_BIKE": "JP: バイク || CZ: MOTORKA"
"STATS_DISTANCE_FEET": "JP: %0.2fft || CZ: %0.2fft"
"STAT_DRIVING_BIGAIR_RESPECT": "JP: ビッグエアジャンプで獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA VELKÉ SKOKY"
"STAT_HOMIES_RECRUITED": "JP: 勧誘した仲間 || CZ: NAVERBOVANÍ PARŤÁCI"
"VEHICLE_TYPE_TITLE": "JP: 車種 || CZ: TYP VOZU"
"STAT_CAT_MOUSE_MOST_ROUND_DEATHS": "JP: キャット&マウス：1ラウンド最多デス || CZ: NA KOČKU A NA MYŠ: NEJVÍCE ÚMRTÍ V KOLE"
"STAT_CAT_MOUSE_WINS": "JP: キャット&マウス：勝利 || CZ: NA KOČKU A NA MYŠ: VÍTĚZSTVÍ"
"ESCORT_NAME_35A": "JP: シッティング || CZ: SEDÍCÍ"
"STAT_DRIVING_BURNOUT_RESPECT": "JP: バーンアウトで獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA SPÁLENÍ"
"ESCORT_NAME_29B": "JP: プリンセス || CZ: PRINCEZNA"
"CUST_ITEM_DELETE_OUTFIT": "JP: 衣服セットを消去する || CZ: SMAZAT KOMPLET"
"HORDE_MODE_MENU_NEW_GAME": "JP: メニューに戻る || CZ: NOVÁ HRA"
"STAT_DRIVING_STOPPIE": "JP: ストッピー || CZ: JÍZDA PO PŘEDNÍM KOLE"
"ESCORT_NAME_37A": "JP: インバーティッド || CZ: REVERZNÍ"
"DUMMY_CHARACTERS_RUSSIAN": ""
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "JP: 挑発した警官 || CZ: URÁŽKY POLICAJTŮ"
"STAT_ESCORT_CLIENTS_SERVICED": "JP: エスコート：対応した客 || CZ: ESKORT: OBSLOUŽENÍ KLIENTI"
"STAT_SURFING_TIME": "JP: 最長カーサーフィン || CZ: NEJDELŠÍ SURFOVÁNÍ"
"STAT_HITMAN_TARGETS": "JP: 排除したターゲット || CZ: ODSTRANĚNÉ CÍLE"
"ESCORT_NAME_38_B": "JP: モンキーレンチ || CZ: OPIČÍ VOCAS"
"HORDE_MODE_NEW_CHALLENGE_WAVE_TITLE": "JP: チャレンジウェーブだ！ || CZ: Obtížná vlna!"
"STAT_MISSION_STRONGHOLD_CASH_EARNED": "JP: ミッション／拠点で稼いだ金額 || CZ: ZISK Z MISÍ/PEVNOSTÍ"
"STAT_HOSTAGES_TAKEN": "JP: 人質を取った人数 || CZ: CELKOVÝ POČET RUKOJMÍCH"
"STAT_COOP_MAX_POLICE_NOTORIETY_STREAK": "JP: 協力プレイ：警察悪評度MAX最長持続時間 || CZ: KOOPERATIVNÍ REŽIM: NEJDELŠÍ ČAS POZORNOSTI POLICIE"
"RADIO_STATION_K12": "JP: K12 || CZ: K12"
"STAT_COMBAT_THROWN": "JP: 投てき || CZ: ODHOZENÍ"
"PURCHASEABLE_PROPERTEY_FLATS": "JP: PARKVIEW FLATS || CZ:  BYTY V PARKVIEW"
"GARAGE_CANNOT_REPAIR": "JP: 車両を修理しないとカスタマイズできません\n資金が足りません || CZ: Vůz nemůžeš upravit, dokud nebude úplně opravený\nNa opravu vozu nemáš dost peněz."
"STAT_BASE_HIGH": "JP: 最高ジャンプ || CZ: NEJDELŠÍ SKOK"
"BODY_TITLE": "JP: 身体 || CZ: TĚLO"
"CONTROL_CANCEL": "JP: キャンセル || CZ: ZRUŠIT"
"ESCORT_NAME_18B": "JP: サンチェス || CZ: SANCHEZ"
"DEMO_EXIT": "JP: 体験版を終了する || CZ: UKONČIT DEMO"
"STORE_PLANET_SAINTS_MSG": "JP: !!アイテムを購入 || CZ: !!!koupit předměty"
"HORDE_MODE_MENU_EXIT": "JP: メインメニューへ戻る || CZ: NÁVRAT DO HLAVNÍ NABÍDKY"
"STAT_HUMAN_TORCH_LEVELS_COMPLETED": "JP: クリアしたファイアレース || CZ: DOKONČENÉ MISE ŽIVÁ POCHODEŇ"
"STAT_HUMAN_TORCH_OBJECTS_TORCHED": "JP: ファイアレース：着火したオブジェクト || CZ: ŽIVÁ POCHODEŇ: ZAPÁLENÉ OBJEKTY"
"STAT_LEVELS_COMPLETED": "JP: クリアしたステージ || CZ: DOKONČENÉ ÚROVNĚ"
"STORE_NO_ITEMS_IN_CATEGORY": "JP: このカテゴリーのアイテムは在庫がありません || CZ: TATO KATEGORIE JE PRÁZDNÁ."
"UNLOCKABLE_TITLE_TEXT": "JP: ロック解除 || CZ: ODEMČENO"
"STAT_HITMAN_COMPLETED": "JP: クリアした「ヒットマン」 || CZ: DOKONČENÉ VRAŽDY"
"ESCORT_NAME_9B": "JP: ドラゴン || CZ: DRAK"
"GARAGE_HANGAR": "JP: 格納庫 || CZ: HANGÁR"
"STAT_STORES_OWNED": "JP: 所有する店 || CZ: VLASTNĚNÉ OBCHODY"
"STAT_MAX_STUNT_JUMP_ROLL": "JP: ジャンプ最高回転 || CZ: MAXIMÁLNÍ OTOČKA"
"SURGEON_INSUFFICIENT_FUNDS": "JP: 整形手術を行う資金が足りません || CZ: Na návštěvu plastického chirurga nemáš dost peněz."
"STAT_VEHICLE_AIRCRAFT": "JP: 飛行機 || CZ: LETADLO"
"STAT_WEAPON_RPG": "JP: ロケットランチャー || CZ: RPG"
"STAT_COOP_DEATHS": "JP: 協力プレイ：プレイヤー起因のデス || CZ: KOOPERATIVNÍ REŽIM: SMRT ZPŮSOBENÁ HRÁČEM"
"STAT_SNATCH_PIMPS_KILLED": "JP: スカウト：始末したスカウト || CZ: SOUBOJ PASÁKŮ: ZABITÍ PASÁCI"
"STAT_DRIVING_NEARMISS_CHAIN": "JP: 最長連続ニアミス || CZ: NEJDELŠÍ SÉRIE NÁJEZDŮ"
"ESCORT_NAME_14B": "JP: ジョンソン || CZ: JOHNSON"
"ESCORT_NAME_7B": "JP: ネックレス || CZ: NÁHRDELNÍK"
"GIANT_PLAYER_DESC": "JP: こんなに大きくなれたのは、好き嫌いしなかったから || CZ: Jedl jsi fazolky, pěkně jsi vyrostl."
"STORE_TEXT_CONFIRM_PURCHASE_AND_SAVE_FULL": "JP: 「%s」を %sドルで購入してセーブしますか？  || CZ: \"%s\" stojí %s. Koupit a uložit pozici?"
"TUT_CRIB_GARAGE": "JP: {ACTION_IMG}：ガレージに入れる || CZ: STISKNUTÍM {ACTION_IMG} PŘIDÁŠ TENTO VŮZ DO SVÉ GARÁŽE."
"STAT_AIRCRAFT_DESTROYED": "JP: 破壊した飛行機 || CZ: ZNIČENÁ LETADLA"
"STAT_SMG_HIT_PCT": "JP: サブマシンガン命中率 || CZ: PROCENTO ZÁSAHŮ SE SAMOPALEM"
"ESCORT_NAME_16B": "JP: スワール || CZ: VÍR"
"ESCORT_NAME_5B": "JP: シャワー || CZ: SPRCHA"
"PURCHASEABLE_PROPERTEY_POWER": "JP: POWER AND LIGHT || CZ: POWER AND LIGHT"
"STAT_DRIVING_BAILOUT_RESPECT": "JP: 脱出で獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA KATAPULTY"
"STAT_DRIVING_WRONGWAY_RESPECT": "JP: 逆走で獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA JÍZDU V PROTISMĚRU"
"ESCORT_NAME_10B": "JP: ナックラー || CZ: NADHOZ"
"ESCORT_NAME_3B": "JP: パンチ || CZ: ÚD-ER"
"CONFIRM_WEAR_OUTFIT": "JP: この衣服セットを着用しますか？ || CZ: Opravdu si chceš obléci tento komplet?"
"HASH_CC5A26DE": "JP: 下着になりますか？ || CZ: Do naha?"
"HORDE_MODE_MENU_RETRY": "JP: ウェーブをやり直す || CZ: OPAKOVAT"
"HORDE_MODE_TITLE_SURVIVAL_TIME": "JP: 生存時間 || CZ: DOBA PŘEŽITÍ"
"HORDE_MODE_WEAPON_UPGRADE": "JP: %lsがレベル%iになった\n（最大レベル%i） || CZ: %ls JE TEĎ NA ÚROVNI %i ZE %i"
"STAT_STREAKING_PEOPLE": "JP: ストリーキングした人数 || CZ: VYLEKANÍ LIDÉ"
"STAT_CRIBS_ACQUIRED": "JP: 獲得したアジト || CZ: ZÍSKANÉ BEJVÁKY"
"ESCORT_NAME_12B": "JP: フランクリン || CZ: FRANKLIN"
"ESCORT_NAME_1B": "JP: サンチェス || CZ: SANCHEZ"
"HUD_FOUND_CASH": "JP: 金庫から%lsドル取り出した！ || CZ: Obdržel jsi %ls ze skrýše!"
"VCUST_RIM_STYLE_OPTION": "JP: リムのスタイル || CZ: STYL RÁFKŮ"
"STAT_DRIVING_TWOWHEELS_TIME": "JP: 最長片輪走行時間 || CZ: NEJDELŠÍ JÍZDA PO DVOU KOLECH"
"STAT_MAX_WINDSHIELD_CANNON_DISTANCE": "JP: フロントガラス砲最長距離 || CZ: MAXIMÁLNÍ VZDÁLENOST AUTODĚLA"
"ESCORT_NAME_16A": "JP: ティックリング || CZ: LECHTAJÍCÍ"
"ESCORT_NAME_5A": "JP: ゴールデン || CZ: TŘPYTÍCÍ"
"DELETE_OUTFIT": "JP: 衣服セットを消去する || CZ: SMAZAT KOMPLET"
"VCUST_HIGH_PROFILE": "JP: 厚型 || CZ: VYSOKÝ PROFIL"
"STAT_TEAM_LUCHADORES": "JP: ルチャドール || CZ: LUCHADOŘI"
"STAT_ESCORT_LEVELS_COMPLETED": "JP: クリアしたエスコート || CZ: DOKONČENÉ MISE ESKORTA"
"STAT_COMBAT_HEADSHOT_RESPECT": "JP: ヘッドショットで獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA ZÁSAHY DO HLAVY"
"STAT_MAYHEM_BEST_COMBO": "JP: メイヘム：最高コンボ || CZ: VANDALSTVÍ: NEJLEPŠÍ KOMBO"
"ESCORT_NAME_14A": "JP: スチーミング || CZ: PAŘÍCÍ"
"ESCORT_NAME_7A": "JP: パール || CZ: BLÝSKAJÍCÍ"
"STAT_COOP_GANG_NOTORIETY_TIME": "JP: 協力プレイ：ギャング悪評度MAX || CZ: KOOPERATIVNÍ REŽIM: CELKOVÝ ČAS POZORNOSTI GANGŮ"
"STAT_DECKERS_KILLED": "JP: 倒したデッカー || CZ: ZABITÍ DECKEŘI"
"ACHIEVEMENTS_LOG_IN_EXPOSITION": "JP: 実績を表示するにはゲーマー プロフィールにサインインしている必要があります  || CZ: Úspěchy si můžeš prohlédnout až po přihlášení. "
"ESCORT_NAME_12A": "JP: モイスト || CZ: MOKVAJÍCÍ"
"ESCORT_NAME_1A": "JP: ダーティ || CZ: OBSCÉNNÍ"
"GARAGE_DOCK": "JP: ドック || CZ: DOK"
"STAT_BIG_AIR_LONGEST_JUMP": "JP: ビッグエア：最長ジャンプ距離 || CZ: NEJDELŠÍ SKOK"
"STAT_STAG_KILLED": "JP: 倒したSTAG || CZ: ZABITÍ AGENTI STAGU"
"STAT_MISSION_SUCCESS_RATE": "JP: ミッション成功率 || CZ: ÚSPĚŠNOST V MISÍCH"
"STAT_MAYHEM_DAMAGE_DONE": "JP: メイヘム：与えた損害額 || CZ: VANDALSTVÍ: ZPŮSOBENÁ ŠKODA"
"STAT_DRIVING_WHEELIE_RESPECT": "JP: ウィリーで獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA JÍZDU PO ZADNÍM KOLE"
"ESCORT_NAME_10A": "JP: アングリー || CZ: ZLOBÍCÍ"
"ESCORT_NAME_3A": "JP: ドンキー || CZ: OSLÍ"
"GARAGE_INSUFFICIENT_FUNDS": "JP: 車両の修理資金が足りません || CZ: NA OPRAVU TOHOTO VOZIDLA NEMÁŠ DOST PENĚZ."
"STAT_JUMPS_FOUND": "JP: 見つけたスタントジャンプ || CZ: NALEZENÉ KASKADÉRSKÉ SKOKY"
"STAT_FRAUD_LEVELS_COMPLETED": "JP: クリアした保険金詐欺 || CZ: DOKONČENÉ MISE POJISTNÝ PODVOD"
"STAT_DRIVING_WRONGWAY_TIME": "JP: 最長逆走時間 || CZ: NEJDELŠÍ JÍZDA V PROTISMĚRU"
"STAT_HOMIEZ_ACQUIRED": "JP: 獲得した仲間 || CZ: ZÍSKANÍ PARŤÁCI"
"STAT_DRIVING_WHEEILE_TIME": "JP: 最長ウィリー || CZ: NEJDELŠÍ JÍZDA PO ZADNÍM KOLE"
"STAT_COMBAT_ONE_HIT": "JP: 一撃必殺 || CZ: ZABITÍ JEDNÍM ZÁSAHEM"
"HUD_RETRY_MISSION_MESSAGE_FULL": "JP: ミッションをやり直すと、そのミッションで獲得した武器やリスペクトがすべて失われます || CZ: Opakováním mise ztratíš všechny zbraně a respekt, které jsi během mise získal."
"PURCHASEABLE_PROPERTEY_ORGAN_BLACKMARKET": "JP: MORGAN MARKET || CZ: OBCHOD S ORGÁNY"
"WPNSTOR_LEAVE_FULL_FRIENDLY_FIRE": "JP: FRIENDLY FIREから出ますか？ || CZ: Skutečně chceš odejít z obchodu Friendly Fire?"
"VCUST_REAR_AXLE_OPTION": "JP: 後車軸 || CZ: ZADNÍ NÁPRAVA"
"STORE_TITLE_WITHDRAW": "JP: 引き出し || CZ: ZRUŠIT NÁKUP"
"HORDE_MODE_TITLE_FAIL": "JP: ウェーブ{0}クリア || CZ: VLNA {0} DOKONČENA"
"HORDE_MODE_KILL_COUNT": "JP: キルカウント || CZ: POČET ZABITÍ"
"STAT_DRIVING_NEARMISS": "JP: ニアミス || CZ: NÁJEZDY"
"STAT_DRIVING_BURNOUT": "JP: バーンアウト || CZ: SPÁLENÍ GUMY"
"CUST_ICON_WRISTS": "JP: 手首 || CZ: ZÁPĚSTÍ"
"MUSIC_METAL": "JP: メタル || CZ: METAL"
"MENU_EXPORT_SIGN_IN_FULL": "JP: マルチプレイヤーにエクスポートするには\nXbox Liveにサインインしている必要があります || CZ: Chceš-li exportovat svou postavu do multiplayeru\n, musíš se přihlásit na Xbox LIVE."
"STORE_LEVEL_REQ": "JP: 必要レベル{0} || CZ: NUTNÁ ÚROVEŇ {0}"
"WPNSTOR_TEXT_MAX_WEAPONS_STORE": "JP: 既にこの武器は所有しています || CZ: Tuto zbraň už máš."
"ESCORT_NAME_9A": "JP: スリッパリー || CZ: KLOUZAJÍCÍ"
"DEALER_NO_SPACE": "JP: ガレージが一杯で%sを保管できません || CZ: %s UŽ SE DO GARÁŽE NEVEJDE"
"STAT_MILES_BY_BIKE": "JP: バイクで走った距離 || CZ: MÍLE NAJETÉ NA MOTORCE"
"STAT_ACTIVITY_CASH_EARNED": "JP: アクティビティで稼いだ金額 || CZ: PENÍZE ZA AKTIVITY"
"ESCORT_NAME_18A": "JP: ダーティ || CZ: OBSCÉNNÍ"
"STAT_DRIVING_BACKSEAT": "JP: ロードキル || CZ: ŘÍZENÍ ZE ZADNÍ SEDAČKY"
"STAT_DRIVING_TWOWHEELS_RESPECT": "JP: 片輪走行で獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA JÍZDU PO DVOU KOLECH"
"STAT_MAX_STUNT_FALL_DIST": "JP: 最大落下距離 || CZ: NEJDELŠÍ PÁD"
"STAT_ARRESTS": "JP: 逮捕 || CZ: POČET ZATČENÍ"
"ESCORT_NAME_33B": "JP: バタフライ || CZ: MOTÝLEK"
"RADIO_STATION_OFF": "JP: OFF || CZ: VYP"
"STAT_DEATHS": "JP: 死亡 || CZ: POČET ÚMRTÍ"
"HORDE_MODE_SURVIVAL_TIMER_TAG": "JP: 累計タイム || CZ: PŘEŽITÍ"
"STAT_CAT_MOUSE_MOST_ROUND_KILLS": "JP: キャット&マウス：1ラウンド最多キル || CZ: NA KOČKU A NA MYŠ: NEJVÍCE ZABITÍ V KOLE"
"STAT_RPG_SHOTS_FIRED": "JP: ロケットランチャー発射回数 || CZ: VYPÁLENÉ STŘELY Z RPG"
"STAT_STREAKING_CASH": "JP: ストリーキングで獲得したリスペクト || CZ: PENÍZE ZÍSKANÉ ZA OBNAŽOVÁNÍ"
"STAT_TAUNT_RESPECT": "JP: 挑発して獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA URÁŽKY"
"ESCORT_NAME_31B": "JP: リザード || CZ: JĚŠTĚR"
"QUIT_GAME_TEXT_FULL": "JP: 本当に終了しますか？\nセーブされていない進行状況は失われます || CZ: Skutečně chceš skončit?\n(Neuložený postup bude ztracen.)"
"GARAGE_REPAIR": "JP: 修理 || CZ: OPRAVA"
"STAT_COMBAT_ONE_HIT_RESPECT": "JP: 一撃必殺で獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA ZABITÍ JEDNÍM ZÁSAHEM"
"STAT_CHOPSHOP_VEHICLES": "JP: 集めた車両 || CZ: DOVEZENÉ VOZY"
"HUD_CRIB_CHANGE_RADIO_STATION": "JP: ラジオ局を選ぶ || CZ: PŘELADIT NA JINOU STANICI"
