// extra_dumps: activity - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"CHOPSHOP_VIEW_DETAILS": "VIEW DETAILS"
"ACT_WHORED_ZOMBIE_INFERNO": "Zombies run, explode, and set you on fire. Your health doesn't come back either. I know, we're mean."
"ACT_RUNNING_MAN_WAGER_TITLE": "DOUBLE DOWN?"
"ACT_ESCORT_NAME": "ESCORT"
"ACT_EARNED_RESPECT": "You have earned %d respect!"
"ACT_VANDAL_STATION_WAGON_MSG": "STATION WAGONS"
"ACT_FRAUD_CURRENT_HIT": "LAST HIT:"
"ACT_CHOP_NOT_WANTED": "The shop doesn't want that vehicle. "
"ACT_TORCH_FRENZY_INSTRUCTIONS": "Burn all the marked targets before the time runs out."
"ACT_VANDALISM_TITLE": "MAYHEM LEVEL SELECTION"
"ACT_LEVEL_3": "LEVEL 3"
"ACT_CHOP_SHOP_NAME": "CHOP SHOP"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE": "FRAUD CLIFF DIVER RECORD"
"ACT_CHOP_SHOP_MODS_REQUIRED": "Some cars require specific modifications."
"ACT_VANDAL_SUMMARY_PEOPLE": "PEOPLE"
"ACT_VANDAL_GOAL_MSG": "GOAL:"
"ACT_TRAFFIC_PROTECT_F": "PROTECT THE [format][color:red]DEALER[/format] DURING TODAY'S DELIVERIES"
"ACT_HELI_CHOPLIFTER_START_MESSAGE": "PICK UP THE [format][color:green]SAINTS[/format] AND FLY THEM TO [format][color:blue]SAFETY[/format]"
"ACT_TRAFFIC_POLICE_STING_UNCUFF_USE": "UNCUFF THE DEALER"
"ACT_FRAUD_BONUS_COP_WITNESS": "COP WITNESS BONUS"
"ACT_CHOP_REJECT_BURNING": "The shop doesn't want a burning car!"
"ACT_HUMAN_TORCH_NAME": "TRAIL BLAZING"
"ACT_GUARDIAN_ANGEL_CRITICAL_VEHICLE_DESTROYED_MESSAGE": "A getaway car has been destroyed. "
"ACT_VANDAL_STATIC_BONUS_SPORTS_CAR_MSG": "SPORTS CAR BONUS"
"ACT_PIMPING_CAPTURED_CONTACT_DIED": "ONE OF THE CONTACTS DIED, YOU'LL NEED ANOTHER"
"ACT_FRAUD_HIT": "HITS:"
"ACT_VANDAL_LAUNCHER_MSG": "ROCKET LAUNCHER"
"ACT_VANDAL_NIGHTSTICK_MSG": "NIGHTSTICK"
"ACT_VANDAL_BONUS_STATIC_WEAPON": "BONUS: USE %s  (+$%d)"
"ACT_VANDAL_BONUS_STATIC_TEAM": "BONUS: KILL %s  (+$%d)"
"ACT_ESCORT_SPAWNED_MSG": "LOSE THE NEWS VAN TRAILING YOU"
"ACT_ESCORT_ROADBLOCK_MSG": "NEWS VAN ROADBLOCK AHEAD"
"ACT_GUARDIAN_ANGEL_STARTING_HELP_TEXT": "Use the sniper rifle to protect the [format][color:green]robbers[/format]."
"ACT_ESCORT_OUTRUN": "EVADE YOUR PURSUER"
"ACT_ESCORT_FAIL_CLIENT_DEAD": "THE CLIENT WAS KILLED"
"ACT_FRAUD_IN_AREA": "EARN AS MUCH MONEY AS POSSIBLE BEFORE THE [format][color:teal]SCORING AREA[/format] MOVES"
"ACT_ESCORT_FAIL_CLIENT_RUNOVER": "YOU RAN OVER THE CLIENT"
"ACT_ZOMBIE_LEVEL_CLEARED_FORMAT": "WAVE %d SURVIVED"
"ACT_FRAUD_BEST_HIT_HUD": "BEST HIT:"
"ACT_WHORED_SAUSAGE_FEST_FAIL": "Should have respected the meat."
"ACT_LEVEL_5": "LEVEL 5"
"ACT_PIMPING_FAIL_HOS_ALL_DIED": "TOO MANY HOS DIED, RECRUIT THEM {RECRUIT_DISMISS_IMG} THEN QUICKLY FLEE THE SCENE"
"ACT_FRAUD_MESSAGE_PINBALL_MULT_TYPE": "FRAUD PINBALL CAR RECORD"
"ACT_FRAUD_BONUS_AREA": "AREA BONUS"
"CHOP_CONVERTIBLE_ROOF": "CONVERTIBLE ROOF"
"ACT_TORCH_FAIL_WATER": "YOU EXTINGUISHED YOUR SUIT, CAREFUL AROUND WATER"
"ACT_GUARDIAN_ANGEL_START": "START GUARDIAN ANGEL"
"ACT_FRAUD_BONUS_LUXURY_VEHICLE": "RICH DRIVER BONUS"
"ACT_RUNNING_MAN_INTRO_L_3": "Get $3,500 by destroying targets, killing enemies, and exiting the arena before time runs out. If you destroy things in quick succession, you will earn a combo bonus."
"ACT_VANDAL_PASSENGER": "PASSENGER"
"ACT_FRAUD_NO_TIME": "You're out of time."
"ACT_ESCORT_TIGER_RAGE_MINIGAME_MSG": "QUICK!  CALM THE TIGER DOWN!"
"ACT_CHOP_SHOP_START": "START CHOP SHOP"
"ACT_HELI_VAN_LIFE_TEXT": "VAN'S LIFE"
"TUT_TITLE_ACT_TANK_MAYHEM_HVT": "HIGH VALUE TARGETS"
"ACT_HELI_TIMES_UP_FAILED_MESSAGE": "TIME'S UP"
"ACT_FRAUD_TOTAL_MULTIPLIER": "Total Multiplier: %.2fx"
"ACT_FRAUD_BONUS_VEHICLE_EJECT": "BAIL-OUT BONUS"
"ACT_HELI_PROTECTION_CATCH_UP": "YOUR [format][color:green]HOMIES'[/format] ARE WAITING FOR YOU"
"ACT_GUARDIAN_ANGEL_BIKE_ATTACKER": "SPOTTER HAS SEEN A [format][color:red]BIKE[/format] DRIVING UP"
"ACT_ESCORT_CLIENT_REQUEST_MSG": "CLIENT WANTS YOU TO PERFORM THE %ls %ls"
"ACT_PIMPING_OBJECTIVE_1": "RECRUIT %d HOS AND BRING THEM BACK TO ZIMOS"
"ACT_HELI_SET_BOMB_CHARGES_MESSAGE": " SET A CHARGE"
"ACT_FRAUD_BONUS_CIVIL_VEHICLE": "CIVIL VEHICLE BONUS"
"ACT_CHOP_SHOP_VEHICLE_COUNT": "VEHICLES LEFT: %i"
"ACT_ZOMBIE_LIMITED_USES": "Use your weapons wisely.  You only have a limited number of uses."
"ACT_VANDAL_BONUS_VEHICLE": "VEHICLE BONUS"
"ACT_PIMPING_FAIL_KILLED_HO": "YOU KILLED YOUR OWN HO"
"ACT_FRAUD_MESSAGE_COPS_MULT_TYPE": "FRAUD COP WITNESS RECORD"
"ACT_TORCH_TIME_ACCRUED": "BONUS:"
"ACT_HELI_DIVIDER_TEXT": "/"
"ACT_ESCORT_COMPLETE_MSG": "WELL DONE"
"ACT_PIMPING_TITLE": "SNATCH LEVEL SELECTION"
"ACT_VANDAL_BONUS_MULTIPLIER": "BONUS MULTIPLIER: "
"ACT_VANDAL_BAT_MSG": "BASEBALL BAT"
"ACT_ESCORT_GETBACK_MSG": "GET BACK IN THE [format][color:yellow]CAR[/format]"
"ACT_PIMPING_DRIVE_TO_CONTACT_LOCATION": "RESCUE THE [format][color:green]CONTACTS[/format] AND BRING THEM BACK"
"ACT_ESCORT_SATISFIED_MSG": "DROP THE [format][color:green]CLIENT[/format] OFF"
"ACT_HOSTAGE_START": "START HOSTAGE"
"ACT_VANDAL_COP_CAR_OLD_4_DOOR_MSG": "POLICE CRUISER"
"ACT_FRAUD_GO_TO_SCORING_AREA": "GO TO THE SCORING AREA"
"ACT_CHOP_BRING_CAR": "Come back with a vehicle."
"ACT_VANDAL_POLICE_MSG": "POLICE"
"ACT_VANDAL_STATIC_BONUS_STANDARD_CAR_MSG": "STANDARD CAR BONUS"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_3SEC": "3..."
"ACT_FRAUD_MESSAGE_VEHICLE_MULT_TYPE": "FRAUD VEHICLE RECORD"
"ACT_CHOP_SHOP_FAIL_CARS_MSG": "Too many cars were lost."
"ACT_GUARDIAN_ANGEL_ZOOM_HELP_TEXT": "Press {SHOULDER_CAM_IMG}  to go into Fine Aim mode. Press {ZOOM_IN_IMG}/{ZOOM_OUT_IMG} to zoom in and out"
"ACT_ESCORT_STRIPPER_MSG": "WAIT FOR THE STRIPPER TO GET IN THE CAR"
"ACT_ESCORT_GETBACK_COUNT_MSG": "YOU HAVE %d SECONDS TO GET BACK IN THE [format][color:yellow]CAR[/format]"
"ACT_TRAFFIC_POLICE_STING_START": "UNDERCOVER STING!  RESCUE THE [format][color:green]DEALER[/format] FROM THE COPS!"
"ACT_TRAFFIC_OBJECTIVE_1_DRIVER": "DRIVE THE [format][color:green]DEALER[/format] TO THE CLIENTS"
"ACT_HELI_TIMER_TEXT": "TIME LEFT"
"ACT_ESCORT_FAIL_STRIPPER_DEAD": "THE STRIPPER WAS KILLED"
"CHOP_STYLISH_RIMS": "STYLISH RIMS"
"ACT_VANDAL_VEHICLE_PENALTY_MSG": "YOU EARN NO MONEY FOR DESTROYING [format][color:red]%ls[/format]"
"ACT_ZOMBIE_NAME": "ZOMBIE UPRISING"
"ACT_VANDAL_VAN_MINIVAN_MSG": "VANS"
"ACT_TRAFFIC_BUYER_ATTACK": "THE BUYER IS UNDER ATTACK"
"ACT_HELI_NAME": "HELI ASSAULT"
"ACT_HELI_CONVOY_BASE_MESSAGE": "STOP THE CONVOY BEFORE IT REACHES %s"
"ACT_FRAUD_ADRENALINE_TAG": "ADRENALINE:"
"ACT_VANDAL_SUV_MSG": "SUVS"
"ACT_GUARDIAN_ANGEL_HUD_TIMER_MESSAGE": "TIME "
"CHOP_STYLISH_HOOD": "STYLISH HOOD"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_1SEC": "1..."
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED": "THE DEALER WAS ARRESTED"
"ACT_PIMPING_TRAP_ATTACK_KILL_DECKERS": "YOU UNCOVERED A TRAP! KILL ALL THE [format][color:red]DECKERS[/format] BEFORE RECRUITING THE [format][color:green]CONTACTS[/format]."
"ACT_PIMPING_CAPTURED_HO_DIED": "ONE OF YOUR HOS DIED, YOU'LL NEED ANOTHER"
"ACT_FRAUD_BONUS_DISTANCE": "LINEAR DISTANCE BONUS"
"ACT_HELI_DISH_HUD_TEXT": "SATELLITE DISHES DESTROYED"
"ACT_FRAUD_FIRST_VISIT_BONUS_STRING": "GETTING HURT IN THIS BONUS AREA WILL EARN YOU EXTRA ADRENALINE"
"ACT_CHOP_SHOP_SEEK_CARS_MSG": "Bring required cars to the [format][color:green]chop shop[/format] to earn cash."
"ACT_ESCORT_TITLE": "ESCORT LEVEL SELECTION"
"ACT_VANDAL_PISTOL_MSG": "PISTOL"
"ACT_CHOP_SHOP_APPROACH_CAR_MSG": "Catch that car and steal it."
"ACT_VANDAL_STATIC_BONUS_LUXURY_CAR_MSG": "LUXURY CAR BONUS"
"ACT_ESCORT_OBJECTIVE_TEXT_02": "EVADE THE PRESS"
"ACT_PIMPING_TRAP_ATTACK_GET_CONTACTS": "YOU UNCOVERED A TRAP! RECRUIT THE [format][color:green]CONTACTS[/format] AND GET AWAY."
"ACT_HELI_TARGETS_TEXT": "OBJECTIVES COMPLETED"
"ACT_VANDAL_BOAT_MSG": "BOATS"
"ACT_PIMPING_HOS_COLON": "HOS:"
"ACT_FRAUD_KILLED": "You've lost credibility by killing someone."
"ACT_TRAFFICKING_START": "START TRAFFICKING"
"ACT_VANDAL_CAR_COMPACT_MSG": "COMPACT CARS"
"ACT_VANDAL_STATIC_BONUS_VAN_MSG": "VAN BONUS"
"ACT_FRAUD_BONUS_DISTRICT": "DISTRICT BONUS"
