// extra_dumps: customize - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "GRANDPA HAT"
"LOGO_CAVE_4": "PHANTOM CAVE 4"
"IRIDESCENT_4": "IRIDESCENT 4"
"CUST_ITEM_CF_NLMF_UBDY_F_SHIRTCORSET": "STEAMPUNK MAIDEN CORSET"
"CUST_MENU_FIGURE_PRESETS": "BUILD PRESETS"
"CUST_ITEM_CF_PSB_FOOT_F_COMBATBOOTS": "COMBAT CHIC BOOTS"
"CUST_SKIN_RED_YELLOW_2": "CARROT"
"CUST_SKIN_METAL_5": "SAPPHIRE"
"COMPONENT_OPTION_B": "OPTION B (SHOULD NOT BE USED)"
"CUST_SAMEDI_COMPLIMENT_C": "SAMEDI COMPLIMENT 3"
"CANCEL_WARNING_BODY": "Are you sure you want to discard your changes?"
"WARDROBE_TITLE": "WARDROBE"
"CUST_ITEM_CF_LLT_HAND_F_MGLOVES": "THRUST GLOVES"
"PLAYER_MORPH_BALL_DEPTH_TEXT": "TIP DEPTH"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO2": "SUBTERFUGE"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_G": "TOTAL ANIMAL"
"CUST_SAMEDI_TAUNT_B": "SAMEDI TAUNT 2"
"PLAYER_MORPH_JAW_DEPTH_TEXT": "JAW DEPTH"
"PLAYER_MORPH_NOSE_ROLL_TEXT": "NOSE ROLL"
"PLAYER_MORPH_NOSTRILS_WIDTH_TEXT": "NOSTRIL WIDTH"
"PLAYER_MORPH_UPPER_LIP_EDGES_SIZE_TEXT": "UPPER LIP EDGES SIZE"
"CUST_ITEM_FEMALE_LP_BRA_1": "SPIDER BITE"
"CUST_SKIN_METAL_1": "SILVER"
"CUST_ITEM_CF_HAIR_CORNROWS": "SAINTS ROWS"
"PLAYER_MORPH_EAR_YAW_TEXT": "EAR YAW"
"CUST_ITEM_CF_PSF_LBDY_F_GFXTRACKPANTS": "PHYS-ED PANTS"
"FACIAL_EXPRESSION_DOPEY": "DOPEY "
"CUST_WEAR_RIGHT": "RIGHT"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_J": "STARVING ARTIST"
"CUST_ITEM_CM_PSI_LBDY_M_SAGPANTS": "SAINTS LOOSE FIT"
"PLAYER_MORPH_BRIDGE_CURVE_TEXT": "BRIDGE CURVE"
"CUST_MENU_CATEGORY_LIMIT_REACHED": "You have reached the maximum number of items allowed in this category."
"CUST_ITEM_CF_IMPP_FOOT_HEELSTRAP": "PARTY HEELS"
"CUST_CAT_MAKEUP_CHEEKS": "CHEEKS"
"CUST_FACIAL_EXP_EMBARRASSED": "EMBARRASSED"
"PLAYER_MORPH_BROW_CURVE_TEXT": "BROW CURVE"
"PLAYER_CREATION_HAIR_LENGTH": "HAIR LENGTH"
"CUST_WEAR_STUD": "STUD"
"CUST_ITEM_CF_NLMB_FOOT_F_LACEDBOOTS": "REBEL KID BOOTS"
"LOGO_GYROS": "COMPANY OF GYROS"
"CUST_ITEM_IMPRESSIONS_MALE_N": "IMPRESSIONS MALE N"
"CUST_ITEM_CF_HAIR_SCARLETJOHANSSON": "SOUTHERN BELLE"
"GANG_CUST_RANDOM": "RANDOM"
"CUST_SKIN_BLUE_2": "DEEP BLUE ME"
"CUST_COMPLIMENT_Y": "WOOF WOOF"
"PLAYER_MORPH_JAW_TEXT": "JAW"
"CAVERNS_GIFT_NAME": "SPELUNKER'S"
"PLAYER_MORPH_CHEEKS_DEPTH_TEXT": "CHEEK DEPTH"
"PLAYER_MORPH_CHEEKBONES_SPACING_TEXT": "CHEEKBONE SPACING"
"PLAYER_MORPH_SLOPE_WIDTH_TEXT": "SLOPE WIDTH"
"PLAYER_CREATION_TITLE": "PLAYER CREATION"
"CUST_ITEM_CM_HAIR_SKATERBOWL": "SKATER CUT"
"PLAYER_MORPH_EAR_BEND_TEXT": "EAR BEND"
"CANT_WEAR_MEDALLION": "You must have a long or medium necklace to wear this medallion."
"STREET_1": "STREET 1"
"CUST_ITEM_CM_SUIT_CARDINAL": "THE CARDINAL ROBE"
"FACIAL_EXPRESSION_DEATH_B": "DEATH 2"
"FACIAL_EXPRESSION_JOYFUL": "JOYFUL"
"CUST_ITEM_LEATHER_LACE_FEMALE_J": "BIKER CHICK"
"CUST_ITEM_LPA_M_SPACEPACK": "ASTROPACK"
"PLAYER_MORPH_FACE_AGE_TEXT": "FACE AGE"
"CUST_ITEM_CF_HAIR_LONGBANGS": "EGYPTIAN PRINCESS"
"FACIAL_EXPRESSION_PAIN_C": "SUFFERING"
"CUST_BRO_COMPLIMENT_A": "BROTHERHOOD COMPLIMENT 1"
"CUST_VARIANT_HAWAII": "HAWAIIAN"
"CUST_ITEM_CM_LPG_MASK_M_MASKRABBIT": "BIG BUNNY"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_B": "PLANET SAINTS MALE B"
"CUST_ITEM_GAT_BOBBLE": "GAT BOBBLE HEAD"
"CUST_ITEM_6_LOOPS_RIGHT_2": "RUGGED CLASS"
"PLAYER_MORPH_NECK_BACK_ELEVATION_TEXT": "NECK BACK ELEVATION"
"CUST_VOICE": "VOICE"
"CUST_COLOR_TEAL_2": "TEAL 2"
"LOGO_ADULT_SWIM": "ADULT SWIM WDDTCPDG"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_C": "UPTOWN GIRL"
"CUST_INSULT_CHEST": "CHEST THRUST"
"CUST_ITEM_CM_DLC_SAM_OUTFIT": "SAMURAI "
"CUST_ITEM_CM_HAT_MOTORHELMET": "CHOPPER HELMET"
"CUST_ITEM_CM_HAIR_WILDMESSY1": "BAD BOY"
"CUST_MAKEUP_VARIATION": "VARIATIONS"
"CUST_ITEM_LEATHER_LACE_MALE_B": "PLEASURE AND PAIN"
"CUST_ITEM_CF_HAIR_BEEHIVE": "QUEEN BEE"
"CUST_ITEM_CF_NLME_FOOT_F_SANDALS": "PEACE PIPE SANDALS"
"CUST_WEAR_FRONT RIGHT": "FRONT RIGHT"
"CUST_ITEM_CYBER_AVATAR_OUTFIT": "CYBERSPACE"
"CUST_ITEM_CM_NLMG_FOOT_M_CSHOES": "EMO SNEAKS"
"CUST_ITEM_CM_LLA_HAND_M_LTXGLOVES": "NAUGHTY NAUGHTY GLOVES"
"CUST_ITEM_CF_LLR_UBDY_F_LACEBUSTIER": "NAUGHTY TIME BUSTIER"
"PLAYER_MORPH_NOSTRIL_MIDDLE_WIDTH_TEXT": "NOSTRIL MIDDLE WIDTH"
"PLAYER_MORPH_HUE_TEXT": "HUE"
"CUST_VARIANT_BIG_STRIPES": "THICK STRIPES"
"CUST_VARIANT_POLO_2": "POLO 2"
"CUST_ITEM_CF_LLS_UBDY_F_LEATHERTOP": "GANG LEATHERTOP"
"CUST_ITEM_CF_LPG_COWGIRLHAT": "HIGH NOON HAT"
"CUST_COMPLIMENT_Q": "THE CHORUS LADY"
"PLAYER_MORPH_LOWER_EYELIDS_ROLL_TEXT": "LOWER EYELID CURVE"
"PLAYER_MORPH_FACE_GLOBAL_TEXT": "FACE GLOBAL"
"FACIAL_EXPRESSION_HAPPY": "HAPPY "
"PLAYER_MORPH_SLOPE_DEPTH_TEXT": "SLOPE DEPTH"
"CUST_SKIN_CAUCASIAN_02": "CAUCASIAN 2"
"CUST_TATTOO_LEFT_ARM": "WHOLE LEFT ARM"
"CUST_ITEM_CF_LLS_UBDY_F_CORSET": "VIXEN CORSET"
"CUST_ITEM_CF_LLR_FOOT_F_SANDALS": "NAUGHTY GIRL HEELS"
"CUST_ITEM_CF_LPE_HAND_F_MGLOVES": "STEELPORT FIGHTER GLOVES"
"CUST_SKIN_ASIAN_03": "ASIAN 3"
"PLAYER_MORPH_EYE_DEPTH_TEXT": "EYE DEPTH"
"BRIGHT_RED": "BRIGHT RED"
"FEMALE_AVERAGE": "FEMALE AVERAGE"
"CUST_VARIANT_PRIMARY": "PRIMARY"
"CUST_COLOR_ROSE_4": "ROSE 4"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_ELEVATION_TEXT": "LOWER LIP MIDDLE HEIGHT"
"CUST_ITEM_CM_PSJ_LBDY_M_JEAN": "BASIC JEANS"
"CUST_FINGERNAILS": "FINGERNAILS"
"CUST_COMPLIMENT_U": "CHEST POUND"
"CUST_WEAR_HIGH_BOTH_ROLLED": "BOTH ROLLED, HIGH"
"CUST_ITEM_IMPRESSIONS_MALE_B": "IMPRESSIONS MALE B"
"CUST_ITEM_CM_PSD_UBDY_M_PUFFYVEST": "MARSHMALLOW VEST"
"CUST_ITEM_CF_RING_F_LGFINGERNAILS": "MANICURED NAILS"
"CUST_WEAR_TATTOO_BAND_A": "BAND 1"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ZIPPED": "LEFT UNZIPPED, HIGH"
"CUST_ITEM_TROOPER_SHADES": "HOLLYWOOD READY"
"CUST_VARIANT_TIE_DYE": "TIE DYE"
"player_lips_gloss": "LIP GLOSS"
"FACIAL_EXPRESSION_GRUMPY": "GRUMPY "
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_F": "JUMP SHOT"
"CUST_ITEM_LEATHER_JACKET_OUTFIT": "LEATHER JACKET OUTFIT"
"PLAYER_MORPH_NOSTRILS_DEPTH_TEXT": "NOSTRIL DEPTH"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_G": "ART SCHOOL"
"PLAYER_MORPH_BALL_WIDTH_TEXT": "TIP WIDTH"
"CUST_ITEM_FEMALE_PS_UNDWEAR_1": "FLEUR DE LIS LOGOS"
"CUST_CAT_RIGHT_WRIST": "RIGHT WRIST"
"PLAYER_MORPH_JAW_WIDTH_TEXT": "JAW WIDTH"
"SK02": "SKIN02"
"CUSTOM_WALK_2": "PIMP LEAN"
"MUSEUM_GIFT_NAME": "BUY JOVE"
"HAIRSALON_NAME": "SHEAR INTENSITY"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOB": "CROOKS & CASTLES T-SHIRT B"
"CUST_ITEM_SHORT_SOCKS": "DAD SHOES"
"CUST_ITEM_BIKER_BOOTS_3": "LAZY DAY SHOES"
"CUST_TATTOO_RIGHT_LEG": "RIGHT LEG"
"FACIAL_EXPRESSION_SAD": "SAD"
"PLAYER_MORPH_MIDDLE_BROW_ELEVATION_TEXT": "MIDDLE BROW HEIGHT"
"CUST_ITEM_FEMALE_LP_UNDWEAR_1": "FUNTIME! G STRING"
"PRESET_WARNING_HEADING": "WARNING"
"CUSTOM_WALK_MALE": "DEFAULT MALE"
"PLAYER_MORPH_EYE_SPACING_TEXT": "EYE SPACING"
"Chin": "CHIN"
"CUST_PRESET_SEX": "SEX"
"CUST_VARIANT_STRIPESA": "STRIPES 1"
"CUST_SKIN_HISPANIC_01": "HISPANIC 1"
"CUST_SKIN_PURPLE_5": "PURPLE"
"CUSTOM_WALK_16": "THUG STYLE 11"
"CUST_MENU_FINE_TUNING": "FACE"
"CUST_ITEM_CM_CNC_UBDY_M_VARJACKET": "CROOKS & CASTLES VARSITY JACKET"
"CUST_SKIN_BLACK_06": "BLACK F"
"PLAYER_MORPH_BROW_ANGLE_TEXT": "BROW ANGLE"
"CUST_INSULT_N": "VOGUE"
"PLAYER_MORPH_SLOPE_ELEVATION_TEXT": "SLOPE HEIGHT"
"CRAZY_1": "CRAZY 1"
"CUST_ITEM_CF_RING_F_DMNDNAILS": "THE GOLDDIGGER"
"CUSTOM_WALK_FEMALE_4": "LADY PIMP"
"SURGEON_CAT_BODY": "BODY"
"CUST_ITEM_CM_LPC_UBDY_M_HEROSHIRT": "STEELPORT HERO SHIRT"
"CUST_COMPLIMENT_A": "THE EXPERIENCE"
"SURGEON_STORE_NAME_1": "IMAGE AS DESIGNED"
"CUST_VARIANT_BRA_1": "DOTS"
"CUST_VARIANT_WILD": "WILD"
"CUST_ITEM_CF_NLMD_UBDY_F_SHIRT": "RAWK SHIRT"
"CUST_COMPLIMENT_CC": "WOOOO SCREAM"
"CUST_ITEM_CM_IMPN_UBDY_M_UNBUTTONED": "MODERN UNBUTTONED DRESS SHIRT"
"CUST_ITEM_CM_IMPM_EYES_M_SUNGLASSES": "KABANA SUNGLASSES"
"PLAYER_MORPH_MOUTH_SHAPE_TEXT": "MOUTH SHAPE"
"MALE_EMACIATED": "MALE EMACIATED"
"LOGO_VIRAL_1": "VIRAL 1"
"CUST_VARIANT_2STRIPE": "TWO STRIPES"
"CUST_VARIANT_SMALL_STRIPE": "THIN STRIPES"
"CUST_VARIANT_STEEL": "STEEL"
"CUST_ITEM_FEMALE_LL_UNDWEAR_1": "NEON JUNGLE"
"PLAYER_MORPH_EYE_SIZE_TEXT": "EYE SIZE"
"PLAYER_MORPH_BOTTOM_LIP_MIDDLE_SIZE_TEXT": "BOTTOM LIP MIDDLE SIZE"
"CUST_ITEM_CM_LPG_MASK_M_MASKLAMB": "LAMB MASK"
"CUST_INSULT_J": "BBBJ"
"CUST_ITEM_CM_LLA_UBDY_M_GIMPSHIRT": "NAUGHTY BOY SHIRT"
"CUST_ITEM_CM_PSG_FOOT_M_SNEAKERS": "KICKS"
"CUST_COMPLIMENT_E": "THE AMIGO"
"PLAYER_MORPH_BODY_FAT_TEXT": "FATNESS"
"PLAYER_MORPH_SKULL_TOP_HEIGHT_TEXT": "SKULL TOP HEIGHT"
"CUST_ITEM_CF_HAIR_SPACEGIRL": "THE SCI-FI"
"CUST_ITEM_CF_IMPN_FOOT_F_SANDALS": "SKY HIGH HEELS"
"CUST_TATTOO_UPPER_LEG_LEFT": "UPPER LEFT LEG"
"PLAYER_MORPH_SKULL_TOP_ELEVATION_TEXT": "SKULL TOP HEIGHT"
"CUST_ITEM_CM_LLN_LBDY_M_WLPANTS": "DISCO DIVA PANTS"
"CUST_ITEM_CM_LLB_FOOT_M_LTHRBOOTS": "BONDAGE LEATHER BOOTS"
"LOGO_SKEETERS_2": "SKEETERS 2"
"CUST_ITEM_CF_LLI_UBDY_F_TUBETOP": "TUBE TOP"
"CUST_VOICE_FEMALE_ASIAN": "FEMALE 1"
"COLOR_SLOT_PAINT_1_AND_RIMS_2": "PAINT 1 AND RIMS 2"
"CUST_VARIANT_ULTORSHIRT": "ULTOR"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_ROLLED": "RIGHT ROLLED, LOW"
"CUST_VARIANT_BALD": "BALD"
"CUST_ITEM_CM_DECKERSUIT": "THE DECKER"
"CUSTOM_WALK_6": "DEFAULT MALE 2"
"CLOTHES_BRANDED": "BRANDED"
"CUST_VARIANT_SUEDESUEDE": "SUEDE"
"CUST_ITEM_CM_FPIC_SETB": "RIGHT BROW STUD AND NOSE STUD"
"PLAYER_MORPH_EAR_LONGITUDE_TEXT": "EAR LONGITUDE"
"CUST_ITEM_CM_HAIR_SIDEPARTMED1": "SHORT AND LEFT"
"CUST_OPACITY_SLIDER": "OPACITY"
"CUST_MORPH_CAT_BROW": "BROW"
"LETS_PRETEND_NAME": "LET'S PRETEND"
"CUST_ITEM_CM_LLO_LBDY_M_SBLPANTS": "POCKET ROCKET PANTS"
"CUST_ITEM_DANE_S_HAIR": "BUTTERFLY CLIP"
"CUST_SKIN_HISPANIC_05": "HISPANIC 5"
"CUST_ITEM_CF_LLI_FOOT_F_STUDDEDHEALS": "REBEL SANDALS"
"CUST_ITEM_CM_HAIR_SIDESPIKED": "ANIME"
"CUST_RONIN_COMPLIMENT_B": "RONIN COMPLIMENT 2"
"PLAYER_MORPH_BROW_ARCH_TEXT": "BROW ARCH"
"CUST_WEAR_HIGH": "HIGH"
"CUST_RACE_BLACK": "BLACK"
"CUST_SKIN_BLACK_02": "AFRICAN AMERICAN 2"
"PLAYER_MORPH_CHIN_ELEVATION_TEXT": "CHIN ELEVATION"
"CUST_SKIN_PURPLE_1": "DEEP PURPLE"
"CUSTOM_WALK_12": "GANGSTA LEAN"
"PLAYER_MORPH_NECK_BACK_DEPTH_TEXT": "NECK BACK DEPTH"
"CUST_ITEM_FEMALE_PS_EARRINGS_4": "PLANET SAINTS HOOPS"
"CUST_ITEM_CF_LPG_UBDY_F_SHIRT": "COWGIRL STYLE"
"CUST_ITEM_CF_PSG_LBDY_F_GFXJEANS": "TRUE FIT JEANS"
"CUST_COMPLIMENT_M": "THE NINJA"
"CUST_VARIANT_STRIPES_4": "STRIPES 4"
"CUST_VARIANT_SOLID": "SOLID"
"CUST_WEAR_BACK RIGHT": "BACK RIGHT"
"HAIR_COLOR_AUBURN_MATTE": "AUBURN MATTE"
"HAIR_COLOR_WHITE": "WHITE"
"CUST_VARIANT_BLOOD": "BLOOD"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRTLOW": "HILLS MAGICIAN VEST"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_2": "PARTY TIME THONG"
"CUST_ITEM_CM_NLMD_EAR_M_EARRING": "STYLISH PUNK EARRINGS"
"CUST_INSULT_B": "DANIEL-SAN"
"PLAYER_MORPH_LOBES_SIZE_TEXT": "LOBE SIZE"
"CUST_CHOOSE_CHARACTER": "CUSTOMIZE CHARACTER"
"PLAYER_MORPH_EYELID_LOOK_TEXT": "EYELID LOOK"
"FEMALE_OVERWEIGHT": "FEMALE OVERWEIGHT"
"CUST_SKIN_GREY_5": "ONYX"
"HAIR_Black": "BLACK"
"LOGO_SRAIR": "SR AIR"
"PLAYER_CREATION_PRESET_BLACK": "AFRICAN AMERICAN"
"LOGO_CARDS": "CARDS"
"CUST_ITEM_CF_DLC_SPACE_OUTFIT": "SPACE PRINCESS"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRT": "HILLS CASUALWEAR"
"CUST_ITEM_CM_NLMC_RWRST_M_WRISTBANDS": "RAVE X GLOWSTICK BRACELET"
"CUST_ITEM_CM_LLA_HAT_M_GIMPMASK": "SAFEWORD SPECIAL"
"HAIR_SALON_NAME_SHEAR": "SHEAR INTENSITY"
"CUST_COMPLIMENT_APPROVAL": "APPROVAL"
"CUST_VOICE_MALE_WHITE": "MALE 1"
"CUST_ITEM_CF_NLMH_LWRST_F_WRISTBANDS": "PARTY TIME BRACELETS"
"CUST_ITEM_CF_HAIR_M_LONGUP-01": "VINTAGE UPDO"
"CUST_SKIN_GREEN_5": "COOL MINT GREEN"
"PLAYER_MORPH_LOWER_LIP_SIDES_ELEVATION_TEXT": "LOWER LIP SIDE HEIGHT"
"CUST_SKIN": "SKIN"
"PLAYER_MORPH_CHEEKBONE_HEIGHT_TEXT": "CHEEKBONE HEIGHT"
"CUST_ITEM_BANDANA_1": "THE BANDIT"
"CUST_MOVEMENT_TAUNT": "TAUNT"
"LEVEL_3": "LEVEL 3"
"LOGO_SPELUNKER_1": "SPELUNKER'S"
"CUST_ITEM_CM_IMPB_UBDY_M_JLOWSHIRT": "DRESSED UP IN CASHMERE"
"CUST_ITEM_FEMALE_LL_EARRINGS_3": "STRIPED DANGLES"
"CUST_FINE_TUNING": "FACE"
"PLAYER_MORPH_JAW_SPACING_TEXT": "JAW SPACING"
"PLAYER_MORPH_EYE_ELEVATION_TEXT": "EYE ELEVATION"
"PLAYER_MORPH_NECK_BACK_WIDTH_TEXT": "NECK BACK WIDTH"
"CUST_SKIN_GREEN_1": "JOLLY GREEN GUY"
"CUST_RONIN_TAUNT_D": "RONIN TAUNT 4"
"PLAYER_MORPH_JOWLS_ELEVATION_TEXT": "JOWL HEIGHT"
"WARDROBE_CONTROL_WEAR": "WEAR"
"CUST_ITEM_CM_IMPL_UBDY_M_JSHIRT": "MOD MALE WITH SHIRT"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_UNZIPPED": "BOTH UNZIPPED, LOW"
"CUST_ITEM_LEATHER_LACE_FEMALE_R": "OKTOBERFEST GIRL"
"CUST_MENU_PRESETS": "PRESETS"
"CUST_MORPH_CAT_MOUTH": "MOUTH"
"PLAYER_MORPH_BODY_TEXT": "BODY"
"CUST_VARIANT_CANVAS": "CANVAS"
"CUST_WEAR_U": "U"
"CUST_ITEM_CM_IMPE_UBDY_M_SHIRT": "SOUTH BEACH SHIRT"
"CUST_ITEM_CF_LPH_FOOT_F_CLSHOES": "GO TEAM! SHOES"
"CUST_CAT_NOT_FOR_DEMO": "NOT FOR DEMO"
"CUST_ITEM_CF_NLMC_UBDY_M_SHIRT": "DARK SIDE SHIRT"
"CUST_ITEM_CM_NLMC_FOOT_M_SHOES": "RAVE X SNEAKERZ"
"CUST_ITEM_CF_IMPQ_FOOT_F_LATEXHEELS": "DIVA HEELS"
"STORE_WEAPON_AMMO": "BUY AMMO/GRENADES"
"SLOT_TIRE_DURABILITY_DESC": "Upgrade your tires to avoid getting a blowout at an embarrassing moment."
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_4": "GEM EARRINGS"
"PLAYER_CREATION_MENU_5": "BODY"
"CUST_CAT_LEFT_WRIST": "LEFT WRIST"
"CUST_TATTOO_HAND_LEFT": "LEFT HAND"
"PLAYER_MORPH_EAR_ELEVATION_TEXT": "EAR ELEVATION"
"CUST_ITEM_CM_IMPO_LBDY_M_PANTS": "PREPPY SLACKS"
"CUST_ITEM_FEMALE_MURDERBRAWL_OUTFIT": "THREE COUNT SUIT FEMALE"
"CUST_COMPLIMENT_I": "GIDDEE UP!"
"CUST_ITEM_CM_FPIC_EYEBRIGHT": "EYEBROW RING RIGHT"
"CUST_ITEM_CM_HAIR_SHORTAFRO": "TAMED FRO"
"CUST_INSULT_F": "#FIAJ"
"PLAYER_MORPH_MOUTH_BITE_TEXT": "MOUTH BITE"
"CUST_COMP_FEMALE_EYEBROWS_2": "TAPERED BACK"
"CUST_ITEM_CM_PSC_EYES_M_HPSGLASS": "HIPSTER SHADES"
"CUST_PRESET_DESTRUCT_WARNING_TEXT": "Choosing a Preset reverts all other changes you've made and you will lose all previous changes.\n\nContinue?"
"CUST_SECONDARY_COLOR": "SECONDARY COLOR"
"CUST_ITEM_CM_PSD_FOOT_M_HIPSNEAKERS": "KOALA KIKS"
"CUST_SKIN_GREY_1": "ALABASTER"
"FACIAL_EXPRESSION_SMARMY": "SMARMY "
"PLAYER_MORPH_EARS_YAW_TEXT": "EAR OPENNESS"
"PLAYER_MORPH_NOSTRIL_WIDTH_TEXT": "NOSTRIL WIDTH"
"CUST_ITEM_MALE_NLM_OUTFIT_B": "THE EX-CON"
"CUST_ITEM_CM_LPC_HAND_M_HEROGLOVES": "STEELPORT HERO GLOVES"
"CUST_BRO_TAUNT_D": "BROTHERHOOD TAUNT 4"
"PLAYER_MORPH_UPPER_LIP_EDGES_LENGTH_TEXT": "UPPER LIP EDGES LENGTH"
"PLAYER_MORPH_EYELID_SLANT_TEXT": "EYELID SLANT"
"CUST_ITEM_FEMALE_NLM_OUTFIT_H": "HIPPIE RAVER"
"CUST_ITEM_CM_SUIT_M_CYBERAVATAR": "CYBER SAINT"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_H": "MASTER OF THE SEAS"
"CUST_BODY_HAIR": "BODY HAIR"
"SLOT_TRIM_COLOR": "TRIM COLOR"
"CUST_ITEM_CF_NLMB_LWRST_F_WRISTBAND": "ANARCHY BANGLE"
"CUST_ITEM_CM_IMPL_UBDY_M_JSCARF": "T-ROY STYLE"
"CUST_ITEM_FEMALE_LL_BRA_3": "TOUCH MY HEART"
"CUST_VOICE_MALE_LATINO": "MALE 3"
"PLAYER_CREATION_PRESET_MALE": "MALE"
"RIM_177": "SD RZ245"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_D": "BEACH BUM"
"STRONGHOLD_CUSTOMIZATION": "STRONGHOLD CUSTOMIZATION"
"TATTOO_STORE_TITLE": "RUSTY'S NEEDLE"
"CUST_ITEM_CM_DLC_RING_M_PIMPSET": "Z STYLE BLING"
"CUST_ITEM_CM_FPIC_EYEBLEFT": "EYEBROW RING LEFT"
"CUST_ITEM_CM_IMPB_LBDY_M_DRESSPANTS": "SNAZZY PANTS"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_E": "STREET SMART"
"CUST_VARIANT_SPORT_SHORTS_1": "STYLE 2"
"CUST_VARIANT_ARGYLE": "ARGYLE"
"CUST_ITEM_PLAIN_WHITE_TEE": "TEE SHIRT"
"CUST_ITEM_CM_PSF_UBDY_M_SAINTSJERSEY": "TEAM SAINTS JERSEY"
"CUST_TATTOO_TORSO_UPPER_BACK": "UPPER BACK"
"CUST_WEAR_TATTOO_AZTEC_TURTLE": "AZTEC TURTLE"
"CUST_ITEM_MID_LENGTH_CHAIN_LOOPS_1": "HIP HOP JEANS"
"CUST_SHOES": "SHOES"
"CUST_TATTOO_ENTIRE_BACK": "ENTIRE BACK"
"PLAYER_MORPH_NOSE_SLOPE_TEXT": "NOSE SLOPE"
"CUST_MENU_MAKEUP": "MAKE-UP"
"CUST_ITEM_CF_CLASSICUP": "DEBUTANTE"
"CUST_COMPLIMENT_V": "CLAP HANDS"
"PLAYER_MORPH_OLD_TEXT": "AGE PRESETS"
"LOGO_WASHINGTON": "WASHINGTON"
"CUST_VARIANT_PATTERN_1_DECALS": "STYLE W/DECALS"
"CUST_FACIAL_EXP_SAINTLY": "SAINTLY"
"CUST_ITEM_WEAR_OPTIONS": "WEAR STYLE"
"CUST_EYEWEAR": "EYEWEAR"
"CUST_FACIAL_FEATURES": "FEATURES"
"TATTOO_NAME": "RUSTY'S NEEDLE"
"CUST_ITEM_CF_LLI_EYES_F_SUNGLASSES": "CREEPER GLASSES"
"CUST_ITEM_CM_HAIR_WILDMESSY2": "HARD ROCK"
"CUST_ITEM_CF_PSE_FOOT_F_STRAPPYSANDLES": "POLE DANCER HEELS"
"CUST_SKIN_ASIAN_04": "ASIAN 4"
"CUST_EYELINER": "EYELINER"
"CUST_MORPH_CAT_EYES": "EYES"
"CUST_ITEM_LEATHER_LACE_MALE_A": "LEATHER AND LACE SUIT"
"CUST_ITEM_CM_NLMD_UBDY_M_JACKETCOMBO": "PUNKER ANARCHY JACKET"
"PLAYER_MORPH_EYE_HEIGHT_TEXT": "EYE HEIGHT"
"CUST_ITEM_CM_JOY_UBDY_THECODE": "JOYSTICK JUNKIES CODE CONTROL"
"CUST_ITEM_CF_LPC_LBDY_F_FEMHEROLEGS": "STEELPORT HEROINE TIGHTS"
"CUST_SKIN_CAUCASIAN_05": "CAUCASIAN 5"
"EXIT": "EXIT"
"CUST_ITEM_CM_RADIATIONMASK": "NUCLEAR MELTDOWN MASK"
"CUST_ITEM_CF_NLME_UBDY_F_HOODIEDOWN": "WAKE AND BAKE HOODIE"
"CUST_ITEM_CF_HAIR_PUNKSHAVEDSIDES": "PUNK ROCK"
"CUST_ITEM_CM_PSC_UBDY_M_HOODIEUP": "HOODIE UP WITH SHIRT AND TIE"
"CUST_CAT_BODY_HAIR": "BODY HAIR"
"CUST_COMPLIMENT_ZZ": "HEAD NOD"
"PLAYER_MORPH_TIPS_SPACING_TEXT": "TIP SPACING"
"LOGO_ROUNDHOUSE": "ROUNDHOUSE"
"LOGO_REAPER": "REAPER"
"CUST_COMPLIMENT_R": "THE JESSICA"
"CUST_ITEM_CM_LPG_MASK_M_MASKPIG": "THE SQUEALER"
"CUST_CAT_PIERCING_NOSE": "NOSE"
"PLAYER_MORPH_UPPER_LIP_SHAPE_TEXT": "UPPER LIP SHAPE"
"CUST_VOICE_FEMALE_LATINO": "FEMALE 3"
"CUST_VARIANT_3COLOR_THICK": "TRI-COLOR THICK"
"CUST_WEAR_UNTUCKED": "UNTUCKED"
"CUST_ITEM_CM_PSI_NECK_M_CHAINS": "FLEUR CHAIN"
"CUST_ITEM_LEATHER_LACE_FEMALE_I": "PUNK ROCK STRIPPER"
