// extra_dumps: hud - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"TUT_TITLE_RECRUITING": "RECRUITING"
"FLASHPOINT_HUD_TEXT": "GANG OPERATION CLEARED"
"HUD_SECONDS_ABR": "SEC"
"TAXI_UNAVAILABLE": "TAXI UNAVAILABLE"
"FRIENDLY_FIRE_TURNED_OFF__NYOU_CAN_NO_LONGER_DAMAGE_YOUR_PARTNER": "FRIENDLY FIRE TURNED OFF\\NYOU CAN NO LONGER DAMAGE YOUR PARTNER"
"TUT_TITLE_NP_HELI_WEAPON_CONTROLS": "HELICOPTER WEAPONS"
"WPN_BASEBALLBAT_DESCRIPT": "A long, wooden stick.  Good for beating things.  Enough said."
"SPECIAL_RCVEHICLEGUN": "RC POSSESSOR"
"SHOTGUN_AMMO": "SHOTGUN AMMO"
"TUT_WHORED_HITNRUN": "STREET SWEEPING"
"TUT_TITLE_AIRPLANE_CONTROL": "AIRPLANE CONTROLS"
"UNL_DAMAGE_VEHICLE_2": "DAMAGE - VEHICLE 2"
"TUT_TITLE_DRONE": "DRONE WEAPONS"
"TUT_TITLE_DIV_INTRO_BASE_JUMPING": "BASEJUMPING"
"TUT_TITLE_SAVE": "GAME SAVE"
"WPN_PISTOLGANG_DESCRIPT": "The handgun of choice for any Saint."
"TUT_WHORED_MEGAFURRIES": "MEGA FURRIES"
"WPN_FLASHBANG_DESCRIPT": "Stun your enemies with this grenade."
"WPN_SHOTGUNBLING_DESCRIPT": "It's all good - especially when every gang kill with this weapon snags you extra respect."
"WPN_SHOTGUNPOLICE_DESCRIPT": "The standard law enforcement shotgun.  Duck if you see one coming..."
"HUD_REVIVE_HOMIE_MESSAGE": "HOLD %ls REVIVE YOUR [format][color:purple]HOMIE[/format]"
"TUT_WHORED_D_WAVE_DEAD": "WAVE OF THE LIVING DEAD"
"WPN_SATCHEL_DESCRIPT": "Attach this explosive charge to anything you throw it at.  Just be sure you're clear before you hit the detonator."
"PLAYER_CHOICE_M16_OPTION2_BODY": "REWARD: Weapon upgrade cost reduction"
"TUT_TITLE_CHALLENGES": "CHALLENGES"
"TUT_TITLE_CAR_SHOOTING": "VEHICLE COMBAT"
"BURST_FIRE_TEST": "BURST FIRE TEST WEAPON"
"HUD_MILES_ABR": "MI"
"COMBAT_RECORD": "NEW RECORD!"
"HUD_PRESS_BLANK_TO_BLANK": "%ls TO %ls"
"RIFLE_GANG": "K-8 KRUKOV"
"PISTOL_GANG": "45 SHEPHERD"
"GARAGE_CANT_OPEN": "YOU CAN'T STORE THIS VEHICLE IN A GARAGE"
"TUT_NOTORIETY_DECREASE_STORE": "Notoriety will wipe instantly by hiding inside any building you own: {MAP_IMG_CRIB}, {MAP_IMG_CLOTHING}, etc."
"HUD_TRIGGER_NEEDS_VEHICLE": "YOU MUST BE IN A VEHICLE TO ACTIVATE THIS TRIGGER"
"HUD_AMT_SECS": "+{0}SEC"
"TUT_TITLE_COMBAT": "MELEE COMBAT"
"TUT_NAG_POWER_ATTACKS": "REMEMBER: USE CHARGED POWER ATTACKS BY PRESSING AND HOLDING {ATTACK_PRIMARY_IMG} / {ATTACK_SECONDARY_IMG}"
"WPN_TIKITORCH": "TIKI TORCH"
"ACHIEVE_SR3_BO_DUKE_EN": "BO-DUKE-EN"
"HID_TRIGGER_VEHICLE_REPAIR_NSF": "YOU DO NOT HAVE ENOUGH CASH TO REPAIR YOUR VEHICLE"
"UNL_DESC_INSTANT_RELOAD_PISTOL": "Instantly reload your pistols"
"UNL_DAMAGE_EXPLOSIVE_3": "DAMAGE - EXPLOSIVE 3"
"TUT_TITLE_HUD_TEXT": "HELP TEXT"
"ACHIEVE_SR3_GENDER_EQUALITY": "GENDER EQUALITY"
"ACHIEVE_SR3_GETTING_THE_GOODS": "GETTING THE GOODS"
"WPN_RPG_DESCRIPT": "For huge explosions and firepower, you can't go wrong with a rocket launcher."
"DIVERSIONS_CASH": "CASH {0}"
"HUD_RESPECT_RANK_006": "GUARD"
"TUT_QUICK_KILL": "{CBA_OFC_HS_EXECUTE_IMG} QUICK KILL HUMAN SHIELD"
"HUD_PRESS_BACK_CANCEL_PERSISTENT": "PRESS %ls AGAIN TO CLEAR THE HUD"
"UNL_HOMIE_HELI": "HOMIE - HELI"
"MISSION_COOP_CONFIRM_ACTIVITY": "CONFIRMING ACTIVITY START WITH %ls"
"TUT_ACT_GUARDIAN": "Provide protection for your Contact."
"PLAYER_CHOICE_M16_OPTION1_TITLE": "[format][color:Purple]TAKE OVER A VEHICLE MANUFACTURER[/format]"
"TUT_TITLE_NAG_CHANGE_CLOTHES": "CHANGE CLOTHES"
"TUT_CHARGE_WEAPON": "HOLD {ATTACK_PRIMARY_IMG} CHARGE BLAST"
"TUT_TITLE_RADIO_CONTROL": "RADIO CONTROL"
"WE_MOUNTED_GUN": "MOUNTED .50 CAL"
"FLASHPOINT_COMPLETE_DESC_1": "DESTROYED"
"CANT_USE_MECHANIC": "YOU CANNOT CUSTOMIZE YOUR CAR DURING A MISSION OR ACTIVITY"
"TUT_TITLE_MINIMAP_ICONS": "MINIMAP ICONS"
"ACHIEVE_SR3_BROMANCE_IN_THE_ROW": "BROMANCE IN THE ROW"
"HUD_RESPECT_RANK_008": "SAINT"
"HOMIES_GREETING": "Yo %ls!  What up?"
"HUD_FINISH_BRUTE": "FINISH BRUTE"
"CS_TITLE_SURFACE_OF_MARS": "SURFACE OF MARS"
"COMBAT_DAMAGE": "You did %5.1f damage!"
"PLAYER_INCREASE_HEALTH": "YOUR HEALTH HAS INCREASED"
"TUT_TITLE_NITROUS": "NITROUS"
"HUD_AMT_DEGREES": "{0}{TEMP_DEGREES}"
"TUT_NAG_HUMAN_SHIELD": "REMEMBER: USING HUMAN SHIELDS {ACTION_IMG} CAN HELP YOU SURVIVE LONGER IN COMBAT"
"SPECIAL_AIRSTRIKE": "SA-3 AIRSTRIKE"
"WPNCAT_THROWN": "THROWN"
"MULTI_PRESS_AND_HOLD_BLANK_TO_HEAL": "PRESS AND HOLD %ls TO HEAL"
"UNL_DESC_CLOTHING_AVATAR": "The mocap suit outfit has been added to your Crib Wardrobe"
"UNL_SPRINT_2": "SPRINT - INCREASE 2"
"TUT_TERRITORY": "You now own this neighborhood. \nEach hour you will receive a small income from it, delivered to your crib stash. You can also purchase a stake in any stores in this hood to receive additional hourly income."
"TUT_WHORED_Z_BDSM": "BDSM"
"TUT_WHORED_D_STEELPORT_CONNECTION": "THE STEELPORT CONNECTION"
"TUT_WHORED_MALLCOP": "MALL COP"
"TUT_TITLE_CRIB_WEAPONS": "WEAPON CACHE"
"ACHIEVE_SR3_PORKCHOP_SANDWICHES": "PORKCHOP SANDWICHES"
"ACHIEVE_SR3_AND_BOOM_GOES_THE_DYNAMITE": "AND BOOM GOES THE DYNAMITE"
"SATELLITE_EXIT_GUIDED_MODE": "ABANDON MISSILE"
"PLAYER_CHOICE_M19_OPTION2_BODY": "REWARD: Burt Reynolds and SWAT Homies"
"HUD_HOURS_ABR": "HR"
"TUT_TITLE_NP_CAR_CONTROLS": "CAR CONTROLS"
"GARAGE_CARS_ONLY": "YOU CAN'T STORE THAT KIND OF VEHICLE HERE"
"STRONGHOLD_CANCEL_SUB_TEXT": "STRONGHOLD CANCELED"
"TUT_TITLE_SECONDARY_FIRE": "SECONDARY FIRE"
"TUT_TITLE_STYLE_RANK": "STYLE RANK"
"ACHIEVE_SR3_BRIGHT_LIGHTS_BIG_CITY": "BRIGHT LIGHTS, BIG CITY"
"DIVERSIONS_RESPECT": "RESPECT {0}"
"TUT_TITLE_NAG_GANG_CUSTOMIZE": "GANG CUSTOMIZATION"
"TUT_NP_HELI_WEAPON_CONTROLS": "{HELI_FIRE_PRIMARY_IMG} FIRE CHAINGUN \n{HELI_FIRE_SECONDARY_IMG} FIRE ROCKETS"
"FART_IN_A_JAR": "FART IN A JAR"
"UNL_DESC_CASH_FOR_RESPECT_2": "Pay cash for 8,000 respect"
"UNL_DESC_CRIB_NUKE": "The Burns Hill Reactor is now a Saints Crib. Access your Weapons Cache, Clothes, and Customize your Gang here."
"TUT_CONTINUE_MSG": "PRESS {PAUSE_MENU_IMG} TO CONTINUE"
"TUT_ACT_INTRO_SNATCH": "Bring hos back safely from their abusive pimps."
"ACHIEVE_SR3_TUNE_IN_DROP_OFF": "TUNE IN, DROP OFF"
"HUD_TRIGGER_VEHICLE_REPAIR_PRICE": "REPAIR VEHICLE FOR $%d"
"TUT_TITLE_ACT_TANK_MAYHEM": "TANK MAYHEM"
"ACHIEVE_SR3_OW_MY_BALLS": "OW, MY BALLS!"
"ACTIVITY_COOP_START_MSG": "Start Co-op Activity?"
"TUT_NP_BOAT_CONTROLS": "{ACCELERATE_IMG} ACCELERATE \n{BRAKE_REVERSE_IMG} REVERSE"
"TUT_AIRPLANE_CONTROL_ALT": "{PLANE_ACCELERATE_IMG} ACCELERATE \n{PLANE_BRAKE_REVERSE_IMG} BRAKE + REVERSE \n{PLANE_TURN_LEFT_IMG}/{PLANE_TURN_RIGHT_IMG} ROLL"
"ACHIEVE_SR3_YOURE_MY_HERO": "YOU'RE MY HERO!"
"HUD_CONTINUE_TEXT": "%ls TO CONTINUE"
"HOMIES_GAINED_CASH": "YOU GAINED %ls CASH FROM HUSTLIN"
"UNL_DESC_WEP_CYBERSPACE_CANNON": "Equip the Cyber Buster at your Crib Weapon Cache."
"TUT_TITLE_CHARGE_WEAPON": "CHARGE WEAPONS"
"TUT_RADIO_CONTROL": "{AUDIO_PLAYER_PREV_TRACK_IMG} / {AUDIO_PLAYER_NEXT_TRACK_IMG} CHANGE STATION \nListen to the radio or create your own station through the Cell Phone Music Interface {MAP_MENU_IMG}"
"WPN_GENKI_DESCRIPT": "Singing, exploding, cuddly, mind-controlling octopi.  Yeah.  Mind-control.  We're serious."
"HUD_VEHICLE_DRIVE": "%s TO ACCELERATE, %s TO BRAKE AND REVERSE"
"TUT_MINIMAP_ICONS": "This is your minimap.\nRed dots are the enemies, and Blue, Red, and Green squares are objective markers.\nIf you get lost, follow the GPS to your nearest objective."
"ACHIEVE_SR3_OUCH": "OUCH."
"WPN_BLOWUPDOLL": "BLOW-UP DOLL"
"THEATER_PLAY_STRONGHOLD": "PLAY STRONGHOLD"
"HASH_5F2E8897": "PLEASE RECONNECT THE XBOX ONE CONTROLLER AND PRESS {PAUSE_MENU_IMG} TO CONTINUE"
"TUT_TITLE_HELICOPTER_CONTROL": "HELICOPTER CONTROLS"
"TUT_STORE_OWNERSHIP": "Owning Property provides hourly income and will provide a discount on items sold there."
"SMG_AMMO": "SMG AMMO"
"HUD_RESPECT_RANK_002": "SHIELD"
"HOMIES_WAS_BUSTED": "%ls was busted!"
"UNL_DESC_PLAYER_HEALTH_4": "Player health is increased by 100%%"
"ACHIEVE_SR3_GANGSTAS_IN_SPACE": "GANGSTAS... IN SPACE!"
"HUD_COOL_OVERHEATED_MESSAGE": "COOL THE WEAPON"
"TUT_TITLE_COMBAT_GRENADES": "OFF-HAND GRENADES"
"ACHIEVE_SR3_MR_FURY_WOULD_BE_PROUD": "MR. FURY WOULD BE PROUD"
"HUD_WARP_TO_SHORE_MESSAGE_PLACEHOLDER": "WARP TO SHORE"
"TUT_WHORED_D_THE_RUNNING_DEAD": "THE RUNNING DEAD"
"ACHIEVE_SR3_SHAKE_AND_BAKE": "SHAKE AND BAKE"
"TUT_TITLE_CRUISE_CONTROL": "CRUISE CONTROL"
"baseball_bat": "BASEBALL BAT"
"TUT_FINEAIM_0": "{SHOULDER_CAMERA_IMG} ZOOM"
"PLAYER_ABANDON_FOLLOWER": "YOU ARE ABANDONING %d [format][color:purple]FOLLOWER(S)[/format]"
"UNL_UNLIMITED_AMMO_SMG": "AMMO - SMG 4"
"TUT_NEW_MISSIONS": "{MAP_MENU_IMG} ACCESS NEW MISSIONS\nAs New Missions become available, they will be displayed in your Cell Phone Missions menu."
"ACHIEVE_SR3_JUMPED_IN": "JUMPED IN"
"WPN_SMGGANG_DESCRIPT": "Street version of the SMG.  Full upgrade allows for incendiary bullets."
"ACHIEVE_SR3_LOVE_HATE_RELATIONSHIP": "LOVE/HATE RELATIONSHIP"
"WPN_APOCOFIST": "APOCA-FIST"
"SHOTGUN_STAG": "S3X HAMMER"
"HUD_BONUS_CLOTHING": "CLOTHING BONUS"
"GARAGE_CANT_STORE": "YOU CAN'T STORE THIS VEHICLE IN A GARAGE"
"WPN_RIFLEKILLSHOT_DESCRIPT": "Good for love taps from 500 yards...and by 'love taps', we mean 'exploding heads'."
"MAP_TOTAL_RESPECT": "TOTAL RESPECT: %d"
"ACHIEVE_SR3_TOWER_DEFENSE": "TOWER DEFENSE"
"WPN_TOILET": "TOILET"
"UNL_RESPECT_EURO_2": "RESPECT BONUS"
"MAP_STORENAME_UNKNOWN": "UNKNOWN"
"TUT_TITLE_SNIPER_UPGRADE": "SNIPER SCOPE UPGRADE"
"WPN_PROTOTYPE_GENERIC_DESCRIPT": "THIS IS A PROTOTYPE, IF YOU SEE ME, PLEASE BUG ME"
"HUD_FEET_ABR": "FT"
"TUT_MINIMAP": "The Minimap in the lower left will display the GPS path to your objective using the shortest legal route."
"ACHIEVE_SR3_EVERYTHING_IS_PERMITTED": "EVERYTHING IS PERMITTED"
"FLASHPOINT_NAME": "GANG OPERATION"
"HUD_CANCEL_MISSION": "RETRY OR EXIT MISSION"
"HUD_MINUTES_ABR": "MIN"
"HUD_CANCEL_STRONGHOLD": "RETRY OR EXIT STRONGHOLD"
"COMBAT_DISTANCE": "%.1f meters!"
"TUT_TITLE_COLLECTION": "COLLECTION"
"TUT_TITLE_HITMAN_NEW": "ASSASSINATIONS"
"STUN_GUN": "STUN GUN"
"WPNCAT_MELEE": "MELEE"
"TUT_NAG_CRUISE_CONTROL": "REMEMBER: USING CRUISE CONTROL {CRUISE_CONTROL_B_IMG} CAN HELP YOU SHOOT AND DRIVE AT THE SAME TIME"
"TUT_HOMIE_REVIVE": "If a follower loses all their health, you have only a few seconds reach and revive them."
"HUD_TRIGGER_DISABLED_ACT": "YOU CAN'T VISIT HERE DURING THIS ACTIVITY"
"MISSION_COOP_CONFIRM_STRONGHOLD": "CONFIRMING STRONGHOLD START WITH %ls"
"TUT_WHORED_BEERMUSCLES": "MEGA MUSCLES"
"TUT_TITLE_CHOPSHOP": "VEHICLE THEFTS"
"TUT_STORE_INTRO_SURGEON": "Image As Designed allows you to change your appearance, taunts, and compliments. "
"ENTER_WATERCRAFT_MESSAGE": "ENTER WATERCRAFT"
"HUD_CRUISE_CONTROL_ACTIVE_NEW": "[format][scale:1]{CRUISE_CONTROL_B_IMG}[/format] CRUISE CONTROL"
"TUT_DIV_INTRO_STREAKING": "Show off your goods for cash!"
"TUT_TAUNTING": "{MENU_DP_LEFT_IMG} TAUNT \n{MENU_DP_RIGHT_IMG} COMPLIMENT \nInteract with people and gain respect by taunting and killing gang members."
"RESPECT_RANK_UP": "RANK UP"
"ACHIEVE_SR3_ONCE_BITTEN_BRAAAAAAAINS": "ONCE BITTEN... BRAAAAAAAINS"
"ENTER_VEHICLE_PASSENGER_SEAT_MESSAGE": "%ls ENTER VEHICLE PASSENGER SEAT"
"TUT_STORE_INTRO_TATTOO": "Tattoo parlors allow you to customize your character. Buying Tattoos earns Respect."
"HUD_RESPECT_RANK_004": "SHOOTER"
"HUD_KICK_DOOR_MESSAGE": "OPEN DOOR"
"UNL_DESC_GARAGE_TANK": "Retrieve the Tank at your crib garage."
"WPNCAT_PISTOL": "PISTOL"
"TUT_WHORED_NUTSHOTS": "AW NUTS"
"TUT_TITLE_IMPROVISED_WEAPONS": "IMPROVISED WEAPONS"
"TUT_TITLE_AUTOSAVE": "GAME AUTOSAVE"
"TUT_ACT_INTRO_INS_FRAUD": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} RAGDOLL \nThrow yourself into cars, objects, and buildings to earn more in insurance settlements."
"CS_TITLE_STAG_HQ_PR_CENTER": "STAG HQ - PR CENTER"
"WPN_RC_GUN_DESCRIPT": "Why play with a tiny remote-controlled car when you can remotely control a full size vehicle!"
"FLASHPOINT_COMPLETE_TITLE": "GANG OPERATION"
"HOMIES_RANK_UP": "%ls has gone up in rank!"
"TUT_VEHICLE_TURRET": "{ATTACK_PRIMARY_IMG} FIRE TURRET WEAPON \nWhile in a vehicle with a turret. "
"WPN_KBGLOVES_DESCRIPT": "The devastating special attack coined by Killbane now in portable gloves!"
"HUD_HEALTH": "HEALTH"
"CHOP_SHOP_DISPLAY_DISTRICT_UNKNOWN": "UNKNOWN"
"CS_TITLE_STILWATER": "STILWATER"
"HOMIES_DISMISSED": "%ls has been dismissed!"
"UNL_FOLLOWER2": "GANG - FOLLOWERS 2"
"TUT_WHORED_Z_10_CENTS": "10 CENTS BACK"
"TUT_DRIVING_STUNTS": "Stunt driving earns you respect. Each type of stunt is called out in the Diversion HUD."
"TUT_TEMP_WEAPON": "This weapon has a limited number of uses and cannot be carried like regular weapons. It must be dropped to enter vehicles."
"TUT_TITLE_NOTORIETY_DECREASES": "NOTORIETY"
"PLAYER_CHOICE_M22_OPTION1_BODY": "Kill Killbane but Shaundi will die"
"TUT_TITLE_EXPLORE": "TERRITORY OWNERSHIP"
"SATELLITE_MISSILES_LEFT": "MISSILES"
"TUT_WHORED_D_31DAYS": "31 DAYS LATER"
"TUT_DLC_GENKI_GUN": "{ATTACK_SECONDARY_IMG} DETONATE OCTOPI \nHitting people with a Genki Octopus causes them to fight on your side. The Octopi can be manually detonated at any time."
"PLAYER_CHOICE_M13_OPTION1_BODY": "REWARD: STAG City Takeover Assistance"
"CHOP_SHOP_DISPLAY_DISTRICT_FREEWAY": "FREEWAY"
"TUT_TITLE_STORE_INTRO_VEHICLE_DEALER": "VEHICLE DEALERSHIPS"
"HUD_USE_PARACHUTE": "OPEN PARACHUTE"
"UNL_DESC_HOMIE_JOSH": "Josh can be found in your Cell Phone \"PHONE\" menu. He will help the Saints in combat."
"TUT_TITLE_JUMP_CLIMB": "JUMP/CLIMB"
"TUT_DIV_INTRO_BASE_JUMPING": "Attempt to land as close to the marker as possible to earn respect."
"HUD_USE_LEFT_STICK_MESSAGE": "USE THE {ANALOG_LS_IMG} TO MOVE AROUND"
"TUT_MIS_02_SKYDIVE_FLIP": "{ANALOG_LS_IMG} MOVE\n{ANALOG_RS_IMG} LOOK\n{SKYDIVE_FLIP_IMG} FLIP UP OR DOWN"
"HUD_TRIGGER_DISABLED_MISSION": "YOU CAN'T VISIT HERE DURING THIS MISSION"
"HUD_OPEN_DOOR_MESSAGE": "OPEN DOOR"
"SATELLITE_FIRE_MISSILE": "DUMB FIRE MISSILE"
"HUD_MINUTES": "MINUTES"
"UNL_SPRINT_4": "SPRINT - INCREASE 4"
"TUT_TITLE_ACT_INTRO_HUMAN_TORCH": "TRAIL BLAZING"
"TUT_TITLE_ACT_INTRO_MAYHEM": "MAYHEM"
"HOMIES_ANGRY_LEFT": "%ls has left you!"
"UNL_DESC_NOTORIETY_COPS_1": "Your Police Notoriety will decay at a slightly faster rate"
"TUT_WHORED_A_AW_NUTS": "AW, NUTS"
"TUT_WHORED_A_WELCOME": "HAMMER TIME"
"TUT_TITLE_ACTIVITY_COMPLETE": "ACTIVITY COMPLETE"
"USE_TRIGGER_DROP_BIKE": "DROP MOTORCYCLE"
"TUT_WHORED_Z_START_YOUNG": "START 'EM YOUNG"
"TUT_WHORED_D_WEENIE ROAST": "WEENIE ROAST"
"TUT_TITLE_STORE_INTRO_SURGEON": "PLASTIC SURGEONS"
"HUD_CANCEL_PERSISTENT": "CLEAR THE HUD"
"TUT_WHORED_DRUNKENROCKETS": "DRUNKEN ROCKETS"
"FORMAT_TIME_SECS": "{0} secs"
"TUT_WHORED_MINISNIPERS": "MINI SNIPERS"
"PLAYER_CHOICE_M21_OPTION2_BODY": "REWARD: Apoca-Fist weapon"
"FLASHPOINT_TOTAL_COMPLETED": "GANG OPERATIONS COMPLETED %d/%d"
"HUD_FOOTAGE": "FOOTAGE"
"FRIENDLY_FIRE_LIGHT_TURNED_ON__NYOU_CAN_NOW_DEAL_SOME_DAMAGE_TO_YOUR_PARTNER": "Friendly fire light turned on!\nYou can now deal some damage to your partner."
"UNL_GANG_WEAPONS_RIFLE": "GANG - WEAPONS - RIFLES"
"TUT_WHORED_HOBO_SHOTGUN": "STREET JUSTICE"
"TUT_TAKEOVER_RESPECT": "Completing missions, activities, diversions, and taking over the City earns Respect, which increases your Rank and allows you to purchase Upgrades."
"TUT_TITLE_MISSION_CHECKPOINT": "MISSION CHECKPOINTS"
"TUT_ACT_INTRO_MAYHEM": "Cause widespread carnage with the weapons provided."
"TUT_COMBAT_MELEE_SPRINT": "{SPRINT_IMG} + {MELEE_POWER_ATTACK_IMG} / {ATTACK_PRIMARY_IMG} SPRINTING MELEE ATTACKS"
"WPN_RIFLENG_DESCRIPT": "Higher grade rifle with upgradable scope."
"HUD_PRESS_BACK_CANCEL_HOSTAGE": "%ls AGAIN TO EXIT HOSTAGE"
"PLAYER_ALREADY_HEALED": "You are already healed up homie!"
"TUT_TITLE_CASH_INCOME": "HOURLY CITY INCOME"
"MAP_HIDDENNAME_ACTIVITY": "ACTIVITY"
"PAUSE_ACT_HITMAN_ADD_HUD": "ADD TO HUD"
"TUT_WHORED_A_GOOD_VIBRATIONS": "GOOD VIBRATIONS"
"TUT_TITLE_PLAYER_CHOICE": "PLAYER CHOICE"
"SATELLITE_RC_SIGNAL_STRENGTH": "SIGNAL {0}"
"HUD_CANCEL_DIVERSION": "EXIT DIVERSION"
"HUD_HITMAN_LOCATED": "CAN BE FOUND IN:"
"HUD_MILES": "MILES"
"GENKI_AMMO": "GENKI LAUNCHER AMMO"
"STRONGHOLD_UPGRADE_BASE": "BASE"
"ACHIEVE_SR3_TANK_YOU_VERY_MUCH": "TANK YOU VERY MUCH"
"RIFLE_KILLSHOT": "TOGO-13"
"TUT_TITLE_DIV_INTRO_TAGGING": "TAGGING"
"TUT_CASH_INCOME": "$%ls is available in your Cell Phone \"CASH\" menu. Each hour you earn $%ls City Income from owning territory in Steelport."
"ACHIEVE_SR3_FENCE_KILLA_2011": "FENCE KILL 2011"
"UNL_NOTORIETY_DECKERS_2": "NOTORIETY - DECKERS 2"
"UNL_DAMAGE_VEHICLE_1": "DAMAGE - VEHICLE"
"HUD_AMT_SECS_B": "+{0} SEC"
"UNL_DESC_UPGRADE_AMMO_EXPLOSIVE_1": "Carry 25%% more explosive ammo"
"TUT_WHORED_MONEYSHOTS": "MONEYSHOTS"
"TUT_TITLE_QUICK_KILL": "HUMAN SHIELD - QUICK KILL"
"HUD_DAMAGE": "DAMAGE"
"TUT_TITLE_STRONGHOLD_START": "STRONGHOLDS"
"ACHIEVE_SR3_HATERS_GONNA_HATE": "HATERS GONNA HATE"
"Grenade": "GRENADES"
"TUT_TITLE_HUMAN_SHIELD": "HUMAN SHIELD"
"TUT_VTOL_CONTROL_A": "{HELI_UP_IMG} INCREASE ELEVATION\n{HELI_DOWN_IMG} DECREASE ELEVATION\n{VTOL_TRANSITION_IMG} SWITCH FLIGHT MODE"
"TUT_SHOOTING_STUNTS": "You gain respect for killing gang members. The more extreme and difficult the kill you pull off, the more respect you gain."
"RESTRICTED_ZONE_EXIT": "LEAVING RESTRICTED ZONE"
"TUT_WHORED_BOWLING": "BOWLING"
"SMG_GANG": "TEK Z-10"
"TUT_WHORED_A_4_JULY": "4TH OF JULY"
"TUT_LOW_AMMO": "You are low on ammo. Visit a Friendly Fire store {MAP_IMG_WEAPON} to purchase more."
"TUT_TITLE_STORE_INTRO_FOOD": "RESTAURANTS"
"TUT_DIVERSION_COMPLETE": "You have completed this diversion!  You can still play the diversion to earn more respect or cash."
"CS_TITLE_POWDER": "POWDER"
"PLAYER_CHOICE_M16_OPTION1_BODY": "REWARD: Vehicle customization cost reduction"
"ACTIVITY_CANCEL_SUB_TEXT": "ACTIVITY CANCELED"
"TUT_RESPECT_DIVERSIONS": "Everything you do earns Respect.\nThe Diversion HUD tracks Respect earned by doing Diversions, which include everything from driving on the wrong side of the road to killing your enemies with Nut Shots."
"BEHEMOTH": "BEHEMOTH"
"Temp_Minigun": "MINI-GUN"
"STRONGHOLD_UPGRADE2": "UPGRADE 2"
"UNL_HOMIE_JOSH": "HOMIE - JOSH BIRK"
"TUT_WHORED_A_MEAN_GIRLS": "MEAN GIRLS"
"TUT_TITLE_UPGRADE_STORE": "UPGRADE STORE"
"TUT_ACT_INTRO_CYBER_BLAZING": "Race through Cyberspace hitting [format][color:blue]Decker targets[/format] while avoiding [format][color:red]Firewalls[/format] before the time runs out."
"TUT_WHORED_D_CYPRIAN_ORDER": "THE CYPRIAN ORDER"
"TUT_WHORED_GIMPS": "GIMPED"
"TUT_WHORED_PICKUPS_TITLE": "PICK-UPS"
"GARAGE_LICENSED_VEHICLES_ONLY": "YOU CAN'T STORE DOWNLOADABLE CONTENT YOU HAVE NOT PURCHASED"
"TUT_WHORED_DRUNK": "DRINKING GAME"
"TUT_ACT_INTRO_HELI_ASSAULT": "Protect your Contact using the attack helicopter."
"HUD_RIDE_TRAIN": "RIDE THE TRAIN"
"SYSTEM_PAUSED": "PAUSED"
"TUT_SECONDARY_FIRE": "{ATTACK_SECONDARY_IMG} SECONDARY FIRE \nThis weapon has a secondary fire mode available."
"TUT_PLAYER_CHOICE": "You have a choice to make: keep the Syndicate Tower for the Saints and earn Money or Destroy the Syndicate Tower and earn Respect. \nChoose wisely."
"TUT_TITLE_SATCHEL_CHARGES": "SATCHEL CHARGES"
"HUD_TRIGGER_DISABLED_SH": "YOU CAN'T VISIT HERE DURING THIS STRONGHOLD"
"MISSION_CANCEL_TEXT": "Are you sure you want to leave the Mission?\nYou will lose all progress since the last checkpoint."
"TUT_TITLE_ACT_INTRO_INS_FRAUD": "INSURANCE FRAUD"
"ACHIEVE_SR3_MURDERBRAWL_31": "MURDERBRAWL 31"
"TUT_NP_MOTORCYCLE_CONTROLS": "{ACCELERATE_IMG} ACCELERATE \n{BRAKE_REVERSE_IMG} BRAKE + REVERSE \nUse {ANALOG_LS_IMG} to shift your weight to pop wheelies and perform stoppies."
"TUT_ANNIHILATOR": "Lock-on to vehicle targets by Zooming {SHOULDER_CAMERA_IMG}. \nControl the launched rocket by aiming your reticule."
"UNL_HOMIE_HEALTH_2": "GANG - HEALTH INCREASE 2"
"UNL_DAMAGE_EXPLOSIVE_4": "DAMAGE - EXPLOSIVE 4"
"TUT_WHORED_GRENADIERS": "GRENADIERS"
"TUT_WHORED_STARPOWER": "STAR STRUCK"
"UNL_DESC_HEALTH_REGEN_2": "Health regenerates faster"
"UNL_DESC_WEEKLY_PAYMENTS_4": "Hourly City Income of $2,500"
"TUT_ACT_INS_FRAUD_ANDRENALINE": "After filling the adrenaline meter, use adrenaline mode to chain together crazy amplified hits!"
"TUT_COMBAT_MELEE_BASH": "{CBA_OFC_HS_EXECUTE_IMG} QUICK MELEE BASH"
"WPNCAT_RIFLE": "RIFLE"
"TUT_WHORED_TAUNT": "RUDE AWAKENING"
"TEMP_LUCHAGRENADE": "GL G20"
"TUT_TITLE_NAG_WEAPON_UPGRADES": "WEAPON UPGRADES"
"TUT_NOTORIETY_DECREASES": "Notoriety can be removed instantly by hiding inside any building you own: {MAP_IMG_CRIB}, {MAP_IMG_CLOTHING}, etc."
"WPN_CRICKETBAT": "CRICKET BAT"
"SATELLITE_GUIDED_MISSILE": "GUIDED MISSILE"
"TUT_DLC_MANCANNON": "{ATTACK_PRIMARY_IMG} FLING HUMANS \nCollect humans to shoot out of the cannon by running into them with the vehicle."
"TUT_TITLE_COMBAT_FINEAIM": "CAMERA ZOOM"
