// extra_dumps ref: hud - JP/CZ reference for keys in extra_hud_us.txt
"TUT_TITLE_RECRUITING": "JP: 勧誘 || CZ: NAJÍMÁNÍ"
"TUT_TITLE_THROW_KILL": "JP: ヒューマンシールド - 投げる || CZ: LIDSKÝ ŠTÍT - HODIT"
"TUT_ACT_TANK_MAYHEM": "JP: スティールポート内にあるシンジケートの高額ターゲットを破壊しろ || CZ: Nič důležité cíle Syndikátu po celém Steelportu."
"TUT_TITLE_STRONGHOLD_RESPECT": "JP: リスペクトが足りない || CZ: NEDOSTATEK RESPEKTU!"
"TUT_WHORED_HUMANTORCH": "JP: 火をつけろ || CZ: ZAPAL JE"
"HUD_CRUISE_CONTROL_ACTIVE": "JP: クルーズコントロール作動 || CZ: TEMPOMAT JE ZAPNUTÝ"
"COOP_PLAYER_KICKED": "JP: %lsはゲームから追放されました || CZ: %ls BYL VYHOZEN ZE HRY"
"CANT_STORE_PARTNERS_CAR": "JP: パートナーの車両はガレージに入れられない || CZ: PARTNEROVY VOZY NEMŮŽEŠ SKLADOVAT"
"TUT_WHORED_PICKUPS_BODY": "JP: アイテムを見つけて新しい武器や弾薬を手に入れろ || CZ: Hledej v úrovni sebratelné předměty a získáš zbraně, vylepšení a munici."
"TUT_TITLE_OLEG_FOLLOW": "JP: オレグから離れている || CZ: OPUŠTĚNÍ OLEGA"
"FORMAT_TIME_MINS": "JP: {0} mins || CZ: {0} minut"
"HUD_TRIGGER_DISABLED_OTHER": "JP: 今はここには入れない || CZ: MOMENTÁLNĚ SEM NEMŮŽEŠ"
"WEP_HELI_FIGHTER_01": "JP: ミニガン／ロケット || CZ: KULOMET/RAKETY"
"HUD_TAP_BUTTON": "JP: （連打） || CZ: ZMÁČKNI"
"HUD_HOLD_BUTTON": "JP: （長押し） || CZ: PŘIDRŽ"
"HUD_PRESS_BACK_CANCEL_DIVERSION": "JP: もう一度%lsでデバージョンをキャンセル || CZ: DALŠÍM STISKNUTÍM %ls HRU ZRUŠÍŠ"
"UNL_DESC_HOMIE_VTOL": "JP: VTOL配達が携帯電話の電話帳に追加された\n仲間がVTOLを届けてくれる || CZ: Mezi kontakty v telefonu najdeš parťáka se stíhačkou. Doveze ti do boje stíhačku."
"UNLOCKABLE_VIEW_MAP_TEXT": "JP: %sでゲーム中にマップを参照する || CZ: Mapu si během hraní můžeš prohlédnout stisknutím tlačítka %s."
"TUT_M16_CHARGE_CYBERCANNON": "JP: {ATTACK_PRIMARY_IMG} トリガー長押し || CZ: {ATTACK_PRIMARY_IMG} PŘIDRŽ SPOUŠŤ"
"TUT_RECIEVE_CRIB": "JP: アジト{MAP_IMG_CRIB}を手に入れた。アジトでは武器や服、ギャングカスタマイズもできる || CZ: Nyní vlastníš bejvák {MAP_IMG_CRIB}.\nMůžeš si zde uchovávat zbraně a oblečení, taky tady můžeš upravovat svůj gang."
"HUD_CANCEL_ACTIVITY": "JP: やり直しまたは終了 || CZ: RESTARTOVAT AKTIVITU"
"HUD_METERS": "JP: メートル || CZ: METRŮ"
"UNL_DEPRECATED_SR2": ""
"TUT_TITLE_ACT_INTRO_ESCORT_TIGER": "JP: タイガーエスコート || CZ: TYGŘÍ ESKORTA"
"TUT_OLEG_FOLLOW": "JP: オレグは自らついてくるので待つ必要はない || CZ: Pokud Olega opustíš, dožene tě, nemusíš na něj čekat."
"TUT_RECRUITING": "JP: 仲間が加わると、右上にアイコンが表示される。ランクが上昇するごとにより多くの仲間を勧誘できるようになる。\n仲間の勧誘は{RECRUIT_DISMISS_IMG}で可能だ || CZ: Když se k tobě přidá parťák, objeví se v pravém horním rohu ikona. Čím vyšší budeš mít hodnost, tím více parťáků si budeš moci pomocí tlačítka {RECRUIT_DISMISS_IMG} najmout."
"WPNCAT_SHOTGUN": "JP: ショットガン || CZ: BROKOVNICE"
"MAP_HIDDENNAME_PROPERTY": "JP: 物件 || CZ: MAJETEK"
"UNL_WEP_DILDO_BAT": "JP: 怪しいバット || CZ: ZBRAŇ - PENETRÁTOR"
"TUT_COMBAT_GRENADES": "JP: {ATTACK_SECONDARY_IMG}手榴弾を投げる\n{WEAPON_MENU_IMG}+{DPAD_IMG}装備する手榴弾を変更 || CZ: POMOCÍ {ATTACK_SECONDARY_IMG} HODÍŠ GRANÁT \nPOMOCÍ {WEAPON_MENU_IMG} + {DPAD_IMG} ZMĚNÍŠ VYBRANÝ GRANÁT"
"PLAYER_HAS_FULL_HEALTH": "JP: もう体力は万全だ || CZ: TVÉ ZDRAVÍ JE NYNÍ NA MAXIMU"
"TUT_TITLE_COMBAT_RANGED": "JP: 遠距離攻撃 || CZ: BOJ NA DÁLKU"
"WPNCAT_SPECIAL": "JP: スペシャル || CZ: SPECIÁLNÍ"
"TUT_TITLE_ACT_FRAUD_ADRENALINE": "JP: アドレナリンモード || CZ: ADRENALINOVÝ REŽIM"
"TUT_TITLE_CRIB_CASH": "JP: 金庫 || CZ: POKLADNA"
"WPN_SHOTGUNCHUM_DESCRIPT": "JP: スティールポートの地下に潜むサメをおびき出すには、まき餌が必要さ || CZ: Arrr! Není nic lepšího než střílet po suchozemských krysách rybíma střevama. Proč? Protože to přiláká tajemnýho steelportskýho kanálovýho žraloka. Yarrrr!"
"SMG_SPREAD": "JP: サイバーバスター || CZ: KYBERBUSTER"
"SMG_CYBERSPACE": "JP: サイバーブラスター || CZ: KYBERBLASTER"
"FRIENDLY_FIRE_TURNED_ON__NYOU_CAN_NOW_DAMAGE_YOUR_PARTNER": "JP: 味方への攻撃が有効になった！\nパートナーにダメージを与えられる || CZ: STŘELBA DO VLASTNÍCH ŘAD ZAPNUTA!\nTEĎ SVÉHO PARTNERA MŮŽEŠ ZRANIT."
"TUT_NAG_UPGRADE_STORE": "JP: 携帯電話からアップグレードができる。アップグレードは自分や自分のギャングの能力を向上してくれる || CZ: V obchodě s vylepšeními ve svém telefonu si můžeš kupovat různá vylepšení pro sebe i svůj gang."
"TUT_TITLE_CITY_TAKEOVER": "JP: 街の占拠 || CZ: OBSAZOVÁNÍ MĚSTA"
"TUT_TITLE_NP_TANK_CONTROLS": "JP: 戦車の操作 || CZ: OVLÁDÁNÍ TANKU"
"TUT_CRIB_CLOSET": "JP: これがクローゼットだ。ここで衣服の着替えができる || CZ: Toto je tvůj šatník. \nZde se můžeš převlékat."
"WPN_SATELLITE_DRONE_DESCRIPT": "JP: 通常のミサイルと、進行方向を操作することが\nできる誘導ミサイルを発射できる || CZ: Naveď raketu ze vzduchu, ale dej si bacha, ať přesně trefíš cíl."
"HUD_TRIGGER_DISABLED_NOT_UNLOCKED": "JP: ロックが解除されるまで、ここには入れない || CZ: SEM NEMŮŽEŠ, DOKUD SI OBLAST NEODEMKNEŠ"
"VEHICLE_ADDED_TO_GARAGE": "JP: %lsをガレージに追加 || CZ: VOZIDLO %ls BYLO PŘIDÁNO DO TVÉ GARÁŽE"
"TUT_WHORED_A_TANK": "JP: タックル！ || CZ: TANK!"
"WPN_VTOL02": "JP: レーザービーム || CZ: LASEROVÝ PAPRSEK"
"EXPLOSIVE_SATCHEL": "JP: リモート爆弾 || CZ: VÝBUŠNINY"
"UNL_DAMAGE_EXPLOSIVE_1": "JP: 爆発ダメージ軽減1 || CZ: ZRANĚNÍ - VÝBUCH"
"TUT_TITLE_RESPECT_DIVERSIONS": "JP: デバージョン表示画面 || CZ: ROZHRANÍ ZÁŠKODNICKÝCH AKCÍ"
"TUT_TITLE_FLASHING": "JP: フラッシング || CZ: EXHIBOVÁNÍ"
"ACHIEVE_SR3_GELLIN_LIKE_MAGELLAN": "JP: 大遠征 || CZ: VŠUDE BYL, VŠECHNO ZNÁ"
"ACHIEVE_SR3_MOURNING_STARS": "JP: 不吉な星 || CZ: PLAČÍCÍ HVĚZDY"
"UNL_DESC_DAMAGE_EXPLOSIVE_2": "JP: 爆発によるダメージ - 10%%軽減 || CZ: 10%% snížení zranění od výbuchů"
"TUT_WHORED_MEGANINJA": "JP: メガニンジャ || CZ: MEGA-NINDŽOVÉ"
"TUT_AIRSTRIKE": "JP: 空爆照準器でミサイル攻撃ができるが、標的を完全にマークしないと使用できない || CZ: Cíl pro nálet musíš nejprve kompletně označit, teprve pak na něj vypustíš rakety."
"TUT_TITLE_GAME_WIN": "JP: おめでとう！ || CZ: GRATULACE!"
"TUT_TITLE_DLC_BLING_SHOTGUN": "JP: スカウトショットガン || CZ: BROKOVNICE BLING"
"TUT_NAG_CRIB_STASH": "JP: 所有物件からの収入は\n携帯電話から回収できる || CZ: Nezapomeň: Často vybírej peníze z vlastněných území na svém telefonu."
"TUT_TITLE_DIVERSION_COMPLETE": "JP: デバージョンクリア || CZ: BOKOVKA DOKONČENA"
"TUT_STORE_INTRO_MECHANIC_LARGE": "JP: 大型修理工場では標準車両より大きな車両のカスタマイズや修理が行える。大型車はこの整備工場かアジトガレージからのみ回収できる || CZ: U automechaniků pro velká auta můžeš opravovat a přizpůsobovat svá nestandardní vozidla. Tyto vozy lze vyzvednout buď tady, nebo v garáži v bejváku."
"MAP_BOOKMARK": "JP: マップブックマーク || CZ: ZÁLOŽKA NA MAPĚ"
"TUT_WHORED_Z_TEXAS_ZOMBIES": "JP: ゾンビの猛撃 || CZ: ZOMBIE Z TEXASU"
"TUT_WHORED_A_TINY_PROBLEMS": "JP: 扱いに困る || CZ: MALÝ PROBLÉMY"
"TUT_WHORED_A_BOOM_HEADSHOT": "JP: ヘッドショット || CZ: BUM, PŘÍMO DO HLAVY"
"TUT_WHORED_A_GENKI_GAMES": "JP: ゲンキのお遊び || CZ: GENKIHO HRY"
"TUT_WHORED_D_LILLIPUTIANS": "JP: リリプシャン || CZ: LILIPUTÁNI"
"WPN_SHARK": "JP: サメ || CZ: ŽRALOK"
"EXPLOSIVE_GRENADELAUNCHER": "JP: M2 ランチャー || CZ: GRANÁTOMET M2"
"HOOD_MONEY_EARN_RATE": "JP: 1 時間あたりの獲得金額：%sドル || CZ: PENÍZE ZÍSKANÉ ZA HODINU: %s"
"UNL_DESC_UNLIMITED_SPRINT": "JP: ダッシュ時間 - 無制限 || CZ: Neomezený sprint, už se nebudeš muset nikdy zastavit"
"UNL_AMMO_DECKER_2": "JP: 武器庫の弾薬 || CZ: MUNICE VE SKŘÍNI"
"UNL_DESC_CASH_MULTIPLIER_1": "JP: 獲得するキャッシュ -\n5%%アップ || CZ: Zvyšuje množství vydělaných peněz o 5 %%"
"SGI_RETRY": "JP: リスタートしますか？ || CZ: Znovu?"
"MISSION_CANCEL_SUB_TEXT": "JP: ミッションがキャンセルされました || CZ: MISE ZRUŠENA"
"TUT_NP_CAR_CONTROLS": "JP: {ACCELERATE_IMG}加速\n{BRAKE_REVERSE_IMG}ブレーキ／バック\n{HANDBRAKE_IMG}ドリフト || CZ: {ACCELERATE_IMG} PLYN \n{BRAKE_REVERSE_IMG} BRZDA + ZPÁTEČKA\n{HANDBRAKE_IMG} RUČNÍ BRZDA"
"HUD_DIVERSION_CASH": "JP: キャッシュ || CZ: PENÍZE "
"TUT_UNDERCOVER": "JP: 誰かを攻撃したり、自分に注意が向けられるような行動は控えろ、正体がばれて失敗する || CZ: Neútoč na nikoho, jinak na sebe přivoláš pozornost, nepřátelé tě objeví a tvůj úkol se ti nepovede."
"TUT_TITLE_VTOL_CONTROL": "JP: VTOLの操作 || CZ: OVLÁDÁNÍ STÍHAČKY"
"TUT_TITLE_CRIB_CLOSET": "JP: クローゼット || CZ: ŠATNÍK"
"TUT_TITLE_CRIB_RECEIVE": "JP: アジト || CZ: BEJVÁKY"
"TUT_TITLE_PUSHBACK": "JP: 奪回阻止 || CZ: PŘEVRAT"
"TUT_TITLE_DIV_INTRO_MUGGING": "JP: 路上強盗 || CZ: PŘEPADENÍ"
"STRONG_CANCEL_TITLE": "JP: やり直しまたは終了 || CZ: OPAKOVAT NEBO ZRUŠIT PEVNOST?"
"TUT_TITLE_TAUNTING": "JP: 挑発／敬意 || CZ: URÁŽKY/POKLONY"
"TUT_WHORED_Z_BIG_BONED": "JP: アイツでかすぎ || CZ: MÁ VELKÝ KOSTI"
"UNL_HIDDEN": "JP: シークレット || CZ: SKRYTO"
"Molotov": "JP: 火炎瓶 || CZ: MOLOTOVY"
"UNL_DESC_FOLLOWER2": "JP: セインツの仲間を2人まで\n連れ歩けるようになった。\nセインツの近くで{RECRUIT_DISMISS_IMG}を押すと\nスカウトできる || CZ: Naverbuj z řad Svatých dva parťáky. Stisknutím {RECRUIT_DISMISS_IMG} najmeš nejbližší Svaté."
"TUT_HUMAN_SHIELD": "JP: {ACTION_IMG}を押すとヒューマンシールドができる。ヒューマンシールドは銃弾を防ぐ他、体力回復の時間を稼ぐことができる || CZ: {ACTION_IMG} POPADNOUT LIDSKÝ ŠTÍT\nLidské štíty blokují kulky a umožní ti chvilku oddechu."
"TUT_WHORED_A_ENDING_DEBATE": "JP: もはや言葉はいらない || CZ: KONEC DISKUSE"
"SHOTGUN_CHUM": "JP: シャークマティック || CZ: ŽRALOKOMAT"
"SATELLITE_GUIDED_MISSILES": "JP: 誘導ミサイル || CZ: ŘÍZENÉ STŘELY"
"CS_TITLE_3_COUNT_SB": "JP: 3カウント・カジノ SPORT BOOK || CZ: TĚLOCVIČNA A KASINO 3 COUNT"
"HITMAN_DISPLAY_DISTRICT_UNKNOWN": "JP: 不明 || CZ: NEZNÁMÉ"
"CUTSCENE_REMOTE_SKIPPING": "JP: {SKIP_MODAL_SEQUENCE_IMG}スキップを承諾 || CZ: {SKIP_MODAL_SEQUENCE_IMG} HLASOVAT PRO PŘESKOČENÍ VIDEA."
"UNL_DESC_VEHICLE_CUSTOMIZATION": "JP: 車両をカスタマイズする || CZ: Osobní úprava vozidel"
"TUT_TITLE_M16_AVATAR_ATTACKS": "JP: アバターアタック || CZ: ÚTOKY AVATARA"
"WPN_RIFLESTAG_DESCRIPT": "JP: レーザー技術を駆使してリロードを不要にした\nSTAGのライフル。オーバーヒートに注意 || CZ: Puška STAGu používá laserovou technologii, takže se nemusí přebíjet. Ale pozor na přehřívání."
"HUD_JUMP_ON_KILLBANE": "JP: キルベインを襲撃 || CZ: SKOČ NA KILLBANA"
"PLAYER_CHOICE_M09_OPTION2_BODY": "JP: 報酬：毎時収入アップ || CZ: ODMĚNA: Zvýšený příjem za každou hodinu"
"TUT_COMBAT_WEAPONS": "JP: 所持していない武器の上を通過すると拾うことができる。装備している武器を切り替えるには{WEAPON_MENU_IMG}を長押しして{WEAPON_SELECT_IMG}で武器を選択する || CZ: Když přeběhneš přes zbraň, kterou ještě nemáš v inventáři, automaticky ji sebereš.\nChceš-li změnit zbraň, stiskni a přidrž {WEAPON_MENU_IMG}. Použitím {WEAPON_SELECT_IMG} pak danou zbraň vybereš."
"SWITCH_MODE": "JP: モード切り替え || CZ: PŘEPNOUT REŽIM LETU"
"Temp_Flamethrower": "JP: フレームランチャー || CZ: SPALOVAČ"
"UNL_UPGRADE_AMMO_RIFLE_1": "JP: ライフル弾薬アップ1 || CZ: MUNICE - PUŠKA"
"UNL_DAMAGE_BULLET_2": "JP: 銃弾ダメージ軽減2 || CZ: ZRANĚNÍ - KULKY 2"
"TUT_TITLE_WEAPON_UPGRADES": "JP: 武器のアップグレード || CZ: VYLEPŠENÍ ZBRANÍ"
"ACHIEVE_SR3_WHO_LOVES_YA_BABY": "JP: 愛情表現 || CZ: KDO TĚ MILUJE, BEJBY"
"TUT_ACT_INTRO_HUMAN_TORCH": "JP: 人や車に激突してタイムボーナスを獲得しながら、ゴールを目指せしてキャッシュとリスペクトを獲得しろ || CZ: Závoď o peníze a respekt. Bonusový čas za narážení do lidí a aut se ti připočte po projetí kontrolním bodem."
"SPECIAL_SONICGUN": "JP: ソニックガン || CZ: SONICKÁ VLNA"
"USE_TRIGGER_HE_CRIB_EXIT": "JP: 下りエレベーターに乗る || CZ: JET VÝTAHEM DOLŮ"
"HASH_EBC06667": "JP: 解像度 || CZ: ROZLIŠENÍ"
"HASH_54FEDA67": "JP: パフォーマンス || CZ: VÝKON"
"TUT_TITLE_WAYPOINT": "JP: GPS目標地点 || CZ: KONTROLNÍ BODY GPS"
"ACHIEVE_SR3_TITANIC_EFFORT": "JP: 大仕事 || CZ: TITÁNSKÉ ÚSILÍ"
"HUD_ATTACK_KILLBANE": "JP: キルベインを攻撃 || CZ: ZAÚTOČ NA KILLBANA"
"USE_TRIGGER_GRAB_PARACHUTE": "JP: パラシュートを拾う || CZ: SEBRAT PADÁK"
"TUT_HUMAN_SHIELD_GENERAL": "JP: {ACTION_IMG}盾にした人間を投げる || CZ: {ACTION_IMG} ODHODÍ ŠTÍT\n{CBA_OFC_HS_EXECUTE_IMG} ŠTÍT ZABIJE"
"TUT_TITLE_PAUSE_MAP": "JP: マップ || CZ: MAPA V MOBILU"
"TUT_GANG_CUSTOMIZE": "JP: ギャングカスタマイズではセインツの服装や乗り回す車、挑発／敬意のスタイルを選ぶことができる || CZ: Úprava gangu ti umožňuje vybrat si oblečení, které Svatí budou nosit, auta, která budou řídit, a také nastavit styl urážek a poklon."
"WPN_SHOTGUNSTAG_DESCRIPT": "JP: STAG専用ショットガン。リロードが一瞬で済むがオーバーヒートに注意が必要 || CZ: STAG verze brokovnice. Bleskově se přebíjí, ale pozor na přehřívání."
"HUD_ACT_EXIT": "JP: アクティビティを終了する：%ls || CZ: AKTIVITU ZAVŘEŠ STISKNUTÍM TLAČÍTKA %ls"
"ACHIEVE_SR3_HI_JACK_IT": "JP: ハイジャック || CZ: UNES TO"
"WPN_DILDOBAT_DESCRIPT": "JP: 独特な怪しさを醸し出しつつ\n野球バットの致死性を併せ持つ || CZ: Absurdita erotické hračky spojená vražedností baseballové pálky."
"TUT_VTOL_CONTROL_B": "JP: {ACCELERATE_IMG}加速／上昇\n{BRAKE_REVERSE_IMG}ブレーキ／下降\n{VTOL_TRANSITION_IMG}を押してホバリングモードと飛行機モード切り替え || CZ: {ACCELERATE_IMG} zvyšuje rychlost nebo výšku. \n{BRAKE_REVERSE_IMG} brzdí a snižuje výšku. \nStisknutím {VTOL_TRANSITION_IMG} přepínáš mezi režimy vrtulníku a letadla."
"HUD_START_FREEFALL": "JP: フリーフォールを開始 || CZ: ZAČÍT VOLNÝ PÁD"
"ITEM_COMPLETE": "JP: 全部揃えたぞ！ || CZ: Získána kompletní sada!"
"WPNCAT_SUB_MACHINE_GUN": "JP: サブマシンガン || CZ: SAMOPAL"
"TUT_WHORED_Z_WELCOME": "JP: 頂点と底辺 || CZ: NAHOŘE A DOLE"
"HUD_WAIT_FOR_PARTNER_TO_JOIN": "JP: パートナーと合流するまで待機しろ || CZ: Musíš počkat, než se tvůj partner připojí."
"PLAYER_CHOICE_M21_OPTION1_BODY": "JP: 報酬：キルベインのマスク || CZ: Do inventáře přibude Killbanova maska"
"PLAYER_CHOICE_M21_OPTION1_TITLE": "JP: [format][color:red]マスクをはがす[/format] || CZ: [format][color:red]ODMASKUJ KILLBANA[/format]"
"TUT_TITLE_DLC": "JP: ダウンロード コンテンツ || CZ: STAŽITELNÝ OBSAH"
"HYDRAULICS_OFF": "JP: ハイドロOFF || CZ: HYDRAULIKA VYPNUTA"
"MISSION_COOP_CONFIRM_MISSION": "JP: %ls\nとのミッション開始を確認中 || CZ: POTVRĎ SPUŠTĚNÍ MISE S %ls"
"STRONGHOLD_UPGRADE1": "JP: アップグレード1 || CZ: VYLEPŠENÍ 1"
"TUT_ACT_INTRO_DRUG_TRAFFICKING": "JP: スティールポートで行われる取引の警護をして、キャッシュとリスペクトを獲得しろ || CZ: Dohlédni na obchody svých steelportských kontaktů a zajisti jim potřebnou ochranu."
"ACHIEVE_SR3_KUH_BOOM": "JP: 大爆発 || CZ: HEH, BUM."
"HUD_DOCK_NEED_VEHICLES": "JP: 船舶を追加するとドックが見られるようになる || CZ: DO DOKU MUSÍŠ NEJDŘÍV UMÍSTIT LODĚ"
"UNL_DESC_DAMAGE_BULLET_4": "JP: 被弾ダメージ - 無し || CZ: Kulky ti nijak neublíží"
"ACHIEVE_SR3_PARTNERS_IN_CRIME": "JP: 共犯 || CZ: PARŤÁCI V ZLOČINU"
"SATELLITE_MODE_EXIT": "JP: システム終了 || CZ: VYPNOUT SATELIT"
"TUT_WHORED_MUSCLESNDILDOS": "JP: 計測コンテスト || CZ: KDO MÁ VĚTŠÍHO"
"TUT_WHORED_APACOFISTS": "JP: アポカフィストに注意 || CZ: POZOR NA APOKAPĚSTI"
"TUT_TITLE_STORE_INTRO_WEAPONS": "JP: 武器ショップ || CZ: OBCHODY SE ZBRANĚMI"
"FLASHPOINT_HUD_TEXT": "JP: 倒したギャング || CZ: ZMAŘENÍ OPERACE GANGU"
"HUD_SECONDS_ABR": "JP: SEC || CZ: SEK"
"TAXI_UNAVAILABLE": "JP: タクシー利用不可 || CZ: TAXI NENÍ K DISPOZICI"
"FRIENDLY_FIRE_TURNED_OFF__NYOU_CAN_NO_LONGER_DAMAGE_YOUR_PARTNER": "JP: 味方への攻撃が無効になった！\nパートナーにダメージを与えることは\nできない || CZ: STŘELBA DO VLASTNÍCH ŘAD VYPNUTA!\nTEĎ SVÉHO PARTNERA PORANIT NEMŮŽEŠ."
"TUT_TITLE_NP_HELI_WEAPON_CONTROLS": "JP: ヘリの武器 || CZ: ZBRANĚ VRTULNÍKU"
"WPN_BASEBALLBAT_DESCRIPT": "JP: 長い木の棒。何かを叩くのに便利。以上 || CZ: Dlouhý dřevěný klacek. Můžeš s ním mlátit do všeho možného. Co víc potřebuješ vědět?"
"SPECIAL_RCVEHICLEGUN": "JP: リモコンガン || CZ: RC-OVLADAČ"
"SHOTGUN_AMMO": "JP: ショットガン弾薬 || CZ: MUNICE DO BROKOVNICE"
"TUT_WHORED_HITNRUN": "JP: 路上一掃 || CZ: UKLÍZENÍ ULIC"
"TUT_TITLE_AIRPLANE_CONTROL": "JP: 飛行機の操作 || CZ: OVLÁDÁNÍ LETADEL"
"UNL_DAMAGE_VEHICLE_2": "JP: 交通事故ダメージ軽減2 || CZ: ZRANĚNÍ - VOZIDLA 2"
"TUT_TITLE_DRONE": "JP: ドローン系武器 || CZ: ZBRANĚ SONDY"
"TUT_TITLE_DIV_INTRO_BASE_JUMPING": "JP: パラシュート降下 || CZ: SKOK NA CÍL"
"TUT_TITLE_SAVE": "JP: ゲームのセーブ || CZ: ULOŽENÁ POZICE"
"WPN_PISTOLGANG_DESCRIPT": "JP: どんなセイントも満足、選り抜きのピストル || CZ: Oblíbená pistole každého Svatého."
"TUT_WHORED_MEGAFURRIES": "JP: メガ毛皮 || CZ: MEGA CHLUPÁČI"
"WPN_FLASHBANG_DESCRIPT": "JP: この手榴弾で敵に衝撃を与えよう || CZ: Tenhle granát dokáže nepřátele omráčit."
"WPN_SHOTGUNBLING_DESCRIPT": "JP: すべてのギャングキルにリスペクトボーナスを獲得できるゴキゲンな銃 || CZ: Tahle brokna je super, protože za každý zabití gangstera s touhle zbraní získáš trochu respekt navíc."
"WPN_SHOTGUNPOLICE_DESCRIPT": "JP: 警備隊の制式ショットガン。見かけたらすぐに身を隠せ || CZ: Standardní policejní brokovnice. Když ji uvidíš, rychle se zdekuj..."
"HUD_REVIVE_HOMIE_MESSAGE": "JP: %ls長押し：[format][color:purple]仲間[/format]を蘇生する || CZ: PODRŽENÍM TLAČÍTKA %ls OŽIVÍŠ SVÉHO [format][color:purple]PARŤÁKA[/format]"
"TUT_WHORED_D_WAVE_DEAD": "JP: ゾンビの猛攻 || CZ: VLNA OŽIVLÝCH MRTVOL"
"WPN_SATCHEL_DESCRIPT": "JP: 投げつけると付着する爆弾。起爆装置を押す前には安全を確保すること || CZ: Tahle nálož se přichytí k čemukoli, na co ji hodíš. Jen buď dost daleko, až ji odpálíš."
"PLAYER_CHOICE_M16_OPTION2_BODY": "JP: 報酬：武器アップグレード割り引き || CZ: ODMĚNA: Značně snížené náklady na úpravu zbraní"
"TUT_TITLE_CHALLENGES": "JP: チャレンジ || CZ: VÝZVY"
"TUT_TITLE_CAR_SHOOTING": "JP: 乗り物からの攻撃 || CZ: BOJ VE VOZIDLECH"
"BURST_FIRE_TEST": "JP: バースト射撃テスト武器 || CZ: TESTOVACÍ ZBRAŇ, DÁVKA"
"HUD_MILES_ABR": "JP: MI || CZ: MI"
"COMBAT_RECORD": "JP: 新記録！ || CZ: NOVÝ REKORD!"
"HUD_PRESS_BLANK_TO_BLANK": "JP: %lsで%ls  || CZ: STISKNI TLAČÍTKO %ls, CHCEŠ-LI %ls"
"RIFLE_GANG": "JP: K8 クルコフ || CZ: K-8 KRUKOV"
"PISTOL_GANG": "JP: 45 シェパード || CZ: SHEPHER .45"
"GARAGE_CANT_OPEN": "JP: ガレージには収納できない || CZ: TENTO VŮZ NEMŮŽEŠ ZAPARKOVAT V GARÁŽI"
"TUT_NOTORIETY_DECREASE_STORE": "JP: 悪評度は、{MAP_IMG_CRIB}や{MAP_IMG_CLOTHING}などの、自分の所有する建物のなかに隠れることでも瞬時に一掃される || CZ: Pozornost se okamžitě zruší schováním se v budově, která ti patří: {MAP_IMG_CRIB}, {MAP_IMG_CLOTHING} atd."
"HUD_TRIGGER_NEEDS_VEHICLE": "JP: このマーカーは車両搭乗時のみ作動する || CZ: TUTO SPOUŠŤ MŮŽEŠ AKTIVOVAT, JEN KDYŽ JSI VE VOZIDLE"
"HUD_AMT_SECS": "JP: +{0}秒 || CZ: +{0}SEK."
"TUT_TITLE_COMBAT": "JP: 格闘攻撃 || CZ: BOJ NA BLÍZKO"
"TUT_NAG_POWER_ATTACKS": "JP: {ATTACK_PRIMARY_IMG}／{ATTACK_SECONDARY_IMG}を長押しするとチャージ攻撃が可能だ || CZ: TIP: STISKNUTÍM A PŘIDRŽENÍM {ATTACK_PRIMARY_IMG} / {ATTACK_SECONDARY_IMG} PROVEDEŠ SILNÝ ÚTOK."
"WPN_TIKITORCH": "JP: チキトーチ || CZ: TIKI POCHODEŇ"
"ACHIEVE_SR3_BO_DUKE_EN": "JP: 爆裂！セインツ || CZ: BO-DUKE-EN"
"HID_TRIGGER_VEHICLE_REPAIR_NSF": "JP: キャッシュ不足のため車両を修理できない || CZ: NA OPRAVU VOZIDLA NEMÁŠ DOST PENĚZ"
"UNL_DESC_INSTANT_RELOAD_PISTOL": "JP: ピストルのリロードが不要になる || CZ: Pistole budeš přebíjet okamžitě"
"UNL_DAMAGE_EXPLOSIVE_3": "JP: 爆発ダメージ軽減3 || CZ: ZRANĚNÍ - VÝBUCH 3"
"TUT_TITLE_HUD_TEXT": "JP: ヘルプ || CZ: NÁPOVĚDA"
"ACHIEVE_SR3_GENDER_EQUALITY": "JP: 男女同権 || CZ: GENDEROVÁ ROVNOPRÁVNOST"
"ACHIEVE_SR3_GETTING_THE_GOODS": "JP: ブツを入手 || CZ: SHÁNĚNÍ ZBOŽÍ"
"WPN_RPG_DESCRIPT": "JP: 爆発力と火力が欲しいならロケットランチャーを選べば間違いない || CZ: Když potřebuješ velké exploze a pořádnou ničivost, neobejdeš se bez raketometu."
"DIVERSIONS_CASH": "JP: キャッシュ{0} || CZ: PENÍZE {0}"
"HUD_RESPECT_RANK_006": "JP: ガード || CZ: HLÍDAČ"
"TUT_QUICK_KILL": "JP: {CBA_OFC_HS_EXECUTE_IMG}盾にした人間を倒す || CZ: {CBA_OFC_HS_EXECUTE_IMG} POPRAVA LIDSKÉHO ŠTÍTU"
"HUD_PRESS_BACK_CANCEL_PERSISTENT": "JP: もう一度%lsを押すと表示画面リセット || CZ: OPĚTOVNÝM STISKEM TLAČÍTKA %ls OBRAZOVKU VYČISTÍŠ"
"UNL_HOMIE_HELI": "JP: ヘリ配達 || CZ: PARŤÁK - VRTULNÍK"
