// extra_dumps: static - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"STAT_DRIVING_TWOWHEELS": "TWO WHEELS"
"CONFIRM_WEAR_OUTFIT": "Are you sure you want to wear this outfit?"
"HASH_CC5A26DE": "Nude Up?"
"HORDE_MODE_MENU_RETRY": "RETRY"
"HORDE_MODE_TITLE_SURVIVAL_TIME": "SURVIVAL TIME"
"HORDE_MODE_WEAPON_UPGRADE": "YOUR %ls IS NOW LEVEL %i OF %i"
"STAT_STREAKING_PEOPLE": "PEOPLE STREAKED"
"STAT_CRIBS_ACQUIRED": "CRIBS ACQUIRED"
"ESCORT_NAME_12B": "FRANKLIN"
"ESCORT_NAME_1B": "SANCHEZ"
"HUD_FOUND_CASH": "You received %ls from your stash!"
"VCUST_RIM_STYLE_OPTION": "RIM STYLE"
"STAT_DRIVING_TWOWHEELS_TIME": "LONGEST TIME ON TWO WHEELS"
"STAT_MAX_WINDSHIELD_CANNON_DISTANCE": "MAX WINDSHIELD CANNON DISTANCE"
"ESCORT_NAME_16A": "TICKLING"
"ESCORT_NAME_5A": "GOLDEN"
"DELETE_OUTFIT": "DELETE OUTFIT"
"VCUST_HIGH_PROFILE": "HIGH PROFILE"
"STAT_TEAM_LUCHADORES": "LUCHADORES"
"STAT_ESCORT_LEVELS_COMPLETED": "ESCORT COMPLETED"
"STAT_COMBAT_HEADSHOT_RESPECT": "RESPECT EARNED FROM HEADSHOTS"
"STAT_MAYHEM_BEST_COMBO": "MAYHEM: BEST COMBO"
"ESCORT_NAME_14A": "STEAMING"
"ESCORT_NAME_7A": "PEARL"
"STAT_COOP_GANG_NOTORIETY_TIME": "CO-OP: TIME AT HIGHEST GANG NOTORIETY"
"STAT_DECKERS_KILLED": "DECKERS KILLED"
"ACHIEVEMENTS_LOG_IN_EXPOSITION": "You must be signed in with a gamer profile to view achievements. "
"ESCORT_NAME_12A": "MOIST"
"ESCORT_NAME_1A": "DIRTY"
"GARAGE_DOCK": "DOCK"
"STAT_BIG_AIR_LONGEST_JUMP": "BIG AIR: LONGEST JUMP"
"STAT_STAG_KILLED": "STAG KILLED"
"STAT_MISSION_SUCCESS_RATE": "MISSION SUCCESS RATE"
"STAT_MAYHEM_DAMAGE_DONE": "MAYHEM: DAMAGE DONE"
"STAT_DRIVING_WHEELIE_RESPECT": "RESPECT EARNED FROM WHEELIES"
"ESCORT_NAME_10A": "ANGRY"
"ESCORT_NAME_3A": "DONKEY"
"GARAGE_INSUFFICIENT_FUNDS": "YOU DON'T HAVE ENOUGH MONEY TO REPAIR THIS VEHICLE"
"STAT_JUMPS_FOUND": "STUNT JUMPS FOUND"
"STAT_FRAUD_LEVELS_COMPLETED": "INSURANCE FRAUD COMPLETED"
"STAT_DRIVING_WRONGWAY_TIME": "LONGEST ONCOMING LANE DRIVE"
"STAT_HOMIEZ_ACQUIRED": "HOMIES ACQUIRED"
"STAT_DRIVING_WHEEILE_TIME": "LONGEST WHEELIE"
"STAT_COMBAT_ONE_HIT": "ONE HIT KILLS"
"HUD_RETRY_MISSION_MESSAGE_FULL": "Retrying a mission will cause you to lose any weapons or respect you earned while playing the mission."
"PURCHASEABLE_PROPERTEY_ORGAN_BLACKMARKET": "ORGAN BLACKMARKET"
"WPNSTOR_LEAVE_FULL_FRIENDLY_FIRE": "Do you really want to leave Friendly Fire?"
"VCUST_REAR_AXLE_OPTION": "REAR AXLE"
"STORE_TITLE_WITHDRAW": "WITHDRAW"
"HORDE_MODE_TITLE_FAIL": "WAVE {0} COMPLETE"
"HORDE_MODE_KILL_COUNT": "KILL COUNT"
"STAT_DRIVING_NEARMISS": "NEAR MISSES"
"STAT_DRIVING_BURNOUT": "BURNOUTS"
"CUST_ICON_WRISTS": "WRISTS"
"MUSIC_METAL": "METAL"
"MENU_EXPORT_SIGN_IN_FULL": "You must be signed in to Xbox LIVE\nto export to multiplayer."
"STORE_LEVEL_REQ": "LEVEL REQUIRED {0}"
"WPNSTOR_TEXT_MAX_WEAPONS_STORE": "You already own this weapon."
"ESCORT_NAME_9A": "SLIPPERY"
"DEALER_NO_SPACE": "YOU DO NOT HAVE ENOUGH SPACE IN YOUR GARAGE FOR %s"
"STAT_MILES_BY_BIKE": "MILES TRAVELED BY MOTORCYCLE"
"STAT_ACTIVITY_CASH_EARNED": "ACTIVITIES EARNINGS"
"ESCORT_NAME_18A": "DIRTY"
"STAT_DRIVING_BACKSEAT": "ROADKILL"
"STAT_DRIVING_TWOWHEELS_RESPECT": "RESPECT EARNED FROM TWO WHEELS"
"STAT_MAX_STUNT_FALL_DIST": "LONGEST FALL"
"STAT_ARRESTS": "ARRESTS"
"ESCORT_NAME_33B": "BUTTERFLY"
"RADIO_STATION_OFF": "OFF"
"STAT_DEATHS": "DEATHS"
"HORDE_MODE_SURVIVAL_TIMER_TAG": "SURVIVED"
"STAT_CAT_MOUSE_MOST_ROUND_KILLS": "CAT & MOUSE: MOST KILLS IN A ROUND"
"STAT_RPG_SHOTS_FIRED": "RPG SHOTS FIRED"
"STAT_STREAKING_CASH": "RESPECT EARNED FROM STREAKING"
"STAT_TAUNT_RESPECT": "RESPECT EARNED THROUGH TAUNTING"
"ESCORT_NAME_31B": "LIZARD"
"QUIT_GAME_TEXT_FULL": "Do you really want to quit?\n(Any unsaved progress will be lost.)"
"GARAGE_REPAIR": "REPAIR"
"STAT_COMBAT_ONE_HIT_RESPECT": "RESPECT EARNED FROM ONE-HIT KILLS"
"STAT_CHOPSHOP_VEHICLES": "VEHICLES COLLECTED"
"HUD_CRIB_CHANGE_RADIO_STATION": "CHANGE RADIO STATION"
"STAT_DRUG_TRAFFICKING_BUYERS_SATISFIED": "DRUG TRAFFICKING: NUMBER OF BUYERS SATISFIED"
"STAT_COMBAT_MULTI_RESPECT": "RESPECT EARNED FROM MULTI-KILLS"
"ESCORT_NAME_37B": "SHOWER"
"HORDE_MODE_WAITING_FOR_HOST": "Waiting for host."
"ESCORT_NAME_38_A": "CLOCKWISE"
"ESCORT_NAME_35B": "RATTLESNAKE"
"WEAR_OUTFIT_TITLE": "WEAR OUTFIT"
"WARDROBE_REMOVE_OUTFIT_TITLE": "REMOVE OUTFIT"
"PURCHASEABLE_PROPERTEY_WARF": "HENRY STEEL WHARF"
"STAT_STREAKING_TOTAL_TIME": "TOTAL STREAKING TIME"
"STAT_FAVORITE_TRANSPORTATION": "FAVORITE MODE OF TRANSPORTATION"
"ESCORT_NAME_29A": "ROYAL"
"MENU_TITLE_INSUFFICIENT_FUNDS": "INSUFFICIENT FUNDS"
"STORE_TEXT_INSUFFICIENT_FUNDS_BLANK": "You do not have enough money to purchase this item."
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "TOTAL GANG MEMBERS TAUNTED"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "TOTAL COMPLIMENTS GIVEN"
"ESCORT_NAME_39_B": "KNEAD"
"STAT_LUCHADORES_KILLED": "LUCHADORES KILLED"
"STAT_DRIVING_BAILOUT": "BAILOUTS"
"STATS_NONE": "NONE"
"ESCORT_NAME_27A": "CRAZY"
"DEMO_FREEPLAY": "FREEPLAY"
"CUST_BROWSER_TITLE": "CUSTOMIZATION BROWSER"
"HORDE_MODE_QUIT_TEXT": "Are you sure you want to quit?\n(This will end Whored mode for both players)"
"STAT_MAX_WRONG_WAY_DISTANCE": "MAX ONCOMING LANE DISTANCE"
"STAT_PEOPLE_RUN_OVER": "PEOPLE RUN OVER"
"STAT_AERIAL_STUNTS_FOUND": "BARNSTORMS FOUND"
"PLAYER_CREATION_ABOUT_TO_REVERT": "Would you like to cancel these changes?"
"STORE_NOT_AVAILABLE": "NOT AVAILABLE"
"VEHICLE_FREE": "FREE"
"STAT_COOP_MISSIONS_COMPLETED": "CO-OP: MISSIONS COMPLETED"
"STAT_COMBAT_NUTSHOT_RESPECT": "RESPECT EARNED FROM NUTSHOTS"
"ESCORT_NAME_25A": "AVENGING"
"HAIR_CAT_NONE": "NONE"
"STAT_PHOTO_OP_FOUND": "PHOTO OPS FOUND"
"STATS_DISTANCE_METERS": "%0.2fm"
"STAT_HOLDUP_ROBBED": "STORES ROBBED"
"STAT_HUMAN_TORCH_BONUS_EARNED": "TRAIL BLAZING: BONUS TIME EARNED"
"STAT_MAX_DRIVER_BAILOUT_DISTANCE": "MAX DRIVER BAILOUT DISTANCE"
"ESCORT_NAME_23A": "STINKY"
"RADIO_STATION_KRHYME": "KRHYME"
"VCUST_FRONT_AXLE_OPTION": "FRONT AXLE"
"LINGERIE_STORE_NAME": "LEATHER & LACE"
"STORE_WEAPON_STORE_MSG": "PURCHASE WEAPONS"
"HASH_E632737E": "GAME PERCENT COMPLETE"
"VCUST_PURCHASE_WHEELS_PROMPT": "Do you wish to purchase this wheel setup for ${0}?"
"PURCHASEABLE_PROPERTEY_HOSPITAL": "HOSPITAL"
"STAT_MAYHEM_OBJECTS_DESTROYED": "MAYHEM: NUMBER OF OBJECTS DESTROYED"
"STAT_COMBAT_CAR_RESPECT": "RESPECT EARNED FROM GANG VEHICLE KILLS"
"ESCORT_NAME_21A": "DIVING"
