"MENU_LEFT_MOUSE": "Mouse sinistro"
"SAVE_WARNING_BOOT": "[format][color:#9400c5]Questo gioco ha una funzione di autosalvataggio. Quando questo indicatore è visualizzato, il gioco sta salvando nello slot dell'autosalvataggio.[/format]"
"CBA_OFC_PICKUP_RELOAD": "   PRENDI / RICARICA"
"CBA_VDC_HANDBRAKE": "   DERAPATA"
"PC_SLOWMO_HINT": "IMPOSTAZIONI DELLA RIPRODUZIONE RALLENTATA"
"RECORD_MODE_WARNING": "REGISTRA FILMATI"
"PCACTION_RADIO_PREVIOUS": "STAZIONE RADIO SUCC."
"PCACTION_WEAPON_3": "ARMA 3"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "L'account Steam in uso è già collegato a un THQ ID."
"MENU_CONTROLLER_OPTIONS_TITLE": "GAMEPAD"
"MENU_MOUSE_CONTROLS_INVERT_Y": "INVERTI ASSE VERTICALE"
"CBA_GAC_WEAPON_SELECT_8": "   SLOT ARMA 8"
"PC_EDIT_PROPERTIES": "MODIFICA PROPRIETÀ"
"BTN_START_TXT": "PULSANTE A"
"PCACTION_WEAPON_6": "ARMA 6"
"PC_RECORD_MODE_QUALITY_LOW": "480p (BASSO)"
"MAIN_MENU_MATCHMAKING_FAIL": "Il matchmaking di Steam non ha trovato nessuna partita a cui collegarsi."
"CBA_GAC_GRENADE_SELECT_2": "   SLOT GRANATA 2"
"CAA_WALK_TURN_LEFT_RIGHT_NEG": "   SINISTRA"
"CBA_VDC_CRUISE_CONTROL_B": "   CAMBIA CONTROLLO DI CROCIERA"
"PLT_MENU_SHADOW_DETAIL": "    DETTAGLI OMBRE"
"PC_OPTIONS_EXIT_HINT": "CHIUDI LA FINESTRA DELLE OPZIONI"
"BTN_BLACK_TXT": "PULSANTE A"
"PRESS_ANY_KEY_TEXT": "Premi un tasto o ESC per annullare."
"PCACTION_RADIAL_MENU": "MENU RADIALE"
"PC_RECORD_MODE_FAILED_EXPORT": "UN ERRORE FATALE HA CAUSATO L'INTERRUZIONE DEL SALVATAGGIO DEL VIDEO."
"TUT_COMBAT_GRENADES_PC": "{ATTACK_SECONDARY_IMG} LANCIA GRANATA \n{GRENADE_SWITCH_IMG} CAMBIA GRANATA EQUIPAGGIATA"
"MENU_MIDDLE_MOUSE": "Mouse centrale"
"CBA_VDC_NITRO": "   NITRO"
"PLT_MENU_FULL_SCREEN": "SCHERMO INTERO"
"PC_OPTIONS": "OPZIONI"
"PC_ZONE_TYPE": "TIPO ZONA"
"PC_CZ_EXIT_HINT": "CHIUDI LA FINESTRA DELLA ZONA VISUALE"
"BTN_RTRIGGER_TXT": "PULSANTE A"
"HASH_299A8B6B": "SENZA BORDI"
"HASH_58A675AB": "ABBINAMENTO GOG"
"HASH_6A37FFEB": "Il matchmaking non ha trovato nessuna partita a cui collegarsi."
"COMMUNITY_CREATE_LINK_TEXT": "Qui puoi creare un nuovo THQ ID o collegare il tuo account Steam a un ID esistente."
"CBA_GAC_PAUSE_MENU": "   PAUSA"
"CBA_VDC_HELI_TURN_RIGHT": "   VIRA A DESTRA"
"CBA_VDC_PLANE_FIRE_SECONDARY": "   FUOCO ARMA SECONDARIA"
"PLT_TRILINEAR": "TRILINEARE"
"PC_LOAD_CHAR": "CARICA PREDEFINITO"
"PC_SM_NORMAL": "NORMALE"
"PC_DOF_DIST_HINT": "DISTANZA PER LA PROFONDITÀ DI CAMPO"
"PCACTION_PAUSE": "MENU DI PAUSA"
"TUT_AIRPLANE_CONTROL_ALT_PC": "{PLANE_ACCELERATE_IMG} ACCELERA \n{PLANE_BRAKE_REVERSE_IMG} FRENA + RETROMARCIA \n{PLANE_ROLL_TURN_SELECT_IMG}+{PLANE_LEFT_RIGHT_IMG}VIRATA STRETTA"
"SAVE_CLIP": "Salva filmato"
"CBA_VDC_HELI_FIRE_PRIMARY": "   FUOCO ARMA PRINCIPALE"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG2": "   INCLINA A SINISTRA"
"PC_VOICE": "VOCE"
"PC_SHOW_KEYS_HINT": "MOSTRA LE OPZIONI DI MODIFICA DELLE COMBINAZIONI DI TASTI"
"CAA_PLANE_PITCH_UP_DOWN_POS": "   ABBASSATI"
"PC_SOUNDFX_HINT": "ATTIVA/DISATTIVA GLIE EFFETTI SONORI"
"PC_SM_VERY_FAST": "MOLTO VELOCE"
"PC_EDIT_EXPLANATION": "Stai per modificare la posizione della telecamera di una zona visuale inattiva. La precedente posizione della telecamera verrà sovrascritta da quella attuale."
"DPAD_UP_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-u][/format]"
"PCACTION_LOOK_RIGHT": "GUARDA A DESTRA"
"TUT_NP_TANK_CONTROLS_PC": "{TANK_FORW_BACK_IMG} / {TANK_LEFT_RIGHT_IMG} MUOVI \nSPOSTA IL MOUSE PER PUNTARE \n{TANK_FIRE_SECONDARY_IMG} SPARA ARMA PRIMARIA \n{TANK_FIRE_PRIMARY_IMG} SPARA ARMA SECONDARIA"
"CBA_OFC_ZOOM_IN": "   ZOOM MIRINO AVANTI"
"MULTI_LOST_CONNECTION": "La connessione a Steam è stata persa.\nTornerai al menu principale."
"PC_TOD_MORNING": "MATTINO"
"PC_GS_BACKGROUND": "SFONDO"
"SAVING_CONTENT_BODY": "Non uscire dal gioco."
"CBA_GAC_WEAPON_SELECT_6": "   SLOT ARMA 6"
"CBA_VDC_ACCELERATE": "   ACCELERA"
"CBA_VDC_PLANE_TURN_RIGHT2": "   VIRA A DESTRA"
"PLT_ANISOTROPIC_EIGHT": "ANISOTROPICO 8X"
"MENU_CUSTOM": "PERSONALIZZATO"
"PLT_MENU_DISPLAY_4": "QUATERNARIO"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "Spazio libero insufficiente sul disco rigido per completare il salvataggio."
"PC_MOVEMENT_SENSITIVITY_HINT": "SENSIBILITÀ DI MOVIMENTO DELLA TELECAMERA"
"PC_CONFIRM_EXIT": "CONFERMA USCITA"
"PCACTION_WEAPON_8": "ARMA 8"
"PCACTION_CROUCH": "ACCOVACCIATI"
"MENU_MOUSE_BUTTON_3": "Mouse 3"
"MENU_CATEGORY_HELI": "ELICOTTERO"
"PLT_QUIT_GAME": "TORNA AL DESKTOP"
"MAINMENU_SYSLINK": "PARTITA LAN"
"PC_HIDE_HUD": "NASCONDI HUD"
"PRESS_ANY_KEY_CAPTION": "SCEGLI NUOVO TASTO"
"HASH_B1E823F1": "CTRL"
"CBA_VDC_OFFHAND_GRENADE": "   LANCIA GRANATA"
"PC_CA_EDIT_EXPORT": "CARICA E MODIFICA"
"PCACTION_CONSUME_LEFT": "USA CON SINISTRA"
"PCACTION_WEAPON_2": "ARMA 2"
"HASH_F44E5932": "%ls ti ha invitato a giocare. \nVuoi accettare l'invito?"
"PC_RECORD_MODE_ENABLE_WARNING": "LA MODALITÀ REGISTRAZIONE VIDEO POTREBBE CAUSARE UN RALLENTAMENTO DELLE PRESTAZIONI. PER RAGIONI LEGALI ANCHE LA MUSICA E LA RADIO SARANNO DISATTIVATE. CONTINUARE?"
"PLT_MENU_AMBIENT_OCCLUSION": "    OCCLUSIONE AMBIENTALE"
"PC_CREATE_CHAR": "CREA/IMPORTA"
"PC_W_OVERCAST": "CIELO COPERTO"
"PC_AV_EXIT_HINT": "CHIUDI LA FINESTRA DELL'AMBIENTE"
"PC_EXIT_HINT": "ESCI DALL'EDITOR CINEMATOGRAFICO"
"PC_DELETE_CZ": "ELIMINA"
"PCACTION_REVERSE": "FRENO/RETROMARCIA"
"CBA_OFC_MELEE_NUT_SHOT": "   ATTACCO CORPO A CORPO"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG": "   VIRA A SINISTRA"
"PLT_MENU_ANTI_ALIASING_TOOLTIP": "AMMORBIDISCE GLI SPIGOLI"
"PLT_MENU_MINIMAP_VIEW_TOOLTIP": "COME LA MINIMAPPA RUOTA A SECONDA DELLA DIREZIONE DEL GIOCATORE"
"PC_HANDYCAM": "TELECAMERA A MANO"
"PC_POSITION_CAMERA": "POSIZIONE VISUALE"
"PC_RECORD_MODE_CANCEL_ENCODE": "SEI SICURO DI VOLER ELIMINARE IL FILMATO SALVATO? IL FILMATO ANDRÀ PERDUTO."
"TUT_HELICOPTER_ENTRY_PC": "{HELI_UP_IMG} AUMENTA QUOTA\n{HELI_DOWN_IMG} ABBASSA QUOTA\n{HELI_DRIVE_TURN_SELECT_IMG}+{HELI_LEFT_RIGHT_IMG} VIRATA VELOCE"
"MENU_RIGHT_MOUSE": "Mouse destro"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_NEG": "   INDIETRO"
"MENU_ON": "ON"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "Ricerca partite LAN..."
"PC_SM_VERY_SLOW": "MOLTO LENTA"
"PC_CAMERA_DONE_HINT": "CHIUDI LA FINESTRA"
"PC_GREEN_SCREEN": "SCHERMO VERDE"
"DPAD_LEFT_TXT": "PULSANTE A"
"DPAD_RIGHT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-r][/format]"
"PC_RECORD_MODE_PATH": "\\Documenti\\I miei giochi\\Saint Row The Third\\Video\\"
"MENU_OPTIONS_GAMEPLAY_DIFFICULTY_TIP": "IMPOSTA LA DIFFICOLTÀ DI GIOCO"
"MULTI_MATCHMAKING": "ABBINAMENTO STEAM"
"CBA_VDC_BIKE_LEAN_FWD": "   PIEGARSI IN AVANTI"
"PLT_MENU_POST_PROCESSING_DETAIL_TOOLTIP": "HDR, MOVIMENTO E PROFONDITÀ DI CAMPO"
"MENU_HIGH": "ALTO"
"PC_MOVEMENT_SENSITIVITY": "SENS. MOVIMENTO"
"PC_CM_FOLLOW_LOOK": "SEGUI OBIETTIVO"
"BTN_B_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-b][/format]"
"MENU_MOUSE_WHEEL_UP": "Rotella su"
"MENU_MOUSE_CONTROLS_HORIZ_SENS": "SENSIBILITÀ ORIZZONTALE"
"CBA_GAC_WEAPON_SELECT_2": "   SLOT ARMA 2"
"CAA_DRIVE_STEER_POS": "   GIRA A DESTRA"
"PC_CA_DELETE": "ELIMINA"
"PC_SOUNDFX": "EFFETTI SONORI"
"PAUSE_MENU_PLAYBACK_MODE": "MODIFICA FILMATO"
"HUD_DROP_ITEM_MESSAGE": "LASCIA %ls"
"ANALOG_LS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"PCACTION_STRAFE_LEFT": "VIRA A SINISTRA"
"MENU_OPTIONS_GAMEPLAY_AIRPLANE_TIP": "NORMALE: FACILE DA PRENDERE E GUIDARE; AVANZATO: SIMULATORE DI VOLO"
"CBA_GAC_MACHINIMA_QUICKSAVE": "   SALVA VIDEO"
"CBA_GAC_WEAPON_SWITCH_CW": "   ARMA SEG"
"CAA_WALK_FORWARD_BACKWARD_POS": "   AVANTI"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_POS": "   AVANTI"
"MAINMENU_SYSLINK_TITLE": "LAN"
"PC_ADVANCED_MODE": "MODALITÀ AVANZATA"
"PC_SHOW_HUD_HINT": "ATTIVA/DISATTIVA LA TRASPARENZA DELL'INTERFACCIA"
"PC_CONFIRM_EXPORT": "CONFERMA ESPORTAZIONE"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "RACCOGLI %ls"
"BTN_BACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-menu][/format]"
"DPAD_LR_TXT": "FRECCIA SINISTRA E DESTRA"
"MENU_SECONDARY_ASSIGNMENT": "ASSEGNA PULSANTE ALTERNATIVO"
"PLT_MENU_LIGHTING_DETAIL": "    DETTAGLI ILLUMINAZIONE"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "Salvataggio fallito: periferica di memorizzazione predefinita non disponibile."
"PC_GS_PEOPLE_HINT": "ATTIVA/DISATTIVA IL RENDERING DEGLI UMANI NON GIOCATORI"
"PC_DOF_HINT": "TIPO DI PROFONDITÀ DI CAMPO - INFLUISCE SU DISTANZA E LUNGHEZZA FOCALE"
"PC_AUDIO_TOGGLES": "AUDIO"
"HUD_PICKUP_UNNAMED_OBJECT": "RACCOGLI"
"PCACTION_LOOK_LEFT": "GUARDA A SINISTRA"
"PC_RECORD_MODE_ERROR_NO_ENABLED": "ATTIVA LA MODALITÀ REGISTRAZIONE NEL MENU PAUSA PER SALVARE IL VIDEO."
"CBA_GAC_WEAPON_SELECT_7": "   SLOT ARMA 7"
"CBA_VDC_HELI_TURN_LEFT": "   VIRA A SINISTRA"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_POS": "   AVANTI"
"PC_OUTPUT_ONLY_HINT": "NASCONDI L'INDICATORE TEMPORALE E ALTRE INFORMAZIONI DURANTE L'ESPORTAZIONE"
"HUD_CRUISE_CONTROL_NO_BUTTON": "CONTROLLO DI CROCIERA"
"CBA_GAC_WEAPON_SWITCH_CCW": "   ARMA PREC"
"CBA_OFC_SPRINT_TOGGLE": "   SCATTA (ATTIVA)"
"CAA_WALK_FORWARD_BACKWARD_NEG": "   INDIETRO"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_NEG": "   INDIETRO"
"PLT_MENU_TEXTURE_FILTER_MODE_TOOLTIP": "MIGLIORE QUALITÀ, MA PIÙ LENTO"
"MENU_LOW": "BASSO"
"PLT_MENU_SETUP_MIC": "IMPOSTA MICROFONO"
"MENU_OPTIONS_CLIP_SELECT": "FILMATI"
"PC_SM_SLOW": "LENTA"
"CBA_GAC_ACTION": "   AZIONE"
"CAA_DRIVE_STEER_NEG": "   GIRA A SINISTRA"
"CBA_VDC_TANK_FIRE_PRIMARY": "   FUOCO ARMA PRINCIPALE"
"PLT_MENU_RESOLUTIONS_TOOLTIP": "SELEZIONA LA TUA RISOLUZIONE"
"PC_WATERMARK_HINT": "ESPORTA CON IL LOGO SAINTS ROW: THE THIRD NELL'ANGOLO"
"PC_GS_PLAYER_HINT": "ATTIVA/DISATTIVA IL RENDERING DEL GIOCATORE"
"PC_SELECT_TARGET": "SELEZIONA OBIETTIVO"
"DPAD_TXT": "TASTI DI DIREZIONE"
"DPAD_DOWN_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-d][/format]"
"MENU_MOUSE_CONTROLS_SENSITIVITY": "SENSIBILITÀ"
"CBA_VDC_PLANE_FIRE_PRIMARY": "   FUOCO ARMA PRINCIPALE"
"PC_GS_VEHICLES": "VEICOLI"
"PC_EXPORT_HINT": "ESPORTA LE CLIP IN UN VIDEO"
"PCACTION_GRAB_HUMAN": "AFFERRA UMANO"
"HASH_24103FFD": "È necessario aver eseguito l'accesso all'account Epico per usare questa funzionalità."
"PC_RECORD_MODE_TEXT": "Attiva la Modalità Registrazione per salvare i tuoi ultimi momenti di gioco direttamente come video. Premi ([format][color:#9400C5]{0}[/format]) per esportarli. I video saranno salvati in:"
"MOUSE_TITLE": "COMANDI"
"CBA_VDC_HORN": "   CLACSON"
"PLT_MENU_BRIGHTNESS_TOOLTIP": "ACCEDI MENU LUMINOSITÀ SCHERMO"
"PLT_MENU_DISPLAY_MODE_TOOLTIP": "SCHERMO INTERO, CON FINESTRA O SENZA BORDI"
"PLT_MENU_TEXTURE_FILTER_MODE": "    MODALITÀ FILTRO"
"MAINMENU_MACHINIMA_MODE": "MODIFICA FILMATI"
"PC_COPY_CURRENT_HINT": "CREA UNA NUOVA ZONA VISUALE BASATA SULLA ZONA ATTUALE"
"COOP_REMOTE_CHEAT_STARTING": "Il tuo compagno nella modalità Coop sta usando trucchi. Tutti i salvataggi creati avranno trucchi abilitati.\nIl salvataggio automatico è stato disabilitato e non potrai ottenere altri obiettivi."
"MENU_MOUSE_CONTROLS_INVERT_X": "INVERTI ASSE ORIZZONTALE"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS": "   VIRA A DESTRA"
"MENU_ULTRA": "ULTRA"
"PCACTION_WEAPON_7": "ARMA 7"
"HASH_B617EDBF": "MATCHMAKING"
"TUT_STREAKING_PC": "{TAUNT_TWO_IMG} due volte per avviare lo streaking.\nQuando non indossi nessun abito la modalità streaking è disponibile."
"CBA_GAC_GRENADE_SELECT_3": "   SLOT GRANATA 3"
"CBA_GAC_CELL_OPEN": "   CELLULARE"
"CBA_VDC_VTOL_TRANSITION": "   MODALITÀ VTOL"
"PLT_MENU_VSYNC_CUTSCENE_TOOLTIP": "V-SYNC DURANTE I FILMATI"
"PC_LOAD_CHAR_HINT": "CARICA IL MODELLO PERSONAGGIO PREDEFINITO"
"PC_GS_VEHICLES_HINT": "ATTIVA/DISATTIVA IL RENDERING DEI VEICOLI"
"PC_PROPS": "PROPRIETÀ"
"PC_CAM_TILT_HINT": "INCLINAZIONE DELLA TELECAMERA"
"BTN_RTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"BTN_X_TXT": "PULSANTE A"
