"CUST_ITEM_CF_HAIR_MED": "SCHULTERLANG"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_2": "Erhöhe die Schussfrequenz. Ein Technikvisier verbessert die Zielgenauigkeit."
"CUST_TATTOO_UPPBACK_2": "DOLCH"
"CUST_ITEM_CM_HAIR_DREADS": "MARLEY"
"CUST_ITEM_CM_PSE_FOOT_M_BOOTS": "ARBEITSSTIEFEL"
"LOGO_SECTION9": "SECTION 9"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHIRT": "AUZUGJACKE MIT HEMD"
"CUST_ITEM_FEMALE_NLM_OUTFIT_E": "KIFFER"
"CUST_ITEM_OVAL_RING_1_LEFT_INDEX_FINGER": "MURDERBRAWL-KNÖCHELSCHONER"
"PLAYER_MORPH_MOUTH_HEIGHT_TEXT": "MUNDHÖHE"
"STORE_WEAPON_BUY_UPGRADE": "WAFFEN KAUFEN/VERBESSERN"
"CUST_COMP_EYE_MAKEUP_7": "FLÜGEL"
"HAIR_COLOR_ORANGE": "ORANGE"
"LOGO_NUMBER5": "NUMMER 5"
"LOGO_KBOOM": "KBOOM WMD108"
"LOGO_SKEETERS_3": "SKEETERS 3"
"CUST_VARIANT_PETALS": "BLÜTENBLÄTTER"
"LEATHER_LACE_NAME": "LEATHER & LACE"
"CUST_TATTOO_LCALF_7": "VON DER KETTE"
"CUST_VARIANT_STRIPED_TIE": "GESTREIFTE KRAWATTE"
"CUST_ITEM_CM_IMPL_UBDY_M_SCARF": "LAUFSTEGSCHAL"
"CUST_ITEM_FEMALE_NLM_EARRINGS_5": "GENKI-OHRRINGE"
"CUST_ITEM_CM_LLB_LWRST_M_LTHRWRISTBAND": "LEATHER AND LACE MANSCHETTE"
"CUST_ITEM_CF_PSA_FOOT_F_ANKLEBOOTS": "NICHT-SO-UNSCHULDIG-STIEFEL"
"CUST_COMPLIMENT_D": "PEACE, BRUDER"
"CUST_COLOR_CLOTHING_GREYS_5": "GRAU 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_2": "Decke einen größeren Bereich ab."
"CUST_COMP_CHEEK_MAKEUP_3": "PANTOMIME"
"VEHICLE_PAINT_CANDY_PAINT": "LOLLIPOP-LACK"
"CUST_VARIANT_15_DEFAULT": "STIL 1"
"CUST_VARIANT_BASKETBALL_JERSEY": "GESTREIFT"
"CUST_VARIANT_HAT": "UNI"
"PLAYER_MORPH_UPPER_LIP_NOTCH_TEXT": "OBERLIPPENKERBE"
"CUST_TATTOO_RCALF_8": "GESICHT DES TODES"
"COLOR_SLOT_PAINT_1_AND_PAINT_2": "LACK 1 UND LACK 2"
"RIM_129": "R129"
"SLOT_COCKPIT": "COCKPIT"
"CUST_WEAR_TATTOO_AZTEC_SNAKE": "AZTEKENSCHLANGE"
"CUST_SKIN_OILED_3": "EINGEÖLT LATINO 1"
"VEHICLE_COLOR_TINT_5": "5%%DECKKRAFT"
"LOGO_89GENX": "89 GEN X"
"CUST_VARIANT_DUAL_STRIPES_SMALL": "KLEINE DOPPELSTREIFEN"
"CUST_ITEM_CM_PSG_UBDY_M_TRACKJACKET": "TRAININGSJACKE"
"CUST_INSULT_K": "NATURE BOY"
"CUST_COLOR_CLOTHING_VIOLET-RED_5": "VIOLETTROT 5"
"CUST_COLOR_CLOTHING_BROWNS_4": "BRAUN 4"
"CUST_COMP_MUSTACHE_13": "PAYNES BART"
"COMPONENT_DECAL_6": "AUFKLEBER 6"
"CUST_VARIANT_3COLOR_THIN": "DREIFARBIG, DÜNN"
"CUST_VARIANT_GRADIENT": "GESTUFT"
"CUST_SKIN_BLACK_03": "DUNKELHÄUTIG 3"
"PLAYER_MORPH_CHEEKBONES_DEPTH_TEXT": "WANGENKNOCHENTIEFE"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_9": "GELBORANGE 9"
"CUST_TATTOO_FACE_3": "TRIBAL-KLINGE"
"PAINT_AND_TRIM": "LACK UND ZIERSTREIFEN"
"CUST_VARIANT_FRONT_STRIPES_SMALL": "KLEINE STREIFEN VORNE"
"CUST_WEAR_TATTOO_AZTEC_BUG": "AZTEKENKÄFER"
"CUST_ITEM_CM_DLC_FOOT_M_PLATFORMS": "Z-STYLE PLATTFORMSCHUHE"
"CUST_ITEM_CF_RING_F_BIGHEART": "WAHRE-LIEBE-SET"
"CUST_EYESHADOW": "LIDSCHATTEN"
"CUSTOM_WALK_13": "GANGSTER-STIL 8"
"HAIR_SALON_HAIR_LENGTH": "HAARLÄNGE"
"CUST_COMP_FACE_MAKEUP_4": "KRIEGSBEMALUNG"
"CUST_COLOR_BRIGHT_YELLOW": "HELLGELB"
"CUST_VARIANT_21_DEFAULT": "VARIANTE 21"
"CUST_SKIN_HISPANIC_04": "LATINO 4"
"PLAYER_CREATION_PRESET_ASIAN": "ASIATISCH"
"CUST_TATTOO_RHAND_4": "R E C H T S"
"LOGO_DART": "DARTBOARD"
"CUST_ITEM_CF_DLC_HAND_F_BCGLOVE": "BLUTIGES-STIFTSFRÄULEIN-HANDSCHUHE"
"CUST_RONIN_COMPLIMENT_C": "RONIN-KOMLIMENT 3"
"CUST_CAT_HAIR_COLOR_EYEBROWS": "AUGENBRAUENFARBE"
"CUST_COMP_EYE_MAKEUP_10": "HARTER LIDSTRICH"
"SLOT_BED_MODS": "CHASSIS-TUNINGS"
"CUST_VARIANT_SKIRTB": "STIL 2"
"CUST_VARIANT_ZEBRA_1": "ZEBRA 1"
"CUST_ITEM_CM_FPIC_SETC": "DOPPELTE PIERCINGS"
"PLAYER_MORPH_EYE_STYLE_TEXT": "AUGENSTIL"
"FACIAL_EXPRESSION_SCARED": "VERÄNGSTIGT"
"PLAYER_MORPH_CROWN_HEIGHT_TEXT": "SCHEITELHÖHE"
"CUST_MENU_TOTAL_LIMIT_REACHED": "Du hast die maximal Anzahl der Bekleidungsgegenstände in deinem Kleiderschrank erreicht."
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_2": "Ziele schneller und trage mehr Munition."
"CUST_TATTOO_NECK_4": "DIAMANTEN AUS ANTWERPEN"
"CUST_COMP_BODY_MASK_4": "BAUARBEITER-BRÄUNE"
"VEHICLE_COLOR_TINT_30": "30%% DECKKRAFT"
"CUST_ITEM_IMPRESSIONS_FEMALE_O": "URBAN SAFARI OUTFIT"
"CUST_ITEM_CM_IMPE_LBDY_M_DRESSPANTS": "HIGH SOCIETY ANZUGHOSE"
"FACIAL_EXPRESSION_QUIZZICAL": "RÄTSELND"
"PLAYER_MORPH_CHIN_TEXT": "KINN"
"LOGO_PMS": "PI MU SIGMA"
"CUST_VARIANT_THIN": "DÜNN"
"CUST_ITEM_COWBOY_HAT_1": "WILDER-WESTEN-HUT"
"RIM_SET_006": "FELGENSATZ 6"
"COMPONENT_OPTION_4": "OPTION 4"
"COLOR_SLOT_RIM": "FELGE"
"CUST_VARIANT_KNIT": "STRICK"
"CUST_ITEM_CM_CNC_UBDY_M_WHTLOGOA": "CROOKS & CASTLES T-SHIRT D"
"CUSTOM_WALK_7": "GANGSTER-STIL 3"
"CUST_TATTOO_FACE_7": "ZWILLINGSSCHLANGE"
"VEHICLE_COLOR_SILVER": "SILBER"
"CUST_SKIN_PURPLE_4": "PRINZESSINNENLILA"
"CUSTOM_WALK_FEMALE_02": "STANDARD FRAU 2"
"CUSTOM_WALK_17": "GANGSTER-STIL 12"
"CUST_COLOR_CLOTHING_VIOLET-RED_1": "VIOLETTROT 1"
"CUST_COMP_MUSTACHE_17": "CHUCK"
"OPTION_37": "OPTION 37"
"COMPONENT_DECAL_2": "AUFKLEBER 2"
"CUST_VARIANT_SLEEVES": "UNI"
"PLAYER_MORPH_EYE_FOLDS_ELEVATION_TEXT": "AUGENFALTENHÖHE"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_8": "GELBGRÜN 8"
"CUST_COMP_EYES_DARK_BROWN": "DUNKELBRAUN"
"LOGO_PHEASANT": "FASANJÄGER"
"CUST_VARIANT_ULTOR2": "ULTOR 2"
"VEHICLE_PAINT_LICENSE_PLATES": "NUMMERNSCHILDER"
"HAIR_COLOR_GREEN_MATTE": "MATTGRÜN"
"CUST_VARIANT_LARGE_STRIPES": "GROSSE STREIFEN"
"VEHICLE_COLOR_ATLANTIC_TEAL": "ATLANTIK TARNMUSTER"
"CUST_WEAR_TUCKED": "IN HOSE"
"CUST_ITEM_IMPRESSIONS_FEMALE_K": "IMPRESSIONS DAMEN K"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOC": "CROOKS & CASTLES T-SHIRT C"
"CUST_MORPH_CAT_JAW": "GEBISS"
"CUST_COMP_EYE_MAKEUP_14": "SPHINX"
"SLOT_MIRRORS": "SPIEGEL"
"HAIR_COLOR_YELLOW_MATTE": "MATTGELB"
"CUST_WEAR_UNZIPPED_HOOD_DOWN": "OFFEN, KAPUZE UNTEN"
"CUST_ITEM_CF_NLMF_FOOT_F_VICTORIANBOOTS": "VIKTORIANISCHE STEAMPUNK-STIEFEL"
"STORE_WEAPON_NAVIGATE": "NAVIGIEREN"
"SK03": "HAUT03"
"CUST_VARIANT_SMALL_FLOWERS": "KLEINE BLUMEN"
"CUST_WEAR_BUTTONED_HOOD_DOWN": "GEKNÖPFT, KAPUZE UNTEN"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRTLOWV": "HILLS JACKETT MIT T-SHIRT"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO": "STRATAGEM TRENCHCOAT"
"CUSTOM_WALK_3": "GANGSTER-STIL 2"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_2": "Trage mehr Raketen."
"CUST_TATTOO_LOWBACK_4": "HOHER BOGEN"
"CUST_COLOR_FLESH_4": "FLEISCH 4"
"CUST_WEAR_HALF OPEN": "HALBOFFEN"
"CUST_ITEM_CM_UBDY_M_THEROW": "ROW-MITGLIEDER"
"CUST_ITEM_CM_HAIR_SHORT": "MANAGEMENT"
"CUST_ITEM_MINER_HAT": "MURDERBRAWL-MASKE"
"PLAYER_MORPH_FACE_DEPTH_TEXT": "GESICHTSTIEFE"
"CUST_TATTOO_UPPBACK_6": "ZWEI HEILIGE TAUBEN"
"CUST_COMP_FACE_MOLE_8": "LEBERFLECK 8"
"CUST_VARIANT_TWO_COLOR": "ZWEIFARBIG"
"CUST_VARIANT_LEATHERLEATHER": "LACKLEDER"
"CUST_COLOR_WHITE": "WEISS"
"CUST_ITEM_CM_PSJ_EYES_M_SHTRGLS": "RAPPER-SONNENBRILLE"
"CUST_ITEM_CF_PSE_UBDY_F_GFXJERSEYCOMBO": "DAMENTRIKOT"
"PLAYER_MORPH_BROW_ELEVATION_TEXT": "BRAUENHÖHE"
"CUST_COMP_EYE_MAKEUP_3": "AUGENKLAPPE RECHTS"
"RIM_188": "C-X 502"
"SLOT_DECAL_10": "AUFKLEBER 10"
"BRIGHT_GREEN": "HELLGRÜN"
"LOGO_NUMBER1": "NUMMER 1"
"LOGO_FEEDSUCK": "FEED DOGS SUCK"
"CUST_ITEM_CF_PSG_LWRST_F_SBAND": "SCHWEISSBAND"
"HAIR_CAT_BALD": "GLATZE"
"VEHICLE_COLOR_JET_BLACK": "RABENSCHWARZ"
"CUST_VARIANT_CLEAR": "KLAR"
"CUST_VARIANT_BAND": "GESCHNÜRT"
"CUST_ITEM_CF_IMPO_LBDY_F_SHORTS": "URBAN SAFARI SHORTS"
"CUST_ITEM_CF_NLMD_LBDY_F_PANTS": "HIPSTER-JEANS"
"SURGEON_CAT_MORPHS": "MORPHS"
"CUST_COLOR_CLOTHING_GREYS_1": "GRAU 1"
"VEHICLE_COLOR_YELLOW_DARK_TINT": "DUNKELGELB GETÖNT"
"CUST_WEAR_LOW_LEFT_ROLLED_RIGHT_ZIPPED": "LINKS HOCHGEKREMPELT, TIEF"
"CUST_WEAR_FINGER_LR": "LINKER RINGFINGER"
"CUST_TATTOO_RIGHT_SHOULDER": "RECHTE SCHULTER"
"CUST_TATTOO_LCALF_3": "SCHWIMM WEITER"
"LOGO_PEACE": "PEACE"
"CUST_VARIANT_WIDOWS_PEAK": "SPITZER HAARANSATZ"
"CUST_VARIANT_MATERIAL_9": "CUST_VARIANT_MATERIAL#9"
"CUST_ITEM_FEMALE_NLM_EARRINGS_1": "HIPPIE-OHRRINGE"
"PLAYER_CREATION_FIGURE_OVERWEIGHT": "ÜBERGEWICHTIG"
"PLAYER_MORPH_CROWN_LENGTH_TEXT": "SCHEITELLÄNGE"
"CUST_INSULT_O": "UNARTIGER JUNGE"
"CUST_MORPH_CAT_CHIN": "KINN"
"PLAYER_MORPH_CAUCASIAN_TEXT": "KAUKASISCH"
"STORE_WEAPON_OWNED_NOT_EQUIPPED": "{0} STUFE {1}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_3": "Erhöhe Schussfrequenz und Schaden."
"RIM_STANDARD": "STANDARD"
"CUST_VARIANT_SMALL_3_STRIPES": "DÜNNE STREIFEN"
"CUSTOM_WALK_FEMALE_5": "HÜPFSTILFRAU"
"CLOTHES_IMPRESS": "IMPRESSIONS"
"CUST_TATTOO_RHAND_8": "HAND_TATTOO_R8"
"CUST_TATTOO_CHEST_3": "TINTENFISCH"
"PAINT_TRIM_AND_RIMS": "LACK, VERZIERUNG UND FELGEN"
"RIMS_AND_TRIM": "FELGEN UND VERZIERUNG"
"CUST_ITEM_CM_LPE_PACK_M_MBACKPACK": "IMPERIUM-RUCKSACK"
"FACIAL_EXPRESSION_INSANE": "VERRÜCKT"
"CUST_COMP_FACE_MAKEUP_8": "LEOPARDENMUSTER"
"LOGO_BAT_1": "FLEDERMAUS 1"
"CUST_VARIANT_BELT": "UNI"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_5": "KLEINE REIFENOHRRINGE"
"CUST_ITEM_CF_IMPQ_WRST_F_LATEXBRACE": "BEEINDRUCKENDES LATEXARMBAND"
"CUST_COMPLIMENT_KING": "DER KÖNIG"
"CUST_MENU_MOVEMENT": "PERSÖNLICHKEIT"
"CANT_WEAR_BELTS": "GÜRTEL KÖNNEN NUR AUF BESTIMMTEN HOSEN GETRAGEN WERDEN"
"PLAYER_CREATION_MENU_4": "HAARE"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_5": "GELBORANGE 5"
"CUST_TATTOO_LHAND_7": "HAND_TATTOO_L7"
"CUST_COLOR_INDIGO_3": "INDIGO 3"
"CUST_COLOR_PURPLE_2": "LILA 2"
"CUST_ITEM_TOILET": "TOILETTE"
"CUST_ITEM_LEATHER_LACE_FEMALE_S": "DUNKLE JUNGFRAU"
"CUST_ITEM_CM_PSF_LBDY_M_BSHORTS": "FREIWURF-SHORTS"
"PLAYER_MORPH_SATURATION_TEXT": "SÄTTIGUNG"
"CUSTOMIZATION_TITLE": "SPIELERMODIFIZIERUNG"
"CUST_COLOR_CLOTHING_VIOLET-RED_9": "VIOLETTROT 9"
"CUST_COLOR_CLOTHING_BROWNS_8": "BRAUN 8"
"VEHICLE_COLOR_BRETON_GREEN": "BRETON-GRÜN"
"LOGO_FUZZ": "FUZZ"
"CUST_VARIANT_CAMOUFLAGE": "TARNMUSTER"
"CUST_ITEM_CF_HAIR_CORNROWS_1": "CORNROWS PASSEND ZUR HAUT"
"CUST_ITEM_CM_NLMA_HAT_M_SPHAT": "LINCOLN-HUT"
"CUST_SKIN_GOLD": "GOLD"
"CUST_COMP_MALE_EYEBROWS_5": "KRANKES GENIE"
"COMPONENT_OPTION_8": "OPTION 8"
"HAIR_COLOR_ORANGE_MATTE": "MATTORANGE"
"LOGO_RUSTY_S_NEEDLE_2": "RUSTY'S NEEDLE 2"
"CUST_WEAR_UNBUTTONED_HOOD_UP": "OFFEN, KAPUZE AUF"
"CUST_ITEM_CM_IMPE_HAT_M_PAN_FEDORA": "SOUTH BEACH FEDORA"
"CUST_ITEM_CF_LLK_FOOT_F_LATEXBOOTS": "HEISSE STIEFEL"
"CUST_ITEM_CM_LPG_MASK_M_MASKAPE": "AFFENMASKE"
"PLAYER_OLD_TEXT": "ALT"
"PLAYER_MORPH_CHIN_CREASE_TEXT": "KINNFALTEN"
"PLAYER_MORPH_BROW_HEIGHT_TEXT": "AUGENBRAUENHÖHE"
"CUST_TATTOO_NECK_8": "SCHWARZER SCHWAN"
"HAIR_COLOR_BLACK_MATTE": "MATTSCHWARZ"
"LOGO_NUMBER_13": "NUMMER 13"
"CUST_ITEM_CF_SUIT_CYPHERSUIT": "ULTOR ATTENTÄTER"
"CUST_ITEM_CF_NLMC_LBDY_M_SKIRTPANTS": "GOTH-ROCK MIT HOSE"
"CUST_ITEM_CM_HAIR_CAESAR": "DER RÖMER"
"CUST_FACIAL_EXP_BASHFUL": "SCHÜCHTERN"
"CUST_COLOR_CLOTHING_ORANGE_2": "ORANGE 2"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_UNZIPPED": "BEIDE OFFEN, HOCH"
"CUST_ITEM_CF_DLC_WP_UBDY_F_UPPER": "KRIEGERPRINZESSIN OBEN"
"CUST_ITEM_CF_NLMH_PACK_F_CATBACKPACK": "BÖSE MIEZE"
"PLAYER_MORPH_NOSTRIL_ELEVATION_TEXT": "NASENFLÜGELHÖHE"
"PLAYER_MORPH_LOWER_LIP_SHAPE_TEXT": "UNTERLIPPENFORM"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_2": "Erhöhe den Schaden.Ein Leuchtpunktvisier verbessert die Zielgenauigkeit."
"VEHICLE_COLOR_RED_DARK_TINT": "DUNKELROT GETÖNT"
"RIM_180": "SD DCY15"
"LOGO_NUMBER9": "NUMMER 9"
"LOGO_SAINTSBEER": "SAINTS BIER"
"CUST_VARIANT_HEARTS": "HERZEN"
"CUST_VOICE_ZOMBIE": "ZOMBIE"
"CUST_SEX_APPEAL": "SEX-APPEAL"
"CUST_VARIANT_STRETCH_TOP": "STIL 1"
"CUST_TATTOO_LEFT_LEG": "LINKES BEIN"
"CUST_MENU_COLOR": "FARBE"
"PLAYER_CREATION_FIGURE_SLENDER": "SCHLANK"
"PLAYER_MORPH_EAR_INSIDE_TEXT": "INNENOHR"
"CUST_TATTOO_RFORARM_1": "YING YANG"
"VEHICLE_COLOR_WILDLIFE_GREEN": "WILDGRÜN"
"CUST_VARIANT_NAILS_B": "NÄGEL 2"
"CUST_ITEM_CM_SUIT_NORMALTESTSUIT": "NORMALER TESTANZUG"
"SLOT_SEATS": "SITZE"
"CUST_VARIANT_PATTERN2": "STIL 2"
"CUST_ITEM_BLOWUPDOLL": "AUFBLASPUPPE"
"CUST_ITEM_MALE_NLM_OUTFIT_C": "CHILL-STYLE"
"PLAYER_MORPH_NOSTRILS_ELEVATION_TEXT": "NASENLOCHFORM"
"PLAYER_MORPH_CHIN_BULGE_TEXT": "KINNWÖLBUNG"
"CUST_VARIANT_PATTERN_1": "STIL 1"
"CUST_INSULT_G": "SCHEIBENWISCHER"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_SIZE_TEXT": "OBERLIPPENMITTELGRÖSSE"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_2": "Erhöhter Schaden."
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_3": "Erhöhe die Magazingröße."
"CUST_TATTOO_RCALF_4": "VERGISSMEINNICHT"
"CUST_TATTOO_LARM_3": "BRUDERSCHAFT"
"CUST_TATTOO_LUPPARM_1": "BUMM MACHT DAS DYNAMIT"
"CUST_COMP_FACE_FRECKLES": "SOMMERSPROSSEN"
"CUST_COMP_FEMALE_EYEBROWS_3": "AUFGEMALT"
"COMPONENT_ADD_TIRE_DURABILITY": "REIFENHALTBARKEIT"
"SLOT_FAIRINGS": "VERKLEIDUNG"
"LOGO_RHOMBUS": "RHOMBUS"
"CUST_VARIANT_THICK_TRI_COLOR": "DREIFARBIG, DICK"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR": "BAD-BOY-OUTFIT"
"CUST_CAT_RING": "RINGE"
"CUST_INSULT_JERK": "WICHSER"
"CUST_COLOR_CLOTHING_GREYS_9": "GRAU 9"
"BRIGHT_YELLOW-GREEN": "HELLGELBGRÜN"
"CUST_VARIANT_CMSHO_UUTIBOOT01": "LEINEN"
"CUST_VARIANT_STRIPES_1": "STREIFEN 1"
"CUST_VARIANT_BEADS": "PERLEN"
"CUST_ITEM_CM_LLK_UBDY_M_BATHROBE": "BADEMANTEL"
"CUST_UNDERWEAR": "UNTERWÄSCHE"
"CUST_SKIN_ORC": "ORKGRÜN"
"CUST_VARIANT_09_DEFAULT": "VARIANTE 9"
"CUST_VARIANT_PLAID_1": "KARIERT 1"
"CUST_VARIANT_MATERIAL_1": "CUST_VARIANT_MATERIAL#1"
"CUST_WEAR_FINGER_RI": "RECHTER ZEIGEFINGER"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHRTTIE": "HIGH SOCIETY"
"CUST_ITEM_FEMALE_PS_EARRINGS_1": "FLEUR DE SAINTS-OHRRINGE"
"CUST_COMPLIMENT_H": "HAUSPARTY"
"CUST_ITEM_CF_LPH_UBDY_F_VARSITYCHEER": "TEAM-SHIRT"
"VEHICLE_COLOR_BAY_YELLOW": "BAY-GELB"
"RIM_184": "V-F 603"
"CUST_VARIANT_MATERIAL_24": "CUST_VARIANT_MATERIAL#24"
"CUST_ITEM_CM_PSE_EYES_M_SHADES": "GANGSTER-SONNENBRILLE"
"CUST_ITEM_BIKER_HELMET": "GANGSTER-HUT"
"FACIAL_EXPRESSION_ROGUISH": "RÄUBERISCH"
"FACIAL_EXPRESSION_FEARFUL": "ÄNGSTLICH"
"CUST_BRO_TAUNT_A": "BRUDERSCHAFT-SPOTTGESTE 1"
"VEHICLE_COLOR_BELIZE_GREEN": "BELIZE-GRÜN"
"MALE_OVERWEIGHT": "MÄNNLICH, ÜBERGEWICHTIG"
"CUST_RACE_ASIAN": "ASIATISCH"
"CUST_ITEM_CF_IMPR_FOOT_F_HEELS": "HOCHHACKIGE SCHUHE"
"CUST_ITEM_MALE_NLM_OUTFIT_G": "INDIE UND UNVERSTANDEN"
"CUST_ITEM_CF_BOBINEYE": "PONY IM AUGE"
"FACIAL_EXPRESSION_SNEER": "FEIXEND"
"PLAYER_CREATION_FIGURE_BODYBUILDER": "BODYBUILDER"
"CUST_TATTOO_RFORARM_5": "DIE LILA FEE"
"CUST_COMP_FACE_MOLE_4": "LEBERFLECK 4"
"CUST_VARIANT_MATTE": "MATT"
"CUST_VARIANT_THE_FADE": "VERBLASST"
"CUST_ITEM_CM_LPC_UBDY_M_HEROFALCON": "FALCONMAN"
"CUST_CAT_NECKLACE": "KETTE"
"CUST_SKIN_GREY_4": "STEINGRAU"
"PLAYER_MORPH_CHIN_DIMPLE_TEXT": "KINNGRÜBCHEN"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_2": "Erhöhe die Größe deiner Magazine und den Schaden. Ein Leuchtpunktvisier verbessert die Zielgenauigkeit."
"CUST_TATTOO_LARM_7": "NINJA"
"CUST_TATTOO_LUPPARM_5": "FÜR IMMER UND EWIG"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_3": "NEON TANGA"
"CUST_ITEM_CM_PSC_LBDY_M_DICKIES": "ARBEITSHOSE"
"SLOT_SIDE_SKIRT": "SEITENSCHÜRZE"
"CUST_VARIANT_CHILD_RWRIST": "STIL 2"
"CUST_VARIANT_LARGE_PLAID": "GROSSE KAROS"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_ROLLED": "L. offen, r. hochgekrempelt, tief"
"CUST_INSULT_C": "WESTBOUND UND WEITER"
"PLAYER_MORPH_NOSTRIL_THICKNESS_TEXT": "NASENFLÜGELDICKE"
"PLAYER_MORPH_CHEEKBONE_ELEVATION_TEXT": "WANGENKNOCHENERHÖHUNG"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_3": "Erhöhe deine Magazingröße. Füge einen dritten Lauf hinzu, um noch mehr Schaden anrichten zu können."
"VEHICLE_PAINT_INTERIORS": "INNENAUSSTATTUNG"
"COMPONENT_OPTION_11": "OPTION 11"
"SLOT_DECAL": "AUFKLEBER"
"CUST_COLOR_GREEN_1": "GRÜN 1"
"LOGO_FISH": "FISCH"
"CUST_VARIANT_BONES": "VOODOO"
"CUST_VARIANT_MATERIAL_5": "CUST_VARIANT_MATERIAL#5"
"CUST_ITEM_CF_DLC_SUIT_F_BCAN": "BLUTIGES-STIFTSFRÄULEIN-OUTFIT"
"CUST_ITEM_CF_RING_F_ROCKERSET": "HEAVY-METAL-RINGE"
"CUST_ITEM_CM_NLMG_LBDY_M_LOOSEPANTS": "GANGSTER-HOSE"
"CUST_COMPLIMENT_L": "ICH GLAUBE DRAN"
"PLAYER_MORPH_CHEEK_CREASE_TEXT": "WANGENFALTEN"
"CUST_VARIANT_01_DEFAULT": "VARIANTE 1"
"CUST_ITEM_CF_LLJ_FOOT_F_BIKERBOOTS": "OLD LADY BIKER-STIEFEL"
"CUST_CAT_MAKEUP_FOREHEAD": "STIRN"
"SLOT_LIGHT_COVERS": "SCHEINWERFERABDECKUNG"
"CUST_ITEM_CF_LLJ_UBDY_F_LTHRJCKT": "BIKERBRAUT-LEDERJACKE"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_1": "DIAMANTSTECKER"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_4": "GELBGRÜN 4"
"CUST_TATTOO_CHEST_7": "FRÖHLICHER REGENBOGEN"
"LEVEL_2": "STUFE 2"
"CUST_VARIANT_BABYT_OG": "OG"
"CUST_ITEM_MALE_GATSUIT": "JOHNNY GAT MASKOTTCHENANZUG"
"CUST_ITEM_CM_NLMC_LWRST_M_WRISTBANDS": "LOVE2RAVE-PERLEN"
"CUST_ITEM_FEMALE_LL_EARRINGS_2": "WAHRE LIEBE-STECKER"
"CUST_ITEM_CM_LPH_UBDY_M_PIRATESHIRT": "KAPITÄNSHEMD"
"PLAYER_MORPH_FACE_WIDTH_TEXT": "GESICHTSBREITE"
"CUST_COMP_EYES_BLUE": "BLAU"
"SLOT_INTERIOR": "INNENAUSSTATTUNG"
"PAINT_4": "LACK 4"
"CUST_ITEM_CF_NLMH_RWRST_F_WRISTBANDS": "RAVER-ARMBÄNDER"
"CUST_VOICE_FEMALE_BLACK": "WEIBLICH 2"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_1": "GELBORANGE 1"
"CUST_TATTOO_LHAND_3": "GESCHÜRTER HASS"
"VEHICLE_COLOR_FROSTED_BLUE": "EISBLAU"
"PLAYER_MORPH_GLOBAL_FACE_TEXT": "GESICHT INSGESAMT"
"PLAYER_MORPH_BOTTOM_LIP_EDGES_SIZE_TEXT": "GRÖSSE DER UNTEREN LIPPENRÄNDER"
"CUST_TATTOO_LOWBACK_8": "NIEDRIGER BOGEN"
"SLOT_TRUNK": "LADEKLAPPEN"
"CUST_VARIANT_CHILD_HEMP": "STIL 1"
"CUST_VARIANT_WITH_DECALS": "AUFKLEBER"
"CUST_ITEM_CF_HAIR_LONGHIPONYBANGS": "CHEERLEADER"
"CUST_CAT_FACE": "GESICHT"
"CLOTHES_INSUFFICIENT_FUNDS_TEXT": "Du hast nicht genug Geld, um\nFolgendes zu kaufen: \"%s\"."
"CUST_COMP_MALE_EYEBROWS_1": "DICK, MÄNNLICH"
"COMPONENT_EXTRA_HIGH_PROFILE": "EXTRA HOCH"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS": "IN HOSE, GESCHLOSSEN"
"CUST_ITEM_CF_DLC_EYES_F_BCAN": "BLUTIGES-STIFTSFRÄULEIN SONNENBRILLE"
"CUST_SKIN_GREEN_4": "KLEEGRÜN"
"CUST_MOVEMENT_FACE": "GESICHTSAUSDRUCK"
