"Storye01_In_Crawl_02": "История об истории человечества."
"Story13_In_05_Josh": "Запретная любовь."
"Story01_In_16_Josh": "В очередь, сучка!"
"22_Choice_09_Player": "Не хочу разочаровывать тебя, подонок, но Святые не занимаются терроризмом."
"CTO_Angel01_01_Player_BM": "Черт... Почему ты живешь в такой дыре?"
"Story21_Zscene03_03_Zach": "История Анхеля де ла Муэрте повторяется, и Киллбейн лишается маски! "
"Story01_Zscene01_06_Josh": "А в чем заключается план Б? Мы его просверлим?"
"Story15_In_02_Player_BM": "Тут... уютно."
"Story09_Out_01_Killbane": "Ты о чем вообще думал, Мэтти?"
"Story21_In_10_Bobby": "Сегодня исторический день, Зак! После своего сомнительного проигрыша Киллбейну несколько лет назад Анхель исчез из виду. Если вы поклонник \"Смертельной драки\", дя вас это будет лучшей ночью вашей жизни."
"Story20_In_07_Viola": "Киллбейн никогда не согласится сражаться с Анхелем."
"Story17_In_03_Player_BM": "Почему нет? Я очень похож на Сайруса - останется изобразить только ебаную осанку."
"Story14_In_09_Player_BM": "Где они?"
"Story11_Out_09_Monica": "Вы обеспечите безопасность Джоша Бирка или я найду человека, который сможет это сделать. Понятно?"
"Story17_Zscene01_01_Cyrus": "Кия, я возвращаюсь в Фермопилы, чтобы допросить арестованную. Проследите, чтобы больше к ней никто не подходил."
"Story16_Zscene01_06_Player_BM": "Это здорово. А в реальном мире ты просто сучка с клавой."
"Story16_In_06_Player_BM": "Поехали..."
"Story12_Out_01_Cyrus": "Обыщите тела."
"Story01_In_03_Josh": "Не беспокойся, у меня свои трюки."
"Story17_Mid_05_Kia": "Мне нужно, чтоб вы подписали несколько прототипов, которыми я работаю."
"Story17_In_07_Player_BM": "Да, с тобой и Пирсом. Я проведу вас внутрь."
"Story16_Zscene01_02_Player_BM": "Легко смеяться, когда прячешься, как трус. Выходи!"
"Story07_Zscene03_01_Angel": "Ты же не из громил Лорена."
"Story16_In_02_Player_BM": "Это куда безопасней, чем когда в тебя стреляют."
"SH_Decker_10_Oleg": "Умно..."
"Story08_Out_07_Killbane": "Расслабься. Нам нужна только одна из них."
"Story14_In_05_Killbane": "Был очень рад, Джейн... И, пожалуйста, называйте меня Киллбейн."
"Story10_In_02_Viola": "У нас никогда особо не было возможности поболтать - ты же был научным экспериментом."
"Story16_Zscene02_01_Matt": "Подожди!"
"Story06_Zscene01_03_Oleg": "Это скоростной лифт в подвал... его не поймать."
"Story09_Out_05_Killbane": "Мы беремся за дело всерьез. Мы концентрируемся. Мы не будем просто так выбегать на ринг, мы устроим им Монреальскую подставу."
"Story09_Out_04_Matt": "Мой косяк, дружище. Так что теперь?"
"Story24_Out_03_Player_BM": "Не та строка."
"Story09_Out_06_Killbane": "Да... точно... Теперь слушай..."
"SH_Morningstar02_05_Zimos": "Если это бесплатное порно для всех - я за."
"Story08_Out_05_Kiki": "Филипп не просто так давал думать нам. С этим покончили."
"Story02_In_26_Pilot": "Что тут происхо..."
"Genki_Zach03": "Пройдите через Супер-искристую лабораторию профессора Дженки и получите хорошее настроение и выгоду!"
"SH_Luchadore_02_Angel": "Потеря маски - это самый большой позор для лучадора. Я не могу выкрасть ее обратно - я должен заслужить ее."
"Story10_Out_08_Cyrus": "Спасибо за внимание."
"Story10_In_11_Viola": "Что это за..."
"Story07_In_14_Shaundi": "Вот смотри."
"Story07_In_13_Oleg": "Вы не готовы сражаться с Синдикатом."
"Story01_In_23_Gat": "По мне так сработает."
"CTO_Zimos02_03_Player_BM": "Поскольку мы всего лишь хотим сообщить им, что забираем их бизнес, сомневаюсь, что сделка выгорит."
"Story01_Zscene02_06_Gat": "Забей, с ним все будет в порядке."
"Story21_In_08_Bobby": "ПОГОДИТЕ, О БОЖЕ! ПОСМОТРИТЕ, ЭТО ЖЕ АНХЕЛЬ ДЕ ЛА МУЭРТЕ!"
"Story16_Out_08_Killbane": "Не стесняйся упоминать меня в резюме - я напишу рекомендацию."
"Story15_In_08_Kinzie": "Я могу сделать куда хуже. Если Мэтт подключит декеровскую сеть к центральной электросети, будет... поверь мне, будет плохо."
"Story14_In_10_Kinzie": "Понятия не имею, вещают из неуказанного места."
"Story13_Out_06_Cyrus": "Если бы это было просто, я бы не тратил твое время."
"SH_Morningstar01_03_Player_BM": "Там пара каких-то уродов."
"CTO_Kinzie01_08_Kinzie": "Я не смогу тебе помочь разобраться с Декерами, пока я не узнаю, где они прячутся. Ну я и написал программку, которая позволяет отследить физическое местоположение пользователя, когда он в сети."
"Story21_Zscene01_03_Bobby": "Его пинают, словно мешок с мертвыми щенками."
"Story01_Zscene02_01_Josh": "Эй, ребята, можете отзывать вертолет - я нашел способ открыть сейф!"
"Story21_Out_03_Zach": "Вам понравится - несмотря ни на что, Святые все еще стоят!"
"Story19_In_26_Viola": "Хватит фанатеть."
"Genki_Both05": "НЕЭТИЧНО!"
"22_Choice_07_Kia": "Я не буду вас арестовывать. Это ни к чему не приведет. Я открою остальным глаза на то, что подонки вроде вас делают с невинными людьми."
"Story20_Out_04_Player_BM": "О боже, перестань уже быть такой сукой и подними маску."
"CTO_Pierce02_01_Player_BM": "Это не похоже на те места, что тебе нравятся, Пирс."
"Story07_Zscene01_08_Player_BM": "У нас нет времени, Займос!"
"Story17_Out_13_Kia": "Можно говорить свободно?"
"Story17_Out_01_Player_BM": "Этот попадет в черный список."
"Story16_Out_07_Killbane": "Мэтти."
"Story16_In_03_Kinzie": "После выстрела из пистолета выжить можно. Но если твой разум испытает слишком большое потрясение во время нахождения на стуле, твой мозг умрет."
"Story09_In_04_Player_BM": "Это уже мое дело. А теперь пойдем, хочу познакомиться со своими новыми сотрудниками."
"Story07_In_10_Shaundi": "То, что он сделал с похоронами Джонни... это все сраные границы переходит."
"CTO_Kinzie02_02_Player_BM": "Приятно слышать..."
"CTO_Pierce02_06_Pierce": "...Но ставлю десять кусков на то, что он прячется вон в том здоровенном небоскребе."
"Story23_Out_13_Player_BM": "Точно. Кстати: этому месту понадобится новый мэр... как ты смотришь на государственную должность?"
"Story19_In_17_Oleg": "Вы в метафорическом смысле: помешанные знаменитости, оболваненные народные массы, да?"
"Story19_In_12_Reynolds": "Виола говорит, что Святые - новая кровь в городе. Если это так, я хочу поучаствовать."
"SH_Morningstar01_05_Shaundi": "Заткнитесь и начнем уже."
"Story06_Zscene01_01_Oleg": "Контора Лорена в эту сторону!"
"Story20_In_03_Shaundi": "То есть как, унизить его?"
"Story19_In_22_Player": "Вообще-то, зачистка от нежити - это не наша сфера деятельности, но мы попробуем."
"Story19_In_11_Reynolds": "Извини, милая."
"Story08_In_06_Player_BM": "Он прав. "
"Story01_In_18_Josh": "И вы себя бандой называете? Да вы просто тряпки! Мы все должны быть в дерьме, как..."
"CTO_Kinzie02_06_Player_BM": "Вылезай. С Декерами покончено."
"Story01_Zscene01_08_Josh": "ЧТО?!"
"Story22_OutB_02_Cyrus": "Стоять на месте!"
"Story19_In_21_Reynolds": "Так что скажешь?"
"Story15_Out_01_Player_BM": "У тебя все готово, да?"
"Story13_Out_01_Cyrus": "Кия, ты меня слышишь?"
"Story01_In_20_Player_BM": "Ну, это не совсем то."
"Story01_In_05_Shaundi": "Так что не надо тут Гонконг устраивать."
"Story07_Zscene01_02_Player_BM": "Или просто найти чувака с выложенной на спине искусственными брильянтами буквой Z."
"Story23_Out_02_Newscaster": "Пока правительство никак не прокомментировало эту атаку, у нас уже есть репортаж..."
"Story20_In_10_Pierce": "Расслабься - ты круто будешь смотреться в облегающем костюме."
"Story11_Out_10_Cyrus": "Да, мэм."
"Story08_In_05_Pierce": "Шаунди, Гэта нельзя оплакивать вечно. Пора тебе вновь на коня забраться. Без обид, брат."
"Genki_Bobby04": "За каждого застреленного мужчину, женщину или тигра ваш приз растет. Но будьте острожны! Никому не понравится, если вы застрелите панду!"
"Story19_Out_02_Cyrus": "У нас возникли некоторые... трудности, сенатор."
"Story19_In_07_Reynolds": "Виола, ты про этого человечка говорила?"
"Story08_Out_02_Viola": "Их очень рекомендовали."
"Story07_Zscene01_06_Player_BM": "Вот говно..."
"Story07_Zscene01_03_Pierce": "Да иди ты на хер."
"Story17_Out_09_Monica": "Держите меня в курсе, командир."
"Story15_In_12_Kinzie": "Что-то в этом роде."
"Story10_In_15_Cyrus": "Кия, обстановку..."
"Story02_In_13_Phillipe": "Само собой."
"Story02_In_03_Gat": "Что случилось?"
"Story07_Zscene02_03_Pierce": "Зачем ты заставил меня представить себе это, брат?"
"Story16_In_05_Kinzie": "Я знаю. Все готово?"
"SH_Morningstar02_11_Zimos": "Типа того. Я буду продавать тебя с аукциона как секс-раба."
"Story08_Out_06_Matt": "Боже, Киллбейн!..."
"Story07_In_11_Oleg": "Ему наплевать на правила боя."
"Story02_In_23_Phillipe": "Попрошу вас! Я бельгиец!"
"Story02_In_10_Kiki": "Если позволите..."
"Story07_In_18_Shaundi": "А это еще что за уроды?"
"CTO_Kinzie01_07_Player_BM": "Ну ты даешь, Кинзи."
"Story23_Zscene01_02_Player_BM": "Отличное приземление, Сайрус."
"Story01_Zscene01_02_Shaundi": "Ух..."
"Story23_In_01_Player_BM": "Мы потеряли много друзей, а это всегда непросто. Но мы хотя бы знаем: где бы ни оказался Гэт, у него есть друзья, которые устроят Святому Петру адскую жизнь."
"Story22_In_07_Player_BM": "Что, черт возьми, происходит?"
"Story15_In_13_Kinzie": "Это один из самых мощных учебных компьютеров в Северной Америке... И такой есть у КАБАНа."
"Story22_Zscene01_07_Player": "Херня."
"CTO_Pierce01_04_Player_BM": "И на что же я вижу?"
"CTO_Pierce01_01_Pierce": "Взгляни, босс..."
"Story24_Out_07_Asst_Director": "Так, начинаем заново!"
"Story22_In_04_Player_BM": "Что это?"
"Story20_In_08_Player_BM": "Он больше боится Анхеля, чем меня?"
"CTO_Kinzie01_03_Player_BM": "О. Так у тебя есть что-нибудь на Декеров?"
"Story22_In_03_Player_BM": "В пизду, мы перестали быть корпоративными шлюхами. Так кто побе..."
"Story19_In_03_Player": "Ты серьезно?"
"Story17_Out_04_Shaundi": "А что с КАБАНом?"
"SH_Decker_01_Kinzie": "Объясняю снова, очень медленно:"
"Story13_Out_07_Kia": "Понятно, сэр."
"Story11_Out_01_Josh": "Я Джошуа Бирк. На телевидении я играю Ночного Клинка, исключительного симпатичного, но неправильно понятого вампира, который каждую неделю рискует жизнью и здоровьем , чтобы сделать мир безопаснее."
"Story07_Out_04_Player_BM": "Синдикат должен ответить за то, что сделал... и на этот раз война будет на их поле."
"Story19_In_25_Player": "О боже, этот чувак охуенно крут!"
"Story17_Out_12_Cyrus": "Прекрасно. Спасибо, Кия."
"Story10_In_18_Kia": "Да, командир."
"Story10_In_06_Viola": "Джонни погиб потому, что думал, будто бы он все может делать по-своему."
"Story03_Out_07_Shaundi": "Ты что, о недвижимости беспокоишься? У нас есть пушки - давайте воспользуемся ими."
"Story21_In_09_Zach": "Анхель де ла Муэрте: второй участник \"Бледных Всадников\"; иногда его называли Вестником Ходячего Апокалипсиса. Здесь, на стилпортской арене самый молодой рестлер из всех, что выигрывали Супер-кубок!"
"Story20_In_09_Shaundi": "Не обижайся, но ты сейчас типа выглядишь смешно."
"Story20_In_01_Player_BM": "Ладно, надоело без толку шароебиться, мне нужен Киллбейн."
"Story19_In_23_Player": "А вы не боитесь разозлить КАБАНа?"
"SH_Decker_05_Player_BM": "Чего-чего стул?"
"Story07_Out_06_Killbane": "У ворот варвары - нам нужен генерал, а не посол!"
"Story21_Zscene04_01_Player_BM": "Хочешь пощады? Признай поражение."
"Story19_In_05_Player": "Слушай, дорогуша, я отымею каждого, кого я захочу отыметь."
"SH_Decker_07_Kinzie": "И у Декеров один есть."
"Story15_In_11_Player_BM": "Что тебе нужно?"
"Story08_In_02_Pierce": "Ну, если это так формулировать, то звучит плохо."
"Story07_Out_09_Player_BM": "Поскольку мы не знаем Стилпорт, я привел несколько человек, которые знают. Это Кинзи, Займос и Анхель..."
"Story03_Out_05_Shaundi": "Пошел нахер, я делаю это ради Джонни."
"Story02_In_24_Gat": "Ну так сделай себе вафлю. Мы уходим."
"Story22_Zscene01_01_Player": "Ох, еба-ать!"
"CTO_Kinzie01_09_Player_BM": "Это... круто?"
"CTO_Pierce01_07_Pierce": "Тогда прикрывай мою задницу."
"Story01_Zscene01_03_Gat": "У нас не получится уничтожить эту штуку. Готовы к плану Б?"
"Story22_OutB_13_Player_BM": "Ладно, народ, когда мы начинали выслеживать этого сукиного сына, мы говорили, что пойдем за ним на самый край земли... И мы пошли."
"Story15_In_16_Player_BM": "Минуточку... этот панк - Мэтт?"
"Story07_Zscene01_04_Pierce": "Э-э... вот дерьмо. Зато удобно."
"Story22_OutB_10_Player_BM": "Я тоже тебя люблю, Сайрус."
"Story20_In_06_Player_BM": "Это скорее к Анхелю."
"Story15_In_15_Kinzie": "Проклятье..."
"Story14_In_13_Player_BM": "Уже идем."
"Story01_In_07_Player_BM": "Послушай, Бирк, тут все по-настоящему."
"Story22_OutB_11_Pierce": "Так что будеми делать, босс? Продолжим разбойничать в Стилуотере?"
"Story22_OutB_06_Cyrus": "Вы что, издеваетесь, дамочка?"
"Story20_Out_03_Killbane": "С лучшим? Лучшие дерутся со Богом Пауков Свеем на строительных лесах в Тихуане. Лучшие защищают титул чемпиона мира по 13 раз за ночь. Лучшие умудряются со сломанными ногами выстоять в бою на выбывание... Поверь мне, юный Икар: ты пролетел слишком близко к солнцу."
"Story17_Out_14_Kia": "Самое, черт возьми, время начать действовать всерьез."
"Story10_In_12_Player_BM": "Ничего хорошего, идем!"
"CTO_Kinzie02_09_Kinzie": "Мы устроили нанесли достаточный урон, чтобы чтобы тебе можно было атаковать Мэтта Миллера. Но если ты хочешь, чтоб Декеры исчезли - я имею в виду, исчезли по-настоящему - придется еще изрядно потрудиться."
"Story19_In_19_Player": "Я потом тебе об этом расскажу."
"Story12_In_06_Kid": "Вы не могли бы это подписать?"
"Story07_In_06_Pierce": "Кем бы они ни были, плывут они чертовски хорошо."
"Story06_Out02_01_Player_BM": "Надо что-то сделать с этим розовым цветом."
"Story03_Out_01_Shaundi": "И что теперь?"
"Genki_Zach07": "Но если вы думаете, что это просто, вы плохо знаете Дженки!"
"Story01_Zscene04_01_Player_BM": "Ну... вот говно."
"Story10_Out_06_Reporter_03": "Это не то, о чем я..."
"SH_Morningstar02_08_Player_BM": "Очень разумно."
"Story05_In_02_Player_BM": "В моем бассейне какой-то говнюк."
"Story06_Zscene01_04_Player_BM": "Блядь. "
"Story23_Out_10_Pierce": "Неплохо. Тебе можно было бы про погоду рассказывать или еще какой похожей херней заниматься."
"Story23_In_05_Kinzie": "О боже."
"Story22_Zscene01_06_Killbane": "Никто меня не вспомнит? Ты, блядь, клоун, продаешь энергетические напитки и завтраки. Тебе было насрать на людей, тебя только деньги интересовали. А я изменил это. "
"Story16_Out_09_Matt": "О боже!"
"Story22_OutB_08_Monica": "Я могу ответить на любые вопросы..."
"Story09_Out_02_Matt": "Просто терять всех этих девочек казалось слишком расточительным."
"SH_Morningstar02_06_Player_BM": "Так в чем дело?"
"Genki_Zach09": "Удачи..."
"CTO_Zimos01_05_Player_BM": "Не поспоришь."
"Story17_Out_15_Cyrus": "Два слова, Кия. Потрясение и трепет."
"Story13_In_11_Player_BM": "Хорошо, идем охотиться на кабанов."
"Story07_Zscene02_07_Kinzie": "Я нашел чувака, про которого говорил..."
"Story19_Out_06_Cyrus": "Зомби и Моника Хьюс?..."
"Story17_Out_06_Cyrus": "Ты же знала, что дело дойдет до военного положения, верно?"
"Story16_In_01_Pierce": "Ты готов гондошить всякое в виртуальной реальности?"
"Story15_In_17_Matt": "Этот панк - кибербог, который только что сбил ваш вертолет. Бывай!"
"Story12_In_10_Player_BM": "Так как же нам найти Бирка? Этот чурбан может быть где угодно."
"CTO_Zimos01_01_Player_BM": "Эй, Зай...-"
"Story13_Zscene01_01_Cyrus": "Сдавайся. Мы окружили периметр."
"Story22_In_02_Pierce": "Сообщение от Сутяги Ли. Студия хочет увидеть тебя на пробах на роль в фильме \"Гангста в космосе\"."
"Story21_Out_06_Killbane": "Это моя ебучая репутация!"
"Story17_Mid_09_Pierce": "Что за херня!"
"Story03_Out_03_Shaundi": "Что? Нет, это и мой бой тоже."
"CTO_Angel02_01_Player_BM": "Ебаный тигр?"
"Story10_Out_02_Reporter_01": "Как долго КАБАН будет оккупировать Стилпорт?"
"Story10_In_10_Oleg": "Я всегда веду себя как джентльмен."
"Story02_In_33_Gat": "Это все мелочи - просто прикрой босса! Иди - я разберусь!"
"Genki_Bobby06": "Собрав достаточно денег, вы откроете двери лаборатории и выйдете на свободу."
"Story22_Zscene01_04_Killbane": "О, нет-нет... эта книга написана не так. История Святых оканчивается здесь - не взрывом, но нытьем. "
"Story21_Zscene01_06_Bobby": "О боже, бензопила!"
"Story21_Out_07_Killbane": "Это мой город! Я цезарь!"
"CTO_Angel02_05_Player_BM": "Да что блядь с тобой такое?"
"Story02_Zscene01_02_Gat": "Хорошо, увидимся в Стил..."
"Story13_Out_03_Cyrus": "Не совсем. Святые все еще на свободе. Я отправил людей на разведку..."
"Story22_Zscene01_09_Player": " Чувак, с каким же удовольствием я заткну тебе пасть."
"Story21_Zscene02_01_Player_BM": "Готов к крупному плану?"
"Story01_Zscene02_03_Shaundi": "Джош... ты хочешь, чтобы нас всех посадили?"
"Story24_Out_06_Sci_Fi_Killbane": "В следующий раз получится."
"Story14_In_11_Shaundi": "Ну так, блядь, укажите его."
"Story11_In_03_Pierce": "Черт!..."
"Story24_Out_10_Sound_Guy": "Звук!"
"Story23_Out_06_Player_BM": "Кинзи, ты в будке?"
"SH_Luchadore_01_Player_BM": "Где мы?"
"Story11_In_05_Pierce": "Еще не все. В чем дело?"
"SH_Morningstar02_03_Monica": "Инициатива КАБАН - это веха на пути возвращения нам американских улиц!"
"Story02_In_29_Gat": "Их там с полдесятка? Я возьму их."
"Story23_Out_16_Jane": "Даже в таком месте, не чуждом насилию, сегодняшнее нападение на город станет самой темной странице грязной истории Стилпорта. "
"Story23_Out_05_Player_BM": "Простите..."
"Story20_Out_01_Killbane": "Дамы и господа... Стилуотерский Мясник почтил нас своим присутствием."
"Story14_In_08_Anna": "Мы все поняли."
"Story06_Out02_02_Oleg": "Предпочитаешь более мужские оттенки, типа голубого?"
"Genki_Bobby08": "И еще кое-что. На нашем шоу отдыхать не полагается! Если вы не хотите свалиться с ног, стреляйте по аптечкам."
"SH_Decker_08_Oleg": "Невероятно. Как он могли замаскировать сигнал?"
"SH_Morningstar02_13_Zimos": "Ой, не будь гондоном и залезай в машину."
"Story07_In_07_Oleg": "Это головорезы Киллбейна."
"CTO_Kinzie02_10_Player_BM": "Ладно, я обращусь к тебе, если понадобится твоя помощь."
"Story16_Zscene02_05_Player_BM": "Как-то все смутно, Мэтт, придумай чего получше."
"Story23_Out_01_Player_BM": "Кинзи, собирай всех Святых, что сможешь найти... отправляемся на производственную практику."
"Story22_OutA_03_Pierce": "И что, оно того стоило?"
"Story17_Out_03_Viola": "Теперь можно заняться Киллбейном."
"SH_Decker_09_Kinzie": "Они держат его здесь."
"Story10_In_17_Cyrus": "Ясно. Свяжитесь, когда зачистите район."
"Story08_Out_04_Kiki": "Скажи-ка мне, Мэтт, одну вещь. У тебя был план? А у тебя, Эдди?"
"Story08_In_04_Shaundi": "Богом клянусь, я тебе эту штуку в глотку запихаю."
"Story07_Out_08_Killbane": "Как ты меня назвала?"
"Story14_Out_04_Player_BM": "Я чего делаю, я блядь не понимаю!"
"Story11_Out_06_Cyrus": "Войны выигрывают потрясения и трепет, сенатор. Санкционируйте применение \"Дедала\" - и всему будет положен конец."
"Story07_In_17_Monica": "Вы можете в это поверить? На мосту моего мужа! Нет, нет, я успокоюсь. Я возвращаюсь на Капитолийский холм. Немедленно объявите чрезвычайное заседание. Черт побери, это война!"
"Story01_Zscene02_05_Shaundi": "Мне пойти за ним?"
"Story14_Out_07_Player_BM": "Я знаю, я знаю. Это не твоя вина, случилось что-то странное..."
"Story14_Out_03_Shaundi": "ПРОКЛЯТЬЕ! ТЫ чего делаешь!"
"Story05_Out_02_Killbane": "Мэтти, беспокоиться не о чем."
"22_Choice_04_Player": "Анхель, черт, ты просто продержись, пока я не доберусь."
"Story03_Zscene01_01_Pierce": "...Люблю выходить на сцену."
"Story23_Out_07_Kinzie": "Все готово."
"Story19_Out_07_Cyrus": "Вот говно."
"Story17_Mid_01_Pierce": "В следующий раз ты будешь ебаным арестантом."
"Story10_In_13_Viola": "Черт!"
"Story01_In_13_Gat": "Бирк!"
"Story08_In_10_Pierce": "В чем дело, девочка?"
"CTO_Kinzie02_07_Kinzie": "Конечно, немного ослабь защиту - и внезапно они сделают так, будто бы ты продаешь секреты Моссаду и подрабатываешь БДСМ-госпожой."
"SH_Morningstar02_07_Zimos": "Ты у меня на крючке, чувак."
"CTO_Kinzie02_01_Kinzie": "Будь осторожнее. Я тебя заметил два квартала назад. В этом городе повсюду камеры."
"Story21_Out_08_Killbane": "...и я буду играть на скрипке, пока он горит..."
"Story13_Out_04_Cyrus": "Мне нужно какое-то средство против Святых. Приведи объект для допроса."
"Story13_In_09_Oleg": "Позволь мне, мой друг."
"Story07_Out_02_Matt": "Виола и Кики были первыми помощницами мистера Лорена. Не стоит ли именно им..."
"22_Choice_02_Player": "Анхель..."
"Storye01_In_Crawl_10": "И то, что одна из них решила бросить вызов Святым, было просто вопросом времени. "
"Story17_Out_05_Pierce": "Мы только что взорвали авианосец... Что еще они против нас бросят?"
"Story07_Out_11_Killbane": "Что-нибудь. Что угодно! Пока я не начал задумываться, зачем вы мне вообще нужны."
"Story05_In_01_Pierce": "Ты о чем думаешь?"
"CTO_Zimos01_08_Zimos": "Я здесь, чтобы помочь. Я знаю каждую тропку, на которой работает \"Утренняя звезда\". Мы можем отстроить собственный бордель и в то же время насолить сестрам ДеВинтер."
"Story01_Zscene01_09_Josh": "Это не круто, чувак!"
"Story15_In_01_Kinzie": "Можешь включить свет."
"Story13_In_10_Pierce": "Ты это специально."
"Story12_In_08_Pierce": "Чувак, это комикс про Джонни... Он продал свой образ Ультору, они делают из этого дерьма кино."
"Story02_In_05_Gat": "Да нет же, с нами что случилось? Бирк прав - занимаемся какой-то херней. Серьезно... Кино? Реклама? Когда-то слово \"Святые\" означало куда больше, чем какой-то дезодорант и дерьмовый энергетический напиток."
"Story01_In_09_Gat": "Черт, да. Кто ж не хочет стать Джонни Гэтом?"
"Genki_Zach01": "Привет, Стилпорт, и добро пожаловать на Супер-этическую Кульминацию Реальности профессора Дженки."
"Story01_Zscene02_07_Shaundi": "Берем вертолет и увозим отсюда сейф."
"Story22_Zscene01_08_Killbane": "Запомни мои слова: когда эти руки сожмут твою глотку, твоими последними словами будет не обращение к господу и не выражение своей любви к семье. Это будут слова, \"Спасибо, Киллбейн\". "
"Story21_Zscene01_01_Bobby": "О БОЖЕ, Анхель вылетает с ринга!"
"Story16_Zscene02_02_Matt": "Я могу обелить твое имя, доказать, что уничтожение моста - не твоих рук дело."
"Story01_In_19_Josh": "ЧЕРТ!"
"Story01_In_27_Shaundi": "Улыбочку!"
"Story02_Zscene01_03_Shaundi": "Джонни..."
"Story22_OutB_07_Monica": "Вы объявили военное положение и разнесли полгорода. А Святые только что спасли ценный памятник. И как вы, блядь, думаете, на чьей стороне будет общественность?"
"Story15_In_14_Matt": "Спасибо за подсказку, агент Кенсингтон."
"SH_Morningstar02_10_Player_BM": "Так мне что, притвориться эксцентричным миллионером?"
"Story13_In_07_Player_BM": "Шаунди, постарайся быть милой."
"Story10_In_01_Oleg": "А я и не знал, что ты покровительствуешь искусствам, Виола."
"Story07_In_15_Player_BM": "Успокойся, Шаунди. Хорошо, здоровяк, к чему ты ведешь?"
"Story07_In_05_Killbane": "Самое время для гвоздя программы, ребята."
"Story02_In_04_Shaundi": "Нас арестовали."
"22_Choice_10_Kia": "Посмотрим, кому поверят люди, когда в развалинах найдут трупы Шаунди и Виолы."
"Story21_Zscene04_03_Zach": "Ходячий Апокалипсис позвол сломать себе руки, не признав поражения, однако Стилуотерский Мясник совершил невозможное!"
"Story16_Zscene02_04_Matt": "Да у меня весь мир на кончиках пальцев - в буквальном смысле."
"Story19_In_10_Player": "Сэр, я прямо фанатею."
"SH_Decker_12_Kinzie": "Мне нужен этот стул, чтобы остановить Декеров."
"Story07_In_12_Player_BM": "Никаких правил? Меня это устраивает."
"Story19_Out_03_Monica": "Трудности?! Не надо мне рассказывать про трудности - мне нужны результаты!"
"Story11_Out_05_Monica": "Войны выигрывают умы и сердца, милая моя."
"Story10_In_09_Player_BM": "Ты сможешь прикинуться, будто все в порядке?"
"Story02_In_11_Phillipe": "Снимай."
"Story01_In_17_Shaundi": "Эй, не будь ты таким..."
"CTO_Kinzie01_06_Kinzie": "Персов качал."
"Story19_Out_05_Monica": "Даже если Конгресс согласится, Министерство национальной безопасности нам никогда этого не позволит! Дело выходит из-под контроля. Я еду в Стилпорт!"
"Story17_Out_02_Pierce": "Кажется, мы перестарались."
"Story21_Zscene03_04_Bobby": "Мы видели лицо Ходячего Апокалипсиса, и, честно говоря, это человек с редеющими волосами."
"Story01_Zscene02_04_Josh": "Что? Я не хочу быть чьей-то сучкой!"
"Story01_Zscene01_04_Player_BM": "Джош, иди сюда..."
"Story16_Out_05_Killbane": "Я требовательный работодатель, Мэтти, я ценю, что ты поделился со мной своими заботами. Просто из-за того, как Виола и Кики обставили свой... уход, мне захотелось убить кого-то, понимаешь?"
"Story11_In_01_Player_BM": "Собирайтесь, пора идти."
"Story10_In_07_Player_BM": "Так чего ты хочешь?"
"Story02_Zscene01_01_Shaundi": "Джонни, мы собираемся прыгать!"
"Story11_In_06_Player_BM": "Здесь небезопасно. Вы, ребята, уходите. Я попробую выиграть вам немного времени."
"Story10_In_14_Oleg": "Дамы вперед."
"Story14_Out_09_Shaundi": "Учись, блядь, летать!"
"Story19_Out_04_Cyrus": "Вы хотите результатов? Тогда дайте нам разрешение на использование \"Дедала\"!"
"Story15_In_06_Kinzie": "Мэтт, наверное, взломал бортовой компьютер, а потом поджарил его электромагнитным импульсом."
"Story10_In_03_Player_BM": "Я бы не стал злить этого амбала."
"Story07_In_16_Oleg": "Есть и другие люди, которые ненавидят Синдикат не меньше вашего. Я отведу вас к ним."
"Story02_In_21_Kiki": "До вычета налогов, само собой."
"Genki_Bobby02": "Прослушайте правила игры!"
"Story13_Zscene01_04_Cyrus": "Не выйдет. Задача КАБАНа - уничтожить банды в Стилпорте. Но где сосредоточить огневую мощь - дело мое. Отпустите Бирка - и мы можем на некоторое время пойти погромить Синдикат... и дать вам время для передышки."
"Story22_OutB_01_Player_BM": "Пойдем домой."
"Story17_Mid_08_Cyrus": "Спасибо."
"Story17_In_08_Player_BM": "Начинаем."
"SH_Decker_13_Player_BM": "Спасибо."
"Story15_In_03_Pierce": "Не вижу кровать."
"Story08_Out_01_Killbane": "ШЛЮХИ-УБИЙЦЫ?"
"Story02_In_32_Shaundi": "Джонни, ты же даже с радиоуправляемой машинкой не справляешься - куда тебе за штурвал садиться?"
"Story16_Zscene02_06_Matt": "Ты говоришь мне название компании - и она становится собственностью Святых. Ты получаешь свою империю, а я - возможность уйти."
"SH_Luchadore_04_Angel": "Нам нужно покалечить много людей."
"Story14_In_01_Player_BM": "В чем дело?"
"Story05_Out_03_Phillipe": "И я так думаю, господин Киллбейн."
"Story01_In_15_Player_BM": "Вы все знаете, что делать."
"CTO_Angel01_03_Player_BM": "Как бы тебе это ни помогало, я лишь говорю, что мне нравится, когда дома комфортно."
"Story17_Out_10_Cyrus": "Само собой, мэм."
"Story10_In_04_Viola": "Слушайте, я тут не для того, чтобы драться. Мы должны сотрудничать."
"SH_Morningstar02_02_Monica": "Совершившие этот террористический акт будут найдены и призваны к ответу."
