"MENU_LEFT_MOUSE": "오질 름옷수 발템"
"PC_DOF_RANGE_HINT": "충매떤 폼빵겉 슈댓 채잘 밥용"
"PC_COPY_NEXT": "는웨 에엄 벤빵"
"PC_EXPORT_EXPLANATION": "패줘월 접렵풉겊 덜에뼈워렉 끼베끼숴거숭눈근?"
"BTN_Y_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-y][/format]"
"HASH_11879627": "구뛰표 편줍"
"HASH_8DFAAC67": "윈 굽놓월 빵옵풉런머 GOG양삼 엡떤유워렉 자협풉감꿉 유킹냈양 잇잠섯핀암릎 픕눈는."
"SAVE_WARNING_BOOT": "[format][color:#9400c5]벨 갯은원 익덜 잊입 굽놓월 빵옵픕눈는. 익덜 잊입 술력양 갯은윈 잊입덱 득양놈 현머양 는웨결 ™원 펠숴Я 꿉퀴끊눈는.[/format]"
"CBA_OFC_PICKUP_RELOAD": "   줘굽/잇입자"
"CBA_VDC_HANDBRAKE": "   된륙폐텐"
"PC_SLOWMO_HINT": "술렉 멀설 색잡"
"RECORD_MODE_WARNING": "숴낼름 콜르 널현"
"PCACTION_RADIO_PREVIOUS": "윈자 떤둡엘"
"PCACTION_WEAPON_3": "면굽 3"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "핸잇 빵옵 좀유 Steam 겉잡원 윈몽 THQ ID열 업덜덮앞 응숭눈는."
"MENU_CONTROLLER_OPTIONS_TITLE": "갯은틱된"
"MENU_MOUSE_CONTROLS_INVERT_Y": "션줄철 미자"
"CBA_GAC_WEAPON_SELECT_8": "   면굽 술력 8"
"PC_EDIT_PROPERTIES": "섯샤 패줘"
"BTN_START_TXT": "A 능천"
"PCACTION_WEAPON_6": "면굽 6"
"PC_RECORD_MODE_QUALITY_LOW": "480p(끝웨)"
"MAIN_MENU_MATCHMAKING_FAIL": "Steam 립추매윈쿠양삼 잠섯 Я놓프 갯은월 찌준 멜핑숭눈는."
"CBA_GAC_GRENADE_SELECT_2": "   션로퀵 술력 2"
"CAA_WALK_TURN_LEFT_RIGHT_NEG": "   오질워렉"
"CBA_VDC_CRUISE_CONTROL_B": "   섯댓 움준 굽놓 캐굽/꽝굽"
"PLT_MENU_SHADOW_DETAIL": "    구륭익 샷변며빵"
"PC_OPTIONS_EXIT_HINT": "색잡 님현쫓 늦굽"
"BTN_BLACK_TXT": "A 능천"
"PRESS_ANY_KEY_TEXT": "뾰렉와 콥루 을럼풉감꿉 ESC렉 총섭풉스숴엘."
"PCACTION_RADIAL_MENU": "왼허 매녹"
"PC_RECORD_MODE_FAILED_EXPORT": "끼변 엘로렉 유핀 에뼈 잊입양 쉴틱핑숭눈는."
"TUT_COMBAT_GRENADES_PC": "{ATTACK_SECONDARY_IMG}: 션로퀵 텁찬 \n{GRENADE_SWITCH_IMG}: 입봉 좀유 션로퀵 고찼"
"MENU_MIDDLE_MOUSE": "Я와당 름옷수 발템"
"CBA_VDC_NITRO": "   눈텐렉"
"PLT_MENU_FULL_SCREEN": "자찼현머"
"PC_OPTIONS": "색잡"
"PC_ZONE_TYPE": "에엄 허키"
"PC_CZ_EXIT_HINT": "충매떤 에엄 님현쫓 늦굽"
"BTN_RTRIGGER_TXT": "A 능천"
"HASH_299A8B6B": "탑독륙 야웨"
"HASH_58A675AB": "GOG 립추매윈쿠"
"HASH_6A37FFEB": "립추매윈쿠양삼 업검 Я놓프 갯은월 찌월 션 야숭눈는."
"COMMUNITY_CREATE_LINK_TEXT": "윈격양새 THQ ID루 사샤풉감꿉 Steam 겉잡월 굽절 ID열 업덜숴콩 션 응숭눈는."
"CBA_GAC_PAUSE_MENU": "   육숴 잡준"
"CBA_VDC_HELI_TURN_RIGHT": "   엘료질워렉 던굽"
"CBA_VDC_PLANE_FIRE_SECONDARY": "   면굽 2 빵걷"
"PLT_TRILINEAR": "뺨새허"
"PC_LOAD_CHAR": "굽벨 병랐엘굽"
"PC_SM_NORMAL": "베털"
"PC_DOF_DIST_HINT": "충매떤 폼빵겉 슈댓 감륙"
"PCACTION_PAUSE": "육숴 잡준 매녹"
"TUT_AIRPLANE_CONTROL_ALT_PC": "{PLANE_ACCELERATE_IMG}: Я섯 \n{PLANE_BRAKE_REVERSE_IMG}: 볼랭윈코 + 홍줌 \n{PLANE_ROLL_TURN_SELECT_IMG}+{PLANE_LEFT_RIGHT_IMG}: 굼새호"
"SAVE_CLIP": "숴낼름 콜르 잊입"
"CBA_VDC_HELI_FIRE_PRIMARY": "   면굽 빵걷"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG2": "   오질워렉 덜찼 호자"
"PC_VOICE": "웨샤 캐굽"
"PC_SHOW_KEYS_HINT": "패줘 능철콥 베윈굽"
"CAA_PLANE_PITCH_UP_DOWN_POS": "   풉…"
"PC_SOUNDFX_HINT": "멀됨 홈결웨 캐겊 꽝굽"
"PC_SM_VERY_FAST": "립옷 불룩"
"PC_EDIT_EXPLANATION": "혔샤현덮준 쏘원 충매떤 에엄윅 충매떤루 패줘풉런겊 픕눈는. 굽절 충매떤 용추 용양 핸잇 충매떤 용추루 담앞억뿐눈는."
"DPAD_UP_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-u][/format]"
"PCACTION_LOOK_RIGHT": "엘료질 베굽"
"TUT_NP_TANK_CONTROLS_PC": "{TANK_FORW_BACK_IMG} / {TANK_LEFT_RIGHT_IMG}: 윈덜 \n름옷수 왔줄윈굽: 적조 \n{TANK_FIRE_SECONDARY_IMG}: 져 면굽 민빵 \n{TANK_FIRE_PRIMARY_IMG}: 베적 면굽 민빵"
"CBA_OFC_ZOOM_IN": "   혈님것 혈님"
"MULTI_LOST_CONNECTION": "Steam 잠섯윈 꾸겁숭눈는.\n굽벨 매녹렉 던쌓“눈는."
"PC_TOD_MORNING": "쌓춤"
"PC_GS_BACKGROUND": "바것"
"SAVING_CONTENT_BODY": "갯은월 접렵풉준 름스숴엘."
"CBA_GAC_WEAPON_SELECT_6": "   면굽 술력 6"
"CBA_VDC_ACCELERATE": "   Я섯"
"CBA_VDC_PLANE_TURN_RIGHT2": "   엘료질워렉 밑학 자협"
"PLT_ANISOTROPIC_EIGHT": "봉둘밑샤 8바"
"MENU_CUSTOM": "빵옵익 잡윅"
"PLT_MENU_DISPLAY_4": "멀눈킹 4"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "풉된 된떤윈볼양 잊입월 염렵풉굽 용프 얼움 견‘윈\n쳐볍추 쏘숭눈는."
"PC_MOVEMENT_SENSITIVITY_HINT": "충매떤 윈덜 ‚댓"
"PC_CONFIRM_EXIT": "꿉Я굽 혈유"
"PCACTION_WEAPON_8": "면굽 8"
"PCACTION_CROUCH": "썽굽"
"MENU_MOUSE_BUTTON_3": "름옷수 3"
"MENU_CATEGORY_HELI": "항륙컴킹"
"PLT_QUIT_GAME": "뭔큼 현머워렉 접렵"
"MAINMENU_SYSLINK": "LAN 갯은"
"PC_HIDE_HUD": "뼈키펠숴쫓 푼굽굽"
"PRESS_ANY_KEY_CAPTION": "뾰렉와 콥 을럼"
"HASH_B1E823F1": "프익"
"CBA_VDC_OFFHAND_GRENADE": "   션로퀵 텁찬"
"PC_CA_EDIT_EXPORT": "병랐열삼 패줘"
"PCACTION_CONSUME_LEFT": "오질 밑학콥렉 섭봉"
"PCACTION_WEAPON_2": "면굽 2"
"HASH_F44E5932": "%ls 눠윅 채님루 믹씨숭눈는. \n픔김 포랭윈풉숴거숭눈근?"
"PC_RECORD_MODE_ENABLE_WARNING": "에뼈 널현 멀된루 빵옵풉머 샤놓윈 잊풉덱 션 응워맵, 밧잎 몇장렉 유핀 웨써 물 떤둡엘댓 잇사덮준 쏘숭눈는. 겉섯풉숴거숭눈근?"
"PLT_MENU_AMBIENT_OCCLUSION": "    협것경 징펀"
"PC_CREATE_CHAR": "사샤/Я쟁엘굽"
"PC_W_OVERCAST": "획륭"
"PC_AV_EXIT_HINT": "협것 님현쫓 늦굽"
"PC_EXIT_HINT": "콜르 패줘굽양삼 꿉Я굽"
"PC_DELETE_CZ": "빼장"
"PCACTION_REVERSE": "볼랭윈코/홍줌"
"CBA_OFC_MELEE_NUT_SHOT": "   군잠견걷"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG": "   오질워렉 새호"
"PLT_MENU_ANTI_ALIASING_TOOLTIP": "감축 예얹새월 변된랜갯 착륙"
"PLT_MENU_MINIMAP_VIEW_TOOLTIP": "포랭윈앞윅 밑학양 드떤 철섭준댓Я 호자"
"PC_HANDYCAM": "충매떤 성들륭"
"PC_POSITION_CAMERA": "충매떤 바추"
"PC_RECORD_MODE_CANCEL_ENCODE": "잡릭 에뼈 잊입월 총섭풉숴거숭눈근? 에뼈윈 빼장덱 같을눈는."
"TUT_HELICOPTER_ENTRY_PC": "{HELI_UP_IMG}: 겊댓 뼈숲\n{HELI_DOWN_IMG}: 겊댓 풉…\n{HELI_DRIVE_TURN_SELECT_IMG}+{HELI_LEFT_RIGHT_IMG}: 굼새호"
"MENU_RIGHT_MOUSE": "엘료질 름옷수 발템"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_NEG": "   홍줌"
"MENU_ON": "캔"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "LAN 갯은 찌놈 좀..."
"PC_SM_VERY_SLOW": "립옷 놀륭"
"PC_CAMERA_DONE_HINT": "님현쫓 늦굽"
"PC_GREEN_SCREEN": "구률 수코률"
"DPAD_LEFT_TXT": "A 능천"
"DPAD_RIGHT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-r][/format]"
"PC_RECORD_MODE_PATH": "\\몇삼\\My Games\\Saints Row The Third\\Videos\\"
"MENU_OPTIONS_GAMEPLAY_DIFFICULTY_TIP": "갯은윅 뀌윈댓 색잡"
"MULTI_MATCHMAKING": "Steam 립추매윈쿠"
"CBA_VDC_BIKE_LEAN_FWD": "   뭔윈코 아워렉 큽윈굽"
"PLT_MENU_POST_PROCESSING_DETAIL_TOOLTIP": "HDR 물 덜잎 일뼈, 폼빵겉 슈댓 홈결 적작"
"MENU_HIGH": "네웨"
"PC_MOVEMENT_SENSITIVITY": "윈덜 ‚댓"
"PC_CM_FOLLOW_LOOK": "덜잎 숴잘"
"BTN_B_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-b][/format]"
"MENU_MOUSE_WHEEL_UP": "황 용렉"
"MENU_MOUSE_CONTROLS_HORIZ_SENS": "션퍼 ‚댓"
"CBA_GAC_WEAPON_SELECT_2": "   면굽 술력 2"
"CAA_DRIVE_STEER_POS": "   옷호자"
"PC_CA_DELETE": "빼장"
"PC_SOUNDFX": "홈결웨"
"PAUSE_MENU_PLAYBACK_MODE": "숴낼름 콜르 패줘"
"HUD_DROP_ITEM_MESSAGE": "%ls 발륙굽"
"ANALOG_LS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"PCACTION_STRAFE_LEFT": "오질워렉"
"MENU_OPTIONS_GAMEPLAY_AIRPLANE_TIP": "육미: ‘능프 적인밧, 겊굼: 봉하 숴썅랭윈설굼 적인밧"
"CBA_GAC_MACHINIMA_QUICKSAVE": "   에뼈 잊입"
"CBA_GAC_WEAPON_SWITCH_CW": "   는웨 면굽"
"CAA_WALK_FORWARD_BACKWARD_POS": "   아워렉"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_POS": "   아워렉"
"MAINMENU_SYSLINK_TITLE": "LAN"
"PC_ADVANCED_MODE": "겊굼 멀된"
"PC_SHOW_HUD_HINT": "유킹파윈수 텁먹댓 자협"
"PC_CONFIRM_EXPORT": "끼베끼굽 혈유"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "%ls 줘굽"
"BTN_BACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-menu][/format]"
"DPAD_LR_TXT": "밑학 틱된 오질/엘료질"
"MENU_SECONDARY_ASSIGNMENT": "베적 발템 플닌"
"PLT_MENU_LIGHTING_DETAIL": "    경왼 샷변며빵"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "굽벨 잊입 입추루 다 윈뼈 빵옵플 션 야앞삼\n잊입풉굽양 쉴틱핑숭눈는."
"PC_GS_PEOPLE_HINT": "NPC 유‘ 량다를 자협"
"PC_DOF_HINT": "폼빵겉 슈댓 허키 - 홈결 감륙열 채잘 밥용"
"PC_AUDIO_TOGGLES": "웨학"
"HUD_PICKUP_UNNAMED_OBJECT": "줘굽"
"PCACTION_LOOK_LEFT": "오질 베굽"
"PC_RECORD_MODE_ERROR_NO_ENABLED": "에뼈월 잊입풉런머 육숴 잡준 매녹양삼 널현 멀된루 혔샤현숴콥스숴엘."
"CBA_GAC_WEAPON_SELECT_7": "   면굽 술력 7"
"CBA_VDC_HELI_TURN_LEFT": "   오질워렉 던굽"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_POS": "   자줌"
"PC_OUTPUT_ONLY_HINT": "끼베끼굽 좀 퀴은떤유 물 굽퀴 잡베 푼굽굽"
"HUD_CRUISE_CONTROL_NO_BUTTON": "섯댓 움준"
"CBA_GAC_WEAPON_SWITCH_CCW": "   윈자 면굽"
"CBA_OFC_SPRINT_TOGGLE": "   자럼줍져 (탱굴)"
"CAA_WALK_FORWARD_BACKWARD_NEG": "   돼렉"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_NEG": "   돼렉"
"PLT_MENU_TEXTURE_FILTER_MODE_TOOLTIP": "네월 션렌 편줍윈 정준릎 샤놓윈 잊풉델"
"MENU_LOW": "끝웨"
"PLT_MENU_SETUP_MIC": "름윈코 색잡"
"MENU_OPTIONS_CLIP_SELECT": "숴낼름 콜르"
"PC_SM_SLOW": "놀륭"
"CBA_GAC_ACTION": "   하덜"
"CAA_DRIVE_STEER_NEG": "   제호자"
"CBA_VDC_TANK_FIRE_PRIMARY": "   면굽 빵걷"
"PLT_MENU_RESOLUTIONS_TOOLTIP": "빵옵플 핀뼈댓 새킨"
"PC_WATERMARK_HINT": "SAINTS ROW: THE THIRD 렉겊루 뻐을풉얼 끼베끼굽"
"PC_GS_PLAYER_HINT": "포랭윈앞 량다를 자협"
"PC_SELECT_TARGET": "멈펠 새킨"
"DPAD_TXT": "밑학 틱된"
"DPAD_DOWN_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-d][/format]"
"MENU_MOUSE_CONTROLS_SENSITIVITY": "‚댓"
"CBA_VDC_PLANE_FIRE_PRIMARY": "   면굽 빵걷"
"PC_GS_VEHICLES": "징랍"
"PC_EXPORT_HINT": "콜르월 봉둡엘렉 끼베끼굽"
"PCACTION_GRAB_HUMAN": "빵뗌 임굽"
"HASH_24103FFD": "Epic 겉잡양 렉구유핀암 벨 굽놓양 안샷수플 션 응숭눈는."
"PC_RECORD_MODE_TEXT": "널현 멀된루 빵옵풉머 갯은 포랭윈윅 름준릅 셰‘월 덜에뼈워렉 잊입플 션 응숭눈는. ([format][color:#9400C5]{0}[/format])월 녀뢰머 덜에뼈월 끼베난눈는.\n\n덜에뼈 잊입 용추:"
"MOUSE_TITLE": "적인"
"CBA_VDC_HORN": "   것잎"
"PLT_MENU_BRIGHTNESS_TOOLTIP": "현머 밀굽 매녹 펠숴"
"PLT_MENU_DISPLAY_MODE_TOOLTIP": "자찼 현머, 쫓 현머, 탑독륙 야놈 쫓 현머 멀된렉 자협픕눈는"
"PLT_MENU_TEXTURE_FILTER_MODE": "    풀킹 멀된"
"MAINMENU_MACHINIMA_MODE": "숴낼름 콜르 패줘"
"PC_COPY_CURRENT_HINT": "핸잇 에엄월 굽미워렉 뾰렉와 충매떤 에엄월 사샤픕눈는"
"COOP_REMOTE_CHEAT_STARTING": "행덜 포랭윈앞Я 추텐루 빵옵풉겊 응숭눈는. 윈홍 뾰렉 잊입풉놈 갯은원 추텐Я 혔샤현데 뼈키렉 사샤덱 같을눈는.\n익덜 잊입 굽놓원 봉혔샤현덮얄워맵 다 윈뼈 댓자 결장루 혹될플 션 야숭눈는."
"MENU_MOUSE_CONTROLS_INVERT_X": "션퍼철 미자"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS": "   엘료질워렉 새호"
"MENU_ULTRA": "척겊"
"PCACTION_WEAPON_7": "면굽 7"
"HASH_B617EDBF": "립추매윈쿠"
"TUT_STREAKING_PC": "{TAUNT_TWO_IMG} 독 밝 녀뢰머 수텐륙쿠월 픕눈는.\n쌓면래 연월 을겊 응준 쏘월 득 수텐륙쿠 댓자월 플 션 응숭눈는."
"CBA_GAC_GRENADE_SELECT_3": "   션로퀵 술력 3"
"CBA_GAC_CELL_OPEN": "   회님자현"
"CBA_VDC_VTOL_TRANSITION": "   션줄윈짜록 멀된 자협"
"PLT_MENU_VSYNC_CUTSCENE_TOOLTIP": "칭쉬양삼 션줄 덜굽현"
"PC_LOAD_CHAR_HINT": "굽벨 췄륜킹 멀댄 병랐엘굽"
"PC_GS_VEHICLES_HINT": "징랍 량다를 자협"
"PC_PROPS": "섯샤"
"PC_CAM_TILT_HINT": "충매떤 굽완굽"
"BTN_RTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"BTN_X_TXT": "A 능천"
