"Storye01_In_Crawl_02": "Die Geschichte der Menschheit"
"Story21_Zscene04_02_Bobby": "HEILIGE SCHEISSE! KILLBANE HAT ABGEKLOPFT!"
"Story19_In_06_Player": "Ich meine, was glaubt der Typ denn, wer er ist?"
"Story17_Mid_02_Cyrus": "Ruhe."
"SH_Morningstar02_09_Zimos": "Das ist eine Einladung dazu, Morgenstern in die kollektive Muschi zu treten. Die veranstalten heute Abend eine Auktion. Zeig die Karte und du bist drin."
"Story06_In_01_Pierce": "Bisschen groß für dich."
"Story01_In_01_Josh": "Japanische Werbung. Leichter kann man Geld nicht verdienen."
"Story13_In_08_Player_BM": "Hast du das Zeug, Pierce?"
"Story11_In_04_Player_BM": "Jetzt ist es ein Unentschieden."
"Story08_Out_09_Viola": "Ja, Killbane."
"Story02_In_14_Phillipe": "Eine bemerkenswerte Ähnlichkeit. Diese Schönheiten hier sind Viola und Kiki. Und ich bin Phillipe Loren, Vorsitzender einer multinationalen Organisation namens Syndicate."
"Story13_Zscene01_03_Player_BM": "Ich will, dass STAG meine Stadt verlässt."
"Story23_In_06_Kinzie": "Also, wenn die alle Gebäude in die Luft jagen, dann werden wir wohl in einem drin sein."
"Story19_In_15_Viola": "Moment, ein WAS-Problem?"
"Story15_In_05_Player_BM": "Was zum Teufel haben die Deckers mit dem Hubschrauber gemacht?"
"Story14_In_12_Kinzie": "Ich kann mit Triangulation vielleicht herausfinden, von wo sie senden. Wenn ihr zum Funkturm geht und ..."
"Story06_Mid_13_Oleg": "Keine Zeit."
"Story06_Mid_08_Pierce": "Das letzte Mal, als ein großer, nackter Kerl mir Hilfe anbot, ging es nicht gut aus."
"CTO_Angel01_06_Angel": "Indem ich dich den schlimmsten Schmerzen aussetze, die du dir vorstellen kannst ... Und jetzt komm! Zeit für dich, im Verkehr zu spielen."
"CTO_Angel01_05_Player_BM": "Wie?"
"Story12_Zscene01_01_Josh": "Wollt ihr euch aufwärmen, bevor wir drehen? He, ihr kommt mir bekannt vor ..."
"Story22_OutB_03_Player_BM": "Wenn das Nächste, was aus deinem Loch kommt kein \"Danke sehr\" ist, haben wir ein verdammtes Problem."
"Story21_In_01_Zach": "Heute war ein großartiger Abend, und er wird nicht schlechter, Bobby."
"SH_Decker_11_Player_BM": "Okay, die Fachidiotenzeit ist vorbei! Was ist das für ein Ding? Und Kinzie, erkläre es mit einfachen Worten."
"Story10_Out_03_Cyrus": "Das ist keine \"Besetzung\". Wir haben die volle Unterstützung von Bürgermeister Reynolds."
"Story02_In_18_Phillipe": "Ob es Ihnen gefällt oder nicht, Mr Gat, unsere Organisation expandiert nach Stilwater. Ich biete Ihnen die Chance, Ihre Aktiva gegen Ihr Leben einzutauschen. Meine Damen?"
"Storye01_In_Crawl_01": "Eroberung"
"CTO_Angel02_06_Angel": "Du bist bereit, dich Killbane zu stellen, aber um die Luchadores muss sich auch jemand kümmern. Du weißt, wo du mich finden kannst, wenn du mehr Training brauchst."
"Story13_In_05_Josh": "Verbotene Liebe."
"Story01_In_16_Josh": "Stell dich in die Reihe, Schlampe!"
"22_Choice_09_Player": "Ich will dich nicht enttäuschen, Schlampe, aber die Saints haben mit einheimischem Terrorismus nichts am Hut."
"CTO_Angel01_01_Player_BM": "Verdammt! Warum lebst du in diesem Kackloch?"
"Story21_Zscene03_03_Zach": "Es sind die Schatten von Angel De LaMuerte, die auf Killbanes Demaskierung fallen!"
"Story01_Zscene01_06_Josh": "Wie lautet also Plan B? Bohren?"
"Story15_In_02_Player_BM": "Das sieht ... gemütlich aus."
"Story09_Out_01_Killbane": "Was zum Teufel hast du dir gedacht, Matty?"
"Story21_In_10_Bobby": "Heute Abend schreibt die Geschichte sich selbst, Zach! Nach seiner fragwürdigen Niederlage gegen Killbane vor einigen Jahren, war Angel vom Erdboden verschwunden. Wenn Sie ein Fan von Murderbrawl sind, dann bereiten Sie sich auf den besten Abend Ihres Lebens vor."
"Story20_In_07_Viola": "Killbane würde einem Kampf gegen Angel niemals zustimmen."
"Story17_In_03_Player_BM": "Warum nicht? Ich werde genau wie Cyrus aussehen ... ich brauche nur noch seine miese Einstellung."
"Story14_In_09_Player_BM": "Wo sind die?"
"Story11_Out_09_Monica": "Sie werden für Josh Birks Sicherheit sorgen, sonst suche ich mir jemanden, der es tut. Verstanden?"
"Story17_Zscene01_01_Cyrus": "Kia, ich bin auf dem Rückweg zur Thermopylae, um die Gefangene zu befragen. Sorgen Sie dafür, dass niemand zu ihr kann."
"Story16_Zscene01_06_Player_BM": "Das ist okay. In der echten Welt bist du nur eine Nutte mit einer Tastatur."
"Story16_In_06_Player_BM": "Fangen wir an ..."
"Story12_Out_01_Cyrus": "Untersucht die Leichen."
"Story01_In_03_Josh": "Keine Sorge, ich mache meine Stunts selbst."
"Story17_Mid_05_Kia": "Sie müssen ein paar Prototypen abzeichnen, an denen ich gearbeitet habe."
"Story17_In_07_Player_BM": "Ja, du und Pierce. Ich bringe euch rein."
"Story16_Zscene01_02_Player_BM": "Lachen ist einfach, wenn man sich wie eine Memme versteckt. Komm raus!"
"Story07_Zscene03_01_Angel": "Du bist keiner von Lorens Schlägern."
"Story16_In_02_Player_BM": "Das ist sicherer, als wenn auf einen geschossen wird."
"SH_Decker_10_Oleg": "Clever ..."
"Story08_Out_07_Killbane": "Ruhig. Wir brauchen nur eine davon."
"Story14_In_05_Killbane": "Ist mir ein Vergnügen, Jane ... und bitte, nennen Sie mich Killbane."
"Story10_In_02_Viola": "Wir hatten nie Gelegenheit zum Plaudern. Angeblich sollst du ein wissenschaftliches Experiment sein."
"Story16_Zscene02_01_Matt": "Halt!"
"Story06_Zscene01_03_Oleg": "Das ist ein Expressaufzug zum Keller. Keine Chance, ihn zu erwischen."
"Story09_Out_05_Killbane": "Wir knien uns rein. Wir konzentrieren uns. Wir greifen sie nicht nur an, wir machen sie total fertig."
"Story09_Out_04_Matt": "Mein Fehler, Kumpel. Und was geschieht jetzt?"
"Story24_Out_03_Player_BM": "Texthänger."
"Story09_Out_06_Killbane": "Ja ... genau ... Jetzt hör mir zu ..."
"SH_Morningstar02_05_Zimos": "Wenn das kostenlose Pornos für alle bedeutet bin ich erledigt."
"Story08_Out_05_Kiki": "Es gibt einen Grund, warum Phillipe uns das Denken überlassen hatte. Wir sind hier fertig."
"Story02_In_26_Pilot": "Was zum Teufel geht ..."
"Genki_Zach03": "Kämpf dir deinen Weg durch 'Professor Genkis Super Sparkle Lab' - und zwar aus purem Vergnügen UND für Gewinne!"
"SH_Luchadore_02_Angel": "Die Maske zu verlieren, ist die ultimative Schande für einen Luchadore. Ich kann sie nicht zurückstehlen. Ich muss sie mir verdienen."
"Story10_Out_08_Cyrus": "Vielen Dank für Ihre Zeit."
"Story10_In_11_Viola": "Was ist das ...?"
"Story07_In_14_Shaundi": "Das wollen wir erst mal sehen."
"Story07_In_13_Oleg": "Ihr seid noch nicht bereit, es mit dem Syndicate aufzunehmen."
"Story01_In_23_Gat": "Passt mir gut."
"CTO_Zimos02_03_Player_BM": "Da wir sie gerade haben wissen lassen, dass wir ihr Geschäft übernehmen, bezweifle ich, dass der Deal bestehen bleibt."
"Story01_Zscene02_06_Gat": "Vergiss es, er beruhigt sich wieder."
"Story21_In_08_Bobby": "HALT, OH, MEIN GOTT! SCHAU DIR DAS AN! ES IST ANGEL DE LAMUERTE!"
"Story16_Out_08_Killbane": "Du darfst mich jederzeit gerne als Referenz angeben."
"Story15_In_08_Kinzie": "Man kann viel Schlimmeres machen. Wenn Matt das Decker Use-Net ins zentrale Stromnetz einspeist ... glaub mir, das ist wirklich schlimm."
"Story14_In_10_Kinzie": "Keine Ahnung. Die senden von einem unbekannten Ort."
"Story13_Out_06_Cyrus": "Wenn es einfach wäre, würde ich nicht Ihre Zeit vergeuden."
"SH_Morningstar01_03_Player_BM": "Ich seh' da nur zwei Typen."
"CTO_Kinzie01_08_Kinzie": "Ich kann dir nicht helfen, die Deckers zu erledigen, solange ich nicht weiß, wo sie sich verstecken. Also habe ich ein Programm geschrieben, um die reale Position eines Benutzers zu verfolgen, während er online ist."
"Story21_Zscene01_03_Bobby": "Er wird umhergetreten wie ein Sack voller toter Welpen."
"Story01_Zscene02_01_Josh": "He, Leute, ihr könnt den Hubschrauber abbestellen. Ich habe herausgefunden, wie die Kammer aufgeht!"
"Story21_Out_03_Zach": "Sie werden es lieben. Entgegen aller Wahrscheinlichkeit stehen die Saints immer noch."
"Story19_In_26_Viola": "Lass den Fankram sein."
"Genki_Both05": "UNETHISCH!"
"22_Choice_07_Kia": "Ich will euch nicht verhaften, das würde nichts ändern. Die Leute müssen aufwachen und begreifen, was Abschaum, wie ihr es seid, unschuldigen Leuten antut."
"Story20_Out_04_Player_BM": "Meine Güte, sei nicht so eine Memme und zieh deine Maske an."
"CTO_Pierce02_01_Player_BM": "Scheint hier nicht so ganz dein Ding zu sein, Pierce."
"Story07_Zscene01_08_Player_BM": "Wir haben keine Zeit, Zimos!"
"Story17_Out_13_Kia": "Erlaubnis, frei zu sprechen?"
"Story17_Out_01_Player_BM": "Das wird in die Annalen eingehen."
"Story16_Out_07_Killbane": "Matty."
"Story16_In_03_Kinzie": "Einen Schuss kann man überleben. Aber, wenn dein Geist in diesem Stuhl durchknallt, dann bist du hirntot."
"Story09_In_04_Player_BM": "Lass das meine Sorge sein. Lass uns gehen, ich will meine neuen Angestellten sehen."
"Story07_In_10_Shaundi": "Was er an Johnnys Beerdigung gemacht hat war definitv über dem verdammten Limit."
"CTO_Kinzie02_02_Player_BM": "Gut zu wissen ..."
"CTO_Pierce02_06_Pierce": "Aber ich wette 10 Mille, dass er sich in diesem Scheiß-Wolkenkratzer versteckt."
"Story23_Out_13_Player_BM": "Gutes Argument. Was mich dran erinnert, dieser Ort braucht einen neuen Bürgermeister ... was hältst du von einem öffentlichen Amt?"
"Story19_In_17_Oleg": "Das meinen Sie doch metaphorisch, oder? Also die von Promis besessenen und von Medien beeinflussten Massen...?"
"Story19_In_12_Reynolds": "Viola sagt, die Saints sind die neue Bande in der Stadt. Wenn das der Fall ist, möchte ich dazugehören."
"SH_Morningstar01_05_Shaundi": "Egal, steckt die Ohrstöpsel rein, und los geht's."
"Story06_Zscene01_01_Oleg": "Lorens Büro ist in diese Richtung!"
"Story20_In_03_Shaundi": "Und wie? Ihn demütigen?"
"Story19_In_22_Player": "Das Beseitigen von Untoten ist nicht unbedingt unser Fachgebiet, aber wir probieren es mal."
"Story19_In_11_Reynolds": "Entschuldige mich, Süße."
"Story08_In_06_Player_BM": "Er hat recht."
"Story01_In_18_Josh": "Und ihr schimpft euch Gangster? Ihr seid nichts als ein Haufen Weicheier! Wir sollten in ihrer Scheiße stehen, als ..."
"CTO_Kinzie02_06_Player_BM": "Ich glaub du brauchst ne Pause.. Ich hab mich Übrigen um die Deckers gekümmert."
"Story01_Zscene01_08_Josh": "WAS?!"
"Story22_OutB_02_Cyrus": "Sofort aufhören!"
"Story19_In_21_Reynolds": "Also, was sagst du, Junge?"
"Story15_Out_01_Player_BM": "Du hast jetzt alles, ja?"
"Story13_Out_01_Cyrus": "Kia, hören Sie mich?"
"Story01_In_20_Player_BM": "Also, das ist irgendwie anders."
"Story01_In_05_Shaundi": "Also lass den Hong-Kong-Stil lieber sein."
"Story07_Zscene01_02_Player_BM": "Oder einfach nach dem Typen suchen, der ein Z aus Strass auf dem Rücken hat."
"Story23_Out_02_Newscaster": "Während die Regierung noch keinen Kommentar zum Angriff abgegeben hat, liegt uns ein Bericht vor ..."
"Story20_In_10_Pierce": "Entspann dich. In einem Wrestler-Anzug wirst du heiß aussehen."
"Story11_Out_10_Cyrus": "Ja, Ma'am."
"Story08_In_05_Pierce": "Shaundi, wir können nicht ewig um Gat trauern. Letztendlich muss man dem Pferd wieder auf den Rücken klettern. Nicht böse gemeint, Bruder."
"Genki_Bobby04": "Da nun alle Männer, Frauen und Tiger erschossen wurden, steigt das Preisgeld. Aber aufgepasst! Niemand will erschossene Pandas sehen!"
"Story19_Out_02_Cyrus": "Es gab ein paar ... Komplikationen, Senatorin."
"Story19_In_07_Reynolds": "Viola, ist das der Junge, von dem du gesprochen hattest?"
"Story08_Out_02_Viola": "Die wurden mir sehr empfohlen."
"Story07_Zscene01_06_Player_BM": "Scheiße ..."
"Story07_Zscene01_03_Pierce": "Verdammt noch mal, raus hier, Mann ..."
"Story17_Out_09_Monica": "Halten Sie mich auf dem Laufenden, Kommandant."
"Story15_In_12_Kinzie": "Etwas wie das."
"Story10_In_15_Cyrus": "Kia ... Status?"
"Story02_In_13_Phillipe": "Natürlich."
"Story02_In_03_Gat": "Was ist passiert?"
"Story07_Zscene02_03_Pierce": "Warum musst du mich auf solche Gedanken bringen, Bruder?"
"Story16_In_05_Kinzie": "Ich weiß. Bist du bereit?"
"SH_Morningstar02_11_Zimos": "So was in der Art. Ich versteigere dich als Sexsklave."
"Story08_Out_06_Matt": "Verdammt, Killbane ...!"
"Story07_In_11_Oleg": "Er schert sich nicht um irgendwelche Regeln."
"Story02_In_23_Phillipe": "Bitte. Ich bin Belgier!"
"Story02_In_10_Kiki": "Wenn Sie so freundlich wären?"
"Story07_In_18_Shaundi": "Wer zum Teufel sind diese Typen?"
"CTO_Kinzie01_07_Player_BM": "Du machst mich fertig, Kinzie."
"Story23_Zscene01_02_Player_BM": "Nette Landung, Cyrus."
"Story01_Zscene01_02_Shaundi": "Ugh..."
"Story23_In_01_Player_BM": "Wir haben viele Freunde auf dem Weg zum Hier und Jetzt verloren, und das war nie leicht. Aber wenigstens wissen wir, dass wo immer Gat auch ist, er ein paar Freunde hat, die Petrus die Hölle heiß machen."
"Story22_In_07_Player_BM": "Was zum Teufel geht ab?"
"Story15_In_13_Kinzie": "Das ist einer der stärksten Lerncomputer Nordamerikas ... Und STAG hat einen."
"Story22_Zscene01_07_Player": "Bullshit."
"CTO_Pierce01_04_Player_BM": "Und was ist das, was ich da sehe?"
"CTO_Pierce01_01_Pierce": "Schau dir das an, Boss ..."
"Story24_Out_07_Asst_Director": "Alle wieder auf eins!"
"Story22_In_04_Player_BM": "Was ist das?"
"Story20_In_08_Player_BM": "Er hat vor Angel mehr Angst als vor mir?"
"CTO_Kinzie01_03_Player_BM": "Ach. Hast du also irgendwas über die Deckers?"
"Story22_In_03_Player_BM": "Verdammt, wir sind keine Unternehmensnutten mehr. Wer gewinnt also ..."
"Story19_In_03_Player": "Ist das dein Ernst?"
"Story17_Out_04_Shaundi": "Was ist mit STAG?"
"SH_Decker_01_Kinzie": "Ich erkläre es noch mal, ganz langsam:"
"Story13_Out_07_Kia": "Verstanden, Sir."
"Story11_Out_01_Josh": "Ich bin Joshua Birk. Im Fernsehen spiele ich Nyte Blayde, einen außergewöhnlich gut aussehenden aber falsch verstandenen Vampir, der Leib und Leben riskiert, um die Welt zu retten."
"Story07_Out_04_Player_BM": "Das Syndicate muss ihren Taten etwas entgegnen ... und dieses Mal greifen wir sie an."
"Story19_In_25_Player": "Oh, Mann, dieser Typ ist total irre!"
"Story17_Out_12_Cyrus": "Wunderbar. Danke, Kia."
"Story10_In_18_Kia": "Ja, Kommandant."
"Story10_In_06_Viola": "Johnny ist tot, weil er dachte, er könnte alles alleine machen."
"Story03_Out_07_Shaundi": "Du machst dir Gedanken um Grundbesitz? Wir haben Waffen. Setzen wir sie ein."
"Story21_In_09_Zach": "Angel De LaMuerte, die zweite Hälfte von den Pale Riders, manchmal als Bote der Wandelnden Apokalypse bezeichnet, der jüngste Wrestler, der jemals den Super K Cup gewonnen hat, ist hier in der Steelport Arena!"
"Story20_In_09_Shaundi": "Sei mir nicht böse, aber du bist irgendwie lächerlich."
"Story20_In_01_Player_BM": "In Ordnung, genug herumgetrödelt. Ich will Killbane."
"Story19_In_23_Player": "Hast du keine Angst, STAG zu verärgern?"
"SH_Decker_05_Player_BM": "Einen Was-Stuhl?"
"Story07_Out_06_Killbane": "Diese Barbaren stehen am Tor ... wir brauchen einen General, keinen Botschafter!"
"Story21_Zscene04_01_Player_BM": "Du willst Gnade? Dann klopf ab."
"Story19_In_05_Player": "Hör mal, Süße, ich lege mich an, mit wem ich will!"
"SH_Decker_07_Kinzie": "Die Deckers haben eins."
"Story15_In_11_Player_BM": "Was würdest du brauchen?"
"Story08_In_02_Pierce": "Nun, wenn du es so formulierst, klingt es wirklich fies."
"Story07_Out_09_Player_BM": "Da wir uns in Steelport nicht auskennen, habe ich Leute mitgebracht, die es tun. Das sind Kinzie, Zimos und Angel."
"Story03_Out_05_Shaundi": "Verdammt, ich mach das für Johnny."
"Story02_In_24_Gat": "Dann back dir ne Waffel. Wir sind hier durch."
"Story22_Zscene01_01_Player": "Oh, verdammt!"
"CTO_Kinzie01_09_Player_BM": "Das ist ... irre?"
"CTO_Pierce01_07_Pierce": "Ich schätze, dann gibts du mir besser etwas Rückendeckung."
"Story01_Zscene01_03_Gat": "Keine Chance, dieses Ding zu knacken. Bereit für Plan B?"
"Story22_OutB_13_Player_BM": "In Ordnung, Leute, als wir anfingen, diesen Hurensohn zu verfolgen, sagten wir, dass wir ihm bis zum Ende der Welt folgen würden. Und das haben wir getan."
"Story15_In_16_Player_BM": "Moment ... dieser Bursche ist Matt??"
"Story07_Zscene01_04_Pierce": "Tja. Scheiße. Das ist praktisch."
"Story22_OutB_10_Player_BM": "Ich hab dich auch lieb, Cyrus."
"Story20_In_06_Player_BM": "Das ist eher Angels Ding."
"Story15_In_15_Kinzie": "Verdammt ..."
"Story14_In_13_Player_BM": "Wir sind schon dabei."
"Story01_In_07_Player_BM": "Glaub mir, Birk. Es wird echt wirken."
"Story22_OutB_11_Pierce": "Wie läuft das Spiel jetzt, Boss? Gehen wir wieder in Stilwater prügeln?"
"Story22_OutB_06_Cyrus": "Soll das ein Scherz sein?"
"Story20_Out_03_Killbane": "Der Beste? Der Beste besiegt 'Sway the Spider-God' in einem Tijuana Scaffold Match. Der Beste verteidigt den Weltmeistertitel 13 Mal in einer Nacht. Der Beste gewinnt ein Last Man Standing Match mit zwei gebrochenen Beinen ... Glaub mir, kleiner Ikarus, du fliegst zu nahe an der Sonne."
"Story17_Out_14_Kia": "Es wird verdammt noch mal Zeit, dass wir die Seidenhandschuhe ausziehen."
"Story10_In_12_Player_BM": "Nichts Gutes ... gehen wir!"
"CTO_Kinzie02_09_Kinzie": "Die erzeugte Störung ist groß genug, dass du zu Matt Miller vorrücken kannst. Aber, wenn du die Deckers weg haben willst ... also, richtig weg ... dann gibt es viel zu tun."
"Story19_In_19_Player": "Ich erzähle dir später davon."
"Story12_In_06_Kid": "Könnten Sie bitte hier unterschreiben?"
"Story07_In_06_Pierce": "Wer auch immer diese Mannschaft ist, die treiben verdammt gut."
"Story06_Out02_01_Player_BM": "Wir sollten etwas wegen dem Rosa tun."
"Story03_Out_01_Shaundi": "Und was jetzt?"
"Genki_Zach07": "Wenn du aber glaubst, das sei einfach - dann hast du wohl noch nie Genki geguckt!"
"Story01_Zscene04_01_Player_BM": "Ach du Scheiße."
"Story10_Out_06_Reporter_03": "Das ist nicht, was ich ..."
"SH_Morningstar02_08_Player_BM": "Sehr taktvoll."
"Story05_In_02_Player_BM": "Da ist ein Arschloch in meinem Pool."
"Story06_Zscene01_04_Player_BM": "Verdammte Scheiße."
"Story23_Out_10_Pierce": "Nicht schlecht. Du könntest Wetteransager oder so was werden."
"Story23_In_05_Kinzie": "Oh, mein Gott."
"Story22_Zscene01_06_Killbane": "Niemand wird sich an mich erinnern? Du warst ein verdammter Clown, hast Energy Drinks und Brotdosen verkauft. Du hast dich nicht um die breite Masse geschert, nur ums Kassieren. Und das habe ich geändert."
"Story16_Out_09_Matt": "Oh, Gott!"
"Story22_OutB_08_Monica": "Ich kann alle Fragen beantworten ..."
"Story09_Out_02_Matt": "Es kam mir wie Verschwendung vor, die ganzen Mädchen zu verlieren."
"SH_Morningstar02_06_Player_BM": "Worum geht es im Wesentlichen?"
"Genki_Zach09": "Viel Glück!"
"CTO_Zimos01_05_Player_BM": "Wohl wahr."
"Story17_Out_15_Cyrus": "Zwei kleine Wörter, Kia: Schock und Einschüchterung"
"Story13_In_11_Player_BM": "In Ordnung, gehen wir STAG jagen."
"Story07_Zscene02_07_Kinzie": "Ich hab den Typen gefunden, von dem ich erzählt hab ..."
"Story19_Out_06_Cyrus": "Zombies und Monica Hughes?"
"Story17_Out_06_Cyrus": "Sie wussten, dass das Kriegsrecht verhängt wird, oder?"
"Story16_In_01_Pierce": "Bist du bereit in der virtuellen Realität zuzuschlagen?"
"Story15_In_17_Matt": "Dieser Bursche ist der Cybergott, der gerade deinen Hubschauber hat abstürzen lassen. Prost!"
"Story12_In_10_Player_BM": "Und wie finden wir jetzt Birk? Der Lump könnte überall sein."
"CTO_Zimos01_01_Player_BM": "He, Zim..."
"Story13_Zscene01_01_Cyrus": "Gebt auf. Wir haben euch umstellt."
"Story22_In_02_Pierce": "Meldung von Legal Lee. Das Studio will, dass du Probeaufnahmen für Gangster im Weltraum machst."
"Story21_Out_06_Killbane": "Es geht um meinen verdammten Ruf!"
"Story17_Mid_09_Pierce": "Was soll das denn?"
"Story03_Out_03_Shaundi": "Was? Nein, das ist auch meine Schlacht."
"CTO_Angel02_01_Player_BM": "Ein verdammter Tiger?"
"Story10_Out_02_Reporter_01": "Wie lange wird STAG Steelport besetzen?"
"Story10_In_10_Oleg": "Ich bin immer ein Gentleman."
"Story02_In_33_Gat": "Details, Details ... decke einfach den Boss! Los ... Ich mach das hier!"
"Genki_Bobby06": "Sobald du genug Geld gesammelt hast, öffnet sich die Tür des Labors und du kannst gehen."
"Story22_Zscene01_04_Killbane": "Oh, nein, nein ... So verläuft die Geschichte nicht. Das Erbe der Saints endet hier - nicht mit einem Knall, sondern mit einem Wimmern."
"Story21_Zscene01_06_Bobby": "OH, MEIN GOTT! EINE KETTENSÄGE!"
"Story21_Out_07_Killbane": "Das ist meine Stadt! Ich bin ihr Caesar!"
"CTO_Angel02_05_Player_BM": "Was zum Teufel stimmt mit dir nicht?"
"Story02_Zscene01_02_Gat": "Na los, wir sehen uns in Stil..."
"Story13_Out_03_Cyrus": "Nicht ganz. Die Saints sind noch immer auf freiem Fuß. Ich schicke ein paar Berichte rüber ..."
"Story22_Zscene01_09_Player": "Mann, ich werde es genießen, dich zum Schweigen zu bringen."
"Story21_Zscene02_01_Player_BM": "Bereit für eine Nahaufnahme?"
"Story01_Zscene02_03_Shaundi": "Josh ... willst du uns alle in den Knast bringen?"
"Story24_Out_06_Sci_Fi_Killbane": "Beim nächsten Mal klappt's bestimmt."
"Story14_In_11_Shaundi": "Verdammt, dann mach ihn bekannt."
"Story11_In_03_Pierce": "Verdammt!"
"Story24_Out_10_Sound_Guy": "Tempo!"
"Story23_Out_06_Player_BM": "Kinzie, bist du drin?"
"SH_Luchadore_01_Player_BM": "Warum sind wir hier?"
"Story11_In_05_Pierce": "Es ist noch nicht vorbei. Was gibt's?"
"SH_Morningstar02_03_Monica": "Die STAG-Initiative ist ein Meilenstein bei der Zurückeroberung der Straßen Amerikas."
"Story02_In_29_Gat": "Ein halbes Dutzend Kerle? Die erledige ich."
"Story23_Out_16_Jane": "Selbst an einem Ort, an dem Gewalt zur Normalität gehört, ist der heutige Überfall auf die Stadt einer der schwärzesten Tage in Steelports schmutziger Geschichte."
"Story23_Out_05_Player_BM": "Entschuldigung ..."
"Story20_Out_01_Killbane": "Meine Damen und Herren ... der Stilwater Butcher beglückt uns mit seiner Anwesenheit."
"Story14_In_08_Anna": "Wir haben verstanden."
"Story06_Out02_02_Oleg": "Bevorzugen Sie eine männlichere Farbe, etwa lila?"
"Genki_Bobby08": "Ach, und noch eine Sache. Bei dieser Show bekommt niemand eine Pause. Wenn du weiterkämpfen willst, dann musst du auf das Erste-Hilfe-Ziel schießen."
"SH_Decker_08_Oleg": "Unmöglich. Wie konnten sie das Signal maskieren?"
"SH_Morningstar02_13_Zimos": "Jetzt sei nicht so eine Memme und steig in den Wagen."
"Story07_In_07_Oleg": "Das sind Killbanes Schurken."
"CTO_Kinzie02_10_Player_BM": "In Ordnung. Ich melde mich bei dir, wenn ich noch Hilfe brauche."
"Story16_Zscene02_05_Player_BM": "Ein wenig vage, Matt. Da musst du schon mehr bieten."
"Story23_Out_01_Player_BM": "Kinzie, treibe alle Saints zusammen, die wir finden können ... wir machen einen Ausflug."
"Story22_OutA_03_Pierce": "War es das wert?"
"Story17_Out_03_Viola": "Jetzt können wir uns auf Killbane konzentrieren."
"SH_Decker_09_Kinzie": "Sie halten es hier."
"Story10_In_17_Cyrus": "Verstanden. Melden Sie sich, wenn Sie den Bereich sichern."
"Story08_Out_04_Kiki": "Wem sagst du das, Matt? Hattest du etwa einen Plan? Oder du vielleicht, Eddie?"
"Story08_In_04_Shaundi": "Ich schwöre bei Gott, dass ich dieses Ding in deine Kehle stopfe."
"Story07_Out_08_Killbane": "Wie hast du mich genannt?"
"Story14_Out_04_Player_BM": "Was ich getan habe? Verdammt, ich weiß es nicht!"
"Story11_Out_06_Cyrus": "Nein, mit Gewalt, Senatorin. Erteilen Sie der Daedalus die Erlaubnis, dann ist dies bald alles vorüber."
"Story07_In_17_Monica": "Kannst du das glauben? Auf der Brücke meines Mannes! Nein, nein, ich beruhige mich nicht. Ich gehe zurück zu Burns Hill. Eine Notsitzung ist fällig. Verdammt ... das ist Krieg!"
"Story01_Zscene02_05_Shaundi": "Soll ich hinter ihm her?"
"Story14_Out_07_Player_BM": "Ich weiß, ich weiß. Ist nicht deine Schuld, irgendwas Komisches ist passiert ..."
"Story14_Out_03_Shaundi": "VERDAMMT! Was hast du getan?"
"Story05_Out_02_Killbane": "Matty, es gibt keinen Grund zur Sorge."
"22_Choice_04_Player": "Angel, halte durch bis ich da bin ... verdammt ..."
"Story03_Zscene01_01_Pierce": "... ich liebe einen guten Auftritt."
"Story23_Out_07_Kinzie": "Alles bereit."
"Story19_Out_07_Cyrus": "Scheiße."
"Story17_Mid_01_Pierce": "Nächstes Mal bist du der beschissene Gefangene."
"Story10_In_13_Viola": "Verdammt!"
"Story01_In_13_Gat": "Birk!"
"Story08_In_10_Pierce": "Was geht ab, Mädchen?"
"CTO_Kinzie02_07_Kinzie": "Klar. Werde unachtsam und plötzlich lassen die es aussehen, als ob du Geheimnisse an dem Mossad verkaufst und als Domina schwarzarbeitest."
"SH_Morningstar02_07_Zimos": "Ich gebe dir, was dir zusteht, Kumpel."
"CTO_Kinzie02_01_Kinzie": "Du solltest vorsichtiger sein. Ich hab dich schon kommen sehen da warst du noch drei Ecken entfernt. Verkehrsüberwachung. Überall in der Stadt."
"Story21_Out_08_Killbane": "... und ich muss die Geige spielen, während sie brennt ..."
"Story13_Out_04_Cyrus": "Ich brauche ein Druckmittel für die Saints. Bringen Sie das Ziel zur Befragung herein."
"Story13_In_09_Oleg": "Darf ich, mein Freund?"
"Story07_Out_02_Matt": "Viola und Kiki waren Mr Lorens rechte Hände. Sollten sie nicht diejenigen sein, die ..."
"22_Choice_02_Player": "Angel ..."
"Storye01_In_Crawl_10": "Es war somit nur eine Frage der Zeit, bis sich einer von ihnen die Saints vornehmen würde"
"Story17_Out_05_Pierce": "Wir haben gerade einen Flugzeugträger in die Luft gejagt ... Womit könnten sie uns sonst noch kommen?"
"Story07_Out_11_Killbane": "Etwas. Irgendwas! Bevor ich mich frage, warum ich euch Buchstützen überhaupt mitschleife."
"Story05_In_01_Pierce": "Was meinst du?"
"CTO_Zimos01_08_Zimos": "Ich bin hier, um zu helfen, Baby. Ich kenne jede Stelle wo Morgenstern arbeitet. Wir können unseren eigenen Stall aufbauen und gleichzeitig den DeWynter-Schwestern eins auswischen."
"Story01_Zscene01_09_Josh": "Nicht cool, Mann."
"Story15_In_01_Kinzie": "Du kannst das Licht anmachen."
