"MENU_LEFT_MOUSE": "マウス左"
"CBA_OFC_ZOOM_IN": "　スコープ ズームイン"
"MULTI_LOST_CONNECTION": "Steamから切断されました\nメインメニューに戻ります"
"PC_TOD_MORNING": "朝"
"PC_GS_BACKGROUND": "背景"
"SAVING_CONTENT_BODY": "電源を切らないでください"
"CBA_GAC_WEAPON_SELECT_6": "　武器スロット6"
"CBA_VDC_ACCELERATE": "　アクセル"
"CBA_VDC_PLANE_TURN_RIGHT2": "　右ヨー"
"PLT_ANISOTROPIC_EIGHT": "アニソトロピック8X"
"MENU_CUSTOM": "CUSTOM"
"PLT_MENU_DISPLAY_4": "第4モニター"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "ハードディスクにセーブに必要な空き容量がありません"
"PC_MOVEMENT_SENSITIVITY_HINT": "カメラの移動感度"
"PC_CONFIRM_EXIT": "終了の確認"
"PCACTION_WEAPON_8": "武器8"
"PCACTION_CROUCH": "しゃがむ"
"MENU_MOUSE_BUTTON_3": "マウス3"
"MENU_CATEGORY_HELI": "ヘリ"
"PLT_QUIT_GAME": "デスクトップへ戻る"
"MAINMENU_SYSLINK": "LANゲーム"
"PC_HIDE_HUD": "HUD非表示"
"PRESS_ANY_KEY_CAPTION": "いずれかのキーを押す"
"HASH_B1E823F1": "CTRL"
"CBA_VDC_OFFHAND_GRENADE": "　手榴弾"
"PC_CA_EDIT_EXPORT": "ロード／編集"
"PCACTION_CONSUME_LEFT": "左を押して使う"
"PCACTION_WEAPON_2": "武器2"
"HASH_F44E5932": "%lsさんからプレイの招待を受けました。\n参加しますか?"
"PC_RECORD_MODE_ENABLE_WARNING": "ビデオ録画モードを使用すると処理が遅くなる場合があります。\n版権の保護のためラジオは無効となります。\n続けますか？"
"PLT_MENU_AMBIENT_OCCLUSION": "    アンビエントオクルージョン"
"PC_CREATE_CHAR": "作成／インポート"
"PC_W_OVERCAST": "曇り"
"PC_AV_EXIT_HINT": "環境ダイアログを閉じる"
"PC_EXIT_HINT": "クリップエディターを終了する"
"PC_DELETE_CZ": "消去"
"PCACTION_REVERSE": "ブレーキ／バック"
"CBA_OFC_MELEE_NUT_SHOT": "　近接攻撃"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG": "　左旋回"
"PLT_MENU_ANTI_ALIASING_TOOLTIP": "荒いエッジを滑らかにする"
"PLT_MENU_MINIMAP_VIEW_TOOLTIP": "ミニマップはプレーヤー指示とどう関連して回転するか"
"PC_HANDYCAM": "ハンディカム"
"PC_POSITION_CAMERA": "カメラを配置"
"PC_RECORD_MODE_CANCEL_ENCODE": "ビデオ保存をキャンセルしますか？\nこのビデオは失われます"
"TUT_HELICOPTER_ENTRY_PC": "{HELI_UP_IMG}上昇\n{HELI_DOWN_IMG} 下降\n{HELI_DRIVE_TURN_SELECT_IMG}+{HELI_LEFT_RIGHT_IMG}急旋回"
"MENU_RIGHT_MOUSE": "マウス右"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_NEG": "　後進"
"MENU_ON": "ON"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "LANゲームを検索しています..."
"PC_SM_VERY_SLOW": "非常に遅い"
"PC_CAMERA_DONE_HINT": "ダイアログを閉じる"
"PC_GREEN_SCREEN": "グリーンスクリーン"
"DPAD_LEFT_TXT": "A ボタン"
"DPAD_RIGHT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-r][/format]"
"PC_RECORD_MODE_PATH": "\\Documents\\My Games\\Saints Row The Third\\Videos\\"
"MENU_OPTIONS_GAMEPLAY_DIFFICULTY_TIP": "難易度の設定"
"MULTI_MATCHMAKING": "Steamマッチメイク"
"CBA_VDC_BIKE_LEAN_FWD": "　バイク 前かがみになる"
"PLT_MENU_POST_PROCESSING_DETAIL_TOOLTIP": "HDR、モーションブラー、DOF"
"MENU_HIGH": "HIGH"
"PC_MOVEMENT_SENSITIVITY": "移動感度"
"PC_CM_FOLLOW_LOOK": "フォロールック"
"BTN_B_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-b][/format]"
"MENU_MOUSE_WHEEL_UP": "ホイールを上へ"
"MENU_MOUSE_CONTROLS_HORIZ_SENS": "視点の横方向感度"
"CBA_GAC_WEAPON_SELECT_2": "　武器スロット2"
"CAA_DRIVE_STEER_POS": "　右折"
"PC_CA_DELETE": "消去"
"PC_SOUNDFX": "効果音"
"PAUSE_MENU_PLAYBACK_MODE": "ムービーを編集"
"HUD_DROP_ITEM_MESSAGE": "%lsを手放す"
"ANALOG_LS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"PCACTION_STRAFE_LEFT": "左に平行移動"
"MENU_OPTIONS_GAMEPLAY_AIRPLANE_TIP": "ノーマル：簡単操作\nアドバンス：フライトシム操作"
"CBA_GAC_MACHINIMA_QUICKSAVE": "　ビデオ保存"
"CBA_GAC_WEAPON_SWITCH_CW": "　次の武器"
"CAA_WALK_FORWARD_BACKWARD_POS": "　前進"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_POS": "　前進"
"MAINMENU_SYSLINK_TITLE": "LAN"
"PC_ADVANCED_MODE": "アドバンスモード"
"PC_SHOW_HUD_HINT": "インターフェースの透明度を切り替える"
"PC_CONFIRM_EXPORT": "エクスポートの確認"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "%lsを拾う"
"BTN_BACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-menu][/format]"
"DPAD_LR_TXT": "方向パッド左&右"
"MENU_SECONDARY_ASSIGNMENT": "代替ボタン操作"
"PLT_MENU_LIGHTING_DETAIL": "    ライティング"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "初期設定のデータ保存機器が使用不可能のため\nセーブできませんでした"
"PC_GS_PEOPLE_HINT": "プレイヤー以外のキャラクターを切り替える"
"PC_DOF_HINT": "被写界深度のタイプ - 距離および焦点範囲に影響を及ぼします"
"PC_AUDIO_TOGGLES": "音声"
"HUD_PICKUP_UNNAMED_OBJECT": "拾う"
"PCACTION_LOOK_LEFT": "左を見る"
"PC_RECORD_MODE_ERROR_NO_ENABLED": "ビデオを保存するにはポーズメニューから録画モードを有効にしてください"
"CBA_GAC_WEAPON_SELECT_7": "　武器スロット7"
"CBA_VDC_HELI_TURN_LEFT": "　左旋回"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_POS": "　前進"
"PC_OUTPUT_ONLY_HINT": "エクスポート中はタイムラインおよびその他の情報を表示しない"
"HUD_CRUISE_CONTROL_NO_BUTTON": "クルーズコントロール"
"CBA_GAC_WEAPON_SWITCH_CCW": "　前の武器"
"CBA_OFC_SPRINT_TOGGLE": "　ダッシュ（切り替え）"
"CAA_WALK_FORWARD_BACKWARD_NEG": "　後退"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_NEG": "　後退"
"PLT_MENU_TEXTURE_FILTER_MODE_TOOLTIP": "高い方が良いが、遅くなる"
"MENU_LOW": "LOW"
"PLT_MENU_SETUP_MIC": "マイクの設定"
"MENU_OPTIONS_CLIP_SELECT": "ムービー"
"PC_SM_SLOW": "遅い"
"CBA_GAC_ACTION": "　アクション"
"CAA_DRIVE_STEER_NEG": "　左折"
"CBA_VDC_TANK_FIRE_PRIMARY": "　武器発射"
"PLT_MENU_RESOLUTIONS_TOOLTIP": "適切な解像度を選択してください"
"PC_WATERMARK_HINT": "セインツロウ ザ・サードのロゴが角にある状態でエクスポートする"
"PC_GS_PLAYER_HINT": "プレイヤーのレンダリングを切り替える"
"PC_SELECT_TARGET": "ターゲットを選択"
"DPAD_TXT": "方向パッド"
"DPAD_DOWN_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-d][/format]"
"MENU_MOUSE_CONTROLS_SENSITIVITY": "感度"
"CBA_VDC_PLANE_FIRE_PRIMARY": "　武器発射"
"PC_GS_VEHICLES": "車"
"PC_EXPORT_HINT": "クリップをビデオにエクスポートする"
"PCACTION_GRAB_HUMAN": "人をつかむ"
"HASH_24103FFD": "この機能にアカウントするには、Epicアカウントにサインインしている必要があります。"
"PC_RECORD_MODE_TEXT": "録画モードを有効にすると最後の瞬間をさかのぼって録画することができます。([format][color:#9400C5]{0}[/format])を押してエクスポートできます。\n\nビデオは下記に保存されます"
"MOUSE_TITLE": "操作設定"
"CBA_VDC_HORN": "　クラクション"
"PLT_MENU_BRIGHTNESS_TOOLTIP": "明るさ調整メニューを開く"
"PLT_MENU_DISPLAY_MODE_TOOLTIP": "フルスクリーン、ウインドウまたはボーダーレス"
"PLT_MENU_TEXTURE_FILTER_MODE": "    フィルターモード"
"MAINMENU_MACHINIMA_MODE": "ムービーの編集"
"PC_COPY_CURRENT_HINT": "現在のゾーンを元に新しいカメラゾーンを作成する"
"COOP_REMOTE_CHEAT_STARTING": "協力プレイのパートナーがチートを使用しているため、新たに作成されるすべてのセーブデータでチートが有効になります。\nオートセーブ機能は無効になります。\nこれ以上実績を獲得することはできません"
"MENU_MOUSE_CONTROLS_INVERT_X": "水平軸の反転"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS": "　右旋回"
"MENU_ULTRA": "ULTRA"
"PCACTION_WEAPON_7": "武器7"
"HASH_B617EDBF": "マッチメイキング"
"TUT_STREAKING_PC": "{TAUNT_TWO_IMG}を2回押すと下着だけになり\n「ストリーキング」のデバージョンを開始できる"
"CBA_GAC_GRENADE_SELECT_3": "　グレネードスロット3"
"CBA_GAC_CELL_OPEN": "　携帯電話"
"CBA_VDC_VTOL_TRANSITION": "　VTOLモード切り替え"
"PLT_MENU_VSYNC_CUTSCENE_TOOLTIP": "ムービーシーン中の垂直同期"
"PC_LOAD_CHAR_HINT": "デフォルトのキャラクターモデルをロードする"
"PC_GS_VEHICLES_HINT": "車のレンダリングを切り替える"
"PC_PROPS": "物件"
"PC_CAM_TILT_HINT": "カメラの傾きです"
"BTN_RTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"BTN_X_TXT": "A ボタン"
