"CUST_ITEM_CF_HAIR_MED": "MI-LONGS"
"CUST_ITEM_WOMEN_S_BONDAGE_TOP_1": "VESTE DE FEMME STYLÉE"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_2": "Aumente la cadence de tir. La mire technique améliore la précision en visée."
"CUST_TATTOO_UPPBACK_2": "MORT SI CROISÉ"
"CUST_ITEM_CM_HAIR_DREADS": "MARLEY"
"CUST_ITEM_CM_PSE_FOOT_M_BOOTS": "BOTTES DE CHANTIER"
"LOGO_SECTION9": "SECTION 9"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHIRT": "HABILLÉ POUR IMPRESSIONNER"
"CUST_ITEM_FEMALE_NLM_OUTFIT_E": "LÈVE-TOI ET FUME"
"CUST_ITEM_OVAL_RING_1_LEFT_INDEX_FINGER": "BANDES MURDERBRAWL"
"PLAYER_MORPH_MOUTH_HEIGHT_TEXT": "HAUTEUR DE LA BOUCHE"
"STORE_WEAPON_BUY_UPGRADE": "ACHETER/AMÉLIORER ARMES"
"CUST_COMP_EYE_MAKEUP_7": "AILES"
"HAIR_COLOR_ORANGE": "ORANGE"
"LOGO_NUMBER5": "NUMÉRO 5"
"LOGO_KBOOM": "KBOOM WMD108"
"LOGO_SKEETERS_3": "SKEETERS 3"
"CUST_VARIANT_PETALS": "PÉTALES"
"LEATHER_LACE_NAME": "LEATHER & LACE"
"CUST_TATTOO_LCALF_7": "CHAÎNE"
"CUST_VARIANT_STRIPED_TIE": "RAYÉ AVEC CRAVATE"
"CUST_ITEM_CM_IMPL_UBDY_M_SCARF": "ÉCHARPE FASHION"
"CUST_ITEM_FEMALE_NLM_EARRINGS_5": "GENKI GIRL"
"CUST_ITEM_CM_LLB_LWRST_M_LTHRWRISTBAND": "BRACELET CUIR ET SANGLES"
"CUST_ITEM_CF_PSA_FOOT_F_ANKLEBOOTS": "BOTTES DE TRAÎNÉE"
"CUST_COMPLIMENT_D": "C'EST PAS RARE"
"CUST_COLOR_CLOTHING_GREYS_5": "GRIS 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_2": "Touche une plus grande surface."
"CUST_COMP_CHEEK_MAKEUP_3": "MIME"
"VEHICLE_PAINT_CANDY_PAINT": "PEINTURE CAME"
"CUST_VARIANT_15_DEFAULT": "STYLE 1"
"CUST_VARIANT_BASKETBALL_JERSEY": "RAYÉ"
"CUST_VARIANT_HAT": "UNI"
"PLAYER_MORPH_UPPER_LIP_NOTCH_TEXT": "FENTE DE LA LÈVRE SUPÉRIEURE"
"CUST_TATTOO_RCALF_8": "FACE À LA MORT"
"COLOR_SLOT_PAINT_1_AND_PAINT_2": "PEINTURE 1 ET 2"
"RIM_129": "R129"
"SLOT_COCKPIT": "POSTE DE PILOTAGE"
"CUST_WEAR_TATTOO_AZTEC_SNAKE": "SERPENT AZTÈQUE"
"CUST_SKIN_OILED_3": "HISPANIQUE HUILÉ 1"
"VEHICLE_COLOR_TINT_5": "TEINTE 5%%"
"LOGO_89GENX": "89 GEN X"
"CUST_VARIANT_DUAL_STRIPES_SMALL": "PETITES BANDES DOUBLES"
"CUST_ITEM_CM_PSG_UBDY_M_TRACKJACKET": "VESTE DE SPORT (HOMME)"
"CUST_INSULT_K": "GARS DE LA NATURE"
"CUST_COLOR_CLOTHING_VIOLET-RED_5": "VIOLET-ROUGE 5"
"CUST_COLOR_CLOTHING_BROWNS_4": "BRUN 4"
"CUST_COMP_MUSTACHE_13": "BARBE DE PAYNE"
"COMPONENT_DECAL_6": "DÉCALCO 6"
"CUST_VARIANT_3COLOR_THIN": "TRICOLORE FIN"
"CUST_VARIANT_GRADIENT": "PENTU"
"CUST_SKIN_BLACK_03": "AFRO-AMÉRICAIN 3"
"PLAYER_MORPH_CHEEKBONES_DEPTH_TEXT": "PROFONDEUR DES POMMETTES"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_9": "JAUNE-ORANGE 9"
"CUST_TATTOO_FACE_3": "LAME TRIBALE"
"PAINT_AND_TRIM": "PEINTURE ET GARNITURE"
"CUST_VARIANT_FRONT_STRIPES_SMALL": "PETITES BANDES FRONTALES"
"CUST_WEAR_TATTOO_AZTEC_BUG": "INSECTE AZTÈQUE"
"CUST_ITEM_CM_DLC_FOOT_M_PLATFORMS": "CHAUSSURES STYLE Z"
"CUST_ITEM_CF_RING_F_BIGHEART": "ENSEMBLE \"AMOUR VÉRITABLE\""
"CUST_EYESHADOW": "FARD À PAUPIÈRES"
"CUSTOM_WALK_13": "STYLE VOYOU 8"
"HAIR_SALON_HAIR_LENGTH": "LONGUEUR DE CHEVEUX"
"CUST_COMP_FACE_MAKEUP_4": "MASQUE DE GUERRE"
"CUST_COLOR_BRIGHT_YELLOW": "JAUNE CLAIR"
"CUST_VARIANT_21_DEFAULT": "VARIANTE 21"
"CUST_SKIN_HISPANIC_04": "HISPANIQUE 4"
"PLAYER_CREATION_PRESET_ASIAN": "ASIATIQUE"
"CUST_TATTOO_RHAND_4": "R I T E"
"LOGO_DART": "CIBLE DE FLÉCHETTES"
"CUST_ITEM_CF_DLC_HAND_F_BCGLOVE": "GANTS BLOODY CANONESS"
"CUST_RONIN_COMPLIMENT_C": "COMPLIMENT RONIN 3"
"CUST_CAT_HAIR_COLOR_EYEBROWS": "COULEUR DES SOURCILS"
"CUST_COMP_EYE_MAKEUP_10": "LINER GROSSIER"
"SLOT_BED_MODS": "MODIFS PLATEAU"
"CUST_VARIANT_SKIRTB": "STYLE 2"
"CUST_VARIANT_ZEBRA_1": "ZÉBRA 1"
"CUST_ITEM_CM_FPIC_SETC": "DOUBLE"
"PLAYER_MORPH_EYE_STYLE_TEXT": "TYPE D'YEUX"
"FACIAL_EXPRESSION_SCARED": "EFFRAYÉ"
"PLAYER_MORPH_CROWN_HEIGHT_TEXT": "HAUTEUR DE LA TÊTE"
"CUST_MENU_TOTAL_LIMIT_REACHED": "Tu as atteins le nombre maximum d'items permis dans ta garde-robe."
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_2": "Vise plus rapidement et transporte plus de munitions."
"CUST_TATTOO_NECK_4": "DIAMANT D'ANVERS"
"CUST_COMP_BODY_MASK_4": "BRONZAGE PAYSAN"
"VEHICLE_COLOR_TINT_30": "TEINTE 30%%"
"CUST_ITEM_IMPRESSIONS_FEMALE_O": "TENUE \"SAFARI URBAIN\""
"CUST_ITEM_CM_IMPE_LBDY_M_DRESSPANTS": "PANTALON DE GRANDE CLASSE"
"FACIAL_EXPRESSION_QUIZZICAL": "NARQUOIS"
"PLAYER_MORPH_CHIN_TEXT": "MENTON"
"LOGO_PMS": "PI MU SIGMA"
"CUST_VARIANT_THIN": "FIN"
"CUST_ITEM_COWBOY_HAT_1": "CHAPEAU DE FAR WEST"
"RIM_SET_006": "PACK JANTES 6"
"COMPONENT_OPTION_4": "OPTION 4"
"COLOR_SLOT_RIM": "JANTES"
"CUST_VARIANT_KNIT": "TRICOTÉ"
"CUST_ITEM_CM_CNC_UBDY_M_WHTLOGOA": "T-SHIRT CROOKS & CASTLES D"
"CUSTOM_WALK_7": "STYLE VOYOU 3"
"CUST_TATTOO_FACE_7": "SERPENTS JUMEAUX"
"VEHICLE_COLOR_SILVER": "ARGENT"
"CUST_SKIN_PURPLE_4": "VIOLET PRINCESSE"
"CUSTOM_WALK_FEMALE_02": "FEMME PAR DÉFAUT 2"
"CUSTOM_WALK_17": "STYLE VOYOU 12"
"CUST_COLOR_CLOTHING_VIOLET-RED_1": "VIOLET-ROUGE 1"
"CUST_COMP_MUSTACHE_17": "CHUCK"
"OPTION_37": "OPTION 37"
"COMPONENT_DECAL_2": "STICKER 2"
"CUST_VARIANT_SLEEVES": "UNI"
"PLAYER_MORPH_EYE_FOLDS_ELEVATION_TEXT": "HAUTEUR BORDS DES YEUX"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_8": "JAUNE-VERT 8"
"CUST_COMP_EYES_DARK_BROWN": "MARRON FONCÉ"
"LOGO_PHEASANT": "CHASSEUR DE FAISANS"
"CUST_VARIANT_ULTOR2": "ULTOR 2"
"VEHICLE_PAINT_LICENSE_PLATES": "PLAQUES D'IMMATRICULATION"
"HAIR_COLOR_GREEN_MATTE": "VERT MAT"
"CUST_VARIANT_LARGE_STRIPES": "BANDES LARGES"
"VEHICLE_COLOR_ATLANTIC_TEAL": "SARCELLE ATLANTIQUE"
"CUST_WEAR_TUCKED": "RENTRÉ"
"CUST_ITEM_IMPRESSIONS_FEMALE_K": "FEMME K IMPRESSIONS"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOC": "T-SHIRT CROOKS & CASTLES C"
"CUST_MORPH_CAT_JAW": "MÂCHOIRE"
"CUST_COMP_EYE_MAKEUP_14": "SPHINX"
"SLOT_MIRRORS": "MIROIRS"
"HAIR_COLOR_YELLOW_MATTE": "JAUNE MAT"
"CUST_WEAR_UNZIPPED_HOOD_DOWN": "NON FERMÉ, CAPUCHE BAISSÉE"
"CUST_ITEM_CF_NLMF_FOOT_F_VICTORIANBOOTS": "BOTTES VICTORIENNES STEAMPUNK"
"STORE_WEAPON_NAVIGATE": "PARCOURIR"
"SK03": "PEAU03"
"CUST_VARIANT_SMALL_FLOWERS": "PETITES FLEURS"
"CUST_WEAR_BUTTONED_HOOD_DOWN": "BOUTONNÉ, CAPUCHE BASSE"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRTLOWV": "VESTE BRANCHÉE AVEC T-SHIRT"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO": "COMBO STRATAGÈME"
"CUSTOM_WALK_3": "STYLE VOYOU 2"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_2": "Transporte plus de missiles."
"CUST_TATTOO_LOWBACK_4": "COURBÉ, HAUT"
"CUST_COLOR_FLESH_4": "CHAIR 4"
"CUST_WEAR_HALF OPEN": "MI-OUVERT"
"CUST_ITEM_CM_UBDY_M_THEROW": "MEMBRE DU RANG"
"CUST_ITEM_CM_HAIR_SHORT": "COURTS"
"CUST_ITEM_MINER_HAT": "MASQUE MURDERBRAWL"
"PLAYER_MORPH_FACE_DEPTH_TEXT": "PROFONDEUR DU VISAGE"
"CUST_TATTOO_UPPBACK_6": "DEUX PIGEONS SAINTS"
"CUST_COMP_FACE_MOLE_8": "GRAIN DE BEAUTÉ 8"
"CUST_VARIANT_TWO_COLOR": "BICOLORE"
"CUST_VARIANT_LEATHERLEATHER": "CUIR VERNI"
"CUST_COLOR_WHITE": "BLANC"
"CUST_ITEM_CM_PSJ_EYES_M_SHTRGLS": "LUNETTES STUNNA"
"CUST_ITEM_CF_PSE_UBDY_F_GFXJERSEYCOMBO": "MAILLOT DE SPORT DE FEMME"
"PLAYER_MORPH_BROW_ELEVATION_TEXT": "ÉLÉVATION DES SOURCILS"
"CUST_COMP_EYE_MAKEUP_3": "TÂCHE DROITE"
"RIM_188": "C-X 502"
"SLOT_DECAL_10": "STICKER 10"
"BRIGHT_GREEN": "VERT CLAIR"
"LOGO_NUMBER1": "NUMÉRO 1"
"LOGO_FEEDSUCK": "FEED DOGS SUCK"
"CUST_ITEM_CF_PSG_LWRST_F_SBAND": "BANDEAU"
"HAIR_CAT_BALD": "CHAUVE"
"VEHICLE_COLOR_JET_BLACK": "NOIR JAIS"
"CUST_VARIANT_CLEAR": "DÉGAGÉ"
"CUST_VARIANT_BAND": "BANDÉ"
"CUST_ITEM_CF_IMPO_LBDY_F_SHORTS": "SHORT \"SAFARI URBAIN\""
"CUST_ITEM_CF_NLMD_LBDY_F_PANTS": "JEAN DE HIPSTER"
"SURGEON_CAT_MORPHS": "TRANSFORMATIONS"
"CUST_COLOR_CLOTHING_GREYS_1": "GRIS 1"
"VEHICLE_COLOR_YELLOW_DARK_TINT": "TEINTE JAUNE FONCÉ"
"CUST_WEAR_LOW_LEFT_ROLLED_RIGHT_ZIPPED": "REVERS GAUCHE, BAS"
"CUST_WEAR_FINGER_LR": "ANNULAIRE GAUCHE"
"CUST_TATTOO_RIGHT_SHOULDER": "ÉPAULE DROITE"
"CUST_TATTOO_LCALF_3": "CONTINUE DE NAGER"
"LOGO_PEACE": "PEACE"
"CUST_VARIANT_WIDOWS_PEAK": "POINTE FRONTALE"
"CUST_VARIANT_MATERIAL_9": "CUST_VARIANT_MATERIAL#9"
"CUST_ITEM_FEMALE_NLM_EARRINGS_1": "FLOWER POWER"
"PLAYER_CREATION_FIGURE_OVERWEIGHT": "LÉGER SURPOIDS"
"PLAYER_MORPH_CROWN_LENGTH_TEXT": "LONGUEUR DE LA TÊTE"
"CUST_INSULT_O": "COSPLAY"
"CUST_MORPH_CAT_CHIN": "MENTON"
"PLAYER_MORPH_CAUCASIAN_TEXT": "CAUCASIEN"
"STORE_WEAPON_OWNED_NOT_EQUIPPED": "{0} NIVEAU {1}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_3": "Augmente la cadence de tir et les dégâts."
"RIM_STANDARD": "STANDARD"
"CUST_VARIANT_SMALL_3_STRIPES": "PETITES BANDES"
"CUSTOM_WALK_FEMALE_5": "FEMME REMUANTE"
"CLOTHES_IMPRESS": "IMPRESSIONS"
"CUST_TATTOO_RHAND_8": "HAND_TATTOO_R8"
"CUST_TATTOO_CHEST_3": "MOLLUSQUE POLYVALENT"
"PAINT_TRIM_AND_RIMS": "PEINTURE, JANTES ET GARNITURES"
"RIMS_AND_TRIM": "JANTES ET GARNITURES"
"CUST_ITEM_CM_LPE_PACK_M_MBACKPACK": "SAC À DOS DE L'EMPIRE"
"FACIAL_EXPRESSION_INSANE": "DÉMENT"
"CUST_COMP_FACE_MAKEUP_8": "EMPREINTE DE LÉOPARD"
"LOGO_BAT_1": "CHAUVE-SOURIS 1"
"CUST_VARIANT_BELT": "UNI"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_5": "PETITS ANNEAUX"
"CUST_ITEM_CF_IMPQ_WRST_F_LATEXBRACE": "BRACELET EN LATEX IMPRESSIONNANT"
"CUST_COMPLIMENT_KING": "LE ROI"
"CUST_MENU_MOVEMENT": "PERSONNALITÉ"
"CANT_WEAR_BELTS": "LES CEINTURES NE VONT QU'AVEC CERTAINS PANTALONS"
"PLAYER_CREATION_MENU_4": "PILOSITÉ"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_5": "JAUNE-ORANGE 5"
"CUST_TATTOO_LHAND_7": "HAND_TATTOO_L7"
"CUST_COLOR_INDIGO_3": "INDIGO 3"
"CUST_COLOR_PURPLE_2": "VIOLET 2"
"CUST_ITEM_TOILET": "TOILETTE"
"CUST_ITEM_LEATHER_LACE_FEMALE_S": "FEMME SOMBRE"
"CUST_ITEM_CM_PSF_LBDY_M_BSHORTS": "SHORT DE LANCER FRANC"
"PLAYER_MORPH_SATURATION_TEXT": "SATURATION"
"CUSTOMIZATION_TITLE": "PERSONNALISATION JOUEUR"
"CUST_COLOR_CLOTHING_VIOLET-RED_9": "VIOLET-ROUGE 9"
"CUST_COLOR_CLOTHING_BROWNS_8": "BRUN 8"
"VEHICLE_COLOR_BRETON_GREEN": "VERT BRETON"
"LOGO_FUZZ": "FUZZ"
"CUST_VARIANT_CAMOUFLAGE": "CAMOUFLAGE"
"CUST_ITEM_CF_HAIR_CORNROWS_1": "TRESSES_COLLÉES"
"CUST_ITEM_CM_NLMA_HAT_M_SPHAT": "HAUT-DE-FORME"
"CUST_SKIN_GOLD": "OR"
"CUST_COMP_MALE_EYEBROWS_5": "GÉNIE DIABOLIQUE"
"COMPONENT_OPTION_8": "OPTION 8"
"HAIR_COLOR_ORANGE_MATTE": "ORANGE MAT"
"LOGO_RUSTY_S_NEEDLE_2": "RUSTY'S NEEDLE 2"
"CUST_WEAR_UNBUTTONED_HOOD_UP": "NON BOUTONNÉ, CAPUCHE RELEVÉE"
"CUST_ITEM_CM_IMPE_HAT_M_PAN_FEDORA": "CHAPEAU SOUTH BEACH"
"CUST_ITEM_CF_LLK_FOOT_F_LATEXBOOTS": "BOTTES ARDENTES"
"CUST_ITEM_CM_LPG_MASK_M_MASKAPE": "TÊTE DE SINGE"
"PLAYER_OLD_TEXT": "VIEUX"
"PLAYER_MORPH_CHIN_CREASE_TEXT": "PLI DU MENTON"
"PLAYER_MORPH_BROW_HEIGHT_TEXT": "HAUTEUR DES SOURCILS"
"CUST_TATTOO_NECK_8": "CYGNE NOIR"
"HAIR_COLOR_BLACK_MATTE": "NOIR MAT"
"LOGO_NUMBER_13": "NUMÉRO 13"
"CUST_ITEM_CF_SUIT_CYPHERSUIT": "ASSASSIN ULTOR"
"CUST_ITEM_CF_NLMC_LBDY_M_SKIRTPANTS": "PANTALON GOTHIQUE"
"CUST_ITEM_CM_HAIR_CAESAR": "LE ROMAIN"
"CUST_FACIAL_EXP_BASHFUL": "TIMIDE"
"CUST_COLOR_CLOTHING_ORANGE_2": "ORANGE 2"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_UNZIPPED": "OUVERT, HAUT"
"CUST_ITEM_CF_DLC_WP_UBDY_F_UPPER": "HAUT DE PRINCESSE GUERRIÈRE"
"CUST_ITEM_CF_NLMH_PACK_F_CATBACKPACK": "MAUVAIS CHATON"
"PLAYER_MORPH_NOSTRIL_ELEVATION_TEXT": "ÉLÉVATION DES NARINES"
"PLAYER_MORPH_LOWER_LIP_SHAPE_TEXT": "FORME DE LA LÈVRE INFÉRIEURE"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_2": "Augmente les dégâts. Le point de mire rouge améliore la précision en visée."
"VEHICLE_COLOR_RED_DARK_TINT": "TEINTE ROUGE FONCÉ"
"RIM_180": "SD DCY15"
"LOGO_NUMBER9": "NUMÉRO 9"
"LOGO_SAINTSBEER": "SAINTS BEER"
"CUST_VARIANT_HEARTS": "CŒURS"
"CUST_VOICE_ZOMBIE": "ZOMBIE"
"CUST_SEX_APPEAL": "SEX-APPEAL"
"CUST_VARIANT_STRETCH_TOP": "STYLE 1"
"CUST_TATTOO_LEFT_LEG": "JAMBE GAUCHE"
"CUST_MENU_COLOR": "COULEUR"
"PLAYER_CREATION_FIGURE_SLENDER": "SVELTE"
"PLAYER_MORPH_EAR_INSIDE_TEXT": "INTÉRIEUR DES OREILLES"
"CUST_TATTOO_RFORARM_1": "ÉQUILIBRE"
"VEHICLE_COLOR_WILDLIFE_GREEN": "VERT SAUVAGE"
"CUST_VARIANT_NAILS_B": "ONGLES 2"
"CUST_ITEM_CM_SUIT_NORMALTESTSUIT": "SWEAT BANAL"
"SLOT_SEATS": "SIÈGES"
"CUST_VARIANT_PATTERN2": "STYLE 2"
"CUST_ITEM_BLOWUPDOLL": "POUPÉE GONFLABLE"
"CUST_ITEM_MALE_NLM_OUTFIT_C": "CHIC FAINÉANT"
"PLAYER_MORPH_NOSTRILS_ELEVATION_TEXT": "ÉLÉVATION DES NARINES"
"PLAYER_MORPH_CHIN_BULGE_TEXT": "SAILLIE DU MENTON"
"CUST_VARIANT_PATTERN_1": "STYLE 1"
"CUST_INSULT_G": "LA MARINE"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_SIZE_TEXT": "TAILLE MILIEU LÈVRE SUPÉRIEURE"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_2": "Augmente les dégâts."
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_3": "Augmente la capacité de tes chargeurs."
"CUST_TATTOO_RCALF_4": "SOUVIENS-TOI DE MOI"
"CUST_TATTOO_LARM_3": "FRATERNITÉ"
"CUST_TATTOO_LUPPARM_1": "DE LA DYNAMITE"
"CUST_COMP_FACE_FRECKLES": "TACHES DE ROUSSEUR"
"CUST_COMP_FEMALE_EYEBROWS_3": "DESSINÉS"
"COMPONENT_ADD_TIRE_DURABILITY": "DURABILITÉ PNEUS"
"SLOT_FAIRINGS": "CARÉNAGES"
"LOGO_RHOMBUS": "LOSANGE"
"CUST_VARIANT_THICK_TRI_COLOR": "TRICOLORE ÉPAIS"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR": "SANGLÉ"
"CUST_CAT_RING": "BAGUES"
"CUST_INSULT_JERK": "BRANLETTE"
"CUST_COLOR_CLOTHING_GREYS_9": "GRIS 9"
"BRIGHT_YELLOW-GREEN": "JAUNE-VERT CLAIR"
"CUST_VARIANT_CMSHO_UUTIBOOT01": "TOILE"
"CUST_VARIANT_STRIPES_1": "BANDES 1"
"CUST_VARIANT_BEADS": "PERLES"
"CUST_ITEM_CM_LLK_UBDY_M_BATHROBE": "PEIGNOIR DE BAIN"
"CUST_UNDERWEAR": "SOUS-VÊTEMENT"
"CUST_SKIN_ORC": "VERT ORQUE"
"CUST_VARIANT_09_DEFAULT": "VARIANTE 9"
"CUST_VARIANT_PLAID_1": "ÉCOSSAIS 1"
"CUST_VARIANT_MATERIAL_1": "CUST_VARIANT_MATERIAL#1"
"CUST_WEAR_FINGER_RI": "INDEX DROIT"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHRTTIE": "GRANDE CLASSE"
"CUST_ITEM_FEMALE_PS_EARRINGS_1": "FLEUR DE SAINTS"
"CUST_COMPLIMENT_H": "HOUSE PARTY"
"CUST_ITEM_CF_LPH_UBDY_F_VARSITYCHEER": "MAILLOT \"ESPRIT D'ÉQUIPE\""
"VEHICLE_COLOR_BAY_YELLOW": "JAUNE BAIE"
"RIM_184": "V-F 603"
"CUST_VARIANT_MATERIAL_24": "CUST_VARIANT_MATERIAL#24"
"CUST_ITEM_CM_PSE_EYES_M_SHADES": "LUNETTES GANGSTA"
"CUST_ITEM_BIKER_HELMET": "CHAPEAU DE VOYOU"
"FACIAL_EXPRESSION_ROGUISH": "MALICIEUX"
"FACIAL_EXPRESSION_FEARFUL": "AFFREUX"
"CUST_BRO_TAUNT_A": "VANNE BROTHERHOOD 1"
"VEHICLE_COLOR_BELIZE_GREEN": "BELIZE VERT"
"MALE_OVERWEIGHT": "HOMME, GROS"
"CUST_RACE_ASIAN": "ASIATIQUE"
"CUST_ITEM_CF_IMPR_FOOT_F_HEELS": "TALONS BRANCHÉS"
"CUST_ITEM_MALE_NLM_OUTFIT_G": "JEUNE INDIE DÉPRIMÉ"
"CUST_ITEM_CF_BOBINEYE": "MÈCHE DANS LES YEUX"
"FACIAL_EXPRESSION_SNEER": "MÉPRISANT"
"PLAYER_CREATION_FIGURE_BODYBUILDER": "BODYBUILDER"
"CUST_TATTOO_RFORARM_5": "FÉE VIOLETTE"
"CUST_COMP_FACE_MOLE_4": "GRAIN DE BEAUTÉ 4"
"CUST_VARIANT_MATTE": "MAT"
"CUST_VARIANT_THE_FADE": "DÉLAVÉ"
"CUST_ITEM_CM_LPC_UBDY_M_HEROFALCON": "FALCONMAN"
"CUST_CAT_NECKLACE": "COLLIER"
"CUST_SKIN_GREY_4": "PIERRE DE GOLEM"
"PLAYER_MORPH_CHIN_DIMPLE_TEXT": "FOSSETTE DU MENTON"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_2": "Augmente la capacité de tes chargeurs et les dégâts. Le point de mire rouge améliore la précision en visée."
"CUST_TATTOO_LARM_7": "NINJA"
"CUST_TATTOO_LUPPARM_5": "À MOI POUR TOUJOURS"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_3": "STRING FICELLE"
"CUST_ITEM_CM_PSC_LBDY_M_DICKIES": "PANTALON D'OUVRIER"
"SLOT_SIDE_SKIRT": "JUPE LATÉRALE"
"CUST_VARIANT_CHILD_RWRIST": "STYLE 2"
"CUST_VARIANT_LARGE_PLAID": "ÉCOSSAIS, GROS"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_ROLLED": "Ouvert G, revers D, bas"
"CUST_INSULT_C": "VERS L'OUEST"
"PLAYER_MORPH_NOSTRIL_THICKNESS_TEXT": "ÉPAISSEUR DES NARINES"
"PLAYER_MORPH_CHEEKBONE_ELEVATION_TEXT": "ÉLÉVATION DES POMMETTES"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_3": "Augmente la capacité de tes chargeurs. Ajoute un troisième canon pour encore plus de dégâts."
"VEHICLE_PAINT_INTERIORS": "INTÉRIEURS"
"COMPONENT_OPTION_11": "OPTION 11"
"SLOT_DECAL": "DÉCALCO"
"CUST_COLOR_GREEN_1": "VERT 1"
"LOGO_FISH": "POISSON"
"CUST_VARIANT_BONES": "VAUDOU"
"CUST_VARIANT_MATERIAL_5": "CUST_VARIANT_MATERIAL#5"
"CUST_ITEM_CF_DLC_SUIT_F_BCAN": "TENUE TOP CANON SANGLANTE"
"CUST_ITEM_CF_RING_F_ROCKERSET": "BAGUES \"HEAVY METAL\""
"CUST_ITEM_CM_NLMG_LBDY_M_LOOSEPANTS": "PANTALON GANGSTA CLASSIQUE"
"CUST_COMPLIMENT_L": "J'Y CROIS ENCORE"
"PLAYER_MORPH_CHEEK_CREASE_TEXT": "PLI DES JOUES"
"CUST_VARIANT_01_DEFAULT": "VARIANTE 1"
"CUST_ITEM_CF_LLJ_FOOT_F_BIKERBOOTS": "BOTTES DE MOTARDE VÉTÉRANTE"
"CUST_CAT_MAKEUP_FOREHEAD": "FRONT"
"SLOT_LIGHT_COVERS": "PROTÈGE-PHARES"
"CUST_ITEM_CF_LLJ_UBDY_F_LTHRJCKT": "VESTE \"MEUF DE MOTARD\""
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_1": "CLOUS DIAMANTS"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_4": "JAUNE-VERT 4"
"CUST_TATTOO_CHEST_7": "ARC-EN-CIEL HEUREUX"
"LEVEL_2": "NIVEAU 2"
"CUST_VARIANT_BABYT_OG": "OG"
"CUST_ITEM_MALE_GATSUIT": "MASCOTTE JOHNNY GAT"
"CUST_ITEM_CM_NLMC_LWRST_M_WRISTBANDS": "BILLES \"LOVE2RAVE\""
"CUST_ITEM_FEMALE_LL_EARRINGS_2": "CLOUS AMOUR VÉRITABLE"
"CUST_ITEM_CM_LPH_UBDY_M_PIRATESHIRT": "FIER-À-BRAS"
"PLAYER_MORPH_FACE_WIDTH_TEXT": "LARGEUR DU VISAGE"
"CUST_COMP_EYES_BLUE": "BLEU"
"SLOT_INTERIOR": "INTÉRIEUR"
"PAINT_4": "PEINTURE 4"
"CUST_ITEM_CF_NLMH_RWRST_F_WRISTBANDS": "BRACELETS DE FÊTARDE"
"CUST_VOICE_FEMALE_BLACK": "FEMME 2"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_1": "JAUNE-ORANGE 1"
"CUST_TATTOO_LHAND_3": "FOUR DE HAINE"
"VEHICLE_COLOR_FROSTED_BLUE": "BLEU GIVRÉ"
"PLAYER_MORPH_GLOBAL_FACE_TEXT": "CONTOUR VISAGE"
"PLAYER_MORPH_BOTTOM_LIP_EDGES_SIZE_TEXT": "TAILLE EXTRÉMITÉS LÈVRE INFÉRIEURE"
"CUST_TATTOO_LOWBACK_8": "COURBÉ, BAS"
"SLOT_TRUNK": "COFFRES"
"CUST_VARIANT_CHILD_HEMP": "STYLE 1"
"CUST_VARIANT_WITH_DECALS": "IMPRIMÉ"
"CUST_ITEM_CF_HAIR_LONGHIPONYBANGS": "POM POM GIRL"
"CUST_CAT_FACE": "VISAGE"
"CLOTHES_INSUFFICIENT_FUNDS_TEXT": "Tu n'as pas assez d'argent\npour acheter le vêtement suivant : \"%s\"."
"CUST_COMP_MALE_EYEBROWS_1": "ÉPAIS MASCULINS"
"COMPONENT_EXTRA_HIGH_PROFILE": "SILHOUETTE EXTRA HAUTE"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS": "RENTRÉ, BOUTONNÉ"
"CUST_ITEM_CF_DLC_EYES_F_BCAN": "LUNETTES TOP CANON SANGLANTE"
"CUST_SKIN_GREEN_4": "VERT TRÈFLE"
