"DROP_SPHERE": "DAI SFERA"
"HORDE_MODE_ALL_ENEMIES_KILLED": "Nemici uccisi!"
"STAT_WEAPON_RIFLE": "FUCILE"
"STAT_COOP_STRONGHOLDS_COMPLETED": "COOP: ROCCAFORTI COMPLETATE"
"GENERAL_YOU": "TU"
"HASH_631F9AA8": "METAGIOCO COOP: PUNTI"
"MUSIC_ARTIST_UNKNOWN": "SCONOSCIUTO"
"STAT_GARAGES_ACQUIRED": "GARAGE ACQUISITI"
"STAT_CAT_MOUSE_KILLS": "GATTO E TOPO: UCCISIONI"
"STAT_RIFLE_SHOTS_FIRED": "COLPI DI FUCILE SPARATI"
"CUST_GANG_NAME_COLLEGE": "STUDENTI DEL COLLEGE"
"GOD_MODE_DESC": "Sei inarrestabile."
"ACT_CHOP_SHOP_LEAVE_FULL": "Vuoi davvero uscire dal rivenditore d'auto rubate?"
"GARAGE_CAT_1": "CARROZZERIA"
"STORE_CLOTHING_STORE_MSG": "COMPRA DEGLI ABITI"
"STRONGHOLD_START_TEXT": "PREMI %s PER ASSALTARE LA ROCCAFORTE %s"
"ADD_GANG_NOTORIETY_DESC": "Aggiunge notorietà della gang, una stella ogni uso."
"Overcast": "CIELO COPERTO"
"TAXI_CONFIRM_PURCHASE_FULL": "Vuoi comprare questo veicolo per %ls?"
"MENU_SWAP_WEAPONS_CACHE": "DEPOSITO ARMI"
"STORE_TITLE_PURCHASING": "ACQUISTO"
"STAT_VEHICLES_HIJACKED": "VEICOLI DIROTTATI"
"STAT_HOSTAGE_CASH": "DENARO GUADAGNATO COME RAPITORE"
"CONTROL_ROTATE": "RUOTA"
"DROP_SANDSTORM": "RICEVI SANDSTORM"
"GIVE_DILDO": "RICEVI PENETRATORE"
"GIVE_GRENADE": "RICEVI GRANATA"
"TIME_SET_MIDNIGHT": "ORA MEZZANOTTE"
"STORE_CHOOSE_A_CATEGORY": "SCEGLI UNA CATEGORIA"
"STORE_ZOOM_ROTATE": "ZOOM / RUOTA"
"STAT_DRUG_PACKAGES_FOUND": "PACCHETTI DI DROGA TROVATI"
"Coop Col1_NAME": "CLASSIFICA COOP"
"HASH_BD9681AC": "METAGIOCO COOP: MASSIMO DI PUNTI IN UN ROUND"
"CONTROL_EXIT_PLAYER_CREATION": "ESCI DALLA GESTIONE CORPO"
"CONTROL_OKAY": "OK"
"CELL_NEWS_VAN": "CANALE TELEVISIVO"
"STORE_PRICE": "COSTO ${0}"
"STORE_TEXT_DISCARD_OUTFIT_WARNING": "Se rimuovi questo oggetto dal tuo guardaroba rimuoverai anche il completo associato."
"CRIB_WARDROBE_EXIT": "Vuoi davvero uscire\n\ndal guardaroba?"
"STORE_EXIT_CLIPBOARD": "Uscire dalla bacheca?"
"STAT_HITMAN_TARGETS_ELIMINATED": "OBIETTIVI KILLER ELIMINATI"
"STAT_BIKES_DESTROYED": "NUMERO DI MOTO DISTRUTTE"
"STAT_MELEE_KILLS": "UCCISIONI CORPO A CORPO"
"STATS_YES": "SÌ"
"ESCORT_NAME_8A": "ORO"
"HASH_84FAC22D": "RISPETTO OTTENUTO DA ESIBIZIONISTA"
"CELL_RUSTYS_NEEDLE": "RUSTY'S NEEDLE"
"LOW_GRAVITY": "GRAVITÀ MINIMA"
"CUST_ICON_SUITS": "ABITI"
"CUST_ICON_RINGS": "ANELLI"
"CUSTOMIZE_ITEM_SAVE_CHANGES_EXIT_FULL": "Prima di uscire\nvuoi salvare le modifiche?"
"STAT_SMG_SHOTS_FIRED": "COLPI DI MITRA SPARATI"
"STAT_SWAT_KILLED": "SWAT UCCISI"
"CONTROL_RETURN_TO_MAIN_MENU": "TORNA AL MENU PRINCIPALE"
"CONTROL_ZOOM": "ZOOM"
"CONTROL_PURCHASE": "ACQUISTA"
"MAP_ICON_CRIB_PURCHASE": "ALLOGGIO IN VENDITA"
"CHEAT_CHARACTER_DESC": "Cambia l'aspetto del tuo personaggio nel personaggio indicato."
"MUSIC_ELECTRONICA": "ELETTRONICA"
"POC2_WEAPON_UPGRADE_1": "POTENZIA ARMA - LIVELLO 1"
"STORE_BUILD": "CORPORATURA"
"COMPLETION_STYLE_BONUS": "BONUS STILE"
"PURCHASEABLE_PROPERTEY_THUNDER": "THUNDER PUMP"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "VANDALISMO BLINDATO: DANNI PROVOCATI"
"STAT_TIME_AT_MAX_POLICE_NOTORIETY": "TEMPO NOTORIETÀ MASSIMA POLIZIA"
"STAT_LONGEST_POWERSLIDE_TIME": "DURATA MAX SGOMMATA"
"STAT_TOTAL_MONEY": "SOLDI TOTALI GUADAGNATI"
"ESCORT_NAME_19A": "SPUTO"
"HASH_2B28212F": "SEQUENZA MAX DI RIMBALZI CON SOSPENSIONI IDRAULICHE"
"CONTROL_EXIT_WARDROBE": "ESCI DAL GUARDAROBA"
"MAP_ICON_HITMAN": "KILLER"
"GIVE_TEKZ10": "RICEVI TEK Z-10"
"TOD_CYCLE_DESC": "Cambia l'ora del giorno."
"SAVELOAD_CONTINUE_NO_FILES_FOUND": "Nessun file di salvataggio precedente trovato.\nIniziare una nuova partita?"
"STORE_UNDERWEAR_WARNING": "ATTENZIONE"
"WPNSTOR_TITLE_FRIENDLY_FIRE": "FRIENDLY FIRE"
"HORDE_MODE_WEAPON_UPGRADE_TITLE": "Arma primaria potenziata!"
"SP Vehicle Jumps Col3_NAME": "CLASSIFICA SALTI VEICOLO"
"SP Diversion Stars Col2_NAME": "CLASSIFICA DIVERSIVI"
"SP Time Col3_NAME": "CLASSIFICA TEMPO DI GIOCO"
"HASH_745E5BB0": "DEATH TAG: SERIE DI UCCISIONI PIÙ LUNGA"
"GIANT_PLAYER": "SONO UN GIGANTE"
"SUPER_SAINTS": "SUPER SAINTS"
"BUILDING_PURCHASE_CASH_PER_HOUR": "${0} ALL'ORA"
"CRIB_HUD_DOCK_NAME": "MOLO IMBARCAZIONI DI RONDINI"
"VEHICLE_ADVANCED": "%s (AVANZATO)"
"GARAGE_CAT_5": "DETTAGLI"
"STAT_CAT_MOUSE_TIME": "GATTO E TOPO: TEMPO TRASCORSO"
"STAT_FRAUD_CASH_CLAIMED": "FRODE ASSICURATIVA: DENARO PRETESO"
"STAT_DIVERSION_CASH_EARNED": "GUADAGNI DA DIVERSIVI"
"STAT_BASE_OWNED": "PARACADUTE OTTENUTO"
"SP Kills Col1_NAME": "CLASSIFICA MATTANZA"
"CAR_MASS_HOLE_DESC": "Il tuo veicolo ha massa infinita e polverizza quelli che scontra."
"PLAYER_PRATFALLS_DESC": "Usa {SHOULDER_CAMERA_IMG}/{ATTACK_PRIMARY_IMG} per simulare, come in Frode assicurativa."
"BUILDING_PURCHASE_DISCOUNT": "{0}%%% DI SCONTO"
"GANG_CUST_SLOT_1": "SPAZIO 1"
"STORE_CAR_MECHANIC_MSG": "VAI DAL MECCANICO"
"STAT_NEIGHBORHOODS_EXPLORED": "QUARTIERI ESPLORATI"
"ESCORT_NAME_32B": "MATRIARCA"
"GIVE_RPG": "RICEVI LANCIARAZZI"
"DROP_AMBULANCE": "RICEVI AMBULANCE"
"PREVIEW_UNAVAILABLE": "ANTEPRIMA NON DISPONIBILE"
"VCUST_TIRE_TREAD_OPTION": "BATTISTRADA"
"STAT_SHORTCUTS_FOUND": "SCORCIATOIE TROVATE"
"STAT_MISSIONS_FAILED": "MISSIONI FALLITE"
"STAT_CAT_MOUSE_DEATHS": "GATTO E TOPO: MORTI"
"STAT_COOP_TIME_PLAYED": "COOP: TEMPO DI GIOCO"
"STAT_COMBAT_MOTORCYCLE_RESPECT": "RISPETTO OTTENUTO CON UCCISIONI CON MOTOCICLETTA"
"STAT_MAX_STUNT_JUMP_DISTANCE": "DISTANZA MAX SALTO"
"CONTROL_BTN_START": "START"
"DROP_MIAMI": "RICEVI MIAMI"
"ACHIEVES_GAIN_BLANK": "Hai raggiunto il traguardo %s!"
"ESCORT_NAME_30B": "NORRIS"
"CUST_TITLE_OUTFIT_CREATION": "CONFERMA CREAZIONE"
"HASH_D25D9734": "MASSIMA DISTANZA SPARI DALL'ANCA"
"CUST_GANG_NAME_CROSS": "TRAVESTITI"
"BLOODY_MESS_DESC": "Tutte le tue vittime esplodono."
"REPAIR_CAR_DESC": "Ripara tutti i danni al tuo veicolo."
"PURCHASEABLE_PROPERTEY_PAWN2": "PLAN B PAWN SHOP"
"GARAGE_REPAIR_MUST": "NON PUOI PERSONALIZZARE LA TUA AUTO A MENO CHE NON SIA PERFETTAMENTE RIPARATA"
"STAT_TIME_AT_MAX_DECKER_NOTORIETY": "TEMPO NOTORIETÀ MASSIMA DECKERS"
"STAT_SURFING_RESPECT": "RISPETTO GUADAGNATO CON IL SURF SU VEICOLI"
"STAT_COMBAT_NUTSHOT": "COLPI ALLE PALLE"
"Partners in Crime_NAME": "PARTNER NEL CRIMINE"
"PAUSE_MAP_ICONS_ON_OFF": "ATTIVA/DISATTIVA ICONE"
"GANG_NEUTRAL": "NEUTRALI"
"TAT_REG_L_FOREARM": "AVAMBRACCIO SINISTRO"
"HORDE_MODE_NEW_TEXT": "Vuoi davvero riavviare la modalità Lorda?"
"STAT_SNATCH_LEVELS_COMPLETED": "PAPPONE COMPLETATO"
"ESCORT_NAME_36B": "VESCOVO"
"CELL_RIM": "RIM JOBS"
"GIVE_CYBER": "RICEVI CYBER BUSTER"
"PLAYER_CREATION_SAVE_CHANGES_EXIT_TEXT_FULL": "Prima di uscire\nvuoi salvare le modifiche?"
"STORE_EXIT": "ESCI"
"HORDE_MODE_TITLE_FINAL_COMPLETE": "ONDATA FINALE COMPLETATA"
"STAT_BRUTES_KILLED": "BESTIONI UCCISI"
"ESCORT_NAME_28A": "MALVAGIO"
"vandalism": "VANDALISMO"
"HASH_2B25A437": "PERSONE OGGETTO DI ESIBIZIONISMO"
"CONTROL_NO": "NO"
"GIVE_SNIPER": "RICEVI MCMANUS 2015"
"HUD_RETRY_ACTIVITY_MESSAGE_FULL": "Se riprovi una modalità perderai ogni arma e il rispetto guadagnati fino a quel momento."
"VEHICLE_PRICE": "PREZZO"
"WPNSTOR_TEXT_MELEE_ONLY_ONE_BLANK": "Puoi portare solo un'arma di tipo \"%s\"."
"STAT_COOP_REVIVES": "COOP: GIOCATORI RIANIMATI"
"STAT_STRONGHOLDS_COMPLETED": "ROCCAFORTI COMPLETATE"
"STAT_DRIVING_DRIFTING_DISTANCE": "DURATA MAX SGOMMATA"
"STAT_DRIVING_BIGAIR": "SUPER SALTI"
"STAT_CUSTOM_ITEMS_OWNED": "OGGETTI DI PERSONALIZZAZIONE POSSEDUTI"
"STAT_CHOPSHOP_COMPLETED": "MODALITÀ RIVENDITORE D'AUTO RUBATE COMPLETATA"
"ESCORT_NAME_34B": "MANTIDE"
"SPStronghold": "GIOCANDO A {C10} FORTEZZA: {C6}"
"COMERCIAL_5": "SCONTI DEL 15% DA FRIENDLY FIRE"
"CUST_ICON_NECKLACES": "COLLANE"
"GARAGE_CUSTOMIZE_VEHICLE": "PERSONALIZZA"
"STORE_PLASTIC_SURGEON_MSG": "VAI DAL CHIRURGO PLASTICO"
"HORDE_MODE_NEW_WAVE_MESSAGE": "ONDATA %i"
"STAT_BEST_WEAPON": "MIGLIORE ARMA"
"STAT_HOSTAGES_EXTORTED": "OSTAGGI TORCHIATI"
"ESCORT_NAME_26A": "DOCILE"
"RESTORE_PLAYER": "RIPRISTINA A NORMALE"
"MUSIC_CLASSICAL": "CLASSICA"
"PURCHASEABLE_PROPERTEY_PAWN": "SNOOKY'S SUNDRIES ED ALTRO"
"PURCHASEABLE_PROPERTEY_COUNTERFITING": "COUNTERFITING"
"HORDE_MODE_REMAINING_ENEMIES_TAG": "NEMICI RIMASTI"
"STAT_LAW_ENFORCEMENT_KILLED": "RAPPRESENTANTI FORZE DELL'ORDINE UCCISI"
"SP Kills Col3_NAME": "CLASSIFICA MATTANZA"
"CUST_GANG_NAME_COWBOY": "COWBOY"
"GIVE_SHEPERD": "RICEVI 45 SHEPERD"
"GIVE_MOLOTOV": "RICEVI BOTTIGLIA MOLOTOV"
"Infinite_Ammo": "MUNIZIONI INFINITE"
"GIVE_CASH": "DAI SOLDI"
"MENU_SWAP_WEAPONS_STORE": "NEGOZIO DI ARMI"
"STAT_WEAPON_PISTOL": "PISTOLA"
"STAT_COOP_TANDEM_DIVERSION_RECORDS": "COOP: RECORD DIVERSIVI IN TANDEM"
"STAT_TIME_PLAYED": "TEMPO DI GIOCO TOTALE"
"ESCORT_NAME_24A": "RIVOLTA"
"SP Vehicle Jumps Col1_NAME": "CLASSIFICA SALTI VEICOLO"
"SP Time Col1_NAME": "CLASSIFICA TEMPO DI GIOCO"
"CUST_GANG_NAME_80S": "80"
"TATTOO_CONFIRM_PURCHASE_FULL": "Vuoi comprare un tatuaggio \"%s\" (posizione: %s) per %s?"
"STORE_SWITCHING_TITLE": "ACCESSO A: {0}"
"CONTROL_SAVE_AND_QUIT": "SALVA ED ESCI"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "FRODE ASSICURATIVA: DISTANZA TOTALE TUFFI"
"STAT_HIGHEST_RANK_ACHIEVED": "LIVELLO MASSIMO CONSEGUITO"
"STAT_CAT_MOUSE_CASH_EARNED": "GATTO E TOPO: DENARO GUADAGNATO"
"STAT_COMBAT_MULTI": "UCCISIONI MULTIPLE"
"Coop Time Played_NAME": "TEMPO DI GIOCO"
"CONTROL_RAISE_LOWER_CAMERA": "ALZA/ABBASSA VISUALE"
"DROP_KNOXVILLE": "RICEVI KNOXVILLE"
"GOLDEN_GUN_DESC": "Uccidi con un colpo solo di arma da fuoco."
"GARAGE_REMOVE_VEHICLE": "RIMUOVI"
"STAT_UNARMED_KILLS": "PERSONE DISARMATE UCCISE"
"STAT_TOTAL_CASH_SPENT": "DENARO TOTALE SPESO"
"STAT_MAX_DRIVER_BAILOUT_DAMAGE_DONE": "MAX DANNO ESPULSIONE AUTISTA PROVOCATO"
"ESCORT_NAME_22A": "SPARA"
"WARDROBE_REMOVE_CLOTHING": "Vuoi rimuovere gli altri abiti?"
"MAP_ICON_CHOP_SHOP": "RIVENDITORE D'AUTO RUBATE"
"GIVE_PIMPSLAP": "DAI UNO SCHIAFFO"
"RAINING_PEDS": "PIOGGIA DI PEDONI"
"WPNSTOR_LEAVE_FULL_WEAPON_CACHE": "Vuoi davvero uscire dal deposito di armi?"
"GANG_CUST_GANG_SIGN_POSE": "MUOVI"
"STAT_COMBAT_ENEMY_RESPECT": "RISPETTO OTTENUTO UCCIDENDO MEMBRI DI GANG NEMICHE"
"STAT_MAX_WHEELIE_DISTANCE": "DISTANZA MAX IMPENNATA"
"GIVE_BASEBALL": "RICEVI MAZZA DA BASEBALL"
"CUST_ICON_OUTFITS": "COMPLETI"
"GANG_CUST_VEHICLE_TITLE": "VEICOLI"
"PURCHASEABLE_PROPERTEY_CASINO": "CHUPACABRA CASINO"
"STAT_PARACHUTE_DISTANCE_TRAVELLED": "DISTANZA PARACADUTE"
"STAT_DRIVING_WINDSHILED_RESPECT": "RISPETTO GUADAGNATO CON LANCI DAL PARABREZZA"
"STAT_MAX_STOPPIE_DISTANCE": "DISTANZA MAX IMPENNATA POSTERIORE"
"ESCORT_NAME_20A": "KING'S"
"CELL_EMERGENCY": "EMERGENZA"
"GIVE_RESPECT_DESC": "Ricevi rispetto istantaneamente."
"GIVE_MINIGUN": "RICEVI MINIGUN"
"ACCEPT_GAME_INVITE_TEXT_FULL": "Vuoi davvero accettare l'invito ad un gioco?\nI progressi non salvati andranno persi. "
"GANG_CUST_GANG_TAG_OPT": "TAG"
"WPNSTOR_TEXT_MAX_WEAPONS_CRIB": "Puoi portare via dal tuo alloggio solo un'arma di tipo \"%s\"."
"STAT_TIME_AT_MAX_MORNINGSTAR_NOTORIETY": "TEMPO NOTORIETÀ MASSIMA MORNINGSTAR"
"STAT_DRIVING_DRIFTING": "SGOMMATA"
"WARDROBE_REMOVE_CLOTHING_TITLE": "RIMUOVERE ALTRI ABITI"
"CONTROL_SIGN_IN": "ACCEDI"
"PAUSE_MAP_PAN": "PANORAMICA"
"GIVE_LAUNCHER": "RICEVI GL G20"
"CHEAT_CHARACTER_RESTORE_DESC": "Riporta il tuo personaggio all'aspetto normale."
"MILK_BONES": "MILK BONES"
"STORE_BRA_SUB_WARNING": "Non puoi rimuovere un reggiseno che stai attualmente indossando."
"VCUST_HUBCAP_OPTION": "COPRICERCHI"
"VCUST_SPINNER_NUMBER": "ROTORI #{0}"
"PURCHASEABLE_PROPERTEY_CONDOS": "HIGH RISE CONDOS"
"CUST_ITEM_REMOVE_CLOTHING": "TOGLI TUTTI I VESTITI ATTUALI"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "SPECIALISTI LUCHADORES UCCISI"
"STAT_MISSIONS_ATTEMPTED": "MISSIONI INTRAPRESE"
"STAT_SNIPER_HIT_PCT": "COLPI DI FUCILE DA CECCHINO A SEGNO"
"MAP_ICON_CLOTHING": "ABBIGLIAMENTO"
"NO_GANG_NOTORIETY": "NO NOTORIETÀ GANG"
"TIME_SET_NOON": "ORA MEZZOGIORNO"
"VCUST_AXLES_TITLE": "ASSI"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "FRODE ASSICURATIVA: TUFFO PIÙ LUNGO"
"STAT_SURFING": "SURF SU VEICOLI"
"ESCORT_NAME_25B": "FENICE"
"SPMission": "GIOCANDO A {C10} MISSIONE: {C4}"
"TAXI_TITLE": "SERVIZIO TAXI"
"DROP_WOODPECKER": "RICEVI WOODPECKER"
"GIVE_DIGGER": "RICEVI SCAVAFOSSA"
"PIMPS_AND_HOS_PEDS": "PAPPONI E PROSTITUTE"
"WEATHER_DESC": "Cambia il tempo atmosferico attuale."
"PURCHASEABLE_PROPERTEY_APARTMENTS": "DIXON'S REFUGE"
"CUSTOM_PREVIEW_UNAVAILABLE_POPUP": "ANTEPRIMA NON DISPONIBILE"
"STORE_TITLE_DISCARD": "SCARTA OGGETTO"
"HORDE_MODE_RETRY_TEXT": "Vuoi davvero riprovare questa ondata della modalità Lorda?"
"HORDE_MODE_UNLIMITED_AMMO": "Caricatore senza fondo!"
"STAT_TAUNT_GANG": "MEMBRI DELLA GANG PROVOCATI"
"STAT_SPECIAL_AMMO_USED": "COLPI DI ARMA SPECIALE SPARATI"
"ESCORT_NAME_39_A": "DUE MANI"
"NO_GANG_NOTORIETY_DESC": "Rimuove tutta la notorietà della gang."
"GIVE_STUNGUN": "RICEVI TASER"
"WPNSTOR_TEXT_CRIB_TAKE_A_BLANK": "- %s - Vuoi prendere l'arma?"
"HORDE_MODE_TITLE_HIGHSCORE_NEW": "NUOVO PUNTEGGIO MAX"
"HORDE_MODE_TITLE_ZOMBIE_WAVE": "ONDATA DI ZOMBI"
"STAT_RPG_HIT_PCT": "COLPI DI RAZZO A SEGNO"
"STAT_MAX_STUNT_JUMP_FLIP": "MAX GIRAVOLTA SALTO"
"ESCORT_NAME_27B": "MILKSHAKE"
"CRIB_SR_NAME": "LOFT DEI SAINTS ROW"
"NEVER_DIE_DESC": "Non morirai mai."
"STORE_UPGRADES_REQUIRED": "RICHIESTO"
"NO_ITEMS_DISPLAY_NAME": "NESSUN OGGETTO"
"HORDE_MODE_TITLE_PLAYER_SCORES": "PUNTEGGI GIOCATORE"
"STAT_DRIVING_BAILOUT_DISTANCE": "ESPULSIONE PIÙ DISTANTE"
"GANG_POLICE": "POLIZIA"
"DROP_VTOL": "RICEVI VTOL"
"DROP_EAGLE": "RICEVI EAGLE"
"DROP_POCKETBIKE": "PEEWEE"
"EVIL_CARS_DESC": "Tutte le auto cercano di ucciderti."
"STORE_PRIMARY_COLOR": "COLORE PRIMARIO"
"STORE_ITEM_OWNED": "POSSEDUTO"
"STAT_SHOTGUN_SHOTS_FIRED": "COLPI DI FUCILE A POMPA SPARATI"
"STAT_MAYHEM_LEVELS_COMPLETED": "VANDALISMO COMPLETATO"
"STAT_DRIVING_DRIFTING_RESPECT": "RISPETTO OTTENUTO SGOMMANDO"
"STAT_VEHICLES_DESTROYED": "VEICOLI DISTRUTTI"
"ESCORT_NAME_21B": "CORNHOLE"
"CONFIRM_DELETE_OUTFIT": "Sei sicuro di voler eliminare questo completo?\nI vestiti resteranno nel tuo guardaroba."
"MAP_IMG_TATTOO": "[format][scale:1.0][image:map_store_tattoo][/format]"
"GIVE_SATCHEL": "RICEVI CARICHE ESPLOSIVE"
"WPNSTOR_REPLACE_BLANK_WITH_BLANK": "Vuoi sostituire \"%s\" con \"%s?\""
"CRIB_HUD_DOCK_PURCHASE": "COMPRA MOLO IMBARCAZIONI DI RONDINI: ${0}"
"GANG_CUST_GANG_TAG_TITLE": "TAG GANG"
"STORE_AMBULANCE_MSG": "RICHIEDI CURE MEDICHE"
"STAT_CAT_MOUSE_LONGEST_DEATH_STREAK": "GATTO E TOPO: SERIE DI MORTI PIÙ LUNGA"
"STAT_GANG_NOTORIETY_TIME": "TEMPO CON NOTORIETÀ DELLA GANG MASSIMA"
"WARDROBE_REMOVE_OUTFIT": "Vuoi rimuovere questo completo dal tuo guardaroba?"
"NO_COP_NOTORIETY_DESC": "Rimuove tutta la tua notorietà presso la polizia."
"ELEVATOR_TO_HEAVEN": "VERSO IL PARADISO"
"HITMAN_LOCATION": "POSIZIONE BERSAGLIO"
"DEALER_NO_PALETTE": "Nessuna tavolozza disponibile."
"STAT_MORNINGSTAR_SPECIALISTS_KILLED": "SPECIALISTI MORNINGSTAR UCCISI"
"ESCORT_NAME_23B": "DILLOW"
"Coop Player Kills_NAME": "UCCISIONI GIOCATORE"
"CONTROL_JOIN_GAME": "PARTECIPA"
"MAP_ICON_HUMAN_TORCH": "PALLA DI FUOCO"
"DROP_ESTRADA": "RICEVI ESTRADA"
"UNLIMITED_CLIP": "MUNIZIONI INFINITE"
"MUSIC_EASYLISTENING": "POP"
"WEAPONSTORE_TEXT_CONFIRM_PURCHASE_AMMO_FULL": "Vuoi acquistare \"%s\" per %s?"
"MENU_SWAP_WARDROBE": "GUARDAROBA"
"VCUST_WHEELS_TITLE": "RUOTE"
"PURCHASEABLE_PROPERTEY_CRACK": "CRACKHOUSE"
"CONTROL_QUIT_WITHOUT_SAVING": "ESCI SENZA SALVARE"
"GARAGE_NONE": "NESSUNA AUTO NEL GARAGE"
"HORDE_MODE_GAMEPLAY_TITLE": "MODALITÀ LORDA"
"STAT_CARS_DESTROYED": "NUMERO DI AUTO DISTRUTTE"
"STAT_CHOPSHOP_CASH": "DENARO GUADAGNATO VENDENDO AUTO RUBATE"
"STAT_TOTAL_RESPECT": "RISPETTO TOTALE GUADAGNATO"
"STAT_BEAT_COPS_KILLED": "POLIZIOTTI UCCISI"
"ESCORT_NAME_31A": "FELPATO"
"MAP_ICON_GUARDIAN_ANGEL": "ANGELO CUSTODE"
"REPAIR_CAR": "RIPARA AUTO"
"SAVELOAD_FILE_NOT_LOADABLE": "Non è stato possibile caricare il file di salvataggio perché corrotto o non valido."
"STORE_DETAIL_COLOR": "COLORE DETTAGLI"
"GANG_CUST_GANG_STYLE_TITLE": "STILE GANG"
"PURCHASEABLE_PROPERTEY_COLA": "JOE COLA FACTORY"
"TATTOO_REMOVE": "- %s - Vuoi rimuovere il tatuaggio da qui?"
"HORDE_MODE_NEW_WAVE_MESSAGE_TITLE": "Nuova ondata!"
"STAT_MASCOTS_KILLED": "MASCOTTE UCCISE"
"STAT_DRIVING_STOPPIE_TIME": "IMPENNATA POSTERIORE PIÙ LUNGA"
"STAT_LONGEST_VEHICLE_SURF_HANDSTAND_TIME": "DURATA MAX SURF IN VERTICALE SU VEICOLO"
"STAT_LONGEST_VEHICLE_SURFING_TIME": "DURATA MAX SURFING SU VEICOLO"
"STAT_BAIL_MONEY": "CAUZIONI PAGATE"
"CONTROL_CONTINUE": "CONTINUA"
"GIVE_HAMMER": "RICEVI S3X HAMMER"
"DROP_GYRO": "GYRO DADDY"
"STORE_SECONDARY_COLOR": "COLORE SECONDARIO"
"GARAGE_TEXT_INSUFFICIENT_FUNDS": "Non hai abbastanza denaro per riparare il veicolo.\nLo riprendi comunque?"
"CRIB_CUSTOMIZE_PURCHASE_PROMPT": "Vuoi comprare {0} per ${1}?"
"VCUST_WHEEL_WIDTH_OPTION": "LARG. RUOTE"
"TAT_REG_BACK": "DIETRO"
"STAT_WEAPON_SNIPER": "FUCILE DA CECCHINO"
"STAT_COMBAT_MELEE_RESPECT": "RISPETTO OTTENUTO CON UCCISIONI CORPO A CORPO"
"STAT_MAX_TWO_WHEELS_DISTANCE": "DISTANZA MAX DUE RUOTE"
"ESCORT_NAME_33A": "ROMANO"
"HASH_DF7D0B4B": "DEATH TAG: MORTI"
"ZOMBIE_PEDS_DESC": "Tutti i pedoni sono zombi."
"MUSIC_DANCE": "DANCE"
"STORE_TEXT_CONFIRM_PURCHASE_FULL": "Vuoi acquistare \"%s\" per %s?"
"PURCHASEABLE_PROPERTEY_SERVICE2": "PASSING GAS SERVICE STATION"
"STORE_TEXT_CONFIRM_PURCHASE_BLANK": "Vuoi comprare quest'oggetto?"
"HORDE_MODE_TEAM_SCORE": "PUNTEGGIO"
"STAT_VEHICLE_BIKE": "MOTO"
"STATS_DISTANCE_FEET": "%0.2fft"
"STAT_DRIVING_BIGAIR_RESPECT": "RISPETTO OTTENUTO CON SUPER SALTI"
"STAT_HOMIES_RECRUITED": "AMICI RECLUTATI"
"MAP_IMG_MECHANIC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"DROP_TAXI": "RICEVI TAXI"
"CUST_ICON_LOWER_BODY": "GAMBE"
"STORE_ZOOM": "ZOOM"
"VEHICLE_TYPE_TITLE": "TIPO DI VEICOLO"
"STAT_CAT_MOUSE_MOST_ROUND_DEATHS": "GATTO E TOPO: MASSIMO DI MORTI IN UN ROUND"
"STAT_CAT_MOUSE_WINS": "GATTO E TOPO: VITTORIE"
"ESCORT_NAME_35A": "SEDUTO"
"GARAGE_REMOVE_PROMPT": "Sei sicuro di voler eliminare questo veicolo?"
"STAT_WEAPON_SPECIAL": "SPECIALE"
"STAT_DRIVING_BURNOUT_RESPECT": "RISPETTO OTTENUTO CON BURNOUT"
"ESCORT_NAME_29B": "PRINCESS"
"CUST_ICON_TATTOO_ARMS": "TATUAGGI BRACCIA"
"CUST_ICON_TATTOO_TORSO": "TATUAGGI TORSO"
"CUST_ICON_HEAD": "TESTA"
"STORE_NAME_GAS_STATION": "DISTRIBUTORE DI BENZINA"
"PURCHASEABLE_PROPERTEY_HOSTEL": "ODYSSEY HOSTEL"
"CUST_ITEM_DELETE_OUTFIT": "CANCELLA COMPLETO"
"HORDE_MODE_MENU_NEW_GAME": "NUOVA PARTITA"
"STAT_DRIVING_STOPPIE": "IMPENNATA POSTERIORE"
"ESCORT_NAME_37A": "INVERSO"
"PAUSE_MAP_WAYPOINT_SET": "IMPOSTA PUNTO DI RIFERIMENTO"
"MAP_IMG_WEAPON": "[format][scale:1.0][image:map_store_gun][/format]"
"GOD_MODE": "MODALITÀ ONNIPOTENTE"
"MUSIC_ROCK": "ROCK"
"GANG_CUST_SLOT": "SPAZIO {0} - {1:TEXT_TAG_CRC}"
"STAT_WEAPON_SHOTGUN": "FUCILE A POMPA"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "TOTALE POLIZIOTTI PROVOCATI"
"STAT_ESCORT_CLIENTS_SERVICED": "ESCORT: NUMERO DI CLIENTI SERVITI"
"STAT_SURFING_TIME": "TEMPO MAX SURF SU VEICOLI"
"STAT_HITMAN_TARGETS": "BERSAGLI ELIMINATI"
"ESCORT_NAME_38_B": "CARRUCOLA"
"HASH_D5C46250": "DEATH TAG: UCCISIONI"
"HASH_9B93BC50": "STELLE DI BRONZO GUADAGNATE NEI DIVERSIVI"
"CONTROL_START": "START"
