"DROP_SPHERE": "DAJ KULĘ"
"STAT_SHOT_HIT_PERCENTAGE": "CELNE STRZAŁY"
"ESCORT_NAME_13A": "ODTYLNEGO"
"MAP_IMG_CRIB": "[format][scale:1.0][image:map_other_crib][/format]"
"CELL_LEATHER_AND_LACE": "SKÓRA I KORONKA"
"MUSIC_UNLOCKABLE": "DO ODBLOKOWANIA"
"TATTOO_LEAVE_FULL": "Czy na pewno chcesz opuścić \"Zardzewiałą Igłę\"?"
"STAT_DRIVING_WHEELIE": "WHEELIE"
"STAT_UNIQUE_VEHICLES_OWNED": "POSIADANE RODZAJE POJAZDÓW"
"STATS_BLANK_OF_BLANK": "%d Z %d"
"DROP_COMMANDER": "DAJ COMMANDER"
"BLOODY_MESS": "KRWAWA MIAZGA"
"STORE_BRA_WARNING": "UWAGA"
"CUST_ITEM_NOTHING": "NIC"
"HUD_CRIB_CUSTOMIZE": "URZĄDZIĆ CHATĘ"
"GARAGE_CAT_4": "KOŁA"
"STAT_THROWN_WEAPON_USES": "UŻYCIA BRONI MIOTANEJ"
"ESCORT_NAME_11A": "MOKREGO"
"ESCORT_NAME_2A": "RYŻEGO"
"Coop Col3_NAME": "RANKINGI TRYBU WSPÓŁPRACY"
"LOW_GRAVITY_DESC": "Generatory grawitacji w Stilwater działają z ćwiercią mocy."
"CUST_REMOVE_ITEM_BODY": "Czy na pewno chcesz usunąć ten przedmiot?"
"PURCHASEABLE_PROPERTEY_FACTORY": "FABRYKA"
"GARAGE_HELIPORT": "LĄDOWISKO"
"HORDE_MODE_ALL_ENEMIES_KILLED": "Wrogowie zabici!"
"STAT_WEAPON_RIFLE": "KARABIN"
"STAT_COOP_STRONGHOLDS_COMPLETED": "WSPÓŁPRACA: LICZBA UKOŃCZONYCH FORTEC"
"GENERAL_YOU": "TY"
"HASH_631F9AA8": "METAGRA W TRYBIE WSPÓŁPRACY: PUNKTY"
"MUSIC_ARTIST_UNKNOWN": "NIEZNANY"
"STAT_GARAGES_ACQUIRED": "KUPIONE GARAŻE"
"STAT_CAT_MOUSE_KILLS": "KOTEK I MYSZKA: ZABÓJSTWA"
"STAT_RIFLE_SHOTS_FIRED": "STRZAŁY Z KARABINU"
"CUST_GANG_NAME_COLLEGE": "STUDENCI"
"GOD_MODE_DESC": "Jesteś nie do zatrzymania."
"ACT_CHOP_SHOP_LEAVE_FULL": "Czy na pewno chcesz opuścić dziuplę?"
"GARAGE_CAT_1": "KAROSERIA"
"STORE_CLOTHING_STORE_MSG": ", BY KUPIĆ UBRANIA"
"STRONGHOLD_START_TEXT": "WCIŚNIJ %s, BY ROZPOCZĄĆ FORTECĘ: %s"
"ADD_GANG_NOTORIETY_DESC": "Podnosi kosę u gangów o jedną gwiazdkę przy każdym użyciu."
"Overcast": "ZACHMURZENIE"
"TAXI_CONFIRM_PURCHASE_FULL": "Czy chcesz kupić tę brykę za %ls?"
"MENU_SWAP_WEAPONS_CACHE": "SKŁAD BRONI"
"STORE_TITLE_PURCHASING": "KUPOWANIE"
"STAT_VEHICLES_HIJACKED": "UPROWADZONE POJAZDY"
"STAT_HOSTAGE_CASH": "KASA ZAROBIONA NA PORWANIACH"
"CONTROL_ROTATE": "OBRÓĆ"
"DROP_SANDSTORM": "DAJ SANDSTORM"
"GIVE_DILDO": "DAJ PENETRATORA"
"GIVE_GRENADE": "DAJ GRANAT"
"TIME_SET_MIDNIGHT": "CZAS PÓŁNOC"
"STORE_CHOOSE_A_CATEGORY": "WYBIERZ KATEGORIĘ"
"STORE_ZOOM_ROTATE": "PRZYBLIŻ/OBRÓĆ"
"STAT_DRUG_PACKAGES_FOUND": "ZNALEZIONE PACZKI Z NARKOTYKAMI"
"Coop Col1_NAME": "RANKINGI TRYBU WSPÓŁPRACY"
"HASH_BD9681AC": "METAGRA W TRYBIE WSPÓŁPRACY: NAJWYŻSZA LICZBA PUNKTÓW W RUNDZIE"
"CONTROL_EXIT_PLAYER_CREATION": "WYJDŹ Z CIAŁA"
"CONTROL_OKAY": "OK"
"CELL_NEWS_VAN": "STACJA INFORMACYJNA"
"STORE_PRICE": "CENA ${0}"
"STORE_TEXT_DISCARD_OUTFIT_WARNING": "Usuwając ten przedmiot ze swojej szafy, usuniesz również ten przedmiot ze swojego ubioru."
"CRIB_WARDROBE_EXIT": "Wyjście z garderoby\n\nNa pewno?"
"STORE_EXIT_CLIPBOARD": "Wyjść z wycinków?"
"STAT_HITMAN_TARGETS_ELIMINATED": "ZLIKWIDOWANE CELE ZABÓJCY"
"STAT_BIKES_DESTROYED": "LICZBA ZNISZCZONYCH MOTOCYKLI"
"STAT_MELEE_KILLS": "ZABÓJSTWA PRZEZ POBICIE"
"STATS_YES": "TAK"
"ESCORT_NAME_8A": "ZADZIORNEGO"
"HASH_84FAC22D": "SZACUN ZDOBYTY EKSHIBICJONIZMEM"
"CELL_RUSTYS_NEEDLE": "ZARDZEWIAŁA IGŁA"
"LOW_GRAVITY": "NISKA GRAWITACJA"
"CUST_ICON_SUITS": "GARNITURY"
"CUST_ICON_RINGS": "PIERŚCIONKI"
"CUSTOMIZE_ITEM_SAVE_CHANGES_EXIT_FULL": "Czy chcesz zapisać zmiany przed wyjściem?"
"STAT_SMG_SHOTS_FIRED": "STRZAŁY Z PISTOLETU MASZYNOWEGO"
"STAT_SWAT_KILLED": "ZABICI ANTYTERRORYŚCI"
"CONTROL_RETURN_TO_MAIN_MENU": "WRÓĆ DO GŁÓWNEGO MENU"
"CONTROL_ZOOM": "ZBLIŻ"
"CONTROL_PURCHASE": "KUP"
"MAP_ICON_CRIB_PURCHASE": "CHATA NA SPRZEDAŻ"
"CHEAT_CHARACTER_DESC": "Zmienia postać gracza na tę postać."
"MUSIC_ELECTRONICA": "ELECTRONICA"
"POC2_WEAPON_UPGRADE_1": "ULEPSZ BROŃ - POZIOM 1"
"STORE_BUILD": "BUDOWA"
"COMPLETION_STYLE_BONUS": "PREMIA ZA STYL"
"PURCHASEABLE_PROPERTEY_THUNDER": "POMPA GRZMOTU"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "PANCERNY CHAOS: WYRZĄDZONE SZKODY"
"STAT_TIME_AT_MAX_POLICE_NOTORIETY": "CZAS MAKSYMALNEJ KOSY U POLICJI"
"STAT_LONGEST_POWERSLIDE_TIME": "NAJDŁUŻSZY CZAS POŚLIZGU"
"STAT_TOTAL_MONEY": "SUMA ZAROBIONYCH PIENIĘDZY"
"ESCORT_NAME_19A": "PLUJĄCEGO"
"HASH_2B28212F": "NAJDŁUŻSZY CIĄG HYDRAULIKI"
"CONTROL_EXIT_WARDROBE": "WYJDŹ Z GARDEROBY"
"MAP_ICON_HITMAN": "ZABÓJCA"
"GIVE_TEKZ10": "DAJ TEK Z-10"
"TOD_CYCLE_DESC": "Zmienia porę dnia."
"SAVELOAD_CONTINUE_NO_FILES_FOUND": "Nie znaleziono poprzednich zapisów gry.\nRozpocząć grę od nowa?"
"STORE_UNDERWEAR_WARNING": "UWAGA"
"WPNSTOR_TITLE_FRIENDLY_FIRE": "TWÓJ PRZYJACIEL GNAT"
"HORDE_MODE_WEAPON_UPGRADE_TITLE": "Podstawowa broń ulepszona!"
"SP Vehicle Jumps Col3_NAME": "RANKINGI SKOKÓW "
"SP Diversion Stars Col2_NAME": "RANKINGI DYWERSJI"
"SP Time Col3_NAME": "RANKINGI CZASU GRY"
"HASH_745E5BB0": "ZNAK ŚMIERCI: NAJDŁUŻSZY CIĄG ZABÓJSTW"
"GIANT_PLAYER": "I AM GIANT"
"SUPER_SAINTS": "SUPER ŚWIĘCI"
"BUILDING_PURCHASE_CASH_PER_HOUR": "${0} NA GODZINĘ"
"CRIB_HUD_DOCK_NAME": "DOK RINDINIEGO"
"VEHICLE_ADVANCED": "%s (ZAAWANSOWANE)"
"GARAGE_CAT_5": "SZCZEGÓŁY"
"STAT_CAT_MOUSE_TIME": "KOTEK I MYSZKA: CZAS GRY"
"STAT_FRAUD_CASH_CLAIMED": "PRZEKRĘT Z UBEZPIECZENIEM: WYŁUDZONE PIENIĄDZE"
"STAT_DIVERSION_CASH_EARNED": "ZAROBKI Z DYWERSJI"
"STAT_BASE_OWNED": "POSIADANE SPADOCHRONY"
"SP Kills Col1_NAME": "RANKINGI SZAŁU ZABIJANIA"
"CAR_MASS_HOLE_DESC": "Twój pojazd ma nieskończoną masę i wypycha inne pojazdy z drogi."
"PLAYER_PRATFALLS_DESC": "Użyj {SHOULDER_CAMERA_IMG}/{ATTACK_PRIMARY_IMG}, by się przewrócić, jak w Przekręcie z ubezpieczeniem."
"BUILDING_PURCHASE_DISCOUNT": "{0}%%% RABATU"
"GANG_CUST_SLOT_1": "MIEJSCE 1"
"STORE_CAR_MECHANIC_MSG": ", BY ODWIEDZIĆ MECHANIKA"
"STAT_NEIGHBORHOODS_EXPLORED": "ZBADANE OKOLICE"
"ESCORT_NAME_32B": "ESKIMOSA"
"GIVE_RPG": "DAJ WYRZUTNIĘ RAKIET"
"DROP_AMBULANCE": "DAJ AMBULANCE"
"PREVIEW_UNAVAILABLE": "PODGLĄD NIEDOSTĘPNY"
"VCUST_TIRE_TREAD_OPTION": "BIEŻNIK"
"STAT_SHORTCUTS_FOUND": "ZNALEZIONE SKRÓTY"
"STAT_MISSIONS_FAILED": "NIEUDANE MISJE"
"STAT_CAT_MOUSE_DEATHS": "KOTEK I MYSZKA: ŚMIERCI"
"STAT_COOP_TIME_PLAYED": "WSPÓŁPRACA: CZAS GRY"
"STAT_COMBAT_MOTORCYCLE_RESPECT": "SZACUN ZDOBYTY NA ZABÓJSTWACH PRZEZ POSIEKANIE"
"STAT_MAX_STUNT_JUMP_DISTANCE": "NAJDALSZY SKOK"
"CONTROL_BTN_START": "START"
"DROP_MIAMI": "DAJ MIAMI"
"ACHIEVES_GAIN_BLANK": "Osiągnięcie \"%s\" zdobyte!"
"ESCORT_NAME_30B": "NORRISA"
"CUST_TITLE_OUTFIT_CREATION": "POTWIERDZENIE TWORZENIA"
"HASH_D25D9734": "NAJDALSZY STRZAŁ Z BIODRA"
"CUST_GANG_NAME_CROSS": "TRANSWESTYCI"
"BLOODY_MESS_DESC": "Każdy, kogo zabijesz, wybucha."
"REPAIR_CAR_DESC": "Naprawia wszystkie zniszczenia twojego pojazdu."
"PURCHASEABLE_PROPERTEY_PAWN2": "KOMIS PLAN B"
"GARAGE_REPAIR_MUST": "NIE MOŻESZ MODYFIKOWAĆ POJAZDU PRZED CAŁKOWITĄ NAPRAWĄ"
"STAT_TIME_AT_MAX_DECKER_NOTORIETY": "CZAS MAKSYMALNEJ KOSY U DECKERÓW"
"STAT_SURFING_RESPECT": "SZACUN ZDOBYTY NA SURFINGU NA POJAZDACH"
"STAT_COMBAT_NUTSHOT": "STRZAŁY W JAJA"
"Partners in Crime_NAME": "WSPÓLNICY"
"PAUSE_MAP_ICONS_ON_OFF": "IKONKI WŁ./WYŁ."
"GANG_NEUTRAL": "NEUTRALNE"
"TAT_REG_L_FOREARM": "L PRZEDRAMIĘ"
"HORDE_MODE_NEW_TEXT": "Czy na pewno chcesz rozpocząć od nowa tryb hordy?"
"STAT_SNATCH_LEVELS_COMPLETED": "UKOŃCZONE PRZECHWYT"
"ESCORT_NAME_36B": "BISKUPA"
"CELL_RIM": "LIZANKO"
"GIVE_CYBER": "DAJ CYBERSPLUWĘ"
"PLAYER_CREATION_SAVE_CHANGES_EXIT_TEXT_FULL": "Czy chcesz zapisać zmiany przed wyjściem?"
"STORE_EXIT": "WYJDŹ"
"HORDE_MODE_TITLE_FINAL_COMPLETE": "OSTATNI ETAP UKOŃCZONY"
"STAT_BRUTES_KILLED": "ZABICI BRUTALE"
"ESCORT_NAME_28A": "PODWÓJNEGO"
"vandalism": "CHAOS"
"HASH_2B25A437": "OFIARY EKSHIBICJONIZMU"
"CONTROL_NO": "NIE"
"GIVE_SNIPER": "DAJ MCMANUSA 2015"
"HUD_RETRY_ACTIVITY_MESSAGE_FULL": "Ponowne uruchomienie akcji spowoduje utratę broni i szacunu uzyskanego podczas rozgrywania akcji."
"VEHICLE_PRICE": "CENA"
"WPNSTOR_TEXT_MELEE_ONLY_ONE_BLANK": "Możesz mieć tylko jedną sztukę przedmiotu \"%s\"."
"STAT_COOP_REVIVES": "WSPÓŁPRACA: OŻYWIENIA GRACZA"
"STAT_STRONGHOLDS_COMPLETED": "UKOŃCZONE FORTECE"
"STAT_DRIVING_DRIFTING_DISTANCE": "NAJDŁUŻSZY POŚLIZG"
"STAT_DRIVING_BIGAIR": "WYSOKIE SKOKI"
"STAT_CUSTOM_ITEMS_OWNED": "POSIADANE MODYFIKACJE"
"STAT_CHOPSHOP_COMPLETED": "LICZBA UKOŃCZONYCH DZIUPLI"
"ESCORT_NAME_34B": "PASTERZA"
"SPStronghold": "ROZGRYWKA: {C10} FORTECA: {C6}"
"COMERCIAL_5": "ZNIŻKA 15% W \"TWOIM PRZYJACIELU GNACIE\""
"CUST_ICON_NECKLACES": "NASZYJNIKI"
"GARAGE_CUSTOMIZE_VEHICLE": "MODYFIKUJ"
"STORE_PLASTIC_SURGEON_MSG": ", BY ODWIEDZIĆ GABINET CHIRURGII PLASTYCZNEJ"
"HORDE_MODE_NEW_WAVE_MESSAGE": "ETAP %i"
"STAT_BEST_WEAPON": "NAJLEPSZA BROŃ"
"STAT_HOSTAGES_EXTORTED": "LICZBA ODZYSKANYCH ZAKŁADNIKÓW"
"ESCORT_NAME_26A": "CZESKIEGO"
"RESTORE_PLAYER": "PRZYWRÓĆ NORMALNĄ POSTAĆ"
"MUSIC_CLASSICAL": "KLASYCZNA"
"PURCHASEABLE_PROPERTEY_PAWN": "SNOOKY - RÓŻNISTE RÓŻNOŚCI"
"PURCHASEABLE_PROPERTEY_COUNTERFITING": "FAŁSZERNIA"
"HORDE_MODE_REMAINING_ENEMIES_TAG": "POZOSTALI WROGOWIE"
"STAT_LAW_ENFORCEMENT_KILLED": "ZABICI STRÓŻE PRAWA"
"SP Kills Col3_NAME": "RANKINGI SZAŁU ZABIJANIA"
"CUST_GANG_NAME_COWBOY": "KOWBOJE"
"GIVE_SHEPERD": "DAJ 45 SHEPHERD"
"GIVE_MOLOTOV": "DAJ KOTAJL MOŁOTOWA"
"Infinite_Ammo": "NIESKOŃCZONA AMUNICJA"
"GIVE_CASH": "DAJ KASĘ"
"MENU_SWAP_WEAPONS_STORE": "SKLEP Z BRONIĄ"
"STAT_WEAPON_PISTOL": "PISTOLET"
"STAT_COOP_TANDEM_DIVERSION_RECORDS": "WSPÓŁPRACA: REKORDY DYWERSJI DRUŻYNOWYCH"
"STAT_TIME_PLAYED": "ŁĄCZNY CZAS GRY"
"ESCORT_NAME_24A": "KRZEPKIEGO"
"SP Vehicle Jumps Col1_NAME": "RANKINGI SKOKÓW "
"SP Time Col1_NAME": "RANKINGI CZASU GRY"
"CUST_GANG_NAME_80S": "80S"
"TATTOO_CONFIRM_PURCHASE_FULL": "Czy chcesz kupić tatuaż \"%s\" na części ciała: %s za %s?"
"STORE_SWITCHING_TITLE": "PRZECHODZENIE DO:\\N{0}"
"CONTROL_SAVE_AND_QUIT": "ZAPISZ I WYJDŹ"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "PRZEKRĘT Z UBEZPIECZENIEM: SUMA DŁ. SKOKÓW"
"STAT_HIGHEST_RANK_ACHIEVED": "NAJWYŻSZA OSIĄGNIĘTA RANGA"
"STAT_CAT_MOUSE_CASH_EARNED": "KOTEK I MYSZKA: ZAROBIONA KASA"
"STAT_COMBAT_MULTI": "WIELOKROTNE ZABÓJSTWA"
"Coop Time Played_NAME": "CZAS GRY"
"CONTROL_RAISE_LOWER_CAMERA": "PODNIEŚ/OPUŚĆ KAMERĘ"
"DROP_KNOXVILLE": "DAJ KNOXVILLE"
"GOLDEN_GUN_DESC": "Jeden strzał z broni palnej zabija."
"GARAGE_REMOVE_VEHICLE": "USUŃ"
"STAT_UNARMED_KILLS": "ZABICI BEZ UŻYCIA BRONI"
"STAT_TOTAL_CASH_SPENT": "SUMA WYDANEJ KASY"
"STAT_MAX_DRIVER_BAILOUT_DAMAGE_DONE": "NAJWIĘKSZE ZNISZCZENIA PRZY WYSKOKU ZZA KÓŁKA"
"ESCORT_NAME_22A": "STRZELAJĄCEGO"
"WARDROBE_REMOVE_CLOTHING": "Czy chcesz usunąć inne ciuchy?"
"MAP_ICON_CHOP_SHOP": "DZIUPLA"
"GIVE_PIMPSLAP": "DAĆ PLASKACZA"
"RAINING_PEDS": "PADA PRZECHODNIAMI"
"WPNSTOR_LEAVE_FULL_WEAPON_CACHE": "Czy na pewno chcesz opuścić skład broni?"
"GANG_CUST_GANG_SIGN_POSE": "RUCH"
"STAT_COMBAT_ENEMY_RESPECT": "SZACUN ZDOBYTY NA ZABIJANIU CZŁONKÓW WROGICH GANGÓW"
"STAT_MAX_WHEELIE_DISTANCE": "NAJDŁUŻSZY WHEELIE"
"GIVE_BASEBALL": "DAJ KIJ BEJSBOLOWY"
"CUST_ICON_OUTFITS": "STROJE"
"GANG_CUST_VEHICLE_TITLE": "POJAZDY"
"PURCHASEABLE_PROPERTEY_CASINO": "KASYNO CHUPACABRA"
"STAT_PARACHUTE_DISTANCE_TRAVELLED": "ODLEGŁOŚĆ PRZEBYTA ZE SPADOCHRONEM"
"STAT_DRIVING_WINDSHILED_RESPECT": "SZACUN ZDOBYTY NA PRZEBIJANIU PRZEDNIEJ SZYBY"
"STAT_MAX_STOPPIE_DISTANCE": "NAJDŁUŻSZA STÓJKA"
"ESCORT_NAME_20A": "KRÓLEWSKIEGO"
"CELL_EMERGENCY": "SŁUŻBY MIEJSKIE"
"GIVE_RESPECT_DESC": "Daje ci szacun."
"GIVE_MINIGUN": "DAJ DZIAŁKO"
"ACCEPT_GAME_INVITE_TEXT_FULL": "Czy na pewno chcesz przyjąć zaproszenie do gry?\n(Niezapisane postępy zostaną utracone.) "
"GANG_CUST_GANG_TAG_OPT": "TAG"
"WPNSTOR_TEXT_MAX_WEAPONS_CRIB": "Nie możesz zabrać z chaty kolejnych sztuk przedmiotu: \"%s\"."
"STAT_TIME_AT_MAX_MORNINGSTAR_NOTORIETY": "CZAS MAKSYMALNEJ KOSY U JUTRZENKI"
"STAT_DRIVING_DRIFTING": "DRIFTING"
"WARDROBE_REMOVE_CLOTHING_TITLE": "USUŃ INNE CIUCHY"
"CONTROL_SIGN_IN": "WPISZ SIĘ"
"PAUSE_MAP_PAN": "PRZESUŃ"
"GIVE_LAUNCHER": "DAJ GL G20"
"CHEAT_CHARACTER_RESTORE_DESC": "Przywraca postaci gracza normalny wygląd."
"MILK_BONES": "TWARDE KOŚCI"
"STORE_BRA_SUB_WARNING": "Nie możesz zdjąć stanika, który obecnie nosisz."
"VCUST_HUBCAP_OPTION": "KOŁPAKI"
"VCUST_SPINNER_NUMBER": "SPINNERY {0}"
"PURCHASEABLE_PROPERTEY_CONDOS": "APARTAMENTY W WIEŻOWCACH"
"CUST_ITEM_REMOVE_CLOTHING": "USUŃ WSZYSTKIE OBECNE CIUCHY"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "ZABICI SPECJALIŚCI LUCHADORES"
"STAT_MISSIONS_ATTEMPTED": "PRÓBY UKOŃCZENIA MISJI"
"STAT_SNIPER_HIT_PCT": "PROCENT TRAFIEŃ Z KARABINU SNAJPERSKIEGO"
"MAP_ICON_CLOTHING": "SKLEP Z CIUCHAMI"
"NO_GANG_NOTORIETY": "BEZ KOSY Z GANGAMI"
"TIME_SET_NOON": "CZAS POŁUDNIE"
"VCUST_AXLES_TITLE": "OSIE"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "PRZEKRĘT Z UBEZPIECZENIEM: DŁ. NAJDŁ. SKOKU"
"STAT_SURFING": "SURFING NA POJAZDACH"
"ESCORT_NAME_25B": "FENIKSA"
"SPMission": "ROZGRYWKA: {C10} MISJA: {C4}"
"TAXI_TITLE": "USŁUGI TAKSÓWKOWE"
"DROP_WOODPECKER": "DAJ WOODPECKER"
"GIVE_DIGGER": "DAJ GRABARZA"
"PIMPS_AND_HOS_PEDS": "ALFONSI I DZIWKI"
"WEATHER_DESC": "Zmienia pogodę."
"PURCHASEABLE_PROPERTEY_APARTMENTS": "SCHRONISKO DIXONA"
"CUSTOM_PREVIEW_UNAVAILABLE_POPUP": "PODGLĄD NIEDOSTĘPNY"
"STORE_TITLE_DISCARD": "WYRZUĆ PRZEDMIOT"
"HORDE_MODE_RETRY_TEXT": "Czy na pewno chcesz rozpocząć od nowa ten etap trybu hordy?"
"HORDE_MODE_UNLIMITED_AMMO": "Nieskończony magazynek!"
"STAT_TAUNT_GANG": "WYDRWIENI CZŁONKOWIE GANGÓW"
"STAT_SPECIAL_AMMO_USED": "STRZAŁY Z BRONI SPECJALNEJ"
"ESCORT_NAME_39_A": "DWURĘCZNEGO"
"NO_GANG_NOTORIETY_DESC": "Usuwa całą kosę u gangów."
"GIVE_STUNGUN": "DAJ OGŁUSZACZ"
"WPNSTOR_TEXT_CRIB_TAKE_A_BLANK": "Czy chcesz wziąć \"%s\"?"
"HORDE_MODE_TITLE_HIGHSCORE_NEW": "NOWY NAJWYŻSZY WYNIK"
"HORDE_MODE_TITLE_ZOMBIE_WAVE": "FALA ZOMBIE"
"STAT_RPG_HIT_PCT": "PROCENT TRAFIEŃ Z WYRZUTNI RAKIET"
"STAT_MAX_STUNT_JUMP_FLIP": "NAJWIĘKSZY PRZEWRÓT PRZY SKOKU"
"ESCORT_NAME_27B": "MILKSZEJKA"
"CRIB_SR_NAME": "APARTAMENT W SAINTS ROW"
"NEVER_DIE_DESC": "Nigdy nie umrzesz."
"STORE_UPGRADES_REQUIRED": "WYMAGANE"
"NO_ITEMS_DISPLAY_NAME": "BRAK PRZEDMIOTÓW"
"HORDE_MODE_TITLE_PLAYER_SCORES": "WYNIKI GRACZY"
"STAT_DRIVING_BAILOUT_DISTANCE": "NAJDŁUŻSZY WYSKOK ZZA KÓŁKA"
"GANG_POLICE": "POLICJA"
"DROP_VTOL": "DAJ PIONOWZLOT"
"DROP_EAGLE": "DAJ EAGLE"
"DROP_POCKETBIKE": "PEEWEE"
"EVIL_CARS_DESC": "Wszystkie samochody próbują cię przejechać."
"STORE_PRIMARY_COLOR": "PODSTAWOWY KOLOR"
"STORE_ITEM_OWNED": "POSIADANY"
"STAT_SHOTGUN_SHOTS_FIRED": "STRZAŁY ZE STRZELBY"
"STAT_MAYHEM_LEVELS_COMPLETED": "CHAOS: UKOŃCZONE"
"STAT_DRIVING_DRIFTING_RESPECT": "SZACUN ZDOBYTY NA DRIFTINGU"
"STAT_VEHICLES_DESTROYED": "ZNISZCZONE POJAZDY"
"ESCORT_NAME_21B": "NURKA"
"CONFIRM_DELETE_OUTFIT": "Czy na pewno chcesz usunąć ten strój?\nCiuchy pozostaną w garderobie."
"MAP_IMG_TATTOO": "[format][scale:1.0][image:map_store_tattoo][/format]"
"GIVE_SATCHEL": "DAJ ŁADUNKI WYBUCHOWE"
"WPNSTOR_REPLACE_BLANK_WITH_BLANK": "Czy chcesz zastąpić broń \"%s\" bronią \"%s\"?"
"CRIB_HUD_DOCK_PURCHASE": "KUP DOK RONDINIEGO: ${0}"
"GANG_CUST_GANG_TAG_TITLE": "TAG GANGU"
"STORE_AMBULANCE_MSG": ", BY POPROSIĆ O LECZENIE"
"STAT_CAT_MOUSE_LONGEST_DEATH_STREAK": "KOTEK I MYSZKA: NAJDŁUŻSZY CIĄG ŚMIERCI"
"STAT_GANG_NOTORIETY_TIME": "CZAS MAKSYMALNEJ KOSY U GANGÓW"
"WARDROBE_REMOVE_OUTFIT": "Czy chcesz usunąć ten strój?"
"NO_COP_NOTORIETY_DESC": "Usuwa całą kosę u policji."
"ELEVATOR_TO_HEAVEN": "DO NIEBA"
"HITMAN_LOCATION": "LOKALIZACJA CELU"
"DEALER_NO_PALETTE": "Brak wyboru palety."
"STAT_MORNINGSTAR_SPECIALISTS_KILLED": "ZABICI SPECJALIŚCI JUTRZENKI"
"ESCORT_NAME_23B": "OGÓRA"
"Coop Player Kills_NAME": "ZABICI PRZEZ GRACZA"
"CONTROL_JOIN_GAME": "DOŁĄCZ DO GRY"
"MAP_ICON_HUMAN_TORCH": "WYPALANIE SZLAKU"
"DROP_ESTRADA": "DAJ ESTRADA"
"UNLIMITED_CLIP": "NIESKOŃCZONY MAGAZYNEK"
"MUSIC_EASYLISTENING": "ŁATWE SŁUCHANIE"
"WEAPONSTORE_TEXT_CONFIRM_PURCHASE_AMMO_FULL": "Czy chcesz kupić towar \"%s\" za %s?"
"MENU_SWAP_WARDROBE": "GARDEROBA"
"VCUST_WHEELS_TITLE": "KOŁA"
"PURCHASEABLE_PROPERTEY_CRACK": "MELINA NARKOTYKOWA"
"CONTROL_QUIT_WITHOUT_SAVING": "WYJDŹ BEZ ZAPISYWANIA"
"GARAGE_NONE": "BRAK POJAZDÓW W GARAŻU"
"HORDE_MODE_GAMEPLAY_TITLE": "TRYB HORDY"
"STAT_CARS_DESTROYED": "LICZBA ZNISZCZONYCH SAMOCHODÓW"
"STAT_CHOPSHOP_CASH": "KASA ZAROBIONA W DZIUPLACH"
"STAT_TOTAL_RESPECT": "SUMA ZDOBYTEGO SZACUNU"
"STAT_BEAT_COPS_KILLED": "ZABITE KRAWĘŻNIKI"
"ESCORT_NAME_31A": "PEŁZAJĄCEGO"
"MAP_ICON_GUARDIAN_ANGEL": "ANIOŁ STRÓŻ"
"REPAIR_CAR": "NAPRAW POJAZD"
"SAVELOAD_FILE_NOT_LOADABLE": "Plik zapisu nie mógł zostać wczytany, ponieważ jest uszkodzony lub nie jest prawidłowym plikiem zapisu."
"STORE_DETAIL_COLOR": "KOLOR DETALI"
"GANG_CUST_GANG_STYLE_TITLE": "STYL GANGU"
"PURCHASEABLE_PROPERTEY_COLA": "FABRYKA KOLI JOE"
"TATTOO_REMOVE": "Czy chcesz usunąć tatuaż z części ciała: %s?"
"HORDE_MODE_NEW_WAVE_MESSAGE_TITLE": "Nowy etap!"
"STAT_MASCOTS_KILLED": "ZABITE MASKOTKI"
"STAT_DRIVING_STOPPIE_TIME": "NAJDŁUŻSZA STÓJKA"
"STAT_LONGEST_VEHICLE_SURF_HANDSTAND_TIME": "NAJDŁUŻSZE STANIE NA RĘKACH PRZY SURFINGU NA SAMOCHODACH"
"STAT_LONGEST_VEHICLE_SURFING_TIME": "NAJDŁUŻSZY SURFING NA SAMOCHODACH"
"STAT_BAIL_MONEY": "ZAPŁACONE KAUCJE"
"CONTROL_CONTINUE": "DALEJ"
"GIVE_HAMMER": "DAJ S3X MŁOT"
"DROP_GYRO": "GYRO DADDY"
"STORE_SECONDARY_COLOR": "DRUGORZĘDNY KOLOR"
"GARAGE_TEXT_INSUFFICIENT_FUNDS": "Masz za mało pieniędzy na naprawę tego pojazdu.\nWyprowadzić go mimo tego?"
"CRIB_CUSTOMIZE_PURCHASE_PROMPT": "Czy chcesz kupić ten przedmiot: {0} za ${1}?"
"VCUST_WHEEL_WIDTH_OPTION": "SZEROKOŚĆ KÓŁ"
"TAT_REG_BACK": "TYŁ"
"STAT_WEAPON_SNIPER": "KARABIN SNAJPERSKI"
"STAT_COMBAT_MELEE_RESPECT": "SZACUN ZDOBYTY NA ZABÓJSTWACH PRZEZ POBICIE"
"STAT_MAX_TWO_WHEELS_DISTANCE": "NAJDŁUŻSZA JAZDA NA DWÓCH KOŁACH"
"ESCORT_NAME_33A": "RZYMSKIEGO"
"HASH_DF7D0B4B": "ZNAK ŚMIERCI: ŚMIERCI"
"ZOMBIE_PEDS_DESC": "Wszyscy przechodnie to zombie."
"MUSIC_DANCE": "DANCE"
"STORE_TEXT_CONFIRM_PURCHASE_FULL": "Czy chcesz kupić towar \"%s\" za %s?"
