"CUST_ITEM_CF_HAIR_MED": "POR EL HOMBRO"
"HAIR_COLOR_LIGHT_BROWN_MATTE": "CASTAÑO CLARO MATE"
"UNLOCALIZED_WHITE": "WHITE"
"CUST_ITEM_FEMALE_LL_UNDWEAR_4": "TANGA PARA MI VALENTÍN"
"CUST_ITEM_WOMEN_S_BONDAGE_TOP_1": "CHAQUETA ELEGANTE DE CHICA"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_2": "Aumenta la cadencia de fuego. La mira especial mejora la precisión al apuntar."
"CUST_TATTOO_UPPBACK_2": "ARMA DE DOBLE FILO"
"CUST_ITEM_CM_HAIR_DREADS": "A LO MARLEY"
"CUST_ITEM_CM_PSE_FOOT_M_BOOTS": "BOTAS DE OBRERO"
"LOGO_SECTION9": "SECTION 9"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHIRT": "VESTIDO PARA IMPRESIONAR"
"CUST_ITEM_FEMALE_NLM_OUTFIT_E": "PORRERA"
"CUST_ITEM_OVAL_RING_1_LEFT_INDEX_FINGER": "VENDAS DE MURDERBRAWL"
"PLAYER_MORPH_MOUTH_HEIGHT_TEXT": "ALTURA DE BOCA"
"STORE_WEAPON_BUY_UPGRADE": "COMPRAR/MEJORAR ARMAS"
"CUST_COMP_EYE_MAKEUP_7": "ALAS"
"HAIR_COLOR_ORANGE": "NARANJA"
"LOGO_NUMBER5": "NÚMERO 5"
"LOGO_KBOOM": "KBOOM WMD108"
"LOGO_SKEETERS_3": "SKEETERS 3"
"CUST_VARIANT_PETALS": "PÉTALOS"
"LEATHER_LACE_NAME": "LEATHER & LACE"
"CUST_TATTOO_LCALF_7": "ENCADENADOS"
"CUST_VARIANT_STRIPED_TIE": "CON CORBATA A RAYAS"
"CUST_ITEM_CM_IMPL_UBDY_M_SCARF": "BUFANDA DE PASARELA"
"CUST_ITEM_FEMALE_NLM_EARRINGS_5": "PENDIENTES CHICA DE GENKI"
"CUST_ITEM_CM_LLB_LWRST_M_LTHRWRISTBAND": "MUÑEQUERA DE CUERO"
"CUST_ITEM_CF_PSA_FOOT_F_ANKLEBOOTS": "BOTAS NO TAN INOCENTES"
"CUST_COMPLIMENT_D": "IT'S NOT UNUSUAL"
"CUST_COLOR_CLOTHING_GREYS_5": "GRIS 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_2": "Afecta un área mayor."
"CUST_COMP_CHEEK_MAKEUP_3": "EL MIMO"
"VEHICLE_PAINT_CANDY_PAINT": "PINTURA OPALINA"
"CUST_VARIANT_15_DEFAULT": "ESTILO 1"
"CUST_VARIANT_BASKETBALL_JERSEY": "A RAYAS"
"CUST_VARIANT_HAT": "LISO"
"PLAYER_MORPH_UPPER_LIP_NOTCH_TEXT": "PICO EN LABIO SUPERIOR"
"CUST_TATTOO_RCALF_8": "LA CARA DE LA MUERTE"
"COLOR_SLOT_PAINT_1_AND_PAINT_2": "PINTURA 1 Y PINTURA 2"
"RIM_129": "R129"
"SLOT_COCKPIT": "CABINA"
"CUST_WEAR_TATTOO_AZTEC_SNAKE": "SERPIENTE AZTECA"
"CUST_SKIN_OILED_3": "HISPÁNICO ACEITADO 1"
"VEHICLE_COLOR_TINT_5": "TINTE 5%%"
"LOGO_89GENX": "89 GEN X"
"CUST_VARIANT_DUAL_STRIPES_SMALL": "RAYAS DOBLES PEQUEÑAS"
"CUST_ITEM_CM_PSG_UBDY_M_TRACKJACKET": "CHAQUETA DE CHÁNDAL"
"CUST_INSULT_K": "CHICO NATURAL"
"CUST_COLOR_CLOTHING_VIOLET-RED_5": "ROJO VIOLETA 5"
"CUST_COLOR_CLOTHING_BROWNS_4": "MARRÓN 4"
"CUST_COMP_MUSTACHE_13": "BARBA DE PAYNE"
"COMPONENT_DECAL_6": "PEGATINA 6"
"CUST_VARIANT_3COLOR_THIN": "TRICOLOR FINO"
"CUST_VARIANT_GRADIENT": "DEGRADADO"
"CUST_SKIN_BLACK_03": "AFROAMERICANO 3"
"PLAYER_MORPH_CHEEKBONES_DEPTH_TEXT": "PROFUNDIDAD PÓMULOS"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_9": "NARANJA AMARILLENTO 9"
"CUST_TATTOO_FACE_3": "CUCHILLA TRIBAL"
"PAINT_AND_TRIM": "PINTURA Y EMBELLECEDOR LATERAL"
"CUST_VARIANT_FRONT_STRIPES_SMALL": "RAYAS FRONTALES PEQUEÑAS"
"CUST_WEAR_TATTOO_AZTEC_BUG": "INSECTO AZTECA"
"CUST_ITEM_CM_DLC_FOOT_M_PLATFORMS": "ZAPATOS ESTILO Z"
"CUST_ITEM_CF_RING_F_BIGHEART": "CONJUNTO DE VERDADERO AMOR"
"CUST_EYESHADOW": "SOMBRA DE OJOS"
"CUSTOM_WALK_13": "MATÓN ESTILO 8"
"HAIR_SALON_HAIR_LENGTH": "LONGITUD DE CABELLO"
"CUST_COMP_FACE_MAKEUP_4": "MÁSCARA DE GUERRA"
"CUST_COLOR_BRIGHT_YELLOW": "AMARILLO VIVO"
"CUST_VARIANT_21_DEFAULT": "VARIANTE 21"
"CUST_SKIN_HISPANIC_04": "HISPANO 4"
"PLAYER_CREATION_PRESET_ASIAN": "ASIÁTICO"
"CUST_TATTOO_RHAND_4": "R I T O"
"LOGO_DART": "DIANA"
"CUST_ITEM_CF_DLC_HAND_F_BCGLOVE": "GUANTES DE CANONESA SANGRIENTA"
"CUST_RONIN_COMPLIMENT_C": "CUMPLIDO DE LOS RONIN 3"
"CUST_CAT_HAIR_COLOR_EYEBROWS": "COLOR DE CEJAS"
"CUST_COMP_EYE_MAKEUP_10": "ESTILO CHILLÓN"
"SLOT_BED_MODS": "MODIFICACIONES DE CAJA"
"CUST_VARIANT_SKIRTB": "ESTILO 2"
"CUST_VARIANT_ZEBRA_1": "CEBRA 1"
"CUST_ITEM_CM_FPIC_SETC": "DOBLE AGUJERO"
"PLAYER_MORPH_EYE_STYLE_TEXT": "ESTILO DE OJOS"
"FACIAL_EXPRESSION_SCARED": "ASUSTADO"
"PLAYER_MORPH_CROWN_HEIGHT_TEXT": "ALTURA CORONILLA"
"CUST_MENU_TOTAL_LIMIT_REACHED": "Has alcanzado el número máximo de objetos permitidos en tu armario."
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_2": "Más velocidad al apuntar y más munición."
"CUST_TATTOO_NECK_4": "ESPECIAL DE AMBERES"
"CUST_COMP_BODY_MASK_4": "MORENO ALBAÑIL"
"VEHICLE_COLOR_TINT_30": "TINTE 30%%"
"CUST_ITEM_IMPRESSIONS_FEMALE_O": "CONJUNTO URBANO DE SAFARI"
"CUST_ITEM_CM_IMPE_LBDY_M_DRESSPANTS": "PANTALONES DE CLASE ALTA"
"FACIAL_EXPRESSION_QUIZZICAL": "BURLÓN"
"PLAYER_MORPH_CHIN_TEXT": "BARBILLA"
"LOGO_PMS": "PI MU SIGMA"
"CUST_VARIANT_THIN": "FINO"
"CUST_ITEM_COWBOY_HAT_1": "SOMBRERO DEL SALVAJE OESTE"
"RIM_SET_006": "JUEGO DE LLANTAS 6"
"COMPONENT_OPTION_4": "OPCIÓN 4"
"COLOR_SLOT_RIM": "LLANTA"
"CUST_VARIANT_KNIT": "PUNTO"
"CUST_ITEM_CM_CNC_UBDY_M_WHTLOGOA": "CAMISETA D CROOKS & CASTLES"
"CUSTOM_WALK_7": "MATÓN ETILO 2"
"CUST_TATTOO_FACE_7": "SERPIENTES GEMELAS"
"VEHICLE_COLOR_SILVER": "PLATA"
"CUST_SKIN_PURPLE_4": "MORADO PRINCESA"
"CUSTOM_WALK_FEMALE_02": "MUJER PREDETERMINADA 2"
"CUSTOM_WALK_17": "MATÓN ESTILO 12"
"CUST_COLOR_CLOTHING_VIOLET-RED_1": "ROJO VIOLETA 1"
"CUST_COMP_MUSTACHE_17": "CHUCK"
"OPTION_37": "OPCIÓN 37"
"COMPONENT_DECAL_2": "PEGATINA 2"
"CUST_VARIANT_SLEEVES": "LISO"
"PLAYER_MORPH_EYE_FOLDS_ELEVATION_TEXT": "ALTURA EPICANTOS"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_8": "VERDE AMARILLENTO 8"
"CUST_COMP_EYES_DARK_BROWN": "MARRÓN OSCURO"
"LOGO_PHEASANT": "CAZADOR DE FAISANES"
"CUST_VARIANT_ULTOR2": "ULTOR 2"
"VEHICLE_PAINT_LICENSE_PLATES": "PLACAS DE MATRÍCULA"
"HAIR_COLOR_GREEN_MATTE": "VERDE MATE"
"CUST_VARIANT_LARGE_STRIPES": "RAYAS GRANDES"
"VEHICLE_COLOR_ATLANTIC_TEAL": "AZULVERDE ATLÁNTICO"
"CUST_WEAR_TUCKED": "POR DENTRO"
"CUST_ITEM_IMPRESSIONS_FEMALE_K": "IMPRESSIONS FEMENINO K"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOC": "CAMISETA C CROOKS & CASTLES"
"CUST_MORPH_CAT_JAW": "MANDÍBULA"
"CUST_COMP_EYE_MAKEUP_14": "ESFINGE"
"SLOT_MIRRORS": "ESPEJOS"
"HAIR_COLOR_YELLOW_MATTE": "AMARILLO MATE"
"CUST_WEAR_UNZIPPED_HOOD_DOWN": "CREM. BAJADA, CAPUCHA BAJADA"
"CUST_ITEM_CF_NLMF_FOOT_F_VICTORIANBOOTS": "BOTAS VICTORIANAS STEAMPUNK"
"STORE_WEAPON_NAVIGATE": "DESPLAZARSE"
"SK03": "PIEL03"
"CUST_VARIANT_SMALL_FLOWERS": "FLORES PEQUEÑAS"
"CUST_WEAR_BUTTONED_HOOD_DOWN": "ABROCHADO, CAPUCHA BAJADA"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRTLOWV": "CHAQUETA HILLS CON CAMISETA"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO": "COMBO DE ESTRATAGEMA"
"CUSTOM_WALK_3": "MATÓN ESTILO 2"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_2": "Lleva más misiles."
"CUST_TATTOO_LOWBACK_4": "CURVO, ALTO"
"CUST_COLOR_FLESH_4": "CARNE 4"
"CUST_WEAR_HALF OPEN": "MEDIO ABIERTO"
"CUST_ITEM_CM_UBDY_M_THEROW": "MIEMBRO DE LOS ROW"
"CUST_ITEM_CM_HAIR_SHORT": "CORTE EJECUTIVO"
"CUST_ITEM_MINER_HAT": "MÁSCARA DE MURDERBRAWL"
"PLAYER_MORPH_FACE_DEPTH_TEXT": "PROFUNDIDAD DE CARA"
"CUST_TATTOO_UPPBACK_6": "DOS SANTAS PALOMAS"
"CUST_COMP_FACE_MOLE_8": "LUNAR 8"
"CUST_VARIANT_TWO_COLOR": "BICOLOR"
"CUST_VARIANT_LEATHERLEATHER": "CHAROL"
"CUST_COLOR_WHITE": "BLANCO"
"CUST_ITEM_CM_PSJ_EYES_M_SHTRGLS": "GAFAS DE SOL DE CHULAZO"
"CUST_ITEM_CF_PSE_UBDY_F_GFXJERSEYCOMBO": "JERSEY DE DEPORTE DE CHICA"
"PLAYER_MORPH_BROW_ELEVATION_TEXT": "ELEVACIÓN CEJAS"
"CUST_COMP_EYE_MAKEUP_3": "MANCHA DERECHA"
"RIM_188": "C-X 502"
"SLOT_DECAL_10": "PEGATINA 10"
"BRIGHT_GREEN": "VERDE BRILLANTE"
"LOGO_NUMBER1": "NÚMERO 1"
"LOGO_FEEDSUCK": "LOS FEED DOGS APESTAN"
"CUST_ITEM_CF_PSG_LWRST_F_SBAND": "MUÑEQUERA"
"HAIR_CAT_BALD": "CALVO"
"VEHICLE_COLOR_JET_BLACK": "NEGRO AZABACHE"
"CUST_VARIANT_CLEAR": "CLARO"
"CUST_VARIANT_BAND": "CON BANDA"
"CUST_ITEM_CF_IMPO_LBDY_F_SHORTS": "BERMUDAS URBAN SAFARI"
"CUST_ITEM_CF_NLMD_LBDY_F_PANTS": "PANTALONES DE MODERNA"
"SURGEON_CAT_MORPHS": "RASGOS"
"CUST_COLOR_CLOTHING_GREYS_1": "GRIS 1"
"VEHICLE_COLOR_YELLOW_DARK_TINT": "TINTE AMARILLO OSCURO"
"CUST_WEAR_LOW_LEFT_ROLLED_RIGHT_ZIPPED": "IZQUIERDA ENROLLADO, BAJO"
"CUST_WEAR_FINGER_LR": "DEDO ANULAR IZQUIERDO"
"CUST_TATTOO_RIGHT_SHOULDER": "HOMBRO DERECHO"
"CUST_TATTOO_LCALF_3": "SIGUE NADANDO"
"LOGO_PEACE": "PAZ"
"CUST_VARIANT_WIDOWS_PEAK": "PEINADO EN PICO"
"CUST_VARIANT_MATERIAL_9": "CUST_VARIANT_MATERIAL#9"
"CUST_ITEM_FEMALE_NLM_EARRINGS_1": "PENDIENTES FLOWER POWER"
"PLAYER_CREATION_FIGURE_OVERWEIGHT": "SOBREPESO"
"PLAYER_MORPH_CROWN_LENGTH_TEXT": "LONGITUD CORONILLA"
"CUST_INSULT_O": "EL COSPLAY"
"CUST_MORPH_CAT_CHIN": "BARBILLA"
"PLAYER_MORPH_CAUCASIAN_TEXT": "CAUCÁSICO"
"STORE_WEAPON_OWNED_NOT_EQUIPPED": "{0} NIVEL {1}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_3": "Aumenta la cadencia de fuego y el daño."
"RIM_STANDARD": "ESTÁNDAR"
"CUST_VARIANT_SMALL_3_STRIPES": "RAYAS FINAS"
"CUSTOM_WALK_FEMALE_5": "SALTO FEMENINO"
"CLOTHES_IMPRESS": "IMPRESSIONS"
"CUST_TATTOO_RHAND_8": "HAND_TATTOO_R8"
"CUST_TATTOO_CHEST_3": "PALPA EL PULPO"
"PAINT_TRIM_AND_RIMS": "PINTURA, EMBELLECEDOR Y LLANTAS"
"RIMS_AND_TRIM": "LLANTAS Y EMBELLECEDOR"
"CUST_ITEM_CM_LPE_PACK_M_MBACKPACK": "MOCHILA IMPERIO"
"FACIAL_EXPRESSION_INSANE": "LOCO"
"CUST_COMP_FACE_MAKEUP_8": "HUELLA DE LEOPARDO"
"LOGO_BAT_1": "MURCIÉLAGO 1"
"CUST_VARIANT_BELT": "LISO"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_5": "AROS PEQUEÑOS"
"CUST_ITEM_CF_IMPQ_WRST_F_LATEXBRACE": "BRAZALETE DE LÁTEX IMPRESIONANTE"
"CUST_COMPLIMENT_KING": "EL REY"
"CUST_MENU_MOVEMENT": "PERSONALIDAD"
"CANT_WEAR_BELTS": "SOLO PUEDES LLEVAR CINTURÓN CON DETERMINADOS PANTALONES."
"PLAYER_CREATION_MENU_4": "CABELLO"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_5": "NARANJA AMARILLENTO 5"
"CUST_TATTOO_LHAND_7": "HAND_TATTOO_L7"
"CUST_COLOR_INDIGO_3": "AÑIL 3"
"CUST_COLOR_PURPLE_2": "MORADO 2"
"CUST_ITEM_TOILET": "BAÑO"
"CUST_ITEM_LEATHER_LACE_FEMALE_S": "DONCELLA NEGRA"
"CUST_ITEM_CM_PSF_LBDY_M_BSHORTS": "PANTALÓN CORTO TIRO LIBRE"
"PLAYER_MORPH_SATURATION_TEXT": "SATURACIÓN"
"CUSTOMIZATION_TITLE": "PERSONALIZACIÓN DE JUGADOR"
"CUST_COLOR_CLOTHING_VIOLET-RED_9": "ROJO VIOLETA 9"
"CUST_COLOR_CLOTHING_BROWNS_8": "MARRÓN 8"
"VEHICLE_COLOR_BRETON_GREEN": "VERDE BRETAÑA"
"LOGO_FUZZ": "FUZZ"
"CUST_VARIANT_CAMOUFLAGE": "CAMUFLAJE"
"CUST_ITEM_CF_HAIR_CORNROWS_1": "TRENCITAS AJUSTADAS A LA PIEL"
"CUST_ITEM_CM_NLMA_HAT_M_SPHAT": "SOMBRERO DE ABRAHAM LINCOLN"
"CUST_SKIN_GOLD": "ORO"
"CUST_COMP_MALE_EYEBROWS_5": "GENIO MALVADO"
"COMPONENT_OPTION_8": "OPCIÓN 8"
"HAIR_COLOR_ORANGE_MATTE": "NARANJA MATE"
"LOGO_RUSTY_S_NEEDLE_2": "RUSTY'S NEEDLE 2"
"CUST_WEAR_UNBUTTONED_HOOD_UP": "DESABROCHADO, CAPUCHA PUESTA"
"CUST_ITEM_CM_IMPE_HAT_M_PAN_FEDORA": "FEDORA DE SOUTH BEACH"
"CUST_ITEM_CF_LLK_FOOT_F_LATEXBOOTS": "BOTAS ARDIENTES"
"CUST_ITEM_CM_LPG_MASK_M_MASKAPE": "TRABAJO DE MONOS"
"PLAYER_OLD_TEXT": "VIEJO"
"PLAYER_MORPH_CHIN_CREASE_TEXT": "PLIEGUE BARBILLA"
"PLAYER_MORPH_BROW_HEIGHT_TEXT": "ALTURA DE CEJAS"
"CUST_TATTOO_NECK_8": "CISNE NEGRO"
"HAIR_COLOR_BLACK_MATTE": "NEGRO MATE"
"LOGO_NUMBER_13": "NÚMERO 13"
"CUST_ITEM_CF_SUIT_CYPHERSUIT": "EL ASESINO DE ULTOR"
"CUST_ITEM_CF_NLMC_LBDY_M_SKIRTPANTS": "PANTALÓN VIDA GÓTICA"
"CUST_ITEM_CM_HAIR_CAESAR": "EL ROMANO"
"CUST_FACIAL_EXP_BASHFUL": "TÍMIDO"
"CUST_COLOR_CLOTHING_ORANGE_2": "NARANJA 2"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_UNZIPPED": "CREM. BAJADA, ALTOS"
"CUST_ITEM_CF_DLC_WP_UBDY_F_UPPER": "PARTE DE ARRIBA DE PRINCESA GUERRERA"
"CUST_ITEM_CF_NLMH_PACK_F_CATBACKPACK": "GATITO MALO"
"PLAYER_MORPH_NOSTRIL_ELEVATION_TEXT": "ELEVACIÓN ORIFICIO NASAL"
"PLAYER_MORPH_LOWER_LIP_SHAPE_TEXT": "FORMA DE LABIO INFERIOR"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_2": "Aumenta el daño. La mira de punto rojo mejora la precisión al apuntar."
"VEHICLE_COLOR_RED_DARK_TINT": "TINTE ROJO OSCURO"
"RIM_180": "SD DCY15"
"LOGO_NUMBER9": "NÚMERO 9"
"LOGO_SAINTSBEER": "CERVEZA SAINTS"
"CUST_VARIANT_HEARTS": "CORAZONES"
"CUST_VOICE_ZOMBIE": "ZOMBI"
"CUST_SEX_APPEAL": "ATRACTIVO"
"CUST_VARIANT_STRETCH_TOP": "ESTILO 1"
"CUST_TATTOO_LEFT_LEG": "PIERNA IZQUIERDA"
"CUST_MENU_COLOR": "COLOR"
"PLAYER_CREATION_FIGURE_SLENDER": "ESBELTO"
"PLAYER_MORPH_EAR_INSIDE_TEXT": "INTERIOR DE OREJAS"
"CUST_TATTOO_RFORARM_1": "ENCUENTRA EL EQUILIBRIO"
"VEHICLE_COLOR_WILDLIFE_GREEN": "VERDE SELVA"
"CUST_VARIANT_NAILS_B": "UÑAS 2"
"CUST_ITEM_CM_SUIT_NORMALTESTSUIT": "TRAJE DE PRUEBAS NORMAL"
"SLOT_SEATS": "ASIENTOS"
"CUST_VARIANT_PATTERN2": "ESTILO 2"
"CUST_ITEM_BLOWUPDOLL": "MUÑECA HINCHABLE"
"CUST_ITEM_MALE_NLM_OUTFIT_C": "ACID HOUSE"
"PLAYER_MORPH_NOSTRILS_ELEVATION_TEXT": "ALTURA ORIFICIO NASAL"
"PLAYER_MORPH_CHIN_BULGE_TEXT": "PROTUBERANCIA BARBILLA"
"CUST_VARIANT_PATTERN_1": "ESTILO 1"
"CUST_INSULT_G": "EL MARINE"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_SIZE_TEXT": "TAMAÑO MEDIO LABIO SUPERIOR"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_2": "Aumenta el daño."
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_3": "Aumenta el tamaño de tus cargadores."
"CUST_TATTOO_RCALF_4": "ACUÉRDATE DE MÍ"
"CUST_TATTOO_LARM_3": "LA HERMANDAD"
"CUST_TATTOO_LUPPARM_1": "AQUÍ VA LA DINAMITA"
"CUST_COMP_FACE_FRECKLES": "MOTEADO"
"CUST_COMP_FEMALE_EYEBROWS_3": "PINTADAS"
"COMPONENT_ADD_TIRE_DURABILITY": "RESISTENCIA DE NEUMÁTICOS"
"SLOT_FAIRINGS": "CARROCERÍAS"
"LOGO_RHOMBUS": "ROMBO"
"CUST_VARIANT_THICK_TRI_COLOR": "TRICOLOR GRUESO"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR": "CINTAS DE CUERO"
"CUST_CAT_RING": "ANILLOS"
"CUST_INSULT_JERK": "PAJERO"
"CUST_COLOR_CLOTHING_GREYS_9": "GRIS 9"
"BRIGHT_YELLOW-GREEN": "VERDE-AMARILLO BRILLANTE"
"CUST_VARIANT_CMSHO_UUTIBOOT01": "LONETA"
"CUST_VARIANT_STRIPES_1": "RAYAS 1"
"CUST_VARIANT_BEADS": "CUENTAS"
"CUST_ITEM_CM_LLK_UBDY_M_BATHROBE": "EL ALBORNOZ"
"CUST_UNDERWEAR": "ROPA INTERIOR"
"CUST_SKIN_ORC": "ORCO VERDE"
"CUST_VARIANT_09_DEFAULT": "VARIANTE 9"
"CUST_VARIANT_PLAID_1": "CUADROS 1"
"CUST_VARIANT_MATERIAL_1": "CUST_VARIANT_MATERIAL#1"
"CUST_WEAR_FINGER_RI": "DEDO ÍNDICE DERECHO"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHRTTIE": "CLASE ALTA"
"CUST_ITEM_FEMALE_PS_EARRINGS_1": "PENDIENTES FLOR DE LOS SAINTS"
"CUST_COMPLIMENT_H": "FIESTA EN CASA"
"CUST_ITEM_CF_LPH_UBDY_F_VARSITYCHEER": "CAMISETA DE ESPÍRITU DE CAMPEÓN"
"VEHICLE_COLOR_BAY_YELLOW": "AMARILLO BAHÍA"
"RIM_184": "V-F 603"
"CUST_VARIANT_MATERIAL_24": "CUST_VARIANT_MATERIAL#24"
"CUST_ITEM_CM_PSE_EYES_M_SHADES": "GAFAS DE MALOTE"
"CUST_ITEM_BIKER_HELMET": "GORRO DE MATÓN"
"FACIAL_EXPRESSION_ROGUISH": "PÍCARO"
"FACIAL_EXPRESSION_FEARFUL": "HORRIBLE"
"CUST_BRO_TAUNT_A": "PROVOCACIÓN DE LA BROTHERHOOD 1"
"VEHICLE_COLOR_BELIZE_GREEN": "VERDE BELIZE"
"MALE_OVERWEIGHT": "VARÓN CON SOBREPESO"
"CUST_RACE_ASIAN": "ASIÁTICO"
"CUST_ITEM_CF_IMPR_FOOT_F_HEELS": "TACONES CHICA DE VALLEY"
"CUST_ITEM_MALE_NLM_OUTFIT_G": "NIÑO EMO"
"CUST_ITEM_CF_BOBINEYE": "BOB AL OJO"
"FACIAL_EXPRESSION_SNEER": "DESPRECIATIVO"
"PLAYER_CREATION_FIGURE_BODYBUILDER": "CULTURISTA"
"CUST_TATTOO_RFORARM_5": "EL HADA MORADA"
"CUST_COMP_FACE_MOLE_4": "LUNAR 4"
"CUST_VARIANT_MATTE": "MATE"
"CUST_VARIANT_THE_FADE": "DESVAÍDO"
"CUST_ITEM_CM_LPC_UBDY_M_HEROFALCON": "HOMBRE HALCÓN"
"CUST_CAT_NECKLACE": "COLLAR"
"CUST_SKIN_GREY_4": "GÓLEM DE PIEDRA"
"PLAYER_MORPH_CHIN_DIMPLE_TEXT": "HOYUELO BARBILLA"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_2": "Aumenta el tamaño de tus cargadores y el daño. La mira de punto rojo mejora la precisión al apuntar."
"CUST_TATTOO_LARM_7": "ATAVÍO NINJA"
"CUST_TATTOO_LUPPARM_5": "MÍA PARA SIEMPRE"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_3": "TANGA DE NEÓN"
"CUST_ITEM_CM_PSC_LBDY_M_DICKIES": "PANTALONES CÓMODOS"
"SLOT_SIDE_SKIRT": "EXTENSIÓN LATERAL"
"CUST_VARIANT_CHILD_RWRIST": "ESTILO 2"
"CUST_VARIANT_LARGE_PLAID": "CUADROS GRANDES"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_ROLLED": "Iz. crem. bajada, der. enrollado, bajos"
"CUST_INSULT_C": "DEL OESTE Y PARA ARRIBA"
"PLAYER_MORPH_NOSTRIL_THICKNESS_TEXT": "GROSOR ORIFICIO NASAL"
"PLAYER_MORPH_CHEEKBONE_ELEVATION_TEXT": "ELEVACIÓN PÓMULOS"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_3": "Aumenta el tamaño de tus cargadores. Añade un tercer cañón para causar más daño."
"VEHICLE_PAINT_INTERIORS": "INTERIORES"
"COMPONENT_OPTION_11": "OPCIÓN 11"
"SLOT_DECAL": "ADHESIVO"
"CUST_COLOR_GREEN_1": "VERDE 1"
"LOGO_FISH": "PEZ"
"CUST_VARIANT_BONES": "VUDÚ"
"CUST_VARIANT_MATERIAL_5": "CUST_VARIANT_MATERIAL#5"
"CUST_ITEM_CF_DLC_SUIT_F_BCAN": "TRAJE DE LA CANONESA SANGRIENTA"
"CUST_ITEM_CF_RING_F_ROCKERSET": "ANILLOS HEAVY METAL"
"CUST_ITEM_CM_NLMG_LBDY_M_LOOSEPANTS": "PANTALONES PANDILLERO"
"CUST_COMPLIMENT_L": "I STILL BELIEVE"
"PLAYER_MORPH_CHEEK_CREASE_TEXT": "PLIEGUE MEJILLAS"
"CUST_VARIANT_01_DEFAULT": "VARIANTE 1"
"CUST_ITEM_CF_LLJ_FOOT_F_BIKERBOOTS": "BOTAS DE MOTERA"
"CUST_CAT_MAKEUP_FOREHEAD": "FRENTE"
"SLOT_LIGHT_COVERS": "CUBIERTAS DE FAROS"
"CUST_ITEM_CF_LLJ_UBDY_F_LTHRJCKT": "CHAQUETA DE MOTERA"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_1": "PENDIENTES DE DIAMANTES"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_4": "VERDE AMARILLENTO 4"
"CUST_TATTOO_CHEST_7": "ARCOÍRIS FELIZ"
"LEVEL_2": "NIVEL 2"
"CUST_VARIANT_BABYT_OG": "OG"
"CUST_ITEM_MALE_GATSUIT": "MASCOTA DE JOHNNY GAT"
"CUST_ITEM_CM_NLMC_LWRST_M_WRISTBANDS": "ABALORIOS LOVE2RAVE"
"CUST_ITEM_FEMALE_LL_EARRINGS_2": "PENDIENTES VERDADERO AMOR"
"CUST_ITEM_CM_LPH_UBDY_M_PIRATESHIRT": "ESPADACHÍN"
"PLAYER_MORPH_FACE_WIDTH_TEXT": "ANCHURA DE CARA"
"CUST_COMP_EYES_BLUE": "AZUL"
"SLOT_INTERIOR": "INTERIORES"
"PAINT_4": "PINTURA 4"
"CUST_ITEM_CF_NLMH_RWRST_F_WRISTBANDS": "BRAZALETES DE FIESTA"
"CUST_VOICE_FEMALE_BLACK": "MUJER 2"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_1": "NARANJA AMARILLENTO 1"
"CUST_TATTOO_LHAND_3": "ODIO EL HORNO"
"VEHICLE_COLOR_FROSTED_BLUE": "AZUL ESCARCHA"
"PLAYER_MORPH_GLOBAL_FACE_TEXT": "FORMA CARA"
"PLAYER_MORPH_BOTTOM_LIP_EDGES_SIZE_TEXT": "TAMAÑO BORDES LABIO INFERIOR"
"CUST_TATTOO_LOWBACK_8": "CURVO, BAJO"
"SLOT_TRUNK": "PORTAEQUIPAJES"
"CUST_VARIANT_CHILD_HEMP": "ESTILO 1"
"CUST_VARIANT_WITH_DECALS": "PEGATINAS"
"CUST_ITEM_CF_HAIR_LONGHIPONYBANGS": "ANIMADORA"
"CUST_CAT_FACE": "CARA"
"CLOTHES_INSUFFICIENT_FUNDS_TEXT": "No tienes suficiente dinero\npara comprar \"%s\"."
