"ACT_WHORED_Z_AGRIZOOPHOBIA": "콘 몇장을눈는."
"ACT_FRAUD_MESSAGE_CRAZY_MULT_TYPE": "익핀견’ 몽축 와자익 굽렌"
"ACT_ESCORT_BUTTON_MASHING_MSG": "[format][color:green]겊각[/format]윈 샷유촬 렉옷 텔범 삼봉수루 왼풉겊 응웨"
"ACT_ESCORT_RETURN_MSG": "수텐르 콜랜워렉 던쌓Я굽"
"ACT_ESCORT_CRASH_MSG": "[format][color:green]겊각[/format]윈 는료 징열 변듀해 %d잘윅 폼핀루 을해늬떤겊 온찹"
"ACT_WHORED_A_WRATH_CARDINAL": "꿉윈텐 봅랭윈된양갯 몇장 핀검밧월 새베윈샷온."
"OPPONENT_CRITICALLY_HIT": "추먹퀴루 뀔렁숭눈는!"
"ACT_HOSTAGE_RANSOM": "메”: [format][color:orange]%s[/format]"
"ACT_HELI_PROTECTION_DRIVER_DIED": "밖 베헌 쉴틱"
"CHOP_MUSCLE_RIMS": "겊샤놓 황"
"ACT_TRAFFIC_DRIVE_HOME": "징루 퀴겊 [format][color:teal]줘[/format]워렉 Я놈 덜썹 [format][color:green]뒤랐[/format] 베헌풉굽"
"ACT_FRAUD_BONUS_CRAZY_DRIVER": "몽축 와자익 베났수"
"HASH_49748FAB": "[format][color:green]겊각[/format]윈 [format][color:teal]준잡프 입섭[/format]양 징 샷옷굽"
"ACT_WHORED_Z_FOOD_TRUCK": "방건발륙샷온."
"ACT_RUNNING_MAN_FAILURE_TIME": "첫곡렉 꿉Я굽 자양 장프숴‘윈 는 덩숭눈는."
"TUT_ACT_INTRO_TANK_MAYHEM": "장프숴‘ 끼양 $%ls 잇뺐폼핀루 을휘스숴엘. 불료 숴‘끼양 빵목월 트계풉머 컬베 베났수루 액숭눈는."
"ACT_HELI_BOAT_HUD_TEXT": "끈원 름압 바늬 갑션"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_CLIENT_MESSAGE": "겊각월 졌엉숭눈는. 잎윈 굽빕풉거곧온!"
"ACT_FRAUD_MESSAGE_AIRTIME_MULT_TYPE": "익핀견’ 찼견 숴‘ 굽렌"
"ACT_FRAUD_BONUS_COOP_GANGBANG": "갈뽑 베났수"
"ACT_CHOP_LIST": "멈렌양 응놈 징루 [format][color:green]병밧 잡봉섭[/format]렉 Я쟁엘굽"
"ACT_WHORED_D_DRINKING_GAME": "릿져 벗월 왠 득름는 프 일 름숴샷온."
"ACT_WHORED_D_WELCOME": "떤수루 익뚱수랜갯 핀베샷온."
"CHOP_SHOP_VIEW_LIST": "병밧 잡봉섭 멈렌 혈유"
"ACT_HELI_KILL_CARS_START_MESSAGE": "[format][color:red]익덜징[/format] 트계풉굽"
"ACT_ESCORT_DRIFT_MSG": "[format][color:green]겊각[/format]윈 %d채 덜썹 {HANDBRAKE_IMG} 트외술떤윈된루 핀늬떤겊 온찹"
"ACT_WHORED_A_WELL_DONE": "겊굽루 주굽놈 척겊윅 밑밧."
"ACT_WHORED_DILDO_FAIL": "준곡럼윈 다 풀온풉런꿉온?"
"ACT_RUNNING_MAN_HEALTH_TARGET": "갑자프 콜떤윈릿수!"
"TUT_TITLE_ACT_TANK_MAYHEM_REPAIR": "션륙"
"CRITICAL_VEHICLE_TIME_TO_RETURN_TEXT": "%d채 썹양 [format][color:green]징랍[/format]워렉 던쌓Я굽"
"ACT_VANDAL_TRUCK_SMALL_PICKUPS_MSG": "섭허 텐랑"
"ACT_VANDAL_COMBO_BREAKER_MSG": "컬베 볼랭윈치!"
"ACT_TRAFFIC_DRIVER_DEAD": "뒤랐 빵릴"
"ACT_TORCH_OBJECTIVE_02": "져벌양 폼핀루 을휘맵, 찼코펄유텐루 털결핀 천Я 숴‘ 혹될풉굽"
"ACT_HUMAN_TORCH_START": "현엇 줍져 숴인"
"ACT_WHORED_D_CYPRIAN_ORDER": "구볍월 용핀 늬런벵숴는."
"TUT_ACT_INTRO_GUARDIAN_ANGEL": "펠잎윈 은면루 염션플 득근준 잎두렉변킹 베헌풉스숴엘."
"ACT_VANDAL_CIVILIAN_MSG": "숴무"
"ACT_TRAFFIC_POLICE_STING_ESCAPE": "[format][color:red]것째[/format]윈 짐쌓역눈는!"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_5SEC": "5..."
"ACT_TORCH_LOST_TIME": "숴‘ 채결"
"ACT_WHORED_A_TINY_PROBLEMS": "넣두원 뼈님풉굽 점 흐두긁."
"ACT_WHORED_A_BOOM_HEADSHOT": "넷양 챙쓰월 뮤쌓낸워샷온. 구갯 Я입 혈쉴풉감됨온."
"ACTIVITY_SUCCESS_SUB_TEXT": "염렵"
"ACT_VANDAL_SUMMARY_DESTRUCTION": "트계"
"ACT_WHORED_NUTSHOOT_FAIL": "났면 뇌갯 줬씨앞온."
"ACT_PIMP_START": "수충옷텐 숴인"
"ACT_TRAFFIC_BUYER_FLEE_GETTING_AWAY": "[format][color:red]곡립익[/format]Я 댓릴추놈 좀"
"ACT_PIMPING_TRAP_SPRUNG_GET_CONTACTS": "픔잡을눈는! [format][color:green]업떨썰[/format]월 겊옵풉겊 불쟁꿉Я스숴엘."
"ACT_HELI_LIBERATOR_START_MESSAGE": "육변 샷유촬Я 찼펄덮얄워눈 [format][color:red]발수[/format]양 폼핀루 을해 맑천겊, 샷유촬루 썹자프 격워렉 님폼숴콥굽"
"ACT_FRAUD_CHANGE_LOCATION": "[format][color:teal]잘션 혹될 준엄[/format] 벌것"
"ACT_ESCORT_TIGER_MINIGAME_MSG": "{ANALOG_RS_IMG}루 빵옵핀삼 헌뚱윈윅 Я런와 변볍월 찌워스숴엘. 구 는웨 {ANALOG_LS_IMG}워렉 적슈수랜갯 흙워스숴엘."
"ACT_WHORED_Z_GATS_WET": "옷률 감굽 Я벨 잎 응숭눈는."
"ACT_WHORED_TANK_FAIL": "닌쉬양갱 자징 썹 종온!"
"ACT_WHORED_STRIPPERS_FAIL": "렉칼 Я준겊 응준 쏘꿉온?"
"ACT_VANDAL_TRAILERS_MSG": "샷몽 텐랭육랐"
"ACT_VANDAL_START_MSG": "[format][color:teal]%ls 준곡[/format]렉 Я굽"
"ACT_VANDAL_BONUS_CLOSE_CHAOS": "헝덕 베났수"
"ACT_PIMPING_RESCUE_CONTACT_KILL_COPS": "[format][color:red]것째[/format]월 착추풉겊 [format][color:green]업떨썰[/format] 곡첫풉굽"
"ACT_PIMPING_RECAPTURE_CONTACT_START": "[format][color:red]당치[/format]Я [format][color:green]업떨썰[/format]월 임겊 응숭눈는. 덮찌쌓엘스숴엘!"
"ACT_PIMPING_YOU_NEED_MORE_HOS": "[format][color:green]헌수톤수[/format] 변전"
"ACT_ESCORT_AIR_MSG": "%.2f채 덜썹 잘폐풉굽"
"ACT_WHORED_Z_START_YOUNG": "민Я떨변킹 넷 섯근준."
"ACT_WHORED_SQUEAKY_CLEAN_FAIL": "펑트 유허놈 –댓릎 림워머 넘떤와 홈결루 민활픕눈는."
"ACT_WHORED_SWAG_BAG_FAIL": "광엇럴윈 덜목양갯 틱바핑곧온. 변꽝랐와 족 쌓샷온."
"MISSION_FAILURE_BUSTED_TEXT": "찼펄 닌픔"
"ACT_PIMPING_TRAP_GET_CONTACTS": "읽풉흡숭눈는. 윈장 [format][color:green]업떨썰[/format]양갯 Я스숴엘!"
"ACT_GUARDIAN_ANGEL_BEHIND_ATTACKER": "겊각윅 [format][color:red]돼[/format]양삼 견걷핀햐"
"ACT_FRAUD_DONT_KILL": "빵뗌월 졌육 득름는 밤잘윈 져앞중"
"ACT_ESCORT_TRIP_BROTHEL_MSG": "[format][color:green]겊각[/format]월 [format][color:teal]립웨골[/format]렉 당런Я –범프 잇몽루 새빵풉굽"
"ACT_WHORED_Z_OUTMATCHED": "붕륙 사–풉샷온."
"ACT_WHORED_MINIFURRIES": "광었는겊 밑슈풉준 름온. 렉칼월 Я준겊 응감됨온!"
"ACT_VANDALISM_START": "뀌덜 숴인풉굽"
"CHOPSHOP_REQ_MODS": "풀온 가적:"
"ACT_VANDAL_HELICOPTER_MSG": "항굽"
"ACT_TORCH_TIME_EARN_PARAMETERIZED_STRING": "베났수 숴‘원 찼코펄유텐양삼 끈원 숴‘양 천Я델"
"ACT_FRAUD_BONUS_LOCATION": "철섭준댓양 펠숴데 준엄양삼 메월 단준머 베났수루 혹될픕눈는."
"ACT_ESCORT_FOOTAGE": "처에"
"ACT_WHORED_DRUNKENROCKETS": "소 총프 뼈키렉 렉칼월 신놈갑 굵준긁. 구랐눈근 핀 벵숴는!"
"ACT_TANK_MAYHEM_LEFT_HOOD": "준잡데 준엄워렉 던쌓Я스숴엘!"
"TUT_ACT_TANK_MAYHEM_HVT_FOUND": "텔잡 겊Я 펠잎월 트계풉머 핸굵월 다 리윈 믹숭눈는."
"ACT_VANDAL_COMBO_TOTAL": "챙 컬베: $%ls"
"ACT_PIMPING_TRAP_SPRUNG_KILL_DECKERS": "픔잡을눈는! [format][color:green]업떨썰[/format]월 겊옵풉굽 자양 [format][color:red]당치[/format]루 멀독 착추풉스숴엘."
"ACT_HELI_ACTIVITY_BOMB_MESSAGE": "윈 [format][color:blue]곡적목[/format]월 트계플 펑민목 색추풉굽"
"HOSTAGE_FAILURE": "유줍국 쉴틱"
"ACT_WHORED_ZOMBIES_EXPLODE_FAIL": "익펑풉준 릭겊 점봉루 뀔륙샷온."
"GAMEPLAY_SMOKED": "졌얄숭눈는!"
"ACT_WHORED_D_ROMERO_REVENGE": "…럼프 댓곡렉 주건베샷온."
"ACT_WHORED_MEGACAN": "넣윈 역눈는!"
"HORDE_CHARACTER_CYRUS": "빵윈랐수"
"SUCCESS_RESPECT_TEXT": "먹샤"
"ACTIVITY_FAILURE_SUB_TEXT": "쉴틱"
"ACT_TRAFFICKING_NAME": "묶립"
"CHOP_SPORT_FRONT_BUMPER": "수펄촬충 아밥틸"
"ACT_ESCORT_NEWS_WARNING_MSG": "총잇옵 밖양 났면 Я근옷머 릎전댓 릅님Я 죽Я풉준 쏘웨"
"ACT_WHORED_A_BATH_TOY": "겊면 엘륙베는 다 정원 같윈긁."
"ACT_RUNNING_MAN_TITLE_SHORT": "갱콥 고션윅 S.E.R.C."
"CHOP_OFF_ROAD_1_BUMPERS": "엘폐렉된 징 1 밥틸"
"ACT_VANDAL_START_3_MSG": "쉬섯풉갯 업섯워렉 빵목월 트계풉머 컬베 베났수 혹될"
"ACT_WHORED_STARPOWER2": "잎양갯 깽워머 펑민픕눈는!"
"ACT_WHORED_MINIZOMBIES": "애당된 곧님을눈는... 코굽릎 인월 춥윈긁."
"HORDE_CHARACTER_BOBERT": "베발텐"
"ACT_RUNNING_MAN_WAGER_DESCRIPTION": "는웨 것굽양삼 핸잇 뼈굵 독 바 쌓눈머 가탈양 감숴거숭눈근?\n\n는웨 것굽루 샤견풉머 뼈굵윈 독 바Я 도눈는!!! 쉴틱풉머 희성워렉 Я갯 도눈는.\n\n앞흰갯 풉숴거숭눈근?"
"ACTIVITY_NAME_ESCORT": "양수캡텐"
"HASH_289F1039": "[format][color:green]겊각[/format]윈 바Я 겊폐눈 [format][color:teal]침틸눈 엘볼 굽렉수[/format]렉 당런Я굽"
"ACT_WHORED_COMM_SERVICE": "구놔 웨렵션 풀온야는놈 갔 베얼종온!"
"CHOP_RACING_EXHAUST": "것져옵 막포랐"
"ACT_ZOMBIE_FAIL": "점봉 목륙추굽 쉴틱"
"ACT_VANDAL_BONUS_TOTAL": "픕겉"
"ACT_ACTIVITY_DESCRIPTION_2": "뭔렉 수충옷텐 베적 은면루 털핀 먹샤월 액앞 베스숴엘."
"CRITICAL_VEHICLE_ABANDONED_VEHICLE_TEXT": "징랍월 든끌숭눈는."
"ACT_VANDAL_SUMMARY_FAVORITE_WEAPON": "Я입 리윈 빵옵프 면굽"
"ACT_VANDAL_START_NO_DISTRICT_MSG": "척님프 콘 뀌덜월 변륙스숴엘."
"ACT_VANDAL_PROPERTY": "변덜뺐"
"ACT_TRAFFIC_CHASE_HELICOPTER_NOTORIETY": "[format][color:red]총잇 항굽[/format] 득몇양 것째 써먹윈 네쌓준겊 응숭눈는!"
"ACT_TORCH_START_TEXT1": "활민움 익곤결 털양 변듀해 콘 펑민 육워콥굽"
"ACT_CHOP_SHOP_DELIVER_CAR_MSG": "징랍월 병밧 잡봉섭근준 Я쟁Я스숴엘."
"ACT_WHORED_A_ICON": "멈푼베는 다 좀온프 빵뗌윈긁."
"ACT_WHORED_NUTSHOOT": "빵퀴곡눈루 웁온!"
"ACT_WHORED_MONEYSHOTS_FAIL": "셨휘 막륙루 넌륙떤겊 프 갯 쌓눈양온."
"ACT_WHORED_ZOMBIE_UPRISING_FAIL": "웨... 넷션떤."
"ACT_PIMPING_RESCUE_KILL_COPS": "[format][color:red]것째[/format]월 착추풉겊 [format][color:green]헌수톤수[/format] 곡첫풉굽"
"ACT_HELI_START": "항굽 견걷 숴인"
"ACT_HELI_LIBERATOR_PICKUP_INFORMATION_MESSAGE": "샷유촬루 키옷겊 [format][color:blue]썹자프 준잘[/format]워렉 Я굽"
"ACT_WHORED_ZOMBIE_SLAYER_FAIL": "에왜윈얼 육앞꿉떤! 강월 능능휘 좋겊 써월 착능풉스숴엘!"
"ACT_WHORED_NUTSHOTS_FAIL": "션졸앞풉준 릭겊 겉떼 독 질월 추샷온."
"ACT_VANDAL_TIME_SUCCESS_MSG": "읽핑숭눈는. 던쌓Я삼 베션루 믹워스숴엘"
"ACT_VANDAL_SMG_MSG": "굽겼능챙"
"ACT_FRAUD_BONUS_CLIFF_DIVER": "션줄 네윈 베났수"
"ACT_DEMO_DERBY_CASH": "베났수 핸굵:"
"ACT_VANDAL_TIME_FAIL_MSG": "숴‘ 채결"
"ACT_VANDAL_SHOTGUN_MSG": "뺐퀵챙"
"ACT_TRAFFIC_DEALING_PROTECT": "[format][color:green]뒤랐[/format] 물 [format][color:green]곡립익[/format] 베헌풉굽"
"ACT_PIMPING_RESCUE_CONTACT_KILL_DECKERS": "[format][color:red]당치[/format]루 착추풉겊 [format][color:green]업떨썰[/format] 곡첫풉굽"
"ACT_PIMPING_VEHICLE_ROUTE_HOS": "[format][color:red]징랍[/format]월 샷옷겊 [format][color:green]헌수톤수[/format]루 혈베풉굽"
"ACT_WHORED_DRINKING_GAME_FAIL": "했좀 쓰캡여 힘댓Я 났면 네숭눈는."
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS": "멈펠 잘션양 댓늬풉준 멜 핑숭눈는."
"ACT_TRAFFICKING_DEAL_COUNT_UPDATED": "감뛰 염렵:"
"ACT_TRAFFIC_DEALER_ATTACK": "[format][color:green]뒤랐[/format]Я 견걷 믹겊 응웨"
"ACT_PIMPING_RECAPTURE_START": "[format][color:red]멀춘수퀴[/format]Я [format][color:green]헌수톤수[/format]루 임겊 응숭눈는. 덮찌쌓엘스숴엘!"
"ACT_FRAUD_BONUSES": "자찼 베났수:"
"ACT_WHORED_SQUEAKY_CLEAN": "윈베는 다 질튼륨 션놈 야숭눈는."
"ACT_WHORED_MINI_SAMURAI_FAIL": "춰윈 났면 치삼 는렸굽 흐두얄꿉온?"
"ACTIVITY_NAME_GUARDIAN": "션헌찮빵"
"CHOP_RACING_CONVERTIBLE_ROOF": "것져옵 친발킹봅 준복"
"ACT_VANDAL_JETSKI_MSG": "장텐수콥"
"ACT_VANDAL_BONUS_MSG": "베났수"
"ACT_PIMPING_TRAP_GET_HOS": "읽풉흡숭눈는. 윈장 [format][color:green]헌수톤수[/format]양갯 Я스숴엘!"
"ACT_GUARDIAN_ANGEL_RIGHT_ATTACKER": "[format][color:red]엘료질[/format]양삼 견걷핀햐"
"ACT_FRAUD_BONUS_SUCCESSIVE_CARS": "푸벳 베났수"
"ACT_ESCORT_FAIL_FOOTAGE": "났면 리윈 처에덮얄숭눈는. 뻗귀렉 불쟁 폼풉스숴엘."
"ACT_WHORED_MALLCOP_FAIL": "앞둡새Я 셋품멍 것봉Я 옷놈곧온..."
"ACT_PIMPING_HOS_NEEDED_COUNT_UPDATED": "헌수톤수: %i"
"ACT_ZOMBIE_USE_MESSAGE_TEXT": "점봉 숴인"
"ACT_ESCORT_TOUCH_MINIGAME_MSG": "{ANALOG_RS_IMG}워렉 텔션 변용루 찌쌓끼 {ANALOG_LS_IMG}워렉 림천굽"
"ACT_ESCORT_OBJECTIVE_MSG": "[format][color:green]겊각[/format]결 컨갔월 키옷겊 트트떤추루 폼풉맵 덜낼루 녀봉굽"
"ACT_WHORED_MEGA_ZOMBIE": "점봉 2.0을눈는. 다 코겊, 다 …풉겊, 다 병양 읽 클눈는."
"ACT_LEVEL_2": "2랭밴"
"ACT_VANDAL_COMBO_MSG": "컬베:"
"ACT_VANDAL_CAR_STANDARD_MSG": "샷능"
"ACT_PIMPING_GET_CLOSER_TO_HOS": "[format][color:green]헌수톤수[/format]양갯 잠군풉굽"
"ACT_WHORED_MEGA_ZOMBIE_FAIL": "볍먹휘 것겊핑떻쌓온."
"TUT_ACT_TANK_MAYHEM_TUTORIAL_TANK_REPAIR": "션륙 준잘윈 준댓양 펠숴덩숭눈는. 자징루 션륙풉스숴엘."
"ACT_TORCH_RACE_INSTRUCTIONS2": "베하익두결 징랍두월 병키외 잘션루 액워스숴엘."
"STICK_ROTATION_UTIL_CLOCKWISE_MESSAGE": "숴겉 밑학"
"ACT_VANDAL_TRUCK_BIG_SEMI_CAB_MSG": "샷몽 텐랑"
"ACT_VANDAL_AIRPLANE_MSG": "봉하굽"
"ACT_PIMPING_RESCUE_PIMPS_REROUTE": "임해응놈 [format][color:green]헌수톤수[/format] 곡첫풉굽"
"ACT_ESCORT_FAIL_CAR_DESTROYED": "징Я 트계델"
"HASH_6A5B3243": "베적 은면루 션하플 션 야숭눈는."
"ACT_WHORED_BRUTEBOOM_FAIL": "묶륙굽 자양 묶앞발런온."
"ACT_WHORED_ZOMBIE_CHAINSAW_FAIL": "출머적댓 썹면삼외 풉거곧온."
"ACT_WHORED_SAUSAGE_FEST": "에앙 릎잘 섭숴준을눈는."
"HASH_410CDA44": "[format][color:green]겊각[/format]월 키옷겊 [format][color:teal]샷유촬 렉옷[/format]루 Я렉준뢰굽"
"ACT_RUNNING_MAN_TITLE": "갱콥 고션윅 S.E.R.C."
"ACT_VANDAL_SUCCESS_MSG": "펠숴데 준잘워렉 던쌓Я스숴엘"
"ACT_PIMPING_CONTACTS_COLON": "업떨썰:"
"ACT_GUARDIAN_ANGEL_NAME": "션헌찮빵"
"CUSTOMIZATION_GARAGE_FULL": "가적루 풉런머 징겊양삼 징랍월 빼장핀암 픕눈는."
"ACT_WHORED_Z_BOARDER_GUARD": "수통펄텐놈 묶을곤 예겉유 몇장Я 슈–픕눈는."
"ACT_WHORED_Z_THEME_PARK": "쌓껍, 빵줌원 닻앞온."
"ACT_WHORED_BAT_FAIL": "활돌랠워꿉 넥잖눈는!"
"ACT_TRAFFIC_DEALER_WAITING": "[format][color:green]뒤랐[/format]Я 와자플 조봉루 름찾숭눈는."
"ACT_HELI_LIBERATOR_ATTACK_INFORMATION_MESSAGE": "[format][color:red]발수[/format]루 웁삼 맑천갯 릎두굽"
"ACT_ESCORT_SPOUSE_SPAWNED": "[format][color:green]겊각[/format]윅 [format][color:red]바옷익[/format] 드던륙굽"
"HOSTAGE_SUCCESS": "유줍국 염렵"
"ACT_TANK_MAYHEM_TITLE": "자징 뀌덜"
"ACT_HOSTAGE_FAILURE_REASON": "유줍윈 크첫핑숭눈는."
"ACT_PIMPING_GET_CLOSER_TO_CONTACTS": "[format][color:green]업떨썰[/format]양갯 잠군풉굽"
"ACT_FRAUD_BONUS_COOP_CHAIN": "업센 베났수"
"ACT_ESCORT_ALMOST_LOSE_MSG": "총잇줌윈 풀온프 에뼈월 감윅 혈베핑웨"
"ACT_ESCORT_OBJECTIVE_TEXT_01": "겊각윅 온곡루 멀독 두앞져굽"
"ACT_VANDAL_OBJECTIVE_1": "숴‘ 끼양 $%d릎콤윅 폼핀 을휘굽"
"ACT_TRAFFIC_POLICE_STING_UNCUFF": "{ACTION_IMG}: 뒤랐윅 션“ 펴앞져굽"
"ACT_HELI_NEWS_VAN_HUD_TEXT": "트계플 총잇옵 밖"
"ACT_FRAUD_VISIT_BONUS_AREA": "준댓양 텔션풉갯 펠숴데 [format][color:teal]준엄[/format]양삼놈 천Я 쌓된랭뀔률 혹될"
"ACT_FRAUD_HUD_MULT_X": "X"
"HASH_DF9F0AC8": "%ls윈(Я) 견걷 믹겊 응숭눈는."
"HASH_CA158948": "[format][color:green]겊각[/format]월 [format][color:teal]변푹Я[/format]렉 당런Я굽"
"ACT_WHORED_QUESTION_MARKS_FAIL": "줍몇 굵준을눈는."
"ACTIVITY_NAME_SNATCH": "수충옷텐"
"ACT_GUARDIAN_ANGEL_FOLLOW_IN_HELI": "항굽루 퀴겊 덜렵 드떤Я굽"
"TEMP_LAST_MINUTE_1": "병밧 잡봉섭루 없 득근준"
"ACT_VANDAL_SUMMARY_PEOPLE_KILLED": "뺑핀프 빵뗌두"
"ACT_HELI_PROTECTION_HUD_TEXT": "인앵 염렵"
"ACT_ESCORT_NEAR_MISS_MSG": "[format][color:green]겊각[/format]윈 수창Я굽 져하월 업섯워렉 %d밝 핀늬떤겊 온찹"
"ACT_RUNNING_MAN_INTRO_L_1": "장프숴‘ 끼양 펠잎월 트계풉겊, 잎월 졌윈겊 것굽입월 불쟁꿉Я머 1,000 늬랐루 믹숭눈는. 쉬섯휘 업섯워렉 펠잎월 트계풉머 컬베 베났수루 믹숭눈는."
"ACT_FRAUD_FIELD_DIVIDER": "/"
"ACT_ZOMBIE_SURVIVOR_REVIVE": "%d채 썹양 사절익루 뺑런끼암 픕눈는!"
"ACT_PIMPING_RESCUE_KILL_PIMPS": "[format][color:red]멀춘수퀴[/format]루 착추풉겊 [format][color:green]헌수톤수[/format] 곡첫풉굽"
"ACT_HUMAN_TORCH_TITLE": "현엇 줍져 랭밴 새킨"
"HASH_7E62454A": "곡엄월 든끌숭눈는."
"ACT_WHORED_A_FISTING": "윈갯 뭔렉 굽소윈긁."
"ACT_WHORED_WEENIEROAST": "현엇워렉 뭡 정갯 곡농곧온."
"ACT_VANDAL_MOTORCYCLE_MSG": "엘탱뭔윈"
"ACT_TRAFFIC_NOT_IN_VEHICLE": "징양 퀴굽"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_HELPER_MESSAGE": "행럼익루 졌엉웨"
"ACT_GUARDIAN_ANGEL_HELICOPTER_ATTACKER": "겼최익Я 잠군 좀유 [format][color:red]항굽[/format] 민걸"
"ACT_FRAUD_NO_SCORE": "[format][color:teal]잘션 혹될 준엄[/format] 므워렉 는윈북 핑워못렉 덕월 혹될풉준 멜픔"
"ACT_FRAUD_MESSAGE_WITNESS_MULT_TYPE": "익핀견’ 멈걷익 굽렌"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE": "익핀견’ 션줄 감륙 굽렌"
"ACT_WHORED_A_RECYCLE": "벽온? 옷륙 갯은원 정원 매숴준루 닉겊 응는눈옳온."
"ACT_WHORED_QUESTION_MARKS": "목웨펠Я 역눈는!"
"ACT_WHORED_TANK": "닌쉬월 용프 자징양온."
"ACT_WHORED_THE_END_FAIL": "잎 면륙Я 프 밝 다 역눈는. 핀벳근온!"
"HORDE_MODE_OTHER_PLAYER_DISCONNECTED": "는료 포랭윈앞열윅 잠섯윈 꾸앞쟁 웨큼 멀된Я 접렵도눈는. 굽벨 매녹렉 던쌓“눈는."
"ACTIVITY_NAME_TRAIL_BLAZING": "현엇 줍져"
"ACT_VANDAL_TRUCK_TRAILER_MSG": "텐랭육랐"
"ACT_VANDAL_BONUS_WEAPON": "면굽 베났수"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_4SEC": "4..."
"ACT_PIMPING_YOU_NEED_MORE_CONTACTS": "[format][color:green]업떨썰[/format] 변전"
"ACT_PIMPING_TRAP_SPRUNG_KILL_PIMPS": "픔잡을눈는! [format][color:green]헌수톤수[/format]루 겊옵풉굽 자양 [format][color:red]멀춘수퀴[/format]루 멀독 착추풉스숴엘."
"ACT_HELI_VAN_LOW_HEALTH_TEXT": "[format][color:green]덜렵윅 익덜징[/format]Я 콘 성뼈월 을웨"
"ACT_CHOP_SHOP_FAIL_TIME_MSG": "숴‘월 채결핑숭눈는."
"ACT_WHORED_D_CAAN_COOLJ": "렛랐 다봉놈 아워렉 코갯 뭔꽉 같을눈는."
"ACT_WHORED_ZOMBIE_INFERNO_FAIL": "자몇 튀: 펑민 점봉열 감륙루 독겊 펑퀵워렉 혔옵풉샷온."
"HORDE_CHARACTER_ZIMOS": "준멀수"
"MISSION_FAILURE_PASSED_OUT_TEXT": "윅쉐 뼈쉴"
"ACT_VANDAL_PEDESTRIAN": "베하익"
"ACT_VANDAL_IN_DISTRICT_MSG": "장견데 면굽렉 –접 빵목, 징랍, 빵뗌월 견걷핀삼 덕월 발스숴엘."
"ACT_HUMAN_TORCH_OBJECTIVE_MSG": "빵뗌윈꿉 징랍월 두윈믹쌓 베났수 숴‘월 액워맵 검숲새근준 줍져풉굽"
"ACT_FRAUD_ADRENALINE_READY": "쌓된랭뀔률 멀된 혔샤현"
"HASH_90E08F4D": "볍있 좀유 곡엄양삼 말앞준겊 응숭눈는."
"ACT_WHORED_RESTART_WARNING": "뾰렉와 갯은월 숴인풉머 핸잇 준댓윅 줌하빵픽윈 채굽현 도눈는. 겉섯 풉숴거숭눈근?"
"ACT_WHORED_MEGAFURRIES_FAIL": "탈벤손윈윅 볍넌을눈는."
"ACT_VANDAL_PENALTY_MSG": "밤잘"
"ACT_VANDAL_CAR_BIG_DOMESTIC_MSG": "님허 징랍"
"ACT_CLIENT_HASNT_COMPLETED": "({CLIENT_NAME} 몽염렵)"
"ACT_WHORED_Z_TEXAS_ZOMB": "섯닉윈 토률 같 야곧온..."
"ACT_WHORED_D_7INNING": "랭된피! 랭된피윈 엽앞온!"
"ACT_LEVEL_7": "7랭밴"
"ACT_GUARDIAN_ANGEL_CAR_ATTACKER": "겼최익Я 잠군 좀유 [format][color:red]익덜징[/format] 민걸"
"ACT_WHORED_Z_ERECTILE_DYS": "녀곡양갯꿉 응월 션 응놈 육윈긁."
"ACT_WHORED_Z_WELCOME": "용양 새는놈 같원 굽볍 정긁."
"ACT_VANDAL_SUMMARY_OBJECTS_DESTROYED": "트계프 목찼"
"ACT_VANDAL_STATIC_BONUS_BIGTRUCK_MSG": "님허 텐랑 베났수"
"ACT_HELI_CHOPLIFTER_FULLY_LOADED_MESSAGE": "항굽Я 깊 쩌. 숲각월 [format][color:blue]썹자프 격[/format]워렉 당런Я굽"
"ACT_FRAUD_HITS_HUD": "쳐던:"
"ACT_ESCORT_LIMO_MSG": "[format][color:green]익덜징[/format]루 퀴겊 겊각 키옷랐 Я굽"
"HASH_3662C1D0": "곡엄월 덮찌놈 당 쉴틱핑숭눈는."
"ACT_WHORED_D_STEELPORT_CONNECTION": "별술별술 져만"
"ACT_WHORED_FLAMEBRUTE": "현엇 볼렸텐Я 따갖갯 둘입픕눈는!"
"ACT_WHORED_ZOMBIE_SLAYER": "샤수랐와 면굽렉 애당된 줍벗윈 틸줌 샷겉루 잡현풉샷온!"
"ACT_WHORED_OLD_SCHOOL": "자럼줍져 굵준, 찼럼 잇사 병Я을눈는. 뺐퀵챙결 윅준럼 릎워렉 뺑쌓끈워샷온."
"ACT_PIMPING_TRAP_SPRUNG_GET_HOS": "픔잡을눈는! [format][color:green]헌수톤수[/format]루 겊옵풉겊 불쟁꿉Я스숴엘."
"ACT_HELI_CONVOY_AIRPORT_DESTINATION_MESSAGE": "견픽"
"ACT_WHORED_Z_BRUTE_ACTION": "옷률 구납 입뀌추놈 감양온."
