"Storye01_In_Crawl_02": "Nedílná součást historie lidstva."
"Story10_Out_03_Cyrus": "Není to žádná \"okupace\". Máme plnou podporu starosty Reynoldse."
"Story02_In_18_Phillipe": "Ať už se vám to líbí, nebo ne, pane Gate, naše organizace expanduje do Stilwateru. Nabízím vám šance vyměnit vaše peníze za vaše životy. Dámy?"
"Storye01_In_Crawl_01": "Dobývání."
"CTO_Angel02_06_Angel": "Už máš na to bojovat s Killbanem, ale nejdřív se musíme postarat o Luchadory. Víš, kde mě najdeš, pokud budeš chtít ještě cvičit."
"Story13_In_05_Josh": "Zakázanou lásku."
"Story01_In_16_Josh": "Do řady, děvko!"
"22_Choice_09_Player": "Nechci tě zklamat, blbečku, ale Svatým nejde o domácí terorismus."
"CTO_Angel01_01_Player_BM": "Zatraceně, proč žiješ v týhle zasraný díře?"
"Story21_Zscene03_03_Zach": "A jako pomstu za Angela De LaMuerte byl Killbane právě odmaskován!"
"Story01_Zscene01_06_Josh": "A jakej je plán B, provrtáme to?"
"Story15_In_02_Player_BM": "Je to... útulný."
"Story09_Out_01_Killbane": "Na co jsi sakra myslel, Matty?"
"Story21_In_10_Bobby": "Dnes se tady píše historie, Zachu! Angel se před lety po své pochybné prohře s Killbanem skryl z tváře Země. Pokud jste fanoušci Murderbrawlu, tohle vypadá na nejlepší noc vašeho života."
"Story20_In_07_Viola": "Killbane nikdy nebude souhlasit se zápasem proti Angelovi."
"Story17_In_03_Player_BM": "Proč ne? Vypadám úplně jako Cyrus... jen se musím chovat jako namyšlený hovado."
"Story14_In_09_Player_BM": "Kde jsou?"
"Story11_Out_09_Monica": "Postaráte se o bezpečí Joshe Birka, nebo si najdu někoho jiného. Je vám to jasné?"
"Story17_Zscene01_01_Cyrus": "Kio, jsem na cestě na Thermopyly vyslechnout vězně. Postarejte se, aby se k ní nikdo jiný nedostal."
"Story16_Zscene01_06_Player_BM": "V pohodě. V opravdovým světě seš jen ukňouraná děvka s klávesnicí."
"Story16_In_06_Player_BM": "Tak jdem na to."
"Story12_Out_01_Cyrus": "Zkontrolujte těla."
"Story01_In_03_Josh": "Neboj se, kaskadéra si dělám sám."
"Story17_Mid_05_Kia": "Potřebuju, abyste podepsal převzetí pár prototypů, na kterých jsem pracovala."
"Story17_In_07_Player_BM": "Jo, ty a Pierce. Vezmu vás dovnitř."
"Story16_Zscene01_02_Player_BM": "Je snadný smát se, když se schováváš jako posera. Tak vylez!"
"Story07_Zscene03_01_Angel": "Ty nejseš jedno z Lorenovejch monster."
"Story16_In_02_Player_BM": "Je to bezpečnější, než po sobě nechat střílet."
"SH_Decker_10_Oleg": "Chytré..."
"Story08_Out_07_Killbane": "Klídek. Potřebujeme jen jednu z nich."
"Story14_In_05_Killbane": "Je mi potěšením, Jane. A prosím, říkejte mi Killbane."
"Story10_In_02_Viola": "Nikdy jsme neměli příležitost si popovídat, když jsi byl ještě vědecký experiment."
"Story16_Zscene02_01_Matt": "Počkej!"
"Story06_Zscene01_03_Oleg": "To je expresní výtah do sklepa... už ho nechytneme."
"Story09_Out_05_Killbane": "Připravíme se. Soustředíme se. Nebudeme si hrát, ušijeme na ně montrealskej poser."
"Story09_Out_04_Matt": "Moje chyba, kámo. Tak co bude teď?"
"Story24_Out_03_Player_BM": "Nahoď!"
"Story09_Out_06_Killbane": "Jo... to je ono. A teď poslouchej."
"SH_Morningstar02_05_Zimos": "Pokud je to porno zadarmo pro všechny, tak jsem v hajzlu."
"Story08_Out_05_Kiki": "Existoval důvod, proč přenechával Phillipe myšlení na nás. Tady jsme skončily."
"Story02_In_26_Pilot": "Co se to sakra..."
"Genki_Zach03": "Probojuj se super jiskřivou laborkou Profesora Genkiho. Jsou v tom sranda i prachy!"
"SH_Luchadore_02_Angel": "Největší hanba, které se může Luchador dočkat, je ztratit svou masku. Nemůžu si ji ukrást zpátky. Musím si ji zasloužit."
"Story10_Out_08_Cyrus": "Děkuji vám za váš čas."
"Story10_In_11_Viola": "Co to je?"
"Story07_In_14_Shaundi": "To ještě uvidíš."
"Story07_In_13_Oleg": "Nejste připravení bojovat se Syndikátem."
"Story01_In_23_Gat": "Mně to vyhovuje."
"CTO_Zimos02_03_Player_BM": "Jelikož jsme jim právě dali na vědomí, že přebíráme jejich kšeft, pochybuju, že ta dohoda vydrží."
"Story01_Zscene02_06_Gat": "Zapomeň na to, bude v pohodě."
"Story21_In_08_Bobby": "PANE BOŽE, DÍVEJTE SE! DÍVEJTE SE, TO JE ANGEL DE LAMUERTE!"
"Story16_Out_08_Killbane": "Klidně si mě můžeš uvíst jako referenci."
"Story15_In_08_Kinzie": "Jdou dělat i horší věci. Pokud Matt napojí deckerskou síť na centrální elektrickou... věřte mi, bude to zlé."
"Story14_In_10_Kinzie": "Nemám tušení, vysílají ze zamaskované lokace."
"Story13_Out_06_Cyrus": "Kdyby to bylo snadné, neobtěžoval bych s tím vás."
"SH_Morningstar01_03_Player_BM": "Jsou tam sotva dva."
"CTO_Kinzie01_08_Kinzie": "Nemůžu ti pomoct sundat Deckery, pokud nebudu vědět, kde se schovávají. Takže jsem napsala program, který sleduje fyzickou lokaci uživatele, pokud je přihlášený."
"Story21_Zscene01_03_Bobby": "Kopou do něj jako do pytle plného mrtvých štěňat."
"Story01_Zscene02_01_Josh": "Hej, lidi, můžete ten vrtulník odvolat, našel jsem způsob, jak ten sejf otevřít!"
"Story21_Out_03_Zach": "To musíte milovat! Navzdory všemu Svatí stále stojí!"
"Story19_In_26_Viola": "Přestaň se chovat jako idiot."
"Genki_Both05": "NEETICKÉ!"
"22_Choice_07_Kia": "Nechci vás zabásnout; to by nic nevyřešilo. Lidé se musí probudit a vidět, jakou hrozbu představuje lůza jako vy pro nevinné lidi."
"Story20_Out_04_Player_BM": "Pane bože, přestaň blábolit a sundej si masku."
"CTO_Pierce02_01_Player_BM": "Tohle nevypadá jako hospoda, jaký obvykle vyhledáváš."
"Story07_Zscene01_08_Player_BM": "Nemáme čas, Zimosi!"
"Story17_Out_13_Kia": "Můžu mluvit upřímně, pane?"
"Story17_Out_01_Player_BM": "Tak tohle je něco."
"Story16_Out_07_Killbane": "Matty."
"Story16_In_03_Kinzie": "Zásah střelnou zbraní můžeš přežít. Ale pokud tvoje mysl utrpí v křesle příliš velký šok, tvůj mozek zemře."
"Story09_In_04_Player_BM": "O to se budu starat já. A teď půjdeme, chci se seznámit se svýma novýma zaměstnancema."
"Story07_In_10_Shaundi": "To, co udělal na Johnnyho pohřbu... to bylo kurva moc."
"CTO_Kinzie02_02_Player_BM": "To je dobrý vědět."
"CTO_Pierce02_06_Pierce": "Ale vsadím deset táců, že se schovává v tom zasraně velkým mrakodrapu."
"Story23_Out_13_Player_BM": "To je pravda. To mi připomíná, tohle místo bude potřebovat novýho starostu. Jak by se ti líbilo sloužit veřejnosti?"
"Story19_In_17_Oleg": "Myslíte to metaforicky, médii zdrogované masy posedlé celebritami, že?"
"Story19_In_12_Reynolds": "Viola říká, že Svatý jsou nová síla ve městě. V tom případě chci taky hrát."
"SH_Morningstar01_05_Shaundi": "Zastrčte si tampóny a jdeme."
"Story06_Zscene01_01_Oleg": "Lorenova kancelář je támhle!"
"Story20_In_03_Shaundi": "To ho jako zesměšnit?"
"Story19_In_22_Player": "Čištění nemrtvejch není zrovna naše parketa, ale zfouknem to."
"Story19_In_11_Reynolds": "Promiň, zlato."
"Story08_In_06_Player_BM": "Má pravdu."
"Story01_In_18_Josh": "To si říkáte gangsteři? Jste banda poserů! Měli bysme se do nich pořádně pustit, jako..."
"CTO_Kinzie02_06_Player_BM": "Jdeš se nadejchat čerstvýho vzduchu? O Deckery už je postaráno."
"Story01_Zscene01_08_Josh": "COŽE?"
"Story22_OutB_02_Cyrus": "Ani hnout!"
"Story19_In_21_Reynolds": "Tak co vy na to?"
"Story15_Out_01_Player_BM": "Takže seš připravená?"
"Story13_Out_01_Cyrus": "Kio, slyšíte mě?"
"Story01_In_20_Player_BM": "No, tak to je jiný kafe."
"Story01_In_05_Shaundi": "Tak si hlavně nehraj na nějaký kung fu."
"Story07_Zscene01_02_Player_BM": "Nebo prostě budem hledat chlapa, kterej má na zádech Zet z falešnejch diamantů."
"Story23_Out_02_Newscaster": "Zatímco vláda se k útoku ještě nevyjádřila, máme hlášení..."
"Story20_In_10_Pierce": "Klídek... v plavečkách budeš vypadat dobře."
"Story11_Out_10_Cyrus": "Ano, paní."
"Story08_In_05_Pierce": "Shaundi, nemůžeme Gata oplakávat věčně. Nakonec musíme zase nasednout na koně a rozjet to. Neber si to osobně, brácho."
"Genki_Bobby04": "A teď, za každého zastřeleného muže, ženu i tygra se tvá výhra zvyšuje. Ale pozor! Nikomu se nelíbí, když střílíš pandy."
"Story19_Out_02_Cyrus": "Došlo ke... komplikacím, paní senátorko."
"Story19_In_07_Reynolds": "Violo, to je to děcko, o kterým jsme se bavili?"
"Story08_Out_02_Viola": "Mají výborná doporučení."
"Story07_Zscene01_06_Player_BM": "Do prdele."
"Story07_Zscene01_03_Pierce": "Kurva, rychle padej pryč..."
"Story17_Out_09_Monica": "Neustále mě informujte, veliteli."
"Story15_In_12_Kinzie": "Něco takovéhohle."
"Story10_In_15_Cyrus": "Kio, stav?"
"Story02_In_13_Phillipe": "Jistěže."
"Story02_In_03_Gat": "Co se stalo?"
"Story07_Zscene02_03_Pierce": "Jak tě jen něco takovýho mohlo napadnout, brácho?"
"Story16_In_05_Kinzie": "Já vím. Jsme připravení?"
"SH_Morningstar02_11_Zimos": "Tak něco. Povedu tě na aukci jako sexuálního otroka."
"Story08_Out_06_Matt": "Panebože, Killbane!"
"Story07_In_11_Oleg": "Jemu na pravidlech boje nezáleží."
"Story02_In_23_Phillipe": "Prosím! Jsem Belgičan!"
"Story02_In_10_Kiki": "Pokud byste byli tak laskaví..."
"Story07_In_18_Shaundi": "A co jsou sakra tihle zač?"
"CTO_Kinzie01_07_Player_BM": "Ty mě zabiješ, Kinzie."
"Story23_Zscene01_02_Player_BM": "Hezký přistání, Cyre."
"Story01_Zscene01_02_Shaundi": "Uch..."
"Story23_In_01_Player_BM": "Ztratili jsme spoustu přátel, než jsme se dostali až sem, a nikdy to nebylo snadný. Ale aspoň víme, že ať už je Gat kdekoli, má kamarády, kvůli kterejm má Svatej Petr spoustu práce."
"Story22_In_07_Player_BM": "Co se to sakra děje?"
"Story15_In_13_Kinzie": "Tohle je jeden z nejmocnějších samoučících se počítačů v Severní Americe. A STAG jeden má."
"Story22_Zscene01_07_Player": "Hovno."
"CTO_Pierce01_04_Player_BM": "Tak na co se koukám?"
"CTO_Pierce01_01_Pierce": "Hele, koukej na to."
"Story24_Out_07_Asst_Director": "Všichni zpátky ke mně!"
"Story22_In_04_Player_BM": "Co to je?"
"Story20_In_08_Player_BM": "On se bojí víc Angela než mě?"
"CTO_Kinzie01_03_Player_BM": "Aha. Máš něco na Deckery?"
"Story22_In_03_Player_BM": "Nasrat na to, už nehodlám být korporátní děvka. Tak kdo..."
"Story19_In_03_Player": "Myslíš to vážně?"
"Story17_Out_04_Shaundi": "A co STAG?"
"SH_Decker_01_Kinzie": "Vysvětlím ti to znovu, tentokrát opravdu pomalu:"
"Story13_Out_07_Kia": "Rozumím, pane."
"Story11_Out_01_Josh": "Jsem Joshua Birk. V TV hraju Nyte Blayda, výjimečně dobře vypadajícího, ale nepochopenýho upíra, kterej riskuje každej týden svůj život, aby udržel svět v bezpečí."
"Story07_Out_04_Player_BM": "Syndikát se musí zodpovídat za to, co udělali... a tentokrát zaútočíme my na ně."
"Story19_In_25_Player": "Pane bože, ten chlap je úžasnej!"
"Story17_Out_12_Cyrus": "Úžasné. Děkuji vám, Kio."
"Story10_In_18_Kia": "Ano, veliteli."
"Story10_In_06_Viola": "Johnny umřel, protože si myslel, že zvládne všechno sám."
"Story03_Out_07_Shaundi": "Ty se staráš o nemovitosti? Máme zbraně, tak je použijem."
"Story21_In_09_Zach": "Angel De LaMuerte: druhá polovina Bílých jezdců, někdy také označován za zvěstovatele Chodící Apokalypsy, nejmladší wrestler, který kdy vyhrál tady ve Steelportské aréně pohár Super K!"
"Story20_In_09_Shaundi": "Bez urážky, ale ty jsi mu spíš k smíchu."
"Story20_In_01_Player_BM": "Fajn, už si nehodlám kurva hrát, chci Killbana."
"Story19_In_23_Player": "Nebojíte se, že tím naserete STAG?"
"SH_Decker_05_Player_BM": "Jaký křeslo?"
"Story07_Out_06_Killbane": "Barbaři stojí před bránama, potřebujeme generála, ne vyslance!"
"Story21_Zscene04_01_Player_BM": "Chceš slitování? Tak to vzdej."
"Story19_In_05_Player": "Hele, zlato, já se budu srát do koho se mi bude chtít."
"SH_Decker_07_Kinzie": "Deckeři jedno mají."
"Story15_In_11_Player_BM": "Co potřebuješ?"
"Story08_In_02_Pierce": "No, když to říkáš takhle, tak to zní pěkně blbě."
"Story07_Out_09_Player_BM": "Jelikož jsme ve Steelportu noví, máme tady pár lidí, kteří se tu vyznají. Tohle jsou Kinzie, Zimos a Angel..."
"Story03_Out_05_Shaundi": "Seru na vás, dělám to pro Johnnyho."
"Story02_In_24_Gat": "Tak si kurva usmaž lívance. My jsme tady skončili."
"Story22_Zscene01_01_Player": "Ale kurva!"
"CTO_Kinzie01_09_Player_BM": "To je... úžasný?"
"CTO_Pierce01_07_Pierce": "No a pro ten případ bude lepší, když mi budeš hlídat prdel."
"Story01_Zscene01_03_Gat": "Tohle jen tak neotevřem. Připravený na plán B?"
"Story22_OutB_13_Player_BM": "Fajn, lidi, když jsme začali hledat toho zkurvysyna, říkali jsme, že ho budeme pronásledovat až na konec Země. A udělali jsme to."
"Story15_In_16_Player_BM": "Počkat, ten malej smrad je Matt?"
"Story07_Zscene01_04_Pierce": "No do prdele. To se hodí."
"Story22_OutB_10_Player_BM": "Taky tě miluju, Cyrusi."
"Story20_In_06_Player_BM": "To je spíš něco pro Angela."
"Story15_In_15_Kinzie": "Zatraceně..."
"Story14_In_13_Player_BM": "Jdeme na to."
"Story01_In_07_Player_BM": "Věř mi, Birku. Bude to reálný."
"Story22_OutB_11_Pierce": "Tak co je v plánu? Vrátíme se zpátky do Stilwateru?"
"Story22_OutB_06_Cyrus": "Děláte si ze mě srandu, paní?"
"Story20_Out_03_Killbane": "S nejlepšíma? Nejlepší je zmlátit Svaje Pavoučího boha v Tijuanském zápase na lešení. Nejlepší je ubránit titul mistra světa třináctkrát během jediný noci. Nejlepší je zvítězit jako poslední stojící se dvěma zlomenýma nohama... věř mi, malej Ikare, letíš až moc blízko ke slunci."
"Story17_Out_14_Kia": "Je na čase přestat hrát v rukavičkách."
"Story10_In_12_Player_BM": "Nic dobrýho! Jdeme!"
"CTO_Kinzie02_09_Kinzie": "Podařilo se nám udělat dost velký bordel, aby bylo možné vyrazit na Matta Millera. Ale pokud se chceš Deckerů opravdu zbavit, opravdu úplně, čeká tě ještě spousta práce."
"Story19_In_19_Player": "Řeknu ti o tom pozdějc."
"Story12_In_06_Kid": "Mohl bych dostat autogram?"
"Story07_In_06_Pierce": "Nevím, co je to za bandu, ale sakra dobře nadnášej."
"Story06_Out02_01_Player_BM": "Budeme muset něco udělat s tou růžovou."
"Story03_Out_01_Shaundi": "Co bude dál?"
"Genki_Zach07": "Ale jestli si myslíš, že je to tak snadné, asi jsi ještě nikdy nepotkal Genkiho!"
"Story01_Zscene04_01_Player_BM": "Ale kurva."
"Story10_Out_06_Reporter_03": "Ale na to jsem se..."
"SH_Morningstar02_08_Player_BM": "Fakt diskrétní."
"Story05_In_02_Player_BM": "Že se mi nějakej debil koupe v bazénu."
"Story06_Zscene01_04_Player_BM": "Kurva."
"Story23_Out_10_Pierce": "To nebylo špatný. Třeba bys moh hlásit počasí nebo tak něco."
"Story23_In_05_Kinzie": "Pane bože."
"Story22_Zscene01_06_Killbane": "Nikdo si na mě nebude pamatovat? Vy jste zkurvení klauni, kteří prodávaj drinky a nákupní tašky. Serete na obecenstvo, zajímají vás jen prachy. A já to změnil."
"Story16_Out_09_Matt": "Ach bože!"
"Story22_OutB_08_Monica": "Můžu zodpovědět na jakékoli otázky..."
"Story09_Out_02_Matt": "Připadlo mi, že by bylo škoda přijít o tolik holek."
"SH_Morningstar02_06_Player_BM": "Tak co máš?"
"Genki_Zach09": "Hodně štěstí!"
"CTO_Zimos01_05_Player_BM": "To máš pravdu."
"Story17_Out_15_Cyrus": "Jen dvě slova, Kio. Šok a úžas."
"Story13_In_11_Player_BM": "Fajn, půjdem lovit STAGy."
"Story07_Zscene02_07_Kinzie": "Mám chlapa, o kterým jsem mluvila..."
"Story19_Out_06_Cyrus": "Zombie a Monica Hughesová...?"
"Story17_Out_06_Cyrus": "Věděla jste, že dojde na stanné právo, že?"
"Story16_In_01_Pierce": "Tak co, máš chuť posrat je ve virtuální realitě?"
"Story15_In_17_Matt": "Ten malej smrad je kybernetickej bůh, kterej ti právě naboural vrtulník. Užij si to!"
"Story12_In_10_Player_BM": "Tak jak najdeme Birka? Ten pitomec může být kdekoli."
"CTO_Zimos01_01_Player_BM": "Hej, Zim..."
"Story13_Zscene01_01_Cyrus": "Vzdejte se. Obklíčili jsme vás."
"Story22_In_02_Pierce": "Ozval se mi právník. Studio chce, ať uděláš obrazovej test na Gangstery ve vesmíru."
"Story21_Out_06_Killbane": "Jde o moji zasranou pověst!"
"Story17_Mid_09_Pierce": "Co to kurva!"
"Story03_Out_03_Shaundi": "Cože? Ne - tohle je i můj boj."
"CTO_Angel02_01_Player_BM": "Zkurvenej tygr?"
"Story10_Out_02_Reporter_01": "Jak dlouho bude STAG okupovat Steelport?"
"Story10_In_10_Oleg": "Já jsem vždycky gentleman."
"Story02_In_33_Gat": "Detaily, detaily, hlavně krej šéfa! Padejte, já to zvládnu!"
"Genki_Bobby06": "Jakmile nasbíráš dost peněz, dveře od laborky se otevřou a ty můžeš klidně odejít."
"Story22_Zscene01_04_Killbane": "Ale ne ne... Tak není tenhle příběh napsanej. Odkaz Svatejch tady skončí, ne s velkou ránou, ale kňučením."
"Story21_Zscene01_06_Bobby": "PANE BOŽE, MOTOROVÁ PILA!"
"Story21_Out_07_Killbane": "Tohle je moje město! Já jsem jeho Cézar!"
"CTO_Angel02_05_Player_BM": "Kurva, ty to nemáš v hlavě v pořádku?"
"Story02_Zscene01_02_Gat": "Fajn, uvidíme se ve Stil..."
"Story13_Out_03_Cyrus": "Ještě ne. Svatí jsou pořád na svobodě. Posílám vám nějaké informace..."
"Story22_Zscene01_09_Player": "Ty vole, už se těším, až ti zavřu hubu."
"Story21_Zscene02_01_Player_BM": "Připravenej na finále?"
"Story01_Zscene02_03_Shaundi": "Joshi... to nás chceš všechny dostat do lochu?"
"Story24_Out_06_Sci_Fi_Killbane": "Příště se ti to povede."
"Story14_In_11_Shaundi": "Kurva, tak ji odmaskuj."
"Story11_In_03_Pierce": "Zatraceně!"
"Story24_Out_10_Sound_Guy": "Rychlost!"
"Story23_Out_06_Player_BM": "Kinzie, připraveno?"
"SH_Luchadore_01_Player_BM": "Proč jsme tady?"
"Story11_In_05_Pierce": "Ještě jsme neskončili. Co se děje?"
"SH_Morningstar02_03_Monica": "Iniciativa STAG je prvním milníkem v boji za vyčištění ulic Ameriky!"
"Story02_In_29_Gat": "Kolik jich tu je? Půl tuctu? To zmáknu."
"Story23_Out_16_Jane": "I na místo, kterému není násilí cizí, je dnešní útok na město nejčernější kapitolou v temné historii města Steelport."
"Story23_Out_05_Player_BM": "Omlouvám se."
"Story20_Out_01_Killbane": "Dámy a pánové... Stilwaterský řezník nás poctil svou návštěvou."
"Story14_In_08_Anna": "Je nám to jasné."
"Story06_Out02_02_Oleg": "Je na růžové snad něco špatného?"
"Genki_Bobby08": "Ach, a ještě něco. V téhle šou nikdo neodpočívá. Jestli chceš zůstat v boji, rozstřel lékárničku."
"SH_Decker_08_Oleg": "To není možné. Jak by mohli ten signál zamaskovat?"
"SH_Morningstar02_13_Zimos": "Přestaň se chovat jako ufňukaná děvka a nasedej."
"Story07_In_07_Oleg": "To jsou Killbanovi hrdlořezi."
"CTO_Kinzie02_10_Player_BM": "Fajn, ozvu se, jestli budu potřebovat pomoc."
"Story16_Zscene02_05_Player_BM": "To je kapku nejasný, Matte, musíš se víc snažit."
"Story23_Out_01_Player_BM": "Kinzie, sesbírej všechny Svatý, který najdeš. Pojedeme na výlet."
"Story22_OutA_03_Pierce": "Mělo to smysl?"
"Story17_Out_03_Viola": "A teď se můžeme soustředit na Killbana."
"SH_Decker_09_Kinzie": "Mají ho tady."
"Story10_In_17_Cyrus": "Potvrzuju. Kontaktujte mě, jakmile zajistíte oblast."
"Story08_Out_04_Kiki": "Řekni mi něco, Matte. Máš plán? A co ty, Eddie?"
"Story08_In_04_Shaundi": "Přísahám Bohu, že ti to narvu do krku!"
"Story07_Out_08_Killbane": "Jak jsi mě to oslovila?"
"Story14_Out_04_Player_BM": "Co já dělám? Jak to mám kurva vědět?"
"Story11_Out_06_Cyrus": "Války vyhrává šok a úžas, senátorko. Autorizujte nám Deadala a všechno skončí."
"Story07_In_17_Monica": "No je to možný? Na mostu mého manžela! Ne, neuklidním se. Zamířím zpátky do Washingtonu. Domluvte mi mimořádné jednání. Zatraceně, tohle je válka!"
"Story01_Zscene02_05_Shaundi": "Mám jít za ním?"
"Story14_Out_07_Player_BM": "Já vím, já vím. Není to tvoje chyba, stalo se něco divnýho..."
"Story14_Out_03_Shaundi": "ZATRACENĚ! Co to děláš?!"
"Story05_Out_02_Killbane": "Matty, to není něco, z čeho bychom museli mít strach."
"22_Choice_04_Player": "Angel, vydrž, než se tam dostanu -- sakra --"
"Story03_Zscene01_01_Pierce": "...rád dělám efektní nástup na scénu."
"Story23_Out_07_Kinzie": "Připraveno."
"Story19_Out_07_Cyrus": "Do prdele."
"Story17_Mid_01_Pierce": "Příště budeš zasranej zajatec ty."
"Story10_In_13_Viola": "Zatraceně!"
"Story01_In_13_Gat": "Birku!"
"Story08_In_10_Pierce": "Jak je, holka?"
"CTO_Kinzie02_07_Kinzie": "Jasně, stačí si chvíli nedávat pozor a najednou vypadáš, že prodáváš státní tajemství Mossadu a přivyděláváš si jako domina."
"SH_Morningstar02_07_Zimos": "Něco pro tebe fakt mám."
"CTO_Kinzie02_01_Kinzie": "Musíš dávat větší pozor. Viděla jsem tě na dva bloky daleko. Dopravní kamery jsou ve městě úplně všude."
"Story21_Out_08_Killbane": "A já budu tancovat, zatímco bude hořet..."
"Story13_Out_04_Cyrus": "Potřebuju na Svaté nějakou páku. Přiveďte mi cíl na výslech."
"Story13_In_09_Oleg": "S dovolením, příteli."
"Story07_Out_02_Matt": "Viola a Kiki byly pravé ruce pana Lorena. Neměly by..."
"22_Choice_02_Player": "Angel -"
"Storye01_In_Crawl_10": "Byla jenom otázka času, kdy si jedna z nich vezme Svaté na mušku."
"Story17_Out_05_Pierce": "Vyhodili jsme jim do luftu letadlovou loď... co by na nás ještě mohli poslat?"
"Story07_Out_11_Killbane": "Něco. Cokoli! Než začnu přemýšlet, proč si vás účetní krávy vydržuju."
"Story05_In_01_Pierce": "Na co myslíš?"
"CTO_Zimos01_08_Zimos": "Já ti pomůžu, bejby. Znám všechny ulice, kde Morningstarové pracujou. Můžeme rozšířit vlastní stádečko a současně pořádně poškodit ségry DeWynterovic."
"Story01_Zscene01_09_Josh": "To není prdel, vole!"
"Story15_In_01_Kinzie": "Můžete rozsvítit."
"Story13_In_10_Pierce": "To jsi udělal schválně."
"Story12_In_08_Pierce": "Hele, to je Johnnyho komiks... prodal svůj ksicht Ultoru, dělají podle toho film."
"Story02_In_05_Gat": "Ne, já myslel s náma. Birk má recht, ztratili jsme koule. Ne fakt. Smlouvy na filmy? Reklamy? Svatí byli něco víc než deodorant a blbej energy drink, co chutná jako sračky."
"Story01_In_09_Gat": "Si piš. Kdo by nechtěl bejt Johnny Gat?"
"Genki_Zach01": "Ahoj, Steelporte, a vítej do Super etického realitního klimaxu profesora Genkiho."
"Story01_Zscene02_07_Shaundi": "Počkáme na vrtulník a vyzvedneme to děcko odsud."
"Story22_Zscene01_08_Killbane": "Pamatuj na mý slova, až ti budou tyhle ruce drtit krk, nebudeš posledním dechem prosit boha nebo volat svou rodinu. Řekneš mi \"Děkuju ti, Killbane.\""
"Story21_Zscene01_01_Bobby": "PANE BOŽE, Angel vypadl z ringu!"
"Story16_Zscene02_02_Matt": "Můžu očistit tvý jméno, dokázat, že ten most nebyla tvoje práce."
"Story01_In_19_Josh": "KURVA!!"
"Story01_In_27_Shaundi": "Řekní \"upír\"!"
"Story02_Zscene01_03_Shaundi": "Johnny..."
"Story22_OutB_07_Monica": "Vyhlásil jste stanné právo a zničil půlku města. Svatí právě zachránili vzácnou památku. Kdo si kurva myslíte, že bude teď oblíbenec veřejnosti?"
"Story15_In_14_Matt": "Díky za tip, agentko Kensingtonová."
"SH_Morningstar02_10_Player_BM": "A co, mám si hrát na excentrickýho milionáře?"
"Story13_In_07_Player_BM": "Shaundi, buď hodná."
"Story10_In_01_Oleg": "Netušil jsem, že jsi patronkou umění, Violo."
"Story07_In_15_Player_BM": "Jen se uklidni, Shaundi. Fajn, velkej frajere, co nám řekneš?"
"Story07_In_05_Killbane": "Je čas na zlatej hřeb, chlapi."
"Story02_In_04_Shaundi": "Zavřeli nás."
"22_Choice_10_Kia": "Uvidíme, kolik lidí tomu uvěří, až najdou Shaundi a Violu v tom vraku."
"Story21_Zscene04_03_Zach": "Chodící Apokalypsa si nechala zlomit ruce, než aby se vzdala, ale stilwaterskému řezníkovi se podařilo nemožné!"
"Story16_Zscene02_04_Matt": "Doslova jsem měl celej svět v hrsti."
"Story19_In_10_Player": "Pane, máte ve mně velkýho fanouška."
"SH_Decker_12_Kinzie": "Potřebuju to křeslo, abych mohla zastavit Deckery."
"Story07_In_12_Player_BM": "Žádný pravidla? To mi vyhovuje."
"Story19_Out_03_Monica": "Komplikacím?! Neříkejte mi nic o komplikacích, chci výsledky!"
"Story11_Out_05_Monica": "Tuhle válku vyhrají srdce a mysli, drahá."
"Story10_In_09_Player_BM": "Dokážeš na ni bejt hodnej?"
"Story02_In_11_Phillipe": "Sundejte je."
"Story01_In_17_Shaundi": "Hej, nechovej se jako debil."
"CTO_Kinzie01_06_Kinzie": "Vyrovnávala úrovně."
"Story19_Out_05_Monica": "I kdyby souhlasil Kongres, Domácí bezpečnost nic takového nedovolí! Vymyká se to z kontroly. Jedu do Steelportu!"
"Story17_Out_02_Pierce": "Možná jsme to přehnali."
"Story21_Zscene03_04_Bobby": "Viděli jsme tvář Chodící Apokalypsy a upřímně řečeno, je to postarší plešatějící chlap."
"Story01_Zscene02_04_Josh": "Cože? Já nikomu děvku dělat nebudu!"
"Story01_Zscene01_04_Player_BM": "Joshi, pojď sem."
"Story16_Out_05_Killbane": "Práce pro mě je namáhavá, já vím. Matty, oceňuju, že ses mi s tím svěřil. Chci říct, to jak Viola a Kiki provedly svou... výpověď, ve mně prostě vyvolalo chuť někoho zabít, rozumíš mi?"
"Story11_In_01_Player_BM": "Sbalte se, musíme se hnout."
"Story10_In_07_Player_BM": "A co z toho budeš mít ty?"
"Story02_Zscene01_01_Shaundi": "Johnny, budeme skákat!"
"Story11_In_06_Player_BM": "Tady nejsme v bezpečí. Vyčistěte to tady. Já vám koupím trochu času."
"Story10_In_14_Oleg": "Dámy mají přednost."
"Story14_Out_09_Shaundi": "Nauč se kurva lítat!"
"Story19_Out_04_Cyrus": "Chcete výsledky? Tak nám povolte použít Deadalus!"
"Story15_In_06_Kinzie": "Matt se naboural do řídícího počítače a usmažil ho s EMP."
"Story10_In_03_Player_BM": "Bude lepší, když velkýho frajera nebudeš dráždit."
"Story07_In_16_Oleg": "Existují další lidé, kteří nenávidí Syndikát stejně jako vy. Zavedu vás k nim."
"Story02_In_21_Kiki": "Tedy před zdaněním pochopitelně."
