"ACT_WHORED_Z_AGRIZOOPHOBIA": "To spory problem."
"ACT_WHORED_ZOMBIEBRUTES": "To dopiero wielkie zombie!"
"ACT_WHORED_NINJAS": "Słyszysz ten dźwięk?"
"ACT_WHORED_MEGA_TRANNY_FAIL": "I ją zaspokoiła. I to jak..."
"ACT_HITMAN_TARGET_LEFT_COUNT_UPDATED": ""
"CHOP_LOWRIDER_RIMS": "FELGI DO LOWRIDERA"
"ACT_VANDAL_SUMMARY_CARS": "SAMOCHODY"
"ACT_TORCH_TIME_EARNED_PARAMETERIZED": "Uzyskano [format][color:teal]%2.1f[/format] sek.!"
"ACT_PIMPING_RESCUE_CONTACT_DECKERS_REROUTE": "[format][color:green]KONTAKTY[/format] ZOSTAŁY PORWANE. URATUJ JE!"
"ACT_PIMPING_HOS_SLASH": "/"
"ACT_FRAUD_MESSAGE_CRAZY_MULT_TYPE": "REKORD SZALONYCH SAMOCHODÓW PRZY WYŁUDZANIU"
"ACT_ESCORT_BUTTON_MASHING_MSG": "[format][color:green]KLIENT[/format] DOMAGA SIĘ SPECJALNOŚCI SAINTS ROW"
"ACT_ESCORT_RETURN_MSG": "WRÓĆ DO KLUBU ZE STRIPTIZEM"
"ACT_ESCORT_CRASH_MSG": "[format][color:green]KLIENT[/format] ŻYCZY SOBIE WYRZĄDZENIA INNYM WOZOM TWOIM SAMOCHODEM %d PKT. ZNISZCZEŃ"
"ACT_WHORED_A_WRATH_CARDINAL": "Pokaż Nyte Blayde'owi, jak się to robi."
"OPPONENT_CRITICALLY_HIT": "PRZECIWNIK OTRZYMAŁ TRAFIENIE KRYTYCZNE!"
"ACT_HOSTAGE_RANSOM": "OKUP: [format][color:orange]%s[/format]"
"ACT_HELI_PROTECTION_DRIVER_DIED": "NIE UDAŁO CI SIĘ OCHRONIĆ VANA"
"CHOP_MUSCLE_RIMS": "FELGI DO MUSCLECARA"
"ACT_TRAFFIC_DRIVE_HOME": "OCHRANIAJ [format][color:green]DILERA[/format] PODCZAS POWROTU DO [format][color:teal]DOMU[/format]"
"ACT_FRAUD_BONUS_CRAZY_DRIVER": "PREMIA ZA SZALONYCH KIEROWCÓW"
"HASH_49748FAB": "ZATRZYMAJ SIĘ W MIEJSCU [format][color:teal]WSKAZANYM[/format] PRZEZ [format][color:green]KLIENTA[/format]"
"ACT_WHORED_Z_FOOD_TRUCK": "Obedrzyj ze skóry."
"ACT_RUNNING_MAN_FAILURE_TIME": "TWÓJ CZAS UPŁYNĄŁ, ZANIM UDAŁO CI SIĘ DOTRZEĆ DO WYJŚCIA."
"TUT_ACT_INTRO_TANK_MAYHEM": "Dokonaj zniszczeń na kwotę $%ls przed upływem czasu. Niszcząc obiekty jeden po drugim otrzymasz premię za kombo."
"ACT_HELI_BOAT_HUD_TEXT": "POZOSTAŁE DOSTAWY NARKOTYKÓW"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_CLIENT_MESSAGE": "Wrogowie się cieszą, bo gwiazda zginęła z twojej ręki!"
"ACT_FRAUD_MESSAGE_AIRTIME_MULT_TYPE": "REKORD LOTU PRZY WYŁUDZANIU"
"ACT_FRAUD_BONUS_COOP_GANGBANG": "PREMIA GANGBANGOWA"
"ACT_CHOP_LIST": "Przyprowadź samochody z listy do [format][color:green]dziupli[/format]."
"ACT_WHORED_D_DRINKING_GAME": "Napij się przy każdym trafieniu w butelkę."
"ACT_WHORED_D_WELCOME": "Przynieś chlubę Larsowi."
"CHOP_SHOP_VIEW_LIST": ", BY OBEJRZEĆ LISTĘ POJAZDÓW DLA DZIUPLI"
"ACT_HELI_KILL_CARS_START_MESSAGE": "ZNISZCZ [format][color:red]SAMOCHODY[/format]"
"ACT_ESCORT_DRIFT_MSG": "[format][color:green]KLIENT[/format] ŻYCZY SOBIE %d SEK. OSTREGO POŚLIZGU {HANDBRAKE_IMG}"
"ACT_WHORED_A_WELL_DONE": "Tak podane mięso jest najlepsze."
"ACT_WHORED_DILDO_FAIL": "Nie stało ci siły?"
"ACT_RUNNING_MAN_HEALTH_TARGET": "ZDROWY FINAŁ!"
"TUT_TITLE_ACT_TANK_MAYHEM_REPAIR": "NAPRAW"
"CRITICAL_VEHICLE_TIME_TO_RETURN_TEXT": "MASZ %d SEK. NA POWRÓT DO [format][color:green]SAMOCHODU[/format]"
"ACT_VANDAL_TRUCK_SMALL_PICKUPS_MSG": "PIKAPY"
"ACT_VANDAL_COMBO_BREAKER_MSG": "PRZERWANIE KOMBO!"
"ACT_TRAFFIC_DRIVER_DEAD": "DILER NIE ŻYJE."
"ACT_TORCH_OBJECTIVE_02": "MOŻESZ UZYSKAĆ DODATKOWY CZAS, DOKONUJĄC ZNISZCZEŃ, A NASTĘPNIE PRZEKRACZAJĄC PUNKTY KONTROLNE"
"ACT_HUMAN_TORCH_START": "ROZPOCZĄĆ GRĘ W WYPALANIE SZLAKU"
"ACT_WHORED_D_CYPRIAN_ORDER": "Kop dupy dla Pana."
"TUT_ACT_INTRO_GUARDIAN_ANGEL": "Ochraniaj cel przed wrogami, podczas gdy on kończy wykonywać swoje zadania."
"ACT_VANDAL_CIVILIAN_MSG": "CYWILÓW"
"ACT_TRAFFIC_POLICE_STING_ESCAPE": "MASZ [format][color:red]GLINIARZY[/format] NA OGONIE!"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_5SEC": "5..."
"ACT_TORCH_LOST_TIME": "CZAS MINĄŁ"
"ACT_WHORED_A_TINY_PROBLEMS": "Może być trudno sobie z nimi poradzić."
"ACT_WHORED_A_BOOM_HEADSHOT": "Kulka w mózg. To jedyny pewny sposób."
"ACTIVITY_SUCCESS_SUB_TEXT": "UKOŃCZONA"
"ACT_VANDAL_SUMMARY_DESTRUCTION": "ZNISZCZENIA"
"ACT_WHORED_NUTSHOOT_FAIL": "Za wolno."
"ACT_PIMP_START": ", BY ROZPOCZĄĆ GRĘ W PRZECHWYT"
"ACT_TRAFFIC_BUYER_FLEE_GETTING_AWAY": "[format][color:red]NABYWCA[/format] UCIEKA"
"ACT_PIMPING_TRAP_SPRUNG_GET_CONTACTS": "TO PUŁAPKA! ZREKRUTUJ [format][color:green]KONTAKTY[/format] I ZABIERAJ SIĘ STAMTĄD."
"ACT_HELI_LIBERATOR_START_MESSAGE": "GRUPA SAINTS ZOSTAŁA ARESZTOWANA, ZNISZCZ [format][color:red]AUTOBUSY[/format], BY JE ZATRZYMAĆ, I PRZEWIEŹ ŚWIĘTYCH W BEZPIECZNE MIEJSCE"
"ACT_FRAUD_CHANGE_LOCATION": "[format][color:teal]OBSZAR KLUCZOWY[/format] ZMIENIŁ SIĘ"
"ACT_ESCORT_TIGER_MINIGAME_MSG": "Znajdź swędzące Tygrysa miejsce za pomocą {ANALOG_RS_IMG}. Następnie ostrożnie podrap je za pomocą {ANALOG_LS_IMG}"
"ACT_WHORED_Z_GATS_WET": "Nie cofnęliśmy się przed tym."
"ACT_WHORED_TANK_FAIL": "Nie dostaniesz czołgu!"
"ACT_WHORED_STRIPPERS_FAIL": "Masz rakiety, prawda?"
"ACT_VANDAL_TRAILERS_MSG": "CIĘŻARÓWKI"
"ACT_VANDAL_START_MSG": "CZEKA NA CIEBIE [format][color:teal]DZIELNICA: %ls[/format]"
"ACT_VANDAL_BONUS_CLOSE_CHAOS": "PREMIA ZA BLISKI CHAOS"
"ACT_PIMPING_RESCUE_CONTACT_KILL_COPS": "ZABIJ [format][color:red]GLINY[/format] I URATUJ [format][color:green]KONTAKTY[/format]!"
"ACT_PIMPING_RECAPTURE_CONTACT_START": "[format][color:red]DECKER[/format] ODBIJA JEDEN Z [format][color:green]KONTAKTÓW[/format]. ODZYSKAJ GO!"
"ACT_PIMPING_YOU_NEED_MORE_HOS": "POTRZEBUJESZ WIĘCEJ [format][color:green]DZIWEK[/format]"
"ACT_ESCORT_AIR_MSG": "Zdobądź %.2f sek. na wizji."
"ACT_WHORED_Z_START_YOUNG": "Zacznij od palców u stóp, dojdź do mózgu."
"ACT_WHORED_SQUEAKY_CLEAN_FAIL": "Dmuchana lala dokona cudów, jeśli ją ustawisz pod dobrym kątem."
"ACT_WHORED_SWAG_BAG_FAIL": "Pozwalasz, żeby zwierzaczki wygrały. Hańba ci."
"MISSION_FAILURE_BUSTED_TEXT": "ZŁAPALI CIĘ"
"ACT_PIMPING_TRAP_GET_CONTACTS": "DOBRA ROBOTA, TERAZ WYDOSTAŃ [format][color:green]KONTAKTY[/format]!"
"ACT_GUARDIAN_ANGEL_BEHIND_ATTACKER": "NAPASTNIK ZBLIŻA SIĘ [format][color:red]ZA[/format] KLIENTEM"
"ACT_FRAUD_DONT_KILL": "OTRZYMASZ KARĘ ZA KAŻDĄ ZABITĄ OSOBĘ"
"ACT_ESCORT_TRIP_BROTHEL_MSG": "ZABIERZ [format][color:green]KLIENTA[/format] NA DODATKOWĄ ZABAWĘ W [format][color:teal]BURDELU[/format]"
"ACT_WHORED_Z_OUTMATCHED": "Myśl szybko."
"ACT_WHORED_MINIFURRIES": "Nie daj się zwieść tym słodziakom - mają przy sobie rakiety!"
"ACT_VANDALISM_START": ", BY ROZPOCZĄĆ GRĘ W CHAOS"
"CHOPSHOP_REQ_MODS": "WYMAGANE MODYFIKACJE:"
"ACT_VANDAL_HELICOPTER_MSG": "HELIKOPTERY"
"ACT_TORCH_TIME_EARN_PARAMETERIZED_STRING": "W PUNKTACH KONTROLNYCH DO POZOSTAŁEGO CZASU DODAWANE SĄ PREMIOWE SEKUNDY"
"ACT_FRAUD_BONUS_LOCATION": "JEŚLI RZUCISZ SIĘ NA OBSZARZE WSKAZANYM NA MINIMAPIE, OTRZYMASZ PREMIĘ"
"ACT_ESCORT_FOOTAGE": "MATERIAŁ"
"ACT_WHORED_DRUNKENROCKETS": "Nie powinno się mieszać chlania i rakiet. Może więc je zamieszamy?"
"ACT_TANK_MAYHEM_LEFT_HOOD": "WRACAJ DO PRZYPISANEGO CI OBSZARU!"
"TUT_ACT_TANK_MAYHEM_HVT_FOUND": "Określone cele o wysokiej wartości dają przy zniszczeniu więcej kasy."
"ACT_VANDAL_COMBO_TOTAL": "ŁĄCZNE KOMBO: %ls"
"ACT_PIMPING_TRAP_SPRUNG_KILL_DECKERS": "TO PUŁAPKA! ZABIJ WSZYSTKICH [format][color:red]DECKERÓW[/format], ZANIM ZREKRUTUJESZ [format][color:green]KONTAKTY[/format]."
"ACT_HELI_ACTIVITY_BOMB_MESSAGE": "PODŁÓŻ ŁADUNKI, BY ZNISZCZYĆ TĘ [format][color:blue]BUDOWLĘ[/format]"
"HOSTAGE_FAILURE": "ZAKŁADNIK NIEUDANY"
"ACT_WHORED_ZOMBIES_EXPLODE_FAIL": "To oni mają robić bum, a nie ty."
"GAMEPLAY_SMOKED": "ZIMNY TRUP Z CIEBIE!"
"ACT_WHORED_D_ROMERO_REVENGE": "Zabawa z narzędziami."
"ACT_WHORED_MEGACAN": "Nadchodzi!"
"HORDE_CHARACTER_CYRUS": "CYRUS"
"SUCCESS_RESPECT_TEXT": "SZACUN"
"ACTIVITY_FAILURE_SUB_TEXT": "NIEUDANA"
"ACT_TRAFFICKING_NAME": "HANDEL"
"CHOP_SPORT_FRONT_BUMPER": "SPORTOWY ZDERZAK PRZEDNI"
"ACT_ESCORT_NEWS_WARNING_MSG": "JEŚLI ZA BARDZO ZBLIŻYSZ SIĘ DO WOZU REPORTERSKIEGO, WSKAŹNIK PRZYJEMNOŚCI PRZESTANIE ROSNĄĆ"
"ACT_WHORED_A_BATH_TOY": "To lepsze niż gumowa kaczuszka."
"ACT_RUNNING_MAN_TITLE_SHORT": "S.E.R.C. PROFESORA GENKI"
"CHOP_OFF_ROAD_1_BUMPERS": "ZDERZAKI TERENOWE 1"
"ACT_VANDAL_START_3_MSG": "NISZCZĄC OBIEKTY JEDEN PO DRUGIM, OTRZYMASZ PREMIĘ ZA KOMBO"
"ACT_WHORED_STARPOWER2": "Przeciwnicy wybuchają po dotknięciu!"
"ACT_WHORED_MINIZOMBIES": "Armia nieumarłych... w pomniejszeniu."
"HORDE_CHARACTER_BOBERT": "BOBERT"
"ACT_RUNNING_MAN_WAGER_DESCRIPTION": "CZY CHCESZ POSTAWIĆ OBECNĄ WYGRANĄ NA \"PODWÓJ ALBO STRAĆ\" NA NASTĘPNYM POZIOMIE?\n\nUKOŃCZ Z POWODZENIEM NASTĘPNY POZIOM I PODWÓJ SWOJĄ KASĘ!!! ALE UWAŻAJ, BO JAK SKNOCISZ, ODEJDZIESZ Z NICZYM.\n\nCO TY NA TO?"
"ACTIVITY_NAME_ESCORT": "ESKORTA"
"HASH_289F1039": "[format][color:green]KLIENT[/format] JEST GŁODNY, ZABIERZ GO DO [format][color:teal]GYROSIARNI[/format]"
"ACT_WHORED_COMM_SERVICE": "Pokaż napojom, że ich nie potrzebujesz!"
"CHOP_RACING_EXHAUST": "WYŚCIGOWY WYDECH"
"ACT_ZOMBIE_FAIL": "NIE UDAŁO CI SIĘ ODEPRZEĆ ZOMBIE"
"ACT_VANDAL_BONUS_TOTAL": "ŁĄCZNIE"
"ACT_ACTIVITY_DESCRIPTION_2": "Zdobądź teraz trochę szacunu, rozgrywając akcję Przechwyt."
"CRITICAL_VEHICLE_ABANDONED_VEHICLE_TEXT": "POJAZD ZOSTAŁ PORZUCONY"
"ACT_VANDAL_SUMMARY_FAVORITE_WEAPON": "ULUBIONA BROŃ"
"ACT_VANDAL_START_NO_DISTRICT_MSG": "Zrób jak największą rozpierduchę."
"ACT_VANDAL_PROPERTY": "MIENIE"
"ACT_TRAFFIC_CHASE_HELICOPTER_NOTORIETY": "[format][color:red]HELIKOPTER WIADOMOŚCI[/format] ZWIĘKSZA TWOJĄ KOSĘ U POLICJI!"
"ACT_TORCH_START_TEXT1": "PODPALAJ STRUGI BENZYNY I BECZKI, BY UZYSKAĆ WIELKIE EKSPLOZJE"
"ACT_CHOP_SHOP_DELIVER_CAR_MSG": "Dostarcz samochód do dziupli."
"ACT_WHORED_A_ICON": "Jest większy, niż ustawa przewiduje."
"ACT_WHORED_NUTSHOOT": "Wal w krocze!"
"ACT_WHORED_MONEYSHOTS_FAIL": "\"Wal w głowę\" to nie była tylko sugestia."
"ACT_WHORED_ZOMBIE_UPRISING_FAIL": "Mmmm... mózgi."
"ACT_PIMPING_RESCUE_KILL_COPS": "ZABIJ [format][color:red]GLINIARZY[/format] I URATUJ [format][color:green]DZIWKI[/format]!"
"ACT_HELI_START": "ROZPOCZĄĆ ATAK Z POWIETRZA"
"ACT_HELI_LIBERATOR_PICKUP_INFORMATION_MESSAGE": "ZABIERZ ŚWIĘTYCH I ZAWIEŹ ICH W [format][color:blue]BEZPIECZNE MIEJSCE[/format]"
"ACT_WHORED_ZOMBIE_SLAYER_FAIL": "Powstań, bohaterze! Chwyć pewniej miecz i nie ustawaj w walce ze złem!"
"ACT_WHORED_NUTSHOTS_FAIL": "Nie kryguj się, wal w klejnoty rodowe."
"ACT_VANDAL_TIME_SUCCESS_MSG": "Dobra robota. Wracaj odebrać zapłatę."
"ACT_VANDAL_SMG_MSG": "PISTOLETU MASZYNOWEGO"
"ACT_FRAUD_BONUS_CLIFF_DIVER": "PREMIA ZA ODLEGŁOŚĆ W PIONIE"
"ACT_DEMO_DERBY_CASH": "PREMIOWA KASA:"
"ACT_VANDAL_TIME_FAIL_MSG": "CZAS MINĄŁ"
"ACT_VANDAL_SHOTGUN_MSG": "STRZELBY"
"ACT_TRAFFIC_DEALING_PROTECT": "OCHRANIAJ [format][color:green]DILERA[/format] I [format][color:green]NABYWCĘ[/format]"
"ACT_PIMPING_RESCUE_CONTACT_KILL_DECKERS": "ZABIJ [format][color:red]DECKERÓW[/format] I URATUJ [format][color:green]KONTAKT[/format]!"
"ACT_PIMPING_VEHICLE_ROUTE_HOS": "ZATRZYMAJ [format][color:red]POJAZD[/format] I WYCIĄGNIJ [format][color:green]DZIWKI[/format]"
"ACT_WHORED_DRINKING_GAME_FAIL": "Masz za dużo alkoholu we krwi."
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS": "NIE UDAŁO CI SIĘ OSIĄGNĄĆ WYZNACZONEGO WYNIKU."
"ACT_TRAFFICKING_DEAL_COUNT_UPDATED": "DOKONANE TRANSAKCJE"
"ACT_TRAFFIC_DEALER_ATTACK": "[format][color:green]DILER[/format] JEST ATAKOWANY"
"ACT_PIMPING_RECAPTURE_START": "JAKIŚ TYP Z [format][color:red]JUTRZENKI[/format] ZABIERA JEDNĄ Z TWOICH [format][color:green]DZIWEK[/format]. ODZYSKAJ JĄ!"
"ACT_FRAUD_BONUSES": "TWOJE PREMIE:"
"ACT_WHORED_SQUEAKY_CLEAN": "Wstyd nad wstydy."
"ACT_WHORED_MINI_SAMURAI_FAIL": "Nie radzisz sobie z takim dużym mieczem?"
"ACTIVITY_NAME_GUARDIAN": "ANIOŁ STRÓŻ"
"CHOP_RACING_CONVERTIBLE_ROOF": "WYŚCIGOWY SKŁADANY DACH"
"ACT_VANDAL_JETSKI_MSG": "SKUTERY WODNE"
"ACT_VANDAL_BONUS_MSG": "PREMIA"
"ACT_PIMPING_TRAP_GET_HOS": "DOBRA ROBOTA, TERAZ BIERZ SIĘ ZA TE [format][color:green]DZIWKI[/format]!"
"ACT_GUARDIAN_ANGEL_RIGHT_ATTACKER": "NAPASTNIK ZBLIŻA SIĘ Z [format][color:red]PRAWEJ[/format] STRONY"
"ACT_FRAUD_BONUS_SUCCESSIVE_CARS": "PREMIA FLIPEROWA"
"ACT_ESCORT_FAIL_FOOTAGE": "NAGRANO ZA DUŻO MATERIAŁU, UCIEKAJ BOCZNYMI ULICZKAMI"
"ACT_WHORED_MALLCOP_FAIL": "Jakiś strażnik sklepowy zapłakał właśnie rzewnymi łzami..."
"ACT_PIMPING_HOS_NEEDED_COUNT_UPDATED": "DZIWKI: %i"
"ACT_ZOMBIE_USE_MESSAGE_TEXT": ", BY ROZPOCZĄĆ GRĘ W ZOMBIE"
"ACT_ESCORT_TOUCH_MINIGAME_MSG": "Znajdź czułe miejsce za pomocą {ANALOG_RS_IMG}, a następnie traf w nie za pomocą {ANALOG_LS_IMG}"
"ACT_ESCORT_OBJECTIVE_MSG": "Spełnij życzenie [format][color:green]klienta[/format], eskortując go po mieście i unikając paparazzich."
"ACT_WHORED_MEGA_ZOMBIE": "Zombie wersja 2.0: większe, silniejsze i łatwiej palne."
"ACT_LEVEL_2": "POZIOM 2"
"ACT_VANDAL_COMBO_MSG": "KOMBO:"
"ACT_VANDAL_CAR_STANDARD_MSG": "SEDANY"
"ACT_PIMPING_GET_CLOSER_TO_HOS": "ZBLIŻ SIĘ DO [format][color:green]DZIWEK[/format]"
"ACT_WHORED_MEGA_ZOMBIE_FAIL": "Cóż. Ostrzegaliśmy cię."
"TUT_ACT_TANK_MAYHEM_TUTORIAL_TANK_REPAIR": "Zaznaczone na mapie punkty naprawcze naprawiają czołg."
"ACT_TORCH_RACE_INSTRUCTIONS2": "Zdobywaj punkty podpalając przechodniów i pojazdy."
"STICK_ROTATION_UTIL_CLOCKWISE_MESSAGE": "ZGODNIE Z RUCHEM WSKAZÓWEK"
"ACT_VANDAL_TRUCK_BIG_SEMI_CAB_MSG": "CIĘŻARÓWKI"
"ACT_VANDAL_AIRPLANE_MSG": "SAMOLOTY"
"ACT_PIMPING_RESCUE_PIMPS_REROUTE": "[format][color:green]DZIWKI[/format] ZOSTAŁY ZABRANE. URATUJ JE!"
"ACT_ESCORT_FAIL_CAR_DESTROYED": "TWÓJ SAMOCHÓD ZOSTAŁ ZNISZCZONY"
"HASH_6A5B3243": "AKCJA NIEDOSTĘPNA"
"ACT_WHORED_BRUTEBOOM_FAIL": "Popchnij ich, zanim oni popchną ciebie."
"ACT_WHORED_ZOMBIE_CHAINSAW_FAIL": "Indyki są przy tobie bezpieczne."
"ACT_WHORED_SAUSAGE_FEST": "Zdrowy zapas kiełbasy."
"HASH_410CDA44": "PRZEWIEŹ [format][color:green]KLIENTA[/format] PRZEZ [format][color:teal]SAINTS ROW[/format]"
"ACT_RUNNING_MAN_TITLE": "S.E.R.C. PROFESORA GENKI"
"ACT_VANDAL_SUCCESS_MSG": "Wracaj do oznaczonej lokacji."
"ACT_PIMPING_CONTACTS_COLON": "KONTAKTY:"
"ACT_GUARDIAN_ANGEL_NAME": "ANIOŁ STRÓŻ"
"CUSTOMIZATION_GARAGE_FULL": "Musisz usunąć pojazd z garażu, żeby skorzystać z modyfikacji."
"ACT_WHORED_Z_BOARDER_GUARD": "W Steelport jest problem z nielegalnymi obcymi."
"ACT_WHORED_Z_THEME_PARK": "Nie, nie chcę zdjęcia."
"ACT_WHORED_BAT_FAIL": "Błąd pałkarza!"
"ACT_TRAFFIC_DEALER_WAITING": "[format][color:green]DILER[/format] JEST GOTOWY DO JAZDY."
"ACT_HELI_LIBERATOR_ATTACK_INFORMATION_MESSAGE": "STRZELAJ W [format][color:red]AUTOBUSY[/format], BY JE ZATRZYMAĆ"
"ACT_ESCORT_SPOUSE_SPAWNED": "UCIEKNIJ [format][color:red]ŻYCIOWEMU PARTNEROWI[/format] [format][color:green]KLIENTA[/format]"
"HOSTAGE_SUCCESS": "ZAKŁADNIK UKOŃCZONY"
"ACT_TANK_MAYHEM_TITLE": "PANCERNY CHAOS"
"ACT_HOSTAGE_FAILURE_REASON": "ZAKŁADNICY UCIEKLI"
"ACT_PIMPING_GET_CLOSER_TO_CONTACTS": "ZBLIŻ SIĘ DO [format][color:green]KONTAKTÓW[/format]"
"ACT_FRAUD_BONUS_COOP_CHAIN": "PREMIA ŁAŃCUCHOWA"
"ACT_ESCORT_ALMOST_LOSE_MSG": "MEDIA MAJĄ JUŻ PRAWIE DOŚĆ MATERIAŁU"
"ACT_ESCORT_OBJECTIVE_TEXT_01": "SPEŁNIJ WSZELKIE ZACHCIANKI KLIENTA"
"ACT_VANDAL_OBJECTIVE_1": "DOKONAJ ZNISZCZEŃ NA KWOTĘ $%d PRZED UPŁYWEM CZASU"
"ACT_TRAFFIC_POLICE_STING_UNCUFF": "{ACTION_IMG}, BY ROZKUĆ DILERA"
"ACT_HELI_NEWS_VAN_HUD_TEXT": "WOZY REPORTERSKIE DO ZNISZCZENIA"
"ACT_FRAUD_VISIT_BONUS_AREA": "W SPECJALNIE OZNACZONYCH [format][color:teal]MIEJSCACH[/format] NA MAPIE DOSTANIESZ DODATKOWĄ ADRENALINĘ"
"ACT_FRAUD_HUD_MULT_X": "X"
"HASH_DF9F0AC8": "OKOLICA %ls JEST ATAKOWANA"
"HASH_CA158948": "ZABIERZ [format][color:green]KLIENTA[/format] NA [format][color:teal]NABRZEŻE[/format]"
"ACT_WHORED_QUESTION_MARKS_FAIL": "Minął czas pytań."
"ACTIVITY_NAME_SNATCH": "PRZECHWYT"
"ACT_GUARDIAN_ANGEL_FOLLOW_IN_HELI": "WSIĄDŹ DO HELIKOPTERA I LEĆ ZA ZIOMAMI"
"TEMP_LAST_MINUTE_1": ", BY OTWORZYĆ DZIUPLĘ"
"ACT_VANDAL_SUMMARY_PEOPLE_KILLED": "ZABICI"
"ACT_HELI_PROTECTION_HUD_TEXT": "POSTOJE"
"ACT_ESCORT_NEAR_MISS_MSG": "[format][color:green]KLIENT[/format] ŻYCZY SOBIE OBCIEREK INNYCH POJAZDÓW X%d "
"ACT_RUNNING_MAN_INTRO_L_1": "Zarób $1000 niszcząc cele oraz zabijając wrogów i opuść arenę, zanim upłynie czas. Niszcząc obiekty jeden po drugim otrzymasz premię za kombo."
"ACT_FRAUD_FIELD_DIVIDER": "/"
"ACT_ZOMBIE_SURVIVOR_REVIVE": "Masz %d sek. na ożywienie ocalałej osoby!"
"ACT_PIMPING_RESCUE_KILL_PIMPS": "ZABIJ [format][color:red]CZŁONKÓW JUTRZENKI[/format] I URATUJ [format][color:green]DZIWKI[/format]!"
"ACT_HUMAN_TORCH_TITLE": "WYBÓR POZIOMU WYPALANIA SZLAKU"
"HASH_7E62454A": "OKOLICA ZOSTAŁA PORZUCONA"
"ACT_WHORED_A_FISTING": "Tego trzeba się nauczyć."
"ACT_WHORED_WEENIEROAST": "Smakołyki opiekane w ogniu."
"ACT_VANDAL_MOTORCYCLE_MSG": "MOTOCYKLE"
"ACT_TRAFFIC_NOT_IN_VEHICLE": "WRACAJ DO SAMOCHODU"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_HELPER_MESSAGE": "POMOCNIK NIE ŻYJE"
"ACT_GUARDIAN_ANGEL_HELICOPTER_ATTACKER": "Obserwator zauważył nadlatujący [format][color:red]helikopter[/format]."
"ACT_FRAUD_NO_SCORE": "PRÓBA WYŁUDZENIA NASTĄPIŁA POZA [format][color:teal]OBSZAREM KLUCZOWYM[/format] - NIC NIE ZARABIASZ"
"ACT_FRAUD_MESSAGE_WITNESS_MULT_TYPE": "REKORD PRZECHODNIÓW-ŚWIADKÓW PRZY WYŁUDZANIU"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE": "REKORD ODLEGŁOŚCI PRZY WYŁUDZANIU"
"ACT_WHORED_A_RECYCLE": "Widzisz? Nasza gra ma pozytywne przesłanie."
"ACT_WHORED_QUESTION_MARKS": "Pojawiają się znaki zapytania!"
"ACT_WHORED_TANK": "To czołg dla ciebie."
"ACT_WHORED_THE_END_FAIL": "Jeszcze. Jeden. Etap. Do roboty!"
"HORDE_MODE_OTHER_PLAYER_DISCONNECTED": "Rozłączono cię od drugiego gracza, musisz opuścić ten tryb. Powrócisz do menu głównego."
"ACTIVITY_NAME_TRAIL_BLAZING": "WYPALANIE SZLAKU"
"ACT_VANDAL_TRUCK_TRAILER_MSG": "CIĘŻARÓWKI Z PRZYCZEPAMI"
"ACT_VANDAL_BONUS_WEAPON": "PREMIA ZA BROŃ"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_4SEC": "4..."
"ACT_PIMPING_YOU_NEED_MORE_CONTACTS": "POTRZEBUJESZ WIĘCEJ [format][color:green]KONTAKTÓW[/format]"
"ACT_PIMPING_TRAP_SPRUNG_KILL_PIMPS": "TO PUŁAPKA! ZABIJ WSZYSTKICH [format][color:red]CZŁONKÓW JUTRZENKI[/format] PRZED ZWERBOWANIEM [format][color:green]DZIWEK[/format]."
"ACT_HELI_VAN_LOW_HEALTH_TEXT": "[format][color:green]WÓZ TWOJEGO ZIOMALA[/format] JEST POWAŻNIE USZKODZONY"
"ACT_CHOP_SHOP_FAIL_TIME_MSG": "Skończył się czas."
"ACT_WHORED_D_CAAN_COOLJ": "Zawody wrotkowe już nigdy nie będą takie same."
"ACT_WHORED_ZOMBIE_INFERNO_FAIL": "PROTIP: unikaj wybuchających zombie. Używaj ich jako bomb."
"HORDE_CHARACTER_ZIMOS": "ZIMOS"
"MISSION_FAILURE_PASSED_OUT_TEXT": "URWAŁ CI SIĘ FILM"
"ACT_VANDAL_PEDESTRIAN": "PRZECHODZIEŃ"
"ACT_VANDAL_IN_DISTRICT_MSG": "Za pomocą udostępnionych broni niszcz obiekty i pojazdy i zabijaj ludzi, by zarabiać kasę."
"ACT_HUMAN_TORCH_OBJECTIVE_MSG": "WJEŻDŻAJ W LUDZI I SAMOCHODY, BY UZYSKAĆ DODATKOWY CZAS W DRODZE DO METY"
"ACT_FRAUD_ADRENALINE_READY": "TRYB ADRENALINY AKTYWNY"
"HASH_90E08F4D": "OPUSZCZASZ SPORNE TERYTORIUM"
"ACT_WHORED_RESTART_WARNING": "Rozpoczęcie nowej gry spowoduje utratę postępów na tej mapie. Kontynuować?"
"ACT_WHORED_MEGAFURRIES_FAIL": "Futrzasta furia."
"ACT_VANDAL_PENALTY_MSG": "KARA"
"ACT_VANDAL_CAR_BIG_DOMESTIC_MSG": "DUŻE SAMOCHODY"
