"CUST_ITEM_CF_HAIR_MED": "OFF THE SHOULDER"
"CUST_ITEM_FEMALE_NLM_OUTFIT_E": "NET WAKKER JUNK"
"CUST_ITEM_OVAL_RING_1_LEFT_INDEX_FINGER": "MURDERBRAWL-ZWACHTELS"
"PLAYER_MORPH_MOUTH_HEIGHT_TEXT": "HOOGTE MOND"
"STORE_WEAPON_BUY_UPGRADE": "WAPENS KOPEN / UPGRADEN"
"CUST_COMP_EYE_MAKEUP_7": "VLEUGELS"
"HAIR_COLOR_ORANGE": "ORANJE"
"LOGO_NUMBER5": "NUMMER 5"
"LOGO_KBOOM": "KBOOM WMD108"
"LOGO_SKEETERS_3": "SKEETERS 3"
"CUST_VARIANT_PETALS": "BLOEMBLAADJES"
"LEATHER_LACE_NAME": "LEATHER & LACE"
"CUST_TATTOO_LCALF_7": "VAN DE KETTING"
"CUST_VARIANT_STRIPED_TIE": "GESTREEPT MET DAS"
"CUST_ITEM_CM_IMPL_UBDY_M_SCARF": "CATWALKSJAAL"
"CUST_ITEM_FEMALE_NLM_EARRINGS_5": "GENKI GIRL-OORBELLEN"
"CUST_ITEM_CM_LLB_LWRST_M_LTHRWRISTBAND": "LEER EN VETER-ARMBAND"
"CUST_ITEM_CF_PSA_FOOT_F_ANKLEBOOTS": "NIET ZO ONSCHULDIGE LAARZEN"
"CUST_COMPLIMENT_D": "NIET ONGEWOON"
"CUST_COLOR_CLOTHING_GREYS_5": "GRIJS 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_2": "Beïnvloed een groter gebied."
"CUST_COMP_CHEEK_MAKEUP_3": "DE MIMESPELER"
"VEHICLE_PAINT_CANDY_PAINT": "SNOEPKLEURENVERF"
"CUST_VARIANT_15_DEFAULT": "STIJL 1"
"CUST_VARIANT_BASKETBALL_JERSEY": "GESTREEPT"
"CUST_VARIANT_HAT": "EFFEN"
"PLAYER_MORPH_UPPER_LIP_NOTCH_TEXT": "INKEPING BOVENLIP"
"CUST_TATTOO_RCALF_8": "GEZICHT DES DOODS"
"COLOR_SLOT_PAINT_1_AND_PAINT_2": "VERF 1 EN VERF 2"
"RIM_129": "R129"
"SLOT_COCKPIT": "COCKPIT"
"CUST_WEAR_TATTOO_AZTEC_SNAKE": "AZTEEKSE SLANG"
"CUST_SKIN_OILED_3": "GEOLIED LATINO 1"
"VEHICLE_COLOR_TINT_5": "TINT 5%%"
"LOGO_89GENX": "89 GEN X"
"CUST_VARIANT_DUAL_STRIPES_SMALL": "SMALLE DUBBELE STREPEN"
"CUST_ITEM_CM_PSG_UBDY_M_TRACKJACKET": "TRAININGSJAS"
"CUST_INSULT_K": "INDIANENDANS"
"CUST_COLOR_CLOTHING_VIOLET-RED_5": "PAARSROOD 5"
"CUST_COLOR_CLOTHING_BROWNS_4": "BRUIN 4"
"CUST_COMP_MUSTACHE_13": "BAARD VAN PAYNE"
"COMPONENT_DECAL_6": "DECORATIE 6"
"CUST_VARIANT_3COLOR_THIN": "DRIE KLEUREN, DUN"
"CUST_VARIANT_GRADIENT": "KLEURVERLOOP"
"CUST_SKIN_BLACK_03": "AFRO-AMERIKAAN 3"
"PLAYER_MORPH_CHEEKBONES_DEPTH_TEXT": "DIEPTE JUKBEENDEREN"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_9": "GEELORANJE 9"
"CUST_TATTOO_FACE_3": "TIRBAL BLADE"
"PAINT_AND_TRIM": "VERF EN SIERLIJST"
"CUST_VARIANT_FRONT_STRIPES_SMALL": "SMALLE STREPEN AAN DE VOORKANT"
"CUST_WEAR_TATTOO_AZTEC_BUG": "AZTEEKSE KEVER"
"CUST_ITEM_CM_DLC_FOOT_M_PLATFORMS": "Z-STIJL SCHOENEN"
"CUST_ITEM_CF_RING_F_BIGHEART": "ECHTE LIEFDE-SET"
"CUST_EYESHADOW": "OOGSCHADUW"
"CUSTOM_WALK_13": "TUIGSTIJL 8"
"HAIR_SALON_HAIR_LENGTH": "HAARLENGTE"
"CUST_COMP_FACE_MAKEUP_4": "OORLOGSMASKER"
"CUST_COLOR_BRIGHT_YELLOW": "FELGEEL"
"CUST_VARIANT_21_DEFAULT": "VARIANT 21"
"CUST_SKIN_HISPANIC_04": "LATINO 4"
"PLAYER_CREATION_PRESET_ASIAN": "AZIATISCH"
"CUST_TATTOO_RHAND_4": "R I T E"
"LOGO_DART": "DARTBORD"
"CUST_ITEM_CF_DLC_HAND_F_BCGLOVE": "BLOEDERIGE NON HANDSCHOENEN"
"CUST_RONIN_COMPLIMENT_C": "RONINCOMPLIMENT 3"
"CUST_CAT_HAIR_COLOR_EYEBROWS": "KLEUR WENKBRAUWEN"
"CUST_COMP_EYE_MAKEUP_10": "WREDE LINER"
"SLOT_BED_MODS": "BEDAANPASSINGEN"
"CUST_VARIANT_SKIRTB": "STIJL 2"
"CUST_VARIANT_ZEBRA_1": "ZEBRA 1"
"CUST_ITEM_CM_FPIC_SETC": "DUBBELE PIERCING"
"PLAYER_MORPH_EYE_STYLE_TEXT": "OOGSTIJL"
"FACIAL_EXPRESSION_SCARED": "BANG"
"PLAYER_MORPH_CROWN_HEIGHT_TEXT": "HOOGTE KRUIN"
"CUST_MENU_TOTAL_LIMIT_REACHED": "Je hebt het maximumaantal toegestane items bereikt in je garderobe."
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_2": "Richt sneller en draag meer munitie."
"CUST_TATTOO_NECK_4": "ANTWERPS SPECIAAL"
"CUST_COMP_BODY_MASK_4": "ZONGEBRUIND"
"VEHICLE_COLOR_TINT_30": "TINT 30%%"
"CUST_ITEM_IMPRESSIONS_FEMALE_O": "STEDELIJK SAFARI OUTFIT"
"CUST_ITEM_CM_IMPE_LBDY_M_DRESSPANTS": "SOUTH BEACH NETTE BROEK"
"FACIAL_EXPRESSION_QUIZZICAL": "GRAPPIG"
"PLAYER_MORPH_CHIN_TEXT": "KIN"
"LOGO_PMS": "PI MU SIGMA"
"CUST_VARIANT_THIN": "DUN"
"CUST_ITEM_COWBOY_HAT_1": "WILD WEST-HOED"
"RIM_SET_006": "VELGSET 6"
"COMPONENT_OPTION_4": "OPTIE 4"
"COLOR_SLOT_RIM": "VELG"
"CUST_VARIANT_KNIT": "GEBREID"
"CUST_ITEM_CM_CNC_UBDY_M_WHTLOGOA": "CROOKS & CASTLES T-SHIRT D"
"CUSTOM_WALK_7": "TUIGSTIJL 3"
"CUST_TATTOO_FACE_7": "TWEELING SLANGEN"
"VEHICLE_COLOR_SILVER": "ZILVER"
"CUST_SKIN_PURPLE_4": "PRINSES-PAARS"
"CUSTOM_WALK_FEMALE_02": "STANDAARDVROUW 2"
"CUSTOM_WALK_17": "TUIGSTIJL 12"
"CUST_COLOR_CLOTHING_VIOLET-RED_1": "PAARSROOD 1"
"CUST_COMP_MUSTACHE_17": "CHUCK"
"OPTION_37": "OPTIE 37"
"COMPONENT_DECAL_2": "DECORATIE 2"
"CUST_VARIANT_SLEEVES": "EFFEN"
"PLAYER_MORPH_EYE_FOLDS_ELEVATION_TEXT": "HOOGTE OOGPLOOIEN"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_8": "GEELGROEN 8"
"CUST_COMP_EYES_DARK_BROWN": "DONKERBRUIN"
"LOGO_PHEASANT": "PHEASANT HUNTER"
"CUST_VARIANT_ULTOR2": "ULTOR 2"
"VEHICLE_PAINT_LICENSE_PLATES": "KENTEKENPLATEN"
"HAIR_COLOR_GREEN_MATTE": "MATGROEN"
"CUST_VARIANT_LARGE_STRIPES": "BREDE STREPEN"
"VEHICLE_COLOR_ATLANTIC_TEAL": "ATLANTISCH BLAUWGRIJS"
"CUST_WEAR_TUCKED": "INGESTOPT"
"CUST_ITEM_IMPRESSIONS_FEMALE_K": "IMPRESSIONS VROUW K"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOC": "CROOKS & CASTLES T-SHIRT C"
"CUST_MORPH_CAT_JAW": "KAAK"
"CUST_COMP_EYE_MAKEUP_14": "SPHINX"
"SLOT_MIRRORS": "SPIEGELS"
"HAIR_COLOR_YELLOW_MATTE": "MATGEEL"
"CUST_WEAR_UNZIPPED_HOOD_DOWN": "OPENGERITST, CAPUCHON AF"
"CUST_ITEM_CF_NLMF_FOOT_F_VICTORIANBOOTS": "STEAMPUNK ANTIEKE LAARZEN"
"STORE_WEAPON_NAVIGATE": "NAVIGEREN"
"SK03": "HUID03"
"CUST_VARIANT_SMALL_FLOWERS": "KLEINE BLOEMETJES"
"CUST_WEAR_BUTTONED_HOOD_DOWN": "DICHTGEKNOOPT, CAPUCHON AF"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRTLOWV": "HILLS JASJE MET T-SHIRT"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO": "KRIJGSLIST COMBO"
"CUSTOM_WALK_3": "TUIGSTIJL 2"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_2": "Draag meer projectielen."
"CUST_TATTOO_LOWBACK_4": "GEBOGEN HOOG"
"CUST_COLOR_FLESH_4": "VLEES 4"
"CUST_WEAR_HALF OPEN": "HALF OPEN"
"CUST_ITEM_CM_UBDY_M_THEROW": "LID VAN ROW"
"CUST_ITEM_CM_HAIR_SHORT": "KORT"
"CUST_ITEM_MINER_HAT": "MURDERBRAWL-MASKER"
"PLAYER_MORPH_FACE_DEPTH_TEXT": "DIEPTE GEZICHT"
"CUST_TATTOO_UPPBACK_6": "TWEE SAINTLY DUIVEN"
"CUST_COMP_FACE_MOLE_8": "MOEDERVLEK 8"
"CUST_VARIANT_TWO_COLOR": "TWEE KLEUREN"
"CUST_VARIANT_LEATHERLEATHER": "LAKLEDER"
"CUST_COLOR_WHITE": "WIT"
"CUST_ITEM_CM_PSJ_EYES_M_SHTRGLS": "KNOTSGEKKE ZONNEBRIL"
"CUST_ITEM_CF_PSE_UBDY_F_GFXJERSEYCOMBO": "VROUWENSPORTTRUI"
"PLAYER_MORPH_BROW_ELEVATION_TEXT": "VERHOGING WENKBRAUW"
"CUST_COMP_EYE_MAKEUP_3": "RECHTSE LAP"
"RIM_188": "C-X 502"
"SLOT_DECAL_10": "DECORATIE 10"
"BRIGHT_GREEN": "FELGROEN"
"LOGO_NUMBER1": "NUMMER 1"
"LOGO_FEEDSUCK": "FEED DOGS SUCK"
"CUST_ITEM_CF_PSG_LWRST_F_SBAND": "ZWEETBANDJE"
"HAIR_CAT_BALD": "KAAL"
"VEHICLE_COLOR_JET_BLACK": "GITZWART"
"CUST_VARIANT_CLEAR": "HELDER"
"CUST_VARIANT_BAND": "MET HAARBAND"
"CUST_ITEM_CF_IMPO_LBDY_F_SHORTS": "URBAN SAFARI KORTE BROEK"
"CUST_ITEM_CF_NLMD_LBDY_F_PANTS": "HIPSTER JEANS"
"SURGEON_CAT_MORPHS": "MORFS"
"CUST_COLOR_CLOTHING_GREYS_1": "GRIJS 1"
"VEHICLE_COLOR_YELLOW_DARK_TINT": "DONKERGELE TINT"
"CUST_WEAR_LOW_LEFT_ROLLED_RIGHT_ZIPPED": "OPGEROLD, LINKS, LAAG"
"CUST_WEAR_FINGER_LR": "LINKERRINGVINGER"
"CUST_TATTOO_RIGHT_SHOULDER": "RECHTERSCHOUDER"
"CUST_TATTOO_LCALF_3": "BLIJF ZWEMMEN"
"LOGO_PEACE": "VREDE"
"CUST_VARIANT_WIDOWS_PEAK": "WIDOW'S PEAK"
"CUST_VARIANT_MATERIAL_9": "CUST_VARIANT_MATERIAL#9"
"CUST_ITEM_FEMALE_NLM_EARRINGS_1": "FLOWER POWER OORBELLEN"
"PLAYER_CREATION_FIGURE_OVERWEIGHT": "OVERGEWICHT"
"PLAYER_MORPH_CROWN_LENGTH_TEXT": "LENGTE KRUIN"
"CUST_INSULT_O": "DE ONAANTASTBARE"
"CUST_MORPH_CAT_CHIN": "KIN"
"PLAYER_MORPH_CAUCASIAN_TEXT": "BLANK"
"STORE_WEAPON_OWNED_NOT_EQUIPPED": "{0}NIVEAU {1}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_3": "Verhoog de vuursnelheid en vergroot de schade."
"RIM_STANDARD": "STANDAARD"
"CUST_VARIANT_SMALL_3_STRIPES": "SMALLE STREPEN"
"CUSTOM_WALK_FEMALE_5": "VROUWELIJKE WIEBELSTIJL"
"CLOTHES_IMPRESS": "IMPRESSIONS"
"CUST_TATTOO_RHAND_8": "HAND_TATTOO_R8"
"CUST_TATTOO_CHEST_3": "DE OCTOPUS"
"PAINT_TRIM_AND_RIMS": "VERF, VELGEN EN SIERLIJSTEN"
"RIMS_AND_TRIM": "VELGEN EN SIERLIJSTEN"
"CUST_ITEM_CM_LPE_PACK_M_MBACKPACK": "EMPIRE-PAK"
"FACIAL_EXPRESSION_INSANE": "GESTOORD"
"CUST_COMP_FACE_MAKEUP_8": "LUIPAARD"
"LOGO_BAT_1": "VLEERMUIS 1"
"CUST_VARIANT_BELT": "EFFEN"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_5": "KLEINE HOEPELS"
"CUST_ITEM_CF_IMPQ_WRST_F_LATEXBRACE": "MOOIE LATEX ARMBAND"
"CUST_COMPLIMENT_KING": "DE KONING"
"CUST_MENU_MOVEMENT": "PERSOONLIJKHEID"
"CANT_WEAR_BELTS": "JE KUNT RIEMEN ALLEEN BIJ BEPAALDE SPECIFIEKE BROEKEN DRAGEN"
"PLAYER_CREATION_MENU_4": "HAAR"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_5": "GEELORANJE 5"
"CUST_TATTOO_LHAND_7": "HAND_TATTOO_L7"
"CUST_COLOR_INDIGO_3": "INDIGO 3"
"CUST_COLOR_PURPLE_2": "PAARS 2"
"CUST_ITEM_TOILET": "TOILET"
"CUST_ITEM_LEATHER_LACE_FEMALE_S": "DARK MAIDEN"
"CUST_ITEM_CM_PSF_LBDY_M_BSHORTS": "FREE THROW SHORTS"
"PLAYER_MORPH_SATURATION_TEXT": "VERZADIGING"
"CUSTOMIZATION_TITLE": "SPELER AANPASSEN"
"CUST_COLOR_CLOTHING_VIOLET-RED_9": "PAARSROOD 9"
"CUST_COLOR_CLOTHING_BROWNS_8": "BRUIN 8"
"VEHICLE_COLOR_BRETON_GREEN": "BRETONS GROEN"
"LOGO_FUZZ": "FUZZ"
"CUST_VARIANT_CAMOUFLAGE": "CAMOU"
"CUST_ITEM_CF_HAIR_CORNROWS_1": "INGEVLOCHTEN_PLAT"
"CUST_ITEM_CM_NLMA_HAT_M_SPHAT": "HONEST ABE-HOED"
"CUST_SKIN_GOLD": "GOUD"
"CUST_COMP_MALE_EYEBROWS_5": "DIABOLISCHE GENIE"
"COMPONENT_OPTION_8": "OPTIE 8"
"HAIR_COLOR_ORANGE_MATTE": "MAT ORANJE"
"LOGO_RUSTY_S_NEEDLE_2": "RUSTY'S NEEDLE 2"
"CUST_WEAR_UNBUTTONED_HOOD_UP": "OPENGEKNOOPT, CAPUCHON OP"
"CUST_ITEM_CM_IMPE_HAT_M_PAN_FEDORA": "SOUTH BEACH GLEUFHOED"
"CUST_ITEM_CF_LLK_FOOT_F_LATEXBOOTS": "SEXY LAARZEN"
"CUST_ITEM_CM_LPG_MASK_M_MASKAPE": "MONKEY BUSINESS"
"PLAYER_OLD_TEXT": "OUD"
"PLAYER_MORPH_CHIN_CREASE_TEXT": "KINPLOOI"
"PLAYER_MORPH_BROW_HEIGHT_TEXT": "HOOGTE WENKBRAUW"
"CUST_TATTOO_NECK_8": "ZWARTE ZWAAN"
"HAIR_COLOR_BLACK_MATTE": "MATZWART"
"LOGO_NUMBER_13": "NUMMER 13"
"CUST_ITEM_CF_SUIT_CYPHERSUIT": "ULTOR SLUIPMOORDENAAR"
"CUST_ITEM_CF_NLMC_LBDY_M_SKIRTPANTS": "GOTH LYFE BROEK"
"CUST_ITEM_CM_HAIR_CAESAR": "DE ROMEIN"
"CUST_FACIAL_EXP_BASHFUL": "VERLEGEN"
"CUST_COLOR_CLOTHING_ORANGE_2": "ORANJE 2"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_UNZIPPED": "BEIDE OPENGERITST, HOOG"
"CUST_ITEM_CF_DLC_WP_UBDY_F_UPPER": "PRINSESKRIJGER BOVEN"
"CUST_ITEM_CF_NLMH_PACK_F_CATBACKPACK": "BAD KITTY"
"PLAYER_MORPH_NOSTRIL_ELEVATION_TEXT": "VERHOGING NEUSGATEN"
"PLAYER_MORPH_LOWER_LIP_SHAPE_TEXT": "VORM ONDERLIP"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_2": "Vergroot de schade. Vizier met rode punt laat je nog beter mikken."
"VEHICLE_COLOR_RED_DARK_TINT": "DONKERRODE TINT"
"RIM_180": "SD DCY15"
"LOGO_NUMBER9": "NUMMER 9"
"LOGO_SAINTSBEER": "SAINTS BIER"
"CUST_VARIANT_HEARTS": "HARTEN"
"CUST_VOICE_ZOMBIE": "ZOMBIE"
"CUST_SEX_APPEAL": "SEXAPPEAL"
"CUST_VARIANT_STRETCH_TOP": "STIJL 1"
"CUST_TATTOO_LEFT_LEG": "LINKERBEEN"
"CUST_MENU_COLOR": "KLEUR"
"PLAYER_CREATION_FIGURE_SLENDER": "TENGER"
"PLAYER_MORPH_EAR_INSIDE_TEXT": "BINNENKANT OOR"
"CUST_TATTOO_RFORARM_1": "VIND EEN EVENWICHT"
"VEHICLE_COLOR_WILDLIFE_GREEN": "LEVENDIG GROEN"
"CUST_VARIANT_NAILS_B": "NAGELS 2"
"CUST_ITEM_CM_SUIT_NORMALTESTSUIT": "NORMAAL TESTPAK"
"SLOT_SEATS": "STOELEN"
"CUST_VARIANT_PATTERN2": "STIJL 2"
"CUST_ITEM_BLOWUPDOLL": "OPBLAASPOP"
"CUST_ITEM_MALE_NLM_OUTFIT_C": "SLACKER CHIC"
"PLAYER_MORPH_NOSTRILS_ELEVATION_TEXT": "VERHOGING NEUSGATEN"
"PLAYER_MORPH_CHIN_BULGE_TEXT": "ONDERKIN"
"CUST_VARIANT_PATTERN_1": "STIJL 1"
"CUST_INSULT_G": "IK ZIE JE NIET"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_SIZE_TEXT": "OMVANG MIDDENSTUK BOVENLIP"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_2": "Vergroot de schade."
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_3": "Vergroot je magazijnen."
"CUST_TATTOO_RCALF_4": "VERGEET ME NIET"
"CUST_TATTOO_LARM_3": "DE BROTHERHOOD"
"CUST_TATTOO_LUPPARM_1": "DOET HET DYNAMIET"
"CUST_COMP_FACE_FRECKLES": "SPROETEN"
"CUST_COMP_FEMALE_EYEBROWS_3": "BIJGETEKEND"
"COMPONENT_ADD_TIRE_DURABILITY": "LEVENSDUUR BAND"
"SLOT_FAIRINGS": "WINDSCHERMEN"
"LOGO_RHOMBUS": "RUIT"
"CUST_VARIANT_THICK_TRI_COLOR": "DIK 3-KLEUREN"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR": "BILLEN BLOOT"
"CUST_CAT_RING": "RINGEN"
"CUST_INSULT_JERK": "AFTREKKER"
"CUST_COLOR_CLOTHING_GREYS_9": "GRIJS 9"
"BRIGHT_YELLOW-GREEN": "FELGEELGROEN"
"CUST_VARIANT_CMSHO_UUTIBOOT01": "CANVAS"
"CUST_VARIANT_STRIPES_1": "STREPEN 1"
"CUST_VARIANT_BEADS": "KRALEN"
"CUST_ITEM_CM_LLK_UBDY_M_BATHROBE": "BADJAS"
"CUST_UNDERWEAR": "ONDERGOED"
"CUST_SKIN_ORC": "GROENE OGER"
"CUST_VARIANT_09_DEFAULT": "VARIANT 9"
"CUST_VARIANT_PLAID_1": "GERUIT 1"
"CUST_VARIANT_MATERIAL_1": "CUST_VARIANT_MATERIAL#1"
"CUST_WEAR_FINGER_RI": "RECHTERWIJSVINGER"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHRTTIE": "HIGH CLASS"
"CUST_ITEM_FEMALE_PS_EARRINGS_1": "SAINTS LELIE-OORBELLEN"
"CUST_COMPLIMENT_H": "HOUSE PARTY"
"CUST_ITEM_CF_LPH_UBDY_F_VARSITYCHEER": "VARSITY SPIRIT-SWEATER"
"VEHICLE_COLOR_BAY_YELLOW": "STRANDGEEL"
"RIM_184": "V-F 603"
"CUST_VARIANT_MATERIAL_24": "CUST_VARIANT_MATERIAL#24"
"CUST_ITEM_CM_PSE_EYES_M_SHADES": "CAN'T TOUCH THIS-ZONNEBRIL"
"CUST_ITEM_BIKER_HELMET": "GANGSTERMUTS"
"FACIAL_EXPRESSION_ROGUISH": "STOER"
"FACIAL_EXPRESSION_FEARFUL": "ENG"
"CUST_BRO_TAUNT_A": "BROTHERHOODBELEDIGING 1"
"VEHICLE_COLOR_BELIZE_GREEN": "BELIZE-GROEN"
"MALE_OVERWEIGHT": "MAL OVERGEWICHT"
"CUST_RACE_ASIAN": "AZIATISCH"
"CUST_ITEM_CF_IMPR_FOOT_F_HEELS": "VALLEY GIRL HAKKEN"
"CUST_ITEM_MALE_NLM_OUTFIT_G": "GEDEPRIMEERDE INDIE KID"
"CUST_ITEM_CF_BOBINEYE": "BOB OVER OGEN"
"FACIAL_EXPRESSION_SNEER": "SNEREND"
"PLAYER_CREATION_FIGURE_BODYBUILDER": "BODYBUILDER"
"CUST_TATTOO_RFORARM_5": "DE PAARSE FEE"
"CUST_COMP_FACE_MOLE_4": "MOEDERVLEK 4"
"CUST_VARIANT_MATTE": "MAT"
"CUST_VARIANT_THE_FADE": "VERVAAGD"
"CUST_ITEM_CM_LPC_UBDY_M_HEROFALCON": "VALKENIER"
"CUST_CAT_NECKLACE": "KETTING"
"CUST_SKIN_GREY_4": "STENEN GOLEM-GRIJS"
"PLAYER_MORPH_CHIN_DIMPLE_TEXT": "KUILTJE IN KIN"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_2": "Vergroot magazijnen en schade. Vizier met rode punt laat je nog beter mikken."
"CUST_TATTOO_LARM_7": "NINJA WINDSEL"
"CUST_TATTOO_LUPPARM_5": "DE MIJNE VOOR ALTIJD"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_3": "BRITE AND TITE-STRING"
"CUST_ITEM_CM_PSC_LBDY_M_DICKIES": "WORK IT-BROEK"
"SLOT_SIDE_SKIRT": "ZIJSKIRT"
"CUST_VARIANT_CHILD_RWRIST": "STIJL 2"
"CUST_VARIANT_LARGE_PLAID": "GROF GERUIT"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_ROLLED": "L. opengeritst, R. opgerold, Laag"
"CUST_INSULT_C": "BOOM SHAKALAKA"
"PLAYER_MORPH_NOSTRIL_THICKNESS_TEXT": "DIKTE NEUSGATEN"
"PLAYER_MORPH_CHEEKBONE_ELEVATION_TEXT": "VERHOGING JUKBEENDEREN"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_3": "Vergroot je magazijnen. Voeg een derde loop toe voor nog meer schade."
"VEHICLE_PAINT_INTERIORS": "INTERIEURS"
"COMPONENT_OPTION_11": "OPTIE 11"
"SLOT_DECAL": "DECORATIE"
"CUST_COLOR_GREEN_1": "GROEN 1"
"LOGO_FISH": "VIS"
"CUST_VARIANT_BONES": "VOODOO"
"CUST_VARIANT_MATERIAL_5": "CUST_VARIANT_MATERIAL#5"
"CUST_ITEM_CF_DLC_SUIT_F_BCAN": "BLOEDERIGE NON PAK"
"CUST_ITEM_CF_RING_F_ROCKERSET": "HEAVY METAL-RINGEN"
"CUST_ITEM_CM_NLMG_LBDY_M_LOOSEPANTS": "GANGSTERBROEK"
"CUST_COMPLIMENT_L": "DE MUZIKANT"
"PLAYER_MORPH_CHEEK_CREASE_TEXT": "WANGPLOOI"
"CUST_VARIANT_01_DEFAULT": "VARIANT 1"
"CUST_ITEM_CF_LLJ_FOOT_F_BIKERBOOTS": "OMA-MOTORLAARZEN"
"CUST_CAT_MAKEUP_FOREHEAD": "VOORHOOFD"
"SLOT_LIGHT_COVERS": "LAMPENKAPPEN"
"CUST_ITEM_CF_LLJ_UBDY_F_LTHRJCKT": "BIKER BABE JAS"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_1": "DIAMANTEN STUDS"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_4": "GEELGROEN 4"
"CUST_TATTOO_CHEST_7": "GELUKKIGE REGENBOOG"
"LEVEL_2": "NIVEAU 2"
"CUST_VARIANT_BABYT_OG": "OG"
"CUST_ITEM_MALE_GATSUIT": "JOHNNY GAT MASCOTTE"
"CUST_ITEM_CM_NLMC_LWRST_M_WRISTBANDS": "LOVE2RAVE KRALEN"
"CUST_ITEM_FEMALE_LL_EARRINGS_2": "ECHTE LIEFDE-STUDS"
"CUST_ITEM_CM_LPH_UBDY_M_PIRATESHIRT": "IJZERVRETER"
"PLAYER_MORPH_FACE_WIDTH_TEXT": "GEZICHTSBREEDTE"
"CUST_COMP_EYES_BLUE": "BLAUW"
"SLOT_INTERIOR": "INTERIEURS"
"PAINT_4": "VERF 4"
"CUST_ITEM_CF_NLMH_RWRST_F_WRISTBANDS": "PARTY TIME ARMBANDEN"
"CUST_VOICE_FEMALE_BLACK": "VROUW 2"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_1": "GEELORANJE 1"
"CUST_TATTOO_LHAND_3": "GLOEIENDE HAAT"
"VEHICLE_COLOR_FROSTED_BLUE": "IJSBLAUW"
"PLAYER_MORPH_GLOBAL_FACE_TEXT": "GLOBAAL GEZICHT"
"PLAYER_MORPH_BOTTOM_LIP_EDGES_SIZE_TEXT": "FORMAAT UITEINDEN ONDERLIP"
"CUST_TATTOO_LOWBACK_8": "GEBOGEN LAAG"
"SLOT_TRUNK": "KOFFERBAKKEN"
"CUST_VARIANT_CHILD_HEMP": "STIJL 1"
"CUST_VARIANT_WITH_DECALS": "DECORATIES"
"CUST_ITEM_CF_HAIR_LONGHIPONYBANGS": "CHEERLEADER"
"CUST_CAT_FACE": "GEZICHT"
"CLOTHES_INSUFFICIENT_FUNDS_TEXT": "Je hebt niet genoeg geld om\n\"%s\" te kopen."
"CUST_COMP_MALE_EYEBROWS_1": "MANNELIJK DIK"
"COMPONENT_EXTRA_HIGH_PROFILE": "EXTRA HOOG PROFIEL"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS": "INGESTOPT, DICHTGEKNOOPT"
"CUST_ITEM_CF_DLC_EYES_F_BCAN": "BLOEDERIGE NON ZONNEBRIL"
"CUST_SKIN_GREEN_4": "KLAVER SHAKE"
"CUST_MOVEMENT_FACE": "GEZICHTSUITDRUKKING"
"CUST_RONIN_TAUNT_A": "RONINBELEDIGING 1"
"PLAYER_MORPH_CHEEKBONES_SIZE_TEXT": "FORMAAT JUKBEENDEREN"
"CUST_COLOR_CLOTHING_ORANGE_6": "ORANJE 6"
"CUST_COMP_EYE_MAKEUP_18": "GOTH NACHT"
"CUST_VARIANT_MIXED": "GEMENGD"
"CUST_ITEM_CF_RING_F_STUDRING": "RUWE DIAMANT"
"CUST_ITEM_CF_NLMF_LBDY_F_SKIRTHOLSTER": "STEAMPUNK CHIC"
"CUST_COMP_TEST_CHEEK_MAKEUP": "OPGEDUFT"
"CUST_ITEM_CM_PSI_WRST_M_WATCH": "SAINTS LUXEHORLOGE"
"CUST_ITEM_CF_PSE_LBDY_F_SHORTSHORTS": "STRAKKE KORTE BROEK"
"CUST_ITEM_LPA_M_SPACE_HELMET": "INTERGALACTISCHE HELM"
"PLAYER_MORPH_UPPER_EYELIDS_PITCH_TEXT": "HOOGTE BOVENSTE OOGLID"
"CUST_COLOR_CLOTHING_BLUES_7": "BLAUW 7"
