"Storye01_In_Crawl_02": "Główny składnik ludzkiej historii."
"Story10_Out_03_Cyrus": "Nie ma mowy o okupacji. Mamy pełne wsparcie burmistrza Reynoldsa."
"Story02_In_18_Phillipe": "Czy się to panu podoba, czy nie, nasza organizacja wkracza do Stilwater. Daję wam szansę opłacić życie swoimi aktywami. Moje panie?"
"Storye01_In_Crawl_01": "Podbój."
"CTO_Angel02_06_Angel": "Możesz stawić czoło Killbane'owi, ale trzeba jeszcze zrobić porządek z Luchadores. Wiesz, gdzie mnie szukać, jak będziesz potrzebować więcej treningu."
"Story13_In_05_Josh": "Zakazana miłość."
"Story01_In_16_Josh": "Bądź posłuszna, suko!"
"22_Choice_09_Player": "Nie chcę cię rozczarować, suko, ale Święci nie zajmują się terroryzmem na własnej ziemi."
"CTO_Angel01_01_Player_BM": "Cholera, czemu mieszkasz w takiej dziurze?"
"Story21_Zscene03_03_Zach": "Historia Angela De LaMuerte powtarza się, bo oto Killbane stracił maskę!"
"Story01_Zscene01_06_Josh": "Więc jaki jest plan B, wiercimy?"
"Story15_In_02_Player_BM": "Całkiem... przytulnie."
"Story09_Out_01_Killbane": "Co ci do łba strzeliło, Matt?"
"Story21_In_10_Bobby": "Dzisiaj dzieją się tu historyczne rzeczy, Zach! Po dyskusyjnej przegranej z Killbane'em przed laty Angel zniknął z powierzchni ziemi. Jeśli jesteś fanem Mordowni, to może być najlepszy wieczór twojego życia."
"Story20_In_07_Viola": "Killbane nie zgodzi się walczyć z Angelem."
"Story17_In_03_Player_BM": "Czemu nie? Będę wyglądać jak Cyrus - muszę tylko dodać pojebany charakter."
"Story14_In_09_Player_BM": "Gdzie oni są?"
"Story11_Out_09_Monica": "Zapewni pan bezpieczeństwo Birkowi albo znajdę kogoś, kto to zrobi. Rozumie pan?"
"Story17_Zscene01_01_Cyrus": "Kia, wracam na Thermopylae przesłuchać więźnia. Dopilnuj, żeby nikt inny się do niej nie zbliżał."
"Story16_Zscene01_06_Player_BM": "Nie szkodzi. W rzeczywistości jesteś tylko piczką z klawiaturą."
"Story16_In_06_Player_BM": "Do roboty."
"Story12_Out_01_Cyrus": "Sprawdźcie ciała."
"Story01_In_03_Josh": "Luzik - przecież sam nagrywam sceny kaskaderskie."
"Story17_Mid_05_Kia": "Musi pan się podpisać pod dwoma prototypami, nad którymi pracuję."
"Story17_In_07_Player_BM": "Tak, tobą i Pierce'em. Aresztuję was."
"Story16_Zscene01_02_Player_BM": "Łatwo ci się śmiać, bo schowałeś się jak cipa. Wyjdź!"
"Story07_Zscene03_01_Angel": "Nie jesteś jednym z brutali Lorena."
"Story16_In_02_Player_BM": "To bezpieczniejsze, niż jak do ciebie strzelają."
"SH_Decker_10_Oleg": "Sprytne..."
"Story08_Out_07_Killbane": "Wyluzuj. Jedna nam wystarczy."
"Story14_In_05_Killbane": "Przyjemność jest po mojej stronie, Jane... Proszę, mów mi Killbane."
"Story10_In_02_Viola": "Nie mieliśmy okazji porozmawiać, przecież jesteś eksperymentem naukowym."
"Story16_Zscene02_01_Matt": "Czekaj!"
"Story06_Zscene01_03_Oleg": "To ekspresowa winda do piwnicy... nie damy rady go złapać."
"Story09_Out_05_Killbane": "Przyłożymy się i skupimy. Nie ruszymy na nich z rozpędu, załatwimy ich montrealskim przekrętem."
"Story09_Out_04_Matt": "Skrewiłem. Co teraz?"
"Story24_Out_03_Player_BM": "Jak to szło?"
"Story09_Out_06_Killbane": "Tak... właśnie tak... Słuchaj..."
"SH_Morningstar02_05_Zimos": "Jeśli to darmowe porno dla wszystkich, wchodzę w to."
"Story08_Out_05_Kiki": "Nie bez powodu byłyśmy u Phillipe'a od myślenia. Nic tu po nas."
"Story02_In_26_Pilot": "Co się do cholery dzieje..."
"Genki_Zach03": "Przebijcie się przez Super Laboratorium Profesora Genki - to wspaniała zabawa i okazja na kasę!"
"SH_Luchadore_02_Angel": "Utrata maski, to dla Luchadora największa hańba. Nie mogę jej ukraść. Muszę na nią zasłużyć."
"Story10_Out_08_Cyrus": "Dziękuję za uwagę."
"Story10_In_11_Viola": "Co to jest...?"
"Story07_In_14_Shaundi": "Przekonamy się."
"Story07_In_13_Oleg": "Nie jesteście gotowi do walki z Syndykatem."
"Story01_In_23_Gat": "Pasuje mi."
"CTO_Zimos02_03_Player_BM": "Skoro przejmujemy ich interes, ten układ raczej pójdzie do piachu."
"Story01_Zscene02_06_Gat": "Daj spokój, nic mu nie będzie."
"Story21_In_08_Bobby": "Zaraz, o boże! Popatrz, to Angel de LaMuerte!"
"Story16_Out_08_Killbane": "Zawsze z chęcią dam ci referencje."
"Story15_In_08_Kinzie": "Nawet dużo więcej. Jeśli Matt podepnie Use-Net Deckerów do centralnej sieci energetycznej... uwierz, będzie źle."
"Story14_In_10_Kinzie": "Nie mam pojęcia, nadają z nieujawnionego miejsca."
"Story13_Out_06_Cyrus": "Gdyby było łatwo, nie zawracałbym ci głowy."
"SH_Morningstar01_03_Player_BM": "Stoi dwóch szczyli."
"CTO_Kinzie01_08_Kinzie": "Nie pomogę ci załatwić Deckerów, póki się nie dowiem, gdzie się chowają. Więc napisałam program śledzący położenie użytkownika, kiedy jest zalogowany."
"Story21_Zscene01_03_Bobby": "Zbiera kopy jak worek pełen martwych szczeniaków."
"Story01_Zscene02_01_Josh": "Możecie odwołać helikopter, znalazłem sposób, żeby otworzyć skarbiec!"
"Story21_Out_03_Zach": "Coś pięknego - wbrew oczekiwaniom Święci wciąż trzymają się na nogach!"
"Story19_In_26_Viola": "Odpuść sobie to fanbojstwo."
"Genki_Both05": "NIEETYCZNE!"
"22_Choice_07_Kia": "Nie chcę cię aresztować, to niczego nie rozwiąże. Ludzie muszą przejrzeć na oczy i dostrzec zagrożenie ze strony takich śmieci jak wy."
"Story20_Out_04_Player_BM": "Rany, nie pyskuj tyle, tylko załóż maskę."
"CTO_Pierce02_01_Player_BM": "To nie wygląda jak miejsce dla ciebie, Pierce."
"Story07_Zscene01_08_Player_BM": "Nie mamy czasu, Zimos! Wio!"
"Story17_Out_13_Kia": "Mogę mówić swobodnie?"
"Story17_Out_01_Player_BM": "To przejdzie do historii."
"Story16_Out_07_Killbane": "Matty."
"Story16_In_03_Kinzie": "Postrzał można przeżyć. Jeśli twój umysł dozna na fotelu zbyt dużego wstrząsu, nastąpi śmierć mózgu."
"Story09_In_04_Player_BM": "Niech cię o to głowa nie boli. Ruszajmy, chcę poznać nowe pracowniczki."
"Story07_In_10_Shaundi": "To, co zrobił z pogrzebem Johnny'ego... to było, kurwa, przegięcie."
"CTO_Kinzie02_02_Player_BM": "Dobrze wiedzieć..."
"CTO_Pierce02_06_Pierce": "...ale stawiam 10 kawałków, że w tym zajebiście wielkim wieżowcu."
"Story23_Out_13_Player_BM": "Fakt. A właśnie, będzie potrzebny nowy burmistrz... jak byś się czuł na publicznym stanowisku?"
"Story19_In_17_Oleg": "To metafora - chodzi oszalałe na punkcie sław, otępione przez media masy, tak?"
"Story19_In_12_Reynolds": "Viola mówi, że Święci są nową siłą w mieście. Jeśli tak, to chcę wejść w ten interes."
"SH_Morningstar01_05_Shaundi": "Włóżcie se po tamponie i do roboty."
"Story06_Zscene01_01_Oleg": "Tam jest biuro Lorena!"
"Story20_In_03_Shaundi": "Znaczy, poniżyć go?"
"Story19_In_22_Player": "Uprzątanie nieumarłych to nie całkiem nasza działka, ale spróbujemy."
"Story19_In_11_Reynolds": "Wybacz, kochanie."
"Story08_In_06_Player_BM": "On ma rację."
"Story01_In_18_Josh": "Nazywacie się gangsterami? Jesteście bandą ciot! Powinniśmy im wszystkim dopierdolić jak..."
"CTO_Kinzie02_06_Player_BM": "Wyjdziesz zaczerpnąć powietrza? Deckerzy rozwaleni."
"Story01_Zscene01_08_Josh": "Co?!"
"Story22_OutB_02_Cyrus": "Nie ruszać się!"
"Story19_In_21_Reynolds": "I co ty na to?"
"Story15_Out_01_Player_BM": "Więc jesteś gotowa, tak?"
"Story13_Out_01_Cyrus": "Kia, słyszysz mnie?"
"Story01_In_20_Player_BM": "To coś nowego."
"Story01_In_05_Shaundi": "Więc nie zgrywaj bohatera z filmów z Hong-Kongu."
"Story07_Zscene01_02_Player_BM": "Może poszukaj gościa z wielkim, kryształowym \"Z\" na plecach."
"Story23_Out_02_Newscaster": "Władze nie skomentowały jeszcze ataku, ale pojawiły się doniesienia..."
"Story20_In_10_Pierce": "Wyluzuj, w obcisłych gatkach będziesz wyglądać zajebiście."
"Story11_Out_10_Cyrus": "Tak jest."
"Story08_In_05_Pierce": "Shaundi, nie możemy być w żałobie do końca życia. Musisz w końcu wsiąść z powrotem na konia. Bez urazy, brachu."
"Genki_Bobby04": "Za zastrzelonego mężczyznę, kobietę czy tygrysa dostajecie kasę. Ale uwaga! Nie strzelajcie do pand, bo nikt tego nie lubi!"
"Story19_Out_02_Cyrus": "Pojawiły się... komplikacje, pani senator."
"Story19_In_07_Reynolds": "Viola - to jest ta młoda osoba, o której rozmawialiśmy?"
"Story08_Out_02_Viola": "Mają świetne rekomendacje."
"Story07_Zscene01_06_Player_BM": "Cholera..."
"Story07_Zscene01_03_Pierce": "Idź w chuj..."
"Story17_Out_09_Monica": "Proszę mnie informować, komandorze."
"Story15_In_12_Kinzie": "Czegoś takiego."
"Story10_In_15_Cyrus": "Kia, jaka jest sytuacja?"
"Story02_In_13_Phillipe": "Oczywiście."
"Story02_In_03_Gat": "Co się stało?"
"Story07_Zscene02_03_Pierce": "Człowieku, teraz przez ciebie o tym myślę!"
"Story16_In_05_Kinzie": "Wiem. To co, zaczynamy?"
"SH_Morningstar02_11_Zimos": "Powiedzmy. Wystawię cię na aukcję jako niewolnika seksualnego."
"Story08_Out_06_Matt": "Chryste, Killbane...!"
"Story07_In_11_Oleg": "Nie obchodzą go reguły walki."
"Story02_In_23_Phillipe": "Wypraszam sobie, jestem Belgiem!"
"Story02_In_10_Kiki": "Pozwolicie...?"
"Story07_In_18_Shaundi": "Kim oni do cholery są?"
"CTO_Kinzie01_07_Player_BM": "Nie wytrzymam z tobą, Kinzie."
"Story23_Zscene01_02_Player_BM": "Ładne lądowanie, Cyrus."
"Story01_Zscene01_02_Shaundi": "Ugh..."
"Story23_In_01_Player_BM": "Straciliśmy wielu przyjaciół, dochodząc do tego, co mamy, i trudno się z tym pogodzić. Ale przynajmniej wiemy, że gdziekolwiek Gat teraz jest, ma tam przyjaciół, z którymi daje wycisk świętemu Piotrowi."
"Story22_In_07_Player_BM": "Co się dzieje, do cholery?"
"Story15_In_13_Kinzie": "To jeden z najpotężniejszych uczących się komputerów w Ameryce Północnej... STAG taki ma."
"Story22_Zscene01_07_Player": "Bzdura."
"CTO_Pierce01_04_Player_BM": "No i co to ma być?"
"CTO_Pierce01_01_Pierce": "Popatrz na to."
"Story24_Out_07_Asst_Director": "Wszyscy od początku!"
"Story22_In_04_Player_BM": "Co to...?"
"Story20_In_08_Player_BM": "Bardziej boi się Angela niż mnie?"
"CTO_Kinzie01_03_Player_BM": "Aha. A masz coś na Deckerów?"
"Story22_In_03_Player_BM": "Chuj z tym, nie będziemy już dziwkami korporacji. Więc kto wyg..."
"Story19_In_03_Player": "Mówisz poważnie?"
"Story17_Out_04_Shaundi": "Co ze STAG?"
"SH_Decker_01_Kinzie": "Wyjaśnię jeszcze raz, bardzo powoli:"
"Story13_Out_07_Kia": "Zrozumiałam, proszę pana."
"Story11_Out_01_Josh": "Nazywam się Joshua Birk. W telewizji gram Nyte Blayde'a, bardzo przystojnego, ale nierozumianego wampira, który co tydzień ryzykuje życiem dla światowego bezpieczeństwa."
"Story07_Out_04_Player_BM": "Syndykat musi odpowiedzieć za to, co zrobił... Tym razem my zaatakujemy ich."
"Story19_In_25_Player": "O boże, ten koleś jest zajebisty!"
"Story17_Out_12_Cyrus": "Znakomicie. Dziękuję, Kia."
"Story10_In_18_Kia": "Tak jest, komandorze."
"Story10_In_06_Viola": "Johnny nie żyje, bo myślał, że da radę wszystko zrobić sam."
"Story03_Out_07_Shaundi": "Martwisz się o nieruchomości? Mamy spluwy, użyjmy ich."
"Story21_In_09_Zach": "Angel De LaMuerte: druga połowa Bladych Jeźdźców, czasami uważany za herolda Chodzącej Apokalipsy, najmłodszy zwycięzca Pucharu Super K w historii jest tutaj, w Steelport Arena!"
"Story20_In_09_Shaundi": "Bez obrazy, ale z ciebie można się raczej śmiać."
"Story20_In_01_Player_BM": "Dobra, dość walenia w chuja, chcę dorwać Killbane'a."
"Story19_In_23_Player": "Nie boisz się, że wkurzysz STAG?"
"SH_Decker_05_Player_BM": "Jakiego fotela?"
"Story07_Out_06_Killbane": "Barbarzyńcy stoją u bram - potrzebujemy generała, nie ambasadora!"
"Story21_Zscene04_01_Player_BM": "Chcesz litości? Poddaj walkę."
"Story19_In_05_Player": "Słuchaj, kochana - lecę w chuja z kim chcę."
"SH_Decker_07_Kinzie": "Deckerzy taki mają."
"Story15_In_11_Player_BM": "Czego byś potrzebowała?"
"Story08_In_02_Pierce": "Jeśli tak to ująć, to faktycznie nie brzmi najlepiej."
"Story07_Out_09_Player_BM": "Ponieważ nie znam miasta, mam ze sobą parę osób, które je znają. To Kinzie, Zimos i Angel..."
"Story03_Out_05_Shaundi": "Pierdol się, robię to dla Johnny'ego."
"Story02_In_24_Gat": "To zrób se, kurwa, gofra. Nic tu po nas."
"Story22_Zscene01_01_Player": "Ja pierdolę."
"CTO_Kinzie01_09_Player_BM": "To... zajebiście?"
"CTO_Pierce01_07_Pierce": "Więc mnie lepiej osłaniaj."
"Story01_Zscene01_03_Gat": "Za cholerę go nie otworzymy. Gotowi na plan B?"
"Story22_OutB_13_Player_BM": "Słuchajcie, kiedy zaczęliśmy namierzać tego sukinsyna, powiedzieliśmy, że będziemy go gonić aż na koniec świata... I tak było."
"Story15_In_16_Player_BM": "Zaraz, ten gówniarz to Matt?"
"Story07_Zscene01_04_Pierce": "A niech mnie. Rzeczywiście."
"Story22_OutB_10_Player_BM": "Ja też cię kocham, Cyrus."
"Story20_In_06_Player_BM": "To raczej coś dla Angela."
"Story15_In_15_Kinzie": "Cholera..."
"Story14_In_13_Player_BM": "Robi się."
"Story01_In_07_Player_BM": "Nie bój, to będzie prawdziwa akcja."
"Story22_OutB_11_Pierce": "To co teraz, wracamy do interesów w Stilwater?"
"Story22_OutB_06_Cyrus": "Jaja sobie robisz, paniusiu?"
"Story20_Out_03_Killbane": "Najlepszymi? Być najlepszym to pokonać Swaya Boga-Pająka na rusztowaniu w Tijuanie. Być najlepszym to obronić tytuł mistrza świata 13 razy jednej nocy. Być najlepszym to wygrać walkę do ostatniego stojącego z dwiema złamanymi nogami. Uwierz, mały Ikarusie, lecisz za blisko słońca."
"Story17_Out_14_Kia": "Najwyższy czas, żebyśmy zdjęli rękawiczki."
"Story10_In_12_Player_BM": "Nic dobrego, chodź!"
"CTO_Kinzie02_09_Kinzie": "Zrobiliśmy taki bajzel, że możesz brać się za Matta Millera. Ale jak chcesz się pozbyć Deckerów, tak na dobre, to czeka cię kupa roboty."
"Story19_In_19_Player": "Opowiem ci o tym później."
"Story12_In_06_Kid": "Możesz to podpisać?"
"Story07_In_06_Pierce": "Kimkolwiek są, unoszą się całkiem nieźle."
"Story06_Out02_01_Player_BM": "Musimy coś zrobić z tym różem."
"Story03_Out_01_Shaundi": "Co teraz?"
"Genki_Zach07": "Oczywiście jeśli myślicie, że to będzie łatwe, to nie znacie Genki!"
"Story01_Zscene04_01_Player_BM": "O cholera."
"Story10_Out_06_Reporter_03": "Nie o to mi..."
"SH_Morningstar02_08_Player_BM": "Bardzo dyskretne."
"Story05_In_02_Player_BM": "Jakiś palant siedzi w moim basenie."
"Story06_Zscene01_04_Player_BM": "Chuja tam."
"Story23_Out_10_Pierce": "Nieźle. Możesz być pogodynką."
"Story23_In_05_Kinzie": "O mój boże."
"Story22_Zscene01_06_Killbane": "Nikt nie będzie mnie pamiętał? Z ciebie był zwykły klaun, który sprzedawał napoje energetyczne i pudełka na lunch. Nie obchodziła cię publika, tylko wypłata. Ja to zmieniłem."
"Story16_Out_09_Matt": "Boże!"
"Story22_OutB_08_Monica": "Mogę odpowiedzieć na wszelkie pytania..."
"Story09_Out_02_Matt": "Myślałem, że szkoda będzie stracić wszystkie dziewczyny."
"SH_Morningstar02_06_Player_BM": "Masz coś dla mnie?"
"Genki_Zach09": "Powodzenia..."
"CTO_Zimos01_05_Player_BM": "W porządku."
"Story17_Out_15_Cyrus": "Dwa słowa, Kia. Szok i przerażenie."
"Story13_In_11_Player_BM": "Dobra, ruszamy na polowanie."
"Story07_Zscene02_07_Kinzie": "Znalazłam gościa, o którym mówiłam..."
"Story19_Out_06_Cyrus": "Zombie i Monica Hughes?"
"Story17_Out_06_Cyrus": "Wiedziała pani, że w końcu dojdzie do stanu wojennego, prawda?"
"Story16_In_01_Pierce": "To co, bierzesz się za rozpierdalanie wirtualnej rzeczywistości?"
"Story15_In_17_Matt": "Ten gówniarz to cybernetyczny guru, który dopiero co rozwalił ci śmigłowiec. Dziękówa!"
"Story12_In_10_Player_BM": "Jak znajdziemy Birka? Frajer może być wszędzie."
"CTO_Zimos01_01_Player_BM": "Hej, Zimos..."
"Story13_Zscene01_01_Cyrus": "Poddajcie się. Obstawiliśmy teren."
"Story22_In_02_Pierce": "Legalny Lee się odezwał. Studio chce cię zobaczyć w castingu do \"Gangsterów w kosmosie\"."
"Story21_Out_06_Killbane": "To moja pieprzona reputacja!"
"Story17_Mid_09_Pierce": "Co jest, kurwa!"
"Story03_Out_03_Shaundi": "Co? Nic z tego - ja też w tym siedzę."
"CTO_Angel02_01_Player_BM": "Tygrys, kurwa?"
"Story10_Out_02_Reporter_01": "Ile czasu STAG będzie okupować Steelport?"
"Story10_In_10_Oleg": "Zawsze zachowuję się jak dżentelmen."
"Story02_In_33_Gat": "Szczegóły, szczegóły - osłaniaj szefa! Idźcie, poradzę sobie!"
"Genki_Bobby06": "Po zebraniu odpowiedniej ilości pieniędzy, drzwi laboratorium zostaną otwarte i będziecie wolni."
"Story22_Zscene01_04_Killbane": "Ach nie nie... Nie tak spisano tę książkę. To już koniec tradycji Świętych. I to dość skromny i cichy koniec."
"Story21_Zscene01_06_Bobby": "O boże, piła mechaniczna!"
"Story21_Out_07_Killbane": "To moje miasto! Jestem jego Cezarem!"
"CTO_Angel02_05_Player_BM": "Popierdoliło cię?"
"Story02_Zscene01_02_Gat": "Dobra, spotkamy się w Stil..."
"Story13_Out_03_Cyrus": "Niezupełnie. Święci wciąż grasują. Prześlę ci dane..."
"Story22_Zscene01_09_Player": "Z przyjemnością cię przymknę."
"Story21_Zscene02_01_Player_BM": "Gotów na zbliżenie?"
"Story01_Zscene02_03_Shaundi": "Josh... chcesz nas wpakować za kratki?"
"Story24_Out_06_Sci_Fi_Killbane": "Następnym razem ci się uda."
"Story14_In_11_Shaundi": "To je, kurwa, ujawnij."
"Story11_In_03_Pierce": "Cholera!"
"Story24_Out_10_Sound_Guy": "Dźwięk!"
"Story23_Out_06_Player_BM": "Kinzie, jesteś w kabinie?"
"SH_Luchadore_01_Player_BM": "Czemu tu jesteśmy?"
"Story11_In_05_Pierce": "To jeszcze nie koniec. Co jest grane?"
"SH_Morningstar02_03_Monica": "Inicjatywa STAG otwiera nowy rozdział w walce o odzyskanie amerykańskich ulic!"
"Story02_In_29_Gat": "Ilu ich jest, trzech na krzyż? Dam sobie radę."
"Story23_Out_16_Jane": "Nawet w miejscu dobrze zaznajomionym z przemocą dzisiejsza napaść na miasto zapisuje się na najczarniejszych kartach koszmarnej historii Steelport."
"Story23_Out_05_Player_BM": "Przepraszam..."
"Story20_Out_01_Killbane": "Panie i panowie, Rzeźnik ze Stilwater zaszczycił nas swoją obecnością."
"Story14_In_08_Anna": "Rozumiemy."
"Story06_Out02_02_Oleg": "Wolisz bardziej męski odcień, na przykład fiolet?"
"Genki_Bobby08": "Aha, jeszcze jedno. Tu lecimy bez przerwy na odpoczynek dla słabeuszy. Jeżeli chcesz wytrwać w grze, musisz strzelać do celów oznaczonych jako pierwsza pomoc."
"SH_Decker_08_Oleg": "Niemożliwe. Jak zamaskowaliby sygnał?"
"SH_Morningstar02_13_Zimos": "Nie psiocz mi teraz i wsiadaj do wozu."
"Story07_In_07_Oleg": "To zbiry Killbane'a."
"CTO_Kinzie02_10_Player_BM": "Dobra, odezwę się, jak będzie potrzebna twoja pomoc."
"Story16_Zscene02_05_Player_BM": "Mało konkretów, Matt, postaraj się bardziej."
"Story23_Out_01_Player_BM": "Kinzie, zbierz wszystkich Świętych, jakich znajdziesz... Jedziemy na wycieczkę."
"Story22_OutA_03_Pierce": "Warto było?"
"Story17_Out_03_Viola": "Teraz możemy skupić się na Killbanie."
"SH_Decker_09_Kinzie": "Trzymają go tutaj."
"Story10_In_17_Cyrus": "Przyjąłem. Odezwij się, kiedy zabezpieczycie teren."
"Story08_Out_04_Kiki": "Powiedz mi coś, Matt. A ty miałeś jakiś plan? Może ty, Eddie?"
"Story08_In_04_Shaundi": "Przysięgam na boga, że ci to wepchnę do gardła."
"Story07_Out_08_Killbane": "Jak mnie nazwałaś?"
"Story14_Out_04_Player_BM": "Niby co, nie mam, kurwa, pojęcia!"
"Story11_Out_06_Cyrus": "Wojny wygrywa się szokiem i przerażeniem. Proszę dać upoważnienie Daedalusowi, a będzie po wszystkim."
"Story07_In_17_Monica": "Dasz wiarę? Na moście imienia mojego męża! Nie, nie uspokoję się. Wracam na Kapitol. Zorganizuj sesję nadzwyczajną. Cholera - to wojna!"
"Story01_Zscene02_05_Shaundi": "Mam go gonić?"
"Story14_Out_07_Player_BM": "Wiem, wiem, to nie twoja wina. Coś dziwnego się stało..."
"Story14_Out_03_Shaundi": "Cholera! Co ty wyrabiasz!"
"Story05_Out_02_Killbane": "Nie ma się czym przejmować."
"22_Choice_04_Player": "Angel, zaczekaj, aż będę na miejscu... cholera..."
"Story03_Zscene01_01_Pierce": "...uwielbiam efektowne wejścia."
"Story23_Out_07_Kinzie": "Wszystko gotowe."
"Story19_Out_07_Cyrus": "Cholera."
"Story17_Mid_01_Pierce": "Następnym razem ty, kurwa, będziesz więźniem."
"Story10_In_13_Viola": "Cholera!"
"Story01_In_13_Gat": "Birk!"
"Story08_In_10_Pierce": "Co jest, mała?"
"CTO_Kinzie02_07_Kinzie": "Jasne, zmniejszę czujność i zaraz mnie wkręcą tak, jakbym sprzedawała tajemnice Mossadowi i dorabiała jako domina."
"SH_Morningstar02_07_Zimos": "Załatwiłem ci wejście."
"CTO_Kinzie02_01_Kinzie": "Musisz bardziej uważać. Widziałam cię z odległości dwóch przecznic. W całym mieście pełno kamer monitoringu."
"Story21_Out_08_Killbane": "...i mogę grać na skrzypcach, gdy płonie..."
"Story13_Out_04_Cyrus": "Potrzebuję haka na Świętych. Zatrzymajcie obiekt w celu przesłuchania."
"Story13_In_09_Oleg": "Pozwól, przyjacielu."
"Story07_Out_02_Matt": "Viola i Kiki były prawymi rękami Lorena. Chyba one powinny..."
"22_Choice_02_Player": "Angel..."
"Storye01_In_Crawl_10": "To tylko kwestia czasu, zanim któraś z nich wypowie Świętym wojnę."
"Story17_Out_05_Pierce": "Właśnie wysadziliśmy im lotniskowiec... co jeszcze mogą na nas mieć?"
"Story07_Out_11_Killbane": "Coś. Cokolwiek! Zanim zacznę się zastanawiać, po co was trzymam."
"Story05_In_01_Pierce": "I co myślisz?"
"CTO_Zimos01_08_Zimos": "Spoko, pomogę ci. Znam każdy rewir obstawiany przez Jutrzenkę. Zbudujemy swoją stajnie, a jednocześnie zaszkodzimy siostrom DeWynter."
"Story01_Zscene01_09_Josh": "Do dupy, stary!"
"Story15_In_01_Kinzie": "Możecie włączyć światło."
"Story13_In_10_Pierce": "Zrobiłeś to celowo."
"Story12_In_08_Pierce": "To komiks z Johnnym... Sprzedał prawa do wizerunku Ultorowi, teraz kręcą jego podstawie film."
"Story02_In_05_Gat": "Z nami co się stało. Birk ma rację - zamiast fiutów mamy cipy. Poważnie... Filmy? Reklamy? Kiedyś Święci to było coś więcej niż samoopalacz i rzygliwy napój energetyczny."
"Story01_In_09_Gat": "A jak. Kto by nie chciał być Johnnym Gatem?"
"Genki_Zach01": "Dzień dobry, Steelport. Witajcie w Superetycznym Wystrzałowym Reality Show Profesora Genki!"
"Story01_Zscene02_07_Shaundi": "Weźmy helikopter i wyciągnijmy stąd to cudeńko."
"Story22_Zscene01_08_Killbane": "Wspomnisz moje słowa - kiedy zacisnę ci dłonie na gardle, ostatnim tchem nie będziesz błagać Boga o łaskę ani wyznawać miłości swej rodzinie. Wyzioniesz ducha ze słowami \"Dziękuję ci, Killbane\" na ustach."
"Story21_Zscene01_01_Bobby": "O boże! Angel wyleciał z ringu!"
"Story16_Zscene02_02_Matt": "Mogę oczyścić twoje nazwisko, udowodnić, że zniszczenie mostu to nie twoja robota."
"Story01_In_19_Josh": "Kurwa!"
"Story01_In_27_Shaundi": "Powiedz \"obślizgły\"!"
"Story02_Zscene01_03_Shaundi": "Johnny..."
"Story22_OutB_07_Monica": "Wprowadziłeś stan wojenny i zburzyłeś pół miasta. Święci właśnie ocalili cenny monument. Jak, kurwa, myślisz, po czyjej stronie staną ludzie?"
"Story15_In_14_Matt": "Dziękuję za podpowiedź, agentko Kensington."
"SH_Morningstar02_10_Player_BM": "I co, mam udawać ekscentrycznego milionera?"
"Story13_In_07_Player_BM": "Shaundi, bądź teraz grzeczna."
"Story10_In_01_Oleg": "Nie sądziłem, że jesteś mecenasem sztuki."
"Story07_In_15_Player_BM": "Shaundi, wyluzuj. Dobra, byku - co masz?"
"Story07_In_05_Killbane": "Czas na główną atrakcję, chłopaki."
"Story02_In_04_Shaundi": "Aresztowali nas."
"22_Choice_10_Kia": "Zobaczymy, ile osób w to uwierzy, jeśli w szczątkach zostaną znalezione Shaundi i Viola."
"Story21_Zscene04_03_Zach": "Bywało, że Chodząca Apokalipsa nie poddawał się mimo złamanych rąk, ale Rzeźnik ze Stilwater dokonał niemożliwego!"
"Story16_Zscene02_04_Matt": "Mam cały świat dosłownie na wyciągnięcie palców."
"Story19_In_10_Player": "Należę do pana fanklubu."
"SH_Decker_12_Kinzie": "Potrzebuję tego fotela, żeby powstrzymać Deckerów."
"Story07_In_12_Player_BM": "Żadnych reguł? Pasuje mi to."
"Story19_Out_03_Monica": "Komplikacje?! Nie interesują mnie komplikacje, tylko wyniki!"
"Story11_Out_05_Monica": "Żeby wygrać wojnę, trzeba zawładnąć sercami i umysłami."
"Story10_In_09_Player_BM": "Będziesz grzeczny?"
"Story02_In_11_Phillipe": "Zdejmijcie je."
"Story01_In_17_Shaundi": "Ej, nie bądź fiutem."
"CTO_Kinzie01_06_Kinzie": "Powerlevelowałam."
"Story19_Out_05_Monica": "Nawet gdyby Kongres się zgodził, Departament Bezpieczeństwa Krajowego nigdy na to nie pozwoli! To się wymyka spod kontroli. Przyjeżdżam do Steelport!"
"Story17_Out_02_Pierce": "Mogliśmy przesadzić."
"Story21_Zscene03_04_Bobby": "Zobaczyliśmy twarz Chodzącej Apokalipsy i, prawdę mówiąc, jest to człowiek po wypadku - wypadku włosów!"
"Story01_Zscene02_04_Josh": "Co? Nie chcę być dziwką jakiegoś kolesia!"
"Story01_Zscene01_04_Player_BM": "Josh, chodź tu..."
"Story16_Out_05_Killbane": "Fakt, że praca u mnie jest wymagająca. Doceniam, że podzieliłeś się swoimi obawami. Viola i Kiki załatwiły sprawę swojego... odejścia tak, że aż chciało się kogoś zabić, rozumiesz?"
"Story11_In_01_Player_BM": "Zbierajcie się, musimy ruszać."
"Story10_In_07_Player_BM": "A ty co będziesz z tego miała?"
"Story02_Zscene01_01_Shaundi": "Johnny, zaraz skaczemy!"
"Story11_In_06_Player_BM": "Tu nie jest bezpiecznie. Zróbcie tu porządek. Ja zyskam dla was trochę czasu."
