"CUST_ITEM_CF_HAIR_MED": "セミロング"
"CUST_VARIANT_DUAL_STRIPES_SMALL": "2重ストライプスモール"
"CUST_ITEM_CM_PSG_UBDY_M_TRACKJACKET": "トラックジャケット"
"CUST_INSULT_K": "ネイチャーボーイ"
"CUST_COLOR_CLOTHING_VIOLET-RED_5": "バイオレットレッド5"
"CUST_COLOR_CLOTHING_BROWNS_4": "ブラウン4"
"CUST_COMP_MUSTACHE_13": "ペインビアード"
"COMPONENT_DECAL_6": "デカール6"
"CUST_VARIANT_3COLOR_THIN": "3色（薄）"
"CUST_VARIANT_GRADIENT": "傾斜"
"CUST_SKIN_BLACK_03": "黒人3"
"PLAYER_MORPH_CHEEKBONES_DEPTH_TEXT": "頬骨の出っ張り"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_9": "イエローオレンジ9"
"CUST_TATTOO_FACE_3": "トライバル"
"PAINT_AND_TRIM": "ペイントと装飾"
"CUST_VARIANT_FRONT_STRIPES_SMALL": "フロントストライプスモール"
"CUST_WEAR_TATTOO_AZTEC_BUG": "アステカの昆虫"
"CUST_ITEM_CM_DLC_FOOT_M_PLATFORMS": "ズィーモスシューズ"
"CUST_ITEM_CF_RING_F_BIGHEART": "ビッグハートセット"
"CUST_EYESHADOW": "アイシャドウ"
"CUSTOM_WALK_13": "悪党8"
"HAIR_SALON_HAIR_LENGTH": "髪の長さ"
"CUST_COMP_FACE_MAKEUP_4": "バトルペイント"
"CUST_COLOR_BRIGHT_YELLOW": "明るいイエロー"
"CUST_VARIANT_21_DEFAULT": "変形21"
"CUST_SKIN_HISPANIC_04": "ラテンアメリカ系4"
"PLAYER_CREATION_PRESET_ASIAN": "アジア系"
"CUST_TATTOO_RHAND_4": "R I T E"
"LOGO_DART": "DART BOARD"
"CUST_ITEM_CF_DLC_HAND_F_BCGLOVE": "ブラッディ・キャノネスグローブ"
"CUST_RONIN_COMPLIMENT_C": "ローニン敬意3"
"CUST_CAT_HAIR_COLOR_EYEBROWS": "眉の色"
"CUST_COMP_EYE_MAKEUP_10": "ハードライナー"
"SLOT_BED_MODS": "荷台改造"
"CUST_VARIANT_SKIRTB": "スタイル2"
"CUST_VARIANT_ZEBRA_1": "ゼブラ1"
"CUST_ITEM_CM_FPIC_SETC": "ダブルピアス"
"PLAYER_MORPH_EYE_STYLE_TEXT": "目の形"
"FACIAL_EXPRESSION_SCARED": "怖がり"
"PLAYER_MORPH_CROWN_HEIGHT_TEXT": "頭頂部の高さ"
"CUST_MENU_TOTAL_LIMIT_REACHED": "クローゼットのアイテム最大所持数に達しました"
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_2": "照準が速くなり、使用回数が増えます"
"CUST_TATTOO_NECK_4": "ダイヤモンド"
"CUST_COMP_BODY_MASK_4": "労働焼け"
"VEHICLE_COLOR_TINT_30": "スモーク30%%"
"CUST_ITEM_IMPRESSIONS_FEMALE_O": "アーバンサファリセット"
"CUST_ITEM_CM_IMPE_LBDY_M_DRESSPANTS": "マイアミリッチマンスラックス"
"FACIAL_EXPRESSION_QUIZZICAL": "いぶかしげ"
"PLAYER_MORPH_CHIN_TEXT": "顎"
"LOGO_PMS": "PI MU SIGMA"
"CUST_VARIANT_THIN": "薄い"
"CUST_ITEM_COWBOY_HAT_1": "カウボーイハット"
"RIM_SET_006": "リムセット6"
"COMPONENT_OPTION_4": "オプション4"
"COLOR_SLOT_RIM": "リム"
"CUST_VARIANT_KNIT": "ニット"
"CUST_ITEM_CM_CNC_UBDY_M_WHTLOGOA": "CROOKS & CASTLES Tシャツ D"
"CUSTOM_WALK_7": "悪党3"
"CUST_TATTOO_FACE_7": "スネーク"
"VEHICLE_COLOR_SILVER": "シルバー"
"CUST_SKIN_PURPLE_4": "プリンセスパープル"
"CUSTOM_WALK_FEMALE_02": "女性デフォルト2"
"CUSTOM_WALK_17": "悪党12"
"CUST_COLOR_CLOTHING_VIOLET-RED_1": "バイオレットレッド1"
"CUST_COMP_MUSTACHE_17": "チャック"
"OPTION_37": "オプション37"
"COMPONENT_DECAL_2": "デカール2"
"CUST_VARIANT_SLEEVES": "プレイン袖"
"PLAYER_MORPH_EYE_FOLDS_ELEVATION_TEXT": "まぶたのしわの高さ"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_8": "イエローグリーン8"
"CUST_COMP_EYES_DARK_BROWN": "ダークブラウン"
"LOGO_PHEASANT": "PHEASANT HUNTER"
"CUST_VARIANT_ULTOR2": "アルター2"
"VEHICLE_PAINT_LICENSE_PLATES": "ナンバープレート"
"HAIR_COLOR_GREEN_MATTE": "グリーン（マット）"
"CUST_VARIANT_LARGE_STRIPES": "ストライプラージ"
"VEHICLE_COLOR_ATLANTIC_TEAL": "アトランティック・ティール"
"CUST_WEAR_TUCKED": "裾入れ"
"CUST_ITEM_IMPRESSIONS_FEMALE_K": "IMPRESSIONS（女性用）K"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOC": "CROOKS & CASTLES Tシャツ C"
"CUST_MORPH_CAT_JAW": "顎骨"
"CUST_COMP_EYE_MAKEUP_14": "スフィンクス"
"SLOT_MIRRORS": "ミラー"
"HAIR_COLOR_YELLOW_MATTE": "イエロー（マット）"
"CUST_WEAR_UNZIPPED_HOOD_DOWN": "ジッパー開 フードダウン"
"CUST_ITEM_CF_NLMF_FOOT_F_VICTORIANBOOTS": "スチームパンクビクトリアンブーツ"
"STORE_WEAPON_NAVIGATE": "スロット選択"
"SK03": "肌03"
"CUST_VARIANT_SMALL_FLOWERS": "フラワースモール"
"CUST_WEAR_BUTTONED_HOOD_DOWN": "ボタン留フードダウン"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRTLOWV": "ヒルズジャケット&Tシャツ"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO": "ストラテジストコートコンボ"
"CUSTOM_WALK_3": "悪党2"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_2": "ミサイルの数を増やします"
"CUST_TATTOO_LOWBACK_4": "カーブ（高）"
"CUST_COLOR_FLESH_4": "ベージュ4"
"CUST_WEAR_HALF OPEN": "ハーフオープン"
"CUST_ITEM_CM_UBDY_M_THEROW": "セインツメンバー"
"CUST_ITEM_CM_HAIR_SHORT": "エグゼクティブ"
"CUST_ITEM_MINER_HAT": "マーダーブロウルマスク"
"PLAYER_MORPH_FACE_DEPTH_TEXT": "顔の奥行き"
"CUST_TATTOO_UPPBACK_6": "鳥"
"CUST_COMP_FACE_MOLE_8": "ホクロ8"
"CUST_VARIANT_TWO_COLOR": "2色"
"CUST_VARIANT_LEATHERLEATHER": "エナメル革"
"CUST_COLOR_WHITE": "ホワイト"
"CUST_ITEM_CM_PSJ_EYES_M_SHTRGLS": "ラッパーサングラス"
"CUST_ITEM_CF_PSE_UBDY_F_GFXJERSEYCOMBO": "ウィメンズスポーツジャージ"
"PLAYER_MORPH_BROW_ELEVATION_TEXT": "眉の出っ張り"
"CUST_COMP_EYE_MAKEUP_3": "パッチ（右）"
"RIM_188": "C-X 502"
"SLOT_DECAL_10": "ステッカー10"
"BRIGHT_GREEN": "明るいグリーン"
"LOGO_NUMBER1": "NUMBER 1"
"LOGO_FEEDSUCK": "FEED DOGS SUCK"
"CUST_ITEM_CF_PSG_LWRST_F_SBAND": "スウェットバンド"
"HAIR_CAT_BALD": "スキンヘッド"
"VEHICLE_COLOR_JET_BLACK": "ジェット・ブラック"
"CUST_VARIANT_CLEAR": "クリア"
"CUST_VARIANT_BAND": "縞模様"
"CUST_ITEM_CF_IMPO_LBDY_F_SHORTS": "アーバンサファリショーツ"
"CUST_ITEM_CF_NLMD_LBDY_F_PANTS": "スカルバックルジーンズ"
"SURGEON_CAT_MORPHS": "形状"
"CUST_COLOR_CLOTHING_GREYS_1": "グレー1"
"VEHICLE_COLOR_YELLOW_DARK_TINT": "ダークスモーク（イエロー）"
"CUST_WEAR_LOW_LEFT_ROLLED_RIGHT_ZIPPED": "左ロールアップ（低）"
"CUST_WEAR_FINGER_LR": "左薬指"
"CUST_TATTOO_RIGHT_SHOULDER": "右肩"
"CUST_TATTOO_LCALF_3": "フィッシュ"
"LOGO_PEACE": "PEACE"
"CUST_VARIANT_WIDOWS_PEAK": "剃り込み"
"CUST_VARIANT_MATERIAL_9": "CUST_VARIANT_MATERIAL#9"
"CUST_ITEM_FEMALE_NLM_EARRINGS_1": "フラワーピアス"
"PLAYER_CREATION_FIGURE_OVERWEIGHT": "太り気味"
"PLAYER_MORPH_CROWN_LENGTH_TEXT": "頭頂部の長さ"
"CUST_INSULT_O": "コスプレ"
"CUST_MORPH_CAT_CHIN": "顎"
"PLAYER_MORPH_CAUCASIAN_TEXT": "白人"
"STORE_WEAPON_OWNED_NOT_EQUIPPED": "{0} レベル{1}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_3": "連射速度、攻撃力を上げます"
"RIM_STANDARD": "スタンダード"
"CUST_VARIANT_SMALL_3_STRIPES": "ストライプ（薄）"
"CUSTOM_WALK_FEMALE_5": "女性ヒップホップ"
"CLOTHES_IMPRESS": "IMPRESSIONS"
"CUST_TATTOO_RHAND_8": "タトゥーR8"
"CUST_TATTOO_CHEST_3": "オクトパス"
"PAINT_TRIM_AND_RIMS": "ペイント 装飾とリム"
"RIMS_AND_TRIM": "リムと装飾"
"CUST_ITEM_CM_LPE_PACK_M_MBACKPACK": "ストームソルジャーパック"
"FACIAL_EXPRESSION_INSANE": "狂気"
"CUST_COMP_FACE_MAKEUP_8": "ジャングルキャット"
"LOGO_BAT_1": "BAT 1"
"CUST_VARIANT_BELT": "プレインベルト"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_5": "フープピアス（小）"
"CUST_ITEM_CF_IMPQ_WRST_F_LATEXBRACE": "クールラバーブレスレット"
"CUST_COMPLIMENT_KING": "キング"
"CUST_MENU_MOVEMENT": "性格"
"CANT_WEAR_BELTS": "ベルトは特定のズボンとセットでしか着用できません"
"PLAYER_CREATION_MENU_4": "髪の毛"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_5": "イエローオレンジ5"
"CUST_TATTOO_LHAND_7": "タトゥーL7"
"CUST_COLOR_INDIGO_3": "インディゴ3"
"CUST_COLOR_PURPLE_2": "パープル2"
"CUST_ITEM_TOILET": "トイレ"
"CUST_ITEM_LEATHER_LACE_FEMALE_S": "ダークメイデン"
"CUST_ITEM_CM_PSF_LBDY_M_BSHORTS": "バスケットボールショーツ"
"PLAYER_MORPH_SATURATION_TEXT": "肌の色"
"CUSTOMIZATION_TITLE": "プレイヤーのカスタマイズ"
"CUST_COLOR_CLOTHING_VIOLET-RED_9": "バイオレットレッド9"
"CUST_COLOR_CLOTHING_BROWNS_8": "ブラウン8"
"VEHICLE_COLOR_BRETON_GREEN": "ブレトン・グリーン"
"LOGO_FUZZ": "FUZZ"
"CUST_VARIANT_CAMOUFLAGE": "迷彩柄"
"CUST_ITEM_CF_HAIR_CORNROWS_1": "コーンロースキンフィット"
"CUST_ITEM_CM_NLMA_HAT_M_SPHAT": "リンカーンハット"
"CUST_SKIN_GOLD": "ゴールド"
"CUST_COMP_MALE_EYEBROWS_5": "エキゾチック"
"COMPONENT_OPTION_8": "オプション8"
"HAIR_COLOR_ORANGE_MATTE": "オレンジ（マット）"
"LOGO_RUSTY_S_NEEDLE_2": "RUSTY'S NEEDLE 2"
"CUST_WEAR_UNBUTTONED_HOOD_UP": "ボタン開 フードアップ"
"CUST_ITEM_CM_IMPE_HAT_M_PAN_FEDORA": "マイアミハット"
"CUST_ITEM_CF_LLK_FOOT_F_LATEXBOOTS": "ホットブーツ"
"CUST_ITEM_CM_LPG_MASK_M_MASKAPE": "モンキーマスク"
"PLAYER_OLD_TEXT": "高齢"
"PLAYER_MORPH_CHIN_CREASE_TEXT": "顎のしわ"
"PLAYER_MORPH_BROW_HEIGHT_TEXT": "眉の高さ"
"CUST_TATTOO_NECK_8": "スワン"
"HAIR_COLOR_BLACK_MATTE": "ブラック（マット）"
"LOGO_NUMBER_13": "NUMBER 13"
"CUST_ITEM_CF_SUIT_CYPHERSUIT": "アルターアサシン"
"CUST_ITEM_CF_NLMC_LBDY_M_SKIRTPANTS": "ゴシックパンツスカート"
"CUST_ITEM_CM_HAIR_CAESAR": "ローマン"
"CUST_FACIAL_EXP_BASHFUL": "はにかみ"
"CUST_COLOR_CLOTHING_ORANGE_2": "オレンジ2"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_UNZIPPED": "左右ジッパー開け（高）"
"CUST_ITEM_CF_DLC_WP_UBDY_F_UPPER": "アマゾネストップス"
"CUST_ITEM_CF_NLMH_PACK_F_CATBACKPACK": "バッドキャット"
"PLAYER_MORPH_NOSTRIL_ELEVATION_TEXT": "鼻腔の直径"
"PLAYER_MORPH_LOWER_LIP_SHAPE_TEXT": "下唇の形"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_2": "攻撃力を上げます。ドットサイトはエイム中の精度を上げます"
"VEHICLE_COLOR_RED_DARK_TINT": "ダークスモーク（レッド）"
"RIM_180": "SD DCY15"
"LOGO_NUMBER9": "NUMBER 9"
"LOGO_SAINTSBEER": "SAINTS BEER"
"CUST_VARIANT_HEARTS": "ハート"
"CUST_VOICE_ZOMBIE": "ゾンビ"
"CUST_SEX_APPEAL": "アピール"
"CUST_VARIANT_STRETCH_TOP": "スタイル1"
"CUST_TATTOO_LEFT_LEG": "左脚"
"CUST_MENU_COLOR": "カラー"
"PLAYER_CREATION_FIGURE_SLENDER": "スリム"
"PLAYER_MORPH_EAR_INSIDE_TEXT": "耳の内部"
"CUST_TATTOO_RFORARM_1": "陰陽"
"VEHICLE_COLOR_WILDLIFE_GREEN": "ワイルドライフ・グリーン"
"CUST_VARIANT_NAILS_B": "爪2"
"CUST_ITEM_CM_SUIT_NORMALTESTSUIT": "ノーマルテストスーツ"
"SLOT_SEATS": "シート"
"CUST_VARIANT_PATTERN2": "スタイル2"
"CUST_ITEM_BLOWUPDOLL": "エクササイズドール"
"CUST_ITEM_MALE_NLM_OUTFIT_C": "スラッカー"
"PLAYER_MORPH_NOSTRILS_ELEVATION_TEXT": "鼻腔の位置"
"PLAYER_MORPH_CHIN_BULGE_TEXT": "顎の膨らみ"
"CUST_VARIANT_PATTERN_1": "スタイル1"
"CUST_INSULT_G": "マリーン"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_SIZE_TEXT": "上唇中央の大きさ"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_2": "攻撃力が上がります"
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_3": "装弾数が増えます"
"CUST_TATTOO_RCALF_4": "プレゼント"
"CUST_TATTOO_LARM_3": "トライバル"
"CUST_TATTOO_LUPPARM_1": "爆発"
"CUST_COMP_FACE_FRECKLES": "そばかす"
"CUST_COMP_FEMALE_EYEBROWS_3": "描き眉"
"COMPONENT_ADD_TIRE_DURABILITY": "タイヤ耐久性"
"SLOT_FAIRINGS": "フェアリング"
"LOGO_RHOMBUS": "RHOMBUS"
"CUST_VARIANT_THICK_TRI_COLOR": "3色（濃）"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR": "ストラップスーツ"
"CUST_CAT_RING": "指輪"
"CUST_INSULT_JERK": "腰抜け野郎"
"CUST_COLOR_CLOTHING_GREYS_9": "グレー9"
"BRIGHT_YELLOW-GREEN": "ブライトイエローグリーン"
"CUST_VARIANT_CMSHO_UUTIBOOT01": "キャンバス"
"CUST_VARIANT_STRIPES_1": "ストライプ1"
"CUST_VARIANT_BEADS": "ビーズ"
"CUST_ITEM_CM_LLK_UBDY_M_BATHROBE": "バスローブ"
"CUST_UNDERWEAR": "アンダーウェア"
"CUST_SKIN_ORC": "グリーンオーク"
"CUST_VARIANT_09_DEFAULT": "変形9"
"CUST_VARIANT_PLAID_1": "格子模様1"
"CUST_VARIANT_MATERIAL_1": "CUST_VARIANT_MATERIAL#1"
"CUST_WEAR_FINGER_RI": "右人差し指"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHRTTIE": "ドレスジャケット&シャツ（ネクタイ付き）"
"CUST_ITEM_FEMALE_PS_EARRINGS_1": "フルール・ド・セインツピアス"
"CUST_COMPLIMENT_H": "ハウスパーティー"
"CUST_ITEM_CF_LPH_UBDY_F_VARSITYCHEER": "カレッジユニフォーム"
"VEHICLE_COLOR_BAY_YELLOW": "ベイ・イエロー"
"RIM_184": "V-F 603"
"CUST_VARIANT_MATERIAL_24": "CUST_VARIANT_MATERIAL#24"
"CUST_ITEM_CM_PSE_EYES_M_SHADES": "ギャングスタサングラス"
"CUST_ITEM_BIKER_HELMET": "ギャングキャップ"
"FACIAL_EXPRESSION_ROGUISH": "いたずら"
"FACIAL_EXPRESSION_FEARFUL": "恐怖"
"CUST_BRO_TAUNT_A": "ブラザーフッド挑発1"
"VEHICLE_COLOR_BELIZE_GREEN": "ベリーズ・グリーン"
"MALE_OVERWEIGHT": "男性 太り気味"
"CUST_RACE_ASIAN": "アジア系"
"CUST_ITEM_CF_IMPR_FOOT_F_HEELS": "セレブサンダル"
"CUST_ITEM_MALE_NLM_OUTFIT_G": "ダークインディー・ロック"
"CUST_ITEM_CF_BOBINEYE": "ショートボブ"
"FACIAL_EXPRESSION_SNEER": "嘲り"
"PLAYER_CREATION_FIGURE_BODYBUILDER": "ボディビルダー"
"CUST_TATTOO_RFORARM_5": "フェアリー"
"CUST_COMP_FACE_MOLE_4": "ホクロ4"
"CUST_VARIANT_MATTE": "マット"
"CUST_VARIANT_THE_FADE": "色あせ"
"CUST_ITEM_CM_LPC_UBDY_M_HEROFALCON": "ファルコンマン"
"CUST_CAT_NECKLACE": "ネックレス"
"CUST_SKIN_GREY_4": "ストーングレー"
"PLAYER_MORPH_CHIN_DIMPLE_TEXT": "顎のくぼみ"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_2": "装弾数と攻撃力を上げます。\nドットサイトはエイム中の精度を上げます"
"CUST_TATTOO_LARM_7": "ニンジャ"
"CUST_TATTOO_LUPPARM_5": "ガール"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_3": "ビビッドマイクロTバック"
"CUST_ITEM_CM_PSC_LBDY_M_DICKIES": "ワークパンツ"
"SLOT_SIDE_SKIRT": "サイドスカート"
"CUST_VARIANT_CHILD_RWRIST": "スタイル2"
"CUST_VARIANT_LARGE_PLAID": "格子模様ラージ"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_ROLLED": "左ジッパー開け右ロールアップ（低）"
"CUST_INSULT_C": "ウェストバウンド"
"PLAYER_MORPH_NOSTRIL_THICKNESS_TEXT": "鼻腔の厚さ"
"PLAYER_MORPH_CHEEKBONE_ELEVATION_TEXT": "頬骨の位置"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_3": "装弾数を増やします。銃身を3つに増やしてさらに攻撃力を上げます"
"VEHICLE_PAINT_INTERIORS": "内装"
"COMPONENT_OPTION_11": "オプション11"
"SLOT_DECAL": "ステッカー"
"CUST_COLOR_GREEN_1": "グリーン1"
"LOGO_FISH": "FISH"
"CUST_VARIANT_BONES": "ブードゥー"
"CUST_VARIANT_MATERIAL_5": "CUST_VARIANT_MATERIAL#5"
"CUST_ITEM_CF_DLC_SUIT_F_BCAN": "ブラッディ・キャノネススーツ"
"CUST_ITEM_CF_RING_F_ROCKERSET": "ヘヴィメタルセット"
"CUST_ITEM_CM_NLMG_LBDY_M_LOOSEPANTS": "ギャングスタパンツ"
"CUST_COMPLIMENT_L": "スティルビリーブ"
"PLAYER_MORPH_CHEEK_CREASE_TEXT": "頬のしわ"
"CUST_VARIANT_01_DEFAULT": "変形1"
"CUST_ITEM_CF_LLJ_FOOT_F_BIKERBOOTS": "レディースバイカーブーツ"
"CUST_CAT_MAKEUP_FOREHEAD": "おでこ"
"SLOT_LIGHT_COVERS": "ライトカバー"
"CUST_ITEM_CF_LLJ_UBDY_F_LTHRJCKT": "ライダースジャケット"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_1": "ダイヤモンドピアス"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_4": "イエローグリーン4"
"CUST_TATTOO_CHEST_7": "レインボー"
"LEVEL_2": "レベル2"
"CUST_VARIANT_BABYT_OG": "OG"
"CUST_ITEM_MALE_GATSUIT": "ギャットマスコットセット"
"CUST_ITEM_CM_NLMC_LWRST_M_WRISTBANDS": "ラブラブレイヴビーズ"
"CUST_ITEM_FEMALE_LL_EARRINGS_2": "トゥルーラブスタッズ"
"CUST_ITEM_CM_LPH_UBDY_M_PIRATESHIRT": "パイレーツシャツ"
"PLAYER_MORPH_FACE_WIDTH_TEXT": "顔の幅"
"CUST_COMP_EYES_BLUE": "ブルー"
"SLOT_INTERIOR": "内装"
"PAINT_4": "ペイント4"
"CUST_ITEM_CF_NLMH_RWRST_F_WRISTBANDS": "セクシーギャルブレスレット"
"CUST_VOICE_FEMALE_BLACK": "女性2"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_1": "イエローオレンジ1"
"CUST_TATTOO_LHAND_3": "HATE "
"VEHICLE_COLOR_FROSTED_BLUE": "フロステッドブルー"
"PLAYER_MORPH_GLOBAL_FACE_TEXT": "顔の丸み"
"PLAYER_MORPH_BOTTOM_LIP_EDGES_SIZE_TEXT": "下唇の端の大きさ"
"CUST_TATTOO_LOWBACK_8": "カーブ（低）"
"SLOT_TRUNK": "トランク"
"CUST_VARIANT_CHILD_HEMP": "スタイル1"
"CUST_VARIANT_WITH_DECALS": "デカール"
"CUST_ITEM_CF_HAIR_LONGHIPONYBANGS": "チアリーダー"
"CUST_CAT_FACE": "顔"
"CLOTHES_INSUFFICIENT_FUNDS_TEXT": "「%s」の購入資金が\n足りません"
"CUST_COMP_MALE_EYEBROWS_1": "太め（男性）"
"COMPONENT_EXTRA_HIGH_PROFILE": "超厚型"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS": "裾入れ ボタン留"
"CUST_ITEM_CF_DLC_EYES_F_BCAN": "ブラッディ・キャノネスサングラス"
"CUST_SKIN_GREEN_4": "クローバーグリーン"
"CUST_MOVEMENT_FACE": "表情"
"CUST_RONIN_TAUNT_A": "ローニン挑発1"
"PLAYER_MORPH_CHEEKBONES_SIZE_TEXT": "頬骨の大きさ"
"CUST_COLOR_CLOTHING_ORANGE_6": "オレンジ6"
"CUST_COMP_EYE_MAKEUP_18": "ゴシックナイト"
"CUST_VARIANT_MIXED": "ミックス"
"CUST_ITEM_CF_RING_F_STUDRING": "ダイヤモンドスタッドセット"
"CUST_ITEM_CF_NLMF_LBDY_F_SKIRTHOLSTER": "スチームパンクスカート"
"CUST_COMP_TEST_CHEEK_MAKEUP": "ドールメイク"
"CUST_ITEM_CM_PSI_WRST_M_WATCH": "セインツ高級腕時計"
"CUST_ITEM_CF_PSE_LBDY_F_SHORTSHORTS": "スキニー ショートパンツ"
"CUST_ITEM_LPA_M_SPACE_HELMET": "スペースヘルメット"
"PLAYER_MORPH_UPPER_EYELIDS_PITCH_TEXT": "上まぶたの高さ"
"CUST_COLOR_CLOTHING_BLUES_7": "ブルー7"
"CUST_COLOR_CLOTHING_RED-ORANGE_1": "レッドオレンジ1"
"VEHICLE_COLOR_STAINLESS_STEEL": "ステンレス・スチール"
"CUST_VARIANT_TRACK_B": "スタイル3"
"CUST_VARIANT_MATERIAL_4GVSDF": "CUST_VARIANT_MATERIAL#4GVSDF"
"CUST_ITEM_LEATHER_LACE_MALE_N": "ディスコフィーバー"
"PLAYER_MORPH_EARS_ELEVATION_TEXT": "耳の高さ"
"SLOT_DECAL_7": "ステッカー7"
"LOGO_BOOT": "BOOT"
"CUST_ITEM_CM_IMPN_FOOT_M_LEATHERSHOES": "シンプルレザーシューズ"
"PLAYER_MORPH_DOUBLE_CHIN_HEIGHT_TEXT": "二重顎の高さ"
"HAIR_COLOR_BLUE": "ブルー"
"PLAYER_MORPH_CHEEKS_ELEVATION_TEXT": "頬の高さ"
"VEHICLE_COLOR_BLACK": "ブラック"
"SLOT_GAS_TANKS": "ガソリンタンク"
"CUST_COLOR_CLOTHING_GREENS_6": "グリーン6"
"CUST_TATTOO_STOMACH_8": "フルール"
"CUST_COMP_FACE_SCAR_2": "傷あと（大）2"
"COLOR_SLOT_WINDOW_NET": "ウィンドウネット"
"SLOT_BODY_COLOR": "ボディの色"
"LOGO_UNIVERSITY_1": "STILWATER U 1"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2C": "アーバンサファリ&ストレートネック"
"VEHICLE_COLOR_DEEP_GRAY": "ディープ・グレー"
"CUST_VARIANT_SHIRT_B": "スタイル2"
"CUST_VARIANT_SANDAL": "サンダル"
"CUST_VARIANT_FLOWER_BAND": "フラワーバンド"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_TORSO": "スペースガールストップス"
"PLAYER_MORPH_DOUBLE_CHIN_TEXT": "二重顎"
"PLAYER_GENDER_TEXT": "体形"
"CUST_ITEM_CF_LLT_FOOT_F_RBDHEELS": "マンバヒール"
"CUST_ITEM_CM_HAIR_CLIPPEREDSHORT": "クリーンカット"
"PLAYER_MORPH_UPPER_LIP_WIDTH_TEXT": "上唇の幅"
"CUST_COLOR_CLOTHING_BLUE-GREEN_1": "ブルーグリーン1"
"VEHICLE_COLOR_TITANIUM": "チタニウム"
"VEHICLE_COLOR_BRIGHT_DAY_ORANGE": "ブライトデイ・オレンジ"
"LOGO_MURRY": "MURRY"
"CUST_INSULT_R": "エフユーツー"
"SURGEON_CAT_PRESETS": "プリセット"
"LOGO_GUITAR": "GUITAR"
"LOGO_FEEDDOGS": "FEED DOGS"
"CUST_ITEM_CF_DLC_SPACE_LBDY_F_LEGGINGS": "スペースガールタイツ"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_C": "スティールポートヒーロー"
"PRESET_WARNING_BODY": "現在の設定は破棄されます。\nよろしいですか？"
"CUST_COMP_EYES_DARK_BLUE": "ダークブルー"
"CUST_COLOR_ORANGE_4": "オレンジ4"
"CUST_ITEM_CF_LLJ_LBDY_F_LTHRPANTS": "スキニークロップドパンツ"
"CUST_TATTOO_UPPER_CHEST": "胸上部"
"CUST_COLOR_CLOTHING_RED_4": "レッド4"
"VEHICLE_COLOR_TINT_40": "スモーク40%%"
"SLOT_EXHAUST_TIPS": "マフラーチップ"
"LOGO_CAVE_4": "PHANTOM CAVE 4"
"CUST_COMP_FACE_WART_1": "イボ1"
"VEHICLE_COLOR_HAZY_DAY_GRAY": "ヘイジーデイ・グレー"
"COLOR_SLOT_PAINT_2_AND_TRIM": "塗装2とトリム"
"IRIDESCENT_4": "レインボー4"
"CUST_ITEM_CF_NLMF_UBDY_F_SHIRTCORSET": "スチームパンクコルセット"
"CUST_MENU_FIGURE_PRESETS": "体格プリセット"
"CUST_VARIANT_PLAID": "格子模様"
"CUST_ITEM_CF_PSB_FOOT_F_COMBATBOOTS": "ガールズコンバットブーツ"
"LOGO_SQD": "SIGMA THETA DELTA"
"CUST_ITEM_FEMALE_LP_BRA_5": "レッドホルター"
"CUST_ITEM_CF_PSH_LBDY_F_OSDRESSPANTS": "ビジネスカジュアルパンツ"
"CUST_SKIN_RED_YELLOW_2": "キャロットオレンジ"
"CUST_SKIN_METAL_5": "サファイア"
"COLOR_SLOT_PAINT_2": "塗装2"
"COLOR_SLOT_INTERIOR_2": "内装2"
"HAIR_COLOR_BLONDE": "ブロンド"
"COMPONENT_OPTION_B": "オプションB（使用禁止）"
"CUST_SAMEDI_COMPLIMENT_C": "サムディ敬意3"
"RIM_132": "R132"
"CUST_ITEM_CM_PSD_HAT_M_FEDORA": "中折れ帽子"
"CUST_INSULT_LINE": "この線を越えてみろ"
