"HASH_95863700": "UPGRADE STRONGHOLD"
"HASH_75D4EF55": "Music"
"HASH_862EB256": "TIRE TREAD #{0}"
"HASH_8DA9DE56": "UPGRADES"
"HASH_2BF5D2D6": "!!purchase items"
"HASH_25B7F256": "EXIT TO TITLE SCREEN"
"HASH_96ABF356": "GATEWAY"
"HASH_DDF816D7": "THERE ARE NO ITEMS AVAILABLE IN THIS CATEGORY"
"HASH_E006A0D7": "UPPER BODY"
"HASH_FFF6B0D7": "DRAGON"
"HASH_B88E2FD7": "All pedestrians are mascots."
"HASH_12AAAAD7": "NO HUD"
"HASH_8B6DABD7": "LAN Game"
"HASH_9CA8E3D7": "Operator"
"HASH_92C18257": "Powers"
"HASH_2C0DB4D8": "HACKED"
"HASH_39F16758": "HANGAR"
"HASH_309CEBD8": "I need DJ"
"STAT_STORES_OWNED": "STORES HACKED"
"HASH_010D4F59": "SWITCH TO STORE"
"HASH_8FCEFED9": "You do not have enough money to visit the plastic surgeon."
"HASH_FEE8A759": "{0}%%% CONTROL INCREASE"
"HASH_61759D59": "NECKLACE"
"HASH_59061AD9": "JOHNSON"
"HASH_6B3B9AD9": "PREPHOP"
"Disable_Super_Move": "DISABLE SUPER MOVEMENT"
"STAT_WEAPON_RPG": "RPG"
"STAT_VEHICLE_AIRCRAFT": "AIRCRAFT"
"STAT_COOP_DEATHS": "CO-OP: PLAYER-CAUSED DEATHS"
"HASH_19AB7DDA": "NO GLITCHES"
"HASH_7C487EDA": "UNDEFINED"
"HASH_364DF1DA": "START GAME"
"HASH_74B3DDDB": "PRESS {ACTION_IMG} TO STORE THIS VEHICLE IN YOUR GARAGE"
"HASH_21A430DB": "GANG CUSTOMIZATION"
"HASH_E4C8A7DB": "DIFFICULTY"
"HASH_5343FFDB": "SHOWER"
"HASH_6B30785B": "SWIRL"
"HASH_28F588DB": "All pedestrians are pimps and hos."
"HASH_E904CA5C": "EXTRA LOW PROFILE"
"HASH_0F64925C": "VIRUS INJECTION"
"HASH_5F6690DC": "YOU DON'T HAVE ENOUGH CACHE"
"HASH_4E9DE05C": "Switch to Electric Buff"
"HASH_3AA300DD": "LOW PROFILE"
"HASH_0519585D": "PUNCH"
"HASH_3D6ADFDD": "KNUCKLER"
"HASH_AAE544DD": "Are you sure you want to wear this outfit?"
"HASH_CB5B475D": "UNLOCK DFA"
"HASH_E58A3A5D": "LIGHT RAIN"
"HASH_342D2BDD": "I need Johnny Gat"
"HASH_240F88DE": "AUTOSAVE"
"HASH_B8F19CDE": "ITTY BITTY"
"HASH_BB02CBDE": "Big Head Mode."
"HASH_FE266D5F": "SPECIAL"
"HASH_372F3ADF": "SANCHEZ"
"HASH_0F5CBD5F": "FRANKLIN"
"HASH_1C85BD5F": "<TBD>"
"HASH_2F5D725F": "I need CID"
"HASH_E6F38CDF": "Help"
"HASH_82C48A60": "RIM STYLE"
"HASH_01679460": "WEAPON STORE"
"HASH_8C281CE1": "GANG"
"HASH_CA4AAE61": "GOLDEN"
"HASH_F23929E1": "TICKLING"
"HASH_70A2F2E1": "DELETE OUTFIT"
"HASH_617AFA62": "NORMAL PROFILE"
"HASH_C9363E62": "HIGH PROFILE"
"HASH_830A1AE2": "You now get a piece of the action at this store and will receive a [format][color:highlight]{GAME_CASH}{0}/hour[/format] payout to your crib stash as well as discounts on all items."
"HASH_F87CCCE3": "PEARL"
"HASH_C00F4B63": "STEAMING"
"HASH_12A74763": "Instantly gives you cash."
"HASH_91293D63": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"HASH_0CAE67E4": "DRUNK PEDESTRIANS"
"HASH_070A7D64": "Display Settings"
"HASH_DF199A64": "Options"
"HASH_79290164": "Extras"
"HASH_3975E7E5": "STRENGTH {0}%%%%"
"HASH_AE266B65": "DIRTY"
"HASH_9655ECE5": "MOIST"
"HASH_C4559AE5": "The dead all go to Heaven."
"HASH_7FFADD65": "Digital Manual"
"HASH_8D532BE6": "LEVEL"
"HASH_4ACA7FE6": "DOCK"
"HASH_8C417966": "ALL SUPER UPGRADES"
"HASH_8854E166": "Load"
"HASH_8D1488E6": "NEXT"
"STAT_BIG_AIR_LONGEST_JUMP": "BIG AIR: LONGEST JUMP"
"HASH_9C1009E7": "DONKEY"
"HASH_A4638E67": "ANGRY"
"HASH_2409D767": "FRAUD"
"HASH_8F2847E7": "SELECT"
"STAT_MISSION_SUCCESS_RATE": "MISSION SUCCESS RATE"
"STAT_MAYHEM_DAMAGE_DONE": "MAYHEM: DAMAGE DONE"
"HASH_D205D0E8": "SPORTY"
"HASH_CB046869": "Switch to Explosion Blast"
"HASH_395DED6B": "VIRUS INJECTION"
"HASH_34CE0CEC": "REAR AXLE"
"HASH_A9B0486C": "LEG TATTOOS"
"HASH_12AF5C6C": "INSTANT WARDEN"
"HASH_13420F6C": "CHANGE PC MODEL"
"HASH_3E003B6D": "LV REQ {0}"
"HASH_026216ED": "WRISTS"
"HASH_66FFE16D": "SLIPPERY"
"HASH_1264FA6D": "LAN"
"HASH_05A1B26D": "Operator stay on the line"
"HASH_A5DA766D": "Load Game"
"HASH_E4F559ED": "BACK"
"HASH_FF6F95EE": "Single Player"
"HASH_EEF8D2EE": "Quit"
"HASH_2A71726F": "VIRUS INJECTION"
"HASH_6CBA046F": "DIRTY"
"HASH_0312DDEF": "I need Backup"
"HASH_20BBF76F": "Switch to Freeze Buff"
"HASH_6A79A9EF": "Schemes"
"HASH_0798EEEF": "Show Map"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "TOTAL CIVILIANS TAUNTED"
"STAT_ACTIVITY_CASH_EARNED": "ACTIVITIES EARNINGS"
"HASH_9C686EF0": "ENTER A NAME FOR YOUR OUTFIT"
"HASH_15C35870": "BUTTERFLY"
"HASH_D77925F0": "OFF"
"HASH_5965D9F0": "I need Donnie"
"HASH_A0938170": "Switch to Lightning Buff"
"HASH_91055B70": "Switch to Fire Buff"
"STAT_ARRESTS": "ARRESTS"
"HASH_69FA0D71": "AVAILABLE [image:ui_icon_cluster] {0}"
"HASH_AED5D2F1": "Disables elemental super powers."
"HASH_DA234AF1": "I need Gat"
"HASH_3FE8D271": "Load"
"STAT_DEATHS": "DEATHS"
"HASH_CA92EB72": "IMPRESSIONS"
"HASH_27F53AF2": "LIZARD"
"HASH_848F2F72": "We fixed the glitch."
"HASH_1FA4EC72": "INTERROGATION"
"HASH_700D4DF2": "Display Options"
"HASH_12AE3673": "REPAIR"
"HASH_A5B7CD73": "Do you really want to quit?\n(Any unsaved progress will be lost.)"
"HASH_3B48A1F3": "Puts this vehicle into your garage."
"HASH_96A887F3": "Show the Hub"
"HASH_6F2F8B74": "SWITCH TO WARDROBE"
"HASH_71AF9D74": "SHOWER"
"HASH_746FE2F4": "Upgrades"
"HASH_F07E37F4": "Map"
"HASH_C1115BF5": "RIM #{0}"
"HASH_086DDE75": "NOBODY LOVES ME"
"HASH_DAB068F5": "REPAIR FOR {GAME_CASH}{0}"
"HASH_0C1844F5": "CLOCKWISE"
"HASH_2095CEF5": "GIVE ALIEN UFO"
"HASH_F00EE8F5": "Switch to Telekinesis"
"HASH_395B8175": "Exit"
"HASH_611DCEF6": "COST [image:ui_icon_cluster] {0}"
"HASH_63609576": "VIRUS INJECTION"
"HASH_4399FFF6": "RATTLESNAKE"
"HASH_1B2743F6": "WEAR OUTFIT"
"HASH_175CD877": "VIRUS INJECTION"
"Crib_SaintsHQ": "SAINTS HIDEOUT"
"HASH_77E78B77": "ROYAL"
"HASH_B46D9EF7": "CLEAR NOTORIETY"
"HASH_F92C18F7": "INFINITE SPRINT"
"STAT_STREAKING_TOTAL_TIME": "TOTAL STREAKING TIME"
"STAT_FAVORITE_TRANSPORTATION": "FAVORITE MODE OF TRANSPORTATION"
"HASH_B20C0B78": "VIRUS INJECTION"
"HASH_10794BF8": "INSUFFICIENT FUNDS"
"HASH_94D37F78": "KNEAD"
"HASH_1E158F78": "Unlocks the Death From Above super power."
"HASH_663AA5F8": "Unlocks Super Stomp ability."
"HASH_2BA25178": "Switch to Ice Blast"
"HASH_8868A578": "Single Player Cmapaign"
"HASH_3FD751F8": "Easy"
"HASH_F9C1A6F8": "Cash"
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "TOTAL ALIENS TAUNTED"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "TOTAL COMPLIMENTS GIVEN"
"HASH_64C687F9": "SELECT BUILD"
"HASH_2A3759F9": "XP +{0}"
"HASH_24E956F9": "RUSTY'S NEEDLE"
"HASH_E964A6F9": "CRAZY"
"HASH_73A9AEF9": "FREEPLAY"
"HASH_474594F9": "HEAVY RAIN"
"HASH_131300F9": "EVIL CARS"
"STATS_NONE": "NONE"
"HASH_7304657A": "3RD STREET SAINTS"
"HASH_28AC92FA": "SCROLL LIST"
"STAT_PEOPLE_RUN_OVER": "PEOPLE RUN OVER"
"HASH_446634FB": "FREE"
"HASH_1B94197B": "SKINNY {0}%%%%"
"HASH_1F6E7B7B": "NOT AVAILABLE"
"HASH_7F36807B": "RETRIEVE"
"HASH_2AEF3DFB": "SIGN"
"HASH_DB52C47B": "AVENGING"
"STAT_COOP_MISSIONS_COMPLETED": "CO-OP: MISSIONS COMPLETED"
"HASH_E82DF37C": "COLLECTION INTERFACE"
"HASH_944872FC": "NONE"
"HASH_BF1DA57C": "LET'S PRETEND"
"HASH_533048FC": "NINJAS"
"HASH_308A59FC": "EVIL CARS 2"
"HASH_640871FC": "Credits"
"STATS_DISTANCE_METERS": "%0.2fm"
"HASH_CC4EFA7D": "VIRUS INJECTION"
"HASH_485BD47D": "You don't have any weapons."
"HASH_8D0863FD": "STINKY"
"HASH_66BEFFFD": "Switch to Explosion Telekinesis"
"HASH_2748A37E": "FRONT AXLE"
"HASH_5F03C9FE": "PURCHASE WEAPONS"
"HASH_4B89D17E": "CUSTOMIZE VEHICLE"
"HASH_958D56FE": "LEATHER & LACE"
"HASH_D49E5D7E": "CANCEL"
"HASH_1CD829FE": "WEAPONS"
"HASH_367D857E": "GIVE ALIEN HOVERCAR"
"HASH_0EECD9FF": "Do you wish to purchase this wheel setup for {GAME_CASH}{0}?"
"HASH_1CC38DFF": "VIRUS INJECTION"
"HASH_938A85FF": "You cannot change elements at this time."
"HASH_BF3E017F": "DIVING"
"HASH_4AA2AEFF": "CLEAR SKIES"
"HASH_AA9A0F7F": "Difficulty"
