"HASH_9EA21200": "ZERO COOL"
"HASH_960D6538": "GO TO [format][color:location]PRESS CONFERENCE[/format]"
"HASH_D58EAD38": "[format][color:blue]THE HIGH ROAD[/format]"
"HASH_7200B439": "WIN [format][color:Location]M.O.M.[/format]"
"HASH_9DA80639": "EXPLORE THE RIFT"
"HASH_6D649139": "You talk a big game. Let's see if you could cut it in MI6."
"HASH_511D9839": "PLAY IN [format][color:Location]TRAFFIC[/format]"
"HASH_AD995C39": "MEET BEN KING [format][color:location]BACKSTAGE[/format]"
"HASH_79323439": "MYSTERIOUS CALLER"
"HASH_C7EDC83A": "RESCUE BEN KING"
"HASH_B380283A": "Well, yes, that's evident. But those were not Zinlow's inspiring words."
"HASH_5DD44A3B": "MEET MATT ON THE SHIP"
"HASH_4B03083B": "Don't call it a robot; it's power armor."
"HASH_EF87BB3B": "COMPLETE TRAINING PROGRAM"
"HASH_D93C9D3B": "You outscored your partner and won {GAME_CASH}%.0f!"
"m21_failure_shaundi_died": "SHAUNDI DIED! "
"HASH_ABA77E3B": "YOU ABANDONED THE HELICOPTER!"
"HASH_8D5C283B": "USE [format][color:power_tele]TK[/format] TO SMASH THEN COLLECT [format][color:power_tele]CLUSTER[/format]"
"HASH_7D1BFC3B": "The dominatrix fades away and before you stands Killbane.  \\"The Saints think they can defeat me again?  No.  This time Matty has to do his own fighting.\\"\n\nWhat do you say?"
"HASH_31951C3B": "For hours, I heard Zinjai's screams echo throughout the ship, like the mellifluous song of a child in mourning, and I knew then that the Simulation was my raison d'être. It would set the standard for forward-thinking empires throughout the universe. And if any should ever match its brilliance, I will crush them and claim their design for my own."
"HASH_064DE23B": "Basic training was, as it is designed to be, a particular sort of Hell. I don't know what the rules are where you come from, reader, but military training for the Zin Army consists of a grueling eight-week course that pushes recruits to their breaking point."
"HASH_46B5523C": "{CBA_OFC_HS_EXECUTE_IMG} BOX KILL\nApproach enemy from behind to initiate box stealth kill."
"HASH_A109C23C": "Enter Rift?"
"HASH_E21C653C": "MEET [format][color:Location]MATT[/format] ON SHIP"
"HASH_A683C53C": "ZERO SAINTS THIRTY"
"HASH_9AA3D13C": "Suddenly Matt Miller appears in the ring.\n\nWhat do you say?"
"HASH_4CC2F43D": "HACK [format][color:Location]IMAGE AS DESIGNED[/format]"
"HASH_763BFE3D": "INITIALIZE VIRUS INJECTION"
"HASH_0CC8673D": "REACH TOP OF  [format][color:location]TOWER[/format]"
"HASH_15AE213D": "MEET [format][color:location]NYTEBLAYDE[/format]"
"HASH_EFA6DD3D": "GET ON [format][color:location]BIKE[/format]"
"HASH_99A6E03D": "DEFEND [format][color:defend]CID[/format]"
"HASH_5438053D": "Has anyone ever told you that before? What a remarkable thing to say to a formative lad! And he was right. I, as the poor son of an ignorant butcher, had made it to the finest university on the planet. I wasn't just pursuing my dreams-I was living one!"
"HASH_60B4073D": "MARK TWAIN"
"HASH_9440423E": "START MORNINGSTAR STRONGHOLD"
"HASH_C4DFF83E": "KILL HIM AGAIN (ASSASSINATE JULIUS)"
"HASH_87CE0B3E": "S.T.A.G. PROTOTYPES"
"HASH_9F524A3E": "GOT TO GET ME ONE"
"HASH_15252E3E": "GET IN [format][color:use]TANK [/format]"
"HASH_78AFEB3E": "OLEG WAS ABANDONED!\nTHE SAINTS NEED TO STICK TOGETHER!"
"HASH_3C7D973F": "INITIALIZE VIRUS INJECTION"
"HASH_C13A293F": "GET THE [format][color:use]WEAPON[/format] "
"HASH_9B41FE3F": "You awaken to find yourself on cold flagstone. As you stand up you notice that the small room is lit by two torches. To the north there is a door, to the south a hole in the wall.\n\nWhat do you do?\n\n"
"HASH_888D7A3F": "[format][color:kill]KILL YOURSELF[/format]"
"HASH_CA11583F": "My father, though as thick as the back hair on a newly-born Zinfant, did indeed have an unquenchable hunger for control. While he never managed to rise higher than the head of a simple village council, he nonetheless carried the dream."
"HASH_7569B840": "WHITE LIGHT/WHITE HEAT"
"HASH_6F567840": "CLEAR OUT ZIN TROOPS"
"HASH_D4C27640": "ASSASSINATE ROGUE PROGRAM"
"HASH_26DED840": "GRAND FINALE"
"HASH_2DDE5140": "QUICK KILL"
"M16_FAIL_GAT_DIED": "GAT DIED!"
"HASH_7C86E640": "If I wanted to read about deceitful children, time-traveling charlatans, and overburdened bullfrogs, I'd...well, I suppose Twain would be the one. But no."
"HASH_C9898141": "EXPLORE [format][color:Location]RIFT[/format]"
"HASH_A7124141": "MEET [format][color:location]JOHNNY GAT[/format]"
"HASH_F0FF7041": "PICK UP [format][color:defend]VIP & ASHA[/format]"
"HASH_15061241": "RUN BACK TO GET THE OTHER TORCH"
"HASH_D65D7841": "GET IN [format][color:location]CAR[/format]"
"HASH_C94B2C41": "I do not have to throw galas in my own honor, thank you."
"HASH_087AB342": "MEET [format][color:Location]ASHA[/format] ON SHIP"
"HASH_50CE1742": "INITIALIZE VIRUS INJECTION"
"HASH_E1230542": "MEET [format][color:Location]JOHNNY[/format] ON SHIP"
"MOL_JB01_FAILURE_ABANDON_VEH": "THE VEHICLE WAS ABANDONED!"
"M16_FAIL_PIERCE_DIED": "PIERCE DIED!"
"HASH_86817A42": "MAKE 2 MARTINI GLASSES OUT OF COCONUTS"
"HASH_CF3FFE42": "Text appears on the screen. \\"I am sorry. Contractions can not be read by this program.\\"\n\nWhat do you type?"
"HASH_4F9D6F43": "KILL [format][color:kill]ALIENS[/format]"
"HASH_56722F43": "KILL [format][color:kill] DJVC [/format]"
"MOL_BK_01_FAILURE_HELI_DESTROYED": "HELICOPTER WAS DESTROYED"
"HASH_9EB7E643": "WAIT FOR YOUR PARTNER TO ABSORB VIRUS"
"mm_3_3_failure_ufo_destroyed": "THE UFO WAS DESTROYED!"
"HASH_A5061D43": "KILL [format][color:kill]TANKS[/format]"
"HASH_3FF84F43": "BACK AWAY"
"HASH_A6710744": "HACK THE LETS PRETEND IN NEW BARANEC"
"HASH_05F65144": "CARJACK THE DATA"
"HASH_46D11144": "GO TO [format][color:location]ACTIVITY START[/format]"
"mm_1_2_failure_donnie_died": "DONNIE DIED!"
"HASH_91B06644": "DESTROY THE [format][color:kill]MARAUDER[/format]"
"HASH_9D08BB44": "FIND [format][color:location]DEVICE[/format]"
"HASH_D3B93C44": "FLY TOWARDS THE PURPLE STAR"
"HASH_B0DA5C44": "Having endured my father's atrocious meat preparation as a lad, I forbade the use of Zinpig in any on-board recipes."
"HASH_C06AB545": "MEET FUN SHAUNDI ON SHIP"
"HASH_F5479C45": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_00C07E45": "MEET [format][color:Location]MATT[/format] ON THE SHIP"
"HASH_38006145": "MECH MAYHEM"
"HASH_B0654645": "I hate him. We need him. It's time to save Matt Miller."
"HASH_AB52CC45": "WAIT FOR YOUR PARTNER TO FINISH DANCING"
"HASH_93C56B45": "[format][color:use]BUY[/format] A VEHICLE UPGRADE"
"HASH_F54D6C45": "GET BACK TO THE [format][color:location]SHIP[/format]"
"HASH_1649D145": "\\"I AM AWESOME\\""
"HASH_3A6E3E46": "TIME TO MESS SOME SHIT UP... MENTALLY!"
"HASH_33CA8446": "MEET [format][color:Location]KEITH[/format] ON SHIP"
"HASH_8CB2C546": "GO TO [format][color:location]THE PARK[/format]"
"HASH_30B74846": "GO TO [format][color:location]THE BROKEN SHILLELAGH[/format]"
"HASH_4C675A46": "PSYCHOSOMATIC"
"HASH_AB533B46": "With a mighty swing Matt Miller's third hit in a row sends Killbane crashing to the ground unconscious.\n\nMatt Miller shouts, \\"I did it!  I won!\\"\n\nWhat do you say?"
"HASH_076DB146": "\\"I'M THE LEADER OF THE SAINTS\\""
"HASH_3435B147": "MEET BEN ONBOARD THE SHIP"
"HASH_0D199B47": "COLLECT [format][color:use]MEMORY MODULES [/format]"
"M17_FAILURE_ESCAPE": "YOU DIED!\n MOVE QUICKLY TO ESCAPE THE EXPLOSION."
"HASH_38338947": "ENTER MILITARY SERVICE"
"HASH_44955548": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"mol_mm_01_failure_car_destroyed": "YOUR CAR WAS DESTROYED!"
"HASH_2BA8AB48": "FOLLOW [format][color:location]VIP[/format]"
"HASH_56FB5148": "WHEN A PLAN COMES TOGETHER"
"HASH_0DDFEF48": "FIRE ROCKETS AT [format][color:kill]PAUL[/format]"
"M05_FAIL_ABANDON_CID": "CID WAS ABANDONED!"
"HASH_885EE448": "RIDE DOWN [format][color:location]MAIN STREET[/format]"
"HASH_B8C80B48": "GET IN [format][color:location]POSITION[/format]"
"HASH_EC48AE48": "A SCHOLASTIC APTITUDE EXAM"
"HASH_BE81E049": "HACK THE NOBODY LOVES ME IN ASHWOOD"
"HASH_FD093049": "STEAL [format][color:Location]VEHICLE[/format]"
"HASH_1D06B649": "RACE THROUGH THE SYSTEM"
"HASH_33118A49": "DISRUPT [format][color:Location]SYSTEM[/format]"
"HASH_65AC9349": "LOYALTY - NYTEFALL"
"HASH_7CD39549": "GO TO [format][color:location]SECOND STOP[/format]"
"HASH_1FAD5A49": "CHASE [format][color:kill]TANYA[/format]"
"HASH_75AAC849": "THE PROPER WAY TO TO BUTCHER A ZINPIG"
"HASH_B39FAC4A": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_424FD94A": "TALKIE TALKIE"
"HASH_B386904A": "I think the Zin are tracking you, be careful and watch your back."
"HASH_8FA4064A": "...no."
"HASH_3A8D814B": "HACK THE FRIENDLY FIRE IN CAMANO PLACE"
"HASH_38A1194B": "GATEWAY"
"HASH_9B264F4B": "EXECUTIVE ORDERS"
"HASH_9227D94B": "Prototype man-sized attack and transport vehicle that uses the same hover and conversion technology that the VTOL does."
"HASH_6704FA4B": "SOMETHING'S WRONG IN STEELPORT"
"m21_failure_cid_died": "CID DIED! "
"M16_FAIL_MATT_DIED": "MATT DIED!"
"HASH_5E974A4B": "SHOOT OUT THE [format][color:kill]LIGHT[/format]"
"HASH_8092C04B": "COLLECT [format][color:use]RPG[/FORMAT]"
"HASH_7FB8D94B": "FIND [format][color:location]KINZIE[/format]"
"HASH_3A69CC4B": "While my eclairs were amongst the best ever created, I was actually known for something else."
"HASH_4D76614C": "HACK [format][color:Location]FRIENDLY FIRE[/format]"
"HASH_E54ED74C": "GO TO [format][color:location]OLD CRIB RUINS[/format]"
"HASH_CCE0954C": "FOLLOW THE [format][color:location] SHAUNDIS [/format]"
"HASH_9BE2094C": "OPEN AIRLOCK"
"HASH_6FB5C74D": "INITIALIZE VIRUS INJECTION"
"HASH_B574A14D": "HACK [format][color:Location]IMAGE AS DESIGNED[/format]"
"HASH_77A69F4D": "CLEAR OUT ZIN TROOPS"
"HASH_9A77E64D": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_7E36594D": "!!Head to the [format][color:location]safe house[/format]"
"HASH_A7AACB4D": "THIS TANK'S FOR YOU"
"HASH_74104E4D": "STEAL [format][color:use]TANK [/format]"
"HASH_6E255F4D": "GET TO THE [format][color:location]BRIDGE[/format]"
"HASH_B378FE4D": "DEFEND [format][color:defend]ROOM[/format] "
"HASH_681C2B4D": "Though I wasn't aware of it prior, the Jetyang homeworld was a rich source of gemstones and minerals in rare reserve on other planets. With resources in high demand at our disposal, I was able to fund many more conquests throughout the richness of space. \n\nA fascinating story that I will tell you soon."
"HASH_50EA354E": "MEET KEITH ON THE SHIP"
"HASH_374A754E": "You want the good ending? Hope you bonded with your crew."
"HASH_0054954E": "NUT SHOT"
"HASH_5B81704E": "\\"YOUR MOM'S A SLAVE\\""
"HASH_43F8BC4E": "Upon receiving my diploma, I knew exactly what I must do:"
"HASH_EBB9A64F": "HACK IMAGE AS DESIGNED IN LOREN SQUARE"
"HASH_5EAB574F": "We're not stopping now. We have to keep the pressure on."
"HASH_50D2324F": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_5132B74F": "KILL [format][color:kill]VICE KINGS[/format]"
"HASH_CF53704F": "GO TO [format][color:location]KINZIE'S HIDEOUT[/format]"
"HASH_B1437C4F": "HE LIVES"
"HASH_275DFF4F": "STATUE DESTROYED!\n BE CAREFUL USING THE SONIC BOOM ON THE BOMBS, DON'T LET THEM HIT ANYTHING."
"HASH_8D63684F": "To your surprise, the seagull corpse raft doesn't hold your weight as well as you had hoped. You must swim back to land.\n\nWhat do you do?"
"HASH_F68E454F": "EXECUTE TERRORIST"
"HASH_C1ED884F": "Then, like an evolutionary link crawling from the depths of a primordial soup, it hit me. I had taken so many lives-for what purpose? Conquering was not enough. I needed to test them. To challenge them. To collect them. It was then I decided to build:"
"HASH_F635764F": "Those garish vestments? You must be joking."
"HASH_B9EC2450": "INITIALIZE VIRUS INJECTION"
"HASH_1A6B7250": "EXPLORE THE RIFT"
"HASH_E1EF5350": "DISRUPT [format][color:Location]SYSTEM[/format]"
"HASH_6D2F2F50": "TAKE OVER A STORE"
"HASH_9CD69E50": "BENDING THE RULES"
"HASH_0A88E050": "GO TO  [format][color:location]KINZIE[/format]"
"HASH_E0752B50": "EAT THE HEART"
"HASH_CB5B1C50": "[format][color:purple]THE LOW ROAD[/format]"
"HASH_4F41F851": "CLEAR OUT ZIN TROOPS"
"HASH_11A86051": "MEET [format][color:location]MATT MILLER[/format]"
"HASH_21386151": "Yes! Everybody, aside from your humble narrator, is afraid of something. Familial loss. A straying loved one. Anonymity. Spiders. And by subjecting each victim to their deepest fear, to replay their most dreaded moment over and over again until their psyche shatters and their minds become malleable putty in my eager fingers, I could control them. I could control everyone."
"HASH_22943852": "ANGEL DIED!"
"HASH_3DE04552": "HACK THE RUSTYS NEEDLE IN ESPINA"
"HASH_E38D7A52": "The host is choosing which prototypes to build."
"HASH_F255BC52": "HELP THE SHAUNDIS WITH THEIR ISSUES"
"HASH_6C54AE52": "You win.\n\nThanks for playing Dragons and Tears: Part 1 of The Spiraling Darkness Trilogy\n\n"
"HASH_17BCC352": "MISSION ABANDONED!"
"HASH_26EA5A52": "SHAUNDI DIED!"
"HASH_660FAC52": "BEDDING HIS FIANCEE BEFORE THEIR WEDDING NIGHT"
"HASH_FA010A52": "ART HISTORY"
"HASH_22D61A53": "YOU LEFT THE CASINO WITHOUT FINISHING THE JOB!"
"HASH_AF79CF53": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_2C572A53": "KILL [format][color:kill]MINIONS[/format]"
"HASH_D8BE9853": "GO TO [format][color:location]ANGEL'S CASINO[/format]"
"HASH_3C3BB253": "ASHA'S VIP"
"HASH_0410EC53": "GO TO [format][color:location]CARGO BAY[/format]"
"HASH_B789B153": "KILL [format][color:kill]GUARDS[/format]"
"HASH_7E162353": "PROTECT [format][color:defend]CID[/format]"
"HASH_C08B7B53": "SHOOT DOWN [format][color:kill]BATTLESHIP[/format]"
"HASH_CBE3B353": "IT WAS A DRAW"
"HASH_88C9C253": "Oh, how I wish."
"HASH_68D80354": "HACK THE STEEL MILLS IMAGE AS DESIGNED"
"HASH_FB999C54": "GRAND FINALE PART FOUR"
"HASH_62C9C754": "PIERCE DIED!"
"HASH_70817355": "HACK [format][color:Location]PLANET ZIN[/format]"
"HASH_82D7B855": "MEET CID ON THE SHIP"
"HASH_541E9755": "I'm bored. Let's do something."
"HASH_C3765E55": "[format][color:purple]CURE CANCER[/format]"
"HASH_99959855": "A LIFE SPENT CLEANING THE LAVATORIES OF THE ZIN MOTHERSHIP"
"HASH_ECD46256": "HACK THE RIM JOBS IN SUNSET PARK"
"HASH_4D7FAC56": "SUPREME JUSTICE"
"HASH_E6FA9156": "We have the toys now let's go have a little fun..."
"HASH_DFE6BE56": "BREAK MATT MILLER OUT"
"HASH_8A0EAC56": "It's good. Not melonball good. But good.\n\nWhat do you do?"
"HASH_B54D6D56": "\\"I'M THE LEADER OF THE SAINTS\\""
"HASH_C6804C56": "I tasked Zinjai with overseeing the Simulation's construction. We would hold the physical bodies of my fallen foes in a nutrient-rich suspension designed to accommodate even the most peculiar metabolisms. Meanwhile, their minds would be go on in a world of my own creation, based on each subject's:"
"HASH_F158B256": "Perhaps it's my eloquent speaking voice or preternatural vocal range but I have always had a gift for oration. Combined with my undeniable charisma, getting others in step with my own ambitions comes naturally. I speak, they listen. Even if I do need to thrash them about the head a few times first."
"MISSION_PARTNER_DISCONNECTED": "CO-OP PLAYER DISCONNECTED"
"HASH_89EEDF57": "BACK BY POPULAR DEMAND"
"HASH_165B2C57": "GO TO [format][color:location]MIND OVER MURDER[/format]"
"HASH_22138A57": "CONQUERING WORLDS"
"HASH_44957857": "Thus ends my years as a plucky child. Next we meet, I shall regale you with the tale of Zinyak, the young man."
"HASH_F47E9358": "HACK [format][color:Location]FRIENDLY FIRE[/format]"
"HASH_3B92AD58": "MEET FUN SHAUNDI ON THE SHIP"
"HASH_4D877058": "MYSTERIOUS CALLER"
"HASH_3D385E58": "CHECK OUT [format][color:location]DEVICES[/format]"
"HASH_14C38E58": "DESTROY [format][color:kill]RELAYS[/format]"
"HASH_A03B9058": "[format][color:purple]NO WAY[/format]"
"HASH_CE26E858": "Now a celebrated member of the Zin Army, with a seasoned crew at my command, I:"
"HASH_027AF958": "CREAM PUFFS"
"HASH_2D6D2259": "COMPLETE [format][color:Location]VIRUS INJECTION[/format]"
"HASH_5EA08459": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_15939259": "KILL [format][color:kill]MAERO[/format]"
"HASH_7BEB2259": "The good doctor's work is among the finest in literature, there is no doubting that, but I did not get lost amongst his colorful characters and impeccable rhyming structure as much as others."
"HASH_0289595A": "EXPLORE THE RIFT"
"HASH_2211335A": "We're not leaving Kinzie behind."
"HASH_C64CA65A": "ENTER THE [format][color:use]SIMULATION[/format]"
"HASH_42F0275A": "BROADCAST VAN DESTROYED!\n GET CLOSE AND TARGET THE VAN WITH {ANALOG_RS_IMG}."
"HASH_FE43DC5B": "There's some stuff I need to deal with. Do you mind coming along?"
"m09_failure_homie_dismissed": "PIERCE WAS ABANDONED"
"HASH_B9E3245B": "SPEED UP [format][color:use]DOWNLOAD[/format]"
"HASH_C8523A5B": "Ahead of you a computer awaits.\n\nWhat do you do?"
"HASH_CABCD35C": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_57B11F5C": "INITIALIZE VIRUS INJECTION"
"HASH_E9A1FF5C": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_B693A85C": "GO TO [format][color:location]BEN KING[/format]"
"HASH_AE8B2B5D": "MEET WITH KINZIE TO OPEN THE NEW GATEWAY"
"HASH_A3305B5D": "WHITE WEDDING"
"HASH_A11CC35D": "KINZIE NEEDS TO TALK TO YOU ON THE SHIP"
"HASH_6510B35D": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_029B955D": "ASSASSINATE ROGUE PROGRAM"
"HASH_7693465D": "...THE VERY NEXT DAY"
"HASH_10DA7D5D": "GO TO [format][color:location]SUPER POWER FIGHT CLUB[/format]"
"HASH_97188A5D": "PICK UP [format][color:location]MATT[/format]"
"HASH_01D5915D": "GO TO [format][color:location]DATA SURGE[/format]"
"HASH_C147535D": "USE [format][color:power_buff]BUFF[/format] NEXT TO [format][color:power_buff]ENEMIES[/format]"
"M11_FAILURE_GUARD": "SHOOT OUT THE LIGHT FIRST!"
"HASH_45DE585D": "TRUCK DESTROYED!"
"HASH_B7573B5D": "START [format][color:use]DOWNLOAD[/format]"
"HASH_B7B7985D": "In what was a regrettable lapse in judgment on the part of famed Buunian tactician Ariel the Furious, the Buune Armada attacked us in mid-space during the most important segment of Zinjai's testing. After destroying the Buune Fleetship and flaying all the crewmembers, I beheaded Ariel the Furious with a bread knife and threw his remains into the onboard incinerator."
"HASH_96B0825E": "MEET [format][color:Location]FUN SHAUNDI[/format] ON SHIP"
"HASH_19D6365E": "I've got to show the other me that I'm more than a party girl."
"HASH_F0F3805E": "Your partner outscored you."
"HASH_578A515E": "EXPLOSION KILL"
"HASH_E9A1AC5E": "MAKE 2 MARTINI GLASSES OUT OF COCONUTS"
"HASH_F273F45F": "KILL [format][color:kill]ZINYAK[/format]"
"HASH_B89A675F": "It's been a while. Let's go murdering for old time's sake."
"HASH_CBA1385F": "GET [format][color:location]DRUGS [/format]"
"MOL_JB01_FAILURE_ASHA_DIED": "ASHA DIED!"
"HASH_7F51AF5F": "RESCUE ASHA"
"HASH_C008225F": "[format][color:location]DANCE[/format]"
"HASH_AC3EFF5F": "\\"Wrong move, Matt.\\" Killbane hits Matt Miller. Hard.\n\nWhat should Matt do?"
"HASH_753AE260": "SAINTFINGER"
"HASH_0B40B660": "TALK TO [format][color:location]KINZIE[/format]"
"HASH_FEE62760": "GO TO [format][color:location]DOCKS[/format]"
"HASH_AB6E9160": "GET CLOSER TO THE [format][color:defend]CAR[/format]"
"HASH_7E3CC660": "COLLECT [format][color:use]SMG[/format]"
"HASH_81BBA661": "HACK THE RIM JOBS IN HENRY STEEL MILLS"
"HASH_98A73F61": "MEET [format][color:Location]SHAUNDI[/format] ON SHIP"
"HASH_12FA3961": "GRAND FINALE PART TWO"
"HASH_690B1761": "KILL [format][color:kill]ALIENS [/format]"
"HASH_458E9161": "GAT SAID GOODBYE TO AISHA FOR THE LAST TIME..."
"HASH_89E90761": "HOLD [format][color:location]POSITION[/format]"
"HASH_2BFF6361": "FINISH PAUL"
"HASH_D631A362": "EXPLORE [format][color:Location]RIFT[/format]"
"HASH_18291962": "SHUT DOWN [format][color:Location]HOTSPOT[/format]"
"HASH_47A6A162": "The pants were just the beginning..."
"HASH_4BBE0762": "BROTHERHOOD"
"HASH_B58F1162": "\\"LET ME GO\\""
"HASH_99DE2562": "INVESTIGATE THE PLANET"
"HASH_8700B062": "EAT [format][color:use]BACON AND PANCAKES[/format]"
"HASH_ADF6DD62": "Not before I settle some unfinished business, certainly."
"HASH_799DC363": "COMPLETE [format][color:Location]RACE[/format]"
"M03_FAIL_QTE": "YOU DIED!"
"HASH_707FFC63": "\\"I'M SORRY...\\""
"HASH_636D0963": "You don't have any nails.\n\nWhat do you do?"
"HASH_5C2EC863": "\\"FUCK OFF\\""
"HASH_92AE8C63": "TAKE SHOTGUN"
"HASH_183B1763": "While it may sound like a simple tactic, you should be aware that the average day on Planet Bedard lasts an excruciatingly long time. But I and my charge held our position until the perfect moment to strike. We infiltrated Franscot's compound, trampled his men under our mighty boots, and shattered the door to his bedchamber. Wherein I pounced upon the fool and smothered him with his own pillow."
"HASH_A6225D64": "SHUT DOWN THE HOTSPOT"
"HASH_B8F53064": "A GAME OF CLONES"
"HASH_E8384E64": "BREAK OUT OF THE SIMULATION"
"HASH_92FE6D64": "THE HELICOPTER IS UNREACHABLE!"
"HASH_AA461064": "THREW A GALA IN MY OWN HONOR"
"HASH_FF833A64": "No. Well, yes, I did slay Franscot's lieutenant atop a hillside, but that was later."
"HASH_0246CF64": "TRYING OUT FOR A SPORT"
"HASH_3305AA65": "OPEN CRATE"
"HASH_75B53B65": "TOWER EXPLORATION"
"HASH_3F39C965": "FIND JOHNNY GAT"
"HASH_759F5665": "PUNCH KILLBANE"
"HASH_9BA4A965": "A LUST FOR POWER"
"HASH_BF5D4366": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_74A50866": "S.T.A.G BIKE"
"HASH_732D1D66": "DESTROY [format][color:kill]ROADBLOCK[/format]"
"M11_FAILURE_LIGHT": "STAY OUT OF THE LIGHT!"
"HASH_4D82B266": "OPEN CRATE"
"HASH_7E5A7166": "[format][color:power_blast]FREEZE CID[/format]"
"HASH_1832EE66": "FLY TOWARDS THE PURPLE STAR"
"HASH_61AA6766": "\\"How, for a society so advanced in technology,\\" thought I, \\"could they be so taken with grasping hands and pushing?\\""
"HASH_D483E067": "HACK THE RIM JOBS IN WEST CAMANO PLACE"
"HASH_475F8367": "HACK [format][color:Location]RIM JOBS[/format]"
"HASH_ECF89B67": "GO TO [format][color:location]THE BROKEN SHILLELAGH[/format]"
"HASH_3FF45767": "GO TO [format][color:location]ZIMOS' PLACE[/format]"
"HASH_7A6F8567": "THE FUNDAMENTALS"
"HASH_838C3F67": "TK THROW [format][color:defend]CID[/format] INTO THE [format][color:location]AIR[/format]"
"HASH_F1933767": "\\"I WANT TO RESCUE MATT MILLER\\""
"HASH_E03E9667": "THROW A PARTY!"
"HASH_1362AF67": "LITERATURE"
"HASH_D467AD67": "Ah, I can still feel the layers of crisp dough flaking gently on my tongue awash in a smooth release of sumptuous cream. Even though Zinkar's endeavor was not long for this world, I continued to sell my renowned cream puffs door to door. A business which thrived, I must say, doing well enough to supplement my admission to the most prestigious private school in Zinland. \n\nBut that, my friend, is another story."
"HASH_487F6668": "INITIALIZE VIRUS INJECTION"
"HASH_2A1B1568": "CHECKPOINT!"
"HASH_20E1A068": "GO TO [format][color:defend]GAT[/format]"
"HASH_10119A68": "ENTER [format][color:location]BUILDING[/format]"
"HASH_11E66968": "OFFER THE ARCHITECT A DRINK"
"HASH_3DB75D68": "KEEP WALKING ON THE MOON"
"HASH_5ED43D68": "Nothing short of planetwide genocide was going to shut them up. Which, thankfully, it did. From there, I continued on my path, conquering every planet that stood in my path. Yet, despite the sense of unparalleled accomplishment I felt, something was lacking. \n\nIt was not until later that I would stumble upon my greatest achievement. My defining moment."
"HASH_BED2BA69": "DISRUPT THE SYSTEM"
"HASH_FF154169": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_3426D269": "Cyrus is ready to launch a nuke at Washington. We need to take him out."
"HASH_BFAD9269": "CLEAR OUT [format][color:kill]CARGO BAY[/format]"
"HASH_D4168469": "\\"NICE OUTFIT\\""
"HASH_C689B269": "The moon is a pretty boring place.\n\nWhat do you do?"
"HASH_F847B069": "\\"I AM A SLAVE\\""
"HASH_C3A0636A": "HACK [format][color:Location]RIM JOBS[/format]"
"HASH_E8634E6A": "MEET PIERCE ON THE SHIP"
"METAGAME_GANG_MEMBER": "GANG MEMBER"
"HASH_90293B6A": "VIOLA WAS ABANDONED!\nTHE SAINTS NEED TO STICK TOGETHER!"
"HASH_B3312B6A": "TK THROW [format][color:defend]CLONES[/format] BACK INTO [format][color:location]SOURCE[/format]"
"HASH_455D5A6A": "A large, ringing device appears before Matt Miller.  A coiled wire connects two pieces, and a massive dial, not unlike the chamber of a revolver, rests in it's center.\n\nWhat should Matt do?"
"HASH_1AB3D26B": "HACK [format][color:Location]RIM JOBS[/format]"
"HASH_697E746B": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_38F2436B": "THREE-COUNT ROYALE"
"HASH_D9CEFE6B": "USE [format][color:use]TURRET[/format]"
"HASH_1C58DF6C": "CLIMB [format][color:Location]TOWER[/format]"
"HASH_8158196C": "CARJACK THE DATA"
"HASH_3ACC176C": "ASCEND THE TOWER"
"HASH_9362B76C": "VIOLA DIED!"
"HASH_BC5B966C": "ENTER THE PURPLE STAR"
"HASH_9288876C": "Ah, the written word. I had, like most Zin, learned to read while in utero but that was all very dry texts such as manuals and design documents. It wasn't until this far more serious pursuit into academia that I came to love the classics. "
"HASH_491C206D": "GO TO [format][color:location]SAINTS HQ[/format]"
"HASH_4A63036D": "GO TO [format][color:location]ACTIVITY START[/format]"
"HASH_488F5F6D": "REMOVE THE CLONES FROM STEELPORT"
"HASH_FB08736D": "KEEP WALKING"
"HASH_55FA4F6D": "\\"I WANT TO DESTROY ZINYAK\\""
"HASH_27454D6D": "I appreciate your zeal but let's not jump ahead."
"HASH_8CCBAE6E": "KILL [format][color:kill]CANS[/format]"
"HASH_21319F6E": "Text appears on the screen. \\"Wrong answer. What are you?\\"\n\nWhat do you type?"
"HASH_A08CF36E": "GET TO [format][color:location]MISSILE SILO[/format]"
"HASH_52CE436F": "COMPLETE [format][color:Location]RACE[/format]"
"HASH_76B4506F": "LOYALTY - KING OF THE DANCE"
"HASH_FED3F16F": "PROTECT [format][color:defend]CAR[/format]"
