"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "Saving content. Please wait."
"PC_LOAD_CHAR": "LOAD DEFAULT"
"PC_DOF_DIST_HINT": "THE DEPTH OF FIELD DISTANCE"
"CBA_VDC_PLANE_FIRE_SECONDARY": "   FIRE WEAPON 2"
"CBA_VDC_HELI_TURN_RIGHT": "   TURN RIGHT"
"CBA_GAC_PAUSE_MENU": "   PAUSE"
"COMMUNITY_CREATE_LINK_TEXT": "Here you can create a new Saints Row Account or link your profile to an existing one."
"HASH_7DE38BEC": "LINK ACCOUNT"
"TUT_AIRPLANE_CONTROL_ALT_PC": "{PLANE_ACCELERATE_IMG} ACCELERATE \n{PLANE_BRAKE_REVERSE_IMG} BRAKE + REVERSE \n{PLANE_ROLL_TURN_SELECT_IMG}+{PLANE_LEFT_RIGHT_IMG} SHARP TURN"
"SAVE_CLIP": "Save Cinematic Clip"
"PC_VOICE": "VOICE"
"PC_SHOW_KEYS_HINT": "SHOW EDITING SHORTCUT KEYS"
"CBA_VDC_HELI_FIRE_PRIMARY": "   FIRE WEAPON"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG2": "   ROLL LEFT"
"HASH_2E9A116C": "[format][scale:1][color:full_bright][image:ui_ctrl_360_dpad_rl][/format]"
"HASH_392202AC": "THE A BUTTON"
"HASH_F05567EC": "CHILD"
"PC_SOUNDFX_HINT": "TURN ON/OFF ALL SOUND FX"
"PC_SM_VERY_FAST": "VERY FAST"
"PC_EDIT_EXPLANATION": "You are about to edit the camera of a non-active camera zone. The current camera position will overwrite the previous position."
"CAA_PLANE_PITCH_UP_DOWN_POS": "   FLY UP"
"HASH_BB14D3EE": "DISABLE CROSS-PLAY"
"TUT_NP_TANK_CONTROLS_PC": "{TANK_FORW_BACK_IMG} / {TANK_LEFT_RIGHT_IMG} MOVE \nMOVE MOUSE TO AIM \n{TANK_FIRE_SECONDARY_IMG} FIRE MAIN WEAPON \n{TANK_FIRE_PRIMARY_IMG} FIRE SECONDARY WEAPON"
"PC_TOD_MORNING": "MORNING"
"PC_GS_BACKGROUND": "BACKGROUND"
"CBA_OFC_ZOOM_IN": "   SCOPE ZOOM IN"
"MAIN_MENU_PRIVILEGE_DENIED": "This profile is unable to play on Xbox Live. Please check your Family Settings or obtain an Xbox Live Gold Membership."
"MULTI_LOST_CONNECTION": "A connection error has occurred.\nYou are being returned to the title screen."
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "There is not enough free space on your hard drive to complete the Save Process."
"PLT_MENU_DISPLAY_4": "QUATERNARY"
"PLT_ANISOTROPIC_EIGHT": "ANISOTROPIC 8X"
"PC_MOVEMENT_SENSITIVITY_HINT": "THE CAMERA MOVEMENT SENSITIVITY"
"PC_CONFIRM_EXIT": "CONFIRM EXIT"
"MENU_CUSTOM": "CUSTOM"
"CBA_VDC_PLANE_TURN_RIGHT2": "   YAW RIGHT"
"CBA_VDC_ACCELERATE": "   ACCELERATE"
"CBA_GAC_WEAPON_SELECT_6": "   WEAPON SLOT 6"
"CBA_GAC_NEXT_RADIO": "   NEXT RADIO STATION"
"HASH_9B5D8AF0": "TEAM FORTRESS 2 WEAPON COSTUMES"
"PLT_QUIT_GAME": "QUIT TO DESKTOP"
"PC_HIDE_HUD": "HIDE HUD"
"MENU_CATEGORY_HELI": "HELICOPTER"
"MAINMENU_SYSLINK": "LAN GAME"
"HASH_1CF94FB0": "Flamethrower Ammo"
"HASH_E1C34AF0": "THE D-PAD"
"HASH_99463830": "THE A BUTTON"
"HASH_D211C4F1": "{JUMP_CLIMB_IMG} ENGAGE JUMP JETS \n{CROUCH_IMG} DECREASE ALTITUDE \n{MELEE_NUT_SHOT_IMG} DISENGAGE JUMP JETS"
"PC_CA_EDIT_EXPORT": "LOAD AND EDIT"
"CBA_VDC_OFFHAND_GRENADE": "   USE POWER"
"HASH_F44E5932": "%ls has invited you to play. \nWould you like to join?"
"PLT_MENU_AMBIENT_OCCLUSION": "    AMBIENT OCCLUSION"
"PC_W_OVERCAST": "OVERCAST"
"PC_RECORD_MODE_ENABLE_WARNING": "VIDEO RECORD MODE MAY CAUSE PERFORMANCE SLOWDOWN. DUE TO LEGAL REASONS MUSIC AND RADIO WILL ALSO BE DISABLED. CONTINUE?"
"PC_EXIT_HINT": "EXIT THE CLIP EDITOR"
"PC_DELETE_CZ": "DELETE"
"PC_CREATE_CHAR": "CREATE/IMPORT"
"PC_AV_EXIT_HINT": "CLOSE THE ENVIRONMENT DIALOG"
"HASH_DB55A772": "IN THE TANK"
"HASH_587E01F3": "TEAM FORTRESS 2"
"PLT_MENU_ANTI_ALIASING_TOOLTIP": "SMOOTH THE ROUGH EDGES"
"PC_SCROLL": "SCROLL"
"PC_POSITION_CAMERA": "POSITION CAMERA"
"PC_HANDYCAM": "HANDYCAM"
"CBA_OFC_MELEE_NUT_SHOT": "   MELEE ATTACK"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG": "   TURN LEFT"
"HASH_FB9050F3": "THE A BUTTON"
"HASH_DB85D4B3": "THE A BUTTON"
"TUT_HELICOPTER_ENTRY_PC": "{HELI_UP_IMG} INCREASE ELEVATION\n{HELI_DOWN_IMG} DECREASE ELEVATION\n{HELI_DRIVE_TURN_SELECT_IMG}+{HELI_LEFT_RIGHT_IMG} QUICK TURNING"
"PC_SM_VERY_SLOW": "VERY SLOW"
"PC_RECORD_MODE_CANCEL_ENCODE": "ARE YOU SURE YOU WANT TO CANCEL VIDEO SAVE?  VIDEO WILL BE LOST."
"PC_GREEN_SCREEN": "GREEN SCREEN"
"PC_CAMERA_DONE_HINT": "CLOSE THE DIALOG"
"MENU_RIGHT_MOUSE": "Right Mouse"
"MENU_ON": "ON"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_NEG": "   MOVE BACKWARD"
"HASH_91709034": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_b][/format]"
"PLT_MENU_POST_PROCESSING_DETAIL_TOOLTIP": "HDR, MOTION BLUR, AND DEPTH OF FIELD"
"PC_RECORD_MODE_PATH": "\\Documents\\My Games\\Saints Row The Third\\Videos\\"
"PC_MOVEMENT_SENSITIVITY": "MOVEMENT SENS."
"PC_CM_FOLLOW_LOOK": "FOLLOW LOOK"
"MENU_OPTIONS_GAMEPLAY_DIFFICULTY_TIP": "SET GAME DIFFICULTY"
"MENU_HIGH": "HIGH"
"HASH_5E8759F5": "The weapon explodes vehicles MUCH more quickly"
"CBA_VDC_BIKE_LEAN_FWD": "   BIKE LEAN FORWARD"
"HASH_0892F635": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_a][/format]"
"MULTI_MATCHMAKING": "MATCHMAKING"
"PC_SOUNDFX": "SOUND FX"
"PC_CA_DELETE": "DELETE"
"PAUSE_MENU_PLAYBACK_MODE": "EDIT CINEMA CLIP"
"MENU_MOUSE_WHEEL_UP": "Wheel Up"
"MENU_MOUSE_CONTROLS_HORIZ_SENS": "MOUSE SENSITIVITY LEFT/RIGHT"
"HUD_DROP_ITEM_MESSAGE": "DROP %ls"
"CBA_GAC_WEAPON_SELECT_2": "   WEAPON SLOT 2"
"CAA_DRIVE_STEER_POS": "   STEER RIGHT"
"HASH_77F1E736": "Connection to Xbox Live lost."
"HASH_1D55FA37": "Link your Epic account to play with your friends from the Epic Store and Steam."
"HASH_32DE2B37": "The Row meets the Pyro"
"PC_SHOW_HUD_HINT": "TOGGLE INTERFACE TRANSPARENCY"
"PC_CONFIRM_EXPORT": "CONFIRM EXPORT"
"PC_ADVANCED_MODE": "ADVANCED MODE"
"MENU_OPTIONS_GAMEPLAY_AIRPLANE_TIP": "NORMAL: EASY TO PICK UP AND PLAY; ADVANCED: FLIGHT SIM"
"MAINMENU_SYSLINK_TITLE": "LAN"
"HASH_406AD377": "Builders League United forever!"
"CBA_GAC_WEAPON_SWITCH_CW": "   NEXT WEAPON"
"CBA_GAC_MACHINIMA_QUICKSAVE": "   SAVE VIDEO"
"CAA_WALK_FORWARD_BACKWARD_POS": "   MOVE FORWARD"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_POS": "   MOVE FORWARD"
"HASH_87FA6AF7": "THE A BUTTON"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "The Save Process has failed because the default\nStorage Device is no longer available."
"PLT_MENU_LIGHTING_DETAIL": "    LIGHTING DETAIL"
"PC_GS_PEOPLE_HINT": "TOGGLE NON-PLAYER HUMANS RENDERING"
"PC_DOF_HINT": "DEPTH OF FIELD TYPE - AFFECTS DISTANCE AND FOCAL RANGE"
"PC_AUDIO_TOGGLES": "AUDIO"
"MENU_SECONDARY_ASSIGNMENT": "ALTERNATE BUTTON ASSIGNMENT"
"PC_RECORD_MODE_ERROR_NO_ENABLED": "ENABLE RECORD MODE IN THE PAUSE MENU TO SAVE VIDEO."
"PC_OUTPUT_ONLY_HINT": "HIDE THE TIMELINE AND OTHER INFO DURING EXPORT"
"CBA_VDC_HELI_TURN_LEFT": "   TURN LEFT"
"CBA_GAC_WEAPON_SELECT_7": "   WEAPON SLOT 7"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_POS": "   MOVE FORWARD"
"HASH_E95FF979": "RIGHT STICK"
"HASH_A0159179": "LOCAL PLAY"
"PLT_MENU_TEXTURE_FILTER_MODE_TOOLTIP": "HIGHER IS BETTER, BUT SLOWER"
"PLT_MENU_SETUP_MIC": "SET UP MICROPHONE"
"PC_SM_SLOW": "SLOW"
"PC_MOUSE": "MOUSE"
"MENU_OPTIONS_CLIP_SELECT": "CINEMA CLIPS"
"MENU_LOW": "LOW"
"CBA_OFC_SPRINT_TOGGLE": "   SPRINT (TOGGLE)"
"CBA_GAC_WEAPON_SWITCH_CCW": "   PREV WEAPON"
"CAA_WALK_FORWARD_BACKWARD_NEG": "   MOVE BACKWARD"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_NEG": "   MOVE BACKWARD"
"PLT_MENU_RESOLUTIONS_TOOLTIP": "SELECT YOUR DESIRED RESOLUTION"
"PC_WATERMARK_HINT": "EXPORT WITH A SAINTS ROW IV LOGO IN THE CORNER"
"PC_SELECT_TARGET": "SELECT TARGET"
"PC_GS_PLAYER_HINT": "TOGGLE THE PLAYER RENDERING"
"HASH_EED430FB": "BLU TEAM"
"CBA_VDC_TANK_FIRE_PRIMARY": "   FIRE WEAPON"
"CBA_GAC_ACTION": "   ACTION"
"CAA_DRIVE_STEER_NEG": "   STEER LEFT"
"HASH_F2DD83FB": "[format][scale:1][color:full_bright][image:ui_ctrl_360_dpad_r][/format]"
"HASH_1CA7D3BB": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_y][/format]"
"HASH_DD290C7B": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_x][/format]"
"HASH_3446597C": "TF2 FLAMETHROWER"
"PC_GS_VEHICLES": "VEHICLES"
"PC_EXPORT_HINT": "EXPORT THE CLIP TO VIDEO"
"HASH_0484A53C": "It's just like the blue one, only red!"
"CBA_VDC_PLANE_FIRE_PRIMARY": "   FIRE WEAPON"
"MUST_LOG_IN_CONFIRM": "You must be signed in to Xbox Live to use this feature.\nSign in?"
"HASH_290FDE3D": "Invite friends or matchmake. To invite friends from outside Steam go to 'Link Account'."
"HASH_A6D294BD": "Do you want to unlink your Epic account?"
"HASH_24103FFD": "You must be signed in to Epic Account to access this feature."
"PLT_MENU_TEXTURE_FILTER_MODE": "    FILTER MODE"
"PLT_MENU_DISPLAY_MODE_TOOLTIP": "FULLSCREEN OR WINDOWED"
"PLT_MENU_BRIGHTNESS_TOOLTIP": "OPEN SCREEN BRIGHTNESS MENU"
"PC_RECORD_MODE_TEXT": "Enable Record Mode to save your last moments of gameplay straight to video. Press  ([format][color:#9400C5]{0}[/format]) to export.\n\nVideos are saved to:"
"PC_COPY_CURRENT_HINT": "CREATE A NEW CAMERA ZONE BASED ON THE CURRENT ZONE"
"PC_ACT_ESCORT_TOUCH_MINIGAME_MSG": "Find the special spot. Then hit it."
"MOUSE_TITLE": "CONTROLS"
"MAINMENU_MACHINIMA_MODE": "EDIT CINEMA CLIPS"
"CBA_VDC_HORN": "   HORN"
"CBA_SUPER_QUICK_TELEKINESIS": "   SELECT TELEKINESIS"
"HASH_22CE0A7D": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_start][/format]"
"MENU_ULTRA": "ULTRA"
"MENU_MOUSE_CONTROLS_INVERT_X": "INVERT MOUSE AIM LEFT/RIGHT"
"COOP_REMOTE_CHEAT_STARTING": "Your co-op partner is using Cheats. Any new save games created will have Cheats enabled.\nAutosaving has been disabled and you will not be able to earn any more Achievements."
"CAA_PLANE_ROLL_LEFT_RIGHT_POS": "   TURN RIGHT"
"HASH_B617EDBF": "MATCHMAKING"
"TUT_STREAKING_PC": "{RECRUIT_DISMISS_IMG} to start Streaking. \nWhile not wearing any clothes the Streaking diversion is available. "
"PC_PROPS": "PROPERTIES"
"PC_LOAD_CHAR_HINT": "LOAD THE DEFAULT CHARACTER MODEL"
"PC_GS_VEHICLES_HINT": "TOGGLE VEHICLE RENDERING"
"PC_CAM_TILT_HINT": "THE CAMERA TILT"
"CBA_VDC_VTOL_TRANSITION": "   SWITCH VTOL MODE"
"CBA_GAC_GRENADE_SELECT_3": "   SELECT BUFF"
"CBA_GAC_CELL_OPEN": "   HUB MENU"
"HASH_2972153F": "THE A BUTTON"
