"HASH_0FFDDB00": "RECRUITING"
"HASH_F3055954": "OUTFIT - KNIGHT OF STEELPORT"
"HASH_8D7D1754": "Moderate reduction in damage taken from explosions."
"HASH_325BB654": "CONFIRMING RIFT START WITH %ls"
"HASH_D89E7755": "BLING SHOTGUN"
"HASH_57791055": "DIVERSION COMPLETE"
"HASH_3EA20B55": "Remember: Collect cash from your owned properties in the Hub Menu."
"HASH_0D90A655": "GANG - NEW VEHICLES"
"HASH_6AE73F55": "OUTFIT - BLOODY CANNONESS"
"HASH_65FD4855": "10%% bonus to ALL Respect earned for destroying the Morningstar HQ"
"HASH_41742855": "You store 10%% more ammo in your Crib Weapon Cache."
"HASH_C3456255": "MAP BOOKMARK"
"HASH_0D144755": "Saintified"
"HASH_6BD93956": "HOMIE - SHAUNDI"
"HASH_01E0F556": "GANG CUSTOMIZATION"
"HASH_B1C20B56": "GANG CUSTOMIZATION"
"HASH_89C72E56": "Carry 50%% more shotgun ammo"
"HASH_8F1A7456": "Carry 100%% more grenades"
"HASH_888B9656": "Carefully bump into people to steal their cache!"
"HASH_856ED356": "CARVER ISLAND"
"HASH_B3E8B156": "Call in some Saint reinforcements."
"HASH_D05FF556": "SHARK"
"HASH_3CDE3D56": "M2 GRENADE LAUNCHER"
"HASH_AE9F6F57": "Unlimited Stamina. Just keep flying to your heart's content."
"HASH_8DD1C157": "Ultor has made the murder of dignitaries even easier with this fully automatic sniper rifle."
"HASH_74A94957": "Julius has got your back."
"HASH_01C1E358": "RESPECT BONUS"
"HASH_2AF56758": "Air Force One has nothing on this."
"HASH_DA994658": "Increase all Cache received by 5%%"
"HASH_4BF0DA58": "Your City Income Transfer Limit is increased for upgrading the Powder crib."
"HASH_CB4C3C58": "WEAPON CACHE AMMO"
"HASH_CF86F358": "WEAPON CACHE AMMO"
"HASH_91F2A858": "SIERRA POINT"
"HASH_77FB8A58": "MECH SUIT"
"HASH_F4825E59": "10%% bonus to all XP earned."
"HASH_DEDCC559": "JOIN {PARTNER_NAME}'s QUEST"
"Chainsaw": "WOODSMAN"
"HASH_88ED6C5A": "{ACCELERATE_IMG} ACCELERATE \n{BRAKE_REVERSE_IMG} BRAKE + REVERSE\n{HANDBRAKE_IMG} DRIFT"
"HASH_6A36D15A": "HACK - VEHICLE DELIVERY"
"HASH_5DD1875A": "The Silver Age Princess costume as introduced in Queen Amazonia #128!"
"HASH_3EF7035A": "LIN"
"HASH_979EDE5B": "VTOL CONTROLS"
"HASH_ACE4385B": "CRIBS"
"HASH_8D9DE65B": "WARDROBE"
"HASH_9113845B": "Collect virus laden vehicles to increase your control of the world."
"HASH_7D884D5B": "WEAPON - SA3 AIRSTRIKE"
"HASH_D738205B": "NOTORIETY - DECKERS 3"
"HASH_598E9F5B": "GANG - NEW VEHICLES"
"HASH_6BF4D25B": "Carry 50%% more pistol ammo"
"HASH_0836815B": "You now receive a 5%% bonus to all Respect earned for acquiring the Powder crib."
"HASH_FCA5075B": "SWAT TEAM"
"HASH_1DF9FB5B": "MUGGING"
"HASH_D65B895B": "RETRY OR EXIT STRONGHOLD?"
"HASH_ED5B525C": "TAUNTS / COMPLIMENTS"
"HASH_8849145C": "Carry 75%% more rifle ammo"
"HASH_6E39C05C": "Unlimited explosive ammo"
"HASH_9D7B875D": "You now receive a 15%% bonus to Hourly City Income from the Carver Island district."
"HASH_DA0C9A5E": "DISCOUNT - WEAPONS"
"HASH_F5E8895E": "NOTORIETY - MORNINGSTAR 3"
"HASH_EF87705E": "HIDDEN"
"HASH_49C8515E": "RESET OR EXIT RIFT?"
"Molotov": "MOLOTOVS"
"HASH_83384D5E": "Attempting hack..."
"HASH_9232E35F": "{ACTION_IMG} GRAB HUMAN SHIELD\nHuman Shields block bullets and can allow recovery time."
"HASH_51BC615F": "GANG CUSTOMIZATION"
"HASH_D0F7EF5F": "Call for a SWAT team to help in combat"
"HASH_6CABAC5F": "Recruit Two Saint followers. Press {RECRUIT_DISMISS_IMG}  to recruit nearby Saints."
"HASH_BDD6395F": "MELEE - POWER 3"
"HASH_5C33AF5F": "Call in a squad of Super Saints to back you up."
"HASH_C21B6A60": "Use TK [image:ui_hud_gsi_obj_tele] to throw explosive CIDs at Zinyak."
"HASH_1312BB60": "You now have a set of Watercraft available at your Gateway Garage"
"HASH_CAB55660": "Saints Backup can be found in your HUB \\"PHONE\\" menu. Saints will arrive to help in combat"
"HASH_3A37DF60": "You now receive a 15%% bonus to all Respect earned for upgrading the Nuke Plant crib."
"HASH_E3E88A60": "Resurrect Johnny Gat's zombie corpse for backup."
"HASH_D6BFDB60": "SHARK-O-MATIC"
"HASH_1CA78D61": "Drive Lin around, avoiding pursuers, while she gets revenge on William Sharp."
"HASH_641EB261": "You will be immune to explosive damage."
"HASH_2116FC61": "NEW"
"HASH_0B32F061": "{SKIP_MODAL_SEQUENCE_IMG} VOTE TO SKIP"
"HASH_79120162": "GANG CUSTOMIZATION"
"HASH_DF2CB262": "Customize vehicles"
"HASH_FFF5C362": "Carry 50%% more special ammo"
"HASH_52155D62": "Super Power Team Up!"
"HASH_4E6E5A63": "VEHICLE - AIRCRAFT"
"HASH_EADDF163": "Light reduction in damage when hit by a vehicle."
"HASH_B9786F63": "You store 10%% more ammo in your Crib Weapon Cache."
"HASH_C0F04C63": "NOTORIETY HACK"
"HASH_39051963": "STAG's rifle utilizes laser technology to eliminate the need for reloading clips.  Watch out for overheating."
"HASH_AC56BA63": "JUMP ON KILLBANE"
"HASH_34E82664": "Running over weapons you don't have automatically picks them up.\nTo change your equipped weapon press and hold {WEAPON_MENU_IMG} then use {WEAPON_SELECT_IMG} to select a weapon."
"HASH_0BA81864": "REWARD: Increased Hourly Cash Income"
"HASH_30D51064": "GANG - WEAPONS - SHOTGUNS"
"HASH_667B6764": "OUTFIT - QUEEN AMAZONIA"
"HASH_23883264": "You can now have Cops in your gang."
"HASH_07B67164": "Bring in Shaundi to help you out."
"HASH_534A6964": "INCINERATOR"
"HASH_F9BB1964": "SWITCH MODE"
"HASH_B0243F65": "AMMO - RIFLE"
"HASH_E497BA65": "Homies get a large health boost"
"HASH_7D00AA65": "DAMAGE - SMALL ARMS 2"
"HASH_D6B15165": "VEHICLE DELIVERY"
"HASH_681EC365": "First of Many"
"HASH_622D1D66": "{SPRINT_IMG} SPRINT through checkpoints. \n\nHit [format][color:green]Super Boost Orbs[/format] for even more speed.\n\nUpwards arrows mean jump soon!"
"HASH_4D4ECC66": "VEHICLE - STAG TANK"
"HASH_41E94B66": "GANG - HEALTH INCREASE"
"HASH_7C6FDF66": "OUTFIT - TOILET"
"HASH_E5F04D66": "Lays down magnetic proximity mines that can catch foes flatfooted."
"HASH_6C906A66": "SONIC BOOM"
"HASH_EF03D866": "Benjamin [CENSORED] King"
"HASH_58D65C67": "HOMIE - ZOMBIE BACKUP"
"HASH_6E1FD167": "Health regenerates slightly faster"
"HASH_1D712D67": "STARTING A NEW QUEST"
"HASH_2B401567": "ATTACK KILLBANE"
"HASH_83798768": "{ACTION_IMG} THROW SHIELD \nPRESS {CBA_OFC_HS_EXECUTE_IMG} EXECUTE SHIELD"
"HASH_F837E268": "Gang customization lets you choose what your Saints wear, drive and say."
"HASH_B6515F68": "AMMO - SMG 3"
"HASH_0DD86368": "VEHICLE - TANK"
"HASH_4BBA7568": "New Downloadable Content is available in your Gateway Weapon Cache, Wardrobe, and Virtual Garage."
"HASH_57A88468": "STAG's version of the shotgun.  No reload time, but watch out for overheating."
"HASH_4B40C469": "You have unlocked more of the SNATCH Activity. \nCheck your MAP for locations."
"HASH_8900C569": "Zimos can be found in your HUB \\"PHONE\\" menu. He will help the Saints in combat."
"HASH_74FEBC69": "DAMAGE - FALL"
"HASH_24353769": "This alien weapon lays down the law ... and a blast of superheated plasma."
"HASH_6BB04869": "The absurdity of a sex toy with the lethality of a baseball bat."
"HASH_164BFC6A": "WEAPON - RC POSSESSOR"
"HASH_99FD016A": "Your gang can now use Decker vehicles."
"HASH_376CFE6A": "PLEASE RECONNECT THE CONTROLLER AND PRESS {PAUSE_MENU_IMG} TO CONTINUE"
"HASH_0982FB6B": "WESLEY CUTTER INTL"
"WPNCAT_SUB_MACHINE_GUN": "SMG"
"SMG_STORM": "RAPID-FIRE SMG"
"HASH_71F8656C": "AMMO - PISTOL 3"
"HASH_01EB986C": "Your City Income Transfer Limit is increased for acquiring the Nuke Plant crib."
"HASH_C205586C": "You must wait for your partner to finish joining."
"HASH_EF95136D": "[format][color:red]UNMASK KILLBANE[/format]"
"HASH_16E3C56D": "REWARD: Killbane's mask"
"HASH_C803016D": "HOMIE - ZOMBIE GAT"
"HASH_15D6ED6D": "Your Deckers Notoriety will decay at a faster rate"
"HASH_04C98C6D": "MINETHROWER ARM"
"HASH_17E54D6D": "How It Should Be"
"HASH_552B9E6E": "DOWNLOADABLE CONTENT"
"HASH_F5D51F6E": "UPGRADES"
"HASH_62B7E46E": "NOTORIETY - FASTER DECAY"
"HASH_1299856E": "HOMIE - WEAPONS"
"HASH_C2BD7E6E": "CONFIRMING MISSION START WITH %ls"
"HASH_6505726E": "HYDRAULICS OFF"
"HASH_2C584B6F": "STRONGHOLD - 3 COUNT"
"HASH_FA78716F": "Luchadore vehicles are available at your Gateway Garage"
"HASH_3538C86F": "10%% bonus to ALL Cache earned."
"HASH_C911D570": "Provide protection for C.I.D."
"HASH_66477570": "Carry 25%% more rifle ammo"
"HASH_42906F70": "SKILL - BLOODY MESS"
"HASH_7AD10C70": "NEW BARANEC"
"HASH_447F8070": "Give your foes a close encounter. Also works on cows."
"HASH_5D48B370": "SUIT BLASTER"
"HASH_ECF48570": "ADD WATERCRAFT TO ACCESS DOCK"
"HASH_8A314270": "PLEASE RECONNECT THE XBOX 360 CONTROLLER AND PRESS {PAUSE_MENU_IMG} TO CONTINUE"
"HASH_23176070": "Half Way Home"
"HASH_D9CF8A70": "A Real Cluster..."
"HASH_ED4FAE71": "Find Assassination Targets, Vehicle Theft Lists, and Challenges in SAINTSBOOK on your Cell Phone."
"HASH_7375E671": "You now receive a 5%% bonus to Hourly City Income from the Carver Island district."
"HASH_E6B65A71": "Upgrade your gang members to carry Shotguns"
"HASH_0C7FFF71": "You will not take any damage from bullets and lasers."
"HASH_6DD9BE71": "EXIT SATELLITE"
"HASH_1BE6E872": "NOTORIETY - MORNINGSTAR"
"HASH_6BB89572": "At last, the range of a rifle paired with the finesse of a brutal curbstomp!"
"HASH_F1262373": "WEAPON STORES"
"HASH_3A8AC573": "You will not take ANY damage from fire."
"HASH_33954A73": "Killbane's Mask is now available to wear"
"HASH_53D85873": "MELEE - POWER"
"HASH_0FE0D373": "COMPLETED"
"HASH_976FF674": "Clothing stores let you to customize your character.  Buying clothes earns [format][color:purple]XP[/format]."
"HASH_9B56EF74": "Carry 50%% more explosive ammo"
"HASH_34972774": "Increase all Cache received by 15%%"
"HASH_9AD09274": "SEC"
"HASH_2A73E774": "FLASHPOINT CLEARED"
"HASH_5009FC74": "Saints & Sensibility"
"HASH_6BC60175": "HELICOPTER WEAPONS"
"HASH_B7594475": "STRONGHOLD - BURNS HILL REACTORS"
"HASH_30238475": "Hourly City Income of {GAME_CASH}1,000 for keeping the Morningstar hos"
"HASH_F9246E75": "Sprint 100%% longer"
"HASH_1CB09075": "New Downloadable Content available in your Crib Wardrobe and Garage."
"HASH_47051C75": "A long, wooden stick.  Good for beating things.  Enough said."
"HASH_36826375": "RC POSSESSOR"
"HASH_16682875": "SHOTGUN AMMO"
"HASH_1A858A76": "AIRPLANE CONTROLS"
"HASH_396E6B76": "OUTFIT - CARDINAL OUTFIT"
"HASH_2D0B3476": "TRANSFER LIMIT"
"HASH_93B3A777": "DRONE WEAPONS"
"HASH_39364177": "NOTORIETY - DECKERS"
"HASH_4BF7BE77": "You now have a STAG VTOL available at your Gateway Garage"
"HASH_E638E077": "You now receive a 15%% bonus to all Respect earned for upgrading the Powder crib."
"HASH_29DEFB77": "You can now have Mascots in your gang."
"HASH_75006A77": "Before the technology was licensed to STAG, the Ultor Interceptor was the original jetbike. "
"HASH_987DC777": "You now have the cyberspace car and bike available at your Gateway Garage"
"HASH_3F25AC77": "DAMAGE - VEHICLE 2"
"HASH_150D5777": "The handgun of choice for any Saint."
"HASH_D7AD6E78": "DISTRICT CASH PER HOUR"
"HASH_EE359178": "VEHICLE - SCREAMIN' EAGLE JET"
"HASH_1D0B3878": "OUTFIT - WARRIOR PRINCESS"
"HASH_33D50578": "Unlimited pistol ammo"
"HASH_80294978": "Upgrade your gang members to carry Rifles"
"HASH_F5FA2B78": "GANG - REVIVE TIMER 2"
"HASH_723EEA78": "ARAPICE ISLAND"
"HASH_F5542578": "Definitely not street-legal, but when did that stop The Saints?"
"HASH_CD9F1078": "It's all good - especially when every gang kill with this weapon snags you extra Respect."
"HASH_DC9BBB78": "Stun your enemies with this grenade."
"HASH_D57EAD79": "C.I.D."
"HASH_202BFB79": "Attach this explosive charge to anything you throw it at.  Just be sure you're clear before you hit the detonator."
"HASH_AF74AE79": "USE COMPUTER"
"HASH_6E271F7A": "CHALLENGES"
"HASH_166C747A": "CAR COMBAT"
"HASH_E4C7777A": "REWARD: Weapon upgrade cost reduction"
"HASH_6114157A": "Carry 25%% more grenades"
"HASH_B74FB97A": "Your Notoriety will decay at a faster rate"
"HASH_E674217A": "Further increases the power of your punches and how far you can throw people."
"HASH_71A07A7A": "Harder instances of the FRAUD Activity are available in the simulation. \nCheck your MAP for locations."
"HASH_EE642A7A": "The ultimate space princess outfit complete with gloves, skirt, and boots."
"HASH_2CB1707A": "CRIB - BURNS HILL REACTORS"
"HASH_93C39C7A": "WEAPON CACHE AMMO"
"HASH_BB659F7A": "MI"
"HASH_A6FD2A7A": "CRUISE CONTROL"
"HASH_7CD2347B": "Stunt Jumps are scattered throughout Steelport. Look for them everywhere you go!"
"HASH_410CD77B": "FORCE SHIELD"
"RIFLE_GANG": "AUTOMATIC RIFLE"
"PISTOL_GANG": "HEAVY PISTOL"
"HASH_DFAD9C7B": "YOU CAN'T STORE THIS VEHICLE IN A GARAGE"
"HASH_90182B7B": "Chill Out"
"HASH_E043F47C": "SKILL - NITROUS"
"HASH_5E2EE47C": "CRIB - SHAUNDI'S EX'S APARTMENT"
"HASH_3D44667C": "COLLECTIBLE FINDER"
"HASH_B8564A7C": "+{0}SEC"
"HASH_ED8D8C7C": "YOU MUST BE IN A VEHICLE TO ACTIVATE THIS TRIGGER"
"HASH_DB90757D": "MELEE COMBAT"
"HASH_9DD93F7D": "COMMANDER-IN-CHIEF PACK"
"HASH_C16EBC7D": "REWARDS - STAG"
"HASH_FCC4907D": "100,000 Cache."
"HASH_580A387D": "TIKI TORCH"
"HASH_0037AA7D": "One hit. One kill. No mess to clean up."
"HASH_4C0A707D": "ACTIVATE WARP POINT"
"HASH_FCF8067E": "TIME OF DAY"
"HASH_92A7467E": "Hourly Cache Transfer of {game_cash}1,500"
"HASH_79C0A97E": "Kinzie can also be called into the simulation from your HUB \\"PHONE\\" menu. She will help the Saints in combat."
"HASH_2889F87E": "ALIEN SMG"
"HASH_0C3C0E7E": "The Two Shaundis"
"HASH_4F9E4B7F": "GANG - NEW VEHICLES"
"HASH_4D2CFF7F": "Instantly reload your pistols"
"HASH_C348B67F": "DAMAGE - EXPLOSIVE 3"
"HASH_F392647F": "BURNS HILL"
"HASH_D5CAF880": "STOMP"
"HASH_C17E8981": "TK CIDs"
"HASH_FD497881": "HOLDUPS"
"HASH_C8666E81": "{WEAPON_MENU_IMG} + {WEAPON_SELECT_IMG} SWITCH WEAPONS"
"HASH_43A6B781": "SILVERLINK - HAIRSTYLE"
"HASH_029D2881": "Four times as much Cache is dropped by deleted simulations"
"HASH_DF686381": "CITY TAKEOVER"
"HASH_C5909E81": "For huge explosions and firepower, you can't go wrong with a rocket launcher."
"HASH_C9939281": "CASH {0}"
"HASH_7F92CB82": "Jewelry Stores allow you to customize your character. Buying jewelry earns [format][color:purple]XP[/format]."
"HASH_B04ACB82": "{CBA_OFC_HS_EXECUTE_IMG} QUICK KILL HUMAN SHIELD"
"HASH_885D0F82": "Deep Silver weapon costume for the Guardsman AR."
"HASH_21CE8582": "Customize characters"
"HASH_70C0A582": "PARTNER'S OBJECTIVE"
"HASH_3E960082": "TENTACLE BAT"
"HASH_31BEE882": "Joe Magarac's fabled ladle, like Paul Bunyan's axe but with greater carrying capacity."
"HASH_C0A88D83": "AMMO - GRENADES"
"HASH_E73F5883": "HOMIE - HELI"
"HASH_A11DCE83": "REVIVE - SPEED 3"
"HASH_FB410C83": "CONFIRMING ACTIVITY START WITH %ls"
"HASH_2186FE83": "Get some backup from Kinzie."
"HASH_C3D65383": "Machine Man"
"HASH_38779784": "5%% bonus to ALL XP earned"
"HASH_60D22484": "Rewards tied to STAG mission choices have been granted. Check your Phonebook and Crib Weapon Stash and Garage."
"HASH_922E1F84": "DEATH FROM ABOVE"
"HASH_E9670B85": "RADIO CONTROL"
"HASH_1CD82A85": "HOLD {ATTACK_PRIMARY_IMG} CHARGE BLAST"
"HASH_383C7185": "[format][color:red]DESTROY ZOMBIE VIRUS FOR THE MAYOR[/format]"
"HASH_5D5CA885": "[format][color:Purple]TAKE OVER A VEHICLE MANUFACTURER[/format]"
"HASH_678DF585": "GANG CUSTOMIZATION"
"HASH_161CDB85": "GANG CUSTOMIZATION"
"HASH_54194185": "Equip the Chainsaw at your Crib Weapon Cache."
"HASH_7C6CB385": "You now have a STAG tank available at your Gateway Garage"
"HASH_11078B85": "You have unlocked the Slow Motion cheat."
"HASH_FA927A85": "BONUS - CASH"
"HASH_F697B885": "Wipe your current Law Enforcement Notoriety."
"HASH_EF45AF85": "ANGEL"
"HASH_424BE385": "A brutally-effective street-sweeper of alien design."
"HASH_1C70BD85": "MOUNTED .50 CAL"
"HASH_EF06F485": "DELETED"
"HASH_903B1185": "YOU CANNOT CUSTOMIZE YOUR CAR DURING A MISSION OR ACTIVITY"
"HASH_C3791E86": "DJ VETERAN CHILD"
"HASH_13E3C587": "Drive fast and safe to keep the Tiger happy and increase your courage."
"HASH_922DEB87": "DISTRICT CASH PER HOUR"
"HASH_B2582B87": "You reload all weapons faster"
"HASH_D94B7687": "CRIB - KINZIE"
"HASH_76311787": "EXECUTE"
"HASH_B1382C87": "You did %5.1f damage!"
"HASH_7E818188": "NITROUS"
"HASH_12B90088": "BONUS - XP 3"
"HASH_A5AA1788": "{0}{TEMP_DEGREES}"
"HASH_0C647988": "%ls has hacked a new store.  Now you both own it."
"HASH_CF006389": "[format][color:green]GO TO THE STATUE[/format]"
"HASH_A7BCFA89": "[format][color:blue]DELIVER HOS TO MORNINGSTAR[/format]"
"HASH_C2DC2389": "[format][color:yellow]DISARM THE BOMB[/format]"
"HASH_24AC2A89": "DISTRICT CASH PER HOUR"
"HASH_083D4489": "CRIB - ZIMOS' PAD"
"WPNCAT_THROWN": "THROWN"
"HASH_02433789": "SA-3 AIRSTRIKE"
"HASH_CF3D318A": "You now own this neighborhood. \nEach hour you will receive a small income from it, delivered to your crib stash. You can also purchase a stake in any stores in this hood to receive additional hourly income."
"HASH_B9F18E8A": "STAMINA - INCREASE 2"
"HASH_8195BC8A": "GANG CUSTOMIZATION"
"HASH_C44ABA8A": "FASTER RELOADS 1"
"HASH_8016F38A": "The mocap suit outfit has been added to your Crib Wardrobe"
"HASH_329E828A": "LOREN SQUARE"
"HASH_9199B28B": "WEAPON CACHE"
"HASH_C0A86C8B": "DISTRICT CASH PER HOUR"
"HASH_3393CC8B": "GANG CUSTOMIZATION"
"HASH_A3743E8B": "DUAL WIELD - PISTOLS"
"HASH_9456EE8B": "Harder instances of the BLAZIN Activity are available in the simulation. \nCheck your MAP for locations."
"HASH_62A0DE8B": "You have unlocked more of the HELI ASSAULT Activity. \nCheck your MAP for locations."
"HASH_0401948B": "Moderate increase in the melee damage you deal."
"HASH_FB99EC8B": "DAMAGE - FIRE"
"HASH_C262768B": "ABANDON MISSILE"
"HASH_EC4F3B8B": "Back in the Day"
"HASH_5BE32B8C": "TRAFFICKING"
"HASH_F05EDE8C": "Dual Wield SMGS"
"HASH_DB08388C": "HR"
"HASH_7DFF628D": "CAR CONTROLS"
"HASH_BE4DD88D": "HEALTH - UPGRADE 2"
"HASH_5571218D": "Decker vehicles are available at your Gateway Garage"
"HASH_97E0DE8D": "Viola can be found in your Cell Phone \\"PHONE\\" menu. She will help the Saints in combat."
"HASH_EEC92C8D": "OBJECTIVE"
"HASH_267FEA8D": "YOU CAN'T STORE THAT KIND OF VEHICLE HERE"
"HASH_C1874D8E": "SECONDARY FIRE"
"HASH_2BB4F38E": "VEHICLE - NYTE BLAYDE VEHICLES"
"HASH_4EE91E8E": "TAC SMG"
"HASH_52B7758E": "XP +{0}"
"HASH_5AC8968F": "SILVERLINK - WEAPON COSTUME"
"HASH_EB340D8F": "DANE VOGEL"
"HASH_6B99EB8F": "QUEST COMPLETE"
"HASH_F9EB7990": "{HELI_FIRE_PRIMARY_IMG} FIRE CHAINGUN \n{HELI_FIRE_SECONDARY_IMG} FIRE ROCKETS"
"HASH_EDD85390": "MAERO"
"FART_IN_A_JAR": "FART IN A JAR"
"HASH_ACFAC491": "Bring hos back safely from their abusive pimps."
"HASH_9D6CBC91": "MELEE - SUPER STRENGTH 2"
"HASH_94F0CF91": "You now have the cyber tank available at your Gateway Garage"
"HASH_2AC49791": "Your Morningstar Notoriety will decay at a slightly faster rate"
"HASH_B5ED9591": "You will not take ANY damage from falls."
"HASH_57A9ED91": "The Burns Hill Reactor is now a Saints Crib. Access your Weapons Cache, Clothes, and Customize your Gang here."
"HASH_6F243F91": "Convert Cache to 8,000 XP"
"HASH_FEF10691": "TRANSFER LIMIT"
"HASH_A3500491": "REPAIR VEHICLE FOR {GAME_CASH}%d"
"HASH_F0D37292": "TANK MAYHEM"
"HASH_5D3CAC92": "REWARD: Permanent Cash Bonus"
"HASH_8D3DB992": "SILVERLINK - CHEAT"
"HASH_2FFF5692": "Saints will show up in Hoods you own. When you see them Press {RECRUIT_DISMISS_IMG} to recruit nearby Saints to follow you."
"HASH_883F0492": "Start Co-op Activity?"
"HASH_2F387192": "A miniature pistol of obscure origin and unknown capability"
"HASH_F212A792": "ZINTEK FORCE SHIELD"
"HASH_DF40A392": "The Twin Saints"
"HASH_8F8BE393": "{ACCELERATE_IMG} ACCELERATE \n{BRAKE_REVERSE_IMG} REVERSE"
"HASH_F0586D93": "{PLANE_ACCELERATE_IMG} ACCELERATE \n{PLANE_BRAKE_REVERSE_IMG} BRAKE + REVERSE \n{PLANE_TURN_LEFT_IMG}/{PLANE_TURN_RIGHT_IMG} ROLL"
"HASH_5F330C93": "[format][color:Purple]KEEP JOSH WITH THE SAINTS[/format]"
"HASH_72409693": "WEAPON CACHE AMMO"
"HASH_7AD5C194": "VEHICLE - STAG VTOL"
"HASH_31BCE394": "ACCESS TOWER"
"HASH_61481995": "CHARGE WEAPONS"
"HASH_94F73895": "HOLD {WEAPON_MENU_IMG} + {AUDIO_PLAYER_PREV_TRACK_IMG} / {AUDIO_PLAYER_NEXT_TRACK_IMG}\nCHANGE RADIO STATION\n\nYour radio can be accessed at any time, on foot or in a vehicle."
"HASH_74B1F295": "RESPECT BONUS"
"HASH_678B4195": "Equip the Loud Locust at your Crib Weapon Cache."
"HASH_084C1495": "The Cardinal outfit is now available to wear"
"HASH_E7F67F95": "You store 10%% more ammo in your Crib Weapon Cache."
"HASH_E9E80D95": "LIL' CROAKER"
"HASH_670FA495": "Singing, exploding, cuddly, mind-controlling octopi.  Yeah.  Mind-control.  We're serious."
"HASH_5DA55296": "SILVERLINK - WEAPON COSTUME"
"HASH_2D92EF96": "NYTE BLAYDE PACK"
"HASH_B422A296": "You now receive a 10%% bonus to all Respect earned for upgrading the Three Count crib."
"HASH_74E0EE96": "Oleg can be found in your Cell Phone \\"PHONE\\" menu. He will help the Saints in combat."
"HASH_5ECAC696": "Your City Income Transfer Limit is increased for acquiring the Mega Brothel crib."
"HASH_CF1FFF96": "SWAP - CACHE FOR XP"
"HASH_888C9096": "BLOW-UP DOLL"
"HASH_33BFEF96": "Experimental Tech"
"HASH_1035F997": "HELICOPTER CONTROLS"
"HASH_7F2E9C97": "Hacking Stores gives you control of the immediate area and provides an increased Cache Transfer Rate."
"HASH_05B55897": "BONUS - CACHE BOOST 3"
"HASH_A8CCC697": "And you thought turning your head to cough was bad..."
"HASH_10F45D98": "Customized vehicles are saved and can be retrieved, even if destroyed, any time from the HUB - PHONE - VEHICLE DELIVERY menu, Rim Jobs, or Gateway Garage."
"HASH_F15FFC98": "The Bling Shotgun increases the amount of Respect earned for killing enemies."
"HASH_02A36398": "You now receive a 15%% bonus to all Respect earned for upgrading the Mega Brothel crib."
"HASH_28860498": "BOUNCE RIFLE"
"HASH_A9C77D98": "SMG AMMO"
"HASH_E3C35199": "HOMIE - SWAT BACKUP"
"HASH_CF328D99": "Player health is increased by 100%%"
"HASH_11D38399": "You now receive a 10%% bonus to Hourly City Income from the Downtown district."
"HASH_FB1D8D99": "You have unlocked more of the ESCORT Activity. \nCheck your MAP for locations."
"HASH_80C1C599": "DOWNTOWN"
"HASH_4DF47399": "ENTER SIMULATION"
"HASH_646EAE99": "COOL THE WEAPON"
"HASH_A200759A": "During a HEAVY ATTACK press the displayed button to cause increased damage and earn more respect."
"HASH_D529589A": "When called, wipes out all Alien notoriety"
"HASH_96D4BC9A": "WARP TO SHORE"
"HASH_3D9B289A": "This cheat is disabled in Co-Op."
"HASH_5E495B9B": "AMMO - SPECIAL 2"
"HASH_8F30CB9B": "Deep Silver weapon costume for the McManus 2020."
"HASH_FDD7B99B": "The Bloody Cannoness's Bike and the Nyte Blayde Mobile. Speed. Power. Style."
"HASH_C4D8549B": "Medium increase to time before followers bleed out."
"HASH_D409EC9C": "CRUISE CONTROL"
"HASH_2EA1009C": "ZOMBIE HORDE"
"BASEBALL_BAT": "BASEBALL BAT"
"HASH_1AA4399D": "{SHOULDER_CAMERA_IMG} ZOOM"
"HASH_A385399D": "BONUS - CACHE TRANSFER RATE 3"
"HASH_0EA29F9D": "STRONGHOLD - SAFEWORD"
"HASH_CDFB469D": "SCANNED"
"HASH_B1D3E49D": "YOU ARE ABANDONING %d [format][color:purple]FOLLOWER(S)[/format]"
"HASH_5024FF9D": "Better This Way"
"HASH_4A602D9E": "VEHICLE - CYRUS' VTOL"
"HASH_1ACF6E9E": "AMMO - SMG 4"
"HASH_2EBEE59E": "50%% lower vehicle customization cost from Matt Millers' hacking"
"HASH_1630879E": "All followers get a 20%% health increase"
"HASH_13BD6C9E": "CHARGING"
"HASH_7877E49E": "SOUTH EAST"
"HASH_A525999E": "Take a spin with DJ Veteran Child."
"HASH_F9DC679E": "Street version of the SMG, trades portability for longer effective range."
"HASH_39C61D9F": "HEALTH - REGEN 2"
"HASH_4870C79F": "TRANSFER LIMIT"
"HASH_9A81D8A0": "SKILL - SCAVENGER VIP"
"HASH_00D296A0": "Signature sword used by the Deckers gang."
"HASH_ACF5F9A0": "APOCA-FIST"
"HASH_5DE1E8A0": "S3X HAMMER"
"HASH_3B42A5A0": "YOU CAN'T STORE THIS VEHICLE IN A GARAGE"
"HASH_71105CA0": "The Whole Story"
"HASH_952D3BA1": "WEAPON - SATCHEL CHARGES"
"HASH_FB51DAA1": "Receive a 15%% discount at clothing stores"
"HASH_8F0FF2A1": "YEARWOOD"
"HASH_3E5A51A1": "Have Cyrus guard your flank."
"HASH_86F3AFA1": "Good for love taps from 500 yards...and by 'love taps', we mean 'exploding heads'."
"HASH_9F25FCA1": "ALIEN RPG"
"HASH_85C688A2": "STUNT JUMPS"
"HASH_E50E73A2": "CHARACTER CUSTOMIZE"
"HASH_DB630DA2": "RONIN SWORD"
