"HASH_B9F9F000": "Maybe later, alright?"
"HASH_32F2CCC8": "Well, this sure as shit ain't Kansas."
"HASH_44B844C8": "I don't know."
"HASH_A21554C8": "Whoa, come on, hang in there, Joe."
"HASH_D95AD0C8": "Ow! My toe!"
"HASH_D336F4C8": "Keith!"
"HASH_A31730C8": "Finally, I get to just blow shit up..."
"HASH_70EBC4C8": "I smell bacon..."
"HASH_F66BA8C8": "Let's get to pissing off the alien asshole, Zinyak."
"HASH_FE4A1CC9": "Kinzie? The door is locked."
"HASH_4A22B0C9": "Did it get darker?"
"HASH_608DACC9": "Meaning...?"
"HASH_4A1418C9": "Why won't this thing die?!"
"HASH_53D304C9": "Hurry! Inside!"
"HASH_E0BAB8C9": "God I wish I wasn't, but yeah, I'm here."
"HASH_B91568C9": "How'd he know I'm here?"
"HASH_14B050C9": "Please, keep going."
"HASH_233790C9": "If you two are done talking toys, can we focus on getting Matt onto the ship."
"HASH_BEC5A0C9": "Boss, they've blocked our route."
"HASH_236DC8C9": "I was kidding!"
"HASH_015138C9": "After this is all over, are you two gonna play nice?"
"HASH_0093D0C9": "You made off with my cabinet!"
"HASH_FC17D8C9": "I'm gonna shoot you both you don't stop talking."
"HASH_A91D4CCA": "DELETE"
"HASH_5F0C10CA": "Kinzie...are are those pods full of people?"
"HASH_CEF9D0CA": "Definitely no stranger to handling a gun!"
"HASH_504984CA": "You require what?"
"HASH_593DC4CA": "Oh man. This place. *BEEP* ME."
"HASH_91C7D8CA": "DELETE"
"HASH_2392A0CA": "Merde."
"HASH_0E01F0CA": "I love technology.  So where are these things you want me to find?"
"HASH_5E3FD4CA": "Personality transfer at 31%%..."
"HASH_4FCF3CCA": "What kind of firepower does that mech have?"
"HASH_FBF360CA": "Welcome to the arena: NYTEBLAYDE!"
"HASH_B6C3C8CA": "Sounds easy and fun.  Why not."
"HASH_4A22E4CA": "Indeed. She's change a lot."
"HASH_8A86DCCA": "Philippe..."
"HASH_96AFC4CB": "Yes sir."
"HASH_2858B0CB": "You'll find out soon."
"HASH_94F064CB": "And even if it is, he might end up your best mate."
"HASH_81C658CB": "Do evil geniuses usually leave their air duct covers unscrewed?"
"HASH_CB37F0CB": "So I'm not really up to date on NyteBlayde fiction. Who are the Cyprian Order again?"
"HASH_3544A8CB": "No more delays.  I am finding King."
"HASH_779AF8CB": "Nope, nevermind, you're talking gibberish again."
"HASH_6F4AB8CB": "The hippy's got a force field on him."
"HASH_9DEB7CCB": "DELETE"
"HASH_C6C1F0CB": "Can't even give me a hint?"
"HASH_841734CB": "Well, okay then."
"HASH_155FD4CB": "Fuck, were you thinking I wanted to go to Hawaii or something? I live for this shit."
"HASH_763348CB": "Hey, I've been studying the simulation a bit more and realized the Zin do system maintenance on the city."
"HASH_7B1B10CC": "Be right there."
"HASH_5D49C8CC": "Masako agents, huh?"
"HASH_59EBFCCC": "Here goes nothing.  "
"HASH_EF659CCC": "Shit. Wh-what's it doing, Kinzie?"
"HASH_C44C94CC": "I forgot how big this fucking plane is.  Couldn't you have put me closer to the front?"
"HASH_7B60E8CC": "What's next, Kinzie?"
"HASH_D62DB4CC": "Will this take long?"
"HASH_FB2D54CC": "Oh. Well. Sorry."
"HASH_688020CC": "You are going down!"
"HASH_F5AA8CCC": "How long do you think we'll have to live in here?  I mean it's not bad and all, but this can't be permanent."
"HASH_CFC60CCC": "I'm here. Just gotta clear out these Zin first."
"HASH_893C10CC": "Kinzie, you're killing me here..."
"HASH_1A1544CC": "Jesus Christ Kinzie, why the fuck are there words in my face?"
"HASH_5A4ECCCC": "Look, I'm just saying don't get your hopes up."
"HASH_E142BCCC": "Didn't count on me, did ya?"
"HASH_0A4E00CC": "Why'd we wait this long to have a robot?!"
"HASH_A203FCCD": "I'll check on Kinzie, you two secure the room.."
"HASH_019FD4CD": "I tried locating the source of the call and it does seem to be coming from inside some sort of anomaly in the simulation.  What's more, the Zin don't seem to be too happy that it's there."
"HASH_DE7308CD": "Um, no?"
"HASH_987524CD": "*song lyrics*"
"HASH_2A70BCCD": "DELETE"
"HASH_4D8158CD": "Careful. This is most definitely a trap."
"HASH_CB1208CD": "Bollocks.  Maybe Keith has a good word for me."
"HASH_6E64D0CD": "DELETE"
"HASH_032CC0CD": "CID's gonna be helping me and you're worried about ME being nice?"
"HASH_0BB83CCD": "Zinyak put his people all over the city here."
"HASH_30CD34CD": "Matt, man, come on. You've gotta give me some kind of weapon."
"HASH_02F1E4CD": "Last time a Saint got left behind on a ship, things didn't go so good."
"HASH_89BD84CD": "Let me guess, you want something from me."
"HASH_1B9204CD": "You..."
"HASH_BEBA88CD": "DELETE"
"HASH_33CCA8CD": "Shit. We're not vampires in this world, are we?"
"HASH_C98598CD": "All right, just pick up the phone and we'll get you out of there, Matt."
"HASH_4E35E0CD": "They're everywhere!"
"HASH_3A70FCCD": "Seriously, Kinzie?"
"HASH_7360E4CD": "Pierce... I'm gonna kill you later."
"HASH_FFAD20CD": "Just a bunch of pissed-off aliens."
"HASH_B54520CE": "Okay..."
"HASH_23466CCE": "This is important work I am doing."
"HASH_2B91E4CE": "What next? Are we gonna bomb a supply closet?"
"HASH_80C720CE": "Thank.  God.  You really saved my ass by saving Kinzie's.  Now I don't have those awkward conversational moments between me and the veep.  Oh, and tell Kinzie the skirt looked good on her for me.  Actually... probably better you don't mention I know about it."
"HASH_21F524CE": "If you hurry, you will still be young when you throw me into the generator."
"HASH_030D0CCE": "So everything according to plan, huh?"
"HASH_0A186CCE": "Got it.  Let's get the last one already."
"HASH_4EB0A4CE": "Get into the car! GET IN!"
"HASH_6E15DCCE": "*sigh* Here we go..."
"HASH_ED9B38CE": "I enjoyed your story well enough..."
"HASH_696484CE": "Glad you could make it back! You can give me my superpowers now."
"HASH_F0B6B8CE": "Will do."
"HASH_4A6F00CE": "I had a great time, Johnny."
"HASH_5FBAECCE": "If you're so afraid of this stuff, why were you the face of the Saints?"
"HASH_EA200CCE": "Okay, clusters.  If they're so useful why aren't Zinyak's people scooping them up?"
"HASH_CA421CCE": "As the sole living world leader from planet Earth, this is probably within my power so: I hereby assign you all rights, titles, and licenses, possible merchandise, to the NyteBlayde property."
"HASH_F85AF4CE": "Nothing helps more than a little disruption to the Zin systems.  See what sort of mayhem you can cause."
"HASH_2E29C4CE": "You almost done, CID?"
"HASH_496FA0CE": "Oui... Part 1..."
"HASH_ADF538CE": "We're good. I'm surprised it took this long."
"HASH_2B446CCF": "The best and brightest from an *entire* planet? How big is this thing?"
"HASH_6F5C28CF": "Hey, Veep, how are things?"
"HASH_2D3694CF": "*sigh*  Time to visit Friendly Fire."
"HASH_5E7A14CF": "Shit. We're not vampires in this world, are we?"
"HASH_AF953CCF": "So an evil version of me is your worst nightmare?"
"HASH_8A38CCCF": "DELETE"
"HASH_5EDD90CF": "Of course I do, Matt..."
"HASH_34BAC4CF": "Yeah, I'll uh... catch ya later, Josh."
"HASH_C91558CF": "Hey, I've gotten us this far, haven't I?"
"HASH_C82874CF": "Kinzie? The door's locked."
"HASH_5BDEACCF": "Are you fucking serious?"
"HASH_D452ECCF": "Catch the gold ball?  You pullin' my leg, hon?"
"HASH_A45D5CCF": "I'll gun down every last one of you!"
"HASH_2ECD18CF": "A little busy with these assholes right now.  Shaundi, think you can figure it out?"
"HASH_163C80CF": "After this is all over, are you two gonna play nice?"
"HASH_4F5E44CF": "She's gone, man...let's get outta h-"
"HASH_7C497CCF": "Why would you want to help me... You don't even know me."
"HASH_D8ED10CF": "Deal with the crowd first, we'll pry his ass out of there later."
"HASH_20D088CF": "Well, probably, but..."
"HASH_E17904CF": "Kinzie, what happened to Shaundi?"
"HASH_8DD9C8CF": "Maybe whoever this is can actually help us like he claims."
"HASH_127D48D0": "Matt, it's time for you to pick up the phone and see the real world..."
"HASH_11B230D0": "No shit."
"HASH_7EE0F8D0": "*sigh* Imagine a gun that fires a bullet that bounces from one target to another to another to another like a pinball racking up a billion points."
"HASH_F54164D0": "That wasn't a bad \\"fuck you\\" to Zinyak. Now let's get back to the ship and find Kinzie."
"HASH_6A8D50D0": "Hey baby, I could show you a good time."
"HASH_406CE0D0": "Kinzie, thank god."
"HASH_8E9D9CD0": "What about Kinzie?"
"HASH_0848E4D0": "I'll, um, catch up with ya later, Josh."
"HASH_E3F23CD0": "Get us to the big statue."
"HASH_6694E0D0": "Good.  I need my Chief of Staff."
"HASH_FA76C4D0": "Uh Pierce, we're gonna need something bigger than this."
"HASH_E5A9D4D0": "I'm coming, Shaundi!"
"HASH_6FFC18D0": "I know you've done a lot so far, but keep hacking stores and I'll open more doors.  Dammit, that rhymed..."
"HASH_45A748D0": "Oh those Zin and their suppression fields."
"HASH_6F74E8D0": "He was our top target, but these things take on a life of their own."
"HASH_EE82B8D0": "Which is?"
"HASH_5FBDF8D1": "Thanks, Kinzie.  Zinyak won't know what's hit him."
"HASH_7E520CD1": "Back off!"
"HASH_0C035CD1": "I'm not even denting it!"
"HASH_E3A920D1": "Killing you is just a benefit."
"HASH_A03C24D1": "Uh, Kinzie?"
"HASH_6CE28CD1": "Shit. I didn't mean to kill her..."
"HASH_63ADB4D1": "Oh, you really have no idea who you're fucking with now, Tony."
"HASH_062CA4D1": "Time to pull the plug."
"HASH_9AF3BCD1": "And only I can take it down, yeah?"
"HASH_790F2CD1": "Where am I in the real world? Is my body okay?"
"HASH_E82AD4D1": "Most perfect plan ever."
"HASH_E382B4D1": "Let's, um...get Matt first."
"HASH_92E194D1": "Cargo bay? Fuck."
"HASH_B4ADCCD2": "Bah, Kinzie's job is easy."
"HASH_CDCFFCD2": "You got it."
"HASH_49BA84D2": "Kinzie? Kinzie?"
"HASH_A42104D2": "I'm gonna pretend that makes total sense."
"HASH_08BB94D2": "Just hoping you remember this next time I need your help on something."
"HASH_34AB20D2": "Oh god...what...woo..."
"HASH_D21FD8D2": "That... actually sounds amazing."
"HASH_A0593CD2": "Freckle Bitches Get!"
"HASH_8BEB9CD2": "What, no rubbing this in?"
"HASH_82FEC0D2": "Roddy...you have any idea what's wrong with Keith?"
"HASH_E06A10D2": "Um. Is that how it's being delivered?"
"HASH_48AF34D2": "The enemy light has been eradicated."
"HASH_F763FCD2": "Thanks for your fucking help!"
"HASH_C7EBB8D2": "Miller, are you going to let me do all the work?"
"HASH_42AAACD3": "One moment please."
"HASH_93FF98D3": "Let's give your plan one more try. Then we find Veteran Child."
"HASH_368A74D3": "What... oh shit."
"HASH_40A5BCD3": "More are coming!"
"HASH_C3344CD3": "JUST FIX IT."
"HASH_CBB980D3": "Is this okay?"
"HASH_84796CD3": "Excellent job.  I have something special waiting for you back here."
"HASH_DBCFF0D3": "Let's sneak past this guard."
"HASH_EF1124D3": "You have fun with that. I'm taking the air duct."
"HASH_09DEFCD3": "Glad you understand her."
"HASH_ACCAF0D3": "Seems serious."
"HASH_132C14D3": "Seeing you again, Johnny?  Made it all worth it."
"HASH_4CBC48D3": "Shaundi, those are bombs."
"HASH_091494D3": "So can we talk about why it is you have to kill me again?"
"HASH_3EA8D8D3": "You read my mind!"
"HASH_3ABD74D3": "And now, what?  I keep my head down until you can pull me out of here?"
"HASH_097790D3": "Shit. Get ready."
"HASH_67154CD3": "Power now restored.  Continuing to channel energy."
"HASH_27DA64D3": "Shit. What the fuck is going on?"
"HASH_FD1078D4": "I figure once we're free, we need to get this ship to a new hiding spot. Somewhere safe, somewhere..."
"HASH_4D9B40D4": "Splendid.  We shall need a King to destroy an Emperor."
"HASH_1E2B28D4": "If you can't handle things, Matt, I'm sure Keith David would love a crack at this."
"HASH_7A6F14D4": "Gee, thanks..."
"HASH_D67F48D4": "Any other surprises, Kinzie?"
"HASH_89C390D4": "Oh you're on.  There's no way you're outrunning me."
"HASH_1C5D50D4": "Fair enough."
"HASH_8D5BE4D4": "Can't even give me a hint?"
"HASH_4EB44CD4": "You there, Matt?"
"HASH_2654D8D4": "You're both on my shit list..."
"HASH_B0E678D4": "Kinzie, what the hell do you have me picking up?"
"HASH_51A6E8D4": "DELETE"
"HASH_CCD260D4": "What the hell happened to her?"
"HASH_A67EF0D4": "What--this is an MI6 operation!"
"HASH_C811E4D5": "I should pull these out..."
"HASH_FF61B4D5": "DELETE"
"HASH_B10614D5": "If that's the case, this one probably set off others. Find them before Zinyak does."
"HASH_C34228D5": "Anything happens to Kinzie and I will be."
"HASH_E9D19CD5": "Gotcha!"
"HASH_4A60D8D5": "Well--"
"HASH_04653CD5": "Well. Fuck."
"HASH_304034D5": "DELETE"
"HASH_0A622CD5": "Matt's really changed, y'know.  Joined MI6, helped us with Cyrus Temple...he can be a useful guy."
"HASH_E840D4D5": "I don't have any guns."
"HASH_214474D5": "Keith! Keith, stop!"
"HASH_5A51A4D5": "I swear to shit you better be on your way, Kinzie."
"HASH_038F24D5": "Yeah, what'd you think I was talking about?  I don't want him coming to try and kill me again.  And again and again.  Fuck it, you know what I mean."
"HASH_53E318D5": "Those were simpler times, King.  Kinzie, can you see if Tony's on his way yet?"
"HASH_439E98D5": "You are getting colder."
"HASH_45C9C8D5": "I have to say, trucks are an odd thing for someone like Zinyak to care about."
"HASH_86ED04D5": "Asha, I'm pretty much a superhero. I'm set for whatever you can throw at me."
"HASH_DE8298D5": "You found Tanya?"
"HASH_601090D6": "I got superpowers. Let's do this."
"HASH_EF8574D6": "Okay?"
"HASH_253028D6": "Keith!"
"HASH_649E04D6": "Pierce, you good?"
"HASH_554898D6": "Shit. Wh-what's it doing, Kinzie?"
"HASH_232468D6": "Lord have mercy!"
"HASH_3E9108D6": "So you do go trolling for that kind of thing."
"HASH_3E8C58D6": "Roadblock up ahead."
"HASH_EE51A4D6": "Interesting. The Zin officials are spread throughout. Find more!"
"HASH_F0062CD6": "DELETE"
"HASH_0D689CD7": "Gosh, what a glorious day!"
"HASH_946494D7": "You want to meet up at the docks?"
"HASH_078F9CD7": "How do I get to Gat, Kiznie?"
"HASH_8A01A4D7": "DELETE"
"HASH_C7DBC8D7": "Yes Kinzie, I still have them."
"HASH_0174A8D7": "Just doing my thing Kinzie...glad it's making a difference"
"HASH_341E00D7": "These guards are terrible. Why would evil me hire such idiots?"
"HASH_C1E650D7": "Can't wait for the movie, Ben. How can I help?"
"HASH_429E20D7": "According to Kinzie, every person's simulation is based on their deepest darkest fears."
"HASH_674660D7": "Actually twice.  No, three times."
"HASH_ED951CD7": "Pleasure doing business... I think."
"HASH_AF74F0D7": "Here we go."
"HASH_AE291CD7": "Fine..."
"HASH_DAFD14D7": "We're moving. Why are we moving? Let's get to the bridge."
"HASH_8136B8D7": "Mommy? Is that you?"
"HASH_EA3CF8D7": "That... works too."
"HASH_4169DCD7": "I'm always ready--"
"HASH_1A07D8D8": "Now this is what I'm talkin' about."
"HASH_267008D8": "And here I expected you to fight like a man."
"HASH_49A088D8": "Josh Birk. How's life after NyteBlayde?"
"HASH_D31E34D8": "Well great... Thanks for the tip, but nothing I do can get past that shield.  I'm open to ideas here."
"HASH_2F9404D8": "I just pretend my English is not so good."
"HASH_FCA624D8": "Look, I need to make sure Tanya goes down and the VKs are out from under her back-stabbing ass.  You wanna help, you do this my way.  Got it?"
"HASH_1774F0D8": "I guess she's not used to having competition when it comes to being the team badass."
"HASH_D32A7CD8": "The pod's empty. Same as the others."
"HASH_341F48D8": "Gee, Ben. Thanks."
"HASH_797898D9": "Don't you dare run from me!"
"HASH_98030CD9": "Oh for the days back in Stilwater when everything made more sense."
"HASH_3E9424D9": "Kinzie, we need some place to hide out, come up with a plan."
"HASH_F7F310D9": "Why won't this car change lanes?"
"HASH_6E0684D9": "Yeah!"
"HASH_51BDF8D9": "All right, CID, how do we take these relays and stop Zinyak from messing with the simulation. "
"HASH_A6908CD9": "Do not let your fears stop you."
"HASH_C4DB64D9": "Look who's here! My favorite wannabe spy and her BFF."
"HASH_676E94D9": "This isn't really my business but, since you dragged me into this, I think you both could learn something from the other. Take that as you will."
"HASH_CFF6C8D9": "Dammit, the bastard didn't die!"
"HASH_F99EACD9": "Don't you explode on me..."
"HASH_A8FE0CD9": "Well knock me over with a feather..."
"HASH_A46F14D9": "Do me a solid, self. Get the fuck off this floor."
"HASH_5D3EE0D9": "Looks like someone broke your shit, Zinyak."
"HASH_355B64D9": "Dream on."
"HASH_C18408D9": "How do I get this heap to Earth?"
"HASH_98019CD9": "If you don't have a body, the fuck are you gonna help me?"
"HASH_4D2618D9": "Really? How?"
"HASH_755684DA": "Is it just me, or did things seem so much simpler back in Stilwater?"
"HASH_243D24DA": "King, you know me.  I am the President.  You are my Chief of Staff, yes?"
"HASH_42E464DA": "Gat, take care of these guys while I get the door open."
"HASH_D74F70DA": "I really hope this is the real you--"
"HASH_C38AA8DA": "Gotcha!"
"HASH_9BE8E4DA": "If you even think about calling me \\"old Shaundi\\" I'm gonna shoot you."
"HASH_2D906CDA": "Now can I go back to following this mysterious guy you won't tell me anything about?"
"HASH_5288D8DA": "Zinyak, this ain't pride... This is wrath."
"HASH_7F630CDA": "No worries, Kinzie, I'm on it."
"HASH_BAB07CDA": "Yeah fresh air is exciting, what do we do now?"
"HASH_277408DA": "All right. So what tipped the scales?"
"HASH_845A50DA": "But she's not the only one who got fucked up by your death, Johnny."
"HASH_8A08C8DA": "Fair enough."
"HASH_7CF190DA": "Fuck. I need some rockets."
"HASH_6DF3C4DA": "Look, you don't rub your \\"natural talent\\" in my face and I won't say anything about how fuckin' ridiculous you look.  Deal?"
"HASH_673070DA": "Maaaatt..."
"HASH_F7BD80DA": "Whoa, Matt, relax. It's me!"
"HASH_2F3068DA": "Cause I didn't want them blowin' up the crib, okay?"
"HASH_9DDA1CDA": "Which is?"
"HASH_7125A8DB": "Oh, boy!  It's getting hot in that arena!"
"HASH_D9C7ECDB": "Bryan? Neil? Anoop?"
"HASH_391504DB": "I'd say it's a tough world for someone to live in, but I'd be lying.  Well, if they were the god of the cyber world like I was that is.  Put me in front of the latest technology and there wasn't anything I couldn't do.  Even the FBI couldn't stop me, and believe me they tried.  Kinzie Kensington came close, but a few additions to her file and some photos and even she couldn't come close to crashing my fun.  Probably why I was recruited into the Syndicate in the first place."
"HASH_3837C8DB": "What are these, Zin pinatas?"
"HASH_6D75F0DB": "Now it's Cyrus Temple's turn. "
"HASH_74518CDB": "This would explain the energy readings.  Though only a couple seem to actually be generating the force field.  The rest should be easily destructible decoys."
"HASH_5C91FCDB": "Excuse me?"
"HASH_99C230DB": "Oi, what just happened? "
"HASH_70F228DB": "No.  "
"HASH_EA01D4DB": "You're right. Kinzie, this thing have a radio?"
"HASH_61A294DB": "Little bit."
"HASH_5DCCC8DB": "If I was wearing that, I'd be asking you to shoot me in the head."
"HASH_1CB8E0DB": "I don't know."
"HASH_8C0AACDB": "Goddamn right I did."
"HASH_7D567CDB": "Area's all clear."
"HASH_D8A180DB": "I wish every game was like this."
"HASH_E69440DC": "Can you describe what Johnny and I should be looking for?"
"HASH_DBEEF4DC": "Connecting to server now..."
"HASH_BBA47CDC": "Yes. And that."
"HASH_043DC4DC": "Are you kidding me? Look around you! We're surrounded by animal-people."
"HASH_D436E0DC": "Uhh... they?"
"HASH_2DA740DC": "Oh shit!"
"HASH_87BE34DC": "I'm trying to save our lives, Matt."
"HASH_90F1E0DC": "Feel better?"
"HASH_0938D4DC": "Shaundi, those are bombs."
"HASH_24F5A0DC": "Come on, girl, that place had charm."
"HASH_C57B38DC": "King and I are down for whatever you need.  Shit, it'll be just like old times."
"HASH_6CE208DC": "I was thinking if it was we could get Ultor to rebuild it.  Add more defenses, more weapons, a few underground jet hangars..."
"HASH_C0FEA4DC": "Okay, fiery sky and rain can't be good..."
"HASH_DB6734DC": "Am I hearing voices again?"
"HASH_25F38CDC": "So when you say \\"Hotspot\\" you mean...?"
"HASH_4DF8E4DC": "Why not?"
"HASH_C73894DC": "I knew this was a bust.  Come on, you promised to go after Veteran Child now."
"HASH_14ED2CDD": "She's breathing."
"HASH_8C8204DD": "We can all agree that was fucked up, right?"
"HASH_CFB1DCDD": "But of course, Kinzie.  This is where I learned the tricks of the trade -- starting with kleeping my eyes open and my mouth shut. "
"HASH_B8013CDD": "Yeah, I know.  I was here before, remember?"
"HASH_141B28DD": "Second one's done."
"HASH_B508BCDD": "Ow! Shit!"
"HASH_A1B9E0DD": "Is there more to this nightmare realm than shooting lights and clueless guards?"
"HASH_05DE5CDD": "No problem, hon!"
"HASH_AC058CDD": "I wish everyone I went after just sat there waiting for me to kill them."
"HASH_611A0CDD": "Hey, if Saints Flow scares you, why'd you front for it all these years?"
"HASH_03EED0DD": "Cover the VIP as I escort her into the building."
"HASH_682348DE": "Hold on.  Superpowers?  Here?  It's like the simulation was just training me for this moment..."
"HASH_AA7B3CDE": "This is bad..."
"HASH_93D5F8DE": "You are right. It is best to wait until the shield generator turns itself off."
"HASH_526EDCDE": "I like to have nice things."
"HASH_045148DE": "Hey, I was just--"
"HASH_AE7868DE": "Okay, we're here. What now? Is this over?"
"HASH_51BF84DE": "With the masking program in place, disrupting the system through chaos will give it time to work."
"HASH_9B735CDE": "SHIT...!"
"HASH_A8DA1CDE": "Bring it on."
"HASH_F5D52CDE": "DELETE"
"HASH_050C1CDE": "Shit! Helluvan entrance there, guy."
"HASH_0F9EECDE": "What the hell for?"
"HASH_229004DE": "I looked at a lot of candidates but, y'know, when Keith David says he wants to be on your team, you don't say no."
"HASH_D10830DE": "Seems evil me is about as scrupulous as Dane Vogel when it comes to using company resources."
"HASH_B4BEF4DE": "I need to find something that looks important..."
"HASH_CAAFACDF": "Kinzie, what's going to happen to this tank when I get it back to the warehouse?"
"HASH_1FD1C8DF": "Hold on, this is about that asshole?"
"HASH_665054DF": "What the hell's he gonna do with a broadcast tower?"
"HASH_2E3D0CDF": "Hey, whoa, what--?"
"HASH_DC3ABCDF": "Will do."
"HASH_075338DF": "Zinyak blew up Earth and HE'S the one getting pissed?"
"HASH_B2ADECDF": "Don't you get it?  The boss is sacrificing themself to save us all!  This is our final chance to say goodbye..."
"HASH_091E78DF": "What next? Are we gonna bomb a supply closet?"
"HASH_4BBDD8DF": "Hey boss, I could really use some help getting Zinyak back for sticking me in that personal fucking hell of a mind-prison.  I'll tell you what to do, you go piss in Zinyak's plans.  Got it?"
"HASH_DBEC30DF": "Flaming bullets? Holy shit."
"HASH_88F398DF": "Oleg is one of the best things that ever happened to me and right now it feels like the worst. I'm up here trying to save us from captivity and psychological torture and all I can think about is him. He's the only one who ever truly understood what I was saying. I never thought I'd meet someone with an intelligence nearly matching my own who made me feel like I wasn't constantly missing something in my life. Now, I am. Now, I miss him..."
"HASH_87D6D0DF": "Fine. I'll go get us a vehicle."
"HASH_B4FFF0DF": "Hold on, I'll see if I can override it."
"HASH_0A6EF4DF": "You're not gonna let that drop, are you?"
"HASH_6ED09CDF": "Hey, Matt, flip my powers back on."
"HASH_AF056CDF": "DELETE"
"HASH_467280E0": "Oh, don't bitch.  You weren't stuck in a 2D hell hole for as long as I've been here.  At least you got to help run a country for a while."
"HASH_F4FDA8E0": "Okay. So...give it to him."
"HASH_7E2BA4E0": "Don't push your luck."
"HASH_A8AB18E0": "Hold on, did I hear that right?"
"HASH_F0EE08E0": "Oh, come on!"
"HASH_0E0CC0E0": "Matt, I'd sure love to give Johnny a taste of what Steelport had to offer. Would you be kind enough to do us up some Murder Time Fun Time?"
"HASH_FF30F4E0": "You're a dead man, Jyunichi!"
"HASH_71DFB4E0": "Hey! That street gang became Head of State!"
"HASH_B0F88CE0": "Then quit your bitching."
"HASH_DAB9ACE0": "These Zin and their fucking shields. It's ridiculous how cocked up these things are."
"HASH_BF8C60E0": "What the hell?!"
"HASH_BED7E8E0": "Well, that's handy."
"HASH_697388E0": "It has more clusters in it.  Pick it up with your mind and smash it open."
"HASH_5D8520E0": "I KNEW IT!  The dance flows within me!  You hear that, King?"
"HASH_7DFCF0E0": "This is really amazing shooting!"
"HASH_FDF3B8E0": "I am glad Kinzie was able to find me a body in the real world as well.  This is much more satisfying."
"HASH_7D14B4E0": "I took out three of the relays. That's it, right?"
"HASH_B91260E0": "Um. Is that how it's being delivered?"
"HASH_06F85CE0": "Whatever..."
"HASH_A84A48E1": "Helluva welcome back, huh, Johnny?"
"HASH_413F90E1": "Helluva welcome back, huh, Johnny?"
"HASH_A9A4DCE1": "I won't know until I crack open the device and see how it ticks."
"HASH_0B45C0E1": "What is Zinyak's fascination with Genki? Why don't the two of them just make a baby already."
"HASH_DF8C70E1": "There's a potty-mouth part of the process?"
"HASH_206E98E1": "Hey. I'm the President of the United States."
"HASH_D6415CE1": "Okay, we need to clear out these guards."
"HASH_4D0BC8E1": "Oh, okay. But NyteBlayde still fights vampires? Along with fighting the Cyprian Order?"
"HASH_DDFF3CE1": "We're just gonna get overrun in here."
"HASH_9BA634E1": "How'd they fit those robots through the fucking door?"
"HASH_F25A24E1": "Bow before Zinyak!"
"HASH_3BC780E1": "That is not going to happen, Tanya. You see not only did I get to show the world the true magic of dance tonight but now I am going to watch you die."
"HASH_DC7A14E1": "Sure thing, Mr. Washington."
"HASH_3E4674E1": "Oh that Matt. Such a character. I wouldn't mind killing him again. Hey, as soon as you fail, I'll get to!"
"HASH_BB89C8E1": "For a second there, Kinzie, you were almost an optimist."
"HASH_B75584E1": "God I hate these Morningstar assholes."
"HASH_C914FCE1": "Well, well, well. You've finally managed not to fuck this whole thing up. I suppose I should congratulate you--before I put a bullet in your head."
"HASH_DDBFA8E1": "These guys aren't letting up!"
"HASH_03F630E1": "It was *sigh* a 1950s sitcom."
"HASH_973834E1": "Kinzie? Kinzie?"
"HASH_0C7074E2": "What the hell?!"
"HASH_3B8108E2": "I thought this island was deserted, no?"
"HASH_5062D4E2": "Whoa, head rush.  Where am I--"
"HASH_ECD8F0E2": "Mine would have had a little sofa, and a vanity, and a gun safe..."
"HASH_1EDAE0E2": "I'm venting, Matt. Let it go."
"HASH_CE1AB4E2": "Been a while since I had to steal my own car."
"HASH_722720E2": "Had to say it, didn't you..."
"HASH_8AE0B0E2": "Maero..."
"HASH_D145D0E2": "Kinzie, are you guys shooting at this ship?"
"HASH_310D08E2": "We'll give this one more shot. Then we're helping old--er Shaundi."
"HASH_8D46F0E2": "Kinzie... am I...?"
"HASH_422B08E2": "Shut the fuck up!"
"HASH_4E98E8E2": "Explain later. Powers now."
"HASH_774108E2": "Kinzie?  What happened to my powers?"
"HASH_4D395CE2": "Send the data to CID. We'll take it from there."
"HASH_9CDC40E2": "Guess that's still getting to me a bit."
"HASH_3DA0E4E2": "I'm at the second one."
"HASH_08AA54E2": "Yeah, that's me all right."
"HASH_B63DD8E3": "DELETE"
"HASH_5E46C8E3": "I know you meant I WILL MOST DEFINITELY BE IMMUNE."
"HASH_60C820E3": "Well--"
"HASH_22F668E3": "Where to now?"
"HASH_F27F58E3": "I heard Kinzie talk about all of these simulations being based on people's personal nightmares. Mine was fucking obvious but I'm curious what yours was."
"HASH_F9FF40E3": "Warren Williams took Aisha! We have to get to Vice Kings HQ and get her back!"
"HASH_CEC5BCE3": "Say goodnight."
"HASH_45CE0CE3": "Leave me out here naked, covered in who the fuck knows what"
"HASH_3165D0E3": "Uh, Kinzie?"
"HASH_43BA7CE3": "Fuck Shakespeare. Jane Austen or go home."
"HASH_F38C9CE3": "Once Shaundi gets there, make sure the area's clear so she can land."
"HASH_F57A2CE3": "I suppose the only thing I can do...is prepare."
"HASH_AB1C18E3": "It is called pure magic, Matt. PURE. MAGIC."
"HASH_E8EDA4E3": "What's going on, Kinzie?"
"HASH_154394E3": "So?"
"HASH_FF139CE3": "Done! Let's check on Shaundi."
"HASH_B512C8E3": "Shit, now Zin are dropping in from the sky! Hey! That's fucking cheating."
"HASH_23DA10E3": "I'm about out of time myself!"
"HASH_14C4E4E3": "I see your point."
"HASH_DF52ECE3": "Just try to be quick about it?"
