"HASH_F5497400": "HIGHLY ILLOGICAL"
"HASH_5E0D7E6C": "THE MARINE"
"HASH_F566B06D": "Stake your claim on a golden gun."
"HASH_87C7766D": "Classic Street Heat"
"HASH_F5DF686D": "JERK OFF"
"HASH_CB78786D": "FAIRINGS"
"HASH_B8EB7E6D": "STRAPPED"
"cm_ubdy_fleurs": "FLEUR HOODIE"
"HASH_15F9586D": "REMEMBER ME"
"HASH_3160D26D": "GOES THE DYNAMITE"
"HASH_6987266D": "THE BROTHERHOOD"
"HASH_EB6E7E6D": "PENCILED ON"
"HASH_38E8A06D": "FRECKLES"
"HASH_E288906E": "Burn them. Burn them all."
"CUST_VARIANT_BEADS": "BEADS"
"HASH_E025486E": "BATH ROBE"
"cf_hair_vintagebob-02": "VINTAGE VIXEN"
"HASH_3183D66E": "BRIGHT YELLOW-GREEN"
"HASH_2995266E": "GREY 9"
"HASH_A3C9606E": "UNDERWEAR"
"HASH_CB0C006F": "Aliens never attack anyone with red on them, right?"
"HASH_8D9B2C6F": "HOUSE PARTY"
"HASH_42CCF86F": "FLEUR DE SAINTS EARRINGS"
"HASH_F520326F": "HIGH CLASS"
"HASH_149FCC70": "VARSITY SPIRIT SHIRT"
"HASH_A2BBCA71": "CAR CRUSHER"
"HASH_89D1B871": "FEARFUL"
"HASH_1E6ED471": "BAY YELLOW"
"HASH_0CF00E71": "CAN'T TOUCH THIS GLASSES"
"HASH_10383871": "THUG HAT"
"cm_lbdy_ridingpants": "RIDING PANTS"
"HASH_F3894672": "File your claim!"
"HASH_2E227072": "A very special Saints Row classic."
"HASH_99539872": "SNEERING"
"HASH_EF0FA872": "BELIZE GREEN"
"male_overweight": "MALE OVERWEIGHT"
"HASH_B8C15672": "DEPRESSED INDIE KID"
"HASH_52128272": "VALLEY GIRL HEELS"
"HASH_DE2C9C72": "BOB IN EYE"
"cf_ubdy_jacketcleavage": "SPRING JACKET"
"HASH_AEE4C272": "PROTECTOR"
"HASH_EFDC9E73": "CHIN DIMPLE"
"HASH_F4A9A273": "STONE GOLEM GREY"
"HASH_7B64DC73": "FALCONMAN"
"cm_ubdy_postapocman": "APOCALYPTIC ARMOR"
"cm_lp35q_hat_reader": "READER"
"HASH_7C65F473": "THE PURPLE FAIRY"
"HASH_82FE8273": "MOLE 4"
"HASH_E407FE73": "NECKLACE"
"HASH_C3B7E474": "GENTLEMAN BANDIT"
"HASH_27EB5874": "BRITE AND TITE THONG"
"HASH_67057474": "WORK IT PANTS"
"cm_lp35e_lbdy_m_entertain": "ENTERTAINER PANTS"
"HASH_360D1674": "MINE FOREVER"
"HASH_6EEAE274": "NINJA WRAP"
"HASH_5960BA75": "WESTBOUND AND UP"
"HASH_96FBF875": "SIDE SKIRT"
"HASH_8AF6E876": "I STILL BELIEVE"
"HASH_59246476": "DECAL"
"HASH_FFDE1676": "INTERIORS"
"HASH_889A6876": "OG PANTS"
"HASH_50E3CE76": "HEAVY METAL RINGS"
"HASH_49CCAA76": "BLOODY CANONESS"
"CUST_VARIANT_01_DEFAULT": "VARIANT 1"
"HASH_8D7C8277": "OLD LADY BIKER BOOTS"
"HASH_2E6D1678": "Kills with this weapon drop bonus health pickups."
"HASH_B5B2C478": "SAINTSBLOCK"
"HASH_0C4B7078": "LIGHT COVERS"
"HASH_850AD478": "DIAMOND STUDS"
"HASH_3C246878": "FLESH EATING ZOMBIE"
"HASH_98620278": "BIKER BABE JACKET"
"cf_ubdy_turtleneck": "DRAPED TURTLENECK"
"HASH_AE2EC878": "ANARCHY SKULL"
"HASH_615F6879": "Shots now send their target flying."
"Level_2": "LEVEL 2"
"HASH_0F39D479": "JOHNNY GAT MASCOT"
"HASH_8BF4C479": "TRU LOVE STUDS"
"HASH_B3492E79": "LOVE2RAVE BEADZ"
"HASH_0B75D479": "SWASHBUCKLER"
"HASH_C0C3D279": "BAPHOMET"
"HASH_C5C6F879": "HAPPY RAINBOW"
"HASH_F1C59879": "YELLOW GREEN 4"
"HASH_989A027A": "FEMALE 2"
"HASH_B4113C7A": "INTERIORS"
"HASH_2F74EC7A": "PAINT 4"
"HASH_DEC17A7A": "PARTY TIME BRACELETS"
"HASH_9B6CD07A": "SIMPLE LAYERS"
"HASH_2E3DFC7A": "BLUE"
"HASH_7975767B": "Nothing says you care like a hail of silver bullets."
"HASH_B830587B": "There are no clean getaways"
"HASH_D1A3807B": "FROSTED BLUE"
"HASH_7F36C67B": "HATE FURNACE"
"HASH_4BFA127B": "YELLOW ORANGE 1"
"HASH_F55DCA7C": "TRUNKS"
"HASH_0A750E7C": "CHEERLEADER"
"HASH_C256967C": "CURVED, LOW"
"HASH_475C8C7C": "FACE"
"HASH_ABD2107D": "The rich-kid's spud gun."
"HASH_AE501A7D": "MAGNA 10mm"
"HASH_AF880E7D": "CHEEKBONE SIZE"
"HASH_5123A87D": "CLOVER SHAKE"
"cf_dlc_aliens_hat": "MIND CONTROL HELMET"
"HASH_0627AE7D": "ASPIRATION"
"HASH_C580247D": "THICK MASCULINE"
"HASH_D4CCDA7E": "DIAMOND IN THE ROUGH"
"HASH_0353D27E": "STEAMPUNK CHIC"
"HASH_2313CA7E": "AMAZON BRACERS"
"HASH_915A5E7E": "GOTH NIGHT"
"HASH_3A0D327E": "ORANGE 6"
"HASH_0AFC427F": "Silent but deadly."
"HASH_FED0607F": "UPPER EYELID HEIGHT"
"HASH_55F60C7F": "BOONE GOES THE DYNAMITE"
"HASH_E1A4EC7F": "INTERGALACTIC HELMET"
"HASH_42A6D27F": "SAINTS LUXURY WATCH"
"HASH_6FEB5E7F": "TIGHT SHORTS"
"cm_ubdy_bballjersey": "SAINTS JERSEY"
"cf_hat_knitbrim": "BRIMMED KNIT HAT"
"HASH_6E7C5A7F": "ALL DOLLED UP"
"HASH_09CD5A80": "BIG DIPPER"
"HASH_FF6AE080": "EAR ELEVATION"
"HASH_80C8C680": "STAINLESS STEEL"
"HASH_0F04B880": "DISCO FEVER"
"HASH_087E5480": "RED ORANGE 1"
"HASH_DFE63880": "BLUE 7"
"HASH_B624C681": "DECAL 7"
"HASH_3BCC0881": "YELLOW METAL"
"HASH_85BB8081": "BLUE METAL"
"HASH_B6AF7C81": "URBAN LOAFERS"
"HASH_CD3C2882": "\\"There's gold in them thar holes!\\""
"HASH_2A8BEE82": "CHEEK HEIGHT"
"HASH_A6587083": "An all-time badass classic."
"HASH_D8FA6483": "GAS TANKS"
"HASH_AC7A5C83": "BLACK"
"HASH_6119C484": "CUSTOMIZE"
"HASH_72B59684": "BODY COLOR"
"HASH_49EF3284": "URBAN SAFARI WITH STRAIGHT NECK"
"HASH_37DFE884": "FLEUR D'ART"
"HASH_7CB2C484": "LARGE SCAR 2"
"HASH_600ACA84": "GREEN 6"
"HASH_8049C885": "Saints? Scots? Why not both?"
"HASH_E562C085": "BODY SHAPE"
"HASH_45522885": "THE WEEKENDER"
"HASH_7DB87885": "DEEP GRAY"
"HASH_E6734C85": "SPACE PRINCESS TOP"
"HASH_FB667885": "KARATE PANTS"
"HASH_EA237885": "GENERIC HERO GLOVES"
"HASH_4C4FA285": "TO THE DEATH"
"HASH_E783D686": "PURPLE INFERNO"
"HASH_3A6ACC86": "DECKER SPECIALIST"
"HASH_EB9EB086": "CLEAN CUT"
"HASH_E8F2F286": "MAMBA HEELS"
"cm_hair_shortwavy-01": "SHORT AND WAVY"
"cf_hair_longtextured_01": "LONG AND LAYERED"
"HASH_320CC087": "THE CAPTAIN"
"HASH_33D09A87": "EFF YOU TWO"
"HASH_95096887": "TITANIUM"
"HASH_BED7D087": "BRIGHT DAY ORANGE"
"HASH_D89DDC87": "BLUE GREEN 1"
"HASH_8FF1D688": "Selecting this preset will discard your current settings.\nAre you sure you want to do this?"
"HASH_09E9C288": "SPACE PRINCESS TIGHTS"
"HASH_255E0089": "Allows the weapon to fire more before its charge is depleted"
"HASH_AA682C89": "Zinyak's favorite color"
"HASH_B8406E89": "UPPER CHEST"
"HASH_2A840E89": "BONDAGE PANTS"
"HASH_77C4C689": "BLOCK BOOTS"
"HASH_4AE55089": "DARK BLUE"
"HASH_4952368A": "EXHAUST TIPS"
"HASH_D7BF348A": "TINT 40%%"
"HASH_C98C548A": "RED 4"
"HASH_BBBE3A8B": "Launched frogs attempt to attach to nearby enemies with their tongue"
"HASH_076CF48B": "HAZY DAY GRAY"
"HASH_3BCF5E8B": "STEAMPUNK MAIDEN CORSET"
"HASH_3167568B": "IRIDESCENT 4"
"HASH_42CB008B": "WART 1"
"HASH_408BAA8C": "COMBAT CHIC BOOTS"
"cm_ubdy_sweatsaints": "SAINTS WINGS SWEATSHIRT"
"cf_suit_jumpsuit02": "SEXY SPACESUIT"
"HASH_242ADC8C": "DEMENTED MIME"
"HASH_3002668D": "Terminate your enemies."
"HASH_75DA288D": "LASER RAZOR"
"HASH_56E0B08D": "CARROT"
"HASH_4DE1088D": "SAPPHIRE"
"HASH_E388AA8D": "BIG RED"
"HASH_FAC1BA8D": "BUSINESS CASUAL PANTS"
"cm_ubdy_sltop": "MARY ANN"
"HASH_DBAC0E8E": "PAINT 2"
"HASH_282D348E": "INTERIOR 2"
"HASH_971EB68E": "A NEW JOURNEY"
"HASH_D861BE8F": "CROSS THE LINE"
"HASH_8523808F": "YOU OLD SAILOR YOU"
"HASH_FD86E28F": "Are you sure you want to discard your changes?"
"HASH_9255208F": "DETECTIVE HAT"
"cm_lp35k_head_m_bonesmask": "SKELETON MASK"
"HASH_B5102290": "The weapon fires rockets more often"
"HASH_D5EA9490": "RENEGADE PISTOL"
"HASH_F6FF8090": "TIP DEPTH"
"HASH_B19C7A90": "THRUST GLOVES"
"cm_suit_f_warprc": "WARRIOR PRINCESS ARMOR"
"cm_lp35i_ubdy_f_strapsshirt": "APOC SHIRT"
"HASH_0599A091": "JAW DEPTH"
"HASH_771F2E91": "TOTAL ANIMAL"
"HASH_4A72AA91": "SUBTERFUGE"
"HASH_2CBFCE91": "VIOLET 8"
"HASH_F6310492": "DESERT CAMO"
"HASH_F5E15492": "SHARK BITE EARRINGS"
"HASH_857F7C93": "TAK-10 STREETSWEEPER"
"HASH_299F1493": "NOSTRIL WIDTH"
"HASH_71080293": "ENTIRE CHEST"
"HASH_FFD8D493": "SHOOT 'EM UP T"
"HASH_4A8CCC94": "SILVER"
"HASH_5B2E3E94": "BLUE LIGHT TINT"
"HASH_E4E56E94": "SPIDER BITE"
"HASH_773FBC95": "ANTENNA"
"HASH_08520695": "SUPER TITE JACKET"
"HASH_9D5C5695": "SAINTS ROWS"
"cf_hand_handwarmers": "ARM WARMERS"
"HASH_23471895": "PATRIOTIC STRIPES"
"HASH_C8107E96": "Mines now have triple the explosive charge loaded."
"HASH_03A6AA96": "GOLD-PLATED"
"HASH_824E4496": "SIMPLE MAN"
"female_bodybuilder": "FEMALE BODYBUILDER"
"HASH_55E46496": "PHYS-ED PANTS"
"cf_hair_vintageshort-01": "VINTAGE SHORT WAVES"
"HASH_4BD91297": "SHOOTER SUZIE"
"HASH_23C63097": "STARVING ARTIST"
"HASH_E3BF8C97": "SAINTS LOOSE FIT"
"HASH_07849098": "You have reached the maximum number of items allowed in this category."
"HASH_B1490298": "DECAL 3"
"Warrior Princess": "WARRIOR PRINCESS"
"cm_ubdy_pretendtee": "LET'S PRETEND TEE"
"HASH_C905A499": "Combining two great pastimes: baseball AND violence!"
"HASH_00202299": "BROSEPH SHORTS"
"HASH_54247699": "PARTY HEELS"
"cf_hair_longstraight-05": "PARTED CURTAIN"
"HASH_0847F299": "BRIGHT ORANGE"
"HASH_0F139099": "RED ORANGE 5"
"HASH_D88BFC99": "BLUE 3"
"HASH_501B1499": "CHEEKS"
"HASH_7D5B869A": "DEEP SILVER"
"HASH_B4FBF29B": "REBEL KID BOOTS"
"cm_dlc_wwolf_foot_m": "WEREWOLF FEET"
"HASH_423FEC9C": "BEEP BOP BOOP"
"HASH_0F52149C": "RANDOM"
"HASH_EAF60C9C": "TAIL LIGHTS"
"HASH_0593009C": "FRONT RIMS"
"HASH_B1CCB49C": "REAR BUMPERS"
"HASH_1890D29C": "DINNER IN PARIS"
"HASH_3DBBB29C": "SOUTHERN BELLE"
"HASH_2BAC1E9D": "Shoot first, ask questions later."
"HASH_CD0BBA9D": "JAW"
"HASH_D7F2B29D": "DEEP BLUE ME"
"HASH_E72B0C9D": "WOOF WOOF"
"cm_lp35n_suit_m_block": "CRAFT MINER"
"HASH_7BDF009D": "SMALL SCAR 2"
"HASH_67670E9D": "GREEN 2"
"HASH_A6ABE89E": "It's black. Also, gold."
"HASH_B424289E": "SLOPE WIDTH"
"HASH_E4A6209E": "CHEEK DEPTH"
"HASH_1891A09E": "CHEEKBONE SPACING"
"HASH_DFE6109E": "GENTLEMANS TUXEDO"
"HASH_88DB669E": "HATER BLOCKERS"
"HASH_BFC5989E": "COP"
"HASH_DFF0189E": "BLUE GREEN 5"
"HASH_71C81E9E": "RIGHT FOREARM"
"HASH_BC8D609F": "COOL CUSTOMER"
"HASH_A04E789F": "SKATER CUT"
"HASH_18BAB69F": "URBAN SAFARI TURTLE NECK"
"cm_dlc_wwolf_suit_m_suit": "WEREWOLF"
"HASH_B4E7D4A1": "JOYFUL"
"HASH_34F16CA1": "TOUGH CHICK"
"HASH_1FA32EA1": "CARDINAL ROBE"
"HASH_C03A18A1": "RED 8"
"HASH_AF6218A2": "FACE AGE"
"HASH_A5A200A2": "ASTROPACK"
"HASH_174F90A2": "BIKER CHICK"
"cm_ubdy_puffycoat01": "PUFFER JACKET"
"HASH_BB6C2AA2": "EGYPTIAN GODDESS"
"HASH_C2E448A2": "YELLOW 3"
"HASH_6B61CAA3": "DEEP SILVER"
"HASH_237B3EA3": "Ready to rumble in the jungle"
"HASH_19D1BCA3": "ZOMBIE MASK 1"
"HASH_79B458A3": "MODERN MALE DRESS SHIRT"
"HASH_574D88A3": "KNIGHT ARMOR"
"HASH_AC5ADCA3": "EGYPTIAN PRINCESS"
"HASH_CD0864A3": "MASCOT"
"HASH_B672D8A4": "Upgrades the gun to fully automatic trigger action."
"HASH_437866A4": "BIG BUNNY"
"HASH_303CC2A4": "SKELETON BOOTS"
"HASH_3930D4A5": "Nail 'em."
"HASH_2298E6A5": "PAINT 2"
"HASH_C8F68EA5": "GAT BOBBLE HEAD"
"HASH_F35F86A5": "TOP DOG CHOKER"
"HASH_4CA7AEA5": "FUNTIME! BOOTS"
"HASH_21C4EAA5": "RUGGED CLASS"
"HASH_F104C8A5": "CUT THE FAT"
"HASH_33BC08A6": "DEACON 12-GAUGE"
"HASH_90FC4AA6": "BOUNCE RIFLE"
"HASH_661D4EA6": "VOICE"
"HASH_096C0AA6": "OLD MAN MOCCASINS"
"cm_lp35i_hand_f_stpgloves": "APOC GLOVES"
"HASH_9347ACA7": "Kills with this weapon grant a small amount of health."
"HASH_D8EBAEA7": "MECHANICAL COLOR"
"HASH_CAE32EA7": "IRIDESCENT PAINT"
"HASH_7929E4A7": "COFFEE CREAMER TAN"
"HASH_13A68AA7": "ZERO SAINTS THIRTY HELMET"
"HASH_B57872A7": "UPTOWN GIRL"
"HASH_17F0FAA7": "SOUL PATCH"
"HASH_24C2D6A8": "GI SNIPER "
"HASH_0096E0A8": "CHEST THRUST"
"HASH_ECA1C6A8": "WHITE"
"HASH_5A8884A9": "ARCTIC CAMO"
"HASH_83D806A9": "SAMURAI "
"HASH_A1EE10A9": "NEW COLVIN"
"HASH_6705E0AA": "Aiming? Who needs aiming?"
"DIRT": "DIRT"
"HASH_7BD14EAA": "BRAIN BUCKET"
"HASH_33DBDAAA": "BAD BOY"
"cf_hair_wavysidedo_01": "WAVY SIDE DO"
"HASH_BE5524AA": "STREET SAINT"
"HASH_06B2F4AB": "PLEASURE AND PAIN"
"HASH_2DEDF6AB": "MODERN JACKET WITH SWEATER"
"HASH_F6288AAB": "PEACE PIPE SANDALS"
"HASH_06AC92AB": "QUEEN BEE"
"HASH_CCA78AAC": "REINFORCED FRAME"
"HASH_8F9E78AC": "EMO SNEAKS"
"HASH_A0FF98AC": "NAUGHTY NAUGHTY GLOVES"
"HASH_3D4796AD": "Decreases the time it takes to reload the weapon"
"HASH_9E5DA2AD": "LIL' CROAKER"
"HASH_03FBACAD": "RIM SET 11"
"HASH_D4AEC6AD": "NAUGHTY TIME BUSTIER"
"HASH_78AF8CAE": "Wrong in so many ways"
"HASH_964876AE": "WINDOW COVERS"
"HASH_F82C78AE": "HOOD ORNAMENTS"
"HASH_5E349EAE": "GANG LEATHERTOP"
"HASH_A94A64AE": "BRIGHT INDIGO"
"HASH_2E933EAE": "DRACO"
"HASH_E783B8AE": "VIOLET BLUE 6"
"HASH_FF72B2AF": "FACE GLOBAL"
"HASH_E9F084AF": "THE CHORUS LADY"
"HASH_6DE96CAF": "HIGH NOON HAT"
"HASH_3E69A4AF": "UNICORN DREAMS"
"HASH_4744E4AF": "PORNSTACHE"
"HASH_6678DEB0": "SLOPE DEPTH"
"HASH_6C8A70B0": "HAPPY "
"HASH_4C3C6CB0": "BUG EYES"
"cm_eyes_slglasses": "MONO GLASSES"
"HASH_332676B0": "LEFT FOREARM"
"HASH_1E676AB1": "CAUCASIAN 2"
"HASH_DADD00B1": "MODERN SOLDIER HELMET"
"HASH_93D794B2": "POTATO GUN"
"HASH_088C36B2": "LOVE BITE"
"HASH_06A5DCB2": "RED ORANGE 9"
"HASH_429494B2": "WHOLE LEFT ARM"
"HASH_1703EEB3": "ASIAN 3"
"HASH_C86D46B3": "HYDRAULICS"
"HASH_7111E4B3": "JOYSTICK JUNKIES HOT SAINT"
"HASH_7B9A24B3": "STEELPORT FIGHTER GLOVES"
"HASH_1C07CCB3": "VIXEN CORSET"
"HASH_62F11CB3": "NAUGHTY GIRL HEELS"
"HASH_B938E0B3": "BRINGER OF BEAUTY"
"HASH_7AF77CB4": "TEAL LIGHT TINT"
"HASH_049668B4": "RIM SET 15"
"female_average": "FEMALE AVERAGE"
"cm_lp35p_eyes_m_3d": "3D"
"HASH_F449A4B4": "BRIGHT RED"
"HASH_CF2788B5": "Look classy while you're gunning them down"
"HASH_681E08B5": "LOWER LIP MIDDLE HEIGHT"
"cm_suit_malesim": "SIM SUIT"
"HASH_D64654B5": "BLUE GREEN 9"
"HASH_EE9D40B6": "CHEST POUND"
"HASH_6B11AEB6": "NEIGHBOR JACKET AND VEST"
"HASH_402920B6": "PENCIL STASH"
"HASH_D7CF4CB7": "DIGITAL CAMO"
"HASH_9B4A70B7": "MARSHMALLOW VEST"
"HASH_471668B7": "NINJA2 PANTS"
"50s Lady": "50'S LADY"
"HASH_60E724B7": "DIMPLE"
"HASH_E0EE7CB7": "VIOLET BLUE 2"
"HASH_7D0A86B8": "Kills with this weapon will grant bonus XP."
"HASH_8E028CB8": "CHARGE TIME"
"HASH_20D572B8": "SILVER STUNNER"
"HASH_B449C4B8": "MANICURED NAILS"
"HASH_24C3ACB9": "Allows the weapon to fire more before overheating"
"HASH_41D828B9": "GHOSTLY SKULL"
"HASH_1A3DFCB9": "Aim straight, spud."
"cf_foot_80sshortboots": "SEQUINED BOOTS"
"HASH_141114BA": "HOLLYWOOD READY"
"HASH_250982BA": "VIOLET 4"
"HASH_1827C2BB": "EXPLOSIVE DAMAGE"
"HASH_E0F67ABB": "SPIRIT OF '76"
"HASH_E8A1F0BB": "BLUE CAMO"
"HASH_C620D4BB": "GRUMPY "
"player_lips_gloss": "LIP GLOSS"
"HASH_BC01EEBB": "IN YOUR BLOOD"
"HASH_9D162CBB": "BUSTED NOSE"
"HASH_C5898CBB": "YELLOW 7"
"HASH_05400CBC": "TRIM 4"
"HASH_F6690CBC": "CALL IT DOWN"
"HASH_FBC3E2BD": "NOSTRIL DEPTH"
"HASH_18575CBD": "SKELETON SHIRT"
"cf_hair_ponytail-01": "VINTAGE STYLE PONYTAIL"
"HASH_A53F16BE": "Z9 HANDCANNON"
"HASH_24A376BE": "TIP WIDTH"
"HASH_072FF2BE": "BODY KITS"
"HASH_B215B6BE": "ART SCHOOL"
"cf_hair_longstraight_01": "DEMURE LONG STYLE"
"HASH_109D3EBE": "THE MARTIAN"
"HASH_2247BCBF": "GUARDSMAN AR"
"HASH_75B5B8BF": "RED LIGHT TINT"
"HASH_4B06D0BF": "FLEUR DE LIS LOGOS"
"HASH_466C4ABF": "RUNWAY AVIATORS"
"HASH_0215B2BF": "NINJA2 MASK"
"HASH_7B1C9EBF": "HERO LEGS"
"cf_hair_vintageponytail": "VINTAGE CHEERLEADER"
"HASH_09CCEABF": "RIGHT WRIST"
"HASH_8E670EC0": "The max level for this upgrade has been reached."
"HASH_B93618C0": "INTERIOR COLOR"
"HASH_ECF8FCC0": "OPTION 1"
"HASH_E4E35EC1": "ONYX BLACK"
"HASH_0CAE60C1": "An alien soldier's best friend"
"HASH_765BD4C1": "FUTURE SOLDIER BODY ARMOR"
"HASH_E35A94C1": "CASUAL CARGOS"
"HASH_BCE7EAC1": "IN COLD STEEL WE TRUST"
"HASH_2B3ABEC2": "MIDDLE BROW HEIGHT"
"HASH_3C8846C2": "SAD"
"HASH_FBE514C2": "DAD SHOES"
"HASH_994324C2": "LAZY DAY SHOES"
"HASH_1FBE24C2": "KARATE SHIRT"
"HASH_D3E90CC2": "NAUTICAL STAR"
"HASH_AE25A8C2": "NONE"
"HASH_6FB162C2": "RIGHT LEG"
"HASH_00EB98C3": "Saints 1, Zin 0"
"HASH_015304C3": "For when you aim to misbehave."
"HASH_28A498C3": "DEFAULT MALE"
"HASH_DBF616C3": "FUNTIME! G STRING"
"HASH_858D86C3": "MOCAP SUIT"
"cm_mask_fleur": "FLEUR DE FACE"
"HASH_130062C3": "TRIBAL SKULL"
"HASH_EFEB22C3": "QUEEN OF THE NILE"
"HASH_A18F14C3": "BLEACHED BLONDE"
"HASH_579A68C4": "OVERHEAT LEVEL"
"HASH_1BD3B6C4": "It really, really sucks."
"HASH_DF86AAC4": "You know you want a laser shotgun."
"HASH_4CCA0CC4": "SEX"
"HASH_284438C4": "BLOCK HANDS"
"cm_hair_styledfade": "STYLED FADE"
"Chin": "CHIN"
"HASH_A6D940C4": "FOUR SKULLS"
"HASH_8F74E4C4": "YELLOW GREEN 9"
"HASH_21F03CC5": "FRECKLE BITCH'S"
"HASH_102322C5": "GENKI"
"HASH_72CA40C5": "HISPANIC 1"
"HASH_D8F766C5": "GOLD"
"HASH_0F7F1EC5": "FLIGHT SUIT"
"HASH_ACFD5CC5": "WITCH ROBE"
"HASH_9E7F2AC5": "ALL COVERED UP"
"HASH_78A0DCC6": "PURPLE"
"HASH_DF00D2C6": "FACE"
"HASH_F85982C6": "RIM COLOR"
"HASH_B36EB8C6": "DARK PINK"
"HASH_5EC090C6": "BUTTERFLY"
"HASH_5D79D6C7": "DECAL 3"
"cm_ubdy_jeanvest": "DENIM VEST"
"HASH_E2840AC7": "RAINBOW SOCKS AND SHOES"
"HASH_A2B93CC7": "EXECUTIVE"
"HASH_0D35B6C7": "BROWN 1"
"HASH_213B52C8": "SAINTS PURPLE"
"HASH_B019BAC8": "Old-school lethality"
"HASH_C93162C8": "SLOPE HEIGHT"
"HASH_27D1C6C8": "VOGUE"
"HASH_39CBD4C8": "SMALL HEART SET"
"HASH_AAC99CC8": "EDGE OF DARKNESS RINGS"
"cm_eyes_squaretrendy": "EYE SHIELD"
"HASH_AC5F00C9": "CLIP SIZE"
"HASH_8A69CAC9": "Once you snipe silver you'll never go back."
"HASH_E50BF8C9": "SEAFOAM TEAL"
"HASH_36F6E0C9": "GOLDDIGGER"
"cm_ubdy_bountyhunter": "RANSOM COLLECTOR ARMOR"
"HASH_48BC6AC9": "ALL ABOUT THE BLING"
"cm_suit_f_space": "SPACE PRINCESS"
"cm_foot_president_shoes": "PRESIDENTIAL SHOES"
"HASH_FF7ADCCA": "DAMN GOOD NIGHT"
"HASH_F44794CB": "THE EXPERIENCE"
"HASH_DF88A2CB": "STEELPORT HERO SHIRT"
"HASH_CB7B1ACB": "SUCKER PUNCH"
"HASH_0B9954CC": "CHARGE CAPACITY"
"HASH_EACF0ECC": "WOOOO SCREAM"
"HASH_92B016CC": "LUCHADOR SPECIALIST MASK"
"HASH_E52CB6CC": "RAWK SHIRT"
"cm_lp35q_hat_vr": "VR"
"HASH_03DF98CC": "HERO BOOTS"
"HASH_A73BB8CC": "LEFT PATCH"
"HASH_1CBE28CD": "RIGHT SIDE"
"HASH_B560C0CD": "MODERN UNBUTTONED DRESS SHIRT"
"HASH_98553ACD": "KABANA SUNGLASSES"
"HASH_B8D950CE": "NONE"
"HASH_32B662CE": "DRAMATIS PERSONAE"
"HASH_02D488CE": "ARMED AND DANGEROUS"
"HASH_FC4FFECE": "MOLE 9"
"HASH_95712ACF": "You have the right to bear arms and lots of them."
"HASH_5091DACF": "ROOF LIGHTS"
"HASH_F310DECF": "MORNINGSTAR SOLDIER"
"HASH_7F1A40CF": "NEON JUNGLE"
"HASH_DD881CCF": "DECKER SOLDIER"
"HASH_F46654CF": "DARK ORANGE"
"HASH_87E698D0": "Military-grade stopping power"
"HASH_E23956D0": "OILED ASIAN 1"
"HASH_149E5ED1": "BLUE TENTACLE"
"HASH_20BC02D1": "BBBJ"
"HASH_998AD0D1": "PURPLE METAL"
"HASH_B99B7CD1": "LAMB MASK"
"HASH_145B6CD1": "RAWK CANVAS SHOES"
"HASH_33DC38D2": "FATNESS"
"HASH_F32A50D2": "THE AMIGO"
"HASH_C40F60D2": "INSANE RED"
"HASH_9B5E42D2": "VINTAGE STYLE"
"HASH_0C4A98D2": "NEED TO BLEED EARRINGS"
"HASH_C0F590D2": "SEXY COWGIRL"
"HASH_D8BA00D2": "KICKS"
"HASH_BCC05ED2": "BATTALION PANTS"
"HASH_C2D764D2": "NAUGHTY BOY SHIRT"
"HASH_CC16DED2": "TRIBESMAN"
"HASH_0CCAE6D3": "SKULL TOP HEIGHT"
"HASH_0C70A6D3": "SKY HIGH HEELS"
"HASH_3FD83ED3": "SCI-FI"
"cm_hair_mullet": "THE MULLET"
"HASH_7FF2C4D3": "NINJA"
"HASH_F81718D3": "SUPERMODEL"
"HASH_57245AD3": "GREY 4"
"HASH_FEF7EAD4": "INDIE KID"
"HASH_955696D4": "DISCO DIVA PANTS"
"HASH_022584D4": "SEXY COWGIRL"
"HASH_C1C23AD4": "ETERNAL LOVE"
"HASH_63D378D5": "AMMO CAPACITY"
"HASH_3AF16CD5": "WIREFRAME"
"HASH_3EA42AD5": "Street-tested, gang-approved"
"HASH_474A7AD5": "INFERNAL GUARD"
"HASH_B1910ED5": "TUBE TOP"
"HASH_A0567CD5": "A LITTLE ON TOP"
"HASH_2F13C0D6": "MERCENARY LMG"
"HASH_787784D6": "SHOW YOU MY LOVE G STRING"
"HASH_71E7B6D6": "SAINTLY HALO"
"cf_suit_amazonoutfit": "AMAZONIAN BODY ARMOR"
"HASH_35DBA6D7": "SPACE GANGSTER"
"cf_ubdy_80slacetanktop": "LACY TANK TOP"
"HASH_DDB63ED8": "PINUP ANGEL"
"HASH_BB8A2ED8": "REMEMBER THE FALLEN"
"HASH_6EDBFCD9": "Electrified bullets stun their target."
"HASH_EB9538D9": "OPTION 5"
"HASH_F922E0D9": "MILITARY"
"HASH_F38338D9": "RIM SET 7"
"HASH_7EECC8D9": "DECKER"
"cm_lp35p_eyes_m_morph": "MORPH"
"cm_lp35n_ubdy_m_blockhead": "BLOCK HEAD"
"cm_lp35h_suit_f_fbot": "FEMME BOT"
"cf_eyes_50sglasses": "CAT EYES"
"HASH_07865CDA": "Purple is the new orange."
"HASH_CA755EDA": "RIGHT BROW STUD AND NOSE STUD"
"HASH_E886E6DA": "DARK LINER"
"HASH_B38850DB": "ROCKET FREQUENCY"
"HASH_1CD26CDB": "Available in fine Hentai bookstores everywhere."
"HASH_81662CDB": "OPACITY"
