"ACT_WHORED_Z_AGRIZOOPHOBIA": "Es un gran problema."
"ACT_ESCORT_BUTTON_MASHING_MSG": "EL [format][color:green]CLIENTE[/format] QUIERE EL ESPECIAL SAINTS ROW"
"ACT_ESCORT_RETURN_MSG": "REGRESA AL CLUB DE STRIPTEASE"
"ACT_ESCORT_CRASH_MSG": "EL [format][color:green]CLIENTE[/format] QUIERE QUE CAUSES %d PUNTOS DE DAÑO CON TU VEHÍCULO"
"ACT_WHORED_A_WRATH_CARDINAL": "Enséñale a Nyte Blayde cómo se hace."
"OPPONENT_CRITICALLY_HIT": "¡EL RIVAL HA RECIBIDO UN IMPACTO CRÍTICO!"
"ACT_HOSTAGE_RANSOM": "RESCATE: [format][color:orange]%s[/format]"
"ACT_HELI_PROTECTION_DRIVER_DIED": "NO HAS PODIDO PROTEGER LA FURGONETA"
"CHOP_MUSCLE_RIMS": "LLANTAS DE MUSCLE CAR"
"ACT_TRAFFIC_DRIVE_HOME": "PROTEGE AL [format][color:green]CAMELLO[/format] MIENTRAS CONDUCE [format][color:teal]A CASA[/format]"
"ACT_FRAUD_BONUS_CRAZY_DRIVER": "BONIFICACIÓN DE CONDUCTOR LOCO"
"HASH_49748FAB": "PÁRATE DONDE EL [format][color:green]CLIENTE[/format] TE [format][color:teal]HA INDICADO[/format]"
"ACT_WHORED_Z_FOOD_TRUCK": "Desóllalos."
"ACT_RUNNING_MAN_FAILURE_TIME": "NO HAS LLEGADO A LA SALIDA ANTES DE QUE SE AGOTASE EL TIEMPO."
"TUT_ACT_INTRO_TANK_MAYHEM": "Causa %ls $ de daños a la propiedad antes de que se agote el tiempo. Si destruyes varios objetos muy seguidos ganarás una bonificación de combo."
"ACT_HELI_BOAT_HUD_TEXT": "ENTREGA DE DROGA PENDIENTE"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_CLIENT_MESSAGE": "Has matado a la celebridad, ¡el enemigo se alegra!"
"ACT_FRAUD_MESSAGE_AIRTIME_MULT_TYPE": "RÉCORD DE TIEMPO EN EL AIRE FALSO"
"ACT_FRAUD_BONUS_COOP_GANGBANG": "BONIFICACIÓN DE GRUPO"
"ACT_CHOP_LIST": "Trae los coches de la lista al [format][color:green]taller ilegal[/format]."
"ACT_WHORED_D_DRINKING_GAME": "Cada vez que dispares a una botella de cerveza, bebe un trago."
"ACT_WHORED_D_WELCOME": "Haz que Lars se sienta orgulloso."
"CHOP_SHOP_VIEW_LIST": "VER LISTA DE TALLERES ILEGALES"
"ACT_HELI_KILL_CARS_START_MESSAGE": "DESTRUYE LOS [format][color:red]COCHES[/format]"
"ACT_ESCORT_DRIFT_MSG": "EL [format][color:green]CLIENTE[/format] QUIERE QUE {HANDBRAKE_IMG} DERRAPES DURANTE %d SEGUNDOS"
"ACT_WHORED_A_WELL_DONE": "La mejor forma de disfrutar de la carne."
"ACT_WHORED_DILDO_FAIL": "¿Andamos cortos de resistencia?"
"ACT_RUNNING_MAN_HEALTH_TARGET": "¡CLÍMAX SALUDABLE!"
"TUT_TITLE_ACT_TANK_MAYHEM_REPAIR": "REPARAR"
"CRITICAL_VEHICLE_TIME_TO_RETURN_TEXT": "TIENES %d SEGUNDOS PARA VOLVER AL [format][color:green]VEHÍCULO[/format]"
"ACT_VANDAL_TRUCK_SMALL_PICKUPS_MSG": "CAMIONETAS"
"ACT_VANDAL_COMBO_BREAKER_MSG": "¡ROMPECOMBOS!"
"ACT_TRAFFIC_DRIVER_DEAD": "HAN MATADO AL CAMELLO."
"ACT_TORCH_OBJECTIVE_02": "GANA TIEMPO ADICIONAL CAUSANDO DAÑO Y PASANDO POR LOS PUNTOS DE CONTROL"
"ACT_HUMAN_TORCH_START": "INICIA RASTRO LLAMEANTE"
"ACT_WHORED_D_CYPRIAN_ORDER": "Reparte hostias en nombre del Señor."
"TUT_ACT_INTRO_GUARDIAN_ANGEL": "Defiende el objetivo de los enemigos mientras cumplen sus cometidos."
"ACT_VANDAL_CIVILIAN_MSG": "CIVILES"
"ACT_TRAFFIC_POLICE_STING_ESCAPE": "¡TE PERSIGUE LA [format][color:red]POLI[/format]!"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_5SEC": "5..."
"ACT_TORCH_LOST_TIME": "SE TE HA ACABADO EL TIEMPO"
"ACT_WHORED_A_TINY_PROBLEMS": "Pueden resultar duros de roer."
"ACT_WHORED_A_BOOM_HEADSHOT": "Balazo al cogote. Solo así puedes asegurarte."
"ACTIVITY_SUCCESS_SUB_TEXT": "COMPLETADO"
"ACT_VANDAL_SUMMARY_DESTRUCTION": "DESTRUCCIÓN"
"ACT_WHORED_NUTSHOOT_FAIL": "Te ha faltado algo de velocidad."
"ACT_PIMP_START": "INICIAR CHULEO"
"ACT_TRAFFIC_BUYER_FLEE_GETTING_AWAY": "EL [format][color:red]CLIENTE[/format] SE ESCAPA"
"ACT_PIMPING_TRAP_SPRUNG_GET_CONTACTS": "¡ES UNA TRAMPA! RECLUTA A LOS [format][color:green]CONTACTOS[/format] Y SAL DE AHÍ"
"ACT_HELI_LIBERATOR_START_MESSAGE": "HAN ARRESTADO A VARIOS SAINTS; ATACA LOS [format][color:red]AUTOBUSES[/format] PARA DETENERLOS Y PON A LOS SAINTS A SALVO"
"ACT_FRAUD_CHANGE_LOCATION": "EL [format][color:teal]ÁREA DE PUNTUACIÓN[/format] SE HA DESPLAZADO"
"ACT_ESCORT_TIGER_MINIGAME_MSG": "Usa {ANALOG_RS_IMG} para encontrar dónde le pica al tigre. Luego ráscalo cuidadosamente con {ANALOG_LS_IMG}"
"ACT_WHORED_Z_GATS_WET": "Ya estuvimos allí."
"ACT_WHORED_TANK_FAIL": "¡Para ti no hay tanques!"
"ACT_WHORED_STRIPPERS_FAIL": "Tienes cohetes, ¿no?"
"ACT_VANDAL_TRAILERS_MSG": "SEMI TRÁILERS"
"ACT_VANDAL_START_MSG": "VE AL [format][color:teal]DISTRITO %ls[/format]"
"ACT_VANDAL_BONUS_CLOSE_CHAOS": "BONIFICACIÓN DE CAOS CERCANO"
"ACT_PIMPING_RESCUE_CONTACT_KILL_COPS": "MATA A LOS [format][color:red]POLICÍAS[/format] Y RESCATA AL [format][color:green]CONTACTO[/format]"
"ACT_PIMPING_RECAPTURE_CONTACT_START": "UN [format][color:red]DECKER[/format] ESTÁ CAPTURANDO OTRA VEZ A UNO DE LOS [format][color:green]CONTACTOS[/format]. ¡RESCÁTALO!"
"ACT_PIMPING_YOU_NEED_MORE_HOS": "NECESITAS MÁS [format][color:green]CHICAS[/format]"
"ACT_ESCORT_AIR_MSG": "Consigue %.2f segundos en antena"
"ACT_WHORED_Z_START_YOUNG": "Empieza con los pies y acaba en el cerebro."
"ACT_WHORED_SQUEAKY_CLEAN_FAIL": "La muñeca explosiva obra maravillas si la colocas en el ángulo apropiado."
"ACT_WHORED_SWAG_BAG_FAIL": "Has dejado ganar a los peluches. Debería darte vergüenza."
"MISSION_FAILURE_BUSTED_TEXT": "TE HAN DETENIDO"
"ACT_PIMPING_TRAP_GET_CONTACTS": "BUEN TRABAJO, AHORA A POR LOS [format][color:green]CONTACTOS[/format]"
"ACT_GUARDIAN_ANGEL_BEHIND_ATTACKER": "EL ATACANTE VIENE POR [format][color:red]DETRÁS[/format] DEL CLIENTE"
"ACT_FRAUD_DONT_KILL": "POR CADA PERSONA QUE MATES TENDRÁS UNA PENALIZACIÓN"
"ACT_ESCORT_TRIP_BROTHEL_MSG": "LLEVA AL [format][color:green]CLIENTE[/format] AL [format][color:teal]BURDEL[/format] PARA QUE SE DIVIERTA"
"ACT_WHORED_Z_OUTMATCHED": "Piensa rápido."
"ACT_WHORED_MINIFURRIES": "Que no te engañe tanta preciosidad, ¡tienen cohetes!"
"ACT_VANDALISM_START": "INICIAR CAOS"
"CHOPSHOP_REQ_MODS": "MODIFICACIONES NECESARIAS:"
"ACT_VANDAL_HELICOPTER_MSG": "HELICÓPTEROS"
"ACT_TORCH_TIME_EARN_PARAMETERIZED_STRING": "EN LOS PUNTOS DE CONTROL SE AÑADEN SEGUNDOS DE BONIFICACIÓN AL TIEMPO RESTANTE"
"ACT_FRAUD_BONUS_LOCATION": "SI TE LANZAS EN EL ÁREA INDICADA EN EL MINIMAPA RECIBIRÁS UNA BONIFICACIÓN"
"ACT_ESCORT_FOOTAGE": "METRAJE"
"ACT_WHORED_DRUNKENROCKETS": "Cosas que no combinan bien: el alcohol y los cohetes. ¡Mezclémoslos!"
"ACT_TANK_MAYHEM_LEFT_HOOD": "¡VUELVE A LA ZONA ASIGNADA!"
"TUT_ACT_TANK_MAYHEM_HVT_FOUND": "Ciertos objetivos valiosos dan más dinero al destruirlos."
"ACT_VANDAL_COMBO_TOTAL": "TOTAL COMBOS: %ls"
"ACT_PIMPING_TRAP_SPRUNG_KILL_DECKERS": "¡ES UNA TRAMPA! MATA A LOS [format][color:red]DECKERS[/format] ANTES DE RECLUTAR A LOS [format][color:green]CONTACTO[/format]"
"ACT_HELI_ACTIVITY_BOMB_MESSAGE": "COLOCA CARGAS PARA DESTRUIR ESTE [format][color:blue]EDIFICIO[/format]"
"HOSTAGE_FAILURE": "REHÉN FRACASADO"
"ACT_WHORED_ZOMBIES_EXPLODE_FAIL": "Que exploten ellos, no tú."
"GAMEPLAY_SMOKED": "¡HAS FRACASADO!"
"ACT_WHORED_D_ROMERO_REVENGE": "Diversión con herramientas eléctricas."
"ACT_WHORED_MEGACAN": "¡Ya viene!"
"HORDE_CHARACTER_CYRUS": "CYRUS"
"SUCCESS_RESPECT_TEXT": "RESPETO"
"ACTIVITY_FAILURE_SUB_TEXT": "FRACASADO"
"ACT_TRAFFICKING_NAME": "TRÁFICO DE DROGAS"
"CHOP_SPORT_FRONT_BUMPER": "PARACHOQUES DELANTERO DEPORTIVO"
"ACT_ESCORT_NEWS_WARNING_MSG": "SI TE ACERCAS DEMASIADO A LOS PERIODISTAS, EL MEDIDOR DE PLACER DEJARÁ DE AUMENTAR"
"ACT_WHORED_A_BATH_TOY": "Mejor que un patito de goma."
"ACT_RUNNING_MAN_TITLE_SHORT": "PROFESSOR GENKI'S SERC"
"CHOP_OFF_ROAD_1_BUMPERS": "PARACHOQUES DE TODOTERRENO 1"
"ACT_VANDAL_START_3_MSG": "SI DESTRUYES VARIOS OBJETOS SEGUIDOS RÁPIDAMENTE GANARAS UNA BONIFICACIÓN DE COMBO"
"ACT_WHORED_STARPOWER2": "¡Los enemigos explotan cuando los tocas!"
"ACT_WHORED_MINIZOMBIES": "Un ejército de no muertos... solo que más pequeño."
"HORDE_CHARACTER_BOBERT": "BOBERT"
"ACT_RUNNING_MAN_WAGER_DESCRIPTION": "¿QUIERES APOSTAR TUS GANANCIAS ACTUALES A DOBLE O NADA EN EL SIGUIENTE NIVEL?\n\n¡SI LO SUPERAS, DOBLARÁS TU DINERO! NO LA PIFIES, QUE SI NO, TE IRÁS SIN NADA.\n\n¿QUÉ DICES?"
"ACTIVITY_NAME_ESCORT": "ESCOLTA"
"HASH_289F1039": "EL [format][color:green]CLIENTE[/format] TIENE HAMBRE, LLÉVALO A [format][color:teal]COMPANY OF GYROS[/format]"
"ACT_WHORED_COMM_SERVICE": "¡Demuestra a esas bebidas que no las necesitas!"
"CHOP_RACING_EXHAUST": "TUBO DE ESCAPE DE COMPETICIÓN"
"ACT_ZOMBIE_FAIL": "NO HAS CONSEGUIDO DETENER A LOS ZOMBIS"
"ACT_VANDAL_BONUS_TOTAL": "TOTAL"
"ACT_ACTIVITY_DESCRIPTION_2": "Gánate respeto ahora con la actividad Chuleo."
"CRITICAL_VEHICLE_ABANDONED_VEHICLE_TEXT": "HAS ABANDONADO EL VEHÍCULO"
"ACT_VANDAL_SUMMARY_FAVORITE_WEAPON": "ARMA FAVORITA"
"ACT_VANDAL_START_NO_DISTRICT_MSG": "Provoca todo el caos que puedas."
"ACT_VANDAL_PROPERTY": "PROPIEDAD"
"ACT_TRAFFIC_CHASE_HELICOPTER_NOTORIETY": "¡EL [format][color:red]HELICÓPTERO DE LA PRENSA[/format] AUMENTA TU MALA REPUTACIÓN ANTE LA POLICÍA!"
"ACT_TORCH_START_TEXT1": "DEJA REGUEROS DE GASOLINA Y GOLPEA LOS BIDONES PARA PROVOCAR GRANDES EXPLOSIONES"
"ACT_CHOP_SHOP_DELIVER_CAR_MSG": "Lleva el coche al taller ilegal."
"ACT_WHORED_A_ICON": "Es de unas proporciones épicas."
"ACT_WHORED_NUTSHOOT": "¡A la entrepierna!"
"ACT_WHORED_MONEYSHOTS_FAIL": "Apunta a la cabeza no era solo una sugerencia."
"ACT_WHORED_ZOMBIE_UPRISING_FAIL": "Mmmmm... sesos."
"ACT_PIMPING_RESCUE_KILL_COPS": "¡MATA A LOS [format][color:red]POLIS[/format] Y RESCATA A LAS [format][color:green]CHICAS[/format]"
"ACT_HELI_START": "INICIA EL ASALTO DE HELICÓPTERO"
"ACT_HELI_LIBERATOR_PICKUP_INFORMATION_MESSAGE": "RECOGE A LOS SAINTS Y LLÉVALOS A UN [format][color:blue]LUGAR SEGURO[/format]"
"ACT_WHORED_ZOMBIE_SLAYER_FAIL": "¡Levanta, campeón! ¡Empuña tu arma con fuerza y sigue purgando este mal!"
"ACT_WHORED_NUTSHOTS_FAIL": "Fuera timidez, dale a las joyas de la corona."
"ACT_VANDAL_TIME_SUCCESS_MSG": "Buen trabajo. Regresa para recoger tu paga."
"ACT_VANDAL_SMG_MSG": "SUBFUSIL"
"ACT_FRAUD_BONUS_CLIFF_DIVER": "BONIFICACIÓN DE DISTANCIA VERTICAL"
"ACT_DEMO_DERBY_CASH": "BONIFICACIÓN DE DINERO:"
"ACT_VANDAL_TIME_FAIL_MSG": "SE TE HA ACABADO EL TIEMPO"
"ACT_VANDAL_SHOTGUN_MSG": "ESCOPETA"
"ACT_TRAFFIC_DEALING_PROTECT": "PROTEGE AL [format][color:green]CAMELLO[/format] Y AL [format][color:green]CLIENTE[/format]"
"ACT_PIMPING_RESCUE_CONTACT_KILL_DECKERS": "MATA A LOS [format][color:red]DECKERS[/format] Y RESCATA AL [format][color:green]CONTACTO[/format]"
"ACT_PIMPING_VEHICLE_ROUTE_HOS": "DETÉN EL [format][color:red]VEHÍCULO[/format] Y RECOGE A LAS [format][color:green]CHICAS[/format]"
"ACT_WHORED_DRINKING_GAME_FAIL": "Había demasiada sangre en tu torrente alcohólico."
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS": "NO HAS CONSEGUIDO LA PUNTUACIÓN OBJETIVO."
"ACT_TRAFFICKING_DEAL_COUNT_UPDATED": "TRATOS COMPLETADOS"
"ACT_TRAFFIC_DEALER_ATTACK": "ESTÁN ATACANDO AL [format][color:green]CAMELLO[/format]"
"ACT_PIMPING_RECAPTURE_START": "UN [format][color:red]MORNINGSTAR[/format] SE LLEVA A UNA DE TUS [format][color:green]CHICAS[/format], ¡RECUPÉRALA!"
"ACT_FRAUD_BONUSES": "TUS BONIFICACIONES SON:"
"ACT_WHORED_SQUEAKY_CLEAN": "El bochorno definitivo."
"ACT_WHORED_MINI_SAMURAI_FAIL": "¿La espada era demasiado grande?"
"ACTIVITY_NAME_GUARDIAN": "ÁNGEL DE LA GUARDA"
"CHOP_RACING_CONVERTIBLE_ROOF": "TECHO DE COMPETICIÓN DESCAPOTABLE"
"ACT_VANDAL_JETSKI_MSG": "MOTOS ACUÁTICAS"
"ACT_VANDAL_BONUS_MSG": "BONIFICACIÓN"
"ACT_PIMPING_TRAP_GET_HOS": "¡BIEN, AHORA VE A POR ESAS [format][color:green]CHICAS[/format]!"
"ACT_GUARDIAN_ANGEL_RIGHT_ATTACKER": "EL ATACANTE VIENE POR LA [format][color:red]DERECHA[/format]"
"ACT_FRAUD_BONUS_SUCCESSIVE_CARS": "BONIFICACIÓN DE FLÍPER"
"ACT_ESCORT_FAIL_FOOTAGE": "SE HA TOMADO DEMASIADO METRAJE, USA LAS CALLES LATERALES PARA ESCAPAR"
"ACT_WHORED_MALLCOP_FAIL": "En algún sitio, un segurata llora..."
"ACT_PIMPING_HOS_NEEDED_COUNT_UPDATED": "CHICAS: %i"
"ACT_ZOMBIE_USE_MESSAGE_TEXT": "INICIAR ZOMBI"
"ACT_ESCORT_TOUCH_MINIGAME_MSG": "Usa {ANALOG_RS_IMG} para encontrar el punto especial y alcánzalo con {ANALOG_LS_IMG}"
"ACT_ESCORT_OBJECTIVE_MSG": "Satisface al [format][color:green]cliente[/format] escoltándole por la ciudad y evitando a los paparazzi."
"ACT_WHORED_MEGA_ZOMBIE": "Zombis 2.0: más grandes, más fuertes y más combustibles."
"ACT_LEVEL_2": "NIVEL 2"
"ACT_VANDAL_COMBO_MSG": "COMBO:"
"ACT_VANDAL_CAR_STANDARD_MSG": "SEDANES"
"ACT_PIMPING_GET_CLOSER_TO_HOS": "ACÉRCATE MÁS A LAS [format][color:green]CHICAS[/format]"
"ACT_WHORED_MEGA_ZOMBIE_FAIL": "Bueno, ya os hemos advertido."
"TUT_ACT_TANK_MAYHEM_TUTORIAL_TANK_REPAIR": "Los nodos de reparación marcados en el mapa reparan el tanque."
"ACT_TORCH_RACE_INSTRUCTIONS2": "Consigue puntos quemando peatones y vehículos."
"STICK_ROTATION_UTIL_CLOCKWISE_MESSAGE": "SENTIDO HORARIO"
"ACT_VANDAL_TRUCK_BIG_SEMI_CAB_MSG": "SEMIS"
"ACT_VANDAL_AIRPLANE_MSG": "AVIONES"
"ACT_PIMPING_RESCUE_PIMPS_REROUTE": "SE HAN LLEVADO A LAS [format][color:green]CHICAS[/format] RESCÁTALAS"
"ACT_ESCORT_FAIL_CAR_DESTROYED": "TU COCHE HA SIDO DESTRUIDO"
"HASH_6A5B3243": "ACTIVIDAD NO DISPONIBLE"
"ACT_WHORED_BRUTEBOOM_FAIL": "Empújalos antes de que te empujen."
"ACT_WHORED_ZOMBIE_CHAINSAW_FAIL": "Los pavos no deberían temerte."
"ACT_WHORED_SAUSAGE_FEST": "Una estupenda y saludable provisión de salchichas."
"HASH_410CDA44": "LLEVA AL [format][color:green]CLIENTE[/format] POR [format][color:teal]SAINTS ROW[/format]"
"ACT_RUNNING_MAN_TITLE": "PROFESSOR GENKI'S SERC"
"ACT_VANDAL_SUCCESS_MSG": "Vuelve a la posición marcada."
"ACT_PIMPING_CONTACTS_COLON": "CONTACTOS:"
"ACT_GUARDIAN_ANGEL_NAME": "ÁNGEL DE LA GUARDA"
"CUSTOMIZATION_GARAGE_FULL": "Necesitas eliminar un vehículo del garaje para usar la personalización."
"ACT_WHORED_Z_BOARDER_GUARD": "Steelport tiene un problema de alienígenas ilegales."
"ACT_WHORED_Z_THEME_PARK": "No, no quiero ninguna foto."
"ACT_WHORED_BAT_FAIL": "¡Bateo y fallo!"
"ACT_TRAFFIC_DEALER_WAITING": "EL [format][color:green]CAMELLO[/format] ESTÁ LISTO PARA CONDUCIR."
"ACT_HELI_LIBERATOR_ATTACK_INFORMATION_MESSAGE": "DISPARA A LOS [format][color:red]AUTOBUSES[/format] PARA DETENERLOS"
"ACT_ESCORT_SPOUSE_SPAWNED": "EVITA A LA [format][color:red]PARIENTA[/format] DEL [format][color:green]CLIENTE[/format]"
"HOSTAGE_SUCCESS": "REHÉN COMPLETADO"
"ACT_TANK_MAYHEM_TITLE": "CAOS DE TANQUE"
"ACT_HOSTAGE_FAILURE_REASON": "LOS REHENES HAN ESCAPADO"
"ACT_PIMPING_GET_CLOSER_TO_CONTACTS": "ACÉRCATE MÁS A LOS [format][color:green]CONTACTOS[/format]"
"ACT_FRAUD_BONUS_COOP_CHAIN": "BONIFICACIÓN DE CADENA"
"ACT_ESCORT_ALMOST_LOSE_MSG": "LOS MEDIOS YA CASI TIENEN MATERIAL SUFICIENTE"
"ACT_ESCORT_OBJECTIVE_TEXT_01": "ATIENDE LAS NECESIDADES DEL CLIENTE"
"ACT_VANDAL_OBJECTIVE_1": "CAUSA %d $ DE DAÑOS ANTES DE QUE SE ACABE EL TIEMPO"
"ACT_TRAFFIC_POLICE_STING_UNCUFF": "{ACTION_IMG} QUITA LAS ESPOSAS AL CAMELLO"
"ACT_HELI_NEWS_VAN_HUD_TEXT": "FURGONETAS DE LA PRENSA PARA DESTRUIR"
"ACT_FRAUD_VISIT_BONUS_AREA": "EN [format][color:teal]PUNTOS[/format] DEL MAPA MARCADOS ESPECIALMENTE DUPLICARÁS EL DINERO"
"ACT_FRAUD_HUD_MULT_X": "X"
"HASH_DF9F0AC8": "%ls ESTÁ SIENDO ATACADO"
"HASH_CA158948": "LLEVA AL [format][color:green]CLIENTE[/format] AL [format][color:teal]MUELLE[/format]"
"ACT_WHORED_QUESTION_MARKS_FAIL": "Sin duda."
"ACTIVITY_NAME_SNATCH": "CHULEO"
"ACT_GUARDIAN_ANGEL_FOLLOW_IN_HELI": "SUBE AL HELICÓPTERO PARA SEGUIR A TUS COLEGAS"
"TEMP_LAST_MINUTE_1": "CÓMO ABRIR EL TALLER ILEGAL"
"ACT_VANDAL_SUMMARY_PEOPLE_KILLED": "PERSONAS MUERTAS"
"ACT_HELI_PROTECTION_HUD_TEXT": "PARADAS HECHAS"
"ACT_ESCORT_NEAR_MISS_MSG": "EL [format][color:green]CLIENTE[/format] QUIERE QUE CONSIGAS %d CASI CHOQUES DE VEHÍCULOS CONSECUTIVOS."
"ACT_RUNNING_MAN_INTRO_L_1": "Consigue 1.000 $ destruyendo objetivos y matando a enemigos y sal del pabellón antes de que se agote el tiempo. Si destruyes varios objetos muy seguidos, ganarás una bonificación de combo."
"ACT_FRAUD_FIELD_DIVIDER": "/"
"ACT_ZOMBIE_SURVIVOR_REVIVE": "¡Tienes %d segundos para revivir a un superviviente!"
"ACT_PIMPING_RESCUE_KILL_PIMPS": "¡MATA A LOS [format][color:red]MORNINGSTAR[/format] Y RESCATA A LAS [format][color:green]CHICAS[/format]"
"ACT_HUMAN_TORCH_TITLE": "SELECCIÓN DE NIVEL DE RASTRO LLAMEANTE"
"HASH_7E62454A": "HAS ABANDONADO TU BARRIO"
"ACT_WHORED_A_FISTING": "Es una técnica."
"ACT_WHORED_WEENIEROAST": "A la brasilla sabe mejor."
"ACT_VANDAL_MOTORCYCLE_MSG": "MOTOCICLETAS"
"ACT_TRAFFIC_NOT_IN_VEHICLE": "VUELVE AL COCHE"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_HELPER_MESSAGE": "HAS MATADO AL AYUDANTE"
"ACT_GUARDIAN_ANGEL_HELICOPTER_ATTACKER": "El observador ha visto un [format][color:red]helicóptero[/format] acercándose."
"ACT_FRAUD_NO_SCORE": "HAS SALIDO FUERA DEL [format][color:teal]ÁREA DE PUNTUACIÓN[/format]; NO HAS GANADO DINERO"
"ACT_FRAUD_MESSAGE_WITNESS_MULT_TYPE": "RÉCORD DE TESTIGO FALSO"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE": "RÉCORD DE DISTANCIA FALSA"
"ACT_WHORED_A_RECYCLE": "¿Ves? Nuestro juego lanza un mensaje positivo."
"ACT_WHORED_QUESTION_MARKS": "¡Llegan las preguntas!"
"ACT_WHORED_TANK": "Este tanque es para ti."
"ACT_WHORED_THE_END_FAIL": "Una... oleada... más. ¡Vamos allá!"
"HORDE_MODE_OTHER_PLAYER_DISCONNECTED": "Has sido desconectado del otro jugador y debes salir del modo Hordas. Vas a volver al menú principal."
"ACTIVITY_NAME_TRAIL_BLAZING": "RASTRO LLAMEANTE"
"ACT_VANDAL_TRUCK_TRAILER_MSG": "TRÁILERS"
"ACT_VANDAL_BONUS_WEAPON": "BONIFICACIÓN DE ARMA"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_4SEC": "4..."
"ACT_PIMPING_YOU_NEED_MORE_CONTACTS": "NECESITAS MÁS [format][color:green]CONTACTOS[/format]"
"ACT_PIMPING_TRAP_SPRUNG_KILL_PIMPS": "¡ES UNA TRAMPA! MATA A LOS [format][color:red]MORNINGSTAR[/format] ANTES DE RECLUTAR A LAS [format][color:green]CHICAS[/format]."
"ACT_HELI_VAN_LOW_HEALTH_TEXT": "EL [format][color:green]COCHE DE TU COLEGA[/format] ESTÁ MUY DAÑADO"
"ACT_CHOP_SHOP_FAIL_TIME_MSG": "Se ha acabado el tiempo."
"ACT_WHORED_D_CAAN_COOLJ": "Los enfrentamientos sobre patines adquieren un nuevo significado."
"ACT_WHORED_ZOMBIE_INFERNO_FAIL": "CONSEJO PROFESIONAL: no te acerques a los zombis explosivos. Úsalos como bombas."
"HORDE_CHARACTER_ZIMOS": "ZIMOS"
"MISSION_FAILURE_PASSED_OUT_TEXT": "TE HAS DESMAYADO"
"ACT_VANDAL_PEDESTRIAN": "PEATÓN"
"ACT_VANDAL_IN_DISTRICT_MSG": "Utiliza las armas suministradas para destruir objetos, vehículos y personas y así ganar dinero."
"ACT_HUMAN_TORCH_OBJECTIVE_MSG": "EMBISTE A LA GENTE Y LOS COCHES, GANA TIEMPO DE BONIFICACIÓN Y LLEGA A LA META"
"ACT_FRAUD_ADRENALINE_READY": "MODO ADRENALINA ACTIVO"
"HASH_90E08F4D": "SALIENDO DE TERRITORIO EN DISPUTA"
"ACT_WHORED_RESTART_WARNING": "Si comienzas un nueva partida, se reiniciará el progreso en este mapa. ¿Quieres continuar?"
"ACT_WHORED_MEGAFURRIES_FAIL": "Furia peluda."
"ACT_VANDAL_PENALTY_MSG": "PENALIZACIÓN"
"ACT_VANDAL_CAR_BIG_DOMESTIC_MSG": "COCHES GRANDES"
"ACT_CLIENT_HASNT_COMPLETED": "({CLIENT_NAME} NO SE HA COMPLETADO)"
"ACT_WHORED_Z_TEXAS_ZOMB": "Supongo que el dicho es cierto..."
"ACT_WHORED_D_7INNING": "¡Los dulces, coged los dulces!"
"ACT_LEVEL_7": "NIVEL 7"
"ACT_GUARDIAN_ANGEL_CAR_ATTACKER": "El observador ha visto un [format][color:red]coche[/format] deteniéndose."
"ACT_WHORED_Z_ERECTILE_DYS": "Puede pasarle a cualquiera."
"ACT_WHORED_Z_WELCOME": "Es bueno ser activo."
"ACT_VANDAL_SUMMARY_OBJECTS_DESTROYED": "OBJETOS DESTRUIDOS"
"ACT_VANDAL_STATIC_BONUS_BIGTRUCK_MSG": "BONIFICACIÓN DE CAMIÓN"
"ACT_HELI_CHOPLIFTER_FULLY_LOADED_MESSAGE": "EL HELICÓPTERO ESTÁ CARGADO; PON A LOS PASAJEROS [format][color:blue]A SALVO[/format]"
"ACT_FRAUD_HITS_HUD": "ATROPELLOS:"
"ACT_ESCORT_LIMO_MSG": "TOMA EL [format][color:green]COCHE[/format] Y VE A POR EL CLIENTE"
"HASH_3662C1D0": "NO HAS PODIDO RECUPERAR TU BARRIO"
"ACT_WHORED_D_STEELPORT_CONNECTION": "Puño de los peludos."
"ACT_WHORED_FLAMEBRUTE": "¡Gorila flameado en su punto!"
"ACT_WHORED_ZOMBIE_SLAYER": "¡Con tus armas sagradas, libera al mundo de la plaga de los no muertos!"
"ACT_WHORED_OLD_SCHOOL": "Sin carrera, sin regeneración de salud, solo una escopeta y ganas de vivir."
"ACT_PIMPING_TRAP_SPRUNG_GET_HOS": "¡ES UNA TRAMPA! RECLUTA A LAS [format][color:green]CHICAS[/format] Y SAL DE AHÍ."
"ACT_HELI_CONVOY_AIRPORT_DESTINATION_MESSAGE": "EL AEROPUERTO"
"ACT_WHORED_Z_BRUTE_ACTION": "Esto no es más que un juego."
"ACT_WHORED_HITNRUN_FAIL": "Se requiere habilidad de conducción."
"ACT_ZOMBIE_TRIGGER_FAIL": "NO HAS CONSEGUIDO DETENER EL ASALTO ZOMBI"
"ACT_VANDAL_BONUS_STATIC_VEHICLE": "BONIFICACIÓN: DESTRUYE %s (+%d $)"
