"ACT_WHORED_Z_AGRIZOOPHOBIA": "Je to velkej problém."
"ACT_PIMPING_RESCUE_CONTACT_DECKERS_REROUTE": "[format][color:green]INFORMÁTOŘI[/format] BYLI ODVEDENI. MUSÍŠ JE ZACHRÁNIT!"
"ACT_PIMPING_HOS_SLASH": "/"
"ACT_FRAUD_MESSAGE_CRAZY_MULT_TYPE": "REKORD PODVODU 'ŠÍLENÝ ŘIDIČ'"
"ACT_ESCORT_BUTTON_MASHING_MSG": "[format][color:green]KLIENT[/format] CHCE SAINTS ROW SPECIÁL"
"ACT_ESCORT_RETURN_MSG": "VRAŤ SE KE STRIPTÝZOVÉMU KLUBU"
"ACT_ESCORT_CRASH_MSG": "[format][color:green]KLIENT[/format] CHCE, AŤ SVÝM VOZEM ZPŮSOBÍŠ JINÝM VOZŮM %d BODŮ POŠKOZENÍ"
"ACT_WHORED_A_WRATH_CARDINAL": "Ukaž Nyte Blaydeovi, jak se to dělá."
"OPPONENT_CRITICALLY_HIT": "PROTIVNÍK KRITICKY ZASAŽEN!"
"ACT_HOSTAGE_RANSOM": "VÝKUPNÉ: [format][color:orange]%s[/format]"
"ACT_HELI_PROTECTION_DRIVER_DIED": "NEDOKÁZAL JSI OCHRÁNIT DODÁVKU"
"CHOP_MUSCLE_RIMS": "MUSCLE RÁFKY"
"ACT_TRAFFIC_DRIVE_HOME": "CHRAŇ [format][color:green]DEALERA[/format] NA CESTĚ [format][color:teal]DOMŮ[/format]"
"ACT_FRAUD_BONUS_CRAZY_DRIVER": "BONUS ZA ŠÍLENÉHO ŘIDIČE"
"HASH_49748FAB": "ZASTAV NA MÍSTĚ, KTERÉ [format][color:green]KLIENT[/format] [format][color:teal]OZNAČIL[/format]"
"ACT_WHORED_Z_FOOD_TRUCK": "Stáhněte je z kůže."
"ACT_RUNNING_MAN_FAILURE_TIME": "NEPODAŘILO SE TI UNIKNOUT VČAS."
"TUT_ACT_INTRO_TANK_MAYHEM": "Než ti vyprší čas, napáchej škody za %ls dolarů. Pokud budeš věci rozbíjet v rychlém sledu, získáš bonus."
"ACT_HELI_BOAT_HUD_TEXT": "ZBÝVAJÍCÍ DONÁŠKY DROG"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_CLIENT_MESSAGE": "Zabil jsi celebritu, nepřítel jásá!"
"ACT_FRAUD_MESSAGE_AIRTIME_MULT_TYPE": "REKORD V LETU VZDUCHEM"
"ACT_FRAUD_BONUS_COOP_GANGBANG": "BONUS ZA ŘEZNIČINU"
"ACT_CHOP_LIST": "Dovez auta na seznamu do [format][color:green]dílny[/format]."
"ACT_WHORED_D_DRINKING_GAME": "Vždycky když rozstřelíš pivní láhev, napij se."
"ACT_WHORED_D_WELCOME": "Ať je Lars pyšný."
"CHOP_SHOP_VIEW_LIST": "PROHLÉDNOUT SEZNAM DÍLNY"
"ACT_HELI_KILL_CARS_START_MESSAGE": "ZNIČ [format][color:red]AUTA[/format]"
"ACT_ESCORT_DRIFT_MSG": "[format][color:green]KLIENT[/format] CHCE JÍZDU SMYKEM ({HANDBRAKE_IMG}) PO DOBU %d SEKUND"
"ACT_WHORED_A_WELL_DONE": "Maso chutná nejlíp takhle."
"ACT_WHORED_DILDO_FAIL": "Moc toho nevydržíš, co?"
"ACT_RUNNING_MAN_HEALTH_TARGET": "ZDRAVÝ KLIMAX"
"TUT_TITLE_ACT_TANK_MAYHEM_REPAIR": "OPRAVA"
"CRITICAL_VEHICLE_TIME_TO_RETURN_TEXT": "ZBÝVÁ TI %d S NA NÁVRAT K [format][color:green]VOZU[/format]"
"ACT_VANDAL_TRUCK_SMALL_PICKUPS_MSG": "PICKUPY"
"ACT_VANDAL_COMBO_BREAKER_MSG": "KOMBO PŘERUŠENO"
"ACT_TRAFFIC_DRIVER_DEAD": "DEALER BYL ZABIT"
"ACT_TORCH_OBJECTIVE_02": "ZÍSKEJ BONUSOVÝ ČAS ZA ZPŮSOBENÉ ŠKODY A PROJETÍ KONTROLNÍCH BODŮ"
"ACT_HUMAN_TORCH_START": "ZAHÁJIT ŽIVOU POCHODEŇ"
"ACT_WHORED_D_CYPRIAN_ORDER": "Nakopej pár prdelí ve jménu božím."
"TUT_ACT_INTRO_GUARDIAN_ANGEL": "Chraň cíl před nepřáteli, dokud nesplní svůj úkol."
"ACT_VANDAL_CIVILIAN_MSG": "CIVILISTÉ"
"ACT_TRAFFIC_POLICE_STING_ESCAPE": "[format][color:red]POLDOVÉ[/format] JSOU V TĚSNÉM ZÁVĚSU ZA TEBOU!"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_5SEC": "5..."
"ACT_TORCH_LOST_TIME": "DOŠEL TI ČAS"
"ACT_WHORED_A_TINY_PROBLEMS": "Může to s nima bejt těžký."
"ACT_WHORED_A_BOOM_HEADSHOT": "Kulka do hlavy. To je jediná jistota."
"ACTIVITY_SUCCESS_SUB_TEXT": "DOKONČENO"
"ACT_VANDAL_SUMMARY_DESTRUCTION": "DESTRUKCE"
"ACT_WHORED_NUTSHOOT_FAIL": "Musíš rychleji tasit."
"ACT_PIMP_START": "SPUSTIT SOUBOJ PASÁKŮ"
"ACT_TRAFFIC_BUYER_FLEE_GETTING_AWAY": "[format][color:red]ZÁKAZNÍK[/format] UTÍKÁ"
"ACT_PIMPING_TRAP_SPRUNG_GET_CONTACTS": "JE TO PAST! NAVERBUJ [format][color:green]INFORMÁTORY[/format] A VYPADNI."
"ACT_HELI_LIBERATOR_START_MESSAGE": "NĚKOLIK SVATÝCH BYLO ZATČENO, POŠKOĎ [format][color:red]AUTOBUSY[/format], ABYS JE ZASTAVIL, A PAK SVATÉ ODVEZ DO BEZPEČÍ"
"ACT_FRAUD_CHANGE_LOCATION": "[format][color:teal]BODOVANÁ OBLAST[/format] BYLA PŘESUNUTA"
"ACT_ESCORT_TIGER_MINIGAME_MSG": "Pomocí {ANALOG_RS_IMG} najdi místo, kde to tygra svrbí. Pak ho pomocí {ANALOG_LS_IMG} opatrně poškrábej"
"ACT_WHORED_Z_GATS_WET": "Nebáli jsme se toho."
"ACT_WHORED_TANK_FAIL": "Z tebe tankista nebude!"
"ACT_WHORED_STRIPPERS_FAIL": "Máš rakety, ne?"
"ACT_VANDAL_TRAILERS_MSG": "POLOPŘÍVĚSY"
"ACT_VANDAL_START_MSG": "CÍLOVÉ MÍSTO JE [format][color:teal]%ls [/format]. JDI TAM"
"ACT_VANDAL_BONUS_CLOSE_CHAOS": "DVOJNÁSOBNÝ BONUS ZA VANDALSTVÍ"
"ACT_PIMPING_RESCUE_CONTACT_KILL_COPS": "ZABIJ [format][color:red]POLICAJTY[/format] A ZACHRAŇ [format][color:green]INFORMÁTORA[/format]!"
"ACT_PIMPING_RECAPTURE_CONTACT_START": "[format][color:red]DECKER[/format] SE SNAŽÍ SEBRAT JEDNOHO Z [format][color:green]KONTAKTŮ[/format]. MUSÍŠ HO DOSTAT ZPÁTKY!"
"ACT_PIMPING_YOU_NEED_MORE_HOS": "POTŘEBUJEŠ DALŠÍ [format][color:green]HOLKY[/format]"
"ACT_ESCORT_AIR_MSG": "Získej %.2f s vysílacího času"
"ACT_WHORED_Z_START_YOUNG": "Začni od nohou, propracuj se k mozku."
"ACT_WHORED_SQUEAKY_CLEAN_FAIL": "Nafukovací panna dokáže zázraky - když na ni jdeš z dobrého úhlu."
"ACT_WHORED_SWAG_BAG_FAIL": "Vyhrála nad tebou roztomilá huňatá zvířátka. Styď se."
"MISSION_FAILURE_BUSTED_TEXT": "ZABÁSLI TĚ"
"ACT_PIMPING_TRAP_GET_CONTACTS": "DOBRÁ PRÁCE, TEĎ BĚŽ PRO [format][color:green]INFORMÁTORY[/format]!"
"ACT_GUARDIAN_ANGEL_BEHIND_ATTACKER": "ÚTOČNÍK SE BLÍŽÍ. JE [format][color:red]ZA[/format] KLIENTOVÝMI ZÁDY"
"ACT_FRAUD_DONT_KILL": "ZA KAŽDÉHO ZABITÉHO DOSTANEŠ POSTIH"
"ACT_ESCORT_TRIP_BROTHEL_MSG": "ZAVEZ [format][color:green]KLIENTA[/format] ZA EXTRA ZÁBAVOU DO [format][color:teal]BORDELU[/format]"
"ACT_WHORED_Z_OUTMATCHED": "Uvažuj rychle."
"ACT_WHORED_MINIFURRIES": "Jsou chlupatí a roztomilí, ale bacha, maj raketomety!"
"ACT_VANDALISM_START": "SPUSTIT VANDALSTVÍ"
"CHOPSHOP_REQ_MODS": "POŽADOVANÉ ÚPRAVY:"
"ACT_VANDAL_HELICOPTER_MSG": "HELIKOPTÉRY"
"ACT_TORCH_TIME_EARN_PARAMETERIZED_STRING": "NA KONTROLNÍM BODU SE TI KE ZBÝVAJÍCÍMU ČASU PŘIDAJÍ BONUSOVÉ SEKUNDY."
"ACT_FRAUD_BONUS_LOCATION": "POKUD SE ZKÁCÍŠ NA MÍSTĚ VYZNAČENÉM NA MINIMAPĚ, ZÍSKÁŠ BONUS."
"ACT_ESCORT_FOOTAGE": "ZÁBĚRY"
"ACT_WHORED_DRUNKENROCKETS": "Chlast a rakety nejdou dohromady, dávej si bacha!"
"ACT_TANK_MAYHEM_LEFT_HOOD": "VRAŤ SE DO PŘIDĚLENÉ OBLASTI!"
"TUT_ACT_TANK_MAYHEM_HVT_FOUND": "Za označené cíle dostaneš víc peněz."
"ACT_VANDAL_COMBO_TOTAL": "KOMBO CELKEM: %ls"
"ACT_PIMPING_TRAP_SPRUNG_KILL_DECKERS": "JE TO PAST! NEJDŘÍV ZABIJ VŠECHNY [format][color:red]DECKERY[/format] A PAK NAVERBUJ [format][color:green]INFORMÁTORY[/format]."
"ACT_HELI_ACTIVITY_BOMB_MESSAGE": "NASTAV NÁLOŽE NA ZNIČENÍ TÉHLE [format][color:blue]BUDOVY[/format]"
"HOSTAGE_FAILURE": "AKTIVITA RUKOJMÍ SKONČILA NEZDAREM"
"ACT_WHORED_ZOMBIES_EXPLODE_FAIL": "Vyhazuj do luftu je, ne sebe."
"GAMEPLAY_SMOKED": "DOSTALI TĚ!"
"ACT_WHORED_D_ROMERO_REVENGE": "Legrace s elektrickými nástroji."
"ACT_WHORED_MEGACAN": "Už jde!"
"HORDE_CHARACTER_CYRUS": "CYRUS"
"SUCCESS_RESPECT_TEXT": "RESPEKT"
"ACTIVITY_FAILURE_SUB_TEXT": " - NESPLNĚNO"
"ACT_TRAFFICKING_NAME": "KŠEFTOVÁNÍ"
"CHOP_SPORT_FRONT_BUMPER": "SPORTOVNÍ PŘEDNÍ NÁRAZNÍK"
"ACT_ESCORT_NEWS_WARNING_MSG": "POKUD SE PŘIBLÍŽÍŠ K NOVINÁŘSKÉ DODÁVCE, PŘESTANE SE UKAZATEL POTĚŠENÍ ZVYŠOVAT."
"ACT_WHORED_A_BATH_TOY": "Lepší než gumová kachna."
"ACT_RUNNING_MAN_TITLE_SHORT": "S.E.R.K. PROFESORA GENKIHO"
"CHOP_OFF_ROAD_1_BUMPERS": "TERÉNNÍ NÁRAZNÍKY 1"
"ACT_VANDAL_START_3_MSG": "POKUD VĚCI ZNIČÍŠ RYCHLE PO SOBĚ, ZÍSKÁŠ BONUS ZA KOMBO."
"ACT_WHORED_STARPOWER2": "Nepřátelé na dotyk vybuchují!"
"ACT_WHORED_MINIZOMBIES": "Armáda nemrtvých... jen kapku menších."
"HORDE_CHARACTER_BOBERT": "BOBERT"
"ACT_RUNNING_MAN_WAGER_DESCRIPTION": "CHCEŠ SI VSADIT SVOU VÝHRU NA DALŠÍ ÚROVEŇ?\n\nKDYŽ JI DOKONČÍŠ, ZDVOJNÁSOBÍŠ SVŮJ ZISK! JEN TO NEPODĚLEJ, NEBO ODEJDEŠ S PRÁZDNOU.\n\nCO TY NA TO?"
"ACTIVITY_NAME_ESCORT": "ESKORTA"
"HASH_289F1039": "[format][color:green]KLIENT[/format] MÁ HLAD, ODVEZ HO DO [format][color:teal]COMPANY OF GYROS[/format]"
"ACT_WHORED_COMM_SERVICE": "Ukaž těm drinkům, že je nepotřebuješ."
"CHOP_RACING_EXHAUST": "ZÁVODNÍ VÝFUK"
"ACT_ZOMBIE_FAIL": "NEPODAŘILO SE TI ODRAZIT ZOMBIE"
"ACT_VANDAL_BONUS_TOTAL": "CELKEM"
"ACT_ACTIVITY_DESCRIPTION_2": "Zkus teď získat respekt v minihře souboj pasáků."
"CRITICAL_VEHICLE_ABANDONED_VEHICLE_TEXT": "OPUSTIL JSI VŮZ"
"ACT_VANDAL_SUMMARY_FAVORITE_WEAPON": "OBLÍBENÁ ZBRAŇ"
"ACT_VANDAL_START_NO_DISTRICT_MSG": "Vyvolej co největší chaos."
"ACT_VANDAL_PROPERTY": "NEMOVITOST"
"ACT_TRAFFIC_CHASE_HELICOPTER_NOTORIETY": "[format][color:red]ZPRAVODAJSKÁ HELIKOPTÉRA[/format] NA VÁS UPOZORŇUJE POLICAJTY!"
"ACT_TORCH_START_TEXT1": "ZAPAL SUDY S BENZÍNEM A ZPŮSOB OHROMNÉ VÝBUCHY."
"ACT_CHOP_SHOP_DELIVER_CAR_MSG": "Dovez auto do dílny."
"ACT_WHORED_A_ICON": "Je lepší než život."
"ACT_WHORED_NUTSHOOT": "Miř na koule!"
"ACT_WHORED_MONEYSHOTS_FAIL": "Radu \"Miř na ksicht\" jsme mysleli vážně."
"ACT_WHORED_ZOMBIE_UPRISING_FAIL": "Mmmm... mozečky."
"ACT_PIMPING_RESCUE_KILL_COPS": "ZABIJ [format][color:red]POLICAJTY[/format] A ZACHRAŇ [format][color:green]ŠLAPKY[/format]"
"ACT_HELI_START": "ZAČÍT ÚTOK ZE VZDUCHU"
"ACT_HELI_LIBERATOR_PICKUP_INFORMATION_MESSAGE": "VYZVEDNI SVATÉ A ODVEZ JE NA [format][color:blue]BEZPEČNÉ MÍSTO[/format]"
"ACT_WHORED_ZOMBIE_SLAYER_FAIL": "Povstaň, šampióne! Sevři svůj meč a očisti zemi od zla!"
"ACT_WHORED_NUTSHOTS_FAIL": "Nestyď se, jen je tam pořádně práskni."
"ACT_VANDAL_TIME_SUCCESS_MSG": "Dobrá práce! Vrať se pro peníze."
"ACT_VANDAL_SMG_MSG": "SAMOPAL"
"ACT_FRAUD_BONUS_CLIFF_DIVER": "BONUS ZA SKOK DO VÝŠKY"
"ACT_DEMO_DERBY_CASH": "BONUSOVÁ HOTOVOST:"
"ACT_VANDAL_TIME_FAIL_MSG": "DOŠEL TI ČAS."
"ACT_VANDAL_SHOTGUN_MSG": "BROKOVNICE"
"ACT_TRAFFIC_DEALING_PROTECT": "CHRAŇ [format][color:green]DEALERA[/format] I [format][color:green]KUPCE[/format]"
"ACT_PIMPING_RESCUE_CONTACT_KILL_DECKERS": "ZABIJ [format][color:red]DECKERY[/format] A ZACHRAŇ [format][color:green]INFORMÁTORA[/format]!"
"ACT_PIMPING_VEHICLE_ROUTE_HOS": "ZASTAV [format][color:red]VOZIDLO[/format] A NABER [format][color:green]ŠLAPKY[/format]."
"ACT_WHORED_DRINKING_GAME_FAIL": "Měl jsi v alkoholu příliš mnoho krve."
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS": "NEPODAŘILO SE TI DOSÁHNOUT CÍLOVÉHO SKÓRE."
"ACT_TRAFFICKING_DEAL_COUNT_UPDATED": "UZAVŘENÉ KŠEFTY"
"ACT_TRAFFIC_DEALER_ATTACK": "[format][color:green]DEALER[/format] BYL NAPADEN"
"ACT_PIMPING_RECAPTURE_START": "[format][color:red]MORNINGSTAR[/format] BERE JEDNU Z TVÝCH [format][color:green]ŠLAPEK[/format]. DOSTAŇ JI ZPÁTKY"
"ACT_FRAUD_BONUSES": "TVÉ BONUSY:"
"ACT_WHORED_SQUEAKY_CLEAN": "Naprostá trapárna."
"ACT_WHORED_MINI_SAMURAI_FAIL": "Byl na tebe ten meč moc velký?"
"ACTIVITY_NAME_GUARDIAN": "STRÁŽNÝ ANDĚL"
"CHOP_RACING_CONVERTIBLE_ROOF": "ZÁVODNÍ SKLÁDACÍ STŘECHA"
"ACT_VANDAL_JETSKI_MSG": "VODNÍ SKÚTRY"
"ACT_VANDAL_BONUS_MSG": "BONUS"
"ACT_PIMPING_TRAP_GET_HOS": "DOBRÁ PRÁCE, TEĎ [format][color:green]TY ŠLAPKY[/format] NAJMI!"
"ACT_GUARDIAN_ANGEL_RIGHT_ATTACKER": "ÚTOČNÍK SE BLÍŽÍ [format][color:red]ZPRAVA[/format]"
"ACT_FRAUD_BONUS_SUCCESSIVE_CARS": "BONUS ZA PINBALL"
"ACT_ESCORT_FAIL_FOOTAGE": "FOTOGRAFOVÉ ZÍSKALI PŘÍLIŠ MNOHO ZÁBĚRŮ, UHÝBEJ JIM DO BOČNÍCH ULIČEK"
"ACT_WHORED_MALLCOP_FAIL": "Ty by ses jako hlídač v obchoďáku neuživil, co?"
"ACT_PIMPING_HOS_NEEDED_COUNT_UPDATED": "ŠTĚTEK: %i"
"ACT_ZOMBIE_USE_MESSAGE_TEXT": "ZAČÍT 'VZPOURU ZOMBIÍ'"
"ACT_ESCORT_TOUCH_MINIGAME_MSG": "Pomocí {ANALOG_RS_IMG} najdi speciální místo a pak do něj {ANALOG_LS_IMG} šťouchni "
"ACT_ESCORT_OBJECTIVE_MSG": "Potěš [format][color:green]klienty[/format] jízdou po městě s doprovodem a vyhni se paparazziům."
"ACT_WHORED_MEGA_ZOMBIE": "Zombie 2.0: větší, silnější a hořlavější."
"ACT_LEVEL_2": "ÚROVEŇ 2"
"ACT_VANDAL_COMBO_MSG": "KOMBO:"
"ACT_VANDAL_CAR_STANDARD_MSG": "SEDANY"
"ACT_PIMPING_GET_CLOSER_TO_HOS": "DOSTAŇ SE KE [format][color:green]ŠLAPKÁM[/format] BLÍŽ"
"ACT_WHORED_MEGA_ZOMBIE_FAIL": "No, my jsme tě varovali."
"TUT_ACT_TANK_MAYHEM_TUTORIAL_TANK_REPAIR": "Na mapě jsou zobrazeny opravárenské stanice, kde si můžeš nechat opravit tank."
"ACT_TORCH_RACE_INSTRUCTIONS2": "Sežehnutím chodců a vozidel získáváš body."
"STICK_ROTATION_UTIL_CLOCKWISE_MESSAGE": "PO SMĚRU HODIN"
"ACT_VANDAL_TRUCK_BIG_SEMI_CAB_MSG": "PŘÍVĚSY"
"ACT_VANDAL_AIRPLANE_MSG": "LETADLA"
"ACT_PIMPING_RESCUE_PIMPS_REROUTE": "[format][color:green]ŠLAPKY[/format] BYLY UNESENY, JDI JE ZACHRÁNIT"
"ACT_ESCORT_FAIL_CAR_DESTROYED": "TVÉ AUTO BYLO ZNIČENO"
"HASH_6A5B3243": "AKTIVITA NENÍ DOSTUPNÁ"
"ACT_WHORED_BRUTEBOOM_FAIL": "Zatlač, než oni zatlačí na tebe."
"ACT_WHORED_ZOMBIE_CHAINSAW_FAIL": "Krocani se tě bát nebudou."
"ACT_WHORED_SAUSAGE_FEST": "Pořádná zásoba zdravejch párečků."
"HASH_410CDA44": "PROJEĎ S [format][color:green]KLIENTEM[/format] [format][color:teal]SAINTS ROW[/format]"
"ACT_RUNNING_MAN_TITLE": "S.E.R.K. PROFESORA GENKIHO"
"ACT_VANDAL_SUCCESS_MSG": "Vrať se na označené místo."
"ACT_PIMPING_CONTACTS_COLON": "INFORMÁTOŘI:"
"ACT_GUARDIAN_ANGEL_NAME": "STRÁŽNÝ ANDĚL"
"CUSTOMIZATION_GARAGE_FULL": "Pro použití úprav musíš z garáže jedno vozidlo smazat."
"ACT_WHORED_Z_BOARDER_GUARD": "Steelport má problémy s ilegálními vetřelci."
"ACT_WHORED_Z_THEME_PARK": "Ne, NECHCI fotku."
"ACT_WHORED_BAT_FAIL": "Máchej s tím pořádně a tref se!"
"ACT_TRAFFIC_DEALER_WAITING": "[format][color:green]DEALER[/format] JE PŘIPRAVENÝ JET."
"ACT_HELI_LIBERATOR_ATTACK_INFORMATION_MESSAGE": "ZASTAV [format][color:red]AUTOBUSY[/format] STŘELBOU"
"ACT_ESCORT_SPOUSE_SPAWNED": "VYHNI SE [format][color:green]KLIENTOVU[/format] [format][color:red]PARTNEROVI[/format]"
"HOSTAGE_SUCCESS": "AKTIVITA RUKOJMÍ DOKONČENA"
"ACT_TANK_MAYHEM_TITLE": "TANKOVÝ MASAKR"
"ACT_HOSTAGE_FAILURE_REASON": "RUKOJMÍ UTEKLI"
"ACT_PIMPING_GET_CLOSER_TO_CONTACTS": "DOSTAŇ SE BLÍŽ K [format][color:green]INFORMÁTORŮM[/format]"
"ACT_FRAUD_BONUS_COOP_CHAIN": "BONUS ZA SÉRII"
"ACT_ESCORT_ALMOST_LOSE_MSG": "MÉDIA MAJÍ TÉMĚŘ DOSTATEK ZÁBĚRŮ"
"ACT_ESCORT_OBJECTIVE_TEXT_01": "UDĚLEJ VŠECHNO, CO BUDE KLIENT CHTÍT "
"ACT_VANDAL_OBJECTIVE_1": "UDĚLEJ ŠKODU ZA %d DOLARŮ, NEŽ VYPRŠÍ ČAS"
"ACT_TRAFFIC_POLICE_STING_UNCUFF": "{ACTION_IMG} SUNDEJ DEALEROVI POUTA."
"ACT_HELI_NEWS_VAN_HUD_TEXT": "ZBÝVAJÍCÍ ZPRAVODAJSKÉ VOZY"
"ACT_FRAUD_VISIT_BONUS_AREA": "NA ZVLÁŠŤ OZNAČENÝCH [format][color:teal]MÍSTECH[/format] MAPY ZÍSKÁŠ ADRENALINOVÝ BONUS."
"ACT_FRAUD_HUD_MULT_X": "X"
"HASH_DF9F0AC8": "%ls JE POD ÚTOKEM"
"HASH_CA158948": "ZAVEZ [format][color:green]KLIENTA[/format] NA [format][color:teal]NÁBŘEŽÍ[/format]"
"ACT_WHORED_QUESTION_MARKS_FAIL": "Bez otázek."
"ACTIVITY_NAME_SNATCH": "SOUBOJ PASÁKŮ"
"ACT_GUARDIAN_ANGEL_FOLLOW_IN_HELI": "VLEZ DO VRTULNÍKU A NÁSLEDUJ SVÉ PARŤÁKY"
"TEMP_LAST_MINUTE_1": "K OTEVŘENÍ AUTODÍLNY"
"ACT_VANDAL_SUMMARY_PEOPLE_KILLED": "ZABITÍ LIDÉ"
"ACT_HELI_PROTECTION_HUD_TEXT": "POČET ZASTÁVEK"
"ACT_ESCORT_NEAR_MISS_MSG": "[format][color:green]KLIENT[/format] SI PŘEJE, ABYS UDĚLAL %d NÁJEZDŮ ZA SEBOU"
"ACT_RUNNING_MAN_INTRO_L_1": "Vydělej si 1000 dolarů ničením cílů, zabíjením nepřátel a útěkem z arény dřív, než ti vyprší čas. Za rozbíjení věcí v rychlém sledu dostaneš bonus."
"ACT_FRAUD_FIELD_DIVIDER": "/"
"ACT_ZOMBIE_SURVIVOR_REVIVE": "Máš %d s na oživení přeživšího!"
"ACT_PIMPING_RESCUE_KILL_PIMPS": "ZABIJ [format][color:red]MORNINGSTARY[/format] A ZACHRAŇ [format][color:green]ŠLAPKY[/format]!"
"ACT_HUMAN_TORCH_TITLE": "VÝBĚR ÚROVNĚ ŽIVÉ POCHODNĚ"
"HASH_7E62454A": "OPUSTIL JSI SVOU ČTVRŤ"
"ACT_WHORED_A_FISTING": "Je to schopnost."
"ACT_WHORED_WEENIEROAST": "Lahůdka smažená nad plamenem."
"ACT_VANDAL_MOTORCYCLE_MSG": "MOTORKY"
"ACT_TRAFFIC_NOT_IN_VEHICLE": "VRAŤ SE DO AUTA"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_HELPER_MESSAGE": "ZABIL JSI POMOCNÍKA"
"ACT_GUARDIAN_ANGEL_HELICOPTER_ATTACKER": "Zločinecká spojka zahlédla blížící se [format][color:red]helikoptéru[/format]."
"ACT_FRAUD_NO_SCORE": "POTOPIL SES MIMO [format][color:teal]BODOVACÍ OBLAST[/format]. ŽÁDNÉ PENÍZE NEDOSTANEŠ."
"ACT_FRAUD_MESSAGE_WITNESS_MULT_TYPE": "REKORD PODVODU 'SVĚDEK'"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE": "REKORD PODVODU 'SKOK DO DÁLKY'"
"ACT_WHORED_A_RECYCLE": "Vidíš? Naše hra obsahuje pozitivní poselství."
"ACT_WHORED_QUESTION_MARKS": "Blíží se otazník!"
"ACT_WHORED_TANK": "Tenhle tank je pro tebe."
"ACT_WHORED_THE_END_FAIL": "Ještě jedna vlna. Zvládneme to."
"HORDE_MODE_OTHER_PLAYER_DISCONNECTED": "Byl jsi odpojen od druhého hráče a musíš kurví režim ukončit. Vrátíš se do hlavní nabídky."
"ACTIVITY_NAME_TRAIL_BLAZING": "ŽIVÁ POCHODEŇ"
"ACT_VANDAL_TRUCK_TRAILER_MSG": "PŘÍVĚSY"
"ACT_VANDAL_BONUS_WEAPON": "BONUS ZA ZBRAŇ"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_4SEC": "4..."
"ACT_PIMPING_YOU_NEED_MORE_CONTACTS": "POTŘEBUJEŠ VÍC [format][color:green]INFORMÁTORŮ[/format]"
"ACT_PIMPING_TRAP_SPRUNG_KILL_PIMPS": "JE TO PAST! ZABIJ VŠECHNY [format][color:red]MORNINGSTARY[/format], NEŽ ANVERBUJEŠ [format][color:green]ŠLAPKY[/format]."
"ACT_HELI_VAN_LOW_HEALTH_TEXT": "[format][color:green]AUTO TVÉHO PARŤÁKA[/format] JE VÁŽNĚ POŠKOZENÉ"
"ACT_CHOP_SHOP_FAIL_TIME_MSG": "Vypršel čas."
"ACT_WHORED_D_CAAN_COOLJ": "Roller derby už nikdy nebude stejné."
"ACT_WHORED_ZOMBIE_INFERNO_FAIL": "TIP: vyhýbej se vybuchujícím zombíkům. Používej je jako bomby."
"HORDE_CHARACTER_ZIMOS": "ZIMOS"
"MISSION_FAILURE_PASSED_OUT_TEXT": "ZTRÁCÍŠ VĚDOMÍ"
"ACT_VANDAL_PEDESTRIAN": "CHODEC"
"ACT_VANDAL_IN_DISTRICT_MSG": "Za zničení objektů, vozidel a lidí pomocí poskytnutých zbraní získáš peníze."
"ACT_HUMAN_TORCH_OBJECTIVE_MSG": "CESTOU DO CÍLE ZÍSKEJ ZA NARÁŽENÍ DO LIDÍ A DO VOZŮ BONUSOVÝ ČAS"
"ACT_FRAUD_ADRENALINE_READY": "ADRENALINOVÝ REŽIM AKTIVNÍ"
"HASH_90E08F4D": "OPOUŠTÍŠ BOJOVÉ ÚZEMÍ"
"ACT_WHORED_RESTART_WARNING": "Spuštění nové hry vymaže postup na této mapě. Chceš pokračovat?"
"ACT_WHORED_MEGAFURRIES_FAIL": "Navztekaný chlupatý!"
"ACT_VANDAL_PENALTY_MSG": "POSTIH"
"ACT_VANDAL_CAR_BIG_DOMESTIC_MSG": "VELKÁ AUTA"
"ACT_CLIENT_HASNT_COMPLETED": "({CLIENT_NAME} NEDOKONČIL)"
"ACT_WHORED_Z_TEXAS_ZOMB": "Asi na tom něco bude..."
"ACT_WHORED_D_7INNING": "Zrzky, dostaň zrzky!"
"ACT_LEVEL_7": "ÚROVEŇ 7"
"ACT_GUARDIAN_ANGEL_CAR_ATTACKER": "Zločinecká spojka zahlédla blížící se [format][color:red]auto[/format]."
"ACT_WHORED_Z_ERECTILE_DYS": "To se může stát každýmu."
"ACT_WHORED_Z_WELCOME": "Je fajn bejt nahoře."
"ACT_VANDAL_SUMMARY_OBJECTS_DESTROYED": "ZNIČENÉ OBJEKTY"
"ACT_VANDAL_STATIC_BONUS_BIGTRUCK_MSG": "BONUS ZA NÁKLAĎÁKY"
"ACT_HELI_CHOPLIFTER_FULLY_LOADED_MESSAGE": "HELIKOPTÉRA JE PLNÁ, ODVEZ CESTUJÍCÍHO DO [format][color:blue]BEZPEČÍ[/format]"
"ACT_FRAUD_HITS_HUD": "ZÁSAHY:"
"ACT_ESCORT_LIMO_MSG": "VEZMI [format][color:green]AUTO[/format] A JEĎ VYZVEDNOUT KLIENTA"
