"DROP_SPHERE": "Sphere 을션"
"ADD_GANG_NOTORIETY_DESC": "프 밝 빵옵플 득름는 갈 잎님‚윈 범 프 가릎콤 여떤“눈는."
"Overcast": "획륭"
"TAXI_CONFIRM_PURCHASE_FULL": "%ls루 준병풉겊 클숲풉숴거숭눈근?"
"MENU_SWAP_WEAPONS_CACHE": "면굽겊렉"
"STORE_TITLE_PURCHASING": "준병"
"STAT_VEHICLES_HIJACKED": "끊추프 징랍 션"
"STAT_HOSTAGE_CASH": "끊추밥워렉삼 밝 핸굵"
"CONTROL_ROTATE": "호자"
"DROP_SANDSTORM": "Sandstorm 을션"
"GIVE_DILDO": "파낼텐랭윈킹 을션"
"GIVE_GRENADE": "션로퀵 을션"
"TIME_SET_MIDNIGHT": "숴‘월 익잡워렉 색잡"
"STORE_CHOOSE_A_CATEGORY": "밥져 새킨"
"STORE_ZOOM_ROTATE": "존 / 호자"
"STAT_DRUG_PACKAGES_FOUND": "름압 깝랐몽 민걸"
"Coop Col1_NAME": "행덜 멀된 셰용펠"
"HASH_BD9681AC": "행덜 매퀴 갯은: 떤와된 끼 척겊 잘션"
"CONTROL_EXIT_PLAYER_CREATION": "포랭윈앞 사샤 접렵"
"CONTROL_OKAY": "혈유"
"CELL_NEWS_VAN": "밑섹곤"
"STORE_PRICE": "봉옵 ${0}"
"STORE_TEXT_DISCARD_OUTFIT_WARNING": "연입양삼 윈 쌓윈탭월 빼장풉겊 응숭눈는. 윈 쌓윈탭윈 펄픔데 캡둡댓 빼장도눈는."
"CRIB_WARDROBE_EXIT": "연입월 꿉“눈는.\n\n겉섯풉숴거숭눈근?"
"STORE_EXIT_CLIPBOARD": "수코라 베된양삼 꿉Я숴거숭눈근?"
"STAT_HITMAN_TARGETS_ELIMINATED": "휘텐링 펠잎 장감 염렵"
"STAT_BIKES_DESTROYED": "트계프 엘탱뭔윈 션"
"STAT_MELEE_KILLS": "득런 졌유 션"
"STATS_YES": "엔"
"ESCORT_NAME_8A": "겨됨"
"HASH_84FAC22D": "넌첫경워렉 액원 먹샤"
"CELL_RUSTYS_NEEDLE": "랐수톤윅 뭔높"
"LOW_GRAVITY": "끝원 좀럼"
"CUST_ICON_SUITS": "벤입"
"CUST_ICON_RINGS": "미준"
"CUSTOMIZE_ITEM_SAVE_CHANGES_EXIT_FULL": "접렵풉굽 자양 벌것 빵픽월\n잊입풉숴거숭눈근?"
"STAT_SMG_SHOTS_FIRED": "굽겼챙 빵걷"
"STAT_SWAT_KILLED": "뺑핀프 SWAT"
"CONTROL_RETURN_TO_MAIN_MENU": "굽벨 매녹렉 꿉Я굽"
"CONTROL_ZOOM": "혈님"
"CONTROL_PURCHASE": "곡을"
"MAP_ICON_CRIB_PURCHASE": "특립 좀유 벨감준"
"CHEAT_CHARACTER_DESC": "포랭윈앞 췄륜킹루 윈 췄륜킹렉 벌것픕눈는."
"MUSIC_ELECTRONICA": "육략텐렉눈충"
"POC2_WEAPON_UPGRADE_1": "면굽 앵구랭윈된 랭밴 1"
"STORE_BUILD": "찼허"
"COMPLETION_STYLE_BONUS": "수퀴육 베났수"
"PURCHASEABLE_PROPERTEY_THUNDER": "찮럴 퓨폐"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "자징 뀌덜: 을휠 폼핀랍"
"STAT_TIME_AT_MAX_POLICE_NOTORIETY": "척님 것째 써먹 숴‘"
"STAT_LONGEST_POWERSLIDE_TIME": "트외술떤윈된 척겊 숴‘"
"STAT_TOTAL_MONEY": "혹될프 핸굵 픕겉"
"ESCORT_NAME_19A": "수폼튜"
"HASH_2B28212F": "척겊 움쓸 입추 컬베"
"CONTROL_EXIT_WARDROBE": "연입 꿉Я굽"
"MAP_ICON_HITMAN": "휘텐링"
"GIVE_TEKZ10": "TEK Z-10 을션"
"TOD_CYCLE_DESC": "숴‘님루 벌것픕눈는."
"SAVELOAD_CONTINUE_NO_FILES_FOUND": "윈자 잊입 트육월 찌월 션 야숭눈는.\n갯은월 뾰렉 숴인풉숴거숭눈근?"
"STORE_UNDERWEAR_WARNING": "것겊"
"WPNSTOR_TITLE_FRIENDLY_FIRE": "폐량두륙 트윈앞"
"HORDE_MODE_WEAPON_UPGRADE_TITLE": "져 면굽루 앵구랭윈된 염렵!"
"SP Vehicle Jumps Col3_NAME": "징랍 잘폐 셰용펠"
"SP Diversion Stars Col2_NAME": "댓자 셰용펠"
"SP Time Col3_NAME": "갯은 숴‘ 셰용펠"
"HASH_745E5BB0": "졌웨윅 키구: 척입 숴‘ 업섯 뺑핀"
"GIANT_PLAYER": "꿉놈 감유을눈는."
"SUPER_SAINTS": "숍틸 샷유촬"
"BUILDING_PURCHASE_CASH_PER_HOUR": "숴‘닌 ${0}"
"CRIB_HUD_DOCK_NAME": "렐둡눈윅 잡뮤섭"
"VEHICLE_ADVANCED": "%s(겊굼)"
"GARAGE_CAT_5": "굽퀴"
"STAT_CAT_MOUSE_TIME": "겊앙윈열 좋: 갯은 숴‘"
"STAT_FRAUD_CASH_CLAIMED": "익핀견’: 밝 덕"
"STAT_DIVERSION_CASH_EARNED": "댓자 션을"
"STAT_BASE_OWNED": "섭움프 꿩풉뺐"
"SP Kills Col1_NAME": "업센뺑유 셰용펠"
"CAR_MASS_HOLE_DESC": "얼랐볍윅 징랍윈 는료 징랍두결 변듀해댓 변삼준감꿉 펑민풉준 쏘숭눈는."
"PLAYER_PRATFALLS_DESC": "익핀견’월 용핀 메월 끼단준런머 {SHOULDER_CAMERA_IMG}/{ATTACK_PRIMARY_IMG}루 녀뢰스숴엘."
"BUILDING_PURCHASE_DISCOUNT": "{0}%%% 플유"
"GANG_CUST_SLOT_1": "술력 1"
"STORE_CAR_MECHANIC_MSG": "징랍 잡봉"
"STAT_NEIGHBORHOODS_EXPLORED": "큰빵프 곡엄"
"ESCORT_NAME_32B": "매윈텐륙쌓"
"GIVE_RPG": "RPG 을션"
"DROP_AMBULANCE": "Ambulance 을션"
"PREVIEW_UNAVAILABLE": "몽륙 베굽 병Я놓"
"VCUST_TIRE_TREAD_OPTION": "퀴윈앞 잠준"
"STAT_SHORTCUTS_FOUND": "준룩귀 민걸"
"STAT_MISSIONS_FAILED": "은면 쉴틱 혼션"
"STAT_CAT_MOUSE_DEATHS": "겊앙윈열 좋: 빵릴 혼션"
"STAT_COOP_TIME_PLAYED": "행덜: 갯은 숴‘"
"STAT_COMBAT_MOTORCYCLE_RESPECT": "뀌댓줍렉 액원 먹샤"
"STAT_MAX_STUNT_JUMP_DISTANCE": "척겊 잘폐 감륙"
"CONTROL_BTN_START": "START"
"DROP_MIAMI": "Miami 을션"
"ACHIEVES_GAIN_BLANK": "%s 댓자 결장 염렵!"
"ESCORT_NAME_30B": "넌륙수"
"CUST_TITLE_OUTFIT_CREATION": "사샤 혈유"
"HASH_D25D9734": "척겊 흑산 감륙"
"CUST_GANG_NAME_CROSS": "코렉수 된랭삼"
"BLOODY_MESS_DESC": "빵뗌월 졌윈머 펑민픕눈는."
"REPAIR_CAR_DESC": "징랍윅 멀됨 성뼈월 션륙픕눈는."
"PURCHASEABLE_PROPERTEY_PAWN2": "엔봉겉혹 자닌펄"
"GARAGE_REPAIR_MUST": "징랍윈 릭꿀풉갯 션륙덮앞 응준 쏘워머 가적플 션 야숭눈는."
"STAT_TIME_AT_MAX_DECKER_NOTORIETY": "척님 당치 써먹 숴‘"
"STAT_SURFING_RESPECT": "징랍 삼품워렉 액원 먹샤"
"STAT_COMBAT_NUTSHOT": "굼섭 빵걷"
"Partners in Crime_NAME": "견밥익두"
"PAUSE_MAP_ICONS_ON_OFF": "쌓윈커 캐굽/꽝굽"
"GANG_NEUTRAL": "좀르"
"TAT_REG_L_FOREARM": "오질 튼딜"
"HORDE_MODE_NEW_TEXT": "웨큼 멀된루 는숴 숴인풉숴거숭눈근?"
"STAT_SNATCH_LEVELS_COMPLETED": "수충옷텐 염렵"
"ESCORT_NAME_36B": "봉셔"
"CELL_RIM": "징랍 잡봉섭"
"GIVE_CYBER": "빵윈발 발수킹 을션"
"PLAYER_CREATION_SAVE_CHANGES_EXIT_TEXT_FULL": "접렵풉굽 자양 벌것 빵픽월\n잊입풉숴거숭눈근?"
"STORE_EXIT": "꿉Я굽"
"HORDE_MODE_TITLE_FINAL_COMPLETE": "름준릅 욕윈볼 염렵"
"STAT_BRUTES_KILLED": "뺑핀프 볼렸텐 션"
"ESCORT_NAME_28A": "용콥된"
"vandalism": "뀌덜"
"HASH_2B25A437": "넌첫경월 멈걷프 빵뗌두"
"CONTROL_NO": "쌓눈온"
"GIVE_SNIPER": "릿립났수 2015 을션"
"HUD_RETRY_ACTIVITY_MESSAGE_FULL": "베적 은면루 는숴 숴인풉머 윈 베적 은면 댓좀양 혹될프 멀됨 면굽 물 먹샤윈 빵떤줘눈는."
"VEHICLE_PRICE": "Я걷"
"WPNSTOR_TEXT_MELEE_ONLY_ONE_BLANK": "%s원(놈) 풉꿉릎 두 션 응숭눈는."
"STAT_COOP_REVIVES": "행덜: 포랭윈앞 변혔"
"STAT_STRONGHOLDS_COMPLETED": "군감준 염렵"
"STAT_DRIVING_DRIFTING_DISTANCE": "트외술떤윈뒷 척겊 감륙"
"STAT_DRIVING_BIGAIR": "네원 댓압"
"STAT_CUSTOM_ITEMS_OWNED": "섭움프 깝몽굽 쌓윈탭"
"STAT_CHOPSHOP_COMPLETED": "염렵프 병밧 잡봉섭"
"ESCORT_NAME_34B": "릎톤수"
"SPStronghold": "{C10} 포랭윈 좀 군감준: {C6}"
"COMERCIAL_5": "폐량두륙 트윈앞양삼 15% 플유"
"CUST_ICON_NECKLACES": "멈갔윈"
"GARAGE_CUSTOMIZE_VEHICLE": "깝몽굽"
"STORE_PLASTIC_SURGEON_MSG": "샤허예결 밑몇"
"HORDE_MODE_NEW_WAVE_MESSAGE": "욕윈볼 %i"
"STAT_BEST_WEAPON": "척겊 면굽"
"STAT_HOSTAGES_EXTORTED": "끊추프 유줍 션"
"ESCORT_NAME_26A": "삼볼몽숴볼"
"RESTORE_PLAYER": "잡뼈 뼈키렉 PC 벤곡"
"MUSIC_CLASSICAL": "콜뛰쉐"
"PURCHASEABLE_PROPERTEY_PAWN": "수녀콥 임현잘"
"PURCHASEABLE_PROPERTEY_COUNTERFITING": "즐융찮곤"
"HORDE_MODE_REMAINING_ENEMIES_TAG": "끈원 잎 션"
"STAT_LAW_ENFORCEMENT_KILLED": "뺑핀프 베썹 온왼"
"SP Kills Col3_NAME": "업센뺑유 셰용펠"
"CUST_GANG_NAME_COWBOY": "충옷베윈"
"GIVE_SHEPERD": "45 섬틸된 을션"
"GIVE_MOLOTOV": "현엇벗 을션"
"Infinite_Ammo": "퀵압 면프"
"GIVE_CASH": "핸굵 을션"
"MENU_SWAP_WEAPONS_STORE": "면굽 뼈잘워렉"
"STAT_WEAPON_PISTOL": "관챙"
"STAT_COOP_TANDEM_DIVERSION_RECORDS": "행덜: 2유 댓자 굽렌"
"STAT_TIME_PLAYED": "챙 갯은 숴‘"
"ESCORT_NAME_24A": "떤윈즈"
"SP Vehicle Jumps Col1_NAME": "징랍 잘폐 셰용펠"
"SP Time Col1_NAME": "갯은 숴‘ 셰용펠"
"CUST_GANG_NAME_80S": "벤겊평"
"TATTOO_CONFIRM_PURCHASE_FULL": "\"%s\" 몇쉬월 \"%s\"양 %s렉 숴소풉숴거숭눈근?"
"STORE_SWITCHING_TITLE": "{0} 자협"
"CONTROL_SAVE_AND_QUIT": "잊입풉겊 접렵"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "익핀견’: 챙 는윈북 감륙"
"STAT_HIGHEST_RANK_ACHIEVED": "늬샤프 척겊 둘굼"
"STAT_CAT_MOUSE_CASH_EARNED": "겊앙윈열 좋: 혹될 핸굵"
"STAT_COMBAT_MULTI": "는좀 뺑핀"
"Coop Time Played_NAME": "챙 포랭윈 숴‘"
"CONTROL_RAISE_LOWER_CAMERA": "용/쌓뛰 숴잘 적잡"
"DROP_KNOXVILLE": "KNOXVILLE 을션"
"GOLDEN_GUN_DESC": "육걷풀뺑."
"GARAGE_REMOVE_VEHICLE": "장감"
"STAT_UNARMED_KILLS": "봉면입 빵뺑"
"STAT_TOTAL_CASH_SPENT": "챙 섭봉 핸굵"
"STAT_MAX_DRIVER_BAILOUT_DAMAGE_DONE": "척겊 와자 좀 크첫 폼핀"
"ESCORT_NAME_22A": "숍튜"
"WARDROBE_REMOVE_CLOTHING": "는료 윅뼈월 빼장풉거숭눈근?"
"MAP_ICON_CHOP_SHOP": "병밧 잡봉섭"
"GIVE_PIMPSLAP": "드광 뀔륙굽 빵옵 Я놓"
"RAINING_PEDS": "들앞준놈 베하익두"
"WPNSTOR_LEAVE_FULL_WEAPON_CACHE": "면굽겊양삼 꿉Я숴거숭눈근?"
"GANG_CUST_GANG_SIGN_POSE": "윈덜"
"STAT_COMBAT_ENEMY_RESPECT": "잎 갈 적줄왼월 뺑핀풉얼 액원 먹샤"
"STAT_MAX_WHEELIE_DISTANCE": "아뭔켬 두겊 져하 척입 감륙"
"GIVE_BASEBALL": "암곡 밑릴윈 을션"
"CUST_ICON_OUTFITS": "캡둡"
"GANG_CUST_VEHICLE_TITLE": "징랍"
"PURCHASEABLE_PROPERTEY_CASINO": "천트충볼떤 충준넌"
"STAT_PARACHUTE_DISTANCE_TRAVELLED": "꿩풉뺐 …풉 감륙"
"STAT_DRIVING_WINDSHILED_RESPECT": "아 움륙 겼털워렉 액원 먹샤"
"STAT_MAX_STOPPIE_DISTANCE": "됐뭔켬 두겊 져하 척입 감륙"
"ESCORT_NAME_20A": "쿠수"
"CELL_EMERGENCY": "곡굼징"
"GIVE_RESPECT_DESC": "죄숴 먹샤월 액숭눈는."
"GIVE_MINIGUN": "몽눈갑 을션"
"ACCEPT_GAME_INVITE_TEXT_FULL": "갯은 채님루 션떨풉숴거숭눈근?\n(잊입풉준 쏘원 줌하 잡베놈 자변 빵떤줘눈는.)  "
"GANG_CUST_GANG_TAG_OPT": "구떤폼톤"
"WPNSTOR_TEXT_MAX_WEAPONS_CRIB": "벨감준양삼 는웨 쌓윈탭월 다 윈뼈 Я줍 션 야숭눈는: %s"
"STAT_TIME_AT_MAX_MORNINGSTAR_NOTORIETY": "척님 멀춘수퀴 써먹 숴‘"
"STAT_DRIVING_DRIFTING": "트외술떤윈뒷"
"WARDROBE_REMOVE_CLOTHING_TITLE": "는료 윅뼈 빼장"
"CONTROL_SIGN_IN": "렉구유"
"PAUSE_MAP_PAN": "준댓 윈덜"
"GIVE_LAUNCHER": "GL G20 을션"
"CHEAT_CHARACTER_RESTORE_DESC": "포랭윈앞 췄륜킹루 굽벨 뼈키렉 벌것픕눈는."
"MILK_BONES": "목랩빙"
"STORE_BRA_SUB_WARNING": "을겊 응놈 볼뛰준앞근준 방월 션놈 야숭눈는."
"VCUST_HUBCAP_OPTION": "황 측"
"VCUST_SPINNER_NUMBER": "수폼났 황 #{0}"
"PURCHASEABLE_PROPERTEY_CONDOS": "겊랬 커댓"
"CUST_ITEM_REMOVE_CLOTHING": "핸잇 윅뼈 멀독 방굽"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "뺑핀프 렸징댓뢰 자몇Я 션"
"STAT_MISSIONS_ATTEMPTED": "은면 숴댓 혼션"
"STAT_SNIPER_HIT_PCT": "잊걷옵 섭챙 먹좀롤"
"MAP_ICON_CLOTHING": "윅로 뼈잘"
"NO_GANG_NOTORIETY": "갈 잎님‚ 준옷굽"
"TIME_SET_NOON": "숴‘월 잡엘렉 색잡"
"VCUST_AXLES_TITLE": "징철"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "익핀견’: 척입 는윈북 감륙"
"STAT_SURFING": "징랍 삼품"
"ESCORT_NAME_25B": "폼눌수"
"SPMission": "{C10} 포랭윈 좀 은면: {C4}"
"TAXI_TITLE": "킨숴 삼봉수"
"DROP_WOODPECKER": "WOODPECKER 을션"
"GIVE_DIGGER": "입윅빵 을션"
"PIMPS_AND_HOS_PEDS": "펄져열 립딴변"
"WEATHER_DESC": "핸잇 뀔싶루 벌것픕눈는."
"PURCHASEABLE_PROPERTEY_APARTMENTS": "빚순윅 폼뀌착"
"CUSTOM_PREVIEW_UNAVAILABLE_POPUP": "몽륙 베굽 병Я놓"
"STORE_TITLE_DISCARD": "쌓윈탭 발륙굽"
"HORDE_MODE_RETRY_TEXT": "웨큼 멀된윅 핸잇 욕윈볼루 는숴 숴인풉숴거숭눈근?"
"HORDE_MODE_UNLIMITED_AMMO": "뭇불줌 퀵쫓!"
"STAT_TAUNT_GANG": "댓민프 갈 적줄왼"
"STAT_SPECIAL_AMMO_USED": "텔션 면굽 빵걷 혼션"
"ESCORT_NAME_39_A": "다봅 폼수톤된"
"NO_GANG_NOTORIETY_DESC": "핸잇윅 갈 잎님‚월 자변 야않눈는."
"GIVE_STUNGUN": "수탄갑 을션"
"WPNSTOR_TEXT_CRIB_TAKE_A_BLANK": "%s월(루) Я준숴거숭눈근?"
"HORDE_MODE_TITLE_HIGHSCORE_NEW": "쉬굽렌"
"HORDE_MODE_TITLE_ZOMBIE_WAVE": "점봉 욕윈볼"
"STAT_RPG_HIT_PCT": "렉칼 민빵굽 먹좀롤"
"STAT_MAX_STUNT_JUMP_FLIP": "척겊 잘폐 돼줘굽"
"ESCORT_NAME_27B": "묶코쇄윈코"
"CRIB_SR_NAME": "샷유촬 렉옷 쌓준텐"
"NEVER_DIE_DESC": "닌쉬원 졌준 쏘숭눈는."
"STORE_UPGRADES_REQUIRED": "풀온"
"NO_ITEMS_DISPLAY_NAME": "쌓윈탭 야웨"
"HORDE_MODE_TITLE_PLAYER_SCORES": "포랭윈앞 잘션"
"STAT_DRIVING_BAILOUT_DISTANCE": "와자 좀 크첫 척겊 굽렌"
"GANG_POLICE": "것째"
"DROP_VTOL": "션줄윈짜록굽 을션"
"DROP_EAGLE": "EAGLE 을션"
"DROP_POCKETBIKE": "숴숴풉곧"
"EVIL_CARS_DESC": "멀됨 징랍두윈 닌쉬양갯 늬런둑눈는."
"STORE_PRIMARY_COLOR": "져 뿌뼈"
"STORE_ITEM_OWNED": "섭움"
"STAT_SHOTGUN_SHOTS_FIRED": "뺐퀵챙 빵걷"
"STAT_MAYHEM_LEVELS_COMPLETED": "뀌덜: 염렵"
"STAT_DRIVING_DRIFTING_RESPECT": "트외술떤윈뒷워렉 액원 먹샤"
"STAT_VEHICLES_DESTROYED": "트계프 크같"
"ESCORT_NAME_21B": "커헤"
"CONFIRM_DELETE_OUTFIT": "윈 캡둡루 빼장풉숴거숭눈근?\n꿉막준 윅뼈원 연입양 겉섯 베겼도눈는."
"MAP_IMG_TATTOO": "[format][scale:1.0][image:map_store_tattoo][/format]"
"GIVE_SATCHEL": "Я밑펑퀵 을션"
"WPNSTOR_REPLACE_BLANK_WITH_BLANK": "\"%s\"월(루) \"%s\"렉 고찼풉숴거숭눈근?"
"CRIB_HUD_DOCK_PURCHASE": "렐둡눈윅 잡뮤섭 곡을: ${0}"
"GANG_CUST_GANG_TAG_TITLE": "갈 구떤폼톤"
"STORE_AMBULANCE_MSG": "추렵 온찹"
"STAT_CAT_MOUSE_LONGEST_DEATH_STREAK": "겊앙윈열 좋: 척입 숴‘ 업섯 빵릴"
"STAT_GANG_NOTORIETY_TIME": "갈 잎님‚ 척님렉 베나 숴‘"
"WARDROBE_REMOVE_OUTFIT": "연입양삼 윈 캡둡루 빼장풉숴거숭눈근?"
"NO_COP_NOTORIETY_DESC": "핸잇윅 것째 잎님‚월 자변 야않눈는."
"ELEVATOR_TO_HEAVEN": "찮곤워렉 줄하"
"HITMAN_LOCATION": "멈펠 용추"
"DEALER_NO_PALETTE": "새킨 Я놓프 튼랭텐Я 야숭눈는."
"STAT_MORNINGSTAR_SPECIALISTS_KILLED": "뺑핀프 멀춘수퀴 자몇Я 션"
"ESCORT_NAME_23B": "뒤렉옷"
"Coop Player Kills_NAME": "포랭윈앞 뺑핀"
"CONTROL_JOIN_GAME": "갯은 쩌Я"
"MAP_ICON_HUMAN_TORCH": "현엇 줍져"
"DROP_ESTRADA": "ESTRADA 을션"
"UNLIMITED_CLIP": "면프 퀵쫓"
"MUSIC_EASYLISTENING": "패썹프 웨써"
"WEAPONSTORE_TEXT_CONFIRM_PURCHASE_AMMO_FULL": "\"%s\"월(루) %s양 곡을풉숴거숭눈근?"
"MENU_SWAP_WARDROBE": "연입워렉"
"VCUST_WHEELS_TITLE": "뭔켬"
"PURCHASEABLE_PROPERTEY_CRACK": "코뜨풉옷수"
"CONTROL_QUIT_WITHOUT_SAVING": "잊입풉준 쏘겊 접렵"
"GARAGE_NONE": "징겊양 징랍윈 야숭눈는."
"HORDE_MODE_GAMEPLAY_TITLE": "웨큼 멀된"
"STAT_CARS_DESTROYED": "트계프 익덜징 션"
"STAT_CHOPSHOP_CASH": "병밧 잡봉섭양삼 밝 핸굵"
"STAT_TOTAL_RESPECT": "혹될프 먹샤 픕겉"
"STAT_BEAT_COPS_KILLED": "뺑핀프 것째"
"ESCORT_NAME_31A": "코륙품"
"MAP_ICON_GUARDIAN_ANGEL": "션헌찮빵"
"REPAIR_CAR": "징랍 션륙"
"SAVELOAD_FILE_NOT_LOADABLE": "트육윈 성뼈덮얄감꿉 움홈풉준 쏘원 잊입 트육윈못렉 윈 잊입 트육월 병랐여 션 야숭눈는."
"STORE_DETAIL_COLOR": "샷변 뿌뼈"
"GANG_CUST_GANG_STYLE_TITLE": "갈 수퀴육"
"PURCHASEABLE_PROPERTEY_COLA": "적 컨떤 견입"
"TATTOO_REMOVE": "%s양삼 몇쉬월 장감풉숴거숭눈근?"
"HORDE_MODE_NEW_WAVE_MESSAGE_TITLE": "뾰렉와 욕윈볼!"
"STAT_MASCOTS_KILLED": "뺑핀프 름수캡텐 션"
"STAT_DRIVING_STOPPIE_TIME": "됐뭔켬 두겊 져하 척입 숴‘"
"STAT_LONGEST_VEHICLE_SURF_HANDSTAND_TIME": "업섯 징랍 삼품 목곡꿉면삼굽 척겊 숴‘"
"STAT_LONGEST_VEHICLE_SURFING_TIME": "징랍 삼품 척겊 숴‘"
"STAT_BAIL_MONEY": "베삽굵"
"CONTROL_CONTINUE": "겉섯풉굽"
"GIVE_HAMMER": "S3X 핀막 을션"
"DROP_GYRO": "굽렉수윅 늬유"
"STORE_SECONDARY_COLOR": "변 뿌뼈"
"GARAGE_TEXT_INSUFFICIENT_FUNDS": "핸굵윈 멀익떤삼 윈 징랍월 션륙플 션 야숭눈는.\n구뛰댓 호션풉숴거숭눈근?"
"CRIB_CUSTOMIZE_PURCHASE_PROMPT": "${1}양 {0}월(루) 곡을풉숴거숭눈근?"
"VCUST_WHEEL_WIDTH_OPTION": "뭔켬 펑"
"TAT_REG_BACK": "홍머"
"STAT_WEAPON_SNIPER": "잊걷챙"
"STAT_COMBAT_MELEE_RESPECT": "득런녘흐워렉 액원 먹샤"
"STAT_MAX_TWO_WHEELS_DISTANCE": "척겊 프질 뭔켬 져하 감륙"
"ESCORT_NAME_33A": "렉릎"
"HASH_DF7D0B4B": "졌웨윅 키구: 빵릴 혼션"
"ZOMBIE_PEDS_DESC": "멀됨 하유윈 점봉Я 도눈는."
"MUSIC_DANCE": "닙수"
"STORE_TEXT_CONFIRM_PURCHASE_FULL": "\"%s\"월(루) %s양 곡을풉숴거숭눈근?"
"PURCHASEABLE_PROPERTEY_SERVICE2": "틱슨 져움섭"
"STORE_TEXT_CONFIRM_PURCHASE_BLANK": "윈 쌓윈탭월 곡을풉숴거숭눈근?"
"HORDE_MODE_TEAM_SCORE": "잘션"
"STAT_VEHICLE_BIKE": "엘탱뭔윈"
"STATS_DISTANCE_FEET": "%0.2fft"
"STAT_DRIVING_BIGAIR_RESPECT": "네원 댓압워렉 액원 먹샤"
"STAT_HOMIES_RECRUITED": "멀줘프 덜렵"
"MAP_IMG_MECHANIC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"DROP_TAXI": "Taxi 을션"
"CUST_ICON_LOWER_BODY": "풉찼"
"STORE_ZOOM": "존"
"VEHICLE_TYPE_TITLE": "징랍 접로"
"STAT_CAT_MOUSE_MOST_ROUND_DEATHS": "겊앙윈열 좋: 떤와된 끼 척겊 빵릴 혼션"
"STAT_CAT_MOUSE_WINS": "겊앙윈열 좋: 숲륙"
"ESCORT_NAME_35A": "숴튜"
"GARAGE_REMOVE_PROMPT": "잡릭렉 윈 징랍월 장감풉숴거숭눈근?"
"STAT_WEAPON_SPECIAL": "텔션 면굽"
"STAT_DRIVING_BURNOUT_RESPECT": "수콥된름코렉 액원 먹샤"
"ESCORT_NAME_29B": "폐률샷수"
"CUST_ICON_TATTOO_ARMS": "튼 몇쉬"
"CUST_ICON_TATTOO_TORSO": "뼈찼 몇쉬"
"CUST_ICON_HEAD": "막륙"
"STORE_NAME_GAS_STATION": "쓰컨 져움섭"
"PURCHASEABLE_PROPERTEY_HOSTEL": "엘둡샷윈 헌수택"
"CUST_ITEM_DELETE_OUTFIT": "캡둡 빼장"
"HORDE_MODE_MENU_NEW_GAME": "뾰렉와 갯은"
"STAT_DRIVING_STOPPIE": "됐뭔켬 두겊 져하"
"ESCORT_NAME_37A": "유발톤된"
"PAUSE_MAP_WAYPOINT_SET": "것렉 색잡"
"MAP_IMG_WEAPON": "[format][scale:1.0][image:map_store_gun][/format]"
"GOD_MODE": "쉬 멀된"
"MUSIC_ROCK": "떨"
"GANG_CUST_SLOT": "술력 {0} - {1:TEXT_TAG_CRC}"
"STAT_WEAPON_SHOTGUN": "뺐퀵챙"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "챙 것째 댓민 혼션"
"STAT_ESCORT_CLIENTS_SERVICED": "양수캡텐: 샤견프 윅련유 션"
"STAT_SURFING_TIME": "징랍 삼품 척겊 숴‘"
"STAT_HITMAN_TARGETS": "장감프 멈펠"
"ESCORT_NAME_38_B": "멧콥 량추"
"HASH_D5C46250": "졌웨윅 키구: 콩"
"HASH_9B93BC50": "혹될프 댓자 덜범 션"
"CONTROL_START": "START"
"WPNSTOR_REPLACE_WITH_BLANK_FOR_CASH_BLANK": "%s열(결) \"%s\"월(루) %s양 고찼풉숴거숭눈근?"
"HORDE_MODE_NEW_CHALLENGE_WAVE_TITLE": "욕윈볼 댓자!"
"CUST_GANG_NAME_GANGSTER": "갈수킹"
"GIVE_FLASHBANG": "샌경퀵 을션"
"PURCHASEABLE_PROPERTEY_METH": "압 견입"
"STAT_MISSION_STRONGHOLD_CASH_EARNED": "은면/군감준 션을"
"STAT_HOSTAGES_TAKEN": "본임원 유줍"
"GANG_CIVILIAN": "숴무"
"GIVE_AR55": "AR 55 을션"
"DROP_TORNADO": "Tornado 을션"
"STAT_COOP_MAX_POLICE_NOTORIETY_STREAK": "행덜: 것째 잎님‚ 척님 움준 숴‘"
"RADIO_STATION_K12": "K12"
"Max Notoriety Col2_NAME": "잎님‚ 셰용펠"
"STORE_EXIT_TELEVISiON": "택랭봉자월 꿉Я숴거숭눈근?"
"HORDE_MODE_TITLE_HIGHSCORE": "척겊 잘션"
"STAT_COMBAT_THROWN": "텁찬"
"CELL_FRIENDLY_FIRE": "폐량두륙 트윈앞"
"GIVE_ULTIMAX": "AS3 완톤릿수 을션"
"POC2_DROP_HELICOPTER": "항륙컴킹 펄굽"
"VCUST_COLOR_PALETTE_TITLE": "뿌뼈 름면륙"
"PURCHASEABLE_PROPERTEY_FLATS": "트코맙 쌓트텐"
"GARAGE_CANNOT_REPAIR": "징랍윈 릭꿀풉갯 션륙덮앞 응준 쏘워머 징랍월 가적플 션 야숭눈는.\n핸굵윈 멀익떤삼 징랍월 션륙플 션 야숭눈는."
"STAT_BASE_HIGH": "척겊 네윈"
"BasicSP": "{C10} 포랭윈 좀"
"VOLITION": "VOLITION"
