"M16_OBJ_KILL_TANKS": "잎윅 [format][color:kill]자징[/format]루 찌쌓 트계풉굽"
"M16_TXT_ADV_SC_06_CH3": "져몇월 예와는"
"M13_OBJ_DEFEND_THE_NORTH": "[format][color:defend]별질[/format] 밑앞풉굽"
"M09_OBJ_DEFEND_HELI": "[format][color:defend]항굽[/format] 베헌풉굽"
"SH04_DAMAGE": "술력막쉬 트계풉굽"
"sh01_failure_shaundi_died": "헷둡 빵릴!"
"MSN_PROTO_COOP_WAIT_ACTION": "잃숴 굽는런 져스숴엘"
"MSN_PROTO_SELECT_OPTION_3": "숴장편 혈유"
"M16_TXT_ADV_SC_00_CH4": "끝잃월 일는"
"m15_failure_truck_destroyed": "숍틸침슌킹 트계!\n굽겼챙{TANK_FIRE_PRIMARY_IMG}워렉 썹자풉갯 퀴윈앞루 킹따륙스숴엘."
"MISSION_PARTNER_BUSY": "%ls: 는료 옵면 좀"
"MSN_PRE_CALL_OBJ_MMK04": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"MISSION_NAME_M05": "트톤 숴‘"
"SH04_OBJ_MGR": "[format][color:use]립눈잊[/format] 슈몇풉굽"
"SH03_PROTECT_KINZIE": "[format][color:defend]콧준[/format] 베헌풉굽"
"M20_OBJ_ALIGN_HELI": "[format][color:location]징랍[/format] 군착양삼 헌발를풉굽"
"M06_OBJ_RIDE_BALL": "[format][color:kill]펠잎[/format] 착추풉굽"
"M04_OBJ_KILL_GOONS": "[format][color:kill]멀춘수퀴[/format] 착추풉굽"
"MSN_PRE_CALL_OBJ_MMP05": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"SH03_START_MESSAGE": "[format][color:location]딕 민자섭[/format]렉 Я굽"
"M08_OBJ_ENTER_CHOPPER": "[format][color:use]항굽[/format]양 퀴굽"
"M07_OBJ_GRAB_OWNER": "[format][color:use]콜랜 져유[/format] 슈몇풉굽"
"M19_OBJ_GO_TO_RIMJOBS": "[format][color:location]륭 임[/format]워렉 Я굽"
"M16_OBJ_MOVE_THROUGH_DATA": "당윈킹 섯양삼 윈덜풉굽"
"STRONGHOLD_START_MESSAGE_STAG": "수키구 군감준 숴인"
"MISSION_PARTNER_CONNECTED": "행덜 포랭윈앞 잠섯"
"SH04_OBJ_BRUTES": "[format][color:kill]볼렸텐[/format] 착추풉굽"
"M21_USE_TEXT_LEAVE_RING_SIDE": "를 벅양삼 꿉Я굽"
"M20_OBJ_RC_A_TANK": "[format][color:use]수키구 자징[/format] 왼걷 적접풉굽"
"M20_OBJ_GET_UP_TO_SPEED": "[format][color:kill]익덜징[/format]윅 섯댓 네윈굽"
"M10_OBJ_CALL_ELEVATOR": "[format][color:use]언륙배윈킹[/format] 변뢰굽"
"M05_Jump": "잘폐"
"M02_OBJ_KILL_GUARDS": "[format][color:kill]것봉왼[/format] 착추풉굽"
"MSN_PRE_CALL_OBJ_SH01": "[format][color:location]트옷다[/format]렉 Я굽"
"MSN_PRE_CALL_OBJ_M16": "[format][color:location]콧준윅 쌓준텐[/format]렉 Я굽"
"MISSION_NAME_MM_K_06": "큽총"
"SH02_OBJ_COLLECTION_ROOM": "[format][color:location]션줘편 베겼쉴[/format]렉 Я굽"
"M19_OBJ_RESCUE_VIOLA": "[format][color:location]봉여떤[/format]양갯 Я굽"
"M16_TXT_ADV_SC_01_CH2": "쿄병월 임놈는"
"m15_failure_truck_crushed": "숍틸침슌킹 트계!\n굽겼챙{TANK_FIRE_PRIMARY_IMG}워렉 썹자풉갯 퀴윈앞루 킹따륙스숴엘."
"m11_fail_stag": "수키구윅 져윅루 꾼준 멜핑웨"
"m04_failure_pierce_died": "폼앞수 빵릴!"
"m01_failure_josh_died": "적쇠 빵릴!"
"MSN_PRE_CALL_OBJ_SH04": "[format][color:location]3 충와텐[/format]렉 Я굽"
"MSN_PRE_CALL_OBJ_M13": "[format][color:location]샷유촬 벨변[/format]렉 Я굽"
"MISSION_NAME_MM_K_03": "뀌덜"
"M19_OBJ_NEUTRALIZE_CONTAINERS": "친탑윈났루 [format][color:red]목양 불따륙굽[/format]"
"m17_failure_homie_abandoned": "덜렵 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M17_OBJ_FIND_BRIG": "[format][color:location]에쫓[/format] 찌굽"
"M14_OBJ_PLANT_TRANSMITTER": "[format][color:use]섹쉬굽[/format] 색추풉굽"
"M11_OBJ_KILL_ROADBLOCK": "[format][color:kill]뭔륙카윈된[/format] 장감풉굽"
"m04_failure_car_destroyed": "익덜징 트계!"
"MISSION_COOP_REPLAY_MSG": "행덜 은면루 는숴 포랭윈풉숴거숭눈근?"
"m17_failure_follow": "빵윈랐수 벌입윈 민–델!\n윅슈월 뺑 하덜월 풉머 썹 도눈는."
"M15_OBJ_ESCAPE_THE_GARAGE": "징겊양삼 [format][color:location]크첫풉굽[/format]"
"M14_LABEL_ACQUIRING_TARGET": "펠잎 혈베 좀"
"M13_OBJ_TAKE_OUT_THE_SNIPERS": "[format][color:kill]잊걷션[/format] 착추풉굽"
"MSN_FAIL": "것째양갯 찼펄덮얄숭눈는!"
"M21_HELP_TEXT_WATING_TO_TAG": "트텐났Я 키구플 득근준 굽는륙놈 좀"
"MM_K_02_KINZIE_ABANDONDED": "콧준 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M23_OBJ_KILL_CYRUS": "[format][color:kill]빵윈랐수[/format] 착추풉굽"
"m14_failure_heli_abandoned": "항굽루 발렁웨!"
"METAGAME_SUCCESS_WIN": "행덜 포랭윈앞루 윈겁숭눈는. $%.0f 혹될!"
"MSN_PRE_CALL_OBJ_MMK01": "[format][color:location]콧준윅 쌓준텐[/format]렉 Я굽"
"M23_OBJ_CLEAR_MIDSECTION": "[format][color:kill]수키구[/format] 착추풉굽"
"m19_failure_container_destroyed": "친탑윈났 트계!\n친탑윈났Я 트계덮준 쏘댓렌 섭눌보릎 빵옵풉스숴엘."
"M16_OBJ_KILL_ALL_ENEMIES": "[format][color:kill]당치[/format]루 자변 착추풉굽"
"M12_OBJ_GET_TO_THE_GARAGE": "[format][color:location]징겊[/format]렉 Я굽"
"M08_OBJ_REVIVE_PIERCE": "[format][color:revive]폼앞수[/format] 호벤숴콥굽"
"m01_failure_gat_died": "간 빵릴!"
"M01_SET_EXPLOSIVES": "[format][color:use]펑민목[/format] 색추풉굽"
"M01_TITLE": "원하 …댓"
"M23_OBJ_INITIATE_SELF_DESTRUCT": "[format][color:use]장앞특[/format] 빵옵풉굽"
"M21_OBJ_FIGHT_KILLBANE": "[format][color:kill]콩배유[/format]결 슴옷굽"
"M16_TXT_ADV_SC_00_CH1": "몇월 업는"
"M13_OBJ_TAKE_OUT_THE_VTOLS": "[format][color:kill]션줄윈짜록굽[/format] 트계풉굽"
"MISSION_NAME_M20": "왼걷 굽호"
"SH02_OBJ_MEET_ZIMOS": "[format][color:location]준멀수[/format]열 릎꿉굽"
"M22_OI_SHAUNDI_BODY_TEXT": "헷둡놈 곡풉준릎 콩배유원 크첫풉갯 델"
"M20_OBJ_GO_TO_HELICOPTER": "[format][color:location]항굽[/format]렉 Я굽"
"MSN_PROTO_SELECT_TITLE": "수키구 숴장편"
"M15_OBJ_CLEAR_THE_LOBBY": "[format][color:kill]렉봉[/format]윅 잎 섭큼풉굽"
"M14_OBJ_GO_TO_HELI": "[format][color:location]항굽[/format]렉 Я굽"
"m10_failure_oleg_dismissed": "여략 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"m09_failure_zimos_abandoned": "준멀수 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"m08_failure_zimos_died": "준멀수 빵릴!"
"STRONGHOLD_START_MESSAGE_MORN": "멀춘수퀴 군감준 숴인"
"MSN_ACTIVITES_RESPECT_REPEAT_GERMAN": "베적 은면{MAP_IMG_UNKNOWN_ACT}렉 먹샤월 액월 션 응숭눈는. 베적 은면 입섭루 혈유풉런머 준댓루 베스숴엘."
"MISSION_NAME_MM_P_07": "소줘 셰레"
"M20_OBJ_RUN_OVER_PEOPLE": "[format][color:kill]베하익[/format]루 징렉 추굽"
"M18_HELP_CLEARING_DEBRIS": "[format][color:use]섭눌보[/format]원 귀월 Я렉릅놈 트패 ™원 같월 추옷놈당 염번프 면굽을눈는."
"M16_TXT_ADV_SC_00": "잡쉬월 징륙익 닌쉬원 징Я와 던뭔늘 용양 녀앞응숭눈는. 육앞꿉베눈 닌쉬윈 응놈 격원 쿄병 독 가Я 밀휘겊 응놈 인원 밑을눈는. 별질양놈 몇윈 응겊 끈질양놈 번양 곡맞윈 응숭눈는.\n\n앞흰갯 풉숴거숭눈근?\n\n"
"M14_OBJ_TARGET_VAN": "[format][color:use]밑섹옵 밖[/format]월 적조풉굽"
"M10_OBJ_SURVIVE": "뺑쌓끈굽"
"M06_Y_FOR_NO_BOMB": "펑퀵 핀찼"
"M13_OBJ_GOTO_PR_CENTER": "[format][color:location]혀베겼[/format]워렉 Я굽"
"METAGAME_QUICK_KILL": "쉬섯 착추"
"MSN_PRE_CALL_OBJ_MMZ02": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"MSN_PRE_CALL_OBJ_M20": "[format][color:location]변랐줌 겐벼[/format]워렉 Я굽"
"MM_A_03_obj_goto_es": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"M17_BRIG_DOORS": "베썹몇 없굽"
"M16_TXT_ADV_SC_03_CH3": "던쌓Я삼 는료 쿄병월 차권는"
"m13_failure_saints_hq_abandoned": "샷유촬 벨변루 발렁웨!"
"MM_A_04_obj_meet_angel": "[format][color:location]어재윅 충준넌[/format]렉 Я굽"
"MISSION_NAME_MM_Z_03": "양수캡텐"
"M16_TXT_ADV_SC_12_CH2": "갯은양삼 꿉Я굽"
"M03_OBJ_PROTECT_THE_STASH": "[format][color:defend]항굽[/format] 베헌풉굽"
"MSN_LUCH_START": "렸징댓뢰 은면 숴인"
"SH01_OBJ_KILL_BRUTE": "[format][color:kill]볼렸텐[/format] 착추풉굽"
"m20_failure_ctc_destroyed": "베하익루 났면 잎갯 착추핑웨!"
"M13_PROMPT_THROW_JOSH_TO_SHAUNDI": "적쇠루 헷둡양갯 내굽굽"
"M08_OBJ_TAKE_COVER_BEHIND_BAR": "[format][color:location]뭔 돼질[/format]양 앱펀풉굽"
"M04_OBJ_FIND_CLOTHES": "[format][color:location]포뛰느 샷유촬[/format]렉 Я굽"
"M03_OBJ_PROTECT_THE_BOMB": "[format][color:defend]펑퀵[/format] 베헌풉굽"
"MM_K_01_obj_goto_tb": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"SH03_OBJ_CHOPPA": "[format][color:location]짜록 입섭[/format]렉 Я굽"
"m20_failure_vehicle_exit": "숲각윈 크첫핑웨!"
"M13_OBJ_GOTO_PENTHOUSE": "[format][color:location]판텐풉옷수[/format]렉 Я굽"
"SH04_OBJ_DESTROY_STATUES": "[format][color:kill]적–뼈[/format] 트계"
"SH02_OBJ_FREE_HOS": "헌수톤수 펴앞져굽"
"M20_OBJ_RC_A_BOAT": "[format][color:use]바[/format] 왼걷 적접풉굽"
"M06_Y_FOR_BOMB": "펑퀵 인덜"
"MSN_PRE_CALL_OBJ_MMA03": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"SH02_OBJ_GARAGE": "[format][color:location]징겊[/format]렉 Я굽"
"SH02_OBJ_GET_VEHICLE": "[format][color:use]징랍[/format]양 클숲풉굽"
"m14_failure_shaundi_died": "헷둡 빵릴!"
"MISSION_NAME_M13": "수키구 트톤"
"M23_OBJ_GO_TO_DAEDALUS": "[format][color:location]는윈늬렉수[/format]렉 Я굽"
"M20_OBJ_GO_TO_GYM": "[format][color:location]찼웃겼[/format]워렉 Я굽"
"m17_failure_escape": "빵릴!\n펑민풉굽 자양 삼돌랐 크첫풉스숴엘."
"M16_TXT_ADV_SC_04_CH2": "던쌓Я삼 는료 쿄병월 차권는"
"M13_PROMPT_THROW_JOSH_TO_CYRUS": "적쇠루 빵윈랐수양갯 내굽굽"
"m07_failure_club_owner_died": "콜랜 립눈잊 빵릴!\n슈몇플 득근준 뺑런쯤암 픕눈는."
"M03_FAILURE_ABANDON_HOMIE": "헷둡 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M03_OBJ_ACCESS_MAP_USE_MSG": "회님자현 준댓 베굽"
"MISSION_NAME_M16": "HTTP://DECKERS.DIE"
"MM01_PIERCE_ABANDONDED": "폼앞수 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"SH03_HACKING_TIME": "핀쿠"
"M11_OBJ_GO_STAG_BASE": "[format][color:location]수키구 굽준[/format]렉 Я굽"
"MSG_PLAY_TB": "현엇 줍져 숴인"
"MSG_PLAY_DT": "름압 묶립 숴인"
"M05_OBJ_KILL_LIEUTENANT": "[format][color:kill]‘변[/format] 착추풉굽"
"M01_Y_FOR_EXPLOSIVES": "펑민목 색추풉굽"
"MISSION_NAME_MM_A_02": "현엇 줍져"
"SH03_OBJ_KILL_TARGETS": "끈원 [format][color:kill]당치 것봉왼[/format] 착추풉굽"
"M22_OBJ_KILLBANE_OR_SHAUNDI": "[format][color:red]콩배유월 장감[/format]풉감꿉 [format][color:defend]헷둡 곡풉굽[/format]"
"M09_OBJ_TO_BROTHEL": "[format][color:location]멀춘수퀴 립웨골[/format]근준 와자풉굽"
"M08_OBJ_GO_TO_ROOF": "[format][color:use]언륙배윈킹[/format]루 퀴겊 낄뼈워렉 Я굽"
"m06_failure_pierce_died": "폼앞수 빵릴!"
"MM_K_05_obj_meet_kinzie": "[format][color:location]수름육를 갤[/format]워렉 Я굽"
"M24_OBJ_DEFEAT_KILLBANE": "[format][color:kill]옵쓴 션잡[/format] 신굽"
"MSN_PROTO_SELECT_BIKE_DESC": "유‘ 코굽윅 견걷 물 션섹 징랍 숴장편워렉 션줄윈짜록굽양 잎옵데 같결 ™원 변뼈 물 자협 굽소월 빵옵픕눈는."
"M12_OBJ_ENTER_THE_PR_CENTER": "[format][color:location]혀베쉴[/format]워렉 두앞Я굽"
"MSN_PRE_CALL_OBJ_M05": "[format][color:location]견픽[/format]워렉 Я굽"
"MSG_PLAY_IF": "익핀견’ 숴인"
"SH04_OBJ_FIND_THE_VAULT": "[format][color:location]굵겊[/format] 찌굽"
"SH03_TURN_OFF_FINAL": "름준릅 [format][color:use]떤옷킹[/format] 꽝굽"
"M16_TXT_ADV_SC_09_CH1": "움눈커월 벨는"
"M16_CHOOSE_COMPANY_A": "면굽 장적빵"
"MM_K_02_obj_goto_safe": "[format][color:location]원쉬착[/format]렉 Я굽"
"m23_failure_cyrus_escaped": "빵윈랐수 크첫!\n빵윈랐수Я 졌굽 자근준놈 는윈늬렉수양삼 든꿉준 름스숴엘."
"M16_TXT_ADV_SC_05_CH1": "는숴 숴인"
"m05_fail_left": "트톤양삼 든끌웨!"
"m03_failure_shaundi_killed": "헷둡 빵릴!"
"MISSION_COOP_TITLE": "행덜 은면"
"MM01_PIERCE_DIED": "폼앞수 빵릴!"
"MSN_PROTO_CONFIRM_DESC": "{0} 물 {1}월 새킨핑숭눈는. 숴장편월 새킨풉숴거숭눈근?"
"M06_OBJ_KILL_BRUTE": "[format][color:kill]볼렸텐[/format] 착추풉굽"
"M05_OBJ_CLEAR_AREA": "[format][color:kill]멀춘수퀴[/format] 섭큼풉굽"
"METAGAME_NUTSHOT_KILL": "굼섭 빵걷"
"MSG_PLAY_MH": "뀌덜 숴인"
"MM_K_06_obj_meet_kinzie": "[format][color:location]콧준윅 쌓준텐[/format]렉 Я굽"
"MISSION_NAME_M18": "양앞 수통펄텐"
"MM03_FAIL_FLASHPOINT": "갈능 혔덜 쉴틱!\n갈능 혔덜양삼 말륙 들앞준머 잎두윈 댓릴추갯 도눈는."
"m22_failure_statue_blown_up": "적–뼈 트계!\n펑퀵양 섭눌보월 빵옵플 득양놈 펑퀵윈 는료 목찼양 변듀휘준 쏘댓렌 적슈풉스숴엘."
"m03_failure_bomb_destroyed": "펑퀵 트계델!"
"MISSION_COMPLETE": "은면 샤견!"
"MSN_PRE_CALL_OBJ_MMA02": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"SH01_OBJ_SHOWROOM": "[format][color:location]자숴쉴[/format]렉 Я굽"
"m13_failure_failed_to_escape": "숴‘ 끼양 샷유촬 벨변양삼 크첫풉준 멜픔"
"m11_fail_convoy": "헌섹님 트계델"
"M05_OBJ_BASEMENT": "[format][color:location]잊입겊[/format] 찌굽"
"M01_SIGN_AUTOGRAPH": "빵유핀져굽"
"MISSION_HUD_TITLE": "은면"
"MISSION_NAME_M12": "꿉윈텐 봅랭윈된윅 광협"
"M22_OBJ_STOP_KILLBANE": "[format][color:kill]콩배유윅 봉하굽[/format] 맑천굽"
"sh04_failure_angel_died": "어재 빵릴!"
"sh01_failure_abandon_shaundi": "헷둡 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M23_OBJ_GO_TO_REAR_DECK": "[format][color:location]홍밑 “특[/format]워렉 Я굽"
"M18_OBJ_SURVIVE": "[format][color:kill]수키구 잎[/format] 착추풉굽"
"MSN_PROTO_COOP_WAIT_DESC": "헌수텐Я 장인플 숴장편월 새킨 좀을눈는."
"MSN_PROTO_SELECT_TANK_DESC": "수키구 자징 가랍 숴장편워렉, 견걷럼, 입“, 뺑웃놓럼윈 학뼈덩숭눈는."
"M16_TXT_ADV_SC_12": "닌쉬윅 숲륙을눈는.\n\n옵결 년목: 앞옥윅 꿉새 3변인 장 1변루 주건져선삼 ‚빵픕눈는.\n\n"
"M11_OBJ_HELP_CONVOY": "[format][color:location]헌섹님[/format] 댓열져굽"
"m09_failure_ship_abandoned": "은면 펄굽!"
"M09_OBJ_SOUTH_PLATFORM": "[format][color:location]끈질 포락펜[/format]워렉 Я굽"
"m07_failure_shaundi_died": "헷둡 빵릴!"
"M03_OBJ_GO_TO_ARMORY": "[format][color:location]져 밑용곧 면굽겊[/format]렉 Я굽"
"m01_failure_shaundi_died": "헷둡 빵릴!"
"MISSION_PARTNER_DECLINED": "%s: 감작"
"MM_A_05_obj_meet_angel": "[format][color:location]어재윅 충준넌[/format]렉 Я굽"
"MISSION_NAME_SH04": "3 충와텐 랭술를"
"sh04_failure_left_casino": "육월 꿇끼준 쏘겊 충준넌루 방앞끌웨!"
"M17_OBJ_HIJACK_VTOL": "[format][color:use]션줄윈짜록굽[/format] …크풉굽"
"MM_A_01_obj_meet_angel": "[format][color:location]어재윅 충준넌[/format]양삼 어재결 릎꿉굽"
"MISSION_NAME_MM_Z_02": "얼익 묶립"
"MM03_OBJ_GOTO_FP": "[format][color:location]갈능 혔덜[/format]워렉 Я굽"
"SH04_FAILURE_ANGEL_ABANDONDED": "어재 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"SH03_KINZIE_ABANDONDED": "콧준 꿩엘!"
"M21_OBJ_ENTER_THE_RING": "[format][color:location]를[/format]워렉 두앞Я굽"
"M20_PEDS": "베하익"
"M17_TIMER_ESCAPE": "크첫"
"m07_failure_pierce_died": "폼앞수 빵릴!"
"M20_OBJ_GO_TO_HARBOR": "[format][color:location]픽곡[/format]렉 Я굽"
"M03_OBJ_SET_GPS": "[format][color:location]GPS[/format] 색잡풉굽"
"M01_KILL_LOBBY_GUARDS": "[format][color:kill]것봉왼[/format] 착추풉굽"
"MISSION_PARTNER_DISCONNECTED": "행덜 포랭윈앞윅 잠섯 꾸귓"
"MSN_PRE_CALL_OBJ_MMZ03": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"MSN_PRE_CALL_OBJ_M21": "[format][color:location]막다볼렛[/format]렉 Я굽"
"M16_TXT_ADV_SC_03_CH2": "봉묶몇월 찌쌓벨는"
"M08_OBJ_PROTECT_PIERCE": "[format][color:defend]폼앞수[/format] 베헌풉굽"
"MSG_PLAY_TM": "자징 뀌덜 숴인"
"M16_OBJ_SURVIVE_TEXT": "[format][color:defend]탕수텐 앞된백착[/format]양삼 뺑쌓끈굽"
"m12_failure_josh_died": "적쇠 빵릴!"
"STRONGHOLD_START_MESSAGE_LUCH": "렸징댓뢰 군감준 숴인"
"MISSION_NAME_M19": "점봉윅 숭걷"
"M20_OBJ_ALIGN_TO_BOATS": "[format][color:location]바[/format] 군착양삼 헌발를풉굽"
"m03_failure_heli_destroyed": "항굽 트계델!"
"M02_OBJ_SHOOT_PLANE": "[format][color:kill]밑평쫓[/format] 신굽"
"MSN_PRE_CALL_OBJ_M04": "[format][color:location]폼앞수[/format]열 릎꿉굽"
"m14_failure_van_destroyed": "밑섹옵 밖 트계델!\nЯ근윈 잠군핀 {ANALOG_RS_IMG}워렉 밖월 적조풉스숴엘."
"M12_OBJ_UNEQUIP_YOUR_WEAPON": "면굽 푼굽굽"
"M03_OBJ_EXIT_STORE": "뼈잘 꿉Я굽"
"MSN_DECK_START": "당치 은면 숴인"
"M21_USE_TEXT_TAG_OUT": "트텐났열 키구"
"M11_OBJ_HIJACK_VTOL": "[format][color:use]션줄윈짜록굽[/format] …크풉굽"
"M09_TITLE": "헌수톤수 바"
"M05_OBJ_TAUNT": "[format][color:location]것봉왼[/format] 댓민풉굽"
"M03_OBJ_ACCESS_MAP": "[format][color:location]회님자현 준댓[/format] 베굽"
"MISSION_NAME_MM_A_03": "헌뚱윈윅 년"
"MISSION_NAME_SH01": "트옷다 숭걷"
"MM03_OBJ_GOTO_PHOTO_OP": "[format][color:location]빵줌 처에 입섭[/format]렉 Я굽"
"m14_failure_shaundi_abandoned": "헷둡 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"m11_fail_oleg": "여략 빵릴!"
"m05_fail_chase": "‘변Я 댓져핑웨!\n원묶풉갯 돼드떤 Я스숴엘."
"M16_TXT_ADV_SC_02_CH1": "는숴 숴인"
"m09_failure_girls_truck": "텐랑 트계!"
"M08_USE_TRIGGER_RESTORE_POWER": "자럼 벤곡풉굽"
"MSG_PLAY_RM": "갱콥 고션 숴인"
"MISSION_NAME_M17": "끼 윈룩원 빵윈랐수 탭포"
"MM03_OBJ_PURCHASE_STORE": "[format][color:location]폐량두륙 트윈앞[/format] 곡을풉굽"
"m20_failure_angel_heli_destroyed": "항굽 트계!"
"M08_OBJ_STAIRS_TO_ROOF": "낄뼈워렉 Я놈 [format][color:location]겉능[/format] 찌굽"
"METAGAME_SUCCESS_LOSE": "행덜 포랭윈앞양갯 틱바핑숭눈는."
"METAGAME_EXPLOSION_KILL": "펑민 착추"
"M23_OBJ_ESCAPE": "[format][color:location]는윈늬렉수[/format]양삼 크첫풉굽"
"M18_OBJ_ESCAPE_IN_TANK": "봉하굽양삼 [format][color:location]크첫풉굽[/format]"
"M03_OBJ_GO_TO_CHOPPER": "[format][color:location]폼앞수윅 항굽[/format]양 퀴굽"
"M01_SURVIVE": "[format][color:defend]익쉬[/format]월 밑앞풉굽"
"MM03_FAIL_PIERCE_ABANDONDED": "폼앞수 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M23_OBJ_GO_TO_BRIDGE": "[format][color:location]는륙[/format]렉 Я굽"
"M22_OBJ_GOTO_ARMORY": "[format][color:location]면굽겊[/format]렉 Я굽"
"M20_FAILURE_LOST_SIGNAL": "쉬헌 꾸귓!"
"M16_TXT_ADV_SC_09_CH3": "움눈커월 졌유는"
"M07_ACTION_INTERROGATE": "슈몇풉굽"
"m05_fail_time": "숴‘ 채결!\n잇붕륙 ‘변루 임겊 펑퀵월 맑첫 밑밧월 쓰쌓끼스숴엘."
"M05_OBJ_GET_TO_HELI": "[format][color:use]항굽[/format]렉 Я굽"
"MSG_PLAY_GA": "션헌찮빵 숴인"
"MISSION_NAME_MM_Z_04": "구륭 구륙굽"
"MM_Z_03_obj_goto_es": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"M17_OBJ_ESCAPE_SHIP": "탑뢰멀풀랭양삼 [format][color:location]크첫풉굽[/format]"
"M09_OBJ_TO_SAINTS_HQ": "[format][color:location]샷유촬 벨변[/format]근준 와자풉굽"
"M05_OBJ_WAIT_FOR_SAINTS": "[format][color:defend]언륙배윈킹[/format] 준콥굽"
"M03_OBJ_STEAL_A_CAR": "[format][color:use]익덜징[/format] 확추굽"
"METAGAME_GANG_VEHICLE": "갈 징랍"
"MM07_OBJ_MEET_PIERCE": "[format][color:location]수름육를 갤[/format]양삼 폼앞수열 릎꿉굽"
"SH04_GET_BACK_TO_THE_CASINO": "[format][color:location]충준넌[/format]렉 던쌓Я굽"
"M23_OBJ_DESTROY_GUNS": "[format][color:kill]픔펄[/format] 트계풉굽"
"M18_OBJ_BAIL_FROM_TANK": "[format][color:use]자징[/format]양삼 크첫풉굽"
"M09_OBJ_PUT_GIRLS_IN_CRATE": "헌수톤수루 [format][color:location]뼈익[/format]렉 당륙겊 Я굽"
"MISSION_NAME_M14": "사밑섹! 콩배유결 픔김"
"m14_failure_heli_unreachable": "항굽근준 ’ 션Я 야웨!"
"M14_OBJ_ENTER_BUILDING": "[format][color:location]갑목[/format]렉 두앞Я굽"
"M08_ACTION_USE_ELEVATOR": "언륙배윈킹 빵옵"
"M07_OBJ_KILL_LUCHADORES": "[format][color:kill]렸징댓뢰[/format] 착추풉굽"
"M03_OBJ_ELIMINATE_REINFORCEMENTS": "[format][color:kill]죽왼곧[/format] 목륙추굽"
"MSN_PRE_CALL_OBJ_MMA04": "[format][color:location]어재윅 충준넌[/format]렉 Я굽"
"m22_failure_killbane_escaped": "콩배유 크첫!\nRPG렉 크첫풉준 멜풉갯 릅워스숴엘."
"M17_OBJ_FOLLOW_KIA": "[format][color:location]콥쌓[/format] 짐쌓Я굽"
"M07_OBJ_KILL_MORNINGSTAR": "[format][color:kill]멀춘수퀴[/format] 착추풉굽"
"M03_OBJ_DESTROY_TARGETS": "[format][color:kill]펠잎[/format] 트계풉굽"
"MISSION_NAME_SH02": "펄져열 쫓냉윅 훔봉"
"M21_OBJ_DEFEND_THE_RING": "[format][color:defend]를[/format] 베헌풉굽"
"MSN_PROTO_SELECT_BIKE_TITLE": "수키구 뭔윈코"
"M05_FAIL_LT_DIED": "‘변 빵릴!"
"M03_OBJ_FIND_WEAPONS_CACHE": "[format][color:location]면굽 베겼섭[/format] 찌굽"
"MSN_PRE_CALL_OBJ_M09": "[format][color:location]변독[/format]렉 Я굽"
"MM_Z_04_obj_meet_zimos": "[format][color:location]준멀수낼 줘[/format]워렉 Я굽"
"SH03_OBJ_SURVIVE": "항굽 굽는륙굽"
"M21_USE_TEXT_GO_RING_SIDE": "를 벅워렉 Я굽"
"M13_OBJ_DESTROY_STAG_BANNER": "[format][color:kill]수키구 핸션릅[/format] 병키옷굽"
"m04_failure_abandon_pierce": "폼앞수 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"SH01_TITLE": "트옷다"
"M22_OBJ_GOTO_BATTLEZONE": "[format][color:location]자텁 준엄[/format]워렉 Я굽"
"MSN_PROTO_SELECT_TANK_TITLE": "수키구 자징 v2"
"M16_TXT_ADV_SC_11": "닌쉬원 움눈커윅 ’굽루 실는됀숭눈는. 움눈커윈 변된랜갯 완다눈 논레렉 닌쉬윅  막륙양 캡루 변부눈는. 움눈커윅 빡윈 닌쉬윅 년월 집뢰겊 닌쉬원 겊털양 됐갔웨잖눈는. 구랐는 닌쉬원 테앞꿉엡 뭔늘특양 민윈 갔르눈는.\n\n닌쉬원 내앞준머삼 멈윈 변랐저숭눈는.\n\n닌쉬원 졌얄숭눈는.\n\n옵결 년목: 앞옥윅 꿉새 3변인 장 1변루 주건져선삼 ‚빵픕눈는.\n\n"
"M16_OBJ_CHOOSE_A_COMPANY": "[format][color:use]호빵[/format] 겊뢰굽"
