"DROP_SPHERE": "GIVE SPHERE"
"STAT_LONGEST_POWERSLIDE_TIME": "LONGEST POWERSLIDE TIME"
"STAT_TOTAL_MONEY": "TOTAL MONEY EARNED"
"ESCORT_NAME_19A": "SPITTING"
"CONTROL_EXIT_WARDROBE": "EXIT WARDROBE"
"MAP_ICON_HITMAN": "HITMAN"
"GIVE_TEKZ10": "GIVE TEK Z-10"
"TOD_CYCLE_DESC": "Changes the time of day."
"SAVELOAD_CONTINUE_NO_FILES_FOUND": "No previous save files were found.\nStart a new game?"
"STORE_UNDERWEAR_WARNING": "WARNING"
"WPNSTOR_TITLE_FRIENDLY_FIRE": "FRIENDLY FIRE"
"HORDE_MODE_WEAPON_UPGRADE_TITLE": "Primary Weapon Upgraded!"
"GIANT_PLAYER": "I AM GIANT"
"SUPER_SAINTS": "SUPER SAINTS"
"BUILDING_PURCHASE_CASH_PER_HOUR": "${0} PER HOUR"
"CRIB_HUD_DOCK_NAME": "RONDINI'S BOAT DOCK"
"VEHICLE_ADVANCED": "%s (ADVANCED)"
"GARAGE_CAT_5": "DETAILS"
"STAT_CAT_MOUSE_TIME": "CAT & MOUSE: TIME SPENT"
"STAT_FRAUD_CASH_CLAIMED": "INSURANCE FRAUD: MONEY CLAIMED"
"STAT_DIVERSION_CASH_EARNED": "EARNED IN DIVERSIONS"
"STAT_BASE_OWNED": "PARACHUTE OWNED"
"CAR_MASS_HOLE_DESC": "Your vehicle has infinite mass and smashes other vehicles out of the way."
"PLAYER_PRATFALLS_DESC": "Use {SHOULDER_CAMERA_IMG}/{ATTACK_PRIMARY_IMG} to pratfall, like in Insurance Fraud."
"BUILDING_PURCHASE_DISCOUNT": "{0}%%% DISCOUNT"
"GANG_CUST_SLOT_1": "SLOT 1"
"STORE_CAR_MECHANIC_MSG": "VISIT THE MECHANIC"
"STAT_NEIGHBORHOODS_EXPLORED": "NEIGHBORHOODS EXPLORED"
"ESCORT_NAME_32B": "MATRIARCH"
"GIVE_RPG": "GIVE RPG LAUNCHER"
"DROP_AMBULANCE": "GIVE AMBULANCE"
"PREVIEW_UNAVAILABLE": "PREVIEW UNAVAILABLE"
"VCUST_TIRE_TREAD_OPTION": "TIRE TREAD"
"STAT_SHORTCUTS_FOUND": "SHORTCUTS FOUND"
"STAT_MISSIONS_FAILED": "MISSIONS FAILED"
"STAT_CAT_MOUSE_DEATHS": "CAT & MOUSE: DEATHS"
"STAT_COOP_TIME_PLAYED": "CO-OP: TIME PLAYED"
"STAT_COMBAT_MOTORCYCLE_RESPECT": "RESPECT EARNED FROM SLICE 'N DICE KILLS"
"STAT_MAX_STUNT_JUMP_DISTANCE": "MAX JUMP DISTANCE"
"CONTROL_BTN_START": "START"
"DROP_MIAMI": "GIVE MIAMI"
"ACHIEVES_GAIN_BLANK": "%s has been achieved!"
"ESCORT_NAME_30B": "NORRIS"
"CUST_TITLE_OUTFIT_CREATION": "CREATION CONFIRMATION"
"CUST_GANG_NAME_CROSS": "CROSS DRESSERS"
"BLOODY_MESS_DESC": "Everyone you kill explodes."
"REPAIR_CAR_DESC": "Repairs all damage to your vehicle."
"PURCHASEABLE_PROPERTEY_PAWN2": "PLAN B PAWN SHOP"
"GARAGE_REPAIR_MUST": "YOU CANNOT CUSTOMIZE YOUR VEHICLE UNLESS IT IS FULLY REPAIRED"
"STAT_TIME_AT_MAX_DECKER_NOTORIETY": "MAX DECKER NOTORIETY TIME"
"STAT_SURFING_RESPECT": "RESPECT EARNED FROM VEHICLE SURFING"
"STAT_COMBAT_NUTSHOT": "NUTSHOTS"
"PAUSE_MAP_ICONS_ON_OFF": "ICONS ON/OFF"
"GANG_NEUTRAL": "NEUTRAL"
"TAT_REG_L_FOREARM": "L FOREARM"
"HORDE_MODE_NEW_TEXT": "Are you sure you want to restart Whored Mode?"
"STAT_SNATCH_LEVELS_COMPLETED": "SNATCH COMPLETED"
"ESCORT_NAME_36B": "BISHOP"
"CELL_RIM": "RIM JOBS"
"GIVE_CYBER": "GIVE CYBER BUSTER"
"PLAYER_CREATION_SAVE_CHANGES_EXIT_TEXT_FULL": "Do you want to save your changes\nbefore exiting?"
"STORE_EXIT": "EXIT"
"HORDE_MODE_TITLE_FINAL_COMPLETE": "FINAL WAVE COMPLETE"
"STAT_BRUTES_KILLED": "BRUTES KILLED"
"ESCORT_NAME_28A": "WICKED"
"CONTROL_NO": "NO"
"GIVE_SNIPER": "GIVE MCMANUS 2015"
"HUD_RETRY_ACTIVITY_MESSAGE_FULL": "Retrying an Activity will cause you to lose any weaponsor respect you earned while playing the Activity."
"VEHICLE_PRICE": "PRICE"
"WPNSTOR_TEXT_MELEE_ONLY_ONE_BLANK": "You can only hold one \"%s.\""
"STAT_COOP_REVIVES": "CO-OP: PLAYER REVIVES"
"STAT_STRONGHOLDS_COMPLETED": "STRONGHOLDS COMPLETED"
"STAT_DRIVING_DRIFTING_DISTANCE": "LONGEST POWERSLIDE"
"STAT_DRIVING_BIGAIR": "BIG AIR JUMPS"
"STAT_CUSTOM_ITEMS_OWNED": "CUSTOMIZATION ITEMS OWNED"
"STAT_CHOPSHOP_COMPLETED": "CHOP SHOPS COMPLETED"
"ESCORT_NAME_34B": "MANTIS"
"COMERCIAL_5": "15% OFF AT FRIENDLY FIRE"
"CUST_ICON_NECKLACES": "NECKLACES"
"GARAGE_CUSTOMIZE_VEHICLE": "CUSTOMIZE"
"STORE_PLASTIC_SURGEON_MSG": "VISIT THE PLASTIC SURGEON"
"HORDE_MODE_NEW_WAVE_MESSAGE": "WAVE %i"
"STAT_BEST_WEAPON": "BEST WEAPON"
"STAT_HOSTAGES_EXTORTED": "HOSTAGES EXTORTED"
"ESCORT_NAME_26A": "SUBMISSIVE"
"RESTORE_PLAYER": "PC RESTORE TO NORMAL"
"MUSIC_CLASSICAL": "CLASSICAL"
"PURCHASEABLE_PROPERTEY_PAWN": "SNOOKY'S SUNDRIES AND MORE"
"PURCHASEABLE_PROPERTEY_COUNTERFITING": "COUNTERFITING"
"HORDE_MODE_REMAINING_ENEMIES_TAG": "REMAINING ENEMIES"
"STAT_LAW_ENFORCEMENT_KILLED": "TOTAL LAW ENFORCEMENT KILLED"
"CUST_GANG_NAME_COWBOY": "COWBOY"
"GIVE_SHEPERD": "GIVE 45 SHEPERD"
"GIVE_MOLOTOV": "GIVE MOLOTOV"
"Infinite_Ammo": "INFINITE AMMO"
"GIVE_CASH": "GIVE CASH"
"MENU_SWAP_WEAPONS_STORE": "WEAPONS STORE"
"STAT_WEAPON_PISTOL": "PISTOL"
"STAT_COOP_TANDEM_DIVERSION_RECORDS": "CO-OP: TANDEM DIVERSION RECORDS"
"STAT_TIME_PLAYED": "TOTAL TIME PLAYED"
"ESCORT_NAME_24A": "RISING"
"CUST_GANG_NAME_80S": "80S"
"TATTOO_CONFIRM_PURCHASE_FULL": "Do you wish to purchase a(n) \"%s\" tattoo on the %s for %s?"
"STORE_SWITCHING_TITLE": "SWITCHING TO {0}"
"CONTROL_SAVE_AND_QUIT": "SAVE AND QUIT"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "INSURANCE FRAUD: TOTAL DIVE DISTANCE"
"STAT_HIGHEST_RANK_ACHIEVED": "HIGHEST RANK ACHIEVED"
"STAT_CAT_MOUSE_CASH_EARNED": "CAT & MOUSE: CASH EARNED"
"STAT_COMBAT_MULTI": "MULTI KILLS"
"CONTROL_RAISE_LOWER_CAMERA": "RAISE/LOWER CAMERA"
"DROP_KNOXVILLE": "GIVE KNOXVILLE"
"GOLDEN_GUN_DESC": "One shot firearm kills."
"GARAGE_REMOVE_VEHICLE": "DELETE"
"STAT_UNARMED_KILLS": "UNARMED KILLS"
"STAT_TOTAL_CASH_SPENT": "TOTAL CASH SPENT"
"STAT_MAX_DRIVER_BAILOUT_DAMAGE_DONE": "MAX DRIVER BAILOUT DAMAGE DONE"
"ESCORT_NAME_22A": "SHOOTING"
"WARDROBE_REMOVE_CLOTHING": "Do you want to remove the other clothes?"
"MAP_ICON_CHOP_SHOP": "CHOP SHOP"
"GIVE_PIMPSLAP": "GIVE PIMP SLAP"
"RAINING_PEDS": "RAINING PEDESTRIANS"
"WPNSTOR_LEAVE_FULL_WEAPON_CACHE": "Do you really want to leave the weapon cache?"
"GANG_CUST_GANG_SIGN_POSE": "MOVE"
"STAT_COMBAT_ENEMY_RESPECT": "RESPECT EARNED FROM KILLING ENEMY GANGS"
"STAT_MAX_WHEELIE_DISTANCE": "MAX WHEELIE DISTANCE"
"GIVE_BASEBALL": "GIVE BASEBALL BAT"
"CUST_ICON_OUTFITS": "OUTFITS"
"GANG_CUST_VEHICLE_TITLE": "VEHICLES"
"PURCHASEABLE_PROPERTEY_CASINO": "CHUPACABRA CASINO"
"STAT_PARACHUTE_DISTANCE_TRAVELLED": "PARACHUTE DISTANCE"
"STAT_DRIVING_WINDSHILED_RESPECT": "RESPECT EARNED FROM WINDSHIELD CANNONS"
"STAT_MAX_STOPPIE_DISTANCE": "MAX STOPPIE DISTANCE"
"ESCORT_NAME_20A": "KING'S"
"CELL_EMERGENCY": "EMERGENCY"
"GIVE_RESPECT_DESC": "Instantly gives you respect."
"GIVE_MINIGUN": "GIVE MINI-GUN"
"ACCEPT_GAME_INVITE_TEXT_FULL": "Do you really want to accept game invite?\n(any unsaved progress will be lost) "
"GANG_CUST_GANG_TAG_OPT": "TAG"
"WPNSTOR_TEXT_MAX_WEAPONS_CRIB": "You can't take any more of the following item from your crib: \"%s.\""
"STAT_TIME_AT_MAX_MORNINGSTAR_NOTORIETY": "MAX MORNINGSTAR NOTORIETY TIME"
"STAT_DRIVING_DRIFTING": "POWERSLIDING"
"WARDROBE_REMOVE_CLOTHING_TITLE": "REMOVE OTHER CLOTHING"
"CONTROL_SIGN_IN": "SIGN IN"
"PAUSE_MAP_PAN": "PAN"
"GIVE_LAUNCHER": "GIVE GL G20"
"CHEAT_CHARACTER_RESTORE_DESC": "Changes your player character back to normal."
"MILK_BONES": "MILK BONES"
"STORE_BRA_SUB_WARNING": "You can't remove a bra that you are currently wearing."
"VCUST_HUBCAP_OPTION": "HUBCAPS"
"VCUST_SPINNER_NUMBER": "SPINNERS #{0}"
"PURCHASEABLE_PROPERTEY_CONDOS": "HIGH RISE CONDOS"
"CUST_ITEM_REMOVE_CLOTHING": "REMOVE ALL CURRENT CLOTHING"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "LUCHADOR SPECIALISTS KILLED"
"STAT_MISSIONS_ATTEMPTED": "MISSIONS ATTEMPTED"
"STAT_SNIPER_HIT_PCT": "SNIPER RIFLE HIT PERCENTAGE"
"MAP_ICON_CLOTHING": "CLOTHING STORE"
"NO_GANG_NOTORIETY": "NO GANG NOTORIETY"
"TIME_SET_NOON": "TIME SET NOON"
"VCUST_AXLES_TITLE": "AXLES"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "INSURANCE FRAUD: LONGEST DIVE DISTANCE"
"STAT_SURFING": "VEHICLE SURFING"
"ESCORT_NAME_25B": "PHOENIX"
"TAXI_TITLE": "TAXI SERVICE"
"DROP_WOODPECKER": "GIVE WOODPECKER"
"GIVE_DIGGER": "GIVE GRAVE DIGGER"
"PIMPS_AND_HOS_PEDS": "PIMPS AND HOS"
"WEATHER_DESC": "Changes the current weather."
"PURCHASEABLE_PROPERTEY_APARTMENTS": "DIXON'S REFUGE"
"CUSTOM_PREVIEW_UNAVAILABLE_POPUP": "PREVIEW UNAVAILABLE"
"STORE_TITLE_DISCARD": "DISCARD ITEM"
"HORDE_MODE_RETRY_TEXT": "Are you sure you want to retry this wave of Whored Mode?"
"HORDE_MODE_UNLIMITED_AMMO": "Bottomless Magazine!"
"STAT_TAUNT_GANG": "GANG MEMBERS TAUNTED"
"STAT_SPECIAL_AMMO_USED": "SPECIAL WEAPON SHOTS FIRED"
"ESCORT_NAME_39_A": "DOUBLE-FISTED"
"NO_GANG_NOTORIETY_DESC": "Removes all existing Gang Notoriety."
"GIVE_STUNGUN": "GIVE STUN GUN"
"WPNSTOR_TEXT_CRIB_TAKE_A_BLANK": "Do you wish to take a \"%s?\""
"HORDE_MODE_TITLE_HIGHSCORE_NEW": "NEW HIGH SCORE"
"HORDE_MODE_TITLE_ZOMBIE_WAVE": "ZOMBIE WAVE"
"STAT_RPG_HIT_PCT": "RPG HIT PERCENTAGE"
"STAT_MAX_STUNT_JUMP_FLIP": "MAX JUMP FLIP"
"ESCORT_NAME_27B": "MILKSHAKE"
"CRIB_SR_NAME": "SAINTS ROW LOFT"
"NEVER_DIE_DESC": "You will never die."
"STORE_UPGRADES_REQUIRED": "REQUIRED"
"NO_ITEMS_DISPLAY_NAME": "NO ITEMS"
"HORDE_MODE_TITLE_PLAYER_SCORES": "PLAYER SCORES"
"STAT_DRIVING_BAILOUT_DISTANCE": "LONGEST BAILOUT"
"GANG_POLICE": "POLICE"
"DROP_VTOL": "GIVE VTOL"
"DROP_EAGLE": "GIVE EAGLE"
"DROP_POCKETBIKE": "PEEWEE"
"EVIL_CARS_DESC": "All cars try to run you over."
"STORE_PRIMARY_COLOR": "PRIMARY COLOR"
"STORE_ITEM_OWNED": "OWNED"
"STAT_SHOTGUN_SHOTS_FIRED": "SHOTGUN SHOTS FIRED"
"STAT_MAYHEM_LEVELS_COMPLETED": "MAYHEM: COMPLETED"
"STAT_DRIVING_DRIFTING_RESPECT": "RESPECT EARNED FROM POWERSLIDING"
"STAT_MANUALLY_AWARDED": "-"
"STAT_VEHICLES_DESTROYED": "VEHICLES DESTROYED"
"ESCORT_NAME_21B": "CORNHOLE"
"CONFIRM_DELETE_OUTFIT": "Are you sure you want to delete this outfit?\nYour clothes will remain in your wardrobe."
"MAP_IMG_TATTOO": "[format][scale:1.0][image:map_store_tattoo][/format]"
"GIVE_SATCHEL": "GIVE SATCHEL CHARGES"
"WPNSTOR_REPLACE_BLANK_WITH_BLANK": "Do you wish to replace \"%s\" with \"%s?\""
"CRIB_HUD_DOCK_PURCHASE": "PURCHASE RONDINI'S BOAT DOCK: ${0}"
"GANG_CUST_GANG_TAG_TITLE": "GANG TAG"
"STORE_AMBULANCE_MSG": "REQUEST HEALING"
"STAT_CAT_MOUSE_LONGEST_DEATH_STREAK": "CAT & MOUSE: LONGEST DEATH STREAK"
"STAT_GANG_NOTORIETY_TIME": "TIME AT HIGHEST GANG NOTORIETY"
"WARDROBE_REMOVE_OUTFIT": "Do you want to remove this outfit from your wardrobe?"
"NO_COP_NOTORIETY_DESC": "Removes all existing Police Notoriety."
"ELEVATOR_TO_HEAVEN": "HEAVEN BOUND"
"HITMAN_LOCATION": "TARGET LOCATION"
"DEALER_NO_PALETTE": "No palette selection available."
"STAT_MORNINGSTAR_SPECIALISTS_KILLED": "MORNINGSTAR SPECIALISTS KILLED"
"ESCORT_NAME_23B": "DILLOW"
"CONTROL_JOIN_GAME": "JOIN GAME"
"MAP_ICON_HUMAN_TORCH": "TRAIL BLAZING"
"DROP_ESTRADA": "GIVE ESTRADA"
"UNLIMITED_CLIP": "UNLIMITED CLIP"
"MUSIC_EASYLISTENING": "EASY LISTENING"
"WEAPONSTORE_TEXT_CONFIRM_PURCHASE_AMMO_FULL": "Do you wish to purchase the \"%s\" for %s?"
"MENU_SWAP_WARDROBE": "WARDROBE"
"VCUST_WHEELS_TITLE": "WHEELS"
"PURCHASEABLE_PROPERTEY_CRACK": "CRACKHOUSE"
"CONTROL_QUIT_WITHOUT_SAVING": "QUIT WITHOUT SAVING"
"GARAGE_NONE": "NO VEHICLES IN THE GARAGE"
"HORDE_MODE_GAMEPLAY_TITLE": "WHORED MODE"
"STAT_CARS_DESTROYED": "NUMBER OF CARS DESTROYED"
"STAT_CHOPSHOP_CASH": "CASH EARNED IN CHOP SHOP"
"STAT_TOTAL_RESPECT": "TOTAL RESPECT EARNED"
"STAT_BEAT_COPS_KILLED": "BEAT COPS KILLED"
"ESCORT_NAME_31A": "CREEPING"
"MAP_ICON_GUARDIAN_ANGEL": "GUARDIAN ANGEL"
"REPAIR_CAR": "REPAIR CAR"
"SAVELOAD_FILE_NOT_LOADABLE": "This save file could not be loaded because the file has been corrupted or is an invalid save file."
"STORE_DETAIL_COLOR": "DETAIL COLOR"
"GANG_CUST_GANG_STYLE_TITLE": "GANG STYLE"
"PURCHASEABLE_PROPERTEY_COLA": "JOE COLA FACTORY"
"TATTOO_REMOVE": "Do you wish to remove the tattoo from your %s?"
"HORDE_MODE_NEW_WAVE_MESSAGE_TITLE": "New Wave!"
"STAT_MASCOTS_KILLED": "MASCOTS KILLED"
"STAT_DRIVING_STOPPIE_TIME": "LONGEST STOPPIE"
"STAT_LONGEST_VEHICLE_SURF_HANDSTAND_TIME": "LONGEST CONTINUOUS VEHICLE SURF HANDSTAND"
"STAT_LONGEST_VEHICLE_SURFING_TIME": "LONGEST TIME VEHICLE SURFED"
"STAT_BAIL_MONEY": "BAIL PAID"
"CONTROL_CONTINUE": "CONTINUE"
"GIVE_HAMMER": "GIVE S3X HAMMER"
"DROP_GYRO": "GYRO DADDY"
"STORE_SECONDARY_COLOR": "SECONDARY COLOR"
"GARAGE_TEXT_INSUFFICIENT_FUNDS": "You do not have enough cash to repair this vehicle.\nRetrieve anyway?"
"CRIB_CUSTOMIZE_PURCHASE_PROMPT": "Do you wish to purchase this {0} for ${1}?"
"VCUST_WHEEL_WIDTH_OPTION": "WHEEL WIDTH"
"TAT_REG_BACK": "BACK"
"STAT_WEAPON_SNIPER": "SNIPER"
"STAT_COMBAT_MELEE_RESPECT": "RESPECT EARNED FROM BEAT DOWN KILLS"
"STAT_MAX_TWO_WHEELS_DISTANCE": "MAX TWO WHEELS DISTANCE"
"ESCORT_NAME_33A": "ROMAN"
"ZOMBIE_PEDS_DESC": "All pedestrians are zombies."
"MUSIC_DANCE": "DANCE"
"STORE_TEXT_CONFIRM_PURCHASE_FULL": "Do you wish to purchase \"%s\" for %s?"
"PURCHASEABLE_PROPERTEY_SERVICE2": "PASSING GAS SERVICE STATION"
"STORE_TEXT_CONFIRM_PURCHASE_BLANK": "Do you wish to purchase this item?"
"HORDE_MODE_TEAM_SCORE": "SCORE"
"STAT_VEHICLE_BIKE": "BIKE"
"STATS_DISTANCE_FEET": "%0.2fft"
"STAT_DRIVING_BIGAIR_RESPECT": "RESPECT EARNED FROM BIG AIR JUMPS"
"STAT_HOMIES_RECRUITED": "HOMIES RECRUITED"
"MAP_IMG_MECHANIC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"DROP_TAXI": "GIVE TAXI"
"CUST_ICON_LOWER_BODY": "LOWER BODY"
"STORE_ZOOM": "ZOOM"
"VEHICLE_TYPE_TITLE": "VEHICLE TYPE"
"STAT_CAT_MOUSE_MOST_ROUND_DEATHS": "CAT & MOUSE: MOST DEATHS IN A ROUND"
"STAT_CAT_MOUSE_WINS": "CAT & MOUSE: WINS"
"ESCORT_NAME_35A": "SITTING"
"GARAGE_REMOVE_PROMPT": "Are you sure you want to delete this vehicle?"
"STAT_WEAPON_SPECIAL": "SPECIAL"
"STAT_DRIVING_BURNOUT_RESPECT": "RESPECT EARNED FROM BURNOUTS"
"ESCORT_NAME_29B": "PRINCESS"
"CUST_ICON_TATTOO_ARMS": "ARM TATTOOS"
"CUST_ICON_TATTOO_TORSO": "TORSO TATTOOS"
"CUST_ICON_HEAD": "HEAD"
"STORE_NAME_GAS_STATION": "GAS STATION"
"PURCHASEABLE_PROPERTEY_HOSTEL": "ODYSSEY HOSTEL"
"CUST_ITEM_DELETE_OUTFIT": "DELETE OUTFIT"
"HORDE_MODE_MENU_NEW_GAME": "NEW GAME"
"STAT_DRIVING_STOPPIE": "STOPPIES"
"ESCORT_NAME_37A": "INVERTED"
"DUMMY_CHARACTERS_RUSSIAN": "AB"
"PAUSE_MAP_WAYPOINT_SET": "SET WAYPOINT"
"MAP_IMG_WEAPON": "[format][scale:1.0][image:map_store_gun][/format]"
"GOD_MODE": "GOD MODE"
"MUSIC_ROCK": "ROCK"
"GANG_CUST_SLOT": "SLOT {0} - {1:TEXT_TAG_CRC}"
"STAT_WEAPON_SHOTGUN": "SHOTGUN"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "TOTAL COPS TAUNTED"
"STAT_ESCORT_CLIENTS_SERVICED": "ESCORT: NUMBER OF CLIENTS SERVICED"
"STAT_SURFING_TIME": "LONGEST VEHICLE SURF"
"STAT_HITMAN_TARGETS": "TARGETS ELIMINATED"
"ESCORT_NAME_38_B": "MONKEY WRENCH"
"CONTROL_START": "START"
"WPNSTOR_REPLACE_WITH_BLANK_FOR_CASH_BLANK": "Do you wish to replace \"%s\" with \"%s\" for %s?"
"HORDE_MODE_NEW_CHALLENGE_WAVE_TITLE": "Challenge Wave!"
"CUST_GANG_NAME_GANGSTER": "GANGSTER"
"GIVE_FLASHBANG": "GIVE FLASHBANG"
"PURCHASEABLE_PROPERTEY_METH": "METH LAB"
"STAT_MISSION_STRONGHOLD_CASH_EARNED": "MISSIONS/STRONGHOLDS EARNINGS"
"STAT_HOSTAGES_TAKEN": "HOSTAGES TAKEN"
"GANG_CIVILIAN": "CIVILIANS"
"GIVE_AR55": "GIVE AR 55"
"DROP_TORNADO": "GIVE TORNADO"
"STAT_COOP_MAX_POLICE_NOTORIETY_STREAK": "CO-OP: LONGEST STREAK AT HIGHEST POLICE NOTORIETY"
"RADIO_STATION_K12": "K12"
"STORE_EXIT_TELEVISiON": "Exit Television?"
"HORDE_MODE_TITLE_HIGHSCORE": "HIGH SCORE"
"STAT_COMBAT_THROWN": "THROWING"
"CELL_FRIENDLY_FIRE": "FRIENDLY FIRE"
"GIVE_ULTIMAX": "GIVE AS3 ULTIMAX"
"POC2_DROP_HELICOPTER": "DROP HELICOPTER"
"VCUST_COLOR_PALETTE_TITLE": "COLOR FINISH"
"PURCHASEABLE_PROPERTEY_FLATS": "PARKVIEW FLATS"
"GARAGE_CANNOT_REPAIR": "You cannot customize your vehicle unless it is fully repaired\nYou don't have enough money to repair your vehicle."
"STAT_BASE_HIGH": "HIGHEST JUMP"
"MAP_ICON_MAYHEM": "MAYHEM"
"CRIB_GARAGE_PURCHASED_TEXT": "This garage is now yours. \nYou can store and access certain stored vehicles here."
"PURCHASEABLE_PROPERTEY_MOTEL": "STIKIT INN"
"STORE_DISCARD_ITEM": "DISCARD ITEM"
"BODY_TITLE": "BODY"
"CONTROL_CANCEL": "CANCEL"
"ESCORT_NAME_18B": "SANCHEZ"
"DEMO_EXIT": "EXIT DEMO"
"DROP_KANEDA": "GIVE KANEDA"
"STORE_UPGRADES_TITLE": "UPGRADES"
"MENU_SWAP_CLOTHING_STORE": "CLOTHING STORE"
"VCUST_TIRE_TREAD_NUMBER": "TIRE TREAD #{0}"
"TAT_REG_R_FOREARM": "R FOREARM"
"STORE_PLANET_SAINTS_MSG": "!!purchase items"
"HORDE_MODE_MENU_EXIT": "EXIT TO MAIN MENU"
"STAT_HUMAN_TORCH_LEVELS_COMPLETED": "TRAIL BLAZING COMPLETED"
"STAT_HUMAN_TORCH_OBJECTS_TORCHED": "TRAIL BLAZING: NUMBER OF OBJECTS TORCHED"
"STAT_LEVELS_COMPLETED": "LEVELS COMPLETED"
"CELL_IMPRESSION": "IMPRESSION"
"GIVE_APOCA": "GIVE APOCA-FISTS"
"HIDE_HUD": "NO HUD"
"MASCOT_PEDS_DESC": "All pedestrians are mascots."
"CUST_ICON_UPPER_BODY": "UPPER BODY"
"STORE_NO_ITEMS_IN_CATEGORY": "THERE ARE NO ITEMS AVAILABLE IN THIS CATEGORY"
"UNLOCKABLE_TITLE_TEXT": "UNLOCKED"
"STAT_HITMAN_COMPLETED": "HITS COMPLETED"
"ESCORT_NAME_9B": "DRAGON"
"QUIT_GAME_TEXT_SHORT": "Do you really want to quit?"
"STORE_CONFIRM_PURCHASE_BLANK_FULL": "Do you wish to purchase \"%s\" for %s?"
"STORE_OWNED": "OWNED"
"GARAGE_HANGAR": "HANGAR"
"STAT_STORES_OWNED": "STORES OWNED"
"STAT_MAX_STUNT_JUMP_ROLL": "MAX JUMP ROLL"
"CONTROL_CHANGE_LB": "CHANGE LEADERBOARD"
"CUST_GANG_NAME_PREPHOP": "PREPHOP"
"SWITCH_TO_STORE": "SWITCH TO STORE"
"BUILDING_PURCHASE_CONTROL_INCREASE": "{0}%%% CONTROL INCREASE"
"BUILDING_PURCHASE_CRIB": "Purchase this crib for ${1}?"
"WPN_STORE_AMMO_TITLE": "AMMO"
"TATTOO_REMOVE_SAVE": "Do you wish to remove the tattoo from your %s and save?"
"CONTROL_SELECT_COLOR": "SELECT COLOR"
"SURGEON_INSUFFICIENT_FUNDS": "You do not have enough money to visit the plastic surgeon."
"STAT_VEHICLE_AIRCRAFT": "AIRCRAFT"
"STAT_WEAPON_RPG": "RPG"
"STAT_COOP_DEATHS": "CO-OP: PLAYER-CAUSED DEATHS"
"STAT_SNATCH_PIMPS_KILLED": "SNATCH: NUMBER OF PIMPS KILLED"
"STAT_DRIVING_NEARMISS_CHAIN": "LONGEST NEAR MISS CHAIN"
"ESCORT_NAME_14B": "JOHNSON"
"ESCORT_NAME_7B": "NECKLACE"
"CONTROL_START_GAME": "START GAME"
"MAP_ICON_UNDEFINED": "UNDEFINED"
"CUST_GANG_NAME_STRIPPER": "STRIPPERS"
"GIANT_PLAYER_DESC": "You ate your green beans, you grow big."
"STORE_TEXT_CONFIRM_PURCHASE_AND_SAVE_FULL": "Do you wish to purchase and save a \"%s\" for %s?"
"PIMPS_AND_HOS_PEDS_DESC": "All pedestrians are pimps and hos."
"MAINMENU_NEW_GAME_DIFF_HDR": "DIFFICULTY"
"MAINMENU_NEW_GAME_NO_PROFILE_EXPOSITION": "You are not currently signed in with a gamer profile.\nYou will not be able to save game progress or earn achievements.\nContinue?"
"GANG_CUST_TITLE": "GANG CUSTOMIZATION"
"GARAGE_REPAIR_NAME": "MECHANIC GARAGE"
"TUT_CRIB_GARAGE": "PRESS {ACTION_IMG} TO STORE THIS VEHICLE IN YOUR GARAGE"
"STAT_AIRCRAFT_DESTROYED": "NUMBER OF AIRCRAFT DESTROYED"
"STAT_SMG_HIT_PCT": "SMG HIT PERCENTAGE"
"ESCORT_NAME_16B": "SWIRL"
"ESCORT_NAME_5B": "SHOWER"
"GARAGE_REPAIR_RETRIEVE": "REPAIR AND RETRIEVE VEHICLE: ${0}"
"HUD_SHOP_INSUFFICIENT_FUNDS": "YOU DON'T HAVE ENOUGH MONEY"
"VCUST_EXTRA_LOW_PROFILE": "EXTRA LOW PROFILE"
"PURCHASEABLE_PROPERTEY_POWER": "POWER AND LIGHT"
"STAT_DRIVING_BAILOUT_RESPECT": "RESPECT EARNED FROM BAILOUTS"
"GIVE_SLM8": "GIVE VIPER LASER RIFLE"
"LIGHT_RAIN": "LIGHT RAIN"
"VCUST_LOW_PROFILE": "LOW PROFILE"
"CUST_ITEM_STYLE": "STYLE"
"STAT_DRIVING_WRONGWAY_RESPECT": "RESPECT EARNED FROM DRIVING IN ONCOMING LANE"
"ESCORT_NAME_10B": "KNUCKLER"
"ESCORT_NAME_3B": "PUNCH"
"CONFIRM_WEAR_OUTFIT": "Are you sure you want to wear this outfit?"
"CONTROL_EXIT_PURCHASE_CLOTHING": "EXIT PURCHASE CLOTHING"
"DROP_SPECTER": "GIVE SPECTER"
"TINY_PLAYER": "ITTY BITTY"
"SAVELOAD_AUTOSAVE_LABEL": "AUTOSAVE"
"HASH_CC5A26DE": "Nude Up?"
"HORDE_MODE_MENU_RETRY": "RETRY"
"HORDE_MODE_TITLE_SURVIVAL_TIME": "SURVIVAL TIME"
"HORDE_MODE_WEAPON_UPGRADE": "YOUR %ls IS NOW LEVEL %i OF %i"
"STAT_STREAKING_PEOPLE": "PEOPLE STREAKED"
