"MENU_LEFT_MOUSE": "Souris gauche"
"CBA_OFC_CROUCH_TOGGLE": "   S'ACCROUPIR (ACTIVER)"
"CBA_VDC_NEXT_RADIO": "   PROCHAINE STATION RADIO"
"PLT_MENU_ASPECT": "ASPECT"
"PC_ENVIRONMENT": "ENVIRONNEMENT"
"PC_GS_BACKGROUND_HINT": "ACTIVER/DÉSACTIVER LE RENDU ARRIÈRE-PLAN"
"PC_DOF_RANGE_HINT": "LA FOCALE DE LA PROFONDEUR DE CHAMP"
"PC_COPY_NEXT": "COPIER SUIVANTE"
"PC_EXPORT_EXPLANATION": "Arrêter l'édition et commencer l'exportation de la vidéo?"
"BTN_Y_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-y][/format]"
"HASH_11879627": "QUALITÉ GRAPHIQUE"
"HASH_8DFAAC67": "Tu dois être en mode En ligne sur GOG pour utiliser cette fonctionnalité ou reconnecte-toi à Internet pour l'utiliser."
"SAVE_WARNING_BOOT": "[format][color:#9400c5]Ce jeu sauvegarde automatiquement. À toutes les fois que cet indicateur apparaît à l'écran, ton jeu est sauvegardé dans l'emplacement de sauvegarde automatique.[/format]"
"CBA_OFC_PICKUP_RELOAD": "   RAMASSER / RECHARGER"
"CBA_VDC_HANDBRAKE": "   DÉRAPAGE"
"PC_SLOWMO_HINT": "PARAMÈTRE RALENTI"
"RECORD_MODE_WARNING": "ENREGISTRER CLIPS CINÉMA"
"PCACTION_RADIO_PREVIOUS": "RADIO PRÉCÉDENTE"
"PCACTION_WEAPON_3": "ARME 3"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "Le compte Steam que tu utilises est déjà lié à un THQ ID."
"MENU_CONTROLLER_OPTIONS_TITLE": "MANETTE DE JEU"
"MENU_MOUSE_CONTROLS_INVERT_Y": "INVERSER AXE VERTICAL"
"CBA_GAC_WEAPON_SELECT_8": "   EMPLACEMENT ARME 8"
"PC_EDIT_PROPERTIES": "MODIFIER PROPRIÉTÉS"
"BTN_START_TXT": "TOUCHE A"
"PCACTION_WEAPON_6": "ARME 6"
"PC_RECORD_MODE_QUALITY_LOW": "480p (BAS)"
"MAIN_MENU_MATCHMAKING_FAIL": "Le Matchmaking Steam n'a pas pu trouver de parties auxquelles te connecter."
"CBA_GAC_GRENADE_SELECT_2": "   EMPLACEMENT GRENADE 2"
"CAA_WALK_TURN_LEFT_RIGHT_NEG": "   GAUCHE"
"CBA_VDC_CRUISE_CONTROL_B": "   ACTIVER RÉGULATEUR DE VITESSE"
"PLT_MENU_SHADOW_DETAIL": "    QUALITÉ OMBRES"
"PC_OPTIONS_EXIT_HINT": "FERMER LA FENÊTRE OPTIONS"
"BTN_BLACK_TXT": "TOUCHE A"
"PRESS_ANY_KEY_TEXT": "Appuie sur une touche ou Échap pour annuler."
"PCACTION_RADIAL_MENU": "MENU RADIAL"
"PC_RECORD_MODE_FAILED_EXPORT": "UNE ERREUR INTERNE A CAUSÉ L'ÉCHEC DE LA SAUVEGARDE DE LA VIDÉO."
"TUT_COMBAT_GRENADES_PC": "{ATTACK_SECONDARY_IMG} LANCER GRENADE \n{GRENADE_SWITCH_IMG} CHANGER TYPE DE GRENADE"
"MENU_MIDDLE_MOUSE": "Souris milieu"
"CBA_VDC_NITRO": "   NITRO"
"PLT_MENU_FULL_SCREEN": "PLEIN ÉCRAN"
"PC_OPTIONS": "OPTIONS"
"PC_ZONE_TYPE": "TYPE DE ZONE"
"PC_CZ_EXIT_HINT": "FERMER LA FENÊTRE ZONE CAMÉRA"
"BTN_RTRIGGER_TXT": "TOUCHE A"
"HASH_299A8B6B": "SANS BORDURE"
"HASH_58A675AB": "MATCHMAKING GOG"
"HASH_6A37FFEB": "Le Matchmaking n'a pas pu trouver de parties auxquelles te connecter."
"COMMUNITY_CREATE_LINK_TEXT": "Ici, tu peux lier ton compte Steam à un THQ ID existant ou en créer un nouveau."
"CBA_GAC_PAUSE_MENU": "   PAUSE"
"CBA_VDC_HELI_TURN_RIGHT": "   TOURNER À DROITE"
"CBA_VDC_PLANE_FIRE_SECONDARY": "   TIR ARME 2"
"PLT_TRILINEAR": "TRILINEAIRE"
"PC_LOAD_CHAR": "CHARGER DÉFAUT"
"PC_SM_NORMAL": "NORMAL"
"PC_DOF_DIST_HINT": "LA DISTANCE DE PROFONDEUR DE CHAMP"
"PCACTION_PAUSE": "MENU PAUSE"
"TUT_AIRPLANE_CONTROL_ALT_PC": "{PLANE_ACCELERATE_IMG} ACCÉLÉRER \n{PLANE_BRAKE_REVERSE_IMG} FREINER + INVERSER \n{PLANE_ROLL_TURN_SELECT_IMG}+{PLANE_LEFT_RIGHT_IMG} VIRAGE BRUSQUE"
"SAVE_CLIP": "Sauvegarder Clip Cinématique"
"CBA_VDC_HELI_FIRE_PRIMARY": "   TIR ARME"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG2": "   ROULER VERS LA GAUCHE"
"PC_VOICE": "VOIX"
"PC_SHOW_KEYS_HINT": "AFFICHER LES TOUCHES DE RACCOURCI ÉDITION"
"CAA_PLANE_PITCH_UP_DOWN_POS": "   DESCENDRE"
"PC_SOUNDFX_HINT": "ACTIVER/DÉSACTIVER TOUS LES EFFETS SONORES"
"PC_SM_VERY_FAST": "TRÈS RAPIDE"
"PC_EDIT_EXPLANATION": "Tu vas modifier la caméra d'une zone caméra inactive. La position de la caméra actuelle écrasera la position précédente."
"DPAD_UP_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-u][/format]"
"PCACTION_LOOK_RIGHT": "REGARDER À DROITE"
"TUT_NP_TANK_CONTROLS_PC": "{TANK_FORW_BACK_IMG} / {TANK_LEFT_RIGHT_IMG} DÉPLACEMENT \nDÉPLACER SOURIS POUR VISER \n{TANK_FIRE_SECONDARY_IMG} ARME PRINCIPALE \n{TANK_FIRE_PRIMARY_IMG} ARME SECONDAIRE"
"CBA_OFC_ZOOM_IN": "   ZOOM AVANT AVEC LA LUNETTE DE VISÉE"
"MULTI_LOST_CONNECTION": "Connexion à Steam perdue.\nRetour au menu principal."
"PC_TOD_MORNING": "MATIN"
"PC_GS_BACKGROUND": "ARRIÈRE-PLAN"
"SAVING_CONTENT_BODY": "Ne pas éteindre le jeu."
"CBA_GAC_WEAPON_SELECT_6": "   EMPLACEMENT ARME 6"
"CBA_VDC_ACCELERATE": "   ACCÉLÉRER"
"CBA_VDC_PLANE_TURN_RIGHT2": "   DEMI-TOUR À DROITE"
"PLT_ANISOTROPIC_EIGHT": "ANISOTROPE 8X"
"MENU_CUSTOM": "PERSONNALISÉ"
"PLT_MENU_DISPLAY_4": "MONITEUR 4"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "Il n'y a pas assez d'espace libre sur le disque dur pour compléter le processus de sauvegarde."
"PC_MOVEMENT_SENSITIVITY_HINT": "LA SENSIBILITÉ DE MOUVEMENT DE LA CAMÉRA"
"PC_CONFIRM_EXIT": "CONFIRMER SORTIE"
"PCACTION_WEAPON_8": "ARME 8"
"PCACTION_CROUCH": "S'ACCROUPIR"
"MENU_MOUSE_BUTTON_3": "Souris 3"
"MENU_CATEGORY_HELI": "HÉLICOPTÈRE"
"PLT_QUIT_GAME": "QUITTER ET REVENIR AU BUREAU"
"MAINMENU_SYSLINK": "PARTIE LAN"
"PC_HIDE_HUD": "MASQUER ATH"
"PRESS_ANY_KEY_CAPTION": "APPUIE SUR LA NOUVELLE TOUCHE"
"HASH_B1E823F1": "CTRL"
"CBA_VDC_OFFHAND_GRENADE": "   LANCER GRENADE"
"PC_CA_EDIT_EXPORT": "CHARGER ET ÉDITER"
"PCACTION_CONSUME_LEFT": "CONSUMER GAUCHE"
"PCACTION_WEAPON_2": "ARME 2"
"HASH_F44E5932": "%ls vous a invité à jouer. \nSouhaitez-vous le rejoindre?"
"PC_RECORD_MODE_ENABLE_WARNING": "LE MODE ENREGISTREMENT PEUT CAUSER UN RALENTISSEMENT DES PERFORMANCES. AUSSI, POUR DES RAISONS LÉGALES, LA MUSIQUE ET LA RADIO SERONT DÉSACTIVÉES. CONTINUER?"
"PLT_MENU_AMBIENT_OCCLUSION": "    OCCULTATION AMBIANTE"
"PC_CREATE_CHAR": "CRÉER/IMPORTER"
"PC_W_OVERCAST": "PRÉVISIONS"
"PC_AV_EXIT_HINT": "FERMER LA FENÊTRE ENVIRONNEMENT"
"PC_EXIT_HINT": "QUITTER L'ÉDITEUR DE CLIP"
"PC_DELETE_CZ": "SUPPRIMER"
"PCACTION_REVERSE": "FREINER/RECULER"
"CBA_OFC_MELEE_NUT_SHOT": "   ATTAQUE RAPPROCHÉE"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG": "   TOURNER VERS LA GAUCHE"
"PLT_MENU_ANTI_ALIASING_TOOLTIP": "ARRONDIR LES ANGLES"
"PLT_MENU_MINIMAP_VIEW_TOOLTIP": "COMMENT LA MINI-CARTE TOURNE EN RAPPORT AVEC LA DIRECTION DU JOUEUR"
"PC_HANDYCAM": "CAMÉSCOPE"
"PC_POSITION_CAMERA": "PLACER LA CAMÉRA"
"PC_RECORD_MODE_CANCEL_ENCODE": "VEUX-TU VRAIMENT ANNULER LA SAUVEGARDE DE LA VIDÉO? LA VIDÉO SERA PERDUE."
"TUT_HELICOPTER_ENTRY_PC": "{HELI_UP_IMG} MONTER\n{HELI_DOWN_IMG} DESCENDRE\n{HELI_DRIVE_TURN_SELECT_IMG}+{HELI_LEFT_RIGHT_IMG} VIRER"
"MENU_RIGHT_MOUSE": "Souris droite"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_NEG": "   RECULER"
"MENU_ON": "ACTIVÉ"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "Recherche de parties LAN..."
"PC_SM_VERY_SLOW": "TRÈS LENTE"
"PC_CAMERA_DONE_HINT": "FERMER LA FENÊTRE"
"PC_GREEN_SCREEN": "ÉCRAN VERT"
"DPAD_LEFT_TXT": "TOUCHE A"
"DPAD_RIGHT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-r][/format]"
"PC_RECORD_MODE_PATH": "\\Documents\\Mes Jeux\\Saints Row The Third\\Vidéos\\"
"MENU_OPTIONS_GAMEPLAY_DIFFICULTY_TIP": "CHOISIS LA DIFFICULTÉ DU JEU"
"MULTI_MATCHMAKING": "MATCHMAKING STEAM"
"CBA_VDC_BIKE_LEAN_FWD": "   SE PENCHER VERS L'AVANT EN MOTO"
"PLT_MENU_POST_PROCESSING_DETAIL_TOOLTIP": "HDR, FLOU CINÉTIQUE ET PRONDEUR DE CHAMP"
"MENU_HIGH": "HAUTE"
"PC_MOVEMENT_SENSITIVITY": "SENS. MOUVEMENT"
"PC_CM_FOLLOW_LOOK": "SUIVI REGARD"
"BTN_B_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-b][/format]"
"MENU_MOUSE_WHEEL_UP": "Molette haut"
"MENU_MOUSE_CONTROLS_HORIZ_SENS": "SENSIBILITÉ HORIZONTALE"
"CBA_GAC_WEAPON_SELECT_2": "   EMPLACEMENT ARME 2"
"CAA_DRIVE_STEER_POS": "   DIRIGER À DROITE"
"PC_CA_DELETE": "SUPPRIMER"
"PC_SOUNDFX": "EFFETS SONORES"
"PAUSE_MENU_PLAYBACK_MODE": "ÉDITER CLIPS CINÉMA"
"HUD_DROP_ITEM_MESSAGE": "LAISSER %ls"
"ANALOG_LS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"PCACTION_STRAFE_LEFT": "PAS LATÉRAL GAUCHE"
"MENU_OPTIONS_GAMEPLAY_AIRPLANE_TIP": "NORMALES : FACILE DE DÉCOLLER ET DE JOUER ; AVANCÉES : SIMUL. DE VOL"
"CBA_GAC_MACHINIMA_QUICKSAVE": "   SAUVEGARDER VIDÉO"
"CBA_GAC_WEAPON_SWITCH_CW": "   PROCHAINE ARME"
"CAA_WALK_FORWARD_BACKWARD_POS": "   AVANCER"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_POS": "   AVANCER"
"MAINMENU_SYSLINK_TITLE": "PARTIE LAN"
"PC_ADVANCED_MODE": "MODE EXPERT"
"PC_SHOW_HUD_HINT": "ACTIVER/DSACTIVER TRANSPARENCE INTERFACE"
"PC_CONFIRM_EXPORT": "CONFIRMER EXPORTATION"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "RAMASSER %ls"
"BTN_BACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-menu][/format]"
"DPAD_LR_TXT": "LE BMD GAUCHE ET DROITE"
"MENU_SECONDARY_ASSIGNMENT": "ATTRIBUTION BOUTONS ALTERNATIFS"
"PLT_MENU_LIGHTING_DETAIL": "    QUALITÉ ÉCLAIRAGE"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "La sauvegarde a échoué car le périphérique de stockage par défaut n'est plus disponible."
"PC_GS_PEOPLE_HINT": "ACTIVER/DÉSACTIVER LE RENDU PERSONNAGES NON JOUABLES"
"PC_DOF_HINT": "TYPE DE PROFONDEUR DE CHAMP - AFFECTE LA DISTANCE ET LA FOCALE"
"PC_AUDIO_TOGGLES": "AUDIO"
"HUD_PICKUP_UNNAMED_OBJECT": "RAMASSER"
"PCACTION_LOOK_LEFT": "REGARDER À GAUCHE"
"PC_RECORD_MODE_ERROR_NO_ENABLED": "ACTIVE LE MODE ENREGISTREMENT DANS LE MENU PAUSE POUR SAUVEGARDER DES VIDÉOS."
"CBA_GAC_WEAPON_SELECT_7": "   EMPLACEMENT ARME 7"
"CBA_VDC_HELI_TURN_LEFT": "   TOURNER À GAUCHE"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_POS": "   AVANCER"
"PC_OUTPUT_ONLY_HINT": "CACHER LA BARRE DE TEMPS ET D'AUTRES INFOS PENDANT L'EXPORT"
"HUD_CRUISE_CONTROL_NO_BUTTON": "RÉGULATEUR DE VITESSE"
"CBA_GAC_WEAPON_SWITCH_CCW": "   ARME PRÉC."
"CBA_OFC_SPRINT_TOGGLE": "   SPRINT (ACTIVER)"
"CAA_WALK_FORWARD_BACKWARD_NEG": "   RECULER"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_NEG": "   RECULER"
"PLT_MENU_TEXTURE_FILTER_MODE_TOOLTIP": "UN RÉGLAGE ÉLEVÉ AMÉLIORE L'ASPECT, MAIS RÉDUIT LES PERFORMANCES"
"MENU_LOW": "BASSE"
"PLT_MENU_SETUP_MIC": "PARAMÈTRES MICROPHONE"
"MENU_OPTIONS_CLIP_SELECT": "CLIPS CINÉMA"
"PC_SM_SLOW": "LENTE"
"CBA_GAC_ACTION": "   ACTION"
"CAA_DRIVE_STEER_NEG": "   DIRIGER À GAUCHE"
"CBA_VDC_TANK_FIRE_PRIMARY": "   TIR ARME"
"PLT_MENU_RESOLUTIONS_TOOLTIP": "SÉLECTIONNE LA RÉSOLUTION QUE TU DÉSIRES"
"PC_WATERMARK_HINT": "EXPORTER AVEC UN LOGO SAINTS ROW: THE THIRD DANS LE COIN"
"PC_GS_PLAYER_HINT": "ACTIVER/DÉSACTIVER LE RENDU JOUEUR"
"PC_SELECT_TARGET": "SÉLECTIONNER CIBLE"
"DPAD_TXT": "LE BMD"
"DPAD_DOWN_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-d][/format]"
"MENU_MOUSE_CONTROLS_SENSITIVITY": "SENSIBILITÉ"
"CBA_VDC_PLANE_FIRE_PRIMARY": "   TIR ARME"
"PC_GS_VEHICLES": "VÉHICULES"
"PC_EXPORT_HINT": "EXPORTER LE CLIP EN VIDÉO"
"PCACTION_GRAB_HUMAN": "ATTRAPER HOMME"
"HASH_24103FFD": "Vous devez être connecté à un compte Epic pour accéder à cette fonctionnalité."
"PC_RECORD_MODE_TEXT": "Active le mode Enregistrement pour sauvegarder tes derniers moments de jeu directement en vidéo. Appuie sur ([format][color:#9400C5]{0}[/format]) pour les exporter.\n\nLes vidéos sont sauvegardées dans :"
"MOUSE_TITLE": "COMMANDES"
"CBA_VDC_HORN": "   KLAXON"
"PLT_MENU_BRIGHTNESS_TOOLTIP": "OUVRIR ÉCRAN MENU LUMINOSITÉ"
"PLT_MENU_DISPLAY_MODE_TOOLTIP": "PLEIN ÉCRAN, FENÊTRÉ OU SANS BORDURE"
"PLT_MENU_TEXTURE_FILTER_MODE": "    FILTRAGE"
"MAINMENU_MACHINIMA_MODE": "ÉDITER CLIPS CINÉMA"
"PC_COPY_CURRENT_HINT": "CRÉER UNE NOUVELLE ZONE CAMÉRA BASÉE SUR LA ZONE ACTUELLE"
"COOP_REMOTE_CHEAT_STARTING": "Ton partenaire de Coop utilise des codes triche. Toutes les nouvelles sauvegardes auront les codes triche activés.\nLa sauvegarde automatique a été désactivée. Tu ne pourras plus remporter aucun succès."
"MENU_MOUSE_CONTROLS_INVERT_X": "INVERSER AXE HORIZONTAL"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS": "   TOURNER VERS LA DROITE"
"MENU_ULTRA": "ULTRA"
"PCACTION_WEAPON_7": "ARME 7"
"HASH_B617EDBF": "MATCHMAKING"
"TUT_STREAKING_PC": "{TAUNT_TWO_IMG} deux fois pour commencer le Streaking.\nLorsque tu ne portes aucun vêtement, la distraction Streaking est disponible."
"CBA_GAC_GRENADE_SELECT_3": "   EMPLACEMENT GRENADE 3"
"CBA_GAC_CELL_OPEN": "   PORTABLE"
"CBA_VDC_VTOL_TRANSITION": "   CHANGER MODE VTOL"
"PLT_MENU_VSYNC_CUTSCENE_TOOLTIP": "SYNCHRO VERTICALE PENDANT LES CINÉMATIQUES"
"PC_LOAD_CHAR_HINT": "CHARGER LE MODÈLE PAR DÉFAUT"
"PC_GS_VEHICLES_HINT": "ACTIVER/DÉSACTIVER LE RENDU DES VÉHICULES"
"PC_PROPS": "PROPRIÉTÉS"
"PC_CAM_TILT_HINT": "L'INCLINAISON DE LA CAMÉRA"
"BTN_RTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"BTN_X_TXT": "TOUCHE A"
