"CUST_ITEM_CF_HAIR_MED": "DO RAMION"
"VEHICLE_PAINT_MATTE_PAINT": "MATOWY LAKIER"
"SLOT_REINFORCED_FRAME_DESC": "Ulepszona konstrukcja jest niezbędna do tego, by twój pojazd mógł znieść niesamowite obrażenia, zanim wybuchnie i zostanie z niego kupa złomu."
"SLOT_ANTENNA": "ANTENY"
"CUST_VARIANT_SEMI_GLOSSY": "PÓŁBŁYSZCZĄCE"
"PLAYER_MORPH_FOREHEAD_ELEVATION_TEXT": "WYSOKOŚĆ CZOŁA"
"PLAYER_MORPH_CHEEKBONES_TEXT": "KOŚCI POLICZKOWE"
"COMPONENT_NONE": "BRAK"
"CUST_VARIANT_MULTICOLOR_SMALL": "WIELOKOLOROWE MAŁE"
"CUST_ITEM_CF_IMPR_UBDY_F_JTURTLENCK": "STYL PARYSKI \"WZGÓRZA\" "
"PLAYER_MORPH_NOSE_HEIGHT_TEXT": "WYSOKOŚĆ NOSA"
"SLOT_EXTRAS": "DODATKI"
"Cornhole": "WARKOCZYKI"
"STRAWBERRY_BLONDE": "TRUSKAWKOWY BLOND"
"COLOR_SLOT_RIM_1": "OBRĘCZ Z KOLOROWYM OTWOREM 1 (NIE POWINNA BYĆ UŻYWANA)"
"CUST_VARIANT_BADGELESS": "BEZ ODZNAKI"
"CUST_VARIANT_STRIPES": "POZIOME PASY"
"VEHICLE_COLOR_PINK_LIGHT_TINT": "ODCIEŃ JASNEGO RÓŻU"
"HAIR_COLOR_LIGHT_BROWN_MATTE": "MATOWY JASNY BRĄZ"
"UNLOCALIZED_WHITE": "WHITE"
"CUST_ITEM_FEMALE_LL_UNDWEAR_4": "STRINGI \"BĄDŹ MOJĄ WALENTYNKĄ\""
"CUST_ITEM_WOMEN_S_BONDAGE_TOP_1": "STYLOWY KOBIECY ŻAKIET"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_2": "Zwiększa szybkostrzelność. Celownik mechaniczny zwiększa celność ostrzału."
"CUST_TATTOO_UPPBACK_2": "PODEJDŹ, TO ZGINIESZ"
"CUST_ITEM_CM_HAIR_DREADS": "MARLEY"
"CUST_ITEM_CM_PSE_FOOT_M_BOOTS": "BUTY ROBOCZE"
"LOGO_SECTION9": "SEKCJA 9"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHIRT": "UBRANA, BY ROBIĆ WRAŻENIE"
"CUST_ITEM_FEMALE_NLM_OUTFIT_E": "WAKE AND BAKE"
"CUST_ITEM_OVAL_RING_1_LEFT_INDEX_FINGER": "OWIJKA NA DŁONIE Z MORDOWNI"
"PLAYER_MORPH_MOUTH_HEIGHT_TEXT": "WYSOKOŚĆ UST"
"STORE_WEAPON_BUY_UPGRADE": "KUP/ULEPSZ BROŃ"
"CUST_COMP_EYE_MAKEUP_7": "SKRZYDŁA"
"HAIR_COLOR_ORANGE": "POMARAŃCZOWE"
"LOGO_NUMBER5": "NUMER 5"
"LOGO_KBOOM": "KBOOM WMD108"
"LOGO_SKEETERS_3": "SKEETERS 3"
"CUST_VARIANT_PETALS": "PŁATKI"
"LEATHER_LACE_NAME": "SKÓRA I KORONKA"
"CUST_TATTOO_LCALF_7": "ZERWIJ SIĘ Z ŁAŃCUCHA"
"CUST_VARIANT_STRIPED_TIE": "KRAWAT W PASKI"
"CUST_ITEM_CM_IMPL_UBDY_M_SCARF": "SZALIK Z WYBIEGU"
"CUST_ITEM_FEMALE_NLM_EARRINGS_5": "KOLCZYKI \"DZIEWCZYNA GENKI\""
"CUST_ITEM_CM_LLB_LWRST_M_LTHRWRISTBAND": "OPASKA \"SKÓRA I KORONKA\""
"CUST_ITEM_CF_PSA_FOOT_F_ANKLEBOOTS": "NIEZBYT NIEWINNE BOTKI"
"CUST_COMPLIMENT_D": "TO NIC NIEZWYKŁEGO"
"CUST_COLOR_CLOTHING_GREYS_5": "SZARY 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_2": "Wpływ na większy obszar."
"CUST_COMP_CHEEK_MAKEUP_3": "MIM"
"VEHICLE_PAINT_CANDY_PAINT": "CUKIERKOWY LAKIER"
"CUST_VARIANT_15_DEFAULT": "STYL 1"
"CUST_VARIANT_BASKETBALL_JERSEY": "W PASY"
"CUST_VARIANT_HAT": "ZWYKŁY"
"PLAYER_MORPH_UPPER_LIP_NOTCH_TEXT": "ROWEK W GÓRNEJ WARDZE"
"CUST_TATTOO_RCALF_8": "OBLICZE ŚMIERCI"
"COLOR_SLOT_PAINT_1_AND_PAINT_2": "LAKIER 1 I LAKIER 2"
"RIM_129": "R129"
"SLOT_COCKPIT": "KOKPIT"
"CUST_WEAR_TATTOO_AZTEC_SNAKE": "AZTECKI WĄŻ"
"CUST_SKIN_OILED_3": "NATŁUSZCZONA LATYNOSKA 1"
"VEHICLE_COLOR_TINT_5": "ODCIEŃ 5%%"
"LOGO_89GENX": "89 GEN X"
"CUST_VARIANT_DUAL_STRIPES_SMALL": "MAŁE PODWÓJNE PASKI"
"CUST_ITEM_CM_PSG_UBDY_M_TRACKJACKET": "KURTKA SPORTOWA"
"CUST_INSULT_K": "NATURSZCZYK"
"CUST_COLOR_CLOTHING_VIOLET-RED_5": "FIOLETOWOCZERWONY 5"
"CUST_COLOR_CLOTHING_BROWNS_4": "BRĄZOWY 4"
"CUST_COMP_MUSTACHE_13": "BRODA BÓLU"
"COMPONENT_DECAL_6": "NAKLEJKA 6"
"CUST_VARIANT_3COLOR_THIN": "TRÓJKOLOROWE CIENKI"
"CUST_VARIANT_GRADIENT": "ODCIENIE"
"CUST_SKIN_BLACK_03": "CZARNA 3"
"PLAYER_MORPH_CHEEKBONES_DEPTH_TEXT": "GŁĘBOKOŚĆ KOŚCI POLICZKOWYCH"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_9": "ŻÓŁTOPOMARAŃCZOWY 9"
"CUST_TATTOO_FACE_3": "PLEMIENNE OSTRZE"
"PAINT_AND_TRIM": "LAKIER I DODATKI"
"CUST_VARIANT_FRONT_STRIPES_SMALL": "MAŁE PASKI Z PRZODU"
"CUST_WEAR_TATTOO_AZTEC_BUG": "AZTECKI OWAD"
"CUST_ITEM_CM_DLC_FOOT_M_PLATFORMS": "BUTY \"STYL Z\""
"CUST_ITEM_CF_RING_F_BIGHEART": "ZESTAW \"PRAWDZIWA MIŁOŚĆ\""
"CUST_EYESHADOW": "CIEŃ DO POWIEK"
"CUSTOM_WALK_13": "STYL ZBIRA 8"
"HAIR_SALON_HAIR_LENGTH": "DŁUGOŚĆ WŁOSÓW"
"CUST_COMP_FACE_MAKEUP_4": "MASKA WOJENNA"
"CUST_COLOR_BRIGHT_YELLOW": "JASNOŻÓŁTY"
"CUST_VARIANT_21_DEFAULT": "WARIANT 21"
"CUST_SKIN_HISPANIC_04": "LATYNOSKA 4"
"PLAYER_CREATION_PRESET_ASIAN": "AZJATA"
"CUST_TATTOO_RHAND_4": "R I T E"
"LOGO_DART": "TARCZA DO GRY W STRZAŁKI"
"CUST_ITEM_CF_DLC_HAND_F_BCGLOVE": "RĘKAWICZKI KRWAWEJ KANONICZKI"
"CUST_RONIN_COMPLIMENT_C": "KOMPLEMENT RONINÓW 3"
"CUST_CAT_HAIR_COLOR_EYEBROWS": "KOLOR BRWI"
"CUST_COMP_EYE_MAKEUP_10": "SUROWA KREDKA"
"SLOT_BED_MODS": "MODYFIKACJE KANAP"
"CUST_VARIANT_SKIRTB": "STYL 2"
"CUST_VARIANT_ZEBRA_1": "ZEBRA 1"
"CUST_ITEM_CM_FPIC_SETC": "PODWÓJNE PIERCING"
"PLAYER_MORPH_EYE_STYLE_TEXT": "STYL OCZU"
"FACIAL_EXPRESSION_SCARED": "PRZESTRASZONY"
"PLAYER_MORPH_CROWN_HEIGHT_TEXT": "WYSOKOŚĆ CIEMIENIA"
"CUST_MENU_TOTAL_LIMIT_REACHED": "Osiągnięto maksymalną liczbę ubrań w garderobie."
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_2": "Szybsze celowanie i większa ilość nalotów do dyspozycji."
"CUST_TATTOO_NECK_4": "ANTWERPSKA SPECJALNOŚĆ"
"CUST_COMP_BODY_MASK_4": "WIEJSKA OPALENIZNA"
"VEHICLE_COLOR_TINT_30": "ODCIEŃ 30%%"
"CUST_ITEM_IMPRESSIONS_FEMALE_O": "STRÓJ \"MIEJSKIE SAFARI\""
"CUST_ITEM_CM_IMPE_LBDY_M_DRESSPANTS": "SPODNIE \"WYSOKA KLASA\" "
"FACIAL_EXPRESSION_QUIZZICAL": "ZAGADKOWY"
"PLAYER_MORPH_CHIN_TEXT": "PODBRÓDEK"
"LOGO_PMS": "PI MU SIGMA"
"CUST_VARIANT_THIN": "CIENKIE"
"CUST_ITEM_COWBOY_HAT_1": "KAPELUSZ Z DZIKIEGO ZACHODU"
"RIM_SET_006": "ZESTAW FELG 6"
"COMPONENT_OPTION_4": "OPCJA 4"
"COLOR_SLOT_RIM": "OBRĘCZ"
"CUST_VARIANT_KNIT": "DZIANINA"
"CUST_ITEM_CM_CNC_UBDY_M_WHTLOGOA": "BIAŁY T-SHIRT D \"CROOKS & CASTLES\""
"CUSTOM_WALK_7": "STYL ZBIRA 3"
"CUST_TATTOO_FACE_7": "DWA WĘŻE"
"VEHICLE_COLOR_SILVER": "SREBRO"
"CUST_SKIN_PURPLE_4": "FIOLET KSIĘŻNICZKI"
"CUSTOM_WALK_FEMALE_02": "DOMYŚLNA KOBIETA 2"
"CUSTOM_WALK_17": "STYL ZBIRA 12"
"CUST_COLOR_CLOTHING_VIOLET-RED_1": "FIOLETOWOCZERWONY 1"
"CUST_COMP_MUSTACHE_17": "CHUCK"
"OPTION_37": "OPCJA 37"
"COMPONENT_DECAL_2": "NAKLEJKA 2"
"CUST_VARIANT_SLEEVES": "ZWYKŁE"
"PLAYER_MORPH_EYE_FOLDS_ELEVATION_TEXT": "WYSOKOŚĆ FAŁD OCZU"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_8": "ŻÓŁTOZIELONY 8"
"CUST_COMP_EYES_DARK_BROWN": "CIEMNOBRĄZOWE"
"LOGO_PHEASANT": "ŁOWCA BAŻANTÓW"
"CUST_VARIANT_ULTOR2": "ULTOR 2"
"VEHICLE_PAINT_LICENSE_PLATES": "TABLICE REJESTRACYJNE"
"HAIR_COLOR_GREEN_MATTE": "MATOWA ZIELEŃ"
"CUST_VARIANT_LARGE_STRIPES": "DUŻE PASY"
"VEHICLE_COLOR_ATLANTIC_TEAL": "ATLANTYCKI TURKUS"
"CUST_WEAR_TUCKED": "WPUSZCZONA"
"CUST_ITEM_IMPRESSIONS_FEMALE_K": "DAMSKI K \"WRAŻENIA\" "
"CUST_ITEM_CM_CNC_UBDY_M_LOGOC": "T-SHIRT C \"CROOKS & CASTLES\""
"CUST_MORPH_CAT_JAW": "SZCZĘKA"
"CUST_COMP_EYE_MAKEUP_14": "SFINKS"
"SLOT_MIRRORS": "LUSTERKA"
"HAIR_COLOR_YELLOW_MATTE": "MATOWA ŻÓŁĆ"
"CUST_WEAR_UNZIPPED_HOOD_DOWN": "ROZPIĘTA, OPUSZCZONY KAPTUR"
"CUST_ITEM_CF_NLMF_FOOT_F_VICTORIANBOOTS": "STEAMPUNKOWE WIKTORIAŃSKIE BUTY"
"STORE_WEAPON_NAVIGATE": "PRZEGLĄDAJ"
"SK03": "SKÓRA03"
"CUST_VARIANT_SMALL_FLOWERS": "MAŁE KWIATKI"
"CUST_WEAR_BUTTONED_HOOD_DOWN": "ZAPIĘTA, OPUSZCZONY KAPTUR"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRTLOWV": "KURTKA Z KOSZULKĄ \"WZGÓRZA\""
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO": "KOMBO FORTEL"
"CUSTOM_WALK_3": "STYL ZBIRA 2"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_2": "Pozwala przenosić więcej rakiet."
"CUST_TATTOO_LOWBACK_4": "WYSOKA KRZYWA"
"CUST_COLOR_FLESH_4": "CIELISTY 4"
"CUST_WEAR_HALF OPEN": "PÓŁOTWARTE"
"CUST_ITEM_CM_UBDY_M_THEROW": "KTOŚ Z ROW"
"CUST_ITEM_CM_HAIR_SHORT": "GŁADKI MENEDŻER"
"CUST_ITEM_MINER_HAT": "MASKA Z MORDOWNI"
"PLAYER_MORPH_FACE_DEPTH_TEXT": "GŁĘBOKOŚĆ TWARZY"
"CUST_TATTOO_UPPBACK_6": "DWA ŚWIĘTE GOŁĘBIE"
"CUST_COMP_FACE_MOLE_8": "PIEPRZYK 8"
"CUST_VARIANT_TWO_COLOR": "DWA KOLORY"
"CUST_VARIANT_LEATHERLEATHER": "PATENTOWANA SKÓRA"
"CUST_COLOR_WHITE": "BIAŁY"
"CUST_ITEM_CM_PSJ_EYES_M_SHTRGLS": "POWALAJĄCE OKULARY PRZECIWSŁONECZNE"
"CUST_ITEM_CF_PSE_UBDY_F_GFXJERSEYCOMBO": "DAMSKI DRES SPORTOWY"
"PLAYER_MORPH_BROW_ELEVATION_TEXT": "WZNIESIENIE BRWI"
"CUST_COMP_EYE_MAKEUP_3": "PRZEPASKA NA PRAWYM"
"RIM_188": "C-X 502"
"SLOT_DECAL_10": "NAKLEJKA 10"
"BRIGHT_GREEN": "JASKRAWOZIELONE"
"LOGO_NUMBER1": "NUMER 1"
"LOGO_FEEDSUCK": "FEED DOGS ŚMIERDZĄ"
"CUST_ITEM_CF_PSG_LWRST_F_SBAND": "OPASKA SPORTOWA"
"HAIR_CAT_BALD": "ŁYSY"
"VEHICLE_COLOR_JET_BLACK": "WĘGLOWA CZERŃ"
"CUST_VARIANT_CLEAR": "GŁADKIE"
"CUST_VARIANT_BAND": "OPASKI"
"CUST_ITEM_CF_IMPO_LBDY_F_SHORTS": "SZORTY \"MIEJSKIE SAFARI\""
"CUST_ITEM_CF_NLMD_LBDY_F_PANTS": "HIPSTERSKIE DŻINSY"
"SURGEON_CAT_MORPHS": "PRZEKSZTAŁCENIA"
"CUST_COLOR_CLOTHING_GREYS_1": "SZARY 1"
"VEHICLE_COLOR_YELLOW_DARK_TINT": "ODCIEŃ CIEMNEJ ŻÓŁCI"
"CUST_WEAR_LOW_LEFT_ROLLED_RIGHT_ZIPPED": "LEWY PODWINIĘTY, NISKO"
"CUST_WEAR_FINGER_LR": "LEWY PALEC SERDECZNY"
"CUST_TATTOO_RIGHT_SHOULDER": "PRAWE RAMIĘ"
"CUST_TATTOO_LCALF_3": "PŁYWAJ JAK RYBA"
"LOGO_PEACE": "POKÓJ"
"CUST_VARIANT_WIDOWS_PEAK": "PASMO POMIĘDZY ZAKOLAMI"
"CUST_VARIANT_MATERIAL_9": "CUST_VARIANT_MATERIAL#9"
"CUST_ITEM_FEMALE_NLM_EARRINGS_1": "KOLCZYKI \"FLOWER POWER\""
"PLAYER_CREATION_FIGURE_OVERWEIGHT": "GRUBA"
"PLAYER_MORPH_CROWN_LENGTH_TEXT": "DŁUGOŚĆ CIEMIENIA"
"CUST_INSULT_O": "COSPLAYERKA"
"CUST_MORPH_CAT_CHIN": "PODBRÓDEK"
"PLAYER_MORPH_CAUCASIAN_TEXT": "BIAŁY"
"STORE_WEAPON_OWNED_NOT_EQUIPPED": "{0} - POZIOM {1}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_3": "Zwiększa szybkostrzelność i obrażenia."
"RIM_STANDARD": "STANDARD"
"CUST_VARIANT_SMALL_3_STRIPES": "CIENKIE PASY"
"CUSTOM_WALK_FEMALE_5": "SKACZĄCY"
"CLOTHES_IMPRESS": "WRAŻENIA"
"CUST_TATTOO_RHAND_8": "DŁOŃ_TATUAŻ_P8"
"CUST_TATTOO_CHEST_3": "WIELOFUNKCYJNA OŚMIORNICA"
"PAINT_TRIM_AND_RIMS": "LAKIER, DODATKI I FELGI"
"RIMS_AND_TRIM": "FELGI I DODATKI"
"CUST_ITEM_CM_LPE_PACK_M_MBACKPACK": "ZESTAW IMPERIUM"
"FACIAL_EXPRESSION_INSANE": "SZALONY"
"CUST_COMP_FACE_MAKEUP_8": "CĘTKI PANTERY"
"LOGO_BAT_1": "NIETOPERZ 1"
"CUST_VARIANT_BELT": "ZWYKŁY"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_5": "MAŁE KÓŁKA"
"CUST_ITEM_CF_IMPQ_WRST_F_LATEXBRACE": "IMPONUJĄCA LATEKSOWA BRANSOLETKA"
"CUST_COMPLIMENT_KING": "KRÓL"
"CUST_MENU_MOVEMENT": "OSOBOWOŚĆ"
"CANT_WEAR_BELTS": "PASKI MOŻNA NOSIĆ TYLKO W ODPOWIEDNICH SPODNIACH"
"PLAYER_CREATION_MENU_4": "WŁOSY"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_5": "ŻÓŁTOPOMARAŃCZOWY 5"
"CUST_TATTOO_LHAND_7": "DŁOŃ_TATUAŻ_L7"
"CUST_COLOR_INDIGO_3": "INDYGO 3"
"CUST_COLOR_PURPLE_2": "FIOLETOWY 2"
"CUST_ITEM_TOILET": "SEDES"
"CUST_ITEM_LEATHER_LACE_FEMALE_S": "MROCZNA PANNA"
"CUST_ITEM_CM_PSF_LBDY_M_BSHORTS": "SZORTY RZUT WOLNY"
"PLAYER_MORPH_SATURATION_TEXT": "NASYCENIE"
"CUSTOMIZATION_TITLE": "MODYFIKACJA POSTACI"
"CUST_COLOR_CLOTHING_VIOLET-RED_9": "FIOLETOWOCZERWONY 9"
"CUST_COLOR_CLOTHING_BROWNS_8": "BRĄZOWY 8"
"VEHICLE_COLOR_BRETON_GREEN": "BRETOŃSKA ZIELEŃ"
"LOGO_FUZZ": "GLINY"
"CUST_VARIANT_CAMOUFLAGE": "KAMUFLAŻ"
"CUST_ITEM_CF_HAIR_CORNROWS_1": "WARKOCZYKI PRZY SKÓRZE"
"CUST_ITEM_CM_NLMA_HAT_M_SPHAT": "KAPELUSZ \"UCZCIWY ABE\""
"CUST_SKIN_GOLD": "ZŁOTA"
"CUST_COMP_MALE_EYEBROWS_5": "GENIALNY PRZESTĘPCA"
"COMPONENT_OPTION_8": "OPCJA 8"
"HAIR_COLOR_ORANGE_MATTE": "MATOWY POMARAŃCZ"
"LOGO_RUSTY_S_NEEDLE_2": "ZARDZEWIAŁA IGŁA 2"
"CUST_WEAR_UNBUTTONED_HOOD_UP": "ROZPIĘTA, PODNIESIONY KAPTUR"
"CUST_ITEM_CM_IMPE_HAT_M_PAN_FEDORA": "FEDORA \"SOUTH BEACH\""
"CUST_ITEM_CF_LLK_FOOT_F_LATEXBOOTS": "SEKSOWNE BUTY"
"CUST_ITEM_CM_LPG_MASK_M_MASKAPE": "MAŁPIE FIGLE"
"PLAYER_OLD_TEXT": "STARY"
"PLAYER_MORPH_CHIN_CREASE_TEXT": "BRUZDA W PODBRÓDKU"
"PLAYER_MORPH_BROW_HEIGHT_TEXT": "WYSOKOŚĆ BRWI"
"CUST_TATTOO_NECK_8": "CZARNY ŁABĘDŹ"
"HAIR_COLOR_BLACK_MATTE": "MATOWA CZERŃ"
"LOGO_NUMBER_13": "LICZBA 13"
"CUST_ITEM_CF_SUIT_CYPHERSUIT": "ZABÓJCA ULTORU"
"CUST_ITEM_CF_NLMC_LBDY_M_SKIRTPANTS": "SPODNIE \"GOTYCKIE ŻYCIE\""
"CUST_ITEM_CM_HAIR_CAESAR": "RZYMIANIN"
"CUST_FACIAL_EXP_BASHFUL": "NIEŚMIAŁY"
"CUST_COLOR_CLOTHING_ORANGE_2": "POMARAŃCZOWY 2"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_UNZIPPED": "OBA ROZPIĘTE, WYSOKO"
"CUST_ITEM_CF_DLC_WP_UBDY_F_UPPER": "GÓRA WOJOWNICZEJ KSIĘŻNICZKI"
"CUST_ITEM_CF_NLMH_PACK_F_CATBACKPACK": "NIEGRZECZNA KOTKA"
"PLAYER_MORPH_NOSTRIL_ELEVATION_TEXT": "WZNIESIENIE NOZDRZY"
"PLAYER_MORPH_LOWER_LIP_SHAPE_TEXT": "KSZTAŁT DOLNEJ WARGI"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_2": "Zwiększa obrażenia. Celownik kolimatorowy zwiększa celność ostrzału."
"VEHICLE_COLOR_RED_DARK_TINT": "ODCIEŃ CIEMNEJ CZERWIENI"
"RIM_180": "SD DCY15"
"LOGO_NUMBER9": "NUMER 9"
"LOGO_SAINTSBEER": "PIWO SAINTS"
"CUST_VARIANT_HEARTS": "SERCA"
"CUST_VOICE_ZOMBIE": "ZOMBIE"
"CUST_SEX_APPEAL": "SEKSAPIL"
"CUST_VARIANT_STRETCH_TOP": "STYL 1"
"CUST_TATTOO_LEFT_LEG": "LEWA NOGA"
"CUST_MENU_COLOR": "KOLOR"
"PLAYER_CREATION_FIGURE_SLENDER": "SMUKŁA"
"PLAYER_MORPH_EAR_INSIDE_TEXT": "WNĘTRZE USZU"
"CUST_TATTOO_RFORARM_1": "ZNAJDŹ RÓWNOWAGĘ"
"VEHICLE_COLOR_WILDLIFE_GREEN": "DZIKA ZIELEŃ"
"CUST_VARIANT_NAILS_B": "PAZNOKCIE 2"
"CUST_ITEM_CM_SUIT_NORMALTESTSUIT": "NORMALNY STRÓJ TESTOWY"
"SLOT_SEATS": "SIEDZENIA"
"CUST_VARIANT_PATTERN2": "STYL 2"
"CUST_ITEM_BLOWUPDOLL": "DMUCHANA LALA"
"CUST_ITEM_MALE_NLM_OUTFIT_C": "PRÓŻNIACKI SZYK"
"PLAYER_MORPH_NOSTRILS_ELEVATION_TEXT": "WYSOKOŚĆ NOZDRZY"
"PLAYER_MORPH_CHIN_BULGE_TEXT": "WYPUKŁOŚĆ PODBRÓDKA"
"CUST_VARIANT_PATTERN_1": "STYL 1"
"CUST_INSULT_G": "MARINE"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_SIZE_TEXT": "WIELKOŚĆ ŚRODKA GÓRNEJ WARGI"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_2": "Zwiększa obrażenia."
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_3": "Zwiększa pojemność magazynka."
"CUST_TATTOO_RCALF_4": "ZAPAMIĘTAJ MNIE"
"CUST_TATTOO_LARM_3": "BRACTWO"
"CUST_TATTOO_LUPPARM_1": "DYNAMIT"
"CUST_COMP_FACE_FRECKLES": "PIEGI"
"CUST_COMP_FEMALE_EYEBROWS_3": "NARYSOWANE"
"COMPONENT_ADD_TIRE_DURABILITY": "TRWAŁE OPONY"
"SLOT_FAIRINGS": "OWIEWKI"
"LOGO_RHOMBUS": "ROMB"
"CUST_VARIANT_THICK_TRI_COLOR": "GRUBE TRÓJKOLOROWE"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR": "PRZYPIĘTY"
"CUST_CAT_RING": "PIERŚCIENIE"
"CUST_INSULT_JERK": "WALEŃ"
"CUST_COLOR_CLOTHING_GREYS_9": "SZARY 9"
"BRIGHT_YELLOW-GREEN": "JASNOŻÓŁTOZIELONE"
"CUST_VARIANT_CMSHO_UUTIBOOT01": "PŁÓTNO"
"CUST_VARIANT_STRIPES_1": "PASY 1"
"CUST_VARIANT_BEADS": "KORALIKI"
"CUST_ITEM_CM_LLK_UBDY_M_BATHROBE": "SZLAFROK"
"CUST_UNDERWEAR": "BIELIZNA"
"CUST_SKIN_ORC": "ORKOWA ZIELEŃ"
"CUST_VARIANT_09_DEFAULT": "WARIANT 9"
"CUST_VARIANT_PLAID_1": "TARTAN 1"
"CUST_VARIANT_MATERIAL_1": "CUST_VARIANT_MATERIAL#1"
"CUST_WEAR_FINGER_RI": "PRAWY PALEC WSKAZUJĄCY"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHRTTIE": "WYSOKA KLASA"
"CUST_ITEM_FEMALE_PS_EARRINGS_1": "KOLCZYKI LILA"
"CUST_COMPLIMENT_H": "IMPREZKA"
"CUST_ITEM_CF_LPH_UBDY_F_VARSITYCHEER": "KOSZULA KIBICA"
"VEHICLE_COLOR_BAY_YELLOW": "BRUDNA ŻÓŁĆ"
"RIM_184": "V-F 603"
"CUST_VARIANT_MATERIAL_24": "CUST_VARIANT_MATERIAL#24"
"CUST_ITEM_CM_PSE_EYES_M_SHADES": "OKULARY PRZECIWSŁONECZNE CAN'T TOUCH THIS"
"CUST_ITEM_BIKER_HELMET": "CZAPECZKA ZBIRA"
"FACIAL_EXPRESSION_ROGUISH": "SZELMOWSKI"
"FACIAL_EXPRESSION_FEARFUL": "STRACHLIWY"
"CUST_BRO_TAUNT_A": "DRWINA BRACTWA 1"
"VEHICLE_COLOR_BELIZE_GREEN": "JASNA ZIELEŃ"
"MALE_OVERWEIGHT": "MĘŻCZYZNA - Z NADWAGĄ"
"CUST_RACE_ASIAN": "ŻÓŁTA"
"CUST_ITEM_CF_IMPR_FOOT_F_HEELS": "SZPILKI DZIEWCZYNY Z DOLINY"
"CUST_ITEM_MALE_NLM_OUTFIT_G": "PRZYGNĘBIONY DZIECIAK INDIE"
"CUST_ITEM_CF_BOBINEYE": "BOB Z GRZYWKĄ NA BOK"
"FACIAL_EXPRESSION_SNEER": "SZYDERCZY"
"PLAYER_CREATION_FIGURE_BODYBUILDER": "KULTURYSTA"
"CUST_TATTOO_RFORARM_5": "FIOLETOWY DUSZEK"
"CUST_COMP_FACE_MOLE_4": "PIEPRZYK 4"
"CUST_VARIANT_MATTE": "MAT"
"CUST_VARIANT_THE_FADE": "WYPŁOWIAŁE"
"CUST_ITEM_CM_LPC_UBDY_M_HEROFALCON": "CZŁOWIEK-SOKÓŁ"
"CUST_CAT_NECKLACE": "NASZYJNIK"
"CUST_SKIN_GREY_4": "KAMIENNY GOLEM"
"PLAYER_MORPH_CHIN_DIMPLE_TEXT": "DOŁEK W PODBRÓDKU"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_2": "Zwiększa pojemność magazynków i obrażenia. Celownik kolimatorowy zwiększa celność ostrzału."
"CUST_TATTOO_LARM_7": "STRÓJ NINJA"
"CUST_TATTOO_LUPPARM_5": "MOJA NA ZAWSZE"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_3": "STRINGI JASNE I OBCISŁE"
"CUST_ITEM_CM_PSC_LBDY_M_DICKIES": "SPODNIE DO ĆWICZEŃ"
"SLOT_SIDE_SKIRT": "BOCZNE OSŁONY"
"CUST_VARIANT_CHILD_RWRIST": "STYL 2"
"CUST_VARIANT_LARGE_PLAID": "DUŻA KRATA"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_ROLLED": "L. rozpięty, p. podwinięty, nisko"
"CUST_INSULT_C": "ZACHÓD I GÓRA"
"PLAYER_MORPH_NOSTRIL_THICKNESS_TEXT": "GRUBOŚĆ NOZDRZY"
"PLAYER_MORPH_CHEEKBONE_ELEVATION_TEXT": "WZNIESIENIE KOŚCI POLICZKOWYCH"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_3": "Zwiększa pojemność amunicyjną. Trzecia lufa dodatkowo zwiększa obrażenia."
"VEHICLE_PAINT_INTERIORS": "WNĘTRZE"
"COMPONENT_OPTION_11": "OPCJA 11"
"SLOT_DECAL": "NAKLEJKA"
"CUST_COLOR_GREEN_1": "ZIELONY 1"
"LOGO_FISH": "RYBA"
"CUST_VARIANT_BONES": "VOODOO"
"CUST_VARIANT_MATERIAL_5": "CUST_VARIANT_MATERIAL#5"
"CUST_ITEM_CF_DLC_SUIT_F_BCAN": "STRÓJ KRWAWEJ KANONICZKI"
"CUST_ITEM_CF_RING_F_ROCKERSET": "PIERŚCIONKI \"HEAVY METAL\""
"CUST_ITEM_CM_NLMG_LBDY_M_LOOSEPANTS": "ORYGINALNE GANGSTERSKIE SPODNIE"
