"MENU_LEFT_MOUSE": "Ratón izq."
"PC_COPY_NEXT": "COPIAR SIGUIENTE"
"PC_EXPORT_EXPLANATION": "¿Detener la edición y empezar la exportación a vídeo?"
"BTN_Y_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-y][/format]"
"HASH_11879627": "CALIDAD DE LOS GRÁFICOS"
"HASH_8DFAAC67": "Reconéctate a Internet o usa el Modo Conectado de GOG para usar esta opción."
"SAVE_WARNING_BOOT": "[format][color:#9400c5]Este juego guarda datos automáticamente. Siempre que aparezca este icono en pantalla se estará guardando tu partida en la ranura de autoguardado.[/format]"
"CBA_OFC_PICKUP_RELOAD": "   RECOGER/RECARGAR"
"CBA_VDC_HANDBRAKE": "   DERRAPE"
"PC_SLOWMO_HINT": "AJUSTE DE LA CÁMARA LENTA"
"RECORD_MODE_WARNING": "GRABAR CLIPS DE CINE"
"PCACTION_RADIO_PREVIOUS": "EMISORA ANTERIOR"
"PCACTION_WEAPON_3": "ARMA 3"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "La cuenta de Steam que estás usando ya está asociada a otro THQ ID."
"MENU_CONTROLLER_OPTIONS_TITLE": "MANDO"
"MENU_MOUSE_CONTROLS_INVERT_Y": "INVERTIR EJE VERTICAL"
"CBA_GAC_WEAPON_SELECT_8": "   RANURA DE ARMA 8"
"PC_EDIT_PROPERTIES": "EDITAR PROPIEDADES"
"BTN_START_TXT": "EL BOTÓN A"
"PCACTION_WEAPON_6": "ARMA 6"
"PC_RECORD_MODE_QUALITY_LOW": "480p (BAJA)"
"MAIN_MENU_MATCHMAKING_FAIL": "El sistema de Matchmaking de Steam no ha podido encontrar ninguna partida a la que conectarse."
"CBA_GAC_GRENADE_SELECT_2": "   RANURA DE GRANADA 2"
"CAA_WALK_TURN_LEFT_RIGHT_NEG": "   MOVER A IZQUIERDA"
"CBA_VDC_CRUISE_CONTROL_B": "   VELOC. CRUCERO (CAMBIAR)"
"PLT_MENU_SHADOW_DETAIL": "    DETALLES DE SOMBREADO"
"PC_OPTIONS_EXIT_HINT": "CIERRA EL CUADRO DE DIÁLOGO"
"BTN_BLACK_TXT": "EL BOTÓN A"
"PRESS_ANY_KEY_TEXT": "Pulsa una tecla o ESC para cancelar."
"PCACTION_RADIAL_MENU": "MENÚ RADIAL"
"PC_RECORD_MODE_FAILED_EXPORT": "ERROR AL GRABAR DEBIDO A UN PROBLEMA INTERNO."
"TUT_COMBAT_GRENADES_PC": "{ATTACK_SECONDARY_IMG} LANZAR GRANADA \n{GRENADE_SWITCH_IMG} CAMBIAR GRANADA EQUIPADA"
"MENU_MIDDLE_MOUSE": "Ratón medio"
"CBA_VDC_NITRO": "   NITRO"
"PLT_MENU_FULL_SCREEN": "PANTALLA COMPLETA"
"PC_OPTIONS": "OPCIONES"
"PC_ZONE_TYPE": "TIPO DE ZONA"
"PC_CZ_EXIT_HINT": "CIERRA EL CUADRO DE DIÁLOGO DE ZONA DE CÁMARA"
"BTN_RTRIGGER_TXT": "EL BOTÓN A"
"HASH_299A8B6B": "SIN BORDES"
"HASH_58A675AB": "MATCHMAKING DE GOG"
"HASH_6A37FFEB": "El sistema de Matchmaking no ha podido encontrar ninguna partida a la que conectarse."
"COMMUNITY_CREATE_LINK_TEXT": "Aquí puedes crear un nuevo THQ ID o asociar tu cuenta de Steam a uno ya existente."
"CBA_GAC_PAUSE_MENU": "   PAUSAR"
"CBA_VDC_HELI_TURN_RIGHT": "   GIRAR A DERECHA"
"CBA_VDC_PLANE_FIRE_SECONDARY": "   ARMA DE FUEGO 2"
"PLT_TRILINEAR": "TRILINEAL"
"PC_LOAD_CHAR": "CARGAR PREDETERMINADO"
"PC_SM_NORMAL": "NORMAL"
"PC_DOF_DIST_HINT": "DISTANCIA DE LA PROFUNDIDAD DE CAMPO"
"PCACTION_PAUSE": "MENÚ PAUSA"
"TUT_AIRPLANE_CONTROL_ALT_PC": "{PLANE_ACCELERATE_IMG} ACELERAR \n{PLANE_BRAKE_REVERSE_IMG} FRENAR + MARCHA ATRÁS \n{PLANE_ROLL_TURN_SELECT_IMG}+{PLANE_LEFT_RIGHT_IMG} GIRO CERRADO"
"SAVE_CLIP": "Guarda el clip de cine."
"CBA_VDC_HELI_FIRE_PRIMARY": "   ARMA DE FUEGO"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG2": "   INCLINAR A IZQUIERDA"
"PC_VOICE": "VOZ"
"PC_SHOW_KEYS_HINT": "MOSTRAR ATAJOS DE EDICIÓN"
"CAA_PLANE_PITCH_UP_DOWN_POS": "   DESCENDER"
"PC_SOUNDFX_HINT": "ACTIVA/DESACTIVA TODOS LOS EFECTOS DE SONIDO"
"PC_SM_VERY_FAST": "MUY RÁPIDA"
"PC_EDIT_EXPLANATION": "Vas a editar la cámara de una zona de cámara no activa. La posición actual de la cámara se sobrescribirá con la posición anterior."
"DPAD_UP_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-u][/format]"
"PCACTION_LOOK_RIGHT": "MIRAR A LA DERECHA"
"TUT_NP_TANK_CONTROLS_PC": "{TANK_FORW_BACK_IMG} / {TANK_LEFT_RIGHT_IMG} MOVERSE \nMUEVE EL RATÓN PARA APUNTAR \n{TANK_FIRE_SECONDARY_IMG} DISPARAR ARMA PRINCIPAL \n{TANK_FIRE_PRIMARY_IMG} DISPARAR ARMA SECUNDARIA"
"CBA_OFC_ZOOM_IN": "   AMPLIAR ALCANCE"
"MULTI_LOST_CONNECTION": "Se ha perdido la conexión con Steam.\nVolviendo al menú principal."
"PC_TOD_MORNING": "MAÑANA"
"PC_GS_BACKGROUND": "FONDO"
"SAVING_CONTENT_BODY": "No salgas del juego."
"CBA_GAC_WEAPON_SELECT_6": "   RANURA DE ARMA 6"
"CBA_VDC_ACCELERATE": "   ACELERAR"
"CBA_VDC_PLANE_TURN_RIGHT2": "   VIRAR A DERECHA"
"PLT_ANISOTROPIC_EIGHT": "ANISOTRÓPICO 8X"
"MENU_CUSTOM": "PERSONALIZADO"
"PLT_MENU_DISPLAY_4": "CUATERNARIO"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "No hay espacio libre suficiente en tu disco duro para completar el proceso de guardado."
"PC_MOVEMENT_SENSITIVITY_HINT": "SENSIBILIDAD DE MOVIMIENTO DE LA CÁMARA"
"PC_CONFIRM_EXIT": "CONFIRMAR SALIDA"
"PCACTION_WEAPON_8": "ARMA 8"
"PCACTION_CROUCH": "AGACHARSE"
"MENU_MOUSE_BUTTON_3": "Ratón 3"
"MENU_CATEGORY_HELI": "HELI"
"PLT_QUIT_GAME": "SALIR AL ESCRITORIO"
"MAINMENU_SYSLINK": "PARTIDA LAN"
"PC_HIDE_HUD": "OCULTAR HUD"
"PRESS_ANY_KEY_CAPTION": "PULSA OTRA TECLA"
"HASH_B1E823F1": "CTRL"
"CBA_VDC_OFFHAND_GRENADE": "   LANZAR GRANADA"
"PC_CA_EDIT_EXPORT": "CARGAR Y EDITAR"
"PCACTION_CONSUME_LEFT": "CONSUMIR IZQUIERDA"
"PCACTION_WEAPON_2": "ARMA 2"
"HASH_F44E5932": "%ls te ha invitado a jugar. \n¿Quieres unirte?"
"PC_RECORD_MODE_ENABLE_WARNING": "ACTIVAR EL MODO GRABACIÓN DE VÍDEO QUIZÁS RALENTICE EL JUEGO. TAMBIÉN SE DESACTIVARÁN LA MÚSICA Y LA RADIO POR CUESTIONES LEGALES. ¿CONTINUAR?"
"PLT_MENU_AMBIENT_OCCLUSION": "    OCLUSIÓN AMBIENTE"
"PC_CREATE_CHAR": "CREAR/IMPORTAR"
"PC_W_OVERCAST": "CUBIERTO"
"PC_AV_EXIT_HINT": "CIERRA EL CUADRO DE DIÁLOGO"
"PC_EXIT_HINT": "SALE DEL EDITOR DE CLIPS"
"PC_DELETE_CZ": "BORRAR"
"PCACTION_REVERSE": "FRENAR / MARCHA ATRÁS"
"CBA_OFC_MELEE_NUT_SHOT": "   ATAQUE CUERPO A CUERPO"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG": "   GIRAR A IZQUIERDA"
"PLT_MENU_ANTI_ALIASING_TOOLTIP": "SUAVIZADO DE BORDES"
"PLT_MENU_MINIMAP_VIEW_TOOLTIP": "ROTACIÓN DEL MINIMAPA EN RELACIÓN A LA ORIENTACIÓN DEL JUGADOR"
"PC_HANDYCAM": "HANDYCAM"
"PC_POSITION_CAMERA": "COLOCAR CÁMARA"
"PC_RECORD_MODE_CANCEL_ENCODE": "¿SEGURO QUE QUIERES CANCELAR LA GRABACIÓN DE VÍDEO? EL VÍDEO SE PERDERÁ."
"TUT_HELICOPTER_ENTRY_PC": "{HELI_UP_IMG} AUMENTAR ELEVACIÓN\n{HELI_DOWN_IMG} REDUCIR ELEVACIÓN\n{HELI_DRIVE_TURN_SELECT_IMG}+{HELI_LEFT_RIGHT_IMG} GIRO RÁPIDO"
"MENU_RIGHT_MOUSE": "Ratón drch."
"CAA_TANK_DRIVE_FORWARD_BACKWARD_NEG": "   MOVER HACIA ATRÁS"
"MENU_ON": "ACTIVADO"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "Buscando partidas LAN..."
"PC_SM_VERY_SLOW": "MUY LENTA"
"PC_CAMERA_DONE_HINT": "CIERRA EL CUADRO DE DIÁLOGO"
"PC_GREEN_SCREEN": "PANTALLA VERDE"
"DPAD_LEFT_TXT": "EL BOTÓN A"
"DPAD_RIGHT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-r][/format]"
"PC_RECORD_MODE_PATH": "\\Documentos\\Mis juegos\\Saints Row The Third\\Videos"
"MENU_OPTIONS_GAMEPLAY_DIFFICULTY_TIP": "CONFIGURA LA DIFICULTAD DE JUEGO"
"MULTI_MATCHMAKING": "MATCHMAKING DE STEAM"
"CBA_VDC_BIKE_LEAN_FWD": "   BURRITO EN MOTO"
"PLT_MENU_POST_PROCESSING_DETAIL_TOOLTIP": "HDR, DESENFOQUE Y PROFUNDIDAD DE CAMPO"
"MENU_HIGH": "ALTO"
"PC_MOVEMENT_SENSITIVITY": "SENSIBILIDAD MOVIMIENTO"
"PC_CM_FOLLOW_LOOK": "SEGUIR MIRADA"
"BTN_B_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-b][/format]"
"MENU_MOUSE_WHEEL_UP": "Rueda arriba"
"MENU_MOUSE_CONTROLS_HORIZ_SENS": "SENSIBILIDAD HORIZONTAL"
"CBA_GAC_WEAPON_SELECT_2": "   RANURA DE ARMA 2"
"CAA_DRIVE_STEER_POS": "   GIRAR A DERECHA"
"PC_CA_DELETE": "BORRAR"
"PC_SOUNDFX": "EFECTOS DE SONIDO"
"PAUSE_MENU_PLAYBACK_MODE": "EDITAR CLIP DE CINE"
"HUD_DROP_ITEM_MESSAGE": "SOLTAR %ls"
"ANALOG_LS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"PCACTION_STRAFE_LEFT": "RÁFAGA IZQUIERDA"
"MENU_OPTIONS_GAMEPLAY_AIRPLANE_TIP": "NORMAL: CONTROL FÁCIL; AVANZADO: SIMULADOR DE VUELO"
"CBA_GAC_MACHINIMA_QUICKSAVE": "   GUARDAR VÍDEO"
"CBA_GAC_WEAPON_SWITCH_CW": "   ARMA SIGUIENTE"
"CAA_WALK_FORWARD_BACKWARD_POS": "   AVANZAR"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_POS": "   AVANZAR"
"MAINMENU_SYSLINK_TITLE": "LAN"
"PC_ADVANCED_MODE": "MODO AVANZADO"
"PC_SHOW_HUD_HINT": "ALTERNA LA TRANSPARENCIA DE INTERFAZ"
"PC_CONFIRM_EXPORT": "CONFIRMAR EXPORTACIÓN"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "RECOGER %ls"
"BTN_BACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-menu][/format]"
"DPAD_LR_TXT": "MANDO D IZQUIERDA Y DERECHA"
"MENU_SECONDARY_ASSIGNMENT": "ASIGNACIÓN DEL BOTÓN ALTERNATIVO"
"PLT_MENU_LIGHTING_DETAIL": "    DETALLE DE ILUMINACIÓN"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "El proceso de guardado ha fracasado porque el dispositivo de almacenamiento predeterminado ya no está disponible."
"PC_GS_PEOPLE_HINT": "ALTERNA EL RENDERIZADO DE HUMANOS NO JUGADORES"
"PC_DOF_HINT": "TIPO DE PROFUNDIDAD DE CAMPO: AFECTA A LA DISTANCIA Y AL RANGO FOCAL"
"PC_AUDIO_TOGGLES": "AUDIO"
"HUD_PICKUP_UNNAMED_OBJECT": "RECOGER"
"PCACTION_LOOK_LEFT": "MIRAR A LA IZQUIERDA"
"PC_RECORD_MODE_ERROR_NO_ENABLED": "ACTIVA EL MODO GRABACIÓN EN EL MENÚ DE PAUSA PARA GUARDAR EL VÍDEO."
"CBA_GAC_WEAPON_SELECT_7": "   RANURA DE ARMA 7"
"CBA_VDC_HELI_TURN_LEFT": "   GIRAR A IZQUIERDA"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_POS": "   MOVER HACIA ADELANTE"
"PC_OUTPUT_ONLY_HINT": "OCULTA LA LÍNEA TEMPORAL Y OTRA INFORMACIÓN DURANTE LA EXPORTACIÓN"
"HUD_CRUISE_CONTROL_NO_BUTTON": "VELOCIDAD DE CRUCERO"
"CBA_GAC_WEAPON_SWITCH_CCW": "   ARMA ANTERIOR"
"CBA_OFC_SPRINT_TOGGLE": "   CORRER (CAMBIAR)"
"CAA_WALK_FORWARD_BACKWARD_NEG": "   RETROCEDER"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_NEG": "   RETROCEDER"
"PLT_MENU_TEXTURE_FILTER_MODE_TOOLTIP": "MÁS ALTO ES MEJOR, PERO MÁS LENTO"
"MENU_LOW": "BAJO"
"PLT_MENU_SETUP_MIC": "CONFIGURAR MICRÓFONO"
"MENU_OPTIONS_CLIP_SELECT": "CLIPS DE CINE"
"PC_SM_SLOW": "LENTA"
"CBA_GAC_ACTION": "   ACCIÓN"
"CAA_DRIVE_STEER_NEG": "   GIRAR A IZQUIERDA"
"CBA_VDC_TANK_FIRE_PRIMARY": "   ARMA DE FUEGO"
"PLT_MENU_RESOLUTIONS_TOOLTIP": "SELECCIONA LA RESOLUCIÓN QUE PREFIERAS"
"PC_WATERMARK_HINT": "EXPORTA CON UN LOGOTIPO DE SAINTS ROW: THE THIRD EN LA ESQUINA"
"PC_GS_PLAYER_HINT": "ALTERNA EL RENDERIZADO DEL JUGADOR"
"PC_SELECT_TARGET": "SELECCIONAR OBJETIVO"
"DPAD_TXT": "EL MANDO D"
"DPAD_DOWN_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-d][/format]"
"MENU_MOUSE_CONTROLS_SENSITIVITY": "SENSIBILIDAD"
"CBA_VDC_PLANE_FIRE_PRIMARY": "   ARMA DE FUEGO"
"PC_GS_VEHICLES": "VEHÍCULOS"
"PC_EXPORT_HINT": "EXPORTA EL CLIP A VÍDEO"
"PCACTION_GRAB_HUMAN": "COGER HUMANO"
"HASH_24103FFD": "Debes estar conectado a tu cuenta de Epic para usar las funciones en línea."
"PC_RECORD_MODE_TEXT": "Activa el modo Grabación para crear vídeos de tus últimos momentos de juego. Pulsa ([format][color:#9400C5]{0}[/format]) para exportarlos.\n\nLos vídeos se guardarán en:"
"MOUSE_TITLE": "CONTROLES"
"CBA_VDC_HORN": "   CLAXON"
"PLT_MENU_BRIGHTNESS_TOOLTIP": "ABRIR EL MENÚ DE BRILLO"
"PLT_MENU_DISPLAY_MODE_TOOLTIP": "PANTALLA COMPLETA, EN VENTANA O SIN BORDES"
"PLT_MENU_TEXTURE_FILTER_MODE": "    MODO DE FILTRO"
"MAINMENU_MACHINIMA_MODE": "EDICIÓN CLIPS DE CINE"
"PC_COPY_CURRENT_HINT": "CREA UNA NUEVA ZONA DE CÁMARA BASADA EN LA ACTUAL"
"COOP_REMOTE_CHEAT_STARTING": "Tu socio en cooperativo usa trucos. Todas las partidas que se guarden a partir de ahora tendrán los trucos activados.\nSe ha desactivado el guardado automático y ya no podrás obtener más logros."
"MENU_MOUSE_CONTROLS_INVERT_X": "INVERTIR EJE HORIZONTAL"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS": "   GIRAR A DERECHA"
"MENU_ULTRA": "ULTRA"
"PCACTION_WEAPON_7": "ARMA 7"
"HASH_B617EDBF": "MATCHMAKING"
"TUT_STREAKING_PC": "{TAUNT_TWO_IMG} dos veces para iniciar Exhibicionismo. \nLa distracción de Exhibicionismo está disponible cuando no llevas ropa."
"CBA_GAC_GRENADE_SELECT_3": "   RANURA DE GRANADA 3"
"CBA_GAC_CELL_OPEN": "   MÓVIL"
"CBA_VDC_VTOL_TRANSITION": "   CAMBIAR A MODO VTOL"
"PLT_MENU_VSYNC_CUTSCENE_TOOLTIP": "SINCRONIZACIÓN VERTICAL DURANTE LAS ESCENAS"
"PC_LOAD_CHAR_HINT": "CARGA EL MODELO DE PERSONAJE PREDETERMINADO"
"PC_GS_VEHICLES_HINT": "ALTERNA EL RENDERIZADO DE VEHÍCULOS"
"PC_PROPS": "PROPIEDADES"
"PC_CAM_TILT_HINT": "INCLINACIÓN DE LA CÁMARA"
"BTN_RTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"BTN_X_TXT": "EL BOTÓN A"
