"CUST_ITEM_CF_HAIR_MED": "OFF THE SHOULDER"
"CUST_VARIANT_STRIPED_TIE": "STRIPED TIE"
"CUST_ITEM_CM_IMPL_UBDY_M_SCARF": "CATWALK SCARF"
"CUST_ITEM_FEMALE_NLM_EARRINGS_5": "GENKI GIRL EARRINGS"
"CUST_ITEM_CM_LLB_LWRST_M_LTHRWRISTBAND": "LEATHER AND LACE WRISTBAND"
"CUST_ITEM_CF_PSA_FOOT_F_ANKLEBOOTS": "NOT SO INNOCENT BOOTIE"
"CUST_COMPLIMENT_D": "IT'S NOT UNUSUAL"
"CUST_COLOR_CLOTHING_GREYS_5": "GREY 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_2": "Affect a larger area."
"CUST_COMP_CHEEK_MAKEUP_3": "THE MIME"
"VEHICLE_PAINT_CANDY_PAINT": "CANDY PAINT"
"CUST_VARIANT_15_DEFAULT": "STYLE 1"
"CUST_VARIANT_BASKETBALL_JERSEY": "STRIPED"
"CUST_VARIANT_HAT": "PLAIN"
"PLAYER_MORPH_UPPER_LIP_NOTCH_TEXT": "UPPER LIP NOTCH"
"CUST_TATTOO_RCALF_8": "FACE OF DEATH"
"COLOR_SLOT_PAINT_1_AND_PAINT_2": "PAINT 1 AND PAINT 2"
"RIM_129": "R129"
"SLOT_COCKPIT": "COCKPIT"
"CUST_WEAR_TATTOO_AZTEC_SNAKE": "AZTEC SNAKE"
"CUST_SKIN_OILED_3": "OILED HISPANIC 1"
"VEHICLE_COLOR_TINT_5": "TINT 5%%"
"LOGO_89GENX": "89 GEN X"
"CUST_VARIANT_DUAL_STRIPES_SMALL": "SMALL DUAL STRIPES"
"CUST_ITEM_CM_PSG_UBDY_M_TRACKJACKET": "TRACK JACKET"
"CUST_INSULT_K": "NATURE BOY"
"CUST_COLOR_CLOTHING_VIOLET-RED_5": "VIOLET RED 5"
"CUST_COLOR_CLOTHING_BROWNS_4": "BROWN 4"
"CUST_COMP_MUSTACHE_13": "BEARD OF PAYNE"
"COMPONENT_DECAL_6": "DECAL 6"
"CUST_VARIANT_3COLOR_THIN": "TRI-COLOR THIN"
"CUST_VARIANT_GRADIENT": "GRADIENT"
"CUST_SKIN_BLACK_03": "AFRICAN AMERICAN 3"
"PLAYER_MORPH_CHEEKBONES_DEPTH_TEXT": "CHEEKBONE DEPTH"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_9": "YELLOW ORANGE 9"
"CUST_TATTOO_FACE_3": "TIRBAL BLADE"
"PAINT_AND_TRIM": "PAINT AND TRIM"
"CUST_VARIANT_FRONT_STRIPES_SMALL": "SMALL FRONT STRIPES"
"CUST_WEAR_TATTOO_AZTEC_BUG": "AZTEC BUG"
"CUST_ITEM_CM_DLC_FOOT_M_PLATFORMS": "Z STYLE SHOES"
"CUST_ITEM_CF_RING_F_BIGHEART": "TRUE LOVE SET"
"CUST_EYESHADOW": "EYESHADOW"
"CUSTOM_WALK_13": "THUG STYLE 8"
"HAIR_SALON_HAIR_LENGTH": "HAIR LENGTH"
"CUST_COMP_FACE_MAKEUP_4": "MASK OF WAR"
"CUST_COLOR_BRIGHT_YELLOW": "BRIGHT YELLOW"
"CUST_VARIANT_21_DEFAULT": "VARIANT 21"
"CUST_SKIN_HISPANIC_04": "HISPANIC 4"
"PLAYER_CREATION_PRESET_ASIAN": "ASIAN"
"CUST_TATTOO_RHAND_4": "R I T E"
"LOGO_DART": "DART BOARD"
"CUST_ITEM_CF_DLC_HAND_F_BCGLOVE": "BLOODY CANONESS GLOVES"
"CUST_RONIN_COMPLIMENT_C": "RONIN COMPLIMENT 3"
"CUST_CAT_HAIR_COLOR_EYEBROWS": "EYEBROW COLOR"
"CUST_COMP_EYE_MAKEUP_10": "HARSH LINER"
"SLOT_BED_MODS": "BED MODS"
"CUST_VARIANT_SKIRTB": "STYLE 2"
"CUST_VARIANT_ZEBRA_1": "ZEBRA 1"
"CUST_ITEM_CM_FPIC_SETC": "DOUBLE PIERCED"
"PLAYER_MORPH_EYE_STYLE_TEXT": "EYE STYLE"
"FACIAL_EXPRESSION_SCARED": "SCARED"
"PLAYER_MORPH_CROWN_HEIGHT_TEXT": "CROWN HEIGHT"
"CUST_MENU_TOTAL_LIMIT_REACHED": "You have reached the maximum number of items allowed in your wardrobe."
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_2": "Target faster and hold more ammo."
"CUST_TATTOO_NECK_4": "ANTWERP SPECIAL"
"CUST_COMP_BODY_MASK_4": "FARMER TAN"
"VEHICLE_COLOR_TINT_30": "TINT 30%%"
"CUST_ITEM_IMPRESSIONS_FEMALE_O": "URBAN SAFARI OUTFIT"
"CUST_ITEM_CM_IMPE_LBDY_M_DRESSPANTS": "HIGH CLASS SLACKS"
"FACIAL_EXPRESSION_QUIZZICAL": "QUIZZICAL"
"PLAYER_MORPH_CHIN_TEXT": "CHIN"
"LOGO_PMS": "PI MU SIGMA"
"CUST_VARIANT_THIN": "THIN"
"CUST_ITEM_COWBOY_HAT_1": "WILD WEST HAT"
"RIM_SET_006": "RIM SET 6"
"COMPONENT_OPTION_4": "OPTION 4"
"COLOR_SLOT_RIM": "RIM"
"CUST_VARIANT_KNIT": "KNIT"
"CUST_ITEM_CM_CNC_UBDY_M_WHTLOGOA": "CROOKS & CASTLES T-SHIRT D"
"CUSTOM_WALK_7": "THUG STYLE 3"
"CUST_TATTOO_FACE_7": "TWIN SERPENTS"
"VEHICLE_COLOR_SILVER": "SILVER"
"CUST_SKIN_PURPLE_4": "PRINCESS PURPLE"
"CUSTOM_WALK_FEMALE_02": "DEFAULT FEMALE 2"
"CUSTOM_WALK_17": "THUG STYLE 12"
"CUST_COLOR_CLOTHING_VIOLET-RED_1": "VIOLET RED 1"
"CUST_COMP_MUSTACHE_17": "CHUCK"
"OPTION_37": "OPTION 37"
"COMPONENT_DECAL_2": "DECAL 2"
"CUST_VARIANT_SLEEVES": "PLAIN"
"PLAYER_MORPH_EYE_FOLDS_ELEVATION_TEXT": "EYE FOLDS HEIGHT"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_8": "YELLOW GREEN 8"
"CUST_COMP_EYES_DARK_BROWN": "DARK BROWN"
"LOGO_PHEASANT": "PHEASANT HUNTER"
"CUST_VARIANT_ULTOR2": "ULTOR 2"
"VEHICLE_PAINT_LICENSE_PLATES": "LICENSE PLATES"
"HAIR_COLOR_GREEN_MATTE": "GREEN MATTE"
"CUST_VARIANT_LARGE_STRIPES": "LARGE STRIPES"
"VEHICLE_COLOR_ATLANTIC_TEAL": "ATLANTIC TEAL"
"CUST_WEAR_TUCKED": "TUCKED"
"CUST_ITEM_IMPRESSIONS_FEMALE_K": "IMPRESSIONS FEMALE K"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOC": "CROOKS & CASTLES T-SHIRT C"
"CUST_MORPH_CAT_JAW": "JAW"
"CUST_COMP_EYE_MAKEUP_14": "SPHINX"
"SLOT_MIRRORS": "MIRRORS"
"HAIR_COLOR_YELLOW_MATTE": "YELLOW MATTE"
"CUST_WEAR_UNZIPPED_HOOD_DOWN": "UNZIPPED, HOOD DOWN"
"CUST_ITEM_CF_NLMF_FOOT_F_VICTORIANBOOTS": "STEAMPUNK VICTORIAN BOOTS"
"STORE_WEAPON_NAVIGATE": "NAVIGATE"
"SK03": "SKIN03"
"CUST_VARIANT_SMALL_FLOWERS": "SMALL FLOWERS"
"CUST_WEAR_BUTTONED_HOOD_DOWN": "BUTTONED, HOOD DOWN"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRTLOWV": "HILLS JACKET WITH T SHIRT"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO": "STRATAGEM COMBO"
"CUSTOM_WALK_3": "THUG STYLE 2"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_2": "Carry more missiles."
"CUST_TATTOO_LOWBACK_4": "CURVED, HIGH"
"CUST_COLOR_FLESH_4": "FLESH 4"
"CUST_WEAR_HALF OPEN": "HALF OPEN"
"CUST_ITEM_CM_UBDY_M_THEROW": "MEMBER OF THE ROW"
"CUST_ITEM_CM_HAIR_SHORT": "SLICK EXECUTIVE"
"CUST_ITEM_MINER_HAT": "MURDERBRAWL MASK"
"PLAYER_MORPH_FACE_DEPTH_TEXT": "FACE DEPTH"
"CUST_TATTOO_UPPBACK_6": "TWO SAINTLY DOVES"
"CUST_COMP_FACE_MOLE_8": "MOLE 8"
"CUST_VARIANT_TWO_COLOR": "TWO COLOR"
"CUST_VARIANT_LEATHERLEATHER": "PATENT LEATHER"
"CUST_COLOR_WHITE": "WHITE"
"CUST_ITEM_CM_PSJ_EYES_M_SHTRGLS": "STUNNA SHADES"
"CUST_ITEM_CF_PSE_UBDY_F_GFXJERSEYCOMBO": "WOMEN'S SPORTS JERSEY"
"PLAYER_MORPH_BROW_ELEVATION_TEXT": "BROW ELEVATION"
"CUST_COMP_EYE_MAKEUP_3": "RIGHT PATCH"
"RIM_188": "C-X 502"
"SLOT_DECAL_10": "DECAL 10"
"BRIGHT_GREEN": "BRIGHT GREEN"
"LOGO_NUMBER1": "NUMBER 1"
"LOGO_FEEDSUCK": "FEED DOGS SUCK"
"CUST_ITEM_CF_PSG_LWRST_F_SBAND": "SWEATBAND"
"HAIR_CAT_BALD": "BALD"
"VEHICLE_COLOR_JET_BLACK": "JET BLACK"
"CUST_VARIANT_CLEAR": "CLEAR"
"CUST_VARIANT_BAND": "BANDED"
"CUST_ITEM_CF_IMPO_LBDY_F_SHORTS": "URBAN SAFARI SHORTS"
"CUST_ITEM_CF_NLMD_LBDY_F_PANTS": "HIPSTER JEANS"
"SURGEON_CAT_MORPHS": "MORPHS"
"CUST_COLOR_CLOTHING_GREYS_1": "GREY 1"
"VEHICLE_COLOR_YELLOW_DARK_TINT": "YELLOW DARK TINT"
"CUST_WEAR_LOW_LEFT_ROLLED_RIGHT_ZIPPED": "LEFT ROLLED, LOW"
"CUST_WEAR_FINGER_LR": "LEFT RING FINGER"
"CUST_TATTOO_RIGHT_SHOULDER": "RIGHT SHOULDER"
"CUST_TATTOO_LCALF_3": "KEEP SWIMMING"
"LOGO_PEACE": "PEACE"
"CUST_VARIANT_WIDOWS_PEAK": "WIDOW'S PEAK"
"CUST_VARIANT_MATERIAL_9": "CUST_VARIANT_MATERIAL#9"
"CUST_ITEM_FEMALE_NLM_EARRINGS_1": "FLOWER POWER EARRINGS"
"PLAYER_CREATION_FIGURE_OVERWEIGHT": "OVERWEIGHT"
"PLAYER_MORPH_CROWN_LENGTH_TEXT": "CROWN LENGTH"
"CUST_INSULT_O": "THE COSPLAY"
"CUST_MORPH_CAT_CHIN": "CHIN"
"PLAYER_MORPH_CAUCASIAN_TEXT": "CAUCASIAN"
"STORE_WEAPON_OWNED_NOT_EQUIPPED": "{0} LEVEL {1}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_3": "Increase rate of fire and damage."
"RIM_STANDARD": "STANDARD"
"CUST_VARIANT_SMALL_3_STRIPES": "THIN STRIPES"
"CUSTOM_WALK_FEMALE_5": "LADY BOUNCE"
"CLOTHES_IMPRESS": "IMPRESSIONS"
"CUST_TATTOO_RHAND_8": "HAND_TATTOO_R8"
"CUST_TATTOO_CHEST_3": "ALL-PURPOSE MOLLUSK"
"PAINT_TRIM_AND_RIMS": "PAINT, TRIM AND RIMS"
"RIMS_AND_TRIM": "RIMS AND TRIM"
"CUST_ITEM_CM_LPE_PACK_M_MBACKPACK": "EMPIRE PACK"
"FACIAL_EXPRESSION_INSANE": "INSANE"
"CUST_COMP_FACE_MAKEUP_8": "LEOPARD PRINT"
"LOGO_BAT_1": "BAT 1"
"CUST_VARIANT_BELT": "PLAIN"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_5": "PETITE HOOPS"
"CUST_ITEM_CF_IMPQ_WRST_F_LATEXBRACE": "IMPRESSIVE LATEX BRACELET"
"CUST_COMPLIMENT_KING": "THE KING"
"CUST_MENU_MOVEMENT": "PERSONALITY"
"CANT_WEAR_BELTS": "BELTS CAN ONLY BE WORN WITH SPECIFIC PANTS"
"PLAYER_CREATION_MENU_4": "HAIR"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_5": "YELLOW ORANGE 5"
"CUST_TATTOO_LHAND_7": "HAND_TATTOO_L7"
"CUST_COLOR_INDIGO_3": "INDIGO 3"
"CUST_COLOR_PURPLE_2": "PURPLE 2"
"CUST_ITEM_TOILET": "TOILET"
"CUST_ITEM_LEATHER_LACE_FEMALE_S": "DARK MAIDEN"
"CUST_ITEM_CM_PSF_LBDY_M_BSHORTS": "FREE THROW SHORTS"
"PLAYER_MORPH_SATURATION_TEXT": "SATURATION"
"CUSTOMIZATION_TITLE": "PLAYER CUSTOMIZATION"
"CUST_COLOR_CLOTHING_VIOLET-RED_9": "VIOLET RED 9"
"CUST_COLOR_CLOTHING_BROWNS_8": "BROWN 8"
"VEHICLE_COLOR_BRETON_GREEN": "BRETON GREEN"
"LOGO_FUZZ": "FUZZ"
"CUST_VARIANT_CAMOUFLAGE": "CAMO"
"CUST_ITEM_CF_HAIR_CORNROWS_1": "CORN ROWS_SKIN_FIT"
"CUST_ITEM_CM_NLMA_HAT_M_SPHAT": "HONEST ABE HAT"
"CUST_SKIN_GOLD": "GOLD"
"CUST_COMP_MALE_EYEBROWS_5": "EVIL GENIUS"
"COMPONENT_OPTION_8": "OPTION 8"
"HAIR_COLOR_ORANGE_MATTE": "ORANGE MATTE"
"LOGO_RUSTY_S_NEEDLE_2": "RUSTY'S NEEDLE 2"
"CUST_WEAR_UNBUTTONED_HOOD_UP": "UNBUTTONED, HOOD UP"
"CUST_ITEM_CM_IMPE_HAT_M_PAN_FEDORA": "SOUTH BEACH FEDORA"
"CUST_ITEM_CF_LLK_FOOT_F_LATEXBOOTS": "HOT BOOTS"
"CUST_ITEM_CM_LPG_MASK_M_MASKAPE": "MONKEY BUSINESS"
"PLAYER_OLD_TEXT": "OLD"
"PLAYER_MORPH_CHIN_CREASE_TEXT": "CHIN CREASE"
"PLAYER_MORPH_BROW_HEIGHT_TEXT": "BROW HEIGHT"
"CUST_TATTOO_NECK_8": "BLACK SWAN"
"HAIR_COLOR_BLACK_MATTE": "BLACK MATTE"
"LOGO_NUMBER_13": "NUMBER 13"
"CUST_ITEM_CF_SUIT_CYPHERSUIT": "ULTOR ASSASSIN"
"CUST_ITEM_CF_NLMC_LBDY_M_SKIRTPANTS": "GOTH LYFE PANTS"
"CUST_ITEM_CM_HAIR_CAESAR": "THE ROMAN"
"CUST_FACIAL_EXP_BASHFUL": "BASHFUL"
"CUST_COLOR_CLOTHING_ORANGE_2": "ORANGE 2"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_UNZIPPED": "BOTH UNZIPPED, HIGH"
"CUST_ITEM_CF_DLC_WP_UBDY_F_UPPER": "WARRIOR PRINCESS UPPER"
"CUST_ITEM_CF_NLMH_PACK_F_CATBACKPACK": "BAD KITTY"
"PLAYER_MORPH_NOSTRIL_ELEVATION_TEXT": "NOSTRIL ELEVATION"
"PLAYER_MORPH_LOWER_LIP_SHAPE_TEXT": "LOWER LIP SHAPE"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_2": "Increase damage. Red dot sight improves fine-aim accuracy."
"VEHICLE_COLOR_RED_DARK_TINT": "RED DARK TINT"
"RIM_180": "SD DCY15"
"LOGO_NUMBER9": "NUMBER 9"
"LOGO_SAINTSBEER": "SAINTS BEER"
"CUST_VARIANT_HEARTS": "HEARTS"
"CUST_VOICE_ZOMBIE": "ZOMBIE"
"CUST_SEX_APPEAL": "SEX APPEAL"
"CUST_VARIANT_STRETCH_TOP": "STYLE 1"
"CUST_TATTOO_LEFT_LEG": "LEFT LEG"
"CUST_MENU_COLOR": "COLOR"
"PLAYER_CREATION_FIGURE_SLENDER": "SLENDER"
"PLAYER_MORPH_EAR_INSIDE_TEXT": "EAR INSIDE"
"CUST_TATTOO_RFORARM_1": "FIND A BALANCE"
"VEHICLE_COLOR_WILDLIFE_GREEN": "WILDLIFE GREEN"
"CUST_VARIANT_NAILS_B": "NAILS 2"
"CUST_ITEM_CM_SUIT_NORMALTESTSUIT": "NORMAL TEST SUIT"
"SLOT_SEATS": "SEATS"
"CUST_VARIANT_PATTERN2": "STYLE 2"
"CUST_ITEM_BLOWUPDOLL": "BLOWUP DOLL"
"CUST_ITEM_MALE_NLM_OUTFIT_C": "SLACKER CHIC"
"PLAYER_MORPH_NOSTRILS_ELEVATION_TEXT": "NOSTRIL ELEVATION"
"PLAYER_MORPH_CHIN_BULGE_TEXT": "CHIN BULGE"
"CUST_VARIANT_PATTERN_1": "STYLE 1"
"CUST_INSULT_G": "THE MARINE"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_SIZE_TEXT": "UPPER LIP MIDDLE SIZE"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_2": "Increase damage."
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_3": "Increase the size of your clips. "
"CUST_TATTOO_RCALF_4": "REMEMBER ME"
"CUST_TATTOO_LARM_3": "THE BROTHERHOOD"
"CUST_TATTOO_LUPPARM_1": "GOES THE DYNAMITE"
"CUST_COMP_FACE_FRECKLES": "FRECKLES"
"CUST_COMP_FEMALE_EYEBROWS_3": "PENCILED ON"
"COMPONENT_ADD_TIRE_DURABILITY": "TIRE DURABILITY"
"SLOT_FAIRINGS": "FAIRINGS"
"LOGO_RHOMBUS": "RHOMBUS"
"CUST_VARIANT_THICK_TRI_COLOR": "THICK TRI-COLOR"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR": "STRAPPED"
"CUST_CAT_RING": "RINGS"
"CUST_INSULT_JERK": "JERK OFF"
"CUST_COLOR_CLOTHING_GREYS_9": "GREY 9"
"BRIGHT_YELLOW-GREEN": "BRIGHT YELLOW-GREEN"
"CUST_VARIANT_CMSHO_UUTIBOOT01": "CANVAS"
"CUST_VARIANT_STRIPES_1": "STRIPES 1"
"CUST_VARIANT_BEADS": "BEADS"
"CUST_ITEM_CM_LLK_UBDY_M_BATHROBE": "THE BATH ROBE"
"CUST_UNDERWEAR": "UNDERWEAR"
"CUST_SKIN_ORC": "GREEN ORC"
"CUST_VARIANT_09_DEFAULT": "VARIANT 9"
"CUST_VARIANT_PLAID_1": "PLAID 1"
"CUST_VARIANT_MATERIAL_1": "CUST_VARIANT_MATERIAL#1"
"CUST_WEAR_FINGER_RI": "RIGHT INDEX FINGER"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHRTTIE": "HIGH CLASS"
"CUST_ITEM_FEMALE_PS_EARRINGS_1": "FLEUR DE SAINTS EARRINGS"
"CUST_COMPLIMENT_H": "HOUSE PARTY"
"CUST_ITEM_CF_LPH_UBDY_F_VARSITYCHEER": "VARSITY SPIRIT SHIRT"
"VEHICLE_COLOR_BAY_YELLOW": "BAY YELLOW"
"RIM_184": "V-F 603"
"CUST_VARIANT_MATERIAL_24": "CUST_VARIANT_MATERIAL#24"
"CUST_ITEM_CM_PSE_EYES_M_SHADES": "CAN'T TOUCH THIS GLASSES"
"CUST_ITEM_BIKER_HELMET": "THUG HAT"
"FACIAL_EXPRESSION_ROGUISH": "ROGUISH "
"FACIAL_EXPRESSION_FEARFUL": "FEARFUL"
"CUST_BRO_TAUNT_A": "BROTHERHOOD TAUNT 1"
"VEHICLE_COLOR_BELIZE_GREEN": "BELIZE GREEN"
"MALE_OVERWEIGHT": "MALE OVERWEIGHT"
"CUST_RACE_ASIAN": "ASIAN"
"CUST_ITEM_CF_IMPR_FOOT_F_HEELS": "VALLEY GIRL HEELS"
"CUST_ITEM_MALE_NLM_OUTFIT_G": "DEPRESSED INDIE KID"
"CUST_ITEM_CF_BOBINEYE": "BOB IN EYE"
"FACIAL_EXPRESSION_SNEER": "SNEERING"
"PLAYER_CREATION_FIGURE_BODYBUILDER": "BODYBUILDER"
"CUST_TATTOO_RFORARM_5": "THE PURPLE FAIRY"
"CUST_COMP_FACE_MOLE_4": "MOLE 4"
"CUST_VARIANT_MATTE": "MATTE"
"CUST_VARIANT_THE_FADE": "FADED"
"CUST_ITEM_CM_LPC_UBDY_M_HEROFALCON": "FALCONMAN"
"CUST_CAT_NECKLACE": "NECKLACE"
"CUST_SKIN_GREY_4": "STONE GOLEM GREY"
"PLAYER_MORPH_CHIN_DIMPLE_TEXT": "CHIN DIMPLE"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_2": "Increase clip size and damage. Red dot sight improves fine-aim accuracy."
"CUST_TATTOO_LARM_7": "NINJA WRAP"
"CUST_TATTOO_LUPPARM_5": "MINE FOREVER"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_3": "BRITE AND TITE THONG"
"CUST_ITEM_CM_PSC_LBDY_M_DICKIES": "WORK IT PANTS"
"SLOT_SIDE_SKIRT": "SIDE SKIRT"
"CUST_VARIANT_CHILD_RWRIST": "STYLE 2"
"CUST_VARIANT_LARGE_PLAID": "LARGE PLAID"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_ROLLED": "L. Unzipped, R. Rolled, Low"
"CUST_INSULT_C": "WESTBOUND AND UP"
"PLAYER_MORPH_NOSTRIL_THICKNESS_TEXT": "NOSTRIL THICKNESS"
"PLAYER_MORPH_CHEEKBONE_ELEVATION_TEXT": "CHEEKBONE ELEVATION"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_3": "Increase the size of your clips. Add a third barrel for even more damage."
"VEHICLE_PAINT_INTERIORS": "INTERIORS"
"COMPONENT_OPTION_11": "OPTION 11"
"SLOT_DECAL": "DECAL"
"CUST_COLOR_GREEN_1": "GREEN 1"
"LOGO_FISH": "FISH"
"CUST_VARIANT_BONES": "VOODOO"
"CUST_VARIANT_MATERIAL_5": "CUST_VARIANT_MATERIAL#5"
"CUST_ITEM_CF_DLC_SUIT_F_BCAN": "BLOODY CANONESS SUIT"
"CUST_ITEM_CF_RING_F_ROCKERSET": "HEAVY METAL RINGS"
"CUST_ITEM_CM_NLMG_LBDY_M_LOOSEPANTS": "OG PANTS"
"CUST_COMPLIMENT_L": "I STILL BELIEVE"
"PLAYER_MORPH_CHEEK_CREASE_TEXT": "CHEEK CREASE"
"CUST_VARIANT_01_DEFAULT": "VARIANT 1"
"CUST_ITEM_CF_LLJ_FOOT_F_BIKERBOOTS": "OLD LADY BIKER BOOTS"
"CUST_CAT_MAKEUP_FOREHEAD": "FOREHEAD"
"SLOT_LIGHT_COVERS": "LIGHT COVERS"
"CUST_ITEM_CF_LLJ_UBDY_F_LTHRJCKT": "BIKER BABE JACKET"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_1": "DIAMOND STUDS"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_4": "YELLOW GREEN 4"
"CUST_TATTOO_CHEST_7": "HAPPY RAINBOW"
"LEVEL_2": "LEVEL 2"
"CUST_VARIANT_BABYT_OG": "OG"
"CUST_ITEM_MALE_GATSUIT": "JOHNNY GAT MASCOT"
"CUST_ITEM_CM_NLMC_LWRST_M_WRISTBANDS": "LOVE2RAVE BEADZ"
"CUST_ITEM_FEMALE_LL_EARRINGS_2": "TRU LOVE STUDS"
"CUST_ITEM_CM_LPH_UBDY_M_PIRATESHIRT": "SWASHBUCKLER"
"PLAYER_MORPH_FACE_WIDTH_TEXT": "FACE WIDTH"
"CUST_COMP_EYES_BLUE": "BLUE"
"SLOT_INTERIOR": "INTERIORS"
"PAINT_4": "PAINT 4"
"CUST_ITEM_CF_NLMH_RWRST_F_WRISTBANDS": "PARTY TIME BRACELETS"
"CUST_VOICE_FEMALE_BLACK": "FEMALE 2"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_1": "YELLOW ORANGE 1"
"CUST_TATTOO_LHAND_3": "HATE FURNACE"
"VEHICLE_COLOR_FROSTED_BLUE": "FROSTED BLUE"
"PLAYER_MORPH_GLOBAL_FACE_TEXT": "FACE GLOBAL"
"PLAYER_MORPH_BOTTOM_LIP_EDGES_SIZE_TEXT": "BOTTOM LIP EDGES SIZE"
"CLOTHES_RAG": "ON THE RAG"
"CUST_TATTOO_LOWBACK_8": "CURVED, LOW"
"SLOT_TRUNK": "TRUNKS"
"CUST_VARIANT_CHILD_HEMP": "STYLE 1"
"CUST_VARIANT_WITH_DECALS": "DECALS"
"CUST_ITEM_CF_HAIR_LONGHIPONYBANGS": "CHEERLEADER"
"CUST_CAT_FACE": "FACE"
"CLOTHES_INSUFFICIENT_FUNDS_TEXT": "You do not have enough money\nto purchase \"%s\"."
"CUST_COMP_MALE_EYEBROWS_1": "THICK MASCULINE"
"COMPONENT_EXTRA_HIGH_PROFILE": "EXTRA HIGH PROFILE"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS": "TUCKED, BUTTONED"
"CUST_ITEM_CF_DLC_EYES_F_BCAN": "BLOODY CANONESS SHADES"
"CUST_SKIN_GREEN_4": "CLOVER SHAKE"
"CUST_MOVEMENT_FACE": "FACIAL EXPRESSION"
"CUST_RONIN_TAUNT_A": "RONIN TAUNT 1"
"PLAYER_MORPH_CHEEKBONES_SIZE_TEXT": "CHEEKBONE SIZE"
"CUST_COLOR_CLOTHING_ORANGE_6": "ORANGE 6"
"CUST_COMP_EYE_MAKEUP_18": "GOTH NIGHT"
"CUST_VARIANT_MIXED": "MIXED"
"CUST_ITEM_CF_RING_F_STUDRING": "DIAMOND IN THE ROUGH"
"CUST_ITEM_CF_NLMF_LBDY_F_SKIRTHOLSTER": "STEAMPUNK CHIC"
"CUST_COMP_TEST_CHEEK_MAKEUP": "ALL DOLLED UP"
"CUST_ITEM_CM_PSI_WRST_M_WATCH": "SAINTS LUXURY WATCH"
"CUST_ITEM_CF_PSE_LBDY_F_SHORTSHORTS": "TIGHT SHORTS"
"CUST_ITEM_LPA_M_SPACE_HELMET": "INTERGALACTIC HELMET"
"PLAYER_MORPH_UPPER_EYELIDS_PITCH_TEXT": "UPPER EYELID HEIGHT"
"CUST_COLOR_CLOTHING_BLUES_7": "BLUE 7"
"CUST_COLOR_CLOTHING_RED-ORANGE_1": "RED ORANGE 1"
"VEHICLE_COLOR_STAINLESS_STEEL": "STAINLESS STEEL"
"CUST_VARIANT_TRACK_B": "STYLE 3"
"CUST_VARIANT_MATERIAL_4GVSDF": "CUST_VARIANT_MATERIAL#4GVSDF"
"CUST_ITEM_LEATHER_LACE_MALE_N": "DISCO FEVER"
"PLAYER_MORPH_EARS_ELEVATION_TEXT": "EAR ELEVATION"
"SLOT_DECAL_7": "DECAL 7"
"LOGO_BOOT": "BOOT"
"CUST_ITEM_CM_IMPN_FOOT_M_LEATHERSHOES": "URBAN LOAFERS"
"PLAYER_MORPH_DOUBLE_CHIN_HEIGHT_TEXT": "DOUBLE CHIN HEIGHT"
"HAIR_COLOR_BLUE": "BLUE"
"PLAYER_MORPH_CHEEKS_ELEVATION_TEXT": "CHEEK HEIGHT"
"VEHICLE_COLOR_BLACK": "BLACK"
"SLOT_GAS_TANKS": "GAS TANKS"
"CUST_COLOR_CLOTHING_GREENS_6": "GREEN 6"
"CUST_TATTOO_STOMACH_8": "FLEUR D'ART"
"CUST_COMP_FACE_SCAR_2": "LARGE SCAR 2"
"COLOR_SLOT_WINDOW_NET": "WINDOW NET"
"SLOT_BODY_COLOR": "BODY COLOR"
"LOGO_UNIVERSITY_1": "STILWATER U 1"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2C": "URBAN SAFARI WITH STRAIGHT NECK"
"VEHICLE_COLOR_DEEP_GRAY": "DEEP GRAY"
"CUST_VARIANT_SHIRT_B": "STYLE 2"
"CUST_VARIANT_SANDAL": "SANDAL"
