"HITMAN_TARGET_33_SHORT_DESC": "非協力的なサプリ製造組織"
"DIVERSION_HITMAN_SEARCH": "協力者の指示に従い、ターゲットをおびき出せ"
"DIVERSION_WHORING_START_MESSAGE": "デバージョン｢マッサージ｣を開始"
"DIVERSION_DRIVER_BAILOUT_TITLE": "ドライバー脱出"
"DIVERSION_CHOP_SHOP_TITLE": "ヤミ改造工場"
"CHOPSHOP_SHORT_5_5": "ECHOターゲット情報：CHALLENGER"
"CHOPSHOP_LONG_4_6": "埠頭に飛行機を着陸させてくれなんてオレだって本当は頼みたくないが、どこかのアホがとあるWOODPECKERに密輸品を積み込みやがった。そのブツはオレたちのものだ。WESLY CUTTER INTERNATIONALlの滑走路から奪い返してくれ"
"HITMAN_TARGET_44_DESCRIPTION": "聞いてちょうだい！ドクター・ワンが整形手術をしくじったせいでずっと笑ってるみたいなヒドい顔にされてしまったの！！[format][color:em]DOWNTOWNにある彼のオフィスへ行って、あなたの顔を整形手術してほしいと依頼[/format]するのよ。当然、あなたが彼の最後の客になるようにしてちょうだい"
"DIVERSION_CHALLENGES_MULTI_KILLS": "マルチキル"
"DIVERSION_COOP_DEATH_TAG_TITLE": "デスタグ"
"DIVERSION_DRIVEBY_DIVERSION_GOLD_LEVEL_REWARD_NAME": "[format][color:gold]ゴールド[/format]"
"HITMAN_TARGET_73_DESCRIPTION": "高級商品バイヤーのユリシーズはシンジケートの金ヅルだけど、ヘリや飛行機の熱烈な愛好家としても知られているの。[format][color:em]ヤツのビルの周りを飛行機やヘリで飛べ[/format]ばかならず見物しに出てくるはずよ。そこを仕留めて"
"HITMAN_TARGET_52_SHORT_DESC": "営業妨害"
"CHOPSHOP_SHORT_4_3": "OPPRESSORを根絶せよ"
"DIVERSION_COOP_SUCCESS_HOST_TIE": "引き分け。{PICKUP_RELOAD_IMG}で次のラウンドへ延長するか{ACTION_IMG}で終了する"
"DIVERSION_COOP_SURVIVAL_TRIGGER_USE_MESSAGE": "協力サバイバルを開始"
"DIVERSION_HOSTAGES_RETURNED": "身代金を受け取った"
"DIVERSION_HOSTAGE_RETURN_HIM": "引渡し場所に人質を連れて行け"
"DIVERSION_DRIVEBY_DIVERSION_BODY_COUNT_STRING": "被害者数："
"HITMAN_CALL_DISPLAY_2B": "緊急対応チーム"
"CHOPSHOP_LONG_3_6": "最近はガソリンが高くて、正規の値段じゃやってられねえ。PETERLINERを調達すればヤミ市場からたっぷりと燃料をゲットできるぜ。 ESPINAへ行けば見つかるはずだ"
"CHOPSHOP_SHORT_2_5": "KANEDAを盗んでくれる？"
"TUT_DIV_HITMAN_GPS": "暗殺契約を結んだ。現在進行中のミッションまたはアクティビティを完了するとGPSが有効になる"
"DIVERSION_CHALLENGES_CARS_JACKED_D": "単刀直入に言うわ。「治安密着24時」では犯罪シーンの映像が必要なの。そこであなたの出番なのよ。"
"DIVERSION_WINDSHIELD_CANNON_MAX_DISTANCE_FEET": "自己記録！距離：%.1fフィート"
"DIVERSION_NEAR_MISS": "ニアミス"
"DIVERSION_HOSTAGE_KIDNAPPED": "人質を取った"
"DIVERSION_EXPLORATION_TITLE": "探索"
"DIVERSION_BEST_JUMP_DISTANCE_FEET": "ジャンプ距離記録：%.0fフィート！"
"HITMAN_LOC_H1_3": "AIRPORT"
"HITMAN_TARGET_H1_3": "ホイットニー"
"DIVERSION_CHALLENGES_MULTI_KILLS_D": "スティールポートで生き残るには冴えてないといけない。そのためには負傷者を一気に始末するのが一番確実な方法だ"
"DIVERSION_CHALLENGES_DO_NUTSHOTS_D": "ジョニーはヘッドショットがお気に入りだったけど、まずは激痛を味あわせるのもいいわよね"
"DIVERSION_STUNT_JUMPING_STATS_FLIP": "フリップ%.0f{temp_degrees}"
"DIVERSION_HOSTAGES_SPEED_EXPLAIN": "スピードを落とすと人質が逃げ出すぞ"
"DIVERSION_HOSTAGE_NAME": "人質"
"CHOPSHOP_SHORT_3_3": "SANDSTORMに飛びつけ"
"DIVERSION_CHALLENGES_LAW_NOTORIETY": "高悪評度：警察"
"DIVERSION_CHALLENGES_DESTROY_DECKER_VEHICLES": "デッカーの車両を破壊しろ"
"DIVERSION_YOU_DIED": "死んでしまった"
"DIVERSION_WHEELIE": "ウィリー"
"DIVERSION_COMBAT_TRICKS_MP_NOTORIETY_KILL": "悪評度%dキル"
"DIVERSION_CHOP_SHOP_RETURN": "ヤミ改造工場に引き渡せ"
"HITMAN_TARGET_72_DESCRIPTION": "STAGのコマンドーにシュタイナー軍曹ってのがいるんだが、殺人マシーンみてえな野郎でうちのヤツらも手が出せないでいる。そのシュタイナーが、お前と対決したいそうだ調子に乗りやがって...あの[format][color:em]バカデカい記念碑[/format]のところへ行って[format][color:em]この番号に電話[/format]をかけろと言ってきやがった最強装備で行けよ。バカに目に物見せてやれ"
"HITMAN_TARGET_42_SHORT_DESC": "ちょっと聞いてくれ..."
"DIVERSION_DRIVEBY_DIVERSION_DRIVE_BY_GANG_MEMBERS_STRING": "敵の[format][color:teal]ギャングメンバー[/format]を始末しろ"
"HITMAN_CALL_TEXT_2B": "該当地区の緊急対応チームが急行します。その場で待機してください"
"DIVERSION_CHALLENGES_STOPPIE_DISTANCE_D": "ウィリーは初心者にだってできる。だがストッピーは...まったくレベルが違うよ。スティールポートのバイク王となるのにふさわしい実力を見せてくれ"
"DIVERSION_WHORING_TITLE": "マッサージ"
"DIVERSION_FLASHING_LEVEL_COMPLETE_MESSAGE": "「フラッシング」のレベル%dクリア！\n%dのリスペクトを獲得"
"CHOPSHOP_SHORT_3_6": "PETERLINERでガソリンビジネス"
"CHOPSHOP_LONG_2_5": "状態の良いKANEDAは、アンダーグラウンドのバイクレースサーキットで高値で取引されてるわ。もし捕まえられればしめたもんよ。BRIDGEPORTで探してみて"
"TUT_DIV_INTRO_CHOP_SHOP": "指定の車種を探せ。\n特別な車両はGPSに表示されることもある。それ以外の車両は同モデルなら問題ない"
"HITMAN_LOC_4_3": "BURNS HILL"
"HITMAN_TARGET_2_3": "アルモンゾ"
"DIVERSION_STREAKING_START_HELP_MESSAGE": "もう一度%lsでストリーキングを開始"
"ACT_HITMAN_START CAR AND GUN_MSG": "客から%sで走行中の車から狙撃するようにとのリクエストだ"
"DIVERSION_CHALLENGES_ONCOMING_LANE_D": "無謀運転ほど、「治安密着24時」の視聴率を上げてくれるものはないわ。ねえ、しばらくの間ドライブしてみない？"
"DIVERSION_COMBAT_TRICKS_ONE_HIT_KILL": "一撃必殺"
"CHOPSHOP_LONG_3_3": "エクストリームスーパークロスに夢中になってる連中のあいだじゃSANDSTORMが大人気だ。つまり盗難が多いモデルなんだな。お前にも1つ盗ってもらうぜ。BURNS HILLのあたりを探してみてくれ"
"DIVERSION_CHALLENGES_WHEELIE_DISTANCE_D": "なかなかのテクニックだがオレ様ほどの技は誰もマスターしてないぜ！あんただってオレの足元にも及ばないのに賭ける！"
"DIVERSION_COOP_DEATH_TAG_START_MESSAGE": "デスタグ中は、{ATTACK_SECONDARY_IMG}を長押して復活"
"PAUSE_ACT_HITMAN_SELECT_TARGET": "ターゲットを確認"
"HITMAN_TARGET_KILLED_BY_RIVAL": "ライバルのヒットマンがターゲットを始末した！"
"DIVERSION_WINDSHIELD_CANNON_MAX_DISTANCE": "フロントガラス砲記録"
"DIVERSION_DRIFTING": "ドリフト"
"CHOPSHOP_LONG_5_5": "そうCHALLENGERだ。戦車を盗むのは容易ではない。だからこれだけの報酬を用意した。武器倉庫を探してみろ。抵抗も激しいものになるだろうから、油断は禁物だ"
"CHOPSHOP_SHORT_4_6": "AIRPORTよりWOODPECKERを回収せよ"
"HITMAN_LOC_3_3": "AIRPORT"
"HITMAN_TARGET_5_3": "ミスター・ディックソン"
"DIVERSION_CHALLENGES_LUCHADORE_SPECIALISTS_D": "ルチャドールのリングリーダーどもは相当汚い手を使うぞ。街角から追い出さなくちゃならないもっともな理由だ"
"DIVERSION_CHALLENGES_WINDSHIELD_CANNON_D": "「人間の弾道における裂傷の特徴」っていう会議用の書類を作ってるんだけどデータが足りないんだ！助けてくれないか？"
"DIVERSION_SURVIVAL_COMPLETE_TEXT": "デバージョン「サバイバル」クリア！"
"ACT_HOLDUP_START_MSG_3": "金庫まで店員について行け"
"DIVERSION_HOSTAGE_RANSOM_TEXT": "身代金：[format][color:orange]%s[/format]"
"DIVERSION_DRIVEBY_DIVERSION_FAILED_TO_KILL_STRING": "[format][color:red]ギャングメンバー[/format]を始末できなかった"
"CHOPSHOP_LONG_4_3": "OPPRESSORは警察が好んで使うヘリだ。オレたちみたいな善良な犯罪者を長い間悩ませ続けている。でもアレはいつも警官満載で飛んでくるだろ？だからまとめてブッ潰せば... 後は言わなくてもわかるな？SUNSET PARKの古いパワープラントの近くでいつも待機してるはずだ"
"DIVERSION_CHALLENGES_SMART_CAR_KILLS_D": "こういう小型車両の訳のわからない不便さが俺みたいなサイズの体の持ち主をいらつかせるんだ。違うのを運転するよう仕向けてやらないか？"
"DIVERSION_CHALLENGES_DESTROY_BOATS_D": "少し壊れた船への需要が高まっている。船を破壊してくれれば、お礼はするぞ。「少し」の部分をオーバーに言いすぎかもしれんが..."
"DIVERSION_SURVIVAL_CAMERAMAN_OUT_OF_RANGE_TEXT": "撮影ができるようカメラマンにもっと近づけ"
"TUT_DIV_INTRO_BARNSTORMING": "飛行機で変わった場所や難易度の高いスポットを通り、リスペクトを獲得しろ。ナイフエッジ飛行や反転飛行も組み合わせればボーナスを獲得できる"
"ACT_HITMAN_COMP NOTORIETY_MSG": "ギャラを受け取る前に警察をまけ   "
"TUT_DIV_INTRO_SURVIVAL": "サバイバルコールへの応答は強制ではない。無視していればすぐに鳴り止む。だが仲間を助けたいのであればGPSで目的地を設定して現場に急行しろ！"
"DIVERSION_SURVIVAL_WAVE_TAG": "ウェーブ："
"DIVERSION_MUGGING_TITLE": "路上強盗"
"HITMAN_LOC_H2_1": "ASHWOOD"
"HITMAN_TARGET_H2_1": "マイケル"
"DIVERSION_CHALLENGES_MORNINGSTAR_NOTORIETY": "高悪評度：モーニングスター"
"TUT_TITLE_DIV_INTRO_COOP_DEATH_TAG": "[format][color:yellow]協力プレイ デスタグ[/format]"
"DIVERSION_WHORING_LEVEL": "レベル"
"DIVERSION_DRIVEBY_TITLE": "ドライブバイ"
"DIVERSION_COMBAT_TRICKS_HEAD_SHOT_KILL": "ヘッドショット"
"DIVERSION_BARNSTORMING_DONT_CRASH": "アクロバットスポットを見つけた！激突しないように飛行してリスペクトを獲得しろ"
"HITMAN_LOC_6_2": "CAMANO PLACE"
"HITMAN_TARGET_62_DESCRIPTION": "やあ、いつもオレの信頼に応えてくれて助かるよ。今回の依頼はその報酬だと思ってくれ。もうすぐモーニングスターが多額の現金を輸送する。[format][color:em]CAMANO PLACE埠頭[/format]付近で、運び屋のグリゴールを探してしっかり報酬を奪ってくれ"
"DIVERSION_EXPLORATION_JUMP_COMPLETE": "すべてのジャンプを見つけた！見事だ！"
"DIVERSION_COMBAT_TRICKS_TANK_KILL": "タンクキル"
"DIVERSION_STORE_HOLDUP_COMPLETE_TEXT": "クリア！"
"HITMAN_TARGET_H11_DESCRIPTION": "ルチャドールは、ステロイドの輸入事業でかなり儲けているようだ。どうも「商品」は港に毎週入荷し、それをある男がルチャドールに届けているらしい。\nそいつは[format][color:em]SUNSET PARK[/format]の近くの港でブツを受け渡そうとしているようだ。[format][color:em]ルチャドールの車[/format]で乗り付けて連中の金脈を潰してやれ"
"HITMAN_TARGET_51_SHORT_DESC": "タブロイド誌の記者"
"DIVERSION_COOP_HOST_QUIT": "{MENU_ABORT_IMG}協力プレイのデバージョンを終了する"
"DIVERSION_COMBAT_TRICKS_GANG_VEHICLE_KILL": "ギャングの車両"
"CHOPSHOP_LONG_1_2": "ディーター様は芸術のパトロンなんだ。今回 AUTO HAUSは、グラムトラッシュ系の現代美術作品のスポンサーになった。素材に使うのは、街で流行してるこの下品な車さ。一般人がよく乗り回してるから、BRICKSTONへ行けば見つかるはずだぜ"
"HITMAN_TARGET_1_4": "ディーリー巡査"
"DIVERSION_CHALLENGES_POWERSLIDE_TIME_D": "タイヤがあげる悲鳴がたまんねえよな！イカしたドリフトを見せてくれたらオレ様のリスペクトも勝ち取れるかもしれねえぜ！"
"DIVERSION_HOLDUP_SHIELD_HOLD_CLERK": "店員を拘束したままキャッシュを奪え"
"HITMAN_SUCCESS": "%lsを始末した"
"DIVERSION_DRIVEBY_VEHICLE_HEALTH_WARNING": "車両の損傷が激しい。新しい車両を調達しろ"
"DIVERSION_CHOP_SHOP_NAME_2": "CHOP SHOP BY DAE"
"HITMAN_LOC_1_2": "SALANDER"
"HITMAN_TARGET_63_DESCRIPTION": "「スカイアイニュース」のオリバーがうちの視聴者をかっさらおうとしてるの。ヘリの墜落事故をウチが独占中継できれば視聴者を奪い返せると思うんだけど、何とかならないかしら？そうそうヤツはこの時間 [format][color:em]BRICKSTON[/format]上空で交通情報の中継をしているはずよ。[format][color:em]飛行機かヘリを調達[/format]して「あいさつ」に行くには、ちょうどいいかもね..."
"HITMAN_TARGET_14_SHORT_DESC": "石アタマを始末しろ"
"HITMAN_TARGET_7_2": "シュタイナー軍曹"
"DIVERSION_CHALLENGES_KILL_BRUTES": "ブルートを始末しろ"
"DIVERSION_STUNT_JUMPING": "ビッグエア"
"CAT_MOUSE_QUIT_DIVERSION": "協力プレイのデバージョンを終了"
"HITMAN_CALL_TEXT_5A": "スミスジョーンズはただいま外出中ですが？本当に有力な情報なら、お目にかかるよう手配します"
"DIVERSION_CHALLENGES_DECKER_SPECIALISTS": "倒したデッカースペシャリスト"
"DIVERSION_CHALLENGES_GANG_TAUNTS": "挑発したギャングメンバー"
"HITMAN_SUCCESS_SUBTITLE": "ターゲットを始末した"
"DIVERSION_STREAKING_LEVEL_COMPLETE_CASH": "ストリーキングレベル%dクリア！\n%.0fドルを獲得"
"DIVERSION_DRIVER_BAILOUT_MAX_DAMAGE_DONE": "脱出ダメージ記録"
"DIVERSION_DRIVEBY_DIVERSION_COMPLETE_MESSAGE_PARAMETERIZED": "始末したギャングメンバー 合計 %i／%i、合計 [format][color:green]%iドル[/format]獲得、レベル%s"
"HITMAN_CALL_DISPLAY_5D": "ケーブル工事派遣オフィス"
"HITMAN_TARGET_6_4": "ダニー"
"DIVERSION_SURVIVAL_COMPLETED": "クリア！"
"DIVERSION_DRIVEBY_DIVERSION_BRONZE_LEVEL_REWARD_NAME": "[format][color:bronze]ブロンズ[/format]"
"DIVERSION_COMBAT_TRICKS_THROWING_BEST": "最長スロー"
"HITMAN_TARGET_54_DESCRIPTION": "ジムとかいうケーブル屋に、まんまとだまされちまった！一生タダでケーブルテレビが見放題だっていうから金を払ったのに、野郎はトンヅラしてオレのテレビは国営放送しか映らねえ。\n[format][color:em]本部から電話をかけて、ウソの予約を入れれば[/format]おびき出せる。必ず始末してくれよ"
"HITMAN_TARGET_41_SHORT_DESC": "はぐれブルートを始末しろ"
"DIVERSION_CHALLENGES_HUMAN_SHIELDS": "利用したヒューマンシールド"
"PHOTO_OP_COLLECTED": "スナップショット"
"DIVERSION_COOP_CAT_AND_MOUSE_START_MESSAGE": "{ATTACK_PRIMARY_IMG}を長押しすると、キャット＆マウスを開始します"
"DIVERSION_ONCOMING_BEST_FEET": "逆走記録：%.0fフィート！"
"DIVERSION_CHOP_RETURNED_CAR": "%d／%d台の車を届けた：%ls のリスト"
"HITMAN_CALL_DISPLAY_5A": "編集室デスク"
"DIVERSION_CHALLENGES_UNITS": "{0}／{1}{2:text_tag_crc}"
"HITMAN_TARGET_6_1": "ミスター・ヘス"
"DIVERSION_CHALLENGES_KILL_BRUTES_D": "偽者の兄弟に思い入れがあるかって？無い無い、あるわけが無い。できるだけ多く始末してくれるとありがたいな"
"DIVERSION_SURVIVAL_TIMER_TAG": "時間："
"DIVERSION_ONCOMING_BEST": "逆走記録"
"DIVERSION_CHOP_SHOP_PARTNER_TOOK_CONTRACT": "パートナーがヤミ改造工場契約を受領した。この車両を入手しろ！"
"DIVERSION_BURNOUT_RECORD_TIME": "バーンアウト時間記録"
"ACT_HITMAN_START BONUS_MSG": "リクエストどおりに始末するとボーナスが出る"
"HITMAN_CALL_TEXT_5D": "ケーブル会社勤務のジムは、ギャングの仕事も引き受けます。さっそくお客様のところへ向かわせましょう"
"HITMAN_TARGET_H23_SHORT_DESC": "モグラを駆除しろ"
"DIVERSION_CHALLENGES_NEAR_MISSES_GROUND_D": "人が「治安密着24時」で見たいのは社会派ドラマなんかじゃないの。見たいのは危険にさらされる市民よ。車を使ってみてもいいわね"
"DIVERSION_NEAR_MISS_BEST": "連続ニアミス記録"
"DIVERSION_HOSTAGES_SPEED_WARN": "人質が逃げないようにスピードを上げろ"
"HITMAN_TARGET_13_SHORT_DESC": "都会のモラル上等"
"DIVERSION_CHALLENGES_GET_SMOKED": "やられちまった回数"
"DIVERSION_SURVIVAL_DEATH_TEXT": "死んでしまった"
"DIVERSION_FLASHING_START_HELP_TEXT": "もう一度%lsで「フラッシング」を開始"
"TUT_TITLE_DIVERSION_RESPECT_CAP": "デバージョンで獲得できるリスペクト"
"TUT_TITLE_HITMAN": "ヒットマン"
"HITMAN_LOC_7_1": "LOREN SQUARE"
"HITMAN_TARGET_1_1": "ゴーシン警部補"
"DIVERSION_CHALLENGES_HUMAN_SHIELDS_D": "WELLMAKE LABSにとってビビってる市民は全員見込み客なんだ。「カタトネックス」の売上が増大するからな。その利益をパートナーに還元するってことさ"
"DIVERSION_CHALLENGES_STORES_HELD_UP_D": "基本に戻るに越したことはないよな？何軒か店を襲えば、頭も冴えるし小遣いも手に入るぜ"
"HITMAN_VIEW_LIST": "ヒットマンのターゲットリストを確認"
"DIVERSION_HOSTAGE_RETURNED": "身代金受取り完了"
"DIVERSION_DRIVER_BAILOUT_MAX_DISTANCE": "脱出距離記録"
"DIVERSION_BEST_JUMP_FALL_FEET": "落下距離記録：%.0fフィート！"
"HITMAN_LOC_H3_2": "CAMANO PLACE"
"HITMAN_TARGET_H3_2": "クロヴィス"
"DIVERSION_CHALLENGES_SMART_CAR_KILLS": "破壊したEMUS"
"DIVERSION_COMBAT_TRICKS_THROWN_KILL_FORMAT": "投げた距離：%.1fメートル"
"DIVERSION_BEST_JUMP_FLIP": "ビッグエアフリップ記録"
"CHOPSHOP_SHORT_1_2": "芸術家ディーター様にEMUを！"
"DIVERSION_CHALLENGES_VEHICLE_MODDING": "車両改造費用"
"DIVERSION_CHALLENGES_DECKER_NOTORIETY": "高悪評度：デッカー"
"DIVERSION_STREAKING_HELP_TEXT_MESSAGE": "できるだけ多くの人の近くでストリーキングを実行しろ！"
"DIVERSION_DRIVEBY_DIVERSION_GET_TO_VEHICLE_MESSAGE": "%d秒以内に車両に戻れ"
"DIVERSION_CHOP_COLLECTION_SUBTITLE": "%lsを回収した！"
"DIVERSION_CHOP_SHOP_FAILED": "ターゲット車両が破壊された！"
"DIVERSION_BARNSTORMING_INVERTED": "反転飛行"
"HITMAN_TARGET_11_DESCRIPTION": "スティールポート市警に潜むシンジケートの協力者は[format][color:em]スティールポート北東部、NEW COLVIN[/format]にいるゴーシン警部補だ。[format][color:em]NEW COLVINへ行ってちょっと騒いでやれば[/format]向こうから寄ってくるだろう。そこを狙い撃ちすれば、一丁上がりだ"
"HITMAN_TARGET_H33_SHORT_DESC": "大物を仕留めろ"
"DIVERSION_CHALLENGES_KILL_LUCHADORES": "ルチャドールを始末しろ"
"TUT_DIV_INTRO_COOP_DEATH_TAG": "参加者は2人、勝者は1人\n倒される前にパートナーを倒せ。武器はラウンド毎に変更される。すべての武器を試してみろ"
"HITMAN_TARGET_H31_SHORT_DESC": "仁義なきスカウトに制裁を"
"DIVERSION_EXPLORATION_EXPLORED": "探索済み"
"HITMAN_LOC_1_3": "ASHWOOD"
"HITMAN_TARGET_H23_DESCRIPTION": "スパイを特定したわ！ルーカスってやつがデッカーに情報を漏らしてたの。見た目をそれっぽくすれば確実に近づけるわ。だからアナタのクローゼットに[format][color:em]デッカーっぽい服[/format]を用意しといたわ。[format][color:em]それを着て発電所に近づいて。[/format]セインツを何人か始末することになるだろうけど、ルーカスは必ず仕留めて"
"HITMAN_TARGET_54_SHORT_DESC": "ケーブル契約解約希望"
"HITMAN_TARGET_7_3": "ユリシーズ"
"DIVERSION_CHALLENGES_STAG_COMMANDO_KILLS": "倒したSTAGコマンドー"
"DIVERSION_CHALLENGES_DESTROY_CARS_D": "SLOAN'S SCRAPYARDではクズ鉄を高値で引き取るぞ。壊れた車がいいな、見つけてきてくれるか？"
"ACT_HITMAN_FIRST KILL BONUS_MSG": "よくやった"
"ACT_HITMAN_COMPLETE_MSG": "戻ってギャラを受け取れ"
"DIVERSION_CHALLENGES_PARACHUTE_LANDINGS": "成功させたパラシュート降下"
"TUT_DIV_HITMAN_STARTED": "ターゲットをおびき出した。始末して報酬を手に入れろ。ただし、ターゲットが囮だったりライバルのヒットマンが手柄を横取りすることもある。十分注意しろ！"
"HITMAN_TARGET_51_DESCRIPTION": "タブロイド記者のバーニー・スミスジョーンズは知ってるな？ヤツの記事、読んだか？今のところ中傷の標的はオレだが次はお前ってウワサだ。攻撃は最大の防御って言うだろ？こっちから呼び出して「タレコミ」してやれ。[format][color:em]ヤツに電話して、どこかへ呼び出せば[/format]出てくるはずだ。オレの名前は伏せてくれよ"
"HITMAN_TARGET_11_SHORT_DESC": "不正警官"
"DIVERSION_CHALLENGES_MILES_DRIVEN_D": "オレみたいな伝説のストリートレーサーになるには街の道という道を熟知する必要がある。とにかく自分で走ってみるんだ"
"DIVERSION_CHALLENGES_POWERSLIDE_TIME": "ドリフト時間"
"DIVERSION_VEHICLE_SURFING_STYLE_TWO_TITLE_TEXT": "カーサーフィン"
"DIVERSION_DRIVEBY_DIVERSION_PARAMETERIZED_REWARD_STRING": "被害者数： %I／ %I、[format][color:green] %Iドル[/format]と%lsレベルを獲得した"
"CHOPSHOP_LONG_1_3": "ディーター様は今夜、豪華なパーティーに招待されてるんだ。1億ドル規模の取引を成立させたり、スーパーモデルを何人もはべらせたりするにはSTATUS QUOが必要だ。ディーター様はちなみに、その両方をする。NEW BARANEC沿いをよく探してくれ"
"HITMAN_TARGET_H21_SHORT_DESC": "警察ごっこの時間だ"
"DIVERSION_ONCOMING": "逆走"
"DIVERSION_COMBAT_TRICKS_STAG_KILL": "STAGキル"
"DIVERSION_COMBAT_TRICKS_CLOSE_KILL": "接近攻撃"
"DIVERSION_CHOP_SHOP_NAME_3": "GRIEVES' CHOP SHOP"
"ACT_HITMAN_FINISH WITNESS_MSG": "パーフェクトだ。ボーナスが出る"
"DIVERSION_TEXT_PROGRESS": "{0:text_tag_crc}{1}"
"DIVERSION_COOP_SUCCESS_CLIENT_LOSE": "敗北した。{PICKUP_RELOAD_IMG}で続行する"
"DIVERSION_HOLDUP_SHIELD_GOTO_REGISTER": "店員をレジまで歩かせろ"
"DIVERSION_SURVIVAL_GOAL_NAME_BRONZE": "ブロンズ"
"DIVERSION_QTE": "格闘キル"
"DIVERSION_COMBAT_TRICKS_SPECIALIST_KILL": "スペシャリストキル"
"DIVERSION_BEST_JUMP_ROLL": "ビッグエア回転記録"
"CHOPSHOP_SHORT_1_6": "望みはTITAN"
"HITMAN_LOC_6_3": "BRICKSTON"
"HITMAN_TARGET_H22_DESCRIPTION": "キルスティンはデッカーの偵察要員よ... 今も盗聴してるかもしれないわ。セインツの拠点として知られている場所はひとつ残らず監視してるの。[format][color:em]SALANDERにある PLANET SAINTS[/format]へ行って[format][color:em]\n手榴弾でその辺のものを吹っ飛ばして爆音を聞かせてやって[/format]... 頭痛に耐えられなくなれば隠れ場所からはい出てくるでしょう"
"HITMAN_TARGET_44_SHORT_DESC": "悲劇よ！"
"DIVERSION_CHALLENGES_BAILOUT_DISTANCE_D": "大きな事故ほど「治安密着24時」の評判を上げてくれるものはないのよ。でも危機一髪で脱出すればもっとエキサイティングよ。よろしく頼むわね。"
"DIVERSION_VEHICLE_SURFING_STYLE_TWO_HANDSTAND_USE_TEXT": "逆立ち"
"DIVERSION_DRIVEBY_DIVERSION_ONLY_KILLS_FROM_CAR_COUNT": "走行中の車から攻撃して始末した人数だけがカウントされる"
"DIVERSION_DRIVEBY_DIVERSION_KILL_BEFORE_ESCAPE_STRING": "[format][color:red]ギャングメンバー[/format]を逃がすな"
"DIVERSION_COMBAT_TRICKS_THROWN_KILL_FORMAT_FEET": "投げた距離：%.1fフィート"
"CHOPSHOP_SHORT_1_3": "急募！ディーター様はSTATUS QUOをご所望"
"HITMAN_TARGET_43_SHORT_DESC": "1億年ROMってろ"
"DIVERSION_CHALLENGES_GANG_OPS_DESTROYED": "攻略した抗争スポット"
"DIVERSION_CHALLENGES_STORES_HELD_UP": "強盗した店舗数"
"COLLECTION_FOUND_SUBTITLE": "発見"
"DIVERSION_HOSTAGE_START_MESSAGE": "デバージョン「人質」を開始"
"DIVERSION_COMBAT_TRICKS_TESTICLE_KILL": "急所攻撃キル"
"ACT_HITMAN_COMPLICATION_CAR_TYPE": "%sを使うとボーナスが出る"
"DIVERSION_CHALLENGES_BIG_AIR_HEIGHT": "ビッグエア高度"
"DIVERSION_CHALLENGES_LUCHADORE_NOTORIETY": "高悪評度：ルチャドール"
"DIVERSION_CANCELED": "デバージョンがキャンセルされた"
"CHOPSHOP_LONG_1_6": "大きくて、気性が荒くて、おまけに安心の防弾加工。でも一番の魅力は、高確率で現金袋を積んでるところだな。3 COUNTの近くへ行けば、カジノの売り上げを回収に来たTITANが何台か走ってるはずだ"
"HITMAN_TARGET_22_DESCRIPTION": "マイクっていう消防士への個人的な恨みなんだが、手伝ってもらえるか？スティルウォーターでオレが営んでいたポーカー部屋が、ヤツに焼き払われそうになったんだ。そのマイクは今スティールポートでのうのうと暮らしてやがる。[format][color:em]ROSEN OAKS[/format]へ行って、[format][color:em]連絡先リストに載ってる緊急番号「911」に発信[/format]しろ。あっちの同僚といっしょに現われるはずだ"
"DIVERSION_CHALLENGES_LUCHADORE_SPECIALISTS": "倒したルチャドールスペシャリスト"
"DIVERSION_COMBAT_TRICKS_MULTI_KILL": "マルチキル"
"HITMAN_LOC_H3_3": "ESPINA"
"HITMAN_TARGET_H3_3": "アンドレ"
"HITMAN_REWARD": "%dドルおよび%dのリスペクトを獲得"
"DIVERSION_SAFECRACKING_TITLE": "店舗強盗"
"DIVERSION_HOSTAGE_EXPLAINATION": "警察をまけ"
"TUT_COLLECTION_COLLECTIBLE": "コレクションできるアイテムはスティールポート中に散らばっている。全部見つけて回収しろ"
"HITMAN_TARGET_14_DESCRIPTION": "ディーリーは正直者だが、とにかく頭が固い。ちょっと人を挑発した程度で、セインツを逮捕しやがる。オレたちには、ハメをはずす権利ぐらいあるはずだろ？[format][color:em]BRIDPORT[/format]でちょっと暴れてやれ...[format][color:em]通行人を何人か挑発[/format]すればヤツは姿を現すはずだ"
"DIVERSION_CHALLENGES_GANG_TAUNTS_D": "セインツである証明は、デカイ銃でもクールな服装でもキャッシュの山でもない。それは心構えさ。スティールポートに見せつけてやらないか？"
"DIVERSION_CHALLENGES_HOSTAGES_TAKEN": "人質にした人数"
"DIVERSION_CHALLENGES_GET_MELEE_KILLS": "接近戦キル"
"HITMAN_TARGET_53_SHORT_DESC": "思い上がったフロントマン"
"DIVERSION_CHALLENGES_GIVE_COMPLIMENTS": "敬意を表した回数"
"DIVERSION_STOPPIE": "ストッピー"
"ACT_HITMAN_START_MSG": "[format][color:red]ターゲット[/format]を殺せ"
"DIVERSION_WHORING_PROGRESS": "進行度"
"DIVERSION_TWO_WHEEL_TITLE": "片輪走行"
"DIVERSION_SURVIVAL_FIRST_LOC_ARRIVED": "カメラマンが見応えのある映像を撮影するまで生き延びろ"
