"CUST_ITEM_CF_HAIR_MED": "ДО ПЛЕЧ" 
"CUST_COMP_MALE_EYEBROWS_1": "ГУСТЫЕ МУЖСКИЙ"
"COMPONENT_EXTRA_HIGH_PROFILE": "ЭКСТРА ВЫСОКИЙ ПРОФИЛЬ"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS": "ЗАПРАВЛЕННЫЙ, ЗАСТЕГНУТЫЙ"
"CUST_ITEM_CF_DLC_EYES_F_BCAN": "ОЧКИ КРОВАВОЙ МОНАШКИ"
"CUST_SKIN_GREEN_4": "КЛЕВЕРНЫЙ КОКТЕЙЛЬ"
"CUST_MOVEMENT_FACE": "ВЫРАЖЕНИЕ ЛИЦА."
"CUST_RONIN_TAUNT_A": "НАСМЕШКА РОНИНОВ 1"
"PLAYER_MORPH_CHEEKBONES_SIZE_TEXT": "РАЗМЕРЫ СКУЛ"
"CUST_COLOR_CLOTHING_ORANGE_6": "ОРАНЖЕВЫЙ 6"
"CUST_COMP_EYE_MAKEUP_18": "ГОТИЧЕСКАЯ НОЧЬ"
"CUST_VARIANT_MIXED": "СМЕШАННЫЙ"
"CUST_ITEM_CF_RING_F_STUDRING": "БРИЛЛИАНТ В ТРАВЕ"
"CUST_ITEM_CF_NLMF_LBDY_F_SKIRTHOLSTER": "СТИМПАНК-ДЕВЧЕНКА"
"CUST_COMP_TEST_CHEEK_MAKEUP": "КУКОЛКА"
"CUST_ITEM_CM_PSI_WRST_M_WATCH": "ДОРОГИЕ ЧАСЫ СВЯТЫХ"
"CUST_ITEM_CF_PSE_LBDY_F_SHORTSHORTS": "ТУГИЕ ШОРТЫ"
"CUST_ITEM_LPA_M_SPACE_HELMET": "МЕЖГАЛАКТИЧЕСКИЙ ШЛЕМ"
"PLAYER_MORPH_UPPER_EYELIDS_PITCH_TEXT": "ВЫСОТА ВЕРХНЕЙ ЧАСТИ ВЕКА"
"CUST_COLOR_CLOTHING_BLUES_7": "СИНИЙ 7"
"CUST_COLOR_CLOTHING_RED-ORANGE_1": "ГРАНАТОВЫЙ 1"
"VEHICLE_COLOR_STAINLESS_STEEL": "НЕРЖАВЕЮЩАЯ СТАЛЬ"
"CUST_VARIANT_TRACK_B": "СТИЛЬ 3"
"CUST_VARIANT_MATERIAL_4GVSDF": "CUST_VARIANT_MATERIAL#4GVSDF"
"CUST_ITEM_LEATHER_LACE_MALE_N": "ДИСКО-ЛИХОРАДКА"
"PLAYER_MORPH_EARS_ELEVATION_TEXT": "ВЫСОТА УШЕЙ"
"SLOT_DECAL_7": "КАРТИНКА 7"
"LOGO_BOOT": "БОТИНОК"
"CUST_ITEM_CM_IMPN_FOOT_M_LEATHERSHOES": "СОВРЕМЕННЫЕ ТУФЛИ"
"PLAYER_MORPH_DOUBLE_CHIN_HEIGHT_TEXT": "ВЫСОТА ВТОРОГО ПОДБОРОДКА"
"HAIR_COLOR_BLUE": "СИНИЙ"
"PLAYER_MORPH_CHEEKS_ELEVATION_TEXT": "ВЫСОТА ЩЕК"
"VEHICLE_COLOR_BLACK": "ЧЕРНЫЙ"
"SLOT_GAS_TANKS": "БЕНЗОБАКИ"
"CUST_COLOR_CLOTHING_GREENS_6": "ЗЕЛЕНЫЙ 6"
"CUST_TATTOO_STOMACH_8": "ИСКУССТВО"
"CUST_COMP_FACE_SCAR_2": "БОЛЬШОЙ ШРАМ 2"
"COLOR_SLOT_WINDOW_NET": "СЕТКА НА ОКНА"
"SLOT_BODY_COLOR": "ЦВЕТ КУЗОВА"
"LOGO_UNIVERSITY_1": "УНИВЕРСИТЕТ СТИЛУОТЕР 1"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2C": "\"ГОРОДСКОЕ САФАРИ\" С ВОДОЛАЗКОЙ С НИЗКИМ ВОРОТОМ"
"VEHICLE_COLOR_DEEP_GRAY": "ГЛУБОКО-СИНИЙ"
"CUST_VARIANT_SHIRT_B": "СТИЛЬ 2"
"CUST_VARIANT_SANDAL": "САНДАЛИЯ"
"CUST_VARIANT_FLOWER_BAND": "БАНДАНА В ЦВЕТОЧЕК"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_TORSO": "ТОПИК КОСМИЧЕСКОЙ ПРИНЦЕССЫ"
"PLAYER_MORPH_DOUBLE_CHIN_TEXT": "ВТОРОЙ ПОДБОРОДОК"
"PLAYER_GENDER_TEXT": "ФИГУРА"
"CUST_ITEM_CF_LLT_FOOT_F_RBDHEELS": "ТУФЛИ МАМБА НА КАБЛУКАХ "
"CUST_ITEM_CM_HAIR_CLIPPEREDSHORT": "НАЛЫСО"
"PLAYER_MORPH_UPPER_LIP_WIDTH_TEXT": "ШИРИНА ВЕРХНЕЙ ГУБЫ"
"CUST_COLOR_CLOTHING_BLUE-GREEN_1": "СИНЕ-ЗЕЛЕНЫЙ 1"
"VEHICLE_COLOR_TITANIUM": "ТИТАН"
"VEHICLE_COLOR_BRIGHT_DAY_ORANGE": "ЯРКО-ОРАНЖЕВЫЙ"
"LOGO_MURRY": "МЁРИ"
"CUST_INSULT_R": "ПШЕЛ И ТЫ"
"SURGEON_CAT_PRESETS": "УСТАНОВКИ"
"LOGO_GUITAR": "ГИТАРА"
"LOGO_FEEDDOGS": "ПОКОРМИТЬ СОБАК"
"CUST_ITEM_CF_DLC_SPACE_LBDY_F_LEGGINGS": "ЛОСИНЫ КОСМИЧЕСКОЙ ПРИНЦЕССЫ"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_C": "ГЕРОЙ СТИЛПОРТА"
"PRESET_WARNING_BODY": "При выборе этой установки ваши текущие настройки будут сброшены.\nВы уверены, что хотите это сделать?"
"CUST_COMP_EYES_DARK_BLUE": "ТЕМНО-СИНИЙ"
"CUST_COLOR_ORANGE_4": "АПЕЛЬСИН 4"
"CUST_ITEM_CF_LLJ_LBDY_F_LTHRPANTS": "БДСМ-ШТАНЫ"
"CUST_TATTOO_UPPER_CHEST": "ВЕРХ ГРУДИ"
"CUST_COLOR_CLOTHING_RED_4": "КРАСНЫЙ 4"
"VEHICLE_COLOR_TINT_40": "КРАСКА 40%%"
"SLOT_EXHAUST_TIPS": "ГЛУШИТЕЛЬ"
"LOGO_CAVE_4": "ПЕЩЕРА ПРИЗРАКОВ 4"
"CUST_COMP_FACE_WART_1": "БОРОДАВКА 1"
"VEHICLE_COLOR_HAZY_DAY_GRAY": "ТУМАННО-СЕРЫЙ"
"COLOR_SLOT_PAINT_2_AND_TRIM": "РИСУНОК 2 И НАКЛАДКИ"
"IRIDESCENT_4": "РАДУЖНЫЙ 4"
"CUST_ITEM_CF_NLMF_UBDY_F_SHIRTCORSET": "СТИМПАНКОВСКИЙ КОРСЕТ"
"CUST_MENU_FIGURE_PRESETS": "СОЗДАТЬ НАБОРЫ ПАРАМЕТРОВ"
"CUST_VARIANT_PLAID": "В КЛЕТКУ"
"CUST_ITEM_CF_PSB_FOOT_F_COMBATBOOTS": "ДЕВИЧЬИ БОЙЦОВСКИЕ БОТИНКИ"
"LOGO_SQD": "Сигма Тета Дельта."
"CUST_ITEM_FEMALE_LP_BRA_5": "БОЛЬШОЙ КРАСНЫЙ"
"CUST_ITEM_CF_PSH_LBDY_F_OSDRESSPANTS": "ДЕЛОВЫЕ ШТАНЫ"
"CUST_SKIN_RED_YELLOW_2": "МОРКОВНЫЙ"
"CUST_SKIN_METAL_5": "САПФИРОВЫЙ"
"COLOR_SLOT_PAINT_2": "РИСУНОК 2"
"COLOR_SLOT_INTERIOR_2": "ИНТЕРЬЕР 2"
"HAIR_COLOR_BLONDE": "БЛОНДИН"
"COMPONENT_OPTION_B": "ВАРИАНТ В (НЕ ДОЛЖЕН ИСПОЛЬЗОВАТЬСЯ)"
"CUST_SAMEDI_COMPLIMENT_C": "ПОХВАЛА САМЕДИ 3"
"RIM_132": "R132"
"CUST_ITEM_CM_PSD_HAT_M_FEDORA": "ШЛЯПА ДЕТЕКТИВА"
"CUST_INSULT_LINE": "ПЕРЕЙТИ ЧЕРТУ"
"CANCEL_WARNING_BODY": "Вы уверены, что не хотите сохранить изменения?"
"WARDROBE_TITLE": "ГАРДЕРОБ"
"COLOR_SLOT_RIMS_1": "РАМКА 2"
"CUST_WEAR_TATTOO_SAM_DESIGN2": "СТИЛЬ СЭМА 2"
"CUST_ITEM_CF_LLT_HAND_F_MGLOVES": "МОТОПЕРЧАТКИ"
"PLAYER_MORPH_BALL_DEPTH_TEXT": "ГЛУБИНА КОНЧИКА"
"CUST_COLOR_CLOTHING_VIOLET_8": "ФИОЛЕТОВЫЙ 8"
"HAIR_COLOR_BLEACHED_MATTE": "МАТОВЫЙ КРАШЕННЫЙ БЛОНДИН"
"LOGO_FRECKLE_2": "ВЕСНУШЧАТАЯ СУКА 1"
"CUST_VARIANT_TIGER": "ТИГР"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO2": "УЛОВКА"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_G": "НАСТОЯЩЕЕ ЖИВОТНОЕ"
"CUST_SAMEDI_TAUNT_B": "НАСМЕШКА САМЕДИ 2"
"PLAYER_MORPH_JAW_DEPTH_TEXT": "ГЛУБИНА ЧЕЛЮСТИ"
"VEHICLE_COLOR_CRYSTAL_DECANTER_WHITE": "ХРУСТАЛЬНО-БЕЛЫЙ"
"CUST_ITEM_FEMALE_LP_EARRINGS_3": "СЕРЕЖКИ \"УКУС АКУЛЫ\""
"PLAYER_MORPH_NOSE_ROLL_TEXT": "ОКРУГЛОСТЬ НОСА"
"RIM_193": "AF1 MONOBLOCK 110"
"CUST_ITEM_CF_NLMD_UBDY_F_PISTOL": "ФУТБОЛКА \"ПИСТОЛЕТ\""
"CUST_TATTOO_ENTIRE_CHEST": "ВСЯ ГРУДЬ"
"PLAYER_MORPH_NOSTRILS_WIDTH_TEXT": "ШИРИНА НОЗДРЕЙ"
"PLAYER_MORPH_UPPER_LIP_EDGES_SIZE_TEXT": "РАЗМЕР КРАЕВ ВЕРХНЕЙ ГУБЫ"
"VEHICLE_COLOR_BLUE_LIGHT_TINT": "КРАСКА \"СИНИЙ СВЕТ\""
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS_TIE": "ЗАПРАВЛЕННЫЙ, ЗАСТЕГНУТЫЙ, С ПОДНЯТЫМ НИЗОМ, БЕЗ ПОДТЯЖЕК, С ГАЛСТУКОМ"
"CUST_ITEM_IMPRESSIONS_FEMALE_R": "ВПЕЧАТЛЕНИЯ ЖЕН. R"
"CUST_ITEM_FEMALE_LP_BRA_1": "УКУС ПАУКА"
"CUST_SKIN_METAL_1": "СЕРЕБРЯНЫЙ"
"RIM_178": " SD EDV2"
"CUST_ITEM_CM_HEAD_M_ANTENNA": "АНТЕННА"
"CUST_ITEM_CF_LLK_UBDY_F_LATEXJACKET": "СУПЕР-СИСЕЧНАЯ КУРТКА"
"CUST_ITEM_CF_HAIR_CORNROWS": "КУКУРУЗНОЕ ПОЛЕ"
"PLAYER_MORPH_EAR_YAW_TEXT": "ОТТОПЫРЕННОСТЬ УШЕЙ"
"FEMALE_BODYBUILDER": "ЖЕНЩИНА БОДИБИЛДЕР"
"CUST_VARIANT_GLITTERY": "БЛЕСТЯЩИЙ"
"CUST_ITEM_CF_PSF_LBDY_F_GFXTRACKPANTS": "ФИЗКУЛЬТУРНЫЕ ШТАНЫ"
"FACIAL_EXPRESSION_DOPEY": "ГЛУПЫЙ"
"LOGO_STILWATER_CYCLE": "МОТОКЛУБ СТИЛУОТЕРА"
"FACTORY_STANDARD_HOOD_W__INTAKE": "СТАНДАРТНАЯ ЗАВОДСКАЯ СЪЕМНАЯ КРЫША (НЕ ДОЛЖНО ИСПОЛЬЗОВАТЬСЯ)"
"LOGO_VOLITION_4": "VOLITION 4"
"CUST_VARIANT_MED_DOTS": "СРЕДНИЕ ТОЧКИ"
"CUST_WEAR_RIGHT": "СПРАВА"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_J": "ГОЛОДНЫЙ ХУДОЖНИК"
"CUST_ITEM_CM_PSI_LBDY_M_SAGPANTS": "ШИРОКИЕ ШТАНЫ СВЯТЫХ"
"SLOT_DECAL_3": "КАРТИНКА 3"
"CUST_VARIANT_ARMS": "РУКИ"
"CUST_CAT_HAIR_COLOR_SECONDARY": "ВТОРОЙ ЦВЕТ ВОЛОС НА ГОЛОВЕ"
"PLAYER_MORPH_BRIDGE_CURVE_TEXT": "ИЗГИБ ПЕРЕНОСИЦЫ"
"CUST_MENU_CATEGORY_LIMIT_REACHED": "У вас максимум предметов в этой категории."
"CUST_COLOR_CLOTHING_BLUES_3": "СИНИЙ 3"
"CUST_COLOR_CLOTHING_RED-ORANGE_5": "ГРАНАТОВЫЙ 5"
"HAIR_COLOR_RED_MATTE": "ЯРКО-КРАСНЫЙ МАТОВЫЙ"
"BRIGHT_ORANGE": "ЯРКО-ОРАНЖЕВЫЙ"
"CUST_ITEM_CM_NLMB_LBDY_M_SHORTS": "ШОРТЫ БРАТКОВ"
"CUST_ITEM_CF_IMPP_FOOT_HEELSTRAP": "ТУФЛИ ДЛЯ ВЕЧЕРИНКИ"
"CUST_CAT_MAKEUP_CHEEKS": "ЩЕКИ"
"CUST_FACIAL_EXP_EMBARRASSED": "СМУЩЕННЫЙ"
"PLAYER_MORPH_BROW_CURVE_TEXT": "ИЗГИБ БРОВЕЙ"
"PLAYER_CREATION_HAIR_LENGTH": "ДЛИНА ВОЛОС"
"LOGO_HEADSTONE": "Надгробный камень"
"CUST_COLOR_GRAY_2": "СЕРЫЙ 2"
"CUST_VARIANT_DULL": "ТУПОЙ"
"CUST_WEAR_STUD": "ЗАПОНКА"
"CUST_ITEM_CF_NLMB_FOOT_F_LACEDBOOTS": "БАШМАКИ БУНТАРЯ"
"SLOT_RIMS_FRONT": "ПЕРЕДНЫЕ ОБОДЫ"
"SLOT_TAILLIGHTS": "ЗАДНИЕ ФАРЫ"
"SLOT_REAR_BUMPER": "ЗАДНИЕ БАМПЕРЫ"
"LOGO_VEGAS": "Вегас."
"LOGO_GYROS": "РОТ У ГЕРОЕВ"
"CUST_ITEM_IMPRESSIONS_MALE_N": "ВПЕЧАТЛЕНИЯ МУЖ. N"
"CUST_ITEM_CF_HAIR_SCARLETJOHANSSON": "ЮЖНАЯ КРАСОТКА"
"GANG_CUST_RANDOM": "СЛУЧАЙНЫЙ ВЫБОР"
"CUST_COLOR_CLOTHING_GREENS_2": "ЗЕЛЕНЫЙ 2"
"CUST_COMP_FACE_SCAR_6": "МАЛЕНЬКИЙ ШРАМ 2"
"COMPONENT_HIGH_PROFILE": "ВЫСОКИЙ ПРОФИЛЬ"
"LOGO_UNIVERSITY_5": "Стилуотерский у. 5"
"CUST_WEAR_DEFAULT": "ПО УМОЛЧАНИЮ"
"CUST_SKIN_BLUE_2": "ГЛУБОКИЙ СИНИЙ Я"
"CUST_COMPLIMENT_Y": "ГАВ-ГАВ"
"PLAYER_MORPH_JAW_TEXT": "НИЖНЯЯ ЧЕЛЮСТЬ"
"CUST_COLOR_CLOTHING_BLUE-GREEN_5": "СИНЕ-ЗЕЛЕНЫЙ 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_3": "Увеличенная дистанция броска."
"CUST_GANG_COP": "ПОЛИЦЕЙСКИЙ"
"CUST_ITEM_CF_PSG_EYES_F_GFXSUNGLASSES": "ХЕЙТЕР-БЛОКЕРЫ"
"CUST_TATTOO_RIGHT_FOREARM": "ПРАВОЕ ПРЕДПЛЕЧЬЕ"
"PLAYER_MORPH_CHEEKS_DEPTH_TEXT": "ГЛУБИНА ЩЕК"
"PLAYER_MORPH_CHEEKBONES_SPACING_TEXT": "РАЗМЕРЫ СКУЛ"
"PLAYER_MORPH_SLOPE_WIDTH_TEXT": "ШИРИНА НАКЛОНА"
"PLAYER_CREATION_TITLE": "СОЗДАНИЕ ИГРОКА"
"RIM_SET_019": "НАБОР ОБОДОВ 19"
"COLOR_SLOT_RIMS": "РАМКА"
"CUST_VARIANT_STRIPE_1": "С ОДНОЙ ПОЛОСОЙ"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2D": "ВОДОЛАЗКА \"ГОРОДСКОЕ САФАРИ\" С ВЫСОКИМ ВОРОТОМ"
"CUST_ITEM_CM_HAIR_SKATERBOWL": "СКЕЙТЕРСКАЯ СТРИЖКА"
"PLAYER_MORPH_EAR_BEND_TEXT": "ДУЖКА УХА"
"CANT_WEAR_MEDALLION": "У вас должна быть длинная или средняя цепочка, чтобы носить этот медальон."
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_2": "Увеличенный боекомплект."
"LOGO_EZZZY": "EZZZY 105"
"STREET_1": "УЛИЧНЫЙ 1"
"CUST_COLOR_CLOTHING_RED_8": "КРАСНЫЙ 8"
"COLOR_SLOT_DRAPES": "ЗАНАВЕСКИ"
"CUST_ITEM_FEMALE_LL_BRA_4": "КРУТАЯ ДЕВЧОНКА"
"CUST_ITEM_CM_SUIT_CARDINAL": "КАРДИНАЛЬСКАЯ МАНТИЯ"
"FACIAL_EXPRESSION_DEATH_B": "СМЕРТЬ 2"
"FACIAL_EXPRESSION_JOYFUL": "РАДОСТНЫЙ"
"CUST_COLOR_CLOTHING_YELLOWS_3": "ЖЕЛТЫЙ 3"
"CUST_TATTOO_RUPPARM_3": "ЕГИПЕТСКАЯ БОГИНЯ"
"COLOR_SLOT_PAINT_1_AND_RIMS": "РИСУНОК 1 И РАМКА"
"CUST_VARIANT_STONEWASH_JEANS": "ОМЫТЫЙ кАМЕНЬ"
"CUST_ITEM_LEATHER_LACE_FEMALE_J": "БАЙК-ДЕВКА"
"CUST_ITEM_LPA_M_SPACEPACK": "КОСМОРЮКЗАК"
"PLAYER_MORPH_FACE_AGE_TEXT": "ВОЗРАСТ ЛИЦА"
"CUST_GANG_MASCOT": "ТАЛИСМАН"
"CUST_ITEM_CM_DLC_SUIT_M_KNIGHT": "РЫЦАРСКИЙ ДОСПЕХ"
"CUST_ITEM_CM_IMPN_UBDY_M_TIE": "СОВРЕМЕННАЯ СОРОЧКА"
"CUST_ITEM_CF_HAIR_LONGBANGS": "ЕГИПЕТСКАЯ ЦАРИЦА"
"FACIAL_EXPRESSION_PAIN_C": "СТРАДАНИЕ."
"CUST_BRO_COMPLIMENT_A": "ПОХВАЛА БРАТСТВА 1"
"LOGO_XXXY": "XX/XY"
"CUST_VARIANT_STAR": "ЗВЕЗДЫ"
"CUST_VARIANT_HAWAII": "ГАВАЙСКИЙ"
"CUST_ITEM_CM_LPG_MASK_M_MASKRABBIT": "БОЛЬШОЙ КРОЛИК"
"CUST_TATTOO_LFORARM_3": "РЕЖЕМ ЖИР"
"HAIR_COLOR_LIGHT_BROWN": "СВЕТЛО-КОРИЧНЕВЫЙ"
"COMPONENT_PAINT_2": "РИСУНОК 2"
"CUST_ITEM_CM_NECK_LL_STUDCHOKER": "КЛЕПАНЫЙ ОШЕЙНИК"
"CUST_ITEM_CM_DLC_FOOT_M_GPBOOTS": "САПОГИ \"ВЕСЕЛКА!\""
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_B": "МУЖСКОЙ КОСЮМ ПЛАНЕТЫ СВЯТЫХ В"
"CUST_ITEM_GAT_BOBBLE": "ГЭТ-ПОМПОН"
"CUST_ITEM_6_LOOPS_RIGHT_2": "ОЧКИ В РОГОВОЙ ОПРАВЕ"
"PLAYER_MORPH_NECK_BACK_ELEVATION_TEXT": "ПОДЪЕМ ЗАДНЕЙ ЧАСТИ ШЕИ"
"CUST_ITEM_CM_IMPO_FOOT_M_MOCCASINS": "МОКАСИНЫ \"СТАРИКАН\""
"CUST_VOICE": "ГОЛОС"
"CUST_COMP_MUSTACHE_21": "КЛОК"
"VEHICLE_COLOR_COFFEE_CREAMER_TAN": "КОФЕЙНАЯ ПЕНКА"
"VEHICLE_PAINT_IRIDESCENT_PAINT": "ПЕРЕЛИВАЮЩИЙСЯ РИСУНОК"
"SLOT_MECHANICAL_COLOR": "ЦВЕТ МЕХАНИКИ"
"CUST_COLOR_TEAL_2": "БИРЮЗОВЫЙ 2"
"LOGO_ADULT_SWIM": "ADULT SWIM WDDTCPDG"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_C": "ГОРОДСКАЯ ДЕВЧОНКА"
"CUST_COMP_EYES_WHITE": "БЕЛЫЙ"
"CUST_VARIANT_LIGHT_PLATINUM": "СВЕТЛАЯ ПЛАТИНА"
"CUST_INSULT_CHEST": "ТЫЧОК В ГРУДЬ"
"CUST_GANG_MORNING_STAR": "МОРГЕНШТЕРН"
"CUST_WEAR_RIGHT_ROLLED_HIGH": "ЗАКАТАННЫЙ СПРАВА, ВЫСОКО"
"CUST_ITEM_CM_DLC_SAM_OUTFIT": "САМУРАЙ"
"CUST_TATTOO_RARM_1": "УЛИЧНЫЙ СВЯТОЙ"
"RIM_155": "LX-14"
"DIRT": "ГРЯЗЬ"
"CUST_WEAR_RIGHT_ROLLED_UP": "ЗАКАТАННЫЙ СПРАВА"
"CUST_ITEM_CM_HAT_MOTORHELMET": "МОТОЦИКЛЕТНЫЙ ШЛЕМ"
"CUST_ITEM_CM_HAIR_WILDMESSY1": "ПЛОХОЙ ПАРЕНЬ"
"CUST_MAKEUP_VARIATION": "ВАРИАЦИИ"
"LOGO_BALANCE_2": "БАЛАНС 2"
"CUST_VARIANT_TIE": "С ГАЛСТУКОМ"
"CUST_WEAR_FORWARD_RIGHT": "ВПЕРЕД ВПРАВО"
"CUST_ITEM_CM_IMPN_UBDY_M_CJSWEATER": "СОВРЕМЕННАЯ КУРТКА СО СВИТЕРОМ"
"CUST_ITEM_LEATHER_LACE_MALE_B": "БОЛЬ И УДОВОЛЬСТВИЕ"
"CUST_ITEM_CF_HAIR_BEEHIVE": "ПЧЕЛОМАТКА"
"CUST_ITEM_CF_NLME_FOOT_F_SANDALS": "САНДАЛИИ ТРУБКИ МИРА"
"SLOT_REINFORCED_FRAME": "УСИЛЕННАЯ РАМА"
"CUST_COLOR_RED_4": "КРАСНЫЙ 4"
"LOGO_NUMBER12": "НОМЕР 12"
"CUST_VARIANT_2_SIDED_FADE": "ДВУСТОРОННЕЕ ЗАТЕМНЕНИЕ"
"CUST_WEAR_FRONT RIGHT": "СПЕРЕДИ СПРАВА"
"CUST_ITEM_CYBER_AVATAR_OUTFIT": "КИБЕР-ПРОСТРАНСТВО"
"CUST_ITEM_CM_NLMG_FOOT_M_CSHOES": "ЭМО-КЕДЫ"
"CUST_ITEM_CM_LLA_HAND_M_LTXGLOVES": "ГАДКИЕ, ГАДКИЕ ПЕРЧАТКИ"
"RIM_SET_011": "НАБОР ОБОДОВ 11"
"CUST_VARIANT_SHINY": "СИЯЮЩИЙ"
"CUST_WEAR_UNTUCKED_BUTTONED_TIE": "НАРАСПАШКУ, ЗАСТЕГНУТЫЙ, С ГАЛСТУКОМ"
"CUST_ITEM_CF_LLR_UBDY_F_LACEBUSTIER": "РАЗВРАТНОЕ БЮСТЬЕ"
"PLAYER_MORPH_NOSTRIL_MIDDLE_WIDTH_TEXT": "ШИРИНА СЕРЕДИНЫ НОЗДРЕЙ"
"PLAYER_MORPH_HUE_TEXT": "ТОН"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_6": "ИНДИГО 6"
"SLOT_WINDOW_COVERS": "ПОКРЫТИЕ ОКОН"
"SLOT_HOOD_ORNAMENT": "ОРНАМЕНТЫ НА КРЫШАХ"
"BRIGHT_INDIGO": "ЯРКИЙ ИНДИГО"
"CUST_VARIANT_BIG_STRIPES": "ТОЛСТЫЕ ПОЛОСЫ"
"CUST_VARIANT_POLO_2": "ПОЛО 2"
"CUST_ITEM_CF_LLS_UBDY_F_LEATHERTOP": "БАНДИТСКАЯ КОЖАНАЯ КУРТКА"
"CUST_TATTOO_STOMACH_4": "МЕЧТЫ ЕДИНОРОГА"
"CUST_COMP_MUSTACHE_2": "ПОРНУСЫ"
"RIM_201": "RBP REVOLVER 3 PIECE"
"LOGO_SKULL_1": "ЧЕРЕП"
"LOGO_RAYS_1": "ЛУЧИ 1"
"CUST_ITEM_CF_LPG_COWGIRLHAT": "ШЛЯПА КОВБОЙШИ"
"CUST_COMPLIMENT_Q": "ДАМА ИЗ ХОРА"
"PLAYER_MORPH_LOWER_EYELIDS_ROLL_TEXT": "ИЗГИБ НИЖНЕЙ ЧАСТИ ВЕКА"
"PLAYER_MORPH_FACE_GLOBAL_TEXT": "ОКРУЖНОСТЬ ЛИЦА"
"CUST_VARIANT_TIE_DYE_2": "ПОКРАШЕННЫЙ ГАЛСТУК 2"
"CUST_ITEM_LARGE_ROUND_GLASSES": "ГЛАЗА ЖУКА"
"CUST_TATTOO_LEFT_FOREARM": "ЛЕВОЕ ПРЕДПЛЕЧЬЕ"
"FACIAL_EXPRESSION_HAPPY": "СЧАСТЛИВЫЙ"
"PLAYER_MORPH_SLOPE_DEPTH_TEXT": "ГЛУБИНА НАКЛОНА"
"CUST_ITEM_CM_LPE_HAT_M_MHELMET": "ШЛЕМ ИМПЕРИИ"
"CUST_SKIN_CAUCASIAN_02": "БЕЛЫЙ 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_9": "ГРАНАТОВЫЙ 9"
"CUST_COMP_FACE_BLOODY_LIP": "ЛЮБОВНЫЙ УКУС"
"CUST_TATTOO_LEFT_ARM": "ВСЯ ЛЕВАЯ РУКА"
"CUST_TATTOO_RARM_5": "НЕСУЩИЙ КРАСОТУ"
"RIM_151": "CVX-55"
"COMPONENT_ADD_HYDRAULICS": "ГИДРАВЛИКА"
"CUST_VARIANT_SHORTSHORTS": "КОРОТКИЕ ШОРТЫ"
"CUST_ITEM_CM_JOY_UBDY_TATTOO": "ДЖОЙСТИКОВЫЕ ТОРЧКИ - СВЯТОЙ"
"CUST_ITEM_CF_LLS_UBDY_F_CORSET": "КОЛДОВСКОЙ КОРСЕТ"
"CUST_ITEM_CF_LLR_FOOT_F_SANDALS": "ТУФЛИ ДРЯННОЙ ДЕВЧОНКИ"
"CUST_ITEM_CF_LPE_HAND_F_MGLOVES": "ПЕРЧАТКИ БОЙЦА СТИЛПОРТА"
"CUST_SKIN_ASIAN_03": "АЗИАТ 3"
"PLAYER_MORPH_EYE_DEPTH_TEXT": "ГЛУБИНА ГЛАЗ"
"VEHICLE_COLOR_TEAL_LIGHT_TINT": "КРАСКА \"БИРЮЗОВЫЙ СВЕТ\""
"RIM_SET_015": "НАБОР ОБОДОВ 15"
"VEHICLE_PAINT_INTERRIORS": "ИНТЕРЬЕР"
"BRIGHT_RED": "ЯРКО-РЫЖИЙ"
"FEMALE_AVERAGE": "СРЕДНЯЯ ЖЕНЩИНА"
"CUST_VARIANT_PRIMARY": "ПЕРВИЧНЫЙ"
"CUST_COLOR_CLOTHING_BLUE-GREEN_9": "СИНЕ-ЗЕЛЕНЫЙ 9"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_3": "Подорвать управляемую вами машину."
"CUST_COMP_FACE_GILLS": "ЖАБРЫ"
"CUST_COLOR_ROSE_4": "РОЗОВЫЙ 4"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_ELEVATION_TEXT": "ВЫСОТА СЕРЕД. НИЖН. ГУБЫ"
"CUST_COMP_MUSTACHE_6": "ПОЛОСКАМИ"
"CUST_VARIANT_SILVER": "СЕРЕБРО"
"CUST_ITEM_CM_IMPO_UBDY_M_JCSHIRTWTIE": "СТАРИКОВСКАЯ КУРТКА И ЖИЛЕТ"
"CUST_ITEM_CM_PSJ_LBDY_M_JEAN": "ПРОСТЫЕ ДЖИНСЫ"
"CUST_FINGERNAILS": "НОГТИ"
"CUST_COMPLIMENT_U": "УДАР В ГРУДЬ"
