"DROP_SPHERE": "DONNER SPHÈRE"
"HORDE_MODE_ALL_ENEMIES_KILLED": "Ennemis tués!"
"STAT_WEAPON_RIFLE": "FUSIL"
"STAT_COOP_STRONGHOLDS_COMPLETED": "COOP : BASTION TERMINÉS"
"GENERAL_YOU": "TOI"
"HASH_631F9AA8": "MÉTA-PARTIE COOP : POINTS"
"MUSIC_ARTIST_UNKNOWN": "INCONNU"
"STAT_GARAGES_ACQUIRED": "GARAGES ACQUIS"
"STAT_CAT_MOUSE_KILLS": "CHAT & SOURIS : MEURTRES"
"STAT_RIFLE_SHOTS_FIRED": "TIRS DE FUSIL"
"CUST_GANG_NAME_COLLEGE": "ÉTUDIANTS DE LYCÉE"
"GOD_MODE_DESC": "Rien ne t'arrête."
"ACT_CHOP_SHOP_LEAVE_FULL": "Veux-tu vraiment quitter le garage clandestin?"
"GARAGE_CAT_1": "CARROSSERIE"
"STORE_CLOTHING_STORE_MSG": "ACHETER DES FRINGUES"
"STRONGHOLD_START_TEXT": "APPUYER SUR %s POUR COMMENCER LE BASTION DU GANG %s"
"ADD_GANG_NOTORIETY_DESC": "Fait monter la Notoriété gang d'un cran."
"Overcast": "PRÉVISIONS"
"TAXI_CONFIRM_PURCHASE_FULL": "Veux-tu acheter ce trajet pour %ls?"
"MENU_SWAP_WEAPONS_CACHE": "PLANQUE D'ARMES"
"STORE_TITLE_PURCHASING": "ACHAT"
"STAT_VEHICLES_HIJACKED": "VÉHICULES VOLÉS"
"STAT_HOSTAGE_CASH": "GAINS KIDNAPPEUR"
"CONTROL_ROTATE": "PIVOTER"
"DROP_SANDSTORM": "DONNER SANDSTORM"
"GIVE_DILDO": "DONNER LE PÉNÉTRATEUR"
"GIVE_GRENADE": "DONNER GRENADE"
"TIME_SET_MIDNIGHT": "HEURE À MINUIT"
"STORE_CHOOSE_A_CATEGORY": "CHOISIR UNE CATÉGORIE"
"STORE_ZOOM_ROTATE": "ZOOMER / PIVOTER"
"STAT_DRUG_PACKAGES_FOUND": "PAQUETS DE DROGUE TROUVÉS"
"Coop Col1_NAME": "CLASSEMENT COOP"
"HASH_BD9681AC": "MÉTA-PARTIE COOP : PLUS DE POINTS DANS UN ROUND"
"CONTROL_EXIT_PLAYER_CREATION": "QUITTER LE CORPS"
"CONTROL_OKAY": "OK"
"CELL_NEWS_VAN": "VAN DE JOURNALISTES"
"STORE_PRICE": "PRIX {0} $"
"STORE_TEXT_DISCARD_OUTFIT_WARNING": "En supprimant cet objet de ta garde-robe, tu supprimeras aussi la tenue à laquelle il appartient."
"CRIB_WARDROBE_EXIT": "Quitter la garde-robe\n\nConfirmer?"
"STORE_EXIT_CLIPBOARD": "Quitter les coupures de presse?"
"STAT_HITMAN_TARGETS_ELIMINATED": "CIBLES TUEUR À GAGES ÉLIMINÉES"
"STAT_BIKES_DESTROYED": "NOMBRE DE MOTOS DÉTRUITES"
"STAT_MELEE_KILLS": "MEURTRES EN COMBAT RAPPROCHÉ"
"STATS_YES": "OUI"
"ESCORT_NAME_8A": "GOLDEN"
"HASH_84FAC22D": "RESPECT GAGNÉ EN EXHIBITIONNISME"
"CELL_RUSTYS_NEEDLE": "RUSTY'S NEEDLE"
"LOW_GRAVITY": "FAIBLE GRAVITÉ"
"CUST_ICON_SUITS": "COSTUMES"
"CUST_ICON_RINGS": "BAGUES"
"CUSTOMIZE_ITEM_SAVE_CHANGES_EXIT_FULL": "Veux-tu sauvegarder tes modifs\navant de partir?"
"STAT_SMG_SHOTS_FIRED": "TIRS DE PISTOLET-MITRAILLEUR"
"STAT_SWAT_KILLED": "SWAT TUÉS"
"CONTROL_RETURN_TO_MAIN_MENU": "REVENIR AU MENU PRINCIPAL"
"CONTROL_ZOOM": "ZOOM"
"CONTROL_PURCHASE": "ACHETER"
"MAP_ICON_CRIB_PURCHASE": "HABITATION À VENDRE"
"CHEAT_CHARACTER_DESC": "Transforme ton personnage joueur en ce personnage."
"MUSIC_ELECTRONICA": "ÉLECTRO"
"POC2_WEAPON_UPGRADE_1": "AMÉLIORATION ARME - NIVEAU 1"
"STORE_BUILD": "CARRURE"
"COMPLETION_STYLE_BONUS": "BONUS DE STYLE"
"PURCHASEABLE_PROPERTEY_THUNDER": "THUNDER PUMP"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "CHAOS TANK : DÉGÂTS INFLIGÉS"
"STAT_TIME_AT_MAX_POLICE_NOTORIETY": "DURÉE NOTORIÉTÉ POLICE MAXIMALE"
"STAT_LONGEST_POWERSLIDE_TIME": "PLUS LONG DÉRAPAGE"
"STAT_TOTAL_MONEY": "SOMME TOTALE GAGNÉE"
"ESCORT_NAME_19A": "SPITTING"
"HASH_2B28212F": "PLUS LONGUE SÉRIE D'HYDRAULIQUE"
"CONTROL_EXIT_WARDROBE": "QUITTER LA GARDE-ROBE"
"MAP_ICON_HITMAN": "TUEUR À GAGES"
"GIVE_TEKZ10": "DONNER TEK Z-10"
"TOD_CYCLE_DESC": "Change l'heure actuelle."
"SAVELOAD_CONTINUE_NO_FILES_FOUND": "Aucune sauvegarde détectée.\nCommencer une nouvelle partie?"
"STORE_UNDERWEAR_WARNING": "AVERTISSEMENT"
"WPNSTOR_TITLE_FRIENDLY_FIRE": "FRIENDLY FIRE"
"HORDE_MODE_WEAPON_UPGRADE_TITLE": "Arme principale améliorée!"
"SP Vehicle Jumps Col3_NAME": "CLASSEMENT SAUTS VÉHICULES"
"SP Diversion Stars Col2_NAME": "CLASSEMENT DISTRACTIONS"
"SP Time Col3_NAME": "CLASSEMENT TEMPS DE JEU"
"HASH_745E5BB0": "TAG DE LA MORT : PLUS LONGUE SÉRIE DE MEURTRES"
"GIANT_PLAYER": "JE SUIS UN GÉANT"
"SUPER_SAINTS": "SUPER SAINTS"
"BUILDING_PURCHASE_CASH_PER_HOUR": "{0} $ PAR HEURE"
"CRIB_HUD_DOCK_NAME": "QUAI POUR BATEAU DE RONDINI"
"VEHICLE_ADVANCED": "%s (AVANCÉ)"
"GARAGE_CAT_5": "DÉTAILS"
"STAT_CAT_MOUSE_TIME": "CHAT & SOURIS : TEMPS PASSÉ"
"STAT_FRAUD_CASH_CLAIMED": "FRAUDE À L'ASSURANCE : ARGENT ESCROQUÉ"
"STAT_DIVERSION_CASH_EARNED": "GAINS DISTRACTIONS"
"STAT_BASE_OWNED": "PARACHUTE POSSÉDÉ"
"SP Kills Col1_NAME": "CLASSEMENT MASSACRES"
"CAR_MASS_HOLE_DESC": "Ton véhicule possède une masse infinie et balaye les autres véhicules comme un rien."
"PLAYER_PRATFALLS_DESC": "Utilise {SHOULDER_CAMERA_IMG}/{ATTACK_PRIMARY_IMG} pour tomber comme dans une Fraude à l'assurance."
"BUILDING_PURCHASE_DISCOUNT": "RISTOURNE DE {0}%%%"
"GANG_CUST_SLOT_1": "EMPLACEMENT 1"
"STORE_CAR_MECHANIC_MSG": "ALLER VOIR LE MÉCANO"
"STAT_NEIGHBORHOODS_EXPLORED": "QUARTIERS EXPLORÉS"
"ESCORT_NAME_32B": "MATRIARCH"
"GIVE_RPG": "DONNER LANCE-ROQUETTES"
"DROP_AMBULANCE": "RECEVOIR AMBULANCE"
"PREVIEW_UNAVAILABLE": "PRÉVISUALISATION INDISPONIBLE"
"VCUST_TIRE_TREAD_OPTION": "SILLONS DES PNEUS"
"STAT_SHORTCUTS_FOUND": "RACCOURCIS TROUVÉS"
"STAT_MISSIONS_FAILED": "MISSIONS ÉCHOUÉES"
"STAT_CAT_MOUSE_DEATHS": "CHAT & SOURIS : MORTS"
"STAT_COOP_TIME_PLAYED": "COOP : TEMPS DE JEU"
"STAT_COMBAT_MOTORCYCLE_RESPECT": "RESPECT GAGNÉ AVEC DES MEURTRES À L'ÉPÉE EN MOTO"
"STAT_MAX_STUNT_JUMP_DISTANCE": "DISTANCE SAUT MAXI"
"CONTROL_BTN_START": "START"
"DROP_MIAMI": "DONNER MIAMI"
"ACHIEVES_GAIN_BLANK": "%s a été atteint!"
"ESCORT_NAME_30B": "NORRIS"
"CUST_TITLE_OUTFIT_CREATION": "CONFIRMATION CRÉATION"
"HASH_D25D9734": "DISTANCE BASSIN MAXI"
"CUST_GANG_NAME_CROSS": "TRAVESTIS"
"BLOODY_MESS_DESC": "Tous ceux que tu tues explosent."
"REPAIR_CAR_DESC": "Répare tous les dégâts de ton véhicule."
"PURCHASEABLE_PROPERTEY_PAWN2": "PLAN B PAWN SHOP"
"GARAGE_REPAIR_MUST": "TU NE PEUX PAS PERSONNALISER TA VOITURE TANT QU'ELLE N'EST PAS RÉPARÉE"
"STAT_TIME_AT_MAX_DECKER_NOTORIETY": "DURÉE NOTORIÉTÉ DECKERS MAXIMALE"
"STAT_SURFING_RESPECT": "RESPECT GAGNÉ EN SURF VÉHICULES"
"STAT_COMBAT_NUTSHOT": "BIJOUX DE FAMILLE"
"Partners in Crime_NAME": "ASSOCIATION DE MALFAITEURS"
"PAUSE_MAP_ICONS_ON_OFF": "ICÔNES OUI/NON"
"GANG_NEUTRAL": "NEUTRE"
"TAT_REG_L_FOREARM": "AVANT-BRAS G"
"HORDE_MODE_NEW_TEXT": "Veux-tu vraiment recommencer le Mode Horde?"
"STAT_SNATCH_LEVELS_COMPLETED": "MAC À DAMES TERMINÉS"
"ESCORT_NAME_36B": "BISHOP"
"CELL_RIM": "RIM JOBS"
"GIVE_CYBER": "DONNER CYBERDESTRUCTEUR"
"PLAYER_CREATION_SAVE_CHANGES_EXIT_TEXT_FULL": "Veux-tu sauvegarder tes modifs\navant de partir?"
"STORE_EXIT": "QUITTER"
"HORDE_MODE_TITLE_FINAL_COMPLETE": "VAGUE FINALE PASSÉE"
"STAT_BRUTES_KILLED": "BRUTES TUÉES"
"ESCORT_NAME_28A": "WICKED"
"vandalism": "CHAOS"
"HASH_2B25A437": "PERSONNES CHOQUÉES"
"CONTROL_NO": "NON"
"GIVE_SNIPER": "DONNER MCMANUS 2015"
"HUD_RETRY_ACTIVITY_MESSAGE_FULL": "Si tu réessayes une activité, tu perdras les armes et le respect que tu as gagnés lors de cette activité."
"VEHICLE_PRICE": "PRIX"
"WPNSTOR_TEXT_MELEE_ONLY_ONE_BLANK": "Tu ne peux porter qu'un \"%s\"."
"STAT_COOP_REVIVES": "COOP : RÉSURRECTIONS JOUEUR"
"STAT_STRONGHOLDS_COMPLETED": "BASTIONS COMPLÉTÉS"
"STAT_DRIVING_DRIFTING_DISTANCE": "PLUS LONG DÉRAPAGE"
"STAT_DRIVING_BIGAIR": "SAUTS BIG AIR"
"STAT_CUSTOM_ITEMS_OWNED": "OBJETS PERSONNALISÉS POSSÉDÉS"
"STAT_CHOPSHOP_COMPLETED": "GARAGES CLANDESTINS TERMINÉS"
"ESCORT_NAME_34B": "MANTIS"
"SPStronghold": "JOUER {C10} BASTION: {C6}"
"COMERCIAL_5": "15 % DE RÉDUC CHEZ FRIENDLY FIRE"
"CUST_ICON_NECKLACES": "COLLIERS"
"GARAGE_CUSTOMIZE_VEHICLE": "PERSONNALISER"
"STORE_PLASTIC_SURGEON_MSG": "ALLER VOIR LE CHIRURGIEN ESTHÉTIQUE"
"HORDE_MODE_NEW_WAVE_MESSAGE": "VAGUE %i"
"STAT_BEST_WEAPON": "MEILLEURE ARME"
"STAT_HOSTAGES_EXTORTED": "OTAGES EXTORQUÉS"
"ESCORT_NAME_26A": "SUBMISSIVE"
"RESTORE_PLAYER": "PC RÉTABLIT À NORMAL"
"MUSIC_CLASSICAL": "CLASSIQUE"
"PURCHASEABLE_PROPERTEY_PAWN": "SNOOKY'S SUNDRIES AND MORE"
"PURCHASEABLE_PROPERTEY_COUNTERFITING": "COUNTERFITING"
"HORDE_MODE_REMAINING_ENEMIES_TAG": "ENNEMIS RESTANTS"
"STAT_LAW_ENFORCEMENT_KILLED": "REPRÉSENTANTS DE LA LOI TUÉS"
"SP Kills Col3_NAME": "CLASSEMENT MASSACRES"
"CUST_GANG_NAME_COWBOY": "COWBOY"
"GIVE_SHEPERD": "DONNER 45 SHEPHERD"
"GIVE_MOLOTOV": "DONNER COCKTAIL MOLOTOV"
"Infinite_Ammo": "MUNITIONS INFINIES"
"GIVE_CASH": "DONNER FRIC"
"MENU_SWAP_WEAPONS_STORE": "MAGASIN D'ARMES"
"STAT_WEAPON_PISTOL": "PISTOLET"
"STAT_COOP_TANDEM_DIVERSION_RECORDS": "COOP : RECORDS DISTRACTIONS TANDEM"
"STAT_TIME_PLAYED": "TEMPS DE JEU TOTAL"
"ESCORT_NAME_24A": "RISING"
"SP Vehicle Jumps Col1_NAME": "CLASSEMENT SAUTS VÉHICULES"
"SP Time Col1_NAME": "CLASSEMENT TEMPS DE JEU"
"CUST_GANG_NAME_80S": "ANNÉES 80"
"TATTOO_CONFIRM_PURCHASE_FULL": "Veux-tu acheter un tatouage \"%s\" sur la partie %s pour le prix de %s?"
"STORE_SWITCHING_TITLE": "BASCULER VERS {0}"
"CONTROL_SAVE_AND_QUIT": "SAUVEGARDER ET QUITTER"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "FRAUDE À L'ASSURANCE : DISTANCE DE CHUTE TOTALE"
"STAT_HIGHEST_RANK_ACHIEVED": "MEILLEUR NIVEAU OBTENU"
"STAT_CAT_MOUSE_CASH_EARNED": "CHAT & SOURIS : GAINS"
"STAT_COMBAT_MULTI": "MULTI-MEURTRES"
"Coop Time Played_NAME": "TEMPS DE JEU"
"CONTROL_RAISE_LOWER_CAMERA": "LEVER/BAISSER LA CAMÉRA"
"DROP_KNOXVILLE": "RECEVOIR KNOXVILLE"
"GOLDEN_GUN_DESC": "Tue en un tir."
"GARAGE_REMOVE_VEHICLE": "SUPPRIMER"
"STAT_UNARMED_KILLS": "VICTIMES NON ARMÉES TUÉES"
"STAT_TOTAL_CASH_SPENT": "TOTAL ARGENT DÉPENSÉ"
"STAT_MAX_DRIVER_BAILOUT_DAMAGE_DONE": "DÉGÂTS OCCASIONNÉS L'HOMME QUI TOMBE À PIC MAXI"
"ESCORT_NAME_22A": "SHOOTING"
"WARDROBE_REMOVE_CLOTHING": "Veux-tu retirer les autres vêtements?"
"MAP_ICON_CHOP_SHOP": "GARAGE CLANDESTIN"
"GIVE_PIMPSLAP": "DONNER SUPER-BAFFE"
"RAINING_PEDS": "PLUIE DE PIÉTONS"
"WPNSTOR_LEAVE_FULL_WEAPON_CACHE": "Veux-tu vraiment quitter la planque d'armes?"
"GANG_CUST_GANG_SIGN_POSE": "SE DÉPLACER"
"STAT_COMBAT_ENEMY_RESPECT": "RESPECT GAGNÉ CONTRE LES GANGS ENNEMIS"
"STAT_MAX_WHEELIE_DISTANCE": "DISTANCE WHEELIE MAXI"
"GIVE_BASEBALL": "DONNER BATTE DE BASEBALL"
"CUST_ICON_OUTFITS": "TENUES"
"GANG_CUST_VEHICLE_TITLE": "VÉHICULES"
"PURCHASEABLE_PROPERTEY_CASINO": "CHUPACABRA CASINO"
"STAT_PARACHUTE_DISTANCE_TRAVELLED": "DISTANCE PARACHUTE"
"STAT_DRIVING_WINDSHILED_RESPECT": "RESPECT GAGNÉ AVEC DES CHAIR À CANON"
"STAT_MAX_STOPPIE_DISTANCE": "DISTANCE STOPPIE MAXI"
"ESCORT_NAME_20A": "KING'S"
"CELL_EMERGENCY": "URGENCES"
"GIVE_RESPECT_DESC": "Te donne instantanément du respect."
"GIVE_MINIGUN": "DONNER SULFATEUSE"
"ACCEPT_GAME_INVITE_TEXT_FULL": "Veux-tu vraiment accepter l'invitation à un jeu?\nToute progression non sauvegardée sera perdue. "
"GANG_CUST_GANG_TAG_OPT": "TAG"
"WPNSTOR_TEXT_MAX_WEAPONS_CRIB": "Tu ne peux pas prendre d'autre(s) \"%s\" chez toi."
"STAT_TIME_AT_MAX_MORNINGSTAR_NOTORIETY": "DURÉE NOTORIÉTÉ ÉTOILES DU MATIN MAXIMALE"
"STAT_DRIVING_DRIFTING": "DÉRAPAGE"
"WARDROBE_REMOVE_CLOTHING_TITLE": "RETIRER AUTRES VÊTEMENTS"
"CONTROL_SIGN_IN": "SE CONNECTER"
"PAUSE_MAP_PAN": "PANORAMIQUE"
"GIVE_LAUNCHER": "DONNER GL G20"
"CHEAT_CHARACTER_RESTORE_DESC": "Retourne ton personnage joueur à la normale."
"MILK_BONES": "MILK BONES"
"STORE_BRA_SUB_WARNING": "Tu ne peux pas enlever un soutien-gorge que tu es en train de porter."
"VCUST_HUBCAP_OPTION": "ENJOLIVEURS"
"VCUST_SPINNER_NUMBER": "SPINNERS #{0}"
"PURCHASEABLE_PROPERTEY_CONDOS": "HIGH RISE CONDOS"
"CUST_ITEM_REMOVE_CLOTHING": "ENLEVER TOUS LES VÊTEMENTS ACTUELS"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "SPÉCIALISTES LUCHADORES TUÉS"
"STAT_MISSIONS_ATTEMPTED": "MISSIONS TENTÉES"
"STAT_SNIPER_HIT_PCT": "PRÉCISION FUSIL DE SNIPER"
"MAP_ICON_CLOTHING": "VÊTEMENTS"
"NO_GANG_NOTORIETY": "PAS DE NOTORIÉTÉ GANG"
"TIME_SET_NOON": "HEURE À MIDI"
"VCUST_AXLES_TITLE": "ESSIEUX"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "FRAUDE À L'ASSURANCE : + LONGUE DISTANCE DE CHUTE"
"STAT_SURFING": "SURF VÉHICULES"
"ESCORT_NAME_25B": "PHOENIX"
"SPMission": "JOUER {C10} MISSION: {C4}"
"TAXI_TITLE": "TAXI SERVICE"
"DROP_WOODPECKER": "RECEVOIR WOODPECKER"
"GIVE_DIGGER": "DONNER FOSSOYEUR"
"PIMPS_AND_HOS_PEDS": "MACS ET PUTES"
"WEATHER_DESC": "Change la météo actuelle."
"PURCHASEABLE_PROPERTEY_APARTMENTS": "DIXON'S REFUGE"
"CUSTOM_PREVIEW_UNAVAILABLE_POPUP": "APERÇU NON DISPONIBLE"
"STORE_TITLE_DISCARD": "ABANDON. ITEM"
"HORDE_MODE_RETRY_TEXT": "Veux-tu vraiment réessayer cette vague du Mode Horde?"
"HORDE_MODE_UNLIMITED_AMMO": "Chargeur illimité!"
"STAT_TAUNT_GANG": "MEMBRES DE GANGS VANNÉS"
"STAT_SPECIAL_AMMO_USED": "TIRS D'ARMES SPÉCIALES"
"ESCORT_NAME_39_A": "DOUBLE FIST"
"NO_GANG_NOTORIETY_DESC": "Réinitialise ta Notoriété gang."
"GIVE_STUNGUN": "DONNER PISTOLET ÉLECTRIQUE"
"WPNSTOR_TEXT_CRIB_TAKE_A_BLANK": "Veux-tu prendre 1 \"%s\"?"
"HORDE_MODE_TITLE_HIGHSCORE_NEW": "NOUVEAU MEILLEUR SCORE"
"HORDE_MODE_TITLE_ZOMBIE_WAVE": "VAGUE ZOMBIE"
"STAT_RPG_HIT_PCT": "PRÉCISION LANCE-ROQUETTES"
"STAT_MAX_STUNT_JUMP_FLIP": "FLIP SAUT MAXI"
"ESCORT_NAME_27B": "MILKSHAKE"
"CRIB_SR_NAME": "LOFT DE SAINTS ROW"
"NEVER_DIE_DESC": "Tu ne mourras jamais."
"STORE_UPGRADES_REQUIRED": "REQUIS"
"NO_ITEMS_DISPLAY_NAME": "PAS D'OBJET"
"HORDE_MODE_TITLE_PLAYER_SCORES": "SCORES JOUEUR"
"STAT_DRIVING_BAILOUT_DISTANCE": "PLUS LONG HOMME QUI TOMBE À PIC"
"GANG_POLICE": "POLICE"
"DROP_VTOL": "RECEVOIR VTOL"
"DROP_EAGLE": "RECEVOIR EAGLE"
"DROP_POCKETBIKE": "PEEWEE"
"EVIL_CARS_DESC": "Toutes les voitures essayent de t'écraser."
"STORE_PRIMARY_COLOR": "COULEUR PRINCIPALE"
"STORE_ITEM_OWNED": "POSSÉDÉ"
"STAT_SHOTGUN_SHOTS_FIRED": "TIRS DE FUSIL À POMPE"
"STAT_MAYHEM_LEVELS_COMPLETED": "CHAOS : TERMINÉS"
"STAT_DRIVING_DRIFTING_RESPECT": "RESPECT GAGNÉ AVEC DES DÉRAPAGES"
"STAT_VEHICLES_DESTROYED": "VÉHICULES DÉTRUITS"
"ESCORT_NAME_21B": "CORNHOLE"
"CONFIRM_DELETE_OUTFIT": "Veux-tu vraiment supprimer cette tenue? \nTes vêtements resteront dans la garde-robe."
"MAP_IMG_TATTOO": "[format][scale:1.0][image:map_store_tattoo][/format]"
"GIVE_SATCHEL": "DONNER SACOCHE EXPLOSIVE"
"WPNSTOR_REPLACE_BLANK_WITH_BLANK": "Veux-tu remplacer l'article \"%s\" par l'article \"%s?\""
"CRIB_HUD_DOCK_PURCHASE": "ACHETER QUAI POUR BATEAU DE RONDINI : {0} $"
"GANG_CUST_GANG_TAG_TITLE": "TAG DU GANG"
"STORE_AMBULANCE_MSG": "DEMANDER DES SOINS"
"STAT_CAT_MOUSE_LONGEST_DEATH_STREAK": "CHAT & SOURIS : PLUS LONGUE SÉRIE DE MORTS"
"STAT_GANG_NOTORIETY_TIME": "TEMPS PASSÉ EN NOTORIÉTÉ GANG MAXIMALE"
"WARDROBE_REMOVE_OUTFIT": "Veux-tu retirer cette tenue de ta garde-robe?"
"NO_COP_NOTORIETY_DESC": "Réinitialise ta Notoriété police."
"ELEVATOR_TO_HEAVEN": "LIEN CÉLESTE"
"HITMAN_LOCATION": "EMPLACEMENT CIBLE"
"DEALER_NO_PALETTE": "Aucune sélection de couleur dispo"
"STAT_MORNINGSTAR_SPECIALISTS_KILLED": "SPÉCIALISTES ÉTOILES DU MATIN TUÉS"
"ESCORT_NAME_23B": "DILLOW"
"Coop Player Kills_NAME": "MEURTRES JOUEURS"
"CONTROL_JOIN_GAME": "REJOINDRE LA PARTIE"
"MAP_ICON_HUMAN_TORCH": "TRAÎNÉE ARDENTE"
"DROP_ESTRADA": "RECEVOIR ESTRADA"
"UNLIMITED_CLIP": "CHARGEUR INFINI"
"MUSIC_EASYLISTENING": "VARIÉTÉS"
"WEAPONSTORE_TEXT_CONFIRM_PURCHASE_AMMO_FULL": "Veux-tu acheter l'article \"%s\" pour %s?"
"MENU_SWAP_WARDROBE": "GARDE-ROBE"
"VCUST_WHEELS_TITLE": "ROUES"
"PURCHASEABLE_PROPERTEY_CRACK": "CRACKHOUSE"
"CONTROL_QUIT_WITHOUT_SAVING": "QUITTER SANS SAUVEGARDER"
"GARAGE_NONE": "AUCUN VÉHICULE DANS CE GARAGE"
"HORDE_MODE_GAMEPLAY_TITLE": "MODE HORDE"
"STAT_CARS_DESTROYED": "NOMBRE DE VOITURES DÉTRUITES"
"STAT_CHOPSHOP_CASH": "GAINS GARAGE CLANDESTIN"
"STAT_TOTAL_RESPECT": "RESPECT TOTAL GAGNÉ"
"STAT_BEAT_COPS_KILLED": "FLICS DE PROXIMITÉ TUÉS"
"ESCORT_NAME_31A": "CREEPING"
"MAP_ICON_GUARDIAN_ANGEL": "ANGE GARDIEN"
"REPAIR_CAR": "RÉPARER VOITURE"
"SAVELOAD_FILE_NOT_LOADABLE": "Ce fichier de sauvegarde n'a pas pu être chargé car il est corrompu ou invalide."
"STORE_DETAIL_COLOR": "COULEUR DÉTAIL"
"GANG_CUST_GANG_STYLE_TITLE": "STYLE DU GANG"
"PURCHASEABLE_PROPERTEY_COLA": "JOE COLA FACTORY"
"TATTOO_REMOVE": "Veux-tu enlever le tatouage sur la partie %s?"
"HORDE_MODE_NEW_WAVE_MESSAGE_TITLE": "Nouvelle vague!"
"STAT_MASCOTS_KILLED": "MASCOTTES TUÉES"
"STAT_DRIVING_STOPPIE_TIME": "PLUS LONGUE ROUE AVANT"
"STAT_LONGEST_VEHICLE_SURF_HANDSTAND_TIME": "PLUS LONG SURF SUR LES MAINS"
"STAT_LONGEST_VEHICLE_SURFING_TIME": "PLUS LONG SURF"
"STAT_BAIL_MONEY": "CAUTIONS PAYÉES"
"CONTROL_CONTINUE": "CONTINUER"
"GIVE_HAMMER": "DONNER MARTEAU S3X"
"DROP_GYRO": "GYRO DADDY"
"STORE_SECONDARY_COLOR": "COULEUR SECONDAIRE"
"GARAGE_TEXT_INSUFFICIENT_FUNDS": "Tu n'as pas assez d'argent pour réparer ce véhicule.\nLe récupérer quand même?"
"CRIB_CUSTOMIZE_PURCHASE_PROMPT": "Acheter {0} pour {1} $?"
"VCUST_WHEEL_WIDTH_OPTION": "LARGEUR DES ROUES"
"TAT_REG_BACK": "DOS"
"STAT_WEAPON_SNIPER": "SNIPER"
"STAT_COMBAT_MELEE_RESPECT": "RESPECT GAGNÉ AVEC DES MEURTRES EN COMBAT RAPPROCHÉ"
"STAT_MAX_TWO_WHEELS_DISTANCE": "DISTANCE DEUX ROUES MAXI"
"ESCORT_NAME_33A": "ROMAN"
"HASH_DF7D0B4B": "TAG DE LA MORT : MORTS"
"ZOMBIE_PEDS_DESC": "Tous les piétons sont des zombies."
"MUSIC_DANCE": "DANCE"
"STORE_TEXT_CONFIRM_PURCHASE_FULL": "Veux-tu acheter l'article \"%s\" pour %s?"
"PURCHASEABLE_PROPERTEY_SERVICE2": "PASSING GAS SERVICE STATION"
"STORE_TEXT_CONFIRM_PURCHASE_BLANK": "Veux-tu acheter cet objet?"
"HORDE_MODE_TEAM_SCORE": "SCORE"
"STAT_VEHICLE_BIKE": "MOTO"
"STATS_DISTANCE_FEET": "%0.2fft"
"STAT_DRIVING_BIGAIR_RESPECT": "RESPECT GAGNÉ AVEC DES SAUTS BIG AIR"
"STAT_HOMIES_RECRUITED": "POTES RECRUTÉS"
"MAP_IMG_MECHANIC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"DROP_TAXI": "RECEVOIR TAXI"
"CUST_ICON_LOWER_BODY": "ZONE INFÉRIEURE"
"STORE_ZOOM": "ZOOM"
"VEHICLE_TYPE_TITLE": "TYPE DE VÉHICULE"
"STAT_CAT_MOUSE_MOST_ROUND_DEATHS": "CHAT & SOURIS : PLUS DE MORTS DANS UN ROUND"
"STAT_CAT_MOUSE_WINS": "CHAT & SOURIS : VICTOIRES"
"ESCORT_NAME_35A": "SITTING"
"GARAGE_REMOVE_PROMPT": "Veux-tu vraiment supprimer ce véhicule?"
"STAT_WEAPON_SPECIAL": "SPÉCIAL"
"STAT_DRIVING_BURNOUT_RESPECT": "RESPECT GAGNÉ AVEC DES BURNOUTS"
"ESCORT_NAME_29B": "PRINCESS"
"CUST_ICON_TATTOO_ARMS": "TATOUAGES BRAS"
"CUST_ICON_TATTOO_TORSO": "TATOUAGES TORSE"
"CUST_ICON_HEAD": "TÊTE"
"STORE_NAME_GAS_STATION": "GAS STATION"
"PURCHASEABLE_PROPERTEY_HOSTEL": "ODYSSEY HOSTEL"
"CUST_ITEM_DELETE_OUTFIT": "EFFACER TENUE"
"HORDE_MODE_MENU_NEW_GAME": "NOUVELLE PARTIE"
"STAT_DRIVING_STOPPIE": "ROUES AVANT"
"ESCORT_NAME_37A": "INVERTED"
"PAUSE_MAP_WAYPOINT_SET": "DÉFINIR POINT INTERMÉDIAIRE"
"MAP_IMG_WEAPON": "[format][scale:1.0][image:map_store_gun][/format]"
"GOD_MODE": "MODE DIVIN"
"MUSIC_ROCK": "ROCK"
"GANG_CUST_SLOT": "EMPLACEMENT {0} - {1:TEXT_TAG_CRC}"
"STAT_WEAPON_SHOTGUN": "FUSIL À POMPE"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "TOTAL FLICS VANNÉS"
"STAT_ESCORT_CLIENTS_SERVICED": "ESCORTE : NOMBRE DE CLIENTS ACCOMPAGNÉS"
"STAT_SURFING_TIME": "PLUS LONG SURF VÉHICULES"
"STAT_HITMAN_TARGETS": "CIBLES ÉLIMINÉES"
"ESCORT_NAME_38_B": "CLÉ À MOLETTE"
"HASH_D5C46250": "TAG DE LA MORT : MEURTRES"
