"DROP_SPHERE": "SPHÄRE ENTFERNEN"
"STAT_UNIQUE_VEHICLES_OWNED": "EINZIGARTIGE FAHRZEUGE IM BESITZ"
"STATS_BLANK_OF_BLANK": "%d VON %d"
"DROP_COMMANDER": "COMMANDER ENTFERNEN"
"BLOODY_MESS": "BLUTIGE SAUEREI"
"STORE_BRA_WARNING": "WARNUNG"
"CUST_ITEM_NOTHING": "NICHTS"
"HUD_CRIB_CUSTOMIZE": "DEIN DOMIZIL ZU VERÄNDERN"
"GARAGE_CAT_4": "RÄDER"
"STAT_THROWN_WEAPON_USES": "BENUTZTE WURFWAFFEN"
"ESCORT_NAME_11A": "DRIPPING"
"ESCORT_NAME_2A": "RUSTY"
"Coop Col3_NAME": "KOOP-RANGLISTE"
"LOW_GRAVITY_DESC": "Stilwaters Schwerkraftgeneratoren arbeiten nur mit einem Viertel ihrer Leistung."
"CUST_REMOVE_ITEM_BODY": "Bist du sicher, dass du diesen Gegenstand entfernen möchtest?"
"PURCHASEABLE_PROPERTEY_FACTORY": "FABRIK"
"GARAGE_HELIPORT": "HUBSCHRAUBERLANDEPLATZ"
"HORDE_MODE_ALL_ENEMIES_KILLED": "Feinde getötet!"
"STAT_WEAPON_RIFLE": "GEWEHR"
"STAT_COOP_STRONGHOLDS_COMPLETED": "KOOP: EINGENOMMENE FESTUNGEN"
"GENERAL_YOU": "DU"
"HASH_631F9AA8": "KOOP-META-SPIEL: PUNKTE"
"MUSIC_ARTIST_UNKNOWN": "UNBEKANNT"
"STAT_GARAGES_ACQUIRED": "IN BESITZ GEBRACHTE GARAGEN"
"STAT_CAT_MOUSE_KILLS": "KATZ & MAUS: KILLS"
"STAT_RIFLE_SHOTS_FIRED": "ABGEFEUERTE GEWEHRSCHÜSSE"
"CUST_GANG_NAME_COLLEGE": "STUDENTEN"
"GOD_MODE_DESC": "Niemand kann dich aufhalten."
"ACT_CHOP_SHOP_LEAVE_FULL": "Möchtest du die Werkstatt wirklich verlassen?"
"GARAGE_CAT_1": "KAROSSERIEMODS"
"STORE_CLOTHING_STORE_MSG": "KAUFE KLEIDUNG"
"STRONGHOLD_START_TEXT": "DRÜCKE %s, UM EINE %s FESTUNG EINZURICHTEN"
"ADD_GANG_NOTORIETY_DESC": "Erhöht die Bandenbekanntheit um einen Stern bei jeder Benutzung."
"Overcast": "BEWÖLKT"
"TAXI_CONFIRM_PURCHASE_FULL": "Möchtest du dieses Fahrzeug für %ls kaufen?"
"MENU_SWAP_WEAPONS_CACHE": "WAFFENLAGER"
"STORE_TITLE_PURCHASING": "WIRD GEKAUFT"
"STAT_VEHICLES_HIJACKED": "GESTOHLENE FAHRZEUGE"
"STAT_HOSTAGE_CASH": "ALS ENTFÜHRER VERDIENTES GELD"
"CONTROL_ROTATE": "DREHEN"
"DROP_SANDSTORM": "SANDSTORM ENTFERNEN"
"GIVE_DILDO": "PENETRATOR GEBEN"
"GIVE_GRENADE": "GRANATE GEBEN"
"TIME_SET_MIDNIGHT": "MITTERNACHT"
"STORE_CHOOSE_A_CATEGORY": "WÄHLE EINE KATEGORIE AUS"
"STORE_ZOOM_ROTATE": "ZOOMEN / DREHEN"
"STAT_DRUG_PACKAGES_FOUND": "GEFUNDENE DROGENPAKETE"
"Coop Col1_NAME": "KOOP-RANGLISTE"
"HASH_BD9681AC": "KOOP-META-SPIEL: MEISTE PUNKTE IN EINER RUNDE"
"CONTROL_EXIT_PLAYER_CREATION": "KÖRPER BEENDEN"
"CONTROL_OKAY": "OK"
"CELL_NEWS_VAN": "NACHRICHTENREDAKTION"
"STORE_PRICE": "PREIS {0}$"
"STORE_TEXT_DISCARD_OUTFIT_WARNING": "Wenn du diesen Gegenstand aus deinem Kleiderschrank entfernst, wird auch das dazu gehörende Outfit entfernt."
"CRIB_WARDROBE_EXIT": "Kleiderschrank verlassen\n\nBist du sicher?"
"STORE_EXIT_CLIPBOARD": "Schwarzes Brett verlassen?"
"STAT_HITMAN_TARGETS_ELIMINATED": "ELIMINIERTE PRÜGELKNABENZIELE"
"STAT_BIKES_DESTROYED": "ANZAHL ZERSTÖRTER MOTORRÄDER"
"STAT_MELEE_KILLS": "NAHKAMPF-KILLS"
"STATS_YES": "JA"
"ESCORT_NAME_8A": "GOLDEN"
"HASH_84FAC22D": "DURCH BLITZEN VERDIENTER RESPEKT"
"CELL_RUSTYS_NEEDLE": "RUSTY'S NEEDLE"
"LOW_GRAVITY": "GERINGE SCHWERKRAFT"
"CUST_ICON_SUITS": "ANZÜGE"
"CUST_ICON_RINGS": "RINGE"
"CUSTOMIZE_ITEM_SAVE_CHANGES_EXIT_FULL": "Möchtest du vor dem Beenden\ndeine Änderungen speichern?"
"STAT_SMG_SHOTS_FIRED": "ABGEFEUERTE MP-SCHÜSSE"
"STAT_SWAT_KILLED": "GETÖTETE SWAT-LEUTE"
"CONTROL_RETURN_TO_MAIN_MENU": "ZURÜCK ZUM HAUPTMENÜ"
"CONTROL_ZOOM": "ZOOM"
"CONTROL_PURCHASE": "KAUFEN"
"MAP_ICON_CRIB_PURCHASE": "DOMIZIL ZU VERKAUFEN"
"CHEAT_CHARACTER_DESC": "Macht deinen Spielercharakter zu dieser Person."
"MUSIC_ELECTRONICA": "ELEKTRONISCH"
"POC2_WEAPON_UPGRADE_1": "WAFFE VERBESSERN - STUFE 1"
"STORE_BUILD": "KÖRPERBAU"
"COMPLETION_STYLE_BONUS": "STILBONUS"
"PURCHASEABLE_PROPERTEY_THUNDER": "THUNDER PUMP"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "PANZERVANDALISMUS: VERURSACHTER SCHADEN"
"STAT_TIME_AT_MAX_POLICE_NOTORIETY": "ZEIT BEI MAXIMALER POLIZEIBEKANNTHEIT"
"STAT_LONGEST_POWERSLIDE_TIME": "LÄNGSTE POWERSLIDE-ZEIT"
"STAT_TOTAL_MONEY": "INSGESAMT VERDIENTES GELD"
"ESCORT_NAME_19A": "SPITTING"
"HASH_2B28212F": "LÄNGSTE HYDRAULIKKETTE"
"CONTROL_EXIT_WARDROBE": "KLEIDERSCHRANK BEENDEN"
"MAP_ICON_HITMAN": "PRÜGELKNABE"
"GIVE_TEKZ10": "TEK Z-10 GEBEN"
"TOD_CYCLE_DESC": "Ändert die Tageszeit."
"SAVELOAD_CONTINUE_NO_FILES_FOUND": "Es wurden keine zuvor erstellten Spielstände gefunden.\nEin neues Spiel starten?"
"STORE_UNDERWEAR_WARNING": "WARNUNG"
"WPNSTOR_TITLE_FRIENDLY_FIRE": "FRIENDLY FIRE"
"HORDE_MODE_WEAPON_UPGRADE_TITLE": "Hauptwaffe verbessert!"
"SP Vehicle Jumps Col3_NAME": "FAHRZEUGSPRUNG-RANGLISTE"
"SP Diversion Stars Col2_NAME": "MINISPIEL-BESTENLISTE"
"SP Time Col3_NAME": "SPIELZEIT-BESTENLISTE"
"HASH_745E5BB0": "TODESSTOSS: LÄNGSTE KILL-SERIE"
"GIANT_PLAYER": "ICH BIN RIESIG"
"SUPER_SAINTS": "SUPER-SAINTS"
"BUILDING_PURCHASE_CASH_PER_HOUR": "${0} PRO STUNDE"
"CRIB_HUD_DOCK_NAME": "RONDINIS BOOTSDOCK"
"VEHICLE_ADVANCED": "%s (ERWEITERT)"
"GARAGE_CAT_5": "DETAILS"
"STAT_CAT_MOUSE_TIME": "KATZ & MAUS: VERBRAUCHTE ZEIT"
"STAT_FRAUD_CASH_CLAIMED": "VERSICHERUNGSBETRUG: ERSCHWINDELTES GELD"
"STAT_DIVERSION_CASH_EARNED": "VERDIENST DURCH MINISPIELE"
"STAT_BASE_OWNED": "FALLSCHIRM IM BESITZ"
"SP Kills Col1_NAME": "KILL-SERIE-BESTENLISTE"
"CAR_MASS_HOLE_DESC": "Dein Fahrzeug hat eine unendliche Masse und fegt alle anderen Fahrzeuge aus dem Weg."
"PLAYER_PRATFALLS_DESC": "Benutze {SHOULDER_CAMERA_IMG}/{ATTACK_PRIMARY_IMG}, um dich wie beim Versicherungsbetrug zu stürzen."
"BUILDING_PURCHASE_DISCOUNT": "{0}%%% RABATT"
"GANG_CUST_SLOT_1": "PLATZ 1"
"STORE_CAR_MECHANIC_MSG": "SUCHE DEN KFZ-MECHANIKER AUF"
"STAT_NEIGHBORHOODS_EXPLORED": "ERKUNDETE NACHBARSCHAFTEN"
"ESCORT_NAME_32B": "MATRIARCH"
"GIVE_RPG": "PANZERFAUST GEBEN"
"DROP_AMBULANCE": "AMBULANCE ENTFERNEN"
"PREVIEW_UNAVAILABLE": "VORSCHAU NICHT VERFÜGBAR"
"VCUST_TIRE_TREAD_OPTION": "REIFENPROFIL"
"STAT_SHORTCUTS_FOUND": "GEFUNDENE ABKÜRZUNGEN"
"STAT_MISSIONS_FAILED": "GESCHEITERTE AUFTRÄGE"
"STAT_CAT_MOUSE_DEATHS": "KATZ & MAUS: TODE"
"STAT_COOP_TIME_PLAYED": "KOOP: GESPIELTE ZEIT"
"STAT_COMBAT_MOTORCYCLE_RESPECT": "DURCH MOTORRAD-SCHWERT-KILLS VERDIENTER RESPEKT"
"STAT_MAX_STUNT_JUMP_DISTANCE": "MAX. SPRUNGDISTANZ"
"CONTROL_BTN_START": "START"
"DROP_MIAMI": "MIAMI ENTFERNEN"
"ACHIEVES_GAIN_BLANK": "Folgender Status wurde erreicht: %s!"
"ESCORT_NAME_30B": "NORRIS"
"CUST_TITLE_OUTFIT_CREATION": "ERSTELLUNGSBESTÄTIGUNG"
"HASH_D25D9734": "MAX. HÜFTSCHUSSDISTANZ"
"CUST_GANG_NAME_CROSS": "TRANSVESTITEN"
"BLOODY_MESS_DESC": "Alle, die du umlegst, explodieren."
"REPAIR_CAR_DESC": "Repariert den gesamten Schaden an deinem Fahrzeug."
"PURCHASEABLE_PROPERTEY_PAWN2": "PLAN B PAWN SHOP"
"GARAGE_REPAIR_MUST": "DU KANNST DEIN FAHRZEUG NICHT UMBAUEN, SO LANGE ES NICHT VOLLSTÄNDIG REPARIERT IST"
"STAT_TIME_AT_MAX_DECKER_NOTORIETY": "ZEIT BEI MAXIMALER DECKER-BEKANNTHEIT"
"STAT_SURFING_RESPECT": "DURCH FAHRZEUG-SURFEN VERDIENTER RESPEKT"
"STAT_COMBAT_NUTSHOT": "EIERSCHÜSSE"
"Partners in Crime_NAME": "VERBRECHENSPARTNER"
"PAUSE_MAP_ICONS_ON_OFF": "SYMBOLE AN/AUS"
"GANG_NEUTRAL": "NEUTRAL"
"TAT_REG_L_FOREARM": "L. UNTERARM"
"HORDE_MODE_NEW_TEXT": "Bist du sicher, dass du den Hordenmodus neu starten möchtest?"
"STAT_SNATCH_LEVELS_COMPLETED": "BEENDETE ABGREIFEN-AUFTRÄGE"
"ESCORT_NAME_36B": "BISHOP"
"CELL_RIM": "RIM JOBS"
"GIVE_CYBER": "CYBERBUSTER GEBEN"
"PLAYER_CREATION_SAVE_CHANGES_EXIT_TEXT_FULL": "Möchtest du vor dem Beenden\ndeine Änderungen speichern?"
"STORE_EXIT": "VERLASSEN"
"HORDE_MODE_TITLE_FINAL_COMPLETE": "LETZTE WELLE GESCHAFFT"
"STAT_BRUTES_KILLED": "GETÖTETE SCHLÄGER"
"ESCORT_NAME_28A": "WICKED"
"vandalism": "VANDALISMUS"
"HASH_2B25A437": "ANGEBLITZTE PERSONEN"
"CONTROL_NO": "NEIN"
"GIVE_SNIPER": "MCMANUS 2015 GEBEN"
"HUD_RETRY_ACTIVITY_MESSAGE_FULL": "Wenn du eine Aktivität wiederholen möchtest, verlierst du alle Waffen und den Respekt, den du dir bereits erarbeitetet hattest."
"VEHICLE_PRICE": "PREIS"
"WPNSTOR_TEXT_MELEE_ONLY_ONE_BLANK": "Davon kannst du nur eins tragen: \"%s\"."
"STAT_COOP_REVIVES": "KOOP: SPIELER-WIEDERBELEBUNGEN"
"STAT_STRONGHOLDS_COMPLETED": "EINGENOMMENE FESTUNGEN"
"STAT_DRIVING_DRIFTING_DISTANCE": "LÄNGSTER POWERSLIDE"
"STAT_DRIVING_BIGAIR": "GROSSE LUFTSPRÜNGE"
"STAT_CUSTOM_ITEMS_OWNED": "INDIVIDUELLE GEGENSTÄNDE IN DEINEM BESITZ"
"STAT_CHOPSHOP_COMPLETED": "ERLEDIGTE WERKSTÄTTEN"
"ESCORT_NAME_34B": "MANTIS"
"SPStronghold": "SPIELT {C10} FESTUNG: {C6}"
"COMERCIAL_5": "15% RABATT BEI FIRENDLY FIRE"
"CUST_ICON_NECKLACES": "HALSKETTEN"
"GARAGE_CUSTOMIZE_VEHICLE": "BENUTZERDEFINIERT"
"STORE_PLASTIC_SURGEON_MSG": "SUCHE DEN PLASTISCHEN CHIRURGEN AUF"
"HORDE_MODE_NEW_WAVE_MESSAGE": "WELLE %i"
"STAT_BEST_WEAPON": "BESTE WAFFE"
"STAT_HOSTAGES_EXTORTED": "ERPRESSTE GEISELN"
"ESCORT_NAME_26A": "SUBMISSIVE"
"RESTORE_PLAYER": "PC AUF NORMAL ZURÜCKSETZEN"
"MUSIC_CLASSICAL": "KLASSISCH"
"PURCHASEABLE_PROPERTEY_PAWN": "SNOOKY'S SUNDRIES AND MORE"
"PURCHASEABLE_PROPERTEY_COUNTERFITING": "COUNTERFITING"
"HORDE_MODE_REMAINING_ENEMIES_TAG": "ÜBRIGE FEINDE"
"STAT_LAW_ENFORCEMENT_KILLED": "INSGESAMT GETÖTETE POLIZEIBEAMTE"
"SP Kills Col3_NAME": "KILL-SERIE-BESTENLISTE"
"CUST_GANG_NAME_COWBOY": "COWBOY"
"GIVE_SHEPERD": "45 SHEPERD GEBEN"
"GIVE_MOLOTOV": "MOLOTOW-COCKTAIL GEBEN"
"Infinite_Ammo": "UNENDLICH MUNITION"
"GIVE_CASH": "GELD HINZUFÜGEN"
"MENU_SWAP_WEAPONS_STORE": "WAFFENLADEN"
"STAT_WEAPON_PISTOL": "PISTOLE"
"STAT_COOP_TANDEM_DIVERSION_RECORDS": "KOOP: TANDEM-MINISPIEL-REKORDE"
"STAT_TIME_PLAYED": "GESAMTSPIELZEIT"
"ESCORT_NAME_24A": "RISING"
"SP Vehicle Jumps Col1_NAME": "FAHRZEUGSPRUNG-RANGLISTE"
"SP Time Col1_NAME": "SPIELZEIT-BESTENLISTE"
"CUST_GANG_NAME_80S": "80ER"
"TATTOO_CONFIRM_PURCHASE_FULL": "Möchtest du eine Tätowierung \"%s\" (%s) für %s kaufen?"
"STORE_SWITCHING_TITLE": "WECHSEL ZU {0}"
"CONTROL_SAVE_AND_QUIT": "SPEICHERN UND BEENDEN"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "VERSICHERUNGSBETRUG: STURZDISTANZ GESAMT"
"STAT_HIGHEST_RANK_ACHIEVED": "HÖCHSTER ERREICHTER RANG"
"STAT_CAT_MOUSE_CASH_EARNED": "KATZ & MAUS: VERDIENTES GELD"
"STAT_COMBAT_MULTI": "MEHRFACH-KILLS"
"Coop Time Played_NAME": "GESPIELTE ZEIT"
"CONTROL_RAISE_LOWER_CAMERA": "KAMERA HÖHER/TIEFER"
"DROP_KNOXVILLE": "KNOXVILLE ENTFERNEN"
"GOLDEN_GUN_DESC": "Ein Schuss tötet."
"GARAGE_REMOVE_VEHICLE": "LÖSCHEN"
"STAT_UNARMED_KILLS": "UNBEWAFFNETE KILLS"
"STAT_TOTAL_CASH_SPENT": "INSGESAMT AUSGEGEBENES GELD"
"STAT_MAX_DRIVER_BAILOUT_DAMAGE_DONE": "MAX. FAHRERAUSSTIEGSCHADEN"
"ESCORT_NAME_22A": "SHOOTING"
"WARDROBE_REMOVE_CLOTHING": "Möchtest du die andere Kleidung entfernen?"
"MAP_ICON_CHOP_SHOP": "WERKSTATT"
"GIVE_PIMPSLAP": "ZUHÄLTERKLATSCH GEBEN"
"RAINING_PEDS": "FUSSGÄNGERREGEN"
"WPNSTOR_LEAVE_FULL_WEAPON_CACHE": "Möchtest du das Waffenlager wirklich verlassen?"
"GANG_CUST_GANG_SIGN_POSE": "GEHEN"
"STAT_COMBAT_ENEMY_RESPECT": "DURCH TÖTEN FEINDLICHER BANDEN VERDIENTER RESPEKT"
"STAT_MAX_WHEELIE_DISTANCE": "MAX. WHEELIE-DISTANZ"
"GIVE_BASEBALL": "BASEBALL-SCHLÄGER GEBEN"
"CUST_ICON_OUTFITS": "OUTFITS"
"GANG_CUST_VEHICLE_TITLE": "FAHRZEUGE"
"PURCHASEABLE_PROPERTEY_CASINO": "CHUPACABRA CASINO"
"STAT_PARACHUTE_DISTANCE_TRAVELLED": "FALLSCHIRM-DISTANZ"
"STAT_DRIVING_WINDSHILED_RESPECT": "DURCH WINDSCHUTZSCHEIBENKANONEN VERDIENTER RESPEKT"
"STAT_MAX_STOPPIE_DISTANCE": "MAX. STOPPERDISTANZ"
"ESCORT_NAME_20A": "KING'S"
"CELL_EMERGENCY": "NOTRUF"
"GIVE_RESPECT_DESC": "Du bekommst auf der Stelle Respekt."
"GIVE_MINIGUN": "MINIKANONE GEBEN"
"ACCEPT_GAME_INVITE_TEXT_FULL": "Möchtest du die Spieleinladung wirklich annehmen?\n(Alle nicht gespeicherten Fortschritte gehen verloren.) "
"GANG_CUST_GANG_TAG_OPT": "MARKIERUNG"
"WPNSTOR_TEXT_MAX_WEAPONS_CRIB": "Noch mehr davon kannst du nicht aus deinem Domizil nehmen: %s."
"STAT_TIME_AT_MAX_MORNINGSTAR_NOTORIETY": "ZEIT BEI MAXIMALER MORGENSTERN-BEKANNTHEIT"
"STAT_DRIVING_DRIFTING": "POWERSLIDE"
"WARDROBE_REMOVE_CLOTHING_TITLE": "ANDERE KLEIDUNG ENTFERNEN"
"CONTROL_SIGN_IN": "ANMELDEN"
"PAUSE_MAP_PAN": "VERSCHIEBEN"
"GIVE_LAUNCHER": "GL G20 GEBEN"
"CHEAT_CHARACTER_RESTORE_DESC": "Macht deinen Spielercharakter wieder normal."
"MILK_BONES": "MILCHKNOCHEN"
"STORE_BRA_SUB_WARNING": "Du kannst keinen BH entfernen, den du derzeit trägst."
"VCUST_HUBCAP_OPTION": "RADKAPPEN"
"VCUST_SPINNER_NUMBER": "SPEICHEN #{0}"
"PURCHASEABLE_PROPERTEY_CONDOS": "HIGH RISE CONDOS"
"CUST_ITEM_REMOVE_CLOTHING": "AKTUELLE KLEIDUNG ENTFERNEN"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "GETÖTETE LUCHADORES-SPEZIALISTEN"
"STAT_MISSIONS_ATTEMPTED": "VERSUCHTE AUFTRÄGE"
"STAT_SNIPER_HIT_PCT": "TREFFERQUOTE MIT SCHARFSCHÜTZENGEWEHR"
"MAP_ICON_CLOTHING": "KLEIDUNG"
"NO_GANG_NOTORIETY": "KEINE BANDENBEKANNTHEIT"
"TIME_SET_NOON": "MITTAG"
"VCUST_AXLES_TITLE": "ACHSEN"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "VERSICHERUNGSBETRUG: GRÖSSTE STURZDISTANZ"
"STAT_SURFING": "FAHRZEUG-SURFEN"
"ESCORT_NAME_25B": "PHOENIX"
"SPMission": "SPIELT {C10} AUFTRAG: {C4}"
"TAXI_TITLE": "TAXIDIENST"
"DROP_WOODPECKER": "WOODPECKER ENTFERNEN"
"GIVE_DIGGER": "TOTENGRÄBER GEBEN"
"PIMPS_AND_HOS_PEDS": "ZUHÄLTER UND NUTTEN"
"WEATHER_DESC": "Ändert das aktuelle Wetter."
"PURCHASEABLE_PROPERTEY_APARTMENTS": "DIXON'S REFUGE"
"CUSTOM_PREVIEW_UNAVAILABLE_POPUP": "VORSCHAU NICHT VERFÜGBAR"
"STORE_TITLE_DISCARD": "GEGENSTAND ENTFERNEN"
"HORDE_MODE_RETRY_TEXT": "Bist du sicher, dass du diese Welle des Hordenmodus noch einmal probieren möchtest?"
"HORDE_MODE_UNLIMITED_AMMO": "Bodenloses Magazin!"
"STAT_TAUNT_GANG": "VERSPOTTETE BANDENMITGLIEDER"
"STAT_SPECIAL_AMMO_USED": "ABGEFEUERTE SCHÜSSE MIT SPEZIALWAFFE"
"ESCORT_NAME_39_A": "DOPPELFÄUSTIG"
"NO_GANG_NOTORIETY_DESC": "Entfernt jegliche Bandenbekanntheit."
"GIVE_STUNGUN": "LÄHMUNGSPISTOLE GEBEN"
"WPNSTOR_TEXT_CRIB_TAKE_A_BLANK": "Möchtest du folgenden Gegenstand nehmen: \"%s\"?"
"HORDE_MODE_TITLE_HIGHSCORE_NEW": "NEUE HÖCHSTPUNKTZAHL"
"HORDE_MODE_TITLE_ZOMBIE_WAVE": "ZOMBIEWELLE"
"STAT_RPG_HIT_PCT": "TREFFERQUOTE MIT PANZERFAUST"
"STAT_MAX_STUNT_JUMP_FLIP": "MAX SPRUNGDREHUNG"
"ESCORT_NAME_27B": "MILKSHAKE"
"CRIB_SR_NAME": "SAINTS ROW-LOFT"
"NEVER_DIE_DESC": "Du stirbst niemals."
"STORE_UPGRADES_REQUIRED": "ERFORDERLICH"
"NO_ITEMS_DISPLAY_NAME": "KEINE GEGENSTÄNDE"
"HORDE_MODE_TITLE_PLAYER_SCORES": "SPIELERPUNKTE"
"STAT_DRIVING_BAILOUT_DISTANCE": "LÄNGSTER AUSSTIEG"
"GANG_POLICE": "POLIZEI"
"DROP_VTOL": "VTOL ENTFERNEN"
"DROP_EAGLE": "EAGLE ENTFERNEN"
"DROP_POCKETBIKE": "PEEWEE"
"EVIL_CARS_DESC": "Alle Autos versuchen, dich zu überfahren."
"STORE_PRIMARY_COLOR": "HAUPTFARBE"
"STORE_ITEM_OWNED": "IN BESITZ"
"STAT_SHOTGUN_SHOTS_FIRED": "ABGEFEUERTE SCHROTFLINTENSCHÜSSE"
"STAT_MAYHEM_LEVELS_COMPLETED": "BEENDETE VANDALISMUS-AUFTRÄGE"
"STAT_DRIVING_DRIFTING_RESPECT": "DURCH POWERSLIDES VERDIENTER RESPEKT"
"STAT_VEHICLES_DESTROYED": "ZERSTÖRTE FAHRZEUGE"
"ESCORT_NAME_21B": "CORNHOLE"
"CONFIRM_DELETE_OUTFIT": "Bist du sicher, dass du dieses Outfit löschen möchtest?\nDie Kleidungsstücke bleiben in deinem Kleiderschrank."
"MAP_IMG_TATTOO": "[format][scale:1.0][image:map_store_tattoo][/format]"
"GIVE_SATCHEL": "PIONIERSPRENGLADUNG GEBEN"
"WPNSTOR_REPLACE_BLANK_WITH_BLANK": "Möchtest du \"%s\" mit \"%s\" tauschen?"
"CRIB_HUD_DOCK_PURCHASE": "RONDINIS BOOTSDOCK KAUFEN: {0}$"
"GANG_CUST_GANG_TAG_TITLE": "BANDENMARKIERUNG"
"STORE_AMBULANCE_MSG": "LASSE EIN BEHANDLUNG VORNEHMEN"
"STAT_CAT_MOUSE_LONGEST_DEATH_STREAK": "KATZ & MAUS: LÄNGSTE TODES-SERIE"
"STAT_GANG_NOTORIETY_TIME": "ZEIT MIT HÖCHSTER BANDENBEKANNTHEIT"
"WARDROBE_REMOVE_OUTFIT": "Möchtest du dieses Outfit aus deinem Kleiderschrank entfernen?"
"NO_COP_NOTORIETY_DESC": "Entfernt jegliche Polizeibekanntheit."
"ELEVATOR_TO_HEAVEN": "HIMMELWÄRTS"
"HITMAN_LOCATION": "ZIELORT"
"DEALER_NO_PALETTE": "Keine Palette verfügbar."
"STAT_MORNINGSTAR_SPECIALISTS_KILLED": "GETÖTETE MORGENSTERN-SPEZIALISTEN"
"ESCORT_NAME_23B": "DILLOW"
"Coop Player Kills_NAME": "SPIELER-KILLS"
"CONTROL_JOIN_GAME": "SPIEL BEITRETEN"
"MAP_ICON_HUMAN_TORCH": "AMOKFAHRT"
"DROP_ESTRADA": "ESTRADA ENTFERNEN"
"UNLIMITED_CLIP": "MAGAZIN IMMER VOLL"
"MUSIC_EASYLISTENING": "LEICHTE MUSIK"
"WEAPONSTORE_TEXT_CONFIRM_PURCHASE_AMMO_FULL": "Möchtest du \"%s\" für %s kaufen?"
"MENU_SWAP_WARDROBE": "KLEIDERSCHRANK"
"VCUST_WHEELS_TITLE": "RÄDER"
"PURCHASEABLE_PROPERTEY_CRACK": "CRACKHOUSE"
"CONTROL_QUIT_WITHOUT_SAVING": "BEENDEN OHNE SPEICHERN"
"GARAGE_NONE": "KEINE FAHRZEUGE IN DER GARAGE"
"HORDE_MODE_GAMEPLAY_TITLE": "HORDENMODUS"
"STAT_CARS_DESTROYED": "ANZAHL ZERSTÖRTER AUTOS"
"STAT_CHOPSHOP_CASH": "IN WERKSTATT VERDIENTES GELD"
"STAT_TOTAL_RESPECT": "INSGESAMT VERDIENTER RESPEKT"
"STAT_BEAT_COPS_KILLED": "GETÖTETE BEREITSCHAFTSPOLIZISTEN"
"ESCORT_NAME_31A": "CREEPING"
"MAP_ICON_GUARDIAN_ANGEL": "SCHUTZENGEL"
"REPAIR_CAR": "AUTO REPARIEREN"
"SAVELOAD_FILE_NOT_LOADABLE": "Diese Speicherdatei konnte nicht geladen werden, denn sie ist fehlerhaft oder ungültig."
"STORE_DETAIL_COLOR": "DETAILFARBE"
"GANG_CUST_GANG_STYLE_TITLE": "BANDENSTIL"
"PURCHASEABLE_PROPERTEY_COLA": "JOE COLA FACTORY"
"TATTOO_REMOVE": "Möchtest du die Tätowierung (%s) entfernen lassen?"
"HORDE_MODE_NEW_WAVE_MESSAGE_TITLE": "Neue Welle!"
"STAT_MASCOTS_KILLED": "GETÖTETE MASKOTTCHEN"
"STAT_DRIVING_STOPPIE_TIME": "LÄNGSTER STOPPIE"
"STAT_LONGEST_VEHICLE_SURF_HANDSTAND_TIME": "LÄNGSTER HANDSTAND BEIM FAHRZEUG-SURFEN"
"STAT_LONGEST_VEHICLE_SURFING_TIME": "LÄNGSTE SURF-ZEIT"
"STAT_BAIL_MONEY": "BEZAHLTE KAUTIONEN"
"CONTROL_CONTINUE": "WEITER"
"GIVE_HAMMER": "S3X HAMMER GEBEN"
"DROP_GYRO": "GYRO DADDY"
"STORE_SECONDARY_COLOR": "ZWEITFARBE"
"GARAGE_TEXT_INSUFFICIENT_FUNDS": "Du hast nicht genug Geld, um dieses Fahrzeug reparieren zu lassen.\nTrotzdem zurückholen?"
"CRIB_CUSTOMIZE_PURCHASE_PROMPT": "Möchtest du {0} für {1}$ kaufen?"
"VCUST_WHEEL_WIDTH_OPTION": "RADBREITE"
"TAT_REG_BACK": "RÜCKSEITE"
"STAT_WEAPON_SNIPER": "SCHARFSCHÜTZENGEWEHR"
"STAT_COMBAT_MELEE_RESPECT": "DURCH NAHKAMPF-KILLS VERDIENTER RESPEKT"
"STAT_MAX_TWO_WHEELS_DISTANCE": "MAX. ZWEIRADDISTANZ"
"ESCORT_NAME_33A": "ROMAN"
"HASH_DF7D0B4B": "TODESSTOSS: TODE"
"ZOMBIE_PEDS_DESC": "Alle Fußgänger sind Zombies."
"MUSIC_DANCE": "DANCE"
"STORE_TEXT_CONFIRM_PURCHASE_FULL": "Möchtest du \"%s\" für %s kaufen?"
"PURCHASEABLE_PROPERTEY_SERVICE2": "PASSING GAS SERVICE STATION"
"STORE_TEXT_CONFIRM_PURCHASE_BLANK": "Möchtest du diesen Gegenstand kaufen?"
"HORDE_MODE_TEAM_SCORE": "PUNKTE"
"STAT_VEHICLE_BIKE": "MOTORRAD"
"STATS_DISTANCE_FEET": "%0.2fft"
"STAT_DRIVING_BIGAIR_RESPECT": "DURCH GROSSE LUFTSPRÜNGE VERDIENTER RESPEKT"
"STAT_HOMIES_RECRUITED": "REKRUTIERTE BEGLEITER"
"MAP_IMG_MECHANIC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"DROP_TAXI": "TAXI ENTFERNEN"
"CUST_ICON_LOWER_BODY": "UNTERKÖRPER"
"STORE_ZOOM": "ZOOM"
