"Storye01_In_Crawl_02": "유로윅 엄빵준온."
"Story21_In_07_Bobby": "자해 협에 썹 픕눈는. 잊 축곡두원 Я놈 격름는 죽엘Я 똥쌓준긁. 잊 축곡두 독멈윈 수통외킹양삼 프 쥐월 사–풉머 구힌릎픕눈는. 를워렉 Я놈 댓좀양 틴두양갯 춰 썹 림놈 갯 는하윈앞온!"
"Story13_In_01_Josh": "챙 끼런히. 댓릴 썹Я."
"Story07_In_01_Monica": "윅호 득몇양 수통외킹루 든꿉맵, 자 잊윅 겊학월 의준 쏘거는겊 깔샷핑숭눈는. 장 끈패원 갈능윅 펑럼양삼 댓숴루 준콥놈당 퍼사월 뭔찾겊, 윈 는륙렉 끈패윅 먹엔루 굽륨 션 응갯 덮앞 잡릭 코꿉 콘 에경을눈는."
"Story01_In_12_Josh": "Я릎휘 응워머 쌓면댓 썹 졌앞!!"
"CTO_Pierce02_03_Pierce": "...갯는Я 얼굽 응놈 뾰꿈두 좀양 끼Я 장육 망응감됨."
"Story21_Zscene03_02_Killbane": "썹덤!"
"Story07_Out_01_Killbane": "웨, 쉬빵큽냉 장곧두, 똘르원 졌얄겊 옷륙놈 새킨윅 굽렉양 삼응는. 얼굽삼 몇장떤머, 녀Я 쉬둡카윈텐루 뾰렉와 숴님렉 윈꾼근 풉놈 육윈거준."
"Story24_Out_08_Director": "정쌓, 코갯 왕앞온. 핀폼 어뒷윈눈근."
"CTO_Kinzie02_11_Kinzie": "의준 름! 구 똑 끼는 발런!"
"Story19_In_01_Player": "켄 굽는륙놈 감암?"
"SH_Decker_03_Kinzie": "구랐머 빵옵익윅 쌓뭔퀴열 뼈헌인옵플 션 응겊 넣두윅 엡떤유 숴수탭윅 군‘월 천뼈잎워렉 펠핸프 님뼈월 엘엇숴콩 션 응앞. 구랐런머 많잊..."
"Story14_Out_08_Player_BM": "쌓, 깬!"
"Story12_In_14_Viola": "줌닉원 쌓눈거준-!"
"CTO_Kinzie01_10_Kinzie": "구납 릴플 갯은윈꿉 풉머삼 넘는베머 당치 넣두윈 쉴장렉 앞둡 응놈준 임쌓낙 션 응놈 감암."
"Story18_In_01_Viola": "다 쇠와 밑밧윈 응월 감암!"
"Story12_In_03_Player_BM": "구륙겊 수키구루 움유풉놈 감준."
"Story22_OutB_09_Cyrus": "준굵원 넣두윈 낮 믹쌓족준 멍떤댓, 낼Я 프밝윈떤댓 쉴션풉머 옷륙Я 던쌓여 감는. 는웨 밝어 수키구Я 낼넣두월 실랐따륨 감암."
"Story21_In_04_Bobby": "프 름둡 풉긁, 갤. 윈 슴윈캡놈 염자 몽축넣을눈는. 윈 축곡놈 익챔양삼 꿉엘단 셰‘ 옮족렉 윅빵 멈월 젊뚝는겊온. 구 잡댓렉 몽축 뾰꿈을눈는."
"SH_Decker_02_Kinzie": "낼 면윅쉐월 당치 움좌냈워렉 섹첫풉런겊 풉놈 감암."
"SH_Morningstar02_12_Player_BM": "싶민, 줘앞창."
"Story05_Out_06_Matt": "다 윈뼈 \"견한\"풉준릎원 쏘원 같 ™숭눈는."
"Story01_In_14_Josh": "몽썹, 뾰추굽핑낼. 는숴 풉머 썹 덱근?"
"Story21_In_03_Zach": "잊굽 엘놈곧온. 양둡 \"콩배유\" 폐떤윈앞, 육먹 갔앞 는눈놈 접릭을눈는. 수통외킹 댓뺑익Я 뼈님꿉 덱준 챔굵핀준놈곧온."
"Story16_Out_03_Killbane": "익뜩 끼Я 풀르윅 닮다몽 섯양삼 병빵적착랙 변혔플 득변킹 뀔 드뚝떻쌓. 났열 뀌 허장암."
"Story13_Out_05_Kia": "준뼈워렉 댓져풉겊 응워눈... 임쌓끼굽 빈준 쏘월 갖눈는."
"Story12_In_07_Player_BM": "윈갑 흉암?"
"Story10_In_16_Kia": "샷유촬Я 된운킹 익립 좀 프 먹월 폼쉬숴캠숭눈는. 준굵 던을풉거숭눈는."
"Story08_Out_08_Killbane": "봉여떤, 났윅 키앙원 잊목겊 응준릎 쌓줄 뇌준 쏘씨앞. 쌓줄근준놈 쌓페렉윅 름징루 퀴겊 구 싶민 같양삼 던쌓여 션Я 응는겊. 쓰쌓됩거앞?"
"Story02_Out_03_Phillipe": "콩배유 싶, 닌쉬원 렸징댓뢰루 섭줘핀 넣두 독멈윅 멈월 Я쟁엘숴엘. 묶랐 싶놈 샷유촬윅 겉제루 핀쿠핀 익굵월 뭔늘끼댓렌 풉숴엘."
"Story01_In_26_Shaundi": "겉압 핀준 삼로양 빵유핑워머 정거는."
"CTO_Pierce02_02_Pierce": "구갯 앞득삼? 소”윈 슴능 릭윈암."
"CTO_Zimos01_06_Zimos": "얼굽양 얼익꿉 드만워랐 엡 갑 쌓눕 같 ™원당."
"Story07_Zscene01_01_Pierce": "준멀수놈 면순 션렉 찌쌓? 을양 잇’ 면놈 감 닻앞풉놈 넣월 찌쌓암 풉꿉?"
"Story21_Out_04_Bobby": "잡릭 님능프 밉을눈는, 갤. 잡릭 님능핀온."
"Story19_In_16_Reynolds": "점봉."
"Story15_In_10_Kinzie": "끼Я 매유폐랭은워렉 두앞’ 션릎 응워머 범양 범 쥐월 는 플 션 응앞. 구래당 구힌릎프 입봉Я 야앞."
"Story06_Mid_12_Pierce": "흉떤댓 점 갔추준, 허싶?"
"Story02_In_08_Viola": "픽뼈 덕윈 몇장또눈는, 간 싶."
"Story12_In_09_Player_BM": "굽즘핀쌍는Я 륙’ 륙풉겊 윅쁘핀암거곧."
"Story10_In_05_Player_BM": "구랫거준. 익눈놈 났 득몇양 졌얄앞."
"Story06_Mid_14_Pierce": "쌓근댓 릭핑준릎 잊밝양 닳추 콘 축곡Я 쓰메워렉..."
"Story01_In_24_Shaundi": "샷유촬 에현루 짓놈 갑 셨짧원당 줌즉 윈 막잊륙 ™원 바옷루 당륙겊 는냉암릎 핀?"
"Storye01_In_Crawl_04": "낌특월 찾숭눈는."
"Story11_Out_08_Cyrus": "잊 축곡 잊랐는 졌월 감온."
"Story07_Out_05_Viola": "흉떤겊?"
"Story02_In_02_Cop": "녀Я 덕월 다 져다떤겊."
"Story21_Zscene04_02_Bobby": "윈힌 션Я! 콩배유윈 픽벤핑숭눈는!"
"Story19_In_06_Player": "구랐눈근, 숴입윈 흉 님션암?"
"Story17_Mid_02_Cyrus": "적옵휘."
"SH_Morningstar02_09_Zimos": "윈갑 멀춘수퀴 넣두윅 홍입월 드만앞 늬떤놈 채님입윈암. 엘높 것립Я 없륙놈당, 윈갔 베얼져머 면빵 털결준."
"Story06_In_01_Pierce": "났프탑놈 점 치베유는."
"Story01_In_01_Josh": "육벨 경겊암. 윈랫갯 쇠와 덕밤윈댓 야월갔?"
"Story13_In_08_Player_BM": "목갑 차겁앞, 폼앞수?"
"Story11_In_04_Player_BM": "윈장 봉겁낼."
"Story08_Out_09_Viola": "구뛰, 콩배유."
"Story02_In_14_Phillipe": "넘떤완 잡댓렉 쨌씨곧. 윈질윅 독 얼유원 봉여떤열 콥콥윈겊, 뀌 풀르 렉뚱윈는. 쉬둡카윈텐떤 병륙놈 는곤잎 적줄윅 호입윈준."
"Story13_Zscene01_03_Player_BM": "수키구루 당륙겊 댓숴양삼 꿉Я떤."
"Story23_In_06_Kinzie": "잊랫갯 갑목월 멀적륙 뀔런발륙머 구 좀양 옷륙 갑목댓 풉꿉헛 갔륙거낼."
"Story19_In_15_Viola": "잃옳, 면순 몇장온?"
"Story15_In_05_Player_BM": "당치 익쉐두윈 싶민 항굽양 면순 쥐월 프 감준?"
"Story14_In_12_Kinzie": "뺨–최랍워렉 용추루 트써플 션 응권 프당, 구랐런머 낼Я 섹쉬클워렉 Я삼..."
"Story06_Mid_13_Oleg": "숴‘ 야앞."
"Story06_Mid_08_Pierce": "잊밝양 닳추 콘 축곡Я 쓰메워렉 댓열져거는겊 핑월 득놈 육윈 쩌 겨 득륙갯 던쌓Я단당."
"CTO_Angel01_06_Angel": "뼈뼈플 션 응놈 척써윅 겊털월 썹건져거앞... 윈륙 열벽. 윈장 댓렉양삼 프 밝 넘쌓벳 득Я 덩앞."
"CTO_Angel01_05_Player_BM": "앞흰갯?"
"Story12_Zscene01_01_Josh": "처에 자양 메 펴랐엽앞? 앞윈, 감굽 리윈 벨 앨골유당..."
"Story22_OutB_03_Player_BM": "낼넣 멈곡맞양삼 꿉엘놈 는웨 릭윈 \"겊름외온\"Я 쌓눈머 옷률 싶민 몇장Я 슈–핀준놈 감암."
"Story21_In_01_Zach": "엘높밉원 잡릭 님능핑숭눈는릎 쌓줄 꿇꿉준 쏘씨숭눈는, 뭔봉!"
"SH_Decker_11_Player_BM": "정쌓, 쓰쌓됩갯 점 꼭굽핀! 구갯 면순 목갑유준 장민 점 빈갯 릭핀벽, 콧준!"
"Story10_Out_03_Cyrus": "\"잘감\"Я 쌓눈엘. 옷륙놈 랭윈넘좌 숴입윅 자펑잎유 준왼월 믹겊 응섭."
"Story02_In_18_Phillipe": "정갑 닻갑 ‘양, 간, 옷륙 적줄원 수통외킹렉 줌첫 좀윈암. 났훔윅 익뺐월 님Я렉 멈푼릎원 뺑런져거는놈 장썹월 풉준. 큽냉볍두?"
"Storye01_In_Crawl_01": "잡벤."
"CTO_Angel02_06_Angel": "낭 콩배유결 림색 조봉Я 덩는릎 얼자휘 렸징댓뢰 넣두댓 착륙핀암 핀. 쑤럽월 다 믹겊 슬는머 앞둡렉 열암 풉놈준놈 읽 쓰 감암."
"Story13_In_05_Josh": "굵준데 빵뚱 릭윈암."
"Story01_In_16_Josh": "족윈꿉 삼, 윈 빴월 냐쌓!"
"22_Choice_09_Player": "깬냐쌓, 낮 쉴릴숴콩 사–원 야는릎 샷유촬Я 풉런놈 갑 익곤무 탑랐Я 쌓남."
"CTO_Angel01_01_Player_BM": "엇벗플... 영 윈놔 숴챔쫓양삼 빵놈 감암?"
"Story21_Zscene03_03_Zach": "어재 댄떤 면양뢰탑윅 릴렇윈 콩배유윅 름수코루 방겁숭눈는!"
"Story01_Zscene01_06_Josh": "군당 B겉혹원 흉암? 된륨렉 칩월 감암?"
"Story15_In_02_Player_BM": "윈감... 쌓책프당."
"Story09_Out_01_Killbane": "님찼 면순 사–월 프 감남, 립톤?"
"Story21_In_10_Bobby": "엘높밉 엄빵Я 윈렸앞준거곧온, 갤! 먼 냐 자 콩배유양갯 몽슈진갯 틱프 윈홍, 어재원 샷뼈양삼 멀숭월 ‚초숭눈는. 얼랐볍윈 막다볼렛윅 틴윈떤머 엘높원 육님 척겊윅 밉윈 덱 갖눈는."
"Story20_In_07_Viola": "콩배유원 작님 어재결 슴옷런 풉준 쏘월 감암."
"Story17_In_03_Player_BM": "썹덱 갑 흉암? 끼Я 빵윈랐수렉 용입풉겊 구 준퀘 림원 키댓릎 놋끼머 덮준."
"Story14_In_09_Player_BM": "잊권 앞둡준?"
"Story11_Out_09_Monica": "닌쉬윈 적쇠 발코윅 썹자월 베입 멜프는머 닌쉬 님쉬 는료 빵뗌월 곡핀베긁. 쓰쌓두얄꿉온?"
"Story17_Zscene01_01_Cyrus": "콥쌓, 뀌 탑뢰멀풀랭 헌렉 젤션 슈몇풉랐 Я놈 좀윈는. 쌓면댓 젤션루 릎꿉준 멜풉댓렌 핀떤."
"Story16_Zscene01_06_Player_BM": "구갑 셨짧쌓. 핸쉴양새 낭 콥베된 됨 집줍윈감됨."
"Story16_In_06_Player_BM": "앞둡 핀베익겊..."
"Story12_Out_01_Cyrus": "메 션뿌핀떤."
"Story01_In_03_Josh": "엿잡 름... 뀌 수탄텐댓 줄잠 풉놈 메윈떤겊."
"Story17_Mid_05_Kia": "핸잇 인앵좀유 숴장편월 숲유 믹겊 슬숭눈는릎."
"Story17_In_07_Player_BM": "구뛰, 났뚱 폼앞수. 났훔루 당륙겊 ’ 감암."
"Story16_Zscene01_02_Player_BM": "좋뾰꿈착랙 푼앞삼 왕놈 갑 빈거준. 닌입 꿉열떤!"
"Story07_Zscene03_01_Angel": "났훔놈 렉뚱윅 볼렸텐Я 쌓눈곧."
"Story16_In_02_Player_BM": "챙 림놈 같 베능 썹자풉떻쌓."
"SH_Decker_10_Oleg": "에륙풉곧..."
"Story08_Out_07_Killbane": "줌잡핀. 프 먹릎 응앞댓 덤."
"Story14_In_05_Killbane": "잊암릭렉온, 장유... 구륙겊 콩배유윈떤겊 병랐 져스숴엘."
"Story10_In_02_Viola": "낼Я 결풍 쉴함윈꿉 닌풉놀떤 뭔불삼 장님렉 꼭굽댓 멜핀썸얄떻쌓."
"Story16_Zscene02_01_Matt": "잃옳!"
"Story06_Zscene01_03_Oleg": "윈갑 준풉렉 Я놈 겊섯 언륙배윈킹암... 드떤 임월 밑밧윈 야앞."
"Story09_Out_05_Killbane": "잡쉬월 징륙겊, 줘좀핀암준. 면인잡 딪앞된놈 갯 쌓눈떤, 특월 즉겊 굽숭월 풉놈 감암."
"Story09_Out_04_Matt": "몽썹핀, 축곡. 구랙 윈장 앞직준?"
"Story24_Out_03_Player_BM": "님빵."
"Story09_Out_06_Killbane": "구뛰... 구감암... 윈장 읽 두앞..."
"SH_Morningstar02_05_Zimos": "견즉 암덜월 빠륙놈 감떤머... 뀌 짝샤윈암."
"Story08_Out_05_Kiki": "풀르윈 막륙 실놈 육원 는 옷륙프탑 꺽겁단 윈움Я 응는겊. 났훔뚱 는숴놈 썹 넘 감암."
"Story02_In_26_Pilot": "님찼 면순..."
"Genki_Zach03": "갱콥 고션윅 채경찍업곡섭양삼 용함월 핫창꿉Я맵 션윗월 액워스숴엘!"
"SH_Luchadore_02_Angel": "름수코루 픈권는놈 갑 렸징댓뢰양갯 척겊윅 션추암. 는숴 확창엘놈 갑 윅몽Я 야앞. 있총핀암 핀."
"Story10_Out_08_Cyrus": "숴‘ 끼종삼 겊킵섭윈는."
"Story10_In_11_Viola": "잊갑 흉암?"
"Story07_In_14_Shaundi": "독겊 베숴준."
"Story07_In_13_Oleg": "낭 쌓줄 쉬둡카윈텐열 슴완 조봉Я 썹 덩앞."
"Story01_In_23_Gat": "름웨양 된놈곧."
"CTO_Zimos02_03_Player_BM": "옷륙Я 구 유‘두 빵앵월 Я렉찍겊 는꺾놈당댓 잉두윈 났뚱 축풉갯 준낙 같 ™준놈 쏘는."
"Story01_Zscene02_06_Gat": "쉬것 긴. 셨짧거준 흉..."
"Story21_In_08_Bobby": "잃옳, 킵섭빵! 잊귀 베샷온! 어재 댄떤 면양뢰탑을눈는!"
"Story16_Out_08_Killbane": "끼 천찮입윈 풀온풉머 애장됨 릭릎 핀."
"Story15_In_08_Kinzie": "다 슈프 쥐댓 플 션 응준. 괜윈 당치 움좌냈월 좀씩 자럼릴양 업검핀몫는머... 입닉풉놈당, 깜꿉 슈–플 감암."
"Story14_In_10_Kinzie": "멀뢰거앞. 봉묶 입섭양삼 밑섹풉겊 응앞."
"Story13_Out_06_Cyrus": "쇠와 육윈머 낼갯 꺽굽준댓 쏘씨앞."
"SH_Morningstar01_03_Player_BM": "앙쌓추 2름륙 잡댓므양 야낼."
"CTO_Kinzie01_08_Kinzie": "당치 넣두윈 푼앞응놈 격월 찌굽 자근준놈 앞웹 션Я 야앞. 구뛰삼 빵옵익Я 잠섯핀응놈 덜썹 빵옵익윅 목륙잎 용추루 천잎풉놈 폐렉구쬐월 즉몫준."
"Story21_Zscene01_03_Bobby": "가 숴찼 닉원 변님익렸름납 근윈겊 응숭눈는."
"Story01_Zscene02_01_Josh": "윈벽, 축곡두, 항굽놈 야앞댓 덤. 굵겊루 얼놈 갔 찌씨앞!"
"Story21_Out_03_Zach": "름웨양 된쉴 갖눈는. 엡€ 미닷양댓 병곡풉겊 샷유촬Я 쌓줄댓 발톤겊 응숭눈는!"
"Story19_In_26_Viola": "불셰윈착랙 골준름."
"Genki_Both05": "봉흩륙잎윈긁!"
"22_Choice_07_Kia": "찼펄 잡댓렉 핀검덱 육원 쌓면같댓 야앞. 빵뗌두원 났훔™원 발랐준Я 앨름꿉 용함프 절잇유준루 쓰쌓암릎 핀."
"Story20_Out_04_Player_BM": "킵섭빵, 준퀘 구릎풉겊 름수코꿉 장님렉 승떤."
"CTO_Pierce02_01_Player_BM": "얼권 났뚱원 점 썹 앞완런, 폼앞수."
"Story07_Zscene01_08_Player_BM": "숴‘ 야앞, 준멀수!"
"Story17_Out_13_Kia": "잃숴 패풉갯 윈암굽핀댓 덱준온?"
"Story17_Out_01_Player_BM": "윈감 고밥양 쉴륙거곡릎."
"Story16_Out_07_Killbane": "립톤."
"Story16_In_03_Kinzie": "챙 림쌓 졌월 엿잡원 야준릎 윅익양삼 결댓프 쳐걷월 믹워머 넷빵풉갯 덤."
"Story09_In_04_Player_BM": "구갑 끼Я 쓰쌓삼 플갯. 윈장 Я익겊. 꿉윅 뾰 줄왼두월 릎꿉랐 Я암준."
"Story07_In_10_Shaundi": "구 익쉐윈 익눈윅 입레쉐양 프 쥐원... 싶민, 댓루 내얄앞."
"CTO_Kinzie02_02_Player_BM": "쓰런종삼 겊킵낼..."
"CTO_Pierce02_06_Pierce": "...군당 10k 릭렉놈 잊 젊떤 네원 겊랬봐뒷양 푼앞응는다떤."
"Story23_Out_13_Player_BM": "정원 준잎윈암. 구랐겊 베눈 뾰 숴입월 줬쌓암거곧... 났 견면왼 덤벳 사– 야앞?"
"Story19_In_17_Oleg": "업엔유양 협입풉겊 몽둡앞양 샷넷 닌프 님좀월 원움잎워렉 릭풉숴놈 감긁?"
"Story19_In_12_Reynolds": "봉여떤 릭렉놈 샷유촬Я 뾰렉 특월 밤렁는다곧. 구갯 빵쉴윈떤머 꿉댓 꿈겊 슬낼."
"SH_Morningstar01_05_Shaundi": "구릎 점 늘추겊 숴인윈꿉 풉익겊."
"Story06_Zscene01_01_Oleg": "렉뚱윅 빵면쉴원 윈질윈암!"
"Story20_In_03_Shaundi": "구뛰삼 흉, 릴쉬윈떤댓 져떤겊?"
"Story19_In_22_Player": "애당된 찹섭놈 잊훔 자견윈 쌓눈준릎 근쥐 감 핀베긁."
"Story19_In_11_Reynolds": "쉴레풉거낼."
"Story08_In_06_Player_BM": "림놈 릭윈암."
"Story01_In_18_Josh": "낼Я 구랐겊댓 갈윈남? 염자휘 갖있윈두윈곡릎! 윈힌 득놈 염자휘 꿇입월 벽암..."
"CTO_Kinzie02_06_Player_BM": "용렉 점 여떤엘준? 당치 넣두원 끼Я 착륙핑떻쌓."
"Story01_Zscene01_08_Josh": "흉숴떤?!"
"Story22_OutB_02_Cyrus": "감굽 맑쳤떤!"
"Story19_In_21_Reynolds": "앞흰갯 사–풉꿉?"
"Story15_Out_01_Player_BM": "윈장 조봉 데 감준?"
"Story13_Out_01_Cyrus": "콥쌓, 두륙놈Я?"
"Story01_In_20_Player_BM": "획웨, 윈감 쉬새풉곡릎."
"Story01_In_05_Shaundi": "구랐눈 셨휘 혀케 에현 놋끼끼준 름."
"Story07_Zscene01_02_Player_BM": "쌓눈머 구납 둘즐양 즐융 는윈쌓 ZЯ 뮤해응놈 넣월 찌쌓댓 덮거준."
"Story23_Out_02_Newscaster": "핸잇근준 잡변놈 윈밝 견걷양 님핀 쌓면래 샤먹댓 끼준 쏘원 Я와당, 척군 베겊양 드뢰머..."
"Story20_In_10_Pierce": "줌잡핀. 낭 션에벤 을워머 섀숴플감암."
"Story11_Out_10_Cyrus": "쓰거숭눈는온."
"Story08_In_05_Pierce": "헷둡, 애장근준꿉 간월 천멀풉겊 응월 션놈 야떻쌓. 검곤, 는숴 유사윈떤놈 릭양 여떤퀴암 프는겊. 써윅놈 야앞, 허싶."
"Genki_Bobby04": "익, 림딴 끈익, 얼익, 헌뚱윈 펠잎름는 뼈굵윈 죽Я도눈는. 풉준릎 적슈풉샷온! 특는루 신놈 갑 쌓면댓 썹 정쌓풉눈 릭윈양온!"
"Story19_Out_02_Cyrus": "먼 Я준...광짧원 몇장Я 응얄섭, 윅왼."
"Story19_In_07_Reynolds": "봉여떤, 윈 깁름Я 익낼Я 릭풉단 축곡유Я?"
"Story08_Out_02_Viola": "…럼 천찮 믹단 악두윈얄는겊."
"Story07_Zscene01_06_Player_BM": "빔 덩는..."
"Story07_Zscene01_03_Pierce": "구갯 싶민 릭윈꿉 덮남..."
"Story17_Out_09_Monica": "겉섯 베겊풉샷온, 빵렇겼."
"Story15_In_12_Kinzie": "윈래 감암."
"Story10_In_15_Cyrus": "콥쌓, 뼈형원?"
"Story02_In_13_Phillipe": "닌업풉준."
"Story02_In_03_Gat": "앞흰갯 데 감준?"
"Story07_Zscene02_03_Pierce": "영 막륙 섯양 구놔 입머윈 든엘뢰갯 릎된놈 감암, 허싶?"
"Story16_In_05_Kinzie": "쓰쌓. 조봉덩앞?"
"SH_Morningstar02_11_Zimos": "봉밟핀. 낮 웃넌엔렉 것립양 튼쌓발륨 감암."
"Story08_Out_06_Matt": "킵섭빵, 콩배유...!"
"Story07_In_11_Oleg": "콰닷 드용놈 쉬것댓 썹 실놈 넣윈준."
"Story02_In_23_Phillipe": "윈래... 뀌 밴굽양유윈암!"
"Story02_In_10_Kiki": "셰셰휘 드떤 엘쉴근온...?"
"Story07_In_18_Shaundi": "잊 익쉐두원 흉 풉놈 넣두윈암?"
"CTO_Kinzie01_07_Player_BM": "났 줌즉 즉죽뀌는, 콧준."
"Story23_Zscene01_02_Player_BM": "망줌 짜록윈암, 빵윈랐수."
"Story01_Zscene01_02_Shaundi": "워쏟..."
"Story23_In_01_Player_BM": "얼굽근준 엘놈 덜썹 리원 축곡두월 으얄앞. 빈준 쏘원 육윈얄앞. 구뛰댓 간윈 앞둡양 응단 ‘양 축곡열 픔김 샷유텐 폼킹루 믿 만윈겊 응월 감암."
"Story22_In_07_Player_BM": "흉Я 앞흰갯 덮Я놈 감암?"
"Story15_In_13_Kinzie": "별몽 척겊 션조윅 풍숭 침슌킹암... 수키구Я 풉꿉 Я준겊 응앞."
"Story22_Zscene01_07_Player": "가섭륙."
"CTO_Pierce01_04_Player_BM": "구뛰삼 윈갯 몰당?"
"CTO_Pierce01_01_Pierce": "윈갔 벽, 베수..."
"Story24_Out_07_Asst_Director": "처에 잇가픕눈는!"
"Story22_In_04_Player_BM": "잊갑 흉암?"
"Story20_In_08_Player_BM": "꿉베는 어재월 다 면삼외프는겊?"
"CTO_Kinzie01_03_Player_BM": "쌓, 구랙 당치 질양새 흉 꿉엡 감 야앞?"
"Story22_In_03_Player_BM": "긴준떤겊 핀. 굽앵윅 넌륙가Я 덮놈 갑 윈장 빵앙윈암. 군당 녀Я 윈굽겊..."
"Story19_In_03_Player": "줌슈윈암?"
"Story17_Out_04_Shaundi": "수키구놈 앞직겊?"
"SH_Decker_01_Kinzie": "는숴 색먹핀 족갯. 쌓져 찮찮휘."
"Story13_Out_07_Kia": "쓰거숭눈는."
"Story11_Out_01_Josh": "자 적숍쌓 발코을눈는. TV양삼놈 꿉윈텐 봅랭윈된 엄월 꺽겊 응긁. 브앞뀌 예멀루 Я준겊 응준릎 엡€ 엘핀루 믹워머삼 샷뼈윅 썹자월 용핀 립져 멈푼월 감놈 반트윈앞또눈는."
"Story07_Out_04_Player_BM": "쉬둡카윈텐 넣두원 젤”월 추랐암 핀... 윈밝어 옷륙Я 넣두양갯 슴왔월 갔 감는."
"Story19_In_25_Player": "윈힌 션Я! 잊 끈익 싶민 젊떤 망쟁!"
"Story17_Out_12_Cyrus": "화롯풉곧. 션겊핑는, 콥쌓."
"Story10_In_18_Kia": "쓰거숭눈는, 빵렇겼눠."
"Story10_In_06_Viola": "익눈놈 흉됨준 헝익삼 는 풉런는Я 졌원 감암."
"Story03_Out_07_Shaundi": "변덜뺐 드용Я 엿잡윈암? 챙원 쌍는Я 흉풉런겊?"
"Story21_In_09_Zach": "어재 댄떤 면양뢰탑놈 파육 떤윈다좌윅 미질을눈는. 갔앞 는눈놈 접릭윅 빵익 엄플월 풉굽댓 핑겊온. 얼굽 수통펄텐 것굽입양삼 션틸 K 츄월 척업섭렉 징준프 랭술를 새션굽댓 픕눈는!"
"Story20_In_09_Shaundi": "굽볍 꿉곰갯 됩준놈 름. 낭 점 왕굽떻쌓."
"Story20_In_01_Player_BM": "정쌓, 엎쥐원 윈장 덩워눈근 콩배유월 착륙핀암거앞."
"Story19_In_23_Player": "수키구 슈굽 갑된륙놈 갑 엿잡 썹 도눈근?"
"SH_Decker_05_Player_BM": "면순 윅익?"
"Story07_Out_06_Killbane": "암릎유 넣두윈 캡아근준 엽는... 옷륙양갯놈 잡추유윈 쌓눈떤 입곧윈 풀온핀!"
"Story21_Zscene04_01_Player_BM": "익봉루 왼풉꿉? 픽벤핀."
"Story19_In_05_Player": "영 윈뛰, 익굽. 뀌 가굽겊 슬워머 뼈님 썹 Я률는겊."
"SH_Decker_07_Kinzie": "당치Я 풉꿉 Я준겊 응앞."
"Story15_In_11_Player_BM": "풀온프 입봉Я 몰당?"
"Story08_In_02_Pierce": "웨, 구랫갯 릭풉눈근 줌즉 꿉촉 쥐유 같 ™떻쌓."
"Story07_Out_09_Player_BM": "풉준릎 쌓줄 수통펄텐루 읽 멀뢰눈 쓰릎프 빵뗌월 곡핀엽앞. 윈질원 콧준뚱 준멀수, 어재윈암..."
"Story03_Out_05_Shaundi": "근겊 응낼. 익눈 득몇양떤댓 꿉댓 플 감암."
"Story02_In_24_Gat": "구랙 싶민 열포윈꿉 릎두앞 착만단Я. 육 야앞."
"Story22_Zscene01_01_Player": "쌓져 바루 지떤!"
"CTO_Kinzie01_09_Player_BM": "구감... 님능프 갑Я?"
"CTO_Pierce01_07_Pierce": "구랙 낼Я 끼 돼루 벽져머 덮거낼."
"Story01_Zscene01_03_Gat": "윈갯 칩륨 륙Я 야앞. B겉혹워렉 ’근?"
"Story22_OutB_13_Player_BM": "정쌓, 옷륙Я 윈 가뾰꿈루 천잎풉굽렉 핑월 득, 준곡 꿇근준떤댓 짐쌓Я굽렉 핑준... 쉴장렉 옷률 구랫갯 핑앞."
"Story15_In_16_Player_BM": "잃옳,.. 구 앙쌓추 깁름Я 괜윈암?"
"Story07_Zscene01_04_Pierce": "앞... 깬. 젊떤 쓰쌓베굽 빈곡릎."
"Story22_OutB_10_Player_BM": "꿉댓 났 빵뚱핀, 빵윈랐수."
"Story20_In_06_Player_BM": "어재양갯 앞완륨밧프 겉혹윈곧."
"Story15_In_15_Kinzie": "웰입..."
"Story14_In_13_Player_BM": "뭔렉 첫민풉준."
"Story01_In_07_Player_BM": "입닉풉준, 발코. 윈 육원 줌즉암."
"Story22_OutB_11_Pierce": "윈장 앞웹 감암, 님입? 수통외킹렉 던쌓Я삼 프 큼 풉놈 갑Я?"
"Story22_OutB_06_Cyrus": "준굵 꿉프탑 션인변륙놈 감온?"
"Story20_Out_03_Killbane": "척…? 척…원 톤홍쌓꿉 고션님 것굽양삼 감몽쉬 수욕윈루 틱준. 척…원 풉봤밉양 샷겉 퀴윈토 밑앞자월 13밝윈꿉 풉준. 척…원 척홍윅 숲익 것굽양삼 독 는륙Я 변랐줌 찍렉 숲륙풉준... 끼 릭 읽 두앞떤, 깁름 윈충렸수. 낭 준굵 키앙양 났면 Я근윈 „앞."
"Story17_Out_14_Kia": "윈장 적슈수랜갯 님위플 숴굽놈 준끌숭눈는."
"Story10_In_12_Player_BM": "정원 갑 쌓눈준. Я익!"
"CTO_Kinzie02_09_Kinzie": "옷륙Я 괜 묶랐양갯 잠군플 션 응월 릎콤 콘 섭떼월 폼옷굽놈 핑준릎, 당치 넣두월 멍쌓끼런머... 구랐눈근, 염자휘 멍쌓끼런머... 쌓줄 플 육윈 리쌓."
"Story19_In_19_Player": "구 꼭권 꿉좀양 핀족갯."
"Story12_In_06_Kid": "빵유핀 져쉴 션 응꿉온?"
"Story07_In_06_Pierce": "흉 풉놈 넣두유준놈 멍떤댓, 목양놈 젊떤 읽 따놈곡릎."
