"ACT_WHORED_Z_AGRIZOOPHOBIA": "È un grosso problema."
"OPPONENT_CRITICALLY_HIT": "AVVERSARIO COLPITO GRAVEMENTE!"
"ACT_HOSTAGE_RANSOM": "RISCATTO: [format][color:orange]%s[/format]"
"ACT_HELI_PROTECTION_DRIVER_DIED": "NON HAI PROTETTO IL FURGONE"
"CHOP_MUSCLE_RIMS": "CERCHIONI MUSCLE-CAR"
"ACT_TRAFFIC_DRIVE_HOME": "PROTEGGI LO [format][color:green]SPACCIATORE[/format] MENTRE TORNA A [format][color:teal]CASA[/format]"
"ACT_FRAUD_BONUS_CRAZY_DRIVER": "BONUS PILOTA PAZZO"
"HASH_49748FAB": "ACCOSTA LA MACCHINA NEL [format][color:teal]LUOGO INDICATO[/format] DAL [format][color:green]CLIENTE[/format]"
"ACT_WHORED_Z_FOOD_TRUCK": "Scuoiali."
"ACT_RUNNING_MAN_FAILURE_TIME": "IL TEMPO È SCADUTO PRIMA CHE RAGGIUNGESSI L'USCITA."
"TUT_ACT_INTRO_TANK_MAYHEM": "Causa $%ls di danni alle proprietà entro il tempo limite. Distruggendo molti oggetti di seguito, otterrai un bonus combo."
"ACT_HELI_BOAT_HUD_TEXT": "DROGA ANCORA DA CONSEGNARE"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_CLIENT_MESSAGE": "Hai ucciso la celebrità, il nemico gongola!"
"ACT_FRAUD_MESSAGE_AIRTIME_MULT_TYPE": "RECORD TRUFFA VOLO"
"ACT_FRAUD_BONUS_COOP_GANGBANG": "BONUS GANG"
"ACT_CHOP_LIST": "Riporta le auto elencate dal [format][color:green]rivenditore d'auto rubate[/format]."
"ACT_WHORED_D_DRINKING_GAME": "Ogni volta che spari a una bottiglia di birra, fatti un drink."
"ACT_WHORED_D_WELCOME": "Fai contento Lars"
"CHOP_SHOP_VIEW_LIST": "VISUALIZZA L'ELENCO DEL RIVENDITORE D'AUTO RUBATE"
"ACT_HELI_KILL_CARS_START_MESSAGE": "DISTRUGGI LE [format][color:red]AUTO[/format]"
"ACT_ESCORT_DRIFT_MSG": "IL [format][color:green]CLIENTE[/format] VUOLE CHE {HANDBRAKE_IMG} SGOMMI PER %d SECONDI"
"ACT_WHORED_A_WELL_DONE": "Il modo migliore per gustare la carne."
"ACT_WHORED_DILDO_FAIL": "Forse ti manca un po' di resistenza?"
"ACT_RUNNING_MAN_HEALTH_TARGET": "CLIMAX SALUTARE!"
"TUT_TITLE_ACT_TANK_MAYHEM_REPAIR": "RIPARA"
"CRITICAL_VEHICLE_TIME_TO_RETURN_TEXT": "HAI %d SECONDI PER TORNARE AL [format][color:green]VEICOLO[/format]"
"ACT_VANDAL_TRUCK_SMALL_PICKUPS_MSG": "PICKUP"
"ACT_VANDAL_COMBO_BREAKER_MSG": "SPEZZACOMBO!"
"ACT_TRAFFIC_DRIVER_DEAD": "LO SPACCIATORE È STATO UCCISO."
"ACT_TORCH_OBJECTIVE_02": "GUADAGNA TEMPO BONUS FACENDO DANNI E ATTRAVERSANDO I PUNTI DI CONTROLLO"
"ACT_HUMAN_TORCH_START": "AVVIARE LA MODALITÀ PALLA DI FUOCO"
"ACT_WHORED_D_CYPRIAN_ORDER": "Massacro divino."
"TUT_ACT_INTRO_GUARDIAN_ANGEL": "Proteggi l'obiettivo dai nemici mentre compie la sua missione."
"ACT_VANDAL_CIVILIAN_MSG": "CIVILI"
"ACT_TRAFFIC_POLICE_STING_ESCAPE": "HAI I [format][color:red]POLIZIOTTI[/format] ALLE COSTOLE!"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_5SEC": "5..."
"ACT_TORCH_LOST_TIME": "IL TEMPO È SCADUTO"
"ACT_WHORED_A_TINY_PROBLEMS": "Possono essere difficili da risolvere."
"ACT_WHORED_A_BOOM_HEADSHOT": "L'unica certezza: un proiettile nel cervello."
"ACTIVITY_SUCCESS_SUB_TEXT": "COMPLETATA"
"ACT_VANDAL_SUMMARY_DESTRUCTION": "DISTRUZIONE"
"ACT_WHORED_NUTSHOOT_FAIL": "Riflessi un po' mosci."
"ACT_PIMP_START": "AVVIA LA MODALITÀ PAPPONE"
"ACT_TRAFFIC_BUYER_FLEE_GETTING_AWAY": "IL [format][color:red]COMPRATORE[/format] SE NE STA ANDANDO"
"ACT_PIMPING_TRAP_SPRUNG_GET_CONTACTS": "È UNA TRAPPOLA! RECLUTA I [format][color:green]CONTATTI[/format] E VATTENE."
"ACT_HELI_LIBERATOR_START_MESSAGE": "ALCUNI SAINTS SONO STATI ARRESTATI; DANNEGGIA GLI [format][color:red]AUTOBUS[/format] PER FERMARLI E PORTA I SAINTS AL SICURO IN VOLO"
"ACT_FRAUD_CHANGE_LOCATION": "LA [format][color:teal]ZONA PUNTI[/format] SI È SPOSTATA"
"ACT_ESCORT_TIGER_MINIGAME_MSG": "Usa {ANALOG_RS_IMG} per trovare il prurito della tigre, quindi grattala con {ANALOG_LS_IMG}"
"ACT_WHORED_Z_GATS_WET": "Lo sappiamo bene."
"ACT_WHORED_TANK_FAIL": "Niente più blindati per te!"
"ACT_WHORED_STRIPPERS_FAIL": "Hai i razzi... o sbaglio?"
"ACT_VANDAL_TRAILERS_MSG": "SEMIRIMORCHI"
"ACT_VANDAL_START_MSG": "VAI AL [format][color:teal]DISTRETTO %ls[/format]"
"ACT_VANDAL_BONUS_CLOSE_CHAOS": "BONUS VICINANZA CAOS"
"ACT_PIMPING_RESCUE_CONTACT_KILL_COPS": "ELIMINA I [format][color:red]POLIZIOTTI[/format] E LIBERA I [format][color:green]CONTATTI[/format]"
"ACT_PIMPING_RECAPTURE_CONTACT_START": "UNO DEI [format][color:red]DECKERS[/format] STA RICATTURANDO UNO DEI [format][color:green]CONTATTI[/format]. VALLO A RECUPERARE!"
"ACT_PIMPING_YOU_NEED_MORE_HOS": "TI SERVONO ALTRE [format][color:green]PROSTITUTE[/format]"
"ACT_ESCORT_AIR_MSG": "Accumula %.2f secondi di trasmissione"
"ACT_WHORED_Z_START_YOUNG": "Parti dalle dita dei piedi e arriva al cervello."
"ACT_WHORED_SQUEAKY_CLEAN_FAIL": "Piazzata nel modo giusto, la bambola gonfiabile sarà formidabile."
"ACT_WHORED_SWAG_BAG_FAIL": "Ti sei fatto battere da quegli animaletti. Vergogna!"
"MISSION_FAILURE_BUSTED_TEXT": "SEI STATO BECCATO"
"ACT_PIMPING_TRAP_GET_CONTACTS": "BEN FATTO, ORA PRENDI I [format][color:green]CONTATTI[/format]!"
"ACT_GUARDIAN_ANGEL_BEHIND_ATTACKER": "AGGRESSORE IN ARRIVO [format][color:red]ALLE SPALLE[/format] DEL CLIENTE"
"ACT_FRAUD_DONT_KILL": "VERRAI PENALIZZATO PER OGNI PERSONA CHE UCCIDERAI"
"ACT_ESCORT_TRIP_BROTHEL_MSG": "PORTA IL [format][color:green]CLIENTE[/format] AL [format][color:teal]BORDELLO[/format] PER UN PO' DI SPASSO EXTRA"
"ACT_WHORED_Z_OUTMATCHED": "Pensa rapidamente."
"ACT_WHORED_MINIFURRIES": "Non farti intenerire: sono pieni di razzi!"
"ACT_VANDALISM_START": "AVVIA LA MODALITÀ VANDALISMO"
"CHOPSHOP_REQ_MODS": "MODIFICHE RICHIESTE:"
"ACT_VANDAL_HELICOPTER_MSG": "ELICOTTERI"
"ACT_TORCH_TIME_EARN_PARAMETERIZED_STRING": "GUADAGNERAI SECONDI EXTRA AI PUNTI DI CONTROLLO"
"ACT_FRAUD_BONUS_LOCATION": "SE FARAI UN SALTO NELLA ZONA INDICATA DALLA MINIMAPPA, RICEVERAI UN BONUS"
"ACT_ESCORT_FOOTAGE": "RIPRESE"
"ACT_WHORED_DRUNKENROCKETS": "Bibite e razzi non si abbinano bene. E allora abbiniamoli!"
"ACT_TANK_MAYHEM_LEFT_HOOD": "TORNA NELLA ZONA ASSEGNATA!"
"TUT_ACT_TANK_MAYHEM_HVT_FOUND": "Alcuni obiettivi di valore danno più denaro quando li distruggi."
"ACT_VANDAL_COMBO_TOTAL": "TOTALE COMBO: %ls"
"ACT_PIMPING_TRAP_SPRUNG_KILL_DECKERS": "È UNA TRAPPOLA! ELIMINA I [format][color:red]DECKERS[/format] PRIMA DI RECLUTARE I [format][color:green]CONTATTI[/format]."
"ACT_HELI_ACTIVITY_BOMB_MESSAGE": "PIAZZA LE CARICHE PER DISTRUGGERE QUESTA [format][color:blue]STRUTTURA[/format]"
"HOSTAGE_FAILURE": "MODALITÀ OSTAGGIO FALLITA"
"ACT_WHORED_ZOMBIES_EXPLODE_FAIL": "Non sei tu che devi esplodere."
"GAMEPLAY_SMOKED": "SEI FOTTUTO!"
"ACT_WHORED_D_ROMERO_REVENGE": "Il piacere degli utensili elettrici"
"ACT_WHORED_MEGACAN": "Sta arrivando!"
"HORDE_CHARACTER_CYRUS": "CYRUS"
"SUCCESS_RESPECT_TEXT": "RISPETTO"
"ACTIVITY_FAILURE_SUB_TEXT": "FALLITA"
"ACT_TRAFFICKING_NAME": "TRAFFICI ILLECITI"
"CHOP_SPORT_FRONT_BUMPER": "PARAURTI ANTERIORE SPORT"
"ACT_ESCORT_NEWS_WARNING_MSG": "SE TI AVVICINI TROPPO A UN FURGONE DELLA TV, L'INDICATORE DEL PIACERE SMETTERÀ DI SALIRE"
"ACT_WHORED_A_BATH_TOY": "Meglio di una paperetta di gomma."
"ACT_RUNNING_MAN_TITLE_SHORT": "PROFESSOR GENKI'S S.E.R.C."
"CHOP_OFF_ROAD_1_BUMPERS": "PARAURTI FUORISTRADA 1"
"ACT_VANDAL_START_3_MSG": "DISTRUGGENDO MOLTI OGGETTI DI SEGUITO, OTTERRAI UN BONUS."
"ACT_WHORED_STARPOWER2": "I nemici esplodono al tocco!"
"ACT_WHORED_MINIZOMBIES": "Un'armata di non morti... un po' più piccola."
"HORDE_CHARACTER_BOBERT": "BOBERT"
"ACT_RUNNING_MAN_WAGER_DESCRIPTION": "VUOI SCOMMETTERE LE TUE VINCITE ATTUALI SUL PROSSIMO LIVELLO?\n\nCOMPLETA IL PROSSIMO LIVELLO PER RADDOPPIARE I GUADAGNI, MA NON SBAGLIARE O TE NE ANDRAI A MANI VUOTE.\n\nCHE TE NE PARE?"
"ACTIVITY_NAME_ESCORT": "SCORTA"
"HASH_289F1039": "IL [format][color:green]CLIENTE[/format] HA FAME, PORTALO AL [format][color:teal]COMPANY OF GYROS[/format]"
"ACT_WHORED_COMM_SERVICE": "Fai capire a quelle bibite che non hai sete!"
"CHOP_RACING_EXHAUST": "SCARICHI RACING"
"ACT_ZOMBIE_FAIL": "NON HAI FERMATO GLI ZOMBI"
"ACT_VANDAL_BONUS_TOTAL": "TOTALE"
"ACT_ACTIVITY_DESCRIPTION_2": "Guadagna rispetto provando la modalità Pappone"
"CRITICAL_VEHICLE_ABANDONED_VEHICLE_TEXT": "HAI ABBANDONATO IL VEICOLO"
"ACT_VANDAL_SUMMARY_FAVORITE_WEAPON": "ARMA PREFERITA"
"ACT_VANDAL_START_NO_DISTRICT_MSG": "Semina più distruzione possibile!"
"ACT_VANDAL_PROPERTY": "PROPRIETÀ"
"ACT_TRAFFIC_CHASE_HELICOPTER_NOTORIETY": "L'[format][color:red]ELICOTTERO DEL NOTIZIARIO[/format] TI STA RENDENDO MOLTO FAMOSO PRESSO LA POLIZIA!"
"ACT_TORCH_START_TEXT1": "COLPISCI LE SCIE E I BARILI DI BENZINA PER PROVOCARE GRANDI ESPLOSIONI"
"ACT_CHOP_SHOP_DELIVER_CAR_MSG": "Consegna la vettura al rivenditore d'auto rubate."
"ACT_WHORED_A_ICON": "Stratosferica."
"ACT_WHORED_NUTSHOOT": "Colpisci le parti basse!"
"ACT_WHORED_MONEYSHOTS_FAIL": "Mira alla testa non era solo un consiglio."
"ACT_WHORED_ZOMBIE_UPRISING_FAIL": "Mmm... carne fresca."
"ACT_PIMPING_RESCUE_KILL_COPS": "ELIMINA I [format][color:red]POLIZIOTTI[/format] E LIBERA LE [format][color:green]PROSTITUTE[/format]"
"ACT_HELI_START": "AVVIARE LA MODALITÀ ASSALTO IN ELICOTTERO"
"ACT_HELI_LIBERATOR_PICKUP_INFORMATION_MESSAGE": "PRELEVA I SAINTS E PORTALI IN UN [format][color:blue]LUOGO SICURO[/format]"
"ACT_WHORED_ZOMBIE_SLAYER_FAIL": "Forza campione! Impugna la spada e continua a combattere questo flagello!"
"ACT_WHORED_NUTSHOTS_FAIL": "Non fare il timido, colpisci i gioielli della casa."
"ACT_VANDAL_TIME_SUCCESS_MSG": "Ben fatto. Torna indietro per ricevere il tuo compenso."
"ACT_VANDAL_SMG_MSG": "MITRA"
"ACT_FRAUD_BONUS_CLIFF_DIVER": "BONUS DISTANZA VERTICALE"
"ACT_DEMO_DERBY_CASH": "BONUS DENARO:"
"ACT_VANDAL_TIME_FAIL_MSG": "IL TEMPO È SCADUTO"
"ACT_VANDAL_SHOTGUN_MSG": "FUCILE A POMPA"
"ACT_TRAFFIC_DEALING_PROTECT": "PROTEGGI LO [format][color:green]SPACCIATORE[/format] E IL [format][color:green]COMPRATORE[/format]"
"ACT_PIMPING_RESCUE_CONTACT_KILL_DECKERS": "ELIMINA I [format][color:red]DECKERS[/format] E LIBERA I [format][color:green]CONTATTI[/format]"
"ACT_PIMPING_VEHICLE_ROUTE_HOS": "FERMA IL [format][color:red]VEICOLO[/format] E PRENDI LA [format][color:green]PROSTITUTA[/format]"
"ACT_WHORED_DRINKING_GAME_FAIL": "Troppo alcool nel tuo sangue."
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS": "NON HAI RAGGIUNTO IL PUNTEGGIO OBIETTIVO."
"ACT_TRAFFICKING_DEAL_COUNT_UPDATED": "AFFARI CONCLUSI"
"ACT_TRAFFIC_DEALER_ATTACK": "LO [format][color:green]SPACCIATORE[/format] È SOTTO ATTACCO"
"ACT_PIMPING_RECAPTURE_START": "UN [format][color:red]MORNINGSTAR[/format] STA PORTANDO VIA UNA DELLE [format][color:green]TUE RAGAZZE[/format]. RIPRENDITELA"
"ACT_FRAUD_BONUSES": "BONUS OTTENUTI:"
"ACT_WHORED_SQUEAKY_CLEAN": "Che vergogna colossale."
"ACT_WHORED_MINI_SAMURAI_FAIL": "Troppo grande quella spada?"
"ACTIVITY_NAME_GUARDIAN": "ANGELO CUSTODE"
"CHOP_RACING_CONVERTIBLE_ROOF": "TETTO CABRIOLET RACING"
"ACT_VANDAL_JETSKI_MSG": "MOTO D'ACQUA"
"ACT_VANDAL_BONUS_MSG": "BONUS"
"ACT_PIMPING_TRAP_GET_HOS": "BEN FATTO, ORA PRENDI QUELLE [format][color:green]PROSTITUTE[/format]!"
"ACT_GUARDIAN_ANGEL_RIGHT_ATTACKER": "AGGRESSORE IN ARRIVO DA [format][color:red]DESTRA[/format]"
"ACT_FRAUD_BONUS_SUCCESSIVE_CARS": "BONUS FLIPPER"
"ACT_ESCORT_FAIL_FOOTAGE": "SONO STATE EFFETTUATE TROPPE RIPRESE; USA LE STRADE LATERALI PER NON FARTI RIPRENDERE"
"ACT_WHORED_MALLCOP_FAIL": "Da qualche parte, una guardia del supermercato sta piangendo..."
"ACT_PIMPING_HOS_NEEDED_COUNT_UPDATED": "RAGAZZE: %i"
"ACT_ZOMBIE_USE_MESSAGE_TEXT": "INIZIA ZOMBI"
"ACT_ESCORT_TOUCH_MINIGAME_MSG": "Usa {ANALOG_RS_IMG} per trovare il punto giusto, quindi toccalo con {ANALOG_LS_IMG}"
"ACT_ESCORT_OBJECTIVE_MSG": "Fai contento il [format][color:green]cliente[/format]: portalo in giro per la città con una escort ed evita i paparazzi."
"ACT_WHORED_MEGA_ZOMBIE": "Zombi 2.0: più grandi, più forti e più infiammabili."
"ACT_LEVEL_2": "LIVELLO 2"
"ACT_VANDAL_COMBO_MSG": "COMBO:"
"ACT_VANDAL_CAR_STANDARD_MSG": "BERLINE"
"ACT_PIMPING_GET_CLOSER_TO_HOS": "AVVICINATI DI PIÙ ALLE [format][color:green]PROSTITUTE[/format]"
"ACT_WHORED_MEGA_ZOMBIE_FAIL": "Ti avevamo avvertito."
"TUT_ACT_TANK_MAYHEM_TUTORIAL_TANK_REPAIR": "I punti riparazione segnati sulla mappa aggiusteranno il blindato."
"ACT_TORCH_RACE_INSTRUCTIONS2": "Guadagna punti bruciando pedoni e veicoli."
"STICK_ROTATION_UTIL_CLOCKWISE_MESSAGE": "IN SENSO ORARIO"
"ACT_VANDAL_TRUCK_BIG_SEMI_CAB_MSG": "MOTRICI"
"ACT_VANDAL_AIRPLANE_MSG": "AEREI"
"ACT_PIMPING_RESCUE_PIMPS_REROUTE": "LE [format][color:green]PROSTITUTE[/format] SONO STATE PORTATE VIA VAI A LIBERARLE"
"ACT_ESCORT_FAIL_CAR_DESTROYED": "LA TUA AUTO È STATA DISTRUTTA"
"HASH_6A5B3243": "MODALITÀ NON DISPONIBILE"
"ACT_WHORED_BRUTEBOOM_FAIL": "Spingili prima che loro spingano te."
"ACT_WHORED_ZOMBIE_CHAINSAW_FAIL": "Non faresti paura a un tacchino."
"ACT_WHORED_SAUSAGE_FEST": "Una bella scorta di salsicce succulente."
"HASH_410CDA44": "ACCOMPAGNA IL [format][color:green]CLIENTE[/format] A [format][color:teal]SAINTS ROW[/format]"
"ACT_RUNNING_MAN_TITLE": "PROFESSOR GENKI'S S.E.R.C."
"ACT_VANDAL_SUCCESS_MSG": "Ritorna alla posizione indicata."
"ACT_PIMPING_CONTACTS_COLON": "CONTATTI:"
"ACT_GUARDIAN_ANGEL_NAME": "ANGELO CUSTODE"
"CUSTOMIZATION_GARAGE_FULL": "Devi eliminare un veicolo dal garage per usare la personalizzazione."
"ACT_WHORED_Z_BOARDER_GUARD": "Steelport ha problemi con i clandestini alieni."
"ACT_WHORED_Z_THEME_PARK": "No, NON VOGLIO la foto."
"ACT_WHORED_BAT_FAIL": "Vai col liscio!"
"ACT_TRAFFIC_DEALER_WAITING": "LO [format][color:green]SPACCIATORE[/format] È PRONTO A GUIDARE."
"ACT_HELI_LIBERATOR_ATTACK_INFORMATION_MESSAGE": "SPARA AGLI [format][color:red]AUTOBUS[/format] PER FERMARLI"
"ACT_ESCORT_SPOUSE_SPAWNED": "SFUGGI ALLA [format][color:red]PARTNER[/format] DEL [format][color:green]CLIENTE[/format]"
"HOSTAGE_SUCCESS": "MODALITÀ OSTAGGIO COMPLETATA"
"ACT_TANK_MAYHEM_TITLE": "VANDALISMO BLINDATO"
"ACT_HOSTAGE_FAILURE_REASON": "L'OSTAGGIO È FUGGITO"
"ACT_PIMPING_GET_CLOSER_TO_CONTACTS": "AVVICINATI DI PIÙ AI [format][color:green]CONTATTI[/format]."
"ACT_FRAUD_BONUS_COOP_CHAIN": "BONUS CATENA"
"ACT_ESCORT_ALMOST_LOSE_MSG": "I MEDIA HANNO QUASI TERMINATO LE RIPRESE"
"ACT_ESCORT_OBJECTIVE_TEXT_01": "SODDISFA LE RICHIESTE DEL CLIENTE"
"ACT_VANDAL_OBJECTIVE_1": "CAUSA $%d DI DANNI ENTRO IL TEMPO LIMITE"
"ACT_TRAFFIC_POLICE_STING_UNCUFF": "{ACTION_IMG} TOGLI LE MANETTE ALLO SPACCIATORE"
"ACT_HELI_NEWS_VAN_HUD_TEXT": "FURGONCINI DEI GIORNALI DA DISTRUGGERE"
"ACT_FRAUD_VISIT_BONUS_AREA": "LE [format][color:teal]DESTINAZIONI[/format] INDICATE SULLA MAPPA TI FARANNO GUADAGNARE PIÙ ADRENALINA"
"ACT_FRAUD_HUD_MULT_X": "X"
"HASH_DF9F0AC8": "%ls È SOTTO ATTACCO"
"HASH_CA158948": "PORTA IL [format][color:green]CLIENTE[/format] [format][color:teal]VICINO AL PORTO[/format]"
"ACT_WHORED_QUESTION_MARKS_FAIL": "Nessuna domanda."
"ACTIVITY_NAME_SNATCH": "PAPPONE"
"ACT_GUARDIAN_ANGEL_FOLLOW_IN_HELI": "SALI SULL'ELICOTTERO PER SEGUIRE I TUOI AMICI"
"TEMP_LAST_MINUTE_1": "AVVIA L'ATTIVITÀ RIVENDITORE D'AUTO RUBATE"
"ACT_VANDAL_SUMMARY_PEOPLE_KILLED": "PERSONE UCCISE"
"ACT_HELI_PROTECTION_HUD_TEXT": "FERMATE EFFETTUATE"
"ACT_ESCORT_NEAR_MISS_MSG": "IL [format][color:green]CLIENTE[/format] VUOLE CHE MANCHI %d VEICOLI DI SEGUITO"
"ACT_RUNNING_MAN_INTRO_L_1": "Guadagna $1.000 distruggendo gli obiettivi, uccidendo i nemici e lasciando l'arena entro il tempo limite. Distruggendo molti oggetti di seguito, otterrai un bonus combo."
"ACT_FRAUD_FIELD_DIVIDER": "/"
"ACT_ZOMBIE_SURVIVOR_REVIVE": "Hai %d secondi per rianimare un sopravvissuto!"
"ACT_PIMPING_RESCUE_KILL_PIMPS": "ELIMINA I [format][color:red]MORNINGSTAR[/format] E LIBERA LE [format][color:green]PROSTITUTE[/format]"
"ACT_HUMAN_TORCH_TITLE": "SELEZIONE LIVELLO PALLA DI FUOCO"
"HASH_7E62454A": "HAI ABBANDONATO IL TUO QUARTIERE"
"ACT_WHORED_A_FISTING": "Basta prenderci la mano."
"ACT_WHORED_WEENIEROAST": "Delizia arrosto."
"ACT_VANDAL_MOTORCYCLE_MSG": "MOTO"
"ACT_TRAFFIC_NOT_IN_VEHICLE": "TORNA IN AUTO"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_HELPER_MESSAGE": "HAI UCCISO L'AIUTO"
"ACT_GUARDIAN_ANGEL_HELICOPTER_ATTACKER": "La vedetta ha visto un [format][color:red]elicottero[/format] in arrivo."
"ACT_FRAUD_NO_SCORE": "HAI SALTATO FUORI DALLA [format][color:teal]ZONA PUNTI[/format], NON HAI GUADAGNATO NIENTE"
"ACT_FRAUD_MESSAGE_WITNESS_MULT_TYPE": "RECORD TRUFFA TESTIMONI"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE": "RECORD TRUFFA DISTANZA IN LINEA"
"ACT_WHORED_A_RECYCLE": "Vedi? Il nostro gioco lancia messaggi positivi."
"ACT_WHORED_QUESTION_MARKS": "Punti di domanda in arrivo!"
"ACT_WHORED_TANK": "C'è un blindato per te."
"ACT_WHORED_THE_END_FAIL": "Un'altra... ondata. Forza!"
"HORDE_MODE_OTHER_PLAYER_DISCONNECTED": "L'altro giocatore ti ha disconnesso e perciò devi abbandonare la modalità Lorda. Tornerai al menu principale."
"ACTIVITY_NAME_TRAIL_BLAZING": "PALLA DI FUOCO"
"ACT_VANDAL_TRUCK_TRAILER_MSG": "RIMORCHI"
"ACT_VANDAL_BONUS_WEAPON": "BONUS ARMA"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_4SEC": "4..."
"ACT_PIMPING_YOU_NEED_MORE_CONTACTS": "TI SERVONO ALTRI [format][color:green]CONTATTI[/format]"
"ACT_PIMPING_TRAP_SPRUNG_KILL_PIMPS": "È UNA TRAPPOLA! ELIMINA I [format][color:red]MORNINGSTAR[/format] PRIMA DI RECLUTARE LE [format][color:green]PROSTITUTE[/format]"
"ACT_HELI_VAN_LOW_HEALTH_TEXT": "[format][color:green]L'AUTO DEL TUO AMICO[/format] È GRAVEMENTE DANNEGGIATA"
"ACT_CHOP_SHOP_FAIL_TIME_MSG": "Il tempo è scaduto."
"ACT_WHORED_D_CAAN_COOLJ": "Il roller derby non sarà più lo stesso"
"ACT_WHORED_ZOMBIE_INFERNO_FAIL": "SUGGERIMENTO PRO: stai alla larga dagli zombi che esplodono; usali come bombe."
"HORDE_CHARACTER_ZIMOS": "ZIMOS"
"MISSION_FAILURE_PASSED_OUT_TEXT": "SEI SVENUTO"
"ACT_VANDAL_PEDESTRIAN": "PEDONE"
"ACT_VANDAL_IN_DISTRICT_MSG": "Distruggi oggetti, veicoli e persone usando le armi a tua disposizione per guadagnare denaro."
"ACT_HUMAN_TORCH_OBJECTIVE_MSG": "ELIMINA AUTO E PERSONE PER OTTENERE TEMPO BONUS E TAGLIA IL TRAGUARDO"
"ACT_FRAUD_ADRENALINE_READY": "MODALITÀ ADRENALINA ATTIVATA"
"HASH_90E08F4D": "STAI USCENDO DA UN TERRITORIO CONTESO."
"ACT_WHORED_RESTART_WARNING": "Cominciando una nuova partita perderai i progressi sulla mappa. Continuare?"
"ACT_WHORED_MEGAFURRIES_FAIL": "Peloso e furioso."
"ACT_VANDAL_PENALTY_MSG": "PENALITÀ"
"ACT_VANDAL_CAR_BIG_DOMESTIC_MSG": "MONOVOLUME"
"ACT_CLIENT_HASNT_COMPLETED": "({CLIENT_NAME} NON HA FINITO)"
"ACT_WHORED_Z_TEXAS_ZOMB": "ERA TUTTO vero..."
"ACT_WHORED_D_7INNING": "Panini, bibite, patatine piccanti!"
"ACT_LEVEL_7": "LIVELLO 7"
"ACT_GUARDIAN_ANGEL_CAR_ATTACKER": "La vedetta ha visto un'[format][color:red]auto[/format] in arrivo."
"ACT_WHORED_Z_ERECTILE_DYS": "Può succedere a tutti."
"ACT_WHORED_Z_WELCOME": "Bello stare sopra."
"ACT_VANDAL_SUMMARY_OBJECTS_DESTROYED": "OGGETTI DISTRUTTI"
"ACT_VANDAL_STATIC_BONUS_BIGTRUCK_MSG": "BONUS CAMION"
"ACT_HELI_CHOPLIFTER_FULLY_LOADED_MESSAGE": "L'ELICOTTERO È CARICO, PORTA I PASSEGGERI IN [format][color:blue]SALVO[/format]"
"ACT_FRAUD_HITS_HUD": "COLPI:"
"ACT_ESCORT_LIMO_MSG": "GUIDA L'[format][color:green]AUTO[/format] E PRELEVA IL CLIENTE"
"HASH_3662C1D0": "NON SEI RIUSCITO A RIPRENDERTI IL QUARTIERE"
"ACT_WHORED_D_STEELPORT_CONNECTION": "Per un pugno di pelo."
"ACT_WHORED_FLAMEBRUTE": "Bestione in fiamme in arrivo!"
"ACT_WHORED_ZOMBIE_SLAYER": "Con le tue armi divine hai ripulito questo mondo dal flagello dei non morti!"
"ACT_WHORED_OLD_SCHOOL": "Senza sprint né rigenerazione energia. Solo un fucile e la voglia di sopravvivere."
"ACT_PIMPING_TRAP_SPRUNG_GET_HOS": "È UNA TRAPPOLA! RECLUTA LE [format][color:green]PROSTITUTE[/format] E VATTENE."
"ACT_HELI_CONVOY_AIRPORT_DESTINATION_MESSAGE": "L'AEROPORTO"
"ACT_WHORED_Z_BRUTE_ACTION": "Giochiamo un po' con te."
"ACT_WHORED_HITNRUN_FAIL": "È richiesta una certa abilità di guida."
"ACT_ZOMBIE_TRIGGER_FAIL": "NON HAI FERMATO L'ATTACCO DEGLI ZOMBI"
"ACT_VANDAL_BONUS_STATIC_VEHICLE": "BONUS: DISTRUGGI %s (+$%d)"
"ACT_TRAFFIC_PROTECT_M": "PROTEGGI LO [format][color:green]SPACCIATORE[/format] MENTRE EFFETTUA LE CONSEGNE DI OGGI"
"ACT_PIMPING_VEHICLE_ROUTE_HO": "FERMA IL [format][color:red]VEICOLO[/format] E PRENDI LA [format][color:green]PROSTITUTA[/format]"
"ACT_WHORED_D_IRONY": "Di \"mini\" non c'è niente."
"ACT_WHORED_APOC": "Fai piazza pulita... facendo esplodere qualcuno."
"ACT_WHORED_ROUND1": "Benvenuto alla modalità Lorda!"
"ACT_VANDALISM_NAME": "VANDALISMO"
"ACT_VANDAL_BONUS_BASE_VALUE": "VALORE BASE"
"ACT_HELI_ACTIVITY_BOMB_ESCAPE_MESSAGE": "HAI %d SECONDI PER ALLONTANARTI DALL'OBIETTIVO"
"ACT_FRAUD_BONUS_WINDSHIELD_CANNON": "BONUS LANCIO DAL PARABREZZA"
"ACT_ESCORT_TIGER_RAGE_POWERSLIDE_MSG": "{HANDBRAKE_IMG} SGOMMA PER %0.1f SECONDI PER CALMARE LA TIGRE"
