"ACT_WHORED_Z_AGRIZOOPHOBIA": "これはやっかいだ"
"ACT_HELI_LIBERATOR_START_MESSAGE": "セインツのクルーが何人か逮捕された\n[format][color:red]バス[/format]にダメージを与えて停止させ、仲間を安全な場所まで運べ"
"ACT_FRAUD_CHANGE_LOCATION": "[format][color:teal]スコアリングエリア[/format]が移動した"
"ACT_ESCORT_TIGER_MINIGAME_MSG": "{ANALOG_RS_IMG}を使ってトラのかゆい部分を探せ。その部分を{ANALOG_LS_IMG}で慎重にかいてやれ"
"ACT_WHORED_Z_GATS_WET": "昔一度来たっけ"
"ACT_WHORED_TANK_FAIL": "君にやる戦車はない！"
"ACT_WHORED_STRIPPERS_FAIL": "ロケットは持ってるんだろうな？"
"ACT_VANDAL_TRAILERS_MSG": "セミトレーラー"
"ACT_VANDAL_START_MSG": "[format][color:teal]%ls地区[/format]へ向かえ"
"ACT_VANDAL_BONUS_CLOSE_CHAOS": "カオスボーナス"
"ACT_PIMPING_RESCUE_CONTACT_KILL_COPS": "[format][color:red]警官[/format]を始末して、[format][color:green]協力者[/format]を救助しろ！"
"ACT_PIMPING_RECAPTURE_CONTACT_START": "[format][color:green]協力者[/format]の1人がまた[format][color:red]デッカー[/format]に捕えられた。連れ戻せ！"
"ACT_PIMPING_YOU_NEED_MORE_HOS": "もっと[format][color:green]エステティシャン[/format]が必要だ"
"ACT_ESCORT_AIR_MSG": "%.2f秒間飛べ"
"ACT_WHORED_Z_START_YOUNG": "よく考えて行動しろ"
"ACT_WHORED_SQUEAKY_CLEAN_FAIL": "エクササイズドールの角度を工夫して、奇跡を起こせ"
"ACT_WHORED_SWAG_BAG_FAIL": "キュートな着ぐるみにやられた...？情けない..."
"MISSION_FAILURE_BUSTED_TEXT": "捕まった"
"ACT_PIMPING_TRAP_GET_CONTACTS": "よくやった！[format][color:green]協力者[/format]たちをスカウトしろ！"
"ACT_GUARDIAN_ANGEL_BEHIND_ATTACKER": "客の[format][color:red]背後[/format]から敵が迫っている"
"ACT_FRAUD_DONT_KILL": "人を殺すと毎回ペナルティーが科される"
"ACT_ESCORT_TRIP_BROTHEL_MSG": "[format][color:green]客[/format]を飽きさせるな\n[format][color:teal]サロン[/format]へ連れて行け"
"ACT_WHORED_Z_OUTMATCHED": "素早く判断しろ"
"ACT_WHORED_MINIFURRIES": "かわいさにだまされるな、こいつらロケットもってるぞ！"
"ACT_VANDALISM_START": "メイヘムを開始"
"CHOPSHOP_REQ_MODS": "必須の改造"
"ACT_VANDAL_HELICOPTER_MSG": "ヘリ"
"ACT_TORCH_TIME_EARN_PARAMETERIZED_STRING": "チェックポイントを通過すると残り時間が追加される"
"ACT_FRAUD_BONUS_LOCATION": "ミニマップに表示されている地域でダイブするとボーナスを獲得できます"
"ACT_ESCORT_FOOTAGE": "撮影"
"ACT_WHORED_DRUNKENROCKETS": "酒とロケットは混ぜちゃいけない\nだから一緒にしてみよう！"
"ACT_TANK_MAYHEM_LEFT_HOOD": "指定エリア内に戻れ！"
"TUT_ACT_TANK_MAYHEM_HVT_FOUND": "高額ターゲットを破壊すると、さらにキャッシュを獲得できる"
"ACT_VANDAL_COMBO_TOTAL": "コンボ合計：%lsドル"
"ACT_PIMPING_TRAP_SPRUNG_KILL_DECKERS": "罠だ！[format][color:red]デッカー[/format]を全員始末してから、[format][color:green]協力者[/format]たちをスカウトしろ"
"ACT_HELI_ACTIVITY_BOMB_MESSAGE": "爆薬を仕掛けて[format][color:blue]建造物[/format]を破壊しろ"
"HOSTAGE_FAILURE": "人質作戦失敗"
"ACT_WHORED_ZOMBIES_EXPLODE_FAIL": "倒すのはヤツら、自分じゃない"
"GAMEPLAY_SMOKED": "YOU'RE SMOKED！\nヤラレちまった！"
"ACT_WHORED_D_ROMERO_REVENGE": "相棒はパワーツール"
"ACT_WHORED_MEGACAN": "ヤツが来るぞ！"
"HORDE_CHARACTER_CYRUS": "サイラス"
"SUCCESS_RESPECT_TEXT": "リスペクト"
"ACTIVITY_FAILURE_SUB_TEXT": "失敗"
"ACT_TRAFFICKING_NAME": "デリバリー"
"CHOP_SPORT_FRONT_BUMPER": "スポーツフロントバンパー"
"ACT_ESCORT_NEWS_WARNING_MSG": "TV中継車に追いつかれると\n満足度メーターの上昇が止まる"
"ACT_WHORED_A_BATH_TOY": "おもちゃのアヒルよりはまし"
"ACT_RUNNING_MAN_TITLE_SHORT": "超絶有頂天倫理委員会"
"CHOP_OFF_ROAD_1_BUMPERS": "オフロードバンパー1"
"ACT_VANDAL_START_3_MSG": "連続で物を破壊すると\nコンボボーナスになる"
"ACT_WHORED_STARPOWER2": "さわると相手が爆発する！"
"ACT_WHORED_MINIZOMBIES": "ミニチュアゾンビの大群"
"HORDE_CHARACTER_BOBERT": "ボバート"
"ACT_RUNNING_MAN_WAGER_DESCRIPTION": "現在獲得している金額を賭けて、次のレベルで2倍かゼロかの勝負ができる。\n\n次のレベルを無事にクリアすれば、獲得金額は2倍になる。ただし失敗すれば、全額没収される。\n\n一か八かのチャンス！"
"ACTIVITY_NAME_ESCORT": "エスコート"
"HASH_289F1039": "[format][color:green]客[/format]が腹を空かしている\n[format][color:teal]COMPANY OF GYROS[/format]へ連れて行け"
"ACT_WHORED_COMM_SERVICE": "ゴミはゴミ箱へ！"
"CHOP_RACING_EXHAUST": "レーシングマフラー"
"ACT_ZOMBIE_FAIL": "ゾンビの撃退に失敗した"
"ACT_VANDAL_BONUS_TOTAL": "合計"
"ACT_ACTIVITY_DESCRIPTION_2": "アクティビティ「スカウト」に挑戦してリスペクトを獲得しろ"
"CRITICAL_VEHICLE_ABANDONED_VEHICLE_TEXT": "車両から離れすぎた"
"ACT_VANDAL_SUMMARY_FAVORITE_WEAPON": "お気に入りの武器"
"ACT_VANDAL_START_NO_DISTRICT_MSG": "思いっきり暴れてやれ"
"ACT_VANDAL_PROPERTY": "物件"
"ACT_TRAFFIC_CHASE_HELICOPTER_NOTORIETY": "[format][color:red]報道ヘリ[/format]のせいで警察の悪評度が上昇している！"
"ACT_TORCH_START_TEXT1": "ガソリンの跡やドラム缶にぶつかって\n大爆発を起こせ"
"ACT_CHOP_SHOP_DELIVER_CAR_MSG": "ヤミ改造工場に引き渡せ"
"ACT_WHORED_A_ICON": "有名人"
"ACT_WHORED_NUTSHOOT": "急所を狙え！"
"ACT_WHORED_MONEYSHOTS_FAIL": "もう一度言う。「頭を狙え」"
"ACT_WHORED_ZOMBIE_UPRISING_FAIL": "のう...ミ...ソ...うま..."
"ACT_PIMPING_RESCUE_KILL_COPS": "[format][color:red]警察[/format]を始末して[format][color:green]エステティシャン[/format]を救出しろ！"
"ACT_HELI_START": "ヘリアサルトを開始"
"ACT_HELI_LIBERATOR_PICKUP_INFORMATION_MESSAGE": "セインツを乗せて[format][color:blue]安全な場所[/format]まで運べ"
"ACT_WHORED_ZOMBIE_SLAYER_FAIL": "英雄よ立ち上がれ！再び剣を取り邪悪なる存在を打ち倒すのだ！"
"ACT_WHORED_NUTSHOTS_FAIL": "「急所」の場所は... 分かってる？"
"ACT_VANDAL_TIME_SUCCESS_MSG": "よくやった。戻ってギャラを受け取れ"
"ACT_VANDAL_SMG_MSG": "サブマシンガン"
"ACT_FRAUD_BONUS_CLIFF_DIVER": "垂直距離ボーナス"
"ACT_DEMO_DERBY_CASH": "ボーナス："
"ACT_VANDAL_TIME_FAIL_MSG": "時間切れだ"
"ACT_VANDAL_SHOTGUN_MSG": "ショットガン"
"ACT_TRAFFIC_DEALING_PROTECT": "[format][color:green]ディーラー[/format]と[format][color:green]バイヤー[/format]を守れ"
"ACT_PIMPING_RESCUE_CONTACT_KILL_DECKERS": "[format][color:red]デッカ―[/format]を始末して、[format][color:green]協力者[/format]を救助しろ！"
"ACT_PIMPING_VEHICLE_ROUTE_HOS": "[format][color:red]車[/format]を止めて[format][color:green]エステティシャン[/format]を調達しろ"
"ACT_WHORED_DRINKING_GAME_FAIL": "まだ飲み足りなかった？"
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS": "目標得点に届かなかった"
"ACT_TRAFFICKING_DEAL_COUNT_UPDATED": "成立した取引"
"ACT_TRAFFIC_DEALER_ATTACK": "[format][color:green]ディーラー[/format]が攻撃されている"
"ACT_PIMPING_RECAPTURE_START": "[format][color:red]スカウト[/format]が[format][color:green]エステティシャン[/format]を\n連れだしている。奪い返せ！"
"ACT_FRAUD_BONUSES": "ボーナス合計："
"ACT_WHORED_SQUEAKY_CLEAN": "究極の恥"
"ACT_WHORED_MINI_SAMURAI_FAIL": "君にはカタナがデカすぎた？"
"ACTIVITY_NAME_GUARDIAN": "ガーディアンエンジェル"
"CHOP_RACING_CONVERTIBLE_ROOF": "レーシングコンバーチブルルーフ"
"ACT_VANDAL_JETSKI_MSG": "ジェットスキー"
"ACT_VANDAL_BONUS_MSG": "ボーナス"
"ACT_PIMPING_TRAP_GET_HOS": "よくやった！[format][color:green]エステティシャン[/format]を調達しろ！"
"ACT_GUARDIAN_ANGEL_RIGHT_ATTACKER": "[format][color:red]右[/format]から敵が迫っている"
"ACT_FRAUD_BONUS_SUCCESSIVE_CARS": "ピンボールボーナス"
"ACT_ESCORT_FAIL_FOOTAGE": "映像を撮られすぎた。脇道を利用して報道陣をまけ"
"ACT_WHORED_MALLCOP_FAIL": "どこかで警備員が泣いている..."
"ACT_PIMPING_HOS_NEEDED_COUNT_UPDATED": "エステティシャン：%i"
"ACT_ZOMBIE_USE_MESSAGE_TEXT": "ゾンビを開始"
"ACT_ESCORT_TOUCH_MINIGAME_MSG": "{ANALOG_RS_IMG}を使ってスペシャルスポットを見つけたら{ANALOG_LS_IMG}で叩け"
"ACT_ESCORT_OBJECTIVE_MSG": "パパラッチを避けながら、ダンサーと一緒に街中をドライブして[format][color:green]客[/format]を満足させろ"
"ACT_WHORED_MEGA_ZOMBIE": "ゾンビVer. 2.0。\nよりデカく、強く、燃えやすくなって登場だ！"
"ACT_LEVEL_2": "レベル2"
"ACT_VANDAL_COMBO_MSG": "コンボ："
"ACT_VANDAL_CAR_STANDARD_MSG": "セダン"
"ACT_PIMPING_GET_CLOSER_TO_HOS": "[format][color:green]エステティシャン[/format]に近付け"
"ACT_WHORED_MEGA_ZOMBIE_FAIL": "だから言ったのに..."
"TUT_ACT_TANK_MAYHEM_TUTORIAL_TANK_REPAIR": "マップ上にある修理ステーションでは戦車を修理できる"
"ACT_TORCH_RACE_INSTRUCTIONS2": "歩行者と車両を燃やしてポイントを獲得しろ"
"STICK_ROTATION_UTIL_CLOCKWISE_MESSAGE": "時計回り"
"ACT_VANDAL_TRUCK_BIG_SEMI_CAB_MSG": "セミトレーラー"
"ACT_VANDAL_AIRPLANE_MSG": "飛行機"
"ACT_PIMPING_RESCUE_PIMPS_REROUTE": "[format][color:green]エステティシャン[/format]がさらわれた。すぐに救出しろ！"
"ACT_ESCORT_FAIL_CAR_DESTROYED": "車が破壊された"
"HASH_6A5B3243": "スタート不可"
"ACT_WHORED_BRUTEBOOM_FAIL": "押される前に押せ"
"ACT_WHORED_ZOMBIE_CHAINSAW_FAIL": "七面鳥なんか怖くないぞ"
"ACT_WHORED_SAUSAGE_FEST": "ソーセージ天国"
"HASH_410CDA44": "[format][color:green]客[/format]を車に乗せて[format][color:teal]SAINTS ROW[/format]を案内しろ"
"ACT_RUNNING_MAN_TITLE": "天才ゲンキ博士"
"ACT_VANDAL_SUCCESS_MSG": "指定の場所へ戻れ"
"ACT_PIMPING_CONTACTS_COLON": "協力者:"
"ACT_GUARDIAN_ANGEL_NAME": "ガーディアンエンジェル"
"CUSTOMIZATION_GARAGE_FULL": "車両カスタマイズを行うには、ガレージから車両を削除する必要があります"
"ACT_WHORED_Z_BOARDER_GUARD": "不法就労者はお断り"
"ACT_WHORED_Z_THEME_PARK": "写真はいらないってのに"
"ACT_WHORED_BAT_FAIL": "空振りだ！"
"ACT_TRAFFIC_DEALER_WAITING": "[format][color:green]ディーラー[/format]は出発する準備ができている"
"ACT_HELI_LIBERATOR_ATTACK_INFORMATION_MESSAGE": "[format][color:red]バス[/format]を撃って停止させろ"
"ACT_ESCORT_SPOUSE_SPAWNED": "[format][color:green]客[/format]の[format][color:red]連れ[/format]をまけ"
"HOSTAGE_SUCCESS": "人質引渡し完了"
"ACT_TANK_MAYHEM_TITLE": "タンクメイヘム"
"ACT_HOSTAGE_FAILURE_REASON": "人質が逃げ出した"
"ACT_PIMPING_GET_CLOSER_TO_CONTACTS": "[format][color:green]協力者[/format]にもっと近づけ"
"ACT_FRAUD_BONUS_COOP_CHAIN": "連続ボーナス"
"ACT_ESCORT_ALMOST_LOSE_MSG": "あと少しでメディアがスクープに必要な尺を撮りきってしまう"
"ACT_ESCORT_OBJECTIVE_TEXT_01": "客のリクエスト通りに行動しろ"
"ACT_VANDAL_OBJECTIVE_1": "制限時間内に%dドル分の損害を与えろ"
"ACT_TRAFFIC_POLICE_STING_UNCUFF": "{ACTION_IMG}：ディーラーの手錠を外す"
"ACT_HELI_NEWS_VAN_HUD_TEXT": "残りのTV中継車"
"ACT_FRAUD_VISIT_BONUS_AREA": "マップ上のマークのついた[format][color:teal]場所[/format]では\nアドレナリンを多く獲得できる"
"ACT_FRAUD_HUD_MULT_X": "X"
"HASH_DF9F0AC8": "%lsが攻撃されている"
"HASH_CA158948": "[format][color:green]客[/format]を[format][color:teal]波止場地区[/format]へ連れて行け"
"ACT_WHORED_QUESTION_MARKS_FAIL": "疑問なし"
"ACTIVITY_NAME_SNATCH": "スカウト"
"ACT_GUARDIAN_ANGEL_FOLLOW_IN_HELI": "ヘリで仲間を追跡しろ"
"TEMP_LAST_MINUTE_1": "ヤミ改造工場を開始"
"ACT_VANDAL_SUMMARY_PEOPLE_KILLED": "殺害した市民"
"ACT_HELI_PROTECTION_HUD_TEXT": "阻止数"
"ACT_ESCORT_NEAR_MISS_MSG": "[format][color:green]客[/format]からのリクエストだ\n%d回連続でニアミスしろ"
"ACT_RUNNING_MAN_INTRO_L_1": "ターゲットを破壊し、敵を始末して1,000ドルの損害額を叩き出せ。時間切れになる前にアリーナから脱出しろ。連続で物を破壊すると、コンボボーナスを獲得できる"
"ACT_FRAUD_FIELD_DIVIDER": "／"
"ACT_ZOMBIE_SURVIVOR_REVIVE": "%d秒以内にサバイバーを生き返らせろ！"
"ACT_PIMPING_RESCUE_KILL_PIMPS": "[format][color:red]スカウト[/format]を始末して\n[format][color:green]エステティシャン[/format]を救出しろ！"
"ACT_HUMAN_TORCH_TITLE": "ファイアレースレベル選択"
"HASH_7E62454A": "縄張りを放棄した"
"ACT_WHORED_A_FISTING": "使えるスキル"
"ACT_WHORED_WEENIEROAST": "直火焼きはうまい！"
"ACT_VANDAL_MOTORCYCLE_MSG": "バイク"
"ACT_TRAFFIC_NOT_IN_VEHICLE": "車に戻れ"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_HELPER_MESSAGE": "助手が死んでしまった"
"ACT_GUARDIAN_ANGEL_HELICOPTER_ATTACKER": "こちらに向かっている[format][color:red]ヘリ[/format]が確認された"
"ACT_FRAUD_NO_SCORE": "[format][color:teal]スコアリングエリア[/format]の外でやられたフリをしても、お金はもらえないぞ"
"ACT_FRAUD_MESSAGE_WITNESS_MULT_TYPE": "保険金詐欺歩行者目撃記録"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE": "保険金詐欺距離記録"
"ACT_WHORED_A_RECYCLE": "道徳的なコンテンツもある！"
"ACT_WHORED_QUESTION_MARKS": "クエスチョンマークの大群だ！"
"ACT_WHORED_TANK": "君のための戦車だ"
"ACT_WHORED_THE_END_FAIL": "あと、ひと、いき..."
"HORDE_MODE_OTHER_PLAYER_DISCONNECTED": "相手プレイヤーとの接続が切れたため、千人切りモードを終了します。\nメインメニューに戻ります"
"ACTIVITY_NAME_TRAIL_BLAZING": "ファイアレース"
"ACT_VANDAL_TRUCK_TRAILER_MSG": "トレーラー"
"ACT_VANDAL_BONUS_WEAPON": "武器ボーナス"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_4SEC": "4..."
"ACT_PIMPING_YOU_NEED_MORE_CONTACTS": "まだ[format][color:green]協力者[/format]が足りない"
"ACT_PIMPING_TRAP_SPRUNG_KILL_PIMPS": "罠だ！\n[format][color:green]エステティシャン[/format]をスカウトする前に[format][color:red]スカウト[/format]を全員始末しろ"
"ACT_HELI_VAN_LOW_HEALTH_TEXT": "[format][color:green]仲間の車[/format]の損傷が激しい"
"ACT_CHOP_SHOP_FAIL_TIME_MSG": "時間切れだ"
"ACT_WHORED_D_CAAN_COOLJ": "変わったローラーゲーム"
"ACT_WHORED_ZOMBIE_INFERNO_FAIL": "ヒント：爆発するゾンビには近寄らず、爆弾代わりに利用しろ"
"HORDE_CHARACTER_ZIMOS": "ズィーモス"
"MISSION_FAILURE_PASSED_OUT_TEXT": "気絶してしまった"
"ACT_VANDAL_PEDESTRIAN": "歩行者"
"ACT_VANDAL_IN_DISTRICT_MSG": "提供された武器で手当たり次第破壊しまくってキャッシュを獲得しろ"
"ACT_HUMAN_TORCH_OBJECTIVE_MSG": "レース終了までに、人や車に激突してタイムボーナスを獲得しろ"
"ACT_FRAUD_ADRENALINE_READY": "アドレナリンモード発動"
"HASH_90E08F4D": "抗争中の地域を出る"
"ACT_WHORED_RESTART_WARNING": "新しいゲームを開始すると、現在のマップの進行状況がリセットされます。\n続行しますか？"
"ACT_WHORED_MEGAFURRIES_FAIL": "毛皮の猛威"
"ACT_VANDAL_PENALTY_MSG": "ペナルティ"
"ACT_VANDAL_CAR_BIG_DOMESTIC_MSG": "大型車"
"ACT_CLIENT_HASNT_COMPLETED": "（{CLIENT_NAME}はまだ完了していない）"
"ACT_WHORED_Z_TEXAS_ZOMB": "やっぱり本当だったのか"
"ACT_WHORED_D_7INNING": "レッドホット！"
"ACT_LEVEL_7": "レベル7"
"ACT_GUARDIAN_ANGEL_CAR_ATTACKER": "こちらに向かっている[format][color:red]車[/format]が目撃された"
"ACT_WHORED_Z_ERECTILE_DYS": "誰にだってあるさ"
"ACT_WHORED_Z_WELCOME": "何でも一番は気持ちいい"
"ACT_VANDAL_SUMMARY_OBJECTS_DESTROYED": "破壊した器物"
"ACT_VANDAL_STATIC_BONUS_BIGTRUCK_MSG": "大型トラックボーナス"
"ACT_HELI_CHOPLIFTER_FULLY_LOADED_MESSAGE": "ヘリは満員だ。乗客を[format][color:blue]安全な場所[/format]へ連れて行け"
"ACT_FRAUD_HITS_HUD": "命中："
"ACT_ESCORT_LIMO_MSG": "客を[format][color:green]車[/format]で迎えに行け"
"HASH_3662C1D0": "縄張りの奪回に失敗した"
"ACT_WHORED_D_STEELPORT_CONNECTION": "モフモフの拳"
"ACT_WHORED_FLAMEBRUTE": "燃えるブルートが怒りに燃えながら登場！"
"ACT_WHORED_ZOMBIE_SLAYER": "振るえ聖剣！ゾンビがはびこる世界を浄化せよ"
"ACT_WHORED_OLD_SCHOOL": "ダッシュと自然回復なし。\nショットガンと気合いで生き延びろ！"
"ACT_PIMPING_TRAP_SPRUNG_GET_HOS": "罠だ！[format][color:green]エステティシャン[/format]をスカウトして、脱出しろ"
"ACT_HELI_CONVOY_AIRPORT_DESTINATION_MESSAGE": "THE AIRPORT"
"ACT_WHORED_Z_BRUTE_ACTION": "もて遊ばれて"
"ACT_WHORED_HITNRUN_FAIL": "運転スキルは必須条件"
"ACT_ZOMBIE_TRIGGER_FAIL": "ゾンビの襲撃阻止に失敗した"
"ACT_VANDAL_BONUS_STATIC_VEHICLE": "ボーナス：%sを破壊した（+%dドル）"
"ACT_TRAFFIC_PROTECT_M": "本日の配達が終了するまで\n[format][color:green]ディーラー[/format]を守れ"
"ACT_PIMPING_VEHICLE_ROUTE_HO": "[format][color:red]車[/format]を止めて[format][color:green]エステティシャン[/format]を調達しろ"
"ACT_WHORED_D_IRONY": "どこがミニだって"
"ACT_WHORED_APOC": "通行人を爆発させて、街を「清掃」しろ"
"ACT_WHORED_ROUND1": "千人切りモードスタート！"
"ACT_VANDALISM_NAME": "メイヘム"
"ACT_VANDAL_BONUS_BASE_VALUE": "基礎値"
"ACT_HELI_ACTIVITY_BOMB_ESCAPE_MESSAGE": "%d秒以内に標的から離れろ"
"ACT_FRAUD_BONUS_WINDSHIELD_CANNON": "フロントガラス砲ボーナス"
"ACT_ESCORT_TIGER_RAGE_POWERSLIDE_MSG": "{HANDBRAKE_IMG}%0.1f 秒間ドリフトしてトラを落ち着かせろ"
"ACT_ESCORT_FAIL_CAR_SUBMERGED": "車が沈んだ"
"ACT_WHORED_MEGAFURRIES": "大きさ、かわいさ、破壊力、どれをとっても一番！"
"ACT_WHORED_AYDIOSMIO_FAIL": "ザンネンデシータ"
"CHOP_SHOP_START": "ヤミ改造工場の車両リストを入手"
"ACT_VANDAL_TEAM_BONUS_MSG": "%lsを片付けるとボーナスが出るぞ"
"ACT_ESCORT_CLIENT_MSG": "[format][color:green]客[/format]を車に乗せろ"
"ACT_THEFT_SAFE_OPEN": "金庫を開錠"
"ACT_WHORED_A_SELF_CONSCIOUS": "サイズで判断するなとは言うけれど"
"ACT_WHORED_MEGACAN_FAIL": "今度は缶に再利用される番だ"
"ACT_WHORED_HOBO_SHOTGUN_FAIL": "ヤツらの逆襲が始まった"
"ACT_WHORED_ZOMBIE_INFERNO": "走るゾンビ、爆発するゾンビ、燃えてるゾンビが襲い来る。当然、体力回復なんてなし"
"ACT_RUNNING_MAN_WAGER_TITLE": "ダブルダウンのチャンス"
"ACT_ESCORT_NAME": "エスコート"
"ACT_EARNED_RESPECT": "%dのリスペクトを獲得した！"
"ACT_WHORED_D_APOTHEOSIS": "お楽しみバトルの時間"
"ACT_WHORED_MINICANS": "ミニガン、ミニ缶、ビッグな楽しみ！"
"ACT_RUNNING_MAN_BUTTON_PRESSED": "金庫"
"ACT_ZOMBIE_START_WAVES": "ゾンビを倒して襲撃を阻止しろ"
"ACT_VANDAL_STATION_WAGON_MSG": "ステーションワゴン"
"ACT_FRAUD_CURRENT_HIT": "前回の記録："
"ACT_CHOP_NOT_WANTED": "その車は引き取り対象外だ "
"ACT_WHORED_MEGA_TRANNY": "ブルテラを満足させろ"
"ACT_TORCH_FRENZY_INSTRUCTIONS": "時間内に印のついたターゲットをすべて燃やせ"
"ACT_WHORED_Z_ROLL_OVER": "おとなしく死んでろ"
"ACT_WHORED_A_VINTAGE_HORROR": "銃と弾はあるけどダッシュと回復はナシ"
"ACT_TANK_MAYHEM_NAME": "タンクメイヘム"
"ACT_VANDALISM_TITLE": "メイヘムレベル選択"
"ACT_LEVEL_3": "レベル3"
"ACT_CHOP_SHOP_NAME": "ヤミ改造工場"
"ACT_WHORED_GAT_ATTACK": "巨大ギャットマスコットを着て敵をけ散らせ！"
"ACT_LEVEL_6": "レベル6"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE": "保険金詐欺垂直ダイブ記録"
"ACT_CHOP_SHOP_MODS_REQUIRED": "特別な改造が必要な車もある"
"ACT_WHORED_A_TANK": "もっと大きな船が必要だ"
"ACT_WHORED_D_TARGET_PRACTICE": "近代的な射撃場"
"ACT_WHORED_WEAKSAUCE": "サイズ縮小、攻撃力低下"
"ACT_TRAFFICKING_ALL_DEALS_DONE": "すべての取引が成立した"
"ACT_YOU_HAVENT_COMPLETED": "（未クリア）"
"ACT_VANDAL_SUMMARY_PEOPLE": "市民"
"ACT_VANDAL_GOAL_MSG": "ゴール："
"ACT_TRAFFIC_PROTECT_F": "本日の配達が終了するまで\n[format][color:red]ディーラー[/format]を守れ"
"ACT_HELI_CHOPLIFTER_START_MESSAGE": "[format][color:green]セインツ[/format]を乗せて[format][color:blue]安全な場所[/format]まで運べ"
"PUSHBACK_GSI_TITLE": "奪回阻止"
"ACT_WHORED_A_LITTLE_NIKITA": "セクシー＆デンジャラス"
"CHOP_SPORT_SPOILER": "スポーツスポイラー"
"ACT_VANDAL_STATIC_BONUS_COMPACT_CAR_MSG": "コンパクトカーボーナス"
"ACT_TRAFFIC_POLICE_STING_UNCUFF_USE": "ディーラーの手錠を外せ"
"ACT_FRAUD_BONUS_COP_WITNESS": "警官目撃ボーナス"
"ACT_CHOP_REJECT_BURNING": "燃えた車は引き取り対象外だ！"
"HASH_DBAAE25B": "この縄張りは抗争中だ"
"ACT_WHORED_BOWLING": "全員やっちまえ！"
"ACT_VANDAL_STATIC_BONUS_PICKUP_MSG": "ピックアップトラックボーナス"
"ACT_HUMAN_TORCH_NAME": "ファイアレース"
"ACT_GUARDIAN_ANGEL_CRITICAL_VEHICLE_DESTROYED_MESSAGE": "逃走用の車が破壊されてしまった"
"ACT_HELI_PROTECTION_DISTANCE_WARNING": "バンの近くに戻れ！"
"TOUCH_COMBO_TUTORIAL_PART_2_MESSAGE": "{ANALOG_RS_IMG}をツボに固定したまま{ANALOG_LS_IMG}でタイミングを合わせろ"
"ACT_VANDAL_STATIC_BONUS_SPORTS_CAR_MSG": "スポーツカーボーナス"
"ACT_PIMPING_CAPTURED_CONTACT_DIED": "協力者が1人死亡した！もう1人調達しろ"
"ACT_WHORED_D_ANKLE_BITERS": "極小ながら極悪"
"CHOP_SHOP_NAME": "ヤミ改造工場"
"ACT_FRAUD_HIT": "命中："
"ACT_VANDAL_LAUNCHER_MSG": "ロケットランチャー"
"CELL_PHONE_NO_VEHICLES": "車両なし"
"ACT_WHORED_GRENADIER_STRIPPERS": "ミニダンサーに手榴弾というチップを渡せ"
"ACT_WHORED_WEAKSAUCE_FAIL": "かっこ悪いにもほどがある"
"ACT_RUNNING_MAN_NAME": "天才ゲンキ博士"
"ACT_RUNNING_MAN_TUTORIAL_TEXT": "ターゲットを破壊し、敵を始末してキャッシュを稼げ。時間切れになる前にアリーナから脱出しろ。連続で物を破壊するとコンボボーナスを獲得できる"
"ACT_VANDAL_NIGHTSTICK_MSG": "警棒"
"ACT_VANDAL_BONUS_STATIC_WEAPON": "ボーナス：%sを使用した（+%dドル）"
"ACT_VANDAL_BONUS_STATIC_TEAM": "ボーナス：%sを片付けた（+%dドル）"
"ACT_ESCORT_SPAWNED_MSG": "追跡してくるTV中継車をまけ"
"ACT_ESCORT_ROADBLOCK_MSG": "前方でTV中継車が道路を封鎖している"
"ACT_LEVEL_8": "レベル8"
"ACT_VANDAL_RIFLE_MSG": "ライフル"
"ACT_VANDAL_BONUS_MULTI_TEAM": "ボーナス：%sを片付けた（X%d）"
"ACT_HELI_TITLE": "ヘリアサルトレベル選択"
"ACT_GUARDIAN_ANGEL_STARTING_HELP_TEXT": "スナイパーライフルで[format][color:green]強盗ども[/format]を守れ"
"ACT_ESCORT_OUTRUN": "追っ手をまけ"
"ACT_ESCORT_FAIL_CLIENT_DEAD": "客が死んでしまった"
"STRONGHOLD_RESTART_TITLE": "拠点制圧失敗"
"MISSION_FAILURE_SUB_TEXT": "ミッション失敗！"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE_US": "保険金詐欺垂直ダイブ記録：%.2fフィート"
"ACT_FRAUD_IN_AREA": "[format][color:teal]スコアリングエリア[/format]が移動するまでに\n目一杯稼げ"
"ACT_ESCORT_FAIL_CLIENT_RUNOVER": "客をひいてしまった"
"HASH_391B5C61": "縄張り防衛失敗"
"ACTIVITY_NAME_HELI": "ヘリアサルト"
"LOCALIZE_CHOP_SHOP": "ヤミ改造工場"
"ACT_HITMAN_START": "ヒットマンを開始"
"ACT_ZOMBIE_LEVEL_CLEARED_FORMAT": "%d回目のウェーブをクリアした"
"ACT_FRAUD_BEST_HIT_HUD": "最高記録："
"ACT_WHORED_Z_MS_SEBERT": "もうそろそろ..."
"ACT_WHORED_A_GOOD_VIBRATIONS": "覚悟をきめろ！"
"ACT_WHORED_GIMPS": "スレイブどもを外に出せ！"
