"Storye01_In_Crawl_02": "L'histoire de l'humanité."
"Story21_In_10_Bobby": "C'est une page de l'Histoire qui s'écrit ce soir, Zach! Après sa défaite contestée contre Killbane, Angel avait disparu. Si vous êtes fans du Murderbrawl, c'est sûrement la soirée de votre vie!"
"Story20_In_07_Viola": "Killbane ne voudra jamais affronter Angel."
"Story17_In_03_Player_BM": "Pourquoi pas? J'aurai la tronche de Cyrus. Faut juste que je joue les tarés."
"Story14_In_09_Player_BM": "Où sont-ils?"
"Story11_Out_09_Monica": "Veillez sur Josh Birk ou je trouverai quelqu'un pour le faire. Compris?"
"Story17_Zscene01_01_Cyrus": "Kia, je retourne au Thermopyles pour interroger la prisonnière. Assurez-vous que personne ne l'approche."
"Story16_Zscene01_06_Player_BM": "C'est ça. Dans le monde réel, t'es juste un blaireau avec un clavier."
"Story16_In_06_Player_BM": "C'est parti..."
"Story12_Out_01_Cyrus": "Fouillez les corps."
"Story01_In_03_Josh": "Pas de problème. Je fais mes propres cascades."
"Story17_Mid_05_Kia": "J'ai besoin que vous signiez des prototypes sur lesquels j'ai travaillé."
"Story17_In_07_Player_BM": "Ouais, toi et Pierce. Je vous emmène."
"Story16_Zscene01_02_Player_BM": "C'est facile de ricaner quand on se planque comme une lavette. Allez, sors!"
"Story07_Zscene03_01_Angel": "T'es pas une des brutes de Loren."
"Story16_In_02_Player_BM": "Ça craint moins que de se faire tirer dessus."
"SH_Decker_10_Oleg": "Malin..."
"Story08_Out_07_Killbane": "Du calme. On a besoin que de l'une d'elles."
"Story14_In_05_Killbane": "C'est normal, Jane... Et appelez-moi Killbane."
"Story10_In_02_Viola": "On n'a jamais eu l'occasion de discuter, vu que tu sers de cobaye à la science."
"Story16_Zscene02_01_Matt": "Attends!"
"Story06_Zscene01_03_Oleg": "Il y a un ascenseur express qui mène au sous-sol... Impossible de l'attraper."
"Story09_Out_05_Killbane": "On se met au boulot. On se concentre. On se précipite pas. On leur fait une putain de prise..."
"Story09_Out_04_Matt": "Désolé, mon pote. Qu'est-ce qu'on fait?"
"Story24_Out_03_Player_BM": "Ma réplique."
"Story09_Out_06_Killbane": "Ouais, bien sûr... Bon, écoute..."
"SH_Morningstar02_05_Zimos": "Si ça empiète sur mon business, je suis mal."
"Story08_Out_05_Kiki": "C'est pas pour rien que Phillipe nous a laissé les rênes. On a terminé."
"Story02_In_26_Pilot": "Qu'est-ce qui se passe..."
"Genki_Zach03": "Traverse le super labo lumineux du professeur Genki pour t'amuser ET gagner de l'argent!"
"SH_Luchadore_02_Angel": "Perdre son masque, c'est la honte ultime pour un Luchador. Je peux pas le voler. Je dois le mériter."
"Story10_Out_08_Cyrus": "Merci pour votre attention."
"Story10_In_11_Viola": "C'est quoi, ça?"
"Story07_In_14_Shaundi": "Regarde-nous."
"Story07_In_13_Oleg": "Faut être prêt pour affronter le Syndicat."
"Story01_In_23_Gat": "Ça me va."
"CTO_Zimos02_03_Player_BM": "Vu qu'on vient de leur dire qu'on va reprendre leur business, je doute que l'entente tienne."
"Story01_Zscene02_06_Gat": "Laisse tomber, ça va aller."
"Story21_In_08_Bobby": "MINUTE... OH MON DIEU! REGARDEZ ÇA! C'EST ANGEL DE LAMUERTE!"
"Story16_Out_08_Killbane": "Tu peux me donner en référence quand tu veux."
"Story15_In_08_Kinzie": "On peut faire pire que ça. Si Matt connecte le Usenet des Deckers au système central... ça craint vraiment."
"Story14_In_10_Kinzie": "Aucune idée. Ils diffusent depuis un endroit inconnu."
"Story13_Out_06_Cyrus": "Si c'était facile, je ne vous ferais pas perdre votre temps."
"SH_Morningstar01_03_Player_BM": "Y'a que deux blaireaux."
"CTO_Kinzie01_08_Kinzie": "Je peux pas t'aider à éliminer les Deckers sans savoir où ils se planquent. J'ai donc écrit un programme pour suivre leur position tant qu'ils sont connectés."
"Story21_Zscene01_03_Bobby": "Il se fait promener comme une poupée de chiffon."
"Story01_Zscene02_01_Josh": "Hé, les gars, annulez l'hélico, j'ai trouvé comment ouvrir le coffre!"
"Story21_Out_03_Zach": "C'est génial. Contre toute attente, les Saints tiennent bon!"
"Story19_In_26_Viola": "Arrête de jouer les groupies."
"Genki_Both05": "CONTRAIRE À L'ÉTHIQUE!"
"22_Choice_07_Kia": "Je ne veux pas vous arrêter ; ça n'arrangera rien. Les gens ont besoin de se réveiller et de voir toute la merde que vous faites subir à toutes ces personnes innocentes."
"Story20_Out_04_Player_BM": "Arrête un peu ton cirque et enfile ton masque."
"CTO_Pierce02_01_Player_BM": "Ça ressemble pas aux endroits que tu aimes, Pierce."
"Story07_Zscene01_08_Player_BM": "On n'a pas le temps, Zimos."
"Story17_Out_13_Kia": "Je peux être honnête?"
"Story17_Out_01_Player_BM": "Ça va rester dans les annales."
"Story16_Out_07_Killbane": "Matty."
"Story16_In_03_Kinzie": "Tu peux survivre à une balle. Mais si ton esprit morfle trop dans ce fauteuil, t'auras plus de cerveau."
"Story09_In_04_Player_BM": "Laisse-moi m'en occuper. Bon, je vais aller rencontrer ma nouvelle main d'uvre."
"Story07_In_10_Shaundi": "Ce qu'il a fait à l'enterrement de Johnny... Il a dépassé les limites."
"CTO_Kinzie02_02_Player_BM": "C'est bon à savoir..."
"CTO_Pierce02_06_Pierce": "... mais je te parie qu'il se planque dans ce putain de gratte-ciel."
"Story23_Out_13_Player_BM": "C'est vrai. Ça me fait penser que cet endroit va avoir besoin d'un nouveau maire... Ça te tente?"
"Story19_In_17_Oleg": "C'est une métaphore? Vous parlez des crétins obsédés par la célébrité et la télé, c'est ça?"
"Story19_In_12_Reynolds": "Viola dit que les Saints sont les nouveaux rois de la ville. Dans ce cas, je veux vous aider."
"SH_Morningstar01_05_Shaundi": "Arrêtez, Mesdemoiselles, et allons-y."
"Story06_Zscene01_01_Oleg": "Le bureau de Loren est par là!"
"Story20_In_03_Shaundi": "Quoi, en l'humiliant?"
"Story19_In_22_Player": "On ne fait pas dans le massacre de zombies, mais on peut essayer."
"Story19_In_11_Reynolds": "Excuse-moi, chérie."
"Story08_In_06_Player_BM": "Il a raison."
"Story01_In_18_Josh": "Vous prétendez être des membres de gang? Vous êtes une bande de mauviettes! On devrait s'y mettre à fond, comme..."
"CTO_Kinzie02_06_Player_BM": "Tu peux sortir de là? Je me suis occupé des Deckers."
"Story01_Zscene01_08_Josh": "QUOI?!"
"Story22_OutB_02_Cyrus": "Eh, minute!"
"Story19_In_21_Reynolds": "Alors, qu'est-ce que vous en dites?"
"Story15_Out_01_Player_BM": "T'as tout ce qu'il te faut?"
"Story13_Out_01_Cyrus": "Kia, vous me recevez?"
"Story01_In_20_Player_BM": "Euh, c'est différent."
"Story01_In_05_Shaundi": "Te la joue pas façon Hong-Kong."
"Story07_Zscene01_02_Player_BM": "Ou repérer un mec avec un grand Z dans le dos."
"Story23_Out_02_Newscaster": "Le gouvernement n'a pas commenté cette attaque, mais on signale..."
"Story20_In_10_Pierce": "Du calme... Tu seras super canon en tenue de catcheur."
"Story11_Out_10_Cyrus": "Oui, Madame."
"Story08_In_05_Pierce": "Shaundi, on peut pas chialer Gat à jamais. Tu finiras par remonter en selle. Sans vouloir t'offenser, mon pote."
"Genki_Bobby04": "Pour chaque homme, femme et tigre tué, ta récompense augmente! Mais attention! Personne n'aime te voir tirer sur un panda!"
"Story19_Out_02_Cyrus": "Il y a eu des... complications, Sénatrice."
"Story19_In_07_Reynolds": "Viola, c'est la personne dont tu m'as parlé?"
"Story08_Out_02_Viola": "Elles ont été vivement recommandées."
"Story07_Zscene01_06_Player_BM": "Merde..."
"Story07_Zscene01_03_Pierce": "Putain, mais j'y crois pas..."
"Story17_Out_09_Monica": "Tenez-moi au courant, Commandant."
"Story15_In_12_Kinzie": "Un truc dans ce genre."
"Story10_In_15_Cyrus": "Kia, quelle est la situation?"
"Story02_In_13_Phillipe": "Bien sûr."
"Story02_In_03_Gat": "Qu'est-ce qui est arrivé?"
"Story07_Zscene02_03_Pierce": "Pourquoi faut que tu me parles de saloperies, mec?"
"Story16_In_05_Kinzie": "Je sais. On y va?"
"SH_Morningstar02_11_Zimos": "Ouais. Je vais t'inscrire comme jouet sexuel."
"Story08_Out_06_Matt": "Putain, Killbane..."
"Story07_In_11_Oleg": "Il se fout des règles."
"Story02_In_23_Phillipe": "Je vous en prie. Je suis Belge!"
"Story02_In_10_Kiki": "Si vous voulez bien nous suivre..."
"Story07_In_18_Shaundi": "Putain, qui sont ces mecs?"
"CTO_Kinzie01_07_Player_BM": "Tu me tues, Kinzie."
"Story23_Zscene01_02_Player_BM": "Bel atterrissage, Cyrus."
"Story01_Zscene01_02_Shaundi": "Ugh..."
"Story23_In_01_Player_BM": "On a perdu beaucoup de potes pour en arriver là, et c'est pas facile. Mais quel que soit l'endroit où se trouve Gat, il a des potes qui font vivre un enfer à St-Pierre."
"Story22_In_07_Player_BM": "Qu'est-ce qui se passe?"
"Story15_In_13_Kinzie": "C'est l'un des ordinateurs les plus puissants d'Amérique du Nord... Et les STAG en ont un..."
"Story22_Zscene01_07_Player": "C'est des conneries."
"CTO_Pierce01_04_Player_BM": "Alors, c'est quoi?"
"CTO_Pierce01_01_Pierce": "Regarde ça, boss..."
"Story24_Out_07_Asst_Director": "On revient à la 1!"
"Story22_In_04_Player_BM": "C'est quoi?!"
"Story20_In_08_Player_BM": "Il a plus peur d'Angel que de moi?"
"CTO_Kinzie01_03_Player_BM": "Oh. Alors, t'as des infos sur les Deckers?"
"Story22_In_03_Player_BM": "Merde, on est vraiment les putes du système. Alors, qui a gagné?"
"Story19_In_03_Player": "Tu rigoles?"
"Story17_Out_04_Shaundi": "Et les STAG?"
"SH_Decker_01_Kinzie": "Je vais tout réexpliquer lentement :"
"Story13_Out_07_Kia": "Compris, Monsieur."
"Story11_Out_01_Josh": "Je suis Joshua Birk. À la télé, j'incarne Nyte Blayde, un vampire super beau gosse incompris qui risque sa vie chaque semaine pour protéger le monde."
"Story07_Out_04_Player_BM": "Le Syndicat doit rendre des comptes pour ce qu'il a fait... Et cette fois, on va les buter."
"Story19_In_25_Player": "Oh, bon sang, ce mec est carrément génial!"
"Story17_Out_12_Cyrus": "Remarquable. Merci, Kia."
"Story10_In_18_Kia": "D'accord, Commandant."
"Story10_In_06_Viola": "Johnny est mort parce qu'il croyait qu'il pouvait tout faire tout seul."
"Story03_Out_07_Shaundi": "Tu te soucies de l'immobilier? On a des flingues, utilisons-les."
"Story21_In_09_Zach": "Angel De LaMuerte, l'ancien partenaire de Killbane, le messager du destructeur. C'est le plus jeune catcheur à avoir gagné le Super K Cup ici, dans l'arène de Steelport!"
"Story20_In_09_Shaundi": "Faut pas m'en vouloir, mais t'es un peu ridicule."
"Story20_In_01_Player_BM": "Bon, j'en ai ma claque, je veux Killbane."
"Story19_In_23_Player": "Ça vous soucie pas d'énerver les STAG?"
"SH_Decker_05_Player_BM": "Un fauteuil quoi?"
"Story07_Out_06_Killbane": "Les barbares sont à la porte. On a besoin d'un général, pas d'un ambassadeur!"
"Story21_Zscene04_01_Player_BM": "Tu veux être sauvé? Alors, abandonne."
"Story19_In_05_Player": "Écoute, chérie, j'emmerde qui je veux."
"SH_Decker_07_Kinzie": "Les Deckers en ont un."
"Story15_In_11_Player_BM": "Qu'est-ce qu'il te faut?"
"Story08_In_02_Pierce": "Ben, dis comme ça, ça le fait pas, c'est sûr."
"Story07_Out_09_Player_BM": "Puisqu'on connaît pas Steelport, j'ai amené des gens qui la connaissent. Voici Kinzie, Zimos et Angel..."
"Story03_Out_05_Shaundi": "Merde, je fais ça pour Johnny."
"Story02_In_24_Gat": "Alors, va te faire cuire des frites. On en a terminé."
"Story22_Zscene01_01_Player": "Oh, je suis nase!"
"CTO_Kinzie01_09_Player_BM": "C'est... génial?!"
"CTO_Pierce01_07_Pierce": "Je crois que tu ferais mieux de me couvrir."
"Story01_Zscene01_03_Gat": "On n'arrivera pas à décoder ce truc. C'est parti pour le plan B?"
"Story22_OutB_13_Player_BM": "Bon, les gars, quand on a commencé à traquer ce fumier, on avait dit qu'on le suivrait jusqu'au bout du monde. Et on l'a fait."
"Story15_In_16_Player_BM": "Quoi? Ce morveux, c'est Matt?"
"Story07_Zscene01_04_Pierce": "Eh ben, bordel... C'est pratique."
"Story22_OutB_10_Player_BM": "Moi aussi je t'aime, Cyrus."
"Story20_In_06_Player_BM": "C'est plus le truc d'Angel."
"Story15_In_15_Kinzie": "Putain..."
"Story14_In_13_Player_BM": "On s'en occupe."
"Story01_In_07_Player_BM": "Crois-moi, Birk. Tu vas en avoir du réalisme."
"Story22_OutB_11_Pierce": "On fait quoi, patron? On retourne s'éclater à Stilwater?"
"Story22_OutB_06_Cyrus": "Vous vous foutez de moi?"
"Story20_Out_03_Killbane": "La crème? La crème, c'est d'avoir battu Sway le Dieu-araignée dans un Scaffold Match. C'est d'avoir défendu un titre mondial 13 fois en une nuit. C'est d'avoir gagné un match avec les deux jambes cassées... Crois-moi, Icare en herbe, tu vas te brûler les ailes."
"Story17_Out_14_Kia": "Il est temps de passer aux choses sérieuses."
"Story10_In_12_Player_BM": "Rien de bon. Allons-y!"
"CTO_Kinzie02_09_Kinzie": "On a créé une super diversion pour que tu puisses t'occuper de Matt Miller. Si tu veux dégager les Deckers pour de bon, y'a du travail."
"Story19_In_19_Player": "On en parlera plus tard."
"Story12_In_06_Kid": "Vous pouvez me signer ça?"
"Story07_In_06_Pierce": "Je sais pas qui c'est, mais ils flottent bien."
"Story06_Out02_01_Player_BM": "Il va falloir faire quelque chose pour ce rose."
"Story03_Out_01_Shaundi": "Et maintenant?"
"Genki_Zach07": "Mais si tu crois que ça va être simple, c'est que tu n'as jamais rencontré Genki!"
"Story01_Zscene04_01_Player_BM": "Euh... merde."
"Story10_Out_06_Reporter_03": "Ce n'est pas ce que..."
"SH_Morningstar02_08_Player_BM": "Super, la discrétion."
"Story05_In_02_Player_BM": "Y'a un trouduc chez moi."
"Story06_Zscene01_04_Player_BM": "Et merde."
"Story23_Out_10_Pierce": "Pas mal. Tu pourrais faire la météo, je crois."
"Story23_In_05_Kinzie": "Oh mon dieu..."
"Story22_Zscene01_06_Killbane": "Personne ne se souviendra de moi? T'es qu'un clown qui vend des boissons énergétiques et des repas à emporter. Tu te fous du public, tout ce qui t'intéresse, c'est l'argent. Et j'ai changé ça."
"Story16_Out_09_Matt": "Bon dieu!"
"Story22_OutB_08_Monica": "Je peux répondre à toutes les questions."
"Story09_Out_02_Matt": "C'était juste du gâchis de perdre toutes ces filles."
"SH_Morningstar02_06_Player_BM": "Alors, c'est quoi, le plan?"
"Genki_Zach09": "Bonne chance."
"CTO_Zimos01_05_Player_BM": "Je comprends."
"Story17_Out_15_Cyrus": "Deux petits mots, Kia. Le choc et la stupeur."
"Story13_In_11_Player_BM": "Allez, partons à la chasse aux STAG."
"Story07_Zscene02_07_Kinzie": "J'ai trouvé le gars dont je parlais..."
"Story19_Out_06_Cyrus": "Des zombies et Monica Hughes?"
"Story17_Out_06_Cyrus": "Vous saviez qu'on en arriverait à la loi martiale, pas vrai?"
"Story16_In_01_Pierce": "C'est bon, tu veux foutre le bordel dans la réalité virtuelle?"
"Story15_In_17_Matt": "Ce morveux est le cyber-dieu qui a crashé votre hélico. Salut!"
"Story12_In_10_Player_BM": "Comment on va trouver Birk? Ce bâtard peut être n'importe où."
"CTO_Zimos01_01_Player_BM": "Hé, Zim..."
"Story13_Zscene01_01_Cyrus": "Rends-toi. On tient le périmètre."
"Story22_In_02_Pierce": "J'ai des nouvelles de Lee. Le studio veut que tu fasses un essai pour Des gangsters dans l'espace."
"Story21_Out_06_Killbane": "C'est ma putain de réputation!"
"Story17_Mid_09_Pierce": "Putain!"
"Story03_Out_03_Shaundi": "Quoi? Non, c'est aussi mon combat."
"CTO_Angel02_01_Player_BM": "Un putain de tigre?"
"Story10_Out_02_Reporter_01": "Combien de temps les STAG vont occuper Steelport?"
"Story10_In_10_Oleg": "Je suis toujours un vrai gentleman."
"Story02_In_33_Gat": "C'est pas important. Couvre notre boss! Vas-y, je me débrouille!"
"Genki_Bobby06": "Une fois que tu auras récolté assez d'argent, la porte du labo s'ouvrira et tu pourras partir."
"Story22_Zscene01_04_Killbane": "Ah, non, non... Ce n'est pas ça, l'histoire. L'héritage des Saints s'achève ici, avec un simple gémissement."
"Story21_Zscene01_06_Bobby": "OH MON DIEU, UNE TRONÇONNEUSE!"
"Story21_Out_07_Killbane": "C'est ma ville! Je suis son César!"
"CTO_Angel02_05_Player_BM": "Qu'est-ce qui va pas chez toi?"
"Story02_Zscene01_02_Gat": "OK, rendez-vous à Stil..."
"Story13_Out_03_Cyrus": "Pas encore. Les Saints sont en fuite. Je vous envoie des infos..."
"Story22_Zscene01_09_Player": "Putain, je vais me faire un plaisir de te faire taire."
"Story21_Zscene02_01_Player_BM": "Prêt pour ta correction?"
"Story01_Zscene02_03_Shaundi": "Josh... tu essaies de nous faire foutre en taule?"
"Story24_Out_06_Sci_Fi_Killbane": "Ça ira la prochaine fois!"
"Story14_In_11_Shaundi": "Ben, t'as intérêt à le trouver."
"Story11_In_03_Pierce": "Merde..."
"Story24_Out_10_Sound_Guy": "Silence!"
"Story23_Out_06_Player_BM": "Kinzie, tu es en place?"
"SH_Luchadore_01_Player_BM": "Pourquoi on est là?"
"Story11_In_05_Pierce": "C'est pas fini. Quoi de neuf?"
"SH_Morningstar02_03_Monica": "L'initiative STAG est une étape dans la reconquête des rues américaines!"
"Story02_In_29_Gat": "Y'a quoi? Une demi-douzaine de gars? Je peux les buter."
"Story23_Out_16_Jane": "Même dans un endroit où la violence est courante, l'attaque d'aujourd'hui est l'événement le plus sombre de l'histoire sordide de Steelport."
"Story23_Out_05_Player_BM": "Pardon..."
"Story20_Out_01_Killbane": "Mesdames et Messieurs... Le massacreur de Stilwater nous fait l'honneur de sa présence."
"Story14_In_08_Anna": "On a compris."
"Story06_Out02_02_Oleg": "Tu préfèrerais une teinte plus mâle, genre violet?"
"Genki_Bobby08": "Oh, encore un truc : ici, on ne prend pas de pause. Si tu veux rester dans la course, vise la cible de Premier secours."
"SH_Decker_08_Oleg": "Impossible. Comment ils peuvent masquer le signal?"
"SH_Morningstar02_13_Zimos": "Arrête de faire chier et monte dans le van."
"Story07_In_07_Oleg": "Ce sont les gars de Killbane."
"CTO_Kinzie02_10_Player_BM": "Bon, je te recontacte si jamais j'ai besoin d'aide."
"Story16_Zscene02_05_Player_BM": "T'es pas très clair, Matt, fais mieux que ça."
"Story23_Out_01_Player_BM": "Kinzie, rassemble tous les Saints que tu trouveras. On part en voyage."
"Story22_OutA_03_Pierce": "Et ça valait le coup?"
"Story17_Out_03_Viola": "Maintenant, on peut se consacrer à Killbane."
"SH_Decker_09_Kinzie": "Ils le gardent ici."
"Story10_In_17_Cyrus": "Bien reçu. Contactez-moi quand la zone sera sécurisée."
"Story08_Out_04_Kiki": "Dis-moi, Matt. Tu avais un plan? Et toi, Eddie?"
"Story08_In_04_Shaundi": "Je te jure que je vais te faire bouffer ce machin."
"Story07_Out_08_Killbane": "Comment tu m'as appelé?"
"Story14_Out_04_Player_BM": "Ce que j'ai fait? J'en sais rien!"
"Story11_Out_06_Cyrus": "C'est le choc et la stupeur qui gagnent les guerres, Sénatrice. Autorisez le Dédale et tout sera bientôt fini."
"Story07_In_17_Monica": "Vous vous rendez compte? Sur le pont de mon mari! Non, non, je ne me calmerai pas. Je retourne au Congrès pour une session en urgence. La guerre est déclarée!"
"Story01_Zscene02_05_Shaundi": "Est-ce que je dois le suivre?"
"Story14_Out_07_Player_BM": "Je sais, je sais. C'est pas ta faute... Il s'est passé un truc bizarre..."
"Story14_Out_03_Shaundi": "PUTAIN! Qu'est-ce que t'as fait?"
"Story05_Out_02_Killbane": "Matty, y'a pas à s'inquiéter."
"22_Choice_04_Player": "Angel, tiens bon jusqu'à ce que j'arrive... Putain..."
"Story03_Zscene01_01_Pierce": "... j'adore faire mon petit effet."
"Story23_Out_07_Kinzie": "Je suis parée."
"Story19_Out_07_Cyrus": "Merde..."
"Story17_Mid_01_Pierce": "La prochaine fois, tu joueras les prisonniers."
"Story10_In_13_Viola": "Merde!"
"Story01_In_13_Gat": "Birk!"
"Story08_In_10_Pierce": "Ça roule, ma belle?"
"CTO_Kinzie02_07_Kinzie": "Ouais, il suffit de baisser sa garde une minute pour qu'ils fassent croire qu'on vend des secrets aux terroristes et qu'on pratique le SM."
"SH_Morningstar02_07_Zimos": "Je t'ai trouvé un rencard."
"CTO_Kinzie02_01_Kinzie": "Tu devrais faire plus gaffe. On te voit arriver de très loin. Y'a des caméras de surveillance partout dans cette ville."
"Story21_Out_08_Killbane": "... et je me marrerai en la regardant brûler."
"Story13_Out_04_Cyrus": "Il me faut un ascendant sur les Saints. Amenez la cible pour l'interrogatoire."
"Story13_In_09_Oleg": "Si tu le permets..."
"Story07_Out_02_Matt": "Viola et Kiki étaient les bras droits de Loren. C'est pas elles qui devraient..."
"22_Choice_02_Player": "Angel..."
"Storye01_In_Crawl_10": "Ce n'était qu'une question de temps avant que l'une d'elle ne parte en guerre contre les Saints."
"Story17_Out_05_Pierce": "On vient juste de faire péter un porte-avions. Qu'est-ce qu'ils peuvent nous faire?"
"Story07_Out_11_Killbane": "Quelque chose. N'importe quoi, avant que je me demande pourquoi je vous emploie."
"Story05_In_01_Pierce": "À quoi tu penses?"
"CTO_Zimos01_08_Zimos": "Je suis là pour t'aider. Je connais tous les trajets des Étoiles du matin. On va pouvoir construire notre écurie et faire mal aux frangines DeWynter en même temps."
"Story01_Zscene01_09_Josh": "C'est pas cool!"
"Story15_In_01_Kinzie": "Allume la lumière."
"Story13_In_10_Pierce": "Tu l'as fait exprès!"
"Story12_In_08_Pierce": "C'est la BD de Johnny... Il a vendu son image à Ultor. Ils font faire un film de cette merde."
"Story02_In_05_Gat": "Non, qu'est-ce qui nous est arrivé? Birk a raison. On est devenus des mauviettes. Sérieux... Des films? Des pubs? Le nom des Saints, c'était plus qu'un nom de déo ou de boisson énergétique."
"Story01_In_09_Gat": "Ben ouais. Qui n'a pas envie d'être Johnny Gat?"
"Genki_Zach01": "Bonjour Steelport et bienvenue au moment crucial super réaliste du professeur Genki!"
"Story01_Zscene02_07_Shaundi": "À l'hélico! Faisons prendre l'air à cette petite merveille."
"Story22_Zscene01_08_Killbane": "Écoute-moi bien. Quand ces mains broieront ton cou, tes dernières paroles ne seront ni un appel à Dieu, ni un message d'amour à ta famille. Tu diras : \"Merci, Killbane.\""
"Story21_Zscene01_01_Bobby": "BON SANG! Angel est sorti du ring!"
"Story16_Zscene02_02_Matt": "Je peux t'innocenter, prouver que t'as pas détruit ce pont."
"Story01_In_19_Josh": "MERDE!"
"Story01_In_27_Shaundi": "Dis \"pornographie\"!"
"Story02_Zscene01_03_Shaundi": "Johnny..."
"Story22_OutB_07_Monica": "Vous avez passé une loi martiale et détruit la moitié de la ville. Les Saints ont sauvé un monument. À votre avis, de quel côté va être le public?"
"Story15_In_14_Matt": "Merci pour l'info, Agent Kensington."
"SH_Morningstar02_10_Player_BM": "Alors quoi, je fais semblant d'être millionnaire?"
"Story13_In_07_Player_BM": "Shaundi, sois gentille, tu veux?"
"Story10_In_01_Oleg": "Je savais pas que tu soutenais l'art, Viola."
"Story07_In_15_Player_BM": "Du calme, Shaundi. D'accord, mon grand, raconte!"
"Story07_In_05_Killbane": "Le grand moment est arrivé."
"Story02_In_04_Shaundi": "On s'est fait arrêter."
"22_Choice_10_Kia": "On va voir combien de gens y croiront quand Shaundi et Viola seront retrouvées parmis les déchets."
"Story21_Zscene04_03_Zach": "Le destructeur n'a pas abandonné malgré ses bras cassés, mais la légende de Stilwater a réussi l'impossible!"
"Story16_Zscene02_04_Matt": "Je contrôle le monde entier avec mon clavier."
"Story19_In_10_Player": "Monsieur, je vous adore!"
"SH_Decker_12_Kinzie": "J'ai besoin du fauteuil pour arrêter les Deckers."
"Story07_In_12_Player_BM": "Il a pas de règles? C'est bon à savoir."
"Story19_Out_03_Monica": "Des complications? Ne me parlez pas de complications! Je veux des résultats!"
"Story11_Out_05_Monica": "C'est le cur et l'esprit qui gagneront cette guerre, ma chère."
"Story10_In_09_Player_BM": "Tu peux être sympa?"
"Story02_In_11_Phillipe": "Enlevez ça."
"Story01_In_17_Shaundi": "Hé, joue pas les blaireaux!"
"CTO_Kinzie01_06_Kinzie": "J'améliore mon niveau."
"Story19_Out_05_Monica": "Même si le Congrès est d'accord, l'Intérieur ne l'autorisera pas! Ça devient démentiel. Je viens à Steelport!"
"Story17_Out_02_Pierce": "Je crois qu'on en a trop fait."
"Story21_Zscene03_04_Bobby": "On a vu le visage du destructeur, et franchement, c'est un mec au front dégarni."
"Story01_Zscene02_04_Josh": "Quoi? Je veux pas être le larbin d'un mec!"
"Story01_Zscene01_04_Player_BM": "Josh, viens par ici..."
"Story16_Out_05_Killbane": "Je dirige un établissement difficile. Matty, merci d'avoir fait part de tes inquiétudes. La façon dont Viola et Kiki ont géré leur... départ m'a donné envie de tuer quelqu'un, tu sais?"
"Story11_In_01_Player_BM": "On se magne, faut y aller."
"Story10_In_07_Player_BM": "Qu'est-ce que tu veux?"
"Story02_Zscene01_01_Shaundi": "Johnny, on va sauter..."
"Story11_In_06_Player_BM": "C'est dangereux ici. Fichez le camp. Je vais vous faire gagner du temps."
"Story10_In_14_Oleg": "Les dames d'abord."
"Story14_Out_09_Shaundi": "Apprends à voler, putain!"
"Story19_Out_04_Cyrus": "Vous voulez des résultats? Alors, autorisez l'utilisation du Dédale!"
"Story15_In_06_Kinzie": "Matt a dû pirater l'ordinateur de bord et le griller avec une IEM."
"Story10_In_03_Player_BM": "Mieux vaut pas l'emmerder."
"Story07_In_16_Oleg": "Y'en a d'autres qui détestent le Syndicat autant que toi. Je vais t'emmener les voir."
"Story02_In_21_Kiki": "Avant les taxes, forcément."
"Genki_Bobby02": "Voici comment le jeu se déroule."
"Story13_Zscene01_04_Cyrus": "Faut pas rêver. La mission des STAG est d'éradiquer les gangs à Steelport. Et c'est à moi de choisir où on frappe. Relâche Birk, et on ira emmerder un peu le Syndicat... On laissera tes gars un peu respirer."
"Story22_OutB_01_Player_BM": "Rentrons."
"Story17_Mid_08_Cyrus": "Merci."
"Story17_In_08_Player_BM": "Tous en scène!"
"SH_Decker_13_Player_BM": "Merci."
"Story15_In_03_Pierce": "Je vois pas de lit."
"Story08_Out_01_Killbane": "Des putes tueuses?"
"Story02_In_32_Shaundi": "Johnny, tu conduis pas les voitures manuelles... Comment tu peux piloter un avion?"
"Story16_Zscene02_06_Matt": "Donne-moi le nom d'une société et elle deviendra la propriété des Saints. Tu récupères ton empire et moi, je m'en vais."
"SH_Luchadore_04_Angel": "Faut juste cogner plein de gens."
"Story14_In_01_Player_BM": "Quoi de neuf?"
"Story05_Out_03_Phillipe": "Exactement ce que je pense, M. Killbane."
"Story01_In_15_Player_BM": "Vous savez comment ça marche."
"CTO_Angel01_03_Player_BM": "Si ça fonctionne, tant mieux... C'est juste que j'apprécie avoir le chauffage chez moi."
"Story17_Out_10_Cyrus": "Bien sûr, Madame."
"Story10_In_04_Viola": "Bon... Je suis pas là pour me battre. On doit collaborer."
"SH_Morningstar02_02_Monica": "Les responsables de cet acte terrible seront arrêtés et jugés."
"CTO_Pierce02_08_Pierce": "Alors, va chez Powder."
"Story14_In_02_Kinzie": "Il faut que tu voies ça..."
"Story12_In_13_Pierce": "Tu t'appelles la Bloody Canoness."
"Story01_In_11_Player_BM": "Bon, les gars..."
"CTO_Kinzie01_11_Player_BM": "Ça, c'est top."
"Story21_Zscene01_05_Bobby": "Comment une seule personne peut..."
"Story16_Zscene01_04_Player_BM": "C'est quoi ce bordel?"
"Story19_In_20_Viola": "Tu étais au courant?"
"Story17_Out_07_Monica": "Je connaissais les Saints. Comment Reynolds a réagi?"
