"ACT_WHORED_Z_AGRIZOOPHOBIA": "It's a big problem."
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_5SEC": "5..."
"ACT_TORCH_LOST_TIME": "YOU RAN OUT OF TIME"
"ACT_WHORED_A_TINY_PROBLEMS": "They can be hard to deal with."
"ACT_WHORED_A_BOOM_HEADSHOT": "Bullet in the brain.  It's the only way to be sure."
"ACTIVITY_SUCCESS_SUB_TEXT": "COMPLETED"
"ACT_VANDAL_SUMMARY_DESTRUCTION": "DESTRUCTION"
"ACT_WHORED_NUTSHOOT_FAIL": "Not quick enough on the draw."
"ACT_PIMP_START": "START SNATCH"
"ACT_TRAFFIC_BUYER_FLEE_GETTING_AWAY": "THE [format][color:red]BUYER[/format] IS GETTING AWAY"
"ACT_PIMPING_TRAP_SPRUNG_GET_CONTACTS": "IT'S A TRAP! RECRUIT THE [format][color:green]CONTACTS[/format] AND GET AWAY."
"ACT_HELI_LIBERATOR_START_MESSAGE": "A NUMBER OF SAINTS HAVE BEEN ARRESTED, DAMAGE THE [format][color:red]BUSES[/format] TO STOP THEM, THEN FLY THE SAINTS TO SAFETY"
"ACT_FRAUD_CHANGE_LOCATION": "THE [format][color:teal]SCORING AREA[/format] HAS MOVED"
"ACT_ESCORT_TIGER_MINIGAME_MSG": "Use {ANALOG_RS_IMG} to find the Tiger's itch.  Then carefully scratch it with {ANALOG_LS_IMG}"
"ACT_WHORED_Z_GATS_WET": "We went there."
"ACT_WHORED_TANK_FAIL": "No tank for you!"
"ACT_WHORED_STRIPPERS_FAIL": "You have rockets, don't you?"
"ACT_VANDAL_TRAILERS_MSG": "SEMI TRAILERS"
"ACT_VANDAL_START_MSG": "GO TO THE [format][color:teal]%ls DISTRICT[/format]"
"ACT_VANDAL_BONUS_CLOSE_CHAOS": "CLOSE CHAOS BONUS"
"ACT_PIMPING_RESCUE_CONTACT_KILL_COPS": "KILL THE [format][color:red]COPS[/format] AND RESCUE THE [format][color:green]CONTACTS[/format]"
"ACT_PIMPING_RECAPTURE_CONTACT_START": "A [format][color:red]DECKER[/format] IS GRABBING ONE OF THE [format][color:green]CONTACTS[/format], GET THEM BACK!"
"ACT_PIMPING_YOU_NEED_MORE_HOS": "YOU NEED MORE [format][color:green]HOS[/format]"
"ACT_ESCORT_AIR_MSG": "Get %.2f seconds of air time"
"ACT_WHORED_Z_START_YOUNG": "Start with toes, work up to brains."
"ACT_WHORED_SQUEAKY_CLEAN_FAIL": "The blowup doll will work wonders at the right angle. "
"ACT_WHORED_SWAG_BAG_FAIL": "You let the cuddly animals win.  Shame on you."
"MISSION_FAILURE_BUSTED_TEXT": "YOU GOT BUSTED"
"ACT_PIMPING_TRAP_GET_CONTACTS": "GOOD JOB, NOW GET THE [format][color:green]CONTACTS[/format]!"
"ACT_GUARDIAN_ANGEL_BEHIND_ATTACKER": "ATTACKER COMING FROM [format][color:red]BEHIND[/format] THE CLIENT"
"ACT_FRAUD_DONT_KILL": "YOU WILL BE PENALIZED FOR EACH PERSON YOU KILL"
"ACT_ESCORT_TRIP_BROTHEL_MSG": "TAKE THE [format][color:green]CLIENT[/format] FOR EXTRA FUN AT THE [format][color:teal]BROTHEL[/format]"
"ACT_WHORED_Z_OUTMATCHED": "Think fast."
"ACT_WHORED_MINIFURRIES": "Don't let the cuteness fool you, these guys have rockets!"
"ACT_VANDALISM_START": "START MAYHEM"
"CHOPSHOP_REQ_MODS": "REQUIRED MODIFICATIONS:"
"ACT_VANDAL_HELICOPTER_MSG": "HELICOPTERS"
"ACT_TORCH_TIME_EARN_PARAMETERIZED_STRING": "BONUS SECONDS ARE ADDED TO REMAINING TIME AT CHECKPOINTS"
"ACT_FRAUD_BONUS_LOCATION": "IF YOU TAKE A DIVE WITHIN THE AREA INDICATED ON THE MINI MAP, YOU WILL RECEIVE A BONUS"
"ACT_ESCORT_FOOTAGE": "FOOTAGE "
"ACT_WHORED_DRUNKENROCKETS": "Things that don't mix: drinking and rockets.  So let's mix them!"
"ACT_TANK_MAYHEM_LEFT_HOOD": "GET BACK TO YOUR ASSIGNED AREA!"
"TUT_ACT_TANK_MAYHEM_HVT_FOUND": "Certain High Value Targets award more cash when destroyed."
"ACT_VANDAL_COMBO_TOTAL": "COMBO TOTAL: %ls"
"ACT_PIMPING_TRAP_SPRUNG_KILL_DECKERS": "IT'S A TRAP! KILL ALL [format][color:red]DECKERS[/format] BEFORE RECRUITING THE [format][color:green]CONTACTS[/format]."
"ACT_HELI_ACTIVITY_BOMB_MESSAGE": "SET CHARGES TO DESTROY THIS [format][color:blue]STRUCTURE[/format]"
"HOSTAGE_FAILURE": "HOSTAGE FAILED"
"ACT_WHORED_ZOMBIES_EXPLODE_FAIL": "Make them go boom, not yourself."
"GAMEPLAY_SMOKED": "YOU'RE SMOKED!"
"ACT_WHORED_D_ROMERO_REVENGE": "Fun with power tools."
"ACT_WHORED_MEGACAN": "He is coming!"
"HORDE_CHARACTER_CYRUS": "CYRUS"
"SUCCESS_RESPECT_TEXT": "RESPECT"
"ACTIVITY_FAILURE_SUB_TEXT": "FAILED"
"ACT_TRAFFICKING_NAME": "TRAFFICKING"
"CHOP_SPORT_FRONT_BUMPER": "SPORT FRONT BUMPER"
"ACT_ESCORT_NEWS_WARNING_MSG": "IF YOU GET TOO CLOSE TO A NEWS VAN, THE PLEASURE METER WILL STOP INCREASING"
"ACT_WHORED_A_BATH_TOY": "Better than a rubber ducky."
"ACT_RUNNING_MAN_TITLE_SHORT": "PROFESSOR GENKI'S S.E.R.C."
"CHOP_OFF_ROAD_1_BUMPERS": "OFF ROAD 1 BUMPERS"
"ACT_VANDAL_START_3_MSG": "IF YOU DESTROY THINGS IN QUICK SUCCESSION, YOU WILL EARN A COMBO BONUS"
"ACT_WHORED_STARPOWER2": "Enemies explode at your touch!"
"ACT_WHORED_MINIZOMBIES": "An army of undead... just smaller."
"HORDE_CHARACTER_BOBERT": "BOBERT"
"ACT_RUNNING_MAN_WAGER_DESCRIPTION": "WOULD YOU LIKE TO BET YOU CURRENT WINNINGS FOR DOUBLE OR NOTHING ON THE NEXT LEVEL?\n\nFINISH THE NEXT LEVEL SUCCESSFULLY, AND DOUBLE YOUR MONEY!!!  JUST DON'T MESS IT UP OR YOU'LL WALK AWAY WITH NOTHING.\n\nWHAT DO YOU SAY?"
"ACTIVITY_NAME_ESCORT": "ESCORT"
"ACT_WHORED_COMM_SERVICE": "Show those drinks you don't need them!"
"CHOP_RACING_EXHAUST": "RACING EXHAUST"
"ACT_ZOMBIE_FAIL": "YOU FAILED TO FIGHT OFF THE ZOMBIES"
"ACT_VANDAL_BONUS_TOTAL": "TOTAL"
"ACT_ACTIVITY_DESCRIPTION_2": "Earn some respect now by trying the Snatch Activity."
"CRITICAL_VEHICLE_ABANDONED_VEHICLE_TEXT": "YOU ABANDONED THE VEHICLE"
"ACT_VANDAL_SUMMARY_FAVORITE_WEAPON": "FAVORITE WEAPON"
"ACT_VANDAL_START_NO_DISTRICT_MSG": "Cause as much mayhem as you possibly can."
"ACT_VANDAL_PROPERTY": "PROPERTY"
"ACT_TRAFFIC_CHASE_HELICOPTER_NOTORIETY": "THE [format][color:red]NEWS HELICOPER[/format] IS RAISING YOUR POLICE NOTORIETY!"
"ACT_TORCH_START_TEXT1": "HIT GASOLINE TRAILS AND BARRELS TO MAKE HUGE EXPLOSIONS"
"ACT_CHOP_SHOP_DELIVER_CAR_MSG": "Deliver the car to the chop shop."
"ACT_WHORED_A_ICON": "He's larger than life."
"ACT_WHORED_NUTSHOOT": "Shoot for the groin!"
"ACT_WHORED_MONEYSHOTS_FAIL": "\"Aim for the head\" wasn't just a suggestion."
"ACT_WHORED_ZOMBIE_UPRISING_FAIL": "Mmmmm... brains."
"ACT_PIMPING_RESCUE_KILL_COPS": "KILL THE [format][color:red]COPS[/format] AND RESCUE THE [format][color:green]HOS[/format]"
"ACT_HELI_START": "START HELI ASSAULT"
"ACT_HELI_LIBERATOR_PICKUP_INFORMATION_MESSAGE": "PICK UP THE SAINTS AND FLY THEM TO A [format][color:blue]SAFE SPOT[/format]"
"ACT_WHORED_ZOMBIE_SLAYER_FAIL": "Rise up champion! Grasp your blade tighter and continue to purge this evil!"
"ACT_WHORED_NUTSHOTS_FAIL": "Don't be shy, start hitting those family jewels."
"ACT_VANDAL_TIME_SUCCESS_MSG": "Good job. Go back and get your payment."
"ACT_VANDAL_SMG_MSG": "SUBMACHINE GUN"
"ACT_FRAUD_BONUS_CLIFF_DIVER": "VERTICAL DISTANCE BONUS"
"ACT_DEMO_DERBY_CASH": "BONUS CASH:"
"ACT_VANDAL_TIME_FAIL_MSG": "YOU RAN OUT OF TIME"
"ACT_VANDAL_SHOTGUN_MSG": "SHOTGUN"
"ACT_TRAFFIC_DEALING_PROTECT": "PROTECT THE [format][color:green]DEALER[/format] AND THE [format][color:green]BUYER[/format]"
"ACT_PIMPING_RESCUE_CONTACT_KILL_DECKERS": "KILL THE [format][color:red]DECKERS[/format] AND RESCUE THE [format][color:green]CONTACT[/format]"
"ACT_PIMPING_VEHICLE_ROUTE_HOS": "STOP THE [format][color:red]VEHICLE[/format] AND GET THE [format][color:green]HOS[/format]"
"ACT_WHORED_DRINKING_GAME_FAIL": "Too much blood in your alcohol-stream."
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS": "YOU FAILED TO REACH THE GOAL SCORE."
"ACT_TRAFFICKING_DEAL_COUNT_UPDATED": "DEALS DONE"
"ACT_TRAFFIC_DEALER_ATTACK": "THE [format][color:green]DEALER[/format] IS UNDER ATTACK"
"ACT_PIMPING_RECAPTURE_START": "A [format][color:red]MORNINGSTAR[/format] IS GRABBING ONE OF YOUR [format][color:green]HOS[/format], GET HER BACK"
"ACT_FRAUD_BONUSES": "YOUR BONUS(ES) ARE:"
"ACT_WHORED_SQUEAKY_CLEAN": "The ultimate embarrassment."
"ACT_WHORED_MINI_SAMURAI_FAIL": "Was that sword too big to handle?"
"ACTIVITY_NAME_GUARDIAN": "GUARDIAN ANGEL"
"CHOP_RACING_CONVERTIBLE_ROOF": "RACING CONVERTIBLE ROOF"
"ACT_VANDAL_JETSKI_MSG": "JETSKIS"
"ACT_VANDAL_BONUS_MSG": "BONUS"
"ACT_PIMPING_TRAP_GET_HOS": "GOOD JOB, NOW GET THE [format][color:green]HOS[/format]!"
"ACT_GUARDIAN_ANGEL_RIGHT_ATTACKER": "ATTACKER COMING FROM [format][color:red]RIGHT[/format]"
"ACT_FRAUD_BONUS_SUCCESSIVE_CARS": "PINBALL BONUS"
"ACT_ESCORT_FAIL_FOOTAGE": "TOO MUCH FOOTAGE WAS TAKEN, USE SIDE STREETS TO EVADE"
"ACT_WHORED_MALLCOP_FAIL": "Somewhere a mall cop is weeping..."
"ACT_PIMPING_HOS_NEEDED_COUNT_UPDATED": "HOS: %i"
"ACT_ZOMBIE_USE_MESSAGE_TEXT": "START ZOMBIE"
"ACT_ESCORT_TOUCH_MINIGAME_MSG": "Use {ANALOG_RS_IMG} to find the special spot, then hit it with {ANALOG_LS_IMG}"
"ACT_ESCORT_OBJECTIVE_MSG": "Please the [format][color:green]client[/format] by driving them around town with an escort and avoiding the paparazzi."
"ACT_WHORED_MEGA_ZOMBIE": "Zombies 2.0: Bigger, stronger, and more combustible. "
"ACT_LEVEL_2": "LEVEL 2"
"ACT_VANDAL_COMBO_MSG": "COMBO:"
"ACT_VANDAL_CAR_STANDARD_MSG": "SEDANS"
"ACT_PIMPING_GET_CLOSER_TO_HOS": "GET CLOSER TO THE [format][color:green]HOS[/format]"
"ACT_WHORED_MEGA_ZOMBIE_FAIL": "Well we did warn you."
"TUT_ACT_TANK_MAYHEM_TUTORIAL_TANK_REPAIR": "Repair Nodes marked on the map repair the tank."
"ACT_TORCH_RACE_INSTRUCTIONS2": "Gain points by burning pedestrians and vehicles."
"STICK_ROTATION_UTIL_CLOCKWISE_MESSAGE": "CLOCKWISE"
"ACT_VANDAL_TRUCK_BIG_SEMI_CAB_MSG": "SEMIS"
"ACT_VANDAL_AIRPLANE_MSG": "AIRPLANES"
"ACT_PIMPING_RESCUE_PIMPS_REROUTE": "THE [format][color:green]HOS[/format] HAVE BEEN TAKEN, GO RESCUE THEM"
"ACT_ESCORT_FAIL_CAR_DESTROYED": "YOUR CAR WAS DESTROYED"
"HASH_6A5B3243": "ACTIVITY NOT AVAILABLE"
"ACT_WHORED_BRUTEBOOM_FAIL": "Push them before they push you."
"ACT_WHORED_ZOMBIE_CHAINSAW_FAIL": "Turkeys wouldn't fear you."
"ACT_WHORED_SAUSAGE_FEST": "A nice, hearty supply of sausage."
"ACT_RUNNING_MAN_TITLE": "PROFESSOR GENKI'S S.E.R.C."
"ACT_VANDAL_SUCCESS_MSG": "Head back to the marked location."
"ACT_PIMPING_CONTACTS_COLON": "CONTACTS:"
"ACT_GUARDIAN_ANGEL_NAME": "GUARDIAN ANGEL"
"CUSTOMIZATION_GARAGE_FULL": "You need to delete a vehicle from the garage to use customization."
"ACT_WHORED_Z_BOARDER_GUARD": "Steelport has a problem with illegal aliens."
"ACT_WHORED_Z_THEME_PARK": "No, I DON'T want a picture."
"ACT_WHORED_BAT_FAIL": "Swing and a miss!"
"ACT_TRAFFIC_DEALER_WAITING": "THE [format][color:green]DEALER[/format] IS READY TO DRIVE."
"ACT_HELI_LIBERATOR_ATTACK_INFORMATION_MESSAGE": "SHOOT AT THE [format][color:red]BUSES[/format] TO STOP THEM"
"ACT_ESCORT_SPOUSE_SPAWNED": "EVADE THE [format][color:green]CLIENT'S[/format] [format][color:red]SIGNIFICANT OTHER[/format]"
"HOSTAGE_SUCCESS": "HOSTAGE COMPLETED"
"ACT_TANK_MAYHEM_TITLE": "TANK MAYHEM"
"ACT_HOSTAGE_FAILURE_REASON": "THE HOSTAGES ESCAPED"
"ACT_PIMPING_GET_CLOSER_TO_CONTACTS": "GET CLOSER TO THE [format][color:green]CONTACTS[/format]"
"ACT_FRAUD_BONUS_COOP_CHAIN": "CHAIN BONUS"
"ACT_ESCORT_ALMOST_LOSE_MSG": "THE MEDIA ALMOST HAS ENOUGH FOOTAGE"
"ACT_ESCORT_OBJECTIVE_TEXT_01": "ACCOMMODATE ALL THE CLIENT'S NEEDS"
"ACT_VANDAL_OBJECTIVE_1": "CAUSE $%d DAMAGE BEFORE TIME RUNS OUT"
"ACT_TRAFFIC_POLICE_STING_UNCUFF": "{ACTION_IMG} UNCUFF THE DEALER"
"ACT_HELI_NEWS_VAN_HUD_TEXT": "NEWS VANS TO DESTROY"
"ACT_FRAUD_VISIT_BONUS_AREA": "SPECIALLY MARKED [format][color:teal]LOCATIONS[/format] ON THE MAP WILL EARN YOU EXTRA ADRENALINE"
"ACT_FRAUD_HUD_MULT_X": "X"
"ACT_WHORED_QUESTION_MARKS_FAIL": "No question."
"ACTIVITY_NAME_SNATCH": "SNATCH"
"ACT_GUARDIAN_ANGEL_FOLLOW_IN_HELI": "GET INTO THE HELICOPTER TO FOLLOW YOUR HOMIES"
"TEMP_LAST_MINUTE_1": "TO OPEN CHOP SHOP"
"ACT_VANDAL_SUMMARY_PEOPLE_KILLED": "PEOPLE KILLED"
"ACT_HELI_PROTECTION_HUD_TEXT": "STOPS MADE"
"ACT_ESCORT_NEAR_MISS_MSG": "[format][color:green]CLIENT[/format] WANTS YOU TO GET %d VEHICLE NEAR MISSES IN A ROW"
"ACT_RUNNING_MAN_INTRO_L_1": "Get $1,000 by destroying targets, killing enemies, and exiting the arena before time runs out. If you destroy things in quick succession, you will earn a combo bonus."
"ACT_FRAUD_FIELD_DIVIDER": "/"
"ACT_ZOMBIE_SURVIVOR_REVIVE": "You have %d seconds to revive a survivor!"
"ACT_PIMPING_RESCUE_KILL_PIMPS": "KILL THE [format][color:red]MORNINGSTAR[/format] AND RESCUE THE [format][color:green]HOS[/format]"
"ACT_HUMAN_TORCH_TITLE": "TRAIL BLAZING LEVEL SELECTION"
"ACT_WHORED_A_FISTING": "It's a skill."
"ACT_WHORED_WEENIEROAST": "Flame broiled deliciousness."
"ACT_VANDAL_MOTORCYCLE_MSG": "MOTORCYCLES"
"ACT_TRAFFIC_NOT_IN_VEHICLE": "GET BACK IN THE CAR"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_HELPER_MESSAGE": "YOU KILLED THE HELPER"
"ACT_GUARDIAN_ANGEL_HELICOPTER_ATTACKER": "Spotter has seen a [format][color:red]helicopter[/format] coming."
"ACT_FRAUD_NO_SCORE": "YOU TOOK A DIVE OUTSIDE OF THE [format][color:teal]SCORING AREA[/format], YOU EARNED NO MONEY"
"ACT_FRAUD_MESSAGE_WITNESS_MULT_TYPE": "FRAUD WITNESS RECORD"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE": "FRAUD DISTANCE RECORD"
"ACT_WHORED_A_RECYCLE": "See?  Our game has a positive message."
"ACT_WHORED_QUESTION_MARKS": "Question Marks Incoming!"
"ACT_WHORED_TANK": "This tank's for you."
"ACT_WHORED_THE_END_FAIL": "One. More. Wave. Let's do this!"
"HORDE_MODE_OTHER_PLAYER_DISCONNECTED": "You have been disconnected from the other player and must exit Whored Mode. You will be returned to the main menu."
"ACTIVITY_NAME_TRAIL_BLAZING": "TRAIL BLAZING"
"ACT_VANDAL_TRUCK_TRAILER_MSG": "TRAILERS"
"ACT_VANDAL_BONUS_WEAPON": "WEAPON BONUS"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_4SEC": "4..."
"ACT_PIMPING_YOU_NEED_MORE_CONTACTS": "YOU NEED MORE [format][color:green]CONTACTS[/format]"
"ACT_PIMPING_TRAP_SPRUNG_KILL_PIMPS": "IT'S A TRAP! KILL ALL [format][color:red]MORNINGSTAR[/format] BEFORE RECRUITING THE [format][color:green]HOS[/format]."
"ACT_HELI_VAN_LOW_HEALTH_TEXT": "[format][color:green]YOUR HOMIE'S CAR[/format] IS BADLY DAMAGED"
"ACT_CHOP_SHOP_FAIL_TIME_MSG": "Time ran out."
"ACT_WHORED_D_CAAN_COOLJ": "Roller derby will never be the same."
"ACT_WHORED_ZOMBIE_INFERNO_FAIL": "PROTIP: Keep away from exploding zombies. Use them as bombs. "
"HORDE_CHARACTER_ZIMOS": "ZIMOS"
"MISSION_FAILURE_PASSED_OUT_TEXT": "YOU PASSED OUT"
"ACT_VANDAL_PEDESTRIAN": "PEDESTRIAN"
"ACT_VANDAL_IN_DISTRICT_MSG": "Using the weapons provided destroy objects, vehicles, and people to earn money."
"ACT_HUMAN_TORCH_OBJECTIVE_MSG": "RAM AND DESTROY PEOPLE AND CARS FOR BONUS TIME AS YOU RACE TO THE FINISH"
"ACT_FRAUD_ADRENALINE_READY": "ADRENALINE MODE ACTIVE"
"ACT_WHORED_RESTART_WARNING": "Starting a new game will reset progress on this map. Continue?"
"ACT_WHORED_MEGAFURRIES_FAIL": "The fury of a furry."
"ACT_VANDAL_PENALTY_MSG": "PENALTY"
"ACT_VANDAL_CAR_BIG_DOMESTIC_MSG": "BIG CARS"
"ACT_CLIENT_HASNT_COMPLETED": "({CLIENT_NAME} HASN'T COMPLETED)"
"ACT_WHORED_Z_TEXAS_ZOMB": "I guess the saying IS true..."
"ACT_WHORED_D_7INNING": "Redhots, get your redhots!"
"ACT_LEVEL_7": "LEVEL 7"
"ACT_GUARDIAN_ANGEL_CAR_ATTACKER": "Spotter has seen a [format][color:red]car[/format] driving up."
"ACT_WHORED_Z_ERECTILE_DYS": "It can happen to anybody."
"ACT_WHORED_Z_WELCOME": "It's good to be a top."
"ACT_VANDAL_SUMMARY_OBJECTS_DESTROYED": "OBJECTS DESTROYED"
"ACT_VANDAL_STATIC_BONUS_BIGTRUCK_MSG": "BIG TRUCK BONUS"
"ACT_HELI_CHOPLIFTER_FULLY_LOADED_MESSAGE": "THE HELICOPTER IS FULLY LOADED, TAKE THE PASSENGER TO [format][color:blue]SAFETY[/format]"
"ACT_FRAUD_HITS_HUD": "HITS:"
"ACT_ESCORT_LIMO_MSG": "TAKE THE [format][color:green]CAR[/format] AND PICK UP THE CLIENT"
"ACT_WHORED_D_STEELPORT_CONNECTION": "Fist of Furries"
"ACT_WHORED_FLAMEBRUTE": "Flame brute coming in hot!"
"ACT_WHORED_ZOMBIE_SLAYER": "With your holy weapons, you cleanse this world of the undead plague!"
"ACT_WHORED_OLD_SCHOOL": "No sprint, no health regeneration; only a shotgun and your will to live."
"ACT_PIMPING_TRAP_SPRUNG_GET_HOS": "IT'S A TRAP! RECRUIT THE [format][color:green]HOS[/format] AND GET AWAY."
"ACT_HELI_CONVOY_AIRPORT_DESTINATION_MESSAGE": "THE AIRPORT"
"ACT_WHORED_Z_BRUTE_ACTION": "We're toying with you."
"ACT_WHORED_HITNRUN_FAIL": "Some driving skills required."
"ACT_ZOMBIE_TRIGGER_FAIL": "YOU FAILED TO STOP THE ZOMBIE ASSAULT"
"ACT_VANDAL_BONUS_STATIC_VEHICLE": "BONUS: DESTROY %s  (+$%d)"
"ACT_TRAFFIC_PROTECT_M": "PROTECT THE [format][color:green]DEALER[/format] DURING TODAY'S DELIVERIES"
"ACT_PIMPING_VEHICLE_ROUTE_HO": "STOP THE [format][color:red]VEHICLE[/format] AND GET THE [format][color:green]HO[/format]"
"ACT_WHORED_D_IRONY": "Nothing \"mini\" about it."
"ACT_WHORED_APOC": "Cleaning up the streets... by making people explode."
"ACT_WHORED_ROUND1": "Welcome to Whored Mode!"
"ACT_VANDALISM_NAME": "MAYHEM"
"ACT_VANDAL_BONUS_BASE_VALUE": "BASE VALUE"
"ACT_HELI_ACTIVITY_BOMB_ESCAPE_MESSAGE": "YOU HAVE %d SECONDS TO GET AWAY FROM THE TARGET"
"ACT_FRAUD_BONUS_WINDSHIELD_CANNON": "WINDSHIELD CANNON BONUS"
"ACT_ESCORT_TIGER_RAGE_POWERSLIDE_MSG": "{HANDBRAKE_IMG} POWERSLIDE FOR %0.1f SECONDS TO CALM THE TIGER"
"ACT_ESCORT_FAIL_CAR_SUBMERGED": "YOU SUNK THE CAR"
"ACT_WHORED_MEGAFURRIES": "The biggest, the cutest, and the deadliest!"
"ACT_WHORED_AYDIOSMIO_FAIL": "¿Por qué?"
"CHOP_SHOP_START": "GET CHOP SHOP VEHICLE LIST"
"ACT_VANDAL_TEAM_BONUS_MSG": "Killing %ls will give you a bonus."
"ACT_ESCORT_CLIENT_MSG": "PICK UP THE [format][color:green]CLIENT[/format]"
"ACT_THEFT_SAFE_OPEN": "OPEN THE SAFE"
"ACT_WHORED_A_SELF_CONSCIOUS": "People say size doesn't matter..."
"ACT_WHORED_MEGACAN_FAIL": "Now the can recycles you."
"ACT_WHORED_HOBO_SHOTGUN_FAIL": "We all knew the hobo uprising was coming. "
"ACT_WHORED_ZOMBIE_INFERNO": "Zombies run, explode, and set you on fire. Your health doesn't come back either. I know, we're mean."
"ACT_RUNNING_MAN_WAGER_TITLE": "DOUBLE DOWN?"
"ACT_ESCORT_NAME": "ESCORT"
"ACT_EARNED_RESPECT": "You have earned %d respect!"
"ACT_WHORED_D_APOTHEOSIS": "Murder Time, Fun Time!"
"ACT_WHORED_MINICANS": "Mini-gun, mini-cans, big fun!"
"ACT_RUNNING_MAN_BUTTON_PRESSED": "MONEY LOCKER"
"ACT_ZOMBIE_START_WAVES": "STOP THE ZOMBIE ASSAULT BY WIPING OUT THE REMAINING ZOMBIES"
"ACT_VANDAL_STATION_WAGON_MSG": "STATION WAGONS"
"ACT_FRAUD_CURRENT_HIT": "LAST HIT:"
"ACT_CHOP_NOT_WANTED": "The shop doesn't want that vehicle. "
"ACT_WHORED_MEGA_TRANNY": "Brutella wants some."
"ACT_TORCH_FRENZY_INSTRUCTIONS": "Burn all the marked targets before the time runs out."
"ACT_WHORED_Z_ROLL_OVER": "Stay dead."
"ACT_WHORED_A_VINTAGE_HORROR": "You're fighting zombies using a gun with infinite ammo.  You have no sprint or regenerating health."
"ACT_TANK_MAYHEM_NAME": "TANK MAYHEM"
"ACT_VANDALISM_TITLE": "MAYHEM LEVEL SELECTION"
"ACT_LEVEL_3": "LEVEL 3"
"ACT_CHOP_SHOP_NAME": "CHOP SHOP"
"ACT_WHORED_GAT_ATTACK": "Take control of a giant Gat mascot and crush your enemies!"
"ACT_LEVEL_6": "LEVEL 6"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE": "FRAUD CLIFF DIVER RECORD"
"ACT_CHOP_SHOP_MODS_REQUIRED": "Some cars require specific modifications."
"ACT_WHORED_A_TANK": "We're gonna need a bigger boat."
"ACT_WHORED_D_TARGET_PRACTICE": "The rural shooting gallery with a modern twist."
"ACT_WHORED_WEAKSAUCE": "Your size and damage dealt is lowered!"
"ACT_TRAFFICKING_ALL_DEALS_DONE": "ALL DEALS DONE"
"ACT_YOU_HAVENT_COMPLETED": "(YOU HAVEN'T COMPLETED)"
"ACT_VANDAL_SUMMARY_PEOPLE": "PEOPLE"
"ACT_VANDAL_GOAL_MSG": "GOAL:"
"ACT_TRAFFIC_PROTECT_F": "PROTECT THE [format][color:red]DEALER[/format] DURING TODAY'S DELIVERIES"
"ACT_HELI_CHOPLIFTER_START_MESSAGE": "PICK UP THE [format][color:green]SAINTS[/format] AND FLY THEM TO [format][color:blue]SAFETY[/format]"
"PUSHBACK_GSI_TITLE": "PUSHBACK"
"ACT_WHORED_A_LITTLE_NIKITA": "Sexy and deadly."
"CHOP_SPORT_SPOILER": "SPORT SPOILER"
"ACT_VANDAL_STATIC_BONUS_COMPACT_CAR_MSG": "COMPACT CAR BONUS"
"ACT_TRAFFIC_POLICE_STING_UNCUFF_USE": "UNCUFF THE DEALER"
"ACT_FRAUD_BONUS_COP_WITNESS": "COP WITNESS BONUS"
"ACT_CHOP_REJECT_BURNING": "The shop doesn't want a burning car!"
"ACT_WHORED_BOWLING": "Knock 'em all down!"
"ACT_VANDAL_STATIC_BONUS_PICKUP_MSG": "PICKUP TRUCK BONUS"
"ACT_HUMAN_TORCH_NAME": "TRAIL BLAZING"
"ACT_GUARDIAN_ANGEL_CRITICAL_VEHICLE_DESTROYED_MESSAGE": "A getaway car has been destroyed. "
"ACT_HELI_PROTECTION_DISTANCE_WARNING": "GET BACK TO THE VAN!"
"TOUCH_COMBO_TUTORIAL_PART_2_MESSAGE": "KEEP {ANALOG_RS_IMG} IN THE HOT SPOT AND USE {ANALOG_LS_IMG} TO TIME YOUR MOTIONS RIGHT"
"ACT_VANDAL_STATIC_BONUS_SPORTS_CAR_MSG": "SPORTS CAR BONUS"
"ACT_PIMPING_CAPTURED_CONTACT_DIED": "ONE OF THE CONTACTS DIED, YOU'LL NEED ANOTHER"
"ACT_WHORED_D_ANKLE_BITERS": "Deadly things come in small packages."
"CHOP_SHOP_NAME": "CHOP SHOP"
"ACT_FRAUD_HIT": "HITS:"
"ACT_VANDAL_LAUNCHER_MSG": "ROCKET LAUNCHER"
"CELL_PHONE_NO_VEHICLES": "NO VEHICLES"
"ACT_WHORED_GRENADIER_STRIPPERS": "Tip the mini-strippers with a grenade."
"ACT_WHORED_WEAKSAUCE_FAIL": "WEAKSAUCE!!!!"
"ACT_RUNNING_MAN_NAME": "PROFESSOR GENKI'S S.E.R.C."
"ACT_RUNNING_MAN_TUTORIAL_TEXT": "Earn money by destroying targets, killing enemies, and exiting the arena before time runs out. If you destroy things in quick succession, you will earn a combo bonus."
"ACT_VANDAL_NIGHTSTICK_MSG": "NIGHTSTICK"
"ACT_VANDAL_BONUS_STATIC_WEAPON": "BONUS: USE %s  (+$%d)"
"ACT_VANDAL_BONUS_STATIC_TEAM": "BONUS: KILL %s  (+$%d)"
"ACT_ESCORT_SPAWNED_MSG": "LOSE THE NEWS VAN TRAILING YOU"
