"MENU_LEFT_MOUSE": "LPM"
"CBA_GAC_RECRUIT_DISMISS": "   WERBUNEK/ZWOLNIENIE"
"CBA_OFC_ATTACK_PRIMARY": "   ATAK"
"CBA_VDC_HELI_UP": "   RUCH W GÓRĘ"
"MENU_CATEGORY_TANK": "CZOŁG"
"PC_W_THUNDERSTORM": "BURZA"
"PC_FADE_HUD": "PRZYGAŚ HUD"
"BTN_A_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"PCACTION_ACTION": "AKCJA"
"CBA_OFC_CROUCH_TOGGLE": "   KUCANIE (PRZEŁĄCZ)"
"CBA_VDC_NEXT_RADIO": "   NASTĘPNA STACJA RADIOWA"
"PLT_MENU_ASPECT": "FORMAT OBRAZU"
"PC_ENVIRONMENT": "ŚRODOWISKO"
"PC_GS_BACKGROUND_HINT": "WŁ./WYŁ. RENDEROWANIE TŁA"
"PC_DOF_RANGE_HINT": "GŁĘBIA POLA ZAKRESU OGNISKOWEGO"
"PC_COPY_NEXT": "KOPIUJ KOLEJNĄ"
"PC_EXPORT_EXPLANATION": "Skończyć edycję i rozpocząć eksport filmu?"
"BTN_Y_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-y][/format]"
"HASH_11879627": "JAKOŚĆ GRAFIKI"
"HASH_8DFAAC67": "Aby korzystać z tej funkcjonalności, przejdź do trybu online w usłudze GOG lub połącz się ponownie z internetem."
"SAVE_WARNING_BOOT": "[format][color:#9400c5]Gra posiada funkcję autozapisu. Zawsze gdy pojawia się ta ikona, twoja gra jest zapisywana w miejscu na autozapis.[/format]"
"CBA_OFC_PICKUP_RELOAD": "   PODNIESIENIE/PRZEŁADOWANIE"
"CBA_VDC_HANDBRAKE": "   POŚLIZG"
"PC_SLOWMO_HINT": "USTAWIENIA ZWOLNIONEGO TEMPA"
"RECORD_MODE_WARNING": "NAGRAJ KLIPY KINOWE"
"PCACTION_RADIO_PREVIOUS": "POPRZEDNIE RADIO"
"PCACTION_WEAPON_3": "BROŃ 3"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "Użyte konto Steam jest już powiązane z innym THQ ID."
"MENU_CONTROLLER_OPTIONS_TITLE": "KONTROLER"
"MENU_MOUSE_CONTROLS_INVERT_Y": "ODWRÓĆ OŚ PIONOWĄ"
"CBA_GAC_WEAPON_SELECT_8": "   BROŃ 8"
"PC_EDIT_PROPERTIES": "EDYTUJ WŁAŚCIWOŚCI"
"BTN_START_TXT": "PRZYCISK A"
"PCACTION_WEAPON_6": "BROŃ 6"
"PC_RECORD_MODE_QUALITY_LOW": "480p (NISKA)"
"MAIN_MENU_MATCHMAKING_FAIL": "Nie można było odnaleźć żadnych gier w poprzez Steam matchmaking."
"CBA_GAC_GRENADE_SELECT_2": "   GRANAT 2"
"CAA_WALK_TURN_LEFT_RIGHT_NEG": "   RUCH W LEWO"
"CBA_VDC_CRUISE_CONTROL_B": "   KONTROLA PRĘDKOŚCI"
"PLT_MENU_SHADOW_DETAIL": "    SZCZEGÓŁY CIENI"
"PC_OPTIONS_EXIT_HINT": "ZAMKNIJ OKNO OPCJI"
"BTN_BLACK_TXT": "PRZYCISK A"
"PRESS_ANY_KEY_TEXT": "Wciśnij jakikolwiek nowy klawisz lub wciśnij ESC, aby anulować."
"PCACTION_RADIAL_MENU": "MENU KOŁOWE"
"PC_RECORD_MODE_FAILED_EXPORT": "Z POWODU WEWNĘTRZNEGO BŁĘDU NAGRYWANIE FILMU NIE POWIODŁO SIĘ."
"TUT_COMBAT_GRENADES_PC": "{ATTACK_SECONDARY_IMG} RZUT GRANATEM\n{GRENADE_SWITCH_IMG} ZMIANA UŻYWANYCH GRANATÓW"
"MENU_MIDDLE_MOUSE": "ŚPM"
"CBA_VDC_NITRO": "   PODTLENEK"
"PLT_MENU_FULL_SCREEN": "PEŁNY EKRAN"
"PC_OPTIONS": "OPCJE"
"PC_ZONE_TYPE": "RODZAJ STREFY"
"PC_CZ_EXIT_HINT": "ZAMKNIJ OKNO STREFY KAMERY"
"BTN_RTRIGGER_TXT": "PRZYCISK A"
"HASH_299A8B6B": "TRYB OKNA BEZ RAMKI"
"HASH_58A675AB": "GOG MATCHMAKING"
"HASH_6A37FFEB": "Nie udało się odnaleźć gry, z którą można się połączyć."
"COMMUNITY_CREATE_LINK_TEXT": "Tutaj możesz stworzyć nowy identyfikator THQ ID lub powiązać konto Steam z istniejącym."
"CBA_GAC_PAUSE_MENU": "   PAUZA"
"CBA_VDC_HELI_TURN_RIGHT": "   SKRĘT W PRAWO"
"CBA_VDC_PLANE_FIRE_SECONDARY": "   STRZAŁ - BROŃ 2"
"PLT_TRILINEAR": "TRÓJLINIOWE"
"PC_LOAD_CHAR": "WCZYTAJ DOMYŚLNE"
"PC_SM_NORMAL": "NORMALNE"
"PC_DOF_DIST_HINT": "ODLEGŁOŚĆ GŁĘBI POLA"
"PCACTION_PAUSE": "MENU PAUZY"
"TUT_AIRPLANE_CONTROL_ALT_PC": "{PLANE_ACCELERATE_IMG} PRZYŚPIESZENIE \n{PLANE_BRAKE_REVERSE_IMG} HAMULEC + WSTECZNY\n{PLANE_ROLL_TURN_SELECT_IMG}+{PLANE_LEFT_RIGHT_IMG} OSTRY SKRĘT"
"SAVE_CLIP": "Zapisz klip"
"CBA_VDC_HELI_FIRE_PRIMARY": "   STRZAŁ - BROŃ 1"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG2": "   OBRÓT W LEWO"
"PC_VOICE": "GŁOS"
"PC_SHOW_KEYS_HINT": "WYŚWIETL SKRÓTY KLAWIATUROWE EDYCJI"
"CAA_PLANE_PITCH_UP_DOWN_POS": "   OPADANIE"
"PC_SOUNDFX_HINT": "WŁ./WYŁ. WSZYSTKIE EFEKTY DŹWIĘKOWE"
"PC_SM_VERY_FAST": "BARDZO SZYBKIE"
"PC_EDIT_EXPLANATION": "Przechodzisz do edycji kamery nieaktywnej strefy. Aktualna pozycja kamery nadpisze wcześniejszą."
"DPAD_UP_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-u][/format]"
"PCACTION_LOOK_RIGHT": "SPOJRZENIE W PRAWO"
"TUT_NP_TANK_CONTROLS_PC": "{TANK_FORW_BACK_IMG} PORUSZANIE SIĘ \n{TANK_LEFT_RIGHT_IMG} CELOWANIE \n{TANK_FIRE_SECONDARY_IMG} STRZAŁ Z GŁÓWNEJ BRONI \n{TANK_FIRE_PRIMARY_IMG} STRZAŁ Z DODATKOWEJ BRONI"
"CBA_OFC_ZOOM_IN": "   PRZYBLIŻ CELOWNIK"
"MULTI_LOST_CONNECTION": "Utracono połączenie z usługą Steam.\nPowrót do głównego menu."
"PC_TOD_MORNING": "PORANEK"
"PC_GS_BACKGROUND": "TŁO"
"SAVING_CONTENT_BODY": "Nie wyłączaj gry."
"CBA_GAC_WEAPON_SELECT_6": "   BROŃ 6"
"CBA_VDC_ACCELERATE": "   GAZ"
"CBA_VDC_PLANE_TURN_RIGHT2": "   ODCHYLENIE W PRAWO"
"PLT_ANISOTROPIC_EIGHT": "ANIZOTR. 8X"
"MENU_CUSTOM": "WŁASNE"
"PLT_MENU_DISPLAY_4": "CZWARTORZĘDNY"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "Za mało wolnego miejsca na dysku twardym na dokończenie zapisu."
"PC_MOVEMENT_SENSITIVITY_HINT": "CZUŁOŚĆ RUCHU KAMERY"
"PC_CONFIRM_EXIT": "POTWIERDŹ WYJŚCIE"
"PCACTION_WEAPON_8": "BROŃ 8"
"PCACTION_CROUCH": "KUCNIJ"
"MENU_MOUSE_BUTTON_3": "Mysz 3"
"MENU_CATEGORY_HELI": "HELIKOPTER"
"PLT_QUIT_GAME": "WYJDŹ NA PULPIT"
"MAINMENU_SYSLINK": "GRA W SIECI LOKALNEJ"
"PC_HIDE_HUD": "UKRYJ HUD"
"PRESS_ANY_KEY_CAPTION": "WCIŚNIJ NOWY KLAWISZ"
"HASH_B1E823F1": "CTRL"
"CBA_VDC_OFFHAND_GRENADE": "   RZUT GRANATEM"
"PC_CA_EDIT_EXPORT": "WCZYTAJ I EDYTUJ"
"PCACTION_CONSUME_LEFT": "KONSUMUJ (LEWO)"
"PCACTION_WEAPON_2": "BROŃ 2"
"HASH_F44E5932": "Gracz %ls zaprosił cię do gry. \nCzy chcesz do niej dołączyć?"
"PC_RECORD_MODE_ENABLE_WARNING": "TRYB NAGRYWANIA MOŻE SPOWODOWAĆ OBNIŻENIE WYDAJNOŚCI. ZE WZGLĘDÓW LICENCYJNYCH MUZYKA I RADIO ZOSTANĄ WYŁĄCZONE. KONTYNUOWAĆ?"
"PLT_MENU_AMBIENT_OCCLUSION": "    AMBIENT OCCLUSION"
"PC_CREATE_CHAR": "TWÓRZ/IMPORTUJ"
"PC_W_OVERCAST": "ZACHMURZENIE"
"PC_AV_EXIT_HINT": "ZAMKNIJ OKNO ŚRODOWISKA"
"PC_EXIT_HINT": "WYJDŹ Z EDYTORA KLIPÓW"
"PC_DELETE_CZ": "USUŃ"
"PCACTION_REVERSE": "HAMULEC/COFANIE"
"CBA_OFC_MELEE_NUT_SHOT": "   ATAK WRĘCZ"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG": "   SKRĘT W LEWO  "
"PLT_MENU_ANTI_ALIASING_TOOLTIP": "WYGŁADZANIE POSTRZĘPIONYCH KRAWĘDZI"
"PLT_MENU_MINIMAP_VIEW_TOOLTIP": "OBRACANIE MINIMAPY WZGLĘDEM KIERUNKU POSTACI GRACZA"
"PC_HANDYCAM": "KAMERA Z RĘKI"
"PC_POSITION_CAMERA": "USTAW KAMERĘ"
"PC_RECORD_MODE_CANCEL_ENCODE": "CZY NA PEWNO CHCESZ ANULOWAĆ ZAPIS TEGO FILMU? FILM ZOSTANIE UTRACONY."
"TUT_HELICOPTER_ENTRY_PC": "{HELI_UP_IMG} WZNIESIENIE\n{HELI_DOWN_IMG} OPADNIĘCIE\n{HELI_DRIVE_TURN_SELECT_IMG}/{HELI_LEFT_RIGHT_IMG} SZYBKIE ZWROTY"
"MENU_RIGHT_MOUSE": "PPM"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_NEG": "   RUCH W TYŁ"
"MENU_ON": "WŁ."
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "Szukanie gier w sieci lokalnej..."
"PC_SM_VERY_SLOW": "BARDZO WOLNE"
"PC_CAMERA_DONE_HINT": "ZAMKNIJ OKNO"
"PC_GREEN_SCREEN": "ZIELONY EKRAN"
"DPAD_LEFT_TXT": "PRZYCISK A"
"DPAD_RIGHT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-r][/format]"
"PC_RECORD_MODE_PATH": "\\Documents\\My Games\\Saints Row The Third\\Videos\\"
"MENU_OPTIONS_GAMEPLAY_DIFFICULTY_TIP": "USTAW POZIOM TRUDNOŚCI"
"MULTI_MATCHMAKING": "STEAM MATCHMAKING"
"CBA_VDC_BIKE_LEAN_FWD": "   POCHYLENIE DO PRZODU"
"PLT_MENU_POST_PROCESSING_DETAIL_TOOLTIP": "HDR, ROZMYCIE RUCHU I GŁĘBIA POLA"
"MENU_HIGH": "WYSOKIE"
"PC_MOVEMENT_SENSITIVITY": "CZUŁOŚĆ RUCHU"
"PC_CM_FOLLOW_LOOK": "PODGLĄD PODĄŻAJĄCY"
"BTN_B_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-b][/format]"
"MENU_MOUSE_WHEEL_UP": "Kółko w górę"
"MENU_MOUSE_CONTROLS_HORIZ_SENS": "CZUŁOŚĆ W POZIOMIE"
"CBA_GAC_WEAPON_SELECT_2": "   BROŃ 2"
"CAA_DRIVE_STEER_POS": "   SKRĘT W PRAWO"
"PC_CA_DELETE": "USUŃ"
"PC_SOUNDFX": "EFEKTY DŹWIĘKOWE"
"PAUSE_MENU_PLAYBACK_MODE": "EDYTUJ KLIP KINOWY"
"HUD_DROP_ITEM_MESSAGE": "UPUŚĆ %ls"
"ANALOG_LS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"PCACTION_STRAFE_LEFT": "UNIK W LEWO"
"MENU_OPTIONS_GAMEPLAY_AIRPLANE_TIP": "NORMALNY: ŁATWE STEROWANIE; ZAAWANSOWANY: SYMULATOR"
"CBA_GAC_MACHINIMA_QUICKSAVE": "   ZAPISZ FILM"
"CBA_GAC_WEAPON_SWITCH_CW": "   NASTĘPNA BROŃ"
"CAA_WALK_FORWARD_BACKWARD_POS": "   RUCH DO PRZODU"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_POS": "   RUCH DO PRZODU"
"MAINMENU_SYSLINK_TITLE": "SIEĆ LOKALNA"
"PC_ADVANCED_MODE": "TRYB ZAAWANSOWANY"
"PC_SHOW_HUD_HINT": "WŁ./WYŁ. PRZEZROCZYSTOŚĆ INTERFEJSU"
"PC_CONFIRM_EXPORT": "POTWIERDŹ EKSPORT"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "PODNIEŚ %ls"
"BTN_BACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-menu][/format]"
"DPAD_LR_TXT": "PAD KIERUNKOWY W LEWO I W PRAWO"
"MENU_SECONDARY_ASSIGNMENT": "ALTERNATYWNE PRZYPISANIE KLAWISZY"
"PLT_MENU_LIGHTING_DETAIL": "    SZCZEGÓŁY OŚWIETLENIA"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "Zapisywanie nie powiodło się, ponieważ domyślny nośnik danych nie jest dostępny."
"PC_GS_PEOPLE_HINT": "WŁ./WYŁ. RENDEROWANIE POSTACI NIEZALEŻNYCH"
"PC_DOF_HINT": "RODZAJ EFEKTU GŁĘBI POLA - WPŁYWA NA ODLEGŁOŚĆ I ZAKRES OGNISKOWY"
"PC_AUDIO_TOGGLES": "DŹWIĘK"
"HUD_PICKUP_UNNAMED_OBJECT": "PODNIEŚ"
"PCACTION_LOOK_LEFT": "SPOJRZENIE W LEWO"
"PC_RECORD_MODE_ERROR_NO_ENABLED": "WŁĄCZ TRYB NAGRYWANIA W MENU PAUZY, ABY ZAPISAĆ FILM."
"CBA_GAC_WEAPON_SELECT_7": "   BROŃ 7"
"CBA_VDC_HELI_TURN_LEFT": "   SKRĘT W LEWO"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_POS": "   RUCH W PRZÓD"
"PC_OUTPUT_ONLY_HINT": "UKRYJ PODCZAS EKSPORTU LINIĘ CZASOWĄ I INNE INFORMACJE"
"HUD_CRUISE_CONTROL_NO_BUTTON": "KONTROLA PRĘDKOŚCI"
"CBA_GAC_WEAPON_SWITCH_CCW": "   POPRZEDNIA BROŃ"
"CBA_OFC_SPRINT_TOGGLE": "   SPRINT (PRZEŁĄCZ)"
"CAA_WALK_FORWARD_BACKWARD_NEG": "   RUCH DO TYŁU"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_NEG": "   RUCH DO TYŁU"
"PLT_MENU_TEXTURE_FILTER_MODE_TOOLTIP": "IM WYŻEJ, TYM ŁADNIEJ, ALE WOLNIEJ"
"MENU_LOW": "NISKIE"
"PLT_MENU_SETUP_MIC": "USTAWIENIA MIKROFONU"
"MENU_OPTIONS_CLIP_SELECT": "KLIPY KINOWE"
"PC_SM_SLOW": "WOLNE"
"CBA_GAC_ACTION": "   AKCJA"
"CAA_DRIVE_STEER_NEG": "   SKRĘT W LEWO"
"CBA_VDC_TANK_FIRE_PRIMARY": "   STRZAŁ - BROŃ 1"
"PLT_MENU_RESOLUTIONS_TOOLTIP": "WYBIERZ ROZDZIELCZOŚĆ"
"PC_WATERMARK_HINT": "EKSPORTUJ Z LOGO GRY SAINTS ROW 3 W ROGU"
"PC_GS_PLAYER_HINT": "WŁ./WYŁ. RENDEROWANIE GRACZA"
"PC_SELECT_TARGET": "WYBIERZ CEL"
"DPAD_TXT": "PAD KIERUNKOWY"
"DPAD_DOWN_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-d][/format]"
"MENU_MOUSE_CONTROLS_SENSITIVITY": "CZUŁOŚĆ"
"CBA_VDC_PLANE_FIRE_PRIMARY": "   STRZAŁ - BROŃ 1"
"PC_GS_VEHICLES": "POJAZDY"
"PC_EXPORT_HINT": "EKSPORTUJ KLIP NA FILM"
"PCACTION_GRAB_HUMAN": "ZŁAP CZŁOWIEKA"
"HASH_24103FFD": "Aby korzystać z tej funkcji, należy się wpisać do konta Epic."
"PC_RECORD_MODE_TEXT": "Włącz tryb nagrywania, aby zapisać swoje ostatnie wyczyny w formie filmu!\n\nWciśnij {([format][color:#9400C5]{0}[/format]), aby eksportować. Filmy są zapisywane w folderze:"
"MOUSE_TITLE": "STEROWANIE"
"CBA_VDC_HORN": "   KLAKSON"
"PLT_MENU_BRIGHTNESS_TOOLTIP": "OTWÓRZ MENU JASNOŚCI EKRANU"
"PLT_MENU_DISPLAY_MODE_TOOLTIP": "PEŁNY EKRAN, TRYB OKNA LUB TRYB OKNA BEZ RAMKI"
"PLT_MENU_TEXTURE_FILTER_MODE": "    TRYB FILTROWANIA"
"MAINMENU_MACHINIMA_MODE": "EDYTUJ KLIPY KINOWE"
"PC_COPY_CURRENT_HINT": "UTWÓRZ NOWĄ STREFĘ KAMERY NA BAZIE AKTUALNEJ"
"COOP_REMOTE_CHEAT_STARTING": "Twój partner w trybie współpracy używa kodów. W nowych zapisach gry będą włączone kody.\nAutozapis został wyłączony; zdobywanie osiągnięć nie będzie możliwe."
"MENU_MOUSE_CONTROLS_INVERT_X": "ODWRÓĆ OŚ POZIOMĄ"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS": "   SKRĘT W PRAWO"
"MENU_ULTRA": "ULTRA"
"PCACTION_WEAPON_7": "BROŃ 7"
"HASH_B617EDBF": "TWORZENIE GRY"
"TUT_STREAKING_PC": "{TAUNT_TWO_IMG} dwa razy, by zacząć biegać na golasa. \nGdy nie nosisz żadnych ubrań, dostępna jest dywersja Bieganie na golasa."
"CBA_GAC_GRENADE_SELECT_3": "   GRANAT 3"
"CBA_GAC_CELL_OPEN": "   KOMÓRKA"
"CBA_VDC_VTOL_TRANSITION": "   ZMIANA TRYBU PIONOWZLOTU"
"PLT_MENU_VSYNC_CUTSCENE_TOOLTIP": "SYNCHRONIZACJA PIONOWA W PRZERYWNIKACH"
"PC_LOAD_CHAR_HINT": "WCZYTAJ DOMYŚLNY MODEL POSTACI"
"PC_GS_VEHICLES_HINT": "WŁ./WYŁ. RENDEROWANIE POJAZDÓW"
"PC_PROPS": "POSIADŁOŚCI"
"PC_CAM_TILT_HINT": "PRZECHYŁ KAMERY"
"BTN_RTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"BTN_X_TXT": "PRZYCISK A"
