"CUST_ITEM_CF_HAIR_MED": "ALLE SPALLE"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_2": "Aumenta il rateo di fuoco. Mirino tecnologico per una maggiore precisione."
"CUST_TATTOO_UPPBACK_2": "INCROCIALO E MUORI"
"CUST_ITEM_CM_HAIR_DREADS": "MARLEY"
"CUST_ITEM_CM_PSE_FOOT_M_BOOTS": "STIVALI LAVORI IN CORSO"
"LOGO_SECTION9": "SECTION 9"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHIRT": "VESTITO PER OCCASIONI SPECIALI"
"CUST_ITEM_FEMALE_NLM_OUTFIT_E": "CALUMET DELLA PACE"
"CUST_ITEM_OVAL_RING_1_LEFT_INDEX_FINGER": "FASCIATURA MURDERBRAWL"
"PLAYER_MORPH_MOUTH_HEIGHT_TEXT": "ALTEZZA BOCCA"
"STORE_WEAPON_BUY_UPGRADE": "ACQUISTA/POTENZIA ARMI"
"CUST_COMP_EYE_MAKEUP_7": "ALI"
"HAIR_COLOR_ORANGE": "ARANCIONE"
"LOGO_NUMBER5": "NUMERO 5"
"LOGO_KBOOM": "KBOOM WMD108"
"LOGO_SKEETERS_3": "SKEETER 3"
"CUST_VARIANT_PETALS": "PETALI"
"LEATHER_LACE_NAME": "LEATHER & LACE"
"CUST_TATTOO_LCALF_7": "FUORI CONTROLLO"
"CUST_VARIANT_STRIPED_TIE": "A STRISCE CON CRAVATTA"
"CUST_ITEM_CM_IMPL_UBDY_M_SCARF": "SCIARPA DA SFILATA"
"CUST_ITEM_FEMALE_NLM_EARRINGS_5": "ORECCHINI RAGAZZA GENKI"
"CUST_ITEM_CM_LLB_LWRST_M_LTHRWRISTBAND": "POLSIERA LEATHER & LACE"
"CUST_ITEM_CF_PSA_FOOT_F_ANKLEBOOTS": "STIVALI NON TANTO INNOCENTI"
"CUST_COMPLIMENT_D": "IT'S NOT UNUSUAL"
"CUST_COLOR_CLOTHING_GREYS_5": "GRIGIO 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_2": "Colpisce un'area più vasta."
"CUST_COMP_CHEEK_MAKEUP_3": "IL MIMO"
"VEHICLE_PAINT_CANDY_PAINT": "VERNICE OPALINA"
"CUST_VARIANT_15_DEFAULT": "STILE 1"
"CUST_VARIANT_BASKETBALL_JERSEY": "A STRISCE"
"CUST_VARIANT_HAT": "NORMALE"
"PLAYER_MORPH_UPPER_LIP_NOTCH_TEXT": "PIEGA LABBRO SUPERIORE"
"CUST_TATTOO_RCALF_8": "VISO DELLA MORTE"
"COLOR_SLOT_PAINT_1_AND_PAINT_2": "VERNICE 1 E VERNICE 2"
"RIM_129": "R129"
"SLOT_COCKPIT": "CABINA"
"CUST_WEAR_TATTOO_AZTEC_SNAKE": "SERPENTE AZTECO"
"CUST_SKIN_OILED_3": "ISPANICO UNTO 1"
"VEHICLE_COLOR_TINT_5": "TINTA 5%%"
"LOGO_89GENX": "89 GEN X"
"CUST_VARIANT_DUAL_STRIPES_SMALL": "PICCOLE STRISCE DOPPIE"
"CUST_ITEM_CM_PSG_UBDY_M_TRACKJACKET": "GIACCA TUTA"
"CUST_INSULT_K": "NATURE BOY"
"CUST_COLOR_CLOTHING_VIOLET-RED_5": "VIOLA ROSSO 5"
"CUST_COLOR_CLOTHING_BROWNS_4": "MARRONE 4"
"CUST_COMP_MUSTACHE_13": "BARBA ALLA PAYNE"
"COMPONENT_DECAL_6": "DECALCOMANIA 6"
"CUST_VARIANT_3COLOR_THIN": "TRICOLORE SOTTILE"
"CUST_VARIANT_GRADIENT": "GRADIENTE"
"CUST_SKIN_BLACK_03": "AFROAMERICANO 3"
"PLAYER_MORPH_CHEEKBONES_DEPTH_TEXT": "PROFONDITÀ ZIGOMO"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_9": "GIALLO ARANCIONE 9"
"CUST_TATTOO_FACE_3": "LAMA TRIBALE"
"PAINT_AND_TRIM": "VERNICE E RIFINITURA"
"CUST_VARIANT_FRONT_STRIPES_SMALL": "PICCOLE STRISCE SUL DAVANTI"
"CUST_WEAR_TATTOO_AZTEC_BUG": "INSETTO AZTECO"
"CUST_ITEM_CM_DLC_FOOT_M_PLATFORMS": "SCARPE STILE Z"
"CUST_ITEM_CF_RING_F_BIGHEART": "SET AMORE VERO"
"CUST_EYESHADOW": "OMBRETTO"
"CUSTOM_WALK_13": "STILE TEPPISTA 8"
"HAIR_SALON_HAIR_LENGTH": "LUNGHEZZA CAPELLI"
"CUST_COMP_FACE_MAKEUP_4": "MASCHERA DA GUERRA"
"CUST_COLOR_BRIGHT_YELLOW": "GIALLO BRILLANTE"
"CUST_VARIANT_21_DEFAULT": "VARIANTE 21"
"CUST_SKIN_HISPANIC_04": "ISPANICO 4"
"PLAYER_CREATION_PRESET_ASIAN": "ASIATICO"
"CUST_TATTOO_RHAND_4": "RITO"
"LOGO_DART": "BERSAGLIO"
"CUST_ITEM_CF_DLC_HAND_F_BCGLOVE": "GUANTI BLOODY CANONESS"
"CUST_RONIN_COMPLIMENT_C": "COMPLIMENTO RONIN 3"
"CUST_CAT_HAIR_COLOR_EYEBROWS": "COLORE SOPRACCIGLIA"
"CUST_COMP_EYE_MAKEUP_10": "LINER MARCATO"
"SLOT_BED_MODS": "MODIFICHE VANO DI CARICO"
"CUST_VARIANT_SKIRTB": "STILE 2"
"CUST_VARIANT_ZEBRA_1": "ZEBRATO 1"
"CUST_ITEM_CM_FPIC_SETC": "PIERCING DOPPIO"
"PLAYER_MORPH_EYE_STYLE_TEXT": "STILE OCCHI"
"FACIAL_EXPRESSION_SCARED": "IMPAURITO"
"PLAYER_MORPH_CROWN_HEIGHT_TEXT": "ALTEZZA CORONA"
"CUST_MENU_TOTAL_LIMIT_REACHED": "Hai raggiunto il numero massimo di abiti permessi nel tuo guardaroba."
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_2": "Mira più rapida e munizioni più numerose."
"CUST_TATTOO_NECK_4": "I DIAMANTI DI ANVERSA"
"CUST_COMP_BODY_MASK_4": "ABBRONZATURA DA MURATORE"
"VEHICLE_COLOR_TINT_30": "TINTA 30%%"
"CUST_ITEM_IMPRESSIONS_FEMALE_O": "COMPLETO SAFARI URBANO"
"CUST_ITEM_CM_IMPE_LBDY_M_DRESSPANTS": "PANTALONI DI CLASSE"
"FACIAL_EXPRESSION_QUIZZICAL": "CONFUSO"
"PLAYER_MORPH_CHIN_TEXT": "MENTO"
"LOGO_PMS": "PI MU SIGMA"
"CUST_VARIANT_THIN": "SOTTILE"
"CUST_ITEM_COWBOY_HAT_1": "CAPPELLO DA FAR WEST"
"RIM_SET_006": "SET DI CERCHIONI 6"
"COMPONENT_OPTION_4": "OPZIONE 4"
"COLOR_SLOT_RIM": "CERCHIONE"
"CUST_VARIANT_KNIT": "UNCINETTO"
"CUST_ITEM_CM_CNC_UBDY_M_WHTLOGOA": "T-SHIRT CROOKS & CASTLES D"
"CUSTOM_WALK_7": "STILE TEPPISTA 3"
"CUST_TATTOO_FACE_7": "PARENTI SERPENTI"
"VEHICLE_COLOR_SILVER": "ARGENTO"
"CUST_SKIN_PURPLE_4": "VIOLA PRINCIPESSA"
"CUSTOM_WALK_FEMALE_02": "DONNA PREDEFINITA 2"
"CUSTOM_WALK_17": "STILE TEPPISTA 12"
"CUST_COLOR_CLOTHING_VIOLET-RED_1": "VIOLA ROSSO 1"
"CUST_COMP_MUSTACHE_17": "CHUCK"
"OPTION_37": "OPZIONE 37"
"COMPONENT_DECAL_2": "DECALCOMANIA 2"
"CUST_VARIANT_SLEEVES": "NORMALE"
"PLAYER_MORPH_EYE_FOLDS_ELEVATION_TEXT": "ALTEZZA PIEGHE OCCHIO"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_8": "GIALLO VERDE 8"
"CUST_COMP_EYES_DARK_BROWN": "CASTANI SCURI"
"LOGO_PHEASANT": "PHEASANT HUNTER"
"CUST_VARIANT_ULTOR2": "ULTOR 2"
"VEHICLE_PAINT_LICENSE_PLATES": "TARGHE"
"HAIR_COLOR_GREEN_MATTE": "VERDE OPACO"
"CUST_VARIANT_LARGE_STRIPES": "GROSSE STRISCE"
"VEHICLE_COLOR_ATLANTIC_TEAL": "VERDE OCEANO"
"CUST_WEAR_TUCKED": "DENTRO"
"CUST_ITEM_IMPRESSIONS_FEMALE_K": "IMPRESSIONS DONNA K"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOC": "T-SHIRT CROOKS & CASTLES C"
"CUST_MORPH_CAT_JAW": "MASCELLA"
"CUST_COMP_EYE_MAKEUP_14": "SFINGE"
"SLOT_MIRRORS": "SPECCHIETTI"
"HAIR_COLOR_YELLOW_MATTE": "GIALLO OPACO"
"CUST_WEAR_UNZIPPED_HOOD_DOWN": "LAMPO APERTA, CAPPUCCIO ABBASSATO"
"CUST_ITEM_CF_NLMF_FOOT_F_VICTORIANBOOTS": "STIVALI VITTORIANI STEAMPUNK"
"STORE_WEAPON_NAVIGATE": "SCORRI"
"SK03": "PELLE03"
"CUST_VARIANT_SMALL_FLOWERS": "FIORI PICCOLI"
"CUST_WEAR_BUTTONED_HOOD_DOWN": "CHIUSA, CAPPUCCIO ABBASSATO"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRTLOWV": "GIACCA HILLS CON MAGLIETTA"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO": "SET STRATAGEMMA"
"CUSTOM_WALK_3": "STILE TEPPISTA 2"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_2": "Trasporta più missili."
"CUST_TATTOO_LOWBACK_4": "RICURVO, ALTO"
"CUST_COLOR_FLESH_4": "CARNE 4"
"CUST_WEAR_HALF OPEN": "SEMI APERTO"
"CUST_ITEM_CM_UBDY_M_THEROW": "MEMBRO DEI ROW"
"CUST_ITEM_CM_HAIR_SHORT": "DIRIGENTE FURBO"
"CUST_ITEM_MINER_HAT": "MASCHERA MURDERBRAWL"
"PLAYER_MORPH_FACE_DEPTH_TEXT": "PROFONDITÀ VOLTO"
"CUST_TATTOO_UPPBACK_6": "DUE COLOMBE SANTE"
"CUST_COMP_FACE_MOLE_8": "NEO 8"
"CUST_VARIANT_TWO_COLOR": "2 COLORI"
"CUST_VARIANT_LEATHERLEATHER": "CUOIO VERNICIATO"
"CUST_COLOR_WHITE": "BIANCHI"
"CUST_ITEM_CM_PSJ_EYES_M_SHTRGLS": "OCCHIALI DA SOLE RAPPER"
"CUST_ITEM_CF_PSE_UBDY_F_GFXJERSEYCOMBO": "MAGLIA SPORTIVA DONNA"
"PLAYER_MORPH_BROW_ELEVATION_TEXT": "ELEVAZIONE SOPRACCIGLIA"
"CUST_COMP_EYE_MAKEUP_3": "BENDA DESTRA"
"RIM_188": "C-X 502"
"SLOT_DECAL_10": "DECALCOMANIA 10"
"BRIGHT_GREEN": "VERDE BRILLANTE"
"LOGO_NUMBER1": "NUMERO 1"
"LOGO_FEEDSUCK": "FEED DOGS SUCK"
"CUST_ITEM_CF_PSG_LWRST_F_SBAND": "POLSIERA DI SPUGNA"
"HAIR_CAT_BALD": "RASATO"
"VEHICLE_COLOR_JET_BLACK": "NERO GIAIETTO"
"CUST_VARIANT_CLEAR": "SERENO"
"CUST_VARIANT_BAND": "FASCIA"
"CUST_ITEM_CF_IMPO_LBDY_F_SHORTS": "PANTALONCINI URBAN SAFARI"
"CUST_ITEM_CF_NLMD_LBDY_F_PANTS": "JEANS A VITA BASSA"
"SURGEON_CAT_MORPHS": "MODIFICHE"
"CUST_COLOR_CLOTHING_GREYS_1": "GRIGIO 1"
"VEHICLE_COLOR_YELLOW_DARK_TINT": "TINTA GIALLO SCURO"
"CUST_WEAR_LOW_LEFT_ROLLED_RIGHT_ZIPPED": "SINISTRA ARROTOLATA, BASSI"
"CUST_WEAR_FINGER_LR": "ANULARE SINISTRO"
"CUST_TATTOO_RIGHT_SHOULDER": "SPALLA DESTRA"
"CUST_TATTOO_LCALF_3": "CONTINUA A NUOTARE"
"LOGO_PEACE": "PACE"
"CUST_VARIANT_WIDOWS_PEAK": "A PUNTA"
"CUST_VARIANT_MATERIAL_9": "CUST_VARIANT_MATERIAL#9"
"CUST_ITEM_FEMALE_NLM_EARRINGS_1": "ORECCHINI DA HIPPY"
"PLAYER_CREATION_FIGURE_OVERWEIGHT": "SOVRAPPESO"
"PLAYER_MORPH_CROWN_LENGTH_TEXT": "LUNGHEZZA CORONA"
"CUST_INSULT_O": "IL COSPLAY"
"CUST_MORPH_CAT_CHIN": "MENTO"
"PLAYER_MORPH_CAUCASIAN_TEXT": "CAUCASICO"
"STORE_WEAPON_OWNED_NOT_EQUIPPED": "{0} LIVELLO {1}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_3": "Aumenta il rateo di fuoco e i danni."
"RIM_STANDARD": "STANDARD"
"CUST_VARIANT_SMALL_3_STRIPES": "STRISCE SOTTILI"
"CUSTOM_WALK_FEMALE_5": "DONNA SALTA"
"CLOTHES_IMPRESS": "IMPRESSIONS"
"CUST_TATTOO_RHAND_8": "HAND_TATTOO_R8"
"CUST_TATTOO_CHEST_3": "MOLLUSCO MULTIUSO"
"PAINT_TRIM_AND_RIMS": "VERNICE, EVIDENZIATURA E CERCHIONI"
"RIMS_AND_TRIM": "CERCHIONI E EVIDENZIATURA"
"CUST_ITEM_CM_LPE_PACK_M_MBACKPACK": "ZAINO IMPERO"
"FACIAL_EXPRESSION_INSANE": "PAZZO"
"CUST_COMP_FACE_MAKEUP_8": "ORMA DI LEOPARDO"
"LOGO_BAT_1": "PIPISTRELLO 1"
"CUST_VARIANT_BELT": "NORMALE"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_5": "CERCHIETTI CARINI"
"CUST_ITEM_CF_IMPQ_WRST_F_LATEXBRACE": "IMPRESSIVE BRACCIALETTO LATTICE"
"CUST_COMPLIMENT_KING": "IL RE"
"CUST_MENU_MOVEMENT": "PERSONALITÀ"
"CANT_WEAR_BELTS": "PUOI INDOSSARE LE CINTURE SOLO CON CERTI PANTALONI."
"PLAYER_CREATION_MENU_4": "CAPELLI"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_5": "GIALLO ARANCIONE 5"
"CUST_TATTOO_LHAND_7": "HAND_TATTOO_L7"
"CUST_COLOR_INDIGO_3": "INDACO 3"
"CUST_COLOR_PURPLE_2": "VIOLA 2"
"CUST_ITEM_TOILET": "CESSO"
"CUST_ITEM_LEATHER_LACE_FEMALE_S": "BIMBA DARK"
"CUST_ITEM_CM_PSF_LBDY_M_BSHORTS": "PANTALONCINI DA TIRO LIBERO"
"PLAYER_MORPH_SATURATION_TEXT": "SATURAZIONE"
"CUSTOMIZATION_TITLE": "PERSONALIZZAZIONE GIOCATORE"
"CUST_COLOR_CLOTHING_VIOLET-RED_9": "VIOLA ROSSO 9"
"CUST_COLOR_CLOTHING_BROWNS_8": "MARRONE 8"
"VEHICLE_COLOR_BRETON_GREEN": "VERDE BRETONE"
"LOGO_FUZZ": "FUZZ"
"CUST_VARIANT_CAMOUFLAGE": "MIMETICO"
"CUST_ITEM_CF_HAIR_CORNROWS_1": "TRECCINE CORTE"
"CUST_ITEM_CM_NLMA_HAT_M_SPHAT": "CAPPELLO A CILINDRO"
"CUST_SKIN_GOLD": "ORO"
"CUST_COMP_MALE_EYEBROWS_5": "GENIO DEL MALE"
"COMPONENT_OPTION_8": "OPZIONE 8"
"HAIR_COLOR_ORANGE_MATTE": "ARANCIONE OPACO"
"LOGO_RUSTY_S_NEEDLE_2": "RUSTY'S NEEDLE 2"
"CUST_WEAR_UNBUTTONED_HOOD_UP": "APERTA, CAPPUCCIO ALZATO"
"CUST_ITEM_CM_IMPE_HAT_M_PAN_FEDORA": "CAPPELLO CARAIBICO"
"CUST_ITEM_CF_LLK_FOOT_F_LATEXBOOTS": "STIVALI SEXY"
"CUST_ITEM_CM_LPG_MASK_M_MASKAPE": "UNA VERA SCIMMIA"
"PLAYER_OLD_TEXT": "ANZIANO"
"PLAYER_MORPH_CHIN_CREASE_TEXT": "RUGA MENTO"
"PLAYER_MORPH_BROW_HEIGHT_TEXT": "ALTEZZA FRONTE"
"CUST_TATTOO_NECK_8": "CIGNO NERO"
"HAIR_COLOR_BLACK_MATTE": "NERO OPACO"
"LOGO_NUMBER_13": "NUMERO 13"
"CUST_ITEM_CF_SUIT_CYPHERSUIT": "ASSASSINO ULTOR"
"CUST_ITEM_CF_NLMC_LBDY_M_SKIRTPANTS": "PANTALONI GOTH"
"CUST_ITEM_CM_HAIR_CAESAR": "CESARE"
"CUST_FACIAL_EXP_BASHFUL": "TIMIDO"
"CUST_COLOR_CLOTHING_ORANGE_2": "ARANCIONE 2"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_UNZIPPED": "ENTRAMBE LE LAMPO APERTE, ALTI"
"CUST_ITEM_CF_DLC_WP_UBDY_F_UPPER": "PRINCIPESSA GUERRIERA SUPERIORE"
"CUST_ITEM_CF_NLMH_PACK_F_CATBACKPACK": "MICINA CATTIVA"
"PLAYER_MORPH_NOSTRIL_ELEVATION_TEXT": "ELEVAZIONE NARICE"
"PLAYER_MORPH_LOWER_LIP_SHAPE_TEXT": "FORMA LABBRO INFERIORE"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_2": "Incrementa il danno inferto. Il Mirino Red dot aumenta la precisione di tiro."
"VEHICLE_COLOR_RED_DARK_TINT": "TINTA ROSSO SCURO"
"RIM_180": "SD DCY15"
"LOGO_NUMBER9": "NUMERO 9"
"LOGO_SAINTSBEER": "BIRRA SAINTS"
"CUST_VARIANT_HEARTS": "CUORI"
"CUST_VOICE_ZOMBIE": "ZOMBI"
"CUST_SEX_APPEAL": "SEX APPEAL"
"CUST_VARIANT_STRETCH_TOP": "STILE 1"
"CUST_TATTOO_LEFT_LEG": "GAMBA SINISTRA"
"CUST_MENU_COLOR": "COLORE"
"PLAYER_CREATION_FIGURE_SLENDER": "SNELLO"
"PLAYER_MORPH_EAR_INSIDE_TEXT": "INTERNO ORECCHIO"
"CUST_TATTOO_RFORARM_1": "RAGGIUNGERE UN EQUILIBRIO"
"VEHICLE_COLOR_WILDLIFE_GREEN": "VERDE FORESTA"
"CUST_VARIANT_NAILS_B": "UNGHIE 2"
"CUST_ITEM_CM_SUIT_NORMALTESTSUIT": "ABITO COMUNE DI PROVA"
"SLOT_SEATS": "SEDILI"
"CUST_VARIANT_PATTERN2": "STILE 2"
"CUST_ITEM_BLOWUPDOLL": "BAMBOLA GONFIABILE"
"CUST_ITEM_MALE_NLM_OUTFIT_C": "FANNULLONE ALLA MODA"
"PLAYER_MORPH_NOSTRILS_ELEVATION_TEXT": "ELEVAZIONE NARICE"
"PLAYER_MORPH_CHIN_BULGE_TEXT": "PROMIN. MENTO"
"CUST_VARIANT_PATTERN_1": "STILE 1"
"CUST_INSULT_G": "IL MARINE"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_SIZE_TEXT": "MISURA CENTRO LABBRO SUP."
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_2": "Infligge più danni."
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_3": "Aumenta la capienza dei caricatori."
"CUST_TATTOO_RCALF_4": "RICORDATI DI ME"
"CUST_TATTOO_LARM_3": "LA FRATELLANZA"
"CUST_TATTOO_LUPPARM_1": "LA DINAMITE FA BUM!"
"CUST_COMP_FACE_FRECKLES": "LENTIGGINI"
"CUST_COMP_FEMALE_EYEBROWS_3": "DISEGNATE"
"COMPONENT_ADD_TIRE_DURABILITY": "DURATA GOMME"
"SLOT_FAIRINGS": "CARENATURE"
"LOGO_RHOMBUS": "ROMBO"
"CUST_VARIANT_THICK_TRI_COLOR": "TRICOLORE SPESSO"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR": "LEGATO"
"CUST_CAT_RING": "ANELLI"
"CUST_INSULT_JERK": "SEGAIOLO"
"CUST_COLOR_CLOTHING_GREYS_9": "GRIGIO 9"
"BRIGHT_YELLOW-GREEN": "GIALLO-VERDE BRILLANTE"
"CUST_VARIANT_CMSHO_UUTIBOOT01": "TELA"
"CUST_VARIANT_STRIPES_1": "STRISCE 1"
"CUST_VARIANT_BEADS": "PERLINE"
"CUST_ITEM_CM_LLK_UBDY_M_BATHROBE": "ACCAPPATOIO"
"CUST_UNDERWEAR": "BIANCHERIA"
"CUST_SKIN_ORC": "VERDE ORCO"
"CUST_VARIANT_09_DEFAULT": "VARIANTE 9"
"CUST_VARIANT_PLAID_1": "PLAID 1"
"CUST_VARIANT_MATERIAL_1": "CUST_VARIANT_MATERIAL#1"
"CUST_WEAR_FINGER_RI": "INDICE DESTRO"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHRTTIE": "DI CLASSE"
"CUST_ITEM_FEMALE_PS_EARRINGS_1": "ORECCHINI GIGLIO DEI SAINTS"
"CUST_COMPLIMENT_H": "FESTA"
"CUST_ITEM_CF_LPH_UBDY_F_VARSITYCHEER": "MAGLIETTA DA UNIVERSITÀ"
"VEHICLE_COLOR_BAY_YELLOW": "GIALLO BAIA"
"RIM_184": "V-F 603"
"CUST_VARIANT_MATERIAL_24": "CUST_VARIANT_MATERIAL#24"
"CUST_ITEM_CM_PSE_EYES_M_SHADES": "NON TOCCARMI GLI OCCHIALI"
"CUST_ITEM_BIKER_HELMET": "CAPPELLO DA TEPPISTA"
"FACIAL_EXPRESSION_ROGUISH": "FURFANTE"
"FACIAL_EXPRESSION_FEARFUL": "TERRORIZZATO"
"CUST_BRO_TAUNT_A": "PROVOCAZIONE BROTHERHOOD 1"
"VEHICLE_COLOR_BELIZE_GREEN": "VERDE BELIZE"
"MALE_OVERWEIGHT": "MASCHIO SOVRAPPESO"
"CUST_RACE_ASIAN": "ASIATICO"
"CUST_ITEM_CF_IMPR_FOOT_F_HEELS": "SCARPE DA TAMARRA"
"CUST_ITEM_MALE_NLM_OUTFIT_G": "RAGAZZO ALTERNATIVO DEPRESSO"
"CUST_ITEM_CF_BOBINEYE": "ZAZZERA SULL'OCCHIO"
"FACIAL_EXPRESSION_SNEER": "SARCASTICO"
"PLAYER_CREATION_FIGURE_BODYBUILDER": "BODYBUILDER"
"CUST_TATTOO_RFORARM_5": "LA FATA VIOLA"
"CUST_COMP_FACE_MOLE_4": "NEO 4"
"CUST_VARIANT_MATTE": "OPACO"
"CUST_VARIANT_THE_FADE": "SCOLORITI"
"CUST_ITEM_CM_LPC_UBDY_M_HEROFALCON": "FALCONMAN"
"CUST_CAT_NECKLACE": "COLLANE"
"CUST_SKIN_GREY_4": "GRIGIO PIETRA"
"PLAYER_MORPH_CHIN_DIMPLE_TEXT": "FOSSETTA MENTO"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_2": "Aumenta la capienza dei caricatori e i danni. Il mirino Red dot aumenta la precisione."
"CUST_TATTOO_LARM_7": "TURBANTE NINJA"
"CUST_TATTOO_LUPPARM_5": "MIA PER SEMPRE"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_3": "TANGA ECCITANTE"
"CUST_ITEM_CM_PSC_LBDY_M_DICKIES": "PANTALONI DA LAVORO"
"SLOT_SIDE_SKIRT": "PROTEZIONE LATERALE"
"CUST_VARIANT_CHILD_RWRIST": "STILE 2"
"CUST_VARIANT_LARGE_PLAID": "GROSSO PLAID"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_ROLLED": "Lampo aperta a sx, dx arrotolata, bassi"
"CUST_INSULT_C": "A OVEST E OLTRE"
"PLAYER_MORPH_NOSTRIL_THICKNESS_TEXT": "SPESSORE NARICI"
"PLAYER_MORPH_CHEEKBONE_ELEVATION_TEXT": "ELEVAZIONE ZIGOMO"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_3": "Aumenta la capienza dei caricatori. Aggiungi la terza canna per aumentare ancora di più i danni."
"VEHICLE_PAINT_INTERIORS": "INTERNI"
"COMPONENT_OPTION_11": "OPZIONE 11"
"SLOT_DECAL": "DECALCOMANIA"
"CUST_COLOR_GREEN_1": "VERDE 1"
"LOGO_FISH": "PESCE"
"CUST_VARIANT_BONES": "VOODOO"
"CUST_VARIANT_MATERIAL_5": "CUST_VARIANT_MATERIAL#5"
"CUST_ITEM_CF_DLC_SUIT_F_BCAN": "COMPLETO BLOODY CANONESS"
"CUST_ITEM_CF_RING_F_ROCKERSET": "ANELLI HEAVY METAL"
"CUST_ITEM_CM_NLMG_LBDY_M_LOOSEPANTS": "PANTALONI GANGSTA"
"CUST_COMPLIMENT_L": "CI CREDO ANCORA"
"PLAYER_MORPH_CHEEK_CREASE_TEXT": "RUGA GUANCIA"
"CUST_VARIANT_01_DEFAULT": "VARIANTE 1"
"CUST_ITEM_CF_LLJ_FOOT_F_BIKERBOOTS": "STIVALI MOTOCICLISTA OLD LADY"
"CUST_CAT_MAKEUP_FOREHEAD": "FRONTE"
"SLOT_LIGHT_COVERS": "COPRI-FANALI"
"CUST_ITEM_CF_LLJ_UBDY_F_LTHRJCKT": "GIACCA DA RAGAZZA MOTOCICLISTA"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_1": "DIAMANTINI"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_4": "GIALLO VERDE 4"
"CUST_TATTOO_CHEST_7": "ARCOBALENO FELICE"
"LEVEL_2": "LIVELLO 2"
"CUST_VARIANT_BABYT_OG": "OG"
"CUST_ITEM_MALE_GATSUIT": "MASCOTTE JOHNNY GAT"
"CUST_ITEM_CM_NLMC_LWRST_M_WRISTBANDS": "PERLINE DA RAVE"
"CUST_ITEM_FEMALE_LL_EARRINGS_2": "ORECCHINI VERO AMORE"
"CUST_ITEM_CM_LPH_UBDY_M_PIRATESHIRT": "PIRATA"
"PLAYER_MORPH_FACE_WIDTH_TEXT": "LARGHEZZA VOLTO"
"CUST_COMP_EYES_BLUE": "BLU"
"SLOT_INTERIOR": "INTERNI"
"PAINT_4": "VERNICE 4"
"CUST_ITEM_CF_NLMH_RWRST_F_WRISTBANDS": "BRACCIALETTI DA SBALLO"
"CUST_VOICE_FEMALE_BLACK": "DONNA 2"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_1": "GIALLO ARANCIONE 1"
"CUST_TATTOO_LHAND_3": "ODIO"
"VEHICLE_COLOR_FROSTED_BLUE": "BLU GHIACCIO"
"PLAYER_MORPH_GLOBAL_FACE_TEXT": "VOLTO GLOBALE"
"PLAYER_MORPH_BOTTOM_LIP_EDGES_SIZE_TEXT": "MISURA ESTREMITÀ LABBRO INF."
"CUST_TATTOO_LOWBACK_8": "RICURVO, BASSO"
"SLOT_TRUNK": "PORTELLI BAGAGLIAIO"
"CUST_VARIANT_CHILD_HEMP": "STILE 1"
"CUST_VARIANT_WITH_DECALS": "DECALCOMANIE"
"CUST_ITEM_CF_HAIR_LONGHIPONYBANGS": "CHEERLEADER"
"CUST_CAT_FACE": "VOLTO"
"CLOTHES_INSUFFICIENT_FUNDS_TEXT": "- %s - Non hai abbastanza denaro\nper comprare questo capo."
"CUST_COMP_MALE_EYEBROWS_1": "SPESSE DA UOMO"
"COMPONENT_EXTRA_HIGH_PROFILE": "PROFILO MOLTO ALTO"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS": "DENTRO, CHIUSA"
"CUST_ITEM_CF_DLC_EYES_F_BCAN": "OCCHIALI BLOODY CANONESS"
"CUST_SKIN_GREEN_4": "IRLANDA"
"CUST_MOVEMENT_FACE": "ESPRESSIONE FACCIALE"
"CUST_RONIN_TAUNT_A": "PROVOCAZIONE RONIN 1"
"PLAYER_MORPH_CHEEKBONES_SIZE_TEXT": "MISURA ZIGOMO"
"CUST_COLOR_CLOTHING_ORANGE_6": "ARANCIONE 6"
