"CUST_ITEM_CF_HAIR_MED": "PO RAMENA"
"SLOT_ANTENNA": "ANTÉNY"
"CUST_VARIANT_SEMI_GLOSSY": "POLOLESKLÁ"
"PLAYER_MORPH_FOREHEAD_ELEVATION_TEXT": "VÝŠKA ČELA"
"PLAYER_MORPH_CHEEKBONES_TEXT": "LÍCNÍ KOSTI"
"COMPONENT_NONE": "NIC"
"CUST_VARIANT_MULTICOLOR_SMALL": "MALÝ VÍCEBAREVNÝ"
"CUST_ITEM_CF_IMPR_UBDY_F_JTURTLENCK": "PAŘÍŽSKÝ STYL HILLS"
"PLAYER_MORPH_NOSE_HEIGHT_TEXT": "VÝŠKA NOSU"
"SLOT_EXTRAS": "ZVLÁŠTNOSTI"
"Cornhole": "CORNROW"
"STRAWBERRY_BLONDE": "RUSÁ"
"COLOR_SLOT_RIM_1": "COLOR SLOT RIM 1 (SHOULD NOT BE USED)"
"CUST_VARIANT_BADGELESS": "BEZ PRŮKAZU"
"CUST_VARIANT_STRIPES": "VODOROVNÉ PRUHY"
"VEHICLE_COLOR_PINK_LIGHT_TINT": "SVĚTLE FIALOVÝ NÁDECH"
"HAIR_COLOR_LIGHT_BROWN_MATTE": "MATNÁ SVĚTLE HNĚDÁ"
"UNLOCALIZED_WHITE": "BÍLÁ"
"CUST_ITEM_FEMALE_LL_UNDWEAR_4": "TANGA BUĎ MOJE VALENTÝNKA"
"CUST_ITEM_WOMEN_S_BONDAGE_TOP_1": "STYLOVÁ DÁMSKÁ BUNDA"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_2": "Zvýšení kadence. Zaměřovač zlepšuje přesnost při mířené střelbě."
"CUST_TATTOO_UPPBACK_2": "ZKŘÍŽENÝ DÝKY"
"CUST_ITEM_CM_HAIR_DREADS": "MARLEY"
"CUST_ITEM_CM_PSE_FOOT_M_BOOTS": "PRACOVNÍ BOTY"
"LOGO_SECTION9": "SEKCE 9"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHIRT": "PŮSOBIVÉ OBLEČENÍ"
"CUST_ITEM_FEMALE_NLM_OUTFIT_E": "HULIČKA"
"CUST_ITEM_OVAL_RING_1_LEFT_INDEX_FINGER": "MURDERBRAWLSKÉ CHRÁNIČE"
"PLAYER_MORPH_MOUTH_HEIGHT_TEXT": "VÝŠKA ÚST"
"STORE_WEAPON_BUY_UPGRADE": "KOUPIT/VYLEPŠIT ZBRANĚ"
"CUST_COMP_EYE_MAKEUP_7": "KŘIDÉLKA"
"HAIR_COLOR_ORANGE": "ORANŽOVÁ"
"LOGO_NUMBER5": "ČÍSLO 5"
"LOGO_KBOOM": "KBOOM WMD108"
"LOGO_SKEETERS_3": "SKEETEŘI 3"
"CUST_VARIANT_PETALS": "OKVĚTNÍ LÍSTKY"
"LEATHER_LACE_NAME": "LEATHER & LACE"
"CUST_TATTOO_LCALF_7": "PUŠTĚNÝ Z ŘETĚZU"
"CUST_VARIANT_STRIPED_TIE": "PROUŽKOVANÁ KRAVATA"
"CUST_ITEM_CM_IMPL_UBDY_M_SCARF": "ŠÁLA RUNWAY"
"CUST_ITEM_FEMALE_NLM_EARRINGS_5": "NÁUŠNICE GENKI"
"CUST_ITEM_CM_LLB_LWRST_M_LTHRWRISTBAND": "NÁRAMEK LEATHER AND LACE"
"CUST_ITEM_CF_PSA_FOOT_F_ANKLEBOOTS": "NE TAK NEVINNÉ BOTKY"
"CUST_COMPLIMENT_D": "NENÍ TO NEOBVYKLÉ"
"CUST_COLOR_CLOTHING_GREYS_5": "ŠEDÁ 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_2": "Větší oblast účinku."
"CUST_COMP_CHEEK_MAKEUP_3": "MIM"
"VEHICLE_PAINT_CANDY_PAINT": "KARAMELOVÝ LAK"
"CUST_VARIANT_15_DEFAULT": "STYL 1"
"CUST_VARIANT_BASKETBALL_JERSEY": "PROUŽKY"
"CUST_VARIANT_HAT": "BEZ VZORU"
"PLAYER_MORPH_UPPER_LIP_NOTCH_TEXT": "VZHLED HORNÍHO RTU"
"CUST_TATTOO_RCALF_8": "TVÁŘ SMRTI"
"COLOR_SLOT_PAINT_1_AND_PAINT_2": "LAK 1 A LAK 2"
"RIM_129": "R129"
"SLOT_COCKPIT": "KOKPIT"
"CUST_WEAR_TATTOO_AZTEC_SNAKE": "AZTÉCKÝ HAD"
"CUST_SKIN_OILED_3": "NAOLEJOVANÝ HISPÁNEC 1"
"VEHICLE_COLOR_TINT_5": "ODSTÍN 5%%"
"LOGO_89GENX": "89 GEN X"
"CUST_VARIANT_DUAL_STRIPES_SMALL": "MALÉ DVOJITÉ PRUHY"
"CUST_ITEM_CM_PSG_UBDY_M_TRACKJACKET": "TEPLÁKOVÁ BUNDA"
"CUST_INSULT_K": "PŘÍRODNÍ CHLAPEC"
"CUST_COLOR_CLOTHING_VIOLET-RED_5": "ČERVENOFIALOVÁ 5"
"CUST_COLOR_CLOTHING_BROWNS_4": "HNĚDÁ 4"
"CUST_COMP_MUSTACHE_13": "PAYNOVA BRADA"
"COMPONENT_DECAL_6": "POTISK 6"
"CUST_VARIANT_3COLOR_THIN": "TRIKOLORA TENKÁ"
"CUST_VARIANT_GRADIENT": "STOUPAJÍCÍ"
"CUST_SKIN_BLACK_03": "ČERNOCH 3"
"PLAYER_MORPH_CHEEKBONES_DEPTH_TEXT": "HLOUBKA LÍCNÍCH KOSTÍ"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_9": "ŽLUTOORANŽOVÁ 9"
"CUST_TATTOO_FACE_3": "DOMORODEC"
"PAINT_AND_TRIM": "LAK A LEMOVÁNÍ"
"CUST_VARIANT_FRONT_STRIPES_SMALL": "MALÉ PRUHY VPŘEDU"
"CUST_WEAR_TATTOO_AZTEC_BUG": "AZTÉCKÝ PTÁK"
"CUST_ITEM_CM_DLC_FOOT_M_PLATFORMS": "BOTY VE STYLU ZET"
"CUST_ITEM_CF_RING_F_BIGHEART": "SADA PRAVÉ LÁSKY"
"CUST_EYESHADOW": "OČNÍ STÍNY"
"CUSTOM_WALK_13": "LUMP STYL 8"
"HAIR_SALON_HAIR_LENGTH": "DÉLKA VLASŮ"
"CUST_COMP_FACE_MAKEUP_4": "VÁLEČNÉ MALOVÁNÍ"
"CUST_COLOR_BRIGHT_YELLOW": "SVĚTLE ŽLUTÁ"
"CUST_VARIANT_21_DEFAULT": "VARIANTA 21"
"CUST_SKIN_HISPANIC_04": "HISPÁNEC 4"
"PLAYER_CREATION_PRESET_ASIAN": "ASIAT"
"CUST_TATTOO_RHAND_4": "PRAVAČKA"
"LOGO_DART": "TERČ NA ŠIPKY"
"CUST_ITEM_CF_DLC_HAND_F_BCGLOVE": "RUKAVICE KRVAVÉ KANONESY"
"CUST_RONIN_COMPLIMENT_C": "POKLONA RONINŮ 3"
"CUST_CAT_HAIR_COLOR_EYEBROWS": "BARVA OBOČÍ"
"CUST_COMP_EYE_MAKEUP_10": "TVRDÁ LINKA"
"SLOT_BED_MODS": "POSTELE"
"CUST_VARIANT_SKIRTB": "STYL 2"
"CUST_VARIANT_ZEBRA_1": "ZEBRA 1"
"CUST_ITEM_CM_FPIC_SETC": "DVOJITÝ PIERCING"
"PLAYER_MORPH_EYE_STYLE_TEXT": "OČNÍ STYL"
"FACIAL_EXPRESSION_SCARED": "VYDĚŠENÝ"
"PLAYER_MORPH_CROWN_HEIGHT_TEXT": "VÝŠKA TEMENE"
"CUST_MENU_TOTAL_LIMIT_REACHED": "Víc věcí se ti už do šatníku nevejde. Toto je maximum."
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_2": "Rychlejší zaměřování a větší množství munice."
"CUST_TATTOO_NECK_4": "ANTWERPSKÁ SPECIALITA"
"CUST_COMP_BODY_MASK_4": "FARMÁŘSKÉ OPÁLENÍ"
"VEHICLE_COLOR_TINT_30": "ODSTÍN 30%%"
"CUST_ITEM_IMPRESSIONS_FEMALE_O": "MĚSTSKÉ SAFARI"
"CUST_ITEM_CM_IMPE_LBDY_M_DRESSPANTS": "PRVOTŘÍDNÍ KALHOTY"
"FACIAL_EXPRESSION_QUIZZICAL": "POBAVENÝ"
"PLAYER_MORPH_CHIN_TEXT": "BRADA"
"LOGO_PMS": "PÍ MU SIGMA"
"CUST_VARIANT_THIN": "TENKÉ"
"CUST_ITEM_COWBOY_HAT_1": "KOVBOJSKÝ KLOBOUK"
"RIM_SET_006": "SADA RÁFKŮ 6"
"COMPONENT_OPTION_4": "VARIANTA 4"
"COLOR_SLOT_RIM": "RÁFEK"
"CUST_VARIANT_KNIT": "PLETENÝ"
"CUST_ITEM_CM_CNC_UBDY_M_WHTLOGOA": "TRIČKO CROOKS & CASTLES D"
"CUSTOM_WALK_7": "LUMP STYL 3"
"CUST_TATTOO_FACE_7": "HADÍ DVOJČATA"
"VEHICLE_COLOR_SILVER": "STŘÍBRO"
"CUST_SKIN_PURPLE_4": "RŮŽOVOFIALOVÁ"
"CUSTOM_WALK_FEMALE_02": "ŽENA - ZÁKLADNÍ 2"
"CUSTOM_WALK_17": "LUMP STYL 12"
"CUST_COLOR_CLOTHING_VIOLET-RED_1": "ČERVENOFIALOVÁ 1"
"CUST_COMP_MUSTACHE_17": "CHUCK"
"OPTION_37": "VOLBA 37"
"COMPONENT_DECAL_2": "POTISK 2"
"CUST_VARIANT_SLEEVES": "BEZ VZORU"
"PLAYER_MORPH_EYE_FOLDS_ELEVATION_TEXT": "VÝŠKA VRÁSEK KOLEM OČÍ"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_8": "ŽLUTOZELENÁ 8"
"CUST_COMP_EYES_DARK_BROWN": "TMAVĚ HNĚDÁ"
"LOGO_PHEASANT": "LOVEC BAŽANTŮ"
"CUST_VARIANT_ULTOR2": "ULTOR 2"
"VEHICLE_PAINT_LICENSE_PLATES": "POZNÁVACÍ ZNAČKY"
"HAIR_COLOR_GREEN_MATTE": "MATNÁ ZELENÁ"
"CUST_VARIANT_LARGE_STRIPES": "VELKÉ PRUHY"
"VEHICLE_COLOR_ATLANTIC_TEAL": "ATLANTICKÁ MODROZELENÁ"
"CUST_WEAR_TUCKED": "ZASTRČENÉ"
"CUST_ITEM_IMPRESSIONS_FEMALE_K": "IMPRESSIONS ŽENA K"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOC": "TRIČKO CROOKS & CASTLES C"
"CUST_MORPH_CAT_JAW": "ČELISTI"
"CUST_COMP_EYE_MAKEUP_14": "SFINGA"
"SLOT_MIRRORS": "ZRCÁTKA"
"HAIR_COLOR_YELLOW_MATTE": "MATNÁ ŽLUTÁ"
"CUST_WEAR_UNZIPPED_HOOD_DOWN": "ROZEPNUTÉ, KAPUCE DOLE"
"CUST_ITEM_CF_NLMF_FOOT_F_VICTORIANBOOTS": "STEAMPUNKOVÉ VIKTORIÁNSKÉ BOTY"
"STORE_WEAPON_NAVIGATE": "NAVIGACE"
"SK03": "SKIN03"
"CUST_VARIANT_SMALL_FLOWERS": "MALÉ KVĚTINY"
"CUST_WEAR_BUTTONED_HOOD_DOWN": "ZAPNOUT, KAPUCE DOLE"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRTLOWV": "TRIKO A BUNDA HILLS"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO": "STATAGEM KOMBINACE"
"CUSTOM_WALK_3": "LUMP STYL 2"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_2": "Větší počet raket."
"CUST_TATTOO_LOWBACK_4": "KŘIVKA, VYSOKO"
"CUST_COLOR_FLESH_4": "PŘIROZENÁ 4"
"CUST_WEAR_HALF OPEN": "POLOOTEVŘENÉ"
"CUST_ITEM_CM_UBDY_M_THEROW": "ČLEN SVĚTCŮ"
"CUST_ITEM_CM_HAIR_SHORT": "ULÍZANÝ MANAŽER"
"CUST_ITEM_MINER_HAT": "MURDERBRAWLSKÁ MASKA"
"PLAYER_MORPH_FACE_DEPTH_TEXT": "HLOUBKA OBLIČEJE"
"CUST_TATTOO_UPPBACK_6": "DVĚ SVATÉ HRDLIČKY"
"CUST_COMP_FACE_MOLE_8": "PIHA 8"
"CUST_VARIANT_TWO_COLOR": "DVĚ BARVY"
"CUST_VARIANT_LEATHERLEATHER": "CVOČKOVANÁ KŮŽE"
"CUST_COLOR_WHITE": "BÍLÁ"
"CUST_ITEM_CM_PSJ_EYES_M_SHTRGLS": "RAPPERSKÉ BRÝLE"
"CUST_ITEM_CF_PSE_UBDY_F_GFXJERSEYCOMBO": "DÁMSKÝ SPORTOVNÍ SVETR"
"PLAYER_MORPH_BROW_ELEVATION_TEXT": "POSAZENÍ OBOČÍ"
"CUST_COMP_EYE_MAKEUP_3": "MONOKL NAPRAVO"
"RIM_188": "C-X 502"
"SLOT_DECAL_10": "POTISK 10"
"BRIGHT_GREEN": "SVĚTLE ZELENÁ"
"LOGO_NUMBER1": "ČÍSLO 1"
"LOGO_FEEDSUCK": "FEED DOGS JSOU SRÁČI"
"CUST_ITEM_CF_PSG_LWRST_F_SBAND": "POTÍTKO"
"HAIR_CAT_BALD": "PLEŠ"
"VEHICLE_COLOR_JET_BLACK": "RAKETOVĚ ČERNÁ"
"CUST_VARIANT_CLEAR": "JASNO"
"CUST_VARIANT_BAND": "OVÁZANÝ"
"CUST_ITEM_CF_IMPO_LBDY_F_SHORTS": "ŠORTKY URBAN SAFARI"
"CUST_ITEM_CF_NLMD_LBDY_F_PANTS": "HIPSTERSKÉ DŽÍNY"
"SURGEON_CAT_MORPHS": "VZHLED"
"CUST_COLOR_CLOTHING_GREYS_1": "ŠEDÁ 1"
"VEHICLE_COLOR_YELLOW_DARK_TINT": "TMAVĚ ŽLUTÝ NÁDECH"
"CUST_WEAR_LOW_LEFT_ROLLED_RIGHT_ZIPPED": "SROLOVAT LEVOU, NÍZKO"
"CUST_WEAR_FINGER_LR": "LEVÝ PRSTENÍČEK"
"CUST_TATTOO_RIGHT_SHOULDER": "PRAVÉ RAMENO"
"CUST_TATTOO_LCALF_3": "PLAVEJ DÁL"
"LOGO_PEACE": "MÍR"
"CUST_VARIANT_WIDOWS_PEAK": "VDOVSKÝ HŘEBEN"
"CUST_VARIANT_MATERIAL_9": "CUST_VARIANT_MATERIAL#9"
"CUST_ITEM_FEMALE_NLM_EARRINGS_1": "NÁUŠNICE KVĚTINOVÁ SÍLA"
"PLAYER_CREATION_FIGURE_OVERWEIGHT": "NADVÁHA"
"PLAYER_MORPH_CROWN_LENGTH_TEXT": "DÉLKA TEMENE"
"CUST_INSULT_O": "MAŠKARNÍ"
"CUST_MORPH_CAT_CHIN": "BRADA"
"PLAYER_MORPH_CAUCASIAN_TEXT": "BĚLOCH"
"STORE_WEAPON_OWNED_NOT_EQUIPPED": "{0} ÚROVEŇ {1}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_3": "Zvyšuje kadenci a sílu zbraně."
"RIM_STANDARD": "STANDARDNÍ PROFIL"
"CUST_VARIANT_SMALL_3_STRIPES": "TENKÉ PRUHY"
"CUSTOM_WALK_FEMALE_5": "HOPSAVÝ"
"CLOTHES_IMPRESS": "IMPRESSIONS"
"CUST_TATTOO_RHAND_8": "RUKA - TETOVÁNÍ P8"
"CUST_TATTOO_CHEST_3": "UNIVERZÁLNÍ HLAVONOŽEC"
"PAINT_TRIM_AND_RIMS": "LAK, LEMOVÁNÍ A RÁFKY"
"RIMS_AND_TRIM": "RÁFKY A LEMOVÁNÍ"
"CUST_ITEM_CM_LPE_PACK_M_MBACKPACK": "IMPERIÁLNÍ BATOH"
"FACIAL_EXPRESSION_INSANE": "ŠÍLENÝ"
"CUST_COMP_FACE_MAKEUP_8": "LEOPARD"
"LOGO_BAT_1": "NETOPÝR 1"
"CUST_VARIANT_BELT": "BEZ VZORU"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_5": "MALÉ KROUŽKOVÉ NÁUŠNICE"
"CUST_ITEM_CF_IMPQ_WRST_F_LATEXBRACE": "LATEXOVÝ NÁRAMEK IMPRESSIVE"
"CUST_COMPLIMENT_KING": "KRÁL"
"CUST_MENU_MOVEMENT": "OSOBNOST"
"CANT_WEAR_BELTS": "PÁSKY MŮŽEŠ NOSIT POUZE K NĚKTERÝM KALHOTÁM"
"PLAYER_CREATION_MENU_4": "VLASY"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_5": "ŽLUTOORANŽOVÁ 5"
"CUST_TATTOO_LHAND_7": "RUKA - TETOVÁNÍ L7"
"CUST_COLOR_INDIGO_3": "INDIGOVÁ 3"
"CUST_COLOR_PURPLE_2": "FIALOVÁ 2"
"CUST_ITEM_TOILET": "TOALETA"
"CUST_ITEM_LEATHER_LACE_FEMALE_S": "TEMNÁ PANNA"
"CUST_ITEM_CM_PSF_LBDY_M_BSHORTS": "BASKETBALOVÉ ŠORTKY"
"PLAYER_MORPH_SATURATION_TEXT": "SYTOST"
"CUSTOMIZATION_TITLE": "ÚPRAVA POSTAVY"
"CUST_COLOR_CLOTHING_VIOLET-RED_9": "ČERVENOFIALOVÁ 9"
"CUST_COLOR_CLOTHING_BROWNS_8": "HNĚDÁ 8"
"VEHICLE_COLOR_BRETON_GREEN": "BRETONSKÁ ZELENÁ"
"LOGO_FUZZ": "Poliš"
"CUST_VARIANT_CAMOUFLAGE": "KAMUFLÁŽ"
"CUST_ITEM_CF_HAIR_CORNROWS_1": "PROUŽKY"
"CUST_ITEM_CM_NLMA_HAT_M_SPHAT": "KLOBOUK POCTIVÉHO ABEHO"
"CUST_SKIN_GOLD": "ZLATÝ"
"CUST_COMP_MALE_EYEBROWS_5": "ZLÝ GÉNIUS"
"COMPONENT_OPTION_8": "VARIANTA 8"
"HAIR_COLOR_ORANGE_MATTE": "MATNÁ ORANŽOVÁ"
"LOGO_RUSTY_S_NEEDLE_2": "RUSTY'S NEEDLE 2"
"CUST_WEAR_UNBUTTONED_HOOD_UP": "ROZEPNUTÉ, KAPUCE NAHOŘE"
"CUST_ITEM_CM_IMPE_HAT_M_PAN_FEDORA": "FEDORA SOUTH BEACH"
"CUST_ITEM_CF_LLK_FOOT_F_LATEXBOOTS": "ŽHAVÉ BOTY"
"CUST_ITEM_CM_LPG_MASK_M_MASKAPE": "OPIČÁK"
"PLAYER_OLD_TEXT": "STARÝ"
"PLAYER_MORPH_CHIN_CREASE_TEXT": "RYSY BRADY"
"PLAYER_MORPH_BROW_HEIGHT_TEXT": "VÝŠKA OBOČÍ"
"CUST_TATTOO_NECK_8": "ČERNÁ LABUŤ"
"HAIR_COLOR_BLACK_MATTE": "MATNÁ HNĚDÁ"
"LOGO_NUMBER_13": "ČÍSLO 13"
"CUST_ITEM_CF_SUIT_CYPHERSUIT": "ULTORSKÝ VRAH"
"CUST_ITEM_CF_NLMC_LBDY_M_SKIRTPANTS": "GOTICKÉ KALHOTY"
"CUST_ITEM_CM_HAIR_CAESAR": "ŘÍMAN"
"CUST_FACIAL_EXP_BASHFUL": "OSTÝCHAVÝ"
"CUST_COLOR_CLOTHING_ORANGE_2": "ORANŽOVÁ 2"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_UNZIPPED": "OBOJÍ ROZEPNOUT, VYSOKO"
"CUST_ITEM_CF_DLC_WP_UBDY_F_UPPER": "VRŠER PRINCEZNY BOJOVNICE"
"CUST_ITEM_CF_NLMH_PACK_F_CATBACKPACK": "OŠKLIVÁ KOČIČKA"
"PLAYER_MORPH_NOSTRIL_ELEVATION_TEXT": "POSAZENÍ NOSNÍCH DÍREK"
"PLAYER_MORPH_LOWER_LIP_SHAPE_TEXT": "TVAR SPODNÍHO RTU"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_2": "Holografický zaměřovač pro přesnější mířenou střelbu a vyšší síla zbraně."
"VEHICLE_COLOR_RED_DARK_TINT": "TMAVĚ RUDÝ ODSTÍN"
"RIM_180": "SD DCY15"
"LOGO_NUMBER9": "ČÍSLO 9"
"LOGO_SAINTSBEER": "PIVO SVATÝCH"
"CUST_VARIANT_HEARTS": "SRDCE"
"CUST_VOICE_ZOMBIE": "ZOMBIE"
"CUST_SEX_APPEAL": "SEX APPEAL"
"CUST_VARIANT_STRETCH_TOP": "STYL 1"
"CUST_TATTOO_LEFT_LEG": "LEVÁ NOHA"
"CUST_MENU_COLOR": "BARVA"
"PLAYER_CREATION_FIGURE_SLENDER": "ŠTÍHLÁ"
"PLAYER_MORPH_EAR_INSIDE_TEXT": "VNITŘEK UCHA"
"CUST_TATTOO_RFORARM_1": "NAJDI ROVNOVÁHU"
"VEHICLE_COLOR_WILDLIFE_GREEN": "PŘÍRODNĚ ZELENÁ"
"CUST_VARIANT_NAILS_B": "NEHTY 2"
"CUST_ITEM_CM_SUIT_NORMALTESTSUIT": "BĚŽNÝ TESTOVACÍ OBLEK"
"SLOT_SEATS": "SEDAČKY"
"CUST_VARIANT_PATTERN2": "STYL 2"
"CUST_ITEM_BLOWUPDOLL": "NAFUKOVACÍ PANNA"
"CUST_ITEM_MALE_NLM_OUTFIT_C": "FLÁKAČKA"
"PLAYER_MORPH_NOSTRILS_ELEVATION_TEXT": "ZDVIH NOSNÍCH DÍREK"
"PLAYER_MORPH_CHIN_BULGE_TEXT": "VYKLENUTÍ BRADY"
"CUST_VARIANT_PATTERN_1": "STYL 1"
"CUST_INSULT_G": "MARIŇÁK"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_SIZE_TEXT": "VELIKOST STŘEDU HORNÍHO RTU"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_2": "Větší síla."
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_3": "Zvětšení zásobníků."
"CUST_TATTOO_RCALF_4": "PAMATUJ NA MNE"
"CUST_TATTOO_LARM_3": "BRATRSTVO"
"CUST_TATTOO_LUPPARM_1": "A DYNAMIT UDĚLÁ BUM"
"CUST_COMP_FACE_FRECKLES": "PIHY"
"CUST_COMP_FEMALE_EYEBROWS_3": "NAKRESLENÉ"
"COMPONENT_ADD_TIRE_DURABILITY": "ŽIVOTNOST PNEUMATIKY"
"SLOT_FAIRINGS": "ZAKRYTOVÁNÍ"
"LOGO_RHOMBUS": "KOSOČTVEREC"
"CUST_VARIANT_THICK_TRI_COLOR": "ŠIROKÁ TRIKOLORA"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR": "KOŽENÁČE"
"CUST_CAT_RING": "PRSTENY"
"CUST_INSULT_JERK": "VYPADNI"
"CUST_COLOR_CLOTHING_GREYS_9": "ŠEDÁ 9"
"BRIGHT_YELLOW-GREEN": "SVĚTLE ŽLUTOZELENÁ"
"CUST_VARIANT_CMSHO_UUTIBOOT01": "PLÁTNO"
"CUST_VARIANT_STRIPES_1": "PROUŽKY 1"
"CUST_VARIANT_BEADS": "PERLY"
"CUST_ITEM_CM_LLK_UBDY_M_BATHROBE": "ŽUPAN"
"CUST_UNDERWEAR": "SPODNÍ PRÁDLO"
"CUST_SKIN_ORC": "ZELENÝ ORK"
"CUST_VARIANT_09_DEFAULT": "VARIANTA 9"
"CUST_VARIANT_PLAID_1": "PLÉD 1"
"CUST_VARIANT_MATERIAL_1": "CUST_VARIANT_MATERIAL#1"
"CUST_WEAR_FINGER_RI": "PRAVÝ UKAZOVÁČEK"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHRTTIE": "VYŠŠÍ TŘÍDA"
"CUST_ITEM_FEMALE_PS_EARRINGS_1": "NÁUŠNICE S LILIÍ"
"CUST_COMPLIMENT_H": "HOUSE PARTY"
"CUST_ITEM_CF_LPH_UBDY_F_VARSITYCHEER": "TRIČKO VARSITY SPIRIT"
"VEHICLE_COLOR_BAY_YELLOW": "SLÁMOVĚ ŽLUTÁ"
"RIM_184": "V-F 603"
"CUST_VARIANT_MATERIAL_24": "CUST_VARIANT_MATERIAL#24"
"CUST_ITEM_CM_PSE_EYES_M_SHADES": "GANGSTERSKÉ BRÝLE"
"CUST_ITEM_BIKER_HELMET": "KULICH"
"FACIAL_EXPRESSION_ROGUISH": "ZLOTŘILÝ"
"FACIAL_EXPRESSION_FEARFUL": "VYSTRAŠENÝ"
"CUST_BRO_TAUNT_A": "URÁŽKA BRATRSTVA 1"
"VEHICLE_COLOR_BELIZE_GREEN": "BELIZSKÁ ZELENÁ"
"MALE_OVERWEIGHT": "TLUSTÝ MUŽ"
"CUST_RACE_ASIAN": "ASIAT"
"CUST_ITEM_CF_IMPR_FOOT_F_HEELS": "BOTY NA PODPATKU HILLS"
"CUST_ITEM_MALE_NLM_OUTFIT_G": "DEPRESIVNÍ NEZÁVISLÝ"
"CUST_ITEM_CF_BOBINEYE": "PATKA PŘES OKO"
"FACIAL_EXPRESSION_SNEER": "UŠTĚPAČNÝ"
"PLAYER_CREATION_FIGURE_BODYBUILDER": "KULTURISTICKÁ"
"CUST_TATTOO_RFORARM_5": "FIALOVÁ VÍLA"
"CUST_COMP_FACE_MOLE_4": "PIHA 4"
"CUST_VARIANT_MATTE": "MATNÁ"
"CUST_VARIANT_THE_FADE": "VYBLEDLÉ"
"CUST_ITEM_CM_LPC_UBDY_M_HEROFALCON": "SOKOLNÍK"
"CUST_CAT_NECKLACE": "NÁHRDELNÍK"
"CUST_SKIN_GREY_4": "KAMENNÝ GOLEM"
"PLAYER_MORPH_CHIN_DIMPLE_TEXT": "DŮLEK NA BRADĚ"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_2": "Zvětšení zásobníků a síly zbraně. Holografický zaměřovač pro přesnější mířenou střelbu."
"CUST_TATTOO_LARM_7": "NINDŽA"
"CUST_TATTOO_LUPPARM_5": "NAVŽDY MOJE"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_3": "VÝRAZNÁ TANGA"
"CUST_ITEM_CM_PSC_LBDY_M_DICKIES": "PRACOVNÍ KALHOTY"
"SLOT_SIDE_SKIRT": "BOČNÍ PRAHY"
"CUST_VARIANT_CHILD_RWRIST": "STYL 2"
"CUST_VARIANT_LARGE_PLAID": "VELKÝ PLÉD"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_ROLLED": "Levou rozepnout, pravou srolovat, nízko"
"CUST_INSULT_C": "NA ZÁPAD A NAHORU"
"PLAYER_MORPH_NOSTRIL_THICKNESS_TEXT": "TLOUŠŤKA NOSNÍCH DÍREK"
"PLAYER_MORPH_CHEEKBONE_ELEVATION_TEXT": "POSAZENÍ LÍCNÍ KOSTI"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_3": "Zvětšení zásobníků. Přidává třetí hlaveň pro ještě ničivější potenciál."
"VEHICLE_PAINT_INTERIORS": "VNITŘEK"
"COMPONENT_OPTION_11": "VARIANTA 11"
"SLOT_DECAL": "POTISK"
"CUST_COLOR_GREEN_1": "ZELENÁ 1"
"LOGO_FISH": "RYBA"
"CUST_VARIANT_BONES": "VOODOO"
"CUST_VARIANT_MATERIAL_5": "CUST_VARIANT_MATERIAL#5"
"CUST_ITEM_CF_DLC_SUIT_F_BCAN": "OBLEK KRVAVÉ KANONESY"
"CUST_ITEM_CF_RING_F_ROCKERSET": "PRSTENY HEAVY METAL"
"CUST_ITEM_CM_NLMG_LBDY_M_LOOSEPANTS": "GANGSTERSKÉ KALHOTY"
"CUST_COMPLIMENT_L": "POŘÁD VĚŘÍM"
"PLAYER_MORPH_CHEEK_CREASE_TEXT": "RYSY TVÁŘE"
"CUST_VARIANT_01_DEFAULT": "VARIANTA 1"
"CUST_ITEM_CF_LLJ_FOOT_F_BIKERBOOTS": "MOTORKÁŘSKÉ BOTY OLD LADY"
"CUST_CAT_MAKEUP_FOREHEAD": "ČELO"
"SLOT_LIGHT_COVERS": "KRYTY SVĚTEL"
"CUST_ITEM_CF_LLJ_UBDY_F_LTHRJCKT": "BUNDA PRO MOTORKÁŘKU"
