"DROP_SPHERE": "DAR ESFERA"
"LOW_GRAVITY_DESC": "Los generadores de gravedad de Stilwater están al 25 %."
"CUST_REMOVE_ITEM_BODY": "¿Seguro que quieres eliminar este objeto?"
"PURCHASEABLE_PROPERTEY_FACTORY": "FÁBRICA"
"GARAGE_HELIPORT": "HELIPUERTO"
"HORDE_MODE_ALL_ENEMIES_KILLED": "¡Enemigos muertos!"
"STAT_WEAPON_RIFLE": "FUSIL"
"STAT_COOP_STRONGHOLDS_COMPLETED": "COOP.: FORTALEZAS REALIZADAS"
"GENERAL_YOU": "TÚ"
"HASH_631F9AA8": "JUEGO EXTRA COOPERATIVO: PUNTOS"
"MUSIC_ARTIST_UNKNOWN": "DESCONOCIDO"
"STAT_GARAGES_ACQUIRED": "GARAJES ADQUIRIDOS"
"STAT_CAT_MOUSE_KILLS": "GATO Y RATÓN: MUERTOS"
"STAT_RIFLE_SHOTS_FIRED": "DISPAROS DE FUSIL"
"CUST_GANG_NAME_COLLEGE": "UNIVERSITARIOS"
"GOD_MODE_DESC": "Eres imparable."
"ACT_CHOP_SHOP_LEAVE_FULL": "¿De verdad quieres salir del taller ilegal?"
"GARAGE_CAT_1": "CARROCERÍA"
"STORE_CLOTHING_STORE_MSG": "COMPRAR ROPA"
"STRONGHOLD_START_TEXT": "PULSA %s PARA INICIAR LA FORTALEZA DE %s"
"ADD_GANG_NOTORIETY_DESC": "Cada uso sube una estrella de mala reputación ante las bandas."
"Overcast": "CUBIERTO"
"TAXI_CONFIRM_PURCHASE_FULL": "¿Quieres comprar este coche por %ls?"
"MENU_SWAP_WEAPONS_CACHE": "DEPÓSITO DE ARMAS"
"STORE_TITLE_PURCHASING": "COMPRANDO"
"STAT_VEHICLES_HIJACKED": "VEHÍCULOS ROBADOS"
"STAT_HOSTAGE_CASH": "DINERO GANADO COMO SECUESTRADOR"
"CONTROL_ROTATE": "GIRAR"
"DROP_SANDSTORM": "DAR SANDSTORM"
"GIVE_DILDO": "DAR EL PENETRADOR"
"GIVE_GRENADE": "DAR GRANADA"
"TIME_SET_MIDNIGHT": "DEFINIR HORA MEDIANOCHE"
"STORE_CHOOSE_A_CATEGORY": "ELIGE UNA CATEGORÍA"
"STORE_ZOOM_ROTATE": "ZOOM / GIRAR"
"STAT_DRUG_PACKAGES_FOUND": "PAQUETES DE DROGA ENCONTRADOS"
"Coop Col1_NAME": "MARCADOR DE MODO COOPERATIVO"
"HASH_BD9681AC": "JUEGO EXTRA COOPERATIVO: MÁXIMO DE PUNTOS EN UNA RONDA"
"CONTROL_EXIT_PLAYER_CREATION": "SALIR DE CUERPO"
"CONTROL_OKAY": "ACEPTAR"
"CELL_NEWS_VAN": "EMISORA DE NOTICIAS"
"STORE_PRICE": "COSTE {0} $"
"STORE_TEXT_DISCARD_OUTFIT_WARNING": "Si quitas este objeto del armario ropero, también quitarás el traje al que pertenece."
"CRIB_WARDROBE_EXIT": "Salir del armario.\n\n¿Seguro?"
"STORE_EXIT_CLIPBOARD": "¿Salir del tablón de recortes?"
"STAT_HITMAN_TARGETS_ELIMINATED": "OBJETIVOS DE ASESINATO ELIMINADOS"
"STAT_BIKES_DESTROYED": "NÚMERO DE MOTOCICLETAS DESTRUIDAS"
"STAT_MELEE_KILLS": "MUERTOS EN COMBATE CUERPO A CUERPO"
"STATS_YES": "SÍ"
"ESCORT_NAME_8A": "DE ORO"
"HASH_84FAC22D": "RESPETO GANADO POR EXHIBIRTE"
"CELL_RUSTYS_NEEDLE": "RUSTY'S NEEDLE"
"LOW_GRAVITY": "GRAVEDAD BAJA"
"CUST_ICON_SUITS": "TRAJES"
"CUST_ICON_RINGS": "ANILLOS"
"CUSTOMIZE_ITEM_SAVE_CHANGES_EXIT_FULL": "¿Quieres guardar los cambios\nantes de salir?"
"STAT_SMG_SHOTS_FIRED": "DISPAROS DE SUBFUSIL"
"STAT_SWAT_KILLED": "SWAT MUERTOS"
"CONTROL_RETURN_TO_MAIN_MENU": "VOLVER AL MENÚ PRINCIPAL"
"CONTROL_ZOOM": "ZOOM"
"CONTROL_PURCHASE": "COMPRAR"
"MAP_ICON_CRIB_PURCHASE": "CASA A LA VENTA"
"CHEAT_CHARACTER_DESC": "Cambia a tu personaje por este otro."
"MUSIC_ELECTRONICA": "ELECTRÓNICA"
"POC2_WEAPON_UPGRADE_1": "MEJORAR ARMA - NIVEL 1"
"STORE_BUILD": "COMPLEXIÓN"
"COMPLETION_STYLE_BONUS": "BONIFICACIÓN DE ESTILO"
"PURCHASEABLE_PROPERTEY_THUNDER": "THUNDER PUMP"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "CAOS DE TANQUE: DAÑOS CAUSADOS"
"STAT_TIME_AT_MAX_POLICE_NOTORIETY": "TIEMPO EN MALA FAMA MÁXIMA CON LA POLICÍA"
"STAT_LONGEST_POWERSLIDE_TIME": "TIEMPO MÁS LARGO DE DERRAPE"
"STAT_TOTAL_MONEY": "TOTAL DE DINERO GANADO"
"ESCORT_NAME_19A": "BLASFEMIA"
"HASH_2B28212F": "CADENA DE HIDRÁULICOS MÁS LARGA"
"CONTROL_EXIT_WARDROBE": "SALIR DE ARMARIO"
"MAP_ICON_HITMAN": "SICARIO"
"GIVE_TEKZ10": "DAR TEK Z-10"
"TOD_CYCLE_DESC": "Cambia la hora del día."
"SAVELOAD_CONTINUE_NO_FILES_FOUND": "No se han encontrado partidas previamente guardadas. \n¿Iniciar nueva partida?"
"STORE_UNDERWEAR_WARNING": "ATENCIÓN"
"WPNSTOR_TITLE_FRIENDLY_FIRE": "FRIENDLY FIRE"
"HORDE_MODE_WEAPON_UPGRADE_TITLE": "¡Arma principal mejorada!"
"SP Vehicle Jumps Col3_NAME": "MARCADOR DE SALTOS CON VEHÍCULOS"
"SP Diversion Stars Col2_NAME": "MARCADOR DE DISTRACCIONES"
"SP Time Col3_NAME": "MARCADOR DE TIEMPO DE PARTIDA"
"HASH_745E5BB0": "MARCA DE MUERTE: CADENA DE MUERTOS MÁS LARGA"
"GIANT_PLAYER": "SOY GIGANTE"
"SUPER_SAINTS": "SÚPER SAINTS"
"BUILDING_PURCHASE_CASH_PER_HOUR": "{0} $ POR HORA"
"CRIB_HUD_DOCK_NAME": "MUELLE DE EMBARCACIONES DE RONDINI"
"VEHICLE_ADVANCED": "%s (AVANZADO)"
"GARAGE_CAT_5": "DETALLES"
"STAT_CAT_MOUSE_TIME": "GATO Y RATÓN: TIEMPO EMPLEADO"
"STAT_FRAUD_CASH_CLAIMED": "FRAUDE AL SEGURO: DINERO SOLICITADO"
"STAT_DIVERSION_CASH_EARNED": "GANADO EN DISTRACCIONES"
"STAT_BASE_OWNED": "PARACAÍDAS CONSEGUIDO"
"SP Kills Col1_NAME": "MARCADOR DE MATA TODO LO QUE SE MUEVE"
"CAR_MASS_HOLE_DESC": "Tu vehículo tiene masa infinita y destroza los vehículos con los que choca."
"PLAYER_PRATFALLS_DESC": "Usa {SHOULDER_CAMERA_IMG}/{ATTACK_PRIMARY_IMG} para darte un batacazo, como en Fraude al seguro."
"BUILDING_PURCHASE_DISCOUNT": "{0}%%% DE DESCUENTO"
"GANG_CUST_SLOT_1": "RANURA 1"
"STORE_CAR_MECHANIC_MSG": "VISITAR AL MECÁNICO"
"STAT_NEIGHBORHOODS_EXPLORED": "BARRIOS EXPLORADOS"
"ESCORT_NAME_32B": "MATRIARCA"
"GIVE_RPG": "DAR LANZACOHETES"
"DROP_AMBULANCE": "TRAER AMBULANCIA"
"PREVIEW_UNAVAILABLE": "VISTA PREVIA NO DISPONIBLE"
"VCUST_TIRE_TREAD_OPTION": "DIBUJO DE NEUMÁTICO"
"STAT_SHORTCUTS_FOUND": "ATAJOS ENCONTRADOS"
"STAT_MISSIONS_FAILED": "MISIONES FALLIDAS"
"STAT_CAT_MOUSE_DEATHS": "GATO Y RATÓN: MUERTES PROPIAS"
"STAT_COOP_TIME_PLAYED": "COOP.: TIEMPO DE JUEGO"
"STAT_COMBAT_MOTORCYCLE_RESPECT": "RESPETO GANADO POR MUERTOS POR ESPADA EN MOTOCICLETA"
"STAT_MAX_STUNT_JUMP_DISTANCE": "DISTANCIA MÁXIMA DE SALTO"
"CONTROL_BTN_START": "START"
"DROP_MIAMI": "DAR MIAMI"
"ACHIEVES_GAIN_BLANK": "¡Has conseguido el siguiente logro: %s!"
"ESCORT_NAME_30B": "NORRIS"
"CUST_TITLE_OUTFIT_CREATION": "CONFIRMACIÓN DE CREACIÓN"
"HASH_D25D9734": "DISTANCIA DE IMPACTO MÁS LARGA"
"CUST_GANG_NAME_CROSS": "TRAVESTIS"
"BLOODY_MESS_DESC": "Todo al que matas explota."
"REPAIR_CAR_DESC": "Repara todos los daños de tu vehículo."
"PURCHASEABLE_PROPERTEY_PAWN2": "PLAN B PAWN SHOP"
"GARAGE_REPAIR_MUST": "NO PUEDES PERSONALIZAR TU COCHE MIENTRAS NO ESTÉ COMPLETAMENTE REPARADO"
"STAT_TIME_AT_MAX_DECKER_NOTORIETY": "TIEMPO EN MALA FAMA MÁXIMA CON DECKERS"
"STAT_SURFING_RESPECT": "RESPETO GANADO POR SURFEO DE VEHÍCULOS"
"STAT_COMBAT_NUTSHOT": "TIROS EN LA ENTREPIERNA"
"Partners in Crime_NAME": "SOCIOS EN EL CRIMEN"
"PAUSE_MAP_ICONS_ON_OFF": "MOSTRAR / OCULTAR ICONOS"
"GANG_NEUTRAL": "NEUTRAL"
"TAT_REG_L_FOREARM": "ANTEBRAZO IZQ."
"HORDE_MODE_NEW_TEXT": "¿Seguro que quieres reiniciar el modo Hordas?"
"STAT_SNATCH_LEVELS_COMPLETED": "CHULEO COMPLETADO"
"ESCORT_NAME_36B": "OBISPO"
"CELL_RIM": "RIM JOBS"
"GIVE_CYBER": "DAR CYBER BUSTER"
"PLAYER_CREATION_SAVE_CHANGES_EXIT_TEXT_FULL": "¿Quieres guardar los cambios\nantes de salir?"
"STORE_EXIT": "SALIR"
"HORDE_MODE_TITLE_FINAL_COMPLETE": "OLEADA FINAL SUPERADA"
"STAT_BRUTES_KILLED": "GORILAS MUERTOS"
"ESCORT_NAME_28A": "MALVADO"
"vandalism": "CAOS"
"HASH_2B25A437": "PERSONAS ANTE LAS QUE TE HAS EXHIBIDO"
"CONTROL_NO": "NO"
"GIVE_SNIPER": "DAR MCMANUS 2015"
"HUD_RETRY_ACTIVITY_MESSAGE_FULL": "Si vuelves a empezar una actividad perderás todas las armas y el respeto conseguidos en ella."
"VEHICLE_PRICE": "PRECIO"
"WPNSTOR_TEXT_MELEE_ONLY_ONE_BLANK": "Solo puedes llevar un \"%s.\""
"STAT_COOP_REVIVES": "COOP.: REANIMACIONES DEL JUGADOR"
"STAT_STRONGHOLDS_COMPLETED": "FORTALEZAS COMPLETADAS"
"STAT_DRIVING_DRIFTING_DISTANCE": "DERRAPE MÁS LARGO"
"STAT_DRIVING_BIGAIR": "GRANDES SALTOS"
"STAT_CUSTOM_ITEMS_OWNED": "ELEMENTOS DE PERSONALIZACIÓN CONSEGUIDOS"
"STAT_CHOPSHOP_COMPLETED": "TALLERES ILEGALES COMPLETADOS"
"ESCORT_NAME_34B": "MANTIS"
"SPStronghold": "JUGANDO {C10} FORTALEZA: {C6}"
"COMERCIAL_5": "15% DE DESCUENTO EN FRIENDLY FIRE"
"CUST_ICON_NECKLACES": "COLLARES"
"GARAGE_CUSTOMIZE_VEHICLE": "PERSONALIZAR"
"STORE_PLASTIC_SURGEON_MSG": "VISITAR AL CIRUJANO PLÁSTICO"
"HORDE_MODE_NEW_WAVE_MESSAGE": "OLEADA %i"
"STAT_BEST_WEAPON": "MEJOR ARMA"
"STAT_HOSTAGES_EXTORTED": "REHENES EXTORSIONADOS"
"ESCORT_NAME_26A": "SUMISO"
"RESTORE_PLAYER": "PC RESTABLECIDO A NORMAL"
"MUSIC_CLASSICAL": "CLÁSICA"
"PURCHASEABLE_PROPERTEY_PAWN": "SNOOKY'S SUNDRIES Y MÁS"
"PURCHASEABLE_PROPERTEY_COUNTERFITING": "COUNTERFITING"
"HORDE_MODE_REMAINING_ENEMIES_TAG": "ENEMIGOS RESTANTES"
"STAT_LAW_ENFORCEMENT_KILLED": "DEFENSORES DE LA LEY MUERTOS"
"SP Kills Col3_NAME": "MARCADOR DE MATA TODO LO QUE SE MUEVE"
"CUST_GANG_NAME_COWBOY": "VAQUERO"
"GIVE_SHEPERD": "DAR 45 SHEPERD"
"GIVE_MOLOTOV": "DAR CÓCTEL MOLOTOV"
"Infinite_Ammo": "MUNICIÓN INFINITA"
"GIVE_CASH": "DAR DINERO"
"MENU_SWAP_WEAPONS_STORE": "TIENDA DE ARMAS"
"STAT_WEAPON_PISTOL": "PISTOLA"
"STAT_COOP_TANDEM_DIVERSION_RECORDS": "COOP.: RÉCORDS DE DISTRACCIONES CONJUNTAS"
"STAT_TIME_PLAYED": "TIEMPO TOTAL DE JUEGO"
"ESCORT_NAME_24A": "ALZAMIENTO"
"SP Vehicle Jumps Col1_NAME": "MARCADOR DE SALTOS CON VEHÍCULOS"
"SP Time Col1_NAME": "MARCADOR DE TIEMPO DE PARTIDA"
"CUST_GANG_NAME_80S": "80"
"TATTOO_CONFIRM_PURCHASE_FULL": "¿Quieres comprar un tatuaje de \"%s\" en el %s por %s?"
"STORE_SWITCHING_TITLE": "CAMBIANDO A {0}"
"CONTROL_SAVE_AND_QUIT": "GUARDAR Y SALIR"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "FRAUDE AL SEGURO: DISTANCIA DE SALTO EN TOTAL"
"STAT_HIGHEST_RANK_ACHIEVED": "NIVEL MÁXIMO CONSEGUIDO"
"STAT_CAT_MOUSE_CASH_EARNED": "GATO Y RATÓN: DINERO GANADO"
"STAT_COMBAT_MULTI": "MUERTOS MÚLTIPLES"
"Coop Time Played_NAME": "TIEMPO DE JUEGO"
"CONTROL_RAISE_LOWER_CAMERA": "SUBIR/BAJAR CÁMARA"
"DROP_KNOXVILLE": "DAR KNOXVILLE"
"GOLDEN_GUN_DESC": "Matas de un disparo."
"GARAGE_REMOVE_VEHICLE": "BORRAR"
"STAT_UNARMED_KILLS": "DESARMADOS MUERTOS"
"STAT_TOTAL_CASH_SPENT": "DINERO GASTADO EN TOTAL"
"STAT_MAX_DRIVER_BAILOUT_DAMAGE_DONE": "DAÑO CAUSADO MÁXIMO DE SALTO EN MARCHA"
"ESCORT_NAME_22A": "TIROTEO"
"WARDROBE_REMOVE_CLOTHING": "¿Quieres quitar la demás ropa?"
"MAP_ICON_CHOP_SHOP": "TALLER ILEGAL"
"GIVE_PIMPSLAP": "DAR BOFETÓN"
"RAINING_PEDS": "LLUVIA DE PEATONES"
"WPNSTOR_LEAVE_FULL_WEAPON_CACHE": "¿De verdad quieres salir del depósito de armas?"
"GANG_CUST_GANG_SIGN_POSE": "MOVERSE"
"STAT_COMBAT_ENEMY_RESPECT": "RESPETO GANADO POR MATAR BANDAS ENEMIGAS"
"STAT_MAX_WHEELIE_DISTANCE": "DISTANCIA MÁXIMA DE CABALLITO"
"GIVE_BASEBALL": "DAR BATE DE BÉISBOL"
"CUST_ICON_OUTFITS": "CONJUNTOS"
"GANG_CUST_VEHICLE_TITLE": "VEHÍCULOS"
"PURCHASEABLE_PROPERTEY_CASINO": "CHUPACABRA CASINO"
"STAT_PARACHUTE_DISTANCE_TRAVELLED": "DISTANCIA DE PARACAÍDAS"
"STAT_DRIVING_WINDSHILED_RESPECT": "RESPETO GANADO POR CAÑONES DE PARABRISAS"
"STAT_MAX_STOPPIE_DISTANCE": "DISTANCIA MÁXIMA DE BURRITO"
"ESCORT_NAME_20A": "DE KING"
"CELL_EMERGENCY": "EMERGENCIA"
"GIVE_RESPECT_DESC": "Te da respeto al momento."
"GIVE_MINIGUN": "DAR MINIARMA"
"ACCEPT_GAME_INVITE_TEXT_FULL": "¿Realmente quieres aceptar la invitación a partida?\n(los progresos no guardados se perderán). "
"GANG_CUST_GANG_TAG_OPT": "ALIAS"
"WPNSTOR_TEXT_MAX_WEAPONS_CRIB": "No puedes llevar de tu casa más unidades del siguiente objeto: \"%s.\""
"STAT_TIME_AT_MAX_MORNINGSTAR_NOTORIETY": "TIEMPO EN MALA FAMA MÁXIMA CON MORNINGSTAR"
"STAT_DRIVING_DRIFTING": "DERRAPE"
"WARDROBE_REMOVE_CLOTHING_TITLE": "QUITAR DEMÁS ROPA"
"CONTROL_SIGN_IN": "INICIAR SESIÓN"
"PAUSE_MAP_PAN": "PANORÁMICA"
"GIVE_LAUNCHER": "DAR GL G20"
"CHEAT_CHARACTER_RESTORE_DESC": "Devuelve tu personaje a modo normal."
"MILK_BONES": "HUESOS DE LECHE"
"STORE_BRA_SUB_WARNING": "No puedes quitarte el sujetador que llevas puesto."
"VCUST_HUBCAP_OPTION": "TAPACUBOS"
"VCUST_SPINNER_NUMBER": "ASPAS {0}"
"PURCHASEABLE_PROPERTEY_CONDOS": "HIGH RISE CONDOS"
"CUST_ITEM_REMOVE_CLOTHING": "ELIMINAR TODA LA ROPA ACTUAL"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "ESPECIALISTAS LUCHADORES MUERTOS"
"STAT_MISSIONS_ATTEMPTED": "MISIONES INTENTADAS"
"STAT_SNIPER_HIT_PCT": "PORCENTAJE DE ACIERTOS DE FUSIL DE FRANCOTIRADOR"
"MAP_ICON_CLOTHING": "ROPA"
"NO_GANG_NOTORIETY": "SIN MALA REPUTACIÓN ENTRE BANDAS"
"TIME_SET_NOON": "DEFINIR HORA MEDIODÍA"
"VCUST_AXLES_TITLE": "EJES"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "FRAUDE AL SEGURO: DISTANCIA MÁXIMA DE SALTO"
"STAT_SURFING": "SURFEO DE VEHÍCULOS"
"ESCORT_NAME_25B": "FÉNIX"
"SPMission": "JUGANDO {C10} MISIÓN: {C4}"
"TAXI_TITLE": "SERVICIO DE TAXIS"
"DROP_WOODPECKER": "DAR WOODPECKER"
"GIVE_DIGGER": "DAR GRAVE DIGGER"
"PIMPS_AND_HOS_PEDS": "CHULOS Y CHICAS"
"WEATHER_DESC": "Cambia el clima."
"PURCHASEABLE_PROPERTEY_APARTMENTS": "DIXON'S REFUGE"
"CUSTOM_PREVIEW_UNAVAILABLE_POPUP": "VISTA PREVIA NO DISPONIBLE"
"STORE_TITLE_DISCARD": "DESHACERTE DEL OBJETO"
"HORDE_MODE_RETRY_TEXT": "¿Seguro que quieres volver a intentar esta oleada del modo Hordas?"
"HORDE_MODE_UNLIMITED_AMMO": "¡Cargador infinito!"
"STAT_TAUNT_GANG": "MIEMBROS DE BANDA PROVOCADOS"
"STAT_SPECIAL_AMMO_USED": "DISPAROS DE ARMAS ESPECIALES"
"ESCORT_NAME_39_A": "PUÑO DOBLE"
"NO_GANG_NOTORIETY_DESC": "Borra toda tu mala reputación ante las bandas."
"GIVE_STUNGUN": "DAR PISTOLA PARALIZANTE"
"WPNSTOR_TEXT_CRIB_TAKE_A_BLANK": "¿Quieres llevarte \"%s\"?"
"HORDE_MODE_TITLE_HIGHSCORE_NEW": "NUEVA PUNTUACIÓN MÁS ALTA"
"HORDE_MODE_TITLE_ZOMBIE_WAVE": "OLEADA ZOMBI"
"STAT_RPG_HIT_PCT": "PORCENTAJE DE ACIERTOS DE RPG"
"STAT_MAX_STUNT_JUMP_FLIP": "VUELO MÁXIMO DE SALTO"
"ESCORT_NAME_27B": "BATIDO"
"CRIB_SR_NAME": "BUHARDILLA DE SAINTS ROW"
"NEVER_DIE_DESC": "Nunca morirás."
"STORE_UPGRADES_REQUIRED": "REQUERIDO"
"NO_ITEMS_DISPLAY_NAME": "NO HAY OBJETOS"
"HORDE_MODE_TITLE_PLAYER_SCORES": "PUNTUACIONES JUGADOR"
"STAT_DRIVING_BAILOUT_DISTANCE": "SALTO EN MARCHA MÁS LARGO"
"GANG_POLICE": "POLICÍA"
"DROP_VTOL": "DAR VTOL"
"DROP_EAGLE": "DAR EAGLE"
"DROP_POCKETBIKE": "PEEWEE"
"EVIL_CARS_DESC": "Todos los coches intentan atropellarte."
"STORE_PRIMARY_COLOR": "COLOR PRIMARIO"
"STORE_ITEM_OWNED": "PROPIEDAD"
"STAT_SHOTGUN_SHOTS_FIRED": "DISPAROS DE ESCOPETA"
"STAT_MAYHEM_LEVELS_COMPLETED": "CAOS: SUPERADO"
"STAT_DRIVING_DRIFTING_RESPECT": "RESPETO GANADO POR DERRAPES"
"STAT_VEHICLES_DESTROYED": "VEHÍCULOS DESTRUIDOS"
"ESCORT_NAME_21B": "IMBÉCIL"
"CONFIRM_DELETE_OUTFIT": "¿Seguro que quieres borrar este traje?\nLa ropa seguirá en el armario ropero."
"MAP_IMG_TATTOO": "[format][scale:1.0][image:map_store_tattoo][/format]"
"GIVE_SATCHEL": "DAR CARGA PORTÁTIL"
"WPNSTOR_REPLACE_BLANK_WITH_BLANK": "¿Quieres sustituir \"%s\" por \"%s?\""
"CRIB_HUD_DOCK_PURCHASE": "COMPRAR EL MUELLE DE EMBARCACIONES DE RONDINI: {0} $"
"GANG_CUST_GANG_TAG_TITLE": "ALIAS DE BANDA"
"STORE_AMBULANCE_MSG": "SOLICITAR CURA"
"STAT_CAT_MOUSE_LONGEST_DEATH_STREAK": "GATO Y RATÓN: CADENA DE MUERTES PROPIAS MÁS LARGA"
"STAT_GANG_NOTORIETY_TIME": "TIEMPO CON LA PEOR REPUTACIÓN ANTE LAS BANDAS"
"WARDROBE_REMOVE_OUTFIT": "¿Quieres quitar este traje de tu armario ropero?"
"NO_COP_NOTORIETY_DESC": "Borra toda tu mala reputación ante la policía."
"ELEVATOR_TO_HEAVEN": "LAZO CELESTIAL"
"HITMAN_LOCATION": "UBICACIÓN OBJETIVO"
"DEALER_NO_PALETTE": "No hay selección de paleta disponible."
"STAT_MORNINGSTAR_SPECIALISTS_KILLED": "ESPECIALISTAS MORNINGSTAR MUERTOS"
"ESCORT_NAME_23B": "DILLOW"
"Coop Player Kills_NAME": "MUERTES DE OTROS JUGADORES"
"CONTROL_JOIN_GAME": "UNIRSE A PARTIDA"
"MAP_ICON_HUMAN_TORCH": "RASTRO LLAMEANTE"
"DROP_ESTRADA": "DAR ESTRADA"
"UNLIMITED_CLIP": "CARGADOR ILIMITADO"
"MUSIC_EASYLISTENING": "MÚSICA LIGERA"
"WEAPONSTORE_TEXT_CONFIRM_PURCHASE_AMMO_FULL": "¿Quieres comprar \"%s\" por %s?"
"MENU_SWAP_WARDROBE": "ARMARIO"
"VCUST_WHEELS_TITLE": "RUEDAS"
"PURCHASEABLE_PROPERTEY_CRACK": "CRACKHOUSE"
"CONTROL_QUIT_WITHOUT_SAVING": "SALIR SIN GUARDAR"
"GARAGE_NONE": "NO HAY COCHES EN EL GARAJE"
"HORDE_MODE_GAMEPLAY_TITLE": "MODO HORDAS"
"STAT_CARS_DESTROYED": "NÚMERO DE COCHES DESTRUIDOS"
"STAT_CHOPSHOP_CASH": "DINERO GANADO EN TALLERES ILEGALES"
"STAT_TOTAL_RESPECT": "TOTAL DE RESPETO OBTENIDO"
"STAT_BEAT_COPS_KILLED": "PATRULLEROS MUERTOS"
"ESCORT_NAME_31A": "REPTANTE"
"MAP_ICON_GUARDIAN_ANGEL": "ÁNGEL DE LA GUARDA"
"REPAIR_CAR": "REPARAR COCHE"
"SAVELOAD_FILE_NOT_LOADABLE": "Este archivo no puede cargarse porque está corrupto o es inválido."
"STORE_DETAIL_COLOR": "DETALLAR COLOR"
"GANG_CUST_GANG_STYLE_TITLE": "ESTILO DE BANDA"
"PURCHASEABLE_PROPERTEY_COLA": "JOE COLA FACTORY"
"TATTOO_REMOVE": "¿Quieres quitarte el tatuaje de tu %s?"
"HORDE_MODE_NEW_WAVE_MESSAGE_TITLE": "¡Nueva oleada!"
"STAT_MASCOTS_KILLED": "MASCOTAS MUERTAS"
"STAT_DRIVING_STOPPIE_TIME": "BURRITO MÁS LARGO"
"STAT_LONGEST_VEHICLE_SURF_HANDSTAND_TIME": "MAYOR SURFEO DE VEHÍCULO HACIENDO EL PINO"
"STAT_LONGEST_VEHICLE_SURFING_TIME": "TIEMPO MÁS LARGO DE SURFEO DE VEHÍCULOS"
"STAT_BAIL_MONEY": "PAGOS DE FIANZAS"
"CONTROL_CONTINUE": "CONTINUAR"
"GIVE_HAMMER": "DAR S3X HAMMER"
"DROP_GYRO": "GYRO DADDY"
"STORE_SECONDARY_COLOR": "COLOR SECUNDARIO"
"GARAGE_TEXT_INSUFFICIENT_FUNDS": "No tienes suficiente dinero para reparar este vehículo.\n¿Recoger, de todos modos?"
"CRIB_CUSTOMIZE_PURCHASE_PROMPT": "¿Quieres comprar {0} por {1} $?"
"VCUST_WHEEL_WIDTH_OPTION": "ANCHURA DE RUEDAS"
"TAT_REG_BACK": "ESPALDA"
"STAT_WEAPON_SNIPER": "FRANCOTIRADOR"
"STAT_COMBAT_MELEE_RESPECT": "RESPETO GANADO POR MUERTOS EN CUERPO A CUERPO"
"STAT_MAX_TWO_WHEELS_DISTANCE": "DISTANCIA MÁXIMA LADEADO"
"ESCORT_NAME_33A": "ROMANO"
"HASH_DF7D0B4B": "MARCA DE MUERTE: MUERTES PROPIAS"
"ZOMBIE_PEDS_DESC": "Todos los peatones son zombis."
"MUSIC_DANCE": "DANCE"
"STORE_TEXT_CONFIRM_PURCHASE_FULL": "¿Quieres comprar \"%s\" por %s?"
"PURCHASEABLE_PROPERTEY_SERVICE2": "PASSING GAS SERVICE STATION"
"STORE_TEXT_CONFIRM_PURCHASE_BLANK": "¿Quieres comprar este objeto?"
"HORDE_MODE_TEAM_SCORE": "PUNTUACIÓN"
"STAT_VEHICLE_BIKE": "MOTO"
"STATS_DISTANCE_FEET": "%0.2fft"
"STAT_DRIVING_BIGAIR_RESPECT": "RESPETO GANADO POR GRANDES SALTOS"
"STAT_HOMIES_RECRUITED": "COLEGAS RECLUTADOS"
"MAP_IMG_MECHANIC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"DROP_TAXI": "TRAER TAXI"
"CUST_ICON_LOWER_BODY": "PIERNAS"
"STORE_ZOOM": "ZOOM"
"VEHICLE_TYPE_TITLE": "TIPO DE VEHÍCULO"
"STAT_CAT_MOUSE_MOST_ROUND_DEATHS": "GATO Y RATÓN: MÁXIMO DE MUERTES EN UNA RONDA"
"STAT_CAT_MOUSE_WINS": "GATO Y RATÓN: VICTORIAS"
"ESCORT_NAME_35A": "SENTADO"
"GARAGE_REMOVE_PROMPT": "¿Seguro que quieres borrar este vehículo?"
"STAT_WEAPON_SPECIAL": "ESPECIAL"
"STAT_DRIVING_BURNOUT_RESPECT": "RESPETO GANADO POR QUEMAR RUEDAS"
"ESCORT_NAME_29B": "PRINCESA"
"CUST_ICON_TATTOO_ARMS": "TATUAJES DE BRAZOS"
"CUST_ICON_TATTOO_TORSO": "TATUAJES DE TORSO"
"CUST_ICON_HEAD": "CABEZA"
"STORE_NAME_GAS_STATION": "GASOLINERA"
"PURCHASEABLE_PROPERTEY_HOSTEL": "ODYSSEY HOSTEL"
"CUST_ITEM_DELETE_OUTFIT": "BORRAR CONJUNTO"
"HORDE_MODE_MENU_NEW_GAME": "NUEVA PARTIDA"
"STAT_DRIVING_STOPPIE": "BURRITOS"
"ESCORT_NAME_37A": "INVERSO"
"PAUSE_MAP_WAYPOINT_SET": "DEFINIR PUNTO INTERMEDIO"
"MAP_IMG_WEAPON": "[format][scale:1.0][image:map_store_gun][/format]"
"GOD_MODE": "MODO DIOS"
"MUSIC_ROCK": "ROCK"
"GANG_CUST_SLOT": "RANURA {0} - {1:TEXT_TAG_CRC}"
"STAT_WEAPON_SHOTGUN": "ESCOPETA"
