"Storye01_In_Crawl_02": "La storia dell'umanità."
"Story01_Zscene01_06_Josh": "Allora, qual è il piano di riserva? La buchiamo?"
"Story15_In_02_Player_BM": "È molto... intimo."
"Story09_Out_01_Killbane": "Che diavolo ti è saltato in mente, Matt?"
"Story21_In_10_Bobby": "Questa notte entrerà negli annali, Zach! Dopo la sua discutibile sconfitta per mano di Killbane alcuni anni fa, Angel si era eclissato. Se siete appassionati del MurderBrawl, questa potrebbe diventare la migliore notte della vostra vita."
"Story20_In_07_Viola": "Killbane non accetterebbe mai di affrontare Angel."
"Story17_In_03_Player_BM": "Perché no? Con la faccia di Cyrus e l'atteggiamento da stronzo, siamo a cavallo."
"Story14_In_09_Player_BM": "Dove si trovano?"
"Story11_Out_09_Monica": "Lei garantisca la sicurezza di Josh Birk, altrimenti troverò qualcuno che lo possa fare. Capito?"
"Story17_Zscene01_01_Cyrus": "Kia, sto tornando alla Thermopylae per interrogare la prigioniera. Non permetta a nessuno di avvicinarsi a lei."
"Story16_Zscene01_06_Player_BM": "Certo, ma nella vita reale sei un coglione con una tastiera."
"Story16_In_06_Player_BM": "Andiamo..."
"Story12_Out_01_Cyrus": "Controllate i corpi."
"Story01_In_03_Josh": "Non ti preoccupare. So cosa fare."
"Story17_Mid_05_Kia": "Mi servirebbe la sua firma per dei prototipi sui quali stavo lavorando."
"Story17_In_07_Player_BM": "Certo, tu e Pierce. Vi porto dentro."
"Story16_Zscene01_02_Player_BM": "Facile ridere quando ci si nasconde come conigli. Vieni fuori!"
"Story07_Zscene03_01_Angel": "Tu non sei uno dei bestioni di Loren."
"Story16_In_02_Player_BM": "Meno pericoloso che farsi sparare addosso."
"SH_Decker_10_Oleg": "Furbi..."
"Story08_Out_07_Killbane": "Calmati. Ce ne serviva soltanto una."
"Story14_In_05_Killbane": "Il piacere è tutto mio, Jane... e per favore, mi chiami Killbane."
"Story10_In_02_Viola": "Non abbiamo mai avuto l'occasione di parlare visto che sei un esperimento scientifico."
"Story16_Zscene02_01_Matt": "Aspetta!"
"Story06_Zscene01_03_Oleg": "L'ascensore va direttamente nel seminterrato... Sarà impossibile catturarlo."
"Story09_Out_05_Killbane": "Iniziamo a fare sul serio. Niente più mosse avventate. Studiamo il piano in ogni minimo dettaglio."
"Story09_Out_04_Matt": "Scusa amico. Che si fa adesso?"
"Story24_Out_03_Player_BM": "La battuta."
"Story09_Out_06_Killbane": "Ecco... Dunque... Ascoltami bene."
"SH_Morningstar02_05_Zimos": "Se è porno gratis per tutti, sono fottuto."
"Story08_Out_05_Kiki": "Se Phillipe ci dava carta bianca, un motivo c'è. Noi ce ne andiamo."
"Story02_In_26_Pilot": "Cosa diavolo sta..."
"Genki_Zach03": "Bisogna superare il Super Sparkle Lab del Professor Genki per divertirsi e guadagnare!"
"SH_Luchadore_02_Angel": "Perdere la maschera è un'onta per un Luchadores. Non posso semplicemente rubarla. Devo guadagnarmela."
"Story10_Out_08_Cyrus": "Grazie a tutti."
"Story10_In_11_Viola": "Che cos'è quel...?"
"Story07_In_14_Shaundi": "Aspetta e vedrai."
"Story07_In_13_Oleg": "Non siete pronti per affrontare i Syndicate."
"Story01_In_23_Gat": "Perfetto."
"CTO_Zimos02_03_Player_BM": "Ora che sanno che stiamo per prenderci i loro affari, dubito che siano dello stesso parere."
"Story01_Zscene02_06_Gat": "Lascia perdere. Gli passerà."
"Story21_In_08_Bobby": "UN MOMENTO! ODDIO! INCREDIBILE! QUELLO È ANGEL DE LAMUERTE!"
"Story16_Out_08_Killbane": "Ti darò delle ottime referenze."
"Story15_In_08_Kinzie": "Si può fare di peggio. Se Matt entrasse nella rete dei Deckers collegata alla rete elettrica centrale... sarebbero guai."
"Story14_In_10_Kinzie": "Non saprei. Stanno trasmettendo da un luogo non precisato."
"Story13_Out_06_Cyrus": "Se fosse stato facile, non avrei sprecato il suo tempo."
"SH_Morningstar01_03_Player_BM": "Giusto un paio di coglioni."
"CTO_Kinzie01_08_Kinzie": "Non ti potrò aiutare a eliminare i Deckers se non so dove si nascondono, quindi ho scritto un programma che individua il luogo in cui si trova ogni utente connesso."
"Story21_Zscene01_03_Bobby": "Lo stanno sbatacchiando come un sacco di farina."
"Story01_Zscene02_01_Josh": "Ragazzi, richiamate l'elicottero. Ho trovato un modo per aprire la cassaforte!"
"Story21_Out_03_Zach": "Stupefacente. Contro ogni previsione, i Saints sono ancora in gara!"
"Story19_In_26_Viola": "Comportati da persona matura."
"Genki_Both05": "NON È ETICO!"
"22_Choice_07_Kia": "Non voglio arrestarvi, sarebbe inutile. La gente deve svegliarsi e capire che voi farabutti siete una minaccia per gli innocenti."
"Story20_Out_04_Player_BM": "Smettila di rompere le palle e mettiti quella maschera."
"CTO_Pierce02_01_Player_BM": "Questo posto è diverso da quelli che frequenti di solito, Pierce."
"Story07_Zscene01_08_Player_BM": "Non c'è tempo, Zimos!"
"Story17_Out_13_Kia": "Posso essere sincera?"
"Story17_Out_01_Player_BM": "Questa è memorabile."
"Story16_Out_07_Killbane": "Matt."
"Story16_In_03_Kinzie": "A una pallottola si sopravvive, ma se la mente subisce uno shock su questa sedia diventerai un vegetale."
"Story09_In_04_Player_BM": "Lascia fare a me. Andiamo, voglio incontrare le mie nuove dipendenti."
"Story07_In_10_Shaundi": "Con quello che ha fatto al funerale di Johnny ha superato ogni limite."
"CTO_Kinzie02_02_Player_BM": "Buono a sapersi..."
"CTO_Pierce02_06_Pierce": "... ma scommetto diecimila dollari che si sta nascondendo in quel mega grattacielo."
"Story23_Out_13_Player_BM": "Hai ragione. A proposito: ci sarà bisogno di un nuovo sindaco. Che ne dici della nomina?"
"Story19_In_17_Oleg": "Cioè, in senso metaforico... la gente ossessionata dalle celebrità e ubriacata dai mass media, giusto?"
"Story19_In_12_Reynolds": "Viola dice che i Saints sono il meglio in città, quindi sono dalla vostra parte."
"SH_Morningstar01_05_Shaundi": "Datti una calmata e andiamo."
"Story06_Zscene01_01_Oleg": "L'ufficio di Loren è per di qua!"
"Story20_In_03_Shaundi": "Cioè, umiliarlo?"
"Story19_In_22_Player": "Far piazza pulita di zombi non è il nostro forte, ma ce ne occuperemo noi."
"Story19_In_11_Reynolds": "Scusa, bellezza."
"Story08_In_06_Player_BM": "Ha ragione."
"Story01_In_18_Josh": "Ma che cazzo di banda siete? Un gruppo di cagasotto! Dovreste farli tremare tutti e..."
"CTO_Kinzie02_06_Player_BM": "Puoi uscire dal nascondiglio. Ho pensato io ai Deckers."
"Story01_Zscene01_08_Josh": "CHE COSA?!"
"Story22_OutB_02_Cyrus": "Fermi là!"
"Story19_In_21_Reynolds": "Allora, che ne pensi?"
"Story15_Out_01_Player_BM": "Hai tutto ciò che ti serve?"
"Story13_Out_01_Cyrus": "Kia, mi riceve?"
"Story01_In_20_Player_BM": "Una svolta imprevista."
"Story01_In_05_Shaundi": "Quindi vedi di non tirartela troppo."
"Story07_Zscene01_02_Player_BM": "Oppure cercare un tizio con una zeta di strass sulla schiena."
"Story23_Out_02_Newscaster": "Mentre il governo non si è ancora pronunciato sull'attacco, abbiamo un comunicato..."
"Story20_In_10_Pierce": "Calmati, starai bene in tenuta da combattimento."
"Story11_Out_10_Cyrus": "Sì, signora."
"Story08_In_05_Pierce": "Shaundi, non possiamo essere in lutto per sempre. Prima o poi dovrai tornare in sella. Senza offesa, Zimos."
"Genki_Bobby04": "Per ogni uomo, donna e tigre colpita, i soldi in palio aumentano. Però attenzione a non colpire i panda, perché al pubblico non piacerà!"
"Story19_Out_02_Cyrus": "Ci sono state delle... complicazioni, senatore."
"Story19_In_07_Reynolds": "Viola, è questa la persona di cui mi parlavi?"
"Story08_Out_02_Viola": "Avevano ottime referenze."
"Story07_Zscene01_06_Player_BM": "Merda..."
"Story07_Zscene01_03_Pierce": "Mi prendi per il culo?!"
"Story17_Out_09_Monica": "Mi tenga informata, comandante."
"Story15_In_12_Kinzie": "Qualcosa di simile a questo."
"Story10_In_15_Cyrus": "Kia! Mi aggiorni."
"Story02_In_13_Phillipe": "Ma certo."
"Story02_In_03_Gat": "Cosa ci sta succedendo?"
"Story07_Zscene02_03_Pierce": "Perché mi devi far pensare a certe cose?"
"Story16_In_05_Kinzie": "Lo so. Posso procedere?"
"SH_Morningstar02_11_Zimos": "Non proprio. Metterò all'asta le tue prestazioni sessuali."
"Story08_Out_06_Matt": "Cazzo, Killbane...!"
"Story07_In_11_Oleg": "Gioca sporco, se ne fotte delle regole."
"Story02_In_23_Phillipe": "Per favore! Sono belga!"
"Story02_In_10_Kiki": "Con permesso...?"
"Story07_In_18_Shaundi": "Chi diavolo sono questi tizi?"
"CTO_Kinzie01_07_Player_BM": "Mi fai morire, Kinzie."
"Story23_Zscene01_02_Player_BM": "Ottimo atterraggio Cyrus."
"Story01_Zscene01_02_Shaundi": "Ugh..."
"Story23_In_01_Player_BM": "Abbiamo perso un sacco di uomini per arrivare fin qui e non è facile. Ma per lo meno sappiamo che Gat, ovunque sia, sta dando del filo da torcere a San Pietro."
"Story22_In_07_Player_BM": "Che diavolo succede?"
"Story15_In_13_Kinzie": "È uno dei computer più potenti che esistano in Nord America... e gli STAG ne hanno uno."
"Story22_Zscene01_07_Player": "Stronzate."
"CTO_Pierce01_04_Player_BM": "Quindi cos'è che devo guardare?"
"CTO_Pierce01_01_Pierce": "Guarda, capo..."
"Story24_Out_07_Asst_Director": "Ripartiamo dall'inizio!"
"Story22_In_04_Player_BM": "E quella che roba è?"
"Story20_In_08_Player_BM": "Ha più paura di Angel che di me?"
"CTO_Kinzie01_03_Player_BM": "Oh. Allora hai qualche novità sui Deckers?"
"Story22_In_03_Player_BM": "Fanculo, ne ho abbastanza di queste puttanate corporative. Chi sta vincen..."
"Story19_In_03_Player": "Dici sul serio?"
"Story17_Out_04_Shaundi": "E gli STAG?"
"SH_Decker_01_Kinzie": "Te lo spiego di nuovo, lentamente."
"Story13_Out_07_Kia": "Certo, signore..."
"Story11_Out_01_Josh": "Sono Joshua Birk. In TV recito la parte di Nyte Blayde, un vampiro incredibilmente attraente ma incompreso che ogni settimana rischia la vita per proteggere il mondo."
"Story07_Out_04_Player_BM": "I Syndicate dovranno rispondere di ciò che hanno fatto e... questa volta li prendiamo di petto."
"Story19_In_25_Player": "Porca troia, quel tipo è un dio!"
"Story17_Out_12_Cyrus": "Meraviglioso. Grazie Kia."
"Story10_In_18_Kia": "Sì, comandante."
"Story10_In_06_Viola": "Johnny è morto perché credeva di poter fare tutto da solo."
"Story03_Out_07_Shaundi": "Ti preoccupi dell'alloggio? Abbiamo le armi! Usiamole."
"Story21_In_09_Zach": "Angel De LaMuerte: faceva parte del duo dei cavalieri pallidi, a volte lo chiamavano l'araldo dell'Apocalisse che Cammina. Il lottatore più giovane ad essersi mai aggiudicato la coppa Super K è qui nell'arena di Steelport!"
"Story20_In_09_Shaundi": "Non ti offendere, ma non è che metti proprio paura."
"Story20_In_01_Player_BM": "Bene, basta coi giochetti. Voglio Killbane."
"Story19_In_23_Player": "Non hai paura di far incazzare gli STAG?"
"SH_Decker_05_Player_BM": "Un sedia... che?"
"Story07_Out_06_Killbane": "I barbari sono alle porte... Ci serve un generale, non un ambasciatore!"
"Story21_Zscene04_01_Player_BM": "Vuoi che io abbia pietà? Sottomettiti."
"Story19_In_05_Player": "Tesoro, se voglio fare casino, lo faccio e basta."
"SH_Decker_07_Kinzie": "I Deckers ne hanno una."
"Story15_In_11_Player_BM": "Cosa ti servirebbe?"
"Story08_In_02_Pierce": "Beh, se lo metti così, pare brutto."
"Story07_Out_09_Player_BM": "Visto che non conosciamo Steelport, ho portato qualche esperto. Questi sono Kinzie, Zimos e Angel."
"Story03_Out_05_Shaundi": "Fanculo, lo faccio per Johnny."
"Story02_In_24_Gat": "E allora fatti una fottuta zuppa di cavolini. Noi ce ne andiamo."
"Story22_Zscene01_01_Player": "Oh, cazzo!"
"CTO_Kinzie01_09_Player_BM": "Quindi è... fantastico?"
"CTO_Pierce01_07_Pierce": "Allora mi dovrai guardare le spalle."
"Story01_Zscene01_03_Gat": "Non riusciremo ad aprirla. Pronti con il piano di riserva?"
"Story22_OutB_13_Player_BM": "Allora gente... Quando abbiamo iniziato a dare la caccia a questo figlio di puttana, abbiamo detto che l'avremo seguito fino ai confini della Terra... e lo abbiamo fatto."
"Story15_In_16_Player_BM": "Un momento... quel moccioso è Matt?"
"Story07_Zscene01_04_Pierce": "Beh, cazzo. Più facile di così..."
"Story22_OutB_10_Player_BM": "Ti voglio bene anch'io, Cyrus."
"Story20_In_06_Player_BM": "Questo è un lavoro per Angel."
"Story15_In_15_Kinzie": "Dannazione..."
"Story14_In_13_Player_BM": "Ci pensiamo noi."
"Story01_In_07_Player_BM": "Fidati Birk: sarà molto reale."
"Story22_OutB_11_Pierce": "Allora, capo, che si fa? Si torna a Stilwater?"
"Story22_OutB_06_Cyrus": "Mi sta prendendo per il culo?"
"Story20_Out_03_Killbane": "Il meglio? Il meglio sarebbe battere Sway l'uomo ragno in un incontro in bilico su una passerella. Il meglio sarebbe difendere il titolo mondiale 13 volte in una sola notte. Il meglio sarebbe vincere un incontro all'ultimo sangue con due gambe rotte... Fidati, Icaro: stai volando troppo vicino al sole."
"Story17_Out_14_Kia": "Era ora che usassimo le maniere forti."
"Story10_In_12_Player_BM": "Guai in vista... Andiamo!"
"CTO_Kinzie02_09_Kinzie": "Abbiamo creato scompiglio. Potrai fare la tua mossa contro Matt Miller. Ma se vuoi che i Deckers se ne vadano davvero, c'è ancora molto da fare."
"Story19_In_19_Player": "Ti spiegherò tutto più tardi."
"Story12_In_06_Kid": "Mi farebbe l'autografo?"
"Story07_In_06_Pierce": "Non so chi sono questi tizi, ma galleggiano proprio bene."
"Story06_Out02_01_Player_BM": "Quel rosa non mi piace proprio."
"Story03_Out_01_Shaundi": "Che si fa adesso?"
"Genki_Zach07": "Se pensate che sia facile, non avete mai assistito a questa gara!"
"Story01_Zscene04_01_Player_BM": "Cazzo..."
"Story10_Out_06_Reporter_03": "Non era quello che..."
"SH_Morningstar02_08_Player_BM": "Molto modesto."
"Story05_In_02_Player_BM": "C'è uno stronzo nella mia piscina."
"Story06_Zscene01_04_Player_BM": "Fanculo."
"Story23_Out_10_Pierce": "Niente male, potresti presentare il meteo."
"Story23_In_05_Kinzie": "Oddio."
"Story22_Zscene01_06_Killbane": "Lo credi davvero? Eravate soltanto dei fottutissimi pagliacci che vendevano bibite e panini. Non ve ne fregava niente della gente, ma solo dei soldi. Io invece ho cambiato le cose."
"Story16_Out_09_Matt": "Oddio!"
"Story22_OutB_08_Monica": "Risponderò a tutte le vostre domande..."
"Story09_Out_02_Matt": "Mi era sembrato uno spreco perdere quelle ragazze."
"SH_Morningstar02_06_Player_BM": "Allora qual è il piano?"
"Genki_Zach09": "In bocca al lupo!"
"CTO_Zimos01_05_Player_BM": "Hai ragione."
"Story17_Out_15_Cyrus": "Due paroline, Kia: colpire e terrorizzare."
"Story13_In_11_Player_BM": "Ok, andiamo a caccia di STAG."
"Story07_Zscene02_07_Kinzie": "Ho trovato il tipo che ti dicevo..."
"Story19_Out_06_Cyrus": "Zombi e Monica Hughes...?"
"Story17_Out_06_Cyrus": "Sapeva che saremmo giunti alla legge marziale, vero?"
"Story16_In_01_Pierce": "Siamo pronti a fare un po' di casino nella realtà virtuale?"
"Story15_In_17_Matt": "Quel moccioso sarebbe il dio cibernetico che ha appena fatto schiantare il vostro elicottero."
"Story12_In_10_Player_BM": "Come facciamo a trovare Birk? Potrebbe essere ovunque."
"CTO_Zimos01_01_Player_BM": "Ehi Zim..."
"Story13_Zscene01_01_Cyrus": "Arrendetevi, abbiamo il controllo del perimetro."
"Story22_In_02_Pierce": "Ho sentito l'avvocato Lee. Vogliono che tu faccia un provino per Gangster nello spazio."
"Story21_Out_06_Killbane": "C'è di mezzo la mia reputazione!"
"Story17_Mid_09_Pierce": "Ma che cazzo!"
"Story03_Out_03_Shaundi": "Cosa? No... sono implicata anch'io."
"CTO_Angel02_01_Player_BM": "Una fottuta tigre?"
"Story10_Out_02_Reporter_01": "Per quanto tempo gli STAG occuperanno Steelport?"
"Story10_In_10_Oleg": "Sono sempre un gentiluomo."
"Story02_In_33_Gat": "Dettagli trascurabili. Tu pensa a difendere il capo! Vai! A questi ci penso io!"
"Genki_Bobby06": "Dopo aver raccolto una buona quantità di soldi, la porta del laboratorio si apre e il concorrente può andarsene."
"Story22_Zscene01_04_Killbane": "No no... La storia non finisce così, ma con il crollo del retaggio dei Saints e non sarà un evento sensazionale, ma un brusio sommesso."
"Story21_Zscene01_06_Bobby": "OH MIO DIO, UNA MOTOSEGA!"
"Story21_Out_07_Killbane": "Questa è la mia città! Io sono il suo Cesare!"
"CTO_Angel02_05_Player_BM": "Che cazzo ti è saltato in mente?"
"Story02_Zscene01_02_Gat": "Perfetto. Ci vediamo a Stil..."
"Story13_Out_03_Cyrus": "È presto. I Saints sono ancora a piede libero. Sto inviando delle informazioni segrete..."
"Story22_Zscene01_09_Player": "Mi divertirò a tapparti quella bocca."
"Story21_Zscene02_01_Player_BM": "Sei pronto per un bel primo piano?"
"Story01_Zscene02_03_Shaundi": "Josh, vuoi farci finire tutti in galera?"
"Story24_Out_06_Sci_Fi_Killbane": "La prossima volta andrà meglio."
"Story14_In_11_Shaundi": "Che lo dicessero, cazzo!"
"Story11_In_03_Pierce": "Dannazione...!"
"Story24_Out_10_Sound_Guy": "Motore!"
"Story23_Out_06_Player_BM": "Kinzie, sei pronta?"
"SH_Luchadore_01_Player_BM": "Che ci facciamo qui?"
"Story11_In_05_Pierce": "Non ci sperare. Che succede?"
"SH_Morningstar02_03_Monica": "L'iniziativa STAG rappresenta una pietra miliare nei nostri sforzi di riportare l'ordine sulle strade!"
"Story02_In_29_Gat": "C'è una mezza dozzina di tizi! Posso farcela."
"Story23_Out_16_Jane": "Anche in un luogo non estraneo alla violenza, l'assalto odierno alla città rappresenta uno dei momenti più bui della storia di Steelport."
"Story23_Out_05_Player_BM": "Con permesso..."
"Story20_Out_01_Killbane": "Signore e signori, guardate chi ci ha degnato della sua presenza."
"Story14_In_08_Anna": "Abbiamo capito."
"Story06_Out02_02_Oleg": "Preferiresti una tinta più maschile, tipo il viola?"
"Genki_Bobby08": "Oh, un'ultima cosa. Durante lo spettacolo è vietato fare pause, quindi per rimanere in gara, la prima cosa da colpire è il bersaglio del pronto soccorso."
"SH_Decker_08_Oleg": "Impossibile. Come fanno a nascondere il segnale?"
"SH_Morningstar02_13_Zimos": "Smettila di rompere le palle e sali sul furgone."
"Story07_In_07_Oleg": "Sono gli scagnozzi di Killbane."
"CTO_Kinzie02_10_Player_BM": "Ok, se avrò bisogno di altro aiuto te lo farò sapere."
"Story16_Zscene02_05_Player_BM": "Un'affermazione un po' vaga, Matt. Puoi fare di meglio."
"Story23_Out_01_Player_BM": "Kinzie, raduna tutti i Saints che riesci a trovare... Andiamo in missione."
"Story22_OutA_03_Pierce": "Ne è valsa la pena?"
"Story17_Out_03_Viola": "Ora possiamo concentrarci su Killbane."
"SH_Decker_09_Kinzie": "L'hanno nascosta qua."
"Story10_In_17_Cyrus": "Ricevuto. Contattami quando avrete la zona sotto controllo."
"Story08_Out_04_Kiki": "Senti un po', Matt. Tu che piano avevi? E tu invece, Eddie?"
"Story08_In_04_Shaundi": "Giuro che ti ficco quel coso in gola, così la smetti di parlare."
"Story07_Out_08_Killbane": "Come mi hai chiamato?"
"Story14_Out_04_Player_BM": "Io? Che cazzo ne so!"
"Story11_Out_06_Cyrus": "La guerra si vincerà colpendo e terrorizzando, senatore. Autorizzi l'uso del Daedalus e sarà tutto risolto."
"Story07_In_17_Monica": "Ti rendi conto? Sul ponte dedicato a mio marito! Non ho intenzione di calmarmi. Torno di corsa alla sede del Congresso. Convocherò una riunione d'emergenza. Se vogliono la guerra, l'avranno!"
"Story01_Zscene02_05_Shaundi": "Vuoi che lo riporti qui?"
"Story14_Out_07_Player_BM": "Lo so, lo so. È successo qualcosa di strano..."
"Story14_Out_03_Shaundi": "DANNAZIONE! Cos'hai fatto?"
"Story05_Out_02_Killbane": "Matt, non c'è niente di cui preoccuparsi."
"22_Choice_04_Player": "Angel, resta là fino al mio arrivo. Io... Dannazione..."
"Story03_Zscene01_01_Pierce": "... Mi piacciono le entrate in grande stile."
"Story23_Out_07_Kinzie": "Tutto pronto."
"Story19_Out_07_Cyrus": "Merda."
"Story17_Mid_01_Pierce": "La parte del prigioniero la fai tu la prossima volta."
"Story10_In_13_Viola": "Dannazione!"
"Story01_In_13_Gat": "Birk!"
"Story08_In_10_Pierce": "Tutto ok, bellezza?"
"CTO_Kinzie02_07_Kinzie": "Certo, abbassa la guardia e all'improvviso ti fanno passare per una spia o una che di notte batte le strade."
"SH_Morningstar02_07_Zimos": "Ho pensato a tutto io."
"CTO_Kinzie02_01_Kinzie": "Dovresti fare attenzione. Ti ho visto da duecento metri. Ci sono telecamere sparse in tutta la città."
"Story21_Out_08_Killbane": "... E suonerò la lira mentre la vedrò bruciare..."
"Story13_Out_04_Cyrus": "Bisogna fare pressione sui Saints. Mi porti il soggetto per l'interrogatorio."
"Story13_In_09_Oleg": "Con permesso, amico."
"Story07_Out_02_Matt": "Viola e Kiki erano il braccio destro del signor Loren. Non dovrebbe spettare a loro il..."
"22_Choice_02_Player": "Angel..."
"Storye01_In_Crawl_10": "Era solo una questione di tempo prima che qualcuno dichiarasse guerra ai Saints."
"Story17_Out_05_Pierce": "Abbiamo appena fatto saltare in aria una portaerei... Che altro potrebbero farci?"
"Story07_Out_11_Killbane": "Qualcosa. Qualsiasi cosa! Prima che io inizi a chiedermi perché sono circondato da buoni a nulla."
"Story05_In_01_Pierce": "A che stai pensando?"
"CTO_Zimos01_08_Zimos": "Sono qui per aiutarti, baby. Conosco ogni passo dei Morningstar. Possiamo mettere su una scuderia e al tempo stesso colpire le sorelle DeWynter."
"Story01_Zscene01_09_Josh": "Che idea del cazzo!"
"Story15_In_01_Kinzie": "Puoi accendere la luce."
"Story13_In_10_Pierce": "L'hai fatto apposta."
"Story12_In_08_Pierce": "Il fumetto di Johnny. Ha venduto i diritti di sfruttamento della propria immagine alla Ultor, ci faranno un film."
"Story02_In_05_Gat": "No, intendevo a noi. Birk ha ragione: siamo diventati dei cagasotto... Insomma, contratti cinematografici? Pubblicità? Il nome dei Saints in passato non era associato a profumi e bibite di merda."
"Story01_In_09_Gat": "Non ce n'è bisogno! Chi non si maschererebbe da Johnny Gat?"
"Genki_Zach01": "Salve Steelport! Benvenuti al Professor Genki's Super Ethical Reality Climax!"
"Story01_Zscene02_07_Shaundi": "Prendiamo l'elicottero per portarci via questa bellezza."
"Story22_Zscene01_08_Killbane": "Ascoltami bene: quando queste mani si stringeranno intorno al tuo collo, le tue ultime parole non saranno una preghiera a Dio, né un ultimo messaggio alla tua famiglia, ma saranno \"Grazie, Killbane\"."
"Story21_Zscene01_01_Bobby": "ODDIO! Angel è fuori del ring!"
"Story16_Zscene02_02_Matt": "Posso riscattare la tua reputazione, dimostrare che non hai distrutto il ponte."
"Story01_In_19_Josh": "CAZZO!!!"
"Story01_In_27_Shaundi": "Un bel sorriso!"
"Story02_Zscene01_03_Shaundi": "Johnny..."
"Story22_OutB_07_Monica": "Ha imposto la legge marziale e distrutto mezza città. I Saints hanno appena salvato un monumento prezioso. Con chi crede che si schiererà la gente?"
"Story15_In_14_Matt": "Grazie del suggerimento, agente Kensington."
"SH_Morningstar02_10_Player_BM": "Quindi dovrò fingere di avere un sacco di soldi?"
"Story13_In_07_Player_BM": "Shaundi, fai la brava."
"Story10_In_01_Oleg": "Non sapevo che ti interessasse l'arte, Viola."
"Story07_In_15_Player_BM": "Calmati, Shaundi. Oleg, che cosa suggerisci di fare?"
"Story07_In_05_Killbane": "Si entra in scena, ragazzi."
"Story02_In_04_Shaundi": "Ci hanno arrestato."
"22_Choice_10_Kia": "Vedremo se la gente ci crederà quando troverà Shaundi e Viola tra le macerie."
"Story21_Zscene04_03_Zach": "L'Apocalisse che Cammina ha preferito farsi spezzare il braccio piuttosto che sottomettersi, ma l'antagonista ha fatto l'impossibile!"
"Story16_Zscene02_04_Matt": "Ho il mondo sulla punta delle dita."
"Story19_In_10_Player": "Signore, ha tutta la mia ammirazione."
"SH_Decker_12_Kinzie": "Mi serve la sedia per fermare i Deckers."
"Story07_In_12_Player_BM": "Niente regole? Buono a sapersi."
"Story19_Out_03_Monica": "Complicazioni?! Non mi interessa. Voglio risultati!"
"Story11_Out_05_Monica": "La guerra sarà vinta con il cuore e con la mente, cara mia."
"Story10_In_09_Player_BM": "Sai giocare leale?"
"Story02_In_11_Phillipe": "Scopriteli."
"Story01_In_17_Shaundi": "Ehi... Non fare lo stronzo."
"CTO_Kinzie01_06_Kinzie": "Ho giocato col computer."
"Story19_Out_05_Monica": "Anche se il congresso accettasse, il dipartimento della sicurezza interna non lo permetterebbe mai! Non posso farci niente. Verrò a Steelport!"
"Story17_Out_02_Pierce": "Forse abbiamo esagerato."
"Story21_Zscene03_04_Bobby": "Abbiamo visto il volto dell'Apocalisse che Cammina e, ad essere sinceri, abbiamo notato una calvizie incipiente."
"Story01_Zscene02_04_Josh": "Eh? Mi avete proprio rotto il cazzo!"
"Story01_Zscene01_04_Player_BM": "Josh, vieni qui..."
"Story16_Out_05_Killbane": "Mi rendo conto di essere esigente. Matt, apprezzo la sincerità con cui hai espresso le tue preoccupazioni. La... dipartita di Viola e Kiki mi ha messo una gran voglia di uccidere qualcuno, sai?"
"Story11_In_01_Player_BM": "Chiudi tutto, dobbiamo muoverci."
"Story10_In_07_Player_BM": "Ma tu che ci guadagni?"
"Story02_Zscene01_01_Shaundi": "Johnny, stiamo per saltare!"
"Story11_In_06_Player_BM": "Qui non siamo al sicuro. Dovete sgomberare. Io cercherò di guadagnare tempo."
"Story10_In_14_Oleg": "Prima le donne."
"Story14_Out_09_Shaundi": "Impara a volare, cazzo!"
"Story19_Out_04_Cyrus": "Risultati? Allora autorizzi l'uso del Daedalus!"
"Story15_In_06_Kinzie": "Matt deve aver preso il controllo del computer di bordo. Lo avrà messo fuori uso con un IEM."
"Story10_In_03_Player_BM": "Cerca di non farlo incazzare."
"Story07_In_16_Oleg": "C'è altra gente che odia i Syndicate tanto quanto voi. Vi porterò da loro."
"Story02_In_21_Kiki": "Incasso lordo, ovviamente."
"Genki_Bobby02": "Allora vediamo le regole del gioco!"
"Story13_Zscene01_04_Cyrus": "Scordatevelo. Gli STAG hanno la missione di estirpare le gang da Steelport, ma sono io a decidere dove colpire. Liberate Birk e noi ci concentreremo sui Syndicate... così vi lasciamo respirare per un po'."
"Story22_OutB_01_Player_BM": "Torniamo a casa."
"Story17_Mid_08_Cyrus": "Grazie."
"Story17_In_08_Player_BM": "Pronti alla recita."
"SH_Decker_13_Player_BM": "Grazie."
"Story15_In_03_Pierce": "Non vedo il letto."
"Story08_Out_01_Killbane": "ZOCCOLE ASSASSINE?"
"Story02_In_32_Shaundi": "Johnny, non sai nemmeno usare un cambio manuale. Come speri di far volare un aereo?"
"Story16_Zscene02_06_Matt": "Dimmi il nome di una società che vuoi e sarà dei Saints. Voi otterrete di nuovo il vostro impero e io me ne andrò senza conseguenze."
"SH_Luchadore_04_Angel": "Facendo tutti a pezzi."
"Story14_In_01_Player_BM": "Che succede?"
"Story05_Out_03_Phillipe": "Esattamente, signor Killbane."
"Story01_In_15_Player_BM": "Sapete tutti cosa dovete fare."
"CTO_Angel01_03_Player_BM": "Fai come ti pare. Io preferisco un luogo con il riscaldamento funzionante."
"Story17_Out_10_Cyrus": "Certamente, signora."
"Story10_In_04_Viola": "Sentite, non sono qui per litigare. Dobbiamo collaborare."
"SH_Morningstar02_02_Monica": "Troveremo i responsabili di questo atto di terrorismo e li puniremo."
