"DROP_SPHERE": "SPHERE"
"STORE_UNDERWEAR_WARNING": "警告"
"WPNSTOR_TITLE_FRIENDLY_FIRE": "FRIENDLY FIRE"
"HORDE_MODE_WEAPON_UPGRADE_TITLE": "メイン武器がアップグレードされた！"
"SP Vehicle Jumps Col3_NAME": "車両ジャンプランキング"
"SP Diversion Stars Col2_NAME": "デバージョンランキング"
"SP Time Col3_NAME": "プレイ時間ランキング"
"HASH_745E5BB0": "デスタグ：最高連続キル数"
"GIANT_PLAYER": "ジャイアントギャングスタ"
"SUPER_SAINTS": "スーパーセインツ"
"BUILDING_PURCHASE_CASH_PER_HOUR": "1時間{0}ドル"
"CRIB_HUD_DOCK_NAME": "RONDINI'S BOAT DOCK"
"VEHICLE_ADVANCED": "%s（詳細）"
"GARAGE_CAT_5": "詳細"
"STAT_CAT_MOUSE_TIME": "キャット&マウス：プレイ時間"
"STAT_FRAUD_CASH_CLAIMED": "保険金詐欺：請求金額"
"STAT_DIVERSION_CASH_EARNED": "デバージョンで稼いだ金額"
"STAT_BASE_OWNED": "所有パラシュート"
"SP Kills Col1_NAME": "連続キルランキング"
"CAR_MASS_HOLE_DESC": "自分の車両の質量が無限になる"
"PLAYER_PRATFALLS_DESC": "{SHOULDER_CAMERA_IMG}／{ATTACK_PRIMARY_IMG}で保険金詐欺のようにコケる"
"BUILDING_PURCHASE_DISCOUNT": "{0}%%%ディスカウント"
"GANG_CUST_SLOT_1": "スロット1"
"STORE_CAR_MECHANIC_MSG": "車両を整備"
"STAT_NEIGHBORHOODS_EXPLORED": "探索した縄張り"
"ESCORT_NAME_32B": "メイトリアーク"
"GIVE_RPG": "ロケットランチャー"
"DROP_AMBULANCE": "AMBULANCE"
"PREVIEW_UNAVAILABLE": "プレビューできません"
"VCUST_TIRE_TREAD_OPTION": "タイヤのトレッド"
"STAT_SHORTCUTS_FOUND": "見つけたショートカット"
"STAT_MISSIONS_FAILED": "失敗したミッション"
"STAT_CAT_MOUSE_DEATHS": "キャット&マウス：デス"
"STAT_COOP_TIME_PLAYED": "協力プレイ：プレイ時間"
"STAT_COMBAT_MOTORCYCLE_RESPECT": "日本刀で倒して獲得したリスペクト"
"STAT_MAX_STUNT_JUMP_DISTANCE": "ジャンプ最長距離"
"CONTROL_BTN_START": "START"
"DROP_MIAMI": "MIAMI"
"ACHIEVES_GAIN_BLANK": "%sを達成した！"
"ESCORT_NAME_30B": "ノリス"
"CUST_TITLE_OUTFIT_CREATION": "作成の確認"
"HASH_D25D9734": "ヒップショット最長距離"
"CUST_GANG_NAME_CROSS": "ニューハーフ"
"BLOODY_MESS_DESC": "倒した相手が爆発する"
"REPAIR_CAR_DESC": "車両ダメージを完全に回復する"
"PURCHASEABLE_PROPERTEY_PAWN2": "PLAN B PAWN SHOP"
"GARAGE_REPAIR_MUST": "車両を修理しないとカスタマイズできません"
"STAT_TIME_AT_MAX_DECKER_NOTORIETY": "最大デッカー悪評度（時間）"
"STAT_SURFING_RESPECT": "カーサーフィンで獲得したリスペクト"
"STAT_COMBAT_NUTSHOT": "急所攻撃"
"Partners in Crime_NAME": "共犯者たち"
"PAUSE_MAP_ICONS_ON_OFF": "アイコン ON／OFF"
"GANG_NEUTRAL": "中立"
"TAT_REG_L_FOREARM": "左腕"
"HORDE_MODE_NEW_TEXT": "千人切りモードのメニューに戻りますか？"
"STAT_SNATCH_LEVELS_COMPLETED": "クリアしたスカウト"
"ESCORT_NAME_36B": "ビショップ"
"CELL_RIM": "RIM JOBS"
"GIVE_CYBER": "サイバーバスター"
"PLAYER_CREATION_SAVE_CHANGES_EXIT_TEXT_FULL": "終了する前に変更をセーブ\nしますか？ "
"STORE_EXIT": "終了"
"HORDE_MODE_TITLE_FINAL_COMPLETE": "最終ウェーブクリア"
"STAT_BRUTES_KILLED": "倒したブルート"
"ESCORT_NAME_28A": "ウィッキド"
"vandalism": "メイヘム"
"HASH_2B25A437": "フラッシングした人数"
"CONTROL_NO": "いいえ"
"GIVE_SNIPER": "マクマヌス 2015"
"HUD_RETRY_ACTIVITY_MESSAGE_FULL": "アクティビティをやり直すと、そのアクティビティで獲得した武器やリスペクトがすべて失われます"
"VEHICLE_PRICE": "価格"
"WPNSTOR_TEXT_MELEE_ONLY_ONE_BLANK": "%sは1つしか持てません"
"STAT_COOP_REVIVES": "協力プレイ：プレイヤー蘇生"
"STAT_STRONGHOLDS_COMPLETED": "クリアした拠点"
"STAT_DRIVING_DRIFTING_DISTANCE": "最長ドリフト"
"STAT_DRIVING_BIGAIR": "ビッグエアジャンプ"
"STAT_CUSTOM_ITEMS_OWNED": "所有カスタマイズアイテム"
"STAT_CHOPSHOP_COMPLETED": "クリアした「ヤミ改造工場」"
"ESCORT_NAME_34B": "マンティス"
"SPStronghold": "{C10}をプレイしています 拠点：{C6}"
"COMERCIAL_5": "FRIENDLY FIREで15％割引"
"CUST_ICON_NECKLACES": "ネックレス"
"GARAGE_CUSTOMIZE_VEHICLE": "カスタマイズ"
"STORE_PLASTIC_SURGEON_MSG": "整形手術を行う"
"HORDE_MODE_NEW_WAVE_MESSAGE": "ウェーブ%i"
"STAT_BEST_WEAPON": "最も得意な武器"
"STAT_HOSTAGES_EXTORTED": "金をまき上げた人質"
"ESCORT_NAME_26A": "サブミッシブ"
"RESTORE_PLAYER": "キャラクターリセット"
"MUSIC_CLASSICAL": "クラシック"
"PURCHASEABLE_PROPERTEY_PAWN": "SNOOKY'S SUNDRIES"
"PURCHASEABLE_PROPERTEY_COUNTERFITING": "COUNTERFITING"
"HORDE_MODE_REMAINING_ENEMIES_TAG": "残りの敵"
"STAT_LAW_ENFORCEMENT_KILLED": "倒した警備隊"
"SP Kills Col3_NAME": "連続キルランキング"
"CUST_GANG_NAME_COWBOY": "カウボーイ"
"GIVE_SHEPERD": "45 シェパード"
"GIVE_MOLOTOV": "火炎瓶"
"Infinite_Ammo": "無限弾薬"
"GIVE_CASH": "キャッシュ"
"MENU_SWAP_WEAPONS_STORE": "武器ショップ"
"STAT_WEAPON_PISTOL": "ピストル"
"STAT_COOP_TANDEM_DIVERSION_RECORDS": "協力プレイ：連携デバージョン記録"
"STAT_TIME_PLAYED": "総プレイ時間"
"ESCORT_NAME_24A": "ライジング"
"SP Vehicle Jumps Col1_NAME": "車両ジャンプランキング"
"SP Time Col1_NAME": "プレイ時間ランキング"
"CUST_GANG_NAME_80S": "80s"
"TATTOO_CONFIRM_PURCHASE_FULL": "「%s」のタトゥーを%sに入れますか（費用：%sドル）？"
"STORE_SWITCHING_TITLE": "{0}へ切り替えています"
"CONTROL_SAVE_AND_QUIT": "セーブして終了"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "保険金詐欺：ダイブ距離合計"
"STAT_HIGHEST_RANK_ACHIEVED": "最高ランク達成"
"STAT_CAT_MOUSE_CASH_EARNED": "キャット&マウス：稼いだ金額"
"STAT_COMBAT_MULTI": "マルチキル"
"Coop Time Played_NAME": "プレイ時間"
"CONTROL_RAISE_LOWER_CAMERA": "カメラを上げる／下げる"
"DROP_KNOXVILLE": "KNOXVILLE"
"GOLDEN_GUN_DESC": "一発で敵を倒せるようになる"
"GARAGE_REMOVE_VEHICLE": "消去"
"STAT_UNARMED_KILLS": "素手によるキル"
"STAT_TOTAL_CASH_SPENT": "使用金額総額"
"STAT_MAX_DRIVER_BAILOUT_DAMAGE_DONE": "ドライバー脱出最高ダメージ"
"ESCORT_NAME_22A": "シューティング"
"WARDROBE_REMOVE_CLOTHING": "他の衣服を脱ぎますか？"
"MAP_ICON_CHOP_SHOP": "ヤミ改造工場"
"GIVE_PIMPSLAP": "ザ・フィンガー"
"RAINING_PEDS": "人の雨"
"WPNSTOR_LEAVE_FULL_WEAPON_CACHE": "武器庫から出ますか？"
"GANG_CUST_GANG_SIGN_POSE": "移動"
"STAT_COMBAT_ENEMY_RESPECT": "敵ギャングを始末して獲得したリスペクト"
"STAT_MAX_WHEELIE_DISTANCE": "ウィリー最長距離"
"GIVE_BASEBALL": "バット"
"CUST_ICON_OUTFITS": "衣服セット"
"GANG_CUST_VEHICLE_TITLE": "車両"
"PURCHASEABLE_PROPERTEY_CASINO": "CHUPACABRA CASINO"
"STAT_PARACHUTE_DISTANCE_TRAVELLED": "パラシュートでの移動距離"
"STAT_DRIVING_WINDSHILED_RESPECT": "フロントガラス砲で獲得したリスペクト"
"STAT_MAX_STOPPIE_DISTANCE": "ストッピー最長距離"
"ESCORT_NAME_20A": "キングス"
"CELL_EMERGENCY": "緊急車両"
"GIVE_RESPECT_DESC": "大量のリスペクトを獲得できる"
"GIVE_MINIGUN": "ミニガン"
"ACCEPT_GAME_INVITE_TEXT_FULL": "ゲームへの招待を受け入れますか？\nセーブされていない進行状況は失われます  "
"GANG_CUST_GANG_TAG_OPT": "タグ"
"WPNSTOR_TEXT_MAX_WEAPONS_CRIB": "次のアイテムはこれ以上アジトから持ち出せません：「%s」"
"STAT_TIME_AT_MAX_MORNINGSTAR_NOTORIETY": "最大モーニングスター悪評度（時間）"
"STAT_DRIVING_DRIFTING": "ドリフト"
"WARDROBE_REMOVE_CLOTHING_TITLE": "他の衣服を脱ぐ"
"CONTROL_SIGN_IN": "サインイン"
"PAUSE_MAP_PAN": "移動"
"GIVE_LAUNCHER": "M2 ランチャー"
"CHEAT_CHARACTER_RESTORE_DESC": "キャラクターを標準に戻す"
"MILK_BONES": "ミルクボーン"
"STORE_BRA_SUB_WARNING": "現在着用しているブラジャーを外すことはできません"
"VCUST_HUBCAP_OPTION": "ホイールキャップ"
"VCUST_SPINNER_NUMBER": "スピナー{0}"
"PURCHASEABLE_PROPERTEY_CONDOS": "HIGH RISE CONDOS"
"CUST_ITEM_REMOVE_CLOTHING": "現在の衣服をすべて脱ぐ"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "倒したルチャドールスペシャリスト"
"STAT_MISSIONS_ATTEMPTED": "開始したミッション"
"STAT_SNIPER_HIT_PCT": "スナイパーライフル命中率"
"MAP_ICON_CLOTHING": "衣料品店"
"NO_GANG_NOTORIETY": "ギャング悪評度なし"
"TIME_SET_NOON": "時間設定 正午"
"VCUST_AXLES_TITLE": "車軸"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "保険金詐欺：最長ダイブ距離"
"STAT_SURFING": "カーサーフィン"
"ESCORT_NAME_25B": "フェニックス"
"SPMission": "{C10}をプレイしています ミッション：{C4}"
"TAXI_TITLE": "タクシー"
"DROP_WOODPECKER": "WOODPECKER"
"GIVE_DIGGER": "グレイブディガー"
"PIMPS_AND_HOS_PEDS": "エステタウン"
"WEATHER_DESC": "天候を変更する"
"PURCHASEABLE_PROPERTEY_APARTMENTS": "DIXON'S REFUGE"
"CUSTOM_PREVIEW_UNAVAILABLE_POPUP": "プレビューできません"
"STORE_TITLE_DISCARD": "削除"
"HORDE_MODE_RETRY_TEXT": "このウェーブをやり直しますか？"
"HORDE_MODE_UNLIMITED_AMMO": "エンドレス弾薬！"
"STAT_TAUNT_GANG": "挑発したギャングメンバー"
"STAT_SPECIAL_AMMO_USED": "特殊武器発砲回数"
"ESCORT_NAME_39_A": "ダブル・フィステッド"
"NO_GANG_NOTORIETY_DESC": "ギャングの悪評度を0にする"
"GIVE_STUNGUN": "スタンガン"
"WPNSTOR_TEXT_CRIB_TAKE_A_BLANK": "「%s」を持っていきますか？"
"HORDE_MODE_TITLE_HIGHSCORE_NEW": "新記録！"
"HORDE_MODE_TITLE_ZOMBIE_WAVE": "ゾンビウェーブ"
"STAT_RPG_HIT_PCT": "ロケットランチャー命中率"
"STAT_MAX_STUNT_JUMP_FLIP": "ジャンプ最高フリップ"
"ESCORT_NAME_27B": "ミルクシェイク"
"CRIB_SR_NAME": "セインツロウロフト"
"NEVER_DIE_DESC": "死ななくなる"
"STORE_UPGRADES_REQUIRED": "必要レベル"
"NO_ITEMS_DISPLAY_NAME": "なし"
"HORDE_MODE_TITLE_PLAYER_SCORES": "プレイヤーの得点"
"STAT_DRIVING_BAILOUT_DISTANCE": "最長脱出"
"GANG_POLICE": "警察"
"DROP_VTOL": "VTOL"
"DROP_EAGLE": "EAGLE"
"DROP_POCKETBIKE": "ピーウィー"
"EVIL_CARS_DESC": "乱暴運転"
"STORE_PRIMARY_COLOR": "メインカラー"
"STORE_ITEM_OWNED": "所有"
"STAT_SHOTGUN_SHOTS_FIRED": "ショットガン発砲回数"
"STAT_MAYHEM_LEVELS_COMPLETED": "クリアしたメイヘム"
"STAT_DRIVING_DRIFTING_RESPECT": "ドリフトで獲得したリスペクト"
"STAT_VEHICLES_DESTROYED": "破壊車両"
"ESCORT_NAME_21B": "コーンホール"
"CONFIRM_DELETE_OUTFIT": "この衣服セットを消去しますか？\n衣服はクローゼットに残ります"
"MAP_IMG_TATTOO": "[format][scale:1.0][image:map_store_tattoo][/format]"
"GIVE_SATCHEL": "リモート爆弾"
"WPNSTOR_REPLACE_BLANK_WITH_BLANK": "「%s」と「%s」を交換しますか？"
"CRIB_HUD_DOCK_PURCHASE": "RONDINI'S BOAT DOCKを購入：{0}ドル"
"GANG_CUST_GANG_TAG_TITLE": "ギャングタグ"
"STORE_AMBULANCE_MSG": "体力を回復"
"STAT_CAT_MOUSE_LONGEST_DEATH_STREAK": "キャット&マウス：最高連続デス数"
"STAT_GANG_NOTORIETY_TIME": "ギャング悪評度MAX"
"WARDROBE_REMOVE_OUTFIT": "この衣服セットをクローゼットから削除しますか？"
"NO_COP_NOTORIETY_DESC": "警察の悪評度を0にする"
"ELEVATOR_TO_HEAVEN": "天国行き"
"HITMAN_LOCATION": "ターゲットの位置"
"DEALER_NO_PALETTE": "選択可能なパレットがありません"
"STAT_MORNINGSTAR_SPECIALISTS_KILLED": "倒したモーニングスタースペシャリスト"
"ESCORT_NAME_23B": "ディロー"
"Coop Player Kills_NAME": "プレイヤーキル"
"CONTROL_JOIN_GAME": "ゲームに参加する"
"MAP_ICON_HUMAN_TORCH": "ファイアレース"
"DROP_ESTRADA": "ESTRADA"
"UNLIMITED_CLIP": "無限マガジン"
"MUSIC_EASYLISTENING": "イージーリスニング"
"WEAPONSTORE_TEXT_CONFIRM_PURCHASE_AMMO_FULL": "「%s」を%sドルで\n購入しますか？"
"MENU_SWAP_WARDROBE": "クローゼット"
"VCUST_WHEELS_TITLE": "ホイール"
"PURCHASEABLE_PROPERTEY_CRACK": "FRACKHOUSE"
"CONTROL_QUIT_WITHOUT_SAVING": "セーブしないで終了"
"GARAGE_NONE": "乗り物はありません"
"HORDE_MODE_GAMEPLAY_TITLE": "千人切りモード"
"STAT_CARS_DESTROYED": "破壊した車"
"STAT_CHOPSHOP_CASH": "ヤミ改造工場で稼いだ金額"
"STAT_TOTAL_RESPECT": "獲得リスペクト総計"
"STAT_BEAT_COPS_KILLED": "倒した警官"
"ESCORT_NAME_31A": "クリーピング"
"MAP_ICON_GUARDIAN_ANGEL": "ガーディアンエンジェル"
"REPAIR_CAR": "自動車修理"
"SAVELOAD_FILE_NOT_LOADABLE": "ファイルが破損しているかデータが無効であるためセーブデータを読み込めません"
"STORE_DETAIL_COLOR": "ディテールカラー"
"GANG_CUST_GANG_STYLE_TITLE": "ギャングスタイル"
"PURCHASEABLE_PROPERTEY_COLA": "JOE COLA FACTORY"
"TATTOO_REMOVE": "%sからタトゥーを消しますか？"
"HORDE_MODE_NEW_WAVE_MESSAGE_TITLE": "次のウェーブが来た！"
"STAT_MASCOTS_KILLED": "倒したマスコット"
"STAT_DRIVING_STOPPIE_TIME": "最長ストッピー"
"STAT_LONGEST_VEHICLE_SURF_HANDSTAND_TIME": "連続最長カーサーフィン逆立ち"
"STAT_LONGEST_VEHICLE_SURFING_TIME": "カーサーフィンの最長時間"
"STAT_BAIL_MONEY": "保釈金"
"CONTROL_CONTINUE": "続行"
"GIVE_HAMMER": "S3X ハマー"
"DROP_GYRO": "ギロピタダディ"
"STORE_SECONDARY_COLOR": "セカンドカラー"
"GARAGE_TEXT_INSUFFICIENT_FUNDS": "この車両を修理するには資金が足りません。\nそれでも回収しますか？"
"CRIB_CUSTOMIZE_PURCHASE_PROMPT": "{0}を{1}ドルで\n購入しますか？"
"VCUST_WHEEL_WIDTH_OPTION": "ホイールの幅"
"TAT_REG_BACK": "背中"
"STAT_WEAPON_SNIPER": "スナイパー"
"STAT_COMBAT_MELEE_RESPECT": "格闘キルで獲得したリスペクト"
"STAT_MAX_TWO_WHEELS_DISTANCE": "片輪走行の最長距離"
"ESCORT_NAME_33A": "ロマン"
"HASH_DF7D0B4B": "デスタグ：デス"
"ZOMBIE_PEDS_DESC": "通行人が全員ゾンビになる"
"MUSIC_DANCE": "ダンス"
"STORE_TEXT_CONFIRM_PURCHASE_FULL": "「%s」を%sドルで\n購入しますか？"
"PURCHASEABLE_PROPERTEY_SERVICE2": "PASSING GAS SERVICE STATION"
"STORE_TEXT_CONFIRM_PURCHASE_BLANK": "このアイテムを買いますか？"
"HORDE_MODE_TEAM_SCORE": "得点"
"STAT_VEHICLE_BIKE": "バイク"
"STATS_DISTANCE_FEET": "%0.2fft"
"STAT_DRIVING_BIGAIR_RESPECT": "ビッグエアジャンプで獲得したリスペクト"
"STAT_HOMIES_RECRUITED": "勧誘した仲間"
"MAP_IMG_MECHANIC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"DROP_TAXI": "TAXI"
"CUST_ICON_LOWER_BODY": "下半身"
"STORE_ZOOM": "ズーム"
"VEHICLE_TYPE_TITLE": "車種"
"STAT_CAT_MOUSE_MOST_ROUND_DEATHS": "キャット&マウス：1ラウンド最多デス"
"STAT_CAT_MOUSE_WINS": "キャット&マウス：勝利"
"ESCORT_NAME_35A": "シッティング"
"GARAGE_REMOVE_PROMPT": "車両を消去してもよろしいですか？"
"STAT_WEAPON_SPECIAL": "特殊武器"
"STAT_DRIVING_BURNOUT_RESPECT": "バーンアウトで獲得したリスペクト"
"ESCORT_NAME_29B": "プリンセス"
"CUST_ICON_TATTOO_ARMS": "腕のタトゥー"
"CUST_ICON_TATTOO_TORSO": "体のタトゥー"
"CUST_ICON_HEAD": "頭"
"STORE_NAME_GAS_STATION": "GAS STATION"
"PURCHASEABLE_PROPERTEY_HOSTEL": "ODYSSEY HOSTEL"
"CUST_ITEM_DELETE_OUTFIT": "衣服セットを消去する"
"HORDE_MODE_MENU_NEW_GAME": "メニューに戻る"
"STAT_DRIVING_STOPPIE": "ストッピー"
"ESCORT_NAME_37A": "インバーティッド"
"PAUSE_MAP_WAYPOINT_SET": "目標地点設定"
"MAP_IMG_WEAPON": "[format][scale:1.0][image:map_store_gun][/format]"
"GOD_MODE": "ゴッドモード"
"MUSIC_ROCK": "ロック"
"GANG_CUST_SLOT": "スロット{0}-{1:TEXT_TAG_CRC}"
"STAT_WEAPON_SHOTGUN": "ショットガン"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "挑発した警官"
"STAT_ESCORT_CLIENTS_SERVICED": "エスコート：対応した客"
"STAT_SURFING_TIME": "最長カーサーフィン"
"STAT_HITMAN_TARGETS": "排除したターゲット"
"ESCORT_NAME_38_B": "モンキーレンチ"
"HASH_D5C46250": "デスタグ：キル"
"HASH_9B93BC50": "デバージョンで獲得したブロンズスター"
"CONTROL_START": "START"
"WPNSTOR_REPLACE_WITH_BLANK_FOR_CASH_BLANK": "「%s」と「%s」を%sドルで交換しますか？"
"HORDE_MODE_NEW_CHALLENGE_WAVE_TITLE": "チャレンジウェーブだ！"
"CUST_GANG_NAME_GANGSTER": "ギャングスタ"
"GIVE_FLASHBANG": "閃光手榴弾"
"PURCHASEABLE_PROPERTEY_METH": "CHEM LAB"
"STAT_MISSION_STRONGHOLD_CASH_EARNED": "ミッション／拠点で稼いだ金額"
"STAT_HOSTAGES_TAKEN": "人質を取った人数"
"GANG_CIVILIAN": "一般市民"
"GIVE_AR55": "AR55 ライフル"
"DROP_TORNADO": "TORNADO"
"STAT_COOP_MAX_POLICE_NOTORIETY_STREAK": "協力プレイ：警察悪評度MAX最長持続時間"
"RADIO_STATION_K12": "K12"
"Max Notoriety Col2_NAME": "悪評度ランキング"
"STORE_EXIT_TELEVISiON": "テレビ観賞を止めますか？"
"HORDE_MODE_TITLE_HIGHSCORE": "ハイスコア"
"STAT_COMBAT_THROWN": "投てき"
"CELL_FRIENDLY_FIRE": "FRIENDLY FIRE"
"GIVE_ULTIMAX": "AS3 アルチマックス"
"POC2_DROP_HELICOPTER": "ヘリを入手する"
"VCUST_COLOR_PALETTE_TITLE": "仕上げ"
"PURCHASEABLE_PROPERTEY_FLATS": "PARKVIEW FLATS"
"GARAGE_CANNOT_REPAIR": "車両を修理しないとカスタマイズできません\n資金が足りません"
"STAT_BASE_HIGH": "最高ジャンプ"
"BasicSP": "{C10}をプレイしています"
"VOLITION": "VOLITION"
"MAP_ICON_MAYHEM": "メイヘム"
"CRIB_GARAGE_PURCHASED_TEXT": "ガレージを手に入れた。\n乗り物を保管したり、出したりすることができる"
"PURCHASEABLE_PROPERTEY_MOTEL": "STIKIT INN"
"STORE_DISCARD_ITEM": "削除"
"BODY_TITLE": "身体"
"CONTROL_CANCEL": "キャンセル"
"ESCORT_NAME_18B": "サンチェス"
"DEMO_EXIT": "体験版を終了する"
"DROP_KANEDA": "KANEDA"
"STORE_UPGRADES_TITLE": "アップグレード"
"MENU_SWAP_CLOTHING_STORE": "店に戻る"
"VCUST_TIRE_TREAD_NUMBER": "タイヤのトレッド{0}"
"TAT_REG_R_FOREARM": "右腕"
"STORE_PLANET_SAINTS_MSG": "!!アイテムを購入"
"HORDE_MODE_MENU_EXIT": "メインメニューへ戻る"
"STAT_HUMAN_TORCH_LEVELS_COMPLETED": "クリアしたファイアレース"
"STAT_HUMAN_TORCH_OBJECTS_TORCHED": "ファイアレース：着火したオブジェクト"
"STAT_LEVELS_COMPLETED": "クリアしたステージ"
"Diversion Silver Stars_NAME": "シルバースター"
"Escort": "エスコート"
"GIVE_APOCA": "アポカフィスト"
"HIDE_HUD": "HUDなし"
"MASCOT_PEDS_DESC": "通行人が全員マスコットになる"
"CUST_ICON_UPPER_BODY": "上半身"
"STORE_NO_ITEMS_IN_CATEGORY": "このカテゴリーのアイテムは在庫がありません"
"UNLOCKABLE_TITLE_TEXT": "ロック解除"
"STAT_HITMAN_COMPLETED": "クリアした「ヒットマン」"
"ESCORT_NAME_9B": "ドラゴン"
"DrugTrafficking": "デリバリー"
"InsFraud": "保険金詐欺"
"QUIT_GAME_TEXT_SHORT": "本当に終了しますか？"
"STORE_CONFIRM_PURCHASE_BLANK_FULL": "「%s」を%sドルで\n購入しますか？"
"STORE_OWNED": "所有中"
"GARAGE_HANGAR": "格納庫"
"STAT_STORES_OWNED": "所有する店"
"STAT_MAX_STUNT_JUMP_ROLL": "ジャンプ最高回転"
"HASH_E66AA7D9": "デスタグ：稼いだ金額"
"CONTROL_CHANGE_LB": "ランキングを変更する"
"CUST_GANG_NAME_PREPHOP": "プレップホップ"
"SWITCH_TO_STORE": "店へ切り替え"
"BUILDING_PURCHASE_CONTROL_INCREASE": "コントロール{0}%%%アップ"
"BUILDING_PURCHASE_CRIB": "アジトを{1}ドルで購入しますか？"
"WPN_STORE_AMMO_TITLE": "弾薬"
"TATTOO_REMOVE_SAVE": "%sからタトゥーを消してセーブしますか？"
"CONTROL_SELECT_COLOR": "色を選択"
"SURGEON_INSUFFICIENT_FUNDS": "整形手術を行う資金が足りません"
"STAT_VEHICLE_AIRCRAFT": "飛行機"
"STAT_WEAPON_RPG": "ロケットランチャー"
"STAT_COOP_DEATHS": "協力プレイ：プレイヤー起因のデス"
"STAT_SNATCH_PIMPS_KILLED": "スカウト：始末したスカウト"
"STAT_DRIVING_NEARMISS_CHAIN": "最長連続ニアミス"
"ESCORT_NAME_14B": "ジョンソン"
"ESCORT_NAME_7B": "ネックレス"
"CONTROL_START_GAME": "ゲームスタート"
"MAP_ICON_UNDEFINED": "未定"
"CUST_GANG_NAME_STRIPPER": "ダンサー"
"GIANT_PLAYER_DESC": "こんなに大きくなれたのは、好き嫌いしなかったから"
"STORE_TEXT_CONFIRM_PURCHASE_AND_SAVE_FULL": "「%s」を %sドルで購入してセーブしますか？ "
"HASH_336F665B": "デスタグ：敗北"
"PIMPS_AND_HOS_PEDS_DESC": "通行人が全員スカウトとエステティシャンになる"
"MAINMENU_NEW_GAME_DIFF_HDR": "難易度"
"MAINMENU_NEW_GAME_NO_PROFILE_EXPOSITION": "現在ゲーマー プロフィールにサインインしていません。\n実績を獲得したり進行状況をセーブすることはでき\nません\n続行しますか？"
"GANG_CUST_TITLE": "ギャングカスタマイズ"
"GARAGE_REPAIR_NAME": "整備工場"
"TUT_CRIB_GARAGE": "{ACTION_IMG}：ガレージに入れる"
"STAT_AIRCRAFT_DESTROYED": "破壊した飛行機"
"STAT_SMG_HIT_PCT": "サブマシンガン命中率"
"ESCORT_NAME_16B": "スワール"
"ESCORT_NAME_5B": "シャワー"
"Time at Highest Police Notoriety_NAME": "最大警察悪評度時間"
"GARAGE_REPAIR_RETRIEVE": "車両の修理と回収：{0}ドル"
"HUD_SHOP_INSUFFICIENT_FUNDS": "購入資金が足りない"
"VCUST_EXTRA_LOW_PROFILE": "超薄型"
"PURCHASEABLE_PROPERTEY_POWER": "POWER AND LIGHT"
"STAT_DRIVING_BAILOUT_RESPECT": "脱出で獲得したリスペクト"
"HASH_CE3F7EDD": "アジトのアップグレードに費やしたキャッシュ"
"GIVE_SLM8": "バイパーライフル"
"LIGHT_RAIN": "小雨"
"VCUST_LOW_PROFILE": "薄型"
"CUST_ITEM_STYLE": "色"
"STAT_DRIVING_WRONGWAY_RESPECT": "逆走で獲得したリスペクト"
"ESCORT_NAME_10B": "ナックラー"
"ESCORT_NAME_3B": "パンチ"
"CONFIRM_WEAR_OUTFIT": "この衣服セットを着用しますか？"
"HASH_A885535E": "ハイドロ"
"CONTROL_EXIT_PURCHASE_CLOTHING": "衣服の選択を終了する"
"DROP_SPECTER": "SPECTER"
"TINY_PLAYER": "ミクロギャングスタ"
"SAVELOAD_AUTOSAVE_LABEL": "オートセーブ"
"HASH_CC5A26DE": "下着になりますか？"
"HORDE_MODE_MENU_RETRY": "ウェーブをやり直す"
"HORDE_MODE_TITLE_SURVIVAL_TIME": "生存時間"
"HORDE_MODE_WEAPON_UPGRADE": "%lsがレベル%iになった\n（最大レベル%i）"
"STAT_STREAKING_PEOPLE": "ストリーキングした人数"
"STAT_CRIBS_ACQUIRED": "獲得したアジト"
"WPN_STORE_SPECIAL_TITLE": "特殊武器"
"VEHICLE_CUSTOMIZATION_TITLE": "車両カスタマイズ"
"TAT_REG_L_SHOULDER": "左肩"
"ESCORT_NAME_12B": "フランクリン"
"ESCORT_NAME_1B": "サンチェス"
"HASH_FB3AF7E0": "デスタグ：1ラウンド最多デス"
"MAP_ICON_WEAPON": "武器ショップ"
"GENERIC_LEAVE_BLANK_FULL": "%sから出ますか？"
"HUD_TRIGGER_CASH_STASH": "金庫から%lsドル持ち出す"
"HUD_FOUND_CASH": "金庫から%lsドル取り出した！"
"VCUST_RIM_STYLE_OPTION": "リムのスタイル"
"HASH_7A3484E1": "デバージョンで獲得したシルバースター"
"HASH_F85DA761": "デバージョンで獲得したゴールドスター"
"CONTROL_CHANGE_BOARD": "ボードを変更する"
"GANG_CUST_GANG_TITLE": "ギャング"
"TAT_REG_L_LEG": "左脚"
"CUST_BROWSER_BROWSE": "閲覧"
"STORE_CRIB_WEAPONS_MSG": "武器庫を見る"
"STAT_DRIVING_TWOWHEELS_TIME": "最長片輪走行時間"
"STAT_MAX_WINDSHIELD_CANNON_DISTANCE": "フロントガラス砲最長距離"
"ESCORT_NAME_16A": "ティックリング"
"ESCORT_NAME_5A": "ゴールデン"
"DELETE_OUTFIT": "衣服セットを消去する"
