"UNL_DESC_RESPECT_LUCHA_3": "За приобретение жилья \"Казино Раз-Два-Три\" количество любого зарабатываемого вами авторитета увеличивается на 15%%."
"UNL_DESC_HOMIE_ZGAT": "МОЗГИИИИИИ"
"USE_TRIGGER_GARAGE": "ИДИТЕ В ГАРАЖ"
"WPN_EGRENADE_DESCRIPT": "Урон электричеством и способность оглушить тех, кто окружает вас."
"WPN_VTOL_MISSILES": "РАЗРЫВНЫЕ РАКЕТЫ"
"USE_TRIGGER_DROP_HELI": "ВЫПРЫГНУТЬ ИЗ ВЕРТОЛЕТА"
"HOMIES_TAXI_DESC": "Вызовите такси."
"UNL_CASH_LIMIT_EURO_3": "ЛИМИТ ТРАНСФЕРА"
"UNL_DESC_DLC_ASSET03_OUTFITS05": "Костюм солдата-декера."
"UNL_DESC_POLICE_CUSTOMIZATION": "Предметы модификации полиции"
"EXPLOSIVE_GENKI": "МОЛЛЮСКОМЕТ"
"ACT_CANCEL_TEXT": "Вы уверены, что хотите покинуть задание?\nВесь прогресс с начала задания будет потерян."
"HOMIES_OLEG_DESC": "Позвоните Олегу и попросите его помочь."
"UNL_DESC_AUTO_COMPLETE_CTO_DISTRICT": "Автоматически выполняются все действия, связанные с взятием города под контроль, для всего района."
"UNL_HOMIE_PIERCE": "БРАТОК - ПИРС ВАШИНГТОН"
"TEMP_ROCKETHAMMER": "УДАРНЫЙ МОЛОТ"
"SATELLITE_SLOW_DOWN": "ЗАМЕДЛИТЬСЯ"
"SATLLITE_SPEED_UP": "УСКОРИТЬСЯ"
"ACT_CANCEL_TITLE": "ПРЕРВАТЬ/НАЧАТЬ ЗАНОВО"
"UNL_RESPECT_MSTAR_2": "БОНУС АВТОРИТЕТА"
"UNL_DESC_AMMO_DECKER_2": "Вы можете хранить на 10%% больше боеприпасов в арсенале."
"UNL_DLC_ASSET03_OUTFITS02": "КОСТЮМ - СПЕЦИАЛИСТ-ЛУЧАДОР"
"UNL_WEAPON_KILLBANES_GLOVES": "ОРУЖИЕ - КУЛАК АПОКАЛИПСИСА"
"ACHIEVE_SR3_FLASH_THE_PAN": "ДОСТАНЬ ПИПКУ"
"WPN_SNIPER_DESCRIPT": "Для стрельбы на дальних дистанциях, где особоенно важна точность."
"HOOD_DT_01": "ГЕНРИ-СТИЛ-МИЛЛЗ"
"UNL_FASTER_RELOAD_2": "БЫСТРАЯ ПЕРЕЗАРЯДКА 2"
"UNL_SPRINT_1": "УЛУЧШЕННЫЙ БЕГ"
"TUT_NAG_TAUNTING": "ПОМНИТЕ! ЕСЛИ ВЫ ДРАЗНИТЕ {MENU_DP_LEFT_IMG} ВРАГОВ, ПЕРЕД ТЕМ КАК УБИТЬ ИХ, ЭТО ДОБАВЛЯЕТ ВАМ АВТОРИТЕТА."
"UNL_INCOME_DECKER_1": "ПОЧАСОВОЙ ДОХОД С РАЙОНА"
"UNL_DESC_DAMAGE_MELEE_1": "Урон, наносимый вами в ближнем бою, увеличивается на 15%%."
"UNL_DAMAGE_FIRE_2": "УРОН ОТ ОГНЯ 2"
"TUT_PAUSE_MAP": "{MAP_MENU_IMG} ДОСТУП К КАРТЕ НА МОБИЛЬНОМ \nОткройте карту на мобильнике и выберите в GPS пункт назначения: \"Веселая пуля\"."
"HOMIES_REYNOLDS_DESC": "Получите поддержку от мэра Рейнолдса."
"HOOD_BRIDGEPORT": "БРИДЖПОРТ"
"UNL_DESC_DAMAGE_FALL_3": "Урон от падений снижается на 50%%."
"TUT_WHORED_Z_UNDEAD_MARA": "МАРАФОН НЕЖИТИ"
"TUT_WHORED_A_WRATH_CARDINAL": "ГНЕВ КАРДИНАЛА"
"TUT_WHORED_MINI_SAMURAI": "КРОШЕЧНЫЙ ВОИН"
"ACHIEVE_SR3_YOURE_THE_BEST": "ТЫ ЛУЧШИЙ..."
"WPN_STUNGUN_DESCRIPT": "Для быстрой отключки цели."
"RIFLE_AMMO": "ПАТРОНЫ К ВИНТОВКЕ"
"PISTOL_AMMO": "ПАТРОНЫ К ПИСТОЛЕТУ"
"UNL_INCOME_LUCHA_1": "ПОЧАСОВОЙ ДОХОД С РАЙОНА"
"TL_TITLE_MIS_21_RIDE_KILLBANE_CONTROLS": "ПОЕЗДКА НА КИЛЛБЕЙНЕ"
"TUT_TITLE_COMBAT_WEAPONS": "АРСЕНАЛ"
"TUT_TITLE_ACT_INTRO_CYBER_BLAZING": "ПУТЬ ОГНЯ"
"CS_TITLE_SYNDICATE_BOARDROOM": "ЗАЛ ЗАСЕДАНИЙ СИНДИКАТА"
"ACHIEVE_SR3_PIMPED_OUT_PAD": "СУТЕНЕРСКИЙ ПРИТОН"
"TEMP_SHIELD": "ЩИТ ПОВСТАНЦА"
"UNL_DESC_DLC_ASSET03_OUTFITS01": "Костюм солдата-лучадора."
"UNL_CASH_MULTIPLIER_4": "БОНУС - НАЛИЧКА ВИП"
"UNL_WEP_CYBERSPACE_CANNON": "ОРУЖИЕ - КИБЕРПУШКА"
"TUT_WHORED_SWAG_BAG": "МЕШОК СУВЕНИРОВ"
"USE_TRIGGER_HE_CRIB_ENTER": "ПОДНЯТЬСЯ НА ЛИФТЕ"
"HUD_ACT_CONTINUE": "%ls - ПРОДОЛЖИТЬ ЗАДАНИЕ"
"UNL_RESPECT_EURO_3": "БОНУС АВТОРИТЕТА"
"UNL_CYPHER_VEHICLE": "МАШИНА - ПЕРЕХВАТЧИК УЛЬТОРА"
"UNL_CYBER_VEHICLES": "МАШИНЫ - КИБЕРПРОСТРАНСТВО"
"UNL_CLOTHING_BLOWUP": "КОСТЮМ - НАДУВНАЯ КУКЛА"
"UNL_CLOTHING_STAG": "КОСТЮМ - БРОНЯ ОТРЯДА КАБАН"
"ACHIEVE_SR3_DEAD_PRESIDENTS": "МЕРТВЫЕ ПРЕЗИДЕНТЫ"
"WPN_PISTOLPOLICE_DESCRIPT": "Когда внезапно появляются копы, именно от этого вам нужно успеть убежать."
"SPECIAL_SNIPERRIFLE": "МАКМАНУС 2015"
"HUD_UNLOAD_VEHICLE_MESSAGE": "НАЖМИТЕ %ls, ЧТОБЫ РАЗГРУЗИТЬ МАШИНУ."
"UNL_DLC_ASSET03_OUTFITS06": "КОСТЮМ - СПЕЦИАЛИСТ-ДЕКЕР"
"UNL_DESC_DUAL_WIELD_PISTOLS": "Можно носить пистолеты в двух руках."
"TUT_CHALLENGES": "За выполнение задач вы получаете различные бонусы. Отслеживать свои успехи вы можете в \"вСвятых\" {MAP_MENU_IMG}."
"HUD_FEAR": "СТРАХ"
"UNL_PLAYER_HEALTH_1": "УВЕЛИЧЕНИЕ ЗДОРОВЬЯ"
"HUD_ANSWER_CELL": "ОТВЕТИТЬ НА ЗВОНОК"
"HUD_TRIGGER_NEEDS_ON_FOOT": "ВЫ ДОЛЖНЫ БЫТЬ ПЕШКОМ, ЧТОБЫ ВКЛЮЧИТЬ ЭТОТ ТРИГГЕР."
"STRONGHOLD_COOP_TITLE": "СОВМЕСТНЫЙ ЗАХВАТ КРЕПОСТИ"
"S_FOUND_A_COLLECTIBLE_YOU_MISSED": "%ls НАШЕЛ ПРЕДМЕТ, КОТОРЫЙ ВЫ ПОТЕРЯЛИ!"
"HOMIES_ZOMBIE_HORDE_DESC": "Устройте зомби-апокалипсис."
"UNL_VEHICLE_MSTAR": "ГАРАЖ - НОВЫЕ МАШИНЫ"
"UNL_POLICE_CUSTOMIZATION": "ПРЕДМЕТЫ - ПОЛИЦИЯ"
"UNL_DESC_GANG_CUSTOMIZATION": "Теперь в штаб-квартире Святых вы можете вносить изменения в свою банду."
"TUT_TITLE_SHORTCUT_SPLINES": "КОРОТКИЕ МАРШРУТЫ GPS"
"TUT_HELICOPTER_ENTRY": "{HELI_UP_IMG} УВЕЛИЧИТЬ УГОЛ ПОДЪЕМА\n{HELI_DOWN_IMG} ПОНИЗИТЬ УГОЛ ПОДЪЕМА\n{HELI_STRAFE_LEFT_IMG}/{HELI_STRAFE_RIGHT_IMG} БЫСТРЫЙ ПОВОРОТ"
"SATELLITE_RC_MODE_DESTRUCT": "САМОУНИЧТОЖЕНИЕ"
"HOOD_OWNED_FRACTION": "ВСЕГО ВО ВЛАДЕНИИ %d/%d"
"HUD_LOAD_VEHICLE_MESSAGE": "%ls ДЛЯ ЗАГРУЗКИ МАШИНЫ"
"UNL_DLC_PREORDER01_OUTFITS": "КОСТЮМ - \"ВЕСЕЛКА!\""
"UNL_UPGRADE_AMMO_GRENADE_2": "ГРАНАТЫ 2"
"UNL_UPGRADE_AMMO_SHOTGUN_3": "ПАТРОНЫ - ДРОБОВИК 3"
"TUT_NAG_IMPROV_WEAPONS": "ПОМНИТЕ! ЧТОБЫ ПОДНИМАТЬ ОБЪЕКТЫ И ИСПОЛЬЗОВАТЬ ИХ КАК ИМПРОВИЗИРОВАННОЕ ОРУЖИЕ НАЖИМАЙТЕ НА {PICKUP_RELOAD_IMG}."
"UNL_WIPE_NOTORIETY_GANG": "БЕЗ ДУРНОЙ СЛАВЫ - БАНДА"
"UNL_DESC_PLAYER_HEALTH_3": "Уровень здоровья игрока увеличивается на 75%%."
"UNL_DESC_WEP_DILDO_BAT": "Взять Пенетратор вы сможете на оружейном складе в вашем жилище."
"TUT_WHORED_SAUSAGEFEST": "СОСИСЕЧНЫЙ ПРАЗДНИК"
"SATELLITE_EXIT_RC_MODE": "ВЫЙТИ ИЗ РЕЖИМА RC"
"HOMIES_HOSPITAL_BILL": "БОЛЬНИЧНЫЙ СЧЕТ %ls СТОИТ %ls"
"UNL_PICKPOCKET": "НАВЫК - КАРМАННИК"
"WPN_DESC_NOTNEEDED": "ЭТОМУ ОРУЖИЮ ОПИСАНИЯ НЕ НУЖНО, ЕСЛИ ЭТОТ ТЕКСТ ВДРУГ ПОЯВИТСЯ НА ЭКРАНЕ, ПОЖАЛУЙСТА, ОТПРАВЬТЕ СООТВЕТСТВУЮЩИЙ БАГРЕПОРТ МЭТТУ ГРИНУ"
"HUD_RESPECT_RANK_005": "БРАТОК"
"GENERAL_LIGHT": "ЛЕГКИЕ ПОВРЕЖДЕНИЯ"
"HOMIES_MAYOR_REYNOLDS_NOTORIETY": "ПОДДЕРЖКА МЭРА"
"UNL_DESC_INCOME_DECKER_3": "Вы получаете бонус 15%% к почасовому доходу с района Стэнфилд."
"TUT_WHORED_Z_BOARDER_GUARD": "ПОГРАНИЧНИКИ"
"TUT_WHORED_D_MINI_SNIPER": "АНГЕЛЫ КУПИДОНА "
"PLAYER_CHOICE_M06_OPTION1_BODY": "НАГРАДА: Постоянный бонус к авторитету"
"TUT_TITLE_BARNSTORMING_NEW": "ГАСТРОЛИ"
"ACHIEVE_SR3_I_HEART_NYTE_BLAYDE": "Я ЛЮБЛЮ НОЧНОГО КЛИНКА"
"SHOTGUN_GANG": "МОГИЛЬЩИК"
"PLAYER_NEEDS_REVIVAL": "НУЖНО ВОССТАНВЛЕНИЕ"
"HUD_DOWNED_REVIVE": "ВОЗРОДИТЬ"
"UNL_GANG_NPC_NG": "ИЗМЕНЕНИЕ БАНДЫ"
"UNL_DESC_MAYHEM": "Вы открыли новые локации для задания РАЗГРОМ. \nПоищите их на карте."
"UNL_AUTO_COMPLETE_CTO": "КОНТРОЛЬ НАД ГОРОДОМ"
"UNL_DESC_RESPECT_BONUS_PURCHASE2": "Бонус в размере 10%% ко всему получаемому авторитету."
"UNL_WEEKLY_PAYMENTS_4": "БОНУС - ПОЧАСОВАЯ ВЫПЛАТА ВИП"
"UNL_VEHICLE_CUST_LOW_COST": "СКИДКА - МАШИНЫ"
"TUT_TITLE_GANG_CUSTOMIZE": "ИЗМЕНЕНИЕ БАНДЫ"
"HOMIES_GIANT_BALL_DESC": "Это гигантский шар!"
"UNL_DESC_CASH_LIMIT_DECKER_3": "За улучшение жилья \"АЭС\" ваш лимит перевода денег увеличивается."
"UNL_UPGRADE_AMMO_PISTOL_1": "ПАТРОНЫ - ПИСТОЛЕТ"
"UNL_DESC_SPRINT_2": "Бег может длиться на 50%% дольше."
"TUT_CITY_TAKEOVER": "{MAP_MENU_IMG} КАРТАЕ\nВзгляните на карту, чтобы найти операции по захвату городской территории и повысить свой доход."
"TUT_TITLE_STORE_OWNERSHIP": "ВЛАДЕНИЕ МАГАЗИНОМ"
"HUD_HANGAR_NEED_VEHICLES": "ДОБАВИТЬ САМОЛЕТЫ ДЛЯ ДОСТУПА К АНГАРУ"
"WPN_MOLOTOV_DESCRIPT": "Удобный способ поджечь почти все, что угодно."
"UNL_DESC_AMMO_LUCHA_1": "Вы можете хранить на 10%% больше боеприпасов в арсенале."
"UNL_DESC_CRIB_KINZIE": "Теперь это место является жильем Святых. Здесь вы можете получить доступ к вашему оружию и одежде."
"TUT_SHORTCUT_SPLINES": "Если вы нашли короткий путь, то карта маршрутов в вашем GPS обновится."
"GARAGE_WATERCRAFT_ONLY": "ЗДЕСЬ МОЖНО ОСТАВИТЬ ТОЛЬКО ВОДНЫЙ ТРАНСПОРТ."
"UNL_DESC_CLOTHING_STAG": "Теперь вы можете надеть броню КАБАНа."
"UNL_DISCOUNT_CLOTHING": "СКИДКА НА ОДЕЖДУ"
"UNL_NOTORIETY_COPS_3": "ДУРНАЯ СЛАВА - ПОЛИЦИЯ 3"
"UNL_DAMAGE_VEHICLE_4": "УРОН ОТ МАШИН 4"
"FLAME_AMMO": "ЗАРЯДЫ К ОГНЕМЕТУ"
"HUD_TAUNT": "НАСМЕШКИ"
"UNL_VEHICLE_JET_BIKE": "МАШИНА - РЕАКТИВНЫЙ БАЙК"
"UNL_DESC_UPGRADE_AMMO_SMG_2": "Можно переносить на 50%% больше патронов для автомата."
"TUT_WHORED_A_T_BIRD": "Волна Thunderbird"
"TUT_TITLE_RANK_UP": "РАНГ ПОВЫШАЕТСЯ"
"UNL_UPGRADE_AMMO_SMG_1": "ПАТРОНЫ - АВТОМАТ"
"UNL_DESC_DAMAGE_BULLET_2": "Урон от пуль снижается на 10%%."
"TUT_TITLE_GENERAL_BUSTED": "АРЕСТОВАН"
"UNL_DESC_DLC_GAMEPLAY01_ALERT": "В вашем сотовом доступны новые читы."
"UNL_DAMAGE_FALL_3": "УРОН ОТ ПАДЕНИЯ 3"
"UNL_HOMIE_KINZIE": "БРАТОК - КИНЗИ КЕНСИНГТОН"
"TUT_BARNSTORMING_NEW": "Если вы во время полета над городом заметили трудное для пролета место, попробуйте все равно через него пролететь, чтобы заработать дополнительный авторитет!"
"TUT_TITLE_THROW_KILL": "ЖИВОЙ ЩИТ - БРОСИТЬ"
"TUT_ACT_TANK_MAYHEM": "Уничтожьте дорогостоящие цели Синдиката вокруг Стилпорта."
"TUT_TITLE_STRONGHOLD_RESPECT": "НЕДОСТАТОЧНО АВТОРИТЕТА!"
"UNL_DESC_DLC_PREORDER03_OUTFITS": "Защитный боевой костюм."
"UNL_VEHICLE_STAG_PROTOTYPE": "МАШИНА - ПРОТОТИП ТАНКА"
"UNL_GANG_WEAPONS_SMG": "БАНДА - ОРУЖИЕ - АВТОМАТЫ"
"UNL_DESC_DAMAGE_FIRE_2": "Урон от огня снижается на 30%%."
"TUT_WHORED_HUMANTORCH": "ПОДОЖГИ ВСЕХ"
"HUD_CRUISE_CONTROL_ACTIVE": "КРУИЗ-КОНТРОЛЬ ВКЛЮЧЕН"
"COOP_PLAYER_KICKED": "%ls ВЫБРОШЕН ИЗ ИГРЫ"
"CANT_STORE_PARTNERS_CAR": "ВЫ НЕ МОЖЕТЕ СТАВИТЬ В ГАРАЖ МАШИНЫ СВОЕГО ПАРТНЕРА."
"HOOD_NE_03": "РОЗЕН-ОАКС"
"UNL_DLC_PREORDER04_ALERT": "НАБОР \"АТАКА АКУЛЫ\""
"UNL_DESC_CLOTHING_GAS_MASK": "Газовая маска была добавлена в ваш гардероб."
"UNL_DESC_CLOTHING_TOILET": "Туалетный костюм был добавлен в ваш гардероб"
"TUT_WHORED_D_7_INNING": "БОРЬБА ПОЛОВ"
"TUT_WHORED_PICKUPS_BODY": "Ищите на уровне возможности для грабежа, чтобы получить новое оружие, улучшения и боеприпасы."
"TUT_TITLE_OLEG_FOLLOW": "ОСТАВЛЯЯ ОЛЕГА"
"FORMAT_TIME_MINS": "{0} мин."
"HUD_TRIGGER_DISABLED_OTHER": "ВЫ НЕ МОЖЕТЕ ЗАЙТИ СЮДА СЕЙЧАС"
"HOMIES_PIERCE": "ПИРС"
"UNL_DLC_GAMEPLAY03_ALERT02": "НАГРАДЫ - ДЕКЕРЫ"
"TUT_WHORED_Z_GROUP_RATE": "ГРУППОВОЙ ТАРИФ"
"SHOTGUN_BLING": "ПИЖОНСКИЙ ДРОБОВИК"
"WEP_HELI_FIGHTER_01": "МИНИГАН/РАКЕТЫ"
"HUD_TAP_BUTTON": "НАЖАТЬ"
"HUD_HOLD_BUTTON": "ЗАЖАТЬ"
"HUD_PRESS_BACK_CANCEL_DIVERSION": "НАЖМИТЕ %ls ЕЩЕ РАЗ, ЧТОБЫ ОТМЕНИТЬ ХУЛИГАНСТВО"
"UNL_GANG_NPC_STRIP": "ИЗМЕНЕНИЕ БАНДЫ"
"UNL_DESC_HOMIE_HP_INCREASE_1": "Братки получают небольшой прирост здоровья."
"UNL_UPGRADE_AMMO_RIFLE_3": "ПАТРОНЫ - ВИНТОВКА 3"
"UNL_DESC_HOMIE_VTOL": "В вашем телефоне есть номер братка на СВВП. Он поможет Святым в бою."
"UNLOCKABLE_VIEW_MAP_TEXT": "Нажмите %s во время игры, чтобы посмотреть карту"
"UNL_UPGRADE_AMMO_EXPLOSIVE_2": "ВЗРЫВЧАТКА 2"
"UNL_HOMIE_HEALTH_3": "БАНДА - УВЕЛИЧЕНИЕ ЗДОРОВЬЯ 3"
"UNL_DESC_INSTANT_RELOAD_SMG": "Ваши автоматы перезаряжаются мгновенно."
"TUT_WHORED_BRUTAL_ROCKETS": "БРУТАЛЬНЫЕ РАКЕТЫ"
"TUT_M16_CHARGE_CYBERCANNON": "{ATTACK_PRIMARY_IMG} ЗАЖАТЬ КУРОК"
"TUT_RECIEVE_CRIB": "Теперь у вас есть жилье {MAP_IMG_CRIB}.\nЗдесь вы можете хранить деньги, оружие, одежду и машины, а также вносить изменения в свою банду."
"HUD_CANCEL_ACTIVITY": "ОТМЕНИТЬ / ЗАНОВО"
"HUD_METERS": "МЕТРОВ"
"UNL_DESC_WEAPON_CUST_LOW_COST": "Стоимость оружия снижается на 25%% благодаря взлому Мэтта Миллерса."
"UNL_DESC_HEALTH_REGEN_3": "Здоровье восстанавливается значительно быстрее."
"UNL_HOMIE_VIOLA": "БРАТОК - ВИОЛА"
"TUT_TITLE_ACT_INTRO_ESCORT_TIGER": "ТИГРОВЫЙ ЭСКОРТ"
"UNL_DESC_GANG_NPC_HO": "Теперь в вашей банде могут быть шлюхи."
"UNL_DESC_RESPECT_DECKER_1": "За приобретение жилья \"АЭС\" количество любого зарабатываемого вами авторитета увеличивается на 5%%."
"TUT_WHORED_A_SELF_CONSCIOUS": "ЗАСТЕНЧИВЫЙ"
"TUT_WHORED_SQUEAKY_CLEAN": "ИДЕАЛЬНАЯ ЧИСТОТА"
"TUT_OLEG_FOLLOW": "Олег догонит вас, если отстанет - ждать его не нужно. "
"TUT_RECRUITING": "Когда к вам присоединится рекрут, в правом верхнем углу появится его значок. Чем выше ваш ранг, тем больше рекрутов вы сможете набрать, нажимая {RECRUIT_DISMISS_IMG}."
"WPNCAT_SHOTGUN": "ДРОБОВИК"
"MAP_HIDDENNAME_PROPERTY": "СОБСТВЕННОСТЬ"
"UNL_HELIASSAULT": "АТАКА С ВЕРТОЛЕТА"
"UNL_DESC_LUMP_SUM_OF_MONEY": "Святые получают 25 тысяч за возвращение шлюх."
"UNL_DESC_UNLIMITED_AMMO_SPECIAL": "Количество особых патронов не ограничено."
"UNL_DESC_DAMAGE_EXPLOSIVE_NO_RAGDOLL": "Вы никогда не будете терять контроль за движениями, если вас заденет взрывом."
"UNL_WEP_DILDO_BAT": "ОРУЖИЕ - ПЕНЕТРАТОР"
"TUT_COMBAT_GRENADES": "{ATTACK_SECONDARY_IMG} БРОСИТЬ ГРАНАТУ\n{WEAPON_MENU_IMG} + {DPAD_IMG} СМЕНИТЬ ГРАНАТУ"
"PLAYER_HAS_FULL_HEALTH": "ВАШЕ ЗДОРОВЬЕ ВОСПОЛНЕНО."
"UNL_DESC_DLC_ASSET02_OUTFITS02": "Официальный костюм Алтарника из шоу Ночного Клинка."
"TUT_DRONE": "{SAT_FIRE_GUIDED_IMG} УПРАВЛЯЕМАЯ РАКЕТА\n{SAT_FIRE_FREE_IMG}НЕУПРАВЛЯЕМАЯ РАКЕТА"
"TUT_TITLE_COMBAT_RANGED": "УДАЛЕННЫЙ БОЙ"
"WPNCAT_SPECIAL": "ОСОБОЕ"
"UNL_DESC_VEHICLE_MSTAR": "В вашем гараже теперь доступны машины Моргенштернов"
"UNL_DESC_DLC_ASSET04_ALERT": "В вашем гараже и на вертолетной площадке доступен загружаемый контент."
"UNL_DESC_DLC_ASSET01_OUTFITS02": "Разбудите в себе внутреннего самурая."
"UNL_DESC_UNLIMITED_AMMO_SHOTGUN": "Количество патронов для дробовика неограниченно."
"UNL_DESC_DAMAGE_VEHICLE_3": "Урон от столкновений с машинами снижается на 50%%."
"TUT_WHORED_A_VINTAGE_HORROR": "ВИНТАЖНЫЙ КОШМАР"
"TUT_TITLE_ACT_FRAUD_ADRENALINE": "РЕЖИМ АДРЕНАЛИНА"
"TUT_TITLE_CRIB_CASH": "ТАЙНИК С ДЕНЬГАМИ"
"WPN_SHOTGUNCHUM_DESCRIPT": "Эй, на палубе! Нет ничего лучше, чем стрелять в сухопутных крыс рыбьими потрохами, чтобы выманить скрытную канализационную акулу Стилпорта. Тысяча чертей!"
"SMG_SPREAD": "КИБЕРПУШКА"
"SMG_CYBERSPACE": "КИБЕРБЛАСТЕР"
"FRIENDLY_FIRE_TURNED_ON__NYOU_CAN_NOW_DAMAGE_YOUR_PARTNER": "ОГОНЬ ПО СВОИМ ВКЛЮЧЕН!\nвЫ МОЖЕТЕ ПРИЧИНИТЬ ВРЕД ПАРТНЕРУ."
"HOMIES_GANG_NOTORIETY": "ПРОЩЕНИЕ БАНД"
"UNL_DLC_GAMEPLAY01_ALERT": "НАБОР НЕПОБЕДИМОСТИ"
"UNL_STAG_CUSTOMIZATION": "ПРЕДМЕТ - ПРЕДМЕТЫ ОТРЯДА КАБАН"
"UNL_NOTORIETY_LUCHA_2": "ДУРНАЯ СЛАВА - ЛУЧАДОРЫ 2"
"UNL_DAMAGE_BULLET_4": "УРОН ОТ ПУЛЬ 4"
"TUT_NAG_UPGRADE_STORE": "В вашем мобильнике есть магазин улучшений. В нем вы можете улучшать своего персонажа и банду."
"TUT_TITLE_CITY_TAKEOVER": "ЗАВОЕВАНИЕ ГОРОДА"
"TUT_TITLE_NP_TANK_CONTROLS": "УПРАВЛЕНИЕ ТАНКОМ"
"TUT_CRIB_CLOSET": "Это ваш гардероб. \nПереодевайтесь здесь."
"WPN_SATELLITE_DRONE_DESCRIPT": "Ведите наблюдение с воздуха при наведении ракеты точно в цель."
"TUT_WHORED_Z_HOW_ROMANTIC": "КАК РОМАНТИЧНО"
"TUT_STREAKING": "Дважды нажмите {MENU_DP_DOWN_IMG}, чтобы начать бегать голым. \nЕсли вы не носите никакой одежды, вы можете совершить соответствующее хулиганство. "
"HUD_TRIGGER_DISABLED_NOT_UNLOCKED": "ВЫ НЕ МОЖЕТЕ ЗАЙТИ СЮДА, ПОКА НЕ РАЗБЛОКИРУЕТЕ"
"VEHICLE_ADDED_TO_GARAGE": "%ls ДОБАВЛЕНА В ВАШ ГАРАЖ."
"UNL_DESC_DLC_PREORDER04_ALERT": "В вашем гардеробе и арсенале доступен загружаемый контент."
"UNL_DESC_WEEKLY_PAYMENTS_1": "Почасовые выплаты в размере 500 долларов."
"UNL_DESC_WEP_PREDATOR_DRONE": "Взять беспилотник \"Жнец\" вы сможете на оружейном складе в вашем жилище."
"TUT_WHORED_A_TANK": "ТАНК!"
"WPN_VTOL02": "ЛАЗЕРНЫЙ ЛУЧ"
"EXPLOSIVE_SATCHEL": "РАНЦЕВЫЙ ЗАРЯД"
"HOOD_NW_03": "САЛАНДЕР"
"UNL_GIANT_BALL_HOMIE": "ГИГАНТСКИЙ ШАР"
"UNL_DESC_INCOME_MSTAR_2": "Вы получаете бонус 10%% к почасовому доходу с района Нью-Колвин."
"UNL_HOMIE_HP_INCREASE_2": "БРАТОК - УВЕЛИЧЕНИЕ ЗДОРОВЬЯ 2"
"UNL_CLOTHING_KILLBANES_MASK": "ПРЕДМЕТ - МАСКА КИЛЛБЕЙНА"
"UNL_DAMAGE_EXPLOSIVE_1": "УРОН - ВЗРЫВЧАТКА"
"TUT_TITLE_RESPECT_DIVERSIONS": "МЕНЮ ХУЛИГАНСТВА"
"TUT_TITLE_FLASHING": "ЭКСГИБИЦИОНИЗМ"
"ACHIEVE_SR3_GELLIN_LIKE_MAGELLAN": "КАК МАГЕЛЛАН"
"ACHIEVE_SR3_MOURNING_STARS": "ТРАУРНЫЕ ЗВЕЗДЫ"
"UNL_INCOME_EURO_1": "ПОЧАСОВОЙ ДОХОД С РАЙОНА"
"UNL_DLC_CUST01_ALERT": "КОМПЛЕКТ ИЗМЕНЕНИЙ 01"
"UNL_DESC_DLC_PREORDER04_CLOTHING": "Пугайте врагов, надев на голову челюсти большой белой акулы."
"UNL_DLC_ASSET01_OUTFITS01": "КОСТЮМ - РЫЦАРЬ СТИЛПОРТА"
"UNL_DESC_DAMAGE_EXPLOSIVE_2": "Урон от взрывов снижается на 10%%. "
"TUT_WHORED_MEGANINJA": "МЕГА-НИНДЗЯ"
"TUT_AIRSTRIKE": "Авиаудар должен полностью накрыть цель, чтобы обрушить на врагов огненный дождь."
"UNL_GANG_VEHICLES_LUCHA": "БАНДА - НОВЫЕ МАШИНЫ"
"UNL_DESC_AMMO_EURO_2": "Вы можете хранить на 10%% больше боеприпасов в арсенале."
"UNL_DLC_ASSET02_OUTFITS01": "КОСТЮМ - КРОВАВАЯ МОНАШКА"
"UNL_DLC_PREORDER03_WEAPONS": "ОРУЖИЕ - ГРАНАТОМЕТ М2"
"UNL_DESC_RESPECT_BONUS_MODIFIER": "Вы получаете бонус к зарабатываемому авторитету в размере 10%% за уничтожение штаб-квартиры Моргенштерна."
"TUT_WHORED_D_DRINKING_GAME": "КТО БОЛЬШЕ ВЫПЬЕТ"
"TUT_TITLE_GAME_WIN": "ПОЗДРАВЛЯЕМ!"
"TUT_TITLE_DLC_BLING_SHOTGUN": "ПИЖОНСКИЙ ДРОБОВИК"
"TUT_NAG_CRIB_STASH": "Не забывайте забираьт наличку с вашей собственности с помощью мобильного телефона."
"TUT_TITLE_DIVERSION_COMPLETE": "ХУЛИГАНСТВО ВЫПОЛНЕНО"
"TUT_STORE_INTRO_MECHANIC_LARGE": "Механики крупного транспорта помогут вам починить большие машины. Большие машины можно починить только здесь и в вашем гараже."
"MAP_BOOKMARK": "ЗАКЛАДКА В КАРТЕ"
"HOMIES_SAINT_BACKUP_DESC": "Вызовите подкрепление Святых на помощь."
"DISTRICT_SOUTH_WEST": "КАРВЕР-АЙЛЕНД"
"UNL_GANG_NPC_SPACE": "ИЗМЕНЕНИЕ БАНДЫ"
"UNL_GANG_NPC_MASCOT": "ИЗМЕНЕНИЕ БАНДЫ"
"UNL_DESC_UPGRADE_AMMO_GRENADE_3": "Можно переносить на 100%% больше гранат."
"UNL_DESC_UPGRADE_AMMO_SHOTGUN_2": "Можно переносить на 5о%% больше патронов для дробовика."
"UNL_DESC_PICKPOCKET": "Вы можете сталкиваться с людьми и красть у них деньги."
"UNL_HOMIE_SHAUNDI": "БРАТОК - ШАУНДИ"
