"Storye01_In_Crawl_02": "それは人類の歴史の物語"
"CTO_Zimos02_03_Player_BM": "これから奴らの事業をのっとるんだ　その関係には無理があると思うぜ？"
"Story01_Zscene02_06_Gat": "平気だろ　ほっとけ"
"Story21_In_08_Bobby": "ん？　いや待て！　信じられない！　エンジェル・デラムエルテだ！"
"Story16_Out_08_Killbane": "再就職で助けがいれば　いつでも声をかけろ"
"Story15_In_08_Kinzie": "そんなのは序の口　マットがデッカーのユーズネットを\n中央パワーグリッドに接続したら...　とんでもないことになる"
"Story14_In_10_Kinzie": "わからないわ　未公開の中継地からのようね"
"Story13_Out_06_Cyrus": "容易ならお前の手をわずらわすまでもない"
"SH_Morningstar01_03_Player_BM": "せいぜい2人だろ"
"CTO_Kinzie01_08_Kinzie": "デッカーの居場所を突き止めるための　プログラムを書いたの\nログイン中のユーザーが現実世界のどこにいるかが分かるわ"
"Story21_Zscene01_03_Bobby": "まさに袋だたき　ピクリともしなーい！"
"Story01_Zscene02_01_Josh": "みんな　ヘリなんかいらないよ　金庫のボタンを見つけたよ！"
"Story21_Out_03_Zach": "これはすごい！　予想に反してセインツが健闘しています！"
"Story19_In_26_Viola": "ミーハーね..."
"Genki_Both05": "非倫理的！"
"22_Choice_07_Kia": "逮捕だけじゃ何も解決しないわ\nお前らのような人間のくずが\nいかに危険か皆に知ってもらう"
"Story20_Out_04_Player_BM": "ゴチャゴチャと...　やるのかやらねえのかどっちだよ"
"CTO_Pierce02_01_Player_BM": "この店　どう見てもお前の趣味じゃねえよな"
"Story07_Zscene01_08_Player_BM": "ズィーモス　時間がない！"
"Story17_Out_13_Kia": "個人的見解を述べても？"
"Story17_Out_01_Player_BM": "セインツの歴史に残るな"
"Story16_Out_07_Killbane": "マット"
"Story16_In_03_Kinzie": "多少撃たれても死なないけど　精神的ショックを受けすぎると脳死するからね"
"Story09_In_04_Player_BM": "任せとけ　まずは　新しい従業員たちへごあいさつに行こうぜ"
"Story07_In_10_Shaundi": "ジョニーの葬式を...　完全にキレたよ..."
"CTO_Kinzie02_02_Player_BM": "ご忠告どうも..."
"CTO_Pierce02_06_Pierce": "あのデカいビルに隠れてるのに賭けてもいいぜ"
"Story23_Out_13_Player_BM": "ってことは　新しい市長が要るな　お前　公職に興味あるか？"
"Story19_In_17_Oleg": "セレブに心を奪われ　メディアに踊らされている大衆のことかな？"
"Story19_In_12_Reynolds": "セインツの時代が来ると聞いてね　知り合いになっておいて損はないだろう"
"SH_Morningstar01_05_Shaundi": "ゴチャゴチャうるさい　さっさとやるよ"
"Story06_Zscene01_01_Oleg": "ローレンのオフィスはこっちだ！"
"Story20_In_03_Shaundi": "恥かかせるってこと？"
"Story19_In_22_Player": "死体処理は専門じないが　試しにやってみるか"
"Story19_In_11_Reynolds": "ちょっと失礼"
"Story08_In_06_Player_BM": "それもそうだ"
"Story01_In_18_Josh": "俺達ギャングメンなんだろ？　お前らみんな腰抜けだぜ！　もっとガーッと..."
"CTO_Kinzie02_06_Player_BM": "出てこいよ　デッカーは始末したぞ？"
"Story01_Zscene01_08_Josh": "はあ！？"
"Story22_OutB_02_Cyrus": "動くな！"
"Story19_In_21_Reynolds": "協力してくれるかね"
"Story15_Out_01_Player_BM": "機材はそろったか？"
"Story13_Out_01_Cyrus": "キア　応答せよ"
"Story01_In_20_Player_BM": "こりゃ意外な展開だ"
"Story01_In_05_Shaundi": "頼むから余計なことしないで"
"Story07_Zscene01_02_Player_BM": "背中に「Z」って書いてあったりしてな"
"Story23_Out_02_Newscaster": "襲撃について政府の公式見解は出ていませんが　取材の結果..."
"Story20_In_10_Pierce": "きっとブーメランパンツもよく似合うぜ"
"Story11_Out_10_Cyrus": "承知しました"
"Story08_In_05_Pierce": "ショーンディ　いつまでもメソメソしるわけにもいかねえだろ\nそろそろケツにムチ入れてかねえと...　っと　失礼"
"Genki_Bobby04": "妨害してくるマスコットやトラの看板を撃てば賞金がアップ\nでもパンダだけは撃たないように気をつけてくれよな"
"Story19_Out_02_Cyrus": "少々...　困難な事態が発生いたしまして..."
"Story19_In_07_Reynolds": "ヴィオラ　君が紹介したいというのはこいつか？"
"Story08_Out_02_Viola": "業者にすすめられたのよ"
"Story07_Zscene01_06_Player_BM": "クソッ..."
"Story07_Zscene01_03_Pierce": "んなわけねえだろ..."
"Story17_Out_09_Monica": "状況は逐一報告して"
"Story15_In_12_Kinzie": "こんなのよ"
"Story10_In_15_Cyrus": "キア　状況は？"
"Story02_In_13_Phillipe": "もちろん"
"Story02_In_03_Gat": "何が起きたんだ..."
"Story07_Zscene02_03_Pierce": "そんなこと想像させんなよ..."
"Story16_In_05_Kinzie": "でしょう？　いい？"
"SH_Morningstar02_11_Zimos": "「オモチャ」としてオークションに出品されてもらう"
"Story08_Out_06_Matt": "なんてことを...！"
"Story07_In_11_Oleg": "奴は仁義など気にしない男だ"
"Story02_In_23_Phillipe": "私はベルギー人だ！"
"Story02_In_10_Kiki": "来てくれるでしょ...？"
"Story07_In_18_Shaundi": "ヤツらいったい何者なの？"
"CTO_Kinzie01_07_Player_BM": "勘弁してくれよ"
"Story23_Zscene01_02_Player_BM": "着陸成功だな"
"Story01_Zscene01_02_Shaundi": "もう..."
"Story23_In_01_Player_BM": "これまでに多くの仲間を失った　確かにキツいぜ...\nだが少なくともギャットが一緒に大暴れする仲間に不足は無いってことだ"
"Story22_In_07_Player_BM": "いったいどうなってるんだ..."
"Story15_In_13_Kinzie": "この国で一番高性能なコンピューター　STAGが所有してるわ..."
"Story22_Zscene01_07_Player": "クソくらえだ"
"CTO_Pierce01_04_Player_BM": "それで 何を見つけた？"
"CTO_Pierce01_01_Pierce": "見てくれ　ボス..."
"Story24_Out_07_Asst_Director": "アタマからいきます！"
"Story22_In_04_Player_BM": "何だ...？"
"Story20_In_08_Player_BM": "エンジェルのほうが怖いのか？"
"CTO_Kinzie01_03_Player_BM": "それで？　デッカーについて何か分かったか？"
"Story22_In_03_Player_BM": "知るか　企業ゴッコはもうコリゴリだ　それはそうと..."
"Story19_In_03_Player": "はあ？"
"Story17_Out_04_Shaundi": "でもSTAGは？"
"SH_Decker_01_Kinzie": "もう一度　ゆっくり言うわよ？"
"Story13_Out_07_Kia": "確かに"
"Story11_Out_01_Josh": "ジョッシュ・バークです　僕が演じるナイトブレイドは　超イケメンなのに\n周囲からは誤解されているバンパイアです\n毎週体を張って世界を守っています"
"Story07_Out_04_Player_BM": "シンジケートにはツケを払ってもらうぜ...　こっちから殴り込みだ"
"Story19_In_25_Player": "すげえ！　かっこいいな！"
"Story17_Out_12_Cyrus": "いいぞ　ご苦労だった"
"Story10_In_18_Kia": "了解"
"Story10_In_06_Viola": "彼が死んだのは　何でもひとりでできると過信したせいよ"
"Story03_Out_07_Shaundi": "アジトなんか関係ない　銃があるんだから　使えばいいのよ"
"Story21_In_09_Zach": "ペイル・ライダーズの相方！　「黙示録の使者」とも呼ばれた男！\nスーパーKカップ最年少優勝者　エンジェル・デラムエルテが現われました！"
"Story20_In_09_Shaundi": "ゴメン　その格好　超笑える"
"Story20_In_01_Player_BM": "お遊びは終わりだ　キルベインを始末するぜ"
"Story19_In_23_Player": "STAGはいい顔しねえんじゃねえか？"
"SH_Decker_05_Player_BM": "何だって？"
"Story07_Out_06_Killbane": "野蛮人が襲来している時に外交官が役に立つか？　要るのは将軍だろう！"
"Story21_Zscene04_01_Player_BM": "降参か？　タップしろ"
"Story19_In_05_Player": "誰を相手にどんな態度取ろうが　勝手だろ"
"SH_Decker_07_Kinzie": "デッカーが持ってるわ"
"Story15_In_11_Player_BM": "何が要る？"
"Story08_In_02_Pierce": "そういう言い方しなくたっていいだろ"
"Story07_Out_09_Player_BM": "スティールポートに詳しい奴らの協力を取り付けた\nキンジー　ズィーモス　エンジェルだ"
"Story03_Out_05_Shaundi": "ジョニーのためにやるのよ"
"Story02_In_24_Gat": "おとなしくワッフルでも焼いてろ　てめえに用はねえ"
"Story22_Zscene01_01_Player": "マズいぜ！"
"CTO_Kinzie01_09_Player_BM": "それはすごい...　のか？"
"CTO_Pierce01_07_Pierce": "そんときは加勢してくれよ"
"Story01_Zscene01_03_Gat": "こじ開けるのは無理だな　プランBだ"
"Story22_OutB_13_Player_BM": "お前らよく聞け　我々は　敵を地球の果てまで追い詰めると決めた...\nそして実際に追い詰めた"
"Story15_In_16_Player_BM": "あのガキが...　マット？？"
"Story07_Zscene01_04_Pierce": "んなわけあったぜ"
"Story22_OutB_10_Player_BM": "楽しみにしてるよ"
"Story20_In_06_Player_BM": "エンジェルの仕事だろ"
"Story15_In_15_Kinzie": "マズい..."
"Story14_In_13_Player_BM": "任せろ"
"Story01_In_07_Player_BM": "本気でやってもらうさ"
"Story22_OutB_11_Pierce": "これからどうする？　スティルウォーターに戻るか？"
"Story22_OutB_06_Cyrus": "何をバカなことを"
"Story20_Out_03_Killbane": "最強？　最強とはメキシコの吊り橋マッチを制した者のことだ\n一晩で13回防衛した者のことだ　両足を折られても勝ち残った者のことだ！\nイカルスよ...　お前は太陽に近づきすぎている"
"Story17_Out_14_Kia": "もうこれ以上　手加減する必要はないのでは？"
"Story10_In_12_Player_BM": "ヤバいのは確かだ！"
"CTO_Kinzie02_09_Kinzie": "マット・ミラーに近づく手掛かりは出来たわ\nでもデッカーを完全に消し去るには...　やる事はまだまだあるの"
"Story19_In_19_Player": "あとで説明してやるよ"
"Story12_In_06_Kid": "サインください"
"Story07_In_06_Pierce": "あいつら誰だか知らねえが　浮くのはうめえな"
"Story06_Out02_01_Player_BM": "この趣味の悪いピンクは何か考えたほうがいい"
"Story03_Out_01_Shaundi": "次はどうすんの？"
"Genki_Zach07": "ただ一筋縄ではいかないので\n気を引き締めてください"
"Story01_Zscene04_01_Player_BM": "やべえな..."
"Story10_Out_06_Reporter_03": "いや　そうではなく..."
"SH_Morningstar02_08_Player_BM": "気が利くな"
"Story05_In_02_Player_BM": "人のプールで泳ぎやがって..."
"Story06_Zscene01_04_Player_BM": "んなわけねーよ"
"Story23_Out_10_Pierce": "やるじゃねえか　お天気キャスターでもやれよ"
"Story23_In_05_Kinzie": "マズいわ..."
"Story22_Zscene01_06_Killbane": "そうかな？　おまえはドリンクやランチボックスを売るピエロだった\n金のことばかりで　ファンを気にしちゃいなかった　俺はそれを変えたんだ"
"Story16_Out_09_Matt": "マズい...！"
"Story22_OutB_08_Monica": "質問にはすべてお答えします..."
"Story09_Out_02_Matt": "あんなに大勢　手放すのはもったいないと思って"
"SH_Morningstar02_06_Player_BM": "詳しく聞かせてくれ"
"Genki_Zach09": "幸運を祈る"
"CTO_Zimos01_05_Player_BM": "文句はないぜ"
"Story17_Out_15_Cyrus": "あくまで衝撃と畏怖だよ　キア"
"Story13_In_11_Player_BM": "よし　STAG狩りだ"
"Story07_Zscene02_07_Kinzie": "例の男を見つけたわ..."
"Story19_Out_06_Cyrus": "ゾンビにモニカ・ヒューズ..."
"Story17_Out_06_Cyrus": "戒厳令の発令は　まだ想定の範囲内でしょう？"
"Story16_In_01_Pierce": "いよいよ仮想世界にも進出か"
"Story15_In_17_Matt": "そうだ　君たちのヘリを墜落させたサイバーゴッドさ　バイバイ！"
"Story12_In_10_Player_BM": "それはそうと　バークの居場所　見当ついてんのか？　"
"CTO_Zimos01_01_Player_BM": "ズィー..."
"Story13_Zscene01_01_Cyrus": "あきらめろ　既に包囲した"
"Story22_In_02_Pierce": "リー弁護士から連絡で　スタジオで「スペース・ギャングスタ」の撮影だとよ"
"Story21_Out_06_Killbane": "俺の名誉がかかってるんだよ！"
"Story17_Mid_09_Pierce": "はあ！？"
"Story03_Out_03_Shaundi": "冗談じゃない　あたしも戦う"
"CTO_Angel02_01_Player_BM": "ト　ラ　？"
"Story10_Out_02_Reporter_01": "STAGがこの街を占拠する期間は？"
"Story10_In_10_Oleg": "紳士だからな"
"Story02_In_33_Gat": "ゴチャゴチャうるせえ　ボスを頼むぞ！　行け！"
"Genki_Bobby06": "賞金を十分に稼げば\n脱出用の出口が開いて進むことができる"
"Story22_Zscene01_04_Killbane": "いや違う　セインツの伝説はここで終焉を迎えるのだ　静かにひっそりとな"
"Story21_Zscene01_06_Bobby": "なんと！　チェーンソーだ！"
"Story21_Out_07_Killbane": "ここは俺の街だ！　皇帝は俺だ！"
"CTO_Angel02_05_Player_BM": "お前　絶対どっかイカれてるだろ？"
"Story02_Zscene01_02_Gat": "おう！　あとでホームでな..."
"Story13_Out_03_Cyrus": "まだ早い　セインツを駆除してからだ　すぐに情報を送る"
"Story22_Zscene01_09_Player": "さっさと黙らせてやるよ"
"Story21_Zscene02_01_Player_BM": "さあ　シャッターチャンスだ"
"Story01_Zscene02_03_Shaundi": "あんた 全員ムショ送りにしたいわけ？"
"Story24_Out_06_Sci_Fi_Killbane": "次で決められるさ"
"Story14_In_11_Shaundi": "探しだして"
"Story11_In_03_Pierce": "あ...！"
"Story24_Out_10_Sound_Guy": "マイクオン！"
"Story23_Out_06_Player_BM": "キンジー　準備は？"
"SH_Luchadore_01_Player_BM": "何する気だ？"
"Story11_In_05_Pierce": "続きは今度だ　どうしたんだよ？"
"SH_Morningstar02_03_Monica": "STAGイニシアチブが　安全な街を取り戻す第一歩となるでしょう！"
"Story02_In_29_Gat": "たかだか数人程度だろ？　俺ひとりで十分だぜ"
"Story23_Out_16_Jane": "暴力沙汰が珍しくはない場所ですが　今日の襲撃事件は\nスティールポートの最も暗い歴史として残ることとなるでしょう"
"Story23_Out_05_Player_BM": "悪いね"
"Story20_Out_01_Killbane": "諸君...　スティルウォーター・ブッチャーのお出ましだ"
"Story14_In_08_Anna": "なるほど"
"Story06_Out02_02_Oleg": "もっと男らしい色が好みか...　紫は？"
"Genki_Bobby08": "あとひとつ...　このゲームでは休憩が許されない\n生き残りたければ体力回復のターゲットを撃て"
"SH_Decker_08_Oleg": "ありえない　信号が隠ぺいできないだろう？"
"SH_Morningstar02_13_Zimos": "文句が多いな　さっさと車に乗れよ"
"Story07_In_07_Oleg": "キルベインの手下だ"
"CTO_Kinzie02_10_Player_BM": "分かった　何か頼むときは連絡するぜ"
"Story16_Zscene02_05_Player_BM": "はっきりしねえな　具体的に話せ"
"Story23_Out_01_Player_BM": "キンジー　セインツを集めてくれ...　社会科見学だ"
"Story22_OutA_03_Pierce": "高くついたな"
"Story17_Out_03_Viola": "残るはキルベインだけね"
"SH_Decker_09_Kinzie": "ここに保管してるのよ"
"Story10_In_17_Cyrus": "了解　制圧完了したら報告しろ"
"Story08_Out_04_Kiki": "そういうあんたは何か考えたわけ？　エディはどうよ？"
"Story08_In_04_Shaundi": "その杖　喉に突っ込んでやろうか"
"Story07_Out_08_Killbane": "おい今　何て呼んだ...？"
"Story14_Out_04_Player_BM": "わかんねえ！　どうなってやがる！"
"Story11_Out_06_Cyrus": "勝利に必要なのは衝撃と畏怖です　ダイダロスを使えば　すぐに片づきます"
"Story07_In_17_Monica": "夫の勇気を称える橋をよくも！　落ち着いていられますか！\nすぐに戻って緊急議会を開きます　戦争よ！"
"Story01_Zscene02_05_Shaundi": "追いかけなきゃダメ？"
"Story14_Out_07_Player_BM": "お前のせいじゃねえよ　ヘリも変だったしな"
"Story14_Out_03_Shaundi": "ちょっ！　なにやってんのよ！"
"Story05_Out_02_Killbane": "マット　お前は心配しすぎだ"
"22_Choice_04_Player": "エンジェル　そっちに行くまで持ちこたえてくれ―"
"Story03_Zscene01_01_Pierce": "派手に登場するのが好きでね..."
"Story23_Out_07_Kinzie": "オーケーよ"
"Story19_Out_07_Cyrus": "クソッ"
"Story17_Mid_01_Pierce": "次回はアンタが捕虜役だからな"
"Story10_In_13_Viola": "クソッ！"
"Story01_In_13_Gat": "バーク！"
"Story08_In_10_Pierce": "どうしたんだい？"
"CTO_Kinzie02_07_Kinzie": "そうやって気を抜いてると　いかがわしいクラブで働く\nモサドのスパイに仕立て上げられたりするのよ"
"SH_Morningstar02_07_Zimos": "段取りは整ってるぜ"
"CTO_Kinzie02_01_Kinzie": "もっと慎重に行動して　2ブロック手前から丸見えだったわ\n交通違反取り締まり用のカメラがあちこちにあるのよ"
"Story21_Out_08_Killbane": "何が起きようと　宴は続ける..."
"Story13_Out_04_Cyrus": "奴らと取り引きする材料が必要だ　ターゲットを捕えろ"
"Story13_In_09_Oleg": "ここにある"
"Story07_Out_02_Matt": "ヴィオラとキキはローレンの側近だったから　彼女たちに..."
"22_Choice_02_Player": "エンジェル―"
"Storye01_In_Crawl_10": "その中の1つがセインツに戦いを仕掛けてくるのも　時間の問題であった"
"Story17_Out_05_Pierce": "空母を吹っ飛ばしてやったんだぜ？　奴らにこれ以上何ができる？"
"Story07_Out_11_Killbane": "何でもいいから手を打て！　棒みてえに突っ立ってる暇があったらな！"
"Story05_In_01_Pierce": "どうだ？"
"CTO_Zimos01_08_Zimos": "俺に任せな　モーニングスターの内部事情は知り尽くしてる\n新しいアジトも手に入るし　デウィンター姉妹にもひと泡吹かせられるぜ"
"Story01_Zscene01_09_Josh": "そりゃヤバいだろ！"
"Story15_In_01_Kinzie": "電気つけていいわよ"
"Story13_In_10_Pierce": "わざとやったろ"
"Story12_In_08_Pierce": "ジョニーは自分の肖像権をアルターに売ったのさ　映画化もされるらしいぜ"
"Story02_In_05_Gat": "違う　バークの言うとおり　俺らは腰抜けだ\n映画だのCMだの...　セインツはいつから健康ドリンクの名前になったんだ？"
"Story01_In_09_Gat": "あたりまえだろ　ジョニーはみんなのヒーローだ"
"Genki_Zach01": "スティールポートのみなさん\n「天才ゲンキ博士の超絶有頂天倫理委員会」へようこそ！"
"Story01_Zscene02_07_Shaundi": "ヘリで金庫室ごと持ち上げてしまえばいいな"
"Story22_Zscene01_08_Killbane": "約束しよう　俺のこの手がお前の喉を押し潰そうとするとき\nお前の発する言葉は神への祈りでも愛する者への言葉でもない\nそれは「ありがとうございますキルベイン様」だ"
"Story21_Zscene01_01_Bobby": "エンジェルがリングから投げ出されたぁ！"
"Story16_Zscene02_02_Matt": "橋を破壊したのはあんたじゃないって　僕なら証明できる"
"Story01_In_19_Josh": "ちょっ！！"
"Story01_In_27_Shaundi": "写真いいですか？"
"Story02_Zscene01_03_Shaundi": "ジョニー..."
"Story22_OutB_07_Monica": "あなたは厳戒令を敷いた上　街の半分を壊滅させた\nセインツは街の記念碑を守った　民衆はどちらを支持するかしら"
"Story15_In_14_Matt": "情報提供　感謝するよ"
"SH_Morningstar02_10_Player_BM": "イカれた億万長者にでも化ければいいのか？"
"Story13_In_07_Player_BM": "ショーンディ　仲良くな"
"Story10_In_01_Oleg": "ヴィオラ　お前が音楽好きとは知らなかった"
"Story07_In_15_Player_BM": "落ち着くんだ　ショーンディ　何か考えでも？"
"Story07_In_05_Killbane": "ハイライトの時間だ"
"Story02_In_04_Shaundi": "捕まったの"
"22_Choice_10_Kia": "ショーンディとヴィオラが残骸のなかで発見されたら　誰がそれを信じるかしら？"
"Story21_Zscene04_03_Zach": "両腕を折られても屈することのなかった歩く黙示録が！\nギブアップだ！　ブッチャー　快挙です！"
"Story16_Zscene02_04_Matt": "僕は指先ひとつで世界を変えられるんだ"
"Story19_In_10_Player": "あんたのファンだ"
"SH_Decker_12_Kinzie": "デッカーをつぶすのに必要なイスよ"
"Story07_In_12_Player_BM": "ルールなしか　望むところだ"
"Story19_Out_03_Monica": "困難な事態！？　そんな話は聞きたくないわ...　結果を出しなさい！"
"Story11_Out_05_Monica": "戦いに勝つために　一番大切なのは心よ"
"Story10_In_09_Player_BM": "オレグ　我慢できるか？"
"Story02_In_11_Phillipe": "取ってやれ"
"Story01_In_17_Shaundi": "ちょっと　アホなことしないでよ"
"CTO_Kinzie01_06_Kinzie": "レベル上げ"
"Story19_Out_05_Monica": "議会が認めても　国土安全保障省が許可しないわ！\nもう限界よ　私がスティールポートへ行きます！"
"Story17_Out_02_Pierce": "やりすぎたかもな"
"Story21_Zscene03_04_Bobby": "ついに暴かれた歩く黙示録の素顔！\nなんというか...　生え際の後退した　ただの男だね"
"Story01_Zscene02_04_Josh": "男ばっかりの場所なんて嫌だよ！"
"Story01_Zscene01_04_Player_BM": "ジョッシュ　こっちだ"
"Story16_Out_05_Killbane": "俺の下で働くのは楽じゃないからな　報告してくれたことには感謝する\nヴィオラとキキの　あの「退職演説」では殺されても文句は言えまい"
"Story11_In_01_Player_BM": "すぐに荷物をまとめろ"
"Story10_In_07_Player_BM": "狙いは何だ？"
"Story02_Zscene01_01_Shaundi": "ジョニー　ジャンプする！"
"Story11_In_06_Player_BM": "ここは危険だ　荷物を運び出してくれ　時間を稼ぐ"
"Story10_In_14_Oleg": "レディーファーストだ"
"Story14_Out_09_Shaundi": "ちゃんと飛ばしてよ！"
"Story19_Out_04_Cyrus": "でしたら　いますぐダイダロスの使用許可を！"
"Story15_In_06_Kinzie": "マットがフライトコンピューターをハッキングして　電磁パルスで破壊したの"
"Story10_In_03_Player_BM": "言葉に気をつけろ"
"Story07_In_16_Oleg": "シンジケートを恨んでる連中がいる　紹介しよう"
"Story02_In_21_Kiki": "もちろん　課税前の金額のね"
"Genki_Bobby02": "ゲームのルールを説明するぜ"
"Story13_Zscene01_04_Cyrus": "無理な相談だ　STAGの任務はスティルウォーターのギャングを撲滅すること\nしかしどこを集中攻撃するかは私の自由だ　お前がバークを解放すれば\nしばらくシンジケート狩りに専念しよう　お前たちも羽を伸ばせるだろう"
"Story22_OutB_01_Player_BM": "帰ろう"
"Story17_Mid_08_Cyrus": "そうか"
"Story17_In_08_Player_BM": "ショータイムだ"
"SH_Decker_13_Player_BM": "そう言えよ"
"Story15_In_03_Pierce": "ベッドがねえぞ"
"Story08_Out_01_Killbane": "エステティシャンで暗殺だぁ？"
"Story02_In_32_Shaundi": "あんたオートマ限定のくせに　飛行機なんて無茶よ"
"Story16_Zscene02_06_Matt": "好きな企業を選んでくれたら　セインツのものにしてあげるよ\nあんたは権力を取り戻せる　だから見逃してくれ"
"SH_Luchadore_04_Angel": "手当たり次第　ぶちのめす"
"Story14_In_01_Player_BM": "どうした？"
"Story05_Out_03_Phillipe": "まったくだ　ミスター・キルベイン"
"Story01_In_15_Player_BM": "さっさとしな"
"CTO_Angel01_03_Player_BM": "人の好みにケチはつけねえけど　せめて暖房ぐらいはほしいぜ"
"Story17_Out_10_Cyrus": "もちろん"
"Story10_In_04_Viola": "ケンカしに来たんじゃないわ　あたしたち協力しましょう"
"SH_Morningstar02_02_Monica": "テロ行為の首謀者は　必ず見つけ出し　法のもとで責任を問います"
"CTO_Pierce02_08_Pierce": "じゃ　POWDERだ"
"Story14_In_02_Kinzie": "これを見て..."
"Story12_In_13_Pierce": "いいぜ　「ブラッディ・キャノネス」"
"Story01_In_11_Player_BM": "はい皆さん－  "
"CTO_Kinzie01_11_Player_BM": "頼もしいな"
"Story21_Zscene01_05_Bobby": "でも今さら1人加勢しても　とても..."
"Story16_Zscene01_04_Player_BM": "何がどうなってんだ..."
"Story19_In_20_Viola": "あなた　知ってたの？"
"Story17_Out_07_Monica": "あくまでセインツへの対応です　レイノルズ市長は？"
"Story16_In_04_Player_BM": "いい作戦だな..."
"Story11_Out_02_Josh": "STAG隊員はいつも命がけで　ギャングから街を守っている\n君も今すぐSTAG新人採用係に電話して　本物のヒーローになろう"
"Story08_Out_03_Matt": "あまりいい考えとは..."
"Story07_Out_07_Kiki": "エディ　落ち着いて..."
"Story14_In_07_Killbane": "とんでもない　犯罪者はセインツだ　俺は変わり者だが\nあくまでエンターテイナー　兼ビジネスマン　兼慈善活動家..."
"Story11_In_02_Pierce": "2万ドル賭けるんだぜ！"
"Story19_In_09_Reynolds": "私以外にこの街の市長が務まるかね？　選挙民は私の宝だよ"
"Story07_Out_12_Player_BM": "それぞれに仕事を任せてあるから　手が空いたら顔出してやってくれ\nさあようやく戦闘開始だ"
"Story02_In_30_Shaundi": "飛行機なのよ？"
"Story02_In_12_Player_BM": "てめえ　セインツが何だか分かってんだろうな？"
"Story01_In_08_Josh": "銀行強盗するのに　自分のマスクかぶるの？"
"Story17_In_05_Player_BM": "捕虜を連れて歩いてりゃ　勝手に案内されるだろ\nあとはショーンディを助けて逃げるだけだ"
"Story15_In_09_Player_BM": "デッカーを殺る方法は？"
"Story01_In_02_Gat": "強盗だってそう変わらねえよ　準備はいいか？"
