"ACT_WHORED_Z_AGRIZOOPHOBIA": "C'est un gros problème."
"ACT_ESCORT_CRASH_MSG": "LE [format][color:green]CLIENT[/format] VEUT QUE TU PROVOQUES %d POINTS DE DÉGÂTS AVEC TON VÉHICULE"
"ACT_WHORED_A_WRATH_CARDINAL": "Montre à Nyte Blayde comment on fait."
"OPPONENT_CRITICALLY_HIT": "COUP CRITIQUE À L'ADVERSAIRE!"
"ACT_HOSTAGE_RANSOM": "RANÇON : [format][color:orange]%s[/format]"
"ACT_HELI_PROTECTION_DRIVER_DIED": "TU N'AS PAS RÉUSSI À PROTÉGER LE VAN"
"CHOP_MUSCLE_RIMS": "JANTES \"GONFLÉES\""
"ACT_TRAFFIC_DRIVE_HOME": "PROTÈGE LE [format][color:green]DEALER[/format] PENDANT QU'IL RENTRE [format][color:teal]CHEZ LUI[/format]"
"ACT_FRAUD_BONUS_CRAZY_DRIVER": "BONUS FOU DU VOLANT"
"HASH_49748FAB": "GARE-TOI À L'ENDROIT [format][color:teal]INDIQUÉ[/format] PAR LE [format][color:green]CLIENT[/format]"
"ACT_WHORED_Z_FOOD_TRUCK": "Massacre-les."
"ACT_RUNNING_MAN_FAILURE_TIME": "LE TEMPS S'EST ÉCOULÉ AVANT QUE TU SORTES."
"TUT_ACT_INTRO_TANK_MAYHEM": "Provoque %ls $ de dégâts avant la fin du temps. Si tu dégommes plusieurs trucs d'affilée rapidement, tu gagneras un bonus combo."
"ACT_HELI_BOAT_HUD_TEXT": "LIVRAISONS DE DROGUE RESTANTES"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_CLIENT_MESSAGE": "Tu as tué la célébrité, l'ennemi jubile!"
"ACT_FRAUD_MESSAGE_AIRTIME_MULT_TYPE": "RECORD AÉRIEN EN FRAUDE"
"ACT_FRAUD_BONUS_COOP_GANGBANG": "BONUS MEMBRE DE GANG"
"ACT_CHOP_LIST": "Ramène les voitures de la liste au [format][color:green]garage clandestin[/format]."
"ACT_WHORED_D_DRINKING_GAME": "Bois un coup à chaque fois que tu touches une bouteille de bière."
"ACT_WHORED_D_WELCOME": "Rends Lars fier de toi."
"CHOP_SHOP_VIEW_LIST": "VOIR LA LISTE DU GARAGE CLANDESTIN"
"ACT_HELI_KILL_CARS_START_MESSAGE": "DÉTRUIS LES [format][color:red]VOITURES[/format]"
"ACT_ESCORT_DRIFT_MSG": "LE [format][color:green]CLIENT[/format] VEUT QUE TU {HANDBRAKE_IMG} DÉRAPES PENDANT %d SECONDES"
"ACT_WHORED_A_WELL_DONE": "La meilleure façon d'apprécier la viande."
"ACT_WHORED_DILDO_FAIL": "T'as besoin de plus d'endurance peut-être?"
"ACT_RUNNING_MAN_HEALTH_TARGET": "BONNE SANTÉ!"
"TUT_TITLE_ACT_TANK_MAYHEM_REPAIR": "RÉPARER"
"CRITICAL_VEHICLE_TIME_TO_RETURN_TEXT": "TU AS %d SECONDES POUR RETOURNER AU [format][color:green]VÉHICULE[/format]"
"ACT_VANDAL_TRUCK_SMALL_PICKUPS_MSG": "PICKUPS"
"ACT_VANDAL_COMBO_BREAKER_MSG": "COMBO BRISÉ!"
"ACT_TRAFFIC_DRIVER_DEAD": "LE DEALER A ÉTÉ TUÉ."
"ACT_TORCH_OBJECTIVE_02": "GAGNE DU TEMPS BONUS EN PROVOQUANT DES DÉGÂTS PUIS EN PASSANT LES CHECKPOINTS"
"ACT_HUMAN_TORCH_START": "COMMENCER TRAÎNÉE ARDENTE"
"ACT_WHORED_D_CYPRIAN_ORDER": "Botter des culs pour le Seigneur."
"TUT_ACT_INTRO_GUARDIAN_ANGEL": "Protège la cible des ennemis pendant qu'elle accomplit ses objectifs."
"ACT_VANDAL_CIVILIAN_MSG": "CIVILS"
"ACT_TRAFFIC_POLICE_STING_ESCAPE": "LES [format][color:red]FLICS[/format] TE POURSUIVENT!"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_5SEC": "5..."
"ACT_TORCH_LOST_TIME": "LE TEMPS EST ÉCOULÉ"
"ACT_WHORED_A_TINY_PROBLEMS": "Ils ne sont pas toujours commodes..."
"ACT_WHORED_A_BOOM_HEADSHOT": "Une balle dans la tête. C'est le seul moyen de pas se rater."
"ACTIVITY_SUCCESS_SUB_TEXT": "BRAVO"
"ACT_VANDAL_SUMMARY_DESTRUCTION": "DESTRUCTION"
"ACT_WHORED_NUTSHOOT_FAIL": "Tu n'as pas été assez rapide."
"ACT_PIMP_START": "COMMENCER MAC À DAMES"
"ACT_TRAFFIC_BUYER_FLEE_GETTING_AWAY": "L'[format][color:red]ACHETEUR[/format] S'ENFUIT"
"ACT_PIMPING_TRAP_SPRUNG_GET_CONTACTS": "C'EST UN PIÈGE! RECRUTE LES [format][color:green]CONTACTS[/format] ET BARRE-TOI D'ICI."
"ACT_HELI_LIBERATOR_START_MESSAGE": "DES SAINTS ONT ÉTÉ ARRÊTÉS. ENDOMMAGE LES [format][color:red]BUS[/format] POUR LES ARRÊTER ET EMMÈNE LES SAINTS EN LIEU SÛR"
"ACT_FRAUD_CHANGE_LOCATION": "LA [format][color:teal]ZONE DE SCORE[/format] A BOUGÉ"
"ACT_ESCORT_TIGER_MINIGAME_MSG": "Utilise {ANALOG_RS_IMG} pour trouver la zone qui démange le tigre. Ensuite, gratte-la délicatement avec {ANALOG_LS_IMG}"
"ACT_WHORED_Z_GATS_WET": "On y est allé."
"ACT_WHORED_TANK_FAIL": "Pas de tank pour toi!"
"ACT_WHORED_STRIPPERS_FAIL": "Tu as des roquettes, pas vrai?"
"ACT_VANDAL_TRAILERS_MSG": "SEMI-REMORQUES"
"ACT_VANDAL_START_MSG": "VA DANS LE [format][color:teal]DISTRICT[/format] SUIVANT : %ls"
"ACT_VANDAL_BONUS_CLOSE_CHAOS": "BONUS TRAVAIL D'ÉQUIPE"
"ACT_PIMPING_RESCUE_CONTACT_KILL_COPS": "TUE LES [format][color:red]FLICS[/format] ET SAUVE LE [format][color:green]CONTACT[/format]"
"ACT_PIMPING_RECAPTURE_CONTACT_START": "UN [format][color:red]DECKER[/format] CAPTURE À NOUVEAU UN DES [format][color:green]CONTACTS[/format]. RAMÈNE-LE!"
"ACT_PIMPING_YOU_NEED_MORE_HOS": "IL TE FAUT PLUS DE [format][color:green]PUTES[/format]"
"ACT_ESCORT_AIR_MSG": "Reste %.2f secondes dans les airs"
"ACT_WHORED_Z_START_YOUNG": "On commence par les orteils, et on remonte jusqu'à la tête."
"ACT_WHORED_SQUEAKY_CLEAN_FAIL": "La poupée gonflable fait des merveilles avec le bon angle."
"ACT_WHORED_SWAG_BAG_FAIL": "Les peluches ont gagné. La honte."
"MISSION_FAILURE_BUSTED_TEXT": "TU T'ES FAIT AVOIR"
"ACT_PIMPING_TRAP_GET_CONTACTS": "BIEN JOUÉ, MAINTENANT, RÉCUPÈRE CES [format][color:green]CONTACTS[/format]"
"ACT_GUARDIAN_ANGEL_BEHIND_ATTACKER": "L'AGRESSEUR ARRIVE [format][color:red]DERRIÈRE[/format] LE CLIENT"
"ACT_FRAUD_DONT_KILL": "TU SERAS PÉNALISÉ POUR CHAQUE PERSONNE TUÉE"
"ACT_ESCORT_TRIP_BROTHEL_MSG": "AMÈNE LE [format][color:green]CLIENT[/format] S'AMUSER UN PEU AU [format][color:teal]BORDEL[/format]"
"ACT_WHORED_Z_OUTMATCHED": "Réfléchis vite."
"ACT_WHORED_MINIFURRIES": "Ne te laisse pas attendrir par ces adorables petites créatures, elles ont des roquettes!"
"ACT_VANDALISM_START": "COMMENCER CHAOS"
"CHOPSHOP_REQ_MODS": "MODIFICATION(S) REQUISE(S) :"
"ACT_VANDAL_HELICOPTER_MSG": "HÉLICOPTÈRES"
"ACT_TORCH_TIME_EARN_PARAMETERIZED_STRING": "UN BONUS DE SECONDES EST AJOUTÉ AU TEMPS RESTANT LORSQUE TU PASSES UN CHECKPOINT"
"ACT_FRAUD_BONUS_LOCATION": "SI TU FEINS LE COMA DANS LA ZONE INDIQUÉE SUR LA MINI-CARTE, TU RECEVRAS UN BONUS"
"ACT_ESCORT_FOOTAGE": "IMAGES"
"ACT_WHORED_DRUNKENROCKETS": "Boire ou lancer des roquettes, il faut choisir. Mais nous, on va faire les deux!"
"ACT_TANK_MAYHEM_LEFT_HOOD": "REVIENS DANS TA ZONE DÉSIGNÉE!"
"TUT_ACT_TANK_MAYHEM_HVT_FOUND": "Certaines Cibles de valeur rapportent plus d'argent quand elles sont détruites."
"ACT_VANDAL_COMBO_TOTAL": "TOTAL COMBO : %ls"
"ACT_PIMPING_TRAP_SPRUNG_KILL_DECKERS": "C'EST UN PIÈGE! TUE TOUS LES [format][color:red]DECKERS[/format] AVANT DE RECRUTER LES [format][color:green]CONTACTS[/format]."
"ACT_HELI_ACTIVITY_BOMB_MESSAGE": "PLACE DES CHARGES POUR DÉTRUIRE CETTE [format][color:blue]STRUCTURE[/format]"
"HOSTAGE_FAILURE": "ACTIVITÉ OTAGE RATÉE"
"ACT_WHORED_ZOMBIES_EXPLODE_FAIL": "C'est eux qui doivent exploser, pas toi."
"GAMEPLAY_SMOKED": "T'AS ÉCHOUÉ!"
"ACT_WHORED_D_ROMERO_REVENGE": "Les outils électriques, c'est l'éclate."
"ACT_WHORED_MEGACAN": "Le voilà!"
"HORDE_CHARACTER_CYRUS": "CYRUS"
"SUCCESS_RESPECT_TEXT": "RESPECT"
"ACTIVITY_FAILURE_SUB_TEXT": "ÉCHEC"
"ACT_TRAFFICKING_NAME": "TRAFIC"
"CHOP_SPORT_FRONT_BUMPER": "PARE-CHOCS AVANT SPORT"
"ACT_ESCORT_NEWS_WARNING_MSG": "SI TU APPROCHES TROP D'UN VAN DE JOURNALISTES, LA JAUGE DE PLAISIR STAGNERA"
"ACT_WHORED_A_BATH_TOY": "Mieux qu'un canard en plastique."
"ACT_RUNNING_MAN_TITLE_SHORT": "PROFESSOR GENKI'S S.E.R.C."
"CHOP_OFF_ROAD_1_BUMPERS": "PARE-CHOCS TOUT TERRAIN 1"
"ACT_VANDAL_START_3_MSG": "SI TU DÉGOMMES PLUSIEURS TRUCS D'AFFILÉE RAPIDEMENT, TU GAGNERAS UN BONUS COMBO"
"ACT_WHORED_STARPOWER2": "Les ennemis explosent à votre contact!"
"ACT_WHORED_MINIZOMBIES": "Une armée de morts-vivants... en format réduit."
"HORDE_CHARACTER_BOBERT": "BOBERT"
"ACT_RUNNING_MAN_WAGER_DESCRIPTION": "VEUX-TU REJOUER TES GAINS ACTUELS À QUITTE OU DOUBLE AU NIVEAU SUIVANT?\n\nRÉUSSIS LE NIVEAU SUIVANT ET DOUBLE TES GAINS!!! SI TU FOIRES, TU REPARTIRAS SANS RIEN.\n\nALORS?"
"ACTIVITY_NAME_ESCORT": "ESCORTE"
"HASH_289F1039": "LE [format][color:green]CLIENT[/format] A FAIM, AMÈNE-LE AU [format][color:teal]COMPANY OF GYROS[/format]"
"ACT_WHORED_COMM_SERVICE": "Fais voir à ces boissons que tu n'en as pas besoin."
"CHOP_RACING_EXHAUST": "POT D'ÉCHAPPEMENT DE COURSE"
"ACT_ZOMBIE_FAIL": "TU N'AS PAS RÉUSSI À REPOUSSER LES ZOMBIES"
"ACT_VANDAL_BONUS_TOTAL": "TOTAL"
"ACT_ACTIVITY_DESCRIPTION_2": "Gagne un peu de respect en essayant l'activité Mac à dames."
"CRITICAL_VEHICLE_ABANDONED_VEHICLE_TEXT": "TU AS ABANDONNÉ LE VÉHICULE"
"ACT_VANDAL_SUMMARY_FAVORITE_WEAPON": "ARME FAVORITE"
"ACT_VANDAL_START_NO_DISTRICT_MSG": "Cause le plus grand chaos possible."
"ACT_VANDAL_PROPERTY": "PROPRIÉTÉ"
"ACT_TRAFFIC_CHASE_HELICOPTER_NOTORIETY": "L'[format][color:red]HÉLICO DES JOURNALISTES[/format] AUGMENTE TA NOTORIÉTÉ POLICE!"
"ACT_TORCH_START_TEXT1": "VISE LES BARILS ET LES TRACES D'ESSENCE POUR PROVOQUER DE GROSSES EXPLOSIONS"
"ACT_CHOP_SHOP_DELIVER_CAR_MSG": "Livre la voiture au garage clandestin."
"ACT_WHORED_A_ICON": "Il est too much."
"ACT_WHORED_NUTSHOOT": "Vise les parties!"
"ACT_WHORED_MONEYSHOTS_FAIL": "Vise la tête, c'était pas qu'une suggestion."
"ACT_WHORED_ZOMBIE_UPRISING_FAIL": "Mmmmm... des cerveaux."
"ACT_PIMPING_RESCUE_KILL_COPS": "TUE LES [format][color:red]FLICS[/format] ET DÉLIVRE LES [format][color:green]PUTES[/format]"
"ACT_HELI_START": "COMMENCER ASSAUT HÉLICO"
"ACT_HELI_LIBERATOR_PICKUP_INFORMATION_MESSAGE": "EMBARQUE LES SAINTS ET EMMÈNE-LES DANS UN [format][color:blue]ENDROIT SÛR[/format]"
"ACT_WHORED_ZOMBIE_SLAYER_FAIL": "Lève-toi, champion! Saisis ta lame et continue de purger le mal!"
"ACT_WHORED_NUTSHOTS_FAIL": "N'aie pas peur, vise les bijoux de famille."
"ACT_VANDAL_TIME_SUCCESS_MSG": "Bien joué. Va chercher ton argent."
"ACT_VANDAL_SMG_MSG": "MITRAILLETTE"
"ACT_FRAUD_BONUS_CLIFF_DIVER": "BONUS DISTANCE VERTICALE"
"ACT_DEMO_DERBY_CASH": "ARGENT BONUS :"
"ACT_VANDAL_TIME_FAIL_MSG": "C'EST TROP TARD"
"ACT_VANDAL_SHOTGUN_MSG": "FUSIL À POMPE"
"ACT_TRAFFIC_DEALING_PROTECT": "PROTÈGE LE [format][color:green]DEALER[/format] AINSI QUE [format][color:green]L'ACHETEUR[/format]"
"ACT_PIMPING_RESCUE_CONTACT_KILL_DECKERS": "TUE LES [format][color:red]DECKERS[/format] ET SAUVE LE [format][color:green]CONTACT[/format]"
"ACT_PIMPING_VEHICLE_ROUTE_HOS": "ARRÊTE LE [format][color:red]VÉHICULE[/format] ET RÉCUPÈRE LES [format][color:green]PUTES[/format]"
"ACT_WHORED_DRINKING_GAME_FAIL": "Il y avait trop de sang dans l'alcool qui coule dans tes veines."
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS": "OBJECTIF SCORE RATÉ."
"ACT_TRAFFICKING_DEAL_COUNT_UPDATED": "AFFAIRES CONCLUES"
"ACT_TRAFFIC_DEALER_ATTACK": "LE [format][color:green]DEALER[/format] SE FAIT ATTAQUER"
"ACT_PIMPING_RECAPTURE_START": "UN MEMBRE DES [format][color:red]ÉTOILES DU MATIN[/format] EMBARQUE UNE DE TES [format][color:green]PUTES[/format]. RAMÈNE-LA!"
"ACT_FRAUD_BONUSES": "TU AS LE(S) BONUS :"
"ACT_WHORED_SQUEAKY_CLEAN": "La honte ultime."
"ACT_WHORED_MINI_SAMURAI_FAIL": "Cette épée était trop grosse pour toi?"
"ACTIVITY_NAME_GUARDIAN": "ANGE GARDIEN"
"CHOP_RACING_CONVERTIBLE_ROOF": "DÉCAPOTABLE SPORTIVE"
"ACT_VANDAL_JETSKI_MSG": "SCOOTERS DES MERS"
"ACT_VANDAL_BONUS_MSG": "BONUS"
"ACT_PIMPING_TRAP_GET_HOS": "BIEN JOUÉ, MAINTENANT, RÉCUPÈRE CES [format][color:green]PUTES[/format]!"
"ACT_GUARDIAN_ANGEL_RIGHT_ATTACKER": "L'AGRESSEUR ARRIVE SUR LA [format][color:red]DROITE[/format]"
"ACT_FRAUD_BONUS_SUCCESSIVE_CARS": "BONUS FLIPPER"
"ACT_ESCORT_FAIL_FOOTAGE": "TROP D'IMAGES ONT ÉTÉ PRISES, ÉCHAPPE-TOI EN PRENANT DES RUELLES"
"ACT_WHORED_MALLCOP_FAIL": "Pleure, agent de sécurité..."
"ACT_PIMPING_HOS_NEEDED_COUNT_UPDATED": "PUTES : %i"
"ACT_ZOMBIE_USE_MESSAGE_TEXT": "LANCER ZOMBIE"
"ACT_ESCORT_TOUCH_MINIGAME_MSG": "Utilise {ANALOG_RS_IMG} pour trouver le point sensible, puis touche-le avec {ANALOG_LS_IMG}"
"ACT_ESCORT_OBJECTIVE_MSG": "Fais plaisir au [format][color:green]client[/format] en l'escortant à travers la ville et en évitant les paparazzi."
"ACT_WHORED_MEGA_ZOMBIE": "Zombies 2.0 : plus gros, plus forts, plus combustibles."
"ACT_LEVEL_2": "NIVEAU 2"
"ACT_VANDAL_COMBO_MSG": "COMBO :"
"ACT_VANDAL_CAR_STANDARD_MSG": "BERLINES"
"ACT_PIMPING_GET_CLOSER_TO_HOS": "RAPPROCHE-TOI DES [format][color:green]PUTES[/format]"
"ACT_WHORED_MEGA_ZOMBIE_FAIL": "Bon, on t'avait prévenu."
"TUT_ACT_TANK_MAYHEM_TUTORIAL_TANK_REPAIR": "Les icônes de réparation sur la carte permettent de réparer le tank."
"ACT_TORCH_RACE_INSTRUCTIONS2": "Gagne des points en brûlant des piétons et des véhicules."
"STICK_ROTATION_UTIL_CLOCKWISE_MESSAGE": "À DROITE"
"ACT_VANDAL_TRUCK_BIG_SEMI_CAB_MSG": "SEMIS"
"ACT_VANDAL_AIRPLANE_MSG": "AVIONS"
"ACT_PIMPING_RESCUE_PIMPS_REROUTE": "LES [format][color:green]PUTES[/format] ONT ÉTÉ ENLEVÉES, VA LES SAUVER"
"ACT_ESCORT_FAIL_CAR_DESTROYED": "TA VOITURE A ÉTÉ DÉTRUITE"
"HASH_6A5B3243": "ACTIVITÉ NON DISPONIBLE"
"ACT_WHORED_BRUTEBOOM_FAIL": "Pousse-les avant qu'ils ne te poussent."
"ACT_WHORED_ZOMBIE_CHAINSAW_FAIL": "Même une poule n'aurait pas peur de toi."
"ACT_WHORED_SAUSAGE_FEST": "Une belle portion de saucisses."
"HASH_410CDA44": "PROMÈNE LE [format][color:green]CLIENT[/format] DANS [format][color:teal]SAINTS ROW[/format]"
"ACT_RUNNING_MAN_TITLE": "PROFESSOR GENKI'S S.E.R.C."
"ACT_VANDAL_SUCCESS_MSG": "Retourne à l'emplacement indiqué."
"ACT_PIMPING_CONTACTS_COLON": "CONTACTS :"
"ACT_GUARDIAN_ANGEL_NAME": "ANGE GARDIEN"
"CUSTOMIZATION_GARAGE_FULL": "Tu dois supprimer un véhicule de ton garage pour utiliser la personnalisation."
"ACT_WHORED_Z_BOARDER_GUARD": "Steelport a un problème avec les clandestins."
"ACT_WHORED_Z_THEME_PARK": "Non, je ne VEUX PAS de photo."
"ACT_WHORED_BAT_FAIL": "Batteur éliminé!"
"ACT_TRAFFIC_DEALER_WAITING": "LE [format][color:green]DEALER[/format] EST PRÊT À CONDUIRE."
"ACT_HELI_LIBERATOR_ATTACK_INFORMATION_MESSAGE": "TIRE SUR LES [format][color:red]BUS[/format] POUR LES ARRÊTER"
"ACT_ESCORT_SPOUSE_SPAWNED": "ÉCHAPPE À LA [format][color:red]LÉGITIME[/format] DE TON [format][color:green]CLIENT[/format]"
"HOSTAGE_SUCCESS": "ACTIVITÉ OTAGE RÉUSSIE"
"ACT_TANK_MAYHEM_TITLE": "CHAOS TANK"
"ACT_HOSTAGE_FAILURE_REASON": "LES OTAGES SE SONT ENFUIS"
"ACT_PIMPING_GET_CLOSER_TO_CONTACTS": "RAPPROCHE-TOI DES [format][color:green]CONTACTS[/format]"
"ACT_FRAUD_BONUS_COOP_CHAIN": "BONUS CHAÎNE"
"ACT_ESCORT_ALMOST_LOSE_MSG": "LES JOURNALISTES ONT PRESQUE DE QUOI FAIRE"
"ACT_ESCORT_OBJECTIVE_TEXT_01": "RÉPONDS AUX BESOINS DES CLIENTS"
"ACT_VANDAL_OBJECTIVE_1": "PROVOQUE %d $ DE DÉGÂTS DANS LE TEMPS IMPARTI"
"ACT_TRAFFIC_POLICE_STING_UNCUFF": "{ACTION_IMG} ENLEVER LES MENOTTES AU DEALER"
"ACT_HELI_NEWS_VAN_HUD_TEXT": "VANS DE JOURNALISTES À DÉTRUIRE"
"ACT_FRAUD_VISIT_BONUS_AREA": "LES [format][color:teal]ENDROITS[/format] SPÉCIAUX MARQUÉS SUR LA CARTE TE RAPPORTERONT UN BONUS D'ARGENT."
"ACT_FRAUD_HUD_MULT_X": "X"
"HASH_DF9F0AC8": "LE QUARTIER SUIVANT EST ATTAQUÉ : %ls"
"HASH_CA158948": "AMÈNE LE [format][color:green]CLIENT[/format] SUR LES [format][color:teal]QUAIS[/format]"
"ACT_WHORED_QUESTION_MARKS_FAIL": "Pas de question."
"ACTIVITY_NAME_SNATCH": "MAC À DAMES"
"ACT_GUARDIAN_ANGEL_FOLLOW_IN_HELI": "MONTE DANS L'HÉLICO POUR SUIVRE TES POTES"
"TEMP_LAST_MINUTE_1": "OUVRIR LE GARAGE CLANDESTIN"
"ACT_VANDAL_SUMMARY_PEOPLE_KILLED": "PERSONNES TUÉES"
"ACT_HELI_PROTECTION_HUD_TEXT": "BLOCAGES RÉUSSIS"
"ACT_ESCORT_NEAR_MISS_MSG": "LE [format][color:green]CLIENT[/format] VEUT QUE TU RÉUSSISSES %d ESQUIVES DE VÉHICULES À LA SUITE"
"ACT_RUNNING_MAN_INTRO_L_1": "Obtiens 1 000 $ en détruisant les cibles et en tuant les ennemis, puis quitte la salle avant la fin du temps. Si tu dégommes plusieurs trucs d'affilée rapidement, tu gagneras un bonus combo."
"ACT_FRAUD_FIELD_DIVIDER": "/"
"ACT_ZOMBIE_SURVIVOR_REVIVE": "Tu as %d secondes pour réanimer un survivant!"
"ACT_PIMPING_RESCUE_KILL_PIMPS": "TUE LES [format][color:red]ÉTOILES DU MATIN[/format] ET DÉLIVRE LES [format][color:green]PUTES[/format]"
"ACT_HUMAN_TORCH_TITLE": "CHOIX DU NIVEAU TRAÎNÉE ARDENTE"
"HASH_7E62454A": "TU AS ABANDONNÉ TON QUARTIER"
"ACT_WHORED_A_FISTING": "C'est un talent."
"ACT_WHORED_WEENIEROAST": "Grillée sur le feu, un délice."
"ACT_VANDAL_MOTORCYCLE_MSG": "MOTOS"
"ACT_TRAFFIC_NOT_IN_VEHICLE": "REMONTE DANS LA VOITURE"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_HELPER_MESSAGE": "TU AS TUÉ L'ASSISTANT"
"ACT_GUARDIAN_ANGEL_HELICOPTER_ATTACKER": "La sentinelle a repéré un [format][color:red]hélicoptère[/format] en approche."
"ACT_FRAUD_NO_SCORE": "TU N'AS RIEN GAGNÉ CAR TU AS FEINTÉ L'ACCIDENT HORS DE LA [format][color:teal]ZONE DE SCORE[/format]"
"ACT_FRAUD_MESSAGE_WITNESS_MULT_TYPE": "RECORD TÉMOINS EN FRAUDE"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE": "RECORD DISTANCE LINÉAIRE EN FRAUDE"
"ACT_WHORED_A_RECYCLE": "Tu vois? Notre jeu transmet un message positif."
"ACT_WHORED_QUESTION_MARKS": "Points d'exclamation en approche!"
"ACT_WHORED_TANK": "Ce tank est pour toi."
"ACT_WHORED_THE_END_FAIL": "Encore... une... vague. On y va!"
"HORDE_MODE_OTHER_PLAYER_DISCONNECTED": "La connexion avec l'autre joueur a été perdue. Tu dois quitter le mode Horde. Tu vas revenir au menu principal."
"ACTIVITY_NAME_TRAIL_BLAZING": "TRAÎNÉE ARDENTE"
"ACT_VANDAL_TRUCK_TRAILER_MSG": "CAMPING-CARS"
"ACT_VANDAL_BONUS_WEAPON": "BONUS ARME"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_4SEC": "4..."
"ACT_PIMPING_YOU_NEED_MORE_CONTACTS": "IL TE FAUT PLUS DE [format][color:green]CONTACTS[/format]"
"ACT_PIMPING_TRAP_SPRUNG_KILL_PIMPS": "C'EST UN PIÈGE! TUE TOUS LES MEMBRES DES [format][color:red]ÉTOILES DU MATIN[/format] AVANT DE RECRUTER LES [format][color:green]PUTES[/format]."
"ACT_HELI_VAN_LOW_HEALTH_TEXT": "LE [format][color:green]VÉHICULE DE TON POTE[/format] EST SALEMENT ENDOMMAGÉ"
"ACT_CHOP_SHOP_FAIL_TIME_MSG": "Le temps est écoulé."
"ACT_WHORED_D_CAAN_COOLJ": "Le Roller derby ne sera plus jamais comme avant."
"ACT_WHORED_ZOMBIE_INFERNO_FAIL": "CONSEIL : Évite les zombies qui explosent. Utilise-les comme des bombes."
"HORDE_CHARACTER_ZIMOS": "ZIMOS"
"MISSION_FAILURE_PASSED_OUT_TEXT": "T'ES RAIDE"
"ACT_VANDAL_PEDESTRIAN": "PIÉTON"
"ACT_VANDAL_IN_DISTRICT_MSG": "À l'aide des armes fournies, dégomme les objets, les véhicules et les gens pour gagner de l'argent."
"ACT_HUMAN_TORCH_OBJECTIVE_MSG": "FONCE VERS L'ARRIVÉE EN PERCUTANT ET EN DÉTRUISANT LES VOITURES POUR OBTENIR DU TEMPS BONUS"
"ACT_FRAUD_ADRENALINE_READY": "MODE ADRÉNALINE ACTIVÉ"
"HASH_90E08F4D": "SORTIE DU TERRITOIRE CONVOITÉ"
"ACT_WHORED_RESTART_WARNING": "Commencer une nouvelle partie effacera votre progression sur cette carte. Continuer?"
"ACT_WHORED_MEGAFURRIES_FAIL": "Elle était pas si douce cette peluche."
"ACT_VANDAL_PENALTY_MSG": "PÉNALITÉ"
"ACT_VANDAL_CAR_BIG_DOMESTIC_MSG": "GROSSES VOITURES"
"ACT_CLIENT_HASNT_COMPLETED": "({CLIENT_NAME} N'A PU SE LANCER)"
"ACT_WHORED_Z_TEXAS_ZOMB": "Visiblement, l'adage se confirme..."
"ACT_WHORED_D_7INNING": "Hot-dogs, qui veut un hot-dog?"
"ACT_LEVEL_7": "NIVEAU 7"
"ACT_GUARDIAN_ANGEL_CAR_ATTACKER": "La sentinelle a repéré une [format][color:red]voiture[/format] en approche."
"ACT_WHORED_Z_ERECTILE_DYS": "Ça peut arriver à tout le monde."
"ACT_WHORED_Z_WELCOME": "C'est bon d'avoir le dessus."
"ACT_VANDAL_SUMMARY_OBJECTS_DESTROYED": "OBJETS DÉTRUITS"
"ACT_VANDAL_STATIC_BONUS_BIGTRUCK_MSG": "BONUS CAMION"
"ACT_HELI_CHOPLIFTER_FULLY_LOADED_MESSAGE": "L'HÉLICOPTÈRE EST PLEIN, EMMÈNE LES PASSAGERS EN [format][color:blue]LIEU SÛR[/format]"
"ACT_FRAUD_HITS_HUD": "ACCIDENTS :"
"ACT_ESCORT_LIMO_MSG": "PRENDS LA [format][color:green]VOITURE[/format] ET VA CHERCHER LE CLIENT"
"HASH_3662C1D0": "TU N'AS PAS RÉUSSI À REPRENDRE TON QUARTIER"
"ACT_WHORED_D_STEELPORT_CONNECTION": "Les poings de la colère"
"ACT_WHORED_FLAMEBRUTE": "Des brutes flambées pour la deux!"
"ACT_WHORED_ZOMBIE_SLAYER": "Avec tes armes sacrées, tu purifies le monde du fléau des morts-vivants!"
"ACT_WHORED_OLD_SCHOOL": "Pas de sprint, pas de régénération de santé. Juste ton fusil et ton instinct de survie."
"ACT_PIMPING_TRAP_SPRUNG_GET_HOS": "C'EST UN PIÈGE! RECRUTE LES [format][color:green]PUTES[/format] ET BARRE-TOI D'ICI."
"ACT_HELI_CONVOY_AIRPORT_DESTINATION_MESSAGE": "L'AÉROPORT"
"ACT_WHORED_Z_BRUTE_ACTION": "On joue avec toi."
"ACT_WHORED_HITNRUN_FAIL": "Va falloir apprendre à conduire."
"ACT_ZOMBIE_TRIGGER_FAIL": "TU N'AS PAS RÉUSSI À STOPPER L'ATTAQUE DES ZOMBIES"
"ACT_VANDAL_BONUS_STATIC_VEHICLE": "BONUS : DÉTRUIS %s (+%d $)"
"ACT_TRAFFIC_PROTECT_M": "PROTÈGE LE [format][color:green]DEALER[/format] PENDANT SES LIVRAISONS"
