"ACT_WHORED_Z_AGRIZOOPHOBIA": "Это большая проблема."
"ACT_TRAFFIC_OBJECTIVE_2": "[format][color:green]ДИЛЕР[/format] ДОЛЖЕН УДАЧНО ПРОВЕСТИ СДЕЛОК: %d"
"ACT_GUARDIAN_ANGEL_CLIENT_DIED_MESSAGE": "Они убили ее! Все кончено"
"ACT_ESCORT_TRIP_MOTEL_MSG": "ОТВЕЗИТЕ [format][color:green]КЛИЕНТА[/format] НА ПАРУ ЧАСОВ [format][color:teal]МОТЕЛЬ[/format]"
"CHOP_MUSCLE_HOOD": "КАПОТ МАСКЛ-КАРА"
"ACT_PIMPING_FAIL_KILLED_CONTACT": "ВЫ УБИЛИ ОДНОГО ИЗ ИНФОРМАТОРОВ"
"GARAGE_FULL": "ВАШ ГАРАЖ ЗАПОЛНЕН"
"ACT_WHORED_Z_HOW_ROMANTIC": "Ракеты - ни разу не лучшие друзья девушек."
"ACT_WHORED_A_EYE_BEHOLDER": "Не нужно спрашивать ее о весе."
"YOU_VE_BEEN_CRITICALLY_HIT": "ВАС СЕРЬЕЗНО РАНИЛИ!"
"STRONGHOLD_FAILURE_CANCEL_TEXT": "ВЫ ОТМЕНИЛИ ЗАХВАТ КРЕПОСТИ"
"ACT_FRAUD_NAME": "СТРАХОВОЕ МОШЕННИЧЕСТВО"
"ACT_FRAUD_GO_SCORING_AREA": "ОТПРАВЛЯЙТЕСЬ В РАЙОН [format][color:teal]%ls [/format]"
"ACT_WHORED_BEERMUSCLES_FAIL": "Наказание - это искусство, овладеть которым нужно в совершенстве"
"ACT_ZOMBIE_HUD_ZOMBIES_LEFT": "ОСТАЛОСЬ ЗОМБИ:"
"ACT_TRAFFIC_CHASE_HELICOPTER": "ВЫ ЗАСЕКЛИ [format][color:red]ВЕРТОЛЕТ СЛУЖБЫ НОВОСТЕЙ[/format]!"
"ACT_GUARDIAN_ANGEL_HELPER_DIED_MESSAGE": "ПОМОЩНИК ПОГИБ"
"ACT_GUARDIAN_ANGEL_CLIENT_HUMAN_SHIELDED_MESSAGE": "Вашему клиенту не понравилось быть живым щитом"
"ACT_ESCORT_FIRST FOOTAGE_MSG": "НЕ ДАЙТЕ РЕПОРТЕРАМ ОТСНЯТЬ СЮЖЕТ"
"HASH_F32929A9": "ЗАЩИТА ПРОШЛА УСПЕШНО"
"ACT_WHORED_Z_ONE_SIDED": "Этот совсем не далеко."
"ACT_WHORED_ZOMBIESATV": "Покроши их."
"ACT_WHORED_ZOMBIEBRUTES": "А вот сейчас пошли большие зомби!"
"ACT_WHORED_NINJAS": "Вы это слышали?"
"ACT_WHORED_MEGA_TRANNY_FAIL": "И он свое полеучила. Ох, как же она свое получила."
"ACT_HITMAN_TARGET_LEFT_COUNT_UPDATED": ""
"CHOP_LOWRIDER_RIMS": "НИЗКИЕ ОБОДЫ"
"ACT_VANDAL_SUMMARY_CARS": "МАШИНЫ"
"ACT_TORCH_TIME_EARNED_PARAMETERIZED": "[format][color:teal]%2.1f[/format]сек. добавлено!"
"ACT_PIMPING_RESCUE_CONTACT_DECKERS_REROUTE": " [format][color:green]ИНФОРМАТОРОВ[/format] ПОХИЩАЮТ. СПАСИТЕ ИХ!"
"ACT_PIMPING_HOS_SLASH": "/"
"ACT_FRAUD_MESSAGE_CRAZY_MULT_TYPE": "РЕКОРД БЕЗУМНЫХ МАШИН (МОШЕННИЧЕСТВО)"
"ACT_ESCORT_BUTTON_MASHING_MSG": "[format][color:green]КЛИЕНТ[/format] ХОЧЕТ ОСОБОЕ ПРЕДЛОЖЕНИЕ КВАРТАЛА СВЯТЫХ"
"ACT_ESCORT_RETURN_MSG": "ВОЗВРАЩАЙТЕСЬ В СТРИП-КЛУБ"
"ACT_ESCORT_CRASH_MSG": "[format][color:green]КЛИЕНТ[/format] ХОЧЕТ, ЧТОБЫ ВЫ НАНЕСЛИ %d ОЧКОВ УРОНА ВАШЕЙ МАШИНОЙ ДРУГИМ МАШИНАМ"
"ACT_WHORED_A_WRATH_CARDINAL": "Покажите Ночному Клинку, как надо."
"OPPONENT_CRITICALLY_HIT": "СОПЕРНИК СМЕРТЕЛЬНО РАНЕН!"
"ACT_HOSTAGE_RANSOM": "ВЫКУП: [format][color:orange]%s[/format]"
"ACT_HELI_PROTECTION_DRIVER_DIED": "ВЫ НЕ СМОГЛИ ЗАЩИТИТЬ ФУРГОН"
"CHOP_MUSCLE_RIMS": "ОБОДЫ МАСКЛ-КАРА"
"ACT_TRAFFIC_DRIVE_HOME": "ОХРАНЯЙТЕ [format][color:green]ДИЛЕРА[/format] ПО ДОРОГЕ [format][color:teal]ДОМОЙ[/format]"
"ACT_FRAUD_BONUS_CRAZY_DRIVER": "БОНУС ЗА СУМАСШЕДШЕЕ ВОЖДЕНИЕ"
"HASH_49748FAB": "ОСТАНОВИТЕСЬ ТАМ, ГДЕ [format][color:green]КЛИЕНТ[/format] [format][color:teal]УКАЗАЛ[/format]"
"ACT_WHORED_Z_FOOD_TRUCK": "Освежуй их."
"ACT_RUNNING_MAN_FAILURE_TIME": "ВЫ НЕ УСПЕЛИ ДОБЕЖАТЬ ДО ВЫХОДА."
"TUT_ACT_INTRO_TANK_MAYHEM": "Нанесите ущерб собственности на %ls долларов, пока не истекло время. Если вы будете уничтожать объекты достаточно быстро, то получите бонус за комбо."
"ACT_HELI_BOAT_HUD_TEXT": "ОСТАЛОСЬ РАЗВЕЗТИ НАРКОТИКОВ"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_CLIENT_MESSAGE": "Вы убили звезду, враг в восторге!"
"ACT_FRAUD_MESSAGE_AIRTIME_MULT_TYPE": "РЕКОРД ВРЕМЕНИ В ВОЗДУХЕ (МОШЕННИЧЕСТВО)"
"ACT_FRAUD_BONUS_COOP_GANGBANG": "БОНУС ЗА НАЛЕТ"
"ACT_CHOP_LIST": "Верните машины из списка обратно в [format][color:green]мастерскую[/format]."
"ACT_WHORED_D_DRINKING_GAME": "Каждый раз, когда сбиваешь пивную бутылку, выпей."
"ACT_WHORED_D_WELCOME": "Заставь Ларса гордиться собой."
"CHOP_SHOP_VIEW_LIST": "ПОСМОТРЕТЬ СПИСОК МАСТЕРСКОЙ"
"ACT_HELI_KILL_CARS_START_MESSAGE": "УНИЧТОЖЬТЕ [format][color:red]МАШИНЫ[/format]"
"ACT_ESCORT_DRIFT_MSG": "[format][color:green]КЛИЕНТ[/format] ХОЧЕТ, ЧТОБЫ ВЫ {HANDBRAKE_IMG} ПРОЕХАЛИ %d СЕК. В РЕЖИМЕ УПРАВЛЯЕМОГО ЗАНОСА"
"ACT_WHORED_A_WELL_DONE": "Лучший способ насладиться пищей."
"ACT_WHORED_DILDO_FAIL": "Силенок не хватило, да?"
"ACT_RUNNING_MAN_HEALTH_TARGET": "ЗДОРОВЫЙ ОРГАЗМ!"
"TUT_TITLE_ACT_TANK_MAYHEM_REPAIR": "РЕМОНТ"
"CRITICAL_VEHICLE_TIME_TO_RETURN_TEXT": "У ВАС ЕСТЬ %d СЕКУНД, ЧТОБЫ ВЕРНУТЬСЯ В [format][color:green]МАШИНУ[/format]"
"ACT_VANDAL_TRUCK_SMALL_PICKUPS_MSG": "ПИКАПЫ"
"ACT_VANDAL_COMBO_BREAKER_MSG": "КОМБО ПРЕРВАНО!"
"ACT_TRAFFIC_DRIVER_DEAD": "ДИЛЕР УБИТ."
"ACT_TORCH_OBJECTIVE_02": "ЗАРАБОТАЙТЕ ДОПОЛНИТЕЛЬНОЕ ВРЕМЯ, НАНОСЯ УРОН, И ПРОХОДЯ КОНТРОЛЬНЫЕ ТОЧКИ"
"ACT_HUMAN_TORCH_START": "НАЧАТЬ ПУТЬ ОГНЯ"
"ACT_WHORED_D_CYPRIAN_ORDER": "Надери задницу во имя Господа."
"TUT_ACT_INTRO_GUARDIAN_ANGEL": "Защищайте братков, пока они выполняют свои задачи. "
"ACT_VANDAL_CIVILIAN_MSG": "ГОРОЖАНЕ"
"ACT_TRAFFIC_POLICE_STING_ESCAPE": "[format][color:red]КОПЫ[/format] У ТЕБЯ НА ХВОСТЕ!"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_5SEC": "5..."
"ACT_TORCH_LOST_TIME": "ВРЕМЯ ВЫШЛО"
"ACT_WHORED_A_TINY_PROBLEMS": "С ними бывает трудно договориться."
"ACT_WHORED_A_BOOM_HEADSHOT": "Пуля в голову.  Это единственный способ убедиться."
"ACTIVITY_SUCCESS_SUB_TEXT": "ВЫПОЛНЕНО"
"ACT_VANDAL_SUMMARY_DESTRUCTION": "РАЗРУШЕНИЕ"
"ACT_WHORED_NUTSHOOT_FAIL": "Недостаточно быстро."
"ACT_PIMP_START": "НАЧАТЬ \"ПИЛОТАЖ\""
"ACT_TRAFFIC_BUYER_FLEE_GETTING_AWAY": "[format][color:red]ПОКУПАТЕЛЬ[/format] УБЕГАЕТ"
"ACT_PIMPING_TRAP_SPRUNG_GET_CONTACTS": "ЭТО ЛОВУШКА! ЗАБЕРИТЕ [format][color:green]ИНФОРМАТОРОВ[/format] И УБИРАЙТЕСЬ ОТТУДА."
"ACT_HELI_LIBERATOR_START_MESSAGE": "НЕСКОЛЬКО СВЯТЫХ АРЕСТОВАНЫ, АТАКУЙТЕ [format][color:red]АВТОБУСЫ[/format], ЧТОБЫ ОСТАНОВИТЬ ИХ, ЗАТЕМ ДОСТАВЬТЕ СВЯТЫХ В БЕЗОПАСНОЕ МЕСТО."
"ACT_FRAUD_CHANGE_LOCATION": "[format][color:teal]ЗОНА ЗАРАБОТКА[/format] ПЕРЕМЕСТИЛАСЬ"
"ACT_ESCORT_TIGER_MINIGAME_MSG": "Используйте {ANALOG_RS_IMG}, чтобы найти место чесотки тигра, затем почешите его с помощью {ANALOG_LS_IMG}"
"ACT_WHORED_Z_GATS_WET": "Мы пошли туда."
"ACT_WHORED_TANK_FAIL": "НИкаких вам танков. "
"ACT_WHORED_STRIPPERS_FAIL": "У вас же есть ракеты, верно?"
"ACT_VANDAL_TRAILERS_MSG": "ПОЛУПРИЦЕПЫ"
"ACT_VANDAL_START_MSG": "ОТПРАВЛЯЙТЕСЬ В РАЙОН [format][color:teal]%ls [/format]"
"ACT_VANDAL_BONUS_CLOSE_CHAOS": "БОНУС ЗА ХАОС"
"ACT_PIMPING_RESCUE_CONTACT_KILL_COPS": "УБЕЙТЕ [format][color:red]ПОЛИЦЕЙСКИХ[/format] И СПАСИТЕ [format][color:green]ИНФОРМАТОРА[/format]!"
"ACT_PIMPING_RECAPTURE_CONTACT_START": " [format][color:red]КАКОЙ-ТО ДЕКЕР[/format] ПЕРЕХВАТЫВАЕТ ОДНОГО ИЗ [format][color:green]ИНФОРМАТОРОВ[/format]. ВЕРНИТЕ ЕГО!"
"ACT_PIMPING_YOU_NEED_MORE_HOS": "ВАМ НУЖНО НАЙТИ ЕЩЕ [format][color:green]ШЛЮХ[/format]."
"ACT_ESCORT_AIR_MSG": "Продержитесь %.2f сек. в воздухе"
"ACT_WHORED_Z_START_YOUNG": "Начинаем с пальцев ног, доходим до мозгов."
"ACT_WHORED_SQUEAKY_CLEAN_FAIL": "Надувная кукла творит чудеса - главное правильно выбрать угол."
"ACT_WHORED_SWAG_BAG_FAIL": "И зверушки одержали над тобой победу. Стыд и позор."
"MISSION_FAILURE_BUSTED_TEXT": "ВАС ПОЙМАЛИ"
"ACT_PIMPING_TRAP_GET_CONTACTS": "ОТЛИЧНО, А ТЕПЕРЬ ЗАБЕРИТЕ [format][color:green]ИНФОРМАТОРОВ[/format]!"
"ACT_GUARDIAN_ANGEL_BEHIND_ATTACKER": "АТАКУЮЩИЙ ЗАМЕЧЕН [format][color:red]ПОЗАДИ[/format] КЛИЕНТА."
"ACT_FRAUD_DONT_KILL": "ВЫ БУДЕТЕ ОШТРАФОВАНЫ ЗА КАЖДОГО УБИТОГО ЧЕЛОВЕКА"
"ACT_ESCORT_TRIP_BROTHEL_MSG": "ОТВЕЗИТЕ [format][color:green]КЛИЕНТА[/format] В [format][color:teal]БОРДЕЛЬ[/format]"
"ACT_WHORED_Z_OUTMATCHED": "Думай быстрее."
"ACT_WHORED_MINIFURRIES": "Не дайте симпампулечкам обмануть вас - у этих ребят есть ракеты"
"ACT_VANDALISM_START": "НАЧАТЬ \"РАЗГРОМ\""
"CHOPSHOP_REQ_MODS": "НЕОБХОДИМЫЕ МОДИФИКАЦИИ:"
"ACT_VANDAL_HELICOPTER_MSG": "ВЕРТОЛЕТЫ "
"ACT_TORCH_TIME_EARN_PARAMETERIZED_STRING": "БОНУСНЫЕ СЕКУНДЫ ДОБАВЛЯЮТСЯ НА КОНТРОЛЬНЫХ ТОЧКАХ"
"ACT_FRAUD_BONUS_LOCATION": "ЕСЛИ ВЫ УПАДЕТЕ В ЗОНЕ, ОБОЗНАЧЕННОЙ НА МИНИ КАРТЕ, ВЫ ПОЛУЧИТЕ БОНУС."
"ACT_ESCORT_FOOTAGE": "ОТСНЯТЫЙ МАТЕРИАЛ"
"ACT_WHORED_DRUNKENROCKETS": "Пьянство и ракеты несовместимы, осторожно. Давайте-ка их совместим!"
"ACT_TANK_MAYHEM_LEFT_HOOD": "ВЕРНИТЕСЬ В ПРЕДПИСАННЫЙ РАЙОН!"
"TUT_ACT_TANK_MAYHEM_HVT_FOUND": "Уничтожение некоторых дорогостоящих целей приносит больше денег, чем обычно."
"ACT_VANDAL_COMBO_TOTAL": "ОБЩЕЕ КОМБО: $%ls"
"ACT_PIMPING_TRAP_SPRUNG_KILL_DECKERS": "ЭТО ЛОВУШКА! УБЕЙТЕ ВСЕХ [format][color:red]ДЕКЕРОВ[/format] И ЗАБЕРИТЕ [format][color:green]ИНФОРМАТОРОВ[/format]."
"ACT_HELI_ACTIVITY_BOMB_MESSAGE": "УСТАНОВИТЕ ВЗРЫВЧАТКУ, ЧТОБЫ РАЗРУШИТЬ [format][color:blue]КОНСТРУКЦИЮ[/format]"
"HOSTAGE_FAILURE": "ЗАЛОЖНИК - ПРОВАЛЕНО"
"ACT_WHORED_ZOMBIES_EXPLODE_FAIL": "Пусть они взрываются, а не вы."
"GAMEPLAY_SMOKED": "ВАС УБИЛИ!"
"ACT_WHORED_D_ROMERO_REVENGE": "Веселимся с электроинструментом."
"ACT_WHORED_MEGACAN": "Он идет!"
"HORDE_CHARACTER_CYRUS": "САЙРЕС"
"SUCCESS_RESPECT_TEXT": "АВТОРИТЕТ"
"ACTIVITY_FAILURE_SUB_TEXT": "ПРОВАЛЕНО"
"ACT_TRAFFICKING_NAME": "НАРКОТРАФИК"
"CHOP_SPORT_FRONT_BUMPER": "СПОРТИВНЫЙ ПЕРЕДНИЙ БАМПЕР"
"ACT_ESCORT_NEWS_WARNING_MSG": "ЕЛИ ВЫ СЛИШКОМ ПРИБЛИЗИТЕСЬ К НОВОСТНОЙ МАШИНЕ, УРОВЕНЬ УДОВОЛЬСТВИЯ ПЕРЕСТАНЕТ РАСТИ"
"ACT_WHORED_A_BATH_TOY": "Лучше резиновой уточки."
"ACT_RUNNING_MAN_TITLE_SHORT": "С.Э.К.Р. ПРОФЕССОРА ДЖЕНКИ"
"CHOP_OFF_ROAD_1_BUMPERS": "КЕНГУРЯТНИК"
"ACT_VANDAL_START_3_MSG": "ЕСЛИ УНИЧТОЖАТЬ ВЕЩИ БЫСТРО, ТО ВЫ ПОЛУЧИТЕ БОНУС ЗА КОМБО"
"ACT_WHORED_STARPOWER2": "Враги взрываются при прикосновении!"
"ACT_WHORED_MINIZOMBIES": "Армия нежити... только маленькая."
"HORDE_CHARACTER_BOBERT": "БОБЕРТ"
"ACT_RUNNING_MAN_WAGER_DESCRIPTION": "ВЫ ХОТИТЕ ПОСТАВИТЬ ВЕСЬ ВАШ ВЫИГРЫШ, ЧТОБЫ УДВОИТЬ ЕГО ИЛИ ПОТЕРЯТЬ ВСЕ?\n\nУСПЕШНО ЗАВЕРШИТЕ СЛЕДУЮЩИЙ УРОВЕНЬ И УДВОЙТЕ СВОИ ДЕНЬГИ!!! НО НЕ ОБЛАЖАЙТЕСЬ - ИНАЧЕ УЙДЕТЕ НИ С ЧЕМ.\n\nЧТО СКАЖЕТЕ? "
"ACTIVITY_NAME_ESCORT": "ЭСКОРТ"
"HASH_289F1039": "[format][color:green]Клиент[/format] ГОЛОДЕН, ОТВЕЗИТЕ ЕГО В [format][color:teal]РОТ У ГЕРОЕВ[/format]"
"ACT_WHORED_COMM_SERVICE": "Покажи выпивке, что она тебе не нужна. "
"CHOP_RACING_EXHAUST": "ГОНОЧНЫЙ ВЫХЛОП"
"ACT_ZOMBIE_FAIL": "ВЫ НЕ СМОГЛИ ОДОЛЕТЬ ЗОМБИ"
"ACT_VANDAL_BONUS_TOTAL": "ВСЕГО"
"ACT_ACTIVITY_DESCRIPTION_2": "Попробуйте заработать авторитет, совершив Пилотаж."
"CRITICAL_VEHICLE_ABANDONED_VEHICLE_TEXT": "ВЫ ПОКИНУЛИ МАШИНУ"
"ACT_VANDAL_SUMMARY_FAVORITE_WEAPON": "ЛЮБИМОЕ ОРУЖИЕ"
"ACT_VANDAL_START_NO_DISTRICT_MSG": "Устройте такой разгром, какой только сможете."
"ACT_VANDAL_PROPERTY": "СОБСТВЕННОСТЬ"
"ACT_TRAFFIC_CHASE_HELICOPTER_NOTORIETY": "[format][color:red]ВЕРТОЛЕТ СЛУЖБЫ НОВОСТЕЙ[/format] ПОДНИМАЕТ СТЕПЕНЬ ПРЕСЛЕДОВАНИЯ ПОЛИЦИЕЙ!"
"ACT_TORCH_START_TEXT1": "ВРЕЗАЙТЕСЬ В БАКИ И КОНТЕЙНЕРЫ С БЕНЗИНОМ, ЧТОБЫ УСТРОИТЬ БОЛЬШИЕ ВЗРЫВЫ"
"ACT_CHOP_SHOP_DELIVER_CAR_MSG": "Перегоните машину в мастерскую."
"ACT_WHORED_A_ICON": "Он больше, чем жизнь."
"ACT_WHORED_NUTSHOOT": "Цельтесь в пах!"
"ACT_WHORED_MONEYSHOTS_FAIL": "\"Целься в голову\" - это не просто предложение. "
"ACT_WHORED_ZOMBIE_UPRISING_FAIL": "М-м-м... мозги."
"ACT_PIMPING_RESCUE_KILL_COPS": "УБЕЙТЕ [format][color:red]КОПОВ[/format] И ОСВОБОДИТЕ [format][color:green]ШЛЮХ[/format]!"
"ACT_HELI_START": "НАЧАТЬ АТАКУ С ВЕРТОЛЕТА"
"ACT_HELI_LIBERATOR_PICKUP_INFORMATION_MESSAGE": "ПОДБЕРИТЕ СВЯТЫХ И ДОСТАВЬТЕ ИХ В [format][color:blue]БЕЗОПАСНОЕ МЕСТО[/format]"
"ACT_WHORED_ZOMBIE_SLAYER_FAIL": "Восстань, воитель! Бери свой клинок и продолжай искоренять зло!"
"ACT_WHORED_NUTSHOTS_FAIL": "Не стесняйся, бей по этим фамильным ценностям."
"ACT_VANDAL_TIME_SUCCESS_MSG": "Отличная работа. Возвращайся за гонораром."
"ACT_VANDAL_SMG_MSG": "ПИСТОЛЕТ-ПУЛЕМЕТ"
"ACT_FRAUD_BONUS_CLIFF_DIVER": "БОНУС ЗА ВЫСОТУ"
"ACT_DEMO_DERBY_CASH": "БОНУС:"
"ACT_VANDAL_TIME_FAIL_MSG": "ВРЕМЯ ВЫШЛО."
"ACT_VANDAL_SHOTGUN_MSG": "ДРОБОВИК"
"ACT_TRAFFIC_DEALING_PROTECT": "ОХРАНЯЙТЕ [format][color:green]ДИЛЕРА[/format] И [format][color:green]ПОКУПАТЕЛЯ[/format]"
"ACT_PIMPING_RESCUE_CONTACT_KILL_DECKERS": "УБЕЙТЕ [format][color:red]ДЕКЕРОВ[/format] И СПАСИТЕ [format][color:green]ИНФОРМАТОРА[/format]!"
"ACT_PIMPING_VEHICLE_ROUTE_HOS": "ОСТАНОВИТЕ [format][color:red]МАШИНУ[/format] И ПОДБЕРИТЕ [format][color:green]ШЛЮХ[/format]."
"ACT_WHORED_DRINKING_GAME_FAIL": "В вашем спирте стало слишком много крови."
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS": "ВАМ НЕ УДАЛОСЬ НАБРАТЬ ДОСТАТОЧНО ОЧКОВ. "
"ACT_TRAFFICKING_DEAL_COUNT_UPDATED": "СДЕЛОК СОВЕРШЕНО"
"ACT_TRAFFIC_DEALER_ATTACK": "НА [format][color:green]ДИЛЕРА[/format] НАПАЛИ"
"ACT_PIMPING_RECAPTURE_START": "Сутенер [format][color:red]пытается[/format] перехватить вашу [format][color:green]шлюху[/format]. Верните ее!"
"ACT_FRAUD_BONUSES": "ВАШ(И) БОНУС(Ы):"
"ACT_WHORED_SQUEAKY_CLEAN": "Полный облом."
"ACT_WHORED_MINI_SAMURAI_FAIL": "Что, меч великоват оказался?"
"ACTIVITY_NAME_GUARDIAN": "АНГЕЛ-ХРАНИТЕЛЬ"
"CHOP_RACING_CONVERTIBLE_ROOF": "ГОНОЧНЫЙ ОТКИДНОЙ ВЕРХ"
"ACT_VANDAL_JETSKI_MSG": "ВОДНЫЙ МОТОЦИКЛ"
"ACT_VANDAL_BONUS_MSG": "БОНУС"
"ACT_PIMPING_TRAP_GET_HOS": "ОТЛИЧНО! А ТЕПЕРЬ ЗАБЕРИТЕ [format][color:green]ШЛЮХ[/format]!"
"ACT_GUARDIAN_ANGEL_RIGHT_ATTACKER": "АТАКУЮЩИЙ ЗАМЕЧЕН [format][color:red]СПРАВА[/format]"
"ACT_FRAUD_BONUS_SUCCESSIVE_CARS": "ПИНБОЛ-БОНУС"
"ACT_ESCORT_FAIL_FOOTAGE": "СЛИШКОМ МНОГО МАТЕРИАЛА ОТСНЯТО, УХОДИТЕ ПЕРЕУЛКАМИ"
"ACT_WHORED_MALLCOP_FAIL": "Где-то охранник плачет..."
"ACT_PIMPING_HOS_NEEDED_COUNT_UPDATED": "ШЛЮХ: %i"
"ACT_ZOMBIE_USE_MESSAGE_TEXT": "НАЧАТЬ ИГРУ \"ВОССТАНИЕ ЗОМБИ\""
"ACT_ESCORT_TOUCH_MINIGAME_MSG": "Используйте {ANALOG_RS_IMG}, чтобы найти особую точку, затем ударьте по ней с помощью {ANALOG_LS_IMG}"
"ACT_ESCORT_OBJECTIVE_MSG": "ДОСТАВЬТЕ [format][color:green]КЛИЕНТУ[/format] УДОВОЛЬСТВИЕ, КАТАЯ ЕГО С ЭСКОРТОМ ПО ОКРЕСТНОСТЯМ И ИЗБЕГАЯ ПАПАРАЦЦИ"
"ACT_WHORED_MEGA_ZOMBIE": "Зомби 2.0: больше, сильнее, лучше горят."
"ACT_LEVEL_2": "УРОВЕНЬ 2"
"ACT_VANDAL_COMBO_MSG": "КОМБО:"
"ACT_VANDAL_CAR_STANDARD_MSG": "СЕДАНЫ"
"ACT_PIMPING_GET_CLOSER_TO_HOS": "ПОДОЙДИТЕ БЛИЖЕ К [format][color:green]ШЛЮХАМ[/format]"
"ACT_WHORED_MEGA_ZOMBIE_FAIL": "Мы ж предупреждали."
"TUT_ACT_TANK_MAYHEM_TUTORIAL_TANK_REPAIR": "Ремонтные пункты, отмеченные на карте, позволяют починить танк."
"ACT_TORCH_RACE_INSTRUCTIONS2": "Получайте очки, сжигая пешеходов и машины."
"STICK_ROTATION_UTIL_CLOCKWISE_MESSAGE": "ПО ЧАСОВОЙ СТРЕЛКЕ"
"ACT_VANDAL_TRUCK_BIG_SEMI_CAB_MSG": "ПОЛУПРИЦЕПЫ"
"ACT_VANDAL_AIRPLANE_MSG": "САМОЛЕТЫ"
"ACT_PIMPING_RESCUE_PIMPS_REROUTE": "[format][color:green]ШЛЮХ[/format] УВЕЛИ. ВЕРНИТЕ ИХ!"
"ACT_ESCORT_FAIL_CAR_DESTROYED": "ВАША МАШИНА УНИЧТОЖЕНА"
"HASH_6A5B3243": "ЗАДАНИЕ НЕДОСТУПНО"
"ACT_WHORED_BRUTEBOOM_FAIL": "Раздави их, пока они не раздавили тебя."
"ACT_WHORED_ZOMBIE_CHAINSAW_FAIL": "Индюки вас вряд ли испугаются."
"ACT_WHORED_SAUSAGE_FEST": "Славный запас сарделек."
"HASH_410CDA44": "ПОКАТАЙТЕ [format][color:green]КЛИЕНТА[/format] ПО [format][color:teal]КВАРТАЛУ СВЯТЫХ[/format]"
"ACT_RUNNING_MAN_TITLE": "С.Э.К.Р. ПРОФЕССОРА ДЖЕНКИ"
"ACT_VANDAL_SUCCESS_MSG": "Возвращайтесь в отмеченную точку."
"ACT_PIMPING_CONTACTS_COLON": "ИНФОРМАТОРЫ:"
"ACT_GUARDIAN_ANGEL_NAME": "АНГЕЛ-ХРАНИТЕЛЬ"
"CUSTOMIZATION_GARAGE_FULL": "Чтобы использовать персонализацию, надо удалить машину из гаража."
"ACT_WHORED_Z_BOARDER_GUARD": "В Стилпорте проблема с нелегальными иммигрантами."
"ACT_WHORED_Z_THEME_PARK": "Нет, я НЕ хочу фотографироваться."
"ACT_WHORED_BAT_FAIL": "Замахнулся и промахнулся"
"ACT_TRAFFIC_DEALER_WAITING": "[format][color:green]ДИЛЕР[/format] ГОТОВ ОТПРАВЛЯТЬСЯ."
"ACT_HELI_LIBERATOR_ATTACK_INFORMATION_MESSAGE": "СТРЕЛЯЙТЕ ПО [format][color:red]АВТОБУСАМ[/format], ЧТОБЫ ОСТАНОВИТЬ ИХ"
"ACT_ESCORT_SPOUSE_SPAWNED": "СКРОЙТЕСЬ ОТ [format][color:red]БЛИЗКОГО ЧЕЛОВЕКА[/format] [format][color:green]КЛИЕНТА[/format]"
"HOSTAGE_SUCCESS": "ЗАЛОЖНИК - ВЫПОЛНЕНО"
"ACT_TANK_MAYHEM_TITLE": "ТАНКОВЫЙ РАЗГРОМ"
"ACT_HOSTAGE_FAILURE_REASON": "ЗАЛОЖНИКИ СБЕЖАЛИ"
"ACT_PIMPING_GET_CLOSER_TO_CONTACTS": "ПОДОЙДИТЕ БЛИЖЕ К [format][color:green]ИНФОРМАТОРУ[/format]."
"ACT_FRAUD_BONUS_COOP_CHAIN": "БОНУС ЗА ЦЕПОЧКУ"
"ACT_ESCORT_ALMOST_LOSE_MSG": "ЖУРНАЛИСТЫ ПОЧТИ ЗАКОНЧИЛИ СЪЕМКУ"
"ACT_ESCORT_OBJECTIVE_TEXT_01": "ВЫПОЛНИТЕ ВСЕ ЗАПРОСЫ КЛИЕНТА"
"ACT_VANDAL_OBJECTIVE_1": "НАНЕСИТЕ УЩЕРБ В $%d ТЕЧЕНИЕ УСТАНОВЛЕННОГО ВРЕМЕНИ"
"ACT_TRAFFIC_POLICE_STING_UNCUFF": "НАЖМИ {ACTION_IMG}, ЧТОБЫ СНЯТЬ С ДИЛЕРА НАРУЧНИКИ."
"ACT_HELI_NEWS_VAN_HUD_TEXT": "НОВОСТНЫЕ ФУРГОНЫ, КОТОРЫЕ НЕОБХОДИМО УНИЧТОЖИТЬ"
"ACT_FRAUD_VISIT_BONUS_AREA": "ОСОБО ОБОЗНАЧЕННЫЕ НА КАРТЕ [format][color:teal]МЕСТА[/format] ПОЗВОЛЯТ ПОЛУЧИТЬ БОЛЬШЕ АДРЕНАЛИНА"
"ACT_FRAUD_HUD_MULT_X": "Х"
"HASH_DF9F0AC8": "НА %ls НАПАДАЮТ"
"HASH_CA158948": "ОТВЕЗИТЕ [format][color:green]КЛИЕНТА[/format] К [format][color:teal]НАБЕРЕЖНОЙ[/format]"
"ACT_WHORED_QUESTION_MARKS_FAIL": "Не вопрос."
"ACTIVITY_NAME_SNATCH": "ПИЛОТАЖ"
"ACT_GUARDIAN_ANGEL_FOLLOW_IN_HELI": "ЗАБЕРИТЕСЬ В ВЕРТОЛЕТ, ЧТОБЫ СЛЕДОВАТЬ ЗА СВОИМИ БРАТКАМИ"
"TEMP_LAST_MINUTE_1": "ЧТОБЫ ОТКРЫТЬ МАСТЕРСКУЮ"
