// SR4R voice dict file 14/17
// Lines 13001-14000 of 16797
// Format: "English": "Chinese translation";

"Yeah...": "Yeah...";
"You said, \\\"Hey Pierce, how would you like to be the face of the Saints\\\" and I was all...I...I...OH MAN I'M GONNA MISS YOU.": "You said, \\\"Hey Pierce, how would you like to be the face of the Saints\\\" and I was all...I...I...OH MAN I'M GONNA MISS YOU.";
"You didn't do too bad yourself. For a spy.": "You didn't do too bad yourself. For a spy.";
"Whoa, head rush.": "Whoa, head rush.";
"That, Kinzie, was sarcasm.  Remember how that works?": "That, Kinzie, was sarcasm.  Remember how that works?";
"I'm out of ammo. Cover me while I get some more.": "I'm out of ammo. Cover me while I get some more.";
"Nice, Kinzie.  That Paul is one tall drink of water.": "Nice, Kinzie.  That Paul is one tall drink of water.";
"So what exactly is a Hotspot?": "So what exactly is a Hotspot?";
"And how am I getting him out without any weapons or a key?": "And how am I getting him out without any weapons or a key?";
"Assassinate the man-cat!": "Assassinate the man-cat!";
"Do me a favor: Get everyone to Kinzie's place. I'll be there soon.": "Do me a favor: Get everyone to Kinzie's place. I'll be there soon.";
"Kinzie, goddammit! I didn't get this far to sit on my ass--": "Kinzie, goddammit! I didn't get this far to sit on my ass--";
"I am always ready--": "I am always ready--";
"Don't drag your feet, girl.": "Don't drag your feet, girl.";
"Where are you, asshole...": "Where are you, asshole...";
"Yeah, and the Saints are my crew so get outta the way before I remind you why.": "Yeah, and the Saints are my crew so get outta the way before I remind you why.";
"See, this is why I don't let you borrow my sweaters.": "See, this is why I don't let you borrow my sweaters.";
"Fair enough.": "Fair enough.";
"DELETE": "DELETE";
"No!": "No!";
"Campaigning is a mix of toeing the line and shaking up the establishment. Like those rifts around town, y'know.": "Campaigning is a mix of toeing the line and shaking up the establishment. Like those rifts around town, y'know.";
"Oh shit. Kinzie, prime the turrets.": "Oh shit. Kinzie, prime the turrets.";
"Tell me more about Johnny, Kinzie...": "Tell me more about Johnny, Kinzie...";
"Damn it...": "Damn it...";
"Aim for the mascots!": "Aim for the mascots!";
"He held me hostage. What, are you on his side now?!": "He held me hostage. What, are you on his side now?!";
"Of course.": "Of course.";
"Why didn't you say so in the first place?": "Why didn't you say so in the first place?";
"DELETE": "DELETE";
"Since when have furries been so into Veteran Child?": "Since when have furries been so into Veteran Child?";
"We should be good, CID.": "We should be good, CID.";
"Create weaknesses in the simulation and Kinzie'll cook us up some serious firepower.": "Create weaknesses in the simulation and Kinzie'll cook us up some serious firepower.";
"Oh. See, Kinzie, that actually makes it sound fun.": "Oh. See, Kinzie, that actually makes it sound fun.";
"So, how are things?": "So, how are things?";
"According to Kinzie, every person's simulation is based on their deepest darkest fears.": "According to Kinzie, every person's simulation is based on their deepest darkest fears.";
"Now the STATUE has a name?": "Now the STATUE has a name?";
"A furry? Fuck me.": "A furry? Fuck me.";
"Science fiction, playa! This shit's inspiring. I got a great idea. It's about this kid from a low-income family who gets abducted by a megalomaniacal alien overlord--": "Science fiction, playa! This shit's inspiring. I got a great idea. It's about this kid from a low-income family who gets abducted by a megalomaniacal alien overlord--";
"That's just the way it works around here.": "That's just the way it works around here.";
"Without knowing the details, why do it?": "Without knowing the details, why do it?";
"Well, Pierce is a complex man with a delicate sensibility... Nah, just fuckin' with ya.": "Well, Pierce is a complex man with a delicate sensibility... Nah, just fuckin' with ya.";
"I promise you that it's the finest simulation I have ever crafted.": "I promise you that it's the finest simulation I have ever crafted.";
"Dammit, Kinzie, you better--": "Dammit, Kinzie, you better--";
"Cyrus has Kinzie. Matt, a gun if you please?": "Cyrus has Kinzie. Matt, a gun if you please?";
"Hold up. An evil twin?": "Hold up. An evil twin?";
"I believe I can hack through the shield, if you all keep the Zin from destroying me that is.": "I believe I can hack through the shield, if you all keep the Zin from destroying me that is.";
"We're moving. Why are we moving? Let's get to the bridge.": "We're moving. Why are we moving? Let's get to the bridge.";
"Explain later. Powers now.": "Explain later. Powers now.";
"Can't wait to use the guns on this bad boy...": "Can't wait to use the guns on this bad boy...";
"Mon Dieu, it is massive.": "Mon Dieu, it is massive.";
"Oh ho, no, I am. But I really don't want to have this conversation right now.": "Oh ho, no, I am. But I really don't want to have this conversation right now.";
"Oh shit. One of the pods is broken.": "Oh shit. One of the pods is broken.";
"Good enough for me.": "Good enough for me.";
"Shoulda known not to trust a man in eyeliner...": "Shoulda known not to trust a man in eyeliner...";
"Those C.I.D.s seem to be able to pass through unhindered.  Perhaps throwing them back would work.": "Those C.I.D.s seem to be able to pass through unhindered.  Perhaps throwing them back would work.";
"That doesn't sound good...": "That doesn't sound good...";
"Matt, back up!": "Matt, back up!";
"WOAH!": "WOAH!";
"We got a door ahead.": "We got a door ahead.";
"Man, I've had to deal with one Shaundi since I joined this crew.  Now there's two of them?  Are you trying to kill me?": "Man, I've had to deal with one Shaundi since I joined this crew.  Now there's two of them?  Are you trying to kill me?";
"You're not going anywhere.": "You're not going anywhere.";
"More Ronin on their way. I'm going to enjoy this.": "More Ronin on their way. I'm going to enjoy this.";
"And changing me out of these ridiculous clothes isn't a \\\"basic hack\\\"?": "And changing me out of these ridiculous clothes isn't a \\\"basic hack\\\"?";
"You need to tell Matt to stop calling me Bwana. It was funny once but that shit's old now.": "You need to tell Matt to stop calling me Bwana. It was funny once but that shit's old now.";
"Such as?": "Such as?";
"Ben, tell me when Tony and Tanya usually show up to kill you.": "Ben, tell me when Tony and Tanya usually show up to kill you.";
"Can you sign my copy of your book?": "Can you sign my copy of your book?";
"Oh what the hell...": "Oh what the hell...";
"Tammy Tolliver's boss as an assassination target? Sure. But her? Why?": "Tammy Tolliver's boss as an assassination target? Sure. But her? Why?";
"You know what, fuck you.  You blew my planet up, so why play these mind games with me now?": "You know what, fuck you.  You blew my planet up, so why play these mind games with me now?";
"Deal with who?": "Deal with who?";
"Shit on a shingle!  I'm comin', Ben!": "Shit on a shingle!  I'm comin', Ben!";
"Works for me.": "Works for me.";
"Since when did the Vice Kings have giant robots?": "Since when did the Vice Kings have giant robots?";
"Well, before he lost his mind, he was my Vice President.": "Well, before he lost his mind, he was my Vice President.";
"They're closing us in!": "They're closing us in!";
"Not until you get your powers.": "Not until you get your powers.";
"Are you fucking with me?": "Are you fucking with me?";
"You wouldn't.": "You wouldn't.";
"Okay, that's it!": "Okay, that's it!";
"About time I was rescued!": "About time I was rescued!";
"I'd be happier if my favorite Russian brute was here to watch my back.": "I'd be happier if my favorite Russian brute was here to watch my back.";
"Can't you do this yourself?": "Can't you do this yourself?";
"There will be penalties for that mistake.": "There will be penalties for that mistake.";
"Here's the deal: you're gonna need three teams to help you defeat Zinyak.  The first team will help you get the Key into the mainframe.  The second will help you overload the simulation.  The final team will get you into the Zin mothership so you can get to Zinyak.": "Here's the deal: you're gonna need three teams to help you defeat Zinyak.  The first team will help you get the Key into the mainframe.  The second will help you overload the simulation.  The final team will get you into the Zin mothership so you can get to Zinyak.";
"Oh, this is crazy.  This is embarrassing!": "Oh, this is crazy.  This is embarrassing!";
"That sounds fine though she did vanish on us last time.": "That sounds fine though she did vanish on us last time.";
"Somebody punch me if this is too corny, but I think this was meant to be.  The three of us, side by side by side at humanity's last stand?": "Somebody punch me if this is too corny, but I think this was meant to be.  The three of us, side by side by side at humanity's last stand?";
"Die, you fucking man-cat!": "Die, you fucking man-cat!";
"The fuck just happened?": "The fuck just happened?";
"Kinzie, any leads on Pierce?": "Kinzie, any leads on Pierce?";
"The shield is down.": "The shield is down.";
"Never keep a lady waiting.": "Never keep a lady waiting.";
"Shit, make sure the others get out too.": "Shit, make sure the others get out too.";
"What? More of them?": "What? More of them?";
"Man, Stilwater. I don't remember it looking so...flat.": "Man, Stilwater. I don't remember it looking so...flat.";
"Ben, when do Tony and Tanya usually show up to kill you?": "Ben, when do Tony and Tanya usually show up to kill you?";
"Brace for--Good God!": "Brace for--Good God!";
"I'm just really curious, is all...": "I'm just really curious, is all...";
"Get the Key in there, boss.  We'll handle these assholes.": "Get the Key in there, boss.  We'll handle these assholes.";
"Saints, we are leaving!": "Saints, we are leaving!";
"Ready to take on the Zin's security while I upload the next virus?  Well, I hope you are cause that's what's next.": "Ready to take on the Zin's security while I upload the next virus?  Well, I hope you are cause that's what's next.";
"Well, not anymore...": "Well, not anymore...";
"Roger that.": "Roger that.";
"There.": "There.";
"To give his people a boost or something.  I don't know, you're the one who says they're \\\"amazing\\\".": "To give his people a boost or something.  I don't know, you're the one who says they're \\\"amazing\\\".";
"*struggling*": "*struggling*";
"I swear, if that little weasel Matt steps out of line at all I'm gonna kick him out an airlock.  I don't care if he's all MI6 now, I still remember him crashing our damn helicopter with ME in it!": "I swear, if that little weasel Matt steps out of line at all I'm gonna kick him out an airlock.  I don't care if he's all MI6 now, I still remember him crashing our damn helicopter with ME in it!";
"So what cool new power do you have for me, Kinzie?": "So what cool new power do you have for me, Kinzie?";
"Door's locked, Kinzie!": "Door's locked, Kinzie!";
"What the hell did you tell that stoner?": "What the hell did you tell that stoner?";
"I don't even care that I can't swear!": "I don't even care that I can't swear!";
"Gotta get to my feet. Come on.": "Gotta get to my feet. Come on.";
"Let's go!": "Let's go!";
"Kinzie, did he hurt Shaundi?": "Kinzie, did he hurt Shaundi?";
"Why'd we bring her along?  She's just going to fuck up the plan.": "Why'd we bring her along?  She's just going to fuck up the plan.";
"DELETE": "DELETE";
"Eh... yeah, probably not.": "Eh... yeah, probably not.";
"Shaundi, shouldn't we be going after--": "Shaundi, shouldn't we be going after--";
"Pissing me off, that's what.  Seems Julius is still running the Saints here.": "Pissing me off, that's what.  Seems Julius is still running the Saints here.";
"Fall before the Zin Empire!": "Fall before the Zin Empire!";
"I'm in the zone, King!": "I'm in the zone, King!";
"Sounds easy and fun.  Why not.": "Sounds easy and fun.  Why not.";
"Looks like you're headed pretty deep into the base. Where you at?": "Looks like you're headed pretty deep into the base. Where you at?";
"*sigh* This simulation better be awesome, Matt.": "*sigh* This simulation better be awesome, Matt.";
"We're going to steal the programming from other C.I.D.s.": "We're going to steal the programming from other C.I.D.s.";
"Eh.  Not so much.": "Eh.  Not so much.";
"I think I know how to use a gun, Matt.": "I think I know how to use a gun, Matt.";
"I gotta get the *beep* out of here.": "I gotta get the *beep* out of here.";
"Heh. Zinyak thinks so but he's in for a rude awakening.": "Heh. Zinyak thinks so but he's in for a rude awakening.";
"Oh man! YEAH!": "Oh man! YEAH!";
"Er, I... suppose we should go get Matt.": "Er, I... suppose we should go get Matt.";
"I'm telling you, this simulation is locked... Oh. Oh, wait a minute.": "I'm telling you, this simulation is locked... Oh. Oh, wait a minute.";
"There's a crowd protecting it. I have to get through them first.": "There's a crowd protecting it. I have to get through them first.";
"Yes...": "Yes...";
"Here's another one.": "Here's another one.";
"Pierce, buddy, what's going on?": "Pierce, buddy, what's going on?";
"Which is?": "Which is?";
"According to Kinzie, every person's simulation is based on their deepest darkest fears.": "According to Kinzie, every person's simulation is based on their deepest darkest fears.";
"Okay... now right!": "Okay... now right!";
"Pardonnez moi, that is not how I meant it.": "Pardonnez moi, that is not how I meant it.";
"Oh!  What a set back!": "Oh!  What a set back!";
"Oh. Is the Broken Shillelagh closed for repairs?": "Oh. Is the Broken Shillelagh closed for repairs?";
"Don't tell me you'd be satisfied with a half-ass performance?": "Don't tell me you'd be satisfied with a half-ass performance?";
"Whoa, did you see that, Kinzie?": "Whoa, did you see that, Kinzie?";
"Stubborn and defensive? Sounds like Asha all right. ": "Stubborn and defensive? Sounds like Asha all right. ";
"Okay, but no dubstep.": "Okay, but no dubstep.";
"A dead pirate with a black parrot?": "A dead pirate with a black parrot?";
"Aw, shit...": "Aw, shit...";
"Come on, Kinzie, where are you at?": "Come on, Kinzie, where are you at?";
"Hey, you know I can't control myself sometimes.": "Hey, you know I can't control myself sometimes.";
"You know those cars with big speakers on them? Give me one.": "You know those cars with big speakers on them? Give me one.";
"Feeling a little competition there, Johnny?": "Feeling a little competition there, Johnny?";
"This game's a lot more fun from this end!": "This game's a lot more fun from this end!";
"Just focus on the road!": "Just focus on the road!";
"Done.  I think that should work.  Stop by and I'll give you that upgrade I mentioned.": "Done.  I think that should work.  Stop by and I'll give you that upgrade I mentioned.";
"I know you think you're being valiant here. Really. I get that. You're an A1 superhero, Asha.": "I know you think you're being valiant here. Really. I get that. You're an A1 superhero, Asha.";
"Fine. No mind bullets. For now.": "Fine. No mind bullets. For now.";
"The reporter from GenkiBowl? So there weren't any former child stars around?": "The reporter from GenkiBowl? So there weren't any former child stars around?";
"Sounds good to me.": "Sounds good to me.";
"So I think we're done, right?": "So I think we're done, right?";
"Don't worry, I'll be sure to block any attempt she makes at slipping through the code.": "Don't worry, I'll be sure to block any attempt she makes at slipping through the code.";
"Why would I waste *two* bullets on those lights when I can just use *one* on the guard?": "Why would I waste *two* bullets on those lights when I can just use *one* on the guard?";
"We're often called to defend others while they work. Think you can handle it?": "We're often called to defend others while they work. Think you can handle it?";
"I don't care what Sharp said.  What Lin and I had was real.  Sure, she was with the Saints, feeding them information.  But I didn't care.  She didn't deserve to be shot and drowned in the river.  I should have saved her.  Why didn't I save her?!?  Price may have been my best friend, but in the end he let it happen.": "I don't care what Sharp said.  What Lin and I had was real.  Sure, she was with the Saints, feeding them information.  But I didn't care.  She didn't deserve to be shot and drowned in the river.  I should have saved her.  Why didn't I save her?!?  Price may have been my best friend, but in the end he let it happen.";
"Just tell me: will CID download faster?": "Just tell me: will CID download faster?";
"We have a lot of guns that kill a whole buncha motherfuckers.": "We have a lot of guns that kill a whole buncha motherfuckers.";
"In an assault chopper, a few shots are all you need.": "In an assault chopper, a few shots are all you need.";
"This thing better work...": "This thing better work...";
"Fine, but if you really want to get to the docks then you may wanna use the gas pedal.  Seriously Pierce, you're like, going the speed limit.": "Fine, but if you really want to get to the docks then you may wanna use the gas pedal.  Seriously Pierce, you're like, going the speed limit.";
"I thought we wanted it to crash.": "I thought we wanted it to crash.";
"Hold on, this is about that asshole?": "Hold on, this is about that asshole?";
"What?": "What?";
"God, I feel sick...": "God, I feel sick...";
"Electricity is dangerous stuff!": "Electricity is dangerous stuff!";
"So whose subconscious are we dealing with?": "So whose subconscious are we dealing with?";
"CID, if you're making any progress...": "CID, if you're making any progress...";
"We're moving. Why are we moving? Let's get to the bridge.": "We're moving. Why are we moving? Let's get to the bridge.";
"Yaaaaaahhhhhhh!": "Yaaaaaahhhhhhh!";
"Have you tracked down Asha?": "Have you tracked down Asha?";
"Hold on, you're just thinking of this now?": "Hold on, you're just thinking of this now?";
"Finally! Quick, get to a safe spot so you can crack it open.": "Finally! Quick, get to a safe spot so you can crack it open.";
"Shaundi was just starting to relax before this whole alien invasion bullshit.": "Shaundi was just starting to relax before this whole alien invasion bullshit.";
"Where am I in the real world? Like, you know, what are they doing to my body? Is it dirty?": "Where am I in the real world? Like, you know, what are they doing to my body? Is it dirty?";
"Kinzie said the guns are missing...stuff.": "Kinzie said the guns are missing...stuff.";
"Its weakest point is here at the rear.": "Its weakest point is here at the rear.";
"How great was I, Matt? Don't hold back.": "How great was I, Matt? Don't hold back.";
"... that one of those giant aliens are coming.": "... that one of those giant aliens are coming.";
"Believe me, that's for the best.  Now let's get you out of here.": "Believe me, that's for the best.  Now let's get you out of here.";
"So unlock them.": "So unlock them.";
"And getting me out of this dumbass outfit ain't a \\\"basic hack\\\"?": "And getting me out of this dumbass outfit ain't a \\\"basic hack\\\"?";
"I need help.  Situation untenable.  Kinzie...?  Matt...?  Keith...?  Anyone...?": "I need help.  Situation untenable.  Kinzie...?  Matt...?  Keith...?  Anyone...?";
"Mmm. Breakfast certainly smells delicious!": "Mmm. Breakfast certainly smells delicious!";
"Well that didn't go terrible.": "Well that didn't go terrible.";
"Matt, why can't I swear?": "Matt, why can't I swear?";
"Just between you and me, the Vice President is one of my personal heroes.  That man has done everything!  He's made me laugh, he's made me cry, he's made me wanna go out and kick alien ass, which is really inspiring right now by the way, and he does it with such style.  And he makes a fucking great VP.  Who called it?  This guy.": "Just between you and me, the Vice President is one of my personal heroes.  That man has done everything!  He's made me laugh, he's made me cry, he's made me wanna go out and kick alien ass, which is really inspiring right now by the way, and he does it with such style.  And he makes a fucking great VP.  Who called it?  This guy.";
"Where is this fucking platform...": "Where is this fucking platform...";
"Now you're talking!": "Now you're talking!";
"Well, he put encryption locks on all the stores in town.": "Well, he put encryption locks on all the stores in town.";
"Then go around!": "Then go around!";
"Jumping into traffic and not dying.": "Jumping into traffic and not dying.";
"This club, the plane -- it's Shaundi's nightmare, not Johnny's.  ": "This club, the plane -- it's Shaundi's nightmare, not Johnny's.  ";
"I'm liking this.": "I'm liking this.";
"Shaundi, that's not true... Shaundi?": "Shaundi, that's not true... Shaundi?";
"What is this place?": "What is this place?";
"Does it involve getting hit by cars?": "Does it involve getting hit by cars?";
"Well... maybe you miss wearing that little thing you had on... that whole situation...": "Well... maybe you miss wearing that little thing you had on... that whole situation...";
"See, what's weird is that I thought Saints Flow didn't go bad...": "See, what's weird is that I thought Saints Flow didn't go bad...";
"Why would I waste *two* bullets on those lights when I can just use *one* on the guard?": "Why would I waste *two* bullets on those lights when I can just use *one* on the guard?";
"Yeah, I'm with Pierce on this one.": "Yeah, I'm with Pierce on this one.";
"Wrong color for what they're throwing.": "Wrong color for what they're throwing.";
"*BEEP* it.": "*BEEP* it.";
"Kinzie told me she saw Veteran Child inside your simulation and he--": "Kinzie told me she saw Veteran Child inside your simulation and he--";
"This simulation is all about normalcy. Pleasantry. Order. All the things you hate. Go forth. Unleash hell.": "This simulation is all about normalcy. Pleasantry. Order. All the things you hate. Go forth. Unleash hell.";
"Let's show this town what it means to be young!": "Let's show this town what it means to be young!";
"We've got to go get Kinzie.": "We've got to go get Kinzie.";
"Are you fucking serious?": "Are you fucking serious?";
"Fuck him...": "Fuck him...";
"Fuck that! I'm destroying everything in this goddamnn room!": "Fuck that! I'm destroying everything in this goddamnn room!";
"Sure, why not.": "Sure, why not.";
"You still wanna have a go?": "You still wanna have a go?";
"The goal is simple: kill every damn thing in front of you. Extra points for not dying.": "The goal is simple: kill every damn thing in front of you. Extra points for not dying.";
"Keep your hands out of that code.": "Keep your hands out of that code.";
"Johnny, man, do you know where you are? I mean really?": "Johnny, man, do you know where you are? I mean really?";
"Is that what you think?": "Is that what you think?";
"I can't believe you're still alive, Johnny. Shaundi and I were...": "I can't believe you're still alive, Johnny. Shaundi and I were...";
"Come on, you kicked Killbane's ass in that game.": "Come on, you kicked Killbane's ass in that game.";
"Take out my cabinet, I'll rip your fucking head off.": "Take out my cabinet, I'll rip your fucking head off.";
"Oh, I got something special planned for him.": "Oh, I got something special planned for him.";
"It's just coincidence.  See, there's a generator not even turned on over there!": "It's just coincidence.  See, there's a generator not even turned on over there!";
"Get to the point: what do you want.": "Get to the point: what do you want.";
"Nope. It's the only plan I need.": "Nope. It's the only plan I need.";
"It's a gun, Matt. Don't oversell it. I got this.": "It's a gun, Matt. Don't oversell it. I got this.";
"Now I'm following Josh Birk's TV alter-ego around the city. It's a dream come true.": "Now I'm following Josh Birk's TV alter-ego around the city. It's a dream come true.";
"You mean, like, Cyrus Temple?": "You mean, like, Cyrus Temple?";
"C'mere, you wee bastard.": "C'mere, you wee bastard.";
"Kinzie, what are your plans for the tank?": "Kinzie, what are your plans for the tank?";
"How many training simulations does Asha want?": "How many training simulations does Asha want?";
"You picked a helluva time to drop out on me, Kinzie.": "You picked a helluva time to drop out on me, Kinzie.";
"Oooh, that must have been a decoy. That's smart. See if there are any more around!": "Oooh, that must have been a decoy. That's smart. See if there are any more around!";
"DELETE": "DELETE";
"Guess I don't have a choice...": "Guess I don't have a choice...";
"Quiet! This is Haddaway.": "Quiet! This is Haddaway.";
"Will you listen to yourself?  That generator over there isn't even turned on...": "Will you listen to yourself?  That generator over there isn't even turned on...";
"The man-cat must fall!": "The man-cat must fall!";
"End that bitch? Sounds good.": "End that bitch? Sounds good.";
"With what?  Money?": "With what?  Money?";
"I'm telling you, dance is my passion!": "I'm telling you, dance is my passion!";
"I call bullshit, Kinzie.  These look just like the last ones.  Why didn't I find gravity inhibitors in them?  Shouldn't I be looking for generators that hover...?": "I call bullshit, Kinzie.  These look just like the last ones.  Why didn't I find gravity inhibitors in them?  Shouldn't I be looking for generators that hover...?";
"Some people just don't understand.": "Some people just don't understand.";
"Propaganda truck, huh? Come at me!": "Propaganda truck, huh? Come at me!";
"Glad you could make it back! You can give me my superpowers now.": "Glad you could make it back! You can give me my superpowers now.";
"I suppose you're right.": "I suppose you're right.";
"Kinzie, can't you shut him up?": "Kinzie, can't you shut him up?";
"Shit. We're not vampires in this world, are we?": "Shit. We're not vampires in this world, are we?";
"Suggestions?": "Suggestions?";
"Focus on the rear panels.": "Focus on the rear panels.";
"What an a--amicable fellow.": "What an a--amicable fellow.";
"No, Kinzie. It's power armor.": "No, Kinzie. It's power armor.";
"All right Matt: try not to die.": "All right Matt: try not to die.";
"That's because while you were \\\"in the zone\\\" she took one look at you and ran for the roof.": "That's because while you were \\\"in the zone\\\" she took one look at you and ran for the roof.";
"Heh.  I'm trying to picture big Ben on your wee computer.  When was this?": "Heh.  I'm trying to picture big Ben on your wee computer.  When was this?";
"Let's do this.  Geronimo!": "Let's do this.  Geronimo!";
"Oh no! Oh no! Oh no!": "Oh no! Oh no! Oh no!";
"You didn't give them a choice.  It's time that changed.": "You didn't give them a choice.  It's time that changed.";
"Right, then. Just enough time to fight off a few waves of Zin.": "Right, then. Just enough time to fight off a few waves of Zin.";
"I know that.  You think I don't know that?": "I know that.  You think I don't know that?";
"Use the stun gun!": "Use the stun gun!";
"I'm seriously questioning your sanity, Matt.": "I'm seriously questioning your sanity, Matt.";
"DELETE": "DELETE";
"The boys in blue turned into Zin.": "The boys in blue turned into Zin.";
"You know it, playa.": "You know it, playa.";
"*BEEP*? What the *BEEP* is with the *BEEP*?": "*BEEP*? What the *BEEP* is with the *BEEP*?";
"See, the truth just sounds different.": "See, the truth just sounds different.";
"Zinyak. Shit.": "Zinyak. Shit.";
"Along with the C.I.D.s, the Zin are transporting a prototype for a contained-forced recursive feedback projector.": "Along with the C.I.D.s, the Zin are transporting a prototype for a contained-forced recursive feedback projector.";
"Pierce, you didn't say the trucks belonged to the Brotherhood.": "Pierce, you didn't say the trucks belonged to the Brotherhood.";
"What the hell was she doing here?": "What the hell was she doing here?";
"What the hell is all this?": "What the hell is all this?";
"Suprisingly, near death experiences tend to stick with you.": "Suprisingly, near death experiences tend to stick with you.";
"You know, forget what I just said, don't listen to her.  She's a bad influence on you.  Dammit...": "You know, forget what I just said, don't listen to her.  She's a bad influence on you.  Dammit...";
"Shit! UP!": "Shit! UP!";
"Don't mind me, I'll just be in the murder tank!": "Don't mind me, I'll just be in the murder tank!";
"Zinyak kicked the stool out from under my political aspiration when he and his armada showed up. One of the worst things you can do is piss off America. Now, I don't necessarily agree with how the President is handling these things. Seems there must be a better way. I'm not saying I'd do better but, shit, maybe that's exactly what I'm saying. If I had the chance anyway.": "Zinyak kicked the stool out from under my political aspiration when he and his armada showed up. One of the worst things you can do is piss off America. Now, I don't necessarily agree with how the President is handling these things. Seems there must be a better way. I'm not saying I'd do better but, shit, maybe that's exactly what I'm saying. If I had the chance anyway.";
"Fair point.": "Fair point.";
"That Zinyak asshole blew up the Earth and we are going to kick that alien motherfucker's ass. Don't be flippant about this.": "That Zinyak asshole blew up the Earth and we are going to kick that alien motherfucker's ass. Don't be flippant about this.";
"The dealer ducked around the corner.": "The dealer ducked around the corner.";
"We're not letting Johnny down again, Kinzie can you reset this thing?": "We're not letting Johnny down again, Kinzie can you reset this thing?";
"Sorry.": "Sorry.";
"What the fuck...": "What the fuck...";
"You know, if they generated a shield around themselves.": "You know, if they generated a shield around themselves.";
"What?  Why not just an entire fuckin' island then?": "What?  Why not just an entire fuckin' island then?";
"I found a few copies of King's book stashed on this ship.  Not really sure what the Zin were doing with them, but figured King might like to have sometime from home.  Though if he thinks I'm going to write a press release to broadcast out into space he's sorely mistaken.": "I found a few copies of King's book stashed on this ship.  Not really sure what the Zin were doing with them, but figured King might like to have sometime from home.  Though if he thinks I'm going to write a press release to broadcast out into space he's sorely mistaken.";
"It is.  I've sent you the location of one of their Hotspots.  Start heading there.": "It is.  I've sent you the location of one of their Hotspots.  Start heading there.";
"Right. Sure.": "Right. Sure.";
"Hold on, why \\\"you all\\\"?": "Hold on, why \\\"you all\\\"?";
"Can't wait for the movie, Ben. How can I help?": "Can't wait for the movie, Ben. How can I help?";
"Do a few tasks for me and I can better learn how the simulation code works.": "Do a few tasks for me and I can better learn how the simulation code works.";
"While I don't relish the idea of seeing someone I care about being murdered over and over again, I also don't see a purpose to needless blubbering.": "While I don't relish the idea of seeing someone I care about being murdered over and over again, I also don't see a purpose to needless blubbering.";
"Is this the island that pirate came from?": "Is this the island that pirate came from?";
"I'll bet I'm faster than you.": "I'll bet I'm faster than you.";
"Do you really think she told me?  All I know is we have to get Paul to follow.": "Do you really think she told me?  All I know is we have to get Paul to follow.";
"That's one way to do it.": "That's one way to do it.";
"The force field is down! Head inside!": "The force field is down! Head inside!";
"Where are all these old gangmembers coming from?": "Where are all these old gangmembers coming from?";
"Same difference.": "Same difference.";
"Kinzie, tell me your close.": "Kinzie, tell me your close.";
"Oh yeah.": "Oh yeah.";
"Come on. Come on.": "Come on. Come on.";
"This seems an odd place for an electrical field.": "This seems an odd place for an electrical field.";
"What's wrong, hon...": "What's wrong, hon...";
"Don't worry, I'm certain I can fix this up to suit our needs.  I just need some time.": "Don't worry, I'm certain I can fix this up to suit our needs.  I just need some time.";
"Hope this thing works...": "Hope this thing works...";
"You're going down!": "You're going down!";
"Kinzie...?  Kinzie, answer me.": "Kinzie...?  Kinzie, answer me.";
"Kinzie...?": "Kinzie...?";
"I suppose you're right.": "I suppose you're right.";
"Watch out! They're using some sort of suppression grenade! They're probably trying to counteract your powers.": "Watch out! They're using some sort of suppression grenade! They're probably trying to counteract your powers.";
"We'll get it done.": "We'll get it done.";
"Bombs?": "Bombs?";
"Seriously, more shieldbots?": "Seriously, more shieldbots?";
"Zinyak, you ass-headed--": "Zinyak, you ass-headed--";
"Are you fucking kidding me?": "Are you fucking kidding me?";
"Ooooh!  Ha!  That's going to hurt in the morning.": "Ooooh!  Ha!  That's going to hurt in the morning.";
"Why's all this stuff here, anyway?": "Why's all this stuff here, anyway?";
"Oh, I'm just peachy.": "Oh, I'm just peachy.";
"Now, if you ladies are finished, this is probably a good time to go after Veteran Child, yeah?": "Now, if you ladies are finished, this is probably a good time to go after Veteran Child, yeah?";
"Zinyak thinks a little forcefield will stop me?": "Zinyak thinks a little forcefield will stop me?";
"And this here's for li'l ol' ME!": "And this here's for li'l ol' ME!";
"I really hope this is the real you--": "I really hope this is the real you--";
"CID left me to die, so I've been better...": "CID left me to die, so I've been better...";
"And all new targets as well! The Zin Empire have taken it upon themselves to face the challengers. Truly, a bold move on their part.": "And all new targets as well! The Zin Empire have taken it upon themselves to face the challengers. Truly, a bold move on their part.";
"Somebody fuck up your ship, Zinyak? Heh.": "Somebody fuck up your ship, Zinyak? Heh.";
"Umm, Kinzie, all your stuff's gone.": "Umm, Kinzie, all your stuff's gone.";
"It's...in a safe place. Once you're free, I'll pick you up at the landing platform.": "It's...in a safe place. Once you're free, I'll pick you up at the landing platform.";
"DELETE": "DELETE";
"Was that supposed to be reassuring?": "Was that supposed to be reassuring?";
"Fine, but if you really want to get to the docks then you may wanna use the gas pedal.  Seriously Pierce, you're like, going the speed limit.": "Fine, but if you really want to get to the docks then you may wanna use the gas pedal.  Seriously Pierce, you're like, going the speed limit.";
"Johnny, I can't wait to show you some of my new tricks.": "Johnny, I can't wait to show you some of my new tricks.";
"I'm trying to save you!": "I'm trying to save you!";
"The secret service spoiled you.": "The secret service spoiled you.";
"Hehehe. Gotcha.": "Hehehe. Gotcha.";
